2800000006	mathiH
2802020083	yo yihUdIyAnAM rAjA jAtavAn, sa kutrAste? vayaM pUrvvasyAM dishi tiShThantastadIyAM tArakAm apashyAma tasmAt taM praNantum agamAma|
280203005c	tadA herod rAjA kathAmetAM nishamya yirUshAlamnagarasthitaiH sarvvamAnavaiH sArddham udvijya
280204005c	sarvvAn pradhAnayAjakAn adhyApakAMshcha samAhUyAnIya paprachCha, khrIShTaH kutra janiShyate?
2802050064	tadA te kathayAmAsuH, yihUdIyadeshasya baitlehami nagare, yato bhaviShyadvAdinA itthaM likhitamAste,
28020600b6	sarvvAbhyo rAjadhAnIbhyo yihUdIyasya nIvR^itaH| he yIhUdIyadeshasye baitleham tvaM na chAvarA|isrAyelIyalokAn me yato yaH pAlayiShyati| tAdR^igeko mahArAjastvanmadhya udbhaviShyatI||
2802070064	tadAnIM herod rAjA tAn jyotirvvido gopanam AhUya sA tArakA kadA dR^iShTAbhavat, tad vinishchayAmAsa|
280208009f	aparaM tAn baitlehamaM prahItya gaditavAn, yUyaM yAta, yatnAt taM shishum anviShya taduddeshe prApte mahyaM vArttAM dAsyatha, tato mayApi gatvA sa praNaMsyate|
28020900ca	tadAnIM rAj na etAdR^ishIm Aj nAM prApya te pratasthire, tataH pUrvvarsyAM dishi sthitaistai ryA tArakA dR^iShTA sA tArakA teShAmagre gatvA yatra sthAne shishUrAste, tasya sthAnasyopari sthagitA tasyau|
28020a0026	tad dR^iShTvA te mahAnanditA babhUvuH,
28020b00d2	tato gehamadhya pravishya tasya mAtrA mariyamA sAddhaM taM shishuM nirIkShaya daNDavad bhUtvA praNemuH, aparaM sveShAM ghanasampattiM mochayitvA suvarNaM kunduruM gandharama ncha tasmai darshanIyaM dattavantaH|
28020c007f	pashchAd herod rAjasya samIpaM punarapi gantuM svapna IshvareNa niShiddhAH santo. anyena pathA te nijadeshaM prati pratasthire|
28020d0118	anantaraM teShu gatavatmu parameshvarasya dUto yUShaphe svapne darshanaM datvA jagAda, tvam utthAya shishuM tanmAtara ncha gR^ihItvA misardeshaM palAyasva, aparaM yAvadahaM tubhyaM vArttAM na kathayiShyAmi, tAvat tatraiva nivasa, yato rAjA herod shishuM nAshayituM mR^igayiShyate|
28020e005e	tadAnIM yUShaph utthAya rajanyAM shishuM tanmAtara ncha gR^ihItvA misardeshaM prati pratasthe,
28020f00b9	gatvA cha herodo nR^ipate rmaraNaparyyantaM tatra deshe nyuvAsa, tena misardeshAdahaM putraM svakIyaM samupAhUyam| yadetadvachanam IshvareNa bhaviShyadvAdinA kathitaM tat saphalamabhUt|
2802100110	anantaraM herod jyotirvidbhirAtmAnaM prava nchitaM vij nAya bhR^ishaM chukopa; aparaM jyotirvvidbhyastena vinishchitaM yad dinaM taddinAd gaNayitvA dvitIyavatsaraM praviShTA yAvanto bAlakA asmin baitlehamnagare tatsImamadhye chAsan, lokAn prahitya tAn sarvvAn ghAtayAmAsa|
28021100bb	ataH anekasya vilApasya ninAda: krandanasya cha| shokena kR^itashabdashcha rAmAyAM saMnishamyate| svabAlagaNahetorvai rAhel nArI tu rodinI| na manyate prabodhantu yataste naiva manti hi||
2802120054	yadetad vachanaM yirImiyanAmakabhaviShyadvAdinA kathitaM tat tadAnIM saphalam abhUt|
280213006d	tadanantaraM heredi rAjani mR^ite parameshvarasya dUto misardeshe svapne darshanaM dattvA yUShaphe kathitavAn
2802140085	tvam utthAya shishuM tanmAtara ncha gR^ihItvA punarapIsrAyelo deshaM yAhI, ye janAH shishuM nAshayitum amR^igayanta, te mR^itavantaH|
2802150049	tadAnIM sa utthAya shishuM tanmAtara ncha gR^ihlan isrAyeldesham AjagAma|
2802160102	kintu yihUdIyadeshe arkhilAyanAma rAjakumAro nijapitu rherodaH padaM prApya rAjatvaM karotIti nishamya tat sthAnaM yAtuM sha NkitavAn, pashchAt svapna IshvarAt prabodhaM prApya gAlIldeshasya pradeshaikaM prasthAya nAsarannAma nagaraM gatvA tatra nyuShitavAn,
2802170060	tena taM nAsaratIyaM kathayiShyanti, yadetadvAkyaM bhaviShyadvAdibhirukttaM tat saphalamabhavat|
2803010058	tadAnoM yohnnAmA majjayitA yihUdIyadeshasya prAntaram upasthAya prachArayan kathayAmAsa,
2803020037	manAMsi parAvarttayata, svargIyarAjatvaM samIpamAgatam|
280303008f	parameshasya panthAnaM pariShkuruta sarvvataH| tasya rAjapathAMshchaiva samIkuruta sarvvathA| ityetat prAntare vAkyaM vadataH kasyachid ravaH||
28030400a9	etadvachanaM yishayiyabhaviShyadvAdinA yohanamuddishya bhAShitam| yohano vasanaM mahA NgaromajaM tasya kaTau charmmakaTibandhanaM; sa cha shUkakITAn madhu cha bhuktavAn|
2803050079	tadAnIM yirUshAlamnagaranivAsinaH sarvve yihUdideshIyA yarddantaTinyA ubhayataTasthAshcha mAnavA bahirAgatya tasya samIpe
2803060049	svIyaM svIyaM duritam a NgIkR^itya tasyAM yarddani tena majjitA babhUvuH|
28030700ab	aparaM bahUn phirUshinaH sidUkinashcha manujAn maMktuM svasamIpam AgachChto vilokya sa tAn abhidadhau, re re bhujagavaMshA AgAmInaH kopAt palAyituM yuShmAn kashchetitavAn?
280308002f	manaHparAvarttanasya samuchitaM phalaM phalata|
28030900a9	kintvasmAkaM tAta ibrAhIm astIti sveShu manaHsu chIntayanto mA vyAharata| yato yuShmAn ahaM vadAmi, Ishvara etebhyaH pAShANebhya ibrAhImaH santAnAn utpAdayituM shaknoti|
28030a008a	aparaM pAdapAnAM mUle kuThAra idAnImapi lagan Aste, tasmAd yasmin pAdape uttamaM phalaM na bhavati, sa kR^itto madhye. agniM nikShepsyate|
28030b00e3	aparam ahaM manaHparAvarttanasUchakena majjanena yuShmAn majjayAmIti satyaM, kintu mama pashchAd ya AgachChati, sa mattopi mahAn, ahaM tadIyopAnahau voDhumapi nahi yogyosmi, sa yuShmAn vahnirUpe pavitra Atmani saMmajjayiShyati|
28030c00aa	tasya kAre sUrpa Aste, sa svIyashasyAni samyak prasphoTya nijAn sakalagodhUmAn saMgR^ihya bhANDAgAre sthApayiShyati, kiMntu sarvvANi vuShANyanirvvANavahninA dAhayiShyati|
28030d0057	anantaraM yIshu ryohanA majjito bhavituM gAlIlpradeshAd yarddani tasya samIpam AjagAma|
28030e0070	kintu yohan taM niShidhya babhAShe, tvaM kiM mama samIpam AgachChasi? varaM tvayA majjanaM mama prayojanam Aste|
28030f007d	tadAnIM yIshuH pratyavochat; IdAnIm anumanyasva, yata itthaM sarvvadharmmasAdhanam asmAkaM karttavyaM, tataH so. anvamanyata|
28031000b3	anantaraM yIshurammasi majjituH san tatkShaNAt toyamadhyAd utthAya jagAma, tadA jImUtadvAre mukte jAte, sa IshvarasyAtmAnaM kapotavad avaruhya svoparyyAgachChantaM vIkShA nchakre|
280311005b	aparam eSha mama priyaH putra etasminneva mama mahAsantoSha etAdR^ishI vyomajA vAg babhUva|
280401004e	tataH paraM yIshuH pratArakeNa parIkShito bhavitum AtmanA prAntaram AkR^iShTaH
280402003e	san chatvAriMshadahorAtrAn anAhArastiShThan kShudhito babhUva|
2804030077	tadAnIM parIkShitA tatsamIpam Agatya vyAhR^itavAn, yadi tvamIshvarAtmajo bhavestarhyAj nayA pAShANAnetAn pUpAn vidhehi|
280404009b	tataH sa pratyabravIt, itthaM likhitamAste, "manujaH kevalapUpena na jIviShyati, kintvIshvarasya vadanAd yAni yAni vachAMsi niHsaranti taireva jIviShyati|"
280405004d	tadA pratArakastaM puNyanagaraM nItvA mandirasya chUDopari nidhAya gaditavAn,
28040600e6	tvaM yadishvarasya tanayo bhavestarhIto. adhaH pata, yata itthaM likhitamAste, AdekShyati nijAn dUtAn rakShituM tvAM parameshvaraH| yathA sarvveShu mArgeShu tvadIyacharaNadvaye| na laget prastarAghAtastvAM ghariShyanti te karaiH||
2804070066	tadAnIM yIshustasmai kathitavAn etadapi likhitamAste, "tvaM nijaprabhuM parameshvaraM mA parIkShasva|"
2804080091	anantaraM pratArakaH punarapi tam atyu nchadharAdharopari nItvA jagataH sakalarAjyAni tadaishvaryyANi cha darshayAshchakAra kathayA nchakAra cha,
2804090049	yadi tvaM daNDavad bhavan mAM praNamestarhyaham etAni tubhyaM pradAsyAmi|
28040a0086	tadAnIM yIshustamavochat, dUrIbhava pratAraka, likhitamidam Aste, "tvayA nijaH prabhuH parameshvaraH praNamyaH kevalaH sa sevyashcha|"
28040b0047	tataH pratArakeNa sa paryyatyAji, tadA svargIyadUtairAgatya sa siSheve|
28040c0053	tadanantaraM yohan kArAyAM babandhe, tadvArttAM nishamya yIshunA gAlIl prAsthIyata|
28040d0099	tataH paraM sa nAsarannagaraM vihAya jalaghestaTe sibUlUnnaptAlI etayoruvabhayoH pradeshayoH sImnormadhyavarttI ya: kapharnAhUm tannagaram itvA nyavasat|
28040e0064	tasmAt, anyAdeshIyagAlIli yarddanpAre. abdhirodhasi| naptAlisibUlUndeshau yatra sthAne sthitau purA|
28040f00b7	tatratyA manujA ye ye paryyabhrAmyan tamisrake| tairjanairbR^ihadAlokaH paridarshiShyate tadA| avasan ye janA deshe mR^ityuchChAyAsvarUpake| teShAmupari lokAnAmAlokaH saMprakAshitaH||
280410004b	yadetadvachanaM yishayiyabhaviShyadvAdinA proktaM, tat tadA saphalam abhUt|
2804110080	anantaraM yIshuH susaMvAdaM prachArayan etAM kathAM kathayitum Arebhe, manAMsi parAvarttayata, svargIyarAjatvaM savidhamabhavat|
28041200bc	tataH paraM yIshu rgAlIlo jaladhestaTena gachChan gachChan Andriyastasya bhrAtA shimon arthato yaM pitaraM vadanti etAvubhau jalaghau jAlaM kShipantau dadarsha, yatastau mInadhAriNAvAstAm|
2804130061	tadA sa tAvAhUya vyAjahAra, yuvAM mama pashchAd AgachChataM, yuvAmahaM manujadhAriNau kariShyAmi|
2804140034	tenaiva tau jAlaM vihAya tasya pashchAt AgachChatAm|
28041500a7	anantaraM tasmAt sthAnAt vrajan vrajan sivadiyasya sutau yAkUb yohannAmAnau dvau sahajau tAtena sArddhaM naukopari jAlasya jIrNoddhAraM kurvvantau vIkShya tAvAhUtavAn|
280416004a	tatkShaNAt tau nAvaM svatAta ncha vihAya tasya pashchAdgAminau babhUvatuH|
28041700b5	anantaraM bhajanabhavane samupadishan rAjyasya susaMvAdaM prachArayan manujAnAM sarvvaprakArAn rogAn sarvvaprakArapIDAshcha shamayan yIshuH kR^itsnaM gAlIldeshaM bhramitum Arabhata|
28041800e8	tena kR^itsnasuriyAdeshasya madhyaM tasya yasho vyApnot, aparaM bhUtagrastA apasmArargINaH pakShAdhAtiprabhR^itayashcha yAvanto manujA nAnAvidhavyAdhibhiH kliShTA Asan, teShu sarvveShu tasya samIpam AnIteShu sa tAn svasthAn chakAra|
280419006d	etena gAlIl-dikApani-yirUshAlam-yihUdIyadeshebhyo yarddanaH pArA ncha bahavo manujAstasya pashchAd AgachChan|
2805010047	anantaraM sa jananivahaM nirIkShya bhUdharopari vrajitvA samupavivesha|
280502004f	tadAnIM shiShyeShu tasya samIpamAgateShu tena tebhya eShA kathA kathyA nchakre|
2805030042	abhimAnahInA janA dhanyAH, yataste svargIyarAjyam adhikariShyanti|
2805040039	khidyamAnA manujA dhanyAH, yasmAt te sAntvanAM prApsanti|
280505003d	namrA mAnavAshcha dhanyAH, yasmAt te medinIm adhikariShyanti|
2805060051	dharmmAya bubhukShitAH tR^iShArttAshcha manujA dhanyAH, yasmAt te paritarpsyanti|
2805070038	kR^ipAlavo mAnavA dhanyAH, yasmAt te kR^ipAM prApsyanti|
2805080046	nirmmalahR^idayA manujAshcha dhanyAH, yasmAt ta IshcharaM drakShyanti|
280509004b	melayitAro mAnavA dhanyAH, yasmAt ta Ishcharasya santAnatvena vikhyAsyanti|
28050a0051	dharmmakAraNAt tADitA manujA dhanyA, yasmAt svargIyarAjye teShAmadhikaro vidyate|
28050b006f	yadA manujA mama nAmakR^ite yuShmAn nindanti tADayanti mR^iShA nAnAdurvvAkyAni vadanti cha, tadA yuyaM dhanyAH|
28050c0097	tadA Anandata, tathA bhR^ishaM hlAdadhva ncha, yataH svarge bhUyAMsi phalAni lapsyadhve; te yuShmAkaM purAtanAn bhaviShyadvAdino. api tAdR^ig atADayan|
28050d00e0	yuyaM medinyAM lavaNarUpAH, kintu yadi lavaNasya lavaNatvam apayAti, tarhi tat kena prakAreNa svAduyuktaM bhaviShyati? tat kasyApi kAryyasyAyogyatvAt kevalaM bahiH prakSheptuM narANAM padatalena dalayitu ncha yogyaM bhavati|
28050e0056	yUyaM jagati dIptirUpAH, bhUdharopari sthitaM nagaraM guptaM bhavituM nahi shakShyati|
28050f008f	aparaM manujAH pradIpAn prajvAlya droNAdho na sthApayanti, kintu dIpAdhAroparyyeva sthApayanti, tena te dIpA gehasthitAn sakalAn prakAshayanti|
280510008e	yena mAnavA yuShmAkaM satkarmmANi vilokya yuShmAkaM svargasthaM pitaraM dhanyaM vadanti, teShAM samakShaM yuShmAkaM dIptistAdR^ik prakAshatAm|
2805110082	ahaM vyavasthAM bhaviShyadvAkya ncha loptum AgatavAn, itthaM mAnubhavata, te dve loptuM nAgatavAn, kintu saphale karttum Agatosmi|
28051200a1	aparaM yuShmAn ahaM tathyaM vadAmi yAvat vyomamedinyo rdhvaMso na bhaviShyati, tAvat sarvvasmin saphale na jAte vyavasthAyA ekA mAtrA bindurekopi vA na lopsyate|
28051300fb	tasmAt yo jana etAsAm Aj nAnAm atikShudrAm ekAj nAmapI laMghate manujAM ncha tathaiva shikShayati, sa svargIyarAjye sarvvebhyaH kShudratvena vikhyAsyate, kintu yo janastAM pAlayati, tathaiva shikShayati cha, sa svargIyarAjye pradhAnatvena vikhyAsyate|
28051400a1	aparaM yuShmAn ahaM vadAmi, adhyApakaphirUshimAnavAnAM dharmmAnuShThAnAt yuShmAkaM dharmmAnuShThAne nottame jAte yUyam IshvarIyarAjyaM praveShTuM na shakShyatha|
280515009a	apara ncha tvaM naraM mA vadhIH, yasmAt yo naraM hanti, sa vichArasabhAyAM daNDArho bhaviShyati, pUrvvakAlInajanebhya iti kathitamAsIt, yuShmAbhirashrAvi|
2805160136	kintvahaM yuShmAn vadAmi, yaH kashchit kAraNaM vinA nijabhrAtre kupyati, sa vichArasabhAyAM daNDArho bhaviShyati; yaH kashchichcha svIyasahajaM nirbbodhaM vadati, sa mahAsabhAyAM daNDArho bhaviShyati; punashcha tvaM mUDha iti vAkyaM yadi kashchit svIyabhrAtaraM vakti, tarhi narakAgnau sa daNDArho bhaviShyati|
2805170096	ato vedyAH samIpaM nijanaivedye samAnIte. api nijabhrAtaraM prati kasmAchchit kAraNAt tvaM yadi doShI vidyase, tadAnIM tava tasya smR^iti rjAyate cha,
2805180082	tarhi tasyA vedyAH samIpe nijanaivaidyaM nidhAya tadaiva gatvA pUrvvaM tena sArddhaM mila, pashchAt Agatya nijanaivedyaM nivedaya|
28051900d9	anya ncha yAvat vivAdinA sArddhaM vartmani tiShThasi, tAvat tena sArddhaM melanaM kuru; no chet vivAdI vichArayituH samIpe tvAM samarpayati vichArayitA cha rakShiNaH sannidhau samarpayati tadA tvaM kArAyAM badhyethAH|
28051a0077	tarhi tvAmahaM taththaM bravImi, sheShakapardake. api na parishodhite tasmAt sthAnAt kadApi bahirAgantuM na shakShyasi|
28051b0068	aparaM tvaM mA vyabhichara, yadetad vachanaM pUrvvakAlInalokebhyaH kathitamAsIt, tad yUyaM shrutavantaH;
28051c0076	kintvahaM yuShmAn vadAmi, yadi kashchit kAmataH kA nchana yoShitaM pashyati, tarhi sa manasA tadaiva vyabhicharitavAn|
28051d009d	tasmAt tava dakShiNaM netraM yadi tvAM bAdhate, tarhi tannetram utpATya dUre nikShipa, yasmAt tava sarvvavapuSho narake nikShepAt tavaikA Ngasya nAsho varaM|
28051e0090	yadvA tava dakShiNaH karo yadi tvAM bAdhate, tarhi taM karaM ChittvA dUre nikShipa, yataH sarvvavapuSho narake nikShepAt ekA Ngasya nAsho varaM|
28051f005d	uktamAste, yadi kashchin nijajAyAM parityakttum ichChati, tarhi sa tasyai tyAgapatraM dadAtu|
28052000b2	kintvahaM yuShmAn vyAharAmi, vyabhichAradoShe na jAte yadi kashchin nijajAyAM parityajati, tarhi sa tAM vyabhichArayati; yashcha tAM tyaktAM striyaM vivahati, sopi vyabhicharati|
2805210092	punashcha tvaM mR^iShA shapatham na kurvvan IshcharAya nijashapathaM pAlaya, pUrvvakAlInalokebhyo yaiShA kathA kathitA, tAmapi yUyaM shrutavantaH|
280522006f	kintvahaM yuShmAn vadAmi, kamapi shapathaM mA kArShTa, arthataH svarganAmnA na, yataH sa Ishvarasya siMhAsanaM;
2805230064	pR^ithivyA nAmnApi na, yataH sA tasya pAdapIThaM; yirUshAlamo nAmnApi na, yataH sA mahArAjasya purI;
280524005a	nijashironAmnApi na, yasmAt tasyaikaM kachamapi sitam asitaM vA karttuM tvayA na shakyate|
2805250070	aparaM yUyaM saMlApasamaye kevalaM bhavatIti na bhavatIti cha vadata yata ito. adhikaM yat tat pApAtmano jAyate|
2805260071	aparaM lochanasya vinimayena lochanaM dantasya vinimayena dantaH pUrvvaktamidaM vachana ncha yuShmAbhirashrUyata|
280527009d	kintvahaM yuShmAn vadAmi yUyaM hiMsakaM naraM mA vyAghAtayata| kintu kenachit tava dakShiNakapole chapeTAghAte kR^ite taM prati vAmaM kapola ncha vyAghoTaya|
280528006e	aparaM kenachit tvayA sArdhdaM vivAdaM kR^itvA tava paridheyavasane jighR^itite tasmAyuttarIyavasanamapi dehi|
2805290062	yadi kashchit tvAM kroshamekaM nayanArthaM anyAyato dharati, tadA tena sArdhdaM kroshadvayaM yAhi|
28052a0078	yashcha mAnavastvAM yAchate, tasmai dehi, yadi kashchit tubhyaM dhArayitum ichChati, tarhi taM prati parAMmukho mA bhUH|
28052b0074	nijasamIpavasini prema kuru, kintu shatruM prati dveShaM kuru, yadetat puroktaM vachanaM etadapi yUyaM shrutavantaH|
28052c00e1	kintvahaM yuShmAn vadAmi, yUyaM ripuvvapi prema kuruta, ye cha yuShmAn shapante, tAna, AshiShaM vadata, ye cha yuShmAn R^itIyante, teShAM ma NgalaM kuruta, ye cha yuShmAn nindanti, tADayanti cha, teShAM kR^ite prArthayadhvaM|
28052d00bb	tatra yaH satAmasatA nchopari prabhAkaram udAyayati, tathA dhArmmikAnAmadhArmmikAnA nchopari nIraM varShayati tAdR^isho yo yuShmAkaM svargasthaH pitA, yUyaM tasyaiva santAnA bhaviShyatha|
28052e0098	ye yuShmAsu prema kurvvanti, yUyaM yadi kevalaM tevveva prema kurutha, tarhi yuShmAkaM kiM phalaM bhaviShyati? chaNDAlA api tAdR^ishaM kiM na kurvvanti?
28052f007e	aparaM yUyaM yadi kevalaM svIyabhrAtR^itvena namata, tarhi kiM mahat karmma kurutha? chaNDAlA api tAdR^ishaM kiM na kurvvanti?
2805300052	tasmAt yuShmAkaM svargasthaH pitA yathA pUrNo bhavati, yUyamapi tAdR^ishA bhavata|
280601009e	sAvadhAnA bhavata, manujAn darshayituM teShAM gochare dharmmakarmma mA kuruta, tathA kR^ite yuShmAkaM svargasthapituH sakAshAt ki nchana phalaM na prApsyatha|
28060200c6	tvaM yadA dadAsi tadA kapaTino janA yathA manujebhyaH prashaMsAM prAptuM bhajanabhavane rAjamArge cha tUrIM vAdayanti, tathA mA kuri, ahaM tubhyaM yathArthaM kathayAmi, te svakAyaM phalam alabhanta|
2806030054	kintu tvaM yadA dadAsi, tadA nijadakShiNakaro yat karoti, tad vAmakaraM mA j nApaya|
2806040064	tena tava dAnaM guptaM bhaviShyati yastu tava pitA guptadarshI, sa prakAshya tubhyaM phalaM dAsyati|
28060500cb	aparaM yadA prArthayase, tadA kapaTinaiva mA kuru, yasmAt te bhajanabhavane rAjamArgasya koNe tiShThanto lokAn darshayantaH prArthayituM prIyante; ahaM yuShmAn tathyaM vadAmi, te svakIyaphalaM prApnuvan|
28060600ac	tasmAt prArthanAkAle antarAgAraM pravishya dvAraM rudvvA guptaM pashyatastava pituH samIpe prArthayasva; tena tava yaH pitA guptadarshI, sa prakAshya tubhyaM phalaM dAsyati
280607008c	aparaM prArthanAkAle devapUjakAiva mudhA punaruktiM mA kuru, yasmAt te bodhante, bahuvAraM kathAyAM kathitAyAM teShAM prArthanA grAhiShyate|
280608006c	yUyaM teShAmiva mA kuruta, yasmAt yuShmAkaM yad yat prayojanaM yAchanAtaH prAgeva yuShmAkaM pitA tat jAnAti|
280609005a	ataeva yUyama IdR^ik prArthayadhvaM, he asmAkaM svargasthapitaH, tava nAma pUjyaM bhavatu|
28060a0053	tava rAjatvaM bhavatu; tavechChA svarge yathA tathaiva medinyAmapi saphalA bhavatu|
28060b0026	asmAkaM prayojanIyam AhAram adya dehi|
28060c004a	vayaM yathA nijAparAdhinaH kShamAmahe, tathaivAsmAkam aparAdhAn kShamasva|
28060d0070	asmAn parIkShAM mAnaya, kintu pApAtmano rakSha; rAjatvaM gauravaM parAkramaH ete sarvve sarvvadA tava; tathAstu|
28060e005f	yadi yUyam anyeShAm aparAdhAn kShamadhve tarhi yuShmAkaM svargasthapitApi yuShmAn kShamiShyate;
28060f0070	kintu yadi yUyam anyeShAm aparAdhAn na kShamadhve, tarhi yuShmAkaM janakopi yuShmAkam aparAdhAn na kShamiShyate|
28061000c0	aparam upavAsakAle kapaTino janA mAnuShAn upavAsaM j nApayituM sveShAM vadanAni mlAnAni kurvvanti, yUyaM taiva viShaNavadanA mA bhavata; ahaM yuShmAn tathyaM vadAmi te svakIyaphalam alabhanta|
28061100b4	yadA tvam upavasasi, tadA yathA lokaistvaM upavAsIva na dR^ishyase, kintu tava yo. agocharaH pitA tenaiva dR^ishyase, tatkR^ite nijashirasi tailaM marddaya vadana ncha prakShAlaya;
2806120043	tena tava yaH pitA guptadarshI sa prakAshya tubhyaM phalaM dAsyati|
28061300a4	aparaM yatra sthAne kITAH kala NkAshcha kShayaM nayanti, chaurAshcha sandhiM karttayitvA chorayituM shaknuvanti, tAdR^ishyAM medinyAM svArthaM dhanaM mA saMchinuta|
280614009a	kintu yatra sthAne kITAH kala NkAshcha kShayaM na nayanti, chaurAshcha sandhiM karttayitvA chorayituM na shaknuvanti, tAdR^ishe svarge dhanaM sa nchinuta|
2806150046	yasmAt yatra sthAne yuShmAMka dhanaM tatraiva khAne yuShmAkaM manAMsi|
280616007d	lochanaM dehasya pradIpakaM, tasmAt yadi tava lochanaM prasannaM bhavati, tarhi tava kR^itsnaM vapu rdIptiyuktaM bhaviShyati|
28061700a5	kintu lochane. aprasanne tava kR^itsnaM vapuH tamisrayuktaM bhaviShyati| ataeva yA dIptistvayi vidyate, sA yadi tamisrayuktA bhavati, tarhi tat tamisraM kiyan mahat|
28061800c7	kopi manujo dvau prabhU sevituM na shaknoti, yasmAd ekaM saMmanya tadanyaM na sammanyate, yadvA ekatra mano nidhAya tadanyam avamanyate; tathA yUyamapIshvaraM lakShmI nchetyubhe sevituM na shaknutha|
28061900df	aparam ahaM yuShmabhyaM tathyaM kathayAmi, kiM bhakShiShyAmaH? kiM pAsyAmaH? iti prANadhAraNAya mA chintayata; kiM paridhAsyAmaH? iti kAyarakShaNAya na chintayata; bhakShyAt prANA vasanA ncha vapUMShi kiM shreShThANi na hi?
28061a0095	vihAyaso viha NgamAn vilokayata; tai rnopyate na kR^ityate bhANDAgAre na sa nchIyate. api; tathApi yuShmAkaM svargasthaH pitA tebhya AhAraM vitarati|
28061b007a	yUyaM tebhyaH kiM shreShThA na bhavatha? yuShmAkaM kashchit manujaH chintayan nijAyuShaH kShaNamapi varddhayituM shaknoti?
28061c0091	aparaM vasanAya kutashchintayata? kShetrotpannAni puShpANi kathaM varddhante tadAlochayata| tAni tantUn notpAdayanti kimapi kAryyaM na kurvvanti;
28061d005c	tathApyahaM yuShmAn vadAmi, sulemAn tAdR^ig aishvaryyavAnapi tatpuShpamiva vibhUShito nAsIt|
28061e00bc	tasmAt kShadya vidyamAnaM shchaH chullyAM nikShepsyate tAdR^ishaM yat kShetrasthitaM kusumaM tat yadIshchara itthaM bibhUShayati, tarhi he stokapratyayino yuShmAn kiM na paridhApayiShyati?
28061f005a	tasmAt asmAbhiH kimatsyate? ki ncha pAyiShyate? kiM vA paridhAyiShyate, iti na chintayata|
