2800000006	mathiH
2802050062	tadA te kathayAmAsuH, yihUdIyadezasya baitlehami nagare, yato bhaviSyadvAdinA itthaM likhitamAste,
28020600ae	sarvvAbhyo rAjadhAnIbhyo yihUdIyasya nIvRtaH| he yIhUdIyadezasye baitleham tvaM na cAvarA|isrAyelIyalokAn me yato yaH pAlayiSyati| tAdRgeko mahArAjastvanmadhya udbhaviSyatI||
280207005f	tadAnIM herod rAjA tAn jyotirvvido gopanam AhUya sA tArakA kadA dRSTAbhavat, tad vinizcayAmAsa|
280208009b	aparaM tAn baitlehamaM prahItya gaditavAn, yUyaM yAta, yatnAt taM zizum anviSya taduddeze prApte mahyaM vArttAM dAsyatha, tato mayApi gatvA sa praNaMsyate|
28020900be	tadAnIM rAjJa etAdRzIm AjJAM prApya te pratasthire, tataH pUrvvarsyAM dizi sthitaistai ryA tArakA dRSTA sA tArakA teSAmagre gatvA yatra sthAne zizUrAste, tasya sthAnasyopari sthagitA tasyau|
28020a0023	tad dRSTvA te mahAnanditA babhUvuH,
28020b00c9	tato gehamadhya pravizya tasya mAtrA mariyamA sAddhaM taM zizuM nirIkSaya daNDavad bhUtvA praNemuH, aparaM sveSAM ghanasampattiM mocayitvA suvarNaM kunduruM gandharamaJca tasmai darzanIyaM dattavantaH|
28020c0079	pazcAd herod rAjasya samIpaM punarapi gantuM svapna IzvareNa niSiddhAH santo 'nyena pathA te nijadezaM prati pratasthire|
28020d0106	anantaraM teSu gatavatmu paramezvarasya dUto yUSaphe svapne darzanaM datvA jagAda, tvam utthAya zizuM tanmAtaraJca gRhItvA misardezaM palAyasva, aparaM yAvadahaM tubhyaM vArttAM na kathayiSyAmi, tAvat tatraiva nivasa, yato rAjA herod zizuM nAzayituM mRgayiSyate|
28020e0056	tadAnIM yUSaph utthAya rajanyAM zizuM tanmAtaraJca gRhItvA misardezaM prati pratasthe,
28020f00b1	gatvA ca herodo nRpate rmaraNaparyyantaM tatra deze nyuvAsa, tena misardezAdahaM putraM svakIyaM samupAhUyam| yadetadvacanam IzvareNa bhaviSyadvAdinA kathitaM tat saphalamabhUt|
2802100105	anantaraM herod jyotirvidbhirAtmAnaM pravaJcitaM vijJAya bhRzaM cukopa; aparaM jyotirvvidbhyastena vinizcitaM yad dinaM taddinAd gaNayitvA dvitIyavatsaraM praviSTA yAvanto bAlakA asmin baitlehamnagare tatsImamadhye cAsan, lokAn prahitya tAn sarvvAn ghAtayAmAsa|
28021100b3	ataH anekasya vilApasya ninAda: krandanasya ca| zokena kRtazabdazca rAmAyAM saMnizamyate| svabAlagaNahetorvai rAhel nArI tu rodinI| na manyate prabodhantu yataste naiva manti hi||
2802120052	yadetad vacanaM yirImiyanAmakabhaviSyadvAdinA kathitaM tat tadAnIM saphalam abhUt|
2802130067	tadanantaraM heredi rAjani mRte paramezvarasya dUto misardeze svapne darzanaM dattvA yUSaphe kathitavAn
2802140077	tvam utthAya zizuM tanmAtaraJca gRhItvA punarapIsrAyelo dezaM yAhI, ye janAH zizuM nAzayitum amRgayanta, te mRtavantaH|
2802150042	tadAnIM sa utthAya zizuM tanmAtaraJca gRhlan isrAyeldezam AjagAma|
28021600f8	kintu yihUdIyadeze arkhilAyanAma rAjakumAro nijapitu rherodaH padaM prApya rAjatvaM karotIti nizamya tat sthAnaM yAtuM zaGkitavAn, pazcAt svapna IzvarAt prabodhaM prApya gAlIldezasya pradezaikaM prasthAya nAsarannAma nagaraM gatvA tatra nyuSitavAn,
280217005e	tena taM nAsaratIyaM kathayiSyanti, yadetadvAkyaM bhaviSyadvAdibhirukttaM tat saphalamabhavat|
2803010056	tadAnoM yohnnAmA majjayitA yihUdIyadezasya prAntaram upasthAya pracArayan kathayAmAsa,
2803020037	manAMsi parAvarttayata, svargIyarAjatvaM samIpamAgatam|
280303008a	paramezasya panthAnaM pariSkuruta sarvvataH| tasya rAjapathAMzcaiva samIkuruta sarvvathA| ityetat prAntare vAkyaM vadataH kasyacid ravaH||
280304009f	etadvacanaM yizayiyabhaviSyadvAdinA yohanamuddizya bhASitam| yohano vasanaM mahAGgaromajaM tasya kaTau carmmakaTibandhanaM; sa ca zUkakITAn madhu ca bhuktavAn|
2803050075	tadAnIM yirUzAlamnagaranivAsinaH sarvve yihUdidezIyA yarddantaTinyA ubhayataTasthAzca mAnavA bahirAgatya tasya samIpe
2803060046	svIyaM svIyaM duritam aGgIkRtya tasyAM yarddani tena majjitA babhUvuH|
28030700a3	aparaM bahUn phirUzinaH sidUkinazca manujAn maMktuM svasamIpam Agacchto vilokya sa tAn abhidadhau, re re bhujagavaMzA AgAmInaH kopAt palAyituM yuSmAn kazcetitavAn?
280308002e	manaHparAvarttanasya samucitaM phalaM phalata|
28030900a3	kintvasmAkaM tAta ibrAhIm astIti sveSu manaHsu cIntayanto mA vyAharata| yato yuSmAn ahaM vadAmi, Izvara etebhyaH pASANebhya ibrAhImaH santAnAn utpAdayituM zaknoti|
28030a0085	aparaM pAdapAnAM mUle kuThAra idAnImapi lagan Aste, tasmAd yasmin pAdape uttamaM phalaM na bhavati, sa kRtto madhye'gniM nikSepsyate|
28030b00dc	aparam ahaM manaHparAvarttanasUcakena majjanena yuSmAn majjayAmIti satyaM, kintu mama pazcAd ya Agacchati, sa mattopi mahAn, ahaM tadIyopAnahau voDhumapi nahi yogyosmi, sa yuSmAn vahnirUpe pavitra Atmani saMmajjayiSyati|
28030c00a4	tasya kAre sUrpa Aste, sa svIyazasyAni samyak prasphoTya nijAn sakalagodhUmAn saMgRhya bhANDAgAre sthApayiSyati, kiMntu sarvvANi vuSANyanirvvANavahninA dAhayiSyati|
28030d0055	anantaraM yIzu ryohanA majjito bhavituM gAlIlpradezAd yarddani tasya samIpam AjagAma|
28030e006d	kintu yohan taM niSidhya babhASe, tvaM kiM mama samIpam Agacchasi? varaM tvayA majjanaM mama prayojanam Aste|
28030f0079	tadAnIM yIzuH pratyavocat; IdAnIm anumanyasva, yata itthaM sarvvadharmmasAdhanam asmAkaM karttavyaM, tataH so'nvamanyata|
28031000ac	anantaraM yIzurammasi majjituH san tatkSaNAt toyamadhyAd utthAya jagAma, tadA jImUtadvAre mukte jAte, sa IzvarasyAtmAnaM kapotavad avaruhya svoparyyAgacchantaM vIkSAJcakre|
2803110056	aparam eSa mama priyaH putra etasminneva mama mahAsantoSa etAdRzI vyomajA vAg babhUva|
2804010049	tataH paraM yIzuH pratArakeNa parIkSito bhavitum AtmanA prAntaram AkRSTaH
280402003a	san catvAriMzadahorAtrAn anAhArastiSThan kSudhito babhUva|
2804030071	tadAnIM parIkSitA tatsamIpam Agatya vyAhRtavAn, yadi tvamIzvarAtmajo bhavestarhyAjJayA pASANAnetAn pUpAn vidhehi|
2804040097	tataH sa pratyabravIt, itthaM likhitamAste, "manujaH kevalapUpena na jIviSyati, kintvIzvarasya vadanAd yAni yAni vacAMsi niHsaranti taireva jIviSyati|"
280405004c	tadA pratArakastaM puNyanagaraM nItvA mandirasya cUDopari nidhAya gaditavAn,
28040600dc	tvaM yadizvarasya tanayo bhavestarhIto'dhaH pata, yata itthaM likhitamAste, AdekSyati nijAn dUtAn rakSituM tvAM paramezvaraH| yathA sarvveSu mArgeSu tvadIyacaraNadvaye| na laget prastarAghAtastvAM ghariSyanti te karaiH||
2804070063	tadAnIM yIzustasmai kathitavAn etadapi likhitamAste, "tvaM nijaprabhuM paramezvaraM mA parIkSasva|"
2804080087	anantaraM pratArakaH punarapi tam atyuJcadharAdharopari nItvA jagataH sakalarAjyAni tadaizvaryyANi ca darzayAzcakAra kathayAJcakAra ca,
2804090049	yadi tvaM daNDavad bhavan mAM praNamestarhyaham etAni tubhyaM pradAsyAmi|
28040a0081	tadAnIM yIzustamavocat, dUrIbhava pratAraka, likhitamidam Aste, "tvayA nijaH prabhuH paramezvaraH praNamyaH kevalaH sa sevyazca|"
28040b0046	tataH pratArakeNa sa paryyatyAji, tadA svargIyadUtairAgatya sa siSeve|
28040c0051	tadanantaraM yohan kArAyAM babandhe, tadvArttAM nizamya yIzunA gAlIl prAsthIyata|
28040d0098	tataH paraM sa nAsarannagaraM vihAya jalaghestaTe sibUlUnnaptAlI etayoruvabhayoH pradezayoH sImnormadhyavarttI ya: kapharnAhUm tannagaram itvA nyavasat|
28040e0060	tasmAt, anyAdezIyagAlIli yarddanpAre'bdhirodhasi| naptAlisibUlUndezau yatra sthAne sthitau purA|
28040f00ad	tatratyA manujA ye ye paryyabhrAmyan tamisrake| tairjanairbRhadAlokaH paridarziSyate tadA| avasan ye janA deze mRtyucchAyAsvarUpake| teSAmupari lokAnAmAlokaH saMprakAzitaH||
2804100048	yadetadvacanaM yizayiyabhaviSyadvAdinA proktaM, tat tadA saphalam abhUt|
280411007e	anantaraM yIzuH susaMvAdaM pracArayan etAM kathAM kathayitum Arebhe, manAMsi parAvarttayata, svargIyarAjatvaM savidhamabhavat|
28041200b6	tataH paraM yIzu rgAlIlo jaladhestaTena gacchan gacchan Andriyastasya bhrAtA zimon arthato yaM pitaraM vadanti etAvubhau jalaghau jAlaM kSipantau dadarza, yatastau mInadhAriNAvAstAm|
280413005d	tadA sa tAvAhUya vyAjahAra, yuvAM mama pazcAd AgacchataM, yuvAmahaM manujadhAriNau kariSyAmi|
2804140031	tenaiva tau jAlaM vihAya tasya pazcAt AgacchatAm|
28041500a6	anantaraM tasmAt sthAnAt vrajan vrajan sivadiyasya sutau yAkUb yohannAmAnau dvau sahajau tAtena sArddhaM naukopari jAlasya jIrNoddhAraM kurvvantau vIkSya tAvAhUtavAn|
2804160045	tatkSaNAt tau nAvaM svatAtaJca vihAya tasya pazcAdgAminau babhUvatuH|
28041700ac	anantaraM bhajanabhavane samupadizan rAjyasya susaMvAdaM pracArayan manujAnAM sarvvaprakArAn rogAn sarvvaprakArapIDAzca zamayan yIzuH kRtsnaM gAlIldezaM bhramitum Arabhata|
28041800da	tena kRtsnasuriyAdezasya madhyaM tasya yazo vyApnot, aparaM bhUtagrastA apasmArargINaH pakSAdhAtiprabhRtayazca yAvanto manujA nAnAvidhavyAdhibhiH kliSTA Asan, teSu sarvveSu tasya samIpam AnIteSu sa tAn svasthAn cakAra|
2804190066	etena gAlIl-dikApani-yirUzAlam-yihUdIyadezebhyo yarddanaH pArAJca bahavo manujAstasya pazcAd Agacchan|
2805010045	anantaraM sa jananivahaM nirIkSya bhUdharopari vrajitvA samupaviveza|
2805020048	tadAnIM ziSyeSu tasya samIpamAgateSu tena tebhya eSA kathA kathyAJcakre|
2805030041	abhimAnahInA janA dhanyAH, yataste svargIyarAjyam adhikariSyanti|
2805040039	khidyamAnA manujA dhanyAH, yasmAt te sAntvanAM prApsanti|
280505003a	namrA mAnavAzca dhanyAH, yasmAt te medinIm adhikariSyanti|
280506004b	dharmmAya bubhukSitAH tRSArttAzca manujA dhanyAH, yasmAt te paritarpsyanti|
2805070034	kRpAlavo mAnavA dhanyAH, yasmAt te kRpAM prApsyanti|
280508003f	nirmmalahRdayA manujAzca dhanyAH, yasmAt ta IzcaraM drakSyanti|
2805090049	melayitAro mAnavA dhanyAH, yasmAt ta Izcarasya santAnatvena vikhyAsyanti|
28050a0050	dharmmakAraNAt tADitA manujA dhanyA, yasmAt svargIyarAjye teSAmadhikaro vidyate|
28050b0068	yadA manujA mama nAmakRte yuSmAn nindanti tADayanti mRSA nAnAdurvvAkyAni vadanti ca, tadA yuyaM dhanyAH|
28050c008c	tadA Anandata, tathA bhRzaM hlAdadhvaJca, yataH svarge bhUyAMsi phalAni lapsyadhve; te yuSmAkaM purAtanAn bhaviSyadvAdino'pi tAdRg atADayan|
28050d00dc	yuyaM medinyAM lavaNarUpAH, kintu yadi lavaNasya lavaNatvam apayAti, tarhi tat kena prakAreNa svAduyuktaM bhaviSyati? tat kasyApi kAryyasyAyogyatvAt kevalaM bahiH prakSeptuM narANAM padatalena dalayituJca yogyaM bhavati|
28050e0054	yUyaM jagati dIptirUpAH, bhUdharopari sthitaM nagaraM guptaM bhavituM nahi zakSyati|
28050f008e	aparaM manujAH pradIpAn prajvAlya droNAdho na sthApayanti, kintu dIpAdhAroparyyeva sthApayanti, tena te dIpA gehasthitAn sakalAn prakAzayanti|
2805100086	yena mAnavA yuSmAkaM satkarmmANi vilokya yuSmAkaM svargasthaM pitaraM dhanyaM vadanti, teSAM samakSaM yuSmAkaM dIptistAdRk prakAzatAm|
280511007f	ahaM vyavasthAM bhaviSyadvAkyaJca loptum AgatavAn, itthaM mAnubhavata, te dve loptuM nAgatavAn, kintu saphale karttum Agatosmi|
280512009f	aparaM yuSmAn ahaM tathyaM vadAmi yAvat vyomamedinyo rdhvaMso na bhaviSyati, tAvat sarvvasmin saphale na jAte vyavasthAyA ekA mAtrA bindurekopi vA na lopsyate|
28051300f0	tasmAt yo jana etAsAm AjJAnAm atikSudrAm ekAjJAmapI laMghate manujAMJca tathaiva zikSayati, sa svargIyarAjye sarvvebhyaH kSudratvena vikhyAsyate, kintu yo janastAM pAlayati, tathaiva zikSayati ca, sa svargIyarAjye pradhAnatvena vikhyAsyate|
2805140098	aparaM yuSmAn ahaM vadAmi, adhyApakaphirUzimAnavAnAM dharmmAnuSThAnAt yuSmAkaM dharmmAnuSThAne nottame jAte yUyam IzvarIyarAjyaM praveSTuM na zakSyatha|
2805150094	aparaJca tvaM naraM mA vadhIH, yasmAt yo naraM hanti, sa vicArasabhAyAM daNDArho bhaviSyati, pUrvvakAlInajanebhya iti kathitamAsIt, yuSmAbhirazrAvi|
2805160127	kintvahaM yuSmAn vadAmi, yaH kazcit kAraNaM vinA nijabhrAtre kupyati, sa vicArasabhAyAM daNDArho bhaviSyati; yaH kazcicca svIyasahajaM nirbbodhaM vadati, sa mahAsabhAyAM daNDArho bhaviSyati; punazca tvaM mUDha iti vAkyaM yadi kazcit svIyabhrAtaraM vakti, tarhi narakAgnau sa daNDArho bhaviSyati|
280517008e	ato vedyAH samIpaM nijanaivedye samAnIte'pi nijabhrAtaraM prati kasmAccit kAraNAt tvaM yadi doSI vidyase, tadAnIM tava tasya smRti rjAyate ca,
2805180080	tarhi tasyA vedyAH samIpe nijanaivaidyaM nidhAya tadaiva gatvA pUrvvaM tena sArddhaM mila, pazcAt Agatya nijanaivedyaM nivedaya|
28051900d1	anyaJca yAvat vivAdinA sArddhaM vartmani tiSThasi, tAvat tena sArddhaM melanaM kuru; no cet vivAdI vicArayituH samIpe tvAM samarpayati vicArayitA ca rakSiNaH sannidhau samarpayati tadA tvaM kArAyAM badhyethAH|
28051a0070	tarhi tvAmahaM taththaM bravImi, zeSakapardake'pi na parizodhite tasmAt sthAnAt kadApi bahirAgantuM na zakSyasi|
28051b0065	aparaM tvaM mA vyabhicara, yadetad vacanaM pUrvvakAlInalokebhyaH kathitamAsIt, tad yUyaM zrutavantaH;
28051c006e	kintvahaM yuSmAn vadAmi, yadi kazcit kAmataH kAJcana yoSitaM pazyati, tarhi sa manasA tadaiva vyabhicaritavAn|
28051d0097	tasmAt tava dakSiNaM netraM yadi tvAM bAdhate, tarhi tannetram utpATya dUre nikSipa, yasmAt tava sarvvavapuSo narake nikSepAt tavaikAGgasya nAzo varaM|
28051e008a	yadvA tava dakSiNaH karo yadi tvAM bAdhate, tarhi taM karaM chittvA dUre nikSipa, yataH sarvvavapuSo narake nikSepAt ekAGgasya nAzo varaM|
28051f005a	uktamAste, yadi kazcin nijajAyAM parityakttum icchati, tarhi sa tasyai tyAgapatraM dadAtu|
28052000a9	kintvahaM yuSmAn vyAharAmi, vyabhicAradoSe na jAte yadi kazcin nijajAyAM parityajati, tarhi sa tAM vyabhicArayati; yazca tAM tyaktAM striyaM vivahati, sopi vyabhicarati|
2805210087	punazca tvaM mRSA zapatham na kurvvan IzcarAya nijazapathaM pAlaya, pUrvvakAlInalokebhyo yaiSA kathA kathitA, tAmapi yUyaM zrutavantaH|
280522006b	kintvahaM yuSmAn vadAmi, kamapi zapathaM mA kArSTa, arthataH svarganAmnA na, yataH sa Izvarasya siMhAsanaM;
2805230061	pRthivyA nAmnApi na, yataH sA tasya pAdapIThaM; yirUzAlamo nAmnApi na, yataH sA mahArAjasya purI;
2805240057	nijazironAmnApi na, yasmAt tasyaikaM kacamapi sitam asitaM vA karttuM tvayA na zakyate|
280525006d	aparaM yUyaM saMlApasamaye kevalaM bhavatIti na bhavatIti ca vadata yata ito'dhikaM yat tat pApAtmano jAyate|
280526006a	aparaM locanasya vinimayena locanaM dantasya vinimayena dantaH pUrvvaktamidaM vacanaJca yuSmAbhirazrUyata|
2805270095	kintvahaM yuSmAn vadAmi yUyaM hiMsakaM naraM mA vyAghAtayata| kintu kenacit tava dakSiNakapole capeTAghAte kRte taM prati vAmaM kapolaJca vyAghoTaya|
2805280069	aparaM kenacit tvayA sArdhdaM vivAdaM kRtvA tava paridheyavasane jighRtite tasmAyuttarIyavasanamapi dehi|
280529005e	yadi kazcit tvAM krozamekaM nayanArthaM anyAyato dharati, tadA tena sArdhdaM krozadvayaM yAhi|
28052a0072	yazca mAnavastvAM yAcate, tasmai dehi, yadi kazcit tubhyaM dhArayitum icchati, tarhi taM prati parAMmukho mA bhUH|
28052b0070	nijasamIpavasini prema kuru, kintu zatruM prati dveSaM kuru, yadetat puroktaM vacanaM etadapi yUyaM zrutavantaH|
28052c00cf	kintvahaM yuSmAn vadAmi, yUyaM ripuvvapi prema kuruta, ye ca yuSmAn zapante, tAna, AziSaM vadata, ye ca yuSmAn RtIyante, teSAM maGgalaM kuruta, ye ca yuSmAn nindanti, tADayanti ca, teSAM kRte prArthayadhvaM|
28052d00b1	tatra yaH satAmasatAJcopari prabhAkaram udAyayati, tathA dhArmmikAnAmadhArmmikAnAJcopari nIraM varSayati tAdRzo yo yuSmAkaM svargasthaH pitA, yUyaM tasyaiva santAnA bhaviSyatha|
28052e0091	ye yuSmAsu prema kurvvanti, yUyaM yadi kevalaM tevveva prema kurutha, tarhi yuSmAkaM kiM phalaM bhaviSyati? caNDAlA api tAdRzaM kiM na kurvvanti?
28052f0078	aparaM yUyaM yadi kevalaM svIyabhrAtRtvena namata, tarhi kiM mahat karmma kurutha? caNDAlA api tAdRzaM kiM na kurvvanti?
280530004e	tasmAt yuSmAkaM svargasthaH pitA yathA pUrNo bhavati, yUyamapi tAdRzA bhavata|
2806010095	sAvadhAnA bhavata, manujAn darzayituM teSAM gocare dharmmakarmma mA kuruta, tathA kRte yuSmAkaM svargasthapituH sakAzAt kiJcana phalaM na prApsyatha|
28060200c4	tvaM yadA dadAsi tadA kapaTino janA yathA manujebhyaH prazaMsAM prAptuM bhajanabhavane rAjamArge ca tUrIM vAdayanti, tathA mA kuri, ahaM tubhyaM yathArthaM kathayAmi, te svakAyaM phalam alabhanta|
2806030052	kintu tvaM yadA dadAsi, tadA nijadakSiNakaro yat karoti, tad vAmakaraM mA jJApaya|
2806040061	tena tava dAnaM guptaM bhaviSyati yastu tava pitA guptadarzI, sa prakAzya tubhyaM phalaM dAsyati|
28060500c8	aparaM yadA prArthayase, tadA kapaTinaiva mA kuru, yasmAt te bhajanabhavane rAjamArgasya koNe tiSThanto lokAn darzayantaH prArthayituM prIyante; ahaM yuSmAn tathyaM vadAmi, te svakIyaphalaM prApnuvan|
28060600a8	tasmAt prArthanAkAle antarAgAraM pravizya dvAraM rudvvA guptaM pazyatastava pituH samIpe prArthayasva; tena tava yaH pitA guptadarzI, sa prakAzya tubhyaM phalaM dAsyati
280607008a	aparaM prArthanAkAle devapUjakAiva mudhA punaruktiM mA kuru, yasmAt te bodhante, bahuvAraM kathAyAM kathitAyAM teSAM prArthanA grAhiSyate|
2806080068	yUyaM teSAmiva mA kuruta, yasmAt yuSmAkaM yad yat prayojanaM yAcanAtaH prAgeva yuSmAkaM pitA tat jAnAti|
2806090058	ataeva yUyama IdRk prArthayadhvaM, he asmAkaM svargasthapitaH, tava nAma pUjyaM bhavatu|
28060a0052	tava rAjatvaM bhavatu; tavecchA svarge yathA tathaiva medinyAmapi saphalA bhavatu|
28060b0026	asmAkaM prayojanIyam AhAram adya dehi|
28060c0048	vayaM yathA nijAparAdhinaH kSamAmahe, tathaivAsmAkam aparAdhAn kSamasva|
28060d006e	asmAn parIkSAM mAnaya, kintu pApAtmano rakSa; rAjatvaM gauravaM parAkramaH ete sarvve sarvvadA tava; tathAstu|
28060e0059	yadi yUyam anyeSAm aparAdhAn kSamadhve tarhi yuSmAkaM svargasthapitApi yuSmAn kSamiSyate;
28060f006a	kintu yadi yUyam anyeSAm aparAdhAn na kSamadhve, tarhi yuSmAkaM janakopi yuSmAkam aparAdhAn na kSamiSyate|
28061000bb	aparam upavAsakAle kapaTino janA mAnuSAn upavAsaM jJApayituM sveSAM vadanAni mlAnAni kurvvanti, yUyaM taiva viSaNavadanA mA bhavata; ahaM yuSmAn tathyaM vadAmi te svakIyaphalam alabhanta|
28061100a5	yadA tvam upavasasi, tadA yathA lokaistvaM upavAsIva na dRzyase, kintu tava yo'gocaraH pitA tenaiva dRzyase, tatkRte nijazirasi tailaM marddaya vadanaJca prakSAlaya;
2806120041	tena tava yaH pitA guptadarzI sa prakAzya tubhyaM phalaM dAsyati|
2806130097	aparaM yatra sthAne kITAH kalaGkAzca kSayaM nayanti, caurAzca sandhiM karttayitvA corayituM zaknuvanti, tAdRzyAM medinyAM svArthaM dhanaM mA saMcinuta|
280614008c	kintu yatra sthAne kITAH kalaGkAzca kSayaM na nayanti, caurAzca sandhiM karttayitvA corayituM na zaknuvanti, tAdRze svarge dhanaM saJcinuta|
2806150044	yasmAt yatra sthAne yuSmAMka dhanaM tatraiva khAne yuSmAkaM manAMsi|
2806160078	locanaM dehasya pradIpakaM, tasmAt yadi tava locanaM prasannaM bhavati, tarhi tava kRtsnaM vapu rdIptiyuktaM bhaviSyati|
280617009f	kintu locane'prasanne tava kRtsnaM vapuH tamisrayuktaM bhaviSyati| ataeva yA dIptistvayi vidyate, sA yadi tamisrayuktA bhavati, tarhi tat tamisraM kiyan mahat|
28061800c1	kopi manujo dvau prabhU sevituM na zaknoti, yasmAd ekaM saMmanya tadanyaM na sammanyate, yadvA ekatra mano nidhAya tadanyam avamanyate; tathA yUyamapIzvaraM lakSmIJcetyubhe sevituM na zaknutha|
28061900d3	aparam ahaM yuSmabhyaM tathyaM kathayAmi, kiM bhakSiSyAmaH? kiM pAsyAmaH? iti prANadhAraNAya mA cintayata; kiM paridhAsyAmaH? iti kAyarakSaNAya na cintayata; bhakSyAt prANA vasanAJca vapUMSi kiM zreSThANi na hi?
28061a008d	vihAyaso vihaGgamAn vilokayata; tai rnopyate na kRtyate bhANDAgAre na saJcIyate'pi; tathApi yuSmAkaM svargasthaH pitA tebhya AhAraM vitarati|
28061b0071	yUyaM tebhyaH kiM zreSThA na bhavatha? yuSmAkaM kazcit manujaH cintayan nijAyuSaH kSaNamapi varddhayituM zaknoti?
28061c008c	aparaM vasanAya kutazcintayata? kSetrotpannAni puSpANi kathaM varddhante tadAlocayata| tAni tantUn notpAdayanti kimapi kAryyaM na kurvvanti;
28061d0056	tathApyahaM yuSmAn vadAmi, sulemAn tAdRg aizvaryyavAnapi tatpuSpamiva vibhUSito nAsIt|
28061e00ae	tasmAt kSadya vidyamAnaM zcaH cullyAM nikSepsyate tAdRzaM yat kSetrasthitaM kusumaM tat yadIzcara itthaM bibhUSayati, tarhi he stokapratyayino yuSmAn kiM na paridhApayiSyati?
28061f0055	tasmAt asmAbhiH kimatsyate? kiJca pAyiSyate? kiM vA paridhAyiSyate, iti na cintayata|
2806200063	yasmAt devArccakA apIti ceSTante; eteSu dravyeSu prayojanamastIti yuSmAkaM svargasthaH pitA jAnAti|
2806210064	ataeva prathamata IzvarIyarAjyaM dharmmaJca ceSTadhvaM, tata etAni vastUni yuSmabhyaM pradAyiSyante|
2806220068	zvaH kRte mA cintayata, zvaeva svayaM svamuddizya cintayiSyati; adyatanI yA cintA sAdyakRte pracuratarA|
