2a00000004	Luka
2a0120009f	Jel osă fije marje š osă s kjamje Bijatu alu Maj marje Dimizov. Domnu Dimizov osă idja autoritet s fije car kum Dimizov aobečit alu David, sămănca aluj.
2a01210058	Osă vladjaskă p sămănca alu Jakov zauvjek š cara aluj nikad nusă prestanjaskă.”
2a01220045	Marija ăntrijabă p anđelu: “Ali kum? Jo još nam fost ku omu.”
2a012300d4	Anđelu Gabrijel ja zăs: “Sufljetu alu Svăntuluj osă s slubuadje p tinje š săla alu Maj marje Dimizov osă t ănviljaskă. Š daja kupilu karje l fiča osă fije svănt š osă s kjamje Bijatu alu Dimizov.
2a01240098	Jakă, Elizabeta, rođakinja ata, aša bătărnă isto duče fičor. Aja ista mujarje, d karje arubit k nu puatje s ajbje kupi, a grja je d šasă lunj.
2a01250027	K alu Dimizov nimika nuje nemoguće!”
2a01260076	Marija azăs alu Gabrijel: “Jakă, argata sănt alu Domnuluj. S fije kum tu zăč!” Š Gabrijel apljikat dăla ja.
2a01270057	Duavă trje zălje dăpă aja, Marija majdată apljikat ăn sat ăn djalurj alu Judeje.
2a01280049	Kănd ja ažuns, auntrat ăn kasa alu Zaharija š apozdravit p Elizabeta.
2a0129009d	Kănd Elizabeta auzăt pozdravu alu Marije, kupilu ăn burtă alu Elizabetăj dăturdată mult sa miškat š Elizabeta sa napunit ku Sufljetu alu Svăntuluj.
2a012a0083	Elizabeta d radost marje ăntarje astrigat: “Maj mult ješt blagoslovită d tuatje mujerj š blagoslovit je kupilu ăn burta ata!
2a012b004a	Ku čaja amzaslužăt častula s m positjaskă mama alu Domnuluj alu mjov!
2a012c005c	Jakă kănd auzăt pozdravu alu tov, kupilu ăn burtă dăturdată mult sa miškat d radost!
2a012d005a	Blagoslovită ješt daja čaj krizut k osă s ispunjskă poruka karje ca trimjes Domnu!”
2a012e0034	Atunča Marija azăs: “Inima amja adrikă p Domnu,
2a012f0040	sufljetu alu mjov s radujaštje la Dimizov, Spasitelju alu mjov,
2a01300077	k p minje ma kuljes, p ponizna argata aluj! Audjec, pănd akuma tuată generacija osă zăkă k Dimizov ma blagoslovit,
2a0131005d	daja če Dimizov karje arje tuată săla afukut marje čudă d minje! Svănt je lumilje aluj.
2a0132004c	Iskazaštje milostu p toc ălja ăn tuată vrijamja karje arje frikă d jel.
2a01330056	Ku măna capănă afukut marje čudă š aputirit p lumja karje ponosni š umišljeni.
2a01340052	Jel aizbacăt p vladari s nu vladjaskă više, a adrikat p lumje karje je ponizni.
2a01350077	A p lumja karje irja flămănž lja nasitit ku binje, a p lumja karje bogată lja trimjes dăla jel ku mănilje gualje.
2a01370098	Jel ažutat alu Izrael, alu argatu aluj baš kum adat obečală alu sămănca anuastră, alu Abraham š alu kupi aluj, k osă lji fije uvjek d milă.”
2a01380045	Atunča Marija ku Elizabeta arămas njeđe trje lunj š sa tors akas.
2a0139003a	Alu Elizabeta avinjit vrijamja s fakă š ja afukut bijat.
2a013a007b	Kănd tuată familija alu je š komšiji auzăt d asta, kum Domnu afost aša d bun kătri ja, toc sa bukurat zajedno ku ja.
2a013b00ac	Kănd kupilu anapunit opt zălje, atribut s fije obrezăt, aša k komšiji š familija avinjit s proslavjaskă aja. Avrut p kupilu s l kjamje Zaharija kum tatusov s kjamă,
2a013c003a	ali Elizabeta azăs: “Nu, njego mora s s kjamje Ivan!”
2a013d004e	Komšiji š familija azăs: “Nimilja dăla familija ata nu s kjamă Ivan!”
2a013e0068	Atunča, daja če Zaharija na putut s audă, lumja ku mănilje la tribat kum jel vrja kupilu s s kjamă.
2a013f005a	Zaharija akătat s ji dja ploče s skrije š askris: “S kjamă Ivan”, š toc sa mirat.
2a0140007c	Dimizov alu Zaharije adiškis gura š ja dizljigat ljimba š jel dăturdată ančiput s rubjaskă š s slavjaskă p Dimizov.
2a014100b7	Kănd toc karje trija upruapje d jej avizut če Dimizov afukut alu Zaharije, lja fost frikă d Dimizov. Ăn tuatje saturlje ăn djalurlje alu Judeje, lumja rubja d aja če sa dogodit.
2a014200a1	Činje god auzăt d jej găndja d aja š sa tribat: “Atunča če osă fije d bijatusta kănd ufi marje?”, k Domnu sigurno osă fakă nješto marje pisti jel.
2a01430065	Sufljetu alu Svăntuluj aispunit p Zaharija, tata alu Ivan, š jel arubit asta porukă dăla Dimizov:
2a01440069	“Slava alu Domnuluj, Dimizov alu Izraelcilor, k avinjit s ažută alu narodu aluj š s lji izbavjaskă!
2a01450048	Š atrimjes nauvă marje Spasitelj dăn sămănca alu argatu aluj David,
2a01460047	kum jel d mult aobečit pisti vorba alu prorokurlje karje jel atrimjes:
2a01470061	s nji spasaskă dăla dušmani alji noštri š dăla mănă alu tuată lumja karje nji mrzaštje.
2a01480072	Jel asta afukut s pokazaskă milă alu sămănca anuastră aša ča ispunit savezu alu svănt karje afukut ku jej,
2a0149004a	aša ča ispunit obečala karje adat alu Abraham, alu anuastră sămănca.
2a014a0052	Kašă kum aobečit, nja skos dăla dušmanj s putjem s ji služăm frzdă frikă,
2a014b004f	s trijim kum Dimizov azăs š s fičem čije bun ăn tuatje zuvilje anuaštrje.
2a014c007d	A tu, bijatu alu mjov, osă t kjem proroku alu Maj marje Dimizov. Osă plječ la intja alu Domnuluj s ji pripremještj drumu.
2a014d005c	Osă ănvăc p narodu aluj s štije kum s s spasaskă kum s lji fije oprostit grešala alor.
2a014e008a	Daja če je Dimizov pljin d milă š arje osjećaj d noj, jel trimjatje lumina dăn čerj. Kašă suarilje karje sa drikă ăn diminjacă,
2a014f0092	Dimizov osă adukă lumina alu ălja karje trijaštje ăn nuaptje š arje frikă d muartje. Jel osă nji pokazaskă drumu karje aduče ăn mir.”
2a015000a3	Ivan akriskut š apostanit capăn ăn sufljet. Trija ăn lok undje nuje nimika. Kănd akriskut, jel ančiput la intja alu toc s rubjaskă alu naroduluj alu Izrael.
2a0201006c	Ăn vrijamaja caru alu Rimuluj, August, azapovjedit s fakă popisu d tuată lumje karje trijaštje ăn cara.
2a0202006f	Ăsta afost prvi popis d lumje karje sa dogodit ăn vrijamje pănd Kvirinije afost upravitelju p regija Sirija.
2a02030046	Toc apljikat ăn trgu undje trija sămănca aluj s s skrije ăn popis.
2a020400a3	Aša š Josip, karje afost sămănca alu caru David, apljikat dăn sat Nazaret ăn regije Galileje ăn sat Betlehem ăn regije Judeje, undje d mult sa fukut David.
2a0205005a	Jel apljikat una ku zaručnica aluj, Marija, s s skrije ăn popis. Marija već afost grja,
2a02060038	š pănd afost ăn Betlehem, ja vinjit vrijamja s fakă.
2a02070080	Ja afukut bijat, prvi kupil, la ănvilijat š la pus ăn aljbje daja če ăn sat undje irja sobje d gostjamje nu irja lok d jej.
2a02080050	Ăn nuaptjaja p păjenj upruapje d Betlehem, njeki pastirurj păza vojilje alor.
2a02090067	Dăturdată sa ukazăt anđelu alu Domnuluj š lja osvitljit slava alu Domnuluj š jej mult sa spirjat!
2a020a0067	Anđelu lja zăs: “Na vjec frikă! Jakă aduk vuavă Bună vorbă karje p tuată lumja s usričaskă!
2a020b0059	Astăz sa fukut vuavă Spasitelju ăn Betlehem, ăn trgu alu David. Jel je Kristu, Domnu!
2a020c0078	Aša osă štijec k je istina aja če zăk: Osă găsăc kupilu karje je ănvilijat ăn plahtă kum zače ăn aljbje.”
2a020d0060	Dăturdată alu anđeluj avinjit marje vuastje d anđelurlje dăn čerj karje aslavit p Dimizov:
2a020e005e	“Slava alu Dimizov karje vladjaštje p čerj, a p pămănt mir alu lumje karje ja ugodit.”
2a020f0093	Š anđelurlje apljikat dăla jej š sa tors p čerj. Pastiri arubit unu ku alc: “Ajdac ăn Betlehem s vidjem ča fost če nuavă azăs Domnu!”
2a0210006c	Apripit ăn Betlehem š ănklo angăsăt p Marija š p Josip ku kupilu če sa fukut karje azukut ăn aljbje.
2a0211003f	Kănd la găsăt, alu toc arubit aja če anđelu azăs d kupil.
2a0212004c	Š tuată lumja karje apus urjajke la pastirurj sa mirat d aja če lja zăs.
2a0213004d	A Marija nimika na mujtat d asta ča uzăt š găndja d aja ăn inima alu je.
2a0214007f	Pastiri sa tors la vojilje p karje păza š slavja š zahvalja alu Dimizov. Tot ča uzăt š avizut afost kum lja zăs anđelu.
2a02150095	D opt zălje maj ănklo kănd avinjit vrijamja s obrezaskă p kupilu, ja pus lumilje Isusu karje anđelu adat majdată njego če Marija arămas grja.
2a021600ac	Kănd avinjit vrijamja Marija s s očistjaskă kum skrije ăn zakonu alu Mojsije, Josip š Marija alat p Isusu š apljikat ăn Hram ăn Jeruzalem. La posvitit alu Domnuluj,
2a02170065	kum skrije ăn zakonu alu Domnuluj: “Tot bijatu karje prvi sa fukut pripadnjaštje alu Domnuluj.”
2a02180088	Š aprinisăt žrtvă kum mama aputja jar s fije čistă, kum zakonu alu Mojsije ănvacă: “duavă grlic ili doj goluburj tănărj.”
2a021900cc	Trija atunča unu om ăn Jeruzalem, s kjamă Šimun, karje irja pravedan š askulta zakonu alu Dimizov. Sufljetu alu Svăntuluj irja p jel š aštiptat p Dimizov s izbavjaskă p Izraelcurlje kum aobečit.
2a021a007e	Sufljetu alu Svăntuluj ja zăs k nusă muarje pănă god nu vjadje p Kristu karje Domnu atrimjes s izbavjaskă p narodu aluj.
2a021b009d	P zuvă kănd Josip š Marija adus kupilu Isusu s fakă obredu kum je skris ăn zakonu alu Mojsije, Sufljetu alu Svăntuluj adus p Šimun s pljače ăn Hram.
2a021c0044	Šimun alat p Isusu ăn mănj š aslavit p Dimizov ku vorbiljaštja:
2a021d005f	“Domnulje, maj ispunit obečala karje maj dat š akuma jo, argatu alu tov, pot s mor ăn mir.
2a021e0026	Akuma vojki alji mjej avizut spasjala,
2a021f002c	p spasitelju karje tu atrimjes d tot narodu.
2a0220006d	Jel je lumina s otkrijaskă istina ata alu tot narodu, ăla karje aduče slava alu Izrael, narodu alu tov.”
2a02210037	Josip š Marija sa mirat la vorbje če s rubja d Isusu.
2a022200fb	Šimun lja blagoslovit š azăs alu Marije, mama alu Isusuluj: “Jakă, Dimizov atrimjes p kupilusta k mulc Izraelcurj osă kadă š mulc osă adrikă. Dimizov la trimjes kašă znaku s pokazaskă drumu d spasjală, karje mulc inš osă l odbacaskă,
2a02230064	š aša osă arată rovu ăn inima alor. A kănd l odbacaštje, maču osă probijaskă inima ata.”
2a0224007d	Afost ăn Hram š proročică Ana, fata alu Fanuel dăn sămănca alu Ašer. Ja irja mult bătrnă. Afost šaptje aj ăn brak
2a0225009d	š atunča atrijit kašă udovica pănla optzăč š patru aj. Na išăt dăn Hram, njego ăn post š ăn molitvă aslužăt alu Dimizovuluj zuva š nuaptja.
2a022600b6	Baš kănd Šimunu azavršăt, avinjit Ana š ančiput s slavjaskă p Dimizov š s rubjaskă d Isusu alu toc karje aštiptat p Dimizov s izbavjaskă p Jeruzalem dăla dušmanji alor.
2a0227006f	Kănd Josip š Marija afukut kum zakonu alu Domnuluj azapovjedit, sa tors akas ăn Nazaret ăn regije Galileje.
2a02280062	Kupilu Isusu akriskut. Apostanit capăn š maj mult mudar š Dimizov nastavja s l blagoslovjaskă.
2a0229004e	Roditelji alu Isusuluj tot anu pljika ăn Jeruzalem kănd irja prazniku Pasha.
2a022a0056	Kănd Isusu avut duavăsprjače d aj, jej apljikat kašă uvjek s slavjaskă prazniku.
2a022b0080	Dăpă praznik, roditelji alu Isusuluj ančiput akas, a fălkovu Isusu arămas ăn Jeruzalem, ali roditelji aluj na štijut aja.
2a022c0080	Agăndit k Isusu je ăn grupa alor. Jej aumblat una zuvă a atunča ančiput s l katje ăntră familjije š ăntră ortač alor,
2a022d0044	ali nu la găsăt š aša sa tors ăn Jeruzalem š ănklo s l katje.
2a022e005f	Dăpă trje zălje la găsăt ăn Hram ăntră učiteljurj kum punje urjajke š lji ăntrjabă.
2a022f005e	Š toc karje apus urjajke la Isusu sa mirat kăt štije š kum binje odgovorjaštje p pitanje.
2a023000ba	Kănd jej angăsăt p Isusu na štijut če s găndjaskă. Azăs mumusa: “Bijatu alu mjov, dăče afukut tu asta nuavă? Jakă, tatutov š jo mult nja sikirit š noj pistot t kătam!”
2a02310066	Isusu azăs alor: “Dăče mas kătat? Dali voj nu štijic k jo mora s fiuv ăn kasa alu Tatimjov?”
2a0232002e	Ali jej nu razumja če jel avrut s lji zăkă.
2a0233007d	Isusu sa tors akas ku mumusa š ku tatusov ăn sat Nazaret š askulta p jej. A mumusa nimika na mujtat d asta če sa dogodit.
2a02340086	Isusu krištja š postanja još maj mult mudar š Dimizov l blagoslovja maj mult š maj mult, a lumja l poštuja maj mult š maj mult.
2a03010107	Afost činčsprjače d aj kum caru alu Rimuluj Tiberije ančiput s vladjaskă. Poncije Pilat afost upravitelju ăn regije Judeje. Herod avladit ăn regije Galileje, a fratusov Filip avladit ăn regije Itureje š Trahonitide, a Lizanije avladit ăn regije Abilene.
2a0302007a	Š Ana š Kaifa afost marj popurj ăn Jeruzalem. Ăn vrijamjaja Dimizov rubja alu Ivan, bijatu alu Zaharija, ăn pustinje.
2a030300b0	Jel apljikat ăn tuatje lokurj pănglă apă Jordan s rubjaskă alu lumjej k trjebje s s bătjază s pokazaskă kum sa okrinit dăla grešală š Dimizov lja oprostit grešala.
2a03040081	Kum askris proroku Izaija, Ivan afost “glasu karje strigă ăn pustinje: ‘Pripremic drumu d Domnu š očistic d jel stazilje!
2a03050075	Ispunic tuată dolina š poravnic tot djalu š brjegu! Ispravic drumu karje strămb š poravnic aja čije nuje ravno!
2a03060035	Tuată lumja osă vjadje spasjala alu Dimizovuluj!”
2a0307009d	Ivan rubja alu mulc lumje karje vinja s s bătjază: “Voj, šarpilor! Činje va zăs k aša d ljaznje putjec s fuđic dăla kaznă karje Dimizov trimjatje?
2a030800ef	Fičec binje karje arată k vas okrinit dăla grešala avuastră. Š vu ănšălăc akă găndic k ištjec sigurni samo daja če ištjec sămănca alu Abraham. Ali jo vu zăk, Dimizov puatje d bulovanjištja s stvurjaskă kupi alu Abraham!
2a03090096	Dimizov uskoro osă luvjaskă ku sukurja ăn tot ljemnu karje nu dă bun plod. Tot ljemnu karje nu dă bun plod osă fije tijat š arunkat ăn fok.”
2a030a003f	Antribat mulc lumje p Ivan: “Atunča če trjebje s fičem?”
2a030b00a4	Ivan lja zăs: “Činje arje duavă kămăšj, trjebje s dja alu ălja karje narje ničuna. A činje arje mănkarje, trjebje s podiljaskă ku ălja karje narje.”
2a030c0062	Avinjit s s bătjază čak š carinikurlje š la tribat: “Učiteljulje, če trjebje s fičem?”
2a030d0048	Ivan lja zăs: “Nu lăc maj marje porezu njego če je lumja datorj.”
2a030e00cb	Š la tribat vuastja: “A če trjebje noj s fičem?” Ivan lja zăs: “Nu lăc banji dăla nimilja ku săla š p nimilja nu punjec minčunj s dobidic banji. Njego fic zadovoljni ku plata avuastră.”
2a030f0059	Kum lumja očekuja k Kristu ăndată vinje, toc ăn inimă s ăntriba dal je Ivan Kristu.
2a031000d3	Daja Ivan alu toc azăs: “Jo p voj bătjez ku apa, ali vinje njeko maj marje d minje, atăta d marje k jo nu sănt dostojan čak s ji fiuv argat. Jel p voj osă bătjază ku Sufljetu alu Svăntuluj š ku foku.
2a031100aa	Jel osă fije kašă omu karje odvojaštje gruvu dăla jarbă. Gruvu osă sprimjaskă ăn ostavă, a jarba osă apringă ku foku karje nikad nu prestanjaštje s argă.”
2a03120046	Ivan rubja alu lumjej Bună vorbă d Dimizov ku multje altje opomenje.
2a031300bf	Ivan la intja alu toc la ukorit p Herod, karje irja vladaru dăn regije Galileje, daja če sa ănsurat ku Herodijada, karje afost mujarja alu fratisov, š d multje altje rovj ča fukut Herod.
2a03140076	Ali kănd la ukorit Ivan, Herod p tot aja adodajit još unu rov: jel adat alu vuastja aluj s puje p Ivan ăn kisuarje.
2a031500a8	Majdată njego če p Ivan la pus ăn kisuarje, kănd Ivan bătizat p toc karje avinjit la jel, jel bătizat š p Isusu. Atunča kănd Isusu sa rugat, čerju sa diškis,
2a031600ae	š Sufljetu alu Svăntuluj sa slubuzăt p jel ăn oblik kašă golubu. Dăn čerj sa uzăt glasu: “Tu ješt Bijatu alu mjov p karje jo vrjauv! Tu ješt radostu alu mjov!”
2a0317009f	Kănd Isusu ančiput s rubjaskă d Dimizov la intja alu toc, avut njeđe trjezăč d aj. P Isusu l kuništja k je bijatu alu Josip. Josip afost bijatu alu Eli,
2a03180091	Eli afost bijatu alu Matat, Matat afost bijatu alu Levi, Levi afost bijatu alu Malki, Malki afost bijatu alu Janaj, Janaj afost bijatu alu Josip,
2a03190097	Josip afost bijatu alu Matatija, Matatija afost bijatu alu Amos, Amos afost bijatu alu Naum, Naum afost bijatu alu Hesli, Hesli afost bijatu alu Nagaj,
2a031a009c	Nagaj afost bijatu alu Mahat, Mahat afost bijatu alu Matatija, Matatija afost bijatu alu Šimij, Šimij afost bijatu alu Joseh, Joseh afost bijatu alu Joda,
2a031b00a5	Joda afost bijatu alu Johanan, Johanan afost bijatu alu Resa, Resa afost bijatu alu Zerubabel, Zerubabel afost bijatu alu Šealtiel, Šealtiel afost bijatu alu Neri,
2a031c0091	Neri afost bijatu alu Malki, Malki afost bijatu alu Adi, Adi afost bijatu alu Kosam, Kosam afost bijatu alu Elmadam, Elmadam afost bijatu alu Er,
2a031d0097	Er afost bijatu alu Jošua, Jošua afost bijatu alu Eliezer, Eliezer afost bijatu alu Jorim, Jorim afost bijatu alu Matat, Matat afost bijatu alu Levi,
2a031e0097	Levi afost bijatu alu Šimun, Šimun afost bijatu alu Juda, Juda afost bijatu alu Josip, Josip afost bijatu alu Jonam, Jonam afost bijatu alu Elijakim,
2a031f009a	Elijakim afost bijatu alu Meleja, Meleja afost bijatu alu Mena, Mena afost bijatu alu Matata, Matata afost bijatu alu Natan, Natan afost bijatu alu David,
2a03200093	David afost bijatu alu Jišaj, Jišaj afost bijatu alu Obed, Obed afost bijatu alu Boaz, Boaz afost bijatu alu Sala, Sala afost bijatu alu Nahšon,
2a032100ba	Nahšon afost bijatu alu Aminadab, Aminadab afost bijatu alu Admin, Admin afost bijatu alu Arni, Arni afost bijatu alu Hesron, Hesron afost bijatu alu Peres, Peres afost bijatu alu Juda,
2a03220096	Juda afost bijatu alu Jakov, Jakov afost bijatu alu Izak, Izak afost bijatu alu Abraham, Abraham afost bijatu alu Terah, Terah afost bijatu alu Nahor,
2a0323008e	Nahor afost bijatu alu Serug, Serug afost bijatu alu Reu, Reu afost bijatu alu Peleg, Peleg afost bijatu alu Eber, Eber afost bijatu alu Sala,
2a03240096	Sala afost bijatu alu Kenan, Kenan afost bijatu alu Arpakšad, Arpakšad afost bijatu alu Šem, Šem afost bijatu alu Noa, Noa afost bijatu alu Lamek,
2a032500a7	Lamek afost bijatu alu Metušalah, Metušalah afost bijatu alu Henok, Henok afost bijatu alu Jered, Jered afost bijatu alu Mahalalel, Mahalalel afost bijatu alu Kenan,
2a03260075	Kenan afost bijatu alu Enoš, Enoš afost bijatu alu Šet, Šet afost bijatu alu Adam, Adam afost bijatu alu Dimizov.
2a0401006f	Isusu, pljin ku Sufljetu alu Svăntuluj, apljikat dăla apa Jordan š Sufljetu la dus ăn lok undje nuje nimika
2a0402008a	š d patruzăč d zălje š la iskušăt nikuratu. D zăljiljalja na mănkat nimik, š kănd atrikut patruzăč d zălje, afost flămănd.
2a04030066	A nikuratu ja zăs: “Akă ješt Bijatu alu Dimizovuluj, zi alu buluvanusta s postanjaskă mălaj.”
2a0404005e	Isusu ja odgovorit: “Skris je ăn Svăntă pismă: ‘Nu trijaštje omu samo d mălaj.’”
2a0405005f	Š nikuratu la dus p Isusu p marje djal š ja pokazăt dăturdată tuată cara alu pămăntuluj
2a04060070	š nikuratu zăče: “Cije osă zdauv asta tuată vlast š slava aluj. Mije je dat š jo dav alu činje vrjauv.
2a04070030	Akă t poklonještj la minje, tot je alu tov.”
2a04080080	Isusu ja odgovorit: “Skris je ăn Svăntă pismă: ‘Klanjaštje la Domnu, Dimizov alu tov, š aluj jedino služaštje!’”
2a0409008b	Nikuratu la dus ăn trg Jeruzalem š la pus p špic p Hram š zăče aluj: “Akă ješt Bijatu alu Dimizovuluj, arunkitje da iča ăn zos!
2a040a006b	Daja če skris je ăn Svăntă pismă: ‘Jel osă zapovidjaskă alu anđeli aluj d tinje s t păzaskă’,
2a040b004e	š: ‘p mănj s t adukă undje ku pičoru s nu t tu luvješt d buluvan.’”
2a040c005d	Isusu ja zăs: “Skris je ăn Svăntă pismă: ‘Nu iskuša p Domnu, Dimizov alu tov!’”
2a040d0063	Kănd iscrpit tuată kušnja, nikuratu sa udaljit dăla jel pănla nuavă prilikă s l iskušaskă.
2a040e007e	Isusu, pljin d snagă alu Sufljetuluj, sa tors ăn regija Galileja š vorba d jel sa proširit ăn tuatje lokurj ăn Galileja.
2a040f0068	Isusu ănvăca ăn lokurj undje židovi s strănđa š s ruga (karje s kjamă sinagoga) š toc l hvalja.
2a041000a6	Š atunča Isusu avinjit ăn Nazaret, ăn sat undje akriskut. Š kašă uvjek sămbătă untră ăn sinagogă š sa drikă s čitjaskă d Svănta pismă pănglă toc.
2a04110068	Alu Isusuluj antins knjiga alu prorokuluj Izaija. Jel adiškis knjiga š angăsăt lok undje stă skris:
2a041200ff	Sufljetu alu Domnuluj je p minje. Madat snagă š autoritet s rubjesk Bună vorbă alu săračilor. Matrimjes s rubjesk alu lumjej karje zarobic s puatje s pljače slobodni, s tork vidu alu vorbilor, s oslobodjesk p lumja dăla ălja karje lji mučaštje,
2a0413003c	š s rubjesk k ăsta an ăn karje Domnu arată aluj binilje.
2a0414009c	Atunča Isusu ankis knjiga, untuarče alu pomoćnikuluj š šadje s rubjaskă. Tuată lumja ăn sinagogă sujăta ăn jel š jedva štipta s zăkă nješto.
2a04150075	Š ančiput ku aštja vorbje s lji zăk: “Astăz sa ispunit aštja vorbje d Svănta pismă karje akuma amčitit.”
2a041600b6	Š kănd Isusu azavršăt ku vorba, toc karje irja ăn sinagogă rubja d jel š s mira d binilje alu Dimizovuluj d karje jel rubja. Jej rubja: “Dali nuje ăsta bijatu alu Josip?”
2a041700d3	A Isusu lji zăče: “Sigurno osă mi zăčec asta poslovică: ‘Doktorulje, likujaštje săngur p tinje!’ š: ‘Făj š aiča ăn trg undje ajkriskut aja čam auzăt če sa dogodit ăn trg Kafarnaum.’”
2a04180072	Š nastavit: “Asta poslovică je istinita: ‘Nimilja nu prihvatjaštje p proroku ăn lok undje jel akriskut’.
2a041900a8	Kum š štijec afost multje udovic ăn Izrael kănd proroku Ilija afost viuv. Atunča p trje aj š šasă lunj na fost pluaje š apostanit marje fuamje p tot pămăntu.
2a041a00ac	Ali Dimizov na trimjes p Ilija alu ničuna udovică ăn Izrael. Njego jel la trimjes s ažutje alu udovicăj karje na fost Židovkă ăn trg Sarfata majuprapje d trg Sidon.
2a041b00b3	Š isto aša kănd afost proroku Elizej viuv, ăn Izrael afost multje lumje karje avja gubă, zarazna buală p pjalje. Ali ničunu dăla jej nu sa likujit osim Naaman d Sirija.”
2a041c002e	Kănd auzăt, toc ăn sinagogă sa nikăžăt.
2a041d0068	Jej sa skulat, la putirit d trg š la dus p rub d litică p karje sagradit alor trgu s l runče ăn zos.
2a041e0035	Ali jel atrikut ăntră jej š apljikat p drumu aluj.
2a041f007a	Isusu sa slubăzăt zos ăn Kafarnaum, karje je još unu trg ăn regija Galileja, undje ănvacă sămbătă ăn sinagogă.
2a04200069	Š lumja karje punja urjajke afost zadivic ku văncală aluj daja če rubja kašă ăla karje arje vlast.
2a04210047	Afost ăn sinagoga omu ku sufljetu alu rov. Jel astrigat ăn tot glasu:
