010000000a	Бытие
010314007b	И нарек Адам имя жене своей: Ева, ибо она стала матерью всех живущих.
0103150071	И сделал Господь Бог Адаму и жене его одежды кожаные и одел их.
010316013c	И сказал Господь Бог: вот, Адам стал как один из Нас, зная добро и зло; и теперь как бы не простер он руки своей, и не взял также от дерева жизни, и не вкусил, и не стал жить вечно.
010317009f	И выслал его Господь Бог из сада Едемского, чтобы возделывать землю, из которой он взят.
01031800eb	И изгнал Адама, и поставил на востоке у сада Едемского Херувима и пламенный меч обращающийся, чтобы охранять путь к дереву жизни.
01040100b3	Адам познал Еву, жену свою; и она зачала, и родила Каина, и сказала: приобрела я человека от Господа.
010402008c	И еще родила брата его, Авеля. И был Авель пастырь овец, а Каин был земледелец.
0104030079	Спустя несколько времени, Каин принес от плодов земли дар Господу,
01040400b8	и Авель также принес от первородных стада своего и от тука их. И призрел Господь на Авеля и на дар его,
010405008a	а на Каина и на дар его не призрел. Каин сильно огорчился, и поникло лице его.
0104060089	И сказал Господь Бог Каину: почему ты огорчился? и отчего поникло лице твое?
0104070105	если делаешь доброе, то не поднимаешь ли лица? а если не делаешь доброго, то у дверей грех лежит; он влечет тебя к себе, но ты господствуй над ним.
01040800be	И сказал Каин Авелю, брату своему. И когда они были в поле, восстал Каин на Авеля, брата своего, и убил его.
01040900ab	И сказал Господь Бог Каину: где Авель, брат твой? Он сказал: не знаю; разве я сторож брату моему?
01040a0091	И сказал Господь: что ты сделал? голос крови брата твоего вопиет ко Мне от земли;
01040b00ae	и ныне проклят ты от земли, которая отверзла уста свои принять кровь брата твоего от руки твоей;
01040c00e7	когда ты будешь возделывать землю, она не станет более давать силы своей для тебя; ты будешь изгнанником и скитальцем на земле.
01040d007f	И сказал Каин Господу Богу: наказание мое больше, нежели снести можно;
01040e0119	вот, Ты теперь сгоняешь меня с лица земли, и от лица Твоего я скроюсь, и буду изгнанником и скитальцем на земле; и всякий, кто встретится со мною, убьет меня.
01040f011e	И сказал ему Господь Бог: за то всякому, кто убьет Каина, отомстится всемеро. И сделал Господь Бог Каину знамение, чтобы никто, встретившись с ним, не убил его.
0104100084	И пошел Каин от лица Господня и поселился в земле Нод, на восток от Едема.
01041100cf	И познал Каин жену свою; и она зачала и родила Еноха. И построил он город; и назвал город по имени сына своего: Енох.
01041200c2	У Еноха родился Ирад Гаидад; Ирад родил Мехиаеля Малелеила; Мехиаель родил Мафусала; Мафусал родил Ламеха.
010413006f	И взял себе Ламех две жены: имя одной: Ада, и имя второй: Цилла.
010414006a	Ада родила Иавала: он был отец живущих в шатрах со стадами.
0104150078	Имя брату его Иувал: он был отец всех играющих на гуслях и свирели.
01041600d2	Цилла также родила Тувалкаина (Фовела), который был ковачом всех орудий из меди и железа. И сестра Тувалкаина Ноема.
0104170104	И сказал Ламех женам своим: Ада и Цилла! послушайте голоса моего; жены Ламеховы! внимайте словам моим: я убил мужа в язву мне и отрока в рану мне;
010418007f	если за Каина отмстится всемеро, то за Ламеха в семьдесят раз всемеро.
0104190123	И познал Адам еще Еву, жену свою, и она родила сына, и нарекла ему имя: Сиф, потому что, говорила она, Бог положил мне другое семя, вместо Авеля, которого убил Каин.
01041a00a4	У Сифа также родился сын, и он нарек ему имя: Енос; тогда начали призывать имя Господа Бога.
0105010090	Вот родословие Адама: когда Бог сотворил человека, по подобию Божию создал его,
01050200a9	мужчину и женщину сотворил их, и благословил их, и нарек им имя: человек, в день сотворения их.
01050300ae	Адам жил сто тридцать лет и родил сына по подобию своему и по образу своему, и нарек ему имя: Сиф.
010504008c	Дней Адама по рождении им Сифа было восемьсот лет, и родил он сынов и дочерей.
0105050079	Всех же дней жизни Адамовой было девятьсот тридцать лет; и он умер.
010506003e	Сиф жил сто пять лет и родил Еноса.
010507007d	По рождении Еноса Сиф жил восемьсот семь лет и родил сынов и дочерей.
0105080070	Всех же дней Сифовых было девятьсот двенадцать лет; и он умер.
0105090047	Енос жил девяносто лет и родил Каинана.
01050a008f	По рождении Каинана Енос жил восемьсот пятнадцать лет и родил сынов и дочерей.
01050b0060	Всех же дней Еноса было девятьсот пять лет; и он умер.
01050c004f	Каинан жил семьдесят лет и родил Малелеила.
01050d008d	По рождении Малелеила Каинан жил восемьсот сорок лет и родил сынов и дочерей.
01050e0068	Всех же дней Каинана было девятьсот десять лет; и он умер.
01050f0058	Малелеил жил шестьдесят пять лет и родил Иареда.
0105100091	По рождении Иареда Малелеил жил восемьсот тридцать лет и родил сынов и дочерей.
010511007b	Всех же дней Малелеила было восемьсот девяносто пять лет; и он умер.
0105120057	Иаред жил сто шестьдесят два года и родил Еноха.
0105130078	По рождении Еноха Иаред жил восемьсот лет и родил сынов и дочерей.
0105140077	Всех же дней Иареда было девятьсот шестьдесят два года; и он умер.
0105150054	Енох жил шестьдесят пять лет и родил Мафусала.
0105160093	И ходил Енох пред Богом, по рождении Мафусала, триста лет и родил сынов и дочерей.
010517005d	Всех же дней Еноха было триста шестьдесят пять лет.
0105180072	И ходил Енох пред Богом; и не стало его, потому что Бог взял его.
010519005f	Мафусал жил сто восемьдесят семь лет и родил Ламеха.
01051a009a	По рождении Ламеха Мафусал жил семьсот восемьдесят два года и родил сынов и дочерей.
01051b007f	Всех же дней Мафусала было девятьсот шестьдесят девять лет; и он умер.
01051c0057	Ламех жил сто восемьдесят два года и родил сына,
01051d00ec	и нарек ему имя: Ной, сказав: он утешит нас в работе нашей и в трудах рук наших при возделывании земли, которую проклял Господь Бог.
01051e008f	И жил Ламех по рождении Ноя пятьсот девяносто пять лет и родил сынов и дочерей.
01051f0071	Всех же дней Ламеха было семьсот семьдесят семь лет; и он умер.
0105200073	Ною было пятьсот лет и родил Ной трех сынов: Сима, Хама и Иафета.
0106010071	Когда люди начали умножаться на земле и родились у них дочери,
01060200bd	тогда сыны Божии увидели дочерей человеческих, что они красивы, и брали их себе в жены, какую кто избрал.
01060300f8	И сказал Господь Бог: не вечно Духу Моему быть пренебрегаемым человеками сими, потому что они плоть; пусть будут дни их сто двадцать лет.
010604013b	В то время были на земле исполины, особенно же с того времени, как сыны Божии стали входить к дочерям человеческим, и они стали рождать им: это сильные, издревле славные люди.
01060500e9	И увидел Господь Бог, что велико развращение человеков на земле, и что все мысли и помышления сердца их были зло во всякое время;
010606008f	и раскаялся Господь, что создал человека на земле, и восскорбел в сердце Своем.
010607011d	И сказал Господь: истреблю с лица земли человеков, которых Я сотворил, от человека до скотов, и гадов и птиц небесных истреблю, ибо Я раскаялся, что создал их.
0106080056	Ной же обрел благодать пред очами Господа Бога.
01060900a0	Вот житие Ноя: Ной был человек праведный и непорочный в роде своем; Ной ходил пред Богом.
01060a004a	Ной родил трех сынов: Сима, Хама и Иафета.
01060b0083	Но земля растлилась пред лицем Божиим, и наполнилась земля злодеяниями.
01060c00b3	И воззрел Господь Бог на землю, и вот, она растленна, ибо всякая плоть извратила путь свой на земле.
01060d00f7	И сказал Господь Бог Ною: конец всякой плоти пришел пред лице Мое, ибо земля наполнилась от них злодеяниями; и вот, Я истреблю их с земли.
01060e00b6	Сделай себе ковчег из дерева гофер; отделения сделай в ковчеге и осмоли его смолою внутри и снаружи.
01060f00be	И сделай его так: длина ковчега триста локтей; ширина его пятьдесят локтей, а высота его тридцать локтей.
01061000f5	И сделай отверстие в ковчеге, и в локоть сведи его вверху, и дверь в ковчег сделай с боку его; устрой в нем нижнее, второе и третье жилье.
0106110103	И вот, Я наведу на землю потоп водный, чтоб истребить всякую плоть, в которой есть дух жизни, под небесами; все, что есть на земле, лишится жизни.
01061200c4	Но с тобою Я поставлю завет Мой, и войдешь в ковчег ты, и сыновья твои, и жена твоя, и жены сынов твоих с тобою.
0106130140	Введи также в ковчег из всякого скота, и из всех гадов, и из всех животных, и от всякой плоти по паре, чтоб они остались с тобою в живых; мужеского пола и женского пусть они будут.
010614014e	Из всех птиц по роду их, и из всех скотов по роду их, и из всех пресмыкающихся по земле по роду их, из всех по паре войдут к тебе, чтобы остались в живых с тобою, мужеского пола и женского.
01061500b2	Ты же возьми себе всякой пищи, какою питаются, и собери к себе; и будет она для тебя и для них пищею.
010616006e	И сделал Ной все как повелел ему Господь Бог, так он и сделал.
01070100cf	И сказал Господь Бог Ною: войди ты и все семейство твое в ковчег, ибо тебя увидел Я праведным предо Мною в роде сем;
01070200dc	и всякого скота чистого возьми по семи, мужеского пола и женского, а из скота нечистого по два, мужеского пола и женского;
0107030127	также и из птиц небесных чистых по семи, мужеского пола и женского, и из всех птиц нечистых по две, мужеского пола и женского, чтобы сохранить племя для всей земли,
01070400ec	ибо чрез семь дней Я буду изливать дождь на землю сорок дней и сорок ночей; и истреблю все существующее, что Я создал, с лица земли.
010705004f	Ной сделал все, что Господь Бог повелел ему.
0107060068	Ной же был шестисот лет, как потоп водный пришел на землю.
0107070094	И вошел Ной и сыновья его, и жена его, и жены сынов его с ним в ковчег от вод потопа.
01070800dc	И из птиц чистых и из птиц нечистых, и из скотов чистых и из скотов нечистых, и из зверей и из всех пресмыкающихся по земле
0107090099	по паре, мужеского пола и женского, вошли к Ною в ковчег, как Господь Бог повелел Ною.
01070a004e	Чрез семь дней воды потопа пришли на землю.
01070b011a	В шестисотый год жизни Ноевой, во второй месяц, в семнадцатый день месяца, в сей день разверзлись все источники великой бездны, и окна небесные отворились;
01070c0056	и лился на землю дождь сорок дней и сорок ночей.
01070d00c6	В сей самый день вошел в ковчег Ной, и Сим, Хам и Иафет, сыновья Ноевы, и жена Ноева, и три жены сынов его с ними.
01070e011b	Они, и все звери земли по роду их, и всякий скот по роду его, и все гады, пресмыкающиеся по земле, по роду их, и все летающие по роду их, все птицы, все крылатые,
01070f00b1	и вошли к Ною в ковчег по паре мужеского пола и женского от всякой плоти, в которой есть дух жизни;
01071000f3	и вошедшие к Ною в ковчег мужеский и женский пол всякой плоти вошли, как повелел ему Господь Бог. И затворил Господь Бог за ним ковчег.
01071100e2	И продолжалось на земле наводнение сорок дней и сорок ночей, и умножилась вода, и подняла ковчег, и он возвысился над землею;
010712009b	вода же усиливалась и весьма умножалась на земле, и ковчег плавал по поверхности вод.
01071300b7	И усилилась вода на земле чрезвычайно, так что покрылись все высокие горы, какие есть под всем небом;
0107140089	на пятнадцать локтей поднялась над ними вода, и покрылись все высокие горы.
01071500d6	И лишилась жизни всякая плоть, движущаяся по земле, и птицы, и скоты, и звери, и все гады, ползающие по земле, и все люди;
0107160076	все, что имело дыхание духа жизни в ноздрях своих на суше, умерло.
0107170154	Истребилось всякое существо, которое было на поверхности всей земли; от человека до скота, и гадов, и птиц небесных, - все истребилось с земли, остался только Ной и что было с ним в ковчеге.
0107180058	Вода же усиливалась на земле сто пятьдесят дней.
0108010135	И вспомнил Бог о Ное, и о всех зверях, и о всех скотах, и о всех птицах, и о всех гадах пресмыкающихся, бывших с ним в ковчеге; и навел Бог ветер на землю, и воды остановились.
010802007f	И закрылись источники бездны и окна небесные, и перестал дождь с неба.
01080300ae	Вода же постепенно возвращалась с земли, и стала убывать вода по окончании ста пятидесяти дней.
010804009d	И остановился ковчег в седьмом месяце, в семнадцатый день месяца, на горах Араратских.
01080500ad	Вода постоянно убывала до десятого месяца; в первый день десятого месяца показались верхи гор.
0108060073	По прошествии сорока дней Ной открыл сделанное им окно ковчега
01080700dc	и выпустил ворона, чтобы видеть, убыла ли вода с земли, который, вылетев, отлетал и прилетал, пока осушилась земля от воды.
0108080081	Потом выпустил от себя голубя, чтобы видеть, сошла ли вода с лица земли,
0108090143	но голубь не нашел места покоя для ног своих и возвратился к нему в ковчег, ибо вода была еще на поверхности всей земли; и он простер руку свою, и взял его, и принял к себе в ковчег.
01080a007a	И помедлил еще семь дней других и опять выпустил голубя из ковчега.
01080b00dc	Голубь возвратился к нему в вечернее время, и вот, свежий масличный лист во рту у него, и Ной узнал, что вода сошла с земли.
01080c00a0	Он помедлил еще семь дней других и опять выпустил голубя; и он уже не возвратился к нему.
01080d0125	Шестьсот первого года жизни Ноевой к первому дню первого месяца иссякла вода на земле; и открыл Ной кровлю ковчега и посмотрел, и вот, обсохла поверхность земли.
01080e0077	И во втором месяце, к двадцать седьмому дню месяца, земля высохла.
01080f002d	И сказал Господь Бог Ною:
0108100086	выйди из ковчега ты и жена твоя, и сыновья твои, и жены сынов твоих с тобою;
010811015b	выведи с собою всех животных, которые с тобою, от всякой плоти, из птиц, и скотов, и всех гадов, пресмыкающихся по земле: пусть разойдутся они по земле, и пусть плодятся и размножаются на земле.
010812006b	И вышел Ной и сыновья его, и жена его, и жены сынов его с ним;
01081300bb	все звери, и весь скот, и все гады, и все птицы, все движущееся по земле, по родам своим, вышли из ковчега.
01081400e7	И устроил Ной жертвенник Господу; и взял из всякого скота чистого и из всех птиц чистых и принес во всесожжение на жертвеннике.
01081501b3	И обонял Господь приятное благоухание, и сказал Господь Бог в сердце Своем: не буду больше проклинать землю за человека, потому что помышление сердца человеческого - зло от юности его; и не буду больше поражать всего живущего, как Я сделал:
01081600a6	впредь во все дни земли сеяние и жатва, холод и зной, лето и зима, день и ночь не прекратятся.
01090100c3	И благословил Бог Ноя и сынов его и сказал им: плодитесь и размножайтесь, и наполняйте землю и обладайте ею;
010902011f	да страшатся и да трепещут вас все звери земные, и весь скот земной, и все птицы небесные, все, что движется на земле, и все рыбы морские: в ваши руки отданы они;
0109030087	все движущееся, что живет, будет вам в пищу; как зелень травную даю вам все;
0109040052	только плоти с душею ее, с кровью ее, не ешьте;
01090500ed	Я взыщу и вашу кровь, в которой жизнь ваша, взыщу ее от всякого зверя, взыщу также душу человека от руки человека, от руки брата его;
01090600bf	кто прольет кровь человеческую, того кровь прольется рукою человека: ибо человек создан по образу Божию;
0109070099	вы же плодитесь и размножайтесь, и распространяйтесь по земле, и умножайтесь на ней.
010908003d	И сказал Бог Ною и сынам его с ним:
0109090074	вот, Я поставляю завет Мой с вами и с потомством вашим после вас,
01090a0128	и со всякою душею живою, которая с вами, с птицами и со скотами, и со всеми зверями земными, которые у вас, со всеми вышедшими из ковчега, со всеми животными земными;
01090b00ea	поставляю завет Мой с вами, что не будет более истреблена всякая плоть водами потопа, и не будет уже потопа на опустошение земли.
01090c0108	И сказал Господь Бог: вот знамение завета, который Я поставляю между Мною и между вами и между всякою душею живою, которая с вами, в роды навсегда:
01090d00ae	Я полагаю радугу Мою в облаке, чтоб она была знамением вечного завета между Мною и между землею.
01090e007e	И будет, когда Я наведу облако на землю, то явится радуга Моя в облаке;
01090f011b	и Я вспомню завет Мой, который между Мною и между вами и между всякою душею живою во всякой плоти; и не будет более вода потопом на истребление всякой плоти.
0109100113	И будет радуга Моя в облаке, и Я увижу ее, и вспомню завет вечный между Богом и между землею и между всякою душею живою во всякой плоти, которая на земле.
01091100c4	И сказал Бог Ною: вот знамение завета, который Я поставил между Мною и между всякою плотью, которая на земле.
0109120090	Сыновья Ноя, вышедшие из ковчега, были: Сим, Хам и Иафет. Хам же был отец Ханаана.
010913006a	Сии трое были сыновья Ноевы, и от них населилась вся земля.
010914005d	Ной начал возделывать землю и насадил виноградник;
010915006c	и выпил он вина, и опьянел, и лежал обнаженным в шатре своем.
0109160099	И увидел Хам, отец Ханаана, наготу отца своего, и выйдя рассказал двум братьям своим.
0109170123	Сим же и Иафет взяли одежду и, положив ее на плечи свои, пошли задом и покрыли наготу отца своего; лица их были обращены назад, и они не видали наготы отца своего.
0109180083	Ной проспался от вина своего и узнал, что сделал над ним меньший сын его,
010919006d	и сказал: проклят Ханаан; раб рабов будет он у братьев своих.
01091a0081	Потом сказал: благословен Господь Бог Симов; Ханаан же будет рабом ему;
01091b00a2	да распространит Бог Иафета, и да вселится он в шатрах Симовых; Ханаан же будет рабом ему.
01091c0050	И жил Ной после потопа триста пятьдесят лет.
01091d006c	Всех же дней Ноевых было девятьсот пятьдесят лет, и он умер.
010a010095	Вот родословие сынов Ноевых: Сима, Хама и Иафета. После потопа родились у них дети.
010a020078	Сыны Иафета: Гомер, Магог, Мадай, Иаван, Елиса, Фувал, Мешех и Фирас.
