0100000008	Kejadian
01021800c2	Itulah sebabnya, ketika seorang laki-laki dan seorang perempuan membentuk keluarga baru, laki-laki akan meninggalkan orangtuanya dan bersatu dengan istrinya, sehingga mereka berdua menjadi satu.
0102190058	Laki-laki dan perempuan itu telanjang, tetapi keduanya tidak merasa malu satu sama lain.
010301011a	Ular merupakan binatang yang paling licik di antara semua binatang liar yang diciptakan TUHAN Allah. Suatu hari, ular datang kepada perempuan dan bertanya, “Apa benar Allah berkata kepada kalian bahwa kalian tidak boleh makan buah-buahan dari pohon mana pun di dalam taman ini?”
0103020059	Jawab perempuan itu kepadanya, “Bukan begitu. Kami boleh makan semua buah di taman ini,
0103030092	kecuali buah dari pohon yang ada di tengah taman. TUHAN melarang kami menyentuh, apalagi memakan buahnya. Kalau kami melanggar, kami akan mati.”
0103040039	Lalu kata ular kepadanya, “Tidak! Kamu tidak akan mati!
01030500e6	Allah berkata begitu karena Dia tahu bahwa kalau kalian memakan buah dari pohon yang di tengah taman itu, mata dan pikiran kalian akan terbuka, sehingga kalian menjadi seperti Dia, yaitu mengetahui hal yang baik dan yang buruk.”
010306013b	Perempuan itu pun melihat bahwa buah pohon tersebut sangat indah dipandang dan tampaknya sedap untuk dimakan. Lagipula, dia juga ingin menjadi bijaksana. Karena itu, dia memetik beberapa buah pohon itu dan memakannya. Dia juga memberikan buah itu kepada suaminya untuk dimakan. Segera sesudah mereka makan buah itu,
01030700b7	mata dan pikiran mereka tiba-tiba terbuka. Mereka malu karena menyadari bahwa mereka telanjang. Maka keduanya menyambung beberapa daun pohon ara untuk menutupi tubuhnya masing-masing.
01030800e9	Menjelang sore hari, ketika angin sepoi-sepoi mulai berhembus, mereka mendengar langkah kaki TUHAN Allah yang sedang berjalan di taman. Laki-laki itu dan istrinya pun bersembunyi di balik pepohonan, supaya TUHAN tidak melihat mereka.
0103090048	Tetapi TUHAN memanggil laki-laki itu dan berkata, “Di manakah kamu?”
01030a0086	Jawab laki-laki itu, “Aku mendengar bunyi langkah kaki-Mu di taman ini dan aku takut, karena aku telanjang. Jadi aku bersembunyi.”
01030b0082	Lalu TUHAN berkata, “Bagaimana kamu bisa tahu bahwa kamu telanjang? Apa kamu sudah makan buah dari pohon yang Aku larang itu?”
01030c0098	Laki-laki itu menjawab, “Ya, tetapi itu gara-gara perempuan yang Engkau berikan kepadaku. Dialah yang memberikan buah itu, sehingga aku memakannya.”
01030d009c	Lalu TUHAN Allah bertanya kepada perempuan, “Mengapa kamu melakukan itu?” Jawab perempuan itu, “Ular sudah menipu aku, sehingga aku makan buah itu!”
01030e013f	Maka berkatalah TUHAN kepada ular itu, “Karena kamu sudah melakukan hal ini, maka di antara semua hewan ternak dan binatang buas, hanya kamu dan keturunanmu yang akan Aku hukum. Mulai sekarang, kamu dan semua keturunanmu akan bergerak dengan menjalar menggunakan perut, dan kamu terpaksa menjilat debu seumur hidupmu.
01030f00de	Aku akan membuat kamu dan perempuan ini saling bermusuhan. Keturunanmu dan keturunannya akan selalu bermusuhan. Kamu akan menggigit tumit keturunannya yang laki-laki, tetapi keturunannya itu akan menghancurkan kepalamu.”
01031000c3	Kepada perempuan itu, TUHAN berkata, “Aku akan memperbesar penderitaan dan kesakitanmu saat melahirkan. Kamu akan merasa ingin berkuasa atas suamimu, tetapi dialah yang akan berkuasa atasmu.”
0103110134	Kepada laki-laki itu, TUHAN berkata, “Aku memerintahkanmu untuk tidak makan buah dari pohon itu, tetapi kamu melanggarnya dengan menuruti perkataan istrimu. Oleh karena perbuatanmu itu, Aku mengutuk tanah. Sepanjang hidupmu, kamu akan bekerja dengan susah payah untuk dapat menghasilkan makanan dari tanah.
010312006b	Tanah akan cenderung menghasilkan semak dan tumbuhan berduri, dan kamu terpaksa makan tumbuh-tumbuhan liar.
01031300e3	Sepanjang hidupmu, sebelum kamu mati dan kembali menjadi tanah, kamu harus bermandi keringat untuk menghasilkan makanan dari tanah kebunmu. Aku menciptakanmu dari tanah, dan kamu akan kembali menjadi tanah sesudah kamu mati.”
0103140092	Laki-laki itu bernama Adam. Adam menamai istrinya Hawa— yang berarti ‘pemberi kehidupan’— karena seluruh umat manusia adalah keturunannya.
010315004a	TUHAN membuat pakaian dari kulit binatang dan memakaikannya kepada mereka.
0103160107	Kemudian berkatalah TUHAN, “Sekarang mereka sudah menjadi seperti Kita dalam hal dapat membedakan yang baik dan yang buruk. Karena itu, jangan sampai mereka memetik dan makan buah dari pohon kehidupan. Aku tidak mengizinkan mereka untuk hidup selama-lamanya.”
010317006c	Jadi, TUHAN mengusir Adam dan Hawa keluar dari Taman Eden untuk menggarap tanah, yang darinya Adam dibentuk.
0103180132	Sesudah itu, TUHAN menempatkan beberapa malaikat penjaga di pintu masuk Taman Eden, yang terletak di sebelah timur taman itu. TUHAN juga menempatkan sebilah pedang berapi yang dengan sendirinya bergerak menghalangi jalan yang menuju ke pohon kehidupan, sehingga tidak ada orang yang bisa mengambil buahnya.
01040100ff	Adam dan Hawa pun hidup bersama sebagai suami-istri. Lalu Hawa mengandung dan melahirkan seorang anak laki-laki. Pada waktu anak itu lahir, Hawa berkata, “TUHAN sudah menolongku untuk memperoleh seorang anak laki-laki.” Maka dia menamai anak itu Kain.
01040200bf	Beberapa waktu kemudian, Hawa melahirkan seorang anak laki-laki lagi, dan menamai dia Habel. Sesudah kedua anak itu dewasa, Kain menjadi petani, sedangkan Habel menjadi gembala kambing domba.
0104030053	Suatu hari, Kain memanen hasil kebunnya lalu mempersembahkan sebagian kepada TUHAN.
01040400d4	Habel juga mengambil beberapa ekor anak domba yang sulung dari kawanan ternaknya, lalu mempersembahkan bagian-bagian terbaik dari daging domba-domba itu kepada TUHAN. TUHAN senang kepada Habel dan persembahannya,
010405006d	tetapi tidak kepada Kain dan persembahannya. Karena itu, Kain sangat sakit hati, dan mukanya kelihatan masam.
010406004c	Maka TUHAN berkata kepada Kain, “Tidak usah marah! Janganlah mukamu masam!
01040700fd	Kalau kamu melakukan yang benar, tentu Aku akan menerima persembahan-persembahanmu. Tetapi kalau kamu terus melakukan yang tidak benar, kuasa dosa— yang bagaikan binatang buas— sudah siap menerkam dan menguasaimu. Kamu harus mampu mengalahkannya.”
010408009f	Meski begitu, suatu hari Kain berkata kepada adiknya, “Habel, ayo kita ke ladang.” Setibanya mereka di ladang, tiba-tiba Kain menyerang dan membunuh Habel.
010409007b	Kemudian TUHAN bertanya kepada Kain, “Di manakah Habel adikmu?” Jawab Kain, “Aku tidak tahu. Aku bukan penjaganya!”
01040a00bc	Maka berkatalah TUHAN kepadanya, “Kamu sudah melakukan dosa besar! Dalam pandangan-Ku, darah adikmu yang sudah meresap ke tanah bagaikan suara Habel yang berseru-seru meminta pembalasan.
01040b00f7	Karena kamu sudah membunuh adikmu sendiri, Aku mengusir kamu dari tanah yang sudah tercemar oleh darah adikmu ini. Sebagai kutukan bagimu, biarlah tanah di bumi tidak lagi memberi hasil yang baik untukmu, meskipun kamu berusaha keras menggarapnya!
01040c00cb	Sebelumnya, tanah sangat subur bagimu. Tetapi mulai sekarang, apabila kamu menggarap dan menanam, tanah tidak akan memberi hasil yang baik lagi kepadamu, sehingga kamu terpaksa hidup berpindah-pindah.”
01040d0057	Jawab Kain kepada TUHAN, “Hukuman itu terlalu berat! Aku tidak sanggup menanggungnya.
01040e009d	Engkau mengusir aku dari tanah ini dan menjauhkan aku dari hadapan-Mu. Aku terpaksa hidup berpindah-pindah, dan siapa saja yang melihatku akan membunuhku!”
01040f0123	Tetapi TUHAN berkata kepadanya, “Tidak. Hal itu tidak akan terjadi. Aku akan memberi tanda di tubuhmu supaya orang tahu bahwa kamu tidak boleh dibunuh. Kalau kamu dibunuh, maka tujuh orang lain harus dibunuh sebagai pembalasan atas pembunuhanmu.” Lalu TUHAN memberi tanda pada dahi Kain.
0104100073	Kemudian Kain pergi dari hadapan TUHAN dan tinggal di tanah yang disebut Nod, letaknya di sebelah timur Taman Eden.
01041100bd	Kain menikah, lalu istrinya mengandung dan melahirkan seorang anak laki-laki yang diberi nama Henok. Pada waktu Kain membangun sebuah kota, dia menamai kota itu Henok, seperti nama anaknya.
010412007e	Selanjutnya, anak Henok adalah Irad. Anak Irad adalah Mehuyael. Anak Mehuyael adalah Metusael. Dan anak Metusael adalah Lamek.
0104130033	Lamek menikahi dua perempuan, yaitu Adah dan Zilah.
0104140135	Adah melahirkan dua anak yang bernama Yabal dan Yubal. Yabal adalah leluhur dari bangsa yang menjadi peternak. Karena kawanan ternak perlu berpindah-pindah tempat, maka Yabal menjadi orang pertama yang selalu hidup berkemah. Yubal, adik Yabal, adalah orang pertama yang membuat alat musik kecapi dan seruling.
01041600b0	Zilah melahirkan seorang anak yang diberi nama Tubal Kain. Dialah orang pertama yang menjadi tukang tembaga dan besi. Tubal Kain mempunyai seorang adik perempuan bernama Naama.
0104170093	Suatu hari, Lamek berkata kepada kedua istrinya, “Adah dan Zilah, dengarkanlah aku! Aku membunuh seorang pemuda hanya karena dia membuatku memar.
0104180098	Mengingat pembalasan bagi Kain, yaitu tujuh orang harus dibunuh bila dia dibunuh, maka kalau aku yang dibunuh, tujuh puluh tujuh orang harus dibunuh!”
01041900d1	Kemudian Hawa mengandung dan melahirkan seorang anak laki-laki lagi. Hawa berkata, “TUHAN sudah memberiku seorang anak sebagai pengganti Habel, yang sudah dibunuh oleh Kain.” Maka dia menamai anak itu Set.
01041a0067	Selanjutnya, Set mempunyai anak bernama Enos. Pada zaman Enos inilah orang-orang mulai menyembah TUHAN.
0105010076	Inilah daftar keturunan Adam: Pada waktu Allah menciptakan manusia, Allah membuat mereka mencerminkan sifat-sifat-Nya.
010502006f	Allah menciptakan mereka sebagai laki-laki dan perempuan, memberkati mereka, dan menyebut mereka ‘manusia’.
0105030083	Adam berumur 130 tahun ketika anak laki-lakinya yang ketiga lahir. Adam menamai anaknya itu Set. Dia mencerminkan sifat-sifat Adam.
010504008c	Sesudah Set lahir, Adam masih hidup selama 800 tahun. Sepanjang hidupnya, Adam mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
010505002f	Umur Adam mencapai 930 tahun, dan dia pun mati.
010506003d	Set berumur 105 tahun ketika anaknya yang bernama Enos lahir.
010507008b	Sesudah Enos lahir, Set masih hidup selama 807 tahun. Sepanjang hidupnya, Set mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
010508002e	Umur Set mencapai 912 tahun, dan dia pun mati.
010509003e	Enos berumur 90 tahun ketika anaknya yang bernama Kenan lahir.
01050a008e	Sesudah Kenan lahir, Enos masih hidup selama 815 tahun. Sepanjang hidupnya, Enos mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
01050b002f	Umur Enos mencapai 905 tahun, dan dia pun mati.
01050c0043	Kenan berumur 70 tahun ketika anaknya yang bernama Mahalalel lahir.
01050d0099	Sesudah Mahalalel lahir, Kenan masih hidup selama 840 tahun lagi. Sepanjang hidupnya, Kenan mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
01050e0030	Umur Kenan mencapai 910 tahun, dan dia pun mati.
01050f0043	Mahalalel berumur 65 tahun ketika anaknya yang bernama Yared lahir.
0105100098	Sesudah Yared lahir, Mahalalel masih hidup selama 830 tahun. Sepanjang hidupnya, Mahalalel mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
0105110034	Umur Mahalalel mencapai 895 tahun, dan dia pun mati.
0105120040	Yared berumur 162 tahun ketika anaknya yang bernama Henok lahir.
010513008b	Sesudah Henok lahir, Yared masih hidup selama 800 tahun. Sepanjang hidupnya, Yared mempunyai beberapa anak laki-laki dan perempuan lainnya.
0105140030	Umur Yared mencapai 962 tahun, dan dia pun mati.
0105150043	Henok berumur 65 tahun ketika anaknya yang bernama Metusalah lahir.
01051600a5	Sesudah Metusalah lahir, Henok hidup bersekutu erat dengan Allah selama 300 tahun. Sepanjang hidupnya, Henok mempunyai beberapa anak laki-laki dan perempuan lainnya.
0105170022	Jadi Henok hidup selama 365 tahun.
0105180076	Henok hidup bersekutu erat dengan Allah. Pada suatu hari, dia tidak ada lagi di bumi karena Allah membawanya ke surga.
0105190044	Metusalah berumur 187 tahun ketika anaknya yang bernama Lamek lahir.
01051a0098	Sesudah Lamek lahir, Metusalah masih hidup selama 782 tahun. Sepanjang hidupnya, Metusalah mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
01051b0034	Umur Metusalah mencapai 969 tahun, dan dia pun mati.
01051c00f1	Lamek berumur 182 tahun ketika anaknya, Nuh, dilahirkan. Lamek berkata, “Anak ini akan membawa kelegaan atas semua usaha dan susah payah kita untuk menghasilkan makanan dari tanah yang sudah dikutuk TUHAN.” Maka dia menamai anak itu Nuh.
01051e008e	Sesudah Nuh lahir, Lamek masih hidup selama 595 tahun. Sepanjang hidupnya, Lamek mempunyai beberapa anak laki-laki dan anak perempuan lainnya.
01051f0030	Umur Lamek mencapai 777 tahun, dan dia pun mati.
010520005a	Sejak Nuh berumur 500 tahun, dia mempunyai tiga anak laki-laki, yaitu Sem, Yafet, dan Ham.
01060100e2	Jumlah manusia semakin bertambah dan menyebar di muka bumi. Di antara mereka terdapat banyak gadis yang begitu cantik sehingga anak-anak laki-laki Allah mengambil dan mengawini siapa saja yang mereka sukai dari para gadis itu.
01060300e6	Maka berkatalah TUHAN, “Aku tidak mau nafas kehidupan-Ku tinggal dalam diri manusia selamanya-lamanya. Semua manusia adalah makhluk fana yang harus mati. Aku menetapkan bahwa umur setiap manusia tidak akan melebihi 120 tahun.”
01060400ce	Banyak anak dilahirkan karena kawin campur tersebut. Pada waktu itu, muncullah orang-orang yang disebut Nefilim. Mereka terkenal pada zaman itu sebagai orang-orang yang sangat kuat dan tangguh dalam perang.
010605005b	TUHAN melihat bahwa manusia di muka bumi sudah sangat jahat, dan isi hati mereka pun jahat.
010606005b	Dia sangat menyesal sudah menciptakan manusia di bumi. Hal itu membuat hati-Nya amat sedih.
0106070124	Berkatalah TUHAN, “Aku akan memusnahkan seluruh manusia, binatang berkaki empat, binatang melata, binatang merayap, dan burung-burung. Tidak akan ada satu pun yang tertinggal dari segala yang masih hidup di atas bumi. Aku sangat menyesal karena sudah menciptakan semua makhluk hidup itu.”
0106080026	Tetapi TUHAN bermurah hati kepada Nuh.
010609009c	Beginilah riwayat tentang Nuh: Di antara semua orang yang hidup pada masa itu, hanya Nuh yang hidupnya benar di mata Allah. Nuh bersekutu erat dengan Allah.
01060a003d	Nuh mempunyai tiga anak laki-laki, yaitu Sem, Yafet, dan Ham.
01060b0088	Waktu itu, Allah melihat bahwa semua manusia yang lain di muka bumi sudah sangat jahat. Mereka bertindak kejam dan keras satu sama lain.
01060c005b	Allah begitu kecewa karena bumi sudah sangat rusak akibat kejahatan yang dilakukan manusia.
01060d00b9	Berkatalah Allah kepada Nuh, “Aku sudah memutuskan untuk memusnahkan seluruh manusia dan makhluk hidup yang lain, karena kekerasan manusia terhadap satu sama lain sudah memenuhi bumi.
01060e00a1	Buatlah bagimu kapal dari kayu pilihan. Di dalamnya, buatlah banyak ruang. Dan supaya air tidak bisa masuk, lapisilah bagian dalam dan luar kapal itu dengan ter.
01060f006a	Inilah ukuran kapal yang harus kamu buat: Panjangnya 138 meter, lebarnya 23 meter, dan tingginya 14 meter.
01061000f9	Buatlah atap kapal itu, dan berilah jarak 46 sentimeter antara atap dengan semua dinding di bawahnya, supaya udara dan cahaya dapat masuk. Buatlah tiga dek di dalamnya, dek atas, dek tengah, dan dek bawah. Buatlah juga pintu di bagian samping kapal.
01061100af	Dengarlah baik-baik! Aku akan mendatangkan banjir besar di atas bumi untuk membinasakan semua makhluk yang bernafas di bawah langit. Segala sesuatu yang ada di bumi akan mati.
0106120088	Namun, sekarang Aku mengadakan perjanjian denganmu. Kamu, istrimu, ketiga putramu, dan ketiga menantumu akan selamat di dalam kapal itu.
01061300c1	Dan karena Aku ingin menyelamatkan semua jenis makhluk hidup, maka kamu harus membawa sepasang dari tiap jenis, yaitu satu jantan dan satu betina, supaya setiap jenis binatang juga tetap hidup.
01061400c5	Sepasang dari masing-masing jenis burung, jenis binatang berkaki empat, jenis binatang melata, dan jenis binatang merayap akan datang kepadamu, agar dapat ikut ke dalam kapal dan tetap terpelihara.
010615007f	Kamu juga harus membawa persediaan makanan untuk keluargamu dan untuk semua binatang itu. Simpanlah semuanya di dalam kapal.”
0106160040	Maka Nuh melakukan semua yang sudah Allah perintahkan kepadanya.
01070100b5	Kemudian TUHAN berkata kepada Nuh, “Aku melihat bahwa kamulah satu-satunya orang yang melakukan kehendak-Ku di zaman ini. Karena itu, masuklah ke kapal bersama seluruh keluargamu.
01070200ca	Dari setiap jenis binatang yang layak dipersembahkan, bawalah tujuh pasang ke dalam kapal, yaitu tujuh jantan dan tujuh betina. Sedangkan dari setiap jenis binatang yang haram, bawalah satu pasang saja.
01070300a5	Begitu juga dengan burung-burung, ambillah tujuh pasang dari setiap jenisnya. Dengan demikian, setiap jenis makhluk hidup tetap dapat berkembang biak sesudah banjir.
01070400b6	Tujuh hari lagi, Aku akan menurunkan hujan lebat di bumi selama empat puluh hari empat puluh malam. Aku akan memusnahkan segala makhluk hidup yang sudah Aku ciptakan di muka bumi.”
0107050042	Lalu Nuh melakukan semua yang sudah diperintahkan TUHAN kepadanya.
0107060040	Pada waktu banjir besar itu melanda bumi, Nuh berumur 600 tahun.
010707007c	Untuk menyelamatkan diri dari banjir besar itu, Nuh masuk ke kapal bersama istrinya, ketiga putranya, dan ketiga menantunya.
01070800d8	Sesuai dengan yang sudah diperintahkan Allah kepada Nuh, segala jenis binatang yang halal dan yang haram, burung, serta binatang yang melata dan yang merayap datang kepada Nuh berpasang-pasangan untuk masuk ke kapal.
01070a003a	Tujuh hari kemudian, banjir besar pun datang ke atas bumi.
01070b00d6	Sebulan setelah Nuh berumur 600 tahun, pada hari ketujuh belas bulan itu, semua mata air di bawah permukaan tanah tiba-tiba meluap, dan hujan turun begitu derasnya seakan semua pintu air yang ada di langit terbuka.
01070c0051	Hujan terus-menerus mengguyur bumi selama empat puluh hari dan empat puluh malam.
01070d0080	Ketika hujan itu mulai turun, Nuh, istrinya, ketiga anaknya (Sem, Yafet, dan Ham), serta ketiga menantunya masuk ke dalam kapal.
01070e007b	Begitu juga segala jenis binatang liar, hewan ternak, burung-burung, hewan bersayap, binatang melata, dan binatang merayap,
01070f0046	semuanya datang berpasang-pasangan dan masuk ke kapal itu bersama Nuh,
010710008e	yaitu seekor jantan dan seekor betina, seperti yang sudah Allah perintahkan kepada Nuh. Setelah semuanya masuk, TUHAN menutup pintu kapal itu.
01071100a6	Banjir yang merendam seluruh bumi terus bertambah tinggi selama empat puluh hari. Airnya semakin naik dan terus naik, sehingga kapal itu terangkat dan terapung-apung.
01071300a3	Air itu kian bertambah tinggi hingga menutupi semua gunung, bahkan mencapai ketinggian sekitar tujuh meter di atas puncak gunung-gunung tertinggi di seluruh dunia.
0107150091	Maka matilah semua makhluk hidup di permukaan bumi, termasuk burung, hewan ternak, binatang liar, binatang melata, binatang merayap, dan manusia.
0107170067	Demikianlah semua makhluk hidup dibinasakan, kecuali Nuh dan semua yang ikut bersamanya di dalam kapal.
0107180033	Air itu menggenangi permukaan bumi selama 150 hari.
01080100d7	Sesudah itu, perhatian Allah kembali tertuju kepada Nuh dan keluarganya serta semua yang bersama-sama dengan dia di dalam kapal itu. Maka Allah membuat angin bertiup di atas permukaan bumi, sehingga air mulai surut.
0108020060	Allah menghentikan hujan dan membuat semua mata air di bawah permukaan tanah berhenti menyembur.
