2800000005	Matai
28060f0061	Pu leino munave samukhuvasyiekhila avanu pu nayu, daada yeinyo sakhavasyeikhile inongwa ncheinyo.
280610011d	Pu unave weideindile ukhulya savuli ya khisaya, pulekhe ukhuguva khu miho pakhuva nukhikoncha isoni, mulekhe ukhuva nda vanu avadesi umuvigahila viguva khumiho ukhuta avanu puvavavone ukhuta vadeendile ukhulya savuli ya khwisaya. Pu lweli nikhuva vula vumalile ukhukava uluhombo lwavo.
280611005b	Pu uve upuwiva udeindile savuli ya kwisaya, bakha imono untwe gwakho pu ukalave na khumiho.
2806120092	Pu sayikhavonekhe khuvanu ukhuta ue udeindile savuli ya khwisaya. Pu yimanyekhikha kwene khwa Daada vakho uveilola khuvutitu veikhukhupa uluhombo.
280613007c	Khyomela ukhwilundikhila ifyuma fyakho mukhilunga umu, umuimikoswe nu husu yinangania hange avalyasi puvibomola nukhuhincha.
28061400a9	Eikhivaha mwilundikhilage ikhibana khyinyo khukyanya ifyuma ifyumwi kava, pakhuva khukyanya ingoswe neihusu sayinanga, upu navava valyasi savigela ukhuhincha nukhunanga.
2806150057	Pakhuva ikhibano khya fyuma fyakho upukhileipwo, pu apo na yeinumbula yakho puyileipwo.
2806160067	Eliho nyali ya mbeili gwakho. Pu leino, inave eiliho lyakho linonu umbele gwakho gwooni gwiva nulumuli.
280617009f	Pu einave eiliho livivi, na ngumbeili gwakho gwiva neihisi. Pu leino einave ulumuli lulwa lulei mugati mundyuve luvye hisi fincho, pu hisi mu khigelelo khikhi!
2806180094	Asikhuli nayumo uveigela ukhuvavombela avankuludeva vaveili, ulwa khuva pwayi khukalaleila yumo nukhugana uyunge. Hamuwezi kumtumikia Mungu na mali.
28061900e1	Pu leino nikhukhuvula ulekhe ukhwigatancha nukhusaga pa wumi vwakho, pakhuta yawilya khiikhi, ya winywa khiikhi, nu mbeili gwakho ya vufwala khiikhi. Pu! Uwumi savululeilile pa khya khulya nu mbeili gululeilile pafyakhufwala?
28061a00b1	Mulolage ifidege ifya khukyanya. Safileima hange safibena, pu safilu ndania nukhuveikha nkibana, pu u Daada yeinyo uvakhukyanya ukhufileisya ifyo. Umwe pusamuluteilile khufyene?
28061b004d	Pu veeni mundyumwe uveigeila ukhwiyongelencha ikhigono khimo muwumi wa mwene?
28061c0098	Pu khikhi mwiva na masago gakhwisagila pa mienda gya khu fwala? Mulole khiluhala uvuluva mufyalo umuvudaleila. Savuvomba mbombo hange savukhifwaheincha.
28061d0071	Pu neipinchige nikhuva vula niita, na yu Sulemani mumbuvaha wamwene wooni safwale lusikhu ndu vuluva uvu na vumo.
28061e00e1	Einave uNguluve ifwaleincha ewo eilinyasi mufyalo, leilyo litama isikhu yeimo pukhilavo gilahiwa mumwoto, pu mukhigelelo khileikhu ayikhuvafwaleincha umwe, umwe mwei vayikhuvafwaleincha umwe, umwe mwei vanyalweidekho ludeebe?
28061f0078	Pu leino niita khyomela ukhwisagila nukhula, 'Pu ya twilya khiikhi?' Pu ya twinywa khiikhi?” Pu ya tufwala khiikhi?”
280620007f	Ulwa khuva avankhilunga, avakaya vikhufilonda ifinu ndiifi, nu Daada yeinyo uva khukyanya alumanyile ukhata mulonda ifinu ifyo.
2806210067	Pu leino mulondage uludeeva lwa mwene taasi nuvwayeilweli vwa mwene pu ifinge fyooni ukhuvongelenchaga.
280622007f	Pu ulekhe ukhwisagila savuli ya khilavo, pakhuva ifya khilavo fikhisageila fyeene. Ifigono fyooni umufikyiela filinincha fyene.
280701002c	Khomela ukhuhiga pakhuva nayumwe malahigiwa.
2807020077	Pakhuva eimihigile gila igyumwihegiwa vulevule. Pu nakhikhigelelo eikhumu gelela avange nayumwe mulageliwagwa mueikhyo.
280703008e	Pu khikhi wilola akhalagaleilo akhalagile muliho lya nino, pu leino salumanyile ukhuta muliho lyakho muleikhi lagaleila khya gubeikhi uguvaha?
280704008e	Pu wiva na makhamakhi agakhunchova khunino ukhuta ukhi nikhuhenche akhalagaleila mu liho la nino vu uve muliho lyakho muleigulagalila uguvaha?
280705007a	Uleidesi uve; puhenche tasi ugulaga leila muliho lyakho, pu leino wiva na makha gakhuhencha akhalagaleila muliho lya nino.
