0100000008	Gênesis
010410004b	Caim deixou a presença de Iavé e viveu na terra de Nod, a leste do Éden.
0104110083	Caim conheceu sua esposa. Ela concebeu, e deu à luz a Enoque. Ele construiu uma cidade e deu à cidade o nome de seu filho Enoque.
0104120088	Irad nasceu para Enoque. Irad tornou-se o pai de Mehujael. Mehujael tornou-se o pai de Methushael. Methushael se tornou o pai de Lamech.
0104130049	Lamech teve duas esposas: a primeira chamava-se Adah, e a segunda Zillah.
0104140052	Adah deu à luz a Jabal, que era o pai daqueles que moram em barracas e têm gado.
010415005d	O nome de seu irmão era Jubal, que era o pai de todos os que manuseiam a harpa e o cachimbo.
0104160086	Zillah também deu à luz Tubal Cain, o falsificador de cada instrumento de corte de bronze e ferro. A irmã de Tubal Cain era Naamah.
01041700b0	Lamech disse a suas esposas, “Adah e Zillah, ouçam minha voz. Vós, esposas de Lamech, escutai meu discurso, pois matei um homem por me ter ferido, um jovem por me machucar.
0104180051	Se Cain será vingado sete vezes, verdadeiramente Lamech setenta e sete vezes”.
010419009e	Adam conheceu sua esposa novamente. Ela deu à luz um filho e o nomeou Seth, dizendo: “pois Deus me deu outro filho ao invés de Abel, pois Caim o matou”.
01041a0081	Um filho também nasceu para Seth, e ele lhe deu o nome de Enosh. Naquela época, os homens começaram a invocar o nome de Javé.
010501006c	Este é o livro das gerações de Adão. No dia em que Deus criou o homem, ele o fez à semelhança de Deus.
0105020066	Ele os criou homem e mulher, e os abençoou. No dia em que eles foram criados, ele os chamou de Adão.
0105030065	Adão viveu cento e trinta anos, e se tornou pai de um filho à sua imagem, e lhe deu o nome de Seth.
0105040076	Os dias de Adão depois de se tornar pai de Seth foram oitocentos anos, e ele se tornou pai de outros filhos e filhas.
0105050050	Todos os dias que Adão viveu foram novecentos e trinta anos, depois ele morreu.
010506003f	Seth viveu cento e cinco anos, depois se tornou o pai da Enosh.
0105070070	Seth viveu depois de se tornar o pai de Enosh oitocentos e sete anos, e se tornou pai de outros filhos e filhas.
0105080046	Todos os dias de Seth foram novecentos e doze anos, depois ele morreu.
0105090035	Enosh viveu noventa anos, e tornou-se o pai de Kenan.
01050a0073	Enosh viveu depois de se tornar o pai de Kenan oitocentos e quinze anos, e se tornou pai de outros filhos e filhas.
01050b0048	Todos os dias de Enosh foram novecentos e cinco anos, depois ele morreu.
01050c003e	Kenan viveu setenta anos, depois se tornou o pai de Mahalalel.
01050d007a	Kenan viveu depois de se tornar o pai de Mahalalel oitocentos e quarenta anos, e tornou-se o pai de outros filhos e filhas
01050e0048	e todos os dias de Kenan foram novecentos e dez anos, depois ele morreu.
01050f0047	Mahalalel viveu sessenta e cinco anos, depois se tornou o pai de Jared.
0105100078	Mahalalel viveu depois de se tornar o pai de Jarede oitocentos e trinta anos, e se tornou pai de outros filhos e filhas.
0105110056	Todos os dias de Mahalalel foram oitocentos e noventa e cinco anos, depois ele morreu.
010512004b	Jared viveu cento e sessenta e dois anos, depois se tornou o pai de Enoque.
0105130069	Jared viveu depois de se tornar pai de Enoque oitocentos anos, e se tornou pai de outros filhos e filhas.
0105140053	Todos os dias de Jarede foram novecentos e sessenta e dois anos, depois ele morreu.
0105150049	Enoque viveu sessenta e cinco anos, depois se tornou o pai de Matusalém.
0105160079	Após o nascimento de Matusalém, Enoque caminhou com Deus por trezentos anos, e se tornou o pai de mais filhos e filhas.
0105170040	Todos os dias de Enoque foram trezentos e sessenta e cinco anos.
0105180047	Enoque caminhou com Deus, e ele não foi encontrado, pois Deus o levou.
010519004f	Matusalém viveu cento e oitenta e sete anos, depois se tornou o pai de Lamech.
01051a0083	Matusalém viveu depois de se tornar o pai de Lamech setecentos e oitenta e dois anos, e tornou-se o pai de outros filhos e filhas.
01051b0057	Todos os dias de Matusalém foram novecentos e sessenta e nove anos, depois ele morreu.
01051c004d	Lamech viveu cento e oitenta e dois anos, depois se tornou o pai de um filho.
01051d0091	Ele o chamou de Noé, dizendo: “Este nos confortará em nosso trabalho e na labuta de nossas mãos, causada pelo solo que Javé amaldiçoou”.
01051e007a	Lamech viveu depois de se tornar pai de Noé quinhentos e noventa e cinco anos, e se tornou pai de outros filhos e filhas.
01051f0052	Todos os dias de Lamech foram setecentos e setenta e sete anos, depois ele morreu.
0105200050	Noé tinha quinhentos anos, então Noé tornou-se o pai de Shem, Ham, e Japheth.
0106010064	Quando os homens começaram a multiplicar-se na superfície do solo, e as filhas nasceram para eles,
010602006b	os filhos de Deus viram que as filhas dos homens eram lindas, e levaram para si como esposas o que queriam.
0106030090	Yahweh disse: “Meu Espírito não lutará com o homem para sempre, porque ele também é carne; assim, seus dias serão cento e vinte anos”.
01060400e0	Os nefilins estavam na terra naqueles dias, e também depois disso, quando os filhos de Deus chegaram às filhas dos homens e tiveram filhos com eles. Esses eram os homens poderosos que eram de antigamente, homens de renome.
0106050096	Yahweh viu que a maldade do homem era grande na terra, e que toda imaginação dos pensamentos do coração do homem era continuamente apenas maligna.
0106060053	Yahweh lamentava ter feito o homem na terra, e isso o entristeceu em seu coração.
01060700a7	Yahweh disse: “Destruirei o homem que criei da superfície do homem-terra, juntamente com animais, coisas rastejantes e aves do céu - pois lamento tê-las feito”.
010608002d	Mas Noé encontrou favor aos olhos de Yahweh.
0106090088	Esta é a história das gerações de Noé: Noé era um homem justo, irrepreensível entre o povo de seu tempo. Noé caminhava com Deus.
01060a003b	Noé tornou-se o pai de três filhos: Shem, Ham, e Japheth.
01060b004a	A terra era corrupta diante de Deus, e a terra estava cheia de violência.
01060c0068	Deus viu a terra, e viu que ela era corrupta, pois toda a carne havia corrompido o seu caminho na terra.
01060d0098	Deus disse a Noé: “Eu trarei um fim a toda a carne, pois a terra está cheia de violência através deles”. Eis que eu os destruirei e à terra”.
01060e006d	Faça um navio de madeira de gopher. Vocês devem fazer espaços no navio, e selá-lo dentro e fora com breu.
01060f0096	É assim que você deve fazer. O comprimento do navio será de trezentos cúbitos, sua largura de cinqüenta cúbitos e sua altura de trinta cúbitos.
01061000cd	Você deverá fazer um teto no navio, e deverá terminá-lo com um côvado para cima. Você deverá colocar a porta do navio em seu lado. Você deverá fazê-la com os níveis inferior, segundo e terceiro.
01061100a0	Eu, mesmo eu, trarei a inundação de águas nesta terra, para destruir toda a carne tendo o sopro da vida de baixo do céu. Tudo o que está na terra morrerá.
010612008d	Mas eu estabelecerei meu pacto com vocês. Vós entrareis no navio, vós, vossos filhos, vossa esposa e as esposas de vossos filhos convosco.
01061300a2	De todos os seres vivos de toda a carne, você trará dois de todos os tipos para dentro do navio, para mantê-los vivos com você. Eles serão homens e mulheres.
01061400a5	Dos pássaros após sua espécie, do gado após sua espécie, de todo réptil do solo após sua espécie, dois de todo tipo virão até você, para mantê-los vivos.
0106150086	Leve consigo algum de todos os alimentos que são comidos, e recolha-o para si mesmo; e será para alimento para você e para eles”.
0106160034	Assim fez Noé. Ele fez tudo o que Deus lhe ordenou.
0107010074	Yahweh disse a Noé: “Venha com toda sua casa para o navio, pois vi sua retidão diante de mim nesta geração”.
0107020094	Você levará consigo sete pares de cada animal limpo, o macho e sua fêmea. Dos animais que não estiverem limpos, leve dois, o macho e sua fêmea.
0107030071	Também das aves do céu, sete e sete, macho e fêmea, para manter a semente viva na superfície de toda a terra.
0107040095	Em sete dias, farei chover sobre a terra durante quarenta dias e quarenta noites. Destruirei todos os seres vivos que fiz da superfície da terra”.
0107050027	Noah fez tudo o que Yahweh lhe ordenou.
010706004a	Noé tinha seiscentos anos quando a inundação de águas chegou à terra.
0107070072	Noé entrou no navio com seus filhos, sua esposa e as esposas de seus filhos, por causa da inundação das águas.
0107080048	Animais limpos, animais impuros, pássaros e tudo o que rasteja no chão
010709004d	foram aos pares para Noé no navio, macho e fêmea, como Deus ordenou a Noé.
01070a003a	Após os sete dias, as águas da enchente vieram à terra.
01070b00b4	No sexto centésimo ano de vida de Noé, no segundo mês, no décimo sétimo dia do mês, naquele dia, todas as fontes do grande abismo se abriram, e as janelas do céu se abriram.
01070c003d	Choveu sobre a terra durante quarenta dias e quarenta noites.
01070d0091	No mesmo dia Noé, e Shem, Ham e Japheth - os filhos de Noé - e a esposa de Noé e as três esposas de seus filhos com eles, entraram no navio -
01070e00c5	eles, e todos os animais após sua espécie, todo o gado após sua espécie, toda coisa rastejante que rasteja na terra após sua espécie, e toda ave após sua espécie, toda ave de toda espécie.
01070f004d	Pares de toda a carne com o sopro da vida neles foram para o navio para Noé.
0107100074	Aqueles que entraram, entraram macho e fêmea de toda a carne, como Deus lhe ordenou; depois Yahweh o fechou dentro.
0107110078	A enchente foi de quarenta dias na terra. As águas aumentaram, e elevaram o navio, e este foi levantado acima da terra.
0107120066	As águas subiram, e aumentaram muito sobre a terra; e o navio flutuou sobre a superfície das águas.
0107130070	As águas subiram muito alto sobre a terra. Todas as altas montanhas que estavam sob todo o céu foram cobertas.
010714004b	As águas subiram quinze cúbitos mais alto, e as montanhas foram cobertas.
010715008d	Toda a carne morreu que se movia sobre a terra, incluindo aves, gado, animais, toda coisa rastejante que rasteja sobre a terra, e todo homem.
0107160054	Todos na terra seca, em cujas narinas estava o sopro do espírito da vida, morreram.
01071700de	Todos os seres vivos foram destruídos na superfície do solo, incluindo o homem, o gado, os rastejantes e as aves do céu. Eles foram destruídos da terra. Somente Noé foi deixado, e aqueles que estavam com ele no navio.
010718003c	As águas inundaram a terra durante cento e cinqüenta dias.
010801009e	Deus se lembrou de Noé, de todos os animais e de todo o gado que estavam com ele no navio; e Deus fez um vento para passar sobre a terra. As águas baixaram.
010802005d	As fontes do fundo e as janelas do céu também foram paradas, e a chuva do céu foi contida.
0108030067	As águas recuaram continuamente da terra. Após o final de cento e cinqüenta dias as águas recuaram.
010804005b	O navio descansou no sétimo mês, no décimo sétimo dia do mês, nas montanhas de Ararat.
0108050086	As águas recuaram continuamente até o décimo mês. No décimo mês, no primeiro dia do mês, os cumes das montanhas eram visíveis.
010806004c	Ao final de quarenta dias, Noé abriu a janela do navio que ele havia feito,
010807004a	e enviou um corvo. Ele ia e voltava, até que as águas secassem da terra.
0108080056	Ele mesmo mandou uma pomba para ver se as águas eram abatidas da superfície do solo,
01080900c5	mas a pomba não encontrou lugar para descansar o pé, e ela voltou para o navio, pois as águas estavam na superfície de toda a terra. Ele estendeu sua mão, pegou-a e a trouxe até ele no navio.
01080a004e	Ele esperou mais sete dias; e novamente ele enviou a pomba para fora do navio.
01080b00a4	A pomba voltou para ele à noite e, eis que na boca dela estava uma folha de oliveira recém colhida. Então Noé sabia que as águas tinham sido abatidas da terra.
01080c004e	Ele esperou mais sete dias, e enviou a pomba; e ela não voltou mais para ele.
01080d00c7	No primeiro ano, no primeiro mês, no primeiro dia do mês, seiscentos anos, as águas foram secas da terra. Noé retirou a cobertura do navio, e olhou. Ele viu que a superfície do solo estava seca.
01080e0047	No segundo mês, no vigésimo sétimo dia do mês, a terra estava seca.
01080f001d	Deus falou com Noé, dizendo:
0108100057	“Saia do navio, você, sua esposa, seus filhos e as esposas de seus filhos com você.
01081100f1	Traga consigo todos os seres vivos que estão consigo de toda a carne, inclusive aves, gado e todos os répteis que se arrastam sobre a terra, para que se reproduzam abundantemente na terra, sejam fecundos e se multipliquem sobre a terra”.
010812004b	Noé saiu com seus filhos, sua esposa e as mulheres de seus filhos com ele.
0108130084	Cada animal, cada coisa rasteira, e cada ave, qualquer coisa que se mova sobre a terra, depois que suas famílias, saíram do navio.
0108140083	Noé construiu um altar para Yahweh, e levou de cada animal limpo, e de cada ave limpa, e ofereceu ofertas queimadas sobre o altar.
0108150105	Yahweh sentiu o cheiro agradável. Yahweh disse em seu coração: “Não amaldiçoarei mais o chão por causa do homem porque a imaginação do coração do homem é maligna desde sua juventude”. Não voltarei a golpear todos os seres vivos, como já fiz”.
010816008f	Enquanto a terra permanecer, o tempo da semente e da colheita, e o frio e o calor, e o verão e o inverno, e o dia e a noite não cessarão”.
010901006e	Deus abençoou Noé e seus filhos, e lhes disse: “Sejam fecundos, multipliquem-se e reabasteçam a terra”.
01090200c4	O medo de vocês e o pavor de vocês estarão sobre cada animal da terra, e sobre cada ave do céu”. Tudo o que se move ao longo da terra, e todos os peixes do mar, são entregues em suas mãos.
0109030071	Cada coisa que se move que vive será alimento para você. Como eu lhe dei a erva verde, eu lhe dei tudo a você.
0109040042	Mas a carne com sua vida, ou seja, seu sangue, você não comerá.
01090500c5	Certamente exigirei a prestação de contas pelo sangue de sua vida. Às mãos de cada animal, eu o requererei. Na mão do homem, mesmo na mão do irmão de cada homem, eu exigirei a vida do homem.
0109060077	Whoever derrama o sangue do homem, seu sangue será derramado pelo homem, pois Deus fez o homem à sua própria imagem.
0109070055	Seja fecundo e multiplique. Aumenta abundantemente na terra, e multiplica-te nela”.
0109080033	Deus falou a Noé e a seus filhos com ele, dizendo:
0109090067	“Quanto a mim, eis que estabeleço minha aliança com você, e com seus descendentes depois de você,
01090a009a	e com todo ser vivo que está com você: as aves, o gado e todo animal da terra com você, de todos os que saem do navio, até mesmo todo animal da terra.
01090b00a6	Eu estabelecerei meu convênio com vocês: Toda a carne não será mais cortada pelas águas do dilúvio. Nunca mais haverá uma inundação para destruir a terra”.
01090c0084	Deus disse: “Este é o sinal do pacto que faço entre mim e vós e todo ser vivo que está convosco, por gerações perpétuas”:
01090d0054	Coloco meu arco-íris na nuvem, e será um sinal de um pacto entre mim e a Terra”.
01090e0051	Quando eu trouxer uma nuvem sobre a terra, que o arco-íris será visto na nuvem,
01090f00ab	eu me lembrarei da minha aliança, que é entre mim e você e todo ser vivo de toda a carne, e as águas não se tornarão mais uma inundação para destruir toda a carne.
01091000ad	O arco-íris será visto na nuvem. Vou olhar para ele, para que eu possa me lembrar da aliança eterna entre Deus e cada ser vivo de toda a carne que está sobre a terra”.
0109110075	Deus disse a Noé: “Este é o símbolo do pacto que estabeleci entre mim e toda a carne que está sobre a terra”.
0109120058	Os filhos de Noé que saíram do navio eram Shem, Ham e Japheth. Ham é o pai de Canaã.
0109130049	Estes três eram os filhos de Noé, e destes a terra inteira foi povoada.
0109140034	Noé começou a ser agricultor e plantou um vinhedo.
010915004b	Ele bebeu do vinho e ficou bêbado. Ele foi descoberto dentro de sua tenda.
0109160056	Ham, o pai de Canaan, viu a nudez de seu pai, e contou aos seus dois irmãos lá fora.
01091700b5	Shem e Japheth pegaram uma roupa e a colocaram sobre os dois ombros, entraram de costas e cobriram a nudez de seu pai. Seus rostos estavam ao contrário e não viram a nudez do pai.
0109180050	Noé acordou de seu vinho e sabia o que seu filho mais novo havia feito com ele.
0109190058	Disse ele, “Canaã é amaldiçoada. Ele será um servo de servos para seus irmãos”.
01091a0050	Ele disse, “Bendito seja Yahweh, o Deus de Shem”. Que Canaan seja seu servo.
01091b005a	Que Deus amplie o Japheth. Deixe-o morar nas tendas de Shem. Que Canaan seja seu servo”.
01091c0038	Noé viveu trezentos e cinqüenta anos após a enchente.
01091d004e	Todos os dias de Noé foram novecentos e cinqüenta anos, e então ele morreu.
010a010086	Agora esta é a história das gerações dos filhos de Noé e de Sem, Presunto e Jafé. Os filhos nasceram para eles após a enchente.
010a02004f	Os filhos de Japheth foram: Gomer, Magog, Madai, Javan, Tubal, Meshech e Tiras.
010a03006c	Os filhos de Gomer eram: Gomer, Magog, Madai, Javan, Tubal, Meshech, e Tiras: Ashkenaz, Riphath, e Togarmah.
010a04005c	Os filhos de Javan eram: Ashkenaz, Riphath e Togarmah: Elishah, Tarshish, Kittim, e Dodanim.
010a050085	Destes foram as ilhas das nações divididas em suas terras, todos depois de sua língua, depois de suas famílias, em suas nações.
010a060034	Os filhos de Ham eram: Cush, Mizraim, Put, e Canaan.
010a0700b2	Os filhos de Cush eram: Cush, Mizraim, Put, e Canaan: Seba, Havilah, Sabtah, Raamah, e Sabteca. Os filhos de Raamah eram: Seba, Havilah, Sabtah, Raamah, e Sabteca: Sheba e Dedan.
010a080048	Cush tornou-se o pai de Nimrod. Ele começou a ser um poderoso na terra.
010a090077	Ele foi um poderoso caçador antes de Yahweh. Por isso se diz: “como Nimrod, um poderoso caçador antes de Yahweh”.
010a0a004c	O início de seu reino foi Babel, Erech, Accad e Calneh, na terra de Shinar.
010a0b004c	Dessa terra ele entrou na Assíria, e construiu Nínive, Rehoboth Ir, Calah,
010a0c0031	e Resen entre Nínive e a grande cidade de Calah.
010a0d003d	Mizraim tornou-se o pai de Ludim, Anamim, Lehabim, Naphtuhim,
010a0e0044	Pathrusim, Casluhim (do qual os filisteus descenderam), e Caphtorim.
010a0f0039	Canaan tornou-se o pai de Sidon (seu primogênito), Heth,
010a10002a	os Jebusitas, os Amoritas, os Girgashitas,
010a110023	os Hivitas, os Arkites, os Sinitas,
010a120075	os Arvaditas, os Zemaritas, e os Hamatitas. Posteriormente, as famílias dos cananeus foram espalhadas pelo exterior.
