0100000009	1 Mosebog
0101160083	Og Gud velsignede dem og sagde: "Bliv frugtbare og mangfoldige og opfyld Vandet i Havene, og Fuglene blive mangfoldige på Jorden!"
0101170031	Og det blev Aften, og det blev Morgen, femte Dag.
0101180092	Derpå sagde Gud: "Jorden frembringe levende Væsener efter deres Arter: Kvæg, Kryb og vildtlevende Dyr efter deres Arter! Og således skete det:
010119008d	Gud gjorde de vildtlevende Dyr efter deres Arter, Kvæget efter dets Arter og alt Jordens Kryb efter dets Arter. Og Gud så, at det var godt.
01011a00cf	Derpå sagde Gud: "Lad os gøre Mennesker i vort Billede, så de ligner os, til at herske over Havets Fisk og Himmelens Fugle, Kvæget og alle vildtlevende Dyr på Jorden og alt Kryb, der kryber på Jorden!"
01011b0068	Og Gud skabte Mennesket i sit Billede; i Guds Billede skabte han det, som Mand og Kvinde skabte han dem;
01011c00e6	og Gud velsignede dem, og Gud sagde til dem: "Bliv frugtbare og mangfoldige og opfyld Jorden, gør eder til Herre over den og hersk over Havets Fisk og Himmelens Fugle, Kvæget og alle vildtlevende Dyr, der rører sig på Jorden!"
01011d009c	Gud sagde fremdeles: "Jeg giver eder alle Urter på hele Jorden, som bærer Frø, og alle Træer, som bærer Frugt med Kærne; de skal være eder til Føde;
01011e00a6	men alle Jordens dyr og alle Himmelens Fugle og alt, hvad der kryber på Jorden, og som har Livsånde, giver jeg alle grønne Urter til Føde." Og således skete det.
01011f0073	Og Gud så alt, hvad han havde gjort, og se, det var såre godt. Og det blev Aften, og det blev Morgen, sjette Dag.
0102010039	Således fuldendtes Himmelen og Jorden med al deres Hær.
0102020086	På den syvende Dag fuldendte Gud det Værk, han havde udført, og han hvilede på den syvende Dag efter det Værk, han havde udført;
0102030082	og Gud velsignede den syvende Dag og helligede den, thi på den hvilede han efter hele sit Værk, det, Gud havde skabt og udført.
0102040052	Det er Himmelens og Jordens Skabelseshistorie. Da Gud HERREN gjorde Jord og Himmel
01020500d3	dengang fandtes endnu ingen af Markens Buske på Jorden, og endnu var ingen af Markens Urter spiret frem, thi Gud HERREN havde ikke ladet det regne på Jorden, og der var ingen Mennesker til at dyrke Agerjorden,
0102060044	men en Tåge vældede op at Jorden og vandede hele Agerjordens Flade
0102070082	da dannede Gud HERREN Mennesket af Agerjordens Muld og blæste Livsånde i hans Næsebor, så at Mennesket blev et levende Væsen.
0102080069	Derpå plantede Gud HERREN en Have i Eden ude mod Øst, og dem satte han Mennesket, som han havde dannet;
01020900b3	Og Gud HERREN lod af Agerjorden fremvokse alle Slags Træer, en Fryd at skue og gode til Føde, desuden Livets Træ, der stod midt i Haven. og Træet til Kundskab om godt og ondt.
01020a005e	Der udsprang en Flod i Eden til at vande Haven, og udenfor delte den sig i fire Hovedstrømme.
01020b004d	Den ene hedder Pisjon; den løber omkring Landet Havila, hvor der findes Guld
01020c0035	og Guldet i det Land er godt, Bdellium og Sjohamsten.
01020d003c	Den anden Flod hedder Gihon; den løber omkring Landet Kusj.
01020e0058	Den tredje Flod hedder Hiddekel; den løber østen om Assyrien. Den fjerde Flod er Frat.
01020f004f	Derpå tog Gud HERREN Adam og satte ham i Edens Have til at dyrke og vogte den.
0102100046	Men Gud HERREN bød Adam: "Af alle Træer i Haven har du Lov at spise,
010211006d	kun af Træet til Kundskab om godt og ondt må du ikke spise; den Dag du spiser deraf, skal du visselig dø!"
010212007b	Derpå sagde Gud HERREN: "Det er ikke godt for Mennesket at være ene; jeg vil gøre ham en Medhjælp, som passer til ham!"
01021300da	Og Gud HERREN dannede af Agerjorden alle Markens Dyr og Himmelens Fugle og førte dem hen til Adam for at se, hvad han vilde kalde dem; thi hvad Adam kaldte de forskellige levende Væsener, det skulde være deres Navn.
010214008b	Adam gav da alt Kvæget, alle Himmelens Fugle og alle Markens Dyr Navne - men til sig selv fandt Adam ingen Medhjælp, der passede til ham.
010215007d	Så lod Gud HERREN Dvale falde over Adam, og da han var sovet ind, tog han et af hans Ribben og lukkede med Kød i dets Sted;
0102160067	og af Ribbenet, som Gud HERREN havde taget af Adam, byggede han en Kvinde og førte hende hen til Adam.
010217007b	Da sagde Adam: "Denne Gang er det Ben af mine Ben og Kød af mit Kød; hun skal kaldes Kvinde, thi af Manden er hun taget!"
0102180062	Derfor forlader en Mand sin Fader og Moder og holder sig til sin Hustru, og de to bliver eet Kød.
0102190047	Og de var begge nøgne, både Adam og hans Hustru, men de bluedes ikke.
01030100af	Men Slangen var træskere end alle Markens andre Dyr, som Gud HERREN havde gjort og den sagde til Kvinden: "Mon Gud virkelig ham sagt: I må ikke spise af noget Træ i Haven?"
0103020043	Kvinden svarede: "Vi har Lov at spise af Frugten på Havens Træer;
0103030076	kun af Frugten fra Træet midt i Haven, sagde Gud, må I ikke spise, ja, I må ikke røre derved, thi så skal I dø!"
0103040035	Da sagde Slangen til Kvinden: "I skal ingenlunde dø;
0103050068	men Gud ved, at når I spiser deraf, åbnes eders Øjne, så I blive som Gud til at kende godt og ondt!"
01030600c1	Kvinden blev nu var, at Træet var godt at spise af, en Lyst for Øjnene og godt at få Forstand af; og hun tog af dets Frugt og spiste og gav også sin Mand, der stod hos hende, og han spiste.
0103070070	Da åbnedes begges Øjne, og de kendte, at de var nøgne. Derfor syede de Figenblade sammen og bandt dem om sig.
010308007e	Da Dagen blev sval, hørte de Gud HERREN vandre i Haven, og Adam og hans Hustru skjulte sig for ham inde mellem Havens Træer.
0103090036	Da kaldte Gud HERREN på Adam og råbte: "Hvor er du?"
01030a0062	Han svarede: "Jeg hørte dig i Haven og blev angst, fordi jeg var nøgen, og så skjulte jeg mig!"
01030b0076	Da sagde han: "Hvem fortalte dig, at du var nøgen. Mon du har spist af det Træ, jeg sagde, du ikke måtte spise af?"
01030c0059	Adam svarede: "Kvinden, som du satte ved min Side, gav mig af Træet, og så spiste jeg."
01030d0071	Da sagde Gud HERREN til Kvinde: "Hvad har du gjort!" Kvinden svarede: "Slangen forførte mig, og så spiste jeg."
01030e00c1	Da sagde Gud HERREN til Slangen: "Fordi du har gjort dette, være du forbandet blandt al Kvæget og blandt alle Markens Dyr! På din Bug skal du krybe, og Støv skal du æde alle dit Livs Dage!
01030f0086	Jeg sætter Fjendskab mellem dig og Kvinden, mellem din Sæd og hendes Sæd; den skal knuse dit Hoved, og du skal hugge den i Hælen!"
01031000b3	Til Kvinden sagde han: "Jeg vil meget mangfoldiggøre dit Svangerskabs Møje; med Smerte skal du føde Børn; men til din Mand skal din Attrå være, og han skal herske over dig!"
01031100e3	Og til Adam sagde han: "Fordi du lyttede til din Hustrus Tale og spiste af Træet, som jeg sagde, du ikke måtte spise af, skal Jorden være forbandet for din Skyld; med Møje skal du skaffe dig Føde af den alle dit Livs Dage;
0103120049	Torn og Tidsel skal den bære dig, og Markens Urter skal være din Føde;
010313009e	i dit Ansigts Sved skal du spise dit Brød, indtil du vender tilbage til Jorden; thi af den er du taget; ja, Støv er du, og til Støv skal du vende tilbage!"
0103140043	Men Adam kaldte sin Hustru Eva, thi hun blev Moder til alt levende.
0103150055	Derpå gjorde Gud HERREN Skindkjortlet til Adam og hans Hustru og klædte dem dermed.
01031600b3	Men Gud HERREN sagde: "Se, Mennesket er blevet som en af os til at kende godt og ondt. Nu skal han ikke række Hånden ud og tage også af Livets Træ og spise og leve evindelig!"
0103170061	Så forviste Gud HERREN ham fra Edens Have, for at han skulde dyrke Jorden, som han var taget af;
0103180089	og han drev Mennesket ud, og østen for Edens Have satte han Keruberne med det glimtende Flammesværd til at vogte Vejen til Livets Træ.
010401007f	Adam kendte sin Hustru Eva, og hun blev frugtsommelig og fødte Kain; og hun sagde: "Jeg har fået en Søn med HERRENS Hjælp!"
010402004d	Fremdeles fødte hun hans Broder Abel. Abel blev Fårehyrde, Kain Agerdyrker.
0104030041	Nogen Tid efter bragte Kain HERREN en Offergave af Jordens Frugt,
0104040070	medens Abel bragte en Gave af sin Hjords førstefødte og deres Fedme. Og HERREN så til Abel og hans Offergave,
010405005e	men til Kain og hans Offergave så han ikke. Kain blev da såre vred og gik med sænket Hoved.
0104060054	Da sagde HERREN til Kain: "Hvorfor er du vred, og hvorfor går du med sænket Hoved?
01040700aa	Du ved, at når du handler vel, kan du løfte Hovedet frit; men handler du ikke vel, så lurer Synden ved Døren; dens Attrå står til dig, men du skal herske over den!"
0104080074	Men Kain yppede Kiv med sin Broder Abel; og engang de var ude på Marken, sprang Kain ind på ham og slog ham ihjel.
0104090070	Da sagde HERREN til Kain: "Hvor er din Broder Abel?" Han svarede: "Det ved jeg ikke; skal jeg vogte min Broder?"
01040a004e	Men han sagde: "Hvad har du gjort! Din Broders Blod råber til mig fra Jorden!
01040b0066	Derfor skal du nu være bandlyst fra Agerjorden, som åbnede sig og tog din Broders Blod af din Hånd!
01040c006b	Når du dyrker Agerjorden, skal den ikke mere skænke dig sin Kraft du skal flakke hjemløs om på Jorden!"
01040d003b	Men Kain sagde til HERREN: "Min Straf er ikke til at bære;
01040e00a3	når du nu jager mig bort fra Agerjorden, og jeg må skjule mig for dit Åsyn og flakke hjemløs om på Jorden, så kan jo enhver, der møder mig, slå mig ihjel!"
01040f00a5	Da svarede HERREN: "Hvis Kain bliver slået ihjel, skal han hævnes; syvfold!" Og HERREN satte et Tegn på Kain, for at ingen, der mødte ham, skulde slå ham ihjel.
0104100052	Så drog Kain bort fra HERRENs Åsyn og slog sig ned i Landet Nod østen for Eden.
0104110077	Kain kendte sin Hustru, og hun blev frugtsommelig og fødte Hanok. Han grundede en By og gav den sin; Søn Hanoks Navn.
0104120061	Hanok fik en Søn Irad; Irad avlede Mehujael; Mehujael avlede Mehujael; og Metusjael avlede Lemek
010413003c	Lemek tog sig to Hustruer; den ene hed Ada, den anden Zilla.
010414004e	Ada fødte Jabal; han blev Stamfader til dem, der bor i Telte og holder Kvæg;
0104150059	hans Broder hed Jubal; han blev Stamfader til alle dem, der spiller på Harpe og Fløjte.
0104160082	Også Zilla fik en Søn, Tubal-Kajin; han blev Stamfader til alle dem, der smeder Kobber og Jern. Tubal-Kajins Søster var Na'ama.
01041700a0	Og Lemelk sagde til sine Hustruer: "Ada og Zilla, hør min Røst, Lemeks Hustruer, lyt til mit Ord: En Mand har jeg dræbt for et Sår, en Dreng for en Skramme!
010418004e	Blev Kain hævnet syvfold, så hævnes Lemek syv og halvfjerdsindstyve Gange!"
01041900a6	Adam kendte på ny sin Hustru, og hun fødte en Søn, som hun gav Navnet Set; "thi," sagde hun, "Gud har sat mig andet Afkom i Abels Sted, fordi Kain slog ham ihjel!"
01041a005f	Set fik også en Søn, som han kaldte Enosj; på den Tid begyndte man at påkalde HERRENs Navn.
0105010057	Dette er Adams Slægtebog. Dengang Gud skabte Mennesket, gjorde han det i Guds Billede;
0105020068	som Mand og Kvinde skabte han dem, og han velsignede dem og gav dem Navnet "Menneske", da de blev skabt.
010503006c	Da Adam havde levet i 130 År, avlede han en Søn, som var ham lig og i hans Billede, og han kaldte ham Set;
0105040051	og efter at Adam havde avlet Set, levede han 800 År og avlede Sønner og Døtre;
010505003e	således blev hans fulde Levetid 930 År, og derpå døde han.
010506002d	Da Set havde levet 105 År, avlede han Enosj;
0105070052	og efter at Set havde avlet Enosj, levede han 807 År og avlede Sønner og Døtre;
010508003e	således blev Sets fulde Levetid 912 År, og derpå døde han.
010509002e	Da Enosj havde levet 90 År, avlede han Henan;
01050a0054	og efter at Enosj havde avlet Kenan, levede han 815 År og avlede Sønner og Døtre;
01050b0040	således blev Enosjs fulde Levetid 905 År, og derpå døde han.
01050c0033	Da Kenan havde levet 70 År, avlede han Mahalal'el;
01050d0059	og efter at Kenan havde avlet Mahalal'el, levede han 840 År og avlede Sønner og Døtre;
01050e0040	således blev Kenans fulde Levetid 910 År, og derpå døde han.
01050f0033	Da Mahalal'el havde levet 65 År, avlede han Jered;
010510005a	og efter at Mahalal'el havde avlet Jered, levede han 830 År og avlede Sønner. og Døtre;
0105110045	således blev Mahalal'els fulde Levetid 895 År, og derpå døde han.
010512002e	Da Jered havde levet 162 År, avlede han Enok;
0105130053	og efter at Jered havde avlet Enok, levede han 800 År og avlede Sønner og Døtre;
0105140040	således blev Jereds fulde Levetid 962 År, og derpå døde han.
0105150031	Da Enok havde levet 65 År, avlede han Metusalem,
0105160070	og Enok vandrede med Gud; og efter at han havde avlet Metusalem, levede han 300 År og avlede Sønner og Døtre;
010517002a	således blev Enoks fulde Levetid 365 År;
0105180040	og Enok vandrede med Gud, og han var ikke mere, thi Gud tog ham.
0105190033	Da Metusalem havde levet 187 År, avlede han Lemek;
01051a0058	og efter at Metusalem havde avlet Lemek, levede han 782 År og avlede Sønner og Døtre;
01051b0044	således blev Metusalems fulde Levetid 969 År, og derpå døde han.
01051c0031	Da Lemek havde levet 182 År, avlede han en Søn,
01051d0085	som han gav Navnet Noa, idet, han sagde: "Han skal skaffe os. Trøst i vort møjefulde Arbejde med Jorden, som HERREN har forbandet."
01051e0052	Og efter at Lemek havde avlet Noa, levede han 595 År og avlede Sønner og Døtre;
01051f0040	således blev Lemeks fulde Levetid 777 År, og derpå døde han.
0105200038	Da Noa var 500 År gammel, avlede han Sem, Kam og Jafet.
0106010050	Da nu Menneskene begyndte at blive talrige på Jorden og der fødtes dem Døtre,
0106020071	fik Gudssønnerne Øje på Menneskedøtrenes Skønhed, og de tog: så mange af dem, som de lystede, til Hustruer.
010603007f	Da sagde HERREN: "Min Ånd: skal ikke for evigt blive i Menneskene, eftersom de jo dog er Kød; deres Dage skal være 120 År."
01060400c7	I hine Dage, da Gudssønnerne gik ind til Menneskedøtrene og disse fødte dem Børn men også senere hen i Tiden - levede Kæmperne på Jorden. Det er Heltene, hvis Ry når tilbage til Fortids Dage.
0106050079	Men HERREN så, at Menneskenes, Ondskab tog til på Jorden, og at deres Hjerters Higen og Tragten kun var ond Dagen lang.
0106060058	Da angrede HERREN, at han havde gjort Menneskene på Jorden, og det. skar ham i Hjertet.
01060700a9	Og HERREN sagde: "Jeg vil udslette Menneskene, som jeg har skabt, af Jordens Flade, både Mennesker, Kvæg, Kryb og Himmelens, Fugle, thi jeg angrer, at jeg gjorde dem!"
0106080025	Men Noa fandt Nåde for HERRENs Øjne
010609006e	Dette er Noas Slægtebog. Noa var en retfærdig, ustraffelig Mand blandt sine samtidige; Noa vandrede med Gud.
01060a002a	Noa avlede tre Sønner: Sem, Kam og Jafet.
01060b0044	Men Jorden fordærvedes for Guds Øjne, og Jorden blev fuld af Uret;
01060c0063	og Gud så til Jorden, og se, den var fordærvet, thi alt Kød havde fordærvet sin Vej på Jorden.
01060d009b	Da sagde Gud til Noa: "Jeg har besluttet at gøre Ende på alt Kød, fordi Jorden ved deres Skyld et fuld af Uret; derfor vil jeg nu udrydde dem af Jorden.
01060e0080	Men du skal gøre dig en Ark af Gofertræ og indrette den med Rum ved Rum og overstryge den med Beg både indvendig og udvendig;
01060f005c	og således skal du bygge Arken: Den skal være 300 Alen lang, 50 Alen bred og 30 Alen høj;
01061000d0	du skal anbringe Taget på Arken, og det skal ikke rage længer ud end een Alen fra oven; på Arkens Side skal du sætte Døren, og du skal indrette den med et nederste, et mellemste og et øverste Stokværk.
010611008e	Se, jeg bringer nu Vandfloden over Jorden for at udrydde alt Kød under Himmelen, som har Livsånde; alt, hvad der er på Jorden, skal forgå.
010612006f	Men jeg vil oprette min Pagt med dig. Du skal gå ind i Arken med dine Sønner, din Hustru og dine Sønnekoner:
010613008a	og af alle Dyr, af alt Kød skal du bringe et Par af hver Slags ind i Arken for at holde dem i Live hos dig. Han og Hundyr skal det være,
010614009c	af Fuglene efter deres Arter, af Kvæget efter dets Arter og af alt Jordens Kryb efter dets Arter; Par for Par skal de gå ind til dig for at holdes i Live.
0106150067	Og du skal indsamle et Forråd af alle Slags Levnedsmidler, for at det kan tjene dig og dem til Føde."
0106160044	Og Noa gjorde ganske som Gud havde pålagt ham; således gjorde han.
010701007f	Derpå sagde HERREN til Noa: Gå ind i Arken med hele dit Hus, thi dig har jeg fundet retfærdig for mine Øjne i denne Slægt.
010702005c	Af alle rene Dyr skal du tage syv Par, Han og Hun, og af alle urene Dyr eet Par, Han og Hun,
010703005e	ligeledes af Himmelens Fugle syv Par, Han og Hun, for at de kan forplante sig på hele Jorden.
0107040099	Thi om syv Dage vil jeg lade det regne på Jorden i fyrretyve Dage og fyrretyve Nætter og udslette alle Væsener, som jeg har gjort, fra Jordens Flade."
0107050032	Og Noa gjorde ganske som HERREN havde pålagt ham.
0107060036	Noa var 600 År gammel, da Vandfloden kom over Jorden.
0107070064	Noa gik med sine Sønner, sin Hustru og sine Sønnekoner ind i Arken for at undslippe Flodens Vande.
0107080044	De rene og de urene Dyr, Fuglene og alt, hvad der kryber på Jorden,
010709004e	gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.
01070a0037	Da nu syv Dage var omme, kom Flodens Vande over Jorden;
01070b0087	i Noas 600de Leveår på den syttende Dag i den anden Måned, den Dag brast det store Verdensdybs Kilder, og Himmelens Sluser åbnedes,
01070c0042	og Regnen faldt over Jorden i fyrretyve Dage og fyrretyve Nætter.
01070d0070	Selvsamme Dag gik Noa ind i Arken og med ham hans Sønner Sem, Kam og Jafet, hans Hustru og hans tre Sønnekoner
01070e00bb	og desuden alle vildtlevende Dyr efter deres Arter, alt Kvæg efter dets Arter, alt Kryb på Jorden efter dets Arter og alle Fugle efter deres Arter, alle Fugle, alt, hvad der har Vinger;
01070f0044	af alt Kød, som har Livsånde, gik Par for Par ind i Arken til Noa;
0107100056	Han og Hundyr af alt Kød gik ind, som Gud havde påbudt, og HERREN lukkede efter ham.
010711006f	Da kom Vandfloden over Jorden i fyrretyve Dage, og Vandet steg og løftede Arken, så den hævedes over Jorden.
0107120044	Og Vandet steg og stod højt over Jorden, og Arken flød på Vandet;
010713005a	og Vandet steg og steg over Jorden, så de højeste Bjerge under Himmelen stod under Vand;
0107140044	femten Alen stod Vandet over dem, så Bjergene stod helt under Vand.
0107150076	Da omkom alt Kød, som rørte sig på Jorden, Fugle, Kvæg, vildtlevende Dyr og alt Kryb på Jorden og alle Mennesker;
0107160054	alt, i hvis Næse det var Livets Ånde, alt, hvad der var på det faste Land, døde.
01071700bb	Således udslettedes alle Væsener, der var på Jordens Flade, Mennesker, Kvæg, Kryb og Himmelens Fugle; de udslettedes af Jorden, og tilbage blev kun Noa og de, der var hos ham i Arken.
0107180023	Vandet steg over Jorden i 150 Dage.
0108010096	Da ihukom Gud Noa og alle de vilde Dyr og Kvæget, som var hos ham i Arken; og Gud lod en Storm fare hen over Jorden, så at Vandet begyndte at falde;
0108020051	Verdensdybets Kilder og Himmelens Sluser lukkedes, Regnen fra Himmelen standsede,
010803005b	og Vandet veg lidt efter lidt bort fra Jorden, og Vandet tog af efter de 150 Dages Forløb.
010804004c	På den syttende Dag i den syvende Måned sad Arken fast på Ararats Bjerge,
0108050078	og Vandet vedblev at synke indtil den tiende Måned, og på den første Dag i denne Måned dukkede Bjergenes Toppe frem.
0108060051	Da der var gået fyrretyve Dage: åbnede Noa den Luge, han havde lavet på Arken,
010807005b	og sendte en Ravn ud; den fløj frem og tilbage, indtil Vandet var tørret bort fra Jorden.
010808004e	Da sendte han en Due ud for at se, om Vandet var sunket fra Jordens Overflade;
01080900b1	men Duen fandt intet Sted at sætte sin Fod og vendte tilbage til ham i Arken, fordi der endnu var Vand over hele Jorden; og han rakte Hånden ud og tog den ind i Arken til sig.
01080a004b	Derpå biede han yderligere syv Dage og sendte så atter Duen ud fra Arken;
01080b008f	ved Aftenstid kom Duen tilbage til ham, og se, den havde et friskt Olieblad i Næbbet. Da skønnede Noa, at Vandet var svundet bort fra Jorden.
01080c005f	Derpå biede han syv Dage til, og da han så sendte Duen ud, kom den ikke mere tilbage til ham.
01080d00b8	I Noas 601ste Leveår på den første Dag i den første Måned var Vandet tørret bort fra Jorden. Da tog Noa Dækket af Arken, og da han så sig om, se, da var Jordens Overflade tør.
01080e003e	På den syv og tyvende Dag i den anden Måned var Jorden tør.
01080f0015	Da sagde Gud til Noa:
0108100041	"Gå ud af Arken med din Hustru, dine Sønner og dine Sønnekoner
01081100b2	og for alle Dyr, der er hos dig, alt Kød, Fugle, Kvæg og alt Kryb, der kryber på Jorden, ud med dig, at de kan vrimle på Jorden og blive frugtbare og mangfoldige på Jorden!"
010812003f	Da gik Noa ud med sine Sønner, sin Hustru og sine Sønnekoner;
0108130083	og alle de vildtlevende Dyr, alt Kvæget, alle Fuglene og alt Krybet, der kryber på Jorden, efter deres Slægter, gik ud af Arken.
010814006e	Derpå byggede Noa HERREN et Alter og tog nogle af alle de rene Dyr og Fugle og ofrede Brændofre på Alteret.
010815010a	Og da HERREN indåndede den liflige Duft, sagde han til sig selv: "Jeg vil aldrig mere forbande Jorden for Menneskenes Skyld, thi Menneskehjertets Higen er ond fra Ungdommen af, og jeg vil aldrig mere tilintetgøre alt, hvad der lever, således som jeg nu har gjort!
0108160071	Herefter skal, så længe Jorden står, Sæd og Høst, Kulde og Hede, Sommer og Vinter, Dag og Nat ikke ophøre!"
010901006b	Derpå velsignede Gud Noa og hans Sønner og sagde til dem: Bliv frugtbare og mangfoldige og opfyld Jorden!
01090200bd	Frygt for eder og Rædsel for eder skal være over alle Jordens vildtlevende Dyr og alle Himmelens Fugle og i alt, hvad Jorden vrimler med, og i alle Havets Fisk; i eders Hånd er de givet!
0109030075	Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.
0109040036	Dog Kød med Sjælen, det er Blodet, må I ikke spise!
0109050096	Men for eders eget Blod kræver jeg Hævn; af ethvert Dyr kræver jeg Hævn for det, og af Menneskene indbyrdes kræver jeg Hævn for Menneskenes Liv.
0109060070	Om nogen udøser Menneskers Blod, ved Mennesker skal hans Blod udøses, thi i sit Billede gjorde Gud Menneskene.
010907005a	Men I skal blive frugtbare og mangfoldige! Opfyld Jorden og gør eder til Herre over den!"
0109080029	Derpå sagde Gud til Noa og hans Sønner:
0109090044	"Se, jeg opretter min Pagt med eder og eders Efterkommere efter eder
01090a0091	og med hvert levende Væsen, som er hos eder, Fuglene, Kvæget og alle Jordens vildtlevende Dyr, alt, hvad der gik ud af Arken, alle Jordens Dyr;
01090b00a5	jeg opretter min Pagt med eder og lover, at aldrig mere skal alt Kød udryddes af Flodens Vande, og aldrig mere skal der komme en Vandflod for at ødelægge Jorden!"
01090c008d	Fremdeles sagde Gud: "Dette er Tegnet på den Pagt, jeg til evige Tider opretter mellem mig og eder og hvert levende Væsen, som er hos eder:
01090d004e	Min Bue sætter jeg i Skyen, og den skal være Pagtstegn mellem mig og Jorden!
01090e004b	Når jeg trækker Skyer sammen over Jorden, og Buen da viser sig i Skyerne,
01090f00af	vil jeg komme den Pagt i Hu, som består mellem mig og eder og hvert levende Væsen, det er alt Kød, og Vandet skal ikke mere blive til en Vandflod, som ødelægger alt Kød.
0109100090	Når Buen da står i Skyerne, vil jeg se hen til den og ihukomme den evige Pagt mellem Gud og hvert levende Væsen, det er alt Kød på Jorden."
0109110064	Og Gud sagde til Noa: "Det er Tegnet på den Pagt, jeg opretter imellem mig og alt Kød på Jorden!"
0109120054	Noas Sønner, der gik ud af Arken, var Sem, Kam og Jafet; Kam var Fader til Kana'an;
0109130045	det var Noas tre Sønner, og fra dem stammer hele Jordens Befolkning.
010914003c	Noa var Agerdyrker og den første, der plantede en Vingård.
010915004b	Da han nu drak af Vinen, blev han beruset og blottede sig inde i, sit Telt.
0109160053	Da så Kana'ans Fader Kam sin Faders Blusel og gik ud og fortalte sine Brødre det;
01091700ad	men Sem og Jafet tog Kappen, lagde den på deres Skuldre og gik baglæns ind og tildækkede deres Faders Blusel med bortvendte Ansigter, så de ikke så deres Faders Blusel.
0109180055	Da Noa vågnede af sin Rus og fik at vide, hvad hans yngste Søn havde gjort ved ham,
0109190050	sagde han: "Forbandet være Kana'an, Trælles Træl blive han for sine Brødre!"
01091a0050	Fremdeles sagde han: "Lovet være HERREN, Sems Gud, og Kana'an blive hans Træl!
01091b0051	Gud skaffe Jafet Plads, at han må bo i Sems Telte; og Kana'an blive hans Træl!"
01091c0024	Noa levede 350 År efter Vandfloden;
01091d003e	således blev Noas fulde Levetid 950 År, og derpå døde han.
010a01005f	Dette er Noas Sønner, Sem, Kam og Jafets Slægtebog. Efter Vandfloden fødtes der dem Sønner.
010a020043	Jafets Sønner: Gomer, Magog. Madaj, Javan, Tubal, Mesjek og Tiras.
010a03002b	Gomers Sønner: Asjkenaz, Rifaf og Togarma.
010a04003a	Javans Sønner: Elisja, Tarsis. Kittæerne og Rodosboerne;
010a050094	fra dem nedstammer de fjerne Strandes Folk. Det var Jafets Sønner i deres Lande, hver med sit Tungemål, efter deres Slægter og i deres Folkeslag.
010a06002e	Kams Sønner: Kusj, Mlizrajim, Put og Hana'an.
010a070055	Kusj's Sønner: Seba, Havila, Sabta, Ra'ma og Sabteka. Ra'mas Sønner: Saba og Dedan.
010a080042	Og Kusj avlede Nimrod, som var den første Storhersker på Jorden.
010a090070	Han var en vældig Jæger for HERRENs Øjne; derfor siger man: "En vældig Jæget for HERRENs Øjne som Nimrod."
010a0a0048	Fra først af omfattede hans Rige Babel, Erelk, Akkad og Kalne i Sinear;
010a0b0049	fra dette Land drog han til Assyrien og byggede Nineve, Rehobot- Ir, Kela
010a0c0034	og Resen mellem Nineve og Kela, det er den store By.
010a0d0039	Mizrajim avlede Luderne, Anamerne, Lehaberne, Naftuherne,
