2800000006	Matayu
28020a0049	Paayibhonite yila ndondwa yiyima bhakiyelelwa na kulumbilila kwa uyelelo.
28020b00b3	Paayingilite unyumba bhakimmona mwana papamu na Malia mama ghwake, bhakichutama na bhakintundamila. Ndo bhakihughula hupo hyabhe, bhakinpegha mahabha na ubano na ntela ghwa bhana.
28020c006b	Mbole Chapanga kakiakinya mululoto bhakotoke kummuyila Helode, ndo bhakibhuya ukaya kwabhe kwa njila yingi.
28020d0100	Mbole ya bhala ahenja kubhuka, lihoka ywa Chapanga kakinbwitukila Yosefu mu maloto, na kunng'ombela, “Ghuyumuke na ghuntole mwana papamu na mama ghwake na mmutukile ku Misili. Ntame akwo mbaka panukughombela, kiyaha Helode kangupala kunkoma mwana ayu.”
28020e005f	Habhu, Yosefu kakibhuka pakilo kakintola mwana papamu na mama ghwake, na bhakighenda ku Misili.
28020f00c2	Bhakitama akwo mbaka pakahweghite Helode. Nnando aghu ghukibwituka ngati litwihilike lilagho lyakalongilite Bambo kwa ngulu ya mbuye, pakalongela, “Nikinkema mwana ghwangu kuhuma ku Misili.”
280210017b	Helode pakang'amulite kukita bhala atendehi bha kumanya ndondwa bhantindila kya luhunga, kakikalala muno. Kakikwilikiha bhana alumi bhoha mu kitami kya Betelehemu na mumbwegha mbwegha yake akomwe, kutandila bhala bhana bhoha bhaabheghite na ngungwa mbili mbaka hing'enya. Kakitenda habhu kubhukana na manjubha kupita kutandila pakakonganite na bhala atendehi bha kumanya ndondwa.
2802110044	Ndo paghakitwihilikite malagho ghala ghaakambukitwe na mbuye Yelemia
280212009a	“Lilobhe liyihwanika akwo Lama, Kililo na makukuliko matangalo. Laheli kangualilila bhana bhake; na kalema kukamulwa mabhoko, kiyaha bhoha bhahwegha.”
2802130059	Mbole ya kuhwegha Helode, lihoka ywa Chapanga kakinbwitukila Yosefu mumaloto akwo Misili,
2802140095	kakinng'ombela, “Ghuyumuke, ghuntole mwana papamu na mama ywake, ghubhuye kangi ku Isilaeli, kiyaha bhala bhaapalite kunkoma mwana ahwegha kala.”
2802150061	Basi, Yosefu kakiyimuka, kakintola mwana papamu na mama ywake, bhakibhuya mu nnima ghwa Isilaeli.
28021600c4	Peni Yosefu kakiyoghopa kughenda akwo pakayihwite kukita Alikelao kaghuhala utabhala ghwa tate ghwake Helode. Mbole ya kukinywa na lihoka ywa Chapanga mu maloto, bhakighenda mbande ya ku Galilaya,
2802170093	na kakighenda kutama kukitami kiikemitwe Nasaleti. Habhu ndo ghakitwihilika malagho ghaakambukitwe na mabuye, “Katakemwa mundu ywa Kunasaleti.”
280301005f	Mumanjubha ghala Yohane yunakubatisa kakihika pakalandamiha mu kibhala kya Yudea, na kulongela,
2803020052	“Nneke ulemwa ghwenu, kiyaha ghubhutwa ghwa kunane kwa chapanga ghuheghelela.”
28030300bb	Ayu ndo Yohane ywene ndo mbuye Isaya kakilondola ya kya ywombe pakalongela, “Lilobhe la mundu lingukema kukibhala, ‘Munntendekehele Bambo njila yake, nng'ololehe ndyangilo yake.’”
28030400a6	Yohane kakihwala mapinda ghaatendekehitwe kwa mayuni gha nnyama ywaakemitwe ngamia, na nkungi ghwa liyula mu kibhuno kyake. Hilyo hyaki hikibhegha mapalala na bhuchi.
280305007d	Bhandu bhakinng'endela kuhuma ku Yelusalemu, na mbande hyoha ya Yudea na mumilima ya mbwegha mbwegha ya lukemba lwa Yoludani.
280306004a	Nabho bhakilipetula ulemwa ghwabhe, na kakiabatisa mulukemba lwa Yoludani.
28030700c3	Peni pakaabhonite Akaafalisayo na Akasadukayo bhangung'endela ngati abatiswe, kakiaghombela, “Mwenga bhandu ahakata handa liyoka. Ndo ghani ywakaakinyite kukihepetuka kiyaghabhu kiipala kuhika?
2803080030	Basi, mulilahe kwa mandendelo kukita mulipetula,
28030900a7	na kangi nkotoke kuhwacha na kulongela, ‘Tati ywetu Abulahamu.’ Ninguaghombela hoto, Chapanga kaahotola kutendekeha kibheleko kya Abulahamu kuhuma mu malibho agha.
28030a0091	Hata naha, libhaghu libhikwa kala mu ngigha hya nkongo. Nkongo ghwohele ghwangali kupambika mapambiko gha maha, ghwaadumulwa na kutagwa mu mwoto.
28030b00ef	Nenga nunguabatisa kwa machi kubhoneha kukita mulipetula. Peni ywakapala kuhika mbole ya nenga kabhegha na makakala kupitingana nenga, na yingunnogha ng'obhe hata kuyegha hilatu hyake. Mwene kataabatisa kwa Nhuki ywa Chapanga na kwa mwoto.
28030c00cf	Ywombe kakamula mumabhoko ghake kipalo kya kupetela mbunje hyake, naywombe katakilima muno kibhanja kya kukubhatila, ngati kakungane ngano hyaki mu luhanja, na mayeyele kaghayoche kwa mwoto ghwangahimika.”
28030d0069	Mumanjubha agho Yesu kakihuma ku Galilaya na kakihika mu lukemba lwa Yoludani, ngati kabatiswe na Yohane.
28030e0087	Peni Yohane kakiyigha kunkanikiha pakanng'ombela, “Nenga ningupala kubatiswa na ghwenga, na ghwenga ghunguhika kubatiswa na nenga!”
28030f0095	Peni Yesu kakinnyanga, “Ghuyitikile yibheghe habhu kwa hinu. Mana habhu yingutunogha kutenda ghakaghapala Chapanga.” Habhu Yohane kakinnyitikila.
28031000ad	Naywo Yesu pakabatiswite kala, kamu pakahumite mu machi, pindulu kunane kwa Chapanga kukihughuka, kakimmona Nhuki ywa Chapanga pakihuluka handa ngunda na kutula unani mwake.
2803110069	Mbole lilobhe kuhuma kunane kwa Chapanga likilongela, “Ayu ndo Mwana ywangu mpalo, yunyelelwa naywo.”
280401005c	Mbole Yesu kakilongohwa na Nhuki ywa Chapanga mbaka kukibhala ngati kakang'ehwe na Nchipila.
280402005b	Kakilikunga manjubha mbinda mabhoko ncheche pamuhi na pakilo, kuuhiko yikimmina muno njala.
2804030088	Mbole, Nchipila kakinhikila na kunng'ombela, “Handa ghwenga ndo Mwana ywa Chapanga, ghughakwilikihe maganga agha ghabheghe mangate.”
28040400b3	Peni Yesu kakinnyanga, “Yityekwa mu Malembo gha Chapanga, ‘Mundu katalama ng'obhe kwa kulyegha lingate ghweka, ngati kwa kila lilagho liikambukwa kwa nngulo ya Chapanga.’”
280405007d	Mbole Nchipila kakintola Yesu mbaka ku Yelusalemu, Kitami king'anyimo kakimmika kunane kukinembanemba kya Nyumba ya Chapanga,
28040600df	na kakinng'ombela, “Handa ghwenga Mwana ywa Chapanga, ghuliponehe pahi, kiyaha yityekwa mumalembo, ‘Chapanga kataakwilikiha Mahoka bhake, na bhombe bhaakukingama mu mabhoko ghabhe, ghukotoke kuponekela mu liganga.’”
280407006b	Yesu kakinnyanga, “Malembo mang'anyimo ghangulongela, ‘Ghukotoke kunng'eha Bambo Chapanga ghwako.’”
2804080081	Mbole Nchipila kakintola Yesu mbaka kukinemba kya kitumbi kitandamaho na kakinnaha ghubhutwa ghwoha ghwa nnima na unyanyi ghwake.
280409005f	Kakinng'ombela Yesu, “Agha ghoha ndaghupegha handa ghwanjutamila mayughwa na kundundamila.”
28040a00b3	Peni Yesu kakinnyanga, “Ghubhuke muulongolo ghwangu, ghwenga Nchipila. Kiyaha malembo ghangulongela, ‘Ghuntundamile Bambo Chapanga ghwako, na ghuntumikile ywombe ghweka.’”
28040b004a	Basi, Nchipila kakinneka, nabho mahoka bha Chapanga bhakihika kuntumikila.
28040c0062	Yesu pakayihwite kukita Yohane Yunakubatisa kahwindwa ku kibhopo, ywombe kakighenda akwo Galilaya.
28040d0097	Kakibhuka Nasaleti, kakighenda kutama ku Kapelinaumu kitami kiibheghiti mbwegha ya lihibha lya Galilaya, mu mbakilo ya kitami kya Sabuloni na Nafutali.
28040e0050	Ghakitendekwa habhu ngati lilagho lyakalongelite mbuye Isaya litwihilike kukita,
28040f00ab	“Milima ya Sabuloni na ghwa Naftali, milima yiibheghite mu mbwegha ya njila yiighenda kulihibha kumwambo ya lukemba Yolodani, Galilaya, nnima ya bhandu bha milima yingi.
28041000a1	Bhandu bhala bhaatamite mulubhindu Bhalubhona lubhwelu lukulu. Nabho bhaatamiteghe mu nnima ghwa lubhindu na bhwaghalili ghwa kuhwegha lubhwelo lubhang'aliha.”
2804110080	Kutandila apo, Yesu kakiyanda kulandamiha pakalongela, “Mulipetule, kiyaha Ghubhutwa ghwa kunane kwa Chapanga ghuheghelela.”
28041200c5	Yesu pakabheghite mukutyanga mumbwegha ya lihibha lya Galilaya, kakiabhona alongo abhili aghomeha homba, Simoni ywakakemwa Petili na Andelea ywakabheghite nnongo ghwake, paaghomeha homba kwa njaho.
2804130083	Ndo Yesu kakiaghombela, “Mundughile, na nenga ndabhatenda munyeghele bhandu handa aghomeha pabhayegha homba mulubhagha lwabhe.”
280414002f	Kamu bhakihileka njaho hyabhe na bhakintughila.
28041500df	Pabhaghendite paulogolo kya mandina, kakiabhona akalongo bhangi abhili, Yakobu na Yohane, bhana wa Sebedayo. Abha bhakibhegha nkati ya bhwato papamo na tati ghwabhe Sebedayo, paatandambuha njaho hghabhe. Ndo Yesu kakiakema,
2804160044	kamu bhakighuleka bhwato papamu na tate ghwabhe, bhakintughila Yesu.
28041700eb	Yesu kakighenda mu hitami hyoha hya ku Galilaya, kakihunda mu hitutuhi ya kukonganikila Akaayahudi na kulandamiha Nhalo ghwa Maha ya kya ghubhutwa ghwa Chapanga, kakilamiha mihehemela nhanganganiko na matamwa ghaabheghite nagho bhandu.
280418010b	Mihalo yake yikikwila mbande hyoha hya ku Silia, na atamwa bhoha bhaabheghite na matamwa nhanganganiko, na bhala bhaabheghite na himbamanda nhanganganiko, bhaakwelitwe na mandilu, bhaabheghite na kihilika na alelebhaho, bhakigheghwa kwa Yesu, naywo kakialamiha bhoha.
2804190081	Himati hitangalo hya bhandu bhakintughila, kuhuma ku Galilaya na Dekapoli na Yelusalemu na Yudea na kumwambo ya lukemba Yoludani.
2805010067	Yesu pakahibhonite himati hya bhandu, kakikwela kukitumbi na kakitama, na ahundwa bhake bhaking'endela,
280502001d	na ywombe kakiyanda kuahunda.
2805030086	“Bhanonelwa bhoha bhaamanya kukita bhangumpala muno Chapanga mukutama kwabhe, kiyaha Ghubhutwa ghwa kunane kwa Chapanga ndo ghwabhe.
2805040035	Bhanonelwa bhaakukulika, kiyaha bhaayonjokehwa mwoyo.
280505004e	Bhanonelwa bhaabheghite apole kiyaha bhaapeghwa nnima ghwakaalaghite Chapanga.
2805060071	Bhanonelwa bhaabhegha na njala na kilyakalyaka kya kutenda kila kyakakipala Chapanga kiyaha bhombe bhaayukutihwa.
280507003f	Bhanonelwa bhaabheghite na lipyanda kiyaha bhaamokola lipyanda.
280508004c	Bhanonelwa bhaabhegha na mwoyo ghwa maha, kiyaha bhombe bhatammona Chapanga.
2805090051	Bhanonelwa bhala bhaalinganiha malobhe bhandu, mana bhaakemwa bhana bha Chapanga.
28050a0078	Bhanonelwa bhaapungwa kwa kutenda ghala ghakaghapala chapanga, kiyaha Ghubhutwa ghwa Kunani kwa Chapanga ndo ghwabhe.”
28050b007b	Yesu kakighendelela kulongela, “Maanonelwa mwenga pala bhandu paabhakokela na kuakambukila uhakata ghwohele kwakya nenga.
28050c00a9	Nnyelelwe kwa hilulu, kiyaha lilumbo lyenu ndo likulu kunane kwa Chapanga. Mana ndo ubhwabhu abhu ndo bhakiapamanda ambuye bha Chapanga bhaabheghite pakali ya mwenga.”
28050d00d3	“Mwenga ndo handa mwinyu ghwa nnima. Peni handa mwinyu ghwahobheha unogho ghwake ghwabhuyihwa bhuli kangi unogho ghwake? Ghungunogha kangi ng'obhe kwa kyohele, ngati ghwaataghwa panje ghulibhatwe na bhandu.”
28050e005e	“Mwenga ndo lubhwelu lwa nnima. Kitami kiichengwite mu kitumbi kinguhotola ng'obhe kuhihika.
28050f00a0	Ebu bhandu bhanguyakiha ng'obhe koloboi na kuyigubika na kipumbulu, ngati bhanguyibhika mu kindangabhala, ngati yibhang'alihe bhandu bhoha bhaabheghite unyumba.
28051000a4	Ubhwabhu abhu lubhwelu lwenu lung'alihe mu ulongolo ghwa bhandu, ngati amokole kughabhona mandendelo ghenu gha maha na bhantike Tate ghwenu ywakabheghite kunane.”
2805110082	“Nkotoke kuhwacha kukita hika kughabhuha malaghilo gha Musa na mahundo gha ambuye, hika ng'obhe kughabhuha ngati kughatengeleha.
28051200a9	Kulyaghila nunguaghombela, mbaka nnima na kunane payipala kupita, peni kahone hata kipalamande kichoko kya malaghilo gha Musa kiipala kubhuhwa, mbaka ghoha ghatwihilike.
2805130117	Basi, ywohele ywakakiluka yimu mu ngwiliho njoko kupitingana kwa hyoha, na kuahunda bhandu bhakatende habhu, kaabhegha nndokwa mu Ghubhutwa ghwa kunane kwa Chapanga, peni mundu ywakaghatenda malaghilo na kuahunda ayake, aywo kaabhegha nkulu mu Ghubhutwa ghwa kunane kwa Chapanga.
28051400e9	Ndo mana nunguaghombela yinguakwiliha mughayitikile Malaghilo gha Chapanga kwa kuchweha gumaha muno kupitingana ghula ghwa ahunda bha Malaghilo na Akaafalisayo. Hela bhubho maayingila ng'obhe mu Ghubhutwa ghwa kunane kwa Chapanga.”
28051500a4	Yesu kakighendelela kulongela, “Nnyihwa kukita bhandu bha makachu paaghombelwa, ‘Ghukotoke kukoma mundu, na mundu ywohele ywakakoma mundu katanoghwa katoswe.’
280516011d	Peni nenga ninguaghombela kukita, mundu ywohele ywakannyaghabhalila nnongo ghwake, katanoghwa katoswe. Ywakannyuyuha nnongo ghwake katayeghwa ku libalasa. Na ywohela ywakanng'ombela nnongo ghwake ‘Ghwenga mmughabhugha ghukotolwe.’ Katanoghwa toso ya kutaghwa mu mwoto ghwa kumambe.
2805170071	Basi, paghuyegha matulo ghako ku likuta na kunu paghukulungwa kukita nnongo ghwako kabhegha na nnando na ghwenga,
2805180091	ghuleke matulo ghako apo paulongolo ghwa likuta, ghughende huti ghukalingane malobhe na nnongo ghwako, mbole ghubhuye na ghutule matulo ghako.”
280519010c	Kangi kakilonela, “Ghulingane malobhe nkokela ghwako kya kuyumbatika paghubhegha naywo munjila kughenda kulibalasa, ngati nkokela ghwako kakotoke kukukamuha mu mabhoko gha nlamula, naywo nlamula katakukamuha mumabhoko gha machonda, na ghwenga ghwaabhopwa mu kibhopo.
28051a0058	Kulyaghila nungukughombela, ghwaabhuka kata amwo, mbaka paghukamuha ligwala ya uhiko.”
28051b0066	Yesu kakighendelela kulongela, “Nnyihwa kukita bhandu bhakighombelwa, ‘Nkotoke kubhegha atyahe.’
28051c008c	Peni nenga nunguaghombela kukita, mundu ywohele ywakannolekeha nndala kwa uhongo ghwa kutyala naywo, aywo katyala naywo kala mumwoyo ghwake.
28051d0088	Liho lyako lya kibhoko kya nnilo palighutenda ghutende uhokelo, mbaha ghulikolopole, kuliko mmili ghwoha kutaghwa mu mwoto ghwa kumambe.
28051e008d	Handa kibhoko kyako kya nnilo pakighutenda ghutende uhokelo, mbaha ghukidumule, kuliko mmili ghwako ghwoha kutaghwa mu mwoto ghwa kumambe.”
28051f0077	“Bhubho yikikambukwa kukita, ‘Mundu ywohele ywakanneka nhumbu ghwake yingukwiliha kanpeghe lihamba lya kulekana.’
2805200114	Peni nenga nunguaghombela, mundu kangunoghwa ng'obhe kunneka nhumbu ywake kwa uhokelo ghwohele, pangi kwa kutenda utyahe, na mundu ywakanneka nhumbu ghwake kwa uhokelo ghwohele ghula, kanguntenda kabheghe ntyahe. Na yula ywakantolela nndala ywakalekitwe, kangutenda utyahe.”
28052100a3	“Kangi nnyihwa kukita bhandu bha makachu bhakighombelwa, ‘Ghukotoke kulaghila kulapa kwa uhwangi, ngati ghutwihilihe kilagho kyako kwa kighunnapilite Bambo.’
280522007c	Peni nenga nunguaghombela, nkotoke kulapa yomoo, hangi kwa kunane kwa Chapanga, kiyaha ndo kiteho kya utabhala kya Chapanga,
280523009d	hangi nkotoke kuulapila nnima, kiyaha nnima ndo pahala pamwene pakuyeghemela maghulu ghake, ebu kwa lihina lya Yelusalemu, kiyaha ndo kitami kya Mutwa nkulu.
280524006d	Nkotoke kulapa kwa mitwe yenu, kiyaha ghwahotola ng'obhe kutenda luhwili lumu lubheghe lwambulete ebu lupili.
280525009f	Paghulongela ‘Ena’ Yibheghe ‘Ena’ Na paghulongela ‘Ng'obhe’ Yibheghe ‘Ng'obhe’ Kiyaha ghohele kuchweha kwa agha ghanguhuma kwa yula nhokelo.”
28052600a6	“Nnyihwa kukita yikikambukwa, ‘Mundu pakalikuchumbula liho lyako na ghwenga ghunkuchumbule, na mundu pakaghutupula lino lyako na ghwenga ghuntupule lino lyake.’
2805270095	Peni nenga nunguaghombela, nkotoke kummuyihila kibhuyiho kwa mundu nhakata. Mundu pakakubhakula kulikanja lyako lya nnilo, ghumghalambuhile na lingi.
280528005a	Handa mundu ywakapala kukukokela ngati katole lighwanda lyako, ghumpeghe na likoti bhubho.
2805290059	Mundu pakaghulemelela ghupape nhigho ghwake mwanja ghwa maili yimu, ghuupape maili mbili.
28052a005a	Ghunpeghe ywakakuyupa, hangi ghukotoke kumdumbila kihogho ywakapala kukuyahika kilibhi.”
28052b0057	“Nnyihwa kukita yikikambukwa, ‘Ghunpale ghanja ywako na ghunkalale myanja ywako.’
28052c0056	Peni nenga nunguaghombela, muapale amyanja bhenu na mubhayupile bhala bhaabhakalalila,
28052d0107	ngati mmokole kubhegha bhana bha Tate ywenu ywakabheghite kunane. Kiyaha ywombe kanguang'aliha luchubha lwake bhandu ahokela na bhandu bha maha, naywo kanguakomela hula bhandu bhanakutenda ghanakunnoghela Chapanga na bhangali kutenda ghangali kunnoghela Chapanga.
28052e0065	Pamuapala bhala bhanakuapala ghweka, maapata hupo yoki? Bhuli asumula sumu bhangutenda ng'obhe habhu?
28052f00a5	Na handa munguatendela gha maha alongo bhenu ghweka, Bhuli mungutenda kyoki kupitingana kwa bhangi? Hata bhandu bhangali kummanya Chapanga bhangutenda ubhwabhu abhu.
2805300058	Kya habhu mwenga mmeghe atwihiliko handa Tate ywenu ywa kunane pakabhegha ntwihiliko.”
28060100b6	“Mulindakile, nkotoke kutenda milando ya maha muulongolo ghwa bhandu ngati bhabhatikile, mana pantenda handa habhu, mungumokola ng'obhe hupo kwa Tate ywenu ywakabheghite kunane.”
28060200d8	“Basi, pamuapegha hilibhi kapukwa, nkotoke kulandamiha handa paatenda afyangu mu nyumba hya kukongamila Akaayahudi na mu hindandabhanji, ngati atikilwe na bhandu. Kulyaghila nunguaghombela akingama kala hupo yabhe.
280603005a	Peni mwenga pamuapegha hilibhi bhandu kapukwa, mundu ywohele kakotoke kumanya kimukitenda.
280604007f	Ngati matulo ghako ghabheghe gha lupwepo. Ndo Tate ywako ywa Kunane ywakabhona kwa lupwepo katakupeha hupo pakindandabhanji.”
28060500ea	“Pammegha munguyupa nkotoke kubhegha handa afyangu, kiyaha bhombe bhangupala kuyupa paayima mu nyumba hya kukonganila Ayahudi na mumbwegha ya njila ngati atikilwe na bhandu. Kulyaghila nunguaghombela, bhombe amokola kala hupo yabhe.
28060600b7	Peni ghwenga paghuyupa, ghuyingile mu nyumbakati yako, ghutate nlyango na ghunnyupe Tate ywako ywakabheghite mulupwepo. Naywo Tate ywako ywakabhona mulupwepo katakupegha hupo yako.”
28060700c1	“Na mwenga pammegha mukuyupa, nkotoke kulongela malagho ghangamanyikwa handa paatenda bhandu bhangammanya Chapanga. Kiyaha bhombe bhanguhwacha kukita bhaayunilwa kwa malagho ghabhe matangalo.
280608005f	Nkotoke kubhegha handa bhombe, kiyaha Tate ywenu kangumanya kila kimukipala kukali na kunnyupa.
280609005a	Habhu, ndo mungunoghwa kuyupa, ‘Tate ghwetu ghuubheghite kunane, Lihina lyako litikilwe,
28060a0053	Ghubhutwa ghwako ghuhike Lighulipala litendeke kunane na litendeke bhubho mu nnima.
28060b002e	Ghutupeghe lelo hilyo hyetu hya kila linjubha.
28060c0044	Ghutulekekehe ulemwa ghwetu, Handa patualekekeha bhala bhaatuhokela.
28060d00a2	Ghukotoke kutuyingiha mu mayigho, peni ghutulopohe kuhuma kwa yula nhokelo. Kiyaha Ghubhutwa ndo ghwako na makakala na ukulu hata manjubha ghoha. Ayi mwika.’”
28060e006f	“Kiyaha pamualekekeha bhandu bhangi mahokelo ghabhe, Tate ywenu ywa Kunane naywo kataalekekeha mwenga bhubho.
28060f007a	Peni handa pamualekekeha ng'obhe bhangi bhaabhahokela, na Tate ywenu ywa Kunane kutabhalekekeha ng'obhe uhokelo ghwenu.”
28061000f0	“Pamulikunga kulyegha hilyo, nkotoke kutenda handa afyangu, bhaalitenda bhangubhegha na mahyongololo na kukikinala hibhungi hyabhe, ngati abhonekane na bhandu kukita bhalikunga. Kulyaghila nunguaghombela bhombe bhakingama kala hupo yabhe.
280611004e	Peni pamulikunga kulyegha, nkuhe hibhungi hyenu mpakale mahuta mu mitwe hyenu,
28061200a8	ngati kulikunga kwa mwenga kukotoke kulibhoneha kwa bhandu bhangi, ngati Tate ywenu ywakatama palupwepo, naywo Tate ywenu ywakabhona mu lupwepo kataapegha hupo yenu.”
2806130088	“Nkotoke kulibhikila luhanja apa pannima, pahala pene hipuluputu na kutu bhanguhanjaghana, na bhanabhwihi bhangutungunyula na kuyibha.
2806140098	Ngati mulibhikile mihanja hyenu kunane kwa Chapanga kwene hipuluputu na kutu bhanguhanjaghana ng'obhe, ebu bhanabhwihi bhangutungunyula kata na kuyibha.
2806150048	Kiyaha palubheghite luhanja lwako, apo ndo mwoyo ghwako ghungubhegha.”
280616006c	“Liho ndo limbamba lya mmili. Handa liho lyako lingubhona maha, mmili ghwako ghwoha ghwaabhegha na bhwelu.
28061700ae	Peni handa liho lyako lya maha ng'obhe, mmili ghwako ghwabhegha na lubhindu. Kya habhu, handa bhwelu luubheghite mu nkati yako ndo lubhindu, alwo ndo lubhindu lwa totoloo!”
28061800dc	“Kabhone mundu ywakahotola kuatendela mahengo abambo abhili, Kiyaha katankalalila yumu na katanpala yula yungi, ebu katabhegha benibeni na yumu na kumpughana yungi. Maahotola ng'obhe kuntumikila Chapanga na utopelo.”
