2800000005	Matye
2802030080	Dáa mɛkoozi Elood nagwak deenek ɛ, ye nabɛ ɛ́, ye naakpaa nyɛ lyem ɛbuɛpe dɔɔ nɛ bot ɛdi kɔ ghaada Yeluzalɛm ɔ.
28020400a2	Wɔ gwaa nyɛ zɛdjóo bot ɛ nadi kɔ elo eboo bɛghaa-Zɛɛb ɔ djas, nɛ bɛghaŋ ɛ mɛkana mɛ etsi djas, nyɛ needji bɛ di Mɛsia di esiŋa nɛ ɛbyel ɔ.
2802050082	Bɛ eezɛbɔɔza nɛ nɛ náá: «Pɛ Bheteleɛm, pɛ kyee dik Yude etɛɛ náá, ngoolel-mɛkpa ɛ Zɛɛb nakwyal ɛ náá:
28020600d2	“Wɔy Bheteleɛm, kyee dik Yude Nɛ tsɛɛtsɛ wɔ tok nɛ ghwyil ɛbyaselaa pɛ kɔ mɛl mɛ di kɔ kyee dik Yude ɛ, etɛɛ náá, kɔ lɔ'ɛ aapaawyis boo kukuma mot aadjɛɛd mbyak'am Yisalaɛl ɔ.”»
280207009c	Deenek, wɔ gwaa, mɛkoozi Elood zɛdjóo bɛtsoŋ ɛ bot binɔk tɔ syaab. Tin, bɛ eezɛlɛɛ nyɛ sum di nɛ ɛwala ɛ kwyikwyen tak nanyen tɔ gwoo ɛ.
28020800fe	Bhii tak, nyɛ eezɛlwom bɛ pɛ Bheteleɛm. Nyɛy nɛ nɔɔ náá: «Tɔ́ka kɛsaa, da bi ɛ́ gu etɛp djas dum nɛ mɔn tak, dɔɔ nɛ zeza nɛ di nyɛ di ɔ. Bi ɛ́ bela ɔɔ, da bi ɛ́ lɛɛ mɛ, etɛɛ náá, mam pe neezyɛ, zɛduwal nyɛ.»
2802090120	Bhii bɛ nazegwak dáa mɛkoozi nalii nɛ nɔɔ ɛ, bɛ eezɛnɔɔ mɛnyel dhaa yɔɔ. Tin, kwyikwyen bɛ nadi ebee pɛ ɛdjem ɛ dwoo ɛ, moo kɛ pɛ sok bhwoob'ɔɔ pɛ ɛko, é sok bɛ nakum zeza nɛ di mɔn tak nadi ɛ́, Wɔ gwaa kwyikwyen zɛtyaa piki, é di wat, ààkabaakɛ.
28020a0045	Dáa bɛ nabee kwyikwyen ɛ, bɛ nabɛ ɛ́, bɛ naamyaala ɛbuɛpe.
28020b0113	Bhii tak, bɛ eezɛni tɔ ndjaa, zɛbela mɔn bɛ nɛ nyɛɛg Maali tin. Wɔ gwaa, bɛ zɛkwyit mɛboŋ si étɛp ɛduwal mɔn. Bhii tak, bɛ eezɛkɛɛ mɛkɔm mɔɔ. Bɛ eezɛpɛk nyɛ nɛ elɔɔd, nɛ bɛmɛnanas di edikaa tɔ du ɛ, zɛnɔɔ mul mɛ di djóoaa miid ɛ.
28020c009d	Bhii tak, wɔ gwaa Zɛɛb zɛlu bɛ tɔ dhyam náá, bɛ nàdhaa pɛ daa Elood. Tin, é ɛsik ɛ lɔɔ pɛ dɛl ɛ lɔɔ, bɛ nakadhaŋ ɛ́, pɛ ze sis.
28020d013d	Bhis bɛtsoŋ ɛ bot binɔk natɔ́ ɛ, fofop ɛ Ghɛŋ ngɔt eezɛtuula Zozɛf tɔ dhyam. Nyɛy nɛ nɛ náá: «Wyɛla. Nɔŋa mwalɔ nɛ mɔn, da bi ɛ́ kaab, tɔ́, kɛsɔwa pɛ Eziptɛ. Kɛdi penek, kɛkum dwoo mɛ aake náá, wɔ bula ɛ. Etɛɛ náá, Elood ɛ́ waasaa mɔn étɛp nyɛ neegó nyɛ.»
28020e0064	Tin, Zozɛf ɛ́ boozɛwyɛl, nɔɔ mɔn nɛ myɛl, zɛkaab pum-ɛ-pum, tɔ́, kɛsɔwa pɛ Eziptɛ.
28020f0100	Zozɛf zokadi penek ɛ kɛkum ɛlu ɛ ɛsyee ɛ Elood. Ye nasɛɛ deenek ɛ, etɛɛ náá, etɛp ee Ghɛŋ naloolɛɛ tɔ nuub ngoolel-mɛkpa mɛ ɛ, neebela ɛsuk. Ye nabɛ ɛ́ náá: «Mɛ eedjóo mɔn'am étɛp nyɛ neewyis tɔ dɛl ɛ Eziptɛ.»
2802100196	Bhis Elood nazɛgu náá, bɛtsoŋ ɛ bot binɔk naakɔɔ nyɛ ɛ, nyɛ naazɛbiyo ɛlyelɛpe. Wɔ gwaa nyɛ zɛdjɛ ɛlee nɛ bot bɛ náá, bɛ tɔ́ pɛ Bheteleɛm nɛ mɛl mɛ di é mengwoob ɛ djas, kɛgó bɔn botom djas di náá, bɛ dinaa ààpaakum membu membá ɔ. Etɛɛ náá, ndem bɛtsoŋ ɛ bot nalɛɛ nyɛ ɛ, ye nabɛ ɛ́ náá, mɔn tak nadi ɛ́, tɔ lɔɔg membu menek.
2802110072	Tin, etɛp ee ngoolel-mɛkpa ɛ Zɛɛb Zelemi nalɛɛ ɛ́ boo zɛbela ɛsuk. Nyɛ nabɛ ɛ́, nyɛ naake náá:
28021200a3	«Etsim ɛpegék pɛ dɛl ɛ Lama; etsim e boo mɛgwyɛ nɛ mezuk. Ye ɛ́ Lasɛl ɛ di edje bɔn bɛ. Nyɛ aanàkwaakat ɛgwyɛ, etɛɛ náá, bɔn tokapɛ.»
2802130054	Bhis ɛsyee ɛ Elood, fofop ɛ Ghɛŋ ngɔt eezɛtuula Zozɛf tɔ dhyam pɛ Eziptɛ.
28021400b4	Nyɛy nɛ nɛ náá: «Wyɛla. Nɔŋa mwalɔ nɛ mɔn, da bi ɛ́ sik pɛ kyee dik Yisalaɛl etɛɛ náá, bot djas nadi ekwyɛl ɛgó mɔn'ɔ ɔ, bɛ eezesi “bhɛɛɛ”.»
280215004e	Tin, Zozɛf ɛ́ boozɛwyɛl, nɔɔ mɔn nɛ myɛl sik pɛ kyee dik Yisalaɛl.
2802160107	Tinaak, dáa nyɛ nagwak náá, Alselaɔs naadjila sɛɛg Elood kɔ bóó mɛkoozi pɛ Yude ɛ, bwoo naasa nyɛ é ɛtɔ́ pɛ yiizaag. Zɛɛb ɛ́ boobaazɛdjɛ nyɛ mɛlyo mɛsis tɔ dhyam. Tin, nyɛ eezɛtɔ́ pɛ dhiiti dɛl ɛsis, pɛ kyee dik Ghalile.
280217010e	Nyɛ ɛ́ boozɛtɔ́ kɛdi pɛ dhiiti dɛl, din ɛ dɛl ɛ tak ɛ́ Nazalɛt. Ye nasɛɛ deenek ɛ́, etɛɛ náá, dhiiti etɛp ee Zɛɛb nalɛɛ tɔ enuub e bɛngoolel ɛ mɛkpa ɛ Zɛɛb ɛ, neebela ɛsuk. Ye nabɛ ɛ́ náá: «Bɛ aadjóo nyɛ mot Nazalɛt.»
2803010093	É ghɛŋ tak ye nabɛ ɛ́ Zaŋ Nduuel-bot eetuula tɔ kyee bɔs bɛsyɛ di ààbɛ nɛ mɛdii ɛ e kyee dik Yude. Nyɛ nadi elyo ɛ́ náá:
280302004e	«Liigka elyem bin, etɛɛ náá, Ɛyoŋ ɛ di tɔ gwoo ɛ, yɛ eezekunaa!»
28030300c9	Ngoolel-mɛkpa Ezayi nalii étɛp'ɛ ɛ́ náá: «Mot ngɔt ɛpetuud kɔ kyee bɔs bɛsyɛ di ààbɛ nɛ mɛdii ɛ náá: “Koobalka mɛze ɛ Ghɛŋ! Tuuka nyɛ mɛze mɛ na looba-looba!”»
28030400b6	Kaad Zaŋ nadi ebɔt ɛ nasael ɛ́ nɛ mya mɛ boo yaaga kyee bɔs bɛsyɛ di ààbɛ nɛ mɛdii ɛ. Nyɛ nabɛ ɛ́ nɛ bhɛtɛ ket é kuu. Nyɛ nadedɛ ɛ́ etsemaaka nɛ egho.
2803050085	Bot ɛ ghaada Yeluzalɛm nɛ bot ɛ kyee dik Yude djas, zɛnɔɔ bot ɛ nadidi mbaka-mbaka nɛ dii Yuldɛn ɔ nadi ezyɛ pɛ daa lɛ.
2803060060	Bɛ nadi evaa mesyem mɔɔ é mis mɛ bot. Bhii tak ɔ, Zaŋ zɛduu bɛ Zɛɛb tɔ dii Yuldɛn.
28030700f8	Dáa Zaŋ nabee náá, bɛtɛ nɛ eFalizyɛ nɛ eSaduseɛ nadi ezyɛ pɛ daa lɛ ɛbuɛpe zɛduwa Zɛɛb ɛ, nyɛ ɛ́ boozɛke nɛ nɔɔ náá: «Biyɔ mbyak mɛgel mak! Ɛzɛ lyo bin náá, bi kaab ɛbuk ɛ Zɛɛb ze kunaa nɛ ɛzyɛ enek?
2803080054	Lyaalka nɛ esesɛɛ bin náá, ye ɛ́ tsɛɛtsɛ náá, bi eezeliig elyem bin.
28030900c8	Betka ɛke biyɔ nɛ biyɔ náá: “Dhiiti sonok aanàkwaasa mena, etɛɛ náá: Abalaam ɛ́ bhaab'enaka.” Etɛɛ náá, Zɛɛb ɛ́ nɛ ghwyil ɛliig mɛkok mak ye liiza bɛdha ɛ Abalaam.
28030a00ce	Ye nyɔ ɛ́ bi gu náá, zoŋ moo ɛ́ nɛɛga é ɛbok ɛ le étɛp ye neetsaal ekaŋal e tak. Ele ee di ààdjɛ mbɛɛ bhum ɔ djas, goka ɛ́ nɛ ɛkwyalaa. Bhii tak, da ye ɛ́ kɛmwasaa tɔ du.
28030b013b	«Ye ɛ́ tsɛɛtsɛ náá, mam duu bin Zɛɛb ɛ́ tɔ mɛdii, étɛp ye neelyaal náá, bi eezeliig elyem. Yɛ kabɛ mot di zyɛ bhis'am ɔ, nyɛ aaduu bin Zɛɛb ɛ́, tɔ ghwyil Sisim na Dɛɛ nɛ du. Nyɛ eedhaa mɛ nɛ mɛbwala. Mam aanàkwaakobela-bela duu ɛmalal étɛp ɛkotii-tiiak ekel ekoko bɛ.
28030c00dc	Tɔ mɛmbɔ mɛ, nyɛ eemɛt wal étɛp nyɛ neewa mbɛk pak ezeeza nɛ bhum. Ezeeza pak wat, mbɛɛ bhum yak pak. Tin, nyɛ waakwom mbɛɛ bhum tɔ taa. Yɛ kabɛ ezeeza ɔ, nyɛ kakɛmwas yɛ ɛ tɔ du na kɔm-kɔm.»
28030d0087	Dhiiti dwoo Yezu naazɛdus pɛ kyee dik Ghalile zɛkum pɛ dii Yuldɛn pɛ kyee Zaŋ nadi ɛ́, étɛp nyɛ needuwa Zɛɛb dáa Zaŋ.
28030e00a3	Wɔ gwaa Zaŋ zɛbyen yɛ. Nyɛy nɛ nɛ náá: «Ye ɛ́ mam ɛ di egoka nɛ ɛzyɛ, zɛduwa Zɛɛb pɛ daa lɔ. Ghuna ye ɛ́ wɔy ɛ́ kazyɛ pɛ daa lam e!»
28030f00c0	Yezu eezɛbɔɔza nɛ nɛ náá: «Wɔ goka ɛ́ wɔ myaal náá, ye sɛ́ɛ deenek é ɛwala ɛlak. Etɛɛ náá, deenek mena sa ɛ́ ɛkwosak ɛ Zɛɛb.» Tin, Zaŋ ɛ́ boo zɛmyaal.
28031000b6	Dáa Yezu naduwa Zɛɛb ɛ, wyisa nyɛ nazowyis tɔ mɛdii ɛ, é di tak wat, wɔ gwaa gwoo zɛbɛŋel kɔ ɛko ɛ lɛ. Bhii tak, Sisim na Dɛɛ eezyɛ, zɛsul kɔ lɛ tyee ɛghum.
2803110077	Dhiiti gwood eezɛgék tɔ gwoo náá: «Nwyak ɛ́ mɔn'am mɛ di kwyɛl ɔ. Mɛ eedyeebamyaala nɛ nɛ ɛbuɛpe.»
28040100a4	Bhii tak, Sisim Zɛɛb eezɛwyel Yezu, tɔ́ nɛ nɛ pɛ kyee bɔs bɛsyɛ di ààbɛ nɛ mɛdii ɛ, etɛɛ náá, Dim mot mɛkɔŋ neekɛwa nyɛ tɔ mɛbhowal.
2804020072	Dáa nyɛ nazɛtsi edee étɛp mendjaala tyee mɛlu mɛkam-mɛná nɛ epum mɛkam-mɛná ɛ, za naazɛsa nyɛ.
28040300a7	Tin, Satan, Mot mɛbhowal eezɛtiila pɛ daa lɛ. Nyɛy nɛ nɛ náá: «Yɛ bɛ náá, wɔ ɛ́ Mɔn ɛ Zɛɛb ɔɔ, kea nɛ mɛkok mak náá, ye liiza emapa.»
28040400c3	Yezu eezebɔɔza nɛ nɛ náá: «Ekwyala ɛ Zɛɛb lɛɛ ɛ́ náá: “Ye tok emapa nɛ emapa di esa náá, mot di nɛ tsik. Mot tsak ɛ́ nɛ mɛkpa djas di edus tɔ nuub Zɛɛb ɛ.”»
2804050079	Bhii tak, Dim mot mɛkɔŋ eebaazɛtɔ́ nɛ nɛ pɛ Yeluzalɛm ghaada na dɛɛ. Nyɛ eezɛgel nyɛ kɔ nges Ndjaa-ebuwa.
280406012f	Nyɛy nɛ Yezu náá: «Yɛ bɛ náá, wɔ ɛ́ Mɔn Zɛɛb ɔɔ, tsela, da wɔ ɛ́ kɛduma pɛ si, etɛɛ náá, ekwyala ɛ Zɛɛb lɛɛ ɛ́ náá: “Kɔ ɛsu ɛ lɔ, Zɛɛb ɛ́ waake nɛ efofop bɛ náá: Bɛ bɛp wɔ nɛ mɛmbɔ mɔɔ, é kaab náá, wɔ ɛ́ zɛkɛbema ɛbɛk.”»
2804070080	Tin, Yezu eezɛbɔɔza nɛ nɛ náá: «Ekwyala baalɛɛ ɛ́ náá: “Sa wɔ ààwa Ghɛŋ Zɛɛb'ɔ tɔ mɛbhowal.”»
28040800a6	Dim mot mɛkɔŋ eebaazɛnɔɔ nyɛ, tɔ́ nɛ nɛ pɛ kɔ dhiiti ɛtsok ɛ na vyɛɛgvyɛɛg. Nyɛ eezɛtel nyɛ mɛyoŋ mɛ bɔs djas nɛ mɛkas nɛ enɛm tak djas.
2804090090	Dim mot mɛkɔŋ eezɛke nɛ nɛ náá: «Mɛ waadjɛ wɔ esesɛɛ bak djas, wɔ kwyit mɛboŋ mɔ si mɛko mam, da wɔ ɛ́ duwal mɛ ɔɔ.»
28040a00d5	É di'enek, Yezu ɛ́ boozɛke nɛ nɛ náá: «Dusa tin, Satan! Etɛɛ náá, ekwyala lɛɛ ɛ́ náá: “Ye ɛ́ Ghɛŋ Zɛɛb'ɔ ɛ́ wɔ di egoka nɛ ɛduwal. Wɔ goka nɛ ɛsa ɛ́ mɛsa mɛ met.”»
28040b0077	É sok'enek, Dim mot mɛkɔŋ eezɛbet nyɛ, nyɛ eezɛtɔ́ yɛ. É di'enek, wɔ gwak efofop zokazyɛ zɛkwyee nyɛ.
28040c0053	Bhis Yezu nagwak náá, Zaŋ naamɛtaa é mbok ɛ, nyɛ naazɛtɔ́ pɛ Ghalile.
28040d00d7	Nyɛ nabɛ ɛ́ ààkosulal kɔ ghaada Nazalɛt. Tin, nyɛ nakwos ɛ́ ɛkɛdi pɛ ghaada Kapɛlnaum, ghaada tak nadi ɛ́ mbaka-mbaka nɛ boo soob na djato-djato Ghalile, pɛ pak kyee dik ɛ Zabulɔn nɛ Neftali.
28040e005d	Nyɛ nasa deenek ɛ́, etɛɛ náá, etɛp ngoolel-mɛkpa Ezayi nalɛɛ ɛ́ neebela ɛsuk:
28040f00a2	«Ekyee mɛdhik mɛ Zabulɔn nɛ Neftali pɛ kyee ze boo soob na djato-djato pɛ yii kyiid dii Yuldɛn, Ghalile, pɛ bot ɛ di ààbɛ bot ɛ mbyak eYuda di ɔ!
28041000a2	Mbyak di tɔ ghooghom ɛ waabee boo ngel gwyɛ é kas tɔ lɔɔ! Dɔɔ nɛ bot ɛ di ekɔɔla tɔ ghooghom pɛ kyee dik ɛsyee ɔ, gwyes ɛ́ waakas kɔ lɔɔ.»
2804110081	Kana ɛwala ɛlenek, Yezu naazɛkan ɛlyo bot náá: «Liigka elyem, etɛɛ náá, Ɛyoŋ ɛ di tɔ gwoo ɛ, yɛ eezekunaa!»
2804120102	Dhiiti dwoo Yezu nadi ekɛ mbaka-mbaka nɛ boo soob na djato-djato e Ghalile. Dáa nyɛ nabee bɛlael ɛ mɛwyet bɛbá, dhyeeb nɛ tel, bɔɔ ela mɛwyet ɛ. Bot ɛ tak nabɛ ɛ́ Simɔŋ, mot nagetaa Pyɛɛd ɔ, zɛnɔɔ dhyeeb Andele ela ɛwyet tɔ dii.
2804130075	Tin, Yezu eezɛke nɛ nɔɔ náá: «Duka mɛ, mɛ waasa náá, bi di bɛlael ɛ mɛwyet étɛp ɛmɛt ɛ bot.»
2804140043	É di'enek wat, bɛ eezɛdhuugal mɛwyet mɔɔ, étɛp ɛdu Yezu.
28041500ef	Bhii Yezu nakɛ ba «zii» ɛ́, nyɛ eezɛboma nɛ bɛdhiiti bot ɛsis, dhyeeb nɛ tel, Zak bɛ nɛ mɔn ɛ nyɛɛg Zaŋ, bɔn ɛ Zɛbɛdɛ. Bɛ nadi ɛ́ tɔ elɛɛd, ekoobal mɛwyet mɔɔ, bɛ nɛ sɛɛg'ɔɔ. Tin, Yezu eezɛdjóo bɛ.
280416004c	É di'enek wat, bɛ eezɛdhuugal elɛɛd nɛ sɛɛg'ɔɔ, bɛ eezɛdu Yezu.
2804170119	Tin, Yezu naazɛtɔ́ pɛ kyee dik Ghalile djas, nyɛ nadi edjɛ mɛlyo tɔ mendjaa mɛ mendjaala mɛ eYuda nadi pɛ kyee dik tak ɛ. Nyɛ nadi egoola Mbɛɛ Bhaadal dum nɛ Ɛyoŋ ɛ Zɛɛb, nɛ ɛbaatsik bot ɛ nazyɛ nɛ mɛbɛ́ membi nɛ membi ɔ nɛ bot ɛ nadi nɛ edjam ɔ.
28041800fe	Ye nabɛ ɛ́, menduk mɛ naakɛ kɔ kyee dik Siili djas. Bɛ ɛ́ boodi zezyɛ nyɛ nɛ bot ɛ nadi nɛ mɛbɛ́ membi nɛ membi ɔ, nɛ bot ɛ embee esisim nadi edhe-dhek ɔ, dɔɔ nɛ bot ɛ nadi ebil djem ɔ nɛ eboka e bot. Yezu zokatsik bɔɔ djas.
28041900aa	Mɛdhuu mɛ bot ɛ nadi edu nyɛ ɔ, nadudus ɛ́ pɛ Ghalile, pɛ pak eghaada kam, pɛ ghaada Yeluzalɛm, pɛ Yude nɛ bot ɛ kyee dik nadi pɛ yii kyiid dii Yuldɛn ɔ.
2805010089	Dáa Yezu nabee ɛdhuu ɛ bot binɔk ɛ, nyɛ naazɛbyet kɔ ɛtsok, nyɛ eezɛnɔɔ nyel'ɛ, disi. Bɛdjekel bɛ eezɛdisi e ngwoob'ɛ.
2805020021	Nyɛ eezɛni é djɛ bɛ mɛlyo:
2805030061	«Mɛnyɔ nɛ bɛdjel ɛ bot tɔ sisim, etɛɛ náá, Ɛyoŋ ɛ di tɔ gwoo ɛ, ye ɛ́ yɔbɔ.
2805040064	Mɛnyɔ nɛ bot ɛ di edje nenak ɔ, etɛɛ náá, Zɛɛb ɛ́ waadis ghoŋ di tɔ elyem bɔɔ ɛ!
280505005b	Mɛnyɔ nɛ bot ɛ di etela ɔ, etɛɛ náá, bɛ waabela kyee bɔs Zɛɛb nakɛk bɛ ɛ!
2805060064	Mɛnyɔ nɛ bot ɛ di nɛ za nɛ gwyes ɛsa ɛkwosak ɛ Zɛɛb ɔ, etɛɛ náá, bɛ waadɛ, djil!
280507005b	Mɛnyɔ nɛ bot ɛ di gek bot ɛsis ghoŋ ɔ, etɛɛ náá, Zɛɛb ɛ́ waagek bɛ ghoŋ!
280508004d	Mɛnyɔ nɛ bot ɛ di nɛ mbɛɛ elyem ɔ, etɛɛ náá, bɛ waabee Zɛɛb.
2805090072	Mɛnyɔ nɛ bot ɛ di esaa egwyem pak'ɔɔ ɛ, etɛɛ náá, Zɛɛb ɛ́ waadiig bet náá, bɛ ɛ́ bɔn bɛ!
28050a0090	Mɛnyɔ nɛ bot ɛ di tɔ tsik mezuk ɔ etɛɛ náá, bɛ ɛpesa ɛkwosak ɛ Zɛɛb, etɛɛ náá, Ɛyoŋ ɛ di tɔ gwoo ɛ, ye ɛ́ yɔbɔ!
28050b009b	Mɛnyɔ nɛ nen, yɛ bɛ náá, bot ɛpelee bin ɔ, nɛ ɛwa bin tɔ tsik mezuk ɔ, bɛ di esu bin etɛp mbɛs ɔ, nɛ ɛbaasaab dék'en, étɛp'am ɔ.
28050c00bf	Myaalaka, da bi ɛ́ bɔl zɛŋ, etɛɛ náá, boo etuud bin ɛ́ nɛɛga pɛ tɔ gwoo. Etɛɛ náá, ye ɛ́ deenek ɛ bɛ nazuk bɛngoolel ɛ mɛkpa ɛ Zɛɛb nazyɛ ɛsok nɛ nen ɔ.»
28050d0123	«Ye ɛ́ biyɔ ɛ́ di mɛsɔn kɔ bɔs. Yɛ bɛ náá, mɛsɔn moo ɛ́, ààkagwom ɔ, ye goka ɛ́ nɛ ɛsaaa dáa étɛp mɛsɔn neebaagwom? Deenek mɛsɔn aakadi ɛ́, ààbɛ nɛ mɛsa mɛ yɛ aasaaa nɛ yɛ ɛ. Deenek, ye goka ɛ́ nɛ ɛmwasaa pɛ kel, da bot ɛ́ nyal yɛ.
28050e006a	«Ye ɛ́ biyɔ ɛ́ di mɛkas kɔ ɛko ɛ bɔs. Dɛl ɛ di suma kɔ ɛtsok ɔ, tok nɛ ghwyil ɛdi syela.
28050f009b	Wɔ aanàkwaatuub lama, da wɔ ɛ́ wa yɛ si bhe. Yɛ ààseaa deenek, ye goka nɛ ɛkɛlaa ɛ́, pɛ kɔ tɛɛg é di bot djas aadi tɔ gwyɛ tak ɔ.
280510009d	Deenek ɛ́ di egoka náá, mɛkas men nyen tɔ bot, étɛp bot neebee mɛnyɔ mɛ esesɛɛ bi di esa ɛ, étɛp bɛ needuwal Sɛɛg'en di tɔ gwoo ɔ.»
