0100000006	Genezo
01011500c9	Kaj Dio kreis la grandajn balenojn, kaj ĉiujn vivajn estaĵojn moviĝantajn, kiujn aperigis la akvo, laŭ ilia speco, kaj ĉiujn flugilhavajn birdojn laŭ ilia speco. Kaj Dio vidis, ke ĝi estas bona.
0101160077	Kaj Dio ilin benis, dirante: Fruktu kaj multiĝu, kaj plenigu la akvon en la maroj, kaj la birdoj multiĝu sur la tero.
0101170033	Kaj estis vespero, kaj estis mateno, la kvina tago.
0101180093	Kaj Dio diris: La tero aperigu vivajn estaĵojn, laŭ ilia speco, brutojn kaj rampaĵojn kaj surterajn bestojn, laŭ ilia speco; kaj fariĝis tiel.
01011900ab	Kaj Dio kreis la bestojn de la tero, laŭ ilia speco, kaj la brutojn, laŭ ilia speco, kaj ĉiujn rampaĵojn de la tero, laŭ ilia speco. Kaj Dio vidis, ke ĝi estas bona.
01011a00cd	Kaj Dio diris: Ni kreu homon laŭ Nia bildo, similan al Ni; kaj ili regu super la fiŝoj de la maro kaj super la birdoj de la ĉielo kaj super la brutoj, kaj super ĉiuj rampaĵoj, kiuj rampas sur la tero.
01011b0074	Kaj Dio kreis la homon laŭ Sia bildo, laŭ la bildo de Dio Li kreis lin; en formo de viro kaj virino Li kreis ilin.
01011c00e4	Kaj Dio benis ilin, kaj Dio diris al ili: Fruktu kaj multiĝu, kaj plenigu la teron kaj submetu ĝin al vi, kaj regu super la fiŝoj de la maro kaj super la birdoj de la ĉielo, kaj super ĉiuj bestoj, kiuj moviĝas sur la tero.
01011d00c3	Kaj Dio diris: Jen Mi donis al vi ĉiujn herbojn, kiuj semas semon, kiuj troviĝas sur la tuta tero, kaj ĉiujn arbojn, kiuj havas en si arban frukton, kiu semas semon; tio estu por vi manĝaĵo.
01011e00c0	Kaj al ĉiuj bestoj de la tero kaj al ĉiuj birdoj de la ĉielo kaj al ĉiuj rampaĵoj sur la tero, kiuj havas en si vivan animon, la tutan verdan herbaĵon kiel manĝaĵon. Kaj fariĝis tiel.
01011f007b	Kaj Dio rigardis ĉion, kion Li kreis, kaj vidis, ke ĝi estas tre bona. Kaj estis vespero, kaj estis mateno, la sesa tago.
0102010045	Kaj estis finitaj la ĉielo kaj la tero kaj ĉiuj iliaj apartenaĵoj.
010202007b	Kaj Dio finis en la sepa tago Sian laboron, kiun Li faris, kaj Li ripozis en la sepa tago de la tuta laboro, kiun Li faris.
0102030072	Kaj Dio benis la sepan tagon kaj sanktigis ĝin, ĉar en ĝi Li ripozis de Sia tuta laboro, kiun Li faris kreante.
010204007b	Tia estas la naskiĝo de la ĉielo kaj la tero, kiam ili estis kreitaj, kiam Dio la Eternulo faris la teron kaj la ĉielon.
01020500ba	Kaj nenia kampa arbetaĵo ankoraŭ estis sur la tero, kaj nenia kampa herbo ankoraŭ kreskis, ĉar Dio la Eternulo ne pluvigis sur la teron, kaj ne ekzistis homo, por prilabori la teron.
0102060057	Sed nebulo leviĝadis de la tero kaj donadis malsekecon al la tuta supraĵo de la tero.
0102070086	Kaj Dio la Eternulo kreis la homon el polvo de la tero, kaj Li enblovis en lian nazon spiron de vivo, kaj la homo fariĝis viva animo.
0102080067	Kaj Dio la Eternulo plantis ĝardenon en Eden en la Oriento, kaj Li metis tien la homon, kiun Li kreis.
01020900c0	Kaj Dio la Eternulo elkreskigis el la tero ĉiun arbon ĉarman por la vido kaj bonan por la manĝo, kaj la arbon de vivo en la mezo de la ĝardeno, kaj la arbon de sciado pri bono kaj malbono.
01020a0070	Kaj rivero eliras el Eden, por akvoprovizi la ĝardenon, kaj de tie ĝi dividiĝas kaj fariĝas kvar ĉefpartoj.
01020b0065	La nomo de unu estas Piŝon; ĝi estas tiu, kiu ĉirkaŭas la tutan landon Ĥavila, kie estas la oro.
01020c004f	Kaj la oro de tiu lando estas bona; tie troviĝas bedelio kaj la ŝtono onikso.
01020d0062	Kaj la nomo de la dua rivero estas Giĥon; ĝi estas tiu, kiu ĉirkaŭas la tutan landon Etiopujo.
01020e0079	Kaj la nomo de la tria rivero estas Ĥidekel; ĝi estas tiu, kiu fluas antaŭ Asirio. Kaj la kvara rivero estas Eŭfrato.
01020f0077	Kaj Dio la Eternulo prenis la homon kaj enloĝigis lin en la ĝardeno Edena, por ke li prilaboradu ĝin kaj gardu ĝin.
0102100057	Kaj Dio la Eternulo ordonis al la homo, dirante: De ĉiu arbo de la ĝardeno vi manĝu;
0102110071	sed de la arbo de sciado pri bono kaj malbono vi ne manĝu, ĉar en la tago, en kiu vi manĝos de ĝi, vi mortos.
0102120067	Kaj Dio la Eternulo diris: Ne estas bone, ke la homo estu sola; Mi kreos al li helpanton similan al li.
01021300df	Kaj Dio la Eternulo kreis el la tero ĉiujn bestojn de la kampo kaj ĉiujn birdojn de la ĉielo, kaj venigis ilin al la homo, por vidi, kiel li nomos ilin; kaj kiel la homo nomis ĉiun vivan estaĵon, tiel restis ĝia nomo.
010214009b	Kaj la homo donis nomojn al ĉiuj brutoj kaj al la birdoj de la ĉielo kaj al ĉiuj bestoj de la kampo; sed por la homo ne troviĝis helpanto simila al li.
0102150092	Kaj Dio la Eternulo faligis profundan dormon sur la homon, kaj ĉi tiu endormiĝis; kaj Li prenis unu el liaj ripoj kaj fermis la lokon per karno.
010216006d	Kaj Dio la Eternulo konstruis el la ripo, kiun Li prenis de la homo, virinon, kaj Li venigis ŝin al la homo.
0102170087	Kaj la homo diris: Jen nun ŝi estas osto el miaj ostoj kaj karno el mia karno; ŝi estu nomata Virino, ĉar el Viro ŝi estas prenita.
0102180065	Tial viro forlasos sian patron kaj sian patrinon, kaj aliĝos al sia edzino, kaj ili estos unu karno.
0102190046	Kaj ili ambaŭ estis nudaj, la homo kaj lia edzino, kaj ili ne hontis.
01030100ae	Kaj la serpento estis pli ruza, ol ĉiuj kampaj bestoj, kiujn kreis Dio la Eternulo. Kaj ĝi diris al la virino: Ĉu Dio diris, ke vi ne manĝu de ĉiuj arboj de la ĝardeno?
010302005b	Kaj la virino diris al la serpento: La fruktojn de la arboj de la ĝardeno ni povas manĝi;
010303008a	sed pri la fruktoj de la arbo, kiu estas en la mezo de la ĝardeno, Dio diris: Ne manĝu ion de ili kaj ne tuŝu ilin, por ke vi ne mortu.
0103040035	Kaj la serpento diris al la virino: Ne, vi ne mortos;
0103050088	sed Dio scias, ke en la tago, en kiu vi manĝos ion de ili, malfermiĝos viaj okuloj kaj vi estos kiel Dio, vi scios bonon kaj malbonon.
01030600ec	Kaj la virino vidis, ke la arbo estas bona por manĝi kaj ĝi estas ĉarma por la okuloj, kaj la arbo estas dezirinda por saĝiĝi; kaj ŝi prenis de ĝiaj fruktoj, kaj ŝi manĝis, kaj ŝi donis kune ankaŭ al sia edzo, kaj li manĝis.
010307008f	Kaj malfermiĝis la okuloj de ili ambaŭ, kaj ili sciiĝis, ke ili estas nudaj; kaj ili kunkudris foliojn de figarbo kaj faris al si zonaĵojn.
01030800b9	Kaj ili aŭdis la voĉon de Dio la Eternulo, kiu marŝis en la ĝardeno dum la malvarmeto de la tago; kaj Adam kaj lia edzino kaŝiĝis de Dio la Eternulo inter la arboj de la ĝardeno.
0103090040	Kaj Dio la Eternulo vokis Adamon, kaj diris al li: Kie vi estas?
01030a006b	Kaj tiu diris: Vian voĉon mi aŭdis en la ĝardeno, kaj mi ektimis, ĉar mi estas nuda; kaj mi kaŝis min.
01030b0081	Kaj Dio diris: Kiu diris al vi, ke vi estas nuda? ĉu vi ne manĝis de la arbo, pri kiu Mi ordonis al vi, ke vi ne manĝu de ĝi?
01030c006a	Kaj Adam diris: La edzino, kiun Vi donis al mi kiel kunulinon, ŝi donis al mi de la arbo, kaj mi manĝis.
01030d007c	Kaj Dio la Eternulo diris al la virino: Kial vi tion faris? Kaj la virino diris: La serpento tromplogis min, kaj mi manĝis.
01030e00cb	Kaj Dio la Eternulo diris al la serpento: Ĉar vi tion faris, tial estu malbenita inter ĉiuj brutoj kaj inter ĉiuj bestoj de la kampo; sur via ventro vi irados kaj teron vi manĝados dum via tuta vivo.
01030f008b	Kaj Mi metos malamikecon inter vi kaj la virino kaj inter via idaro kaj ŝia idaro; ĝi frapados vian kapon, kaj vi pikados ĝian kalkanon.
0103100099	Al la virino Li diris: Mi multigos viajn suferojn dum via gravedeco; en doloro vi naskados infanojn; kaj al via viro vi vin tiros, kaj li regos super vi.
01031100e9	Kaj al Adam Li diris: Ĉar vi obeis la voĉon de via edzino, kaj vi manĝis de la arbo, pri kiu Mi ordonis al vi, dirante, ke vi ne manĝu de ĝi, tial malbenita estu la tero pro vi; kun suferoj vi manĝados de ĝi dum via tuta vivo.
0103120055	Kaj dornojn kaj pikaĵojn ĝi kreskigos por vi, kaj vi manĝados herbojn de la kampo.
010313008f	En la ŝvito de via vizaĝo vi manĝados panon, ĝis vi revenos en la teron, el kiu vi estas prenita; ĉar vi estas polvo kaj refariĝos polvo.
0103140054	Kaj Adam donis al sia edzino la nomon Eva, ĉar ŝi estis patrino de ĉiuj vivantoj.
010315005a	Kaj Dio la Eternulo faris por Adam kaj por lia edzino vestojn el felo, kaj Li vestis ilin.
01031600ba	Kaj Dio la Eternulo diris: Jen Adam fariĝis kiel unu el Ni, sciante bonon kaj malbonon; nun eble li etendos sian manon kaj prenos ankaŭ de la arbo de vivo kaj manĝos kaj vivos eterne.
010317006d	Kaj Dio la Eternulo eligis lin el la Edena ĝardeno, por ke li prilaboradu la teron, el kiu li estis prenita.
010318008e	Kaj Li elpelis Adamon, kaj lokis antaŭ la Edena ĝardeno la kerubon kaj la turniĝantan flaman glavon, por gardi la vojon al la arbo de vivo.
010401007f	Kaj Adam ekkonis Evan, sian edzinon, kaj ŝi gravediĝis, kaj ŝi naskis Kainon; kaj ŝi diris: Mi akiris homon de la Eternulo.
0104020068	Kaj plue ŝi naskis lian fraton Habel. Kaj Habel fariĝis ŝafpaŝtisto, kaj Kain fariĝis terlaboristo.
0104030061	Kaj post ia tempo fariĝis, ke Kain alportis el la fruktoj de la tero donacoferon al la Eternulo.
0104040084	Kaj Habel ankaŭ alportis el la unuenaskitoj de siaj ŝafoj kaj el ilia graso. Kaj la Eternulo atentis Habelon kaj lian donacoferon;
0104050061	sed Kainon kaj lian donacoferon Li ne atentis. Kaj Kain tre ekkoleris, kaj lia vizaĝo kliniĝis.
010406004f	Kaj la Eternulo diris al Kain: Kial vi koleras? kaj kial kliniĝis via vizaĝo?
0104070084	Ja se vi agos bone, vi estos forta; sed se vi agos malbone, la peko kuŝos ĉe la pordo, kaj vin ĝi aspiros, sed vi regu super ĝi.
0104080081	Kaj Kain parolis kun sia frato Habel; kaj kiam ili estis sur la kampo, Kain leviĝis kontraŭ sian fraton Habel kaj mortigis lin.
0104090079	Kaj la Eternulo diris al Kain: Kie estas via frato Habel? Kaj tiu diris: Mi ne scias; ĉu mi estas gardisto de mia frato?
01040a0056	Kaj Li diris: Kion vi faris? la voĉo de la sango de via frato krias al Mi de la tero.
01040b006f	Kaj nun estu malbenita de sur la tero, kiu malfermis sian buŝon, por preni la sangon de via frato el via mano.
01040c006d	Kiam vi prilaboros la teron, ĝi ne plu donos al vi sian forton; vaganto kaj forkuranto vi estos sur la tero.
01040d0053	Kaj Kain diris al la Eternulo: Pli granda estas mia puno, ol kiom mi povos elporti.
01040e00b7	Jen Vi forpelas min hodiaŭ de sur la tero, kaj mi devas min kaŝi de antaŭ Via vizaĝo, kaj mi estos vaganto kaj forkuranto sur la tero, kaj iu ajn, kiu min renkontos, mortigos min.
01040f00a9	Kaj la Eternulo diris al li: Sciu, ke al iu, kiu mortigos Kainon, estos venĝite sepoble. Kaj la Eternulo faris sur Kain signon, ke ne mortigu lin iu, kiu lin renkontos.
0104100057	Kaj Kain foriris de antaŭ la Eternulo, kaj loĝiĝis en la lando Nod, oriente de Eden.
01041100a6	Kaj Kain ekkonis sian edzinon, kaj ŝi gravediĝis, kaj ŝi naskis Ĥanoĥon. Kaj li konstruis urbon, kaj li donis al la urbo nomon laŭ la nomo de sia filo: Ĥanoĥ.
0104120088	Kaj al Ĥanoĥ naskiĝis Irad, kaj al Irad naskiĝis Meĥujael, kaj al Meĥujael naskiĝis Metuŝael, kaj al Metuŝael naskiĝis Lemeĥ.
010413005c	Kaj Lemeĥ prenis al si du edzinojn: unu havis la nomon Ada, kaj la dua havis la nomon Cila.
010414005d	Kaj Ada naskis Jabalon; li estis la patro de tiuj, kiuj loĝas en tendoj kaj paŝtas brutojn.
010415005f	Kaj la nomo de lia frato estis Jubal; li estis la patro de ĉiuj, kiuj ludas harpon kaj fluton.
0104160080	Cila ankaŭ naskis Tubal-Kainon, forĝanton de diversaj majstraĵoj el kupro kaj fero. Kaj la fratino de Tubal-Kain estis Naama.
01041700b2	Kaj Lemeĥ diris al siaj edzinoj Ada kaj Cila: Aŭskultu mian voĉon, edzinoj de Lemeĥ, Atentu mian parolon! Ĉar viron mi mortigis por vundo al mi Kaj junulon por tubero al mi;
0104180044	Se sepoble estos venĝite por Kain, Por Lemeĥ estos sepdek-sepoble.
010419009f	Kaj denove Adam ekkonis sian edzinon, kaj ŝi naskis filon, kaj donis al li la nomon Set: Ĉar Dio metis al mi alian semon anstataŭ Habel, kiun mortigis Kain.
01041a0078	Kaj al Set ankaŭ naskiĝis filo, kaj li donis al li la nomon Enoŝ. Tiam oni komencis alvokadi la nomon de la Eternulo.
0105010061	Jen estas la libro de naskoj de Adam. Kiam Dio kreis la homon, Li faris lin laŭ la bildo de Dio;
0105020073	kiel viron kaj virinon Li kreis ilin, kaj Li benis ilin kaj donis al ili la nomon Homo en la tago de ilia naskiĝo.
0105030079	Kaj Adam vivis cent tridek jarojn, kaj al li naskiĝis filo laŭ lia bildo kaj simileco, kaj li donis al li la nomon Set.
0105040064	Kaj Adam vivis, post kiam naskiĝis al li Set, okcent jarojn, kaj naskiĝis al li filoj kaj filinoj.
0105050051	Kaj la tuta vivo, kiun travivis Adam, estis naŭcent tridek jaroj, kaj li mortis.
010506003a	Kaj Set vivis cent kvin jarojn, kaj naskiĝis al li Enoŝ.
0105070069	Kaj Set vivis, post kiam naskiĝis al li Enoŝ, okcent sep jarojn, kaj naskiĝis al li filoj kaj filinoj.
0105080043	Kaj la tuta vivo de Set estis naŭcent dek du jaroj, kaj li mortis.
010509003a	Kaj Enoŝ vivis naŭdek jarojn, kaj naskiĝis al li Kenan.
01050a0070	Kaj Enoŝ vivis, post kiam naskiĝis al li Kenan, okcent dek kvin jarojn, kaj naskiĝis al li filoj kaj filinoj.
01050b0043	Kaj la tuta vivo de Enoŝ estis naŭcent kvin jaroj, kaj li mortis.
01050c003d	Kaj Kenan vivis sepdek jarojn, kaj naskiĝis al li Mahalalel.
01050d0073	Kaj Kenan vivis, post kiam naskiĝis al li Mahalalel, okcent kvardek jarojn, kaj naskiĝis al li filoj kaj filinoj.
01050e0042	Kaj la tuta vivo de Kenan estis naŭcent dek jaroj, kaj li mortis.
01050f0042	Kaj Mahalalel vivis sesdek kvin jarojn, kaj naskiĝis al li Jared.
0105100072	Kaj Mahalalel vivis, post kiam naskiĝis al li Jared, okcent tridek jarojn, kaj naskiĝis al li filoj kaj filinoj.
010511004d	Kaj la tuta vivo de Mahalalel estis okcent naŭdek kvin jaroj, kaj li mortis.
0105120043	Kaj Jared vivis cent sesdek du jarojn, kaj naskiĝis al li Ĥanoĥ.
0105130069	Kaj Jared vivis, post kiam naskiĝis al li Ĥanoĥ, okcent jarojn, kaj naskiĝis al li filoj kaj filinoj.
0105140048	Kaj la tuta vivo de Jared estis naŭcent sesdek du jaroj, kaj li mortis.
0105150046	Kaj Ĥanoĥ vivis sesdek kvin jarojn, kaj naskiĝis al li Metuŝelaĥ.
0105160079	Kaj Ĥanoĥ iradis kun Dio, post kiam naskiĝis al li Metuŝelaĥ, tricent jarojn, kaj naskiĝis al li filoj kaj filinoj.
010517003c	Kaj la tuta vivo de Ĥanoĥ estis tricent sesdek kvin jaroj.
0105180042	Kaj Ĥanoĥ iradis kun Dio; kaj li malaperis, ĉar Dio lin prenis.
0105190048	Kaj Metuŝelaĥ vivis cent okdek sep jarojn, kaj naskiĝis al li Lemeĥ.
01051a0078	Kaj Metuŝelaĥ vivis, post kiam naskiĝis al li Lemeĥ, sepcent okdek du jarojn, kaj naskiĝis al li filoj kaj filinoj.
01051b0050	Kaj la tuta vivo de Metuŝelaĥ estis naŭcent sesdek naŭ jaroj, kaj li mortis.
01051c0040	Kaj Lemeĥ vivis cent okdek du jarojn, kaj naskiĝis al li filo.
01051d0094	Kaj li donis al li la nomon Noa, dirante: Ĉi tiu konsolos nin en niaj faroj kaj en la laboroj de niaj manoj sur la tero, kiun la Eternulo malbenis.
01051e0075	Kaj Lemeĥ vivis, post kiam naskiĝis al li Noa, kvincent naŭdek kvin jarojn, kaj naskiĝis al li filoj kaj filinoj.
01051f0049	Kaj la tuta vivo de Lemeĥ estis sepcent sepdek sep jaroj, kaj li mortis.
0105200055	Kaj Noa havis la aĝon de kvincent jaroj, kaj al Noa naskiĝis Ŝem, Ĥam, kaj Jafet.
010601004d	Kaj kiam la homoj komencis multiĝi sur la tero kaj al ili naskiĝis filinoj,
0106020082	tiam la filoj de Dio vidis la filinojn de la homoj, ke ili estas belaj; kaj ili prenis al si edzinojn el ĉiuj, kiujn ili elektis.
010603008a	Kaj la Eternulo diris: Ne regos Mia spirito inter la homoj eterne, pro iliaj pekoj, ĉar ili estas karno; ilia vivo estu cent dudek jaroj.
01060400ba	Gigantoj estis sur la tero en tiu tempo, eĉ post kiam la filoj de Dio venis al la filinoj de la homoj kaj ĉi tiuj naskis al ili. Tio estis la fortuloj, tre famaj de plej antikva tempo.
010605009c	Kaj la Eternulo vidis, ke granda estas la malboneco de la homoj sur la tero kaj ke ĉiuj pensoj kaj intencoj de iliaj koroj estas nur malbono en ĉiu tempo;
010606005a	tiam la Eternulo pentis, ke Li kreis la homon sur la tero, kaj Li afliktiĝis en Sia koro.
01060700bc	Kaj la Eternulo diris: Mi ekstermos de sur la tero la homon, kiun Mi kreis, de la homo ĝis la brutoj, ĝis la rampaĵoj, kaj ĝis la birdoj de la ĉielo; ĉar Mi pentas, ke Mi ilin kreis.
0106080033	Sed Noa akiris plaĉon en la okuloj de la Eternulo.
0106090066	Jen estas la historio de Noa: Noa estis homo virta kaj senmakula en sia generacio; kun Dio Noa iradis.
01060a0036	Kaj naskiĝis al Noa tri filoj: Ŝem, Ĥam, kaj Jafet.
01060b004b	Kaj la tero malvirtiĝis antaŭ Dio, kaj la tero pleniĝis de maljustaĵoj.
01060c0060	Kaj Dio vidis la teron, ke ĝi malvirtiĝis, ĉar ĉiu karno malvirtigis sian vojon sur la tero.
01060d0093	Kaj Dio diris al Noa: La fino de ĉiu karno venis antaŭ Min, ĉar la tero pleniĝis de maljustaĵoj per ili, kaj jen Mi pereigos ilin kun la tero.
01060e006f	Faru al vi arkeon el ligno gofera; apartaĵojn faru en la arkeo, kaj ŝmiru ĝin per peĉo interne kaj ekstere.
01060f0079	Kaj faru ĝin tiamaniere: tricent ulnoj estu la longo de la arkeo, kvindek ulnoj ĝia larĝo, kaj tridek ulnoj ĝia alto.
01061000a9	Fenestron faru en la arkeo, supre, kun la alto de unu ulno, kaj la pordon de la arkeo vi faros en la flanko; malsupran spacon, duan spacon, kaj trian spacon faru en ĝi.
010611009e	Kaj jen Mi venigos akvan diluvon sur la teron, por ekstermi ĉiun karnon, kiu havas en si spiriton de vivo sub la ĉielo; ĉio, kio estas sur la tero, pereos.
010612008e	Kaj Mi starigos Mian interligon kun vi; kaj vi eniros en la arkeon, vi kaj viaj filoj kaj via edzino kaj la edzinoj de viaj filoj kune kun vi.
010613008f	Kaj el ĉiuj vivaĵoj, el ĉiu karno, enkonduku po unu paro el ĉiuj en la arkeon, ke ili restu vivaj kun vi; virbesto kaj virinbesto ili estu.
01061400a4	El la birdoj laŭ iliaj specoj, kaj el la brutoj laŭ iliaj specoj, el ĉiuj rampaĵoj de la tero laŭ iliaj specoj, po paro el ĉiuj eniru kun vi, por resti vivaj.
010615007c	Kaj vi prenu al vi el ĉiuj manĝaĵoj, kiuj estas manĝataj, kaj kolektu al vi; kaj ĝi estu por vi kaj por ili por manĝi.
0106160041	Kaj Noa tion faris; ĉion, kiel Dio al li ordonis, tiel li faris.
0107010090	Kaj la Eternulo diris al Noa: Eniru vi kaj via tuta familio en la arkeon, ĉar vin Mi vidis, ke vi estas virtulo antaŭ Mi en ĉi tiu generacio.
0107020094	El ĉiuj brutoj puraj prenu al vi po sep paroj, virbestojn kaj iliajn inojn; kaj el la brutoj, kiuj ne estas puraj, po du, virbeston kaj ĝian inon.
010703006f	Ankaŭ el la birdoj de la ĉielo po sep paroj, virbestojn kaj virinbestojn, por ke semo restu sur la tuta tero.
0107040097	Ĉar post sep tagoj Mi pluvigos sur la teron dum kvardek tagoj kaj kvardek noktoj, kaj Mi ekstermos de sur la tero ĉiujn ekzistaĵojn, kiujn Mi kreis.
0107050034	Kaj Noa faris ĉion, kion la Eternulo al li ordonis.
0107060050	Kaj Noa havis la aĝon de sescent jaroj, kiam la akva diluvo venis sur la teron.
010707007d	Kaj eniris Noa kaj liaj filoj kaj lia edzino kaj la edzinoj de liaj filoj kune kun li en la arkeon, pro la akvo de la diluvo.
0107080070	El la brutoj puraj, kaj el la brutoj, kiuj ne estas puraj, kaj el la birdoj, kaj el ĉiuj rampaĵoj sur la tero,
0107090051	po unu paro venis al Noa en la arkeon, virbesto kaj ino, kiel Dio ordonis al Noa.
01070a003f	Kaj kiam pasis la sep tagoj, la diluva akvo venis sur la teron.
01070b00c0	En la sescenta jaro de la vivo de Noa, en la dua monato, en la dek-sepa tago de la monato, en tiu tago disfendiĝis ĉiuj fontoj de la granda abismo kaj la aperturoj de la ĉielo malfermiĝis.
01070c0041	Kaj estis pluvo sur la tero dum kvardek tagoj kaj kvardek noktoj.
01070d009e	Ĝuste en tiu tago eniris en la arkeon Noa, kaj Ŝem kaj Ĥam kaj Jafet, la filoj de Noa, kaj la edzino de Noa, kaj la tri edzinoj de liaj filoj kune kun ili;
01070e00d4	ili, kaj ĉiuj bestoj laŭ siaj specoj, kaj ĉiuj brutoj laŭ siaj specoj, kaj ĉiuj rampaĵoj, kiuj rampas sur la tero, laŭ siaj specoj, kaj ĉiuj flugaĵoj laŭ siaj specoj, ĉiuj birdoj, ĉiuj flugilhavantoj.
01070f0055	Kaj eniris al Noa en la arkeon po du el ĉiu karno, kiu havas en si spiriton de vivo.
0107100072	Kaj la venintoj, virbesto kaj ino el ĉiu karno, eniris, kiel ordonis al ili Dio; kaj la Eternulo fermis post ili.
010711007c	Kaj estis diluvo dum kvardek tagoj sur la tero; kaj multiĝis la akvo kaj levis la arkeon, kaj ĝi estis alte super la tero.
0107120052	Kaj la akvo fortiĝis sur la tero, kaj la arkeo naĝis sur la supraĵo de la akvo.
0107130077	Kaj la akvo treege fortiĝis kaj tre multiĝis sur la tero; kaj kovriĝis ĉiuj altaj montoj, kiuj estas sub la ĉielo.
0107140040	Dek kvin ulnojn pli alte leviĝis la akvo kaj kovris la montojn.
0107150096	Kaj pereis ĉiu karno, kiu moviĝas sur la tero, la birdoj kaj la brutoj kaj la bestoj, kaj ĉiuj rampaĵoj, kiuj rampas sur la tero, kaj ĉiuj homoj.
0107160054	Ĉio, kio havis en si spiriton de vivo, el ĉio, kio estis sur la seka tero, mortis.
01071700cc	Kaj ekstermiĝis ĉiuj ekzistaĵoj, kiuj estis sur la tero, de homo ĝis brutoj kaj rampaĵoj kaj birdoj de la ĉielo; ili ekstermiĝis de sur la tero; kaj restis nur Noa kaj kio estis kun li en la arkeo.
0107180033	Kaj la akvo okupis la teron dum cent kvindek tagoj.
010801009a	Kaj Dio rememoris Noan, kaj ĉiujn bestojn kaj ĉiujn brutojn, kiuj estis kun li en la arkeo; kaj Dio venigis venton sur la teron, kaj la akvo kvietiĝis.
0108020068	Kaj fermiĝis la fontoj de la abismo kaj la aperturoj de la ĉielo, kaj ĉesiĝis la pluvo el la ĉielo.
0108030078	Kaj iom post iom reforiĝis la akvo de sur la tero, kaj la akvo komencis malmultiĝi post la paso de cent kvindek tagoj.
010804005e	Kaj la arkeo haltis en la sepa monato, en la dek-sepa tago de la monato, sur la montoj Ararat.
010805007d	Kaj la akvo konstante malpliiĝadis ĝis la deka monato; en la unua tago de la deka monato montriĝis la suproj de la montoj.
010806004d	Kaj post kvardek tagoj Noa malfermis la fenestron de la arkeo, kiun li faris.
0108070069	Kaj li ellasis korvon, kaj ĝi elflugis, forflugadis kaj revenadis, ĝis forsekiĝis la akvo sur la tero.
0108080052	Kaj li ellasis de si kolombon, por vidi, ĉu jam malfortiĝis la akvo sur la tero.
01080900e0	Sed la kolombo ne trovis ripozejon por siaj piedoj, kaj ĝi revenis al li en la arkeon, ĉar akvo estis sur la supraĵo de la tuta tero. Kaj li etendis sian manon kaj prenis la kolombon kaj envenigis ĝin al si en la arkeon.
01080a0059	Kaj li atendis ankoraŭ aliajn sep tagojn, kaj li denove ellasis la kolombon el la arkeo.
