2800000007	Mataayo
280117008d	“Rora, umusiiti aragega ɨnda, neewe ariibhʉra umwana wi ikisubhɨ. Ararukwa Ɨmaanwɨri.” Enzobhooro yaku, Mungu hamwɨmwɨ na niitwɨ.
280118006c	Hanʉ Yuusufu aabhuukirɨ, akakora chɨmbu maraika wʉ Ʉmʉkʉrʉ Mungu aamubhuuriirɨ. Akakwɨra Mariyamu,
2801190062	nawe atarɨɨrɨ neewe kuhika hanʉ Mariyamu iitʉʉrɨɨnʼyɨ. Akamʉrʉka umwana wuyo, Yɨɨsu.
28020100ee	Yɨɨsu akiibhurwa mʉrʉbhɨri rwa Bhɨtɨrɨhɨɨmu mucharʉ cha Yudeya, ribhaga rɨnʉ Heroode aarɨ ʉmʉtɨmi. Ribhaga riyo, abhamɨnyi bha zenzota bhanʉ bhaaruurɨ rʉgʉrʉ, bhakahika mʉrʉbhɨri rwa Yɨrusarɨɨmu. Bhakabhuurya,
28020200b3	“Arɨ hayi umwana wʉnʉ ibhwirwɨ abhɨ ʉmʉtɨmi wa Abhayaahudi? Tʉmɨnyirɨ ibhwirwɨ, kʉ kʉbha enzota yaazɨ ɨkarorekana kwa niitwɨ rʉgʉrʉ, twizirɨ komosengera.”
2802030072	Hanʉ ʉmʉtɨmi Heroode iigwirɨ amangʼana gaabhʉ, akahaha, hamwɨmwɨ na abhaatʉ bhʉʉsi bha Yɨrusarɨɨmu.
280204008e	Neho Heroode akabhiringa abhakʉrʉ bhʉʉsi bha abhakuhaani na abhiija bhi imigirʉ ja Musa, akabhabhuurya, “Kiriisitʉ ariibhurwa hayi?”
28020500ac	Bhakamʉgarukirya, “Ariibhurwa mʉrʉbhɨri rwa Bhɨtɨrɨhɨɨmu mucharʉ cha Yudeya. Tʉmɨnyirɨ riyo, kʉ kʉbha Mungu akagamba kʉhɨtɨra ʉmʉrʉʉtɨrɨri kʉbha,
2802060114	‘Imwɨ abhaatʉ bha Bhɨtɨrɨhɨɨmu mucharʉ cha Yuuda, mʉtarɨ bha koregwa mʉbhʉkangati bhwi icharʉ cha Yuuda, kʉ kʉbha kurwa kwa niimwɨ arahʉrʉka ʉmʉkangati wʉnʉ akʉkangata abhaatʉ bhaanɨ bha Iziraɨri, nchu umuriisha akuriisha zɨngʼʉndu zaazɨ.’”
2802070096	Neho Heroode akabhɨrɨkɨra abhamɨnyi bha zenzota bhayo kwa mbisi, korereke bhaazɨ bhamʉbhʉʉrɨrɨ bhwaheene ribhaga rɨnʉ bhaarʉʉzɨ enzota.
28020800e2	Akʉmara, akabhatʉma Bhɨtɨrɨhɨɨmu, akabhabhʉʉrɨra, “Mujɨ mubhuuririryɨ bhwaheene, kuhika momenye hanʉ umwana wuyo arɨ. Hanʉ mʉraamobhone mondeetere amangʼana bhwangʉ korereke na niinyɨ nijɨ komosengera.”
28020900bd	Hanʉ abhamɨnyi bha zenzota bhiigwirɨ amangʼana gʉ ʉmʉtɨmi, bhakabhʉʉka. Rogendo rʉmwɨ, enzota yɨnʉ bhaarʉʉzɨ rʉgʉrʉ ɨkabhakangatɨra, ikiimɨɨrɨra hanʉ umwana aarɨ.
28020a003a	Hanʉ bhaarʉʉzɨ enzota yiyo, bhakazomerwa bhʉkʉngʼu.
28020b00bd	Bhakasikɨra munyumba, bhakarora umwana na Mariyamu unina, bhakahigama kosengera umwana. Bhakatazʉra imirigʉ jabhʉ, bhakaha umwana ʉmʉbhanʉ gwɨ ɨzahaabhu, umurumbasʉ na manɨmanɨ.
28020c0082	Mmbe, Mungu akabhahama mobherooto kʉbha, bhatagarʉka kwikɨ kwa Heroode. Bhakahʉrʉkɨra ɨnzɨra yɨndɨ kʉgarʉka ɨwaabhʉ.
28020d013a	Hanʉ abhamɨnyi bha zenzota bhayo bhaagiirɨ, maraika wʉ Ʉmʉkʉrʉ Mungu akahwarʉkɨra Yuusufu mokerooto. Akamʉbhʉʉrɨra, “Bhʉʉka! Ogege umwana na unina, ongʼosere mucharʉ cha Miisiri. Mʉsaagɨ iyo kuhika hanʉ nɨraakʉbhʉʉrɨrɨ ʉgarʉkɨ, kʉ kʉbha Heroode aramohya umwana areenda amwitɨ.”
28020e0062	Mmbe, Yuusufu akabhʉʉka ubhutikʉ bhuyobhuyo, akagega mʉkaazɨ nu umwana, akangʼosera Miisiri.
28020f00ff	Bhakahika Miisiri, bhakiikara iyo kuhika hanʉ Heroode aakuurɨ. Amangʼana gayo gakakʉribhwa, korereke rɨbhɨ ringʼana rɨnʉ Ʉmʉkʉrʉ Mungu aagambirɨ kʉnzɨra yʉ ʉmʉrʉʉtɨrɨri waazɨ, “Nɨkamʉbhɨrɨkɨra umwana waanɨ kurwa Miisiri.”
2802100183	Hanʉ Heroode aamɨnyirɨ kʉbha abhamɨnyi bha zenzota bharya bhamʉkangiriiryɨ, akiigatana bhʉkʉngʼu. Neho akatʉma abhasirikarɨ bhaazɨ Bhɨtɨrɨhɨɨmu hamwɨmwɨ na ahagero hʉʉsi ha haguhɨ, akabhaswaja kʉbha bhiitɨ abhaana bhi ikisubhɨ bhʉʉsi bhi imyaka ɨbhɨrɨ kʉgarʉka iyaasɨ. Akakorabhu kʉrɨngʼaana na ribhaga rɨnʉ aabhuuriirwɨ na abhamɨnyi bha zenzota.
2802110048	Neho rɨkabha ringʼana rɨnʉ ʉmʉrʉʉtɨrɨri Yɨrɨmiya aagambirɨ,
28021200c1	“Ɨkɨrɨrʉ kɨkabhoneka mʉrʉbhɨri rwa Raama, ɨkɨrɨrʉ nu ukwarama kwaru. Rahɨɨri ararɨrɨra abhaana bhaazɨ, ɨnʉ atakwenda kʉhʉnibhwa, kʉ kʉbha abhaana bhaazɨ bhatareeho.”
2802130068	Hanʉ Heroode aamarirɨ kukwa, maraika wʉ Ʉmʉkʉrʉ Mungu akamuhwarʉkɨra Yuusufu mokerooto Miisiri,
280214009f	akamʉbhʉʉrɨra, “Bhʉʉka! Ogege umwana na unina, mʉgarʉkɨ mucharʉ cha Iziraɨri, kʉ kʉbha bhanʉ bhaarɨ bhareenda kwita umwana wuyo, bhakuurɨ.”
2802150056	Mmbe, Yuusufu akabhʉʉka, akagega umwana na unina, akagarʉka mucharʉ cha Iziraɨri.
28021600b9	Nawe hanʉ iigwirɨ kʉbha Arikɨraʉ umwana wa Heroode aarɨ arakangata Yudeya, akʉʉbhaha kujayʉ. Hanʉ Mungu aamubhuuriirɨ mokerooto ataja iyo naatu, akaja mucharʉ cha Gariraaya.
28021700ba	Bhakahika mʉrʉbhɨri rwa Nazarɨɨti, bhakiikara iyo. Neho ringʼana rɨkabha rɨnʉ ryagambirwɨ igʉrʉ wa Yɨɨsu kʉnzɨra ya abharʉʉtɨrɨri, “Arabhirikirwa Mʉnazarɨɨti.”
2803010096	Zisikʉ nzaru zɨnʉ zihitirɨ, aareho ʉmʉʉtʉ wʉmwɨ wʉnʉ akubhirikirwa Yoohana Ʉmʉbhatiizi. Aarɨ ararwaza mwitɨrɨgʉ rya Yudeya arabhuga,
2803020056	“Mutigɨ ʉbhʉbhɨ bhwanyu, kʉ kʉbha ʉbhʉtɨmi bhwa mwisaarʉ bhʉraariirɨ.”
28030300b6	Newe aagambirwɨ nʉ ʉmʉrʉʉtɨrɨri Isaaya, “Riraka ryʉ ʉmʉʉtʉ wʉnʉ akʉraganʼya mwitɨrɨgʉ, ‘Mokonze ɨnzɨra yʉ Ʉmʉkʉrʉ, mogorore ɨbhɨhɨtʉ bhyazɨ.’”
280304009f	Yoohana aarɨ ibhʉhirɨ ʉbhʉzʉʉkɨ bhwɨ ɨngamiya no omokena gwa riseero mukiribhizi. Ibhyakurya bhyazɨ bhyarɨ zingigɨ nu ubhwʉkɨ bhwa mwitɨrɨgʉ.
2803050093	Abhaatʉ kurwa ʉrʉbhɨri rwa Yɨrusarɨɨmu, icharʉ cha Yudeya chʉsi, na zɨmbaara zʉʉsi zɨ ɨkɨtaarʉ cha Yorodaani, bhakabha bharamujaku.
2803060049	Bhakatiga ʉbhʉbhɨ bhwabhʉ, akabhabhatiiza mʉkɨtaarʉ cha Yorodaani.
28030700ec	Nawe hanʉ Yoohana aarʉʉzɨ Abhafarisaayo na Abhasadukaayo bhaaru bharamujaku korereke abhabhatiizɨ, akabhabhʉʉrɨra, “Imwɨ urwibhʉrʉ rwe enzoka! Wɨɨwɨ abhabhuuriirɨ mʉratʉra kongʼosa ɨtɨnɨrʉ ya Mungu yɨnʉ ikuuza?
2803080047	Mmbe, mokore amahocha ganʉ gakwerekenʼya kʉbha mutigirɨ ʉbhʉbhɨ.
28030900b3	Mutiikangirirya naatu mʉrabhuga, ‘Sʉʉkʉrʉ wɨɨtʉ, nɨ‑Abhurahaamu!’ Nɨrabhabhʉʉrɨra kʉbha, Mungu aratʉra kuchʉra amabhwɨ ganʉ gabhɨ abhaana bha Abhurahaamu!
28030a00fc	Nangʉ ɨtɨnɨrʉ ya Mungu iri igʉrʉ waanyu nchɨ ɨhaazi iri igʉrʉ wa amatina gɨ ɨmɨtɨ. Na bhanʉ bhatakokora amahocha amazʉmu bharatinirwa, chɨmbu ɨmɨtɨ jʉsi gɨnʉ gɨtakwibhʉra imisumʉ ɨmɨzʉmu gɨhaatinwa na kʉtaashwa momorero.
28030b00ed	“Inyɨ nɨrabhabhatiiza na amanzi kwerecha kʉbha mwichuriirɨ Mungu. Nawe araaza ʉmʉʉtʉ wʉ ʉbhʉnaja kʉnkɨra. Nɨtakwenderwa nʉʉrʉ kʉtazʉra zisiri zi ibhikwɨra bhyazɨ. Ewe arabhabhatiiza kwe Ekoro Ɨndɨndu na komorero.
28030c00be	Na agwatiriirɨ ʉrʉhʉngʉ mʉmabhoko gaazɨ, korereke aseese ɨnganʉ. Ɨnganʉ yiyo arayikumɨngɨra mʉkɨtara chazɨ. Nawe ʉmʉkʉʉnyʉ, aragwocha momorero gʉnʉ gʉtakurima zee.”
28030d006e	Mmbe, ribhaga riyo, Yɨɨsu akarwa Gariraaya, akaja mʉkɨtaarʉ cha Yorodaani korereke Yoohana amʉbhatiizɨ.
28030e007f	Nawe Yoohana akagema komorecha, aramʉbhʉʉrɨra, “Niinyɨ nikwenderwa kʉbhatiizwa na naawɨ, ndora ʉraaza kwa niinyɨ?”
28030f00aa	Yɨɨsu akamʉgarukirya, “Awɨ wiisiriryɨ onyoje ʉbhʉbhɨ nangwɨnʉ, kʉ kʉbha toreenderwa tokore eheene yʉʉsi yɨnʉ Mungu akwenda.” Neho Yoohana akiisirirya.
280310009b	Hanʉ Yɨɨsu aabhatiizirwɨ na kurwa mʉmanzi, rogendo rʉmwɨ risaarʉ rikiigʉka, akarora Ekoro ya Mungu iriika nchi ikiguuti na kwikara igʉrʉ waazɨ.
2803110072	Neho, riraka rɨkarwa mwisaarʉ rɨrabhuga, “Wʉnʉ ni‑Mwana waanɨ ʉmʉsɨɨgwa, nɨzʉmɨrɨɨrwɨ nawe.”
2804010060	Akʉmara, Yɨɨsu akakangatwa ne Ekoro Ɨndɨndu kuja mwitɨrɨgʉ korereke agemwe na Shɨtaani.
280402006b	Akamara iyo sikʉ merongo ene, ubhutikʉ nu umwise ariiyima kurya ibhyakurya. Ɨtɨnɨrʉ, akiigwa ɨnzara.
2804030086	Neho Shɨtaani akaaza komogema. Akamʉbhʉʉrɨra, “Arɨɨbhɨ awɨ ni‑Mwana wa Mungu, swaja amabhwɨ ganʉ gabhɨ ɨmɨkaatɨ.”
28040400a1	Nawe Yɨɨsu akabhuga, “Yandikirwɨ mʉMaandɨkʉ Amarɨndu, ‘Ʉmʉʉtʉ atakwikara kwa bhyakurya ibhyene, nawe kwa amangʼana ganʉ gakurwa kwa Mungu.’”
2804050075	Akʉmara Shɨtaani akamuhira mʉrʉbhɨri ʉrʉrɨndu rwa Yɨrusarɨɨmu, akamwimiirirya kʉkɨkʉngʉ cha rihekaaru,
28040600ea	akamʉbhʉʉrɨra, “Arɨɨbhɨ awɨ ni‑Mwana wa Mungu, irekera haasɨ, kʉ kʉbha yandikirwɨ, ‘Mungu araswaja bhamaraika bhaazɨ igʉrʉ waazʉ, ebho bharakugwatɨrɨra, korereke amagʉrʉ gaazʉ gataaza kwitema kwibhwɨ.’”
280407005b	Nawe Yɨɨsu akamʉbhʉʉrɨra, “Yandikirwɨ, ‘Ʉtagema Ʉmʉkʉrʉ Mungu waazʉ.’”
2804080088	Akʉmara, Shɨtaani akamuhira kosonga yɨ ɨkɨgʉrʉ ɨkɨrɨɨhu. Akamwerecha ʉbhʉtɨmi bhwa zɨɨsɨ zʉʉsi nu ubhuniibhi bhwazʉ,
2804090053	akamʉbhʉʉrɨra, “Ʉraanhigamɨrɨ na konsengera, nɨrakoha bhyʉsi bhɨnʉ.”
28040a008f	Nawe Yɨɨsu akamʉbhʉʉrɨra, “Nuurwɨ hanʉ, Shɨtaani! Yandikirwɨ, ‘Osengere Ʉmʉkʉrʉ Mungu waazʉ, na omohokerye ewe umwene.’”
28040b004a	Neho Shɨtaani akamutiga hayo. Hayohayo bhamaraika bhakaaza kumwangarɨra.
28040c0068	Hanʉ Yɨɨsu iigwirɨ kʉbha Yoohana Ʉmʉbhatiizi abhʉhirwɨ mokebhoho, akaja mucharʉ cha Gariraaya.
28040d00c4	Gariraaya iyo, akasaama Nazarɨɨti, akaja kwikara mʉrʉbhɨri rwa Kapɨrinaumu. Kapɨrinaumu iri rusizʉ wɨ ɨnyanza ya Gariraaya, ʉrʉbhaara rwɨ ɨbhɨgambʉ bhya Zabhurʉʉni na Naafutaari.
28040e006a	Ɨkabhabhu, korereke rɨbhɨ ringʼana rɨnʉ Mungu aagambirɨ kʉhɨtɨra kwʉ ʉmʉrʉʉtɨrɨri Isaaya,
28040f00f3	“Mwitegeerere abhaatʉ bhi icharʉ cha Zabhurʉʉni na Naafutaari, ahagero hanʉ harɨ kʉnzɨra yu ukwerekera kʉnyanza, ni imwambʉkʉ wɨ ɨkɨtaarʉ cha Yorodaani, mucharʉ cha Gariraaya ɨnʉ bhakwikara abhaatʉ bhi ibhyarʉ ɨbhɨndɨ.
280410009b	Abhaatʉ bhayo bhiikɨɨrɨ mukiirimya, bharʉʉzɨ ubhwɨrʉ ʉbhʉkʉrʉ, na bhanʉ bhi ikɨɨrɨ mukikiriiri chu uruku, bhahwarukiirwɨ nu ubhwɨrʉ.”
2804110091	Kwɨma ribhaga riyo, Yɨɨsu akatanga kurwazɨra abhaatʉ, “Mutigɨ ʉbhʉbhɨ bhwanyu, kʉ kʉbha ʉbhʉtɨmi bhwa mwisaarʉ bhʉraariirɨ!”
28041200d9	Hanʉ Yɨɨsu aarɨ aragenda rusizʉ wɨ ɨnyanza ya Gariraaya, akarora abhahiiri bhabhɨrɨ, Simʉʉni wʉnʉ aabhirikiirwɨ Peetero na Andureya. Bhaarɨ bhararekera zenzero mʉnyanza kʉ kʉbha bhaarɨ abhawɨsɨni.
2804130063	Yɨɨsu akabhabhʉʉrɨra, “Muntunɨ na niinyɨ nɨrabhakora kʉbha abhawɨsɨni bha abhaatʉ.”
2804140038	Rogendo rʉmwɨ, bhakatiga zenzero zaabhʉ, bhakamutuna.
28041500d8	Hanʉ iisukirɨ embere hasuuhu, akarora abhaatʉ abhandɨ bhabhɨrɨ, Yaakobho na Yoohana umunyi waazɨ, abhaana bha Zebhedaayo. Bhaarɨ mubhwatʉ hamwɨmwɨ na wiisɨ, bharazomya zenzero zaabhʉ, akabhabhɨrɨkɨra.
2804160033	Hayohayo bhakatiga wiisɨ nu ubhwatʉ, bhakamutuna.
28041700e7	Yɨɨsu aarɨ ariiruguura mucharʉ chʉsi cha Gariraaya. Aarɨ arasikɨra mʉmarwazɨrʉ na kwija abhaatʉ. Aarɨ ararwazɨra abhaatʉ Ɨngʼana Ɨnzʉmu igʉrʉ wʉ ʉbhʉtɨmi bhwa mwisaarʉ na kohorya amarwɨrɨ gaabhʉ gʉʉsi.
280418013a	Ɨngʼana igʉrʉ wa Yɨɨsu ɨkanyaragana bhʉkʉngʼu kuhika mucharʉ chʉsi cha Siiriya. Abhaatʉ bhakahira abharwɨrɨ bhaabhʉ bhʉʉsi bha amarwɨrɨ ga zeteemwa zʉzʉʉsi bhaarɨ bharanyaakibhwa. Gatɨ waabhʉ, bhaarɨmu bha amasambwa amabhɨ, bha ririmu na bhanʉ bhakuurɨ ibhiimʉ, akabhahorya bhʉʉsi.
280419008e	Mmbe, abhaatʉ bhaaru bhakabha bharamutuna kurwa Gariraaya, Dɨkapʉʉri, Yɨrusarɨɨmu, Yudeya ni imwambʉkʉ wɨ ɨkɨtaarʉ cha Yorodaani.
2805010078	Mmbe, hanʉ Yɨɨsu aarʉʉzɨ amaribhita ga abhaatʉ, akatiira kʉkɨgʉrʉ, akiikara, abhɨɨga bhaazɨ bhakaja kwawe.
2805020017	Neho akatanga kubhiija,
2805030071	“Hakɨrɨku bhanʉ bhiiyɨzɨ kʉbha bhanu ubhwɨndi na Mungu, kʉ kʉbha ʉbhʉtɨmi bhwa mwisaarʉ ubhwabhʉ.
2805040043	Hakɨrɨku bhanʉ bharumikirɨ, kʉ kʉbha Mungu arabhiibhisirirya.
280505003f	Hakɨrɨku abhanyʉʉhu, kʉ kʉbha bharagabha ɨɨsɨ yʉʉsi.
2805060057	Hakɨrɨku bhɨ ɨnzara ne enyoota yo okokora ge eheene, kʉ kʉbha Mungu arabhiigutya.
2805070048	Hakɨrɨku bhɨ ɨbhɨgʉngi, kʉ kʉbha ebho bhararorerwa ɨbhɨgʉngi.
280508003d	Hakɨrɨku bhu umwʉyʉ umwɨrʉ, kʉ kʉbha bhararora Mungu.
2805090054	Hakɨrɨku abhiigwanʼya bha abhaatʉ, kʉ kʉbha bharabhirikirwa abhaana bha Mungu.
28050a006a	Hakɨrɨku bhanʉ bhakʉnyaakibhwa igʉrʉ we eheene, kʉ kʉbha ʉbhʉtɨmi bhwa mwisaarʉ nu‑bhwabhʉ.
28050b0086	“Hakɨrɨku imwɨ hanʉ abhaatʉ bhakʉbhatʉka, bhakʉbhanyaacha na kʉbhasaayɨra ʉbhʉbhɨ bhwa zeteemwa zʉʉsi igʉrʉ waanɨ.
28050c00d0	Muhiitɨ kʉbha ɨbhu nɨmbu abhaatʉ bhaarɨ bhakʉnyaacha abharʉʉtɨrɨri bhanʉ bhaareho ɨkarɨ. Mozomerwe na kuriiryata bhʉkʉngʼu, kʉ kʉbha Mungu abhatɨɨrɨɨrɨ ʉmʉbhanʉ mʉkʉrʉ mwisaarʉ.
28050d00e2	“Imwɨ nɨ‑mʉʉnyʉ kʉʉsɨ. Nawe guriibhuryɨ ʉbhʉsambaruku bhwagwɨ, gʉratuurirwa kɨgʉrʉkɨ korereke gozome naatu? Gʉtakwenderwa kʉrʉnga kegero chʉchʉsi, kʉgayo gʉrataashwa igʉtʉ na kʉtazwa na abhaatʉ.
28050e0077	“Imwɨ ni‑bhwɨrʉ kʉʉsɨ. Ʉrʉbhɨri rʉnʉ rwʉmbakirwɨ kʉkɨgʉrʉ, rʉtakʉtʉra kubhisa ubhwɨrʉ bhwaku.
28050f00ad	Naatu, abhaatʉ bhatakwacha ɨkɨmʉrɨ bhakikundikiryɨ na rihʉʉzʉ. Nawe bhahaakɨtʉʉra igʉrʉ wɨ ɨkɨkʉngʉ, korereke kɨmʉrɨkɨ bhʉʉsi bhanʉ bhari munyumba.
280510008f	Ɨbhuɨbhu, ubhwɨrʉ bhwanyu bhoreenderwa bhʉmʉrɨkɨ kʉbhaatʉ, korereke bharore amahocha gaanyu amazʉmu, bhagʉngɨ Wuusʉ wa mwisaarʉ.
28051100a7	“Mʉtakina kʉbha niizirɨ kuruushaho imigirʉ ja Musa, hamwɨ ganʉ gaagambirwɨ na abharʉʉtɨrɨri. Nitiizirɨ kuruushaho, nawe kokora na kuhicha amaheene gaaku.
28051200b2	Nɨrabhabhʉʉrɨra amaheene, kuhika hanʉ risaarʉ ni icharʉ bhikurweho, katareeho kangʼana hamwɨ kaandɨkʉ kasuuhu ki imigirʉ kanʉ kakuruusibhwaho kuhika gʉʉsi gahikɨ.
2805130125	Ʉmʉʉtʉ wʉwʉʉsi wʉnʉ araangɨ nʉʉrʉ umugirʉ gʉmwɨ umusuuhu kʉkɨra ɨgɨndɨ, na kwija abhandɨ bhakorebhu, wuyo atakʉbha na bhwera mʉbhʉtɨmi bhwa mwisaarʉ. Nawe wʉwʉʉsi wʉnʉ akugigwata na kwija abhandɨ bhakorebhu, wuyo arabha ʉmʉkʉrʉ mʉbhʉtɨmi bhwa mwisaarʉ.
28051400a5	Mmbe, nɨrabhabhʉʉrɨra, arɨɨbhɨ eheene yaanyu ɨtakʉkɨra ya Abhafarisaayo na ya abhiija bhi imigirʉ ja Musa, mʉtakusikɨra zee mʉbhʉtɨmi bhwa mwisaarʉ.
28051500a0	“Mwigwirɨ umugirʉ, chɨmbu abhaatʉ bhɨ ɨkarɨ bhaabhuuriirwɨ, ‘Utiita! Ʉmʉʉtʉ wʉwʉʉsi wʉnʉ akwita ʉmʉkɨndichazɨ, areenderwa atinirwɨ.’
280516013c	Nawe inyɨ nɨrabhabhʉʉrɨra, ʉmʉʉtʉ wʉwʉʉsi wʉnʉ akwigatanɨra ʉmʉkɨndichazɨ, areenderwa kutinirwa. Wʉwʉʉsi wʉnʉ akʉtʉka ʉmʉkɨndichazɨ na komorega, areenderwa atinirwɨ ni ichandarʉ. Na wʉwʉʉsi wʉnʉ akʉbhʉʉrɨra ʉmʉkɨndichazɨ mogeege, areenderwa korekerwa momorero gwa nyaari!
2805170083	“Mmbe, ʉraahuruchɨ ikimweso ahagero hu ukuhurukirya ikimweso, akʉmara ʉkahiita kʉbha ʉtaamɨɨnʼyɨ nʉ ʉmʉkɨndichazʉ,
2805180091	tiga ikimweso chazʉ mʉbhʉtangɨ bhwa ahagero hu ukuhurukirya ikimweso, nuujɨ hinga wiigwanɨ nawe. Neho ʉgarʉkɨ uhuruchɨ ikimweso chazʉ.
28051900d6	“Na arɨɨbhɨ ʉmʉkʉgambi arakuhira kumutiniri, wiigwanɨ nawe bhwangʉ mʉkɨɨrɨ mʉnzɨra. Ɨrɨɨtamɨbhu, arakuhicha kumutiniri. Nu umutiniri wuyo arakuhira kumusirikarɨ, korereke akusikiryɨ mokebhoho.
28051a005d	Nɨrakʉbhʉʉrɨra amaheene, ʉtakurwa muyo kuhika hanʉ ʉkʉmara kʉrɨha isiirɨ yʉʉsi!
28051b0045	“Mwigwirɨ umugirʉ gʉnʉ gwagambirwɨ kʉbha, ‘Ʉtasebheeta!’
28051c007d	Nawe inyɨ nɨrabhabhʉʉrɨra, umusubhɨ wʉnʉ akorora ʉmʉkari kwa kumwigomba, amarirɨ kosebheeta nawe mumwʉyʉ gwazɨ.
