2800000005	Mahte
280402004e	Jesuh cun khawmhnüp kphyükip la mthan kphyükip ei jeih se, a ei cawi lawki.
2804030089	Acunüng Khawyai cun a veia law lü, “Nang Pamhnama caa na kya kcang üng, hina lung he hin muka thawn law khai hea jah mtheha” a ti.
2804040082	Jesuh naw “Khyang cun muk am xüngki am ni, cunüngpi Pamhnama ngthukhyü am va xüngki tia cangcim üng awmki” ti lü a pyen.
2804050062	Acunkäna Khawyai naw Jesuh cun Jerusalem Mlüh Ngcim, a hlüngnak säih Temple khana cehpüi lü,
28040600fe	“Nang Pamhnama capa kcang na ni üng, ahin üngka naw kco lü ‘Pamhnam naw a khankhawngsä he jah mtheh khai ni; acun he naw ami kut am ning na man khaie ni, acunüng na khaw naw lung he am jah hne yah khai ni’” ti lü cangcim üng awmki ni a ti.
280407005d	Jesuh naw, “Na Bawipa Pamhnam ä na hlawhlep vai ti lü pi cangcim üng ng'yuki ni” a ti.
280408007c	Acunkäna Khawyai naw Jesuh cun khawmcung k'hlüngnua khana cehpüi lü khawmdeka bawinak ja a hlüngtainak he cun a mhnüh.
2804090056	Khawyai naw, “Ngdäng lü na na sawkkhah üng ahin he avan ka ning pe khai,” a ti.
28040a0080	Jesuh naw, “Satan akcea cita, na Pamhnam däk va sawkhah lü, ani däka khut va na pawh vai ti lü cangcim üng awmki” a ti.
28040b0054	Acunkäna Khawyai naw ceh ta se, khankhawngsä he law u lü Jesuh cun kuei lawki he.
28040c0043	Johan thawngim üng ami khyum a ngjak üng Jesuh cun Kalilea citki.
28040d005b	Nazaret khaw ceh ta lü Zebulung ja Naptalih hne, Kalile tuilinu pei Kapenawm mlüha awmki.
28040e003d	Acun cun sahma Hesajah naw a na pyen a kümceinak vaia kyaki.
28040f0079	“Mliktui da lamki lam läka awmki; Zebulung khaw la Naptalih khaw, Jordan mliktui yea, khyang mjükce hea venak Kalile,
2804100089	nghmüp k'uma awmki hea khyang he naw akvai hmu khaie. Thihnak khaw nghmüp k'uma awmki hea khana akvai pha law khai ni” ti lü a pyen.
2804110061	Acun üngkhyüh tün lü Jesuh naw, “Ngjut ua, Khankhaw Pe ng'et law ve” ti lü ngthu pyenki.
2804120096	Jesuh Kalile tuili kama a ceh üng ngbengna xawi Sihmon (Pita ami ti) ja a na Andru ngaksui xawi, ng'üntui üng ngvai ani vawi k'um üng jah hmu lü,
280413006f	Jesuh naw, “Na läk law nia, nga nani suia mäiha kei naw khyang ksui ning ka ning jah mthei khai ni” a ti.
280414003a	Acunüng ani ngvai jah hawih hüt ni lü Jesuh läki xawi.
2804150096	Acunkäna va cit betü lü ngbengna xawi Jakuk ja Johan, Zebedea ca xawi, ani pa mah am mlawng üng ani ngvai jah pyanei ni se jah hmu lü a jah khü.
280416004d	Acunüng akjanga ani mlawng ja ani pa jah hawih hüt ni lü Jesuh läki xawi.
28041700b5	Jesuh cun Kalile pei avan üng cit hü lü, Sinakok k'uma jah mthei lü, Pamhnama Khawa thangkdaw jah mtheh lü am phetkiea natnak hlikhaü mjüküm üng khuikhaki he jah mdaw beki.
28041800d0	Jesuh cun Siria hne abäng üng ngthang hü se, khyang kkun he, hlikhaü mjüküm naw a jah hui he, khawyaia a jah awmnak he, mcimpawm nawt lü ngtawng hüki he, akxo he a veia jah lawpüi u se a jah mdaw be.
2804190097	Kalile khaw üngka, Dekapoli khaw üngka, Jerusalem mlüh üngka, Judah khaw üngka, Jordan mliktui kam üngka, khyang khawhah naw Jesuha hnu läki he.
2805010067	Jesuh naw khyang pänu he a jah hmuh üng khawmcung khana cit lü ngaw se, axüisaw he a veia lawki he.
2805020032	Acunüng, a ngawhnak üngkhyüh hikba a jah mthei,
2805030059	Ngmüimkhya lama mpyaki he ta ami josen ve, isetiüng ta Khankhaw Pe cun amimia phäh ni.
2805040054	Thüisei pukseki he ta ami josen ve, isetiüng Pamhnam naw mlung üpnak jah pe khai.
280505004a	Mlung mhnemki he ta ami josen ve, isetiüng Pamhnama khyütam yahei khaie.
2805060064	Ngsungpyunnak eia cawi lü tuiha xaiki he ta ami josen ve, isetiüng ami ngjak hlü kümbe law khai.
2805070056	Khyang mpyeneinak taki he ta ami josen ve, isetiüng Pamhnama mpyeneinak yah be khaie.
280508004c	Ami mlungkaw ngcingcaihki he ta ami josen ve, isetiüng Pamhnam hmu acun he.
2805090058	Dimdeihnak pyangki he ta ami josen ve, isetiüng Pamhnam naw ka ca he tia jah khü khai.
28050a0078	Pamhnama ngjak hlü ami bilawha phäh mkhuimkhanak khameiki he ta ami josen ve, isetiüng Khankhaw Pe cun ami kaa kyaki.
28050b007e	Ka hnukläka nami thawna phäh, khyang he naw ning jah mkhuimkha, ksekha na u lü ami ning jah mhleimhlakei üng ta jekyai ua.
28050c0097	Isetiüng ta, khankhawa aphu nami yah vai khawhah awmki he kyase, jekyai lü xexawk na ua. Acukba bäa sahma he pi ahlana jah na mkhuimkha khawikie ni.
28050d00c4	“Nangmi cun khawmdek khyang mjü naküta phäh, mcia nami kyaki. Acunüngpi mci a tuinak apäih üng i am tuisak be vai ni? Xawtin u lü khyang he naw ami khaw am ami leh sawxata thea ia am daw.
28050e0065	“Nangmi cun khawmdek lum vaisaki akvaia nami kyaki he ni. Mcunga mdüiha mlühnu pi am ngthup thei.
28050f0074	“U naw meiim dawn üng am khüp khawi, khukhawng khana va ta lü im k'um avan üng vai hü khaia tak khawia kyaki.
280510009a	Acuna kba ni, khyang hea maa nami vainak cun vaisak ua. Khyang he naw nami khut pawh ja nami awmih dawki ti hmu u lü, khana nami Pa mhlünmtai law khaie.
2805110077	“Mosia Thum la Pamhnama sahma hea pyen jah nawt khaia ka lawkia ä ngai ua, acun he jah kümceisak khaia ka lawki ni.
280512008e	Ngai ua, akcanga ka ning jah mthehki, khawmdek la khankhaw khyük ni lü pi Thum üngka canglung matca pi akümkawi kaa am khyük yah khai ni.
28051300c0	Acunakyase, au pi ahina ngthupet üngka matca pi am läklam lü jah mtheiki cun khankhawa akdik säiha kyak khai, cunüngpi läklam lü jah mtheiki cun khankhawa khyang k'hlüngtaia kyak khai.
280514007a	Ka ning jah mtheh betüki ngai ua, Pharise he la thum mthei he kthaka nami ngsungpyun bawk üng ni khankhaw nami pha kawm.
2805150074	“Ahlana ami pyen khawi cun, khyang käh nami hnim vai, au pi khyang hnimki cun ngthumkhyahnak kham khai” ami ti.
28051600f6	“Acunüng pi tuh ka ning jah mthehki: a bena thüinaki cun ngthumkhyahnak khamei khai. Au pi a bena üng ia am mawngmei veki a ti üng, kawngci maa ngdüi khai. Acunüng na bena üng ak'yaw tinaki naküt cun am dim khawhkia Mulai meia cit khai.
2805170076	Acunakyase, Pamhnama kpyawngkunga khawthem pet vaia na lawpüi k'um üng, na bena naw am a ning jenak na süm üng ta,
28051800b1	Na lawpüia khawhthem cun kpyawngkunga hawih hüt lü, akcüka na bena veia cit lü va ng'yäppüi be maa. Acun käna law be lü na pet vaia khawhthem cun Pamhnam üng pe kawpi.
28051900d0	Ning khya hlüki am lama nani ceh yüm üng angxita na ng'yäppüi vai. Am ani üng ta ngthumkhyah mkhawng üng ning kkhya se, acun he naw palik he üng ning ap se amimi naw thawngim üng ning khyum khaie ni.
28051a0066	Akcanga ka ning jah mthehki, tangka na tak naküt üng am na ngthawng bea küt üng am lät be theiki.
28051b003e	Khyanga khyuca am käh nami mkhyekat vai ti nami ngja khawiki,
28051c0085	Kei naw ka ning jah mtheh hlü ta: au pi nghnumi mkhyekat hlünaka mlungmthin am tengki naküt cun a mlung k'uma mkhyekat pängki ni.
28051d00b8	Acunakyase na kkhet mik naw a ning mkhyekatsak üng, kawihin lü xawtina. Isetiüng na pumsa avan küm se mulaia na ceha kdama ta na pumsa üngka mat khyük se na awm hin daw bawki ni.
28051e00b1	Na khet kut naw a ning mkhyekatsak üng, kyükin lü xawtin kawpi. Isetiüng na pumsa avan küm se mulaia na ceha kdama ta na pumsa üngka mat khyük se na awm hin daw bawki ni.
28051f008d	Acunkäna ami na pyen khawi nami ngjak khawi ta, “Aupi a khyu hawih lü ngtainaka kca yuk lü pe yah khai, ti lü Mosia thum üng awmki.”
28052000c8	Acunüng pi kei naw ka ning jah mtheh hlü ta: au pi a khyu kpami kcea dä am ipawm ni se akcea phäh hawihki cun a khyu mkhyekatsaki ni. Acuna thea acuna nghnumi khyu na beki pi mkhyekatkia kyaki ni.
280521006c	“Na bekhüt käh na lümkan vai, Pamhnama veia bekhüt na taka mäiha na pawh vai” ti nami ngja khawiki.
2805220090	Cunüngpi kei naw ka ning jah mtheh hlü ta: khankhaw be lü käh nami ng'yünce süm vai. Isetiüng khankhaw cun Mhnama a bawi ngawhnaka kyaki.
28052300c5	Khawmdek pi be lü käh nami ng'yünce vai. Isetiüng khawmdek cun Pamhnama khaw taknaka kyaki. Jerusalem be u lü pi käh nami ng'yünce vai. Isetiüng Jerusalem cun Sangpuxang Bawia mlüha kyaki.
280524005f	Na lu be lü käh na ng'yünce vai. Isetiüng na lusam matca pi abawk ja alea am pyang khawhki.
2805250075	Acunakyase ‘Ä’ am ani üng ‘Ka’ nami ti vai. Ahina thea nami pyen cun khawyaiksea a ning jah pyensaka kyaki.
2805260052	“Mik vanga phäh mik vang, ha mata phäh ha mat phusui vai ti nami ngja khawiki.
28052700a9	Acunüngpi kei naw ka ning jah mtheh hlü ta: ning jah mkhyekatnaki käh thungei be ua. Nami khet ngbeng ning jah kbeiki üng nami kcawng ngbeng pi jah säng petsih vai.
280528006a	Khyang mat naw nami kcu ning jah hut hlü lü junga a ning jah ngcuhpüi üng ta, na jih pi na petsih vai.
2805290060	“Khyang naw mäng mat a phüih a ning phüih hlüsak üng ta, mäng nghngih na phüih pet vai.
28052a0064	“Nami ka ning jah täeiki üng nami pet vai. Acunüng nami veia pu hlüki a awm üng nami kpu vai.
28052b0048	“Na püi mhläkphya na lü na ye na hneng vai ti nami ngja khawiki.”
28052c0068	Acunüng pi kei naw ka ning jah mtheh hlü ta: na ye na mhläkphyanak vai, ning mkhuimkhaki ktaiyü pea.
28052d00e2	Acunüng ta khankhawa ka nami pa Pamhnama ca hea nami kya khai. Isetiüng Pamhnam naw khyang kse he ja khyang kdaw hea khana khawhngi angteha sosak lü, khyang ngsungpyun ja am ngsungpyunki hea khana pi khaw angteha aksaki ni.
28052e0089	Ning jah mhläkphyanaki däk nami mhläkphyanak be üng ta aphu i nami yah khai ni? Akhawn mkhäm he naw pi acukba ta pawh khawhki he ni?
28052f0088	Na püi he däk am na ngthuminei üng khyang kce he kthaka i na pawhki ni? Pamhnam am ksingki he naw pi acukba ta am pawh khawhki he aw?
280530004c	“Acunakyase, nami pa khana ka a kümkawia mäiha nangmi pi kümkawi ua.”
280601008d	Khyang hea maa, khyang he hmuha käh nami petmsawt vai. Khyanga hmuha nami bilawh üng ta khana ka nami pa naw aphu ning jah pe khaia am kya.
2806020102	Acunakyase msih mpyaki he üng nami jah petmsawt üng angdang käh nami pet vai. Ngpumim ja lama khyanga jah hmuh hmuha khyanga jah mhlünmtai vai hlawheikie hypocrite kba käh nami pawh vai. Ka ning jah mthehki, acun he cun ami ngkhengnak yah pängki he ni.
2806030053	Cunüngpi na petmsawt üng na kut vang naw a pet cen na kut vang naw käh ksing se.
280604007b	Na petmsawt üng anghmüa nami petmsawt vai. Acunüng, angthupa ka pi hmuh theiki nami pa naw angdanga ning jah kheng khai.
28060500ce	“Nami ktaiyü üng hypocritea kba käh ktaiyü ua! Amimi cun naw Sinakok ja lam kyuma khyanga hmuh vaia ngdüi hü u lü ktaiyüki he ni. Ka ning jah mthehki, acun he cun naw ngkhengnak yah pängki he ni.
280606009a	Acunüngpi, na ktaiyü üng na im k'um ahinaka lut lü ksawh na khaih käna, ahawia pi ve lü am hmuh theia na Pamhnama veia na ktaiyü üng ning pe khai.
28060700a7	Nami ktaiyü üng am jumeikia khyang he naw ami pyen kce ami pyen be bea kba käh nami ktaiyü vai. Ami ktaiyü a saüa phäh ami mhname naw jah ngjak khaia ngaieikie.
2806080075	Acun he mäiha käh nami ve vai. Isetiüng ta i nami hlüki ti cun nami pa naw am nami tä ham üng a ksing päng ni.
2806090060	Acunakyase, hikba nami ktaiyü vai: Khana vekia kami pa, na ngming ngcim naw leisawngnak yah se.
28060a004d	Na khaw pha law se; Na hlüei khankhawa ami pawha kba khawmdeka pi pawh u se.
28060b002a	Tuhngawi kami ei khyawh vai ei jah pe bä.
28060c0052	Kami khana mkhyekatki he kami jah mhläta kba, kami mkhyekatnak pi jah mhlät bä.
28060d0098	Mkhyekat vaia hlawhlepnaka käh jah cehpüi lü, Khawyaipaa kut üngkhyüh pi jah yung kawpi. Khaw ni, johit ja hlüngtainak he cun na kaa kya se. Amen.
28060e0081	Khyang hea ami ning jah mkhyekatnak nami jah mhlät üng khankhawa ka nami pa naw pi nangmia mkhyekatnak pi ning jah mhlät khai.
28060f0085	Acunüng pi khyang hea ami mkhyekatnak am nami jah mhlät üng, khana ka nami pa naw pi nami mkhyenak am ning jah mhlät khaia kyaki.
28061000ec	Ei nami jeih üng hypocrit hea kba pukseki hea mäiha nami hmai käh nami tak vai. Khyang he naw ei jeihki he ti ami jah ksing vaia ami hmai hngasaki he ni. Akcanga ka ning jah mtheh hlüki. Acun he cun ami ngkhengnak yah pängki he ni.
2806110046	Ei nami jeih üng nami lu ksi am hluk u lü mthik lü nami hmaiei vai.
2806120087	Acunüng, khyang he naw ei nami jeih am ksing u. Nami pa angthupnaka ve lü angthup hmuh theiki däk naw angdanga ning jah khyeng khai.
280613005b	Mthiek ja mkhyaa ei thei ja, mpyukei hea kpyeh thei, khawmdek khana khawhthem käh mcun ua.
2806140056	Mthiek ja mkhyaa am a ei thei ja mpyukei hea am ami kpyeh thei khankhaw khawh mcun ua.
2806150052	Isetiüng ta, khawhthem nami taknaka nami mlungmthin, nami ngainak ve khaia kyaki.
280616004d	Mik cun pumsa akvai ni. Acunakyase na mik a daw üng, na pumsa avan vai khai.
2806170099	Acunüng pi, na mik a mü üng ta na pumsa avan nghmüp päihki ni. Acunakyase, na pumsa k'uma veki akvai hin anghmüp ani üng ihlawka kyühkse khai aw?
28061800d5	U naw pi bawi nghngiha khut am pawh khawh. Bawi mat kphya na lü; bawi mat hneng khai. Am ani üng mata pyen ngai lü, mat ksekha na khai. Nangmi pi Pamhnam ja ngui xüi ani nghngiha khut am jah mkhyawp khawh uki.
28061900d5	Acunakyase, ka ning jah mtheh hlü ta, i ka ei khai, i ka aw khai, i ka suisak khai ti lü nami pumsaa phäh käh cäicing ua. Sak hin eiawka kthaka am phumah bawki aw? Pumsa hin suisaka kthaka am phumah bawki aw?
28061a00a6	Khana kha he jah teng ua: mci am saw u, cang am at u, kheia pi am mcunei u. Cunüngpi nami pa khana ka naw jah mcahki ni! Kha hea kthak nami phumah bawkie am niki aw?
28061b0042	Acun he nami cäicingnaka phäh a khawkum apica saülawki veki aw?
28061c00a2	Acunakyase, ivaia suisaka phäha nami cäicingki he ni? Mawkpyawnga ka he lili khyeipai he cen jah teng süm ua, ami suisak vai am khüi na u, nghmüi pi am bi u.
28061d0066	Ka ning jah mthehki, Sangpuxang Solamona a khawhkhyam naküt naw khyeipai matcaa ngtongtai pi am kpha.
28061e00a9	Nami jumnak ngceki he aw, tuhngawi xüng lü angawi üng thikia khyeipai he pi Pamhnam naw a jah ngtongtaisak üng ta, acuna kthaka daw bawkia ning jah msuimsak khai ni.
28061f0056	Acunakyase, i kami ei khai, i kami aw khai, i kami suisak khai? ti lü ä cäicing ua.
280620007e	(Ahin he cun Pamhnam am ksingki he naw ni ami suihjap khawi.) Nangmi cun khana ka nami pa naw nami hlükaw naküt cun ksingki.
2806210056	Akcüka Pamhnama khaw ja a hlüei sui ma ua, acun käna ahin he avan ning jah pe khai.
2806220091	Acunakyase, khawngawia phäha käh cäicing ua, khawngawi amäta phäh cäicingei khai ni. Tuhngawi na cäicingnak hin tuhngawia phäha khäk ve.
2807010051	Pamhnama ngthumkhyahnak üngka naw nami lät vaia khyanga lei käh nami mtai vai.
2807020076	Khyang nami mtainak am khyang naw ning jah mtai be lü, khyang nami mcäpnak am khyang naw ning jah mcäp pet be khai.
280703005f	Ivaia na mik üng cungbäng veki am hmuhei lü, na püia mik üngka mikbengca na hmuh petki ni?
2807040067	Ihawkba na mik üng cungbäng am hmuhei lü, na püi üng “Na mik ek ning lawh pe vang” na tiki ni?
280705007c	Hypocrite aw, akcüka na mik üngka cungbäng loei maki lü, acunkäna na püia mik ek na lawh pet vaia angtea na hmuh khai.
28070600af	Ui am angcimcaih käh nami pet vai, nghlat lü ning jah cui khaie. Pale Lunge vawk üng käh nami jah pet vai, ami kainaka thea ning jah nghlatsih u lü ning jah cui khaie ni.
280707005a	Tä ua nami yah khai; sui ua nami hmuh khai; ksawh khawk ua, ning jah nghmawn pet khai ni.
280708004e	Au pi täki naw yahki, suiki naw hmuki, ksawh khawki üng nghmawn pet khai ni.
2807090037	Nangmi üng a ca naw muk tä se lung pe khai u veki ni?
28070a002f	Nami ca naw nga tä se kphyu pe khai u veki ni?
28070b0086	Nangmi khyang ksee naw pi nami ca üng akdaw pet vai nami ksing üng, nami pa khana ka naw täki üng nangmia kthaka dawki pe khai aw?
28070c00a8	Namimäta khana khyang naw a pawh vai nami ngjak hlüa mäiha, namimät naw pi khyanga khana nami pawh vai. Acun cun Mosia thum ja sahma he naw jah mtheh pängki he ni.
28070d0079	Mkawt kdik üng lut ua, isetiüng ta mulaia cehnak lam cun ngbaü lü ceh pi jäkia kyase khyang khawkäna cehnak lam ni.
28070e0045	Mkawt kdik cun khak lü, xünnaka lama kya se, cetkia khyang ngcekie.
28070f007d	Pamhnama sahma mäiha nghmüneikie nami jah yeteinak vai, toa vun büng u lü, nami veia law kyawkie, ak'uma mhngea kyaki he.
