010000001b	ஆதியாகமம்
010306033b	அப்பொழுது அந்தப் பெண், அந்த மரத்தின் பழம் சாப்பிடுவதற்கு நல்லதாயும், பார்வைக்கு அழகானதாயும் இருந்ததுடன், அது அறிவைப் பெறுவதற்கு விரும்பத்தக்கதாயும் இருக்கக் கண்டாள்; அவள் அதின் பழத்தைப் பறித்துச் சாப்பிட்டாள். பின்பு அதைத் தன்னுடனிருந்த தன் கணவனுக்கும் சாப்பிடக் கொடுத்தாள், அவனும் அதைச் சாப்பிட்டான்.
0103070286	பிறகு அவர்கள் இருவருடைய கண்களும் திறக்கப்பட்டு, முன்னர் அறிந்திராத விஷயங்களை அறிந்துகொண்டார்கள்; அப்பொழுது தாங்கள் இருவரும் நிர்வாணிகளாய் இருப்பதை அவர்கள் உணர்ந்தார்கள். எனவே அவர்கள் அத்தியிலைகளைத் தைத்துத் தங்களை மூடிக்கொண்டார்கள்.
0103080284	அன்று மாலை தென்றல் காற்று வீசிய வேளையில், இறைவனாகிய யெகோவா தோட்டத்தில் உலாவிக் கொண்டிருக்கும் சத்தத்தை மனிதனும் அவன் மனைவியும் கேட்டார்கள்; உடனே அவர்கள் தோட்டத்தின் மரங்களுக்கு இடையில் இறைவனாகிய யெகோவாவிடமிருந்து ஒளிந்துகொண்டார்கள்.
01030900e7	ஆனாலும் இறைவனாகிய யெகோவா மனிதனைக் கூப்பிட்டு, “நீ எங்கே இருக்கிறாய்?” என்று கேட்டார்.
01030a014e	அதற்கு அவன், “நான் தோட்டத்தில் உமது சத்தத்தைக் கேட்டேன்; நான் நிர்வாணியாய் இருந்தபடியால் பயந்து, ஒளிந்துகொண்டேன்” என்றான்.
01030b019e	அதற்கு யெகோவா, “நீ நிர்வாணி என்று உனக்குச் சொன்னது யார்? சாப்பிட வேண்டாமென்று நான் உனக்குக் கட்டளையிட்ட மரத்திலிருந்து நீ சாப்பிட்டாயோ?” என்று கேட்டார்.
01030c0179	அதற்கு மனிதன், “என்னுடன் இங்கு இருப்பதற்கு நீர் எனக்குத் தந்த பெண்ணே, அந்த மரத்தின் பழத்தை எனக்குக் கொடுத்தாள்; நான் சாப்பிட்டேன்” என்றான்.
01030d01fc	பின்பு இறைவனாகிய யெகோவா அந்த பெண்ணிடம், “நீ செய்திருக்கும் இந்தக் காரியம் என்ன?” என்று கேட்டார். அதற்கு அந்தப் பெண், “பாம்பு என்னை ஏமாற்றியது, அதனால்தான் நான் சாப்பிட்டேன்” என்று சொன்னாள்.
01030e02c1	அதனால் இறைவனாகிய யெகோவா பாம்பிடம் சொன்னதாவது: “நீ இவ்வாறு செய்திருக்கிறபடியால், “வளர்ப்பு மிருகங்கள், காட்டு மிருகங்கள் எல்லாவற்றைப் பார்க்கிலும் அதிகமாய் சபிக்கப்பட்டிருப்பாய்! நீ வயிற்றினால் ஊர்ந்து திரிவாய்; உன் உயிருள்ள நாளெல்லாம் புழுதியைத் தின்பாய்.
01030f01db	உனக்கும் பெண்ணுக்கும் இடையிலும், உன்னுடைய சந்ததிக்கும் அவளுடைய சந்ததிக்கும் இடையிலும் நான் பகையை உண்டாக்குவேன்; அவர் உன் தலையை நசுக்குவார், நீ அவரது குதிங்காலை நசுக்குவாய்.”
0103100207	அதன்பின்பு அவர் பெண்ணிடம் சொன்னதாவது: “உன் குழந்தைபேற்றின் வேதனையை அதிகமாய்க் கூட்டுவேன்; வேதனையோடு நீ குழந்தைகளைப் பெறுவாய்; உன் ஆசை உன் கணவன் மேலேயே இருக்கும், அவன் உன்னை ஆண்டு நடத்துவான்.”
01031102c6	அவர் ஆதாமிடம் சொன்னதாவது: “‘நீ சாப்பிடவேண்டாம்,’ என நான் உனக்குக் கட்டளையிட்ட மரத்திலிருந்து நீ உன் மனைவியின் சொல்லைக் கேட்டுச் சாப்பிட்டபடியினால், “உன் நிமித்தம் பூமி சபிக்கப்பட்டிருக்கும்; உன் வாழ்நாளெல்லாம் நீ வருந்தி உழைத்தே பூமியின் பலனைச் சாப்பிடுவாய்.
01031200f7	பூமி முற்களையும் முற்புதர்களையும் உனக்கு விளைவிக்கும், வயலின் பயிர்களையே நீ சாப்பிடுவாய்.
0103130203	நீ புழுதியிலிருந்து எடுக்கப்பட்டபடியால், நீ புழுதிக்குத் திரும்பும்வரை, நெற்றி வியர்வை சிந்தியே உன் உணவைச் சாப்பிடுவாய்; நீ புழுதியிலிருந்து உண்டாக்கப்பட்டதால் புழுதிக்கே திரும்புவாய்.”
01031400f8	ஆதாம் தன் மனைவிக்கு ஏவாள் என்று பெயரிட்டான், ஏனெனில் பூமியில் வாழ்வோருக்கெல்லாம் தாயாவாள்.
01031500e8	இறைவனாகிய யெகோவா தோலினால் உடைகளைச் செய்து, ஆதாமுக்கும் அவன் மனைவிக்கும் உடுத்தினார்.
010316028a	அதன்பின் இறைவனாகிய யெகோவா, “மனிதன் இப்பொழுது நன்மையையும் தீமையையும் அறிந்து, நம்மில் ஒருவரைப்போல் ஆகிவிட்டான். அவன் தன் கையை நீட்டி, வாழ்வளிக்கும் மரத்திலிருந்து பறித்துச் சாப்பிட்டு, என்றென்றைக்கும் உயிர்வாழ இடமளிக்கக் கூடாது” என்றார்.
0103170189	எனவே இறைவனாகிய யெகோவா, நிலத்திலிருந்து எடுக்கப்பட்ட அவனை நிலத்தையே பண்படுத்திப் பயிர்செய்யும்படி, ஏதேன் தோட்டத்திலிருந்து வெளியே துரத்தினார்.
0103180217	அவர் மனிதனை வெளியே துரத்திவிட்டபின், ஏதேன் தோட்டத்தின் கிழக்குப் பக்கமாக கேருபீன்களையும், சுற்றிச் சுழலும் சுடரொளி வாளையும் வாழ்வளிக்கும் மரத்திற்குப் போகும் வழியைக் காவல் காக்கும்படி வைத்தார்.
0104010162	ஆதாம் தன் மனைவி ஏவாளுடன் உறவுகொண்டான்; அவள் கர்ப்பவதியாகி காயீனைப் பெற்று, “நான் யெகோவாவின் உதவியால் ஒரு மகனைப் பெற்றேன்” என்றாள்.
0104020107	பின்பு அவள் காயீனின் சகோதரனான ஆபேலைப் பெற்றாள். ஆபேல் மந்தை மேய்த்தான், காயீன் விவசாயம் செய்தான்.
010403012a	சிறிது காலத்தின்பின் காயீன் தன் நிலத்தின் விளைச்சலில் சிலவற்றை யெகோவாவுக்குக் காணிக்கையாகக் கொண்டுவந்தான்.
010404019e	ஆபேலும் தன் மந்தையின் கொழுத்தத் தலையீற்றுகளில் சிலவற்றைக் காணிக்கையாகக் கொண்டுவந்தான். யெகோவா ஆபேலையும் அவன் காணிக்கையையும் தயவுடன் ஏற்றுக்கொண்டார்,
0104050164	ஆனால் காயீனையும் அவன் காணிக்கையையும் ஏற்றுக்கொள்ளவில்லை. இதனால் காயீன் கடுங்கோபங்கொண்டான், கோபத்தால் அவன் முகம் சோர்ந்திருந்தது.
01040600f1	அப்பொழுது யெகோவா காயீனிடம், “நீ ஏன் கோபமாய் இருக்கிறாய்? உன் முகம் ஏன் சோர்ந்திருக்கிறது?
010407020f	நீ சரியானதைச் செய்தால், நீ உயர்வு பெறுவாய் அல்லவா? நீ சரியானதைச் செய்யாவிட்டால், உன் கதவடியில் பதுங்கிக் கிடக்கும் பாவம் உன்னைப் பற்றிப் பிடித்துக்கொள்ளுமே; நீயோ அதை மேற்கொள்ளவேண்டும்” என்றார்.
010408019a	அதன்பின்பு காயீன் தன் சகோதரன் ஆபேலிடம், “நாம் வயல்வெளிக்குப் போவோம்” என்றான். அவர்கள் வயலில் இருக்கையில் காயீன் தன் சகோதரன் ஆபேலைத் தாக்கிக் கொன்றான்.
01040901ab	அப்பொழுது யெகோவா காயீனிடம், “உன் சகோதரன் ஆபேல் எங்கே?” என்று கேட்டார். அதற்குக் காயீன், “எனக்குத் தெரியாது; நான் என் சகோதரனுக்குக் காவல்காரனோ?” என்று கேட்டான்.
01040a012b	அதற்கு யெகோவா, “நீ என்ன செய்துவிட்டாய்? கேள், உன் சகோதரனின் இரத்தம் நிலத்தில் இருந்து என்னை நோக்கிக் கதறுகிறது!
01040b01b1	இப்பொழுது நீ சபிக்கப்பட்டிருக்கிறாய், உன் சகோதரனுடைய இரத்தத்தை உன் கையிலிருந்து வாங்க தன் வாயைத் திறந்த, இந்த நிலத்திலிருந்து நீ துரத்தப்பட்டும் இருக்கிறாய்.
01040c0178	நீ நிலத்தைப் பண்படுத்திப் பயிரிடும்போது அது உனக்கு விளைச்சலைத் தராது. நீ பூமியில் நிம்மதியின்றி அலைந்து திரிகிறவனாய் இருப்பாய்” என்றார்.
01040d00d3	அதற்கு காயீன் யெகோவாவிடம், “இந்த தண்டனை என்னால் தாங்க முடியாததாய் இருக்கிறது.
01040e022f	இன்று நீர் என்னை இவ்விடத்திலிருந்து துரத்திவிடுகிறீர்; நான் உமது முன்னிலையிலிருந்து மறைக்கப்பட்டு, பூமியில் நிம்மதியின்றி அலைந்து திரிகிறவனாவேன்; என்னைக் காண்கிற எவனும் என்னைக் கொன்றுபோடுவானே” என்றான்.
01040f0223	அதற்கு யெகோவா, “அப்படியல்ல; காயீனைக் கொல்பவன் எவனிடமும் ஏழுமடங்கு பழிவாங்கப்படும்” என்று அவனுக்குச் சொன்னார். பின்பு யெகோவா அவனைக் காண்பவர்கள் அவனைக் கொன்றுவிடாதபடி, அவன்மேல் ஓர் அடையாளத்தை வைத்தார்.
0104100147	அப்பொழுது காயீன் யெகோவாவின் முன்னிலையிலிருந்து சென்று, ஏதேனுக்குக் கிழக்கேயுள்ள நோத் என்னும் நாட்டில் குடியிருந்தான்.
0104110205	பின்பு காயீன் தன் மனைவியுடன் உறவுகொண்டான்; அவள் கர்ப்பவதியாகி, ஏனோக்கைப் பெற்றாள். பின்பு காயீன் ஒரு பட்டணத்தைக் கட்டிக்கொண்டிருந்தான்; அதற்கு தன் மகனின் பெயரின்படி ஏனோக் என்று பெயரிட்டான்.
0104120175	ஏனோக்கிற்கு ஈராத் பிறந்தான், ஈராத் மெகுயயேலின் தகப்பனும், மெகுயயேல் மெத்தூசயேலின் தகப்பனும், மெத்தூசயேல் லாமேக்கின் தகப்பனும் ஆனார்கள்.
01041300de	லாமேக் இரு பெண்களைத் திருமணம் செய்தான். ஒருத்தியின் பெயர் ஆதாள், மற்றவள் சில்லாள்.
01041400e0	ஆதாள் யாபாலைப் பெற்றாள்; முதன்முதலில் கூடாரங்களில் வசித்து, மந்தை மேய்த்தவன் அவனே.
010415011f	அவனுடைய சகோதரனின் பெயர் யூபால்; அவன் முதன்முதலில் வீணை, புல்லாங்குழல் ஆகிய இசைக்கருவிகளை இசைத்தவன் ஆனான்.
01041601a7	சில்லாளும், தூபால்காயீன் என்னும் ஒரு மகனைப் பெற்றாள்; அவன் வெண்கலம், இரும்பு ஆகியவற்றால் கருவிகளைச் செய்யும் தொழிலாளி ஆனான். தூபால்காயீனுடைய சகோதரி நாமாள்.
010417028a	லாமேக் தன் இரு மனைவிகளிடம் சொன்னதாவது: “ஆதாளே, சில்லாளே, எனக்குச் செவிகொடுங்கள்; லாமேக்கின் மனைவிகளே, என் வார்த்தைகளைக் கேளுங்கள். என்னைக் காயப்படுத்தியபடியால் ஒரு மனிதனைக் கொன்றேன், எனக்குத் தீங்கு செய்தபடியாலேயே அந்த வாலிபனைக் கொன்றேன்.
0104180127	காயீனைக் கொல்பவனிடம் ஏழுமடங்கு பழிவாங்கப்படும் என்றால், லாமேக்கிற்காக எழுபத்தேழு மடங்கு பழிவாங்கப்படும்.”
0104190206	ஆதாம் மீண்டும் தன் மனைவியுடன் உறவுகொண்டான், அவள் ஒரு மகனைப் பெற்றாள், “காயீன் கொலைசெய்த ஆபேலுக்குப் பதிலாக இறைவன் வேறொரு பிள்ளையைக் கொடுத்தார்” என்று சொல்லி, அவனுக்கு சேத் என்று பெயரிட்டாள்.
01041a01a3	சேத்தும் ஒரு மகனைப் பெற்றான்; அவன் தன் மகனுக்கு ஏனோஸ் என்று பெயரிட்டான். அக்காலத்தில் மக்கள் யெகோவாவின் பெயரைக் கூப்பிட்டு அவரை ஆராதிக்க ஆரம்பித்தார்கள்.
01050100fc	ஆதாமின் வம்சவரலாறு இதுவே: இறைவன் மனிதரைப் படைத்தபோது, அவனை இறைவனின் சாயலிலேயே உண்டாக்கினார்.
0105020152	அவர் அவர்களை ஆணும் பெண்ணுமாகப் படைத்து, அவர்களை ஆசீர்வதித்தார். அவர் அவர்களைப் படைத்தபோது அவர்களை, “மனிதர்” என்று அழைத்தார்.
010503016c	ஆதாம் 130 வருடங்கள் வாழ்ந்தபின், ஆதாமுக்கு தன்னுடைய சாயலிலும், தன்னுடைய உருவிலும் ஒரு மகன் பிறந்தான்; அவனுக்கு “சேத்” என்று பெயரிட்டான்.
01050400f0	சேத் பிறந்தபின் ஆதாம் 800 வருடங்கள் வாழ்ந்து, இன்னும் பல மகன்களையும் மகள்களையும் பெற்றான்.
0105050081	ஆதாம் மொத்தம் 930 வருடங்கள் வாழ்ந்தபின் இறந்தான்.
0105060075	சேத் தனது 105 வயதில் ஏனோஸுக்குத் தகப்பனானான்.
