0100000008	Gênesis
01011a00e1	Depois Deus disse: “Façamos o ser humano à nossa imagem e semelhança. Que ele domine sobre os animais marinhos, sobre as aves do céu, sobre os animais domésticos da terra e sobre os répteis que se movem pelo chão”.
01011b006a	Assim Deus criou o ser humano semelhante à sua imagem, à imagem de Deus o criou; homem e mulher o criou.
01011c00af	Deus os abençoou e disse-lhes: Multipliquem-se, encham a terra e dominem-na. Tenham poder sobre os peixes, sobre as aves dos céus e sobre os animais que rastejam pela terra.
01011d009f	E disse mais: “Eu dou a vocês todas as plantas que nascem na superfície de toda a terra e dão sementes, e todas as árvores frutíferas que dão sementes.
01011e00c8	A todos os animais em que há fôlego de vida, ou seja, a todos os animais selvagens, a todas as aves do céu e aos animais que rastejam pelo chão dou todos os vegetais como alimento”. E assim foi.
01011f007c	E Deus viu tudo o que havia feito, e eis que havia ficado muito bom. Houve tarde e manhã. Tudo isso aconteceu no sexto dia.
0102010057	Dessa forma foi concluída a criação dos céus e da terra, com tudo que neles existe.
0102020041	E no sétimo dia, tendo Deus terminado a sua obra, ele descansou.
0102030061	Deus abençoou o sétimo dia e o declarou santo, pois nele descansou de toda a obra da criação.
0102040044	Esta é a história da origem dos céus e da terra criados por Deus.
01020500c4	Ainda não havia vegetação, nem semente que houvesse brotado da terra, porque o Senhor Deus ainda não havia feito chover sobre a terra, e também não havia seres humanos para cultivar a terra.
010206004b	Mas um vapor de água subia da terra e irrigava toda a superfície do solo.
0102070083	Então o Senhor Deus formou o corpo humano do pó da terra e soprou em suas narinas o fôlego da vida, e ele tornou-se um ser vivo.
010208007d	Plantou também o Senhor Deus um jardim, no Éden, para os lados do oriente; e nesse jardim colocou o homem que havia criado.
01020900c3	Então o Senhor Deus fez brotar toda espécie de lindas árvores que produziam frutas boas como alimento. No centro do jardim estava a árvore da vida e a árvore do conhecimento do bem e do mal.
01020a0066	Nascia no Éden um rio que atravessava o jardim para o irrigar, dividindo-se depois em quatro braços.
01020b0066	Um destes braços era o rio Pisom, que atravessava toda a terra de Havilá. Nessa região existe ouro.
01020c0069	Esse ouro era de fina qualidade; lá também existem pedras preciosas, como o bdélio e a pedra de ônix.
01020d0047	O segundo braço do rio chama-se Giom, e percorre toda a terra de Cuxe.
01020e006d	O terceiro braço é o rio Tigre, que corre pelo lado leste da Assíria. E o quarto braço é o rio Eufrates.
01020f004f	O Senhor Deus colocou o homem no jardim do Éden para cuidar dele e o cultivar.
0102100054	E deu-lhe a seguinte ordem: “Você pode comer de toda árvore que está no jardim,
010211007f	mas não coma da árvore do conhecimento do bem e do mal, porque no dia em que comer dessa fruta, certamente você morrerá”.
0102120091	Depois disse o Senhor Deus: “Não é bom que o homem fique sozinho. Vou fazer para ele uma companheira, uma auxiliadora que lhe corresponda”.
0102130080	Depois de ter formado da terra toda espécie de animais e aves, o Senhor Deus os trouxe ao homem para ver que nome daria a eles.
01021400ac	Assim o homem deu nomes a todos os animais domésticos, às aves do céu e aos animais selvagens. No entanto, o homem não encontrou uma companheira que lhe correspondesse.
0102150096	Então o Senhor Deus fez o homem cair em um sono profundo. Enquanto este dormia, tirou uma das costelas dele e fechou o lugar em que ficava a costela.
010216003e	Dessa costela o Senhor Deus fez uma mulher e a levou ao homem.
0102170086	Então o homem disse: “Esta, sim, é parte dos meus ossos e da minha carne. Ela será chamada mulher, porque foi tirada do homem”.
0102180077	Esta é a razão pela qual o homem deixa o seu pai e a sua mãe e se une à sua mulher, e os dois se tornam um só ser.
0102190042	Ambos, o homem e a mulher, estavam nus, mas não sentiam vergonha.
01030100db	A serpente era a mais astuta de todas as criaturas que o Senhor Deus tinha feito. Ela aproximou-se e perguntou à mulher: “É verdade que Deus disse que não deviam comer do fruto de nenhuma das árvores do jardim?”
010302008d	A mulher respondeu à serpente: “Nós podemos comer do fruto de todas as árvores do jardim, exceto da árvore que está no meio do jardim.
0103030066	Deus disse que não podemos comer da fruta daquela árvore, nem sequer tocá-la, senão morreremos”.
010304003d	“Certamente vocês não morrerão!”, retrucou a serpente.
01030500a0	“Deus sabe muito bem que no instante em que comerem dessa fruta, seus olhos serão abertos, e vocês, como Deus, serão capazes de distinguir o bem do mal!”
01030600eb	A mulher ficou convencida. Reparando na beleza daquela árvore e que a sua fruta era agradável ao paladar e atraente aos olhos, além de lhe dar entendimento, tomou a fruta e comeu-a. Depois ofereceu a seu marido, e ele também comeu.
0103070075	Os olhos de ambos foram abertos, e perceberam que estavam nus. Foram então juntar folhas de figueira para cobrir-se.
0103080082	Ao cair da tarde daquele dia ouviram a voz e os passos do Senhor Deus que passeava pelo jardim, e esconderam-se entre as árvores.
0103090035	O Senhor Deus chamou o homem: “Onde você está?”
01030a0079	Ele respondeu: “Percebi que o Senhor estava se aproximando e fiquei com medo, porque estava nu. Por isso me escondi”.
01030b0083	“Quem disse que você estava nu?”, perguntou o Senhor Deus. “Você comeu da fruta da árvore da qual eu o proibi de comer?”
01030c0071	O homem respondeu: “Foi a mulher que me deste por companheira que me ofereceu a fruta da árvore, e eu comi”.
01030d0083	Então o Senhor Deus perguntou à mulher: “Por que você fez isso?” Respondeu a mulher: “A serpente me enganou, e eu comi”.
01030e010a	Então o Senhor Deus dirigiu-se à serpente: “Este é o seu castigo: Você será a única a ser amaldiçoada entre todos os animais domésticos e entre todos os animais selvagens. Você terá de rastejar sobre o seu ventre, e comerá pó todos os dias da sua vida.
01030f00d2	“De agora em diante, você e a mulher serão inimigas. O mesmo ocorrerá entre a sua descendência e a descendência dela. O descendente da mulher esmagará a sua cabeça, e você ferirá o calcanhar dele”.
01031000c2	E o Senhor Deus disse à mulher: “Você terá muitas dores durante a gravidez; com sofrimento você dará à luz filhos. Apesar disso, seu desejo será para o seu marido, e ele a dominará”.
01031100f5	Ao homem ele disse: “Visto que você deu ouvidos à sua mulher e comeu aquela fruta que eu disse para não comer, o solo da terra será maldito por sua causa. Você precisará lutar todos os dias da sua vida para tirar da terra o seu sustento.
0103120065	Ela também produzirá espinhos e ervas daninhas, e você precisará alimentar-se das ervas do campo.
01031300ac	Você precisará suar para que a terra produza o seu alimento, até que volte para a terra, da qual você foi formado. Pois você foi feito da terra e à terra voltará”.
0103140054	Adão deu à sua mulher o nome Eva pois ela se tornaria a mãe de toda a humanidade.
0103150048	O Senhor Deus fez roupas de pele de animais e vestiu Adão e sua mulher.
01031600c5	Então disse o Senhor Deus: “Agora que o homem se tornou como um de nós, conhecendo o bem e o mal, é necessário que ele não coma da fruta da árvore da vida para que não viva eternamente”.
010317006d	Por isso o Senhor Deus o expulsou do jardim do Éden, e o mandou cultivar a terra da qual tinha sido formado.
01031800b2	Depois de ter expulsado o homem, colocou querubins a leste do jardim do Éden, os quais, com uma espada flamejante que se movia, guardavam o caminho de acesso à árvore da vida.
01040100a4	Então Adão teve relações com Eva, e ela engravidou e deu à luz um filho, a quem chamou de Caim. Disse ela: “Com a ajuda do Senhor consegui um filho homem!”
0104020079	Depois voltou a dar à luz, e nasceu o irmão dele, Abel. Abel tornou-se pastor de ovelhas, enquanto Caim era agricultor.
010403005a	Quando chegou o tempo da colheita, Caim trouxe ao Senhor uma oferta dos produtos da terra.
010404006b	Abel fez o mesmo, mas com as primeiras crias do seu rebanho. E o Senhor agradou-se de Abel e da sua oferta,
0104050065	mas não de Caim nem da sua oferta. Por isso, Caim ficou enfurecido e o seu rosto mostrava seu ódio.
010406005d	O Senhor perguntou a Caim: “Por que você está furioso e por que o seu rosto mostra ódio?
01040700c8	Se você fizer o que é certo, não será aceito? Mas se você agir mal e não obedecer, saiba que o pecado está à sua espera; ele deseja destruí-lo, mas está na sua mão o poder de dominá-lo”.
0104080087	Então Caim convidou a Abel, seu irmão: “Vamos para o campo”. Enquanto caminhavam juntos, Caim atacou o seu irmão Abel e o matou.
0104090093	Depois o Senhor perguntou a Caim: “Onde está o seu irmão Abel?” Respondeu Caim: “Não sei. Será que sou o responsável pelo meu irmão?”
01040a0073	Então Deus disse: “O que foi que você fez? O sangue do seu irmão clama por mim, da terra em que foi derramado.
01040b0048	Por isso você será amaldiçoado nessa terra manchada pelo sangue dele.
01040c0094	Quando você cultivar a terra, ela não dará mais o fruto resultante do seu trabalho. Você passará a vida como um fugitivo errante pela terra”.
01040d0047	Caim então disse ao Senhor: “Esse castigo é pesado demais para mim.
01040e00b6	Hoje me expulsas desta terra que tenho cultivado, e terei de me esconder da tua face. Serei um fugitivo errante pela terra, e qualquer pessoa que me encontrar vai querer me matar!”
01040f00e3	Mas o Senhor lhe respondeu: “Isso não ocorrerá. Se alguém matar você, será castigado sete vezes mais”. E o Senhor colocou em Caim um sinal de identificação, para impedir que fosse morto por alguém que o encontrasse.
0104100065	Assim Caim afastou-se da presença do Senhor e foi estabelecer-se na terra de Node, a leste do Éden.
01041100b5	Caim teve relações com a sua mulher, e ela engravidou e deu à luz um filho, que recebeu o nome de Enoque. Caim então construiu uma cidade à qual deu o nome do seu filho Enoque.
0104120074	Enoque foi o pai de Irade. Irade foi o pai de Meujael. Meujael foi o pai de Metusael. Metusael foi o pai de Lameque.
0104130028	Lameque teve duas mulheres: Ada e Zilá.
0104140070	Ada teve um filho chamado Jabal. Ele foi o pai de todos os criadores de rebanhos e de todos que vivem em tendas.
010415004a	O seu irmão chamava-se Jubal, o pai de todos os que tocam harpa e flauta.
01041600ac	Zilá também deu à luz um filho chamado Tubalcaim, o primeiro a trabalhar com metal fundido, fazendo ferramentas de bronze e de ferro. Este teve uma irmã chamada Naamá.
0104170093	Um dia Lameque disse às suas mulheres: “Ada e Zilá, ouçam-me com atenção: Eu matei um homem porque me feriu, e um jovem, porque me machucou.
010418005d	Se aquele que matar Caim será vingado sete vezes, então eu serei vingado setenta e sete”.
01041900b7	Novamente, Adão teve relações com Eva, e ela deu à luz outro filho, a quem chamou Sete, dizendo: “Deus me concedeu outro filho para ocupar o lugar de Abel, a quem Caim matou”.
01041a005a	Sete foi pai de Enos. Depois do nascimento de Enos, começaram a invocar o nome do Senhor.
0105010056	Esta é a lista dos descendentes de Adão. Deus criou o ser humano à sua semelhança;
0105020064	homem e mulher os criou e os abençoou. Desde o dia em que foram criados, Deus os chamou de humanos.
0105030069	Adão tinha 130 anos quando seu filho Sete nasceu, um filho que era conforme à sua imagem e semelhança.
0105040050	Depois do nascimento de Sete, Adão viveu mais 800 anos, e teve filhos e filhas.
0105050020	Viveu ao todo 930 anos e morreu.
0105060031	Sete tinha 105 anos quando nasceu seu filho Enos.
010507003f	Depois disso, Sete viveu mais 807 anos, e teve filhos e filhas.
0105080023	Ele morreu com a idade de 912 anos.
0105090032	Enos tinha 90 anos quando nasceu seu filho Cainã.
01050a003f	Depois disso, Enos viveu mais 815 anos, e teve filhos e filhas.
01050b0023	Ele morreu com a idade de 905 anos.
01050c0037	Cainá tinha 70 anos quando nasceu seu filho Maalaleel,
01050d0041	Depois disso, Cainã viveu mais 840 anos, e teve filhos e filhas.
01050e0023	Ele morreu com a idade de 910 anos.
01050f0037	Maalaleel tinha 65 anos quando nasceu seu filho Jarede.
0105100044	Depois disso, Maalaleel viveu mais 830 anos, e teve filhos e filhas.
0105110023	Ele morreu com a idade de 895 anos.
0105120035	Jarede tinha 162 anos quando nasceu seu filho Enoque.
0105130041	Depois disso, Jarede viveu mais 800 anos, e teve filhos e filhas.
0105140023	Ele morreu com a idade de 962 anos.
0105150038	Enoque tinha 65 anos quando nasceu seu filho Matusalém.
010516005f	Depois disso, Enoque viveu mais 300 anos, e andou em comunhão com Deus e teve filhos e filhas.
010517001b	Ele viveu ao todo 365 anos.
0105180047	Enoque sempre andou com Deus e um dia desapareceu, porque Deus o levou.
010519003a	Matusalém tinha 187 anos quando nasceu seu filho Lameque.
01051a0044	Depois disso, Matusalém viveu mais 782 anos e teve filhos e filhas.
01051b0023	Ele morreu com a idade de 969 anos.
01051c0032	Lameque tinha 182 anos quando lhe nasceu um filho.
01051d007b	Ele o chamou de Noé e disse: “Este há de trazer-nos descanso para o duro trabalho da terra que o Senhor amaldiçoou”.
01051e0059	Depois do nascimento de Noé, Lameque viveu mais 595 anos, e teve outros filhos e filhas.
01051f0023	Ele morreu com a idade de 777 anos.
0105200046	Quando Noé estava com 500 anos, tinha três filhos: Sem, Cam e Jafé.
010601004e	Quando as pessoas começaram a multiplicar-se na terra e lhes nasceram filhas,
010602006a	os filhos de Deus repararam na beleza das filhas dos homens, e tomaram para si aquelas que lhes agradaram.
010603007a	E o Senhor disse: “O meu Espírito não continuará com o homem, visto que ele é todo mau. Ele só viverá 120 anos”.
01060400db	Naqueles dias havia gigantes, e mesmo depois, quando os filhos de Deus tiveram relações com as filhas dos homens, os filhos que lhes nasceram foram heróis de grande fama, conforme nos falam os relatos da antiguidade.
0106050096	O Senhor viu que a maldade humana foi ficando cada vez pior, e que a imaginação e os pensamentos dos seres humanos os levavam unicamente para o mal.
0106060066	Então o Senhor se arrependeu de ter criado o ser humano sobre a terra, e isso cortou o seu coração!
01060700a2	Disse o Senhor: “Farei desaparecer da face da terra tudo o que tem vida: as pessoas, os animais, os répteis e as aves do céu. Estou triste porque os criei”.
0106080030	Noé, porém, agradava ao Senhor com a sua vida.
010609009e	Esta é a história da vida de Noé: Ele era a única pessoa justa e íntegra na terra daquele tempo. Ele conduzia a sua vida de acordo com a vontade de Deus.
01060a002a	Noé tinha três filhos: Sem, Cam e Jafé.
01060b005a	A violência dominava a terra. Aos olhos de Deus, a terra estava completamente corrompida.
01060c006c	Ao ver essa corrupção e como toda a raça humana tinha se deixado arrastar para a depravação e o vício,
01060d00ad	Deus disse a Noé: “Decidi acabar com todos os seres humanos, porque a terra está cheia de crime e de perversão por causa deles. Eu os destruirei juntamente com a terra.
01060e0086	Faça uma embarcação com madeira de cipreste, com vários compartimentos no seu interior e revista-a de piche por dentro e por fora.
01060f0085	Estas são as medidas da embarcação que você vai construir: 150 metros de comprimento, 25 metros de largura e 15 metros de altura.
0106100087	Faça-lhe um teto com uma abertura de meio metro entre o teto e o corpo da arca. No interior haverá três andares e uma porta lateral.
01061100a9	“Faça isso, porque vou cobrir toda a terra com água por meio de um dilúvio, para destruir toda criatura viva debaixo dos céus. Tudo o que houver na terra morrerá.
0106120086	Mas prometo fazer uma aliança com você, e você entrará nessa embarcação com sua mulher, seus filhos e suas respectivas mulheres.
0106130075	De todos os animais existentes faça entrar um casal, macho e fêmea, na embarcação, para que sobrevivam com você.
0106140090	De cada espécie de aves, de quadrúpedes e até do menor animal que rasteja pelo solo virá um casal a você, para que sejam conservados vivos.
0106150058	Armazene também toda espécie de comida, para seu sustento e o sustento dos animais”.
010616002f	Noé fez tudo conforme Deus lhe tinha ordenado.
01070100ac	Finalmente chegou o dia em que o Senhor disse a Noé: “Entra na embarcação com toda a sua família, porque, de toda a humanidade, você é o único justo que encontrei.
010702009b	Leve para dentro da embarcação sete casais de cada espécie de animal puro, macho e fêmea, e um casal de cada espécie de animal impuro, macho e fêmea.
010703006f	Leve também sete casais de aves de cada espécie. Assim se poderá manter viva cada espécie após o dilúvio.
0107040084	Daqui a uma semana vou fazer chover sobre a terra durante quarenta dias e quarenta noites, e tudo quanto criei com vida morrerá”.
0107050033	Noé fez tudo conforme o Senhor lhe tinha ordenado.
010706004f	Noé tinha 600 anos de idade quando as águas do dilúvio vieram sobre a terra.
0107070068	Ele, seus filhos, sua mulher e as noras entraram na embarcação, para escaparem das águas do dilúvio.
0107080068	Com eles entraram toda espécie de vida animal, puros e impuros, os que rastejavam pelo chão e as aves.
0107090059	Entraram com Noé na embarcação em pares, macho e fêmea, tal como Deus havia ordenado.
01070a003c	Passados sete dias, as águas do dilúvio inundaram a terra.
01070b0095	Quando Noé tinha precisamente 600 anos, um mês e dezessete dias de idade, romperam-se todas as fontes do abismo, e as comportas do céu se abriram.
01070c004a	Desabou forte chuva sobre a terra durante quarenta dias e quarenta noites.
01070d008b	No dia em que as chuvas começaram a cair, Noé e seus filhos, Sem, Cam e Jafé, com sua mulher e com suas noras, entraram na embarcação.
01070e00ea	Entraram também todos os animais de acordo com as suas espécies: animais domésticos, animais selvagens, todos os demais seres vivos que rastejam pelo chão, e todas as criaturas com asas: todas as aves e os outros animais que voam.
01070f004b	Pares de todas as espécies vivas vieram a Noé e entraram na embarcação.
010710008b	Os animais que entraram eram um macho e uma fêmea de cada ser vivo, tudo como Deus tinha ordenado a Noé. Depois, o Senhor fechou a porta.
0107110062	O dilúvio durou quarenta dias, e as águas aumentaram e levantaram a embarcação acima da terra.
0107120075	O nível das águas foi subindo cada vez mais, cobrindo a terra. E a embarcação flutuava na superfície das águas.
0107130060	As águas aumentaram tanto que cobriram até as montanhas mais altas existentes debaixo do céu,
010714002d	chegando a quase sete metros acima dos picos.
01071500ab	Todos os seres vivos existentes na terra morreram: as aves, os animais domésticos, os animais selvagens, todas as pequenas criaturas que povoam a terra e todo ser humano.
0107160037	Tudo o que havia na terra seca e que respirava, morreu.
0107170110	Assim foram destruídos todos os seres vivos que existiam na terra; tanto os seres humanos quanto os animais grandes e os animais pequenos que rastejam pelo chão e as aves do céu foram extintos da terra. Apenas Noé e os que estavam com ele na embarcação sobreviveram.
0107180038	E as águas cobriram a terra por cento e cinquenta dias.
01080100b7	Então Deus atentou para Noé e todos os animais selvagens e domésticos que estavam com ele na embarcação. Fez soprar um forte vento sobre a terra, e as águas começaram a baixar.
0108020053	As fontes do abismo e as comportas do céu se fecharam, e a chuva torrencial parou.
0108030077	As águas começaram a baixar gradualmente sobre a terra. Passados cento e cinquenta dias, as águas tinham diminuído,
0108040060	e no décimo sétimo dia do sétimo mês, a embarcação tocou no alto das montanhas de Ararate.
010805006b	As águas continuaram baixando, até que no primeiro dia do décimo mês apareceram os cumes das montanhas.
0108060052	Ao fim de mais quarenta dias, Noé abriu a janela que tinha feito na embarcação,
010807003c	e soltou um corvo que ficava voando de um lado para o outro.
0108080040	Depois soltou uma pomba para ver se já havia alguma parte seca.
01080900be	Mas a pomba não encontrou um lugar onde pousar e voltou para a embarcação porque as águas ainda cobriam toda a terra. Noé estendeu a mão e tomou-a de volta para dentro da embarcação.
01080a0032	Noé esperou sete dias e soltou novamente a pomba.
01080b009b	Ao cair da tarde, quando a pomba voltou, ela trouxe no bico uma folha nova de oliveira. Noé concluiu então que as águas tinham diminuído sobre a terra.
01080c005b	Ele deixou passar mais sete dias e soltou novamente a pomba, mas desta vez ela não voltou.
01080d00e1	Passaram-se ainda vinte e nove dias depois disso, e quando Noé completou 601 anos de idade, secaram-se as águas na terra. Noé então levantou a cobertura da embarcação e verificou que as águas tinham descido totalmente.
01080e006d	Ao fim de mais oito semanas, no dia 27 do segundo mês do ano 601 de Noé, a terra estava completamente seca.
01080f0019	Então Deus disse a Noé:
0108100049	“Saia da embarcação, você e sua mulher, seus filhos e as suas noras.
01081100df	Deixe sair igualmente todos os animais que estão com você: as aves, os animais grandes e os pequenos que rastejam sobre o chão. Faça-os sair, de modo que se espalhem por toda a terra, se reproduzam e se multipliquem”.
010812004a	Então Noé, seus filhos, sua mulher e suas noras saíram da embarcação.
01081300c7	Saíram também todos os animais grandes e os pequenos que rastejam sobre o chão e todas as aves. Todos os seres vivos que estavam na embarcação saíram em grupos, segundo as diferentes espécies.
0108140083	Noé construiu um altar, tomou alguns animais e aves aceitáveis a Deus e ofereceu-os como sacrifício, queimando-os sobre o altar.
010815011d	O Senhor ficou satisfeito com esse sacrifício e disse a si mesmo: “Nunca mais voltarei a amaldiçoar a terra por causa dos seres humanos, ainda que a inclinação dos seus corações seja sempre para o mal desde a infância. E nunca mais destruirei todos os seres viventes como fiz.
0108160070	“Enquanto durar a terra, sempre haverá semeadura e colheitas, frio e calor, inverno e verão, dia e noite”.
0109010064	Deus abençoou Noé e seus filhos, e disse-lhes: “Tenham muitos filhos e povoem novamente a terra.
01090200b6	Todos os animais da terra terão medo de vocês: os animais selvagens, as aves do céu, os animais que rastejam pelo chão e os peixes do mar. Todos eles serão dominados por vocês.
0109030048	Tudo o que vive e se move lhes servirá de alimento, além dos vegetais.
0109040041	“Mas nunca comam a carne com a sua vida, isto é, com o sangue.
0109050054	Pedirei contas de cada ser humano e de cada animal que derramar o sangue de alguém.
010906007e	“Quem derramar o sangue de um ser humano, pelo ser humano seu sangue será derramado, pois ele foi criado à imagem de Deus.
010907004e	“Multipliquem-se, povoem novamente a terra e exerçam domínio sobre ela”.
0109080029	Deus disse mais a Noé e aos seus filhos:
010909004a	“Estabeleço a minha aliança com vocês, com todos os seus descendentes
01090a00ba	e com todo ser vivo que está com vocês: as aves, os animais domésticos e os animais selvagens, todos os animais que saíram da embarcação com vocês e com todos os animais da terra.
01090b00a1	Estabeleço uma aliança com vocês: Nunca mais os seres vivos da terra serão destruídos pelas águas. Nunca mais haverá um dilúvio para destruir a terra”.
01090c009d	E Deus disse: “E como sinal desta aliança que estou fazendo entre mim e vocês e com todos os seres vivos que estão com vocês, para todas as gerações,
01090d0058	aparecerá um arco-íris nas nuvens. Este será o sinal da aliança entre mim e a terra.
01090e003f	Quando o céu se acumular de nuvens e nelas aparecer esse arco,
01090f008d	então me lembrarei da minha aliança com vocês e com todos os seres vivos. Nunca mais destruirei a vida por meio de um dilúvio semelhante.
010910008e	Verei o arco-íris e atentarei para a aliança eterna que eu, como Deus, fiz com os seres vivos de todas as espécies que existem na terra”.
010911007a	Deus disse a Noé: “Esse é o sinal da aliança que estabeleci entre mim e todos os seres vivos que existem na terra”.
0109120080	Os três filhos de Noé que saíram da embarcação foram Sem, Cam e Jafé. (Cam é aquele de quem descendem todos os cananeus).
010913004d	Esses são os três filhos de Noé. Destes descendem todos os povos da terra.
010914002b	Noé tornou-se agricultor e plantou vinhas.
0109150042	Um dia embriagou-se e despiu-se completamente dentro da sua tenda.
0109160050	Cam, pai de Canaã, viu o pai despido, saiu e foi chamar os outros dois irmãos.
01091700b0	Então Sem e Jafé pegaram uma capa, chegaram-se de costas com a capa suspensa nos ombros, aproximaram-se do pai no meio da tenda, e o cobriram, sem terem visto a nudez do pai.
0109180077	Quando Noé se refez da sua embriaguez e soube o que tinha acontecido e a forma como o seu filho mais novo tinha agido,
0109190058	disse: “Maldito seja Canaã. Que se torne escravo dos descendentes de seus irmãos”.
01091a0053	E acrescentou: “Bendito seja o Senhor, Deus de Sem. Que os cananeus sirvam a ele.
01091b0069	Que Deus abençoe Jafé e que partilhe da prosperidade de Sem, e que os cananeus também sirvam a ele”.
01091c002d	Noé viveu ainda 350 anos depois do dilúvio.
01091d0021	Ele morreu com 950 anos de idade.
010a010064	Os descendentes de Noé são os seguintes: Sem, Cam e Jafé. Eles tiveram filhos depois do dilúvio.
010a020051	Os filhos de Jafé foram: Gômer, Magogue, Madai, Javã, Tubal, Meseque e Tirás.
010a030036	Os filhos de Gômer foram: Asquenaz, Rifate e Togarma.
010a04003c	Os filhos de Javã foram: Elisá, Társis, Quitim e Dodanim.
010a050081	Os seus descendentes tornaram-se povos marítimos, conquistando terras e formando nações, cada uma de acordo com a sua língua.
010a060035	Os filhos de Cam foram: Cuxe, Mizraim, Pute e Canaã.
010a07006d	Os filhos de Cuxe foram: Sebá, Havilá, Sabtá, Raamá e Sabtecá. Os filhos de Raamá foram: Sabá e Dedã.
010a080054	Um dos descendentes de Cuxe foi Ninrode, que foi o primeiro homem poderoso da terra.
010a090069	Ele foi um caçador valente. Daí o provérbio: “Que Deus te faça um caçador valente como Ninrode”.
010a0a0077	No início, o seu reino era composto pelas cidades e territórios de Babel, Ereque, Acade e Calné, na terra de Sinear.
010a0b0067	Dali, ele estendeu o território do seu reino até a Assíria, onde edificou Nínive, Reobote-Ir, Calá
010a0c0052	e Resém, que fica entre Nínive e Calá, que era a maior cidade daquele império.
010a0d003e	Mizraim foi o pai dos luditas, anamitas, leabitas, naftuítas,
010a0e0045	patrusitas, casluítas (de quem descendem os filisteus) e caftoritas.
010a0f0038	O primeiro filho de Canaã foi Sidom, e o segundo, Hete.
010a100058	Também estes povos são descendentes de Canaã: os jebuseus, os amorreus, os girgaseus,
010a110021	os heveus, os arqueus, os sineus,
010a120058	os arvadeus, os zemareus e os hamateus. Os cananeus se espalharam por diferentes partes.
010a1300a1	As fronteiras dos cananeus estenderam-se desde Sidom, indo em direção a Gerar, até Gaza, continuando até Sodoma, Gomorra, Admá e Zeboim, chegando até Lasa.
010a140065	Esses são os descendentes de Cam que se espalharam em muitas nações, com suas línguas diferentes.
010a15005e	Héber, que deu origem a um numeroso povo, era descendente de Sem, irmão mais velho de Jafé.
010a16003c	Os filhos de Sem foram: Elão, Assur, Arfaxade, Lude e Arã.
010a170033	Os filhos de Arã foram: Uz, Hul, Géter e Meseque.
010a180037	Salá foi filho de Arfaxade. Héber foi filho de Salá.
010a19008a	Héber teve dois filhos: Pelegue e Joctã. Pelegue recebeu esse nome porque em sua época foi feita a divisão da terra entre as nações.
010a1a003e	Os filhos de Joctã foram: Almodá, Salefe, Hazarmavé, Jerá,
010a1b0015	Adorão, Uzal, Dicla,
010a1c0015	Obal, Abimael, Sabá,
010a1d003b	Ofir, Havilá e Jobabe. Todos esses foram filhos de Joctã.
