0100000009	መተꬅ
010111004d	ፆሳይ ኤንቲ ሀ ሳአ ቦላ ፖአና መላ ሳሎን ዎꬅስ።
010112008e	ሄስ፥ ጋላስነ ቃማ ሃራና መላነ ፖኦ ꬉማፐ ሻካና መላሳ። ፆሳይ ሄስ ሎኦ ግድዳይሳ በእስ።
0101130044	ሳእ ቃምስ ዎንትስ፤ ሄስ ኦይዳንꬆ ጋላስ።
01011400c9	ሄሳፈ ጉየ፥ ፆሳይ፥ “ደኦይ ደእያ ዱማ ዱማ መ ተꬃት ሃꬃን ዳሮ፤ ካፎትካ ሳአፐ ቦላራ፥ ሳሎ ጉፋንꬆፈ ጋርሳን ፕራꬎ” ያግስ።
01011500ed	ያትድ ፆሳይ አባን ደእያ ግታ ዶአታ፥ ሃꬃ ግዶን ዎፅ ቃፅያ መ ተꬃታ ኡባነ ፓልያ ካፎታ ኡባ እያ ቆሞን ቆሞን መꬍስ። ፆሳይ ሄስ ሎኦ ግድዳይሳ በእስ።
0101160086	ፆሳይ ኤንታ፥ “የለትተ፥ ዳርተ፥ አባ ኩምተ፥ ካፎት ቢታ ቦላ ዳሮ” ያግድ አንጅስ።
0101170044	ሳእ ቃምስ ዎንትስ፤ ሄስ እቻሻንꬆ ጋላስ።
01011800ee	ሄሳፈ ጉየ፥ ፆሳይ፥ “ደኦይ ደእያ መ ተꬃት ኤንታ ቆሞን ቆሞን፥ መሄታ፥ ሳአራ ጎሸትያ መ ተꬃታነ ዶአታ ኤንታ ቆሞን ቆሞን ቢታይ ከሶ” ያግን ሀንስ።
0101190066	ሄሳዳ ኦꬅድ ኤንታ ኡባ መꬍስ። ፆሳይ ሄስ ሎኦ ግድዳይሳ በእስ።
01011a00d2	ሄሳፈ ስምን፥ ፆሳይ፥ “አሰ ኑና ዳንስድ አነ መꬎኦስ። ኤንቲ አባ ሞሉዋ፥ ሳሎ ካፎታ፥ ቢታ ቦላ ዎፅ ቃፅያ መ ተꬃ ኡባ ሃሮ” ያግስ።
01011b009c	ሄሳዳ ፆሳይ አሰ ባና ዳንስድ መꬍስ። እ አሰ ፆሰ ዳንስድ መꬍስ፤ ኤንታ አደነ ማጫስ ኦꬅድ መꬍስ።
01011c00ee	ፆሳይ ኤንታና፥ “የለትተ፥ ዳርተ፥ ሳአ ኩምተ፤ ሃርተ። አባ ሞሎ፥ ሳሎ ካፎታነ ቢታ ቦላ ዎፅ ቃፅያ፥ ደኦይ ደእያ መ ተꬃ ኡባ ሃርተ” ያግድ አንጅስ።
01011d00e9	ሄሳፈ ጉየ፥ ፆሳይ፥ “ታኒ ቢታ ኡባ ቦላ ዘረꬃ አይፈይ ደእያ ካꬃ ኡባነ ዘረꬃ አይፈይ ግዶን ደእያ ምꬅ ኡባ ህንተዉ እማስ፤ ሄስ ህንተዉ ካꬅ ግዶ።
01011e00f3	ቃስካ ሀ ሳአን ደእያ መሄነ ዶአ ኡባስ፥ ሳሎ ካፎ ኡባስነ ሳአራ ጎሸትያ መ ተꬃ ኡባስ ምያባ ግዳና መላ፥ ጭልኦ ምꬅነ ማታ እማስ” ያግስ፤ ሄሳዳካ ሀንስ።
01011f00a8	ፆሳይ ባ መꬍዳ ኡባባካ ፄልያ ዎደ ዳሮ ሎኦ ግድዳይሳ በእስ። ሳእ ቃምስ፤ ዎንትስ፤ ሄስ ኡሱፑንꬆ ጋላስ።
0102010062	ሳሎትነ ሳእ ኤንታን ደእያባ ኡባባይ ሀይሳዳ መ ትድ ፖለትስ።
010202004e	ፆሳይ ባ ኦሱዋ ፖልድ፥ ላፑንꬃ ጋላሳን ሸምፕስ።
010203009a	ፆሳይ ላፑንꬃ ጋላሳን ባ ኦꬅያ ኦሱዋ ኦንግድ ሸምፕዳ ግሾ ሄ ጋላሳ አንጅስ፤ ጋላሳታፐ ዱማይስ።
010204006b	ሳሎትነ ሳእ ሄሳዳ ሀን መ ትስ። ጎዳ ፆሳይ ሳአነ ሳሎታ መꬍዳ ዎደ፥
010205008b	ሳአ ቦላ እር ቡክቦና ግሾነ ኦꬅያ አስ ባይና ግሾ ምꬅነ ማት ዶልቤና፤ አጭያባይካ ባዋ።
010206004e	ግዶሽን፥ ሳአፐ ሃꬅ ፑልትድ፥ ቢታ ኡባ ላክሴስ።
01020700c3	ሄሳፈ ጉየ፥ ጎዳ ፆሳይ ቢታ ባናፐ አሰ መꬍድ እያ ሲ ራ ደኦ ሸምፖ ፑንድ ገልስስ። ያትን፥ ሄ አደይ ደኦራ ደእያ አሰ ግድስ።
0102080074	ጎዳ ፆሳይ ዶሎሀ ባጋራ ኤደነ ጋናተ ጊግስስ፤ ያን ባ መꬍዳ አድያ ዎꬅስ።
01020900da	ጎዳ ፆሳይ ፄላናዉ ሎእያ፥ ማናዉካ ማልእያ ኡባ ቆሞ ምꬅ ቢታፈ ዶልስስ። ጋናተ ግዶን ደኦ እምያነ ሎኦነ ኢታ ኤርስያ ናምኡ ምꬃታ ዎꬅስ።
01020a008e	ጋናተ ኡሽያ ሻፋ ሃꬃይ ኤደነፐ ጎጌስ። ሄ ሻፋይ ኤደነፐ ከይድ ኦይዱ ሻፉ ከይድ ሻከቴስ።
01020b0073	ኮይሮ ሻፋ ሱንꬃይ ፍሶነ። ፍሶነይ ዎርቀይ ደእያ ሀውላ ቢታ ቦላ ጎጌስ።
01020c0064	ሄ ቢታ ዎርቀይ ጌሻ ዎርቃ። ቃስ አልኦ ሽቶይነ ሹች ያን ደኤስ።
01020d0065	ናምአንꬆ ሻፋ ሱንꬃይ ግዮነ። ግዮነይ ቶጰ ቢታ ዩሹዋን ጎጌስ።
01020e009f	ሄꬓንꬆ ሻፋ ሱንꬃይ ፀግሮሳ። ፀግሮስ አሶረፐ ዶሎሀ ባጋራ ጎጌስ። ቃስ ኦይዳንꬆ ሻፋይ ኤፍራፂሳ።
01020f0075	ጎዳ ፆሳይ አስ ኤደነ ጋናተ ኦꬃና መላነ ናጋና መላ እያ ኤፍድ ያን ዎꬅስ።
0102100063	ጎዳ ፆሳይ አሰ፥ “ጋናተ ምꬃ ቴራ ኡባፈ ኔኒ ማናዉ ዳንዳኣሳ።
01021100a9	ሽን ሎኦነ ኢታ ኤርስያ ምꬃ አይፍያፐ ሞፓ። አይስ ጊኮ፥ ኔኒ እያፐ ምዳ ጋላስ ቱማ ሀይቃና” ያግድ ኪትስ።
01021200b9	ሄሳፈ ጉየ፥ ጎዳ ፆሳይ፥ “አደይ ባርካ ደኤይስ ሎኦ ግደና። ታኒ እያ ማዳና መላ እያዉ እንጀትያ ላገ መꬋና” ያግስ።
010213012c	ጎዳ ፆሳይ መሄታ፥ ዶአታነ ሳሎ ካፎታ ኡባ ቢታፈ መꬍስ። ያትድ፥ ኤንታ ዎይግድ ሱንꬃነኮ በአናዉ አዳመኮ ኤህን፥ አዳመይ ደኦይ ደእያ መ ተꬃ ኡባ ሱንꬅዳ ሱንꬃይ ኤንታ ሱንꬅ ግድድ አትስ።
01021400ba	ሄሳዳካ፥ አዳመይ መሄታ፥ ሳሎ ካፎታነ ባዞ ዶአታ ኡባ ሱንꬅስ። ሽን አዳመስ እንጀትያነ እያ ማድያ ላገይ በንትቤና።
01021500ca	ሄሳ ግሾ፥ ጎዳ ፆሳይ አዳመ ዎልቃማ ꬍስኮን የግስ። እ ꬍስኮ ሀይቅዳሽን እያ ምየ መቀꬃፈ እሱዋ ኤክድ፥ ሄ በሳ አሾን ኩንꬅስ።
0102160077	ጎዳ ፆሳይ አዳመፐ ኤክዳ መቀꬃ ማጫ ኦꬅድ መꬍስ፤ ያትድ እዮ እያኮ ኤህስ።
01021700ac	አዳመይ፥ “ሀ መቀꬅያ ታ መቀꬃፈ፥ ሀ አሽያ ታ አሾፐ ኤከትዳሮ። እያ አደፈ ኤከትዳ ግሾ ማጫ ጌተቶ” ያግስ።
010218008d	ሄሳ ግሾ አስ ባ አዋነ ባ አይዉ አግድ፥ ባ ማቸራ እስፈ ደኤስ፤ ናምአይ እስ አስ ግዶሶና።
0102190078	አዳመይነ ሄዋና ናምአይካ ፅረ ካሎ ደኦሶና፤ ሽን እሶይ እሱዋስ ዬላቶኮና።
0103010102	ሾሽ ጎዳ ፆሳይ መꬍዳ ዶአ ኡባፈ አꬍዳ ገናንቾ። እስ ጋላስ ሾሽ ማጫስዉ፥ “ፆሳይ ቱማ ህንተና፥ ‘ጋናትያን ደእያ ምꬃ አይፈ ኡባፈ ሞፕተ’ ግዴ?” ያግድ ኦይችስ።
01030200a0	ማጫስያ ሾሻኮ፥ “አካይ፥ ፆሳይ ሄሳዳ ግቤና፤ ኑኒ ጋናተ ግዶን ደእያ ምꬃታ አይፈ ማናዉ ዳንዳኦስ።
01030300a4	ሽን ፆሳይ ኑና፥ ‘ጋናተ ግዶን ደእያ ምꬃ አይፈ ሞፕተ፥ ቦቾፍተ፤ እፅኮ ህንተ ሀይቃና’ ግስ” ያጋሱ።
0103040046	ሾሻይ ማጫስዉ፥ “ህንተ አይኮካ ሀይቀከታ።
01030500b7	ፆሳይ ሄሳ ግዳይ፥ ሄ ምꬃ አይፍያ ህንተ ሚኮ አኬካ ደምድ ሎኦነ ኢታ ፆሳዳ ህንተ ኤራናይሳ እ ኤርያ ግሾሳ” ያግስ።
0103060106	ማጫስያ ምꬃ አይፈይ ማናዉ ማልኤይሳ፥ በአናዉ ሎኤይሳነ፥ ጭንጫተꬅ ደማናዉ አሞያባ ግደይሳ በአሱ። ሄ ምꬃ አይፍያፐ ኤካዳ ማሱ። ቃስ ባ አዝናስካ እምን እካ ምስ።
01030700c8	ኤንቲ ም ስሚድ፥ ናምአይካ አኬካ ደምዶሶና። ኤንቲ ፅረ ካሎ ደኤይሳ ኤርዶሶና። ሄሳ ግሾ ባላሰ ምꬃ ሀይꬅ ስክድ ዳንጭዶሶና።
01030800e3	ሳእ ኦማርስዳ ዎደ ጋናተ ግዶን ጎዳ ፆሳይ ሄመትሽን እያ ግርሳ አዳመይነ እያ ማችያ ስእዶሶና። ኤንቲ ጋናተ ምꬃ ግዶን ጎዳ ፆሳፈ ቆሰትዶሶና።
0103090063	ሽን ጎዳ ፆሳይ አዳመ ፄግድ፥ “አዳመ፥ አዉን ደአይ?” ያግስ።
01030a0084	አዳመይ፥ “ጋናተ ግዶን ነ ግርሳ ስአዳ ታኒ ካሎ ደእያ ግሾ ያያዳ ቆሰታስ” ያግስ።
01030b00a5	ጎዳ ፆሳይ፥ “ኔኒ ካሎ ደኤይሳ ነዉ ኦድዳይ ኦኔ? ታኒ ነና ሞፓ ግዳ ምꬃ አይፈፐ ማድዬ?” ያግድ ኦይችስ።
01030c0088	አዳመይ፥ “ታራ ዳና መላ ኔኒ እምዳ ማጫስያ ሄ ምꬃ አይፍያፐ ታዉ እምን ማስ” ያግስ።
01030d00ab	ጎዳ ፆሳይ፥ ማጫስዉ፥ “ኔኒ ሄሳ አይስ ኦꬃዲ?” ያግድ ኦይችስ። ማጫስያ፥ “ታና ሾሻይ ጭምን ማስ” ያጋሱ።
01030e00e6	ጎዳ ፆሳይ ሾሻ፥ “ኔኒ ሀይሳ ኦꬅዳ ግሾ፥ መሄፐነ ዶአ ኡባፈ አꬋዳ ባደትዳባ ግዳ። ኔኒ ነ ኡሎን ቢታራ ጎሸታና፤ ነ ደኦ ላይꬃ ኡባን ባና ላጫና።
01030f00cf	ታኒ፥ ነ ግዶንነ ማጫሰ ግዶን፥ ነ ሼሻ ግዶንነ እ ሼሻ ግዶን ሞርከተꬅ ዎꬃና። እ ነ ሁጵያ ቆፃና፥ ነካ እያ ግንድያ ዱካና” ያግስ።
01031000f7	ማጫስዉ ጎዳ ፆሳይ፥ “ነ ቃንꬃትዳ አጌናን ዳሮ ኡንኤታና። ኔኒ ዎልቃማ ዋየን ናአ የላና። ግዶሽን፥ ኔኒ ነ አዝናራ ዳናዉ አሞታና፤ እ ነና ሃራና” ያግስ።
0103110128	ጎዳ ፆሳይ አዳመኮ፥ “ኔኒ ነ ማቸ ኦዳ ስእዳ ግሾነ ታኒ ነና ሞፓ ግዳ ምꬃ አይፍያፐ ኔኒ ምዳ ግሾ፥ ቢታይ ነ ጋሶን ባደትዳይሳ ግዶ። ኔኒ ነ ደኦ ላይꬃ ኡባን ግታ ዳቡርሳን ቢታ ኦꬃዳ ማና።
010312006c	ቢታይ ነዉ አጉንꬅነ ሀርመ ዶልሳና፤ ኔኒ ቢታፈ ዶልድ ካፅያባ ማና።
01031300b0	ኔኒ ነ መ ትዳ ቢታ ስማና ጋካናዉ ዳቡራን ጫዋታዳ ኦꬅዳ ነ ካꬅ ማና። ኔኒ ቢታፈ መ ትዳ ግሾ ቢታ ስማና” ያግስ።
0103140078	አዳመይ ባ ማችዉ ደኦይ ደእያ አሳ ኡባስ አዮ ግድያ ግሾ ሄዋኖ ግድ ሱንꬅስ።
0103150052	ጎዳ ፆሳይ አዳመነ እያ ማችዉ እተ ጊግስድ ማይዝስ።
010316011d	ጎዳ ፆሳይ፥ “ህዛ አስ ሎኦነ ኢታ ኤሮን ኑፐ እሱዋዳ ግድስ። ኤንቲ ባንታ ኩሽያ የድድ፥ ደኦ እምያ ምꬃ አይፍያፐ ኤክድ ሞና መላነ መርናዉ ደኦን ዶና መላ ተቀታናዉ ኮሼስ” ያግስ።
0103170086	ሄሳ ግሾ፥ ኤንቲ ባንታ መ ትዳ ቢታ ኦꬃና መላ ጎዳ ፆሳይ ኤደነ ጋናተፐ ኤንታ ከስስ።
01031800e9	ያትድ፥ ደኦ እምያ ምꬃኮ ኤፍያ ኦግያ ናጋና መላ ክሩቤላ ጌተትያ ደኦ መ ተꬃታነ ሽረት ሽረት ዎꬍያ ታማ ላጮ ማሸ ኤደነ ጋናተፐ ዶሎሀ ባጋራ ዎꬅስ።
01040100c4	አዳመይ ባ ማቸ ሄዋንራ አቅስ። እያ ቃንꬃታዳ አደ ናአ የላሱ። “ጎዳይ ታና ማድን አደ ናአ ደማስ” ጋዳ ቃየላ ጋዳ ሱንꬃሱ።
0104020067	እያ እሻ አበላ የላሱ። አበል ዶርሰ ሄሜስ ቃስ ቃየል ቢታ ኦꬄስ።
0104030070	ኡንደና ዎደፐ ጉየ፥ ቃየል ባ ጋደን ካፅዳ ካꬃፈ ጎዳስ ያርሾ ያርሽስ።
01040400c3	ሽን አበል ባ ዶርሳ ዉድያ ግዶን ባይራ የለትዳይሳ ሹክድ እያ አሹዋፐ ሞꬎ ባጋ ያርሽስ። ጎዳይ አበላነ እያ ያርሹዋ ኤክስ።
010405008a	ሽን ቃየላነ እያ ያርሹዋ ኤክቤና። ሄሳ ግሾ፥ ቃየል ዳሮ ይሎትስ፤ እያ ሶምኦይ ꬉምስ።
010406005a	ጎዳይ ቃየላኮ፥ “አይስ ይሎታይ? ነ ሶምኦይ አይስ ꬉምዴ?
010407010f	ኔኒ ሎኦ ኦꬅዳባ ግድያኮ፥ ነ ሶምኦይ ፓሽካ ግደኔ? ሽን ኔኒ ሎኦ ኦꬆና እፅኮ፥ ናጋር ዶአዳ ነ ፐንገን ናጌስ። እ ነና ሃራናዉ ኮዬስ፥ ሽን ኔኒ እያ ፆናናዉ በሴስ” ያግስ።
01040800d8	ሄሳፈ ጉየ፥ ቃየል ባ እሻ አበላኮ፥ “አነ ደምባ በሲ ቦስ” ያግስ። ኤንቲ ደምባን ደእሽን፥ ቃየል ባ እሻ አበላ ቦላ ደንድድ እያ ዎꬍስ።
01040900b7	ጎዳይ ቃየላ፥ “ነ እሻይ አበል አዉኔ?” ያግድ ኦይችስ። ቃየል ዛሪድ፥ “ታኒ ኤርከ፤ ታ እሻ ናገይ ታነዬ?” ያግስ።
01040a0089	ጎዳይ ቃየላ፥ “ሀይሳ አይስ ኦꬃዲ? ሄኮ፥ ነ እሻ ሱꬃይ ቢታፈ ታኮ ፅሎ ፕርዳስ ዋሴስ።
01040b009b	ኔኒ ባደትዳባ ግድያ ግሾ ቢታ ዛራዳ ኦꬃናዉ ዳንዳአካ። ነ እሻ ዎꬋዳሳ እያ ሱꬃካ ቢታን ጉሳዳሳ።
01040c0087	ኔኒ ኦꬅንካ ቢታይ ነዉ አይፈና፤ በተ አሳዳ ኔኒ ሳአ ቦላ ቶይላታዳ ዳቡራና” ያግስ።
01040d005d	ቃየል ጎዳኮ፥ “ነ ታ ቦላ ፕርድዳ ፕርዳይ ታ ዎልቃፈ ቦላ።
01040e00ba	ኔኒ ታና ሀች ቢታፈ የደꬃሳ፤ ነ ስንꬃፈካ ሃሳሳ። በተ አሳዳ ታኒ ሳአ ቦላ ዳቡራና፤ ታና ደምያ ኦንካ ዎꬋና” ያግስ።
01040f00eb	ጎዳይ እያ፥ “ነና ኦንካ ዎ ና፤ ዎꬍኮ፥ ታኒ ላፑን ቶሆ ሀሎ ከያና” ያግስ። ሄሳ ግሾ፥ እያ ደምያ ኦንካ ዎꬎና መላ ጎዳይ እያ ቦላ ናግሶ ማላ ዎꬅስ።
010410007d	ቃየል ጎዳ ስንꬃፈ ከይድ፥ ኤደነ ባጋፈ ዶሎሀ ባጋን ደእያ ኖዳ፥ ቢታን ደእስ።
01041100cb	ቃየል ባ ማቸራ አቅስ፤ እያ ቃንꬃታዳ ሄኖከ የላሱ። ሄ ዎደ ቃየል ካታማ ኬፅድ፥ ሄ ካታማ ባ ናኣ ሱንꬃን “ሄኖከ” ግድ ሱንꬅስ።
0104120092	ሄኖከይ ጋይዳ የልስ። ጋይድ ማኤላ የልስ። ማኤል ማቱሳኤላ የልስ። ማቱሳኤል ላመሀ የልስ።
0104130045	ላመህ አዶነ ሲሎ ጌተትያ ናምኡ ማቾ ኤክስ።
0104140069	አዳ ያባላ የላሱ። ያባል መሄ ሃርያነ ዱንካነን ደእያ አሳታ አዋ።
0104150084	እያ እሻ ሱንꬃይ ዩባላ። ዩባል ቃስ ዲꬅ ዲፀይሳታነ ሱሱልኤ ፑንያ አሳታ ኡባ አዋ።
01041600d4	ሲላ ቃስ ቱባልቃይና ጌተትያ ናኣ የላሱ። ቱባልቃይን ናሰ ብራታፐነ ብራታፐ ዱማ ዱማ ሚሸታ ቆፀይሳታ አዋ። ቱባልቃይና ምችያ ናእሞ።
01041700e8	እስ ጋላስ ላመህ ባ ማቸታ፥ “አደ፥ ሲለ፥ ስእተ፤ ታ ማቸቶ፥ ታኒ ኦድያባ ሀይዝተ። እስ ፓንꬃ አደይ ታና ደችድ ማዱንፅስዳ ግሾ፥ ታኒ እያ ዎꬋስ።
010418009e	ቃየላ ሃሉዋ ከያናው ላፑን ኩሸ ኮሽኮ፥ ላመሀ ሃሉዋ ከያናው ላፑን ታማነ ላፑን ኩሸ ኮሼስ” ያግስ።
01041900c2	አዳመ ማችያ ሀራ አደ ናኣ የላሱ። ያታዳ፥ “ቃየል ዎꬍዳ አበላ ግሾ ፆሳይ ታዉ ሀራ ናአ እሚስ” ጋዳ እያ ሴታ ጋዳ ሱንꬃሱ።
01041a0096	ሴት አደ ናአ የልድ እያ “ሄኖሳ” ግድ ሱንꬅስ። አሳይ ጎዳ ሱንꬃ ፄግድ ጎይኖ ዶምዳይ ሄ ዎደ።
010501008c	አዳመ የለተꬃይ ሀይሳፈ ካልድ ፃፈትዳይሳ። ፆሳይ አሰ መꬍዳ ጋላስ ባና ዳንስድ መꬍስ።
0105020080	እ አደነ ማጫስ ኦꬅ መꬍድ ኤንታ አንጅስ። ኤንታ መꬍድ አሰ (አዳመ) ግድ ሱንꬅስ።
010503007b	አዳመይ 130 ላይꬅ ደእድ፥ ባና ዳንያ አደ ናአ የልድ እያ “ሴታ” ግድ ሱንꬅስ።
010504007b	አዳመይ ሴታ የልዳፐ ጉየ 800 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
0105050034	አዳመይ 930 ላይꬅ ደእድ ሀይቅስ።
0105060035	ሴት 105 ላይꬅ ደእድ ሄኖሳ የልስ።
010507007b	ሴት ሄኖሳ የልዳፐ ጉየ፥ 807 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
010508002e	ሴት 912 ላይꬅ ደእድ ሀይቅስ።
010509003d	ሄኖስ 90 ላይꬅ ደእድ፥ ቃይናና የልስ።
01050a0081	ሄኖስ ቃይናና የልዳፐ ጉየ፥ 815 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
01050b0031	ሄኖስ 905 ላይꬅ ደእድ ሀይቅስ።
01050c0043	ቃይናን 70 ላይꬅ ደእድ፥ ማላልኤላ የልስ።
01050d0087	ቃይናን ማላልኤላ የልዳፐ ጉየ፥ 840 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
01050e0034	ቃይናን 910 ላይꬅ ደእድ ሀይቅስ።
01050f0040	ማላልኤል 65 ላይꬅ ደእድ፥ ያረዳ የልስ።
0105100084	ማላልኤል ያረዳ የልዳፐ ጉየ፥ 830 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
0105110037	ማላልኤል 895 ላይꬅ ደእድ ሀይቅስ።
010512003b	ያረድ 162 ላይꬅ ደእድ፥ ሄኖከ የልስ።
010513007e	ያረድ ሄኖከ የልዳፐ ጉየ፥ 800 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
0105140031	ያረድ 962 ላይꬅ ደእድ ሀይቅስ።
0105150040	ሄኖከይ 65 ላይꬅ ደእድ፥ ማቱሳላ የልስ።
01051600a2	ማቱሳላ የልዳፐ ጉየ፥ ሄኖከይ 300 ላይꬅ ፆሰ ኡፋይስያ ደኦ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
0105170027	ሄኖከይ 365 ላይꬅ ደእስ።
0105180042	ፆሲ እያ ባኮ ኤክዳ ግሾ ስሚድ በንትቤና።
010519003e	ማቱሳል 187 ላይꬅ ደእድ፥ ላመሀ የልስ።
01051a0081	ማቱሳል ላመሀ የልዳፐ ጉየ፥ 782 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
01051b0034	ማቱሳል 969 ላይꬅ ደእድ ሀይቅስ።
01051c003f	ላመህ 182 ላይꬅ ደእድ፥ አደ ናአ የልስ።
01051d00a4	ያትድ፥ “ሀ ናአይ ጎዳይ ባድዳ ቢታ ቦላ ሀ ዳቡራ ኦሶ ኡባፈ ኑና ሸምፕሳና” ግድ እያ ኖሄ ግድ ሱንꬅስ።
01051e007b	ላመህ ኖሄ የልዳፐ ጉየ፥ 595 ላይꬅ ደእስ። ሀራ አደ ናይታነ ማጫ ናይታ የልስ።
01051f0031	ላመህ 777 ላይꬅ ደእድ ሀይቅስ።
010520006b	ኖሄይ 500 ላይꬅ ደእ ስሚድ ሄꬑ አደ ናይታ ሴማ፥ ካማነ ያፈታ የልስ።
010601005c	አሳይ ሳአ ቦላ ዳርዳ ዎደ ኤንታዉ ማጫ ናይት የለትዶሶና።
01060200ab	“ፆሳ ናይታ” ጌተትያ መ ተꬃት ሄ ማጫ ናይት ማላ ሎኦ ግደይሳ በእድ ኤንታፈ ባንታዉ ዶርዳይሳታ ማችዶሶና።
01060300da	ጎዳይ፥ “አሳስ ደኦ እምያ ታ አያናይ አሳን መርናዉ ዴና። አስ ሀይቀይሳ ግድያ ግሾ፥ ህዛፐ እያ ላይꬃይ እስ ፄታነ ላታማ ግዳና” ያግስ።
01060400fa	ሄ ዎደነ ሄሳፈ ጉየ፥ ፆሳ ናይት አሳ ማጫ ናይታ ኤክን፥ ናይት የለትዳ ዎደ፥ ዎጋ አዱሳ አሳት ሳአ ቦላ ደእዶሶና። ኤንቲ በን ዎደ ኦላስ ምኖነ ኤረትዳ አሳታ።
01060500a9	ጎዳይ ሄ ዎደ ሳአ ቦላ ደእያ አሳ ኢታተꬅ ዳርዳይሳነ ኤንታ ዎዛናይ ኡባ ዎደ ቆፕያባይ ኢታ ፃላላ ግድዳይሳ
0106060070	በእድ፥ አሰ ሀ ሳአ ቦላ መꬍዳይሳን አዛንስ፤ ባ ዎዛናን ዳሮ ቂሮትስ።
01060700f2	ታኒ አሰ አይስ መꬋድና ጋዳ ቂሮታስ። ሄሳ ግሾ፥ ጎዳይ፥ “ታኒ መꬍዳ አሰ፥ መሄ፥ ዶአ፥ ሳአራ ጎሸትያ መ ተꬃታነ ሳሎ ካፎታ ሳአ ቦላፈ ꬋይሳና” ያግስ።
0106080038	ሽን ኖሄይ ጎዳ ስንꬃን ሳባ ደምስ።
