2800000005	Matei
28010f005d	a Eliudi gubhankwete Eliashali, a Eliashali gubhankwete Matani, a Matani gubhankwete Yakobho,
280110006b	a Yakobho gubhaakwete a Yoshepu bhaaliji ambujebhabho a Malia, anyinabhabho a Yeshu bhaashemwa a Kilishitu.
2801110133	Bhai puyaliji ibheleko likumi limo na nsheshe kutandubhila a Bhulaimu mpaka a Daudi na ibheleko likumi limo na nsheshe kutandubhila a Daudi mpaka pubhapelekwenje ku utumwa ku Bhabhuloni, na ibheleko likumi limo na nsheshe kutandubhila pubhapelekwenje ku utumwa ku Bhabhuloni mpaka pubhabhelekwe a Kilishitu.
28011200cd	Kubhelekwa kwa a Yeshu Kilishitu pukwaliji nnei, a Malia anyinabhabho a Yeshu, bhali muntemela na a Yoshepu, bhakanabhe gwabhala gubhaabhweni a Malia bhali na shitumbo kwa komboywa naka Mbumu jwa Ukonjelo.
280113007c	Pabha a Yoshepu bhashinkubha bhanguja bhakapinjileje kutokomaya ntemela gwabho, kwa nneyo gubhapinjile kwaaleka kwa nng'iyo.
28011400ef	Bhali nkuganishiya genego, nnugono malaika jwa Bhakulungwa gwabhakoposhele nng'agamii alinkuti, “A Yoshepu bha ulongo gwa a Daudi, nnajogope kwaatola a Malia bhabhe akongobhenu, pabha Mbumu jwa Ukonjelo ni abhatendile bhabhe na shitumbo.
2801150079	Shibhakole mwana jwannume, shimunsheme lina lyakwe Yeshu, pabha jwenejo apinga tapula bhandu bhakwe na yambi yabhonji.”
2801160063	Genego gashinkukoposhela nkupinga limalile lilobhe libhalugwile Bhakulungwa kuka nkulondola jwabho,
280117008f	“Nng'ishana shakole shitumbo, shankole mwana jwannume, shibhanshemanje lina lyakwe Manueli,” malombolelo gakwe, “A Nnungu pamo na uwe”.
2801180084	Kwa nneyo, a Yoshepu bhakajumusheje gubhatendile malinga shibhalugulilwe naka malaika jula, gubhaatolile a Malia kubha akongobhabho.
2801190074	Bhakaamanyiji akongobhabho a Malia mpaka bhakankoleje mwana jwannume. Na a Yoshepu gubhanshemile lina lyakwe, Yeshu.
28020100ce	A Yeshu kubhabhelekwele ku Bheteleemu, nkowa gwa ku Yudea, mobha ga a Elode pubhaliji a mpalume, a Yeshu bhakabhelekweje, bhakwiimanyanga ndondwa gubhaikengenenje ku Yelushalemu kopoka kulikoposhela lyubha,
28020200bb	gubhabhushiyenje, “Kwali kwei mwana abhelekwe, mpalume jwa Bhayaudi? Twashinkulubhona lutondwa lwakwe lulikoposhela, putwaliji kulikoposhela lyubha na uwe tushikwiya kuntindibhalila.”
280203005a	A Mpalume Elode bhakapilikaneje genego, gubhatengwishe na bhandu bhowe bha ku Yelushalemu.
2802040088	Bhai, gubhaashemilenje bhakulungwanji bhaabhishila bhowe na bhaajiganya bha Shalia, gubhaabhushiyenje, “Kilishitu shabhelekwe kwei?”
2802050074	Gubhaajangwilenje, “Ku Bheteleemu nkowa gwa ku Yudea malinga shiishite jandikwa naka nkulondola jwa a Nnungu kuti,
28020600c3	‘Ugwe Bheteleemu uli munkowa gwa ku Yudea, Ugwe nngabha jwanshoko muilambo imanyika ya ku Yudea, Pabha kunngwako apinga koposhela kalongolele, shaabhalongolelanje bhandu bhangu Ishilaeli.’”
280207007f	Penepo, a Elode gubhaashemilenje kuntemela bhakwimanyanga ndondwa bhala, gubhaabhushiyenje shakani pulwankoposhelenje lutondwa.
28020800ba	Kungai gubhaatumilenje ku Bheteleemu bhalinkuti, “Nnjendangane nkabhushishiyanje ukoto ngani jika jwene mwanajo. Mummonangaga kunnugulilanje nkupinga na nne nyende ngantindibhalile.”
28020900d8	Bhakapilikananjeje malobhe ga a mpalume bhakwimanyanga ndondwa bhala gubhajabhwilenje, bhai lutondwa lubhalubhweninji bhalinginji kulikoposhela lyubha lula gulwaalongolelenje, gulupite jima panani paaliji mwana pala.
28020a0031	Bhakalubhonanjeje lutondwa gubhainonyelenje kaje.
28020b00d1	Bhai, gubhajinjilenje nnyumba, gubhammweninji mwana jula na akwabhe a Malia, gubhatemingene ulungolungo kuntindibhalila. Kungai gubhagopwelenje ibhajigelenje, gubhampelenje upo, shaabhu na lubhani na manemane.
28020c0079	A Nnungu bhakwaaleyangaga nng'agamii, bhanaabhujilanje kabhili a Elode, gubhapitilenje mpanda guna kubhuja kunngwabhonji.
28020d011b	Bhajeninji bhala bhakajabhulanjeje, malaika jwa Bhakulungwa gwabhakoposhele a Yoshepu nng'agamii, gwabhalugulile, “A Elode bhapinga kunnoleya mwanajo bhammulaje, bhai nnjumushe! Muntole mwanajo na akwabhe mmutushilanje ku Mishili, nkatamangane mpaka pushininnugulilanje kabhili.”
28020e0076	A Yoshepu bhakajumusheje gubhantolile mwana jula na akwabhe, gubhajabhwilenje nashilo nashilo kubhutushila ku Mishili.
28020f00c4	Gubhatemi kweneko mpaka pubhaawile a Elode. Genega gashinkukoposhela nkupinga gamalile galugwilwe na Bhakulungwa kwa ntenga guka nkulondola jwabho, “Nashinkunshema mwanangu kopoka ku Mishili.”
280210016b	A Elode bhakamumanyeje kuti bhashitembwa na bhakwimanyanga ndondwa bhala, guyaashimile kaje. Gubhaamulishe bhabhulagwanje bhana bha shileu bhowe pa shilambo sha Bheteleemu na ilambo ya nnyenje jakwe bha yaka ibhili na pai jakwe. Bhashinkutenda nneyo kwa tolelela pubhalugulilwe na bhaashomanga ndondwa bhala malanga gubhalubhweninji lutondwa kulikoposhela lyubha.
2802110057	Nneyo gakumalilaga malobhe galugwilwe na ankulondola bha a Nnungu a Yelemia bhalinkuti,
28021200a9	“Lilobhe lishipilikanika ku Lama, ililo na nguto yaigwinji. A Laeli bhanakwagutilanga ashibhana bhabho, numbe bhangapinga tagwa ntima, pabha bhana bhowe bhawilenje.”
2802130060	Bhakaweje a Elode, malaika jwa Bhakulungwa gwabhakoposhele a Yoshepu nng'agamii ku Mishili kula,
2802140099	gwabhalugulile, “Nnjumushe! Muntole mwana na akwabhe, mmujangane ku shilambo sha Ishilaeli, pabha bhapingangaga kummulaga mwanajo bhala, bhawilenje.”
280215006e	Bhai, a Yoshepu bhakajumusheje, gubhantolile mwana jula na akwabhe, gubhabhujengene ku shilambo sha Ishilaeli.
28021600c6	Ikabheje a Yoshepu bhakapilikaneje kuti a Lekelao, bhana bhabho a Elode, bhashibha a mpalume bha ku Yudea gubhajogwepe kubhuja. Bhalabho bhakalugulilweje nng'agamii, gubhapite nkowa gwa ku Galilaya,
2802170090	nikwenda tama ku shijiji sha ku Nashaleti. Nkupinga gamalile malobhe galugwilwe na ashinkulondola bha a Nnungu, “Shibhashemwe Bhanashaleti.”
2803010053	Gene mobhago gubhakoposhele a Yowana bhaabhatisha, bhalilunguya kuanga ja ku Yudea,
2803020047	bhalinkuti, “Mwiipetanje, pabha Upalume gwa Kunnungu ubhandishile.”
28030300c8	Bhenebha a Yowana bhalugwilwe na ankulondola bha a Nnungu a Ishaya bhalinkuti, “Lilobhe lika mundu linapilikanika kuanga, ‘Mwaalashiyanje Bhakulungwa mpanda gwabho, Nngoloyanje mushibhapite.’”
280304008b	A Yowana shibhawalaga shiwalo sha mabhetya ga ngamia, na nshipi gwa lipende nshigunu. Shalya shabho pushaaliji maije na bhushi gwa mukonde.
2803050085	Bhai, bhandunji kukoposhela ku Yelushalemu na nkowa gowe gwa ku Yudea na ilambo yowe ya nnyenje lushi lwa Yolodani, gubhaajendelenje.
280306005a	Bhakaipetanjeje yambi yabhonji na bhalabho gubhaabhatishenje mmashi ga lushi lwa Yolodani.
28030700e8	Ikabheje a Yowana bhakaabhonanjeje Mapalishayo na Mashadukayo bhabhagwinji bhalikwaajiilanga nkupinga bhabhatishwanje, gubhaalugulilenje, “Mmanganya bhana bha lijoka! Gani ammalanjilenje nnjibhutukanje nnjimwa ja a Nnungu jikwiya?
2803080030	Bhai nnanguyanje kwa itendi, kuti mwiipetilenje.
28030900b0	Nnaganishiyanje mmitima jenunji kuti, ‘Uwe, ulongo gwa a Bhulaimu!’ Ngunakummalanjilanga kuti, a Nnungu bhanakombola kugayuya aga magangaga gabhe bha ulongo bha a Bhulaimu.
28030a007c	Na libhago libhishilwe tayali mmatepo ga mikongo, bhai kila nkongo ukaogoya iepo ya mmbone upinga shelwa nileshelwa pa moto.
28030b00ed	Nne ngunakummatishanga kwa mashi kulangula kuti mwiipetilenje. Ikabheje bhene bhakwiya nnyuma jangubho bhashikola mashili kumbunda nne, numbe ngaatopela nkali jigala ilatu yabho. Bhenebho shibhammatishanje kwa Mbumu jwa Ukonjelo na moto.
28030c0082	Bhenebho bhashikamula shipeta mmakono gabho nkupinga bhapete, ngano bhabhishe munngokwe na maashe bhajoshe pa moto gwangaimika.”
28030d007b	Gene mobhago a Yeshu gubhaishe ku lushi lwa Yolodani kukoposhela ku Galilaya, gubhaajendele a Yowana nkupinga bhabhatishwe.
28030e007c	Ikabheje a Yowana gubhalinjile kwaibhilila bhalinkuti, “Nne namwene ngunapinga bhatishwa na mmwe, pakuti nnanyiila nne?”
28030f0098	Ikabheje a Yeshu gubhaajangwile, “Nnaino mmwe nneshepe ibhe nneyo, pabha inapinjikwa tutende yowe ibhaapinga a Nnungu.” Bhai, a Yowana gubhakundile.
280310009e	A Yeshu bhakabhatishweje gubhakopweshe mmashi, shangupe ku nnungu kukuugukaga, gubhammweni Mbumu jwa a Nnungu alituluka mbuti nnjubha nikwaatula panani jabho.
2803110059	Lilobhe gulipilikanishe koposhela kunnungu, “Jweneju mwanangu jungumpinga annonyela.”
2804010062	Kungai Mbumu jwa Ukonjelo gwabhalongweye a Yeshu mpaka kuanga nkupinga bhakalingwe naka Lishetani.
280402004c	Gubhatabhile mobha makumi nsheshe shilo na mui, kungai gubhakwete shibhanga.
2804030082	Bhai, Lishetani gwabhaishile kukwaalinga, alinkuti, “Monaga mmwe nni Mwana jwa a Nnungu, nngaamulishe magangaga gabhe mikate.”
280404007c	A Yeshu gubhajangwile, “Ishijandikwa, ‘Mundu akaalamila nkatepe, ikabhe kwa kila lilobhe libhaabheleketa a Nnungu.’”
280405006a	Lishetani gwabhalongweye kwenda ku Yelushalemu, Shilambo sha Ukonjelo, gwabhakweshiye kunani kaje liekalu,
28040600e7	gwabhalugulile, “Monaga nni Mwana jwa a Nnungu, mwileshele pai, pabha ishijandikwa. ‘A Nnungu shibhaamulishe malaika bhabho kukunjangutila, shibhannjigalanje mmakono gabhonji nkupinga nnaiulaye lukongono lwenu pa liganga.’”
2804070063	A Yeshu gubhannugulile, “Nneilapeila ishijandikwa, ‘Nnaalinje Bhakulungwa a Nnungu bhenu.’”
2804080097	Kungai Lishetani gwabhalongweye kabhili kunani shitumbi shashileu, gwabhalangwiye upalume gwa kila shilambo pa shilambolyo na indu yakwe yowe ya konja,
2804090053	akwaalugulilaga, “Nng'wilaga ulungolungo nindindibhalila, shinimpe indu yowei.”
28040a009b	Penepo, a Yeshu gubhannugulile, “Shoka apano Lishetani! Ishijandikwa, ‘Mwaatindibhalile na kwaakamulila maengo Bhakulungwa a Nnungu bhenu jikape.’”
28040b0053	Bhai, Lishetani gwabhaleshile a Yeshu na ashimalaika gubhaikengene kukwaatumishila.
28040c005a	Bhai a Yeshu bhakapilikaneje kuti a Yowana bhashitabhwa nnigelesha, gubhapite ku Galilaya.
28040d00c2	Gubhajabhwile ku Nashaleti shijiji shaaliji ku Galilaya, gubhapite tama ku Kapalanaumu, shilambo shaaliji nnyenje litanda lya Galilaya, mumpika gwa ilambo ya makabhila ga Shabhuloni na Naputali.
28040e0054	Bhai gulimalile lilobhe lyalugwilwe na a Ishaya ankulondola bha a Nnungu bhalinkuti,
28040f0090	“Ilambo ya makabhila ga Shabhuloni na Naputali, kuloya kubhaali kung'ambu lushi lwa Yolodani, ku Galilaya ilambo ya bhandu bhangabha Bhayaudi,
280410009d	bhandu bhatemingene nnubhindu bhashikushibhonanga shilangaya shikulungwa, bhatemingene nnubhindu na shiwili sha shiwo, shilangaya shishikwaalangashiyanga!”
2804110085	Kuumila penepo a Yeshu gubhatandwibhe kulunguya bhalinkuti, “Mwiipetanje yambi yenunji, pabha Upalume gwa Kunnungu ubhandishile!”
28041200af	A Yeshu bhalipita nnyenje litanda lya Galilaya, gubhaabhweninji bhandu bhabhili, a Shimoni guna bhashemwaga a Petili na apwabho a Ndeleya, bhalitejelanga lyau nkutanda yamaki.
2804130081	Bhai, gubhaalugulinje, “Nngagulanje, shininnjiganyanje kwaajiyanabhonji bhandunji kwangu nne, malinga shinkutandanga yamaki.”
2804140038	Shangupe gubhaleshilenje mau gabhonji, gubhaakagwilenje.
28041500e7	Bhakajendeje mmujo kashoko, gubhaabhweninji bhananji bhabhili a Yakobho na apwabho a Yowana, bhana bha a Shebhedayo. Pubhalinginji muntumbwi na ainabhabhonji a Shebhedayo, bhalialayanga mau gabhonji. Bhai, a Yeshu gubhaashemilenje,
280416004d	shangupe gubhaguleshilenje ntumbwi gula na ainabhabhonji, nigubhaakagwilenje.
28041700b2	A Yeshu bhatendaga owela mmbali yowe ya ku Galilaya na jiganya mmashinagogi na kwaalugushiyanga Ngani ja Mmbone ja Upalume gwa a Nnungu. Na lamya kila ilwele ibhakwetenje bhandu.
28041800d2	Yowe ibhatendile ila guishumile nkowa gowe gwa ku Shilia. Bhalwelenji bha kila namuna na bhakwetenje maoka na bhalwelenji shialala na bhandunji bhapolokanga, gubhaapeleshelenje nabhalabho gubhaalamiyenje bhowe.
2804190096	Bhandunji bhabhagwinji gubhaakagwilenje koposhela mmbali ja ku Galilaya na ku Dekapoli na ku Yelushalemu na ku Yudea na ku ng'ambu lushi lwa Yolodani.
280501007a	A Yeshu bhakaabhonanjeje bhandunji bhabhagwinji, gubhakwelile pa shitumbi gubhatemi. Bhaajiganywa bhabho gubhaajendelenje,
2805020034	nabhalabho gubhatandwibhe kwaajiganyanga bhalinkuti.
2805030049	Mbaya bhaalaganga mmitima jabhonji, pabha Upalume gwa Kunnungu gwabhonji.
280504002d	Mbaya bhainjikenje, pabha shibhaangalaywanje.
2805050035	Mbaya bhaitimalikenje, pabha shibhapegwanje shilambo.
2805060054	Mbaya bhakwetenje lilaka na lokolila tenda ibhapinga a Nnungu, pabha shibhatendanje.
2805070040	Mbaya bhakwetenje shiya, pabha a Nnungu shibhaabhonelanje shiya.
2805080056	Mbaya bhakwetenje ng'aniyo ya mmbone mmitima jabhonji, pabha shibhaabhonanje a Nnungu.
2805090044	Mbaya bhaaloleyanga ulele, pabha shibhashemwanje bhana bha a Nnungu.
28050a0064	Mbaya bhaapotekwanga kwa ligongo lya tenda ibhapinga a Nnungu, pabha Upalume gwa Kunnungu gwabhonji.
28050b0086	“Mbaya mmanganyanji bhandunji bhantukanangaga na kumpotekanga na kunnambililanga kila indu yangali ya mmbone kwa ligongo lyangu nne.
28050c0097	Mwiinonyelanje na angalila pabha upo yenunji yaigwinji kunnungu. Ni nnepeyo shibhaapotekenje ashinkulondola bha a Nnungu bhukala, nkanabhe bhelekwanga.
28050d009c	“Mmanganyanji mbuti nnjete ja shilambolyo! Nnjete jikanonye jitagwe nndi jinonye kabhili? Jikapwaa kabhili, ikabhe kujawa palanga jilibhatwe na bhandunji.
28050e006e	“Mmanganyanji mbuti shilangaya sha shilambolyo! Mbuti shilangaya sha shilambo shili pa shitumbi shikaishika.
28050f007f	Wala bhandu bhakakoleyanga kandili niunishila lidebhe, ikabheje pabhika panani mesha jaamulishilanje bhowe bhalinginji nnyumba.
2805100090	Nneyo peyo shilangaya shenunji shilangaye pa bhandunji, nkupinga bhaibhonanje itendi yenunji ya mmbone, bhaakuyanje Ainabhenunji bhali kunnungu.
2805110096	“Nnaganishiyanje kuti njikwiya angabhanya Shalia ya a Musha na majiganyo ga ashinkulondola bha a Nnungu. Nangaika kuangabhanya, ikabhe kuumalishiya.
2805120090	Kweli ngunakummanjilanga, mpaka kunnungu na shilambolyo pushiipitepo, shakwa nkali shishoko sha shalia shipinga shoywa mpaka gowe pushigamalile.
280513011c	Bhai, jojowe akaakunda nkali amuli jimo jili jajishoko punda yowe, nikwaajiganyanga bhananji bhanakundanje, jwenejo shaabhe jwanshoko Muupalume gwa Kunnungu. Ikabheje jwene shaakunde shalia nikwaajiganyanga bhananji kukunda shalia, jwenejo shaabhe jwankulungwa Muupalume gwa Kunnungu.
2805140095	Kwa nneyo ngunakummalanjilanga, aki jenunji ibhaga jikapunde ja Ashimapalishayo na bhaajiganya bha Shalia, ngu, nkajinjilanga Muupalume gwa Kunnungu.
280515005f	“Mpilikenenje bhanyikala bhashinkulugulilwanga, ‘Nnabhulaje! Shabhulajejo shapate ukumu.’
28051600ce	Ikabheje nne ngunakummalanjilanga, jojowe akuntumbalila mpwakwe shaukumulwe, akunnyegaya mpwakwe shapelekwe ku lukumbi kuukumulwa. Na akunshema mpwakwe nngumba anapinjikwa kuleshelwa pa moto gwa ku Jeanamu.
2805170067	“Bhai, monaga nnipinga shoya mbepei yenu pa shitala, nikumbushila kuti mpwenu ashikola mpwai na mmwe,
2805180062	nneshe mbepei yenu pa shitala, nkatandubhe kulundana naka mpwenu, kungai mmuje nshoye mbepei yenu.
28051900c0	“Shangupe mpatane naka mmagongo nnjenu nninginji mumpanda nkanabhe ika ku bhaukumula. Nkupinga mmagongo nnjenujo anampeleshe kubhaukumula, na bhaukumula nikunkamuya ku bhalinda bhantabhanje.
28051a0048	Kweli ngunakummalanjila, nkakopoka mwenemo mpaka pushinnipe mmbiya yowe.
28051b004a	“Mpilikenenje kuti bhandunji bhashinkulugulilwanga, ‘Nnalabhelabhe!’
28051c006f	Ikabheje nne ngunakummalanjilanga, jojowe akunnola jwankongwe kwa kunnokolila, muntima gwakwe alebhelebhe najo.
28051d00bc	Bhai, monaga liyo lyenu lya kunnilo linnebhiyaga, nnikolotole nkajae kwaatalika. Mbaya shiobhe shibhalo shimo pa shiilu shenu, nngalingana shiilu shenu showe kujawa pa moto gwa ku Jeanamu.
28051e00ac	Monaga nkono nnilo gwenu unnebhiyaga, nngukate nkaujae kwaatalika. Mbaya shiobhe shibhalo shimo pa shiilu shenu, nngalingana shiilu showe kuleshelwa pa moto gwa ku Jeanamu.
28051f0047	“Numbe yalugwilwe, ‘Mundu akunneka nkagwe, annjandishile talaka.’
28052000bd	Ikabheje nne ngunakummalanjilanga, akumpa nkagwe talaka ikabhe kwa ligongo lya labhalabha, anakuntenda alabhelabhe, naka jwannume annombaga jwankongwe aleshilwe na ambujegwe, analabhalabha.
2805210091	“Kabhili mpilikenenje kuti bhanyikala bhashinkubhalanjilwanga, ‘Nnalumbile kwa unami, ikabhe nnaapinjikwa ntende imwaalumbile Bhakulungwa,’
2805220068	Ikabheje nne ngunakummalanjilanga, nnalumbilanje wala kunnungu, pabha shitengu sha Upalume gwa a Nnungu,
280523006f	wala shilambolyo, pabha palibhatila makongono gabho, wala ku Yelushalemu, pabha shilambo sha a Mpalume bhakulu.
2805240067	Wala nnalumbile kwa ntwe gwenu, pabha nkaakombola kulutenda luumbo lwenu lumo lubhe lwanawe eu lwanapi,
28052500a0	Mmeleketaga, ‘Elo,’ bhai ibhe ‘Elo,’ mmeleketaga, ‘Nngabha,’ bhai ibhe ‘Nngabha.’ Pabha shoshowe shiipunda penepo kushikoposhela kuka Lishetani.
2805260046	“Mpilikenenje kuti yabheleketwe, ‘Liyo kwa liyo, lino kwa lino.’
2805270091	Ikabheje nne ngunakummalanjilanga, nnampindikulile mundu akunshima. Mundu ankomaga lipapa litukwa lya kunnilo, muntendebhushiye na lya kunshinda.
2805280054	Mundu anng'ukumulaga nkupinga atole lishati lyenu, munneshele atole na likoti lyenu,
2805290057	Mundu anshishilishiaga munjigalile nshigo gwakwe maili jimo, munjigalile maili gabhili.
28052a0045	Akunnjuga shindu mumpe, na jwalakwe apinga kumpoleka nnantundumalile.
28052b005c	“Mpilikenenje yabheleketwe kuti, ‘Mwaapinje atami ajenu, na kwaashima amagongo ajenu.’
28052c0064	Ikabheje nne ngunakummalanjilanga, mwaapinje amagongo ajenu na mwaajujile kwa a Nnungu bhakumpoteka,
28052d00d4	nkupinga mmanganje bhana bha Ainabhenunji bha kunnungu. Pabha bhenebho bhanakwaalangashiyanga lyubha bhandu bhowe bha mmbone na bhangalinginji bha mmbone na bhananyeya ula ku bhakwetenje aki na bhangakolanga aki.
28052e007e	Kwa nndi a Nnungu bhampanganje upo mwaapingangaga bhandu bhakumpinganga? Pabha, nkali bhakamula koli pubhatendanga nneyo peyo!
28052f009e	Monaga mwaabhuyangaga abhali ashaalongo ajenunjipe, bhuli nkutendanga shindu shashi sha punda? Pabha nkali bhandu bhangabha Bhayaudi pubhatendanga nneyo peyo?
2805300045	Bhai, nkamilikanje malinga shibhakamilishe Ainabhenunji bha kunnungu.
2806010086	“Mwiteiganje nnatendanje indu ya mmbone pa bhandu nkupinga bhammonanje. Nngabha nneyo, Ainabhenunji bha kunnungu bhakampanganga upo.
28060200f2	“Bhai, punkunnjangutila jwangali shindu, nnagombe mmbila. Nnatende malinga shibhaatendanga bhagulumba mmashinagogi na mmipanda, nkupinga bhalumbililwanje na bhandunji. Kweli ngunakunnugulilanga, bhene bhanganyabho bhapatilenje upo yabhonji.
2806030064	Ikabheje punkunnjangutila mundu jwangali shindu, nkali mundu jwa tome na mmwe, anamumanye inkutenda.
2806040059	Nshoye mbepei yenu kwa nng'iyo, na Ainabhenu bhakwiibhona indu ya nng'iyo, shibhanng'upe.
28060500f8	“Punkwaajuganga a Nnungu, nnatendanje malinga bhagulumba. Pabha bhanganyabho, pubhajuganga bhanaapinganga kujima mmashinagogi na nnyenje mipanda nkupinga bhalolwanje na bhandunji. Kweli ngunakummalanjilanga, bhalabhonji bhapatilenje upo yabhonji.
28060600b1	Ikabheje mmwe punkwaajuga a Nnungu, nnjinjile kukati jenu, nng'ugale nnango, mwaajuje Ainabhenu bhakabhonekana. Na bhalabho Ainabhenu bhakwibhona indu ya nng'iyo, shibhanng'upe.
28060700b8	“Punkwaajuganga a Nnungu, nnajobhelanje malinga bhandunji bhangabha Bhayaudi. Pabha pubhaaganishiyanga kuti a Nnungu shibhaapilikanilanje kwa ligongo lya gwinji gwa malobhe gabhonji.
2806080069	Nnabhanganje malinga bhanganyabho. Pabha Ainabhenunji bhaimanyi inkupinganga, nkali nkanabhe kwaajuganga.
2806090040	Bhai, nnjuganje nnei, ‘Atati nni kunnungu, Lina lyenu likuywe.
28060a0061	Upalume gwenu guishe. Linkupinga mmwe litendeshe pa shilambolyo malinga shiikutendeka kunnunguko.
28060b0024	Ntupe lelo shalya sha togolela lelo.
28060c004e	Ntuleshelele itulebhile, malinga na uwe shitukwaaleshelelanga bhatulebhilenje.
28060d0081	Nnatubhishe mmalinjilo, ikabheje ntuembuye naka Lishetani jula. Pabha upalume ni gwenu na mashili na ukonjelo pitipiti. Amina.’
28060e007a	“Pabha Mwaaleshelelangaga bhandu ibhannebhilenje, nneyo peyo Ainabhenunji bha kunnungu shibhanneshelelanje innebhilenje.
28060f006d	Ikabheje nkaaleshelelanje bhandunji yambi yabhonji, na bhalabho Ainabhenunji bhakanneshelelanga innebhilenje.
28061000c7	“Punkutabhanga, nnaumalanje kumeyo malinga bhagulumba. Bhanaumalanga kumeyo nkupinga bhabhonekanje na bhandu kuti bhashitabhanga. Kweli ngunakummalanjilanga bhanganyabho, bhapatilenje upo yabhonji.
2806110040	Ikabheje mmwe punkutabha, nnabhe kumeyo na mpakale mauta muntwe.
280612009e	Nkupinga bhandunji bhanamumanyanje kuti nnatabha, ikabheje mmanyishepe na Ainabhenu bhakaabhoneka, nabhalabho Ainabhenu bhakwiibhona ya nng'iyo shibhanng'upe.
2806130070	“Nnaibhishilanje shibhiko pa shilambolyo pano, ipukuu na nkubha inaangabhanya na bhagwii bhanakaaanga nijibha.
2806140074	Ikabhe mwibhishilanje indu yenunji kunnungu kwikaangabhanika na ipukuu na nkubha, nkali bhagwii bhakakaanga nijibha.
280615003b	Pabha pushili shibhiko shenu, na ntima gwenu shugubhe popo.
280616005e	“Liyo mbuti kandili ja shiilu, bhai liyo libhaga lyalikoto, shililangaye shiilu shenu showe.
28061700a2	Ikabheje liyo libhaga lilwele shiilu shenu showe shishibhe nnubhindu. Bhai, ibhaga shilangaya shili nkati jenu shilepelaga kulangaya, shilubhe lubhindu lwa punda!
28061800ce	“Jwakwa ntumwa akombola kwaatumishilanga bhakulungwanji bhabhili, pabha shanshime jumo nikumpinga junajo, eu shalongane naka jumo nikumpetekuya junajo. Nkakombola kwaatumishila a Nnungu na tumishila mali.
28061900da	“Kwa nneyo ngunakummalanjilanga, nnakolanje lipamba ga gumi gwenunji, kuti nniyanganje nndi eu mpapilanje nndi, wala ga iilu yenunji kuti nng'walanje nndi. Bhuli, gumi ukapunda shalya? Bhuli, shiilu shikapunda iwalo?
28061a00c1	Mwilolanje ijuni ya mukonde, ikapanda, wala ikauna na wala yangali nngokwe jojowe. Nkali nneyo Ainabhenunji bha kunnungu bhanakwiiliya. Bhuli, mmanganyanji nngabha mmammbonenji kupunda ijuniyo?
28061b0072	Gani munkumbi gwenunji kwa kola lipamba kwakwe anakombola kwijenjesheya kapela lyubha limo lya mobha gakwe galama?
28061c006f	“Kwa nndi kola lipamba ga iwalo? Nnolanje malubha ga mukonde shigakutikonja? Gakakamula liengo wala gakapota.
28061d0082	Ikabheje ngunakummalanjilanga, nkali a Mpalume a Shelemani bhayene na yowe ibhaakwete bhangawashwa kwa konja malinga lilubha limo.
28061e00c4	Bhai ibhaga a Nnungu bhanakuliwasha liamba lya mmigunda, lelo lipali na malabhi lilileshelwa pa lituto lya moto, bhuli bhakapunda kunng'washanga mmanganyanji? Mmanganya nkwetenje ngulupai jishoko.
28061f0057	“Bhai, nnakolanje lipamba, ‘Shitulye indi eu shitupapile indi eu shituwale indi!’
