010000000c	בראשית
0102120067	ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו׃
01021300d7	ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו׃
0102140088	ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו׃
010215007e	ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה׃
010216006a	ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם׃
0102170082	ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת׃
0102180064	על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד׃
010219004c	ויהיו שניהם ערומים האדם ואשתו ולא יתבששו׃
01030100ad	והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן׃
0103020041	ותאמר האשה אל הנחש מפרי עץ הגן נאכל׃
010303007a	ומפרי העץ אשר בתוך הגן אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון׃
010304003a	ויאמר הנחש אל האשה לא מות תמתון׃
0103050085	כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע׃
01030600be	ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל׃
010307007c	ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת׃
01030800a5	וישמעו את קול יהוה אלהים מתהלך בגן לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן׃
0103090047	ויקרא יהוה אלהים אל האדם ויאמר לו איכה׃
01030a0057	ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא׃
01030b007a	ויאמר מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו אכלת׃
01030c0061	ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל׃
01030d0071	ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל׃
01030e00ba	ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך׃
01030f008a	ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב׃
010310008f	אל האשה אמר הרבה ארבה עצבונך והרנך בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך׃
01031100d0	ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך׃
0103120045	וקוץ ודרדר תצמיח לך ואכלת את עשב השדה׃
0103130082	בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשוב׃
010314004e	ויקרא האדם שם אשתו חוה כי הוא היתה אם כל חי׃
0103150053	ויעש יהוה אלהים לאדם ולאשתו כתנות עור וילבשם׃
01031600b5	ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם׃
0103170060	וישלחהו יהוה אלהים מגן עדן לעבד את האדמה אשר לקח משם׃
0103180099	ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים׃
0104010071	והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה׃
010402006b	ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה׃
0104030052	ויהי מקץ ימים ויבא קין מפרי האדמה מנחה ליהוה׃
0104040074	והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו׃
010405005a	ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו׃
010406004f	ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך׃
0104070080	הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו׃
010408007b	ויאמר קין אל הבל אחיו ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו׃
010409006a	ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי׃
01040a0053	ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה׃
01040b006d	ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך׃
01040c005a	כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ׃
01040d003c	ויאמר קין אל יהוה גדול עוני מנשא׃
01040e0094	הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני׃
01040f0093	ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו׃
010410004e	ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן׃
0104110086	וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך׃
0104120093	ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך׃
0104130054	ויקח לו למך שתי נשים שם האחת עדה ושם השנית צלה׃
010414004b	ותלד עדה את יבל הוא היה אבי ישב אהל ומקנה׃
010415004f	ושם אחיו יובל הוא היה אבי כל תפש כנור ועוגב׃
010416007f	וצלה גם הוא ילדה את תובל קין לטש כל חרש נחשת וברזל ואחות תובל קין נעמה׃
010417009c	ויאמר למך לנשיו עדה וצלה שמען קולי נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי׃
0104180040	כי שבעתים יקם קין ולמך שבעים ושבעה׃
010419009b	וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת כי שת לי אלהים זרע אחר תחת הבל כי הרגו קין׃
01041a0069	ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה׃
0105010065	זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו׃
0105020060	זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם׃
010503006b	ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את שמו שת׃
0105040070	ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות׃
010505005f	ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת׃
0105060048	ויחי שת חמש שנים ומאת שנה ויולד את אנוש׃
010507007d	ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות׃
0105080058	ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת׃
010509003e	ויחי אנוש תשעים שנה ויולד את קינן׃
01050a0088	ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות׃
01050b0053	ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת׃
01050c0042	ויחי קינן שבעים שנה ויולד את מהללאל׃
01050d0089	ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות׃
01050e0053	ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת׃
01050f0050	ויחי מהללאל חמש שנים וששים שנה ויולד את ירד׃
0105100085	ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות׃
0105110064	ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת׃
0105120055	ויחי ירד שתים וששים שנה ומאת שנה ויולד את חנוך׃
010513006d	ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות׃
010514005c	ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת׃
0105150049	ויחי חנוך חמש וששים שנה ויולד את מתושלח׃
0105160087	ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות׃
0105170051	ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה׃
0105180054	ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים׃
0105190059	ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את למך׃
01051a0090	ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות׃
01051b0060	ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת׃
01051c004e	ויחי למך שתים ושמנים שנה ומאת שנה ויולד בן׃
01051d0088	ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה׃
01051e0082	ויחי למך אחרי הולידו את נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות׃
01051f005a	ויהי כל ימי למך שבע ושבעים שנה ושבע מאות שנה וימת׃
010520005d	ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת׃
0106010058	ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם׃
010602007c	ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו׃
0106030082	ויאמר יהוה לא ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה׃
01060400c8	הנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם׃
0106050070	וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשבת לבו רק רע כל היום׃
0106060051	וינחם יהוה כי עשה את האדם בארץ ויתעצב אל לבו׃
01060700b3	ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים כי נחמתי כי עשיתם׃
0106080028	ונח מצא חן בעיני יהוה׃
010609006c	אלה תולדת נח נח איש צדיק תמים היה בדרתיו את האלהים התהלך נח׃
01060a0045	ויולד נח שלשה בנים את שם את חם ואת יפת׃
01060b0046	ותשחת הארץ לפני האלהים ותמלא הארץ חמס׃
01060c006f	וירא אלהים את הארץ והנה נשחתה כי השחית כל בשר את דרכו על הארץ׃
01060d008e	ויאמר אלהים לנח קץ כל בשר בא לפני כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ׃
01060e0071	עשה לך תבת עצי גפר קנים תעשה את התבה וכפרת אתה מבית ומחוץ בכפר׃
01060f0080	וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה׃
010610008e	צהר תעשה לתבה ואל אמה תכלנה מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה׃
01061100a4	ואני הנני מביא את המבול מים על הארץ לשחת כל בשר אשר בו רוח חיים מתחת השמים כל אשר בארץ יגוע׃
0106120072	והקמתי את בריתי אתך ובאת אל התבה אתה ובניך ואשתך ונשי בניך אתך׃
0106130073	ומכל החי מכל בשר שנים מכל תביא אל התבה להחית אתך זכר ונקבה יהיו׃
010614008b	מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות׃
010615006a	ואתה קח לך מכל מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה׃
0106160042	ויעש נח ככל אשר צוה אתו אלהים כן עשה׃
010701007f	ויאמר יהוה לנח בא אתה וכל ביתך אל התבה כי אתך ראיתי צדיק לפני בדור הזה׃
0107020099	מכל הבהמה הטהורה תקח לך שבעה שבעה איש ואשתו ומן הבהמה אשר לא טהרה הוא שנים איש ואשתו׃
010703006a	גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על פני כל הארץ׃
01070400bc	כי לימים עוד שבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשר עשיתי מעל פני האדמה׃
010705002f	ויעש נח ככל אשר צוהו יהוה׃
010706004b	ונח בן שש מאות שנה והמבול היה מים על הארץ׃
0107070065	ויבא נח ובניו ואשתו ונשי בניו אתו אל התבה מפני מי המבול׃
0107080080	מן הבהמה הטהורה ומן הבהמה אשר איננה טהרה ומן העוף וכל אשר רמש על האדמה׃
0107090069	שנים שנים באו אל נח אל התבה זכר ונקבה כאשר צוה אלהים את נח׃
01070a0047	ויהי לשבעת הימים ומי המבול היו על הארץ׃
01070b00bd	בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו׃
01070c004d	ויהי הגשם על הארץ ארבעים יום וארבעים לילה׃
01070d0085	בעצם היום הזה בא נח ושם וחם ויפת בני נח ואשת נח ושלשת נשי בניו אתם אל התבה׃
01070e00ab	המה וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף׃
01070f0062	ויבאו אל נח אל התבה שנים שנים מכל הבשר אשר בו רוח חיים׃
0107100074	והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו׃
010711007d	ויהי המבול ארבעים יום על הארץ וירבו המים וישאו את התבה ותרם מעל הארץ׃
010712005e	ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים׃
0107130077	והמים גברו מאד מאד על הארץ ויכסו כל ההרים הגבהים אשר תחת כל השמים׃
010714004d	חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים׃
0107150089	ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ וכל האדם׃
0107160051	כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה מתו׃
01071700c0	וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה׃
0107180040	ויגברו המים על הארץ חמשים ומאת יום׃
01080100a3	ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשר אתו בתבה ויעבר אלהים רוח על הארץ וישכו המים׃
010802005c	ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן השמים׃
0108030071	וישבו המים מעל הארץ הלוך ושוב ויחסרו המים מקצה חמשים ומאת יום׃
0108040060	ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט׃
010805007e	והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים׃
010806005a	ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה׃
010807005c	וישלח את הערב ויצא יצוא ושוב עד יבשת המים מעל הארץ׃
010808005b	וישלח את היונה מאתו לראות הקלו המים מעל פני האדמה׃
01080900bf	ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה׃
01080a005c	ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה׃
01080b0086	ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ׃
01080c0072	וייחל עוד שבעת ימים אחרים וישלח את היונה ולא יספה שוב אליו עוד׃
01080d00bd	ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה׃
01080e004f	ובחדש השני בשבעה ועשרים יום לחדש יבשה הארץ׃
01080f002a	וידבר אלהים אל נח לאמר׃
010810004a	צא מן התבה אתה ואשתך ובניך ונשי בניך אתך׃
01081100ae	כל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ הוצא אתך ושרצו בארץ ופרו ורבו על הארץ׃
010812003e	ויצא נח ובניו ואשתו ונשי בניו אתו׃
0108130073	כל החיה כל הרמש וכל העוף כל רומש על הארץ למשפחתיהם יצאו מן התבה׃
0108140081	ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהורה ומכל העוף הטהר ויעל עלת במזבח׃
01081500f9	וירח יהוה את ריח הניחח ויאמר יהוה אל לבו לא אסף לקלל עוד את האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא אסף עוד להכות את כל חי כאשר עשיתי׃
0108160071	עד כל ימי הארץ זרע וקציר וקר וחם וקיץ וחרף ויום ולילה לא ישבתו׃
010901006c	ויברך אלהים את נח ואת בניו ויאמר להם פרו ורבו ומלאו את הארץ׃
01090200a9	ומוראכם וחתכם יהיה על כל חית הארץ ועל כל עוף השמים בכל אשר תרמש האדמה ובכל דגי הים בידכם נתנו׃
0109030065	כל רמש אשר הוא חי לכם יהיה לאכלה כירק עשב נתתי לכם את כל׃
010904002f	אך בשר בנפשו דמו לא תאכלו׃
0109050097	ואך את דמכם לנפשתיכם אדרש מיד כל חיה אדרשנו ומיד האדם מיד איש אחיו אדרש את נפש האדם׃
010906005d	שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את האדם׃
010907003a	ואתם פרו ורבו שרצו בארץ ורבו בה׃
0109080041	ויאמר אלהים אל נח ואל בניו אתו לאמר׃
0109090054	ואני הנני מקים את בריתי אתכם ואת זרעכם אחריכם׃
01090a0093	ואת כל נפש החיה אשר אתכם בעוף בבהמה ובכל חית הארץ אתכם מכל יצאי התבה לכל חית הארץ׃
01090b008e	והקמתי את בריתי אתכם ולא יכרת כל בשר עוד ממי המבול ולא יהיה עוד מבול לשחת הארץ׃
01090c009b	ויאמר אלהים זאת אות הברית אשר אני נתן ביני וביניכם ובין כל נפש חיה אשר אתכם לדרת עולם׃
01090d0059	את קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ׃
01090e0049	והיה בענני ענן על הארץ ונראתה הקשת בענן׃
01090f00a7	וזכרתי את בריתי אשר ביני וביניכם ובין כל נפש חיה בכל בשר ולא יהיה עוד המים למבול לשחת כל בשר׃
0109100099	והיתה הקשת בענן וראיתיה לזכר ברית עולם בין אלהים ובין כל נפש חיה בכל בשר אשר על הארץ׃
010911007f	ויאמר אלהים אל נח זאת אות הברית אשר הקמתי ביני ובין כל בשר אשר על הארץ׃
0109120066	ויהיו בני נח היצאים מן התבה שם וחם ויפת וחם הוא אבי כנען׃
010913003f	שלשה אלה בני נח ומאלה נפצה כל הארץ׃
0109140031	ויחל נח איש האדמה ויטע כרם׃
0109150040	וישת מן היין וישכר ויתגל בתוך אהלה׃
010916005a	וירא חם אבי כנען את ערות אביו ויגד לשני אחיו בחוץ׃
01091700c4	ויקח שם ויפת את השמלה וישימו על שכם שניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו׃
010918004d	וייקץ נח מיינו וידע את אשר עשה לו בנו הקטן׃
0109190044	ויאמר ארור כנען עבד עבדים יהיה לאחיו׃
01091a004c	ויאמר ברוך יהוה אלהי שם ויהי כנען עבד למו׃
01091b0057	יפת אלהים ליפת וישכן באהלי שם ויהי כנען עבד למו׃
01091c004c	ויחי נח אחר המבול שלש מאות שנה וחמשים שנה׃
01091d0051	ויהיו כל ימי נח תשע מאות שנה וחמשים שנה וימת׃
010a010063	ואלה תולדת בני נח שם חם ויפת ויולדו להם בנים אחר המבול׃
010a020050	בני יפת גמר ומגוג ומדי ויון ותבל ומשך ותירס׃
010a030034	ובני גמר אשכנז וריפת ותגרמה׃
010a04003f	ובני יון אלישה ותרשיש כתים ודדנים׃
010a050062	מאלה נפרדו איי הגוים בארצתם איש ללשנו למשפחתם בגויהם׃
010a060037	ובני חם כוש ומצרים ופוט וכנען׃
010a07006a	ובני כוש סבא וחוילה וסבתה ורעמה וסבתכא ובני רעמה שבא ודדן׃
010a080048	וכוש ילד את נמרד הוא החל להיות גבר בארץ׃
010a09006f	הוא היה גבר ציד לפני יהוה על כן יאמר כנמרד גבור ציד לפני יהוה׃
010a0a0058	ותהי ראשית ממלכתו בבל וארך ואכד וכלנה בארץ שנער׃
010a0b0066	מן הארץ ההוא יצא אשור ויבן את נינוה ואת רחבת עיר ואת כלח׃
010a0c004c	ואת רסן בין נינוה ובין כלח הוא העיר הגדלה׃
010a0d005d	ומצרים ילד את לודים ואת ענמים ואת להבים ואת נפתחים׃
010a0e0061	ואת פתרסים ואת כסלחים אשר יצאו משם פלשתים ואת כפתרים׃
010a0f0036	וכנען ילד את צידן בכרו ואת חת׃
010a10003b	ואת היבוסי ואת האמרי ואת הגרגשי׃
010a110035	ואת החוי ואת הערקי ואת הסיני׃
010a120065	ואת הארודי ואת הצמרי ואת החמתי ואחר נפצו משפחות הכנעני׃
010a130088	ויהי גבול הכנעני מצידן באכה גררה עד עזה באכה סדמה ועמרה ואדמה וצבים עד לשע׃
010a14004a	אלה בני חם למשפחתם ללשנתם בארצתם בגויהם׃
010a150050	ולשם ילד גם הוא אבי כל בני עבר אחי יפת הגדול׃
010a160042	בני שם עילם ואשור וארפכשד ולוד וארם׃
010a170031	ובני ארם עוץ וחול וגתר ומש׃
010a18003f	וארפכשד ילד את שלח ושלח ילד את עבר׃
010a190075	ולעבר ילד שני בנים שם האחד פלג כי בימיו נפלגה הארץ ושם אחיו יקטן׃
010a1a0055	ויקטן ילד את אלמודד ואת שלף ואת חצרמות ואת ירח׃
010a1b0033	ואת הדורם ואת אוזל ואת דקלה׃
010a1c0033	ואת עובל ואת אבימאל ואת שבא׃
010a1d004f	ואת אופר ואת חוילה ואת יובב כל אלה בני יקטן׃
010a1e003e	ויהי מושבם ממשא באכה ספרה הר הקדם׃
010a1f004a	אלה בני שם למשפחתם ללשנתם בארצתם לגויהם׃
010a200077	אלה משפחת בני נח לתולדתם בגויהם ומאלה נפרדו הגוים בארץ אחר המבול׃
010b01003e	ויהי כל הארץ שפה אחת ודברים אחדים׃
010b020056	ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם׃
010b03009e	ויאמרו איש אל רעהו הבה נלבנה לבנים ונשרפה לשרפה ותהי להם הלבנה לאבן והחמר היה להם לחמר׃
010b04008c	ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם פן נפוץ על פני כל הארץ׃
010b05005a	וירד יהוה לראת את העיר ואת המגדל אשר בנו בני האדם׃
010b060098	ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה לא יבצר מהם כל אשר יזמו לעשות׃
010b070058	הבה נרדה ונבלה שם שפתם אשר לא ישמעו איש שפת רעהו׃
010b08005a	ויפץ יהוה אתם משם על פני כל הארץ ויחדלו לבנת העיר׃
