0100000008	Gênesis
01050e0040	E foram todos os dias de Cainan novecentos e dez anos; e morreu.
01050f0039	E viveu Mahalalel sessenta e cinco anos; e gerou a Jared.
010510005f	E viveu Mahalalel, depois que gerou a Jared, oitocentos e trinta anos; e gerou filhos e filhas.
010511004f	E foram todos os dias de Mahalalel oitocentos e noventa e cinco anos; e morreu.
010512003c	E viveu Jared cento e sessenta e dois anos; e gerou a Enoch.
0105130052	E viveu Jared, depois que gerou a Enoch, oitocentos anos; e gerou filhos e filhas.
010514004b	E foram todos os dias de Jared novecentos e sessenta e dois anos; e morreu.
0105150039	E viveu Enoch sessenta e cinco anos; e gerou a Methusala.
010516005e	E andou Enoch com Deus, depois que gerou a Methusala, trezentos anos; e gerou filhos e filhas.
0105170041	E foram todos os dias de Enoch trezentos e sessenta e cinco anos.
010518004b	E andou Enoch com Deus; e não estava mais; porquanto Deus para si o tomou.
0105190040	E viveu Methusala cento e oitenta e sete anos; e gerou a Lamech.
01051a0068	E viveu Methusala, depois que gerou a Lamech, setecentos e oitenta e dois anos; e gerou filhos e filhas.
01051b004f	E foram todos os dias de Methusala novecentos e sessenta e nove anos; e morreu.
01051c003d	E viveu Lamech cento e oitenta e dois anos; e gerou um filho,
01051d009a	E chamou o seu nome Noé, dizendo: Este nos consolará acerca de nossas obras, e do trabalho de nossas mãos, por causa da terra que o Senhor amaldiçoou.
01051e0064	E viveu Lamech, depois que gerou a Noé, quinhentos e noventa e cinco anos; e gerou filhos e filhas.
01051f004b	E foram todos os dias de Lamech setecentos e setenta e sete anos; e morreu.
010520004b	E era Noé da idade de quinhentos anos; e gerou Noé a Sem, Cão, e Japhet.
010601006a	E aconteceu que, como os homens se começaram a multiplicar sobre a face da terra, e lhes nasceram filhas;
0106020076	Viram os filhos de Deus que as filhas dos homens eram formosas; e tomaram para si mulheres de todas as que escolheram.
010603009b	Então disse o Senhor: Não contenderá o meu espírito para sempre com o homem; porque ele também é carne: porém os seus dias serão cento e vinte anos
01060400ce	Havia naqueles dias gigantes na terra; e também depois, quando os filhos de Deus entraram às filhas dos homens, e delas geraram filhos: estes eram os valentes que houve na antiguidade, os varões de fama.
010605009a	E viu o Senhor que a maldade do homem se multiplicara sobre a terra, e que toda a imaginação dos pensamentos de seu coração era só má continuamente.
0106060061	Então arrependeu-se o Senhor de haver feito o homem sobre a terra, e pezou-lhe em seu coração.
01060700b7	E disse o Senhor: Destruirei o homem que criei de sobre a face da terra, desde o homem até ao animal, até ao réptil, e até à ave dos céus; porque me arrependo de os haver feito.
010608002d	Noé porém achou graça aos olhos do Senhor.
0106090067	Estas são as gerações de Noé: Noé era varão justo e reto em suas gerações: Noé andava com Deus
01060a002f	E gerou Noé três filhos: Sem, Cão, e Japhet.
01060b005b	A terra porém estava corrompida diante da face de Deus: e encheu-se a terra de violência.
01060c0072	E viu Deus a terra, e eis que estava corrompida; porque toda a carne havia corrompido o seu caminho sobre a terra.
01060d009b	Então disse Deus a Noé: O fim de toda a carne é vindo perante a minha face; porque a terra está cheia de violência; e eis que os desfarei com a terra.
01060e007b	Faze para ti uma arca da madeira de Gopher: farás compartimentos na arca, e a betumarás por dentro e por fora com betume.
01060f0091	E desta maneira a farás: De trezentos côvados o comprimento da arca, e de cincoênta côvados a sua largura, e de trinta côvados a sua altura.
0106100097	Farás na arca uma janela, e de um côvado a acabarás em cima; e a porta da arca porás ao seu lado; far-lhe-ás andares baixos, segundos e terceiros.
01061100aa	Porque eis que Eu trago um dilúvio de águas sobre a terra, para desfazer toda a carne em que há espírito de vida debaixo dos céus: tudo o que há na terra expirará.
0106120085	Mas contigo estabelecerei o meu pacto; e entrarás na arca tu e os teus filhos, e a tua mulher, e as mulheres de teus filhos contigo.
0106130087	E de tudo o que vive, de toda a carne, dois de cada espécie, meterás na arca, para os conservar vivos contigo; macho e fêmea serão.
01061400b9	Das aves conforme a sua espécie, e das bestas conforme a sua espécie, de todo o réptil da terra conforme a sua espécie, dois de cada espécie virão a ti, para os conservar em vida.
0106150073	E tu toma para ti de toda a comida que se come, e ajunta-a para ti; e te será para mantimento para ti e para eles.
0106160043	Assim fez Noé: conforme a tudo o que Deus lhe mandou, assim o fez.
010701007a	Depois disse o Senhor a Noé: Entra tu e toda a tua casa na arca: porque te hei visto justo diante de mim nesta geração.
010702008a	De todo o animal limpo tomarás para ti sete e sete, macho e sua fêmea; mas dos animais que não são limpos, dois, o macho e sua fêmea.
0107030076	Também das aves dos céus sete e sete, macho e fêmea, para conservar em vida a semente sobre a face de toda a terra.
010704009d	Porque, passados ainda sete dias, farei chover sobre a terra quarenta dias e quarenta noites; e desfarei de sobre a face da terra toda a substância que fiz.
0107050037	E fez Noé conforme a tudo o que o Senhor lhe ordenara.
0107060058	E era Noé da idade de seiscentos anos, quando o dilúvio das águas veio sobre a terra.
010707007b	E entrou Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele na arca, por causa das águas do dilúvio.
0107080066	Dos animais limpos, e dos animais que não são limpos, e das aves, e de todo o réptil sobre a terra,
0107090053	Entraram de dois em dois a Noé na arca, macho e fêmea, como Deus ordenara a Noé.
01070a0050	E aconteceu que, passados sete dias, vieram sobre a terra as águas do dilúvio.
01070b00b0	No ano seiscentos da vida de Noé, no mês segundo, aos dezesete dias do mes, naquele mesmo dia se romperam todas as fontes do grande abismo, e as janelas dos céus se abriram,
01070c003c	E houve chuva sobre a terra quarenta dias e quarenta noites.
01070d009a	E no mesmo dia entrou Noé, e Sem, e Cão, e Japhet, os filhos de Noé, como também a mulher de Noé, e as três mulheres de seus filhos com ele na arca.
01070e00e4	Eles, e todo o animal conforme a sua espécie, e todo o gado conforme a sua espécie, e todo o réptil que se roja sobre a terra conforme a sua espécie, e toda a ave conforme a sua espécie, todo o pássaro de toda a qualidade.
01070f005b	E de toda a carne, em que havia espírito de vida, entraram de dois em dois a Noé na arca.
0107100077	E os que entraram, macho e fêmea de toda a carne entraram, como Deus lhe tinha ordenado: e o Senhor o fechou por fora.
010711007b	E esteve o dilúvio quarenta dias sobre a terra, e cresceram as águas, e levantaram a arca, e ela se elevou sobre a terra.
0107120061	E prevaleceram as águas, e cresceram grandemente sobre a terra; e a arca andava sobre as águas.
0107130081	E as águas prevaleceram excessivamente sobre a terra; e todos os altos montes, que havia debaixo de todo o céu, foram cobertos.
0107140049	Quinze côvados acima prevaleceram as águas; e os montes foram cobertos.
0107150097	E expirou toda a carne que se movia sobre a terra, tanto de ave como de gado e de feras, e de todo o réptil que se roja sobre a terra, e todo o homem.
0107160060	Tudo o que tinha fôlego de espírito de vida em seus narizes, tudo o que havia no seco, morreu.
01071700e1	Assim foi desfeita toda a substância que havia sobre a face da terra, desde o homem até ao animal, até ao réptil, e até à ave dos céus; e foram extintos da terra: e ficou somente Noé, e os que com ele estavam na arca.
010718003f	E prevaleceram as águas sobre a terra cento e cincoênta dias.
01080100b3	E lembrou-se Deus de Noé, e de toda a besta, e de todo o animal, e de toda a rêz que com ele estava na arca: e Deus fez passar um vento sobre a terra, e aquietaram-se as águas.
010802005f	Cerraram-se também as fontes do abismo, e as janelas dos céus, e a chuva dos céus deteve-se.
010803006e	E as águas tornaram de sobre a terra continuamente, e ao cabo de cento e cincoênta dias as águas minguaram.
0108040055	E a arca repousou, no sétimo mes, no dia dezesete do mes, sobre os montes de Ararat.
010805007f	E foram as águas indo e minguando até ao décimo mes: no décimo mes, no primeiro dia do mes, apareceram os cumes dos montes.
0108060057	E aconteceu que, ao cabo de quarenta dias, abriu Noé a janela da arca que tinha feito.
010807005d	E soltou um corvo, que saiu, indo e voltando, até que as águas se secaram de sobre a terra.
0108080056	Depois soltou uma pomba, a vêr-se as águas tinham minguado de sobre a face da terra.
01080900cf	A pomba porém não achou repouso para a planta do seu pé, e voltou a ele para a arca; porque as águas estavam sobre a face de toda a terra: e ele estendeu a sua mão, e tomou-a, e meteu-a consigo na arca.
01080a0049	E esperou ainda outros sete dias, e tornou a enviar a pomba fora da arca.
01080b0097	E a pomba voltou a ele sobre a tarde; e eis, arrancada, uma folha de oliveira no seu bico: e conheceu Noé que as águas tinham minguado sobre a terra.
01080c0059	Então esperou ainda outros sete dias; e enviou fora a pomba, mas não tornou mais a ele.
01080d00d1	E aconteceu que no ano seiscentos e um, no mês primeiro, no primeiro dia do mes, as águas se secaram de sobre a terra: então Noé tirou a cobertura da arca, e olhou, e eis que a face da terra estava enxuta.
01080e0044	E no segundo mes, aos vinte e sete dias do mes, a terra estava seca.
01080f0022	Então falou Deus a Noé, dizendo:
0108100053	Sai da arca, tu, e tua mulher, e teus filhos, e as mulheres de teus filhos contigo.
01081100d8	Todo o animal que está contigo, de toda a carne, de ave, e de gado, e de todo o réptil que se roja sobre a terra traze fora contigo; e povôem abundantemente a terra, e frutifiquem, e se multipliquem sobre a terra.
0108120054	Então saiu Noé, e seus filhos, e sua mulher, e as mulheres de seus filhos com ele,
0108130084	Todo o animal, todo o réptil, e toda a ave, e tudo o que se move sobre a terra, conforme as suas famílias, saiu para fora da arca.
0108140080	E edificou Noé um altar ao Senhor; e tomou de todo o animal limpo, e de toda a ave limpa, e ofereceu holocaustos sobre o altar.
01081500ff	E o Senhor cheirou o suave cheiro, e disse o Senhor em seu coração: Não tornarei mais a amaldiçoar a terra por causa do homem; porque a imaginação do coração do homem é má desde a sua meninice, nem tornarei mais a ferir todo o vivente, como fiz.
010816006d	Enquanto a terra durar, sementeira e sega, e frio e calor, e verão e inverno, e dia e noite, não cessarão.
0109010066	E abençoou Deus a Noé e a seus filhos, e disse-lhes: frutificai e multiplicai-vos, e enchei a terra.
01090200bb	E será o vosso temor e o vosso pavor sobre todo o animal da terra, e sobre toda a ave dos céus: tudo o que se move sobre a terra, e todos os peixes do mar, na vossa mão são entregues.
0109030066	Tudo quanto se move, que é vivente, será para vosso mantimento: tudo vos tenho dado como erva verde.
0109040046	A carne, porém, com sua vida, isto é, com seu sangue, não comereis.
01090500c3	E certamente requererei o vosso sangue, o sangue das vossas vidas; da mão de todo o animal o requererei: como também da mão do homem, e da mão do irmão de cada um requererei a vida do homem.
0109060079	Quem derramar o sangue do homem, pelo homem o seu sangue será derramado: porque Deus fez o homem conforme à sua imagem.
010907005d	Mas vós frutificai e multiplicai-vos: povoai abundantemente a terra, e multiplicai-vos nela.
0109080036	E falou Deus a Noé, e a seus filhos com ele, dizendo:
0109090057	E eu, eis que estabeleço o meu concerto convosco e com a vossa semente depois de vós,
01090a00a4	E com toda a alma vivente, que convosco está, de aves, de rezes, e de todo o animal da terra convosco: desde todos que sairam da arca, até todo o animal da terra.
01090b00a8	E eu convosco estabeleço o meu concerto, que não será mais destruída toda a carne pelas águas do dilúvio: e que não haverá mais dilúvio, para destruir a terra.
01090c008e	E disse Deus: Este é o sinal do concerto que ponho entre mim e vós, e entre toda a alma vivente, que está convosco, por gerações eternas.
01090d0056	O meu arco tenho posto na nuvem: este será por sinal do concerto entre mim e a terra.
01090e0058	E acontecerá que, quando eu trouxer nuvens sobre a terra, aparecerá o arco nas nuvens:
01090f00b9	Então me lembrarei do meu concerto, que está entre mim e vós, e entre toda a alma vivente de toda a carne: e as águas não se tornarão mais em dilúvio, para destruir toda a carne.
0109100098	E estará o arco nas nuvens, e eu o verei, para me lembrar do concerto eterno entre Deus e toda a alma vivente de toda a carne, que está sobre a terra.
0109110080	E disse Deus a Noé: Este é o sinal do concerto que tenho estabelecido entre mim e entre toda a carne, que está sobre a terra.
0109120061	E os filhos de Noé, que da arca sairam, foram Sem, e Cão, e Japhet; e Cão, é o pai de Canaan.
0109130045	Estes três foram os filhos de Noé; e destes se povoou toda a terra.
010914003d	E começou Noé a ser lavrador da terra, e plantou uma vinha:
0109150046	E bebeu do vinho, e embebedou-se; e descobriu-se no meio de sua tenda.
010916005a	E viu Cão, o pai de Canaan, a nudez do seu pai, e fê-lo saber a ambos seus irmãos fora.
01091700d2	Então tomaram Sem e Japhet uma capa, e puseram-na sobre ambos os seus ombros, e indo virados para traz, cobriram a nudez do seu pai, e os seus rostos eram virados, de maneira que não viram a nudez do seu pai.
0109180048	E despertou Noé do seu vinho, e soube o que seu filho menor lhe fizera.
0109190045	E disse: Maldito seja Canaan: servo dos servos seja aos seus irmãos.
01091a0048	E disse: bendito seja o Senhor Deus de Sem: e seja-lhe Canaan por servo.
01091b004f	Alargue Deus a Japhet, e habite nas tendas de Sem: e seja-lhe Canaan por servo.
01091c003e	E viveu Noé, depois do dilúvio, trezentos e cincoênta anos.
01091d0045	E foram todos os dias de Noé novecentos e cincoênta anos, e morreu.
010a010070	Estas pois são as gerações dos filhos de Noé. Sem, Cão, e Japhet; e nasceram-lhe filhos depois do dilúvio.
010a020057	Os filhos de Japhet, são: Gomer e MaGog, e Madai, e Javan, e Tubal, e Mesech, e Tiras.
010a03003c	E os filhos de Gomer, são: Asquenaz, e Riphath, e Togarmah.
010a040042	E os filhos de Javan, são: Elishah e Tarshish, Kittim, e Dodanim.
010a050095	Por estes foram repartidas as ilhas das nações nas suas terras, cada qual segundo a sua língua, segundo as suas famílias, entre as suas nações.
010a06003c	E os filhos de Cão, são: Cush, e Mizraim, e Put, e Canaan.
010a070076	E os filhos de Cush, são: Seba, e Havilah, e Sabtah, e Raamah, e Sabteca: e os filhos de Raamah são, Scheba e Dedan.
010a08003d	E Cush gerou a Nimrod: este começou a ser poderoso na terra.
010a090078	E este foi poderoso caçador diante da face do Senhor: pelo que se diz: Como Nimrod, poderoso caçador diante do Senhor.
010a0a0056	E o princípio do seu reino foi Babel, e Erech, e Accad, e Calneh, na terra de Shinar.
010a0b004e	Desta mesma terra saiu à Assyria e edificou a Nínive, e Rehoboth-Ir e Calah,
010a0c0039	E Resen, entre Niniveh e Calah (esta é a grande cidade).
010a0d003f	E Mizraim gerou a Ludim, e a Anamim, e a Leabim, e a Naphtuhim,
010a0e004b	E a Pathrusim, e a Caslushim, (de onde sairam os philisteus) e a Caphtorim.
010a0f0033	E Canaan gerou a Sidon, seu primogênito, e a Heth;
010a100025	E ao Jebuseu, e Amorrheu, e Girgaseu,
010a110023	E ao Heveu, e ao Arkeu, e ao Sineu,
010a12005c	E ao Arvadeu, e ao Zemareu, e ao Hamatheu, e depois se espalharam as famílias dos cananeus.
010a130080	E foi o termo dos cananeus desde Sidon, indo para Gerar, até Gaza; indo para Sodoma, e Gomorra, e Adamah e Zeboiim, até Lasha.
010a140073	Estes são os filhos de Cão segundo as suas famílias, segundo as suas línguas, em suas terras, em suas nações.
010a150062	E a Sem nasceram filhos, e ele é o pai de todos os filhos de Eber, o irmão mais velho de Japhet.
