0100000006	Mwanzo
01011d00a2	Mungu akasema, “tazama, nimewapeni kila mmea uzaao mbegu ambao uko juu ya nchi, na kila mti wenye tunda ambalo lina mbegu ndani yake. Vitakuwa ni chakula kwenu.
01011e00b6	Kwa kila mnyama wa nchi, kwa kila ndege wa angani, na kila kitambaacho juu ya nchi, na kila kiumbe ambacho kina pumzi ya uhai ni metoa kila mmea kwa ajili ya chakula.” ikawa hivyo.
01011f0064	Mungu akaona kila kitu alichokiumba. Tazama, kikawa chema sana. Ikawa jioni na asubuhi siku ya sita.
0102010053	Kisha mbingu na nchi zilimalizika, na viumbe hai vyote vilivyo jaza mbingu na nchi.
0102020083	Siku ya saba Mungu alifikia mwisho wa kazi yake ambayo aliifanya, na kwa hiyo alipumzika siku ya saba kutoka kwenye kazi yake yote.
0102030092	Mungu akaibarikia siku ya saba na akaitakasa, kwa sababu katika siku hiyo alipumzika kutoka kwenye kazi yake yote ambayo aliifanya katika uumbaji.
010204007c	Haya yalikuwa ni matukio yahusuyo mbingu na nchi, wakati vilipoumbwa, katika siku ambayo Yahwe Mungu aliumba nchi na mbingu.
01020500d2	Hapakuwa na msitu wa shambani uliokuwa katika nchi, na hapakuwa na mmea wa shambani uliokuwa umechipuka, kwa kuwa Yahwe Mungu alikuwa hajasababisha mvua kunyesha juu ya nchi, na hapakuwa na mtu wa kulima ardhi.
010206004f	Lakini ukungu uliinuka juu kutoka kwenye nchi na kuutia maji uso wote wa ardhi.
010207006d	Yahwe Mungu aliumba mtu kutoka mavumbi ya ardhi, na akampulizia puani pumzi ya uhai, na mtu akawa kiumbe hai.
0102080068	Yahwe Mungu aliotesha bustani upande wa mashariki, katika Edeni, na pale akamuweka mtu ambaye alimuumba.
01020900bf	Kutoka ardhini Yahwe Mungu alifanya kila mti uote ambao unapendeza na ni mzuri kwa chakula. Hii ni pamoja na mti wa uzima ambao ulikuwa katikati ya bustani, na mti wa ujuzi wa mema na mabaya.
01020a005d	Mto ukatoka nje ya Edeni kuitia maji bustani. Na kutoka pale ukagawanyika na kuwa mito minne.
01020b0070	Jina la ule wa kwanza ni Pishoni. Huu ni ule ambao unatiririka kupitia nchi yote ya Havila, ambapo kuna dhahabu.
01020c003f	Dhahabu ya inchi ile ni nzuri. pia kuna bedola na jiwe shohamu.
01020d004a	Jina la mto wa pili ni Gihoni. Huu unatiririka kupitia nchi yote ya kushi.
01020e005d	Jina la mto wa tatu ni Hidekeli, ambao unatiririka mashariki mwa Ashuru. Mto wa nne ni Frati.
01020f0052	Yahwe Mungu alimtwaa mtu na kumweka ndani ya bustani ya Edeni kuilima na kuitunza.
010210005e	Yahwe Mungu alimuagiza mtu akisema, “kutoka kwenye kila mti bustanini waweza kula kwa uhuru.
010211007f	Lakini kutoka kwenye mti wa ujuzi wa mema na mabaya usile, kwa kuwa siku utakayo kula kutoka katika mti huo, utakufa hakika.”
0102120076	Kisha Yahwe Mungu akasema, “siyo jambo jema kwamba mtu huyu lazima awe pekeyake. Nitamfanyia msaidizi anaye mfaa.”
01021300dc	Kutoka ardhini Yahwe Mungu akafanya kila mnyama wa kondeni na kila ndege wa angani. Kisha akawaleta kwa mtu huyu aone angewapatia majina gani. Jina ambalo mtu huyu alimwita kila kiumbe hai, hili ndilo lilikuwa jina lake.
0102140094	Mtu huyu akawapatia majina wanyama wote, ndege wote wa angani, na kila mnyama wa mwitu. Lakini kwa mtu mwenyewe hapakuwa na msaidizi wa kumfaa yeye.
01021500a1	Yahwe Mungu akaleta usingizi mzito kwa mtu huyu, kwa hiyo mtu huyu akalala. Yahwe Mungu akatwaa moja ya mbavu za mtu huyu na akapafunika pale alipo chukua ubavu.
0102160064	Kwa ubavu ambao Yahwe Mungu alichukua toka kwa mtu huyu, akafanya mwanamke na akamleta kwa mtu huyu.
0102170099	Mwanaume akasema, “kwa sasa, huyu ni mfupa katika mifupa yangu, na nyama katika nyama yangu. ataitwa 'mwanamke,' kwa sababu ametwaliwa katika mwanaume.
0102180067	Kwa hiyo mwanaume atawaacha baba yake na mama yake, ataungamanika na mke wake, na watakuwa mwili mmoja.
0102190047	Wote wawili walikuwa uchi, mwanaume na mke wake, lakini hawakuona aibu.
01030100d2	Sasa nyoka alikuwa mwerevu kuliko myama mwingine yeyote wa kondeni ambaye Yahwe Mungu alikuwa amemuumba. Akamwambia mwanamke, “Je ni kweli Mungu amesema, 'Msile matunda kutoka kwenye mti wowote bustanini'?”
010302004f	Mwanamke akamwambia nyoka, “Twaweza kula tunda kutoka kwenye miti ya bustani,
0103030077	lakini kuhusu tunda la mti ambao uko katikati ya bustani, Mungu alisema, 'msile, wala msiuguse, vinginevyo mtakufa.'”
010304002f	Nyoka akamwambia mwanamke, “hakika hamtakufa.
0103050073	Kwasababu Mungu anajua kwamba siku mkila macho yenu yatafumbuliwa, na mtakuwa kama Mungu, mkijua mema na mabaya.”
01030600e9	Na mwanamke alipoona kuwa mti ni mzuri kwa chakula, na kuwa unapendeza macho, na kwamba mti ulitamanika kwa kumfanya mtu awe mwerevu, alichukua sehemu ya tunda na akala. Na sehemu yake pia akampatia mumewe aliyekuwa naye, naye akala.
010307008b	Macho ya wote wawili yalifumbuliwa, na wakajua kuwa wako uchi. Wakashona majani ya miti pamoja na wakatengeneza vya kujifunika wao wenyewe.
01030800b6	Wakasikia sauti ya Yahwe Mungu akitembea bustanini majira ya kupoa kwa jua, kwa hiyo mwanaume na mke wake wakajificha wao wenyewe kwenye miti ya bustani kuepuka uwepo wa Yahwe Mungu.
010309003b	Yahwe Mungu akamuita mwanaume na kumwambia, “uko wapi?”
01030a006b	Mwanaume akasema, “nilikusikia bustanini, na nkaogopa, kwa sababu nilikuwa uchi. kwa hiyo nikajificha.”
01030b0076	Mungu akasema, “Ni nani alikwambia kuwa ulikuwa uchi? Je umekula kutoka mti ambao nilikuagiza usile matunda yake?”
01030c0067	Mwanaume akasema, “Mwanamke uliyenipa kuwa na mimi, alinipatia tunda kutoka kwenye mti, na nikala.”
01030d0075	Yahwe Mungu akamwambia mwanamke, “Nini hiki ulichofanya?” mwanamke akasema, “nyoka alinidanganya, na nikala.”
01030e00ed	Yahwe Mungu akamwambia nyoka, “kwa sababu umefanya jambo hili, umelaaniwa wewe mwenyewe miongoni mwa wanyama wote wa kufugwa na wanyama wote wa mwituni. Itakuwa kwa tumbo lako utakwenda, na mavumbi utakula kwa siku zote za maisha yako.
01030f0082	Nitaweka uadui kati yako na mwanamke, na kati ya uzao wako na uzao wake. Atakujeruhi kichwa chako na utamjeruhi kisigino chake.”
010310009e	Kwa mwanamke akasema, nitaongeza uchungu wakati wa kuzaa watoto; itakuwa katika maumivu utazaa watoto. Tamaa yako itakua kwa mume wako, lakini atakutawala.”
0103110105	Kwa Adam akasema, “kwa sababu umesikiliza sauti ya mke wako, na umekula kutoka katika mti, ambao nilikuagiza, nikisema, “usile matunda yake', ardhi imelaaniwa kwa sababu yako; kupitia kazi yenye maumivu utakula matunda ya ardhi kwa siku zote za maisha yako.
010312004b	Ardhi itazaa miiba na mbigili kwa ajili yako, na utakula mimea ya shambani.
0103130090	Kwa jasho la uso wako utakula mkate, mpaka utakapo irudia ardhi, ambayo kwayo ulitwaliwa. kwa kuwa wewe ni mavumbi na kwenye mavumbi utarudi.”
010314004e	Mwanaume akaita mke wake jina Hawa kwa sababu alikuwa mama wa wote wenye uhai.
0103150057	Yahwe Mungu akatengeneza mavazi ya ngozi kwa ajili ya Adam na mke wake na akawavalisha.
01031600ca	Yahwe Mungu akasema, “sasa mtu huyu amekuwa kama mmoja wetu, ajuaye mema na mabaya. Kwa hiyo sasa hataruhusiwa kugusa kwa mkono wake, na kuchukua tunda la mti wa uzima, na kula akaishi tena milele.”
0103170076	Kwa hiyo Yahwe Mungu akamuondoa kutoka kwenye bustani ya Edeni, kwenda kulima ardhi ambayo kwahiyo alikuwa ametwaliwa.
01031800c4	Kwa hiyo Mungu akamfukuza mtu huyu nje ya bustani, na akaweka kerubi mashariki mwa bustani ya Edeni, na upanga wa moto ulio geuka geuka kila upande, ili kulinda njia ya kwenda kwenye mti wa uzima.
0104010076	Mwanume akalala na Hawa mke wake. Akabeba mimba na akamzaa Kaini. Akasema, “nimezaa mwanaume kwa msaada wa Yahwe.”
0104020059	Kisha akazaa ndugu yake Habili. Sasa Habili akawa mchungaji, lakini Kaini alilima udongo.
0104030058	Ikawa kwamba baada ya muda Kaini alileta sehemu ya mazao ya ardhi kama sadaka kwa Yahwe.
0104040082	Habili pia, alileta sehemu ya wazao wa kwanza wa wanyama wake na sehemu zilizonona. Yahwe akamkubali Habili pamoja na sadaka yake,
0104050070	lakini Kaini pamoja na sadaka yake Mungu hakuikubali. Kwa hiyo Kaini alikasirika sana, na uso wake ukakunjamana.
0104060052	Yahwe akamwambia Kaini, “kwa nini umekasirika na kwa nini uso wako umekunjamana?
010407009b	Kama ukifanya vema, je hutapata kibali? lakini kama hutafanya lilio jema, dhambi iko inakuotea mlangoni na inatamani kukutawala, lakini inakupasa uishinde.
0104080128	Kaini akamwambia Habili ndugu yake. Hata wakati walipokuwa shambani, Kaini aliinuka dhidi ya Habili ndugu yake na akamuua. (Katika tafsiri za kale zinasema, Kaini alimwambia Habili ndugu yake, “twende mashambani.” Na wakati walipokuwa shambani, Kaini alimuinukia Habili ndugu yake na kumuua).
0104090078	Kisha Yahwe akamuuliza Kaini, “Ndugu yako Habili yuko wapi?” Akasema, “sijui. Je mimi ni mlinzi wa ndugu yangu?”
01040a0052	Yahwe akasema, “umefanya nini? damu ya ndugu yako inaniita mimi kutokea ardhini.
01040b0074	Na sasa umelaaniwa wewe kutoka ardhi ambayo imefungua kinywa chake kupokea damu ya ndugu yako kutoka mikononi mwako.
01040c0080	Utakapo ilima ardhi, kuanzia sasa na kuendelea haita kuzalia wewe nguvu yake. Utakuwa mkimbizi na mtu asiye na makao duniani.”
01040d0053	Kaini akamwambia Yahwe, “Adhabu yangu ni kubwa kuliko uwezo wangu wa kustahimili.
01040e00bc	Kwa hakika umenifukuza siku hii ya leo kutoka kwenye ardhi hii, na sitaonekana mbele ya uso wako. Nitakuwa mkimbizi na mtu nisiye na makao katika dunia, na yeyote atakaye niona ataniua.”
01040f00c2	Yahwe akamwambia, “ikiwa mtuyeyote atamuua Kaini, kisasi kitakuwa juu yake mara saba.” Kisha Yahwe akaweka alama juu ya Kaini, ili kwamba kama mtu awayeyote akimuona, mtu huyo asimshambulie.
0104100063	Kwa hiyo Kaini akatoka mbele ya uwepo wa Yahwe na akaishi katika nchi ya Nodi, mashariki mwa Edeni.
010411006b	Kaini akamjua mke wake na akapata mimba. Akamzaa Henoko. Akajenga mji na akauita kwa jina la mwanae Henoko.
010412006f	Kwa Henoko akazaliwa Iradi. Iradi akamzaa Mehuyaeli. Mehuyaeli akamzaa Methushaeli. Methushaeli akamzaa Lameki.
0104130060	Lameki akajitwalia wake wawili: jinala mmoja alikuwa Ada, na jina la yule mwingine alikuwa Sila.
0104140060	Ada akamzaa Yabali. Huyu ndiye alikuwa baba yao na wale walioishi hemani ambao wanafuga wanyama.
0104150053	Ndugu yake aliitwa Yubali. Huyu alikuwa baba yao na wale wapigao kinubi na filimbi.
0104160066	Sila naye akamzaa Tubal Kaini, mfua vyombo vya shaba na chuma. Dada yake na Tubal Kaini alikuwa Naama.
01041700a7	Lameki akawaambia wake zake, Ada na Sila, sikieni sauti yangu; ninyi wake wa Lameki, sikilizeni nisemacho. Kwa kuwa nimemuua mtu kwa kunijeruhi, kijana kwa kunichubua.
010418005d	Ikiwa Kaini atalipiwa kisasi mara saba, ndipo Lameki atalipiwa kisasi mara sabini na saba.”
01041900b8	Adam akamjua mke wake tena, na akazaa mtoto mwanaume. Akamuita jina lake Sethi na akasema, “Mungu amenipatia mtoto mwingine wa kiume kwa nafasi ya Habili, kwa kuwa Kaini alimuuwa.”
01041a0071	Mtoto wa kiume alizaliwa kwa Sethi na akamuita jina lake Enoshi. Wakati huo watu walianza kuliitia jina la Yahwe.
0105010070	Hii ni orodha ya vizazi vya Adamu. Katika siku ambayo Mungu alimuumba mtu, aliwaumba katika mfano wake mwenyewe.
0105020050	Mwanaume na mwanamke aliwaumba. Akawabariki na akawaita Adam wakati walipoumbwa.
010503007f	Wakati Adamu alipokuwa ameishi miaka 130, akamzaa mwana katika sura yake mwenyewe, kwa mfano wake, na akamuita jina lake Sethi.
0105040057	Baada ya Adamu kumzaa Sethi, aliishi miaka mia nane. Akawazaa wana wengi waume na wake.
0105050028	Adamu akaishi miaka 930 kisha akafariki.
0105060039	Wakati Sethi alipokuwa ameishi miaka 105, akamzaa Enoshi.
010507004f	Baada ya kumzaa Enoshi, akaishi miaka 807 na akawazaa wana wengi waume na wake.
0105080028	Sethi akaishi miaka 912 kisha akafariki.
010509003d	Wakati Enoshi alipokuwa ameishi miaka tisini, akamzaa Kenani.
01050a0053	Baada ya kumzaa Kenani, Enoshi aliishi miaka 815. Akazaa wana wengi wa ume na wake.
01050b002c	Enoshi aliishi miaka 905 na kisha akafariki.
01050c0041	Wakati Kanani alipokuwa ameishi miaka sabini, akamzaa Mahalaleli.
01050d0059	Baada ya kumzaa Mahalaleli, Kenani aliishi miaka 840. Akawazaa wana wengi wa ume na wake.
01050e002d	Kenani aliishi miaka 910, na kisha akafariki.
01050f0042	Mahalaleli alipokuwa ameishi miaka sitini na tano, alimzaa Yaredi.
0105100057	Baada ya kumzaa Yaredi, Mahalaleli aliishi miaka 830. Akazaa wana wengi wa ume na wake.
0105110030	Mahalaleli aliishi miaka 895 na kisha akafariki.
0105120033	Yaredi alipokuwa ameishi miaka 162, alimzaa Henoko.
0105130056	Baada ya kumzaa Henoko, Yaredi aliishi miaka mianane. Akazaa wana wengi waume na wake.
010514002c	Yaredi aliishi miaka 962 na kisha akafariki.
0105150041	Henoko alipokuwa ameishi miaka sitini na tano, akamzaa Methusela.
0105160066	Henoko akaenenda na Mungu miaka miatatu baada ya kumzaa Methusela. Aliwazaa wana wengi wa ume na wake.
0105170019	Henoko aliishi miaka 365.
0105180047	Henoko alienenda na Mungu, na kisha alitoweka, kwa kuwa Mungu alimtwaa.
010519003d	Wakati Methusela alipokuwa ameishi miaka 187, alimzaa Lameki.
01051a0058	Baada ya kumzaa Lameki, Methusela aliishi miaka 782. Akawazaa wana wengi wa ume na wake.
01051b002d	Methusela aliishi miaka 969. Kisha akafariki.
01051c0039	Wakati Lameki alipokuwa ameishi miaka 182, alimzaa mwana.
01051d00cf	Akamuita jina lake Nuhu, akisema, “Huyu ndiye atatupatia pumziko kutoka katika kazi yetu na kutoka katika kazi ya taabu ya mikono yetu, ambayo lazima tuifanye kwa sababu ya ardhi ambayo Yahwe ameilaani.”
01051e0057	Lameki aliishi miaka 595 baada ya kumzaa baba wa Nuhu. Akazaa wanawengi wa ume na wake.
01051f002a	Lameki aliishi miaka 777. Kisha akafariki.
0105200044	Baada ya Nuhu kuishi miaka miatano, akamzaa Shemu, Hamu, na Yafethi.
010601005b	Ikawa wakati watu walipoanza kuongezeka juu ya uso wa nchi na wana wa kike wakazaliwa kwao,
0106020073	wana wa Mungu walipoona kuwa mabinti wa wanadamu ni wenye kuvutia. waliwachukua kuwa wake zao, kila waliye mchagua.
010603006a	Yahwe akaema, “roho yangu haitasalia kwa mwanadamu milele, kwa kuwa wao ni nyama. Wataishi miaka 120.”
01060400df	Majitu makubwa yalikuwa juu ya uso wa nchi nyakati hizo, na hata baada ya hapo. Hii ilitokea wakati wana wa Mungu walipowaoa binti za wanadamu, na kupata watoto pamoja nao. Hawa walikuwa watu hodari zamani, watu wenye sifa.
0106050073	Yahwe akaona kwamba uovu wa watu umezidi katika nchi, na kwamba mawazo ya mioyo yao daima inaelekea tu katika uovu.
0106060050	Yahwe akajuta kuwa amemuumba mwanadamu juu ya nchi, na ikamuhuzunisha moyo wake.
01060700c8	Kwa hiyo Yahwe akasema, “Nitamfutilia mbali mwanadamu ambaye nimemuumba katika uso wa nchi; mwanadamu na wanyama wakubwa, na vitambaavyo na ndege wa angani, kwa kuwa nimehuzunika kuwa nimeviumba.”
0106080038	Lakini Nuhu akapata neema ya upendeleo machoni pa Yahwe.
0106090090	Kulikuwa na matukio kumuhusu Nuhu. Nuhu alikuwa mtu mwenye haki, na asiye na lawama miongoni mwa watu wa kipindi chake. Nuhu alitembea na Mungu.
01060a0042	Nuhu akafanyika baba wa wana watatu wa kiume: Shem, Ham na Yafeti.
01060b0032	Nchi iliharibika mbele za Mungu, na ikajaa ghasia.
01060c0074	Mungu akaiona nchi; tazama, ilikuwa imeharibika, kwa kuwa wote wenye mwili walikuwa wameharibu njia zao juu ya nchi.
01060d00ab	Mungu akamwambia Nuhu, “Nimeona kuwa sasa niwakati wa mwisho kwa wote wenye mwili, kwa kuwa inchi imejaa ghasia kutokana na wao. Hakika, nitawaharibu wao pamoja na nchi.
01060e0074	Tengeneza safina ya mti wa mvinje kwa ajili yako. Tengeneza vyumba katika safina, na vifunike kwa lami ndani na nje.
01060f0079	Hivi ndivyo utakavyofanya: urefu wa safina dhiraa miatatu, upana wake dhiraa hamsini, kwenda juu kwake dhiraa thelathini.
01061000a3	Tengeneza paa la safina, na ulimalize kwa kipimo cha dhiraa kutoka juu ubavuni. Weka mlango katika ubavu wa safina na utengeneze dari ya chini, ya pili na ya tatu.
01061100b7	Sikiliza, nimekaribia kuleta gharika ya maji juu ya nchi, kuharibu wenye mwili wote wakaao ndani ya nchi wenye pumzi ya uhai chini ya mbingu. Kila kitu kilichopo juu ya nchi kitakufa.
010612008c	Lakini nitalifanya thabiti agano langu na wewe. Utaingia ndani ya safina, wewe, na wana wako wa kiume, na mke wako, pamoja na wake za wanao.
0106130085	Kwa kila kiumbe hai chenye mwili, viwili vya kila aina utavileta ndani ya safina, ili visalie hai pamoja nawe, vya kike na vya kiume.
01061400a4	Katika ndege kwa jinsi yake, na wanyama wakubwa kwa jinsi yake, kila kitambaacho ardhini kwa jinsi yake, viwili viwili vya kila aina vitakuja kwako ili viwe salama.
010615006e	Kusanya kila aina ya chakula kinacholiwa kwa ajili yako na ukitunze, ili kwamba viwe chakula chako na chao.”
0106160058	Kwa hiyo Nuhu akafanya hivi. kulingana na yote ambayo Mungu alimuagiza, ndivyo alifanya.
0107010092	Yahwe akamwambia Nuhu, “Njoo, wewe na nyumba yako wote, katika safina, kwa kuwa nimeona kuwa wewe ni mwenye haki mbele yangu katika kizazi hiki.
0107020087	Kwa kila mnyama aliye safi utakuja nao saba wa kiume na saba wa kike. Na kwa wanyama wasio safi, lete wawili wawili, wakiume na wakike.
0107030072	Pia na kwa ndege wa angani, lete saba wa kiume na saba wa kike, ili kuhifadhi kizazi chao juu ya uso wa nchi yote.
01070400ab	Kwa kuwa ndani ya siku saba nitasababisha mvua kunyesha juu ya nchi muda wa siku arobaini mchana na usiku. Nitaharibu kila kiumbe hai nilichokiumba juu ya uso wa ardhi.”
010705002b	Nuhu alifanya yote ambayo Yahwe alimuagiza.
010706004c	Nuhu alikuwa na umri wa miaka mia sita wakati gharika ilipokuja juu ya nchi.
010707007a	Nuhu, watoto wake wa kiume, mke wake, na wake za watoto wake waliingia katika safina pamoja kwa sababu ya maji ya gharika.
0107080058	Wanyama ambao ni safi na wanyama ambao si safi, ndege, na kila kitambaacho juu ya ardhi,
0107090071	wawili wawili mume na mke wakaja kwa Nuhu na wakaingia katika safina, kama vile Mungu alivyokuwa amemwagiza Nuhu.
01070a0044	Ikawa kwamba baada ya siku saba, maji ya gharika yakaja juu ya nchi.
01070b00de	Katika mwaka wa mia sita wa maisha yake Nuhu, katika mwezi wa pili, katika siku ya kumi na saba ya mwezi, katika siku iyo hiyo, chemchemi zote za vilindi vikuu zilipasuka na kufunguka, na madirisha ya mbinguni yakafunguka.
01070c0044	Mvua ikaanza kunyesha juu ya nchi kwa siku arobaini mchana na usiku.
01070d009a	Katika siku iyo hiyo Nuhu pamoja na watoto wake, Shem, Ham, na Yafethi na mke wa Nuhu, na wale wake watatu wa wana wa Nuhu pamoja waliingia katika safina.
01070e00dc	Waliingia pamoja na kila mnyama wa mwitu kwa jinsi yake, na kila mnyama wa kufugwa kwa jinsi yake, na kila kitambaacho juu ya ardhi kwa jinsi yake, na kila aina ya ndege kwa jinsi yake, kila aina ya kiumbe chenye mabawa.
01070f0074	Viwili viwili katika kila chenye mwili ambacho kilikuwa na pumzi ya uhai kilikuja kwa Nuhu na kuingia katika safina.
010710009b	Wanyama walioingia ndani walikuwa wakiume na kike katika wote wenye mwili; wakaingia kama vile Mungu alivyokuwa amemwagiza. Kisha Yahwe akawafungia mlango.
0107110065	Kisha gharika ikaja juu ya nchi kwa siku arobaini, na maji yakaongezeka na kuinua safina juu ya nchi.
0107120042	Maji yakafunika kabisa nchi, na safina ikaelea juu ya uso wa maji.
010713006c	Maji yakaongezeka zaidi juu ya nchi kiasi kwamba milima yote mirefu ambayo ilikuwa chini ya anga ikafunikwa.
010714003f	Maji yakaongezeka dhiraa kumi na tano juu ya vilele vya milima.
01071500a6	Vitu vyote vyenye uhai ambavyo vilitembea juu ya nchi vilikufa: ndege, mifugo, wanyama wa mwituni, viumbe hai vyote kwa wingi vilivyoishi juu ya nchi, pamoja na watu.
0107160065	Viumbe hai vyote ambavyo vilikaa juu ya ardhi, vilivyo pumua pumzi ya uhai kwa njia ya pua, vilikufa.
0107170106	Hivyo kila kilichokuwa hai ambacho kilikuwa juu ya uso wa mchi kilifutwa, kuanzia watu mpaka wanyama wakubwa, mpaka vitambaavyo, na mpaka ndege wa angani. Vyote viliangamizwa kutoka kwenye nchi. Nuhu tu pamoja na wale waliokuwa naye kwenye safina ndio walisalia.
0107180043	Maji haya kuzama chini ya nchi kwa muda wa siku miamoja na hamsini.
01080100b9	Mungu akamtazama Nuhu, wanyama wote wa mwitu, na wanyama wote wa kufugwa ambao walikuwa pamoja naye kwenye safina. Mungu akafanya upepo uvume juu ya nchi, na maji yakaanza kuzama chini.
0108020059	Chemichemi za vilindi pamoja na madirisha ya mbingu vikafungwa, na mvua ikakoma kunyesha.
010803007b	Maji ya gharika yakaanza kuzama kidogo kidogo katika nchi. na mwisho wa siku miamoja na hamsini maji yakawa yamezama chini.
010804005e	safina ikatulia katika mwezi wa saba, siku ya kumi na saba ya mwezi, juu ya milima ya Ararati.
0108050069	Maji yakaendelea kuzama chini hadi mwezi wa kumi. Siku ya kwanza ya mwezi, vilele vya milima vikaonekana.
010806005d	Ikatokea kwamba baada ya siku arobaini Nuhu alifungua dirisha la safina ambayo aliitengeneza.
010807003e	Akatuma kunguru na akaruka hadi maji yalipo kauka katika nchi.
010808004d	Kisha akatuma njiwa kuona kama maji yamezama chini kutoka kwenye uso wa nchi,
01080900d0	lakini njiwa hakuona sehemu ya kutua unyayo wake, na akarudi kwake ndani ya safina, kwa kuwa maji yalikuwa bado yamefunika nchi yote. Akanyoosha mkono wake, akamchukua na kumuweka ndani ya safina pamoja naye.
01080a0044	Akasubiri siku saba zingine akatuma tena njiwa kutoka kwenye safina.
01080b00a6	Njiwa akarudi kwake jioni. Tazama! katika mdomo wake kulikuwa na jani bichi la mzeituni lililochumwa. Kwa hiyo Nuhu akatambua kuwa maji yamekwisha zama chini ya nchi.
01080c004e	Akasubiri siku saba zingine na akamtuma njiwa tena. Njiwa hakurudi kwake tena.
01080d00ee	Ikawa kwamba katika mwaka wa mia sita na moja, katika mwezi wa kwanza, siku ya kwanza ya mwezi, maji yalikuwa yamekauka katika nchi. Nuhu akaondoa kifuniko cha safina, akatazama nje, na akaona kwamba, Tazama, uso wa nchi ulikuwa umekauka.
01080e004f	Katika mwezi wa pili, siku ya ishirini na saba ya mwezi, nchi ilikuwa imekauka.
01080f0016	Mungu akamwambia Nuhu,
0108100054	“Toka nje ya safina, wewe, mke wako, wanao wa kiume, na wake wa wanao pamoja nawe.
