0100000006	1 Mose
01011c00f2	Und Gott segnete sie und sprach zu ihnen: Seid fruchtbar und mehrt euch und füllt die Erde und macht sie euch untertan und herrscht über die Fische im Meer und über die Vögel unter dem Himmel und über alles Getier, das auf Erden kriecht.
01011d00a7	Und Gott sprach: Seht da, ich habe euch gegeben allerlei Kraut, das sich besamt, auf der ganzen Erde und allerlei fruchtbare Bäume, die sich besamen, zu eurer Speise,
01011e00a3	und allem Getier auf Erden und allen Vögeln unter dem Himmel und allem Gewürm, das da lebt auf Erden, daß sie allerlei grünes Kraut essen. Und es geschah also.
01011f0079	Und Gott sah alles an, was er gemacht hatte; und siehe da, es war sehr gut. Da ward aus Abend und Morgen der sechste Tag.
010201003a	Also ward vollendet Himmel und Erde mit ihrem ganzen Heer.
010202008a	Und also vollendete Gott am siebenten Tage seine Werke, die er machte, und ruhte am siebenten Tage von allen seinen Werken, die er machte.
0102030090	Und Gott segnete den siebenten Tag und heiligte ihn, darum daß er an demselben geruht hatte von allen seinen Werken, die Gott schuf und machte.
0102040070	Also ist Himmel und Erde geworden, da sie geschaffen sind, zu der Zeit, da Gott der HERR Erde und Himmel machte.
01020500e1	Und allerlei Bäume auf dem Felde waren noch nicht auf Erden, und allerlei Kraut auf dem Felde war noch nicht gewachsen; denn Gott der HERR hatte noch nicht regnen lassen auf Erden, und es war kein Mensch, der das Land baute.
010206003e	Aber ein Nebel ging auf von der Erde und feuchtete alles Land.
010207009f	Und Gott der HERR machte den Menschen aus einem Erdenkloß, uns blies ihm ein den lebendigen Odem in seine Nase. Und also ward der Mensch eine lebendige Seele.
0102080072	Und Gott der HERR pflanzte einen Garten in Eden gegen Morgen und setzte den Menschen hinein, den er gemacht hatte.
01020900be	Und Gott der HERR ließ aufwachsen aus der Erde allerlei Bäume, lustig anzusehen und gut zu essen, und den Baum des Lebens mitten im Garten und den Baum der Erkenntnis des Guten und Bösen.
01020a006a	Und es ging aus von Eden ein Strom, zu wässern den Garten, und er teilte sich von da in vier Hauptwasser.
01020b005b	Das erste heißt Pison, das fließt um das ganze Land Hevila; und daselbst findet man Gold.
01020c005a	Und das Gold des Landes ist köstlich; und da findet man Bedellion und den Edelstein Onyx.
01020d0047	Das andere Wasser heißt Gihon, das fließt um um das ganze Mohrenland.
01020e005f	Das dritte Wasser heißt Hiddekel, das fließt vor Assyrien. Das vierte Wasser ist der Euphrat.
01020f0066	Und Gott der HERR nahm den Menschen und setzte ihn in den Garten Eden, daß er ihn baute und bewahrte.
0102100060	Und Gott der HERR gebot dem Menschen und sprach: Du sollst essen von allerlei Bäumen im Garten;
010211008e	aber von dem Baum der Erkenntnis des Guten und des Bösen sollst du nicht essen; denn welches Tages du davon ißt, wirst du des Todes sterben.
010212007a	Und Gott der HERR sprach: Es ist nicht gut, daß der Mensch allein sei; ich will ihm eine Gehilfin machen, die um ihn sei.
010213010a	Denn als Gott der HERR gemacht hatte von der Erde allerlei Tiere auf dem Felde und allerlei Vögel unter dem Himmel, brachte er sie zu dem Menschen, daß er sähe, wie er sie nennte; denn der wie Mensch allerlei lebendige Tiere nennen würde, so sollten sie heißen.
01021400ae	Und der Mensch gab einem jeglichen Vieh und Vogel unter dem Himmel und Tier auf dem Felde seinen Namen; aber für den Menschen ward keine Gehilfin gefunden, die um ihn wäre.
010215009e	Da ließ Gott der HERR einen tiefen Schlaf fallen auf den Menschen, und er schlief ein. Und er nahm seiner Rippen eine und schloß die Stätte zu mit Fleisch.
0102160061	Und Gott der HERR baute ein Weib aus der Rippe, die er vom Menschen nahm, und brachte sie zu ihm.
010217009c	Da sprach der Mensch: Das ist doch Bein von meinem Bein und Fleisch von meinem Fleisch; man wird sie Männin heißen, darum daß sie vom Manne genommen ist.
010218006b	Darum wird ein Mann Vater und Mutter verlassen und an seinem Weibe hangen, und sie werden sein ein Fleisch.
010219004d	Und sie waren beide nackt, der Mensch und das Weib, und schämten sich nicht.
01030100d2	Und die Schlange war listiger denn alle Tiere auf dem Felde, die Gott der HERR gemacht hatte, und sprach zu dem Weibe: Ja, sollte Gott gesagt haben: Ihr sollt nicht essen von den Früchten der Bäume im Garten?
0103020055	Da sprach das Weib zu der Schlange: Wir essen von den Früchten der Bäume im Garten;
0103030084	aber von den Früchten des Baumes mitten im Garten hat Gott gesagt: Eßt nicht davon, rührt's auch nicht an, daß ihr nicht sterbt.
010304004a	Da sprach die Schlange zum Weibe: Ihr werdet mitnichten des Todes sterben;
0103050092	sondern Gott weiß, daß, welches Tages ihr davon eßt, so werden eure Augen aufgetan, und werdet sein wie Gott und wissen, was gut und böse ist.
01030600dd	Und das Weib schaute an, daß von dem Baum gut zu essen wäre und daß er lieblich anzusehen und ein lustiger Baum wäre, weil er klug machte; und sie nahm von der Frucht und aß und gab ihrem Mann auch davon, und er aß.
0103070093	Da wurden ihrer beiden Augen aufgetan, und sie wurden gewahr, daß sie nackt waren, und flochten Feigenblätter zusammen und machten sich Schürze.
01030800c8	Und sie hörten die Stimme Gottes des HERRN, der im Garten ging, da der Tag kühl geworden war. Und Adam versteckte sich mit seinem Weibe vor dem Angesicht Gottes des HERRN unter die Bäume im Garten.
010309003a	Und Gott der HERR rief Adam und sprach zu ihm: Wo bist du?
01030a0074	Und er sprach: Ich hörte deine Stimme im Garten und fürchtete mich; denn ich bin nackt, darum versteckte ich mich.
01030b0091	Und er sprach: Wer hat dir's gesagt, daß du nackt bist? Hast du nicht gegessen von dem Baum, davon ich dir gebot, du solltest nicht davon essen?
01030c005b	Da sprach Adam: Das Weib, das du mir zugesellt hast, gab mir von von dem Baum, und ich aß.
01030d0079	Da sprach Gott der HERR zum Weibe: Warum hast du das getan? Das Weib sprach: Die Schlange betrog mich also, daß ich aß.
01030e00cc	Da sprach Gott der HERR zu der Schlange: Weil du solches getan hast, seist du verflucht vor allem Vieh und vor allen Tieren auf dem Felde. Auf deinem Bauche sollst du gehen und Erde essen dein Leben lang.
01030f00b2	Und ich will Feindschaft setzen zwischen dir und dem Weibe und zwischen deinem Samen und ihrem Samen. Derselbe soll dir den Kopf zertreten, und du wirst ihn in die Ferse stechen.
01031000cc	Und zum Weibe sprach er: Ich will dir viel Schmerzen schaffen, wenn du schwanger wirst; du sollst mit Schmerzen Kinder gebären; und dein Verlangen soll nach deinem Manne sein, und er soll dein Herr sein.
0103110108	Und zu Adam sprach er: Dieweil du hast gehorcht der Stimme deines Weibes und hast gegessen von dem Baum, davon ich dir gebot und sprach: Du sollst nicht davon essen, verflucht sei der Acker um deinetwillen, mit Kummer sollst du dich darauf nähren dein Leben lang.
0103120050	Dornen und Disteln soll er dir tragen, und sollst das Kraut auf dem Felde essen.
01031300a2	Im Schweiße deines Angesichts sollst du dein Brot essen, bis daß du wieder zu Erde werdest, davon du genommen bist. Denn du bist Erde und sollst zu Erde werden.
010314004e	Und Adam hieß sein Weib Eva, darum daß sie eine Mutter ist aller Lebendigen.
0103150052	Und Gott der HERR machte Adam und seinem Weibe Röcke von Fellen und kleidete sie.
01031600d5	Und Gott der HERR sprach: Siehe, Adam ist geworden wie unsereiner und weiß, was gut und böse ist. Nun aber, daß er nicht ausstrecke seine Hand und breche auch von dem Baum des Lebens und esse und lebe ewiglich!
010317005d	Da wies ihn Gott der HERR aus dem Garten Eden, daß er das Feld baute, davon er genommen ist,
010318008e	und trieb Adam aus und lagerte vor den Garten Eden die Cherubim mit dem bloßen, hauenden Schwert, zu bewahren den Weg zu dem Baum des Lebens.
0104010082	Und Adam erkannte sein Weib Eva, und sie ward schwanger und gebar den Kain und sprach: Ich habe einen Mann gewonnen mit dem HERRN.
010402006a	Und sie fuhr fort und gebar Abel, seinen Bruder. Und Abel ward ein Schäfer; Kain aber ward ein Ackermann.
0104030061	Es begab sich nach etlicher Zeit, daß Kain dem HERRN Opfer brachte von den Früchten des Feldes;
010404007a	und Abel brachte auch von den Erstlingen seiner Herde und von ihrem Fett. Und der HERR sah gnädig an Abel und sein Opfer;
010405006d	aber Kain und sein Opfer sah er nicht gnädig an. Da ergrimmte Kain sehr, und seine Gebärde verstellte sich.
0104060058	Da sprach der HERR zu Kain: Warum ergrimmst du? und warum verstellt sich deine Gebärde?
01040700b1	Ist's nicht also? Wenn du fromm bist, so bist du angenehm; bist du aber nicht fromm, so ruht die Sünde vor der Tür, und nach dir hat sie Verlangen; du aber herrsche über sie.
0104080092	Da redete Kain mit seinem Bruder Abel. Und es begab sich, da sie auf dem Felde waren, erhob sich Kain wider seinen Bruder Abel und schlug ihn tot.
0104090075	Da sprach der HERR zu Kain: Wo ist dein Bruder Abel? Er sprach: Ich weiß nicht; soll ich meines Bruders Hüter sein?
01040a0063	Er aber sprach: Was hast du getan? Die Stimme des Bluts deines Bruders schreit zu mir von der Erde.
01040b0078	Und nun verflucht seist du auf der Erde, die ihr Maul hat aufgetan und deines Bruders Blut von deinen Händen empfangen.
01040c007d	Wenn du den Acker bauen wirst, soll er dir hinfort sein Vermögen nicht geben. Unstet und flüchtig sollst du sein auf Erden.
01040d0062	Kain aber sprach zu dem HERRN: Meine Sünde ist größer, denn daß sie mir vergeben werden möge.
01040e00c6	Siehe, du treibst mich heute aus dem Lande, und ich muß mich vor deinem Angesicht verbergen und muß unstet und flüchtig sein auf Erden. So wird mir's gehen, daß mich totschlage, wer mich findet.
01040f00be	Aber der HERR sprach zu ihm: Nein; sondern wer Kain totschlägt, das soll siebenfältig gerächt werden. Und der HERR machte ein Zeichen an Kain, daß ihn niemand erschlüge, wer ihn fände.
010410005f	Also ging Kain von dem Angesicht des HERRN und wohnte im Lande Nod, jenseit Eden, gegen Morgen.
010411008d	Und Kain erkannte sein Weib, die ward schwanger und gebar den Henoch. Und er baute eine Stadt, die nannte er nach seines Sohnes Namen Henoch.
0104120062	Henoch aber zeugte Irad, Irad zeugte Mahujael, Mahujael zeugte Methusael, Methusael zeugte Lamech.
010413003f	Lamech aber nahm zwei Weiber; eine hieß Ada, die andere Zilla.
0104140055	Und Ada gebar Jabal; von dem sind hergekommen, die in Hütten wohnten und Vieh zogen.
010415004d	Und sein Bruder hieß Jubal; von dem sind hergekommen die Geiger und Pfeifer.
010416008a	Die Zilla aber gebar auch, nämlich den Thubalkain, den Meister in allerlei Erz-und Eisenwerk. Und die Schwester des Thubalkain war Naema.
01041700c6	Und Lamech sprach zu seinen Weibern Ada und Zilla: Ihr Weiber Lamechs, hört meine Rede und merkt, was ich sage: Ich habe einen Mann erschlagen für meine Wunde und einen Jüngling für meine Beule;
0104180045	Kain soll siebenmal gerächt werden, aber Lamech siebenundsiebzigmal.
01041900ab	Adam erkannte abermals sein Weib, und sie gebar einen Sohn, den hieß sie Seth; denn Gott hat mir, sprach sie, einen andern Samen gesetzt für Abel, den Kain erwürgt hat.
01041a006d	Und Seth zeugte auch einen Sohn und hieß ihn Enos. Zu der Zeit fing man an, zu predigen von des HERRN Namen.
010501006f	Dies ist das Buch von des Menschen Geschlecht. Da Gott den Menschen schuf, machte er ihn nach dem Bilde Gottes;
0105020076	und schuf sie einen Mann und ein Weib und segnete sie und hieß ihren Namen Mensch zur Zeit, da sie geschaffen wurden.
0105030070	Und Adam war hundertunddreißig Jahre alt und zeugte einen Sohn, der seinem Bild ähnlich war und hieß ihn Seth
0105040043	und lebte darnach achthundert Jahre und zeugte Söhne und Töchter;
0105050044	daß sein ganzes Alter ward neunhundertunddreißig Jahre, und starb.
0105060032	Seth war hundertundfünf Jahre alt und zeugte Enos
010507004c	und lebte darnach achthundertundsieben Jahre und zeugte Söhne und Töchter;
0105080042	daß sein ganzes Alter ward neunhundertundzwölf Jahre, und starb.
010509002b	Enos war neunzig Jahre alt und zeugte Kenan
01050a004d	und lebte darnach achthundertundfünzig Jahre und zeugte Söhne und Töchter;
01050b0041	daß sein ganzes Alter ward neunhundertundfünf Jahre, und starb.
01050c0031	Kenan war siebzig Jahre alt und zeugte Mahalaleel
01050d004d	und lebte darnach achthundertundvierzig Jahre und zeugte Söhne und Töchter;
01050e0040	daß sein ganzes Alter ward neunhundertundzehn Jahre, und starb.
01050f0035	Mahalaleel war fünfundsechzig Jahre und zeugte Jared
010510004e	und lebte darnach achthundertunddreißig Jahre und zeugte Söhne und Töchter;
010511004d	daß sein ganzes Alter ward achthundert und fünfundneunzig Jahre, und starb.
010512003b	Jared war hundertzweiundsechzig Jahre alt und zeugte Henoch
0105130046	und er lebte darnach achthundert Jahre und zeugte Söhne und Töchter;
010514004c	daß sein ganzes Alter ward neunhundert und zweiundsechzig Jahre, und starb.
010515003b	Henoch war fünfundsechzig Jahre alt und zeugte Methusalah.
010516007e	Und nachdem er Methusalah gezeugt hatte, blieb er in einem göttlichen Leben dreihundert Jahre und zeugte Söhne und Töchter;
010517003d	daß sein ganzes Alter ward dreihundertfünfundsechzig Jahre.
0105180063	Und dieweil er ein göttliches Leben führte, nahm ihn Gott hinweg, und er ward nicht mehr gesehen.
0105190042	Methusalah war hundertsiebenundachtzig Jahre alt und zeugte Lamech
01051a0058	und lebte darnach siebenhundert und zweiundachtzig Jahre und zeugte Söhne und Töchter;
01051b004c	daß sein ganzes Alter ward neunhundert und neunundsechzig Jahre, und starb.
01051c0040	Lamech war hundertzweiundachtzig Jahre alt und zeugte einen Sohn
01051d0079	und hieß ihn Noah und sprach: Der wird uns trösten in unsrer Mühe und Arbeit auf der Erde, die der HERR verflucht hat.
01051e0057	Darnach lebte er fünfhundert und fünfundneunzig Jahre und zeugte Söhne und Töchter;
01051f004c	daß sein ganzes Alter ward siebenhundert siebenundsiebzig Jahre, und starb.
0105200040	Noah war fünfhundert Jahre alt und zeugte Sem, Ham und Japheth.
0106010059	Da sich aber die Menschen begannen zu mehren auf Erden und ihnen Töchter geboren wurden,
010602007c	da sahen die Kinder Gottes nach den Töchtern der Menschen, wie sie schön waren, und nahmen zu Weibern, welche sie wollten.
01060300a8	Da sprach der HERR: Die Menschen wollen sich von meinem Geist nicht mehr strafen lassen; denn sie sind Fleisch. Ich will ihnen noch Frist geben hundertundzwanzig Jahre.
01060400ca	Es waren auch zu den Zeiten Tyrannen auf Erden; denn da die Kinder Gottes zu den Töchtern der Menschen eingingen und sie ihnen Kinder gebaren, wurden daraus Gewaltige in der Welt und berühmte Männer.
0106050088	Da aber der HERR sah, daß der Menschen Bosheit groß war auf Erden und alles Dichten und Trachten ihres Herzens nur böse war immerdar,
0106060067	da reute es ihn, daß er die Menschen gemacht hatte auf Erden, und es bekümmerte ihn in seinem Herzen,
01060700e3	und er sprach: Ich will die Menschen, die ich gemacht habe, vertilgen von der Erde, vom Menschen an bis auf das Vieh und bis auf das Gewürm und bis auf die Vögel unter dem Himmel; denn es reut mich, daß ich sie gemacht habe.
0106080023	Aber Noah fand Gnade vor dem HERRN.
010609007b	Dies ist das Geschlecht Noahs. Noah war ein frommer Mann und ohne Tadel und führte ein göttliches Leben zu seinen Zeiten.
01060a002c	und zeugte drei Söhne Sem, Ham und Japheth.
01060b003d	Aber die Erde war verderbt vor Gottes Augen und voll Frevels.
01060c006e	Da sah Gott auf die Erde, und siehe, sie war verderbt; denn alles Fleisch hatte seinen Weg verderbt auf Erden.
01060d00a0	Da sprach Gott zu Noah: Alles Fleisches Ende ist vor mich gekommen; denn die Erde ist voll Frevels von ihnen; und siehe da, ich will sie verderben mit der Erde.
01060e006f	Mache dir einen Kasten von Tannenholz und mache Kammern darin und verpiche ihn mit Pech inwendig und auswendig.
01060f006c	Und mache ihn also: Dreihundert Ellen sei die Länge, fünfzig Ellen die Weite und dreißig Ellen die Höhe.
01061000ca	Ein Fenster sollst du daran machen obenan, eine Elle groß. Die Tür sollst du mitten in seine Seite setzen. Und er soll drei Boden haben: einen unten, den andern in der Mitte, den dritten in der Höhe.
01061100be	Denn siehe, ich will eine Sintflut mit Wasser kommen lassen auf Erden, zu verderben alles Fleisch, darin ein lebendiger Odem ist, unter dem Himmel. Alles, was auf Erden ist, soll untergehen.
0106120092	Aber mit dir will ich einen Bund aufrichten; und du sollst in den Kasten gehen mit deinen Söhnen, mit deinem Weibe und mit deiner Söhne Weibern.
0106130089	Und du sollst in den Kasten tun allerlei Tiere von allem Fleisch, je ein Paar, Männlein und Weiblein, daß sie lebendig bleiben bei dir.
01061400bb	Von den Vögeln nach ihrer Art, von dem Vieh nach seiner Art und von allerlei Gewürm auf Erden nach seiner Art: von den allen soll je ein Paar zu dir hineingehen, daß sie leben bleiben.
0106150085	Und du sollst allerlei Speise zu dir nehmen, die man ißt, und sollst sie bei dir sammeln, daß sie dir und ihnen zur Nahrung da sei.
0106160027	Und Noah tat alles, was ihm Gott gebot.
0107010084	Und der HERR sprach zu Noah: Gehe in den Kasten, du und dein ganzes Haus; denn ich habe dich gerecht ersehen vor mir zu dieser Zeit.
01070200a4	Aus allerlei reinem Vieh nimm zu dir je sieben und sieben, das Männlein und sein Weiblein; von dem unreinen Vieh aber je ein Paar, das Männlein und sein Weiblein.
010703009a	Desgleichen von den Vögeln unter dem Himmel je sieben und sieben, das Männlein und sein Weiblein, auf daß Same lebendig bleibe auf dem ganzen Erdboden.
01070400ae	Denn von nun an über sieben Tage will ich regnen lassen auf Erden vierzig Tage und vierzig Nächte und vertilgen von dem Erdboden alles, was Wesen hat, was ich gemacht habe.
010705002b	Und Noah tat alles, was ihm der HERR gebot.
010706004d	Er war aber sechshundert Jahre alt, da das Wasser der Sintflut auf Erden kam.
0107070074	Und er ging in den Kasten mit seinen Söhnen, seinem Weibe und seiner Söhne Weibern vor dem Gewässer der Sintflut.
0107080059	Von dem reinen Vieh und von dem unreinen, von den Vögeln und von allem Gewürm auf Erden
0107090061	gingen zu ihm in den Kasten paarweise, je ein Männlein und Weiblein, wie ihm Gott geboten hatte.
01070a0051	Und da die sieben Tage vergangen waren, kam das Gewässer der Sintflut auf Erden.
01070b00c1	In dem sechshundertsten Jahr des Alters Noahs, am siebzehnten Tage des zweiten Monats, das ist der Tag, da aufbrachen alle Brunnen der großen Tiefe, und taten sich auf die Fenster des Himmels,
01070c003d	und kam ein Regen auf Erden vierzig Tage und vierzig Nächte.
01070d008a	Eben am selben Tage ging Noah in den Kasten mit Sem, Ham und Japheth, seinen Söhnen, und mit seinem Weibe und seiner Söhne drei Weibern,
01070e00d6	dazu allerlei Getier nach seiner Art, allerlei Vieh nach seiner Art, allerlei Gewürm, das auf Erden kriecht, nach seiner Art und allerlei Vögel nach ihrer Art, alles was fliegen konnte, alles, was Fittiche hatte;
01070f0062	das ging alles zu Noah in den Kasten paarweise, von allem Fleisch, darin ein lebendiger Geist war.
0107100092	Und das waren Männlein und Weiblein von allerlei Fleisch, und gingen hinein, wie denn Gott ihm geboten hatte. Und der HERR schloß hinter ihm zu.
0107110080	Da kam die Sintflut vierzig Tage auf Erden, und die Wasser wuchsen und hoben den Kasten auf und trugen ihn empor über die Erde.
0107120063	Also nahm das Gewässer überhand und wuchs sehr auf Erden, daß der Kasten auf dem Gewässer fuhr.
010713007b	Und das Gewässer nahm überhand und wuchs so sehr auf Erden, daß alle hohen Berge unter dem ganzen Himmel bedeckt wurden.
010714004c	Fünfzehn Ellen hoch ging das Gewässer über die Berge, die bedeckt wurden.
010715008c	Da ging alles Fleisch unter, das auf Erden kriecht, an Vögeln, an Vieh, an Tieren und an allem, was sich regt auf Erden, und alle Menschen.
0107160044	Alles, was einen lebendigen Odem hatte auf dem Trockenen, das starb.
01071700eb	Also ward vertilgt alles, was auf dem Erdboden war, vom Menschen an bis auf das Vieh und das Gewürm und auf die Vögel unter dem Himmel; das ward alles von der Erde vertilgt. Allein Noah blieb übrig und was mit ihm in dem Kasten war.
010718003a	Und das Gewässer stand auf Erden hundertundfünfzig Tage.
0108010094	Da gedachte Gott an Noah und an alle Tiere und an alles Vieh, das mit ihm in dem Kasten war, und ließ Wind auf Erden kommen, und die Wasser fielen;
0108020070	und die Brunnen der Tiefe wurden verstopft samt den Fenstern des Himmels, und dem Regen vom Himmel ward gewehrt;
010803005e	und das Gewässer verlief sich von der Erde immer mehr und nahm ab nach hundertfünfzig Tagen.
010804005d	Am siebzehnten Tage des siebenten Monats ließ sich der Kasten nieder auf das Gebirge Ararat.
0108050085	Es nahm aber das Gewässer immer mehr ab bis auf den zehnten Monat. Am ersten Tage des zehnten Monats sahen der Berge Spitzen hervor.
0108060050	Nach vierzig Tagen tat Noah das Fenster auf an dem Kasten, das er gemacht hatte,
010807006e	und ließ einen Raben ausfliegen; der flog immer hin und wieder her, bis das Gewässer vertrocknete auf Erden.
0108080071	Darnach ließ er eine Taube von sich ausfliegen, auf daß er erführe, ob das Gewässer gefallen wäre auf Erden.
01080900cf	Da aber die Taube nicht fand, da ihr Fuß ruhen konnte, kam sie wieder zu ihm in den Kasten; denn das Gewässer war noch auf dem ganzen Erdboden. Da tat er die Hand heraus und nahm sie zu sich in den Kasten.
01080a005b	Da harrte er noch weitere sieben Tage und ließ abermals eine Taube fliegen aus dem Kasten.
01080b00a3	Die kam zu ihm zur Abendzeit, und siehe, ein Ölblatt hatte sie abgebrochen und trug's in ihrem Munde. Da merkte Noah, daß das Gewässer gefallen wäre auf Erden.
01080c0064	Aber er harrte noch weiter sieben Tage und ließ eine Taube ausfliegen; die kam nicht wieder zu ihm.
01080d00c2	Im sechshundertundersten Jahr des Alters Noahs, am ersten Tage des ersten Monats vertrocknete das Gewässer auf Erden. Da tat Noah das Dach von dem Kasten und sah, daß der Erdboden trocken war.
01080e0050	Also ward die Erde ganz trocken am siebenundzwanzigsten Tage des zweiten Monats.
01080f0023	Da redete Gott mit Noah und sprach:
0108100055	Gehe aus dem Kasten, du und dein Weib, deine Söhne und deiner Söhne Weiber mit dir.
01081100e1	Allerlei Getier, das bei dir ist, von allerlei Fleisch, an Vögeln, an Vieh und an allerlei Gewürm, das auf Erden kriecht, das gehe heraus mit dir, daß sie sich regen auf Erden und fruchtbar seien und sich mehren auf Erden.
0108120054	Also ging Noah heraus mit seinen Söhnen und seinem Weibe und seiner Söhne Weibern,
0108130094	dazu allerlei Getier, allerlei Gewürm, allerlei Vögel und alles, was auf Erden kriecht; das ging aus dem Kasten, ein jegliches mit seinesgleichen.
010814008f	Noah aber baute dem HERRN einen Altar und nahm von allerlei reinem Vieh und von allerlei reinem Geflügel und opferte Brandopfer auf dem Altar.
0108150121	Und der HERR roch den lieblichen Geruch und sprach in seinem Herzen: Ich will hinfort nicht mehr die Erde verfluchen um der Menschen willen; denn das Dichten des menschlichen Herzens ist böse von Jugend auf. Und ich will hinfort nicht mehr schlagen alles, was da lebt, wie ich getan habe.
010816006f	Solange die Erde steht, soll nicht aufhören Saat und Ernte, Frost und Hitze, Sommer und Winter, Tag und Nacht.
0109010067	Und Gott segnete Noah und seine Söhne und sprach: Seid fruchtbar und mehrt euch und erfüllt die Erde.
01090200d0	Furcht und Schrecken vor euch sei über alle Tiere auf Erden und über alle Vögel unter dem Himmel, über alles, was auf dem Erdboden kriecht, und über alle Fische im Meer; in eure Hände seien sie gegeben.
0109030067	Alles, was sich regt und lebt, das sei eure Speise; wie das grüne Kraut habe ich's euch alles gegeben.
010904003c	Allein eßt das Fleisch nicht, das noch lebt in seinem Blut.
01090500a8	Auch will ich eures Leibes Blut rächen und will's an allen Tieren rächen und will des Menschen Leben rächen an einem jeglichen Menschen als dem, der sein Bruder ist.
0109060083	Wer Menschenblut vergießt, des Blut soll auch durch Menschen vergossen werden; denn Gott hat den Menschen zu seinem Bilde gemacht.
0109070054	Seid fruchtbar und mehrt euch und regt euch auf Erden, daß euer viel darauf werden.
0109080032	Und Gott sagte zu Noah und seinen Söhnen mit ihm:
0109090047	Siehe, ich richte mit euch einen Bund auf und mit eurem Samen nach euch
01090a00b3	und mit allem lebendigen Getier bei euch, an Vögeln, an Vieh und an allen Tieren auf Erden bei euch, von allem, was aus dem Kasten gegangen ist, was für Tiere es sind auf Erden.
01090b00c5	Und richte meinen Bund also mit euch auf, daß hinfort nicht mehr alles Fleisch verderbt werden soll mit dem Wasser der Sintflut, und soll hinfort keine Sintflut mehr kommen, die die Erde verderbe.
01090c0092	Und Gott sprach: Das ist das Zeichen des Bundes, den ich gemacht habe zwischen mir und euch und allen lebendigen Seelen bei euch hinfort ewiglich:
01090d006c	Meinen Bogen habe ich gesetzt in die Wolken; der soll das Zeichen sein des Bundes zwischen mir und der Erde.
01090e0067	Und wenn es kommt, daß ich Wolken über die Erde führe, so soll man meinen Bogen sehen in den Wolken.
