0100000008	Kejadian
01040700c6	Jika engkau berbuat baik, pasti engkau tersenyum; tetapi jika engkau berbuat jahat, maka dosa menunggu untuk masuk ke dalam hatimu. Dosa hendak menguasai dirimu, tetapi engkau harus mengalahkannya."
010408008b	Lalu kata Kain kepada Habel, adiknya, "Mari kita pergi ke ladang." Ketika mereka sampai di situ, Kain menyerang dan membunuh Habel adiknya.
0104090075	TUHAN bertanya kepada Kain, "Di mana Habel, adikmu?" Kain menjawab, "Saya tak tahu. Haruskah saya menjaga adik saya?"
01040a00a0	Lalu TUHAN berkata, "Mengapa engkau melakukan hal yang mengerikan itu? Darah adikmu berseru kepada-Ku dari tanah, seperti suara yang berteriak minta pembalasan.
01040b00bb	Engkau terkutuk sehingga tak bisa lagi mengusahakan tanah. Tanah itu telah menyerap darah adikmu, seolah-olah dibukanya mulutnya untuk menerima darah adikmu itu ketika engkau membunuhnya.
01040c008b	Jika engkau bercocok tanam, tanah tidak akan menghasilkan apa-apa; engkau akan menjadi pengembara yang tidak punya tempat tinggal di bumi."
01040d0056	Maka kata Kain kepada TUHAN, "Hukuman itu terlalu berat, saya tak dapat menanggungnya.
01040e00be	Engkau mengusir saya dari tanah ini, jauh dari kehadiran-Mu. Saya akan menjadi pengembara yang tidak punya tempat tinggal di bumi, dan saya akan dibunuh oleh siapa saja yang menemukan saya."
01040f00e9	Tetapi TUHAN berkata, "Tidak. Kalau engkau dibunuh, maka sebagai pembalasan, tujuh orang termasuk pembunuhmu itu akan dibunuh juga." Kemudian TUHAN menaruh tanda pada Kain supaya siapa saja yang bertemu dengan dia jangan membunuhnya.
010410006d	Lalu pergilah Kain dari hadapan TUHAN dan tinggal di tanah yang bernama "Pengembaraan" di sebelah timur Eden.
010411009c	Kain dan istrinya mendapat anak laki-laki, yang diberi nama Henokh. Kemudian Kain mendirikan sebuah kota dan dinamakannya kota itu menurut nama anaknya itu.
010412005e	Henokh ayah Irad. Irad ayah Mehuyael. Mehuyael ayah Metusael, dan Metusael adalah ayah Lamekh.
010413002f	Lamekh mempunyai dua orang istri, Ada dan Zila.
0104140067	Ada melahirkan Yabal, dan keturunan Yabal itulah bangsa yang memelihara ternak dan tinggal dalam kemah.
0104150053	Adiknya bernama Yubal, dan keturunan Yubal adalah pemain musik kecapi dan seruling.
010416008a	Zila melahirkan Tubal-Kain, dan keturunannya membuat segala macam perkakas dari tembaga dan besi. Adik perempuan Tubal-Kain bernama Naama.
0104170076	Berkatalah Lamekh kepada kedua istrinya, "Ada dan Zila, dengarkan! Seorang pemuda kubunuh karena telah menghantam aku.
0104180077	Kalau tujuh orang dibunuh untuk membalas pembunuhan Kain, maka tujuh puluh tujuh orang akan dibunuh kalau aku dibunuh."
01041900c5	Adam dan istrinya mendapat seorang anak laki-laki lagi. Kata Hawa, "Allah telah memberi aku anak laki-laki sebagai ganti Habel, yang telah dibunuh oleh Kain." Sebab itu Hawa menamakan anak itu Set.
01041a0075	Set mempunyai anak laki-laki yang diberi nama Enos. Pada zaman itulah orang mulai menyebut nama TUHAN bila menyembah.
0105010070	Inilah daftar keturunan Adam. (Pada waktu Allah menciptakan manusia, dijadikan-Nya mereka seperti Allah sendiri.
0105020068	Diciptakan-Nya mereka laki-laki dan perempuan. Diberkati-Nya mereka dan dinamakan-Nya mereka "Manusia".)
010503006d	Ketika Adam berumur 130 tahun, ia mendapat anak laki-laki yang mirip dengan dirinya, lalu diberinya nama Set.
0105040048	Setelah itu Adam masih hidup 800 tahun lagi dan mendapat anak-anak lain.
0105050021	Ia meninggal pada usia 930 tahun.
010506004b	Pada waktu Set berumur 105 tahun, ia mendapat anak laki-laki, namanya Enos.
0105070047	Setelah itu Set masih hidup 807 tahun lagi dan mendapat anak-anak lain.
0105080021	Ia meninggal pada usia 912 tahun.
010509004c	Pada waktu Enos berumur 90 tahun, ia mendapat anak laki-laki, namanya Kenan.
01050a0048	Setelah itu Enos masih hidup 815 tahun lagi dan mendapat anak-anak lain.
01050b0021	Ia meninggal pada usia 905 tahun.
01050c0052	Pada waktu Kenan berumur 70 tahun, ia mendapat anak laki-laki, namanya Mahalaleel.
01050d003d	Kenan masih hidup 840 tahun lagi dan mendapat anak-anak lain.
01050e0021	Ia meninggal pada usia 910 tahun.
01050f0052	Pada waktu Mahalaleel berumur 65 tahun, ia mendapat anak laki-laki, namanya Yared.
010510004e	Setelah itu Mahalaleel masih hidup 830 tahun lagi dan mendapat anak-anak lain.
0105110021	Ia meninggal pada usia 895 tahun.
010512004f	Pada waktu Yared berumur 162 tahun, ia mendapat anak laki-laki, namanya Henokh.
0105130049	Setelah itu Yared masih hidup 800 tahun lagi dan mendapat anak-anak lain.
0105140021	Ia meninggal pada usia 962 tahun.
0105150051	Pada waktu Henokh berumur 65 tahun, ia mendapat anak laki-laki namanya Metusalah.
0105160064	Setelah itu Henokh hidup dalam persekutuan dengan Allah selama 300 tahun. Ia mendapat anak-anak lain
010517001c	dan mencapai umur 365 tahun.
0105180057	Karena Henokh selalu hidup akrab dengan Allah, ia menghilang karena diambil oleh Allah.
0105190053	Pada waktu Metusalah berumur 187 tahun, ia mendapat anak laki-laki, namanya Lamekh.
01051a004d	Setelah itu Metusalah masih hidup 782 tahun lagi dan mendapat anak-anak lain.
01051b0021	Ia meninggal pada usia 969 tahun.
01051c0040	Pada waktu Lamekh berumur 182 tahun, ia mendapat anak laki-laki.
01051d009d	Lamekh berkata, "Anak ini akan memberi keringanan pada waktu kita bekerja keras mengolah tanah yang dikutuk TUHAN." Karena itu Lamekh menamakan anak itu Nuh.
01051e004a	Setelah itu Lamekh masih hidup 595 tahun lagi. Ia mendapat anak-anak lain,
01051f0022	dan meninggal pada usia 777 tahun.
0105200059	Setelah Nuh berumur 500 tahun, ia mendapat tiga anak laki-laki, yaitu Sem, Yafet dan Ham.
0106010063	Setelah manusia bertambah banyak dan tersebar di seluruh dunia, dan anak-anak perempuan dilahirkan,
0106020077	makhluk-makhluk ilahi melihat bahwa gadis-gadis itu cantik-cantik. Lalu mereka mengawini gadis-gadis yang mereka sukai.
01060300af	Maka berkatalah TUHAN, "Aku tidak memperkenankan manusia hidup selama-lamanya; mereka makhluk fana, yang harus mati. Mulai sekarang umur mereka tidak akan melebihi 120 tahun."
01060400f9	Pada zaman itu, dan juga sesudahnya, ada orang-orang raksasa di bumi. Mereka keturunan gadis-gadis manusia yang kawin dengan makhluk-makhluk ilahi. Orang-orang raksasa itu adalah pahlawan-pahlawan besar dan orang-orang termasyhur di zaman purbakala.
0106050055	TUHAN melihat betapa jahatnya orang-orang di bumi; semua pikiran mereka selalu jahat.
0106060059	Ia pun menyesal telah menjadikan mereka dan menempatkan mereka di bumi. Ia begitu kecewa,
01060700a1	sehingga berkata, "Akan Kubinasakan manusia yang telah Kuciptakan itu, dan juga segala burung dan binatang lainnya, sebab Aku menyesal telah menciptakan mereka."
0106080023	Tetapi Nuh menyenangkan hati TUHAN.
01060900b9	Inilah riwayat Nuh. Ia mempunyai tiga anak laki-laki, yaitu Sem, Yafet dan Ham. Nuh tidak berbuat salah, dan dia satu-satunya orang yang baik pada zamannya. Ia hidup akrab dengan Allah.
01060b005c	Tetapi semua orang lainnya jahat dalam pandangan Allah, dan kekejaman terdapat di mana-mana.
01060c005f	Allah memandang dunia itu dan hanya melihat kejahatan saja, sebab semua manusia jahat hidupnya.
01060d00b9	Lalu berkatalah Allah kepada Nuh, "Aku telah memutuskan untuk mengakhiri hidup segala makhluk. Aku akan memusnahkan mereka beserta bumi, karena bumi telah penuh dengan kekejaman mereka.
01060e0085	Buatlah sebuah kapal untukmu dari kayu yang kuat; buatlah bilik-bilik di dalamnya, dan lapisilah dengan ter dari dalam dan dari luar.
01060f0050	Kapal itu harus 133 meter panjangnya, 22 meter lebarnya, dan 13 meter tingginya.
01061000b5	Buatlah atap pada kapal itu, dan berilah jarak sebesar 44 sentimeter di antara atap dan dinding-dindingnya. Buatlah kapal itu bertingkat tiga, dan pasanglah sebuah pintu di sisinya.
0106110074	Aku akan mendatangkan banjir untuk membinasakan setiap makhluk yang hidup di bumi. Segala sesuatu di bumi akan mati,
0106120096	tetapi dengan engkau Aku hendak membuat perjanjian. Masuklah ke dalam kapal itu bersama-sama dengan istrimu, dan anak-anakmu serta istri-istri mereka.
010613008b	Bawalah ke dalam kapal itu seekor jantan dan seekor betina dari setiap jenis burung dan binatang lainnya, supaya mereka tidak turut binasa.
010615004b	Bawalah juga segala macam makanan untukmu dan untuk binatang-binatang itu."
0106160040	Nuh melakukan segala sesuatu yang diperintahkan Allah kepadanya.
01070100b4	Lalu berkatalah TUHAN kepada Nuh, "Aku melihat bahwa engkau satu-satunya orang yang melakukan kehendak-Ku. Jadi, masuklah ke dalam kapal itu bersama-sama dengan seluruh keluargamu.
010702010e	Bawalah juga tujuh pasang dari setiap jenis burung dan binatang lainnya yang halal, sedangkan dari yang haram hanya satu pasang saja dari setiap jenis. Lakukanlah itu supaya dari setiap jenis binatang ada yang luput dari kebinasaan dan bisa berkembang biak lagi di bumi.
01070400a1	Tujuh hari lagi Aku akan menurunkan hujan yang tidak akan reda selama empat puluh hari empat puluh malam, supaya makhluk hidup yang telah Kuciptakan itu binasa."
010705003d	Lalu Nuh melakukan segala yang diperintahkan TUHAN kepadanya.
0107060034	Nuh berumur 600 tahun ketika terjadi banjir di bumi.
010707007d	Nuh dan istrinya, dan anak-anaknya beserta istri-istri mereka, masuk ke dalam kapal itu untuk menyelamatkan diri dari banjir.
0107080072	Seekor jantan dan seekor betina dari setiap jenis burung dan binatang lainnya--baik yang halal maupun yang haram--
010709004f	masuk ke dalam kapal itu bersama-sama dengan Nuh, sesuai dengan perintah Allah.
01070a002f	Tujuh hari kemudian banjir datang melanda bumi.
01070b0091	Pada waktu Nuh berumur 600 tahun, pada tanggal tujuh belas bulan dua, pecahlah segala mata air di bawah bumi. Segala pintu air di langit terbuka,
01070c003a	dan hujan turun selama empat puluh hari empat puluh malam.
01070d008a	Pada hari itu juga, Nuh dan istrinya masuk ke dalam kapal itu bersama ketiga anaknya, yaitu Sem, Yafet dan Ham beserta istri-istri mereka.
01070e008f	Bersama-sama dengan mereka masuk pula setiap jenis burung dan binatang lainnya, baik yang jinak maupun yang liar, yang besar maupun yang kecil.
01070f0071	Seekor jantan dan seekor betina dari setiap jenis makhluk hidup masuk ke dalam kapal itu bersama-sama dengan Nuh,
010710005a	sesuai dengan perintah Allah kepadanya. Setelah semuanya masuk, TUHAN menutup pintu kapal.
0107110072	Banjir itu terus melanda selama empat puluh hari, dan air menjadi cukup tinggi sehingga kapal itu dapat mengapung.
0107120044	Air semakin tinggi, dan kapal itu terapung-apung pada permukaan air.
0107130057	Air itu terus bertambah tinggi, sehingga tergenanglah gunung-gunung yang paling tinggi.
0107140053	Air terus naik sampai mencapai ketinggian tujuh meter di atas puncak-puncak gunung.
01071500d3	TUHAN membinasakan segala makhluk yang hidup di bumi ini: Manusia, burung dan binatang darat baik kecil maupun besar. Yang tidak binasa hanyalah Nuh dan semua yang ada bersama-sama dengan dia di dalam kapal itu.
010718002c	Air itu tidak kunjung surut selama 150 hari.
0108010090	Allah tidak melupakan Nuh dan segala binatang yang ada bersamanya di dalam kapal itu. Allah membuat angin bertiup, sehingga air itu mulai surut.
0108020056	Semua mata air di bawah bumi dan semua pintu air di langit ditutupnya. Hujan berhenti,
0108030045	dan air semakin surut. Sesudah 150 hari air tidak begitu tinggi lagi.
010804005d	Pada tanggal tujuh belas bulan tujuh, kapal itu kandas di sebuah puncak di pegunungan Ararat.
0108050057	Air terus surut dan pada tanggal satu bulan sepuluh, puncak-puncak gunung mulai tampak.
010806003b	Setelah empat puluh hari, Nuh membuka sebuah jendela kapal,
0108070094	dan melepaskan seekor burung gagak. Burung itu tidak kembali ke kapal melainkan terus terbang kian kemari sampai air banjir sudah surut sama sekali.
0108080067	Sementara itu, Nuh melepaskan seekor burung merpati untuk mengetahui apakah air itu memang telah surut.
01080900bd	Tetapi karena air masih menutupi seluruh muka bumi, burung merpati itu tidak menemukan tempat untuk bertengger. Maka kembalilah ia ke kapal; Nuh mengulurkan tangannya lalu membawanya masuk.
01080a0046	Nuh menunggu tujuh hari lagi, lalu melepaskan lagi burung merpati itu.
01080b008c	Pada petang hari burung itu kembali kepadanya membawa sehelai daun zaitun yang segar pada paruhnya. Sekarang Nuh tahu bahwa air telah surut.
01080c0079	Setelah menunggu tujuh hari lagi, ia melepaskan merpati itu sekali lagi; dan kali itu burung itu tidak kembali kepadanya.
01080d00c5	Pada waktu Nuh berumur 601 tahun, pada tanggal satu bulan satu, air sudah surut sama sekali. Nuh membuka atap kapal itu, dan melihat ke sekelilingnya. Ia melihat bahwa permukaan tanah sudah kering.
01080e003a	Pada tanggal dua puluh tujuh bulan dua, bumi sudah kering.
01080f0021	Lalu berkatalah Allah kepada Nuh,
010810005a	"Keluarlah dari kapal itu bersama-sama dengan istrimu, anak-anakmu dan istri-istri mereka.
0108110087	Bawalah keluar semua burung dan binatang lainnya, besar maupun kecil, supaya mereka bisa berkembang biak dan menyebar ke seluruh bumi."
0108120064	Lalu keluarlah Nuh dari kapal itu bersama-sama dengan istrinya, anak-anaknya dan istri-istri mereka.
0108130061	Semua burung dan binatang darat keluar dari kapal itu, masing-masing bersama kelompok sejenisnya.
01081400b7	Nuh mendirikan sebuah mezbah untuk TUHAN. Diambilnya seekor dari setiap jenis burung dan binatang lainnya yang halal, lalu dipersembahkannya sebagai kurban bakaran di atas mezbah itu.
0108150136	Bau harum kurban persembahan itu menyenangkan hati TUHAN, dan Ia berkata di dalam hati, "Aku tak akan lagi mengutuk dunia ini karena perbuatan manusia; Aku tahu bahwa sejak masa mudanya, pikiran manusia itu jahat. Aku tak akan pernah lagi membinasakan segala makhluk yang hidup seperti yang baru Kulakukan ini.
0108160092	Selama dunia ini ada, selalu akan ada masa menanam dan masa menuai, musim dingin dan musim panas, musim kemarau dan musim hujan, siang dan malam."
010901007b	Allah memberkati Nuh dan anak-anaknya serta berkata, "Beranakcuculah yang banyak, supaya keturunanmu mendiami seluruh bumi.
0109020068	Segala burung dan ikan serta binatang yang lain akan takut kepadamu. Mereka semua ada dalam kekuasaanmu.
0109030082	Semuanya itu boleh menjadi makananmu, seperti juga tumbuh-tumbuhan hijau; semuanya itu Kuberikan kepadamu untuk menjadi makananmu.
0109040072	Satu-satunya yang tidak boleh kamu makan ialah daging yang masih ada darahnya, sebab nyawa itu ada di dalam darah.
0109050042	Setiap orang dan binatang yang membunuh manusia akan Kuhukum mati.
0109060074	Manusia diciptakan seperti Aku; sebab itu, barangsiapa membunuh manusia, dia sendiri akan dibunuh juga oleh manusia.
0109070053	Ya, kamu harus beranak cucu yang banyak, supaya keturunanmu mendiami seluruh bumi."
010908002a	Allah berkata kepada Nuh dan anak-anaknya,
