0100000008	Kejadian
01011500d0	Maka Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak, yang berkeriapan dalam air, dan segala jenis burung yang bersayap. Allah melihat bahwa semuanya itu baik.
01011600b1	Lalu Allah memberkati semuanya itu, firman-Nya: "Berkembangbiaklah dan bertambah banyaklah serta penuhilah air dalam laut, dan hendaklah burung-burung di bumi bertambah banyak."
0101170034	Jadilah petang dan jadilah pagi, itulah hari kelima.
01011800a3	Berfirmanlah Allah: "Hendaklah bumi mengeluarkan segala jenis makhluk yang hidup, ternak dan binatang melata dan segala jenis binatang liar." Dan jadilah demikian.
0101190099	Allah menjadikan segala jenis binatang liar dan segala jenis ternak dan segala jenis binatang melata di muka bumi. Allah melihat bahwa semuanya itu baik.
01011a00f8	Berfirmanlah Allah: "Baiklah Kita menjadikan manusia menurut gambar dan rupa Kita, supaya mereka berkuasa atas ikan-ikan di laut dan burung-burung di udara dan atas ternak dan atas seluruh bumi dan atas segala binatang melata yang merayap di bumi."
01011b008e	Maka Allah menciptakan manusia itu menurut gambar-Nya, menurut gambar Allah diciptakan-Nya dia; laki-laki dan perempuan diciptakan-Nya mereka.
01011c00f5	Allah memberkati mereka, lalu Allah berfirman kepada mereka: "Beranakcuculah dan bertambah banyak; penuhilah bumi dan taklukkanlah itu, berkuasalah atas ikan-ikan di laut dan burung-burung di udara dan atas segala binatang yang merayap di bumi."
01011d00b8	Berfirmanlah Allah: "Lihatlah, Aku memberikan kepadamu segala tumbuh-tumbuhan yang berbiji di seluruh bumi dan segala pohon-pohonan yang buahnya berbiji; itulah akan menjadi makananmu.
01011e00c2	Tetapi kepada segala binatang di bumi dan segala burung di udara dan segala yang merayap di bumi, yang bernyawa, Kuberikan segala tumbuh-tumbuhan hijau menjadi makanannya." Dan jadilah demikian.
01011f0079	Maka Allah melihat segala yang dijadikan-Nya itu, sungguh amat baik. Jadilah petang dan jadilah pagi, itulah hari keenam.
010201003b	Demikianlah diselesaikan langit dan bumi dan segala isinya.
01020200a3	Ketika Allah pada hari ketujuh telah menyelesaikan pekerjaan yang dibuat-Nya itu, berhentilah Ia pada hari ketujuh dari segala pekerjaan yang telah dibuat-Nya itu.
010203009a	Lalu Allah memberkati hari ketujuh itu dan menguduskannya, karena pada hari itulah Ia berhenti dari segala pekerjaan penciptaan yang telah dibuat-Nya itu.
010204006c	Demikianlah riwayat langit dan bumi pada waktu diciptakan. Ketika TUHAN Allah menjadikan bumi dan langit, --
01020500b2	belum ada semak apapun di bumi, belum timbul tumbuh-tumbuhan apapun di padang, sebab TUHAN Allah belum menurunkan hujan ke bumi, dan belum ada orang untuk mengusahakan tanah itu;
0102060052	tetapi ada kabut naik ke atas dari bumi dan membasahi seluruh permukaan bumi itu--
01020700a5	ketika itulah TUHAN Allah membentuk manusia itu dari debu tanah dan menghembuskan nafas hidup ke dalam hidungnya; demikianlah manusia itu menjadi makhluk yang hidup.
0102080079	Selanjutnya TUHAN Allah membuat taman di Eden, di sebelah timur; disitulah ditempatkan-Nya manusia yang dibentuk-Nya itu.
01020900d8	Lalu TUHAN Allah menumbuhkan berbagai-bagai pohon dari bumi, yang menarik dan yang baik untuk dimakan buahnya; dan pohon kehidupan di tengah-tengah taman itu, serta pohon pengetahuan tentang yang baik dan yang jahat.
01020a0075	Ada suatu sungai mengalir dari Eden untuk membasahi taman itu, dan dari situ sungai itu terbagi menjadi empat cabang.
01020b0064	Yang pertama, namanya Pison, yakni yang mengalir mengelilingi seluruh tanah Hawila, tempat emas ada.
01020c004c	Dan emas dari negeri itu baik; di sana ada damar bedolah dan batu krisopras.
01020d0058	Nama sungai yang kedua ialah Gihon, yakni yang mengalir mengelilingi seluruh tanah Kush.
01020e0076	Nama sungai yang ketiga ialah Tigris, yakni yang mengalir di sebelah timur Asyur. Dan sungai yang keempat ialah Efrat.
01020f0072	TUHAN Allah mengambil manusia itu dan menempatkannya dalam taman Eden untuk mengusahakan dan memelihara taman itu.
0102100077	Lalu TUHAN Allah memberi perintah ini kepada manusia: "Semua pohon dalam taman ini boleh kaumakan buahnya dengan bebas,
0102110094	tetapi pohon pengetahuan tentang yang baik dan yang jahat itu, janganlah kaumakan buahnya, sebab pada hari engkau memakannya, pastilah engkau mati."
0102120088	TUHAN Allah berfirman: "Tidak baik, kalau manusia itu seorang diri saja. Aku akan menjadikan penolong baginya, yang sepadan dengan dia."
010213011e	Lalu TUHAN Allah membentuk dari tanah segala binatang hutan dan segala burung di udara. Dibawa-Nyalah semuanya kepada manusia itu untuk melihat, bagaimana ia menamainya; dan seperti nama yang diberikan manusia itu kepada tiap-tiap makhluk yang hidup, demikianlah nanti nama makhluk itu.
01021400ba	Manusia itu memberi nama kepada segala ternak, kepada burung-burung di udara dan kepada segala binatang hutan, tetapi baginya sendiri ia tidak menjumpai penolong yang sepadan dengan dia.
01021500a0	Lalu TUHAN Allah membuat manusia itu tidur nyenyak; ketika ia tidur, TUHAN Allah mengambil salah satu rusuk dari padanya, lalu menutup tempat itu dengan daging.
0102160080	Dan dari rusuk yang diambil TUHAN Allah dari manusia itu, dibangun-Nyalah seorang perempuan, lalu dibawa-Nya kepada manusia itu.
0102170095	Lalu berkatalah manusia itu: "Inilah dia, tulang dari tulangku dan daging dari dagingku. Ia akan dinamai perempuan, sebab ia diambil dari laki-laki."
0102180085	Sebab itu seorang laki-laki akan meninggalkan ayahnya dan ibunya dan bersatu dengan isterinya, sehingga keduanya menjadi satu daging.
0102190056	Mereka keduanya telanjang, manusia dan isterinya itu, tetapi mereka tidak merasa malu.
01030100e4	Adapun ular ialah yang paling cerdik dari segala binatang di darat yang dijadikan oleh TUHAN Allah. Ular itu berkata kepada perempuan itu: "Tentulah Allah berfirman: Semua pohon dalam taman ini jangan kamu makan buahnya, bukan?"
010302005f	Lalu sahut perempuan itu kepada ular itu: "Buah pohon-pohonan dalam taman ini boleh kami makan,
0103030086	tetapi tentang buah pohon yang ada di tengah-tengah taman, Allah berfirman: Jangan kamu makan ataupun raba buah itu, nanti kamu mati."
0103040050	Tetapi ular itu berkata kepada perempuan itu: "Sekali-kali kamu tidak akan mati,
010305009b	tetapi Allah mengetahui, bahwa pada waktu kamu memakannya matamu akan terbuka, dan kamu akan menjadi seperti Allah, tahu tentang yang baik dan yang jahat."
010306011f	Perempuan itu melihat, bahwa buah pohon itu baik untuk dimakan dan sedap kelihatannya, lagipula pohon itu menarik hati karena memberi pengertian. Lalu ia mengambil dari buahnya dan dimakannya dan diberikannya juga kepada suaminya yang bersama-sama dengan dia, dan suaminyapun memakannya.
0103070082	Maka terbukalah mata mereka berdua dan mereka tahu, bahwa mereka telanjang; lalu mereka menyemat daun pohon ara dan membuat cawat.
01030800d0	Ketika mereka mendengar bunyi langkah TUHAN Allah, yang berjalan-jalan dalam taman itu pada waktu hari sejuk, bersembunyilah manusia dan isterinya itu terhadap TUHAN Allah di antara pohon-pohonan dalam taman.
0103090056	Tetapi TUHAN Allah memanggil manusia itu dan berfirman kepadanya: "Di manakah engkau?"
01030a008a	Ia menjawab: "Ketika aku mendengar, bahwa Engkau ada dalam taman ini, aku menjadi takut, karena aku telanjang; sebab itu aku bersembunyi."
01030b0091	Firman-Nya: "Siapakah yang memberitahukan kepadamu, bahwa engkau telanjang? Apakah engkau makan dari buah pohon, yang Kularang engkau makan itu?"
01030c007e	Manusia itu menjawab: "Perempuan yang Kautempatkan di sisiku, dialah yang memberi dari buah pohon itu kepadaku, maka kumakan."
01030d00a1	Kemudian berfirmanlah TUHAN Allah kepada perempuan itu: "Apakah yang telah kauperbuat ini?" Jawab perempuan itu: "Ular itu yang memperdayakan aku, maka kumakan."
01030e00f6	Lalu berfirmanlah TUHAN Allah kepada ular itu: "Karena engkau berbuat demikian, terkutuklah engkau di antara segala ternak dan di antara segala binatang hutan; dengan perutmulah engkau akan menjalar dan debu tanahlah akan kaumakan seumur hidupmu.
01030f00b1	Aku akan mengadakan permusuhan antara engkau dan perempuan ini, antara keturunanmu dan keturunannya; keturunannya akan meremukkan kepalamu, dan engkau akan meremukkan tumitnya."
01031000d1	Firman-Nya kepada perempuan itu: "Susah payahmu waktu mengandung akan Kubuat sangat banyak; dengan kesakitan engkau akan melahirkan anakmu; namun engkau akan berahi kepada suamimu dan ia akan berkuasa atasmu."
0103110121	Lalu firman-Nya kepada manusia itu: "Karena engkau mendengarkan perkataan isterimu dan memakan dari buah pohon, yang telah Kuperintahkan kepadamu: Jangan makan dari padanya, maka terkutuklah tanah karena engkau; dengan bersusah payah engkau akan mencari rezekimu dari tanah seumur hidupmu:
0103120070	semak duri dan rumput duri yang akan dihasilkannya bagimu, dan tumbuh-tumbuhan di padang akan menjadi makananmu;
01031300b5	dengan berpeluh engkau akan mencari makananmu, sampai engkau kembali lagi menjadi tanah, karena dari situlah engkau diambil; sebab engkau debu dan engkau akan kembali menjadi debu."
010314005f	Manusia itu memberi nama Hawa kepada isterinya, sebab dialah yang menjadi ibu semua yang hidup.
010315007c	Dan TUHAN Allah membuat pakaian dari kulit binatang untuk manusia dan untuk isterinya itu, lalu mengenakannya kepada mereka.
0103160125	Berfirmanlah TUHAN Allah: "Sesungguhnya manusia itu telah menjadi seperti salah satu dari Kita, tahu tentang yang baik dan yang jahat; maka sekarang jangan sampai ia mengulurkan tangannya dan mengambil pula dari buah pohon kehidupan itu dan memakannya, sehingga ia hidup untuk selama-lamanya."
0103170060	Lalu TUHAN Allah mengusir dia dari taman Eden supaya ia mengusahakan tanah dari mana ia diambil.
01031800ba	Ia menghalau manusia itu dan di sebelah timur taman Eden ditempatkan-Nyala beberapa kerub dengan pedang yang bernyala-nyala dan menyambar-nyambar, untuk menjaga jalan ke pohon kehidupan.
01040100cd	Kemudian manusia itu bersetubuh dengan Hawa, isterinya, dan mengandunglah perempuan itu, lalu melahirkan Kain; maka kata perempuan itu: "Aku telah mendapat seorang anak laki-laki dengan pertolongan TUHAN."
010402006c	Selanjutnya dilahirkannyalah Habel, adik Kain; dan Habel menjadi gembala kambing domba, Kain menjadi petani.
0104030080	Setelah beberapa waktu lamanya, maka Kain mempersembahkan sebagian dari hasil tanah itu kepada TUHAN sebagai korban persembahan;
01040400a3	Habel juga mempersembahkan korban persembahan dari anak sulung kambing dombanya, yakni lemak-lemaknya; maka TUHAN mengindahkan Habel dan korban persembahannya itu,
0104050073	tetapi Kain dan korban persembahannya tidak diindahkan-Nya. Lalu hati Kain menjadi sangat panas, dan mukanya muram.
0104060041	Firman TUHAN kepada Kain: "Mengapa hatimu panas dan mukamu muram?
01040700c9	Apakah mukamu tidak akan berseri, jika engkau berbuat baik? Tetapi jika engkau tidak berbuat baik, dosa sudah mengintip di depan pintu; ia sangat menggoda engkau, tetapi engkau harus berkuasa atasnya."
010408009b	Kata Kain kepada Habel, adiknya: "Marilah kita pergi ke padang." Ketika mereka ada di padang, tiba-tiba Kain memukul Habel, adiknya itu, lalu membunuh dia.
010409006d	Firman TUHAN kepada Kain: "Di mana Habel, adikmu itu?" Jawabnya: "Aku tidak tahu! Apakah aku penjaga adikku?"
01040a005f	Firman-Nya: "Apakah yang telah kauperbuat ini? Darah adikmu itu berteriak kepada-Ku dari tanah.
01040b0084	Maka sekarang, terkutuklah engkau, terbuang jauh dari tanah yang mengangakan mulutnya untuk menerima darah adikmu itu dari tanganmu.
01040c00a4	Apabila engkau mengusahakan tanah itu, maka tanah itu tidak akan memberikan hasil sepenuhnya lagi kepadamu; engkau menjadi seorang pelarian dan pengembara di bumi."
01040d0053	Kata Kain kepada TUHAN: "Hukumanku itu lebih besar dari pada yang dapat kutanggung.
01040e00cb	Engkau menghalau aku sekarang dari tanah ini dan aku akan tersembunyi dari hadapan-Mu, seorang pelarian dan pengembara di bumi; maka barangsiapa yang akan bertemu dengan aku, tentulah akan membunuh aku."
01040f00e5	Firman TUHAN kepadanya: "Sekali-kali tidak! Barangsiapa yang membunuh Kain akan dibalaskan kepadanya tujuh kali lipat." Kemudian TUHAN menaruh tanda pada Kain, supaya ia jangan dibunuh oleh barangsiapapun yang bertemu dengan dia.
0104100056	Lalu Kain pergi dari hadapan TUHAN dan ia menetap di tanah Nod, di sebelah timur Eden.
01041100b3	Kain bersetubuh dengan isterinya dan mengandunglah perempuan itu, lalu melahirkan Henokh; kemudian Kain mendirikan suatu kota dan dinamainya kota itu Henokh, menurut nama anaknya.
0104120086	Bagi Henokh lahirlah Irad, dan Irad itu memperanakkan Mehuyael dan Mehuyael memperanakkan Metusael, dan Metusael memperanakkan Lamekh.
0104130049	Lamekh mengambil isteri dua orang; yang satu namanya Ada, yang lain Zila.
0104140065	Ada itu melahirkan Yabal; dialah yang menjadi bapa orang yang diam dalam kemah dan memelihara ternak.
0104150060	Nama adiknya ialah Yubal; dialah yang menjadi bapa semua orang yang memainkan kecapi dan suling.
010416007e	Zila juga melahirkan anak, yakni Tubal-Kain, bapa semua tukang tembaga dan tukang besi. Adik perempuan Tubal-Kain ialah Naama.
0104170110	Berkatalah Lamekh kepada kedua isterinya itu: "Ada dan Zila, dengarkanlah suaraku: hai isteri-isteri Lamekh, pasanglah telingamu kepada perkataanku ini: Aku telah membunuh seorang laki-laki karena ia melukai aku, membunuh seorang muda karena ia memukul aku sampai bengkak;
010418005d	sebab jika Kain harus dibalaskan tujuh kali lipat, maka Lamekh tujuh puluh tujuh kali lipat."
01041900e5	Adam bersetubuh pula dengan isterinya, lalu perempuan itu melahirkan seorang anak laki-laki dan menamainya Set, sebab katanya: "Allah telah mengaruniakan kepadaku anak yang lain sebagai ganti Habel; sebab Kain telah membunuhnya."
01041a007a	Lahirlah seorang anak laki-laki bagi Set juga dan anak itu dinamainya Enos. Waktu itulah orang mulai memanggil nama TUHAN.
0105010071	Inilah daftar keturunan Adam. Pada waktu manusia itu diciptakan oleh Allah, dibuat-Nyalah dia menurut rupa Allah;
010502008e	laki-laki dan perempuan diciptakan-Nya mereka. Ia memberkati mereka dan memberikan nama "Manusia" kepada mereka, pada waktu mereka diciptakan.
010503008c	Setelah Adam hidup seratus tiga puluh tahun, ia memperanakkan seorang laki-laki menurut rupa dan gambarnya, lalu memberi nama Set kepadanya.
010504006f	Umur Adam, setelah memperanakkan Set, delapan ratus tahun, dan ia memperanakkan anak-anak lelaki dan perempuan.
0105050046	Jadi Adam mencapai umur sembilan ratus tiga puluh tahun, lalu ia mati.
010506003c	Setelah Set hidup seratus lima tahun, ia memperanakkan Enos.
0105070082	Dan Set masih hidup delapan ratus tujuh tahun, setelah ia memperanakkan Enos, dan ia memperanakkan anak-anak lelaki dan perempuan.
0105080044	Jadi Set mencapai umur sembilan ratus dua belas tahun, lalu ia mati.
0105090040	Setelah Enos hidup sembilan puluh tahun, ia memperanakkan Kenan.
01050a0089	Dan Enos masih hidup delapan ratus lima belas tahun, setelah ia memperanakkan Kenan, dan ia memperanakkan anak-anak lelaki dan perempuan.
01050b0040	Jadi Enos mencapai umur sembilan ratus lima tahun, lalu ia mati.
01050c0043	Setelah Kenan hidup tujuh puluh tahun, ia memperanakkan Mahalaleel.
01050d0090	Dan Kenan masih hidup delapan ratus empat puluh tahun, setelah ia memperanakkan Mahalaleel, dan ia memperanakkan anak-anak lelaki dan perempuan.
01050e0044	Jadi Kenan mencapai umur sembilan ratus sepuluh tahun, lalu ia mati.
01050f0047	Setelah Mahalaleel hidup enam puluh lima tahun, ia memperanakkan Yared.
010510008f	Dan Mahalaleel masih hidup delapan ratus tiga puluh tahun, setelah ia memperanakkan Yared, dan ia memperanakkan anak-anak lelaki dan perempuan.
0105110054	Jadi Mahalaleel mencapai umur delapan ratus sembilan puluh lima tahun, lalu ia mati.
010512004a	Setelah Yared hidup seratus enam puluh dua tahun, ia memperanakkan Henokh.
0105130080	Dan Yared masih hidup delapan ratus tahun, setelah ia memperanakkan Henokh, dan ia memperanakkan anak-anak lelaki dan perempuan.
010514004b	Jadi Yared mencapai umur sembilan ratus enam puluh dua tahun, lalu ia mati.
0105150047	Setelah Henokh hidup enam puluh lima tahun, ia memperanakkan Metusalah.
010516009c	Dan Henokh hidup bergaul dengan Allah selama tiga ratus tahun lagi, setelah ia memperanakkan Metusalah, dan ia memperanakkan anak-anak lelaki dan perempuan.
010517003b	Jadi Henokh mencapai umur tiga ratus enam puluh lima tahun.
0105180062	Dan Henokh hidup bergaul dengan Allah, lalu ia tidak ada lagi, sebab ia telah diangkat oleh Allah.
0105190053	Setelah Metusalah hidup seratus delapan puluh tujuh tahun, ia memperanakkan Lamekh.
01051a0094	Dan Metusalah masih hidup tujuh ratus delapan puluh dua tahun, setelah ia memperanakkan Lamekh, dan ia memperanakkan anak-anak lelaki dan perempuan.
01051b0054	Jadi Metusalah mencapai umur sembilan ratus enam puluh sembilan tahun, lalu ia mati.
01051c005e	Setelah Lamekh hidup seratus delapan puluh dua tahun, ia memperanakkan seorang anak laki-laki,
01051d00ad	dan memberi nama Nuh kepadanya, katanya: "Anak ini akan memberi kepada kita penghiburan dalam pekerjaan kita yang penuh susah payah di tanah yang telah terkutuk oleh TUHAN."
01051e008f	Dan Lamekh masih hidup lima ratus sembilan puluh lima tahun, setelah ia memperanakkan Nuh, dan ia memperanakkan anak-anak lelaki dan perempuan.
01051f004c	Jadi Lamekh mencapai umur tujuh ratus tujuh puluh tujuh tahun, lalu ia mati.
010520004a	Setelah Nuh berumur lima ratus tahun, ia memperanakkan Sem, Ham dan Yafet.
010601006c	Ketika manusia itu mulai bertambah banyak jumlahnya di muka bumi, dan bagi mereka lahir anak-anak perempuan,
01060200b4	maka anak-anak Allah melihat, bahwa anak-anak perempuan manusia itu cantik-cantik, lalu mereka mengambil isteri dari antara perempuan-perempuan itu, siapa saja yang disukai mereka.
01060300a4	Berfirmanlah TUHAN: "Roh-Ku tidak akan selama-lamanya tinggal di dalam manusia, karena manusia itu adalah daging, tetapi umurnya akan seratus dua puluh tahun saja."
010604011d	Pada waktu itu orang-orang raksasa ada di bumi, dan juga pada waktu sesudahnya, ketika anak-anak Allah menghampiri anak-anak perempuan manusia, dan perempuan-perempuan itu melahirkan anak bagi mereka; inilah orang-orang yang gagah perkasa di zaman purbakala, orang-orang yang kenamaan.
010605008b	Ketika dilihat TUHAN, bahwa kejahatan manusia besar di bumi dan bahwa segala kecenderungan hatinya selalu membuahkan kejahatan semata-mata,
0106060062	maka menyesallah TUHAN, bahwa Ia telah menjadikan manusia di bumi, dan hal itu memilukan hati-Nya.
01060700e7	Berfirmanlah TUHAN: "Aku akan menghapuskan manusia yang telah Kuciptakan itu dari muka bumi, baik manusia maupun hewan dan binatang-binatang melata dan burung-burung di udara, sebab Aku menyesal, bahwa Aku telah menjadikan mereka."
0106080030	Tetapi Nuh mendapat kasih karunia di mata TUHAN.
010609008d	Inilah riwayat Nuh: Nuh adalah seorang yang benar dan tidak bercela di antara orang-orang sezamannya; dan Nuh itu hidup bergaul dengan Allah.
01060a003b	Nuh memperanakkan tiga orang laki-laki: Sem, Ham dan Yafet.
01060b0048	Adapun bumi itu telah rusak di hadapan Allah dan penuh dengan kekerasan.
01060c006c	Allah menilik bumi itu dan sungguhlah rusak benar, sebab semua manusia menjalankan hidup yang rusak di bumi.
01060d00cb	Berfirmanlah Allah kepada Nuh: "Aku telah memutuskan untuk mengakhiri hidup segala makhluk, sebab bumi telah penuh dengan kekerasan oleh mereka, jadi Aku akan memusnahkan mereka bersama-sama dengan bumi.
01060e0091	Buatlah bagimu sebuah bahtera dari kayu gofir; bahtera itu harus kaubuat berpetak-petak dan harus kaututup dengan pakal dari luar dan dari dalam.
01060f0082	Beginilah engkau harus membuat bahtera itu: tiga ratus hasta panjangnya, lima puluh hasta lebarnya dan tiga puluh hasta tingginya.
01061000b4	Buatlah atap pada bahtera itu dan selesaikanlah bahtera itu sampai sehasta dari atas, dan pasanglah pintunya pada lambungnya; buatlah bahtera itu bertingkat bawah, tengah dan atas.
01061100ab	Sebab sesungguhnya Aku akan mendatangkan air bah meliputi bumi untuk memusnahkan segala yang hidup dan bernyawa di kolong langit; segala yang ada di bumi akan mati binasa.
01061200af	Tetapi dengan engkau Aku akan mengadakan perjanjian-Ku, dan engkau akan masuk ke dalam bahtera itu: engkau bersama-sama dengan anak-anakmu dan isterimu dan isteri anak-anakmu.
01061300ce	Dan dari segala yang hidup, dari segala makhluk, dari semuanya haruslah engkau bawa satu pasang ke dalam bahtera itu, supaya terpelihara hidupnya bersama-sama dengan engkau; jantan dan betina harus kaubawa.
01061400b7	Dari segala jenis burung dan dari segala jenis hewan, dari segala jenis binatang melata di muka bumi, dari semuanya itu harus datang satu pasang kepadamu, supaya terpelihara hidupnya.
0106150080	Dan engkau, bawalah bagimu segala apa yang dapat dimakan; kumpulkanlah itu padamu untuk menjadi makanan bagimu dan bagi mereka."
010616006c	Lalu Nuh melakukan semuanya itu; tepat seperti yang diperintahkan Allah kepadanya, demikianlah dilakukannya.
01070100a9	Lalu berfirmanlah TUHAN kepada Nuh: "Masuklah ke dalam bahtera itu, engkau dan seisi rumahmu, sebab engkaulah yang Kulihat benar di hadapan-Ku di antara orang zaman ini.
010702009e	Dari segala binatang yang tidak haram haruslah kauambil tujuh pasang, jantan dan betinanya, tetapi dari binatang yang haram satu pasang, jantan dan betinanya;
0107030078	juga dari burung-burung di udara tujuh pasang, jantan dan betina, supaya terpelihara hidup keturunannya di seluruh bumi.
01070400b7	Sebab tujuh hari lagi Aku akan menurunkan hujan ke atas bumi empat puluh hari empat puluh malam lamanya, dan Aku akan menghapuskan dari muka bumi segala yang ada, yang Kujadikan itu."
010705003d	Lalu Nuh melakukan segala yang diperintahkan TUHAN kepadanya.
0107060042	Nuh berumur enam ratus tahun, ketika air bah datang meliputi bumi.
010707007c	Masuklah Nuh ke dalam bahtera itu bersama-sama dengan anak-anaknya dan isterinya dan isteri anak-anaknya karena air bah itu.
010708006c	Dari binatang yang tidak haram dan yang haram, dari burung-burung dan dari segala yang merayap di muka bumi,
0107090078	datanglah sepasang mendapatkan Nuh ke dalam bahtera itu, jantan dan betina, seperti yang diperintahkan Allah kepada Nuh.
01070a0033	Setelah tujuh hari datanglah air bah meliputi bumi.
01070b00d3	Pada waktu umur Nuh enam ratus tahun, pada bulan yang kedua, pada hari yang ketujuh belas bulan itu, pada hari itulah terbelah segala mata air samudera raya yang dahsyat dan terbukalah tingkap-tingkap di langit.
01070c0052	Dan turunlah hujan lebat meliputi bumi empat puluh hari empat puluh malam lamanya.
01070d00a6	Pada hari itu juga masuklah Nuh serta Sem, Ham dan Yafet, anak-anak Nuh, dan isteri Nuh, dan ketiga isteri anak-anaknya bersama-sama dengan dia, ke dalam bahtera itu,
01070e00b4	mereka itu dan segala jenis binatang liar dan segala jenis ternak dan segala jenis binatang melata yang merayap di bumi dan segala jenis burung, yakni segala yang berbulu bersayap;
01070f005c	dari segala yang hidup dan bernyawa datanglah sepasang mendapatkan Nuh ke dalam bahtera itu.
01071000a6	Dan yang masuk itu adalah jantan dan betina dari segala yang hidup, seperti yang diperintahkan Allah kepada Nuh; lalu TUHAN menutup pintu bahtera itu di belakang Nuh.
0107110081	Empat puluh hari lamanya air bah itu meliputi bumi; air itu naik dan mengangkat bahtera itu, sehingga melampung tinggi dari bumi.
0107120077	Ketika air itu makin bertambah-tambah dan naik dengan hebatnya di atas bumi, terapung-apunglah bahtera itu di muka air.
010713007d	Dan air itu sangat hebatnya bertambah-tambah meliputi bumi, dan ditutupinyalah segala gunung tinggi di seluruh kolong langit,
0107140060	sampai lima belas hasta di atasnya bertambah-tambah air itu, sehingga gunung-gunung ditutupinya.
01071500b1	Lalu mati binasalah segala yang hidup, yang bergerak di bumi, burung-burung, ternak dan binatang liar dan segala binatang merayap, yang berkeriapan di bumi, serta semua manusia.
010716004e	Matilah segala yang ada nafas hidup dalam hidungnya, segala yang ada di darat.
0107170119	Demikianlah dihapuskan Allah segala yang ada, segala yang di muka bumi, baik manusia maupun hewan dan binatang melata dan burung-burung di udara, sehingga semuanya itu dihapuskan dari atas bumi; hanya Nuh yang tinggal hidup dan semua yang bersama-sama dengan dia dalam bahtera itu.
0107180045	Dan berkuasalah air itu di atas bumi seratus lima puluh hari lamanya.
01080100bd	Maka Allah mengingat Nuh dan segala binatang liar dan segala ternak, yang bersama-sama dengan dia dalam bahtera itu, dan Allah membuat angin menghembus melalui bumi, sehingga air itu turun.
010802006f	Ditutuplah mata-mata air samudera raya serta tingkap-tingkap di langit dan berhentilah hujan lebat dari langit,
0108030069	dan makin surutlah air itu dari muka bumi. Demikianlah berkurang air itu sesudah seratus lima puluh hari.
0108040072	Dalam bulan yang ketujuh, pada hari yang ketujuh belas bulan itu, terkandaslah bahtera itu pada pegunungan Ararat.
0108050090	Sampai bulan yang kesepuluh makin berkuranglah air itu; dalam bulan yang kesepuluh, pada tanggal satu bulan itu, tampaklah puncak-puncak gunung.
0108060059	Sesudah lewat empat puluh hari, maka Nuh membuka tingkap yang dibuatnya pada bahtera itu.
010807007a	Lalu ia melepaskan seekor burung gagak; dan burung itu terbang pulang pergi, sampai air itu menjadi kering dari atas bumi.
010808006a	Kemudian dilepaskannya seekor burung merpati untuk melihat, apakah air itu telah berkurang dari muka bumi.
