2800000006	Máté
280117007c	„Íme, a szűz méhében fogan, és fiat szül, és Immánuelnek fogják nevezni“ – ami azt jelenti: Velünk az Isten.
2801180072	József pedig álmából felserkenve úgy tett, amint az Úr angyala parancsolta neki: magához vette feleségét,
2801190061	és nem érintette addig, amíg meg nem szülte elsőszülött fiát, akit Jézusnak nevezett el.
2802010099	Amikor pedig megszületett Jézus a júdeai Betlehemben, Heródes király idejében, íme, napkeletről bölcsek jöttek Jeruzsálembe, és ezt mondták:
2802020090	„Hol van a zsidók királya, aki megszületett? Mert láttuk csillagát napkeleten, és azért jöttünk, hogy tisztességet tegyünk neki.“
2802030060	Amikor Heródes király ezt meghallotta, felháborodott, és vele együtt az egész Jeruzsálem.
280204007d	Egybegyűjtött minden főpapot és a nép írástudóit, és tudakozódott tőlük, hogy hol kell Krisztusnak megszületnie.
2802050058	Azok pedig ezt mondták neki: „A júdeai Betlehemben, mert így írta meg a próféta:
28020600bc	»És te, Betlehem, Júdának földje, semmiképpen sem vagy legkisebb Júda fejedelmi városai között, mert belőled származik a fejedelem, aki legeltetni fogja népemet, Izraelt.«“
2802070072	Ekkor Heródes titkon hívatta a bölcseket, szorgalmasan megtudakolta tőlük a csillag megjelenésének idejét.
28020800de	Elküldte őket Betlehembe, és azt mondta nekik: „Menjetek el, szorgalmasan kérdezősködjetek a gyermek felől, mihelyt pedig megtaláljátok, adjátok tudtomra, hogy én is elmenjek, és tisztességet tegyek neki.“
28020900c7	Ők pedig a király beszédét meghallgatták, és elindultak. És íme, a csillag, amelyet napkeleten láttak, előttük ment mindaddig, amíg odaérve megállt a hely fölött, ahol a gyermek volt.
28020a0041	Amikor meglátták a csillagot, igen nagy örömmel örvendeztek.
28020b00b9	Bementek a házba, ott találták a gyermeket anyjával, Máriával, és leborulva tisztességet tettek neki, kincseiket kitárva ajándékot adtak neki: aranyat, tömjént és mirhát.
28020c006a	Mivel álmukban intést kaptak, hogy Heródeshez vissza ne menjenek, más úton tértek vissza hazájukba.
28020d00ee	Mikor pedig elmentek, megjelent Józsefnek az Úr angyala álmában, és mondta neki: „Kelj fel, vedd a gyermeket és anyját, fuss Egyiptomba, és maradj ott, amíg én mondom neked, mert Heródes halálra fogja keresni a gyermeket.“
28020e0051	Ő pedig felkelt, vette a gyermeket és anyját még éjjel, és Egyiptomba ment.
28020f00a5	És ott volt egészen Heródes haláláig, hogy beteljesedjék, amit az Úr mondott a próféta által, aki így szólt: „Egyiptomból hívtam ki az én fiamat.“
280210011d	Ekkor Heródes látta, hogy a bölcsek megcsúfolták őt, szerfölött felháborodott, kiküldte embereit, és megöletett Betlehemben és annak egész környékén minden kétesztendős és azon aluli gyermeket a szerint az idő szerint, ahogyan azt pontosan megtudta a bölcsektől.
280211004b	Ekkor teljesedett be, amit Jeremiás próféta mondott, midőn így szólt:
2802120094	„Szó hallatszott Rámában, sírás-rívás és sok keserves jajgatás. Ráhel siratta fiait, és nem akart megvigasztalódni, hogy nincsenek.“
280213005e	Mikor pedig Heródes meghalt, íme, az Úr angyala megjelent álmában Józsefnek Egyiptomban,
280214008f	és ezt mondta: „Kelj fel, vedd a gyermeket és anyját, és eredj Izrael földjére, mert meghaltak, akik a gyermeket halálra keresték.“
2802150057	Ő pedig felkelt, magához vette a gyermeket és anyját, és elment Izrael földjére.
28021600b0	Amikor pedig hallotta, hogy Júdeában Arkhelaosz uralkodik Heródesnek, atyjának helyén, nem mert odamenni, hanem miután álmában figyelmeztetést kapott, Galileába ment.
2802170087	Odaérkezve a Názáret nevű városkában lakott, hogy beteljesedjék, amit a próféták mondtak, hogy názáretinek fogják nevezni.
280301005a	Azokban a napokban pedig eljött Keresztelő János, aki Júdea pusztájában prédikált,
280302004b	és ezt mondta: „Térjetek meg, mert közel van a mennyeknek országa.“
280303009a	Mert ő volt az, akiről Ézsaiás próféta így szólt: „Kiáltó szó a pusztában: Készítsétek az Úr útját, és egyengessétek ösvényeit.“
2803040075	Jánosnak ruhája pedig teveszőrből volt, bőröv volt a dereka körül, elesége pedig sáska és erdei méz volt.
2803050052	Akkor kiment hozzá Jeruzsálem és egész Júdea, a Jordánnak egész környéke.
2803060047	És megkeresztelkedtek általa a Jordán vizében, megvallva bűneiket.
28030700ed	Amikor pedig látta, hogy a farizeusok és a szadduceusok közül sokan mennek hozzá, hogy megkeresztelkedjenek, ezt mondta nekik: „Mérges kígyóknak fajzatai! Ki intett titeket, hogy Istennek eljövendő haragjától meneküljetek?
2803080034	Teremjetek hát megtéréshez illő gyümölcsöket,
28030900a7	és ne gondoljátok, hogy így szólhattok magatokban: Ábrahám a mi Atyánk! Mert mondom nektek, hogy Isten ezekből a kövekből is támaszthat fiakat Ábrahámnak.
28030a0082	A fejsze immár a fák gyökerére vettetett, ezért minden fát, amely jó gyümölcsöt nem terem, kivágnak, és tűzre vetnek.
28030b00bf	Én csak vízzel keresztellek titeket megtérésre, de aki utánam jön, erősebb nálam, neki saruját hordozni sem vagyok méltó. Ő majd Szentlélekkel és tűzzel keresztel majd titeket.
28030c008d	Szórólapát van kezében, és megtisztítja szérűjét, gabonáját csűrbe takarítja, a polyvát pedig megégeti olthatatlan tűzzel.“
28030d005e	Ekkor eljött Jézus Galileából a Jordán mellé Jánoshoz, hogy megkeresztelkedjen általa.
28030e0077	János azonban visszatartotta őt, és ezt mondta: „Nekem kell általad megkeresztelkednem, és te jössz hozzám?“
28030f007a	Jézus pedig ezt felelte: „Engedj most, mert így illik nekünk minden igazságot betöltenünk.“ Ekkor engedett neki.
280310009c	Jézus megkeresztelkedett, azonnal kijött a vízből, és íme, az egek megnyíltak, és látta Isten Lelkét lejönni, mint egy galambot, és reászállt.
2803110060	És íme, egy égi hang ezt mondta: „Ez az én szeretett Fiam, akiben én gyönyörködöm.“
280401004c	Ekkor Jézust a Lélek a pusztába vitte, hogy ott az ördög megkísértse.
2804020043	Negyven nap és negyven éjjel böjtölt, mikor végre megéhezett.
280403007a	Ekkor odament hozzá a kísértő, és ezt mondta: „Ha Isten Fia vagy, mondd, hogy e kövek változzanak kenyerekké.“
2804040085	Ő pedig ezt felelte: „Meg van írva: Nemcsak kenyérrel él az ember, hanem minden igével, amely Isten szájából származik.“
2804050053	Ekkor elvitte őt az ördög a szent városba, és a templom tetejére állította,
28040600b7	és ezt mondta neki: „Ha Isten Fia vagy, vesd le magadat, mert meg van írva: »Angyalainak parancsol felőled, és kézben hordoznak téged, hogy meg ne üsd lábadat a kőbe.«“
280407005f	Jézus ezt mondta neki: „Viszont meg van írva: »Ne kísértsd az Urat, a te Istenedet.«“
280408007e	Ismét magával vitte az ördög egy igen magas hegyre, és megmutatta neki a világ minden országát és azok dicsőségét,
280409004d	és ezt mondta neki: „Mindezeket neked adom, ha leborulva imádsz engem.“
28040a0083	Ekkor azt mondta neki Jézus: „Eredj el, Sátán, mert meg van írva: Az Urat, a te Istenedet imádd, és csak neki szolgálj.“
28040b0049	Ekkor elhagyta őt az ördög, és íme, angyalok jöttek szolgálni őt.
28040c005b	Amikor pedig meghallotta Jézus, hogy Jánost börtönbe vetették, visszatért Galileába.
28040d0069	Majd otthagyva Názáretet, elment, és a tengerparti Kapernaumban lakott, Zebulon és Naftali határán,
28040e0036	hogy beteljesedjék, amit Ézsaiás próféta mondott:
28040f005e	„Zebulonnak és Naftalinak földje a tenger felé, a Jordánon túl, a pogányok Galileája!
2804100096	A nép, amely sötétségben ült, nagy világosságot látott, és akik a halál földjén és árnyékában ültek, azoknak világosság támadt.“
2804110079	Ettől fogva Jézus prédikálni kezdett, és ezt mondta: „Térjetek meg, mert elközelített a mennyeknek országa.“
28041200c7	Mikor pedig a Galileai-tenger mellett járt Jézus, látott két testvért, Simont, akit Péternek neveznek, és Andrást, az ő testvérét, amint a tengerbe hálót vetettek, mert halászok voltak.
2804130058	Ezt mondta nekik: „Kövessetek engem, és én emberek halászaivá teszlek titeket.“
280414003f	Azok pedig azonnal otthagyták a hálókat, és követték őt.
28041500bb	Onnan továbbmenve látott még két testvért, Jakabot, Zebedeus fiát és Jánost, a testvérét, amint a hajóban atyjukkal, Zebedeussal hálóikat kötözgették, és hívta őket is.
2804160049	Azok pedig azonnal otthagyták a hajót és atyjukat, és követték őt.
28041700c0	Azután Jézus bejárta egész Galileát, tanított a zsinagógákban, hirdette az Isten országának evangéliumát, gyógyított a nép között minden betegséget és minden erőtlenséget.
28041800e3	Elterjedt a híre egész Szíriában, és hozzá vitték mindazokat, akik rosszul voltak, különféle betegségekben és kínokban sínylődtek, ördöngösöket, holdkórosokat és gutaütötteket, és meggyógyította őket.
280419006f	Nagy sokaság követte őt Galileából, Tízvárosból, Jeruzsálemből, Júdeából és a Jordánon túlról.
2805010065	Mikor pedig látta Jézus a sokaságot, felment a hegyre, leült, és odamentek hozzá tanítványai.
280502002e	És megnyitva száját, így tanította őket:
2805030042	„Boldogok a lelki szegények, mert övék a mennyeknek országa.
2805040034	Boldogok, akik sírnak, mert ők megvigasztaltatnak.
2805050040	Boldogok a szelídek, mert ők örökségül bírják a földet.
2805060051	Boldogok, akik éheznek és szomjaznak az igazságra, mert ők megelégíttetnek.
2805070038	Boldogok az irgalmasok, mert ők irgalmasságot nyernek.
2805080042	Boldogok, akiknek szívük tiszta, mert ők az Istent meglátják.
2805090048	Boldogok a békességre igyekezők, mert ők az Isten fiainak mondatnak.
28050a0059	Boldogok, akik háborúságot szenvednek az igazságért, mert övék a mennyek országa.
28050b006e	Boldogok vagytok, ha szidalmaznak és háborgatnak titeket, gonosz hazugságokat mondanak rólatok énmiattam.
28050c0095	Örüljetek és örvendezzetek, mert a ti jutalmatok bőséges a mennyekben, hiszen így háborgatták a prófétákat is, akik előttetek éltek.“
28050d00a2	„Ti vagytok a földnek sója. Ha pedig a só megízetlenül, mivel sózzák meg? Nem jó azután semmire, csak arra, hogy kidobják, és eltapossák az emberek.
28050e004d	Ti vagytok a világ világossága. Nem rejthetik el a hegyen épült várost.
28050f008d	Gyertyát sem azért gyújtanak, hogy a véka alá tegyék, hanem hogy a gyertyatartóba, hogy fényljék mindazoknak, akik a házban vannak.
2805100090	Úgy fényljék a ti világosságotok az emberek előtt, hogy lássák a ti jó cselekedeteiteket, és dicsőítsék a ti mennyei Atyátokat.“
280511009e	„Ne gondoljátok, hogy a törvénynek vagy a prófétáknak eltörléséért jöttem. Nem azért jöttem, hogy eltöröljem, hanem inkább, hogy betöltsem.
28051200a1	Mert bizony mondom néktek, míg az ég és föld el nem múlik, a törvényből egy ióta vagy egyetlen pontocska sem múlik el, amíg minden be nem teljesedik.
28051300f5	Ezért ha valaki csak egyet is eltöröl a legkisebb parancsolatok közül, és úgy tanítja az embereket, a mennyeknek országában a legkisebb lesz; ha pedig valaki eszerint cselekszik, és úgy tanít, az a mennyeknek országában nagy lesz.
2805140098	Mert mondom néktek, ha a ti igazságtok nem több az írástudók és farizeusok igazságánál, semmiképpen sem mehettek be a mennyeknek országába.
280515005f	Hallottátok, hogy megmondatott a régieknek: »Ne ölj, mert aki öl, méltó az ítéletre.«
28051600ef	Én pedig azt mondom nektek, hogy mindaz, aki haragszik atyjafiára ok nélkül, méltó az ítéletre; aki pedig azt mondja az atyjafiának: ostoba, méltó a főtörvényszékre; aki pedig azt mondja: bolond, méltó a gyehenna tüzére.
2805170075	Ezért, ha ajándékodat az oltárra viszed, és ott eszedbe jut, hogy a te atyádfiának valami panasza van ellened,
280518008d	hagyd ott az oltár előtt ajándékodat, és menj el, és előbb békülj meg atyádfiával, és azután visszajőve vidd fel ajándékodat.
28051900d3	Légy jóakarója ellenségednek hamar, amíg az úton együtt vagy vele, hogy ellenséged valamiképpen a bíró kezébe ne adjon, és a bíró oda ne adjon a poroszló kezébe, és tömlöcbe ne vessen téged.
28051a0053	Bizony mondom néked: ki nem jössz onnan, mígnem megfizetsz az utolsó fillérig.
28051b0040	Hallottátok, hogy megmondatott a régieknek: Ne paráználkodj!
28051c0080	Én pedig azt mondom nektek, ha valaki gonosz kívánsággal tekint egy asszonyra, már paráználkodott azzal az ő szívében.
28051d00ba	Ha pedig jobb szemed megbotránkoztat téged, vájd ki azt, és vesd el magadtól, mert jobb neked, hogy egy vesszen el a tagjaid közül, semhogy egész tested a gyehennára vettessék.
28051e00b2	És ha jobb kezed botránkoztat meg téged, vágd le, és vesd el magadtól, mert jobb neked, hogy egy vesszen el tagjaid közül, semhogy egész tested a gyehennára vettessék.
28051f0058	Megmondatott továbbá: »Ha valaki elbocsátja feleségét, adjon neki válólevelet.«
28052000bb	Én pedig azt mondom nektek: Ha valaki elbocsátja feleségét, a paráznaság esetét kivéve, az paráznává teszi őt, és aki elbocsátott asszonyt vesz el, paráznaságot követ el.
2805210078	Ismét hallottátok, hogy megmondatott a régieknek: »Hamisan ne esküdj, hanem teljesítsd az Úrnak tett esküidet.«
280522006b	Én pedig azt mondom nektek: Egyáltalán ne esküdjetek: se az égre, mert az az Istennek királyi széke,
2805230066	se a földre, mert az az ő lábainak zsámolya, sem Jeruzsálemre, mert az a nagy Királynak városa;
2805240060	de ne esküdj saját fejedre se, mert egyetlen hajszálat sem tehetsz fehérré vagy feketévé,
280525006d	hanem legyen a ti beszédetekben az igen igen, a nem nem; ami pedig ezeken felül van, az a gonosztól való.
2805260047	Hallottátok, hogy megmondatott: »szemet szemért és fogat fogért.«
280527008b	Én pedig azt mondom nektek: Ne álljatok ellene a gonosznak, hanem aki arcul üt téged jobb felől, fordítsd felé a másik orcádat is.
2805280063	És aki törvénykezni akar fölötted, és elvenni az alsóruhádat, engedd oda neki a felsőt is.
280529004b	És aki téged egy mérföldre akar kényszeríteni, menj el vele kettőre.
28052a0056	Aki tőled kér, adj neki, és aki tőled kölcsön akar kérni, el ne fordulj attól.
28052b0059	Hallottátok, hogy megmondatott: »Szeresd felebarátodat, és gyűlöld ellenségedet.«
28052c00d8	Én pedig azt mondom nektek: Szeressétek ellenségeiteket! Áldjátok azokat, akik titeket átkoznak, jót tegyetek azokkal, akik titeket gyűlölnek, imádkozzatok azokért, akik háborgatnak és kergetnek titeket.
28052d0090	Hogy a mennyei Atyátok fiai legyetek, aki felhozza napját mind a gonoszokra, mind a jókra, és esőt ad mind az igazaknak, mind a hamisaknak.
28052e007e	Mert ha azokat szeretitek, akik titeket szeretnek, micsoda jutalmat vártok? Avagy a vámszedők is nem ugyanezt cselekszik-e?
28052f0077	És ha csak atyátokfiait köszöntitek, mit tesztek másoknál többet? A vámszedők is nem ugyanígy cselekszenek-e?
2805300047	Legyetek azért tökéletesek, miként mennyei Atyátok tökéletes.“
28060100a1	„Vigyázzatok, hogy alamizsnátokat ne osztogassátok az emberek előtt, hogy lássanak titeket; mert különben nem lesz jutalmatok a ti mennyei Atyátoknál.
28060200dc	Azért, amikor alamizsnát osztogatsz, ne kürtöltess magad előtt, ahogy a képmutatók tesznek a zsinagógákban és az utcákon, hogy az emberektől dicséretet nyerjenek. Bizony mondom néktek: elvették jutalmukat.
2806030055	Te, amikor alamizsnát osztogatsz, ne tudja a bal kezed, mit cselekszik a jobb kezed,
2806040068	hogy a te alamizsnád titokban történjék; és a te Atyád, aki a titokban is lát, megfizet neked.“
28060500da	„Amikor imádkozol, ne légy olyan, mint a képmutatók, akik a gyülekezetekben és az utcák szegletein fennállva szeretnek imádkozni, hogy lássák őket az emberek. Bizony mondom néktek: megkapták jutalmukat.
28060600ab	Te pedig, amikor imádkozol, menj be belső szobádba, és ajtódat bezárva imádkozzál a te Atyádhoz titokban; és a te Atyád, aki a titokban is lát, megfizet neked.
2806070083	Amikor imádkoztok, ne legyetek sokbeszédűek, mint a pogányok, akik azt gondolják, hogy a sok beszédükért hallgattatnak meg.
2806080075	Ne legyetek hát ezekhez hasonlók, mert jól tudja a ti Atyátok, mire van szükségetek, mielőtt kérnétek tőle.
2806090060	Ti ezért így imádkozzatok: »Mi Atyánk, ki vagy a mennyekben, szenteltessék meg a te neved;
28060a005a	jöjjön el a te országod; legyen meg a te akaratod, mint a mennyben, úgy a földön is.
28060b0030	A mi mindennapi kenyerünket add meg nekünk ma,
28060c005c	és bocsásd meg a mi vétkeinket, miképpen mi is megbocsátunk az ellenünk vétkezőknek;
28060d008b	és ne vígy minket kísértésbe, de szabadíts meg a gonosztól; mert tied az ország, a hatalom és a dicsőség mindörökké. Ámen!«
28060e005f	Mert ha megbocsátjátok az embereknek az ő vétkeiket, megbocsát nektek is mennyei Atyátok.
28060f006e	Ha pedig nem bocsátjátok meg az embereknek vétkeiket, mennyei Atyátok sem bocsátja meg a ti vétkeiteket.
28061000cc	„Amikor pedig böjtöltök, ne legyen komor a nézésetek, mint a képmutatóké, akik eltorzítják arcukat, hogy lássák az emberek, hogy ők böjtölnek. Bizony mondom néktek, elvették jutalmukat.
2806110045	Te pedig, amikor böjtölsz, kend meg fejedet, és orcádat mosd meg,
2806120088	hogy ne az emberek lássák böjtölésedet, hanem a te Atyád, aki titkon van, és a te Atyád, aki a titokban is lát, megfizet neked.
2806130085	„Ne gyűjtsetek magatoknak kincseket a földön, ahol a rozsda és a moly megemészti, és ahol a tolvajok kiássák és ellopják,
280614009a	hanem gyűjtsetek magatoknak kincseket a mennyben, ahol sem a rozsda, sem a moly meg nem emészti, és ahol a tolvajok ki nem ássák, sem el nem lopják.
2806150038	Mert ahol a ti kincsetek van, ott van a ti szívetek is.
2806160057	„A test lámpása a szem. Azért, ha a szemed tiszta, az egész tested világos lesz.
280617008a	Ha pedig a szemed gonosz, az egész tested sötét lesz. Ezért, ha a benned lévő világosság sötétség, mekkora akkor a sötétség!
28061800c0	„Senki sem szolgálhat két úrnak. Mert vagy az egyiket gyűlöli, és a másikat szereti, vagy az egyikhez ragaszkodik, és a másikat megveti. Nem szolgálhattok Istennek és a mammonnak.
28061900e5	„Ezért ezt mondom nektek: Ne aggodalmaskodjatok az életetek miatt, hogy mit egyetek, és mit igyatok; sem a testetek miatt, hogy mibe öltözködjetek. Mert nem több-e az élet, mint az eledel, és a test, mint az öltözet?
28061a00a6	Tekintsetek az égi madarakra: nem vetnek, nem aratnak, sem csűrbe nem takarnak, és a ti mennyei Atyátok eltartja azokat. Nem sokkal különbek vagytok-e azoknál?
28061b005d	Kicsoda pedig közületek az, aki aggodalmaskodásával megnövelheti termetét egy arasszal?
28061c0089	Az öltözet miatt is miért aggodalmaskodtok? Figyeljétek meg a mező liliomait, hogyan növekednek: nem munkálkodnak, és nem fonnak,
28061d0066	de mondom nektek, hogy Salamon minden dicsőségében sem öltözködött úgy, mint ezek közül egy.
28061e0092	Ha pedig a mezőnek füvét, amely ma van, és holnap kemencébe vetik, így ruházza fel az Isten, nem sokkal inkább titeket, ti kicsinyhitűek?
28061f006a	Ne aggodalmaskodjatok tehát, és ne mondjátok: Mit együnk? Vagy: Mit igyunk? Vagy: Mivel ruházkodjunk?
280620006b	Mert mindezeket a pogányok kérdezik. Mert jól tudja mennyei Atyátok, hogy mindezekre szükségetek van.
2806210061	Hanem keressétek először Istennek országát és igazságát, és ezek mind megadatnak nektek.
2806220088	Ne aggodalmaskodjatok tehát a holnap miatt, mert a holnap majd aggodalmaskodik a maga dolgai miatt. Elég minden napnak a maga baja.“
280701002a	„Ne ítéljetek, hogy ne ítéltessetek!
2807020077	Mert amilyen ítélettel ítéltek, olyannal ítéltettek, és amilyen mértékkel mértek, olyannal mérnek nektek is.
2807030079	Miért nézed a szálkát, amely atyádfia szemében van, a gerendát pedig, amely a te szemedben van, nem veszed észre?
280704007f	Vagy hogyan mondhatod a te atyádfiának: Hadd vegyem ki a szálkát a szemedből! – holott íme, a te szemedben gerenda van?
2807050082	Képmutató, vedd ki előbb a gerendát a te szemedből, és akkor gondolj arra, hogy kivedd a szálkát atyádfiának szeméből!
28070600b8	„Ne adjátok az ebeknek azt, ami szent, se gyöngyeitekből ne hányjatok a disznók elé, hogy meg ne tapossák azokat lábaikkal, és ellenetek fordulva szét ne tépjenek titeket.
2807070062	„Kérjetek, és adatik nektek, keressetek, és találtok, zörgessetek, és megnyittatik nektek.
280708004c	Mert aki kér, mind kap, aki keres, talál, és a zörgetőnek megnyittatik.
2807090056	Vagy ki az az ember közületek, aki ha az ő fia kenyeret kér tőle, követ ad neki?
28070a002c	És ha halat kér, vajon kígyót ad-e neki?
28070b0092	Ha tehát ti gonosz létetekre tudtok fiaitoknak jó ajándékokat adni, mennyivel inkább ad mennyei Atyátok jókat azoknak, akik kérnek tőle?
28070c008a	„Ezért amit akartok, hogy az emberek veletek cselekedjenek, mindazt cselekedjétek velük ti is, mert ez a törvény és a próféták.
28070d008c	„Menjetek be a szoros kapun! Mert tágas az a kapu, és széles az az út, amely a veszedelemre visz, és sokan vannak, akik azon járnak.
28070e0070	Mert szoros az a kapu, és keskeny az az út, amely az életre visz, és kevesen vannak, akik megtalálják azt.
28070f006e	Őrizkedjetek a hamis prófétáktól, akik juhok ruhájában jönnek hozzátok, de belül ragadozó farkasok.
280710006b	Gyümölcseikről ismeritek meg őket. Vajon a tövisről szednek-e szőlőt vagy a bojtorjánról fügét?
280711005e	Ekképpen minden jó fa jó gyümölcsöt terem, a romlott fa pedig rossz gyümölcsöt terem.
2807120053	Nem teremhet jó fa rossz gyümölcsöt; romlott fa sem teremhet jó gyümölcsöt.
2807130051	Minden fa, amely nem terem jó gyümölcsöt, kivágattatik, és tűzre vettetik.
280714002d	Tehát gyümölcseikről ismeritek meg őket.
2807150091	„Nem mindenki megy be a mennyek országába, aki ezt mondja nekem: Uram, Uram, hanem csak az, aki cselekszi az én mennyei Atyámnak akaratát.
28071600c2	Sokan mondják majd nekem ama napon: Uram, Uram, nem a te nevedben prófétáltunk-e, és nem a te nevedben űztünk-e ki ördögöket, és nem cselekedtünk-e sok hatalmas dolgot a te nevedben?
280717005c	És akkor kijelentem nekik: Sohasem ismertelek titeket, távozzatok tőlem, ti gonosztevők!
2807180095	„Ezért ha valaki hallja tőlem ezeket a beszédeket, és cselekszi azokat, hasonlítom azt a bölcs emberhez, aki kősziklára építette házát.
2807190094	És ömlött az eső, eljött az árvíz, fújtak a szelek, és beleütköztek abba a házba, de nem dőlt össze, mert a kősziklára építették.
28071a0092	És ha valaki hallja tőlem ezeket a beszédeket, és nem cselekszi azokat, hasonlatos lesz a bolond emberhez, aki a fövenyre építette házát.
28071b008b	És ömlött az eső, eljött az árvíz, fújtak a szelek, és beleütköztek abba a házba; az összeomlott, és nagy lett a romlása.“
28071c0056	Amikor befejezte Jézus ezeket a beszédeket, álmélkodott a sokaság a tanításán,
28071d0058	mert úgy tanította őket, mint akinek hatalma van, és nem úgy, mint az írástudók.
2808010035	Mikor lejött a hegyről, nagy sokaság követte őt,
280802006f	És íme, odajött egy bélpoklos, leborult előtte, és mondta: „Uram, ha akarod, megtisztíthatsz engem.“
2808030080	Jézus kinyújtotta kezét, megérintette, és ezt mondta: „Akarom, tisztulj meg.“ És azonnal eltisztult annak poklossága.
28080400b4	Ekkor ezt mondta neki Jézus: „Vigyázz, senkinek se szólj. Hanem eredj, mutasd meg magadat a papnak, és vidd fel az ajándékot, amelyet Mózes rendelt, bizonyságul nekik.“
2808050051	Mikor pedig bement Jézus Kapernaumba, egy százados ment hozzá, és kérte őt.
280806005b	Ezt mondta: „Uram, a szolgám otthon gutaütötten fekszik, és nagy kínokat szenved.“
280807003b	Ezt mondta neki Jézus: „Elmegyek, és meggyógyítom.“
280808009a	De a százados ezt felelte neki: „Uram, nem vagyok méltó, hogy az én hajlékomba jöjj, hanem csak szólj egy szót, és meggyógyul az én szolgám.
28080900c8	Mert én is hatalom alá rendelt ember vagyok, és vannak alattam vitézek, és ha azt mondom egyiknek: Eredj el, elmegy; és a másiknak: Gyere ide, odajön; és a szolgámnak: Tedd ezt, megteszi.“
28080a00a2	Jézus pedig amikor ezt meghallotta, elcsodálkozott, és ezt mondta az őt követőknek: „Bizony mondom néktek, még Izraelben sem találtam ilyen nagy hitet.
28080b0093	De mondom nektek, sokan jönnek majd napkeletről és napnyugatról, letelepednek Ábrahámmal, Izsákkal és Jákóbbal a mennyeknek országában;
28080c0066	az ország fiait pedig kivetik a külső sötétségre, ahol lesz majd sírás és fogcsikorgatás.“
28080d0090	És Jézus ezt mondta a századosnak: „Eredj el, és legyen néked a te hited szerint.“ És meggyógyult annak szolgája, abban az órában.
28080e0058	Amikor bement Jézus Péter házába, és látta, hogy annak anyósa fekszik és lázas,
28080f0048	rátette kezét, és elhagyta őt a láz, fölkelt, és szolgált nekik.
2808100090	Az est beálltával pedig kivittek hozzá sok ördöngöst, és egy szóval kiűzte a tisztátalan lelkeket, és meggyógyított minden beteget;
2808110099	hogy beteljesedjék, amit Ézsaiás próféta mondott így szólván: „Ő vette el a mi erőtlenségünket, és ő hordozta el a mi betegségünket.“
2808120069	Látván pedig Jézus a nagy sokaságot maga körül, megparancsolta, hogy menjenek át a túlsó partra.
280813005f	Hozzámenve egy írástudó, ezt mondta neki: „Mester, követlek téged, akárhová mégy.“
2808140094	Jézus pedig így válaszolt: „A rókáknak van barlangjuk, és az égi madaraknak fészkük, de az Emberfiának nincs hová fejét lehajtania.“
280815007a	Egy másik a tanítványai közül ezt mondta neki: „Uram, engedd meg, hogy előbb elmenjek, és eltemessem atyámat.“
2808160067	Jézus pedig ezt mondta neki: „Kövess engem, és hagyd, hogy a halottak temessék el halottaikat.“
