0100000018	उत्पत्ति
0103060283	जब स्‍त्रीले त्यो रुखको फल खानमा असल, र हेर्नमा रहरलाग्दो, अनि बुद्धि प्राप्‍त गर्नलाई त्यसको चाह गर्नुपर्ने रहेछ भनेर देखिन्, तिनले त्यसका केही फलहरू टिपिन् र खाइन् । त्यसपछि तिनले केही आफूसँगै भएका आफ्ना पतिलाई पनि दिइन्, र उनले पनि त्यो खाए ।
010307015d	तब तिनीहरू दुवैका आँखा खुले, र तिनीहरू नाङ्‍गै रहेछन् भनेर थाहा पाए । तिनीहरूले अञ्‍जीरका पातहरू गाँसेर आफ्ना निम्ति वस्‍त्र बनाए ।
010308019e	अनि साँझपख जब तिनीहरूले परमप्रभु परमेश्‍वर बगैँचामा हिँडिरहनुभएको आवाज सुने, तब मानिस र उनकी पत्‍नी बगैँचाका रुखहरूबिच परमप्रभु परमेश्‍वरको नजरबाट लुके।
0103090098	परमप्रभु परमेश्‍वरले मानिसलाई बोलाउनुभयो, “तँ कहाँ छस्?”
01030a0107	मानिसले भन्यो, “मैले बगैँचामा तपाईंको आवाज सुनेँ, र म डराएँ किनकि म नाङ्‍गै थिएँ । यसैकारण म लुकेँ ।”
01030b0145	परमेश्‍वरले भन्‍नुभयो, “तँ नाङ्‍गै थिइस् भनेर तँलाई कसले भन्यो? के मैले तँलाई नखानू भनेर आज्ञा गरेको रुखको फल तैँले खाइस्?”
01030c0105	मानिसले भन्यो, “तपाईंले मसँगै रहनलाई दिनुभएको स्‍त्रीले मलाई त्यस रुखको फल दिई, र मैले त्यो खाएँ ।”
01030d013b	परमप्रभु परमेश्‍वरले स्‍त्रीलाई भन्‍नुभयो, “तैँले यो के गरिस्?” स्‍त्रीले भनिन्, “सर्पले मलाई छल गर्‍यो, र मैले खाएँ ।”
01030e020c	परमप्रभु परमेश्‍वरले सर्पलाई भन्‍नुभयो, “तैँले यसो गरेको हुनाले सबै पाल्तु पशुहरू र जङ्गली जनावरहरूमा केवल तँ श्रापित हुनेछस् । तँ तेरो पेटद्वारा हिँड्नेछस्, र तेरो जीवनभरि नै तैँले माटो खानेछस् ।
01030f0183	तेरो र स्‍त्रीबिच, अनि तेरो सन्तान र स्‍त्रीको सन्तानबिच म दुश्मनी हालिदिनेछु । त्यसले तेरो शिर कुल्चनेछ, र तैँले त्यसको कुर्कुच्‍चा डस्‍नेछस् ।”
01031001d7	उहाँले स्‍त्रीलाई भन्‍नुभयो, “म तेरो प्रसव-वेदना ज्यादै बढाइदिनेछु; तैँले पीडामा नै बालक जन्माउनेछस् । तेरो इच्छा तेरो पतिको लागि हुनेछ, तर त्यसले तँलाई आफ्नो अधीनमा राख्‍नेछ ।”
0103110222	आदमलाई उहाँले भन्‍नुभयो, “तैँले तेरी पत्‍नीको कुरा सुनेको, र मैले तँलाई नखानू भनेको रुखको फल तैँले खाएको हुनाले, तेरो कारण यो भूमि श्रापित भएको छ । तेरो जीवनभरि नै तैँले यस भूमिमाथि कडा परिश्रम गरेर खानेछस् ।
01031200d6	त्यसले तेरो निम्ति काँढा र सिउँडीहरू उमार्नेछ, र तैँले खेतका बिरुवाहरू खानेछस् ।
0103130185	तँ माटोमा नफर्कुन्जेल, तैँले आफ्नो परिश्रमको पसिना बगाएर भोजन खानेछस्, किनकि तँ माटैबाट निकालिएको थिइस् । तँ माटै होस्, र माटोमा नै फर्किजानेछस् ।”
01031400dc	मानिसले आफ्नी पत्‍नीको नाम हव्‍वा राख्‍यो किनकि तिनी सबै जीवित प्राणीकी आमा हुन् ।
01031500f9	परमप्रभु परमेश्‍वरले आदम र उनकी पत्‍नीका निम्ति छालाका लुगा बनाई तिनीहरूलाई पहिराइदिनुभयो ।
01031601e6	परमप्रभु परमेश्‍वरले भन्‍नुभयो, “असल र खराबको ज्ञान पाएर मानिस हामीजस्तै भएको छ । यसैकारण अब त्यसलाई आफ्नो हात पसारेर जीवनको रुखको फल खान दिनुहुँदैन नत्रता त्यो सधैँभरि जीवित रहला ।”
0103170163	त्यसैकारण जुन भूमिबाट त्यो निकालिएको थियो त्यही भूमिमा खेतीपाती गर्न परमप्रभु परमेश्‍वरले त्यसलाई अदनको बगैँचाबाट निकालिदिनुभयो ।
01031801d9	परमेश्‍वरले मानिसलाई बगैँचाबाट निकालिदिनुभएपछि जीवनको रुखतर्फको मार्गमा पहरा दिन उहाँले अदनको बगैँचाको पूर्वमा करूबहरू र चारैदिशातर्फ घुमिरहने ज्वालामय तरवार राखिदिनुभयो ।
010401016c	मानिसलेआफ्नी पत्‍नीसित सहवास गरे । अनि तिनी गर्भवती भइन् र कयिनलाई जन्माइन् । तिनले भनिन्, “मैले परमप्रभुको सहायताले एक पुरुष जन्माएँ ।”
01040200d0	अनि तिनले तिनको भाइ हाबिललाई जन्माइन् । हाबिल गोठालो भए, तर कयिन खेती गर्ने भए ।
01040300e7	समय बित्दै जाँदा कयिनले तिनको जमिनको उब्जनीबाट केही परमप्रभुकहाँ भेटीको रूपमा ल्याए ।
010404013c	हाबिलको हकमा तिनले बगालका पहिले जन्मेकाहरू र केही बोसे भागहरू ल्याए । परमप्रभुले हाबिल र तिनका भेटीलाई ग्रहण गर्नुभयो,
01040500f8	तर कयिन र तिनका भेटीहरूलाई उहाँले ग्रहण गर्नुभएन । यसैले कयिन साह्रै रिसाए र तिनले रिस देखाए ।
01040600c6	परमप्रभुले कयिनलाई भन्‍नुभयो, “तँ किन रिसाउँछस् र तैँले किन रिस देखाउँछस्?
01040701c0	यदि तैँले जे ठीक छ सो गरिस् भने, के तँलाई ग्रहण गरिनेछैन र? तर यदि तैले जे ठीक छ सो गर्दैनस भने त पाप तेरो ढोकैमा ढुक्छ र तँलाई अधिन गर्न इच्छा गर्छ, तर तैँले अधिन गर्नैपर्छ ।”
0104080127	कयिनले आफ्ना भाइ हाबिललाई भने । अनि तिनीहरू खेतमा हुँदा कयिननले आफ्‍ना भाइ हाबिलमाथि आक्रमण गरे र तिनलाई मारे ।
010409012d	अनि परमप्रभुले कयिनलाई भन्‍नुभयो, “तेरो भाइ हाबिल कहाँ छ?” तिनले भने, “मलाई थाहा छैन । के म मेरो भाइको गोठालो हुँ र?”
01040a00e7	परमप्रभुले भन्‍नुभयो, “तैँले यो के गरिस्? तेरो भाइको रगतले जमिनबाट मलाई पुकारिरहेको छ ।
01040b00f5	अब तँ जमिबाट श्रापित हुन्छस् जसले तेरो हातबाट बगेको तेरो भाइको रगत ग्रहण गर्न मुख उघारेको छ ।
01040c00ea	आज उप्रान्त तैँले खेती गर्दा यसले यसको सामर्थ्य (फल) दिनेछैन । तँ भगुवा र आवारा हुनेछस् ।”
01040d00b0	कयिनले परमप्रभुलाई भने, “मेरो दण्ड मैले सहन सक्‍नेभन्दा धेरै भयो ।
01040e0198	वास्तवमा, आज तपाईंले मलाई यस जग्‍गाबाट धपाउनुभएको छ र म तपाईंको नजरबाट लुक्‍नेछु । म पृथ्वीमा भगुवा र आवारा हुनेछु र जसले भेट्टाउँछ त्यसले मलाई मार्नेछ ।”
01040f01d9	परमप्रभुले तिनलाई भन्‍नुभयो, “यदि कसैले कयिनलाई मार्छ भने, त्यसमाथि सात गुणा बदला लिइनेछ ।” अनि परमप्रभुले कयिनमाथि चिन्ह लगाउनुभयो, ताकि तिनलाई जसले भेट्टाए पनि आक्रमण नगरोस् ।
01041000d8	यसैले कयिन परमप्रभुको उपस्थितिबाट गए र अदनको पूर्वतिर नोदको मुलुकमा बसोवास गरे ।
010411016e	कयिनले आफ्नी पत्‍नीसँग सहवास गरे, र तिनी गर्भवती भइन् । तिनले हनोकलाई जन्माइन् । तिनले एउटा सहर बनाए, र यसको नाउँ आफ्नो छोराकै नाउँमा राखे ।
0104120111	हनोकबाट ईराद जन्मिए । ईराद महूयाएलका पिता बने । महूयाएल मतुशाएलका पिता बने । मतुशाएल लेमेखका पिता बने ।
01041300ce	लेमेखले दुइ जना पत्‍नीहरू ल्याए । एउटीको नाउँ आदा र अर्कीको नाउँ सिल्ला थियो ।
01041400d3	आदाले याबाललाई जन्माइन् । तिनी पालमा बस्‍नेहरू र पशु पालन गर्नेहरूका पिता बने ।
01041500be	तिनको भाइको नाउँ यूबाल थियो । तिनी वीणा र बाँसुरी बजाउनेहरूका पिता बने ।
0104160181	सिल्लाको हकमा, तिनले तुबल-कयिन अर्थात् काँसो र फलामका काम गर्नेहरूलाई जन्माइन् । तुबल-कयिनकी बहिनी नामा थिइन् । लेमेखले तिनकी पत्‍नीहरूलाई भने, “
0104170180	लेमेखका पत्‍नीहरू आदा र सिल्ला मेरो कुरा सुन; मैले जे भन्छु सो सुन । मलाई चोट पुर्‍याउने मनिसलाई अर्थात् मलाई घायल बनाउने जवानलाई मैले मारेको छु ।
01041800bd	यदि कयिनको बदला सात गुणा लिइन्छ भने लेमेखको बदला सतहत्तर गुणा लिइनेछ ।”
01041901d7	आदमले तिनको पत्‍नीसँग फेरि सहवास गरे र तिनले अर्को छोरा जन्माइन् । तिनले त्यसको नाउँ शेत राखिन् र भनिन्, “कयिनले मारेका हाबिलको सट्टामा परमेश्‍वरले मलाई अर्को छोरा दिनुभएको छ ।”
01041a0123	शेतको एउटा छोरा भयो तिनले तिनको नाउँ एनोश राखे । त्यस बेलादेखि मानसिहरूले परमेश्‍वरको नाउँ पुकार्न सुरु गरे ।
0105010148	आदमका सन्तानहरूका विवरण यही हो । परमेश्‍वरले मानिसलाई सृष्‍टि गर्नुहुँदा उहाँले तिनलाई आफ्नै स्वरूपमा सृष्‍टि गर्नुभयो ।
010502018d	उहाँले तिनीहरूलाई नर र नारी सृष्‍टि गर्नुभयो । उहाँले तिनीहरूलाई सृष्‍टि गर्नु हुँदा, तिनीहरूलाई आशिष् दिनुभयो र तिनीहरूलाई मानवजाति नाउँ दिनुभयो ।
01050300f6	आदम १३० वर्षको हुँदा तिनी आफ्‍नै स्वरूपमा जन्मेका छोरोको बुबा भए, र तिनले उनको नाउँ शेत राखे ।
01050400ec	आदम शेतको बुबा भएपछि, तिनी आठ सय वर्ष बाँचे । तिनी अझ अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
0105050055	आदम ९३० वर्ष बाँचे अनि तिनी मरे ।
010506006e	शेत १०५ वर्षको हुँदा तिनी एनोशको बुबा भए ।
01050700da	तिनी एनोशको बुबा भएपछि, तिनी ८०७ वर्ष बाँचे र अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
010508004f	शेत ९१२ वर्ष बाँचे र तिनी मरे ।
0105090072	एनोश ९० वर्षको हुँदा, तिनी केनानका बुबा भए ।
01050a00ea	तिनी केनानको बुबा भएपछि, एनोश ८१५ वर्ष बाँचे । तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
01050b0052	एनोश ९०५ वर्ष बाँचे र तिनी मरे ।
01050c007b	केनान ७० वर्षको हुँदा, तिनी महलालेलको बुबा भए ।
01050d00f3	तिनी महलालेलका बुबा भएपछि, केनान ८४० वर्ष बाँचे । तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
01050e0055	केनान ९१० वर्ष बाँचे र तिनी मरे ।
01050f007b	महलालेल ६५ वर्षको हुँदा, तिनी येरेदको बुबा भए ।
01051000ea	तिनी येरेदका बुबा भएपछि, तिनी ८३० वर्ष बाँचे । तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
010511005b	महलालेल ८९५ वर्ष बाँचे र तिनी मरे ।
0105120075	येरेद १६२ वर्षको हुँदा, तिनी हनोकका बुबा भए ।
01051300e9	तिनी हनोकको बुबा भएपछि येरेद ८०० वर्ष बाँचे । तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
0105140048	येरेद ९६२ बाँचे र तिनी मरे ।
0105150078	हनोक ६५ वर्षको हुँदा, तिनी मतूशेलहको बुबा भए ।
01051600b1	हनोक मतूशेलहको बुबा भएपछि तिनी ३०० वर्षसम्म परमेश्‍वरसँगै हिँडे ।
0105170071	तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
01051800bd	हनोक परमेश्‍वरसँगै हिँडे, र तिनी गए, किनकि परमेश्‍वरले तिनलाई लानुभयो ।
010519007e	मतूशेलह १८७ वर्षको हुँदा, तिनी लेमेकको बुबा भए ।
01051a00f3	तिनी लेमेकको बुबा भएपछि, मतूशेलह ७८२ वर्ष बाँचे । तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
01051b0061	मतूशेलह ९६९ वर्ष बाँचे अनि तिनी मरे ।
01051c0082	लेमेक १८२ वर्षको हुँदा, तिनी एउटा छोरोको बुबा भए ।
01051d01c6	तिनले उनलाई यसो भन्दै नोआ नाउँ राखे, “यसले हामीलाई हाम्रा काम र हाम्रा हातका पिडादायी श्रमबाट विश्राम दिनेछ, जुन परमप्रभुले जमिनलाई सराप दिनुभएको कारण हामीले गर्नैपर्छ ।”
01051e00d9	लेमेक नोआको बुबा भएपछि ५९५ वर्ष बाँचे । तिनी अरू धेरै छोराहरू र छोरीहरूका बुबा भए ।
01051f005c	लेमेक ७७७ वर्ष बाँचे, अनि तिनी मरे ।
010520008e	नोआ ५०० वर्ष बाँचेपछि, तिनी शेम, हाम र येपेतका बुबा भए ।
01060100c6	मानिसहरूको संख्या पृथ्वीमा वृद्धि हुँदैजाँदा र तिनीहरूका छोरीहरू जन्‍मे,
0106020153	परमेश्‍वरका छोराहरूले मानव-जातिका छोरीहरूलाई आकर्षक (राम्री) देखे । तिनीहरूले तिनीहरूमध्ये कसैलाई आफैले चुनेको पत्‍नी ल्याए ।
010603014b	परमप्रभुले भन्‍नुभयो, “मेरो आत्मा मानव-जातिमा सदासर्वदा रहनेछैन, किनभने तिनीहरू शरीर हुन् । तिनीहरू १२० वर्ष बाँच्‍नेछन् ।”
010604022b	ती दिनहरूमा र पछि पनि पृथ्वीमा ठुला कदका मानिसहरू (राक्षस) थिए । जब परमेश्‍वरका छोराहरूले मानिसका छोरीहरूसँग विवाह गरे, तिनीहरूका छोराछोरीहरू जन्मे । यिनीहरू उहिलेका शक्तिशाली अर्थात् प्रख्यात मानिसहरू थिए ।
0106050152	पृथ्वीका मानिसहरूको दुष्‍टता बढी भएको र तिनीहरूका हृदयका विचारको हरेक भावना निरन्तर खराबै मात्र भएको परमप्रभुले देख्‍नुभयो ।
0106060106	पृथ्वीमा मानव-जातिलाई बनाउनुभएकोमा परमप्रभुले पछुतो मान्‍नुभयो, र यसले उहाँलाई दुःखित तुल्यायो ।
0106070262	यसैले परमप्रभुले भन्‍नुभयो, “मैले सृष्‍टि गरेका मानव-जातिलाई पृथ्वीको सतहबाट नामेट पार्नेछु; मानव-जाति र ठुला-ठुला जनावरहरू, घस्रने जन्तुहरू र आकाशमा उड्ने पक्षीहरू सबैलाई नमाेट पार्नेछु, किनकि तिनीहरूलाई बनाएकोमा म दुःखित छु ।”
0106080053	तर नोआले परमप्रभुको निगाह पाए ।
010609012a	यिनीहरू नोआ बारेका घटनाहरू थिए । नोआ तिनका समयमा मानिसहरूमा धर्मी र दोषरहित मानिस थिए । नोआ परमेश्‍वरसँग हिँडे ।
01060a0070	नोआ शेम, हाम र येपेत तिन छोराहरूका बुबा भए ।
