010000000e	Γένεσις
01010b017b	καὶ εἶπεν ὁ θεός βλαστησάτω ἡ γῆ βοτάνην χόρτου σπεῖρον σπέρμα κατὰ γένος καὶ καθ’ ὁμοιότητα καὶ ξύλον κάρπιμον ποιοῦν καρπόν οὗ τὸ σπέρμα αὐτοῦ ἐν αὐτῷ κατὰ γένος ἐπὶ τῆς γῆς καὶ ἐγένετο οὕτως
01010c0172	καὶ ἐξήνεγκεν ἡ γῆ βοτάνην χόρτου σπεῖρον σπέρμα κατὰ γένος καὶ καθ’ ὁμοιότητα καὶ ξύλον κάρπιμον ποιοῦν καρπόν οὗ τὸ σπέρμα αὐτοῦ ἐν αὐτῷ κατὰ γένος ἐπὶ τῆς γῆς καὶ εἶδεν ὁ θεὸς ὅτι καλόν
01010d005d	καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί ἡμέρα τρίτη
01010e01b5	καὶ εἶπεν ὁ θεός γενηθήτωσαν φωστῆρες ἐν τῷ στερεώματι τοῦ οὐρανοῦ εἰς φαῦσιν τῆς γῆς τοῦ διαχωρίζειν ἀνὰ μέσον τῆς ἡμέρας καὶ ἀνὰ μέσον τῆς νυκτὸς καὶ ἔστωσαν εἰς σημεῖα καὶ εἰς καιροὺς καὶ εἰς ἡμέρας καὶ εἰς ἐνιαυτοὺς
01010f00bd	καὶ ἔστωσαν εἰς φαῦσιν ἐν τῷ στερεώματι τοῦ οὐρανοῦ ὥστε φαίνειν ἐπὶ τῆς γῆς καὶ ἐγένετο οὕτως
010110013d	καὶ ἐποίησεν ὁ θεὸς τοὺς δύο φωστῆρας τοὺς μεγάλους τὸν φωστῆρα τὸν μέγαν εἰς ἀρχὰς τῆς ἡμέρας καὶ τὸν φωστῆρα τὸν ἐλάσσω εἰς ἀρχὰς τῆς νυκτός καὶ τοὺς ἀστέρας
010111009c	καὶ ἔθετο αὐτοὺς ὁ θεὸς ἐν τῷ στερεώματι τοῦ οὐρανοῦ ὥστε φαίνειν ἐπὶ τῆς γῆς
01011200f8	καὶ ἄρχειν τῆς ἡμέρας καὶ τῆς νυκτὸς καὶ διαχωρίζειν ἀνὰ μέσον τοῦ φωτὸς καὶ ἀνὰ μέσον τοῦ σκότους καὶ εἶδεν ὁ θεὸς ὅτι καλόν
0101130061	καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί ἡμέρα τετάρτη
010114010d	καὶ εἶπεν ὁ θεός ἐξαγαγέτω τὰ ὕδατα ἑρπετὰ ψυχῶν ζωσῶν καὶ πετεινὰ πετόμενα ἐπὶ τῆς γῆς κατὰ τὸ στερέωμα τοῦ οὐρανοῦ καὶ ἐγένετο οὕτως
0101150148	καὶ ἐποίησεν ὁ θεὸς τὰ κήτη τὰ μεγάλα καὶ πᾶσαν ψυχὴν ζῴων ἑρπετῶν ἃ ἐξήγαγεν τὰ ὕδατα κατὰ γένη αὐτῶν καὶ πᾶν πετεινὸν πτερωτὸν κατὰ γένος καὶ εἶδεν ὁ θεὸς ὅτι καλά
0101160112	καὶ ηὐλόγησεν αὐτὰ ὁ θεὸς λέγων αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὰ ὕδατα ἐν ταῖς θαλάσσαις καὶ τὰ πετεινὰ πληθυνέσθωσαν ἐπὶ τῆς γῆς
010117005f	καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί ἡμέρα πέμπτη
01011800f1	καὶ εἶπεν ὁ θεός ἐξαγαγέτω ἡ γῆ ψυχὴν ζῶσαν κατὰ γένος τετράποδα καὶ ἑρπετὰ καὶ θηρία τῆς γῆς κατὰ γένος καὶ ἐγένετο οὕτως
0101190118	καὶ ἐποίησεν ὁ θεὸς τὰ θηρία τῆς γῆς κατὰ γένος καὶ τὰ κτήνη κατὰ γένος καὶ πάντα τὰ ἑρπετὰ τῆς γῆς κατὰ γένος αὐτῶν καὶ εἶδεν ὁ θεὸς ὅτι καλά
01011a01bb	καὶ εἶπεν ὁ θεός ποιήσωμεν ἄνθρωπον κατ’ εἰκόνα ἡμετέραν καὶ καθ’ ὁμοίωσιν καὶ ἀρχέτωσαν τῶν ἰχθύων τῆς θαλάσσης καὶ τῶν πετεινῶν τοῦ οὐρανοῦ καὶ τῶν κτηνῶν καὶ πάσης τῆς γῆς καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων ἐπὶ τῆς γῆς
01011b00bf	καὶ ἐποίησεν ὁ θεὸς τὸν ἄνθρωπον κατ’ εἰκόνα θεοῦ ἐποίησεν αὐτόν ἄρσεν καὶ θῆλυ ἐποίησεν αὐτούς
01011c0200	καὶ ηὐλόγησεν αὐτοὺς ὁ θεὸς λέγων αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὴν γῆν καὶ κατακυριεύσατε αὐτῆς καὶ ἄρχετε τῶν ἰχθύων τῆς θαλάσσης καὶ τῶν πετεινῶν τοῦ οὐρανοῦ καὶ πάντων τῶν κτηνῶν καὶ πάσης τῆς γῆς καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων ἐπὶ τῆς γῆς
01011d0158	καὶ εἶπεν ὁ θεός ἰδοὺ δέδωκα ὑμῖν πᾶν χόρτον σπόριμον σπεῖρον σπέρμα ὅ ἐστιν ἐπάνω πάσης τῆς γῆς καὶ πᾶν ξύλον ὃ ἔχει ἐν ἑαυτῷ καρπὸν σπέρματος σπορίμου ὑμῖν ἔσται εἰς βρῶσιν
01011e016c	καὶ πᾶσι τοῖς θηρίοις τῆς γῆς καὶ πᾶσι τοῖς πετεινοῖς τοῦ οὐρανοῦ καὶ παντὶ ἑρπετῷ τῷ ἕρποντι ἐπὶ τῆς γῆς ὃ ἔχει ἐν ἑαυτῷ ψυχὴν ζωῆς πάντα χόρτον χλωρὸν εἰς βρῶσιν καὶ ἐγένετο οὕτως
01011f00cf	καὶ εἶδεν ὁ θεὸς τὰ πάντα ὅσα ἐποίησεν καὶ ἰδοὺ καλὰ λίαν καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί ἡμέρα ἕκτη
0102010079	καὶ συνετελέσθησαν ὁ οὐρανὸς καὶ ἡ γῆ καὶ πᾶς ὁ κόσμος αὐτῶν
010202011d	καὶ συνετέλεσεν ὁ θεὸς ἐν τῇ ἡμέρᾳ τῇ ἕκτῃ τὰ ἔργα αὐτοῦ ἃ ἐποίησεν καὶ κατέπαυσεν τῇ ἡμέρᾳ τῇ ἑβδόμῃ ἀπὸ πάντων τῶν ἔργων αὐτοῦ ὧν ἐποίησεν
0102030112	καὶ ηὐλόγησεν ὁ θεὸς τὴν ἡμέραν τὴν ἑβδόμην καὶ ἡγίασεν αὐτήν ὅτι ἐν αὐτῇ κατέπαυσεν ἀπὸ πάντων τῶν ἔργων αὐτοῦ ὧν ἤρξατο ὁ θεὸς ποιῆσαι
01020400c6	αὕτη ἡ βίβλος γενέσεως οὐρανοῦ καὶ γῆς ὅτε ἐγένετο ᾗ ἡμέρᾳ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν
0102050149	καὶ πᾶν χλωρὸν ἀγροῦ πρὸ τοῦ γενέσθαι ἐπὶ τῆς γῆς καὶ πάντα χόρτον ἀγροῦ πρὸ τοῦ ἀνατεῖλαι οὐ γὰρ ἔβρεξεν ὁ θεὸς ἐπὶ τὴν γῆν καὶ ἄνθρωπος οὐκ ἦν ἐργάζεσθαι τὴν γῆν
0102060082	πηγὴ δὲ ἀνέβαινεν ἐκ τῆς γῆς καὶ ἐπότιζεν πᾶν τὸ πρόσωπον τῆς γῆς
0102070110	καὶ ἔπλασεν ὁ θεὸς τὸν ἄνθρωπον χοῦν ἀπὸ τῆς γῆς καὶ ἐνεφύσησεν εἰς τὸ πρόσωπον αὐτοῦ πνοὴν ζωῆς καὶ ἐγένετο ὁ ἄνθρωπος εἰς ψυχὴν ζῶσαν
01020800c6	καὶ ἐφύτευσεν κύριος ὁ θεὸς παράδεισον ἐν Εδεμ κατὰ ἀνατολὰς καὶ ἔθετο ἐκεῖ τὸν ἄνθρωπον ὃν ἔπλασεν
0102090167	καὶ ἐξανέτειλεν ὁ θεὸς ἔτι ἐκ τῆς γῆς πᾶν ξύλον ὡραῖον εἰς ὅρασιν καὶ καλὸν εἰς βρῶσιν καὶ τὸ ξύλον τῆς ζωῆς ἐν μέσῳ τῷ παραδείσῳ καὶ τὸ ξύλον τοῦ εἰδέναι γνωστὸν καλοῦ καὶ πονηροῦ
01020a00b6	ποταμὸς δὲ ἐκπορεύεται ἐξ Εδεμ ποτίζειν τὸν παράδεισον ἐκεῖθεν ἀφορίζεται εἰς τέσσαρας ἀρχάς
01020b009e	ὄνομα τῷ ἑνὶ Φισων οὗτος ὁ κυκλῶν πᾶσαν τὴν γῆν Ευιλατ ἐκεῖ οὗ ἐστιν τὸ χρυσίον
01020c00a2	τὸ δὲ χρυσίον τῆς γῆς ἐκείνης καλόν καὶ ἐκεῖ ἐστιν ὁ ἄνθραξ καὶ ὁ λίθος ὁ πράσινος
01020d0094	καὶ ὄνομα τῷ ποταμῷ τῷ δευτέρῳ Γηων οὗτος ὁ κυκλῶν πᾶσαν τὴν γῆν Αἰθιοπίας
01020e00d2	καὶ ὁ ποταμὸς ὁ τρίτος Τίγρις οὗτος ὁ πορευόμενος κατέναντι Ἀσσυρίων ὁ δὲ ποταμὸς ὁ τέταρτος οὗτος Εὐφράτης
01020f00df	καὶ ἔλαβεν κύριος ὁ θεὸς τὸν ἄνθρωπον ὃν ἔπλασεν καὶ ἔθετο αὐτὸν ἐν τῷ παραδείσῳ ἐργάζεσθαι αὐτὸν καὶ φυλάσσειν
01021000b3	καὶ ἐνετείλατο κύριος ὁ θεὸς τῷ Αδαμ λέγων ἀπὸ παντὸς ξύλου τοῦ ἐν τῷ παραδείσῳ βρώσει φάγῃ
01021100f1	ἀπὸ δὲ τοῦ ξύλου τοῦ γινώσκειν καλὸν καὶ πονηρόν οὐ φάγεσθε ἀπ’ αὐτοῦ ᾗ δ’ ἂν ἡμέρᾳ φάγητε ἀπ’ αὐτοῦ θανάτῳ ἀποθανεῖσθε
01021200b2	καὶ εἶπεν κύριος ὁ θεός οὐ καλὸν εἶναι τὸν ἄνθρωπον μόνον ποιήσωμεν αὐτῷ βοηθὸν κατ’ αὐτόν
010213019d	καὶ ἔπλασεν ὁ θεὸς ἔτι ἐκ τῆς γῆς πάντα τὰ θηρία τοῦ ἀγροῦ καὶ πάντα τὰ πετεινὰ τοῦ οὐρανοῦ καὶ ἤγαγεν αὐτὰ πρὸς τὸν Αδαμ ἰδεῖν τί καλέσει αὐτά καὶ πᾶν ὃ ἐὰν ἐκάλεσεν αὐτὸ Αδαμ ψυχὴν ζῶσαν τοῦτο ὄνομα αὐτοῦ
0102140134	καὶ ἐκάλεσεν Αδαμ ὀνόματα πᾶσιν τοῖς κτήνεσιν καὶ πᾶσι τοῖς πετεινοῖς τοῦ οὐρανοῦ καὶ πᾶσι τοῖς θηρίοις τοῦ ἀγροῦ τῷ δὲ Αδαμ οὐχ εὑρέθη βοηθὸς ὅμοιος αὐτῷ
01021500f2	καὶ ἐπέβαλεν ὁ θεὸς ἔκστασιν ἐπὶ τὸν Αδαμ καὶ ὕπνωσεν καὶ ἔλαβεν μίαν τῶν πλευρῶν αὐτοῦ καὶ ἀνεπλήρωσεν σάρκα ἀντ’ αὐτῆς
01021600d3	καὶ ᾠκοδόμησεν κύριος ὁ θεὸς τὴν πλευράν ἣν ἔλαβεν ἀπὸ τοῦ Αδαμ εἰς γυναῖκα καὶ ἤγαγεν αὐτὴν πρὸς τὸν Αδαμ
010217010a	καὶ εἶπεν Αδαμ τοῦτο νῦν ὀστοῦν ἐκ τῶν ὀστέων μου καὶ σὰρξ ἐκ τῆς σαρκός μου αὕτη κληθήσεται γυνή ὅτι ἐκ τοῦ ἀνδρὸς αὐτῆς ἐλήμφθη αὕτη
0102180126	ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα αὐτοῦ καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν
0102190084	καὶ ἦσαν οἱ δύο γυμνοί ὅ τε Αδαμ καὶ ἡ γυνὴ αὐτοῦ καὶ οὐκ ᾐσχύνοντο
0103010167	ὁ δὲ ὄφις ἦν φρονιμώτατος πάντων τῶν θηρίων τῶν ἐπὶ τῆς γῆς ὧν ἐποίησεν κύριος ὁ θεός καὶ εἶπεν ὁ ὄφις τῇ γυναικί τί ὅτι εἶπεν ὁ θεός οὐ μὴ φάγητε ἀπὸ παντὸς ξύλου τοῦ ἐν τῷ παραδείσῳ
0103020081	καὶ εἶπεν ἡ γυνὴ τῷ ὄφει ἀπὸ καρποῦ ξύλου τοῦ παραδείσου φαγόμεθα
01030300fe	ἀπὸ δὲ καρποῦ τοῦ ξύλου ὅ ἐστιν ἐν μέσῳ τοῦ παραδείσου εἶπεν ὁ θεός οὐ φάγεσθε ἀπ’ αὐτοῦ οὐδὲ μὴ ἅψησθε αὐτοῦ ἵνα μὴ ἀποθάνητε
0103040063	καὶ εἶπεν ὁ ὄφις τῇ γυναικί οὐ θανάτῳ ἀποθανεῖσθε
0103050109	ᾔδει γὰρ ὁ θεὸς ὅτι ἐν ᾗ ἂν ἡμέρᾳ φάγητε ἀπ’ αὐτοῦ διανοιχθήσονται ὑμῶν οἱ ὀφθαλμοί καὶ ἔσεσθε ὡς θεοὶ γινώσκοντες καλὸν καὶ πονηρόν
010306019e	καὶ εἶδεν ἡ γυνὴ ὅτι καλὸν τὸ ξύλον εἰς βρῶσιν καὶ ὅτι ἀρεστὸν τοῖς ὀφθαλμοῖς ἰδεῖν καὶ ὡραῖόν ἐστιν τοῦ κατανοῆσαι καὶ λαβοῦσα τοῦ καρποῦ αὐτοῦ ἔφαγεν καὶ ἔδωκεν καὶ τῷ ἀνδρὶ αὐτῆς μετ’ αὐτῆς καὶ ἔφαγον
01030700ef	καὶ διηνοίχθησαν οἱ ὀφθαλμοὶ τῶν δύο καὶ ἔγνωσαν ὅτι γυμνοὶ ἦσαν καὶ ἔρραψαν φύλλα συκῆς καὶ ἐποίησαν ἑαυτοῖς περιζώματα
0103080167	καὶ ἤκουσαν τὴν φωνὴν κυρίου τοῦ θεοῦ περιπατοῦντος ἐν τῷ παραδείσῳ τὸ δειλινόν καὶ ἐκρύβησαν ὅ τε Αδαμ καὶ ἡ γυνὴ αὐτοῦ ἀπὸ προσώπου κυρίου τοῦ θεοῦ ἐν μέσῳ τοῦ ξύλου τοῦ παραδείσου
010309007b	καὶ ἐκάλεσεν κύριος ὁ θεὸς τὸν Αδαμ καὶ εἶπεν αὐτῷ Αδαμ ποῦ εἶ
01030a00d3	καὶ εἶπεν αὐτῷ τὴν φωνήν σου ἤκουσα περιπατοῦντος ἐν τῷ παραδείσῳ καὶ ἐφοβήθην ὅτι γυμνός εἰμι καὶ ἐκρύβην
01030b00f5	καὶ εἶπεν αὐτῷ τίς ἀνήγγειλέν σοι ὅτι γυμνὸς εἶ μὴ ἀπὸ τοῦ ξύλου οὗ ἐνετειλάμην σοι τούτου μόνου μὴ φαγεῖν ἀπ’ αὐτοῦ ἔφαγες
01030c00a7	καὶ εἶπεν ὁ Αδαμ ἡ γυνή ἣν ἔδωκας μετ’ ἐμοῦ αὕτη μοι ἔδωκεν ἀπὸ τοῦ ξύλου καὶ ἔφαγον
01030d00c2	καὶ εἶπεν κύριος ὁ θεὸς τῇ γυναικί τί τοῦτο ἐποίησας καὶ εἶπεν ἡ γυνή ὁ ὄφις ἠπάτησέν με καὶ ἔφαγον
01030e0196	καὶ εἶπεν κύριος ὁ θεὸς τῷ ὄφει ὅτι ἐποίησας τοῦτο ἐπικατάρατος σὺ ἀπὸ πάντων τῶν κτηνῶν καὶ ἀπὸ πάντων τῶν θηρίων τῆς γῆς ἐπὶ τῷ στήθει σου καὶ τῇ κοιλίᾳ πορεύσῃ καὶ γῆν φάγῃ πάσας τὰς ἡμέρας τῆς ζωῆς σου
01030f015d	καὶ ἔχθραν θήσω ἀνὰ μέσον σου καὶ ἀνὰ μέσον τῆς γυναικὸς καὶ ἀνὰ μέσον τοῦ σπέρματός σου καὶ ἀνὰ μέσον τοῦ σπέρματος αὐτῆς αὐτός σου τηρήσει κεφαλήν καὶ σὺ τηρήσεις αὐτοῦ πτέρναν
0103100130	καὶ τῇ γυναικὶ εἶπεν πληθύνων πληθυνῶ τὰς λύπας σου καὶ τὸν στεναγμόν σου ἐν λύπαις τέξῃ τέκνα καὶ πρὸς τὸν ἄνδρα σου ἡ ἀποστροφή σου καὶ αὐτός σου κυριεύσει
01031101b2	τῷ δὲ Αδαμ εἶπεν ὅτι ἤκουσας τῆς φωνῆς τῆς γυναικός σου καὶ ἔφαγες ἀπὸ τοῦ ξύλου οὗ ἐνετειλάμην σοι τούτου μόνου μὴ φαγεῖν ἀπ’ αὐτοῦ ἐπικατάρατος ἡ γῆ ἐν τοῖς ἔργοις σου ἐν λύπαις φάγῃ αὐτὴν πάσας τὰς ἡμέρας τῆς ζωῆς σου
0103120080	ἀκάνθας καὶ τριβόλους ἀνατελεῖ σοι καὶ φάγῃ τὸν χόρτον τοῦ ἀγροῦ
01031300f9	ἐν ἱδρῶτι τοῦ προσώπου σου φάγῃ τὸν ἄρτον σου ἕως τοῦ ἀποστρέψαι σε εἰς τὴν γῆν ἐξ ἧς ἐλήμφθης ὅτι γῆ εἶ καὶ εἰς γῆν ἀπελεύσῃ
01031400a1	καὶ ἐκάλεσεν Αδαμ τὸ ὄνομα τῆς γυναικὸς αὐτοῦ Ζωή ὅτι αὕτη μήτηρ πάντων τῶν ζώντων
01031500bd	καὶ ἐποίησεν κύριος ὁ θεὸς τῷ Αδαμ καὶ τῇ γυναικὶ αὐτοῦ χιτῶνας δερματίνους καὶ ἐνέδυσεν αὐτούς
010316015f	καὶ εἶπεν ὁ θεός ἰδοὺ Αδαμ γέγονεν ὡς εἷς ἐξ ἡμῶν τοῦ γινώσκειν καλὸν καὶ πονηρόν καὶ νῦν μήποτε ἐκτείνῃ τὴν χεῖρα καὶ λάβῃ τοῦ ξύλου τῆς ζωῆς καὶ φάγῃ καὶ ζήσεται εἰς τὸν αἰῶνα
01031700c4	καὶ ἐξαπέστειλεν αὐτὸν κύριος ὁ θεὸς ἐκ τοῦ παραδείσου τῆς τρυφῆς ἐργάζεσθαι τὴν γῆν ἐξ ἧς ἐλήμφθη
0103180162	καὶ ἐξέβαλεν τὸν Αδαμ καὶ κατῴκισεν αὐτὸν ἀπέναντι τοῦ παραδείσου τῆς τρυφῆς καὶ ἔταξεν τὰ χερουβιμ καὶ τὴν φλογίνην ῥομφαίαν τὴν στρεφομένην φυλάσσειν τὴν ὁδὸν τοῦ ξύλου τῆς ζωῆς
01040100d7	Αδαμ δὲ ἔγνω Ευαν τὴν γυναῖκα αὐτοῦ καὶ συλλαβοῦσα ἔτεκεν τὸν Καιν καὶ εἶπεν ἐκτησάμην ἄνθρωπον διὰ τοῦ θεοῦ
01040200de	καὶ προσέθηκεν τεκεῖν τὸν ἀδελφὸν αὐτοῦ τὸν Αβελ καὶ ἐγένετο Αβελ ποιμὴν προβάτων Καιν δὲ ἦν ἐργαζόμενος τὴν γῆν
0104030096	καὶ ἐγένετο μεθ’ ἡμέρας ἤνεγκεν Καιν ἀπὸ τῶν καρπῶν τῆς γῆς θυσίαν τῷ κυρίῳ
0104040124	καὶ Αβελ ἤνεγκεν καὶ αὐτὸς ἀπὸ τῶν πρωτοτόκων τῶν προβάτων αὐτοῦ καὶ ἀπὸ τῶν στεάτων αὐτῶν καὶ ἐπεῖδεν ὁ θεὸς ἐπὶ Αβελ καὶ ἐπὶ τοῖς δώροις αὐτοῦ
01040500cc	ἐπὶ δὲ Καιν καὶ ἐπὶ ταῖς θυσίαις αὐτοῦ οὐ προσέσχεν καὶ ἐλύπησεν τὸν Καιν λίαν καὶ συνέπεσεν τῷ προσώπῳ
01040600b1	καὶ εἶπεν κύριος ὁ θεὸς τῷ Καιν ἵνα τί περίλυπος ἐγένου καὶ ἵνα τί συνέπεσεν τὸ πρόσωπόν σου
01040700dd	οὐκ ἐὰν ὀρθῶς προσενέγκῃς ὀρθῶς δὲ μὴ διέλῃς ἥμαρτες ἡσύχασον πρὸς σὲ ἡ ἀποστροφὴ αὐτοῦ καὶ σὺ ἄρξεις αὐτοῦ
010408015b	καὶ εἶπεν Καιν πρὸς Αβελ τὸν ἀδελφὸν αὐτοῦ διέλθωμεν εἰς τὸ πεδίον καὶ ἐγένετο ἐν τῷ εἶναι αὐτοὺς ἐν τῷ πεδίῳ καὶ ἀνέστη Καιν ἐπὶ Αβελ τὸν ἀδελφὸν αὐτοῦ καὶ ἀπέκτεινεν αὐτόν
01040900da	καὶ εἶπεν ὁ θεὸς πρὸς Καιν ποῦ ἐστιν Αβελ ὁ ἀδελφός σου ὁ δὲ εἶπεν οὐ γινώσκω μὴ φύλαξ τοῦ ἀδελφοῦ μού εἰμι ἐγώ
01040a009d	καὶ εἶπεν ὁ θεός τί ἐποίησας φωνὴ αἵματος τοῦ ἀδελφοῦ σου βοᾷ πρός με ἐκ τῆς γῆς
01040b00db	καὶ νῦν ἐπικατάρατος σὺ ἀπὸ τῆς γῆς ἣ ἔχανεν τὸ στόμα αὐτῆς δέξασθαι τὸ αἷμα τοῦ ἀδελφοῦ σου ἐκ τῆς χειρός σου
01040c00be	ὅτι ἐργᾷ τὴν γῆν καὶ οὐ προσθήσει τὴν ἰσχὺν αὐτῆς δοῦναί σοι στένων καὶ τρέμων ἔσῃ ἐπὶ τῆς γῆς
01040d007f	καὶ εἶπεν Καιν πρὸς τὸν κύριον μείζων ἡ αἰτία μου τοῦ ἀφεθῆναί με
01040e013f	εἰ ἐκβάλλεις με σήμερον ἀπὸ προσώπου τῆς γῆς καὶ ἀπὸ τοῦ προσώπου σου κρυβήσομαι καὶ ἔσομαι στένων καὶ τρέμων ἐπὶ τῆς γῆς καὶ ἔσται πᾶς ὁ εὑρίσκων με ἀποκτενεῖ με
01040f015c	καὶ εἶπεν αὐτῷ κύριος ὁ θεός οὐχ οὕτως πᾶς ὁ ἀποκτείνας Καιν ἑπτὰ ἐκδικούμενα παραλύσει καὶ ἔθετο κύριος ὁ θεὸς σημεῖον τῷ Καιν τοῦ μὴ ἀνελεῖν αὐτὸν πάντα τὸν εὑρίσκοντα αὐτόν
0104100092	ἐξῆλθεν δὲ Καιν ἀπὸ προσώπου τοῦ θεοῦ καὶ ᾤκησεν ἐν γῇ Ναιδ κατέναντι Εδεμ
0104110123	καὶ ἔγνω Καιν τὴν γυναῖκα αὐτοῦ καὶ συλλαβοῦσα ἔτεκεν τὸν Ενωχ καὶ ἦν οἰκοδομῶν πόλιν καὶ ἐπωνόμασεν τὴν πόλιν ἐπὶ τῷ ὀνόματι τοῦ υἱοῦ αὐτοῦ Ενωχ
01041200f1	ἐγενήθη δὲ τῷ Ενωχ Γαιδαδ καὶ Γαιδαδ ἐγέννησεν τὸν Μαιηλ καὶ Μαιηλ ἐγέννησεν τὸν Μαθουσαλα καὶ Μαθουσαλα ἐγέννησεν τὸν Λαμεχ
010413009c	καὶ ἔλαβεν ἑαυτῷ Λαμεχ δύο γυναῖκας ὄνομα τῇ μιᾷ Αδα καὶ ὄνομα τῇ δευτέρᾳ Σελλα
0104140092	καὶ ἔτεκεν Αδα τὸν Ιωβελ οὗτος ἦν ὁ πατὴρ οἰκούντων ἐν σκηναῖς κτηνοτρόφων
0104150097	καὶ ὄνομα τῷ ἀδελφῷ αὐτοῦ Ιουβαλ οὗτος ἦν ὁ καταδείξας ψαλτήριον καὶ κιθάραν
01041600c7	Σελλα δὲ ἔτεκεν καὶ αὐτὴ τὸν Θοβελ καὶ ἦν σφυροκόπος χαλκεὺς χαλκοῦ καὶ σιδήρου ἀδελφὴ δὲ Θοβελ Νοεμα
0104170161	εἶπεν δὲ Λαμεχ ταῖς ἑαυτοῦ γυναιξίν Αδα καὶ Σελλα ἀκούσατέ μου τῆς φωνῆς γυναῖκες Λαμεχ ἐνωτίσασθέ μου τοὺς λόγους ὅτι ἄνδρα ἀπέκτεινα εἰς τραῦμα ἐμοὶ καὶ νεανίσκον εἰς μώλωπα ἐμοί
010418007d	ὅτι ἑπτάκις ἐκδεδίκηται ἐκ Καιν ἐκ δὲ Λαμεχ ἑβδομηκοντάκις ἑπτά
0104190158	ἔγνω δὲ Αδαμ Ευαν τὴν γυναῖκα αὐτοῦ καὶ συλλαβοῦσα ἔτεκεν υἱὸν καὶ ἐπωνόμασεν τὸ ὄνομα αὐτοῦ Σηθ λέγουσα ἐξανέστησεν γάρ μοι ὁ θεὸς σπέρμα ἕτερον ἀντὶ Αβελ ὃν ἀπέκτεινεν Καιν
01041a00da	καὶ τῷ Σηθ ἐγένετο υἱός ἐπωνόμασεν δὲ τὸ ὄνομα αὐτοῦ Ενως οὗτος ἤλπισεν ἐπικαλεῖσθαι τὸ ὄνομα κυρίου τοῦ θεοῦ
01050100bf	αὕτη ἡ βίβλος γενέσεως ἀνθρώπων ᾗ ἡμέρᾳ ἐποίησεν ὁ θεὸς τὸν Αδαμ κατ’ εἰκόνα θεοῦ ἐποίησεν αὐτόν
