1300000006	Psalms
1306020060	Wumbona kiadi a Yave bila ndidi wulebakana, A Yave wumbelusa bila mimvesi miama mieka nduka fua.
1306030044	Muelꞌama wulembo yami, Nate thangu mbi, a Yave, nate thangu mbi e?
130604004e	Vutikisa ntima, a Yave, wukhudi, wuphukisa mu diambu di luzolo luaku lu ngolo.
1306050052	Mutu kalendi kutebukila moyo ko niandi fua. Ayi nani wela kuzitisa ku tsi bafua e?
1306060081	Mbemana vonga kuna ku kunga; builu bu mvimba ndieti bodisa mbukꞌama mu bidilu, ndieti bodisa buangu ki ndieti leka mu matsuela.
1306070054	Meso mama mabividi mu diambu di kiadi, ayi manunini mu diambu di bobo beti kundenda.
130608005c	Botukanu va ntualꞌama beno boso lumvanganga mambu mambimbi. Bila Yave wuwilu bidilu biama.
130609004c	Yave wuwilu yamikina kuama mu diambu di kiadi Yave kikinini lusambulu luama.
13060a0070	Bambeni ziama zioso baela fua tsoni ayi bela ba boma-boma. Bela vutikisa ku manima ayi bela fua tsoni mu nsualu.
13070100c9	Nkunga wu maniongo wu Davidi kayimbidila Yave mu diambu di KUSI, muisi dikanda di Benzami. A Yave, Nzambi ama, kuidi ngeyo ndintombilanga suamunu kiama. Wuphukisa mu babo beti kundandakana ayi wukhula.
130702005a	Muingi babika ku khanzuna banga khosi ayi kunzenga mu bitini mu kambu mutu wulenda vukisa.
130703004f	A Yave, Nzambi ama, enati ndivengi mawu ayi enati nzimbala yidi mu mioko miama;
130704007a	enati ndivutudi mambimbi kuidi mutu wubedi zinganga yama mu ndembama, voti ndiziona, mu kambu bila, bima bi mutu wundenda,
1307050078	buna bika mbeni ama kandandakana ayi kambakidila; bika kadiatidila luzingu luama va tsi, ayi kandekisa mu mbungi-mbungi.
1307060071	A Yave, telama ku tsi nganzi aku, Nuanisa miangu mi ngolo mi bambeni ziama. A Nzambi ama, kotuka bika wundungisa.
1307070047	Bika lukutukunu lu batu bazungidila, bika wuba yadila bu widi ku diyilu
1307080079	Bika Yave wusambisa batu A Yave, wutsambisa boso buididi busonga buama ayi boso buididi fuanana kuama, a Nzambi yizangama
130709008b	A Nzambi yi busonga, ngeyo wumfionguninanga mintima ayi mayindu ma batu, manisa makhemi ma mutu wumbimbi ayi tula mutu wusonga mu luvovomo.
13070a0057	Nzambi yizangama niandi nkaku ama; niandi wumvukisanga batu babo badi mintima milulama.
13070b004e	Nzambi niandi zuzi disonga, Nzambi wummonisanga miangu miandi mu kadika lumbu.
13070c005e	Enati kakadi balula mavanga, wela lengula sabala kiandi, wela leki mbasꞌandi ayi kuwukubika.
13070d0054	Wukubika binduanina biandi bi lufua wulembo kitula madionga mandi madionga ma mbazu.
13070e0055	Niandi widi mu buemba bu mambimbi; widi mu kubika ziphasi ayi butidi mambu ma luvunu.
13070f0052	Niandi wukaba dibulu; wudikulula dimula ayi wubua mu dibulu di kakaba niandi veka.
1307100057	Ziphasi ziozi kakubika zimbuididi niandi veka ayi tsitꞌandi yibuidi va dikosi diandi.
1307110073	Ndiela vutudila Yave matondo mu diambu di busonga buandi. Ayi ndiela yimbidila nzitusu wu dizina di Yave wuzangama.
13080100b4	Nkunga Davidi kuidi pfumu minyimbidi mu ngitala yi basi Ngati. Yave, Pfumu eto! Tala buevi dizina diaku didi di nzitusu va ntoto wumvimba. Ngeyo wutula nkemboꞌaku viokila diyilu.
13080200cc	Mu bididi bi bana balezi ayi bi bana batsombi, ngeyo wutuma mu totukila nzitusu mu diambu di bambeni ziaku; mu diambu di kanga miunu mi bobo beti ku lenda, ayi mutu wowo wumvutulanga mambimbi mu mambimbi.
1308030064	Bu ndieti tala diyilu diaku, kisalu ki minlembo miaku, ngonda ayi zimbuetete ziozi wutula va buangu;
1308040061	buna mbi biobi mutu mu diambu wuntebukilanga moyo, ayi muana mutu mu diambu wumbelanga mayindu e?
1308050059	Ngeyo wumvanga kaba fioti ku tsi bivangu bi diyilu ayi ngeyo wumvuika nkembo ayi nzitusu,
130806005a	Ngeyo wunkitula nyadi mu bisalu bi mioko miaku, ngeyo wutula bima bioso ku tsi malu mandi:
1308070035	mamemi moso ayi zingombi zioso; bibulu bioso binsitu,
130808004b	zinuni zi yilu ayi zimbizi zi mbu, bibioso bindiatilanga mu minsolo mi mbu.
130809004d	A Yave, Pfumu eto! Tala buevi dizina diaku didi di nzitusu va ntoto wumvimba.
1309010090	Nkunga Davidi kuidi pfumu minyimbidi mu lufua lu muana. Ndiela kuzitisa, a Yave, mu ntimꞌama wumvimba. Ndiela yamikisa matsiminanga maku moso.
130902007b	Ndiela mona khini ayi ndiela sakadala mu ngeyo, Ndiela yimbidila nzitusu mu diambu di dizina diaku, ngeyo Nzambi wuzangama.
1309030064	Bambeni ziama balembo vutukisa ku manima, balembo bumina zithutu ayi balembo bungana va ntualꞌaku.
130904007e	Bila ngeyo wunzengidi nkanu mu busonga, wudedisidi mambu mama; ngeyo wuvuendi va kundu kiaku ki kipfumu mu sambisa mu busonga.
130905005d	Ngeyo wutemina makanda, wubunga mutu wumbimbi, wukubula mvimba mazina mawu mu zithangu zioso.
1309060068	Mbivusu yikambulu tsukulu yibuididi bambeni; wutiolumuna mavula mawu ayi malendi buela tebukulu moyo ko.
1309070059	Yave wunyalanga mu zithangu zioso; wukubika kundu kiandi ki kipfumu mu diambu di sambisa.
1309080039	Wela sambisa nza mu busonga, wela yadila batu mu bufuana.
130909004e	Yave niandi suamunu ki mutu weti yamusu; suamunu kingolo mu thangu yi ziphasi.
13090a006d	Babo bazebi dizina diaku, bela tula diana diawu mu ngeyo. Bila ngeyo, Yave, wuyekulanga ko bobo bakutombanga.
13090b0063	Luyimbidila Yave minzitusu mutu wowo wukala ku Sioni; yamikisanu mambu mandi kavanga muidi makanda.
13090c0083	Bila mutu wowo wumvutulanga landi mu diambu di menga matengolo wuntebukanga moyo; kazimbakananga ko yamikina ku batu badi mu phasi.
13090d0061	A Yave, tala buevi bambeni ziama balembo ndiamisa wumboni kiadi ayi wundanguna mu mielo mi lufua.
13090e006a	Muingi ndiyamikisa minzitusu miaku mu mielo mi muana ndumba wu Sioni, muingi ndimona khini mu phulusu aku.
13090f005c	Makanda mabuidi mu dibulu dinneni diodi bakaba; malu mawu mabakini mu dikondi diodi batamba.
130910005d	Yave wukimonikisidi, mu busonga buandi; mutu wumbimbi wukangimini mu mavanga ma mioko miandi.
1309110050	Batu bambimbi balembo vutuki ku tsi bafua, makanda moso momo mazimbakana Nzambi.
1309120062	Vayi nsukami kalendi tumbu zimbukunu ko ayi diana di batu badi mu phasi dilendi tumbu lalakana ko.
130913004c	A Yave, telama! Bika mutu kabika nunga! Bika makanda masambusu va meso maku.
1309140041	A Yave, wubabuisila tsisi! Bika makanda mazaba ti badi kaka batu.
130a010052	Bila mbi ngeyo Yave telimini thama e? Bila mbi wididi wusuama mu thangu ziphasi e?
130a020070	Mu lunangu luandi, mutu wumbimbi wulembo landakana mutu wulebakana; bobo babuilamanga mu makani momo kakubikidi.
130a030076	Bila mutu wumbimbi wulembo kiniemisa mu nzinunu zi ntima andi; ayi wulembo sakumuna nkua lukokoto, wulembo lenzi Yave.
130a04005e	Mu luniemo luandi, mutu wumbimbi kantombanga ko. Mu mayindu mandi, Nzambi kasi kadi buangu ko.
130a05008f	Mu zithangu zioso, zinzila ziandi zidi zimboti widi nkua lunangu ayi mina miaku midi mitatuka kuidi niandi; wunsekininanga bambeni bandi zioso.
130a060085	Wuniungutanga mu ntimꞌandi: “Kuisi ko diambu dilenda ku ndikuna; Ndidi mu khini mu zithangu zioso ayi ndilendi ba mu phasi ko.”
130a07005d	Munu andi wuwedi tsingulu, luvunu ayi buivi. Ku tsi ludimi luandi kuidi ziphasi ayi mambimbi.
130a080092	Wumfielanga mu ndambu mala. Wumvondanga mutu kambulu zaba diambu mu bibuangu bisuama, meso mandi manfielanga mu kinsueki bobo katidi vanga mbimbi.
130a09006e	Wumfielanga banga bumfiedilanga khosi bu kadi mu nsuku wumfielanga mu diambu di buila batu bakambulu lusadusu.
130a0a004a	Weti kuba kosikisa, bawu beti tumbu vonga; beti bua ku tsi zingolo ziandi.
130a0b005d	Wuniungutanga mu ntimꞌandi: “Nzambi zimbikini, fukidi zizi kiandi ayi kalendi mona ko.”
130a0c0051	A Yave Nzambi, telama, vumuna koko kuaku; kadi zimbakana batu bakambulu lusadusu!
130a0d0089	Bila mbi mutu wumbimbi keti lenzila Nzambi e? Bila mbi kalembo niungutina mu ntimꞌandi: “Kalendi tomba ko ti ndimvumbudila kipholo”
130a0e00af	Muaki ngeyo Nzambi, wulembo moni ziphasi ayi mabienga; Wulembo tadi mawu muingi wumatula va koko kuaku. Nkua mabienga wukukiyekulanga kuidi ngeyo; ngeyo nsadisi wu muana sana.
130a0f008c	Kelula koko ku mutu wumbimbi ayi ku mutu weti vanga mambimbi, nkambi kavumbudila kipholo mu mambimbi mandi; nate wela kambu buela ku mamona.
130a10005f	Yave niandi ntinu mu zithangu zioso ayi mu thangu yi kayimani Makanda mela bungana mu tsi andi.
130a110061	A Yave, ngeyo weti wa zitsatu zi batu badi mu phasi. Weti kuba kindisa; ayi dimba yamikina kuawu.
130a120063	Mu diambu di nuanisa muana sana ayi mutu weti yamusu muingi mutu widi va ntoto kabika monisa tsisi.
130b01009a	Nkunga Davidi kuidi pfumu minyimbidi. Kuidi Yave ndintombilanga suamunu. Buevi lulenda ku khambila: “Tinina ku miongo miaku banga bu ntininanga nuni.”
130b0200a3	Bila tala, batu bambimbi balembo leki mimbasa; ayi balembo ludika zitsoto va nsinga mi mimbasa muingi babasula, bu badi mu tombi, batu bobo badi mintima mi lulama.
130b030045	Enati zifundasio zitiolumunu, buna mutu wusonga, mbi kalenda vanga e?
130b040098	Yave widi mu nzoꞌandi yinlongo! Yave, kundu kiandi ki luyalu kidi ku diyilu, meso mandi malembo tadi ayi zindabu ziandi zimfionguninanga bana ba batu.
130b05006e	Yave wumfionguninanga mutu wusonga vayi muelꞌandi weti lenda mutu wumbimbi ayi mutu wowo wunzolanga matsita.
130b06006d	Wunokisanga makala ayi sofolo yi mbazu. Kuidi batu bambimbi, Phemo yi mbazu yawu kopo yi ziphasi bela kabana.
130b070061	Bila Yave widi wusonga, wunzolanga masonga. Batu badi mintima mi lulama bela talanga zizi kiandi.
130c0100ca	Nkunga Davidi kayimbidila mu ngitala yi nana di zitsinga kuidipfumu minyimbidi. A Yave, yiza sadisa bila batu beti kinzika mambu ma Nzambi basiedi ko. Mikhuikizi mizimbidi va khatitsika yi bana ba batu.
130c020073	Kadika mutu wulembo vuni fikimini yandi. Mambu ma lueki madi mu bididi biawu vayi mintima miodi badi sumbu bantuba.
130c030060	Bika Yave kabunga bididi bioso bintubanga mambu ma lueki ayi ludimi luntubanga mambu mu luniemo.
130c04007b	Batu bobo bantubanga: “Tuela nunga mu diambu di ludimi lueto, bididi bieto bidi bieto veka; nani wulenda ba Pfumu eto?”
130c0500b0	Bila mu diambu di yamusu ku batu balebakana, ayi kunga ku nsukami; diawu Yave kakembi buabu: “Buabu ndieka ntelama, ndieka kuba kaka mu diambu di mutu balembo kuba yamisa.”
130c060068	Mambu ma Yave madi mavedila banga palata kioki bavedisidi mu mbazu, kivedosolo mu tsambuadi di zikhumbu.
130c07006d	Yave ngeyo wela kutu keba mu luvovomo wela kutu kaka mu diambu di ntindu wu batu baba, mu thangu yi kayimani.
130c08005a	Batu bambimbi beti vemanga muamo mu thangu bifu bi mbimbi bieti yayusu va khatitsika batu.
130d01009e	Nkunga Davidi kuidi pfumu minyimbidi. A Yave, nate thangu mbi wela tatamana kunzimbakana mu zithangu zioso e? Nate thangu mbi wela kutsuekilanga zizi kiaku e?
130d0200af	Nate thangu mbi ndiela kukinuanisanga mu mayingu mama e? Nate thangu mbi ndiela bela maniongo mu ntimꞌama mu kadika lumbu e? Nate thangu mbi mbeni ama kela ku ndunginanga e?
130d030067	A Yave, Nzambi ama, wuthadi ayi wuphana mvutu, kienzula meso mama mu diambu ndibika leka tulu tu lufua,
130d04006c	mu diambu mbeni ama kabika tuba: “Ndinnungini” ayi muingi batu beti kundenda babika mona khini minu bua.
130d050092	Vayi minu tsidi diana mu luzolo luaku lungolo. Ntimꞌama wulembo moni khini mu phulusu aku. Ndiela yimbidila Yave bila niandi wuphangidi mamboti.
130e0100ac	Nkunga Davidi kuidi pfumu minyimbidi. Nkua buvulu wuntubanga mu ntimꞌandi ti: Kuisiko Nzambi! Baki bivisidi, mavanga mawu madi mambimbi; kuisiko mutu wumvanganga mamboti.
130e02007d	Yave, ku yilu ku kadi, wulembo tadi bana ba batu mu tala kani wulenda mona wumosi wunsundika, kani wumosi wuntombanga Nzambi.
130e030063	Baboso bavengama ayi bamana kibivisa va kimosi; kuisiko mutu wumvanganga mamboti, kadi mutu wumosi.
130e040091	Batu boso bamvanganga mambu mambimbi basi nzayilu ko e? Bobo balembo dia batu bama, banga batu bandia dipha ayi bobo batelanga dizina di Yave ko.
130e05005d	Buna kuna bela tita mu diambu di tsisi bila Nzambi widi va khatitsika dikabu di batu basonga.
130e06005d	Beno mimvangi mi mambimbi, lulenda vunza zikhanu zi nsukami. Vayi Yave niandi suamunu kiandi.
130e07008c	A enati phulusu yi Iseli yitotukila ku Sioni! Mu thangu Yave kela vutula kiuka ki batu bandi Bika Yakobi kamona khini ayi Iseli kayangadala.
130f01006d	Nkunga Davidi. A Yave, nani wulenda vuanda mu nzo aku yi ngoto e? Nani wulenda zinga ku mongo aku wunlongo e?
130f020082	Woso mutu wundiatanga mu kambu tsembolo, wumvanganga mambu ma busonga ayi wuntubanga mambu ma kiedika mantotukanga mu ntimꞌandi.
130f03006f	Katubidilanga ko batu mu ludimi luandi; Kavangilanga ndiandi mambimbi ko ayi kabivisanga nzitusu wu ndiandi ko.
130f04008c	Weti lenza mutu weti vanga mambimbi Vayi wunzitisanga bobo bankinzikanga Yave. Wunkebanga zindefi ziandi. Ka diambu ko yela kummonisa phasi.
130f0500ae	Katombanga ndandu ko va yilu zimbongo ziozi kadevisa. Ayi kakikininanga ko makaba mu diambu di bedisa mutu kambulu zaba diambu. Woso wumvanganga mambu momo kalendi nikunu ko.
1310010051	Nkunga Davidi. A Nzambi, wukheba mu luvovomo bila kuidi ngeyo nditombila suamunu.
1310020055	Kuidi Yave ndituba: “Ngeyo Pfumu ama, kuidi ngeyo kaka kueti banga mamboti mama.”
131003005b	Mu diambu di banlongo bobo badi mu tsi; bawu batu banzitusu. Khini yiwombo baku mbonisanga.
131004009e	Bobo banlandakananga zinzambi zinkaka kiadi kiawu kiela buelama, voti ndilendi tambika makaba mawu ma menga ko, Ndilendi tanga mazina mawu mu bididi biama ko.
1310050062	Yave ngeyo wuphana ndambu yi kiuka kiama, ayi mbungu ama, ngeyo wunkebanga kuku kiama mu luvovomo.
131006005b	Zindili zikubuku mu diambu diama mu buangu bidi kitoko; bukiedika, thambudi kiuka ki mboti.
131007004b	Ndiela zitisa Yave; wukuphananga malongi ntimꞌama wukundonganga mu builu,
131008006a	Ndieti tula Yave ku ntualꞌama mu zithangu zioso bila widi ku koko kuama ku lubakala, ndilendi nikuka ko.
1310090063	Diawu ntimꞌama wididi mu khini; ludimi luama lueti yangalala ayi nitu ama yela vunda mu luvovomo;
13100a005c	Bila ngeyo wulendi kundiekula ko ku tsi bafua, ayi wulendi tala ko mutu aku wunlongo kabola.
13100b00b6	Ngeyo wumbonisa nsolo wu luzingu; zikhini ziwombo zidi va ntuala zizi kiaku. Wela kumbonisa khini va meso maku va kimosi ayi zikhini zika zisukanga ko zidi va koko kuaku ku lubakala.
131101009d	Lusambulu lu Davidi. Yave wa mambu ma busonga bu ndieti samba; dimba yamikina kuama; tamba kutu mu lusambulu luama lueti totukila mu bididi bikambulu luvunu.
1311020057	Bika ndungunu ama yitotukila kuidi ngeyo ayi bika meso maku mamona momo madi ma lulama.
13110300a8	Ka diambu ko tidi fiongunina ntimꞌama, ayi kuthala va builu ka diambu ko wumbekini, mu mbazu wulendi mona kadi kiasa ko. Ndibaka lukanu ti munu ama wulendi sumuka ko.
131104006f	Mu diambu di mavanga ma batu; mu nzila yi mambu ma bididi biaku, ndieti kukikeba mu nzila yi mutu widi matsita.
1311050051	Bitambi biama bidi kaka bikinda mu minsolo miaku, malu mama malendi sialumuka ko.
1311060067	A Nzambi, ndikutela bila ngeyo wela kuphana mvutu. Yinika dikutu diaku ku ndidi ayi wa lusambulu luama.
131107008e	Monisa matsiminanga ma luzolo luaku lunneni, ngeyo wuphukisanga mu koko kuaku ku lubakala bobo bansuaminanga mu ngeyo, mu bobo bakubalendanga.
1311080050	Wukheba banga ngengele yi dieso diaku; wutsueki ku tsi kitsusula ki mavavi maku,
1311090076	mu diambu di batu bambimbi beti kundiamisa, mu diambu di bambeni ziama zieti kunzungidila; ziosi zintomba lufua luama.
13110a0055	Bakikangidi mintima miawu midi banga matadi; Miunu miawu mintubanga mambu ma lunanga.
13110b004f	Balembo ndandakana, banzungididi buabu; balembo tadi mu diambu bambuisa va tsi.
13110c0064	Badedikini banga khosi yidi nzala kanzuna, banga khosi yiyunduka yidi yilambididi va buangu kisuama.
13110d005a	Telama, Yave, wuba nuanisa ayi bika wuba buisa, wukhula mu sabala kiaku; mu mutu wumbimbi.
13110e00df	A Yave, bika wuphukisa mu koko kuaku mu batu ba phila yayi; batu ba ntoto wawu; bobo mfutu awu widi mu luzingu lualu. Weti lembika nzala yi bobo weti zola bana bawu babeki biwombo, ayi balundila bana bawu batsombi kimvuama.
13110f0065	Vayi minu, ndiela mona zizi kiaku mu busonga. Bu ndiela kotuka ndiela yukuta mu talanga mfikulꞌaku.
13120100d0	Nkunga Davidi, kisadi ki Yave, kuidi Pfumu minyimbidi. Wuyimbila nkunga wawu mu diambu di Yave mu thangu Yave kankula mu mioko mi bambeni bandi ayi mu mioko mi Sawuli. Yave, ndikuzolanga, ngeyo zingolo ziama.
13120200d1	A Yave, niandi ditadi diama, tinunu kiama ki ngolo, ayi ngeyo nkudi ama. Nzambi ama, niandi ditadi diama; mu niandi ndintombila suamunu, niandi nkaku ama, ayi phoka yi phulusu ama, ayi tinunu kiama ki zangama.
131203004a	Ndiela tela Yave, niandi fueni mu zitusu ayi ndiela vuka mu bambeni ziama.
1312040057	Minsinga mi lufua mimfietikisa. Bosi khuka nlangu yimbunganga yimbuila mu kinzimbukila.
1312050051	Minsinga mi tsi bafua minzingalakana. Mintambu mi lufua mi lekama ku ntualꞌama.
13120600af	Mu ziphasi ziama, nditela Yave Ndiyamikina kuidi Nzambi ama mu tomba lusadusu wuwa mbemboꞌama tona kuna nzoꞌandi, ayi yamikina kuama kutula va ntualꞌandi, mu matu mandi.
1312070064	Buna ntoto wunikuka ayi wutita. Zifondasio zi miongo zinikunu ayi zinikuka, bila wuba wufuema ngolo.
1312080075	Muisi wutotuka mu mayilu mandi, ayi mbazu yi nlalikisanga yitotuka mu munuꞌandi; muawu mu totukila makala ma mbazu.
131209004a	Wukulula diyilu ayi wukuluka, ayi matuti ma ndombe maba ku tsi malu mandi.
13120a0048	Wukuma va yilu kheluba ayi wudumuka. Wuvevumuka va yilu mavavi ma phemo.
13120b006e	Wukitula tombi buangu kiandi kisuamina; kapu andi yiba kunzungidila, tombi kinokisa mvula yi matuti ma diyilu.
13120c0050	Mu kiezila kiba va ntualꞌandi mutotukila matuti, mvula yi matadi ayi zitsiemo.
13120d0042	Yave wuduma tona mu Diyilu; mbembo yi Nzambi yizangama yiwakakana.
13120e005f	Niandi wuloza madionga mandi ayi wusasikisa bambeni; zitsiemo zinneni ayi wuba zimbikisa nzila.
13120f0075	Tsi nlangu yi mbu yimonika, ayi zifondasio zi ntoto zimonika ngeyo Yave bu wutema mu phemo yitotukila mu mayilu maku.
131210005b	Wunonuna koko kuandi tona ku yilu ayi wutsimba, wuthotula mu minlangu minneni midi thipula.
1312110059	Niandi wukhula mu mbeni ama yingolo, ayi mu batu bobo bandenda bila bawu bandutila ngolo.
1312120055	Bawu banduanisa mu lumbu ki ndiba mu mabienga, vayi Yave niandi wuba singumunu kiama.
1312130060	Niandi wuthotula ayi wuthula va buangu kikambulu tsisi; wukhula bila khini kaba monanga mu minu.
1312140061	Yave wuphangidi bobo boso buididi busonga buama; wupheni mfutu boso buididi vedila ku mioko miama
1312150060	Bila ndikebidi zinzila zi Yave ayi ndisia tamba Nzambi ama mbusa ko mu diambu di vanga mambimbi.
1312160050	Mina miandi mioso midi va ntualꞌama ayi ndisia vengama ko mu zithumunu ziandi.
131217004a	Ndiba mutu wukambu tsembolo va ntualꞌandi Ndikikeba mu diambu di masumu.
1312180067	Yave wupheni mfutu boso buididi busonga buama, boso buididi vedila ku mioko miama va ntuala meso mandi.
1312190088	Kuidi mutu widi wukuikama, ngeyo wukukimonisanga wukuikama. Kuidi mutu wukambulu tsembolo ngeyo wukukimonisanga mutu wukambulu tsembolo.
13121a005d	Kuidi mutu wuvedila, wukukimonisanga wuvedila. Kuidi mutu wumbimbi, wukukimonisanga wumbimbi.
13121b0048	Ngeyo wumvukisanga batu beti kukikula ayi wunkululanga meso madi luyanu.
13121c0060	Ngeyo a Yave, keba muindꞌama wuba wulema A Nzambiꞌama, kitula tombi kiama; kikituka kiezila.
