2800000005	Matyu
28020d0134	Ŋa lêkauk etak melak be loho ê yôv me Josep hêyê navîng nena Anômbêng ya aŋêla te hêyô be henang nena, “Helot tem nethalo wakna kasek vo niŋgik vônô. Be ditu numbiyô me numbua wakna kasek lo talêmbô be nôsôv be nu ketheng oyang Ijip me nômô endebe yaŋgêv ambô êndêng ong êm.”
28020e005c	Êng me Josep hiviyô be hiwa wakna kasek lo talêmbô hêndêng bîlîvông be loho ê Ijip
28020f00c1	me îmô hele be Helot hema. Nôm takêng hivutak vo Anômbêng ya ambô hik anông. Hîtôm bôk hêv ambô hêndêng plopet be henang nena, “Ya halam yînîng wakna hêk Ijip be hêlêm.”
2802100179	Ŋa lêkauk ethak môtôp mî îvôê vo King Helot ethak loŋbô amî, be ditu la hêv loho ning ambô takatu be bôk enang ethak môtôp ya waklavông. Êng me heyala nena evatek yêni be la maning kambom anông. Be ditu hêv ŋa vovak vo iŋgik sêiknena takatu be ining sondakbêng hîtôm lokwaŋyi be hele hê sapêng vônô embeng Betlehem lêk ya long yaônena sapêng.
2802110047	Be ditu ambô êng hik anông hîtôm bôk plopet Jelemaia henang nena,
28021200b1	“Ŋalakŋalak bêng hêk Lama, athêng malêng lêk athêng bêng. Lesel nali lêk ema be mî. Êng me heleng be hêndô êŋgêv yêni thîvô, vômbê nena nali lêk mî.”
2802130063	Josep hîmô Ijip denang me Helot hema. Yôv me hêyê navîng nena Anômbêng ya aŋêla te hêyô
28021400aa	be henang nena, “Ŋa takatu be evong vo iŋgik wakna vônô bôk ema yôv, be ditu numbiyô me numbua wakna lo talêmbô be numbunnu Islael ining pîk ethak loŋbô.”
2802150051	Êng me Josep hiviyô me hiwa wakna lo talêmbô be loho vôê Islael ining pîk.
28021600e8	Me helaŋô nena Akelaus hiwa lambô Helot ya long be hîmô hîtôm plovins Judia ning king, be ditu hêkô ni long êng. Yôv me hêyê navîng yang ethak loŋbô nena dô loho ni Judia andô, bêng be ditu loho ê plovins Galili.
28021700be	Loho ê îmô melak lông te be ya athêng nena Nasalet. Nôm êng hivutak vo plopet ining ambô niŋgik anông hîtôm bôk enang nena, “Avîlanô tem endam yêni nena anô Nasalet te.”
28030100a4	Hêndêng waklavông takêng me Yisu hîmô Nasalet denang me Jon Anô Hithik Avîlanô hê hîmô long thiliv nang Judia be henang mêtê hêndêng avîlanô nena,
2803020067	“Onde kapôlômim lîlîng vômbê nena melak leng ya lêkliŋyak bêng lêk hêlêm bidong oyang.”
28030300c0	Jon me ôpatu be plopet Aisaia bôk henang yôv nena, “Kaêk te hêlêm nang long thiliv nena, ‘Ôpôpêk loŋdaŋlê vo Anômbêng êlêm, me opesang be nimbutak thêthôp vo yêni.’”
2803040092	Jon thak hik kwêv atu be epesang hethak bok kamel vuluk me hevak bokgôp hêyô hêk landong. Me thak heyang kômsopek lêk hinum damondam thôk.
280305007a	Me avîlanô êlêm nang Jelusalem lêk Judia sapêng lêk long takatu be hîmô bidong ŋanam Yelodan ê hêndêng yêni.
280306004a	Me loho nang ining kambom bêng me Jon hithik loho hîlôk ŋanam Yelodan.
28030700d8	Me hêyê Palisi lêk Sadyusi bêng anông êlêm vo nithik loho, metom henang ethak loho nena, “Môlô me bôyîv kambom nali! Osong nena tem ya thik môlô vo ôsôv injêk Wapômbêng ya la maning e? Mî anông!
2803080056	Be ditu môlô ning kombom iŋgik thô imbing nena lêk ole kapôlômim lîlîng yôv.
28030900e7	Me dô lemim êŋgêv auk te be onang ethak amda nena, ‘Ablaham me yoô ning bumalô, be ditu yoô me avîlanô thêthôp.’ Mî. Ya hanang ethak môlô nena Wapômbêng hîtôm nimbua valu takiti be nepesang Ablaham limi ethak.
28030a007a	Iyam lêk hêk alokwang ondong yôv vo alokwang takatu be mî hik anông mavî amî me tem ende li be îmbôk ethak amela.
28030b0151	“Ya hathik môlô hethak ŋanam vo niŋgik thô nena lêk môlô ole kapôlômim lîlîng yôv. Metom ôpatu be tem nembeng ya yam ya lêklokwang me bêng anông vo yînîng, be ditu tem nithik môlô ethak Lovak Matheng lêk amela. Me ya me anô oyang be mî hîtôm yambua ya vakapô bokgôp îtôm anô ku oyang te amî. Mî anông.
28030c00f4	Me hevalong ya sala vo nethong ini wit be nîtîtînîng vo kôpik lêk limbalôm sapêng eŋgololong endebe nitup êm. Mîng nimbua ya anông be ni tak îmô melak kapô, metom ya kôpik me tem nîmbôk ethak amela atu be tem mî nema amî.”
28030d004d	Yisu hetak Galili be hê hêndêng Jon vo nithik inda îndôk ŋanam Yelodan.
28030e0088	Metom Jon hevong vo nemba inda thing be henang nena, “Mavî vo nuthik ya, metom hevong bisê be hôlêm êndêng ya vo ya thik ong?”
28030f00b7	Metom Yisu henang viyang nena, “Dô. Lêk iti me nuthik ya vo ai sopa loŋdaŋlê thêthôp hîtôm Wapômbêng la hiving.” Êng me Jon hîlôk ethak Yisu ya ambô be hithik inda.
28031000b9	Bôlôtom oyang me Yisu hiviyô hêk ŋanam kapô be hêlêm yêing. Me leng hikê be hêyê Wapômbêng ya Lovak Matheng hîlôk be hêlêm hîtôm menak bôbô be hêyô hîmô yêni.
280311009b	Me ambô te hêlêm nang melak leng be henang nena, “Ôpiti me yînîng Wakna atu be ya leng hiving bêng anông. Me ya leng mavî anông ethak yêni.”
2804010049	Yôv me Lovak Matheng helom Yisu be hê long thiliv vo Sakdang eyek inda.
2804020059	Me hitip ethak nôm îtôm wak buŋdaluk yi me bîlîvông buŋdaluk yi mîng hema ve la.
28040300b5	Êng me anô atu be thak heyek avîlanô hê hêyô be henang ethak inda nena, “Betha avanông ong me Wapômbêng Nakandung, êng me nonang vo valu takiti imbutak îtôm polom.”
28040400db	Metom Yisu henang viyang nena, “Bôk ekavu yôv hêk kapua matheng nena, ‘Anô mî hîtôm nîmô lêkmala ethak polom yom amî. Yêni tem nîmô lêkmala ethak ambô takatu be Wapômbêng thak henang sapêng.’”
2804050071	Yôv me Sakdang hiwa yêni be hê melak lông matheng Jelusalem me hetak yêni heva melak matheng ya vôv anông.
2804060108	Me henang ethak inda nena, “Betha avanông ong me Wapômbêng Nakandung, êng me nôsôv kisi be nu tamu pîk vômbê nena bôk ekavu yôv nena, “‘Yêni tem nenang be ya aŋêla embalong ong be eyaŋging ong mavî vo valu te dô nîmbî vemkapô andô.’”
2804070082	Metom Yisu henang hêndêng inda nena, “Bôk ekavu ambô yang hiving nena, ‘Dô noyek Wapômbêng yong Anômbêng andô.’”
28040800be	Yôv me Sakdang helom yêni hethak loŋbô be hê dum dêim te. Me hik pîk bêŋiti sapêng ya melak lông lêklokwang bêŋbêng lêk ining nômkama kêkêlô sapêng thô hêndêng yêni.
280409008c	Me henang ethak inda nena, “Tem yaŋgêv nôm takiti sapêng êndêng ong. Metom noya vem budum thîvô be nôŋgêv yeng ethak ya êm.”
28040a00aa	Me Yisu henang nena, “Sakdang, ong vê injêk ya! Hîtôm bôk ekavu yôv nena, ‘Nôŋgêv yeng êndêng Wapômbêng yong Anômbêng me nombong yêni yom ya ku.’”
28040b0047	Êng me Sakdang hetak yêni be hê me aŋêla êyô be êv inda livung.
28040c005d	Me Yisu helaŋô nena bôk evalong Jon be êndô hîmô kalaondong. Êng me hîvô hê Galili
28040d0094	me hê be hîmô Nasalet yôvêm me hetak be hê hîmô Kapenaom. Kapenaom hîmô kasîk bomang Galili ya dang hîmô Sebulun lo Naptali ining pîk.
28040e0050	Nôm êng hivutak vo plopet Aisaia ya ambô hik anông hîtôm bôk henang nena,
28040f00b0	“Sebulun lo Naptali ining pîk atu be hîmô loŋdaŋlê bêng atu be hê kasîk bomang be hêk ŋanam Yelodan ya dang vi be hîmô Galili long atu be ŋa long bôyang îmô.
28041000c9	Avîlanô takatu be îmô long êng me îmô momaŋaning bêng kapô, metom lêk loho yê danda bêng te thô. Loho îmô ŋama ya dôhô kapô, metom lêk danda hivutak be hîmbî hêyô hêk loho.”
28041100b4	Hêndêng wakma atu be Yisu hêyô Kapenaom me henang mêtê be henang nena, “Onde kapôlômim lîlîng vômbê nena melak leng ya lêkliŋyak bêng lêk hêlêm bidong oyang.”
28041200d2	Yisu hivup ethak kasîk bomang nang Galili ya liŋdang me hêyê anô loyang yi, Saimon atu be ya athêng yang nena Pita loyang molok Endulu. Thêi me ŋa ik alim ŋanam be ditu ekaliv lek heveng kasîk bomang.
280413007c	Me henang ethak thêi nena, “Mamu lêm osopa ya! Tem yandông mamu vo ômbôv avîlanô îtôm ôvôv alim hîlôk lek.”
280414003d	Bôlôtom oyang me thêi êndô ning lek îmô me esopa inda.
28041500a9	Yisu hivup ethak vauyaŋna me hêyê anô loyang yi ethak loŋbô, Jems lo Jon. Thêi me Sebedi namalô luvi. Loho eŋgabuling ining lek îmô yeng. Êng me helam thêi.
2804160046	Me bôlôtom oyang me etak ining kamik lêk yeng hîmô me esopa Yisu.
2804170111	Yisu hê be heveng Galili ning long sapêng be thak hivutak êyô loho ning melak yeng kapô be hîndông loho. Me henang Ambô Mavî hethak melak leng ya lêkliŋyak bêng hêndêng loho. Me hevong loho ning malêing leŋving kôpik lêk kômbôk lomaloma be ivutak mavî.
2804180131	Me avîlanô nang plovins Silia sapêng elaŋô kôkôthing hethak Yisu ya ku. Be ditu iwa ning ŋa lêk kômbôk lo vovang lomaloma sapêng be ê hêndêng yêni. Iwa ŋa gôk kambom hîmô hiving loho me ŋa iwa kômbôk elowaling be emayak lêk ŋa imuving sapêng ê be yêni hevong loho ivutak mavî.
2804190096	Avîlanô bêng anông nang Galili me Jelusalem lêk Judia me Dekapolis lêk long takatu be hîmô ŋanam Yelodan vi, loho sapêng êlêm esopa yêni.
2805010079	Yisu hêyê avîlanô nômbêng atu êlêm me hethak dum te. Me hîlôk hîmô me ya ŋa hîndông êlêm êyô vo yêni.
2805020037	Me heya ambôlêk kê be hîndông loho be henang nena,
280503008f	“Ŋa takatu be êv yak hethak nômkama dôhôlôŋing. Êng me loho leŋing mavî, vômbê nena melak leng ya lêkliŋyak bêng me loho ning.
280504007b	Me ŋa takatu be leŋing malêing be eleng. Êng me loho leŋing mavî vômbê nena Wapômbêng tem nêŋgêv loho thîvô.
2805050059	Me ŋa takatu be îmô mayaô me loho leŋing mavî, vômbê nena tem imbua pîk sapêng.
2805060083	Me ŋa takatu be ema ve leŋing lêk muning vo imbutak îtôm ŋa thêthôp. Loho leŋing mavî, vômbê nena loho tem leŋviŋyak.
2805070084	Me ŋa takatu be êv kapôlôŋing vo anô yang. Loho leŋing mavî, vômbê nena Wapômbêng tem nêŋgêv kapô vo loho bêng yom.
280508005e	Me ŋa takatu be kapôlôŋing mambung. Loho leŋing mavî vômbê nena tem injê Wapômbêng.
2805090078	Me ŋa takatu be epesang avîlanô ning malêing. Loho leŋing mavî, vômbê nena tem endam loho nena Wapômbêng nali.
28050a0082	Me ŋa takatu be iwa vovang ethak kombom thêthôp. Loho leŋing mavî, vômbê nena melak leng ya lêkliŋyak bêng me loho ning.
28050b00e6	“Me môlô ŋa takatu be avîlanô enang ambôma lomaloma hethak môlô lêk êv vovang hêndêng môlô be enang ambô kambom lomaloma hethak môlô lêk enang ambô yôhîng hethak môlô, me lemim mavî vômbê nena osopa ya.
28050c00db	“Avîlanô bôk evong bêng yom hêndêng plopet taksêmbôk be imung vo môlô. Be ditu lemim mavî anông be ômbô am, vômbê nena Wapômbêng tem nêŋgêv vuli mavî bêng te êndêng môlô îmô melak leng!”
28050d00dc	Me Yisu henang nena, “Môlô me hîtôm mamik pîk iti. Metom wakma mamik thilimbung be ya vathing hêv yak, êng me mî hîtôm vathing ethak loŋbô amî. Ya ku lêk mî be ditu ekaliv ini vo avîlanô êyômba pesa.
28050e0060	“Môlô me danda pîk iti. Me melak lông atu be hethak hîmô dum me mî hîtôm nekopak amî
28050f00be	Me avîlanô mî thak êtôm lam be îsîk thing ethak wîng amî. Loho thak epesang lam be etak îmô yêing vo hîmbî danda hêyô hêk avîlanô takatu be îmô melak kapô êng sapêng.
28051000bf	“Me bêng yom be môlô ning danda nîmbî êyônjêk avîlanô sapêng vo injê môlô ning ku mavî takatu be ovong vo êŋgêv môlô ning Kamik atu be hîmô melak leng ya athêng ling.
28051100c4	“Dô môlô song nena ya halêm vo yambuling ambô balambung lêk plopet ining ambô andô. Mî. Ya halêm vo yambatho ambô takêng long vo niŋgik anông me mî ya halêm vo yaŋgêv vê amî.
28051200b9	Ya hanang avanông hethak môlô nena pîk lo leng tem yandang, metom ambô balambung ya alêlê te mena alêlê bônate tem mî nêŋgêv yak amî endebe nômkama sapêng imbutak yôv.
2805130163	Bêng be anô te hêyê ambô balambung yaôna te hîtôm nôm oyang be hîndông avîlanô vi vo embong bêng, êng me tem ôpêng ya athêng yaôna injêk melak leng ya lêkliŋyak bêng kapô. Metom ôpatu be hesopa ambô balambung be hîndông avîlanô vi vo esopa me tem nimbutak anô lêk athêng bêng injêk melak leng ya lêkliŋyak bêng kapô.
28051400d3	Ya hanang avanông ethak môlô nena môlô ning kombom thêthôp mî hîvô hethak vo Palisi lêk kîdôŋga ambô balambung ining amî, êng me tem mî hîtôm ôyô melak leng ya lêkliŋyak bêng kapô amî.
28051500cf	“Bôk môlô laŋô ambô takatu be enang ethak bumalô loho nena, ‘Dô uŋgik anô vônô andô. Me ôpatu be hik anô vônô paling me jas tem nendaŋô ya ambô be nêŋgêv malêing êndêng inda.’
280516017d	Metom ya hanang ethak môlô nena anô te la maning ethak anô yang me jas tem nendaŋô ya ambô be nêŋgêv malêing êndêng yêni. Me anô te henang ambôma hethak anô yang, êng me tem nemba ŋa Juda ning avaka maleŋing. Me anô te henang ethak anô yang nena, ‘Ong anô molo,’ ôpêng ya kambom êng me hîtôm nêŋgêv yêni da ni long amela lêkmala hethang hîmô.
2805170073	“Bêng be wakma hôyô bidong alakdala vo nôŋgêv yong da metom lem hêv nena yong ambô te hêk hiving aviyam,
2805180082	êng me notak yong da îmô alakdala me nu êndêng yêni. Be nopesang ambô imbing inda yôv kîmîng nondelêm ôŋgêv yong da.
2805190124	“Me waklavông anô te hevong embong ambô vo ong be mamu veng loŋdaŋlê hê denang vo mamu yô melak embong ambô, êng me nopesang ambô imbing yêni ketheng. Endekeme tem netak ong îndôk jas bang me jas êng tem netak ong îndôk kwak bidong baheŋing vo êndô ong îmô kalaondong.
28051a006b	Ya hanang avanông ethak ong nena tem nômô kalaondong endebe nôŋgêv yong vuli atu be etak sapêng êm.
28051b006b	“Bôk môlô laŋô ambô takatu be enang yôv nena, ‘Dô ombong sek imbing anô yang yanavî andô.’
28051c0093	Metom ya hanang êndêng môlô nena anô te ma daŋtang hethak avî te be hevong vo ninjêk imbing avî êng, êng me lêk hêk hiving yêni yôv.
28051d0106	Bêng be malem viyôhôk hevong be hovong kambom, êng me nosapu vê be nômbî ni vo dô nombong kambom ethak loŋbô andô. Lemvim kôpik bôte hêv yak me mavî, metom kambom vo ekaliv lemvim kôpik sapêng îndôk long amela hethang wak nômbêng iti hîmô.
28051e00dc	Me bahem viyôhôk hevong be hovong kambom, êng me nondambêng kisi be nômbî ni! Lemvim kôpik bôte hêv yak me mavî, metom kambom vo ekaliv lemvim kôpik sapêng îndôk long amela hethang wak nômbêng iti hîmô.
28051f009f	“Bôk môlô laŋô yôv nena, ‘Anô te hevong vo nêndô yanavî me nekavu ambô îndôk kapua te be nêŋgêv êndêng yanavî vo nêŋgêv yêni vê.’
2805200105	Metom ya hanang ethak môlô nena avî te mî hevong sek amî metom yamalô hêv yêni vê oyang be hiwa anô lêkmuk, êng me ôpêng da hevong be avî êng hevong sek. Me anô lêkmuk atu be hiwa avî atu be yamalô bôk hêv inda vê me hevong sek bêng yom.
28052100c4	“Bôk môlô laŋô ambô takatu be enang ethak bumalô loho nena, ‘Hovak ambô manjeng hethak Wapômbêng ya athêng hethak nômate, êng me nombong nôm êng anông me dô nombatek andô.’
28052200d4	Metom ya hanang ethak môlô nena dô môlômbak ambô manjeng te ethak nômate andô. Lêk dô môlômbak ambô manjeng ethak melak leng andô, vômbê nena melak leng me Wapômbêng ya balê king hêyô hîmô.
28052300ee	Me dô môlômbak ambô manjeng ethak pîk andô, vômbê nena pîk iti me Wapômbêng ya long thak hetak vakapô hêyô heva. Me dô môlômbak ambô manjeng ethak Jelusalem andô, vômbê nena Jelusalem me King Bêng atu ya melak lông.
28052400a6	Lêk dô môlômbak ambô manjeng ethak lumim kwandôk andô, vômbê nena môlô mî hîtôm onang be lumim kwandôk ŋaung te nimbutak thapuk mena loŋgavu ma amî.
28052500c5	Bêng be ditu môlô nang ambô avanông lêk mî yom. Me dô môlô nang ambô oyang doho imbing vo nembatho ambô mî lêk avanông long andô, vômbê nena ambô takêng me hêlêm nang Sakdang.
2805260110	“Bôk môlô laŋô ambô takatu be enang yôv nena, ‘Anô te hîmbî anô yang mandaluk thing, êng me môlômbî ôpêng mandaluk thing bêng yom. Me anô te hik anô yang ambôlêk kalalang te li, êng me uŋgik ôpêng ambôlêk kalalang te li bêng yom imbing.’
28052700a4	Metom ya hanang ethak môlô nena dô uŋgik anô yang ya kambom lîlîng andô. Wakma anô te hepetav malem dang vi, êng me nuŋgik vi lîlîng vo nepetav imbing.
280528006f	Me anô te hevong ambô vo nimbua yong kwêv dêim atu be huik, êng me nôŋgêv yong kwêv thilimbung imbing.
2805290068	Me anô vovak te henang nena numbua ya nômkama be nu îtôm kilomita te, êng me nu îtôm kilomita yi.
28052a00cc	Me anô te henang ik ong ling vo nôŋgêv nômate êndêng yêni, êng me nôŋgêv êndêng inda. Me anô te la hiving nimbua nômate injêk ong yôv ketem nêŋgêv viyang, êng me dô nombasing andô.
28052b0077	“Bôk môlô laŋô ambô takatu be enang yôv nena, ‘Lem imbing yong avîlanô me nôpôlîk ethak yong ŋakyo.’
28052c009f	Metom ya hanang ethak môlô nena lemim imbing môlô ning ŋakyo me oteng mek vo Wapômbêng embong mavî êndêng ŋa takatu be evong kambom êndêng môlô.
28052d0110	Môlôvong bêng me tem niŋgik thô nena lêk uvutak îtôm môlô ning Kamik atu be hîmô melak leng nali. Vômbê nena yêni da thak hêv wak hêndêng ŋa kombom mavî lêk ŋa kombom kambom me hêv ôthîng hêndêng ŋa thêthôp lêk ŋa mî thêthôp amî hiving.
28052e00a8	Me môlô thak lemim iving ŋa takatu be leŋing iving môlô yom, êng me osong nena tem môlômbua vuli mavî te e? Mî anông. Ŋa iwa takis thak evong bêng hiving!
28052f00d5	Me môlô thak onang waklîvông hêndêng môlô ning avîlanô yom, êng me osong nena môlôvong kombom mavî hîvô hethak vo avîlanô vi ining kombom thak evong e? Mî anông. Ŋa daluk thak evong bêng yom!
2805300073	Bêng be ditu ômô mambung anông îtôm môlô ning Kamik atu be hîmô melak leng thak hîmô mambung anông.”
280601010f	Me Yisu henang hethak loŋbô nena, “Môlô yaŋging am vo dô ombong môlô ning kombom thêthôp mavî mavî vo avîlanô injê be embam môlô andô! Môlôvong bêng me môlô ning Kamik atu be hîmô melak leng tem mî nêŋgêv vuli mavî te êndêng môlô amî.
28060201cc	“Be ditu wakma môlôvong vo ôŋgêv avîlanô siv livung me dô ôŋgêv anô te vo niyuv lavuak imung îtôm ŋa evatek avîlanô thak evong hîlôk loŋdaŋlê lêk melak yeng andô. Loho evong bêng yôv me loho êv nômate hêndêng avîlanô siv vo avîlanô êyê be embam loho. Ya hanang avanông ethak môlô nena ŋa takêng lêk iwa ning vuli mavî sapêng yôv be heveng yam me Wapômbêng mî hîtôm nêŋgêv vuli mavî te êndêng loho amî.
2806030085	Metom wakma môlôvong vo ôŋgêv nômkama êndêng avîlanô siv me dô bahem vikeng eyala nôm atu be bahem viyôhôk hevong andô
2806040097	vo ku êng injêk long kapô yom. Me môlô ning Kamik atu be hêyê ku takatu be ovong hêk long kapô me tem nêŋgêv vuli mavî te êndêng môlô.
2806050168	“Wakma môlôvong oteng mek me dô môlômbong îtôm ŋa takatu be thak evatek avîlanô andô. Loho leŋing iving eteng mek emba melak lîvông lêk melak yeng vo avîlanô injê loho. Ya hanang avanông ethak môlô nena ŋa takêng lêk iwa ning vuli mavî sapêng yôv be heveng yam me Wapômbêng mî hîtôm nêŋgêv vuli mavî te êndêng loho amî.
280606010a	Metom wakma môlôvong oteng mek, êng me môlô nu ning melak kapô be uŋgik melak ambôlêk thing. Me oteng mek êndêng môlô ning Kamik atu be hîmô long kapô. Me tem ninjê ku takatu be môlôvong hêk long kapô me tem nêŋgêv vuli mavî êndêng môlô.
28060700a8	“Wakma môlôvong oteng mek me dô onang ambô oyang îtôm ŋa daluk thak evong andô. Loho thak eteng mek dêim vo esong nena ining wapômbêng tem endaŋô lohoma.
2806080091	Metom dô osopa loho ning bôk le long andô vômbê nena wakma ovong vo oteng mek me môlô ning Kamik lêk heyala môlô ning lemim iving yôv.
2806090069	Be ditu oteng mek bêŋiti, “‘Yoô ning Kamik hômô melak leng, nombong yong athêng injêk matheng.
28060a0069	Me yong lêkliŋyak bêng êlêm. Me yoô sopa yong lem hiving injêk pîk hîtôm esopa hêk melak leng.
28060b0028	Me nôŋgêv nôm wak iti êndêng yoô.
28060c0063	Me notak yoô ning kambom hîtôm thak yoôtak avîlanô vi ning kambom takatu be evong ethak yoô.
28060d006d	Me dô notak yoôndôk nôm takatu be tem neyek yoô andô. Me nôŋgêv yoô vê injêk anô kambom bang.’
