2800000004	Mata
2801110120	Baɗǝm nǝ hulfaatǝr ciigǝt tǝ Ibrahim dat Dauda, hulf kǝlawa tar uufaɗa, ciigǝt tǝ Dauda damma sarta kwa hutsavtǝra nǝ yaa Izraˈila damma Babila kiyava ɛɛva, hulf kǝlawa tar uufaɗa, ciigǝt ma sarta ɛɛvǝr ma Babila da tǝ sarta yiga Kǝristi, hulf kǝlaawa tar uufaɗa.
28011200de	Wan nǝ ɗuuli yava nǝ Yesu Kǝristi. Ma sartǝn ndza ɓǝlghara nǝ Isuvu kǝ dzǝgwambǝr kǝ Maryam babba Yesu. Lakuti kǝsgaan kiyava uusa, kaa dlǝghǝgadlǝghǝg kǝ iin kǝ huɗ tǝdvad Shǝɗǝkwa Daadamazhigǝla.
28011300a1	Nahabi nǝ Isuvu jambuwaan kǝ tsǝgar zhǝru mataataka uudah biya, aɗaba uuda jiirjiir nǝ iina. Kaa ɓaa dabariya tagwav kǝ iin dǝ vakaiy ma ɗyamɗyamǝra.
2801140101	Masartǝn ba ndzǝgaan nǝ iin ba dzamaghǝra, kaa tlǝgaraatlǝg zǝrɓǝlga Yaazhigǝl ma sǝnnga, aiyama taa kǝ iina, “Isuvu zǝra Dauda, gǝdzbi kǝ kǝssa Maryam kiyava uusagh biya, aɗaba huɗɗǝn dǝvakai nǝ iinna dǝga Shiɗkwa Daadamazhigǝla.
280115006c	Da yigaan kǝ zǝra, agha da farva kǝ ɗaag Yesu, aɗaba iin wada katta uudahaan sagal ma haipahaatǝra.”
280116006f	Dzǝghardzǝg wanahaan baɗǝm mbakyarvad righǝvant nǝ dǝgiti tagada nǝ Yaazhigǝl tǝdvad tlayang taakiya,
28011700ac	“Pakwara dǝghwa da dlǝghgaan kǝ huuɗa, da ya kǝ zǝra, da fǝvarva ɗaag Immanuela.” Dǝgiti tuuk vakai nǝ Immanuela, “Daadamazhigǝl ǝmtaɗ dǝ kǝmiyamma.”
2801180098	Ciyit ba nǝ Isuvu ma haara, kaa gatǝgaan kǝ iin kǝ dǝgiti taga nǝ zǝrbǝlga Yaazhigǝla. Kaa kǝsguukǝsǝg nǝ Isuvu kǝ Maryam nal kǝ uusaana.
2801190063	Farabi kǝ dzaghǝr biya, bamma tǝhala kwa yaa nǝ iin kǝ zǝraana, farva kǝ iin kǝ ɗaag Yesu.
28020100b0	Tǝhalakwa yava nǝ Yesu ma kǝssa Bitalahami ma larda Yahudiya ma zamana Tlǝkǝs Hirudus, kaa sagat kǝ lii sǝrgasǝrǝg kǝ dǝgit tǝghǝr kwadladl dagat damma Wurshalima.
28020200bb	Kaa ndavǝg kǝ iitǝr taakiya, “Mǝr nǝ tlǝksa Yahudahǝn kwa yavan ni? Aɗaba kǝmnda nǝghǝga kwadladlaan sagat dǝ sǝga, iin wa kǝmaa sagau nǝmnd sa ɓagarnǝs kwatnahǝra.”
2802030067	Cinngha ba nǝ Tlǝkǝs Hirudus ǝndkwana, kaa ba uushig kǝ ghǝrana, baz uudaha Wurshaliim baɗǝmma.
2802040096	Kaa dzahgantdzahǝg kǝ iin kǝ maalmaalah ma zhiila kǝsuufah ard lii tsaga adzahadzaha Muusa, ndavtǝru kǝ iin kǝ vakavaki da yaav dǝ Kǝristina.
2802050073	Am nǝ iitǝr taa kǝ iina, “Ma kǝsa Bitalahamiya, malarda Yahudiya. Aɗaba vinda bandkwah nǝ tlayanng taakiya,
28020600ad	“‘Kǝgh Bitalahami ma larda Yahud ndakwani, agha ǝnkykwah bi nǝng ma lii kwara Yahud biya. Aɗaba da sagal ma kǝgh nǝ dadda kwarga, kwada piya uudahar Izraila.’”
28020700ba	Kaa ɗahtǝrǝtɗahǝg kǝ Hirudus kǝ lii sǝrgasǝrg kǝ dǝgitǝn damma dlǝmmbaava, kaa nǝghǝgaakanǝghǝg kǝ iin vakaatǝr kǝ kalkala sarti nǝghara nǝ iitǝr kǝ kwadladlǝna.
28020800e9	Kaa ɓǝltǝrǝtɓǝlǝg kǝ iin damma Baitalahami amaa, “Damdǝg ndan ndavamndavǝg bad hǝnkal kǝ vakavaki dǝ zǝriina, tǝhala kwama tlamaraatlǝga, am saas am tagǝwana, ghǝravar ndakwani ǝn dagal da ɓagarnǝs kwatnaha.”
28020900de	Ghyǝngara ba nǝ iitǝr kǝ cinnga ǝlbǝga tlǝkǝsna, kaa dagalaatǝr kǝ iitǝra, dlaɓa ka dagal kǝ iitǝr gata kwadladlǝn nǝghara nǝ iitǝr tǝvuukwatǝra, tangw da vakavakǝn ghaca nǝ iin tǝghǝr kǝ zǝriina.
28020a004c	Nǝghara ba nǝ iitǝr kǝ kwadladlǝna, kaa hwaɗag kǝ iitǝr ba vaivaiya.
28020b0104	Daragha ba nǝ iitǝr damma hǝnyahiina, kaa nǝghǝganǝghǝg kǝ iitǝr kǝ zǝriina ard babbaan Maryam, ar kǝla kǝ ghunj tǝvuukwana ar ɓaganǝs kǝ kwatnaha. Tǝhalakwaha, ar palna kǝ kadlangngahaatǝr ar vǝlar kǝ adawana ard tǝrshan lubban ard mur.
28020c00b7	Kaa gwiyaghǝra daas kǝ iitǝr damma kǝsaatǝr tǝ ɗuuli tlǝrna, aɗaba ɓǝlatǝraaɓǝlǝg nǝ Daadamazhigǝl kǝ magi ma sǝnng taakiya, aa gwiya darbi daa da vak Hirudus biya.
28020d0141	Daral ba nǝ iitǝra, kaa tsǝgwatsug kǝ zǝrbǝlga Daadamazhigǝl vak Isuvu ma sǝnnga amaa, “Ciiga, kǝsantkǝsǝg kǝ zǝrna ard babbaana ǝmndǝramǝmndǝrǝg damma haaya Masara. Ndzamandzǝg vaakwaha, bamma tagankuratag lakuti am gwiyaghǝra saasa, aɗaba da gatǝgaan nǝ Hirudus kǝ zǝrǝn kiyava tsǝgaana.”
28020e0063	Kaa ciig kǝ Isuvu kavǝɗa, kǝsant kǝ zǝrna ard babbaana, kaa dagal kǝ iin damma haaya Masara.
28020f00cd	Ndza kǝ iin vaakwaha tangwa damma sarta kwa ǝmtsa nǝ Hirudusa. Kwana dzǝghaar mbakyarvad righǝvant nǝ dǝgiti tagada nǝ Yaazhigǝl tǝdvad tlayanng taakiya, “Ɗahanant saa ma Masar kǝ zǝrara.”
280210017d	Nǝghaaka ba nǝ Hirudus taakiya, ɗyamɗyamǝr wa marararda lii sǝrga dǝgitna, kaa badza ǝrviɗmahuɗ kǝ iin ba vaivaiya. Kaa ba ɓǝlgantɓǝlg kǝ iin kǝ uudah da ciɓa zaraa ghwalvaha kwama Bitalahami baɗǝmma ard kǝsahaanǝn hǝrz dǝ iina, ciigǝt tǝ zǝr vuunj dat zǝra hǝi buwa, kalkal dǝ sartǝn tagarar nǝ lii sǝrgasǝrgǝn kǝ ǝlbǝg tǝghǝr kǝ zǝriina.
280211004f	Ma sarta kwahiin wa righavant nǝ dǝgiti tagavda tǝdvad tlayang Irmi taakiya,
28021200be	“Cinngavacinng nǝ huulǝg ma Rama, huulǝga badzǝga ǝrviɗmahuɗ ba vaivaiya, kats Rahil wa tuug mbakyarvad zarhaana, lawalǝg baz fa ǝrviɗya aɗaba zarhaani ǝmtsaharaǝmtsahǝga.”
2802130064	Tǝhala ǝmtsǝga Hirudusa, kaa tsugwatsug kǝ zǝrɓǝlga Yaazhigǝl vak Isuvu ma sǝnng ma Masara,
2802140091	amaa, “Ciiga kǝsantkǝsant kǝ zǝrna ard babbaana, gwig da damma haaya Izraila, adaba lii gata tsa shifǝga zǝrna, ǝmtsaharaǝmtsahǝga.”
2802150054	Kaa ba ciig kǝ iin kǝsant kǝ zǝrna ard babbaana, kaa daas kǝ iin damma Izraila.
28021600ce	Cinngha ba nǝ iin taakiya Arkilayus zǝra Hirudus guyugwig kǝ daddaana, kwara larda Yahuda, kaa gǝdzǝg kǝ gwuya daas da vaakwaha. Bǝlavara ba nǝ magi ma sǝnnga, kaa kyǝha daas kǝ iin damma Galili.
280217009a	Kaa dagal kǝ iin ndza ma kǝsiin kwa ɗahav dǝ Nazarata. Righavant ǝndkwan nǝ dǝgiti tagara nǝ tlayangah taakiya, “Da ɗahav dǝ uuda Nazarata.”
2803010069	Ma hǝnngahaatsa, sǝghalsǝg nǝ Yuhwan dadda tsuufǝg da taa ǝlbǝg maraw ma tǝghala ma larda Galili,
2803020053	taakiya, “Pǝlampǝlǝg kǝ ghǝra aɗaba tlǝksǝra Daadamazhigǝl ba hǝrza.”
28030300d0	Kwan wa ndza taga nǝ tlayang Ishay kǝ ǝlbǝg tǝghǝrǝna, taakiya, “Mǝng nǝ uud ɗaag ma tǝghala, amaa, ‘Ɓadlamarnaɓadlǝg kǝ ɗuul kǝ Yaazhigǝla, am ɓadlarna kǝ ɗuulaan ba ndǝɗɗa.’”
280304008e	Sǝɗavi tsǝguv nǝ Yuhwan ɓagava dǝ guja adlugwama, dǝga ndzǝɗa huɗaana ɓagava dǝ hǝluwa. Dǝgzǝgaana ndza ayayuwa ard yuwa mamma.
2803050076	Kaa ba sagau kǝ uudaha Wurshslim ard uudaha larda Yahudiya baɗǝmma, baz lii ma lardǝn dǝ Zaagha Judan da vakaana.
2803060058	Kaa tagaan kǝ iitǝr kǝ haipahaatǝra, ɓagtǝra kǝ iin kǝ tsuufǝg ma Zaagha Judan.
28030700e5	Nǝgha ba nǝ iin kǝ Farisah ard Sadukiyah ba ɗyak da vakaan kiyava ɓagtǝr tsuufǝga, kaa amaa taa kǝ iitǝra, “Kuram faɗǝga ghavalahaan dǝ gurna! Warwaa ghudkura harɗa ngǝdlgarwa kǝ dlaɗa Daadamazhigǝlǝn sagauni?
2803080046	Ɓagamɓag kǝ dǝgitahi da mardamarg taaki pǝlamapǝlǝg kǝ ghǝra.
28030900a2	Tsam bi kǝ kusǝgh taakiya, ‘Ibrahim nǝ daadamnd biya.’ Ən tagkurtaga, virɗigaravirɗig nǝ Daadamazhigǝl kǝ zarh kǝ Ibrahim dǝ kwanahaan kǝ akuraha.
28030a0072	Bavǝtbǝg nǝ hiil tǝ suuha uufa, badǝm nǝ uufi lawalǝg kǝ yazǝr marawa, ghudvars ɓǝlǝvdǝm damma kaara.
28030b010e	“Ən ɓagkur dǝ yu nai kǝ tsuufǝg kiyava mara taaki pǝlamapǝlǝg kǝ ghǝra, mǝng nǝ dadda kwa jakwaraajig dǝ ndanngǝr da sagau tǝ halara, tlanalbi nai aanji kǝ kǝssa kimbakaan biya. Da ɓagkur dǝ Shǝɗkwa Daadamazhigǝla, ard kaar nǝ iin kǝ tsuufǝga.
28030c00a3	Kuwa bǝgaan bamma dǝvaana, da bǝggrzha kǝ hǝiyaana, da hutsǝdaan kǝ hǝiyaan damma kuvǝraana, da haars kǝ kaar kǝ hyahya dǝ kaari maay ǝmtsǝg biya.”
28030d0084	Sagha ma kwahiin kǝ sart nǝ Yesu saama Galili, kaa dagal kǝ iin damma zaagha Wurdǝn kwakyarvad ɓagara nǝ Yuhwan kǝ tsuufǝga.
28030e0096	Naha tsǝharvatsǝg nǝ Yuhwana, amaa taa kǝ iina, “Kai ndakwi mana naa magha ɓagwi nǝng kǝ tsuufǝga, agha sagau ndar dlaɓ nǝng sa vakari?”
28030f0098	Ngugharangu nǝ Yesu amaa, “Aandz bandkwah ndakwana, aɗaba kalkalaan righvant nǝ dǝgiti naag nǝ Daadamazhigǝla.” Kaa haigaranthaig kǝ Yuhwana.
28031000cd	Tǝhalakwa ɓagavara nǝ tsuufǝg kǝ Yesu, bad sagalaan ma yuwa, kaa wurgǝtwurg kǝ ghǝrazhigǝla, dlaɓa kaa nǝghǝganǝghǝg kǝ Shiɗǝkwa Daadamazhigǝl saay da tǝghǝr kǝ iin band garava kakura.
2803110094	Kaa cinngvacinnga nǝ ghai sii ma ghǝrazhigǝl taakiya, “Kwana iin nǝ zǝrara, ǝn waigaana dlaɓa ǝn cinngaan kǝ ǝmtakǝraan ba vaivaiya.”
2804010063	Ngal langaan nǝ Shiɗǝkwa Daadamazhigǝl kǝ Yesu damma tǝghala, kiyava fǝshgaan kǝ Shatanaha.
2804020073	Tǝhala kǝsgaana Yesu kǝ adǝla hǝng kwul uufaɗ ard vang kwul uufaɗa. Tǝhalakwaha kaa njǝkǝnjiig kǝ waiya.
2804030079	Kaa sagau kǝ Shatanaha, amaa taa kǝ iina, “Magha ba zǝra Daadamazhigǝla, nǝdalnǝg ci kǝ akurǝn kǝ bruudiya.”
28040400be	Kaa ngwangug nǝ Yesu amaa, “Vindavavindǝg ma kakaɗ Daadamazhigǝl taakiya, “‘Dǝgzǝg kalti bi wa hǝkya shifǝga uudbiya, bamma ǝlbǝgahi sagal vak Daadamazhigǝl baɗǝmma.’”
2804050084	Kaa lanngaan kǝ Shatanah kǝ Yesu damma Wurshalima kǝss ɗyak caccuwanacaccuwana. Ngal lanngdit dat ghǝra vǝgya Daadamazhigǝla.
28040600ed	Aiyama taa kǝ iina, “Magha ba zǝra Daadamazhigǝla, dzǝvǝg ndan daaya. Aɗaba vindavavindǝg taakiya, “‘Da tagarta nǝ Daadamazhigǝl kǝ zǝrɓǝlgahaan, ar da tsǝkǝs kǝ dǝv haik kǝ tsǝgaan kǝ shigahagh tǝ akura.’”
280407007e	Ngugharangug nǝ Yesu, taa kǝ iina, “Vindavavindǝg dlaɓ taakiya, ‘Fǝsh bi kǝ Yaazhigǝl Daadamazhigǝlagh biya.’”
280408008c	Ngal gwiya lanngaan nǝ Shatanah damma ghǝra aghw ba kyakkwa, kaa margardmarg kǝ iin kǝ tlǝksǝraha duni ard ndangǝrahaatǝr baɗǝmma.
280409009d	Aiyam nǝ shatanah taa kǝ iina, “Ən vǝlakvǝlǝg kǝ kwanahaan baɗǝmma akwama kǝlghakǝlǝg kǝ ghwunj tǝvuukwara, agha ɓagwǝs kǝ kwatnahǝra.”
28040a00d5	Ngugharangug nǝ Yesu amaa, “Yagh vaakwan Shatanaha, aɗaba vindavavindǝg taakiya, “‘Ɓagarɓag kǝ kwatnahǝr kǝ Yaazhigǝl Daadamazhigǝlagha, ba iin pall wagha da ɓagarnǝs nǝng kǝ kwatnahǝra.’”
28040b0042	Kaa dagalaan kǝ Shatanaha, kaa sagau kǝ zarabǝlga ar mǝlaruwa.
28040c0054	Cinngha ba nǝ Yesu taaki viyavǝtviig nǝ Yuhwana, ngal dagal kǝ iin damma Galili.
28040d0089	Ɗuwars kǝ iin kǝ Nazarat kaa dagal da ndzǝga ma Kafarnahum, kwandza tǝvǝgh kǝ yuwahaiya, tǝ ghaala dǝ larda Zebulun ard Naftali.
28040e0051	Tǝdvadkwan kǝ ɗuul wa righǝvant nǝ dǝgiti tagada nǝ tlayang Ishai taakiya,
28040f0087	“Larda Zebulun ard larda Naftali ma Galili, larda lii ar Yahudah biya. Lardǝn hǝrz dǝ yuwahayin tangw damma gyilga zaagha Wurduna.
28041000a4	Uudahi ar ndzǝgama gurtla nǝgharanǝghǝg kǝ parakrakǝr ba vaivaiya, lii ndzǝga ma shiɗkwa ǝmtsǝg dlaɓa, sǝghawisǝg nǝ parak da tǝghǝr kǝ iitǝra.”
280411009e	Ciigǝt tǝ kwahiin kǝ sart wa fǝgharzha nǝ Yesu kǝ taa ǝlbǝg maraw taakiya, “Pǝlampǝlǝg kǝ ghǝra aɗaba tlǝkǝsǝra ghǝrazhigǝl ba hǝrza.”
28041200fe	Tǝ ɗuula dagal nǝ Yesu tǝvǝgh kǝ Yuwahaiya Galili, kaa nǝghǝganǝghǝg kǝ iin kǝ zarha baabah buwa, Siman kwa ɗahav dǝ Bitrusa, ard zǝra babbaan Andrawusa, ar ɓǝla amshiya vaiya kilfatǝr ma yuwahaiya, aɗaba ar lii vaiya kilf nǝ iitǝra.
2804130062	Am Yesu taa kǝ iitǝra, “Gatamkwagatǝga, ǝnda nǝkurdalnǝg kǝ lii vaiya uudah da vakara.”
2804140050	Batwatsǝra ar ɗuwars kǝ dǝgaha vaiya kilfaatǝra, kaa gata Yesu kǝ iitǝra.
28041500ea	Tǝghǝrdǝga dagala, kaa gwuya nǝghǝganǝghǝg kǝ iin kǝ zarha baabah buwa, Yakuba ard zǝra babbaan Yuhwana zarha Zabadi. Ar ma pɛrayu ǝmtaɗ dǝ daddaatǝr Zabadi, ar ɓadla amshiya vaiya kilfatǝra, kaa ɗahtǝrǝt kǝ iina.
2804160067	Batwatsǝra kaa ɗuugarsɗuug kǝ iitǝr kǝ pɛrayuwaatǝr ard daddaatǝra, kaa gata Yesu kǝ iitǝra.
28041700ca	Gwaivagwaig nǝ Yesu ma Galili baɗǝmma, tsagtǝr dǝgit ma guda dzugwazhigǝla, dlaɓa taa ǝlbǝg marawa tlǝkǝsǝra Daadamazhigǝla, mbahǝgaan dlaɓ aanji hulfa kwar kǝ kuzaha, ard lii yang biya.
2804180118	Cinngalcinng nǝ ǝlbǝg tǝghǝr kǝ iin baɗǝmma ma haaya Suuriya. Kaa ba lanngaan kǝ uudah kǝ lii dǝ kuzah baɗǝmma, ard lii yangbiyah shahshaha, ard lii hǝɓa dlaɗa, ard makwayaha, ard lii ciɓǝg nǝ Shatanah baz lii ǝmtsamtsan nǝ vǝgh mbahavtǝrambahǝg baɗǝmma.
28041900a0	Kaa gatǝgaan kǝ dzahava uudah ba ɗyaka ma Galili, dlaɓa ard lii ma larda Dikafulis ard Wurshalima, ard lii ma larda Yahudiya baz lii gyilga zaagha Wurdǝna.
280501008a	Nǝghgha ba nǝ Yesu kǝ dzahava uudah baɗyaka, kaa dagat kǝ iin damma ghwaa, cǝhura kǝ iina. Kaa ba dagau kǝ mbǝrzahaan da vakaana.
2805020025	Ngal farzha kǝ iin tsagtǝr dǝgita.
2805030085	“Ar dǝ bark nǝ lii sǝrgasǝrg kǝ hǝtsǝgalhǝtsǝgaatǝr ma gata Daadamazhigǝla, aɗaba tlǝksǝra ghǝrazhigǝl dǝgaatǝra.
2805040059	Ar dǝ bark nǝ lii dǝ badzǝga rǝviɗmahuuɗa, aɗaba da tagǝvtǝrtag nǝ dzǝgwagha.
2805050038	Ar dǝ bark kanadiyaha, aɗaba ar da gwigaan kǝ duniya.
2805060052	Ar dǝ bark nǝ lii kǝma ɓa dǝgiti naag Daadamazhigǝla, aɗaba ar da baghǝga.
280507004f	Ar dǝ bark nǝ lii mara zhuwadaala, aɗaba da marvǝtǝrmarǝg nǝ zhuwadaala.
2805080061	Ar dǝ bark nǝ lii caɗaɗ nǝ ǝrviɗmahuda, aɗaba ar da nǝghǝganǝhǝg kǝ Daadamazhigǝla.
2805090057	Ar dǝ bark nǝ lii fa gabǝra, aɗaba da ɗahvǝtǝrɗahǝg dǝ zarha Daadamazhigǝla.
28050a006e	Ar dǝ bark nǝ lii hǝɓa dlaɗ kwakyarvad ɓa hɛrǝrra, aɗaɓa tlǝkǝsǝra ghǝrazhigǝla dǝgaatǝra.”
28050b0099	“Am dǝ bark nǝ uurama, akwama ar ɗaava kuram nǝ uudaha, ar vǝlkur kǝ dlaɗa, dlaɓa ar ɓagkura kǝ dǝga kǝlaadǝrah shahshah mbakyarvad kaiya.
28050c00c8	Dlayamdlaiga am hwaɗag ba vaivaiya, mbakyarvad am da tlǝkǝnatlǝg kǝ dǝgshigaru baɗyak ma ghǝrazhigǝla. Aɗaba vǝlartǝr bandkwah nǝ uudah kǝ dlaɗ kǝ tlayanngahi sarǝv lakuti kǝskurama.
28050d00a8	“Kuram nǝ iizha duniya. Akwama maadlai nashnash nǝ iizh biya, da gwiya gwivdaa ndar nǝ nashnashani? Maadlai tlǝraan biya, bamma ɗivda dagala, hapǝna nǝ uudaha.
28050e004b	“Kuram parak duniya. Akwama favafǝg nǝ kǝs tǝ gavala shiɓvǝna biya.
28050f0094	Maay mbiyav nǝ kaara jahuramba humbvara kǝghai biya, bamma hǝrtǝvǝt tǝ dǝga hǝrtǝgaan vakavaki da ba parakrak kǝ uudahi hǝnnyah baɗǝma.
28051000c1	Bandkwah dlaɓa, parakaruwa aandz ba pǝripǝri tǝvuukwa uudaha, kiyava nǝghǝganǝghǝg kǝ iitǝr kǝ dǝgitah marawi am ɓag nǝ uurama, ar da fǝgaarafǝg kǝ Daadaruwi ma ghǝrazhigǝla.
2805110085	“Tlatlam bi taakiya sanhi mbakyarvad ǝn kalarwut kǝ Adzahadzah Musa ard tsaga tlayanngah nai biya, sanhi mbakyarvad ǝn righanta.
28051200b5	Ba jiirjiir wan tagkurtaga, lakuti ghyǝng nǝ zhigǝla ard haaya, maay nǝ dǝgit aanji ba hǝɗikǝn ma vindǝga Adzahadzaha Muus kwada nig biya, bamma righavantrighǝg baɗǝmma.
280513016b	Mbakyarvad kwaha baɗǝm daddakwa kǝladakǝlǝg aanji ba pal ma adzahadzahahaan hǝɗikǝnna, tsagtǝru dlaɓ kǝ kǝla adzahadzahahaan kǝ uudaha, da ɗahav nǝ iin daddakwa ǝnkykwah ma tlǝkǝsǝra ghǝrazhigǝla. Baɗǝm nǝ daddakwa gatǝgaan kǝ adzahadzahiina, dlaɓa tsagartsag kǝ uudaha, da ɗahav nǝ iin dǝ uud maamal ma tlǝkǝsǝra ghǝrazhigǝla.
2805140090	Ən tagkurtaga, akwama jamtǝruubi kǝ lii tsaga adzahadzaha Muus ard Farisah dǝ jiir biya, am dǝgaa bi damma tlǝkǝsǝra ghǝrazhigǝl biya.
2805150099	“Cinngamacinng ndza tagavtǝrdatag kǝ daadijaharu taakiya, ‘Tsǝbi kǝ shifǝg biya, baɗǝm daddakwa tsǝga shifǝga, da tǝvartǝg nǝ shariya.’
2805160133	Aiciya ǝn tagkurtaga, baɗǝm nǝ daddakwa nguɗa ǝrviɗmahuɗ dǝ zǝraabaana, da tǝvartǝg nǝ shariya. Daddakwa ɗahgarva zǝraabaan taakiya maay nǝ dǝgiti agha tuukvakai biya, da lanngav damma guda ta shariya, dlaɓa daddakwa ɗahgarva zǝraabaan dǝ dlaga, dlaiyaan ɓǝlǝvdǝm damma kaara faiya.
280517009a	“Kwakyarvad kwaha, akwamagha ɗiya baiku tǝ bagadiya kyulǝga, kaa dzamnadzamǝg kǝskǝgh taakiya hǝkyakahǝkyig nǝ zǝraabagh ma ǝrviɗmahaɗaana,
2805180091	faffǝg kǝ baikuwaghǝn tǝvuukwa bagadi ndana, dǝga agha ɓaga kǝ gabǝrǝr dǝ zǝraabagh bazǝngwa. Ka sagau kǝskǝgh da ɗiya baikuwagha.
28051900fc	“Akwama da ɗiya ghunjagh nǝ uudana, ɓag kǝ gabǝrǝr dǝ iin tǝ watswats tǝghǝrdǝg lakuti damma guda ta shari. Akwama maay ǝndkwah biya, da langaklang davak alkali, alkali dlaɓa da langaklang davak yaa dela, ar ɓǝlkadǝm ma guda bǝrfina.
28051a0076	Bak jiira wan tagaktaga, lakuti sǝkadasǝg nǝ uud vaakwaha, bamma pǝlghapǝlǝg kǝ kwaɓi gatak nǝ uud baɗǝmma.
28051b004d	“Cinngamacinng ndza tagavdatag taakiya, ‘Ɓagam bi kǝ gwaragwar biya.’
28051c0094	Aiciya ǝn tagkurtag, baɗǝm nǝ daddakwa vazǝna dǝkhǝra, dlaɓa kaa kǝmgaan kǝ iina, ɓagaaɓag kǝ gwaragwar dǝ vakai ma ǝrviɗmahuɗaana.
28051d00c0	Akwama fǝkaa kǝ ɓa haip nǝ gyiya dǝvaakaffagha, tǝdatǝɗǝga agha ɓǝldana. Ngulǝm maay ba nǝ uuɓiya vǝghagh pal tǝghǝr kwada ɓǝlǝvdǝm nǝ vǝghagh baɗǝm damma kaara faiya.
28051e00ba	Akwama fǝkaa kǝ ɓa haip nǝ dǝvaakaffagha, ghwudaghudǝga agha ɓǝldana. Ngulǝm maay ba nǝ uuɓiya vǝghagh pal tǝghǝr kwada ɓǝlǝvdǝm nǝ vǝghagh baɗǝm damma kaara faiya.
28051f0074	“Tagavdatag dlaɓ taakiya, ‘Daddakwa tagwavatagw dǝ uusaana, barari ghudara kǝ kakaɗa tagwavǝgh dǝ iina.’
28052000d5	Aiciya dǝgiti ǝn tagkurnaiya in taakiya, akwama tagwavatagw nǝ uudan dǝ uusaan kwakyarvad haipa gwaragwar biya, fadǝmfǝg ma ɗuula ɓa gwaragwara. Baɗǝm daddakwa kǝsguukǝsǝga, ɓa ba gwaragwar dǝ iina.
28052100a6	“Gwaastaana, cinngamacing tagavtǝratag kǝ daadijaharu taakiya, ‘Kǝldabi kǝ lanngiyagh biya, bamma agha righant kǝ langiyi tǝghara nǝnng kǝ Yaazhigǝla.’
2805220096	Aiciya dǝgiti ǝn tagkurnaiya in taakiya, zambi kǝ ngwaɗǝg ba linnglinng biya, aanji dǝ ghǝrazhigǝl biya aɗaba vaka ndzǝgana Daadamazhigǝla.
2805230087	Zambi dlaɓ kǝ ngwaɗǝg dǝ haay biya, aɗaba vaka fa shiga Daadamazhigǝla, bi dǝ Wurshalima aɗaba iin nǝ kǝssa Tlǝkǝs ɗyaka.
280524007a	Zǝbi dlaɓ kǝ ngwaɗǝg dǝ ghǝragh biya aɗaba agha nǝdalbi kǝ guja ghǝragh aanji pall kǝ maɗukwa bi gyangw biya.
2805250082	Dǝgiti ɓagaaɓaga kǝ maraw kǝ taga iin taakiya, ‘Aana,’ bi ‘Əndkwah biya’, majuujig ma kwana, aasǝgal vak shatanaha.
2805260062	“Cinngamacinng tagavdatag taakiya, ‘Gyiya dlakulva gyiya, tlǝrɗ dlaɓa dlakulva tlǝrɗa.’
