0100000018	ကမ္ဘာ​ဦး
01010e021a	တဖန် ဘုရား သခင်က၊ နေ့ နှင့် ညဉ့် ကို ပိုင်းခြား စေခြင်းငှါ မိုဃ်းကောင်းကင် မျက်နှာကြက် ၌ အလင်း အိမ် တည် စေ၊ နိမိတ် လက္ခဏာ၊ ချိန်းချက် သောအချိန်၊ နေ့ ရက်အပိုင်းအခြား၊ နှစ် အပိုင်းအခြားဘို့ ဖြစ် စေ။
01010f0127	မိုဃ်းကောင်းကင် မျက်နှာကြက် ၌ တည်၍ မြေကြီး လင်း စရာ အလင်း အိမ်ဖြစ် စေဟု အမိန့်တော်ရှိ သည့်အတိုင်း ဖြစ် လေ၏။
01011001da	ထိုသို့ ဘုရား သခင်သည် အလင်း အိမ်ကြီး နှစ် လုံးတည်းဟူသောနေ့ ကိုအုပ်စိုး ရသောအကြီး တလုံး၊ ညဉ့် ကို အုပ်စိုး ရသောအငယ် တလုံးနှင့်တကွ ကြယ် များတို့ကို ဖန်ဆင်း တော်မူပြီးလျှင်၊
01011101cf	မြေကြီး ၌ လင်း စေခြင်းငှာ၎င်း၊ နေ့ နှင့် ညဉ့် ကို အုပ်စိုး ၍ အလင်း နှင့် မှောင်မိုက် ကို ပိုင်းခြား စေခြင်းငှာ၎င်း ၊ မိုဃ်းကောင်းကင် မျက်နှာကြက် ၌ ဘုရား သခင်ထား တော်မူ၏။
0101120088	ထို အမှုအရာ ကောင်း သည်ကို ဘုရား သခင် မြင် တော်မူ၍၊
0101130073	ည ဦးနှင့် နံနက် သည် စတုတ္ထ နေ့ ရက်ဖြစ် လေ၏။
01011401e6	တဖန် ဘုရား သခင်က အသက် ရှင်၍ လှုပ်ရှားတတ်သော တိရစ္ဆာန် တို့ကို ရေ သည်များပြား စွာ မွေးဘွားစေ။ ငှက် တို့လည်း မြေ ပေါ် မိုဃ်းကောင်းကင် မျက်နှာကြက် ပြင် ဝယ်ပျံ စေဟု အမိန့်တော်ရှိ၏။
010115029c	ထိုသို့လျှင် ရေသည် တိရစ္ဆာန်အမျိုး အလိုက် များပြား စွာ မွေးဘွား၍၊ ငါးကြီး အစ ရှိသော အသက်ရှင် ၍ လှုပ်ရှား တတ်သော တိရစ္ဆာန် အပေါင်း တို့ကို၎င်း၊ ပျံ တတ်သော ငှက် မျိုးအပေါင်း တို့ကို၎င်း ဘုရား သခင်ဖန်ဆင်း ၍၊ ထို အမူအရာကောင်း သည်ကို မြင် တော်မူ၏။
01011601cb	ဘုရား သခင်ကလည်း များပြား စွာ မွေးဘွား ကြလော့။ ပင်လယ် ရေ များကို ပြည့် စေကြလော့။ ငှက် တို့ လည်း မြေ ပေါ်၌ များပြား စေသတည်းဟု ထို တိရစ္ဆာန်တို့ကို ကောင်းကြီး ပေးတော်မူ၍၊
0101170070	ည ဦးနှင့် နံနက် သည် ပဉ္စမ နေ့ ရက်ဖြစ် လေ၏။
0101180207	တဖန် ဘုရား သခင်က၊ မြေ သည် အသက်ရှင် သောသတ္တဝါ မျိုးတည်းဟူသောသားယဉ်တို့ကို၎င်း၊ တွား တတ်သော တိရစ္ဆာန် တို့ကို၎င်း ၊ သားရဲ မျိုး တို့ကို၎င်း ၊ မွေးဘွား စေဟုအမိန့် တော်ရှိသည်အတိုင်း ဖြစ် လေ၏။
01011901a4	ထို သို့ ဘုရား သခင်သည် သားရဲ မျိုး၊ သားယဉ်မျိုး၊ မြေ ပေါ်မှာ တွား တတ်သော တိရစ္ဆာန် မျိုး အပေါင်းတို့ကို ဖန်ဆင်း ၍ ၊ ထို အမှုအရာကောင်း သည်ကို မြင် တော်မူ၏။
01011a02f0	တဖန် ဘုရား သခင်က ငါ တို့ပုံသဏ္ဍာန်နှင့်အညီတသဏ္ဍန်တည်း လူ ကို ဖန်ဆင်း ကြစို့။ သူသည် ပင်လယ် ငါး တို့ကို၎င်း ၊ မိုဃ်းကောင်းကင် ငှက် တို့ကို၎င်း ၊ သား ယဉ်တို့ကို၎င်း ၊ မြေ တပြင်လုံး နှင့်တကွ၊ မြေ ပေါ် မှာ တွား တတ်သော တိရစ္ဆာန် အပေါင်း တို့ကို၎င်း ၊ အုပ်စိုး စေဟု အမိန့်တော်ရှိ၏။
01011b019b	ထိုသို့ ဘုရား သခင်သည် မိမိ ပုံသဏ္ဍန် နှင့်အညီ လူ ကိုဖန်ဆင်း တော်မူ၏။ ဘုရား သခင်၏ ပုံ သဏ္ဍာန် တော်နှင့်အညီ လူယောက်ျား ၊ လူမိန်းမ ကိုဖန်ဆင်း ပြီးလျှင်၊
01011c02e8	အချင်းတို့ များပြား စွာမွေးဘွား ကြလော့။ မြေကြီး ကို ပြည့် စေ၍ နိုင် ကြလော့။ ပင်လယ် ငါး တို့ကို၎င်း၊ မိုဃ်းကောင်းကင် ငှက် တို့ကို၎င်း၊ အသက် ရှင်၍ မြေ ပေါ် မှာ လှုပ်ရှား တတ်သော တိရစ္ဆာန်အပေါင်း တို့ကို၎င်းအုပ်စိုး ကြလော့ဟုမိန့် တော်မူ၍ ၊ သူ တို့ကိုကောင်းကြီး ပေးတော်မူ၏။
01011d023b	ဘုရား သခင်ကလည်း ကြည့်ရှု လော့။ မြေ တပြင်လုံး ၌ စပါး သီးကို ဖြစ်စေသော စပါး ပင် အမျိုးမျိုး တို့ကို၎င်း၊ မျိုးစေ့ ကိုဖြစ်စေသော အသီး နှင့်ပြည့်စုံသော သစ်ပင် အမျိုးမျိုး တို့ကို၎င်း၊ သင် တို့စားစရာ ဘို့ ငါပေး ၏။
01011e01ec	မြေ သား၊ မိုဃ်းကောင်းကင် ငှက် ၊ အသက် ရှင်၍ မြေ ပေါ် မှာ တွား တတ်သော တိရစ္ဆာန်မျိုးအပေါင်း တို့ စားစရာ ဘို့ ၊ မြက် ပင် အမျိုးမျိုး တို့ကို ငါပေးမည်ဟု မိန့်တော်မူသည်အတိုင်း ဖြစ် လေ၏။
01011f0171	ဘုရား သခင်သည် မိမိဖန်ဆင်း သမျှ သောအရာတို့ကို ကြည့်ရှု လျှင် ၊ အလွန် ကောင်း သည်ကို မြင် တော်မူ၍ ၊ ည ဦးနှင့် နံနက် သည် ဆဌမ နေ့ ရက်ဖြစ် လေ၏။
01020100e1	ထိုသို့ ကောင်းကင် မြေကြီး နှင့်တကွ ခပ်သိမ်း သော တန်ဆာ တို့သည် ပြီးစီး လျက်ရှိကြ၏။
01020201e4	သတ္တမ နေ့ ရက်ရောက်လျှင်၊ ဘုရား သခင်သည် ဖန်ဆင်း သောအမှု ကို လက်စသတ် တော်မူခဲ့ပြီးသည် ဖြစ်၍ ၊ ဖန်ဆင်း သမျှ သောအမူ အရာတို့သည် ပြီးစီးပြီးမှ၊ ထို သတ္တမ နေ့ ၌ ငြိမ်ဝပ် စွာနေတော်မူ၏။
010203020e	ထို သတ္တမ နေ့ ကို ဘုရား သခင်သည် ကောင်းကြီး ပေး၍ သန့်ရှင်း စေတော်မူ၏။ အကြောင်းမူကား ၊ ဖန်ဆင်း ပြုပြင်တော်မူသောထိုအမှု အရာအလုံးစုံ တို့သည် ပြီးစီးသောကြောင့်ထိုနေ့ရက်၌ ငြိမ်ဝပ် စွာနေ တော်မူ၏။
01020401ac	ဤ အကြောင်းအရာကား၊ ထာဝရ အရှင်ဘုရား သခင်သည် ကောင်းကင် နှင့် မြေကြီး ကို ဖန်ဆင်း တော်မူသောနေ့ ၊ ဖန်ဆင်း ရာကာလ ၌ ကောင်းကင် နှင့် မြေကြီး ၏ မူလ အတ္ထုပတ္တိပေတည်း။
0102050237	မြေ ၌ လယ် ယာပျိုး ပင်မ ပေါက်မှီ၊ လယ် ယာ၌ စပါးပင်မ ကြီးပွားမှီ၊ အပင် ရှိ သမျှတို့ကိုဖန်ဆင်း တော်မူ၏။ ထိုအခါ ထာဝရ အရှင်ဘုရား သခင်သည် မြေ ပေါ် ၌ မိုဃ်းကိုရွာ စေတော်မ မူသေး။ မြေ ၌လုပ် သော လူ လည်း မ ရှိသေးသည်ဖြစ်၍၊
010206009b	မြေ မှ အခိုး အငွေ့ထွက် သဖြင့် မြေ တပြင်လုံးကို စို စေလေ၏။
01020701a9	ထိုနောက် ၊ ထာဝရ အရှင်ဘုရား သခင်သည် မြေ မှုန့်ဖြင့် လူ ကို ဖန်ဆင်း ၍၊ သူ ၏နှာခေါင်း ထဲသို့ ဇီဝ အသက် ကို မှုတ် တော်မူလျှင် ၊ လူ သည် အသက်ရှင် သော သတ္တဝါ ဖြစ် လေ၏။
010208017d	ထာဝရ အရှင် ဘုရား သခင်သည်လည်း အရှေ့ မျက်နှာ၊ ဧဒင် အရပ်၌ ဥယျာဉ် ကို စိုက်ပျိုး ပြီးလျှင်၊ ဖန်ဆင်း တော်မူသောလူ ကို ထို ဥယျာဉ်၌ နေရာ ချတော်မူ၏။
01020901ea	ထို မြေ ထဲက အဆင်း လှ၍၊ စားဘွယ် ကောင်း သော အပင် အမျိုးမျိုး ကို ထာဝရ အရှင်ဘုရား သခင်ပေါက် စေတော်မူ၏။ ထိုဥယျာဉ် အလယ် ၌ အသက် ပင် လည်း ရှိ၏။ ကောင်း မ ကောင်းကို သိကျွမ်း ရာအပင် လည်း ရှိ၏။
01020a0151	ထို ဥယျာဉ်ကို စို စေလိုသော ငှာ မြစ် တမြစ်သည် ဧဒင် အရပ်ထဲက စီးထွက် သဖြင့် ၊ ဥယျာဉ် ပြင်မှာ လေးဖြာကွဲ ၍ မြစ်မ လေး သွယ်ဖြစ် လေ၏။
01020b0105	ပဌမ မြစ်ကား ဖိရုန် အမည် ရှိ၏။ ထို မြစ်သည် ရွှေ ရှိသော ဟာဝိလ ပြည် နား တရှောက်လုံး ကို စီးသွား လေ၏။
01020c0068	ထို ပြည် မှဖြစ်သောရွှေ သည် ကောင်း လှ၏။
01020d0152	ဗဓေလသစ်စေး နှင့် ရှဟံ ကျောက် လည်းရှိ၏။ ဒုတိယ မြစ်ကား ဂိဟုန် အမည် ရှိ၏။ ထိုမြစ် သည် ကုရှ ပြည် နား တရှောက်လုံး ကို စီးသွားလေ၏။
01020e0132	တတိယ မြစ် ကား ဟိဒကေလ အမည် ရှိ၏။ ထို မြစ်သည် အာရှုရိ တိုင်း အရှေ့ သို့ စီးသွား လေ၏။ စတုတ္ထ မြစ် ကား ဥဖရတ် အမည်ရှိ၏။
01020f010e	ထိုအခါ ထာဝရ အရှင်ဘုရား သခင်သည် လူ ကိုယူ ၍ ဧဒင် ဥယျာဉ် ကို ပြုစုစောင့်ရှောက် စေခြင်းငှါထား တော်မူ၏။
010210017c	ထာဝရ အရှင်ဘုရား သခင်ကလည်း ၊ ကောင်း မ ကောင်းကို သိကျွမ်း ရာအပင်မှတပါး၊ ထိုဥယျာဉ် ၌ ရှိသမျှ သော အပင် တို့၏အသီးကို သင်သည် စား ရသောအခွင့်ရှိ၏။
01021100ed	ထို အပင် ၏ အသီးကိုကား မ စား ရ။ စား သောနေ့ တွင် ဧကန်အမှန်သေ ရမည်ဟု လူ ကို ပညတ် ထားတော်မူ၏။
010212016b	ထာဝရ အရှင်ဘုရား သခင်ကလည်း ၊ ယောက်ျား သည် တ ယောက်တည်းမ နေ ကောင်း ၊ သူ နှင့်တော် သော အထောက် အမကို သူ ဘို့ ငါလုပ် ဦးမည်ဟု အကြံ ရှိတော်မူ၏။
0102130336	ထာဝရ အရှင်ဘုရား သခင်သည် မြေ တိရစ္ဆာန် တို့နှင့်၊ မိုဃ်းကောင်းကင် ငှက် အပေါင်း တို့ကို မြေ ဖြင့်ဖန်ဆင်း တော်မူပြီးလျှင်၊ လူသည် အဘယ်သို့ ခေါ်ဝေါ် သမုတ်မည်ကို သိ ခြင်းငှာ ၊ လူ ရှိရာသို့ ဆောင် ခဲ့တော်မူ၏။ လူ သည် လည်း အသက်ရှင် သော သတ္တဝါ အပေါင်း တို့ကို ခေါ်ဝေါ် သမုတ်သည့်အတိုင်း ၊ နာမည် အသီးအသီးရှိကြ၏။
0102140205	ထိုသို့ လူ သည် သားယဉ် အပေါင်း တို့ကို ၎င်း ၊ မိုဃ်းကောင်းကင် ငှက် အပေါင်းတို့ကို ၎င်း ၊ သားရဲ အပေါင်း တို့ကို ၎င်း၊ အမည်ပေး ၍မှည့်လေ၏။ သို့သော်လည်း လူ နှင့် တော် သော အထောက် အမ မ ပေါ် မရှိသေး၊
01021501f8	ထိုအခါ ထာဝရ အရှင်ဘုရား သခင်သည် လူ ကို ကြီး သောအိပ်ခြင်းဖြင့် အိပ်စေတော်မူ၍၊ လူ သည် အိပ်ပျော် စဉ် ၊ နံရိုး တ ချောင်းကို ဘုရားသခင်ထုတ် ပြီးလျှင်၊ ထို အရိုးအစား အသား ကို စေ့စပ် စေတော်မူ၏။
010216011d	ထာဝရ အရှင်ဘုရား သခင်သည် လူ ထဲက ထုတ် သော နံရိုး ဖြင့် လူမိန်းမ ကိုဖန်ဆင်း၍ လူ ရှိရာသို့ ဆောင် ခဲ့ တော်မူ၏။
0102170168	လူ ကလည်း ၊ ယခု ဤ သူသည်ငါ့ အရိုး ထဲက အရိုး ၊ ငါ့ အသား ထဲက အသား ဖြစ်၏။ လူ ထဲက ထုတ် သောကြောင့် သူ့ ကိုလူမိန်းမ ဟု ခေါ်ဝေါ် အပ်သည်ဟု ဆိုလေ၏။
0102180169	ထို အကြောင်းကြောင့် ယောက်ျား သည် ကိုယ် မိဘ ကို စွန့် ၍ ၊ ကိုယ့် ခင်ပွန်း ၌မှီဝဲ သဖြင့် ၊ ထိုသူတို့သည် တသား တကိုယ်တည်း ဖြစ် ရလိမ့်မည်။
01021900df	ထို သူလင်မယား နှစ် ဦးတို့သည် အဝတ် မဝတ်ဘဲ နေ၍၊ ရှက်ကြောက် ခြင်းနှင့် ကင်းလွတ် ကြ၏။
0103010238	မြွေ သည် ထာဝရ အရှင်ဘုရား သခင် ဖန်ဆင်း တော်မူ သောမြေ တိရစ္ဆာန် တကာ တို့ထက် လိမ္မာ သည် ဖြစ် ၍ ၊ မိန်းမ အား သင်တို့သည် ဥယျာဉ် ၌ ရှိသမျှ သောအပင် တို့၏ အသီးကိုမ စား ရဟု ဧကန် စင်စစ် ဘုရား သခင် မိန့် တော်မူသလောဟု မေး ၏။
01030200d3	မိန်းမ ကလည်း ၊ ငါတို့သည် ဥယျာဉ် ရှိ သောအပင် တို့၏ အသီး ကိုစား ရသောအခွင့်ရှိ၏။
010303017b	ဥယျာဉ် အလယ် ၌ ရှိသောအပင် ၏အသီး ကိုကား၊ သင်တို့သည် မ ကိုင် မ စား ပဲ နေကြလော့၊ သို့မဟုတ် သေ မည်ဟု ဘုရား သခင်အမိန့် တော်ရှိသည်ဟု မြွေ အား ဆို ၏။
010304007d	မြွေ ကလည်း သင်တို့သည် ဧကန်အမှန်သေ ရမည်မ ဟုတ်၊
01030501e3	အကြောင်းမူကား ၊ ထို အသီးကိုစား သောနေ့ ၌ သင်တို့ သည် မျက်စိ ပွင့် လင်းလျက် ကောင်း မကောင်း ကို သိ ၍ ၊ ဘုရား သခင်ကဲ့သို့ ဖြစ် ကြ လတံ့သည်ကို၊ ဘုရား သခင်သိ တော်မူသည်ဟု မိန်းမ အားဆို ၏။
0103060221	ထို အပင် သည် စားဘွယ် ကောင်း ခြင်း၊ အဆင်း လည်း လှခြင်း၊ ပညာ တိုးပွားစေလိုသောငှါ ၊ နှစ်သက် ဖွယ်သော အပင် ဖြစ်ခြင်းကို မိန်းမ သည် မြင်လျှင် ၊ အသီး ကို ယူ ၍ စား ၏။ မိမိ ခင်ပွန်း အား လည်း ပေး ၍ သူ သည်လည်း စား ၏။
01030701e1	ထိုသူနှစ် ယောက်တို့သည် မျက်စိ ပွင့် လင်း၍ မိမိ တို့၌ အဝတ် အချည်းစည်းရှိသည်ကို သိ မြင်လျှင် ၊ မိမိ တို့ ဝတ် ရန်ဖို့ သင်္ဘော သဖန်းပင်အရွက် တို့ကို ချုပ် စပ်၍ ခါးစည်းကိုလုပ် ကြ၏။
01030801d1	နေဧသောအချိန် တွင် ၊ ထိုဥယျာဉ် ၌ ထာဝရ အရှင်ဘုရား သခင်ကြွ တော်မူသောအသံ ကို လုလင်မယားတို့သည် ကြား လျှင် ၊ အထံတော်မှ လွတ်ခြင်းငှါ၊ ဥယျာဉ် အပင် တို့တွင် ပုန်း ကွယ်လျက် နေကြ၏။
01030900ce	ထာဝရ အရှင် ဘုရား သခင်ကလည်း ၊ သင် သည် အဘယ် မှာရှိသနည်းဟု၊ လူ ကိုခေါ် တော်မူ၏။
01030a0165	လူကလည်း ဥယျာဉ် ၌ ကိုယ်တော် ၏ အသံ ကို ကျွန်တော်ကြား လျှင်၊ အဝတ် အချည်းစည်းရှိသောကြောင့် ၊ ကြောက် ၍ ပုန်း လျက် နေပါသည်ဟု လျှောက် လေ၏။
01030b016a	ဘုရားသခင်ကလည်း၊ သင် ၌ အဝတ် အချည်းစည်းရှိသည်ကို သင် အား အဘယ်သူ ပြော သနည်း။ မ စား ရဟု ငါပညတ် သော အပင် ၏အသီးကို စား ပြီလောဟု မေး တော်မူ၏။
01030c0121	လူ ကလည်း ကျွန်တော် ၌ အပ်ပေး တော်မူသောမိန်းမ သည် ထိုအပင် ၏အသီးကိုပေး ၍ ကျွန်တော်စား မိပါသည်ဟု လျှောက် လေ၏။
01030d01d6	ထာဝရ အရှင်ဘုရား သခင်ကလည်း ၊ သင်သည် အဘယ်သို့ ပြု ပြီးသနည်းဟု မိန်းမအားမေး တော်မူလျှင် ၊ မိန်းမ က မြွေ သည် ကျွန်တော်မ ကို လှည့်စား ၍ ၊ ကျွန်တော်မသည်စား မိပါပြီဟု လျှောက် လေ၏။
01030e01e1	ထာဝရ အရှင်ဘုရား သခင်သည် မြွေ ကိုခေါ် ၍ သင်သည် ဤ အမှုကို ပြု သောကြောင့် သားယဉ် သားရဲ အပေါင်း တို့ထက် ကျိန် ခြင်းကို ခံရ၏။ သင် သည် ဝမ်း ဖြင့် သွား ၍ မြေမှုန့် ကို တသက်လုံး စား ရမည်။
01030f021a	သင် နှင့် မိန်းမ ကို၎င်း ၊ သင် ၏အမျိုးအနွယ် နှင့် မိန်းမ ၏ အမျိုးအနွယ် ကို၎င်း ၊ ငါသည်ရန်ငြိုး ဖွဲ့ စေမည်။ သူသည် သင် ၏ခေါင်း ကို ကြိတ် လိမ့်မည်၊ သင်သည် သူ ၏ဖနောင့် ကို ကြိတ် လိမ့်မည်ဟု မိန့်တော်မူ၏။
0103100220	မိန်းမ ကို လည်း၊ သင် ၌ ကိုယ်ဝန်ဆောင် ခြင်း ဝေဒနာ ကို ငါအလွန် များပြား စေရမည်။ ပင်ပန်းစွာ ဝေဒနာ ကို ခံ ၍ သား ဘွား ရမည်။ ကိုယ် ခင်ပွန်း ၏ အလို သို့ လိုက်၍ သူ ၏အုပ်စိုး ခြင်းကိုလည်း ခံရမည်ဟု မိန့် တော်မူ၏။
010311022d	ယောက်ျား ကို လည်း ၊ ထို အပင်၏အသီးကို မ စား ရဟု ငါပညတ် သော်လည်း၊ သင်သည်မယား ၏ စကား ကို နားထောင် ၍ စား မိသောကြောင့် ၊ မြေ သည် သင် ၏အတွက် ကျိန် ခြင်းကိုခံ လျက်ရှိ၏။ မြေ၏အသီးကို တသက် ပတ်လုံးပင်ပန်း စွာ စား ရမည်။
0103120127	ဆူး ပင်အမျိုးမျိုးတို့ကိုလည်း သင် အဖို့ မြေပေါက် စေမည်။ လယ် ၌ ဖြစ်သော ဟင်းသီးဟင်းရွက် တို့ကို သင် စား ရမည်။
01031301cc	သင် ထွက် ရာမြေ သို့ မပြန် မှီတိုင်အောင် ၊ သင် ၏ မျက်နှာ မှချွေး ထွက်လျက် အစာ ကိုစား ရမည်။ အကြောင်းမူကား ၊ သင် သည် မြေမှုန့် ဖြစ်၍မြေမှုန့် သို့ ပြန် ရမည်ဟု မိန့် တော်မူ၏။
010314013e	ထိုအခါ လူ သည် မိမိ မယား ကို ဧဝ အမည် ဖြင့် မှည့် လေ၏။ အကြောင်းမူကား ၊ သူ သည် အသက်ရှင် သော သူအပေါင်း တို့၏ အမိ ဖြစ် သတည်း။
01031500fb	ထာဝရ အရှင် ဘုရား သခင်သည်လည်း လူ လင်မယား တို့ သားရေ ဖြင့် ဝတ်လုံ ကိုလုပ် ၍ ဝတ် ခြုံစေတော်မူ ၏။
0103160214	ထာဝရ အရှင်ဘုရား သခင်ကလည်း ၊ လူ သည် ငါ တို့တွင် တပါးပါး ကဲ့သို့ ဖြစ် ၍၊ ကောင်း မကောင်း သိ တတ်၏။ ယခု မှာ သူသည် ထာဝရ အသက် ကို ရခြင်းငှါ၊ လက် ကိုဆန့် လျက် အသက် ပင် ၏အသီးကို ယူ ၍ မ စား သင့်ဟု မိန့်တော်မူ၏။
010317011b	လူ သည် မိမိထွက် သော မြေ ၌ လုပ် ရမည်အကြောင်း ၊ ထာဝရ အရှင်ဘုရား သခင်သည် ဧဒင် ဥယျာဉ် ထဲက လွှတ် လိုက်တော်မူ၏။
0103180194	ထိုသို့ လူ ကို နှင်ထုတ် ပြီးလျှင်၊ အသက် ပင် လမ်း ကို စောင့်ရှောက် စေခြင်းငှါ ၊ မီး စင်လက်နက်နှင့်တကွ ခေရုဗိမ် တို့ကို ဥယျာဉ် အရှေ့ ဘက်၌ ထား တော်မူ၏။
0104010167	ထိုနောက်၊ လူ အာဒံသည် မယား ဧဝ နှင့်ဆက်ဆံ သဖြင့် ၊ ဧဝသည် ပဋိသန္ဓေ စွဲယူ၍ ၊ ကာဣန ကို ဘွားမြင် လျှင် ၊ ထာဝရ ဘုရား၏ လူ ကို ငါရ ပြီဟုဆို လေ၏။
01040200f8	တဖန် သူ့ ညီ အာဗေလ ကို ဘွားမြင် လေ၏။ အာဗေလ ကား သိုး ထိန်း ဖြစ် ၏။ ကာဣန ကားလယ် လုပ် သောသူဖြစ် ၏။
01040300e0	အချိန် စေ့ သောအခါ ၊ ကာဣန သည် ထာဝရဘုရား ထံ ပူဇော်သက္ကာ ဘို့၊ မြေ အသီး ကို ဆောင် ခဲ့၏။
010404018b	အာဗေလ သည်လည်း မိမိ သိုး စုတွင် အဦး ဘွားသော သားအချို့နှင့်၊ သိုး ဆီ ဥကိုဆောင် ခဲ့၏။ ထာဝရဘုရား သည် အာဗေလ နှင့် သူ ၏ပူဇော်သက္ကာ ကို ပမာဏ ပြုတော်မူ၏။
0104050116	ကာဣန နှင့် သူ ၏ ပူဇော်သက္ကာ ကို ပမာဏ ပြုတော်မ မူ၊ ထိုကြောင့် ကာဣန သည် အလွန် စိတ်ဆိုး ၍ မျက်နှာ ပျက် လေ၏။
01040600e5	ထာဝရဘုရား ကလည်း သင် သည် အဘယ်ကြောင့် စိတ်ဆိုး သနည်း။ အဘယ်ကြောင့် မျက်နှာ ပျက် သနည်း။
010407022c	သင်သည် ကောင်းမွန် စွာ ပြုလုပ်အခွင့် မ ရလော။ ကောင်းမွန် စွာ မ ပြုလျှင် ၊ အပြစ် ဖြေသော ယဇ်ကောင် သည်တံခါး နား မှာ ဝပ် လျက်ရှိ၏။ သူ သည် သင် ၏ အလို သို့လိုက်၍၊ သင် သည် သူ့ ကို အုပ်စိုး ရ၏ဟု ကာဣန ကို မိန့် တော်မူ၏။
0104080129	ကာဣန ကလည်း လယ်သို့ သွားကြကုန်အံ့ဟု ညီ အာဗေလ ကို ခေါ် ၍ ၊ လယ် သို့ ရောက်သောအခါ၊ ညီ အာဗေလ ကိုရန် ဘက်ပြု၍ သတ် လေ၏။
01040901aa	ထာဝရဘုရား ကလည်း သင့် ညီ အာဗေလ သည် အဘယ်မှာ ရှိသနည်းဟု ကာဣန ကို မေး တော်မူလျှင် အကျွန်ုပ်မ သိ ပါ။ အကျွန်ုပ် သည် ညီ ကို စောင့် ရသောသူ ဖြစ် ပါသလောဟု လျှောက် ဆို၏။
01040a0126	ဘုရားသခင်ကလည်း၊ သင်သည် အဘယ်သို့ ပြု ပြီးသနည်း။ သင် ညီ အသွေး ၏အသံ သည် မြေ ထဲက ငါ့ ကို အော်ဟစ် လျက်ရှိသည်တကား။
