0100000008	Postanak
0102160048	i Gospod Bog stvori ženu od rebra, koje uze Adamu, i dovede je k Adamu.
0102170076	A Adam reče: Sada eto kost od mojih kosti, i telo od mog tela. Neka joj bude ime čovečica, jer je uzeta od čoveka.
010218006a	Zato će ostaviti čovek oca svog i mater svoju, i prilepiće se k ženi svojoj, i biće dvoje jedno telo.
010219003a	A behu oboje goli. Adam i žena mu, i ne beše ih sramota.
0103010099	Ali zmija beše lukava mimo sve zveri poljske, koje stvori Gospod Bog; pa reče ženi: Je li istina da je Bog kazao da ne jedete sa svakog drveta u vrtu?
010302003b	A žena reče zmiji: Mi jedemo rod sa svakog drveta u vrtu;
010303005b	samo rod s onog drveta usred vrta, kazao je Bog, ne jedite i ne dirajte u nj, da ne umrete.
0103040027	A zmija reče ženi: Nećete vi umreti;
0103050087	nego zna Bog da će vam se u onaj dan kad okusite s njega otvoriti oči, pa ćete postati kao bogovi i znati šta je dobro šta li zlo.
01030600b1	I žena videći da je rod na drvetu dobar za jelo i da ga je milina gledati i da je drvo vrlo drago radi znanja, uzabra rod s njega i okusi, pa dade i mužu svom, te i on okusi.
010307006a	Tada im se otvoriše oči, i videše da su goli; pa spletoše lišća smokovog i načiniše sebi pregače.
0103080083	I začuše glas Gospoda Boga, koji iđaše po vrtu kad zahladi; i sakri se Adam i žena mu ispred Gospoda Boga među drveta u vrtu.
010309002c	A Gospod Bog viknu Adama i reče mu: Gde si?
01030a004d	A on reče: Čuh glas Tvoj u vrtu, pa se poplaših, jer sam go, te se sakrih.
01030b0066	A Bog reče: Ko ti kaza da si go? Da nisi jeo s onog drveta što sam ti zabranio da ne jedeš s njega?
01030c004d	A Adam reče: Žena koju si udružio sa mnom, ona mi dade s drveta, te jedoh.
01030d005e	A Gospod Bog reče ženi: Zašto si to učinila? A žena odgovori: Zmija me prevari, te jedoh.
01030e00a5	Tada reče Gospod Bog zmiji: Kad si to učinila, da si prokleta mimo svako živinče i mimo sve zveri poljske; na trbuhu da se vučeš i prah da jedeš do svog veka.
01030f0093	I još mećem neprijateljstvo između tebe i žene i između semena tvog i semena njenog; ono će ti na glavu stajati a ti ćeš ga u petu ujedati.
01031000a4	A ženi reče: Tebi ću mnoge muke zadati kad zatrudniš, s mukama ćeš decu rađati, i volja će tvoja stajati pod vlašću muža tvog, i on će ti biti gospodar.
01031100bf	Pa onda reče Adamu: Što si poslušao ženu i okusio s drveta s kog sam ti zabranio rekavši da ne jedeš s njega, zemlja da je prokleta s tebe, s mukom ćeš se od nje hraniti do svog veka;
010312003d	Trnje i korov će ti rađati, a ti ćeš jesti zelje poljsko;
0103130079	Sa znojem lica svog ješćeš hleb, dokle se ne vratiš u zemlju od koje si uzet; jer si prah, i u prah ćeš se vratiti.
0103140049	I Adam nadede ženi svojoj ime Jeva, zato što je ona mati svima živima.
0103150051	I načini Gospod Bog Adamu i ženi njegovoj haljine od kože, i obuče ih u njih.
01031600b6	I reče Gospod Bog: Eto, čovek posta kao jedan od nas znajući šta je dobro šta li zlo; ali sada da ne pruži ruku svoju i uzbere i s drveta od života, i okusi, te do veka živi.
0103170048	I Gospod Bog izagna ga iz vrta edemskog da radi zemlju, od koje bi uzet;
010318008a	i izagnav čoveka postavi pred vrtom edemskim heruvima s plamenim mačem, koji se vijaše i tamo i amo, da čuva put ka drvetu od života.
0104010066	Iza toga Adam pozna Jevu ženu svoju, a ona zatrudne i rodi Kajina, i reče: Dobih čoveka od Gospoda.
0104020046	I rodi opet brata njegovog Avelja. I Avelj posta pastir a Kajin ratar.
0104030054	A posle nekog vremena dogodi se, te Kajin prinese Gospodu prinos od roda zemaljskog;
010404006d	a i Avelj prinese od prvina stada svog i od njihove pretiline. I Gospod pogleda na Avelja i na njegov prinos,
010405005c	a na Kajina i na njegov prinos ne pogleda. Zato se Kajin rasrdi veoma, i lice mu se promeni.
0104060045	Tada reče Gospod Kajinu: Što se srdiš? Što li ti se lice promeni?
010407008f	Nećeš li biti mio, kad dobro činiš? A kad ne činiš dobro, greh je na vratima. A volja je njegova pod tvojom vlašću, i ti si mu stariji.
0104080071	Posle govoraše Kajin s Aveljem bratom svojim. Ali kad behu u polju, skoči Kajin na Avelja brata svog, i ubi ga.
0104090065	Tada reče Gospod Kajinu: Gde ti je brat Avelj? A on odgovori: Ne znam; zar sam ja čuvar brata svog?
01040a0046	A Bog reče: Šta učini! Glas krvi brata tvog viče sa zemlje k meni.
01040b0063	I sada, da si proklet na zemlji, koja je otvorila usta svoja da primi krv brata tvog iz ruke tvoje.
01040c005c	Kad zemlju uzradiš, neće ti više davati blaga svog. Bićeš potukač i begunac na zemlji.
01040d004a	A Kajin reče Gospodu: Krivica je moja velika da mi se ne može oprostiti.
01040e007c	Evo me teraš danas iz ove zemlje da se krijem ispred Tebe, i da se skitam i potucam po zemlji, pa će me ubiti ko me udesi.
01040f0083	A Gospod mu reče: Zato ko ubije Kajina, sedam će se puta to pokajati. I načini Gospod znak na Kajinu da ga ne ubije ko ga udesi.
0104100052	I otide Kajin ispred Gospoda, i naseli se u zemlji naidskoj na istoku prema Edemu.
010411006a	I pozna Kajin ženu svoju, a ona zatrudne i rodi Enoha. I sazida grad i prozva ga po imenu sina svog Enoh.
0104120062	A Enohu rodi se Gaidad; a Gaidad rodi Maleleila; a Maleleilo rodi Matusala; a Matusal rodi Lameha.
010413003a	I uze Lameh dve žene: jednoj beše ime Ada a drugoj Sela.
010414004f	I Ada rodi Jovila; od njega se narodiše koji žive pod šatorima i stoku pasu.
010415004b	A bratu njegovom beše ime Juval; od njega se narodiše gudači i svirači.
010416006b	A i Sela rodi Tovela, koji beše vešt kovati svašta od bronze i od gvožđa; a sestra Tovelu beše Noema.
010417009c	I reče Lameh svojim ženama, Adi i Seli: Čujte glas moj, žene Lamehove, poslušajte reči moje: ubiću čoveka za ranu svoju i mladića za masnicu svoju.
0104180048	Kad će se Kajin osvetiti sedam puta, Lameh će sedamdeset i sedam puta.
0104190080	A Adam opet pozna ženu svoju, i ona rodi sina, i nade mu ime Sit, jer mi, reče, Bog dade drugog sina za Avelja, kog ubi Kajin.
01041a0050	I Situ se rodi sin, kome nadede ime Enos. Tada se poče prizivati ime Gospodnje.
0105010048	Ovo je pleme Adamovo. Kad Bog stvori čoveka po obličju svom stvori ga.
0105020053	Muško i žensko stvori ih, i blagoslovi ih, i nazva ih čovek, kad biše stvoreni.
0105030066	I požive Adam sto trideset godina, i rodi sina po obličju svom, kao što je on, i nadede mu ime Sit.
010504004a	A rodiv Sita požive Adam osam stotina godina, rađajući sinove i kćeri;
010505003e	tako požive Adam svega devet stotina trideset godina; i umre.
010506002b	A Sit požive sto pet godina, i rodi Enosa;
0105070050	a rodiv Enosa požive Sit osam stotina sedam godina, rađajući sinove i kćeri;
010508003d	tako požive Sit svega devet stotina dvanaest godina; i umre.
0105090031	A Enos požive devedeset godina, i rodi Kajinana;
01050a0057	a rodiv Kajinana požive Enos osam stotina petnaest godina, rađajući sinove i kćeri;
01050b0039	tako požive Enos svega devet stotina pet godina; i umre.
01050c0036	A Kajinan požive sedamdeset godina, i rodi Maleleila;
01050d005f	a rodiv Maleleila požive Kajinan osam stotina i četrdeset godina, rađajući sinove i kćeri;
01050e003e	tako požive Kajinan svega devet stotina deset godina; i umre.
01050f0038	A Maleleilo požive šezdeset pet godina, i rodi Jareda;
010510005a	a rodiv Jareda požive Maleleilo osam stotina trideset godina, rađajući sinove i kćeri;
0105110047	tako požive Maleleilo svega osam stotina devedeset pet godina; i umre.
010512003b	A Jared požive sto i šezdeset i dve godine, i rodi Enoha;
010513004c	a rodiv Enoha požive Jared osam stotina godina, rađajući sinove i kćeri;
0105140044	tako požive Jared svega devet stotina šezdeset dve godine, i umre.
0105150035	A Enoh požive šezdeset pet godina, i rodi Matusala;
0105160061	a rodiv Matusala požive Enoh jednako po volji Božjoj trista godina, rađajući sinove i kćeri;
0105170034	tako požive Enoh svega trista šezdeset pet godina;
0105180044	i živeći Enoh jednako po volji Božjoj, nestade ga jer ga uze Bog.
010519003c	A Matusal požive sto osamdeset sedam godina, i rodi Lameha;
01051a005e	a rodiv Lameha požive Matusal sedam stotina osamdeset dve godine, rađajući sinove i kćeri;
01051b004c	tako požive Matusal svega devet stotina i šezdeset i devet godina; i umre.
01051c0038	A Lameh požive sto osamdeset i dve godine, i rodi sina,
01051d007d	i nadede mu ime Noje govoreći: Ovaj će nas odmoriti od poslova naših i od truda ruku naših na zemlji, koju prokle Gospod.
01051e0058	A rodiv Noja požive Lameh pet stotina devedeset pet godina, rađajući sinove i kćeri;
01051f0047	tako požive Lameh svega sedam stotina sedamdeset sedam godina; i umre.
0105200040	A Noju kad bi pet stotina godina, rodi Noje Sima, Hama i Jafeta.
0106010045	A kad se ljudi počeše množiti na zemlji, i kćeri im se narodiše.
0106020056	Videći sinovi Božji kćeri čovečije kako su lepe uzimaše ih za žene koje hteše.
0106030068	A Gospod reče: Neće se duh moj do veka preti s ljudima, jer su telo; neka im još sto dvadeset godina.
01060400a5	A beše tada divova na zemlji; a i posle, kad se sinovi Božji sastajahu sa kćerima čovečijim, pa im one rađahu sinove; to behu silni ljudi, od starine na glasu.
010605006e	I Gospod videći da je nevaljalstvo ljudsko veliko na zemlji, i da su sve misli srca njihovog svagda samo zle,
0106060048	pokaja se Gospod što je stvorio čoveka na zemlji, i bi mu žao u srcu.
01060700a5	I reče Gospod: Hoću da istrebim sa zemlje ljude, koje sam stvorio, od čoveka do stoke i do sitne životinje i do ptica nebeskih; jer se kajem što sam ih stvorio.
0106080024	Ali Noje nađe milost pred Gospodom.
0106090072	Ovo su događaji Nojevi: Noje beše čovek pravedan i bezazlen svog veka; po volji Božjoj svagda življaše Noje.
01060a002a	I rodi Noje tri sina: Sima, Hama i Jafeta.
01060b003d	A zemlja se pokvari pred Bogom, i napuni se zemlja bezakonja.
01060c005a	I pogleda Bog na zemlju, a ona beše pokvarena; jer svako telo pokvari put svoj na zemlji.
01060d0077	I reče Bog Noju: Kraj svakom telu dođe preda me, jer napuniše zemlju bezakonja; i evo hoću da ih zatrem sa zemljom.
01060e006b	Načini sebi kovčeg od drveta gofera, i načini pregratke u kovčegu; i zatopi ga smolom iznutra i spolja.
01060f006c	I načini ga ovako; u dužinu neka bude trista lakata, u širinu pedeset lakata, i u visinu trideset lakata;
0106100092	pusti dosta svetlosti u kovčeg; i krov mu svedi ozgo od lakta; i udari vrata kovčegu sa strane; i načini ga na tri boja: donji, drugi i treći.
0106110081	Jer evo pustiću potop na zemlju da istrebim svako telo u kome ima živa duša pod nebom; šta je god na zemlji sve će izginuti.
010612007a	Ali ću s tobom učiniti zavet svoj: i ući ćeš u kovčeg ti i sinovi tvoji i žena tvoja i žene sinova tvojih s tobom.
010613007e	I od svega živog, od svakog tela, uzećeš u kovčeg po dvoje, da sačuvaš u životu sa sobom, a muško i žensko neka bude.
01061400b1	Od ptica po vrstama njihovim, od stoke po vrstama njenim, i od svega što se miče na zemlji po vrstama njegovim, od svega po dvoje neka uđe s tobom, da ih sačuvaš u životu.
0106150052	I uzmi sa sobom svega što se jede, i čuvaj kod sebe, da bude hrane tebi i njima.
0106160036	I Noje učini, kako mu zapovedi Bog, sve onako učini.
0107010063	I reče Gospod Noju: Uđi u kovčeg ti i sav dom tvoj; jer te nađoh pravedna pred sobom ovog veka.
0107020092	Uzmi sa sobom od svih životinja čistih po sedmoro, sve mužjaka i ženku njegovu; a od životinja nečistih po dvoje, mužjaka i ženku njegovu,
0107030061	takođe i od ptica nebeskih po sedam, mužjaka i ženku njegovu, da im se sačuva seme na zemlji.
010704008f	Jer ću do sedam dana pustiti dažd na zemlju za četrdeset dana i četrdeset noći, i istrebiću sa zemlje svako telo živo, koje sam stvorio.
010705002a	I Noje učini sve što mu zapovedi Gospod.
010706003c	A beše Noju šest stotina godina kad dođe potop na zemlju.
0107070062	I uđe Noje u kovčeg i sinovi njegovi i žena njegova i žene sinova njegovih s njim radi potopa.
010708005e	Od životinja čistih i od životinja nečistih i od ptica i od svega što se miče po zemlji,
0107090054	uđe k Noju u kovčeg po dvoje, muško i žensko, kao što beše Bog zapovedio Noju.
01070a0024	A u sedmi dan dođe potop na zemlju.
01070b00ad	Kad je bilo Noju šest stotina godina, te godine drugog meseca, sedamnaesti dan toga meseca, taj dan razvališe se svi izvori velikog bezdana, i otvoriše se ustave nebeske;
01070c003e	i udari dažd na zemlju za četrdeset dana i četrdeset noći.
01070d0073	Taj dan uđe u kovčeg Noje i Sim i Ham i Jafet, sinovi Nojevi, i žena Nojeva i tri žene sinova njegovih s njima;
01070e00bb	oni, i svakojake zveri po vrstama svojim, i svakojaka stoka po vrstama svojim, i šta se god miče po zemlji po vrstama svojim, i ptice sve po vrstama svojim, i šta god leti i ima krila,
01070f0047	dođe k Noju u kovčeg po dvoje od svakog tela, u kome ima živa duša,
0107100066	muško i žensko od svakog tela uđoše, kao što beše Bog zapovedio Noju; pa Gospod zatvori za njim.
010711005c	I bi potop na zemlji za četrdeset dana; i voda dođe i uze kovčeg, i podiže ga od zemlje.
0107120044	I navali voda, i usta jako po zemlji, i kovčeg stade ploviti vodom.
010713005c	I navaljivaše voda sve većma po zemlji, i pokri sva najviša brda što su pod celim nebom.
0107140037	Petnaest lakata dođe voda iznad brda, pošto ih pokri.
0107150073	Tada izgibe svako telo što se micaše na zemlji, ptice i stoka, i zveri i sve što gamiže po zemlji, i svi ljudi.
0107160043	Sve što imaše dušu živu u nosu, sve što beše na suvom, pomre.
01071700ad	I istrebi se svako telo živo na zemlji, i ljudi i stoka i šta god gamiže i ptice nebeske, sve, velim, istrebi se sa zemlje; samo Noje osta i šta s njim beše u kovčegu.
010718002e	I stajaše voda povrh zemlje sto pedeset dana.
0108010077	A Bog se opomenu Noja i svih zveri i sve stoke što behu s njim u kovčegu; i posla Bog vetar na zemlju da uzbije vodu.
0108020049	I zatvoriše se izvori bezdanu i ustave nebeske, i dažd s neba prestade.
010803004a	I stade voda opadati na zemlji, i jednako opadaše posle sto pedeset dana;
0108040048	te se ustavi kovčeg sedmog meseca dana sedamnaestog na planini Araratu.
0108050066	I voda opadaše sve većma do desetog meseca; i prvog dana desetog meseca pokazaše se vrhovi od brda.
010806004c	A posle četrdeset dana otvori Noje prozor na kovčegu, koji beše načinio;
0108070057	i ispusti gavrana, koji jednako odletaše i doletaše dokle ne presahnu voda na zemlji.
010808003b	Pa pusti i golubicu da bi video je li opala voda sa zemlje.
01080900aa	A golubica ne našavši gde bi stala nogom svojom vrati se k njemu u kovčeg, jer još beše voda po svoj zemlji; i Noje pruživši ruku uhvati je i uze k sebi u kovčeg.
01080a0040	I počeka još sedam dana, po opet ispusti golubicu iz kovčega.
01080b008b	I pred veče vrati se k njemu golubica, i gle, u kljunu joj list maslinov, koji beše otkinula; tako pozna Noje da je opala voda sa zemlje.
01080c0052	Ali počeka još sedam dana, pa opet ispusti golubicu, a ona mu se više ne vrati.
01080d0088	Šest stotina prve godine veka Nojevog prvi dan prvog meseca usahnu voda na zemlji; i Noje otkri krov na kovčegu, i ugleda zemlju suvu.
01080e003b	A drugog meseca dvadeset sedmog dana beše sva zemlja suva.
01080f001e	Tada reče Bog Noju govoreći:
0108100051	Izađi iz kovčega ti i žena tvoja i sinovi tvoji i žene sinova tvojih s tobom;
01081100a6	sve zveri što su sa tobom od svakog tela, ptice i stoku i šta god gamiže po zemlji, izvedi sa sobom, neka se raziđu po zemlji, i neka se plode i množe na zemlji.
010812004e	I iziđe Noje i sinovi njegovi i žena njegova i žene sinova njegovih s njim.
0108130071	Sve zveri, sve sitne životinje, sve ptice i sve što se miče po zemlji po svojim vrstama iziđoše iz kovčega.
0108140080	I načini Noje žrtvenik Gospodu, i uze od svake čiste stoke i od svih ptica čistih, i prinese na žrtveniku žrtve paljenice.
01081500bc	I Gospod omirisa miris ugodni, i reče u srcu svom: Neću više kleti zemlje s ljudi, što je misao srca čovečijeg zla od malena; niti ću više ubijati sve što živi, kao što učinih.
010816006d	Od sada dokle bude zemlje, neće nestajati setve ni žetve, studeni ni vrućine, leta ni zime, dana ni noći.
0109010060	I Bog blagoslovi Noja i sinove njegove, i reče im: Rađajte se i množite se i napunite zemlju;
010902008d	i sve zveri zemaljske i sve ptice nebeske i sve što ide po zemlji i sve ribe morske neka vas se boje i straše; sve je predano u vaše ruke.
0109030054	Šta se god miče i živi, neka vam bude za jelo, sve vam to dadoh kao zelenu travu.
0109040035	Ali ne jedite mesa s dušom njegovom, a to mu je krv.
0109050096	Jer ću i vašu krv, duše vaše, iskati; od svake ću je zveri iskati; iz ruke samog čoveka, iz ruke svakog brata njegovog iskaću dušu čovečiju.
0109060067	Ko prolije krv čovečiju, njegovu će krv proliti čovek; jer je Bog po svom obličju stvorio čoveka.
0109070055	Rađajte se dakle i množite se; narodite se veoma na zemlji i namnožite se na njoj.
0109080037	I reče Bog Noju i sinovima njegovim s njim, govoreći:
0109090043	A ja evo postavljam zavet svoj s vama i s vašim semenom nakon vas,
01090a00aa	i sa svim životinjama, što su s vama od ptica, od stoke i od svih zveri zemaljskih što su s vama, sa svačim što je izašlo iz kovčega, i sa svim zverima zemaljskim.
01090b007a	Postavljam zavet svoj s vama, te odsele neće nijedno telo poginuti od potopa, niti će više biti potopa da zatre zemlju.
01090c006c	I reče Bog: Evo znak zaveta koji postavljam između sebe i vas i svake žive tvari, koja je s vama do veka:
01090d004a	Metnuo sam dugu svoju u oblake, da bude znak zaveta između mene i zemlje.
01090e003d	Pa kad oblake navučem na zemlju, videće se duga u oblacima,
01090f0090	i opomenuću se zaveta svog koji je između mene i vas i svake duše žive u svakom telu, i neće više biti od vode potopa da zatre svako telo.
010910008f	Duga će biti u oblacima, pa ću je pogledati, i opomenuću se večnog zaveta između Boga i svake duše žive u svakom telu koje je na zemlji.
010911005a	I reče Bog Noju: To je znak zaveta koji sam učinio između sebe i svakog tela na zemlji.
010912005c	A behu sinovi Nojevi koji izađoše iz kovčega: Sim i Ham i Jafet; a Ham je otac Hanancima.
0109130036	To su tri sina Nojeva, i od njih se naseli sva zemlja.
010914002e	A Noje poče raditi zemlju, i posadi vinograd.
0109150037	I napiv se vina opi se, i otkri se nasred šatora svog.
0109160055	A Ham, otac Hanancima, vide golotinju oca svog, i kaza obojici braće svoje na polju.
01091700b3	A Sim i Jafet uzeše haljinu, i ogrnuše je obojica na ramena svoja, i idući natraške pokriše njom golotinju oca svog, licem natrag okrenuvši se da ne vide golotinje oca svog.
0109180043	A kad se Noje probudi od vina, dozna šta mu je učinio mlađi sin,
0109190043	i reče: Proklet da je Hanan, i da bude sluga slugama braće svoje!
01091a004b	I još reče: Blagosloven da je Gospod Bog Simov, i Hanan da mu bude sluga!
01091b004d	Bog da raširi Jafeta da živi u šatorima Simovim, a Hanan da im bude sluga!
01091c0032	I požive Noje posle potopa trista pedeset godina.
01091d003a	A svega požive Noje devet stotina pedeset godina; i umre.
010a01005c	A ovo su plemena sinova Nojevih, Sima, Hama i Jafeta, kojima se rodiše sinovi posle potopa.
010a020047	Sinovi Jafetovi: Gomer i Magog i Madaj i Javan i Tovel i Meseh i Tiras.
010a03002d	A sinovi Gomerovi: Ashenas i Rifat i Togarma.
010a040033	A sinovi Javanovi: Elisa i Tarsis, Kitim i Dodanim.
010a050078	Od njih se razdeliše ostrva narodna na zemljama svojim, svako po jeziku svom i po porodicama svojim, u narodima svojim.
010a06002c	A sinovi Hamovi: Hus i Mesrain, Fud i Hanan.
010a07005a	A sinovi Husovi: Sava i Avila i Savata i Regma i Savataka. A sinovi Regmini: Sava i Dedan.
010a080031	Hus rodi i Nevroda; a on prvi bi silan na zemlji;
010a090055	beše dobar lovac pred Gospodom; zato se kaže: Dobar lovac pred Gospodom kao Nevrod.
010a0a0052	A početak carstvu njegovom beše Vavilon i Oreh i Arhad i Halani u zemlji Senaru.
010a0b0041	Iz te zemlje izađe Asur, i sazida Nineviju i Rovot grad i Halah,
010a0c0034	i Dasem između Ninevije i Halaha; to je grad velik.
010a0d0035	A Mesrain rodi Ludeje i Enemeje i Laveje i Neftaleje,
010a0e003e	i Patroseje i Hasmeje, odakle izađoše Filisteji i Gaftoreji.
010a0f002a	A Hanan rodi Sidona, prvenca svog, i Heta,
010a100021	i Jevuseja i Amoreja i Gergeseja,
010a11001c	i Eveja i Arukeja i Aseneja,
010a120049	i Arvadeja i Samareja i Amateja. A posle se rasejaše plemena hananejska.
010a130075	I behu međe hananejske od Sidona idući na Gerar pa do Gaze, i idući na Sodom i Gomor i Adamu i Sevojim pa do Dasa.
010a140065	To su sinovi Hamovi po porodicama svojim i po jezicima svojim, u zemljama svojim i u narodima svojim.
010a150050	I Simu rodiše se sinovi, najstarijem bratu Jafetovom, ocu svih sinova Everovih.
010a160038	Sinovi Simovi behu: Elam i Asur i Arfaksad i Lud i Aram.
010a170028	A sinovi Aramovi: Uz i Ul i Gater i Mas.
010a180028	A Arfaksad rodi Salu, a Sala rodi Evera.
010a190078	A Everu se rodiše dva sina: jednom beše ime Falek, jer se u njegovo vreme razdeli zemlja, a bratu njegovom ime Jektan.
010a1a0033	A Jektan rodi Elmodada i Saleta i Sarmota i Jaraha,
010a1b0018	i Odora i Evila i Deklu,
010a1c001a	i Evala i Avimaila i Savu,
010a1d0037	i Ufira i Evilu i Jovava; ti svi behu sinovi Jektanovi.
010a1e003c	I življahu od Mase, kako se ide na Safir do gora istočnih.
010a1f0065	To su sinovi Simovi po porodicama svojim i po jezicima svojim, u zemljama svojim i u narodima svojim.
010a20007c	To su porodice sinova Nojevih po plemenima svojim, u narodima svojim; i od njih se razdeliše narodi po zemlji posle potopa.
010b010034	A beše na celoj zemlji jedan jezik i jednake reči.
010b020053	A kad otidoše od istoka, nađoše ravnicu u zemlji senarskoj, i naseliše se onde.
010b030084	Pa rekoše među sobom: Hajde da pravimo ploče i da ih u vatri pečemo. I behu im opeke mesto kamena i smola zemljana mesto kreča.
010b040082	Posle rekoše: Hajde da sazidamo grad i kulu, kojoj će vrh biti do neba, da stečemo sebi ime, da se ne bismo rasejali po zemlji.
010b050042	A Gospod siđe da vidi grad i kulu, što zidahu sinovi čovečiji.
