010000000c	בראשית
01020500b6	וכל שיח השדה טרם יהיה בארץ וכל עשב השדה טרם יצמח כי לא המטיר יהוה אלהים על הארץ ואדם אין לעבד את האדמה
0102060044	ואד יעלה מן הארץ והשקה את כל פני האדמה
010207008b	וייצר יהוה אלהים את האדם עפר מן האדמה ויפח באפיו נשמת חיים ויהי האדם לנפש חיה
010208005e	ויטע יהוה אלהים גן בעדן--מקדם וישם שם את האדם אשר יצר
01020900a1	ויצמח יהוה אלהים מן האדמה כל עץ נחמד למראה וטוב למאכל--ועץ החיים בתוך הגן ועץ הדעת טוב ורע
01020a0064	ונהר יצא מעדן להשקות את הגן ומשם יפרד והיה לארבעה ראשים
01020b005c	שם האחד פישון--הוא הסבב את כל ארץ החוילה אשר שם הזהב
01020c0043	וזהב הארץ ההוא טוב שם הבדלח ואבן השהם
01020d004e	ושם הנהר השני גיחון--הוא הסובב את כל ארץ כוש
01020e006d	ושם הנהר השלישי חדקל הוא ההלך קדמת אשור והנהר הרביעי הוא פרת
01020f005d	ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה
0102100056	ויצו יהוה אלהים על האדם לאמר מכל עץ הגן אכל תאכל
0102110068	ומעץ הדעת טוב ורע--לא תאכל ממנו כי ביום אכלך ממנו--מות תמות
0102120065	ויאמר יהוה אלהים לא טוב היות האדם לבדו אעשה לו עזר כנגדו
01021300d5	ויצר יהוה אלהים מן האדמה כל חית השדה ואת כל עוף השמים ויבא אל האדם לראות מה יקרא לו וכל אשר יקרא לו האדם נפש חיה הוא שמו
0102140086	ויקרא האדם שמות לכל הבהמה ולעוף השמים ולכל חית השדה ולאדם לא מצא עזר כנגדו
010215007c	ויפל יהוה אלהים תרדמה על האדם ויישן ויקח אחת מצלעתיו ויסגר בשר תחתנה
0102160068	ויבן יהוה אלהים את הצלע אשר לקח מן האדם לאשה ויבאה אל האדם
0102170080	ויאמר האדם זאת הפעם עצם מעצמי ובשר מבשרי לזאת יקרא אשה כי מאיש לקחה זאת
0102180062	על כן יעזב איש את אביו ואת אמו ודבק באשתו והיו לבשר אחד
010219004a	ויהיו שניהם ערומים האדם ואשתו ולא יתבששו
01030100ab	והנחש היה ערום מכל חית השדה אשר עשה יהוה אלהים ויאמר אל האשה אף כי אמר אלהים לא תאכלו מכל עץ הגן
010302003f	ותאמר האשה אל הנחש מפרי עץ הגן נאכל
0103030079	ומפרי העץ אשר בתוך הגן--אמר אלהים לא תאכלו ממנו ולא תגעו בו פן תמתון
0103040038	ויאמר הנחש אל האשה לא מות תמתון
0103050083	כי ידע אלהים כי ביום אכלכם ממנו ונפקחו עיניכם והייתם כאלהים ידעי טוב ורע
01030600bc	ותרא האשה כי טוב העץ למאכל וכי תאוה הוא לעינים ונחמד העץ להשכיל ותקח מפריו ותאכל ותתן גם לאישה עמה ויאכל
010307007a	ותפקחנה עיני שניהם וידעו כי עירמם הם ויתפרו עלה תאנה ויעשו להם חגרת
01030800a4	וישמעו את קול יהוה אלהים מתהלך בגן--לרוח היום ויתחבא האדם ואשתו מפני יהוה אלהים בתוך עץ הגן
0103090045	ויקרא יהוה אלהים אל האדם ויאמר לו איכה
01030a0055	ויאמר את קלך שמעתי בגן ואירא כי עירם אנכי ואחבא
01030b007a	ויאמר--מי הגיד לך כי עירם אתה המן העץ אשר צויתיך לבלתי אכל ממנו--אכלת
01030c005f	ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל
01030d006f	ויאמר יהוה אלהים לאשה מה זאת עשית ותאמר האשה הנחש השיאני ואכל
01030e00b8	ויאמר יהוה אלהים אל הנחש כי עשית זאת ארור אתה מכל הבהמה ומכל חית השדה על גחנך תלך ועפר תאכל כל ימי חייך
01030f0088	ואיבה אשית בינך ובין האשה ובין זרעך ובין זרעה הוא ישופך ראש ואתה תשופנו עקב
010310008e	אל האשה אמר הרבה ארבה עצבונך והרנך--בעצב תלדי בנים ואל אישך תשוקתך והוא ימשל בך
01031100cf	ולאדם אמר כי שמעת לקול אשתך ותאכל מן העץ אשר צויתיך לאמר לא תאכל ממנו--ארורה האדמה בעבורך בעצבון תאכלנה כל ימי חייך
0103120043	וקוץ ודרדר תצמיח לך ואכלת את עשב השדה
0103130080	בזעת אפיך תאכל לחם עד שובך אל האדמה כי ממנה לקחת כי עפר אתה ואל עפר תשוב
010314004c	ויקרא האדם שם אשתו חוה כי הוא היתה אם כל חי
0103150052	ויעש יהוה אלהים לאדם ולאשתו כתנות עור--וילבשם
01031600b3	ויאמר יהוה אלהים הן האדם היה כאחד ממנו לדעת טוב ורע ועתה פן ישלח ידו ולקח גם מעץ החיים ואכל וחי לעלם
010317005f	וישלחהו יהוה אלהים מגן עדן--לעבד את האדמה אשר לקח משם
0103180097	ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים
010401006f	והאדם ידע את חוה אשתו ותהר ותלד את קין ותאמר קניתי איש את יהוה
0104020069	ותסף ללדת את אחיו את הבל ויהי הבל רעה צאן וקין היה עבד אדמה
0104030051	ויהי מקץ ימים ויבא קין מפרי האדמה מנחה--ליהוה
0104040072	והבל הביא גם הוא מבכרות צאנו ומחלבהן וישע יהוה אל הבל ואל מנחתו
0104050058	ואל קין ואל מנחתו לא שעה ויחר לקין מאד ויפלו פניו
010406004d	ויאמר יהוה אל קין למה חרה לך ולמה נפלו פניך
010407007e	הלוא אם תיטיב שאת ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו
0104080079	ויאמר קין אל הבל אחיו ויהי בהיותם בשדה ויקם קין אל הבל אחיו ויהרגהו
0104090068	ויאמר יהוה אל קין אי הבל אחיך ויאמר לא ידעתי השמר אחי אנכי
01040a0051	ויאמר מה עשית קול דמי אחיך צעקים אלי מן האדמה
01040b006b	ועתה ארור אתה מן האדמה אשר פצתה את פיה לקחת את דמי אחיך מידך
01040c0058	כי תעבד את האדמה לא תסף תת כחה לך נע ונד תהיה בארץ
01040d003a	ויאמר קין אל יהוה גדול עוני מנשא
01040e0092	הן גרשת אתי היום מעל פני האדמה ומפניך אסתר והייתי נע ונד בארץ והיה כל מצאי יהרגני
01040f0091	ויאמר לו יהוה לכן כל הרג קין שבעתים יקם וישם יהוה לקין אות לבלתי הכות אתו כל מצאו
010410004c	ויצא קין מלפני יהוה וישב בארץ נוד קדמת עדן
0104110084	וידע קין את אשתו ותהר ותלד את חנוך ויהי בנה עיר ויקרא שם העיר כשם בנו חנוך
0104120091	ויולד לחנוך את עירד ועירד ילד את מחויאל ומחייאל ילד את מתושאל ומתושאל ילד את למך
0104130052	ויקח לו למך שתי נשים שם האחת עדה ושם השנית צלה
010414004a	ותלד עדה את יבל הוא היה--אבי ישב אהל ומקנה
010415004e	ושם אחיו יובל הוא היה--אבי כל תפש כנור ועוגב
010416007e	וצלה גם הוא ילדה את תובל קין--לטש כל חרש נחשת וברזל ואחות תובל קין נעמה
010417009b	ויאמר למך לנשיו עדה וצלה שמען קולי--נשי למך האזנה אמרתי כי איש הרגתי לפצעי וילד לחברתי
010418003e	כי שבעתים יקם קין ולמך שבעים ושבעה
010419009a	וידע אדם עוד את אשתו ותלד בן ותקרא את שמו שת כי שת לי אלהים זרע אחר--תחת הבל כי הרגו קין
01041a0067	ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם יהוה
0105010063	זה ספר תולדת אדם ביום ברא אלהים אדם בדמות אלהים עשה אתו
010502005e	זכר ונקבה בראם ויברך אתם ויקרא את שמם אדם ביום הבראם
0105030069	ויחי אדם שלשים ומאת שנה ויולד בדמותו כצלמו ויקרא את שמו שת
010504006e	ויהיו ימי אדם אחרי הולידו את שת שמנה מאת שנה ויולד בנים ובנות
010505005d	ויהיו כל ימי אדם אשר חי תשע מאות שנה ושלשים שנה וימת
0105060046	ויחי שת חמש שנים ומאת שנה ויולד את אנוש
010507007b	ויחי שת אחרי הולידו את אנוש שבע שנים ושמנה מאות שנה ויולד בנים ובנות
0105080056	ויהיו כל ימי שת שתים עשרה שנה ותשע מאות שנה וימת
010509003c	ויחי אנוש תשעים שנה ויולד את קינן
01050a0086	ויחי אנוש אחרי הולידו את קינן חמש עשרה שנה ושמנה מאות שנה ויולד בנים ובנות
01050b0051	ויהיו כל ימי אנוש חמש שנים ותשע מאות שנה וימת
01050c0040	ויחי קינן שבעים שנה ויולד את מהללאל
01050d0087	ויחי קינן אחרי הולידו את מהללאל ארבעים שנה ושמנה מאות שנה ויולד בנים ובנות
01050e0051	ויהיו כל ימי קינן עשר שנים ותשע מאות שנה וימת
01050f004e	ויחי מהללאל חמש שנים וששים שנה ויולד את ירד
0105100083	ויחי מהללאל אחרי הולידו את ירד שלשים שנה ושמנה מאות שנה ויולד בנים ובנות
0105110062	ויהיו כל ימי מהללאל חמש ותשעים שנה ושמנה מאות שנה וימת
0105120053	ויחי ירד שתים וששים שנה ומאת שנה ויולד את חנוך
010513006b	ויחי ירד אחרי הולידו את חנוך שמנה מאות שנה ויולד בנים ובנות
010514005a	ויהיו כל ימי ירד שתים וששים שנה ותשע מאות שנה וימת
0105150047	ויחי חנוך חמש וששים שנה ויולד את מתושלח
0105160085	ויתהלך חנוך את האלהים אחרי הולידו את מתושלח שלש מאות שנה ויולד בנים ובנות
010517004f	ויהי כל ימי חנוך חמש וששים שנה ושלש מאות שנה
0105180052	ויתהלך חנוך את האלהים ואיננו כי לקח אתו אלהים
0105190057	ויחי מתושלח שבע ושמנים שנה ומאת שנה ויולד את למך
01051a008e	ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות
01051b005e	ויהיו כל ימי מתושלח תשע וששים שנה ותשע מאות שנה וימת
01051c004c	ויחי למך שתים ושמנים שנה ומאת שנה ויולד בן
01051d0086	ויקרא את שמו נח לאמר זה ינחמנו ממעשנו ומעצבון ידינו מן האדמה אשר אררה יהוה
01051e0080	ויחי למך אחרי הולידו את נח חמש ותשעים שנה וחמש מאת שנה ויולד בנים ובנות
01051f0058	ויהי כל ימי למך שבע ושבעים שנה ושבע מאות שנה וימת
010520005b	ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת
0106010056	ויהי כי החל האדם לרב על פני האדמה ובנות ילדו להם
010602007a	ויראו בני האלהים את בנות האדם כי טבת הנה ויקחו להם נשים מכל אשר בחרו
0106030080	ויאמר יהוה לא ידון רוחי באדם לעלם בשגם הוא בשר והיו ימיו מאה ועשרים שנה
01060400c6	הנפלים היו בארץ בימים ההם וגם אחרי כן אשר יבאו בני האלהים אל בנות האדם וילדו להם המה הגברים אשר מעולם אנשי השם
010605006e	וירא יהוה כי רבה רעת האדם בארץ וכל יצר מחשבת לבו רק רע כל היום
010606004f	וינחם יהוה כי עשה את האדם בארץ ויתעצב אל לבו
01060700b1	ויאמר יהוה אמחה את האדם אשר בראתי מעל פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים כי נחמתי כי עשיתם
0106080026	ונח מצא חן בעיני יהוה
010609006b	אלה תולדת נח--נח איש צדיק תמים היה בדרתיו את האלהים התהלך נח
01060a0044	ויולד נח שלשה בנים--את שם את חם ואת יפת
01060b0044	ותשחת הארץ לפני האלהים ותמלא הארץ חמס
01060c006d	וירא אלהים את הארץ והנה נשחתה כי השחית כל בשר את דרכו על הארץ
01060d008d	ויאמר אלהים לנח קץ כל בשר בא לפני--כי מלאה הארץ חמס מפניהם והנני משחיתם את הארץ
01060e006f	עשה לך תבת עצי גפר קנים תעשה את התבה וכפרת אתה מבית ומחוץ בכפר
01060f007e	וזה אשר תעשה אתה שלש מאות אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה
010610008c	צהר תעשה לתבה ואל אמה תכלנה מלמעלה ופתח התבה בצדה תשים תחתים שנים ושלשים תעשה
01061100a2	ואני הנני מביא את המבול מים על הארץ לשחת כל בשר אשר בו רוח חיים מתחת השמים כל אשר בארץ יגוע
0106120071	והקמתי את בריתי אתך ובאת אל התבה--אתה ובניך ואשתך ונשי בניך אתך
0106130072	ומכל החי מכל בשר שנים מכל תביא אל התבה--להחית אתך זכר ונקבה יהיו
010614008a	מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו--שנים מכל יבאו אליך להחיות
0106150068	ואתה קח לך מכל מאכל אשר יאכל ואספת אליך והיה לך ולהם לאכלה
0106160041	ויעש נח ככל אשר צוה אתו אלהים--כן עשה
010701007d	ויאמר יהוה לנח בא אתה וכל ביתך אל התבה כי אתך ראיתי צדיק לפני בדור הזה
0107020099	מכל הבהמה הטהורה תקח לך שבעה שבעה--איש ואשתו ומן הבהמה אשר לא טהרה הוא שנים--איש ואשתו
0107030068	גם מעוף השמים שבעה שבעה זכר ונקבה לחיות זרע על פני כל הארץ
01070400ba	כי לימים עוד שבעה אנכי ממטיר על הארץ ארבעים יום וארבעים לילה ומחיתי את כל היקום אשר עשיתי מעל פני האדמה
010705002d	ויעש נח ככל אשר צוהו יהוה
0107060049	ונח בן שש מאות שנה והמבול היה מים על הארץ
0107070064	ויבא נח ובניו ואשתו ונשי בניו אתו--אל התבה מפני מי המבול
010708007f	מן הבהמה הטהורה ומן הבהמה אשר איננה טהרה ומן העוף--וכל אשר רמש על האדמה
0107090068	שנים שנים באו אל נח אל התבה--זכר ונקבה כאשר צוה אלהים את נח
01070a0045	ויהי לשבעת הימים ומי המבול היו על הארץ
01070b00bc	בשנת שש מאות שנה לחיי נח בחדש השני בשבעה עשר יום לחדש--ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו
01070c004b	ויהי הגשם על הארץ ארבעים יום וארבעים לילה
01070d0084	בעצם היום הזה בא נח ושם וחם ויפת בני נח ואשת נח ושלשת נשי בניו אתם--אל התבה
01070e00a9	המה וכל החיה למינה וכל הבהמה למינה וכל הרמש הרמש על הארץ למינהו וכל העוף למינהו כל צפור כל כנף
01070f0060	ויבאו אל נח אל התבה שנים שנים מכל הבשר אשר בו רוח חיים
0107100072	והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו
010711007b	ויהי המבול ארבעים יום על הארץ וירבו המים וישאו את התבה ותרם מעל הארץ
010712005c	ויגברו המים וירבו מאד על הארץ ותלך התבה על פני המים
0107130076	והמים גברו מאד מאד--על הארץ ויכסו כל ההרים הגבהים אשר תחת כל השמים
010714004b	חמש עשרה אמה מלמעלה גברו המים ויכסו ההרים
0107150088	ויגוע כל בשר הרמש על הארץ בעוף ובבהמה ובחיה ובכל השרץ השרץ על הארץ--וכל האדם
0107160050	כל אשר נשמת רוח חיים באפיו מכל אשר בחרבה--מתו
01071700be	וימח את כל היקום אשר על פני האדמה מאדם עד בהמה עד רמש ועד עוף השמים וימחו מן הארץ וישאר אך נח ואשר אתו בתבה
010718003e	ויגברו המים על הארץ חמשים ומאת יום
01080100a1	ויזכר אלהים את נח ואת כל החיה ואת כל הבהמה אשר אתו בתבה ויעבר אלהים רוח על הארץ וישכו המים
010802005a	ויסכרו מעינת תהום וארבת השמים ויכלא הגשם מן השמים
0108030070	וישבו המים מעל הארץ הלוך ושוב ויחסרו המים--מקצה חמשים ומאת יום
010804005e	ותנח התבה בחדש השביעי בשבעה עשר יום לחדש על הרי אררט
010805007c	והמים היו הלוך וחסור עד החדש העשירי בעשירי באחד לחדש נראו ראשי ההרים
0108060058	ויהי מקץ ארבעים יום ויפתח נח את חלון התבה אשר עשה
010807005a	וישלח את הערב ויצא יצוא ושוב עד יבשת המים מעל הארץ
010808005a	וישלח את היונה מאתו--לראות הקלו המים מעל פני האדמה
01080900be	ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה--כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה
01080a005a	ויחל עוד שבעת ימים אחרים ויסף שלח את היונה מן התבה
01080b0084	ותבא אליו היונה לעת ערב והנה עלה זית טרף בפיה וידע נח כי קלו המים מעל הארץ
01080c0070	וייחל עוד שבעת ימים אחרים וישלח את היונה ולא יספה שוב אליו עוד
01080d00bb	ויהי באחת ושש מאות שנה בראשון באחד לחדש חרבו המים מעל הארץ ויסר נח את מכסה התבה וירא והנה חרבו פני האדמה
01080e004e	ובחדש השני בשבעה ועשרים יום לחדש--יבשה הארץ
01080f0028	וידבר אלהים אל נח לאמר
0108100049	צא מן התבה--אתה ואשתך ובניך ונשי בניך אתך
01081100b8	כל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ--הוצא (היצא) אתך ושרצו בארץ ופרו ורבו על הארץ
010812003c	ויצא נח ובניו ואשתו ונשי בניו אתו
0108130072	כל החיה כל הרמש וכל העוף כל רומש על הארץ--למשפחתיהם יצאו מן התבה
010814007f	ויבן נח מזבח ליהוה ויקח מכל הבהמה הטהרה ומכל העוף הטהור ויעל עלת במזבח
01081500f7	וירח יהוה את ריח הניחח ויאמר יהוה אל לבו לא אסף לקלל עוד את האדמה בעבור האדם כי יצר לב האדם רע מנעריו ולא אסף עוד להכות את כל חי כאשר עשיתי
0108160070	עד כל ימי הארץ זרע וקציר וקר וחם וקיץ וחרף ויום ולילה--לא ישבתו
010901006a	ויברך אלהים את נח ואת בניו ויאמר להם פרו ורבו ומלאו את הארץ
01090200a7	ומוראכם וחתכם יהיה על כל חית הארץ ועל כל עוף השמים בכל אשר תרמש האדמה ובכל דגי הים בידכם נתנו
0109030063	כל רמש אשר הוא חי לכם יהיה לאכלה כירק עשב נתתי לכם את כל
010904002d	אך בשר בנפשו דמו לא תאכלו
0109050096	ואך את דמכם לנפשתיכם אדרש מיד כל חיה אדרשנו ומיד האדם מיד איש אחיו--אדרש את נפש האדם
010906005b	שפך דם האדם באדם דמו ישפך כי בצלם אלהים עשה את האדם
0109070038	ואתם פרו ורבו שרצו בארץ ורבו בה
010908003f	ויאמר אלהים אל נח ואל בניו אתו לאמר
0109090052	ואני הנני מקים את בריתי אתכם ואת זרעכם אחריכם
01090a0091	ואת כל נפש החיה אשר אתכם בעוף בבהמה ובכל חית הארץ אתכם מכל יצאי התבה לכל חית הארץ
01090b008c	והקמתי את בריתי אתכם ולא יכרת כל בשר עוד ממי המבול ולא יהיה עוד מבול לשחת הארץ
01090c009a	ויאמר אלהים זאת אות הברית אשר אני נתן ביני וביניכם ובין כל נפש חיה אשר אתכם--לדרת עולם
01090d0057	את קשתי נתתי בענן והיתה לאות ברית ביני ובין הארץ
01090e0047	והיה בענני ענן על הארץ ונראתה הקשת בענן
01090f00a5	וזכרתי את בריתי אשר ביני וביניכם ובין כל נפש חיה בכל בשר ולא יהיה עוד המים למבול לשחת כל בשר
0109100097	והיתה הקשת בענן וראיתיה לזכר ברית עולם בין אלהים ובין כל נפש חיה בכל בשר אשר על הארץ
010911007d	ויאמר אלהים אל נח זאת אות הברית אשר הקמתי ביני ובין כל בשר אשר על הארץ
0109120065	ויהיו בני נח היצאים מן התבה--שם וחם ויפת וחם הוא אבי כנען
010913003d	שלשה אלה בני נח ומאלה נפצה כל הארץ
010914002f	ויחל נח איש האדמה ויטע כרם
010915003e	וישת מן היין וישכר ויתגל בתוך אהלה
0109160058	וירא חם אבי כנען את ערות אביו ויגד לשני אחיו בחוץ
01091700c2	ויקח שם ויפת את השמלה וישימו על שכם שניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו
010918004b	וייקץ נח מיינו וידע את אשר עשה לו בנו הקטן
0109190042	ויאמר ארור כנען עבד עבדים יהיה לאחיו
01091a004a	ויאמר ברוך יהוה אלהי שם ויהי כנען עבד למו
01091b0055	יפת אלהים ליפת וישכן באהלי שם ויהי כנען עבד למו
01091c004a	ויחי נח אחר המבול שלש מאות שנה וחמשים שנה
01091d004f	ויהיו כל ימי נח תשע מאות שנה וחמשים שנה וימת
010a010061	ואלה תולדת בני נח שם חם ויפת ויולדו להם בנים אחר המבול
010a02004f	בני יפת--גמר ומגוג ומדי ויון ותבל ומשך ותירס
010a030033	ובני גמר--אשכנז וריפת ותגרמה
010a04003d	ובני יון אלישה ותרשיש כתים ודדנים
010a050061	מאלה נפרדו איי הגוים בארצתם איש ללשנו--למשפחתם בגויהם
010a060036	ובני חם--כוש ומצרים ופוט וכנען
010a070069	ובני כוש--סבא וחוילה וסבתה ורעמה וסבתכא ובני רעמה שבא ודדן
010a080046	וכוש ילד את נמרד הוא החל להיות גבר בארץ
010a09006d	הוא היה גבר ציד לפני יהוה על כן יאמר כנמרד גבור ציד לפני יהוה
010a0a0056	ותהי ראשית ממלכתו בבל וארך ואכד וכלנה בארץ שנער
010a0b0064	מן הארץ ההוא יצא אשור ויבן את נינוה ואת רחבת עיר ואת כלח
010a0c004b	ואת רסן בין נינוה ובין כלח--הוא העיר הגדלה
010a0d005c	ומצרים ילד את לודים ואת ענמים ואת להבים--ואת נפתחים
010a0e0060	ואת פתרסים ואת כסלחים אשר יצאו משם פלשתים--ואת כפתרים
010a0f0035	וכנען ילד את צידן בכרו--ואת חת
010a100039	ואת היבוסי ואת האמרי ואת הגרגשי
010a110033	ואת החוי ואת הערקי ואת הסיני
010a120063	ואת הארודי ואת הצמרי ואת החמתי ואחר נפצו משפחות הכנעני
010a130088	ויהי גבול הכנעני מצידן--באכה גררה עד עזה באכה סדמה ועמרה ואדמה וצבים--עד לשע
010a140048	אלה בני חם למשפחתם ללשנתם בארצתם בגויהם
010a15004f	ולשם ילד גם הוא אבי כל בני עבר--אחי יפת הגדול
010a160040	בני שם עילם ואשור וארפכשד ולוד וארם
010a170030	ובני ארם--עוץ וחול וגתר ומש
010a18003d	וארפכשד ילד את שלח ושלח ילד את עבר
010a190073	ולעבר ילד שני בנים שם האחד פלג כי בימיו נפלגה הארץ ושם אחיו יקטן
010a1a0053	ויקטן ילד את אלמודד ואת שלף ואת חצרמות ואת ירח
010a1b0031	ואת הדורם ואת אוזל ואת דקלה
010a1c0031	ואת עובל ואת אבימאל ואת שבא
010a1d004d	ואת אופר ואת חוילה ואת יובב כל אלה בני יקטן
010a1e003c	ויהי מושבם ממשא באכה ספרה הר הקדם
010a1f0048	אלה בני שם למשפחתם ללשנתם בארצתם לגויהם
010a200076	אלה משפחת בני נח לתולדתם בגויהם ומאלה נפרדו הגוים בארץ--אחר המבול
010b01003c	ויהי כל הארץ שפה אחת ודברים אחדים
010b020054	ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם
010b03009c	ויאמרו איש אל רעהו הבה נלבנה לבנים ונשרפה לשרפה ותהי להם הלבנה לאבן והחמר היה להם לחמר
010b04008a	ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם פן נפוץ על פני כל הארץ
010b050058	וירד יהוה לראת את העיר ואת המגדל אשר בנו בני האדם
010b060096	ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה לא יבצר מהם כל אשר יזמו לעשות
010b070057	הבה נרדה ונבלה שם שפתם--אשר לא ישמעו איש שפת רעהו
010b080058	ויפץ יהוה אתם משם על פני כל הארץ ויחדלו לבנת העיר
010b090084	על כן קרא שמה בבל כי שם בלל יהוה שפת כל הארץ ומשם הפיצם יהוה על פני כל הארץ
010b0a0069	אלה תולדת שם--שם בן מאת שנה ויולד את ארפכשד שנתים אחר המבול
010b0b006b	ויחי שם אחרי הולידו את ארפכשד חמש מאות שנה ויולד בנים ובנות
010b0c0045	וארפכשד חי חמש ושלשים שנה ויולד את שלח
010b0d0081	ויחי ארפכשד אחרי הולידו את שלח שלש שנים וארבע מאות שנה ויולד בנים ובנות
010b0e0036	ושלח חי שלשים שנה ויולד את עבר
010b0f007b	ויחי שלח אחרי הולידו את עבר שלש שנים וארבע מאות שנה ויולד בנים ובנות
010b100043	ויחי עבר ארבע ושלשים שנה ויולד את פלג
010b11007d	ויחי עבר אחרי הולידו את פלג שלשים שנה וארבע מאות שנה ויולד בנים ובנות
010b120038	ויחי פלג שלשים שנה ויולד את רעו
010b130074	ויחי פלג אחרי הולידו את רעו תשע שנים ומאתים שנה ויולד בנים ובנות
