010000000b	Bhaa-bhaana
01011a011b	Afirimanimo Aulataʼala, "Maimo, Ingkami bhetapamembalia maanusia mboomo sandarana karomami tee mboomo gambarana Karomami. Maanusia bheakokuasa to manga ikane i tawo tee manu-manu i laiana, to binata kadhambaaka, to bhari-bharia alamu, tee to bhari-bharia binata mopondelena i tana."
01011b00a8	Sumaimo Aulataʼala apadhaangia maanusia sumai mboomo sandarana karona, mboomo sandarana Aulataʼala apadhaangia manga incia, Apadhaangia manga incia umane tee bhawine.
01011c0101	Aulataʼala abarakatimo manga incia tee afirimani i manga incia, "Koana-anamo koopu-opuamo tee ahandamo kabharina. Pabukemea alamu tee mangantaloakea siitu. Kokuasamo to manga ikane i tawo tee manu-manu i laiana, tee bhari-bharia binata mopondelena i tana."
01011d00cc	Afirimanimo Aulataʼala, "Kamatea, Iaku kudhawuaka ingkomiu bhari-bharia penembula mokoompolena modhaangiana bhari-bharia i alamu tee bhari-bharia puu mokobhakena akobhatu. Siitumo bheamembali kinandemiu.
01011e00e0	Sainamo to manga sagala binata momailana i alamu, tee sagala manu-manu i laiana, tee sagala binata mopondelena i tana, -- bhari-bharia mokoinyawana kudhawuakea sagala penembula maijo to kinandena." Tee amembalimo mboo sumai.
01011f009d	Kasiimpo, Aulataʼala akamatea sagala giu ipamembalina, ande bhari-bharia sumai amalape mpuu. Amembalimo konowia tee amembalimo saeona, siitumo eo nama eona.
010201003a	Mboomo sumai apamondoa laiana tee alamu tee sagala antona.
010202008d	I eo pitu eona Aulataʼala padhamo apamondo karajaana ipewauna, tee aponiuntomo Incia i eo pitu eona minaaka i bhari-bharia karajaa ipewauna.
01020300b7	Kasiimpomo, Aulataʼala abarakatimo eo pitu eona sumai tee apekangkilomea, roonamo i eo incia sumaimo Aulataʼala aponiuntomo minaaka i sagala karajaana to apadhaangia dunia ipewauna.
0102040082	Mboomo sumai tulatulana wakutuuna laiana tee alamu apadhaangiaia. Wakutuuna KAWASANA OPU Aulataʼala apadhaangia laiana tee alamu,
01020500d4	bhari-bharia rumpu indapo dhaangia i dunia tee bhari-bharia penembula i tana uka indapo atuwu roonamo KAWASANA OPU Aulataʼala indapo apasapo wao i bhawona dunia tee indapo dhaangia mia to mokarajaana tana sumai.
010206004b	Maka dhaangia o alo apene minaaka i alamu abhaho bhari-bharia bhawona tana.
01020700c6	Wakutuu incia sumai KAWASANA OPU Aulataʼala apadhaangia maanusia minaaka i ngawuna tana tee apoinunca tee ngalu modhadhiakana i nuncana angona. Sumaimo, maanusia sumai amembali mahaluku mokoinyawa.
0102080089	Kasiimpo, KAWASANA OPU Aulataʼala, apewau saangu inawu i Eden, weta i timbu. Iwe sumaimo Incia apamboorea maanusia padha ipewauna sumai.
01020900fc	Kasiimpo, minaaka i tana, KAWASANA OPU Aulataʼala apatuwu manga giuna puuna kau momakesana kamataana tee momalapena motokandena bhakena, tee uka o puuna kau idhadhiaka i tanga-tangana inawu sumai, tee puuna kau imatauaka to momalapena tee momadhakina.
01020a0093	Minaaka i Eden asiwulu saangu umala to apakouweaka inawu sumai, kasiimpomo minaaka i tampa incia sumai umala apogaa amembali pata solo anana umala.
01020b006f	Sarona umala mobhaa-bhaana Pison. Umala incia sii asiwulu atipua saangua Tana Hawila, tampana bulawa adhaangia.
01020c0075	Bulawa minaaka i tana sumai amalape hasilina. Iwe sumai uka dhaangia garu mawondu tee tundu maali o sarona krisopras.
01020d0055	Sarona umala rua anguna sumai Gihon. Umala incia sii asiwulu atipua saangua Tana Kus.
01020e0075	Sarona umala talu anguna sumai Tigris. Umala incia sii asiwulu i sawetana timbu Asyur. Umala pata anguna sumai Efrat.
01020f0081	KAWASANA OPU Aulataʼala, aalamo maanusia sumai tee apamboorea i nuncana Inawu Eden to mokarajaana tee modhambaakana inawu sumai.
01021000a0	Kasiimpomo KAWASANA OPU Aulataʼala adhawumo parinta i maanusia sumai, firimanina, "Bhake minaaka bhari-bharia puu i nuncana inawu sii membali ukandea saincamu,
010211008c	maka bhake minaaka i puu imatauaka to momalapena tee momadhakina siitu bholi ukandea roonamo, i eona ingkoo ukandea, ingkoo dhaanamo umate."
01021200ae	Kasiimpomo KAWASANA OPU Aulataʼala afirimani, "Inda malape, maanusia sumai soo samia-miana. Iaku gauku bhekupamembalia samia motulungina incia, mococona tee maanusia sumai."
0102130120	Sumaimo KAWASANA OPU Aulataʼala apewau minaaka i tana sagala binata i koo tee sagala manu-manu i antara, aumbaakea bhari-bharia sumai i maanusia to akamata tuaapa maanusia sumai asarongiakea. Opea uka saro idhawuakana maanusia sumai i manga mahaluku modhadhi, siitumo momembalina sarona.
01021400c6	Kasiimpomo maanusia sumai asarongiakea sagala kadhambaakana, manu-manu i antara, tee sagala binata i koo. Maka to karona samia maanusia sumai inda apotibhaaka samia motulungia mopokanana tee karona.
01021500c7	Sumaimo KAWASANA OPU Aulataʼala apewau maanusia sumai atokole mpuu. Tangasaana incia akole, KAWASANA OPU Aulataʼala aalamo saangu bukuna kara-karana kasiimpomo atutubhia tampa incia sumai tee dagi.
0102160093	Minaaka i bukuna kara-karana ialana minaaka i maanusia sumai, KAWASANA OPU Aulataʼala, apamodele samia bhawine, kasiimpo abhawea i maanusia sumai.
010217009c	Apogaumo maanusia sumai, "Sii incia, bukuna minaaka i bukuku, dagina minaaka i dagiku. Incia bheasarongiakea bhawine, sababuna incia aalea minaaka i umane."
010218008a	Rampaakanamo sumai, samia umane bheabholi amana tee inana to adhadhi apobhawa-bhawa tee bhawinena, sabutuna rua-rua miaia amembali saangu.
0102190059	Maanusia tee bhawinena sumai rua-rua miaia akalealea, maka manga incia inda anamisi kaea.
0103010100	O ulo satotuuna binata mokoʼakalana minaaka i sagala binata momaila ipamembalina KAWASANA OPU Aulataʼala. Saangu wakutuu aabhakimo o ulo i bhawine sumai, "Atotuu Aulataʼala afirimani, 'Bholi ukandea bhake minaaka i puu opea uka i nuncana i inawu sii?' "
0103020072	Apogaumo bhawine sumai i ulo sumai, "Bhake minaaka i manga puuna kau i nuncana inawu sii membali ingkami takandea,
010303009d	maka to bhake minaaka i puuna i tanga-tangana inawu sii, Aulataʼala afirimani, 'Bholi ingkomiu ukande bhake sumai tee bholi ingkomiu udhingkua, ara umate.'"
0103040054	Kasiimpo apogaumo o ulo sumai i bhawine sumai, "Ingkomiu inda sampeampearo bheumate.
01030500a7	Roonamo, Aulataʼala amataua ande i eo ingkomiu ukandeakea matamiu bheatobungkale, tee ingkomiu bheumembali mboomo Aulataʼala, umataua to momalapena tee momadhakina."
0103060113	Bhawine sumai akamata ande bhakena puu sumai amalape to atokande tee amakesa kamataana. Tee uka, puu sumai amakesa roonamo aumbaaka akala malape. Sumaimo, aalamea bhake sumai kasiimpo akandea. Sapadhana sumai adhawuakamea uka i umanena mopobhawana, tee umanena uka akandemea.
01030700af	Sanampuu, atobungkalemo matana rua mbalia tee manga incia amataua ande akalealea. Kasiimpomo manga incia atapi-tapi manga tawana puuna ara to apamembalia katutubhina auratina.
01030800e6	Kasiimpo manga incia arango ande KAWASANA OPU Aulataʼala alingka i inawu i wakutuuna ngaluna konowia, maka maanusia tee bhawinena sumai abuniakamo karona minaaka i aroana KAWASANA OPU, i tanga-tangana manga puuna i nuncana inawu.
0103090052	Maka KAWASANA OPU Aulataʼala agoraaka maanusia sumai tee aabhamo, "Iapai ingkoo?"
01030a007a	Lawanina, "Wakutuuna iaku kurango suaramu i nuncana inawu sii, kumembali kumaeka roonamo kukalealea. Sababuna itu, kuopo."
01030b007b	Firimanina, "Incema mopaumbako ande ukalealea? Mboona ukande bhake minaaka i puu mopadhana iparintangiakaku bholi ukandea?"
01030c007d	Alawanimo maanusia sumai, "Bhawine idhikamu i saripiku, inciamo modhawuakaaku bhakena minaaka i puuna kau, sumaimo kukandea."
01030d00a5	Kasiimpomo KAWASANA OPU Aulataʼala aabhamo i bhawine sumai, "Opea ipewaumu sii?" Lawanimo bhawine sumai, "O ulo sumai mogau-gauaku, sumaimo kukandemea bhake sumai."
01030e00ee	Sabutuna, afirimanimo KAWASANA OPU Aulataʼala i ulo sumai, "Roonamo ingkoo upewau mboo sumai, kutundako molabhina sagala kadhambaaka tee binata maila. Ingkoo bheupondele tee kompomu, tee ingkoo bheukande ngawuna tana saʼumurua dhadhimu.
01030f00b6	Iaku bhekupadhaangia pomusuia i tanga-tangana ingkoo tee bhawine sii, i tanga-tangana siwulumu tee siwuluna. Siwuluna bheapahancurua bhaamu, tee ingkoo bheapekambelaia korontunguna."
01031000e5	Firimanina i bhawine sumai, "Iaku bhekupekabharia kanarakaamu i wakutuuna ubhawa-bhawa, tee karasaimu ingkoo bheupalaahiriaka anaana. Moomini mboo sumai, ingkoo bheusadia gaumu to umanemu, tee incia bheakokuasa i bhawona ingkoo."
0103110100	Kasiimpomo firimanina i Adamu, "Roonamo uperangoia pogauna bhawinemu tee ukande bhake minaaka puu mopadhana iparintangiakaku i ingkoo, 'Bholi ukandea,' sumaimo atotundamo tana roonamo ingkoo. Tee umarasaiakea ingkoo bheukande hasilina, saʼumurua dhadhimu.
010312006b	Tana bheatuwuaka rumpu mokorui tee kau mokorui to karomu, tee manga penembula i tana bheamembali kinandemu.
01031300c0	Tee umarasaiakea ingkoo bheupeelo kinandemu sampe ingkoo umbuli pendua umembali tana, roonamo minaaka iwe siitu ingkoo aalako. Sababuna ingkoo satotuuna o ngawu, tee bheupendua membali ngawu."
0103140062	Maanusia sumai asarongiakea bhawinena Hawa sababuna inciamo inana minaaka bhari-bharia modhadhina.
0103150086	KAWASANA OPU Aulataʼala akarajaa pakea minaaka i kulina binata to maanusia tee bhawinena sumai, kasiimpomo apapakeakea i manga incia.
0103160136	Kasiimpomo afirimanimo KAWASANA OPU Aulataʼala, "Satotuuna maanusia sumai padhamo amembali mboomo sala saangu minaaka Ingkami, momatauna kalape tee kadhaki. Rampaakanamo sumai, bholi ara incia apaulu limana tee aalea uka bhakena puuna idhadhiaka sumai kasiimpomo akandemea, saanampuu incia dhadhi saʼumurua."
010317007a	Sababuna sumai KAWASANA OPU Aulataʼala atumpua alimba minaaka i Inawuna Eden to akarajaa tana, tampa asalana incia aalea.
01031800ef	Incia awulu maanusia sumai alimba, kasiimpomo i wetana timbu i Inawuna Eden tee adhikaakea rua mia malaaʼekatina kerub tee samata hancu mokarore-rorena tee mopekapatiina i sagala rope to mojaganina dhala moporopena i puu idhadhiaka sumai.
01040100ce	Sapadhana incia sumai, Adamu aposaangu tee Hawa, bhawinena, kasiimpomo abhawa-bhawamo bhawine sumai, tee akoanaakamo Kabil. Hawa apogau, "Iaku padhamo kupotibhaaka anana umane tee katulungina KAWASANA OPU."
0104020096	Sapadhana incia sumai, incia akoanaakamo uka Habil, andina Kabil. Habil amembali samia mojaganina dumba tee bhembe, maka Kabil amembali pande poinawu.
0104030054	Sapadhana pia-pia wakutuu, Kabil abhawa hasilina tana to apasombaaka i KAWASANA OPU.
01040400a6	Habil uka abhawamo pia-pia mbaa anana tumpena minaaka i gulumana bhembe tee dumba tee apasombaaka weta momalapena. KAWASANA OPU asanaa i Habil tee opea ipasombaakana.
010405007c	Maka Incia inda atarima Kabil tee opea ipasombaakana. Kasiimpomo ngangarandana Kabil aʼamara mpuu tee rouna akamburu-mburu.
0104060058	Firimanimo KAWASANA OPU i Kabil, "Pokia ingkoo uʼamara, tee pokia roumu akamburu-mburu?
01040700ab	Ande ingkoo upewau malape, tantumo bheutotarima. Maka ande ingkoo inda upewau malape, dosa aantagiko i matana bhamba. Incia gauna akuasaiko, maka ingkoo tabeana ukuasaia."
01040800a3	Maka, Kabil apogau i Habil o andina, "Mai talingkaaka i inawu." Wakutuu manga incia dhaangia i inawu, sanampuu Kabil abhebhe Habil o andina, kasiimpomo apekamatea.
0104090087	Sabutuna, afirimanimo KAWASANA OPU i Kabil, "Iapaimo Habil, andimu?" Lawanina, "Iaku inda kumataua! Mboona iaku sii mojaganina andiku?"
01040a004c	Firimanina, "Opea padha ipewaumu? Raana andimu apekee i Iaku minaaka i tana!
01040b0070	Sabutuna sii-sii, kutundako tee kubhanakako maridho minaaka i tana motarimana raana andimu wakutuuna upekamatea.
01040c008a	Ande ukarajaa tana, tana sumai indamo bheadhawuko hasili. Ingkoo inda bheukombooresa tee bheumembali samia mopekalingka-lingkana i alamu."
01040d0060	Pogaumo Kabil i KAWASANA OPU, "Kahukumuku sumai atolabhi katamona minaaka momembalina itanggoku.
01040e00d5	Satotuuna, eo sii Ingkoo uwuluaku minaaka i tana sii, maridho minaaka i aroamu. Bhekumembali samia inda mokombooresana tee mopekalingka-lingkana i alamu. Incemapo uka mopokawana tee iaku dhaanamo bheapekamateaku."
01040f00fd	Firimanina KAWASANA OPU i incia, "Inda mboo sumai! Incema uka mopekamatena Kabil, bheabholosiakea to incia pitu kali lipa." Kasiimpomo KAWASANA OPU adhika saangu tanda i Kabil mamudhaakana incia inda apekamatea teemini manga incema mopokawana tee incia.
0104100072	Sabutuna, alingkamo Kabil minaaka i aroana KAWASANA OPU, kasiimpo amboore i Tana Nod, i sawetana timbu Inawu Eden.
01041100b2	Kabil aposaangu tee bhawinena, kasiimpo abhawa-bhawamo bhawine sumai, tee akoanaakamo Henokh. Kasiimpomo Kabil apabhangu saangu kota tee asarongiakea Henokh, mboomo sarona anana.
0104120073	Henokh akoanaakamo Irad, Irad akoanaakamo Mehuyael, Mehuyael akoanaakamo Metusael, tee Metusael akoanaakamo Lamekh.
010413003a	Lamekh apodhimbaakea rua mia bhawine, sarona Ada tee Zila.
0104140067	Ada akoanaakamo Yabal. Incia sumai opuana manga mia momboorena i nuncana kema tee modhambaakana binata.
0104150068	Sarona andina Yabal sumai Yubal. Incia sumai opu-opuana bhari-bharia mia momagasiaakana kecapi tee suli.
01041600a9	Zila uka akoanaakamo anaana, sarona Tubal-Kain. Incia samia pande tutuki sagala parakakasi minaaka i tambaga tee ase. Andina Tubal-Kain sumai samia bhawine sarona Naama.
01041700f6	Apogaumo Lamekh i rua mia bhawinena, "Ada tee Zila, rangopea ipogauakaku; E manga bhawinena Lamekh, tilikia ibhoasakaku. Iaku padhamo kupekamate samia umane roonamo incia apekambelaaku, samia anana mangura roonamo incia abhebheaku sampe amaranda.
0104180056	Ande Kabil tabeana atobholosiaka pitu kali lipa, sumaimo Lamekh tabeana 77 kali lipa."
01041900ec	Adamu aposaangumo uka tee bhawinena, kasiimpomo bhawine sumai akoanaakamo samia anaana umane tee asarongiakea Set, sababuna onina, "Aulataʼala padhamo adhawuaka to iaku siwuluna to kabholosina Habil, sababuna Kabil padhamo apekamatea."
01041a009e	Kasiimpomo to Set uka apalaahirimo samia anaana umane tee incia asarongiakea Enos. I wakutuu incia sumai mia apepuumo adoʼa tee agoraaka sarona KAWASANA OPU.
010501007e	Siimo tulatulana siwuluna Adamu. I wakutuuna Aulataʼala apadhaangia maanusia, Incia apamembalia mboomo gambarana Aulataʼala.
0105020081	Umane tee bhawine, apadhaangiaia manga. Incia abarakatia manga tee asarongiakea "Maanusia" i wakutuuna manga incia apadhaangiaia.
0105030090	Sapadhana Adamu akoʼumuru 130 tao, alaahirimo to incia anana mboomo gambarana karona tee mboomo sandarana karona. Asarongiakea anana sumai Set.
0105040062	Sapadhana Adamu akoanaaka Set, adhadhi 800 tao tee akoanaakamo uka manga anaana umane tee bhawine.
0105050030	Adamu akawamo umuruna 930 tao, kasiimpomo amate.
0105060033	Sapadhana Set akoʼumuru 150 tao, akoanaakamo Enos.
010507005d	Sapadhana Set akoanaaka Enos, adhadhi 807 tao akoanaakamo uka manga anaana umane tee bhawine.
010508002e	Set akawamo umuruna 912 tao, kasiimpomo amate.
010509003c	Sapadhana Enos akoʼumuru 90 tao, alaahirimo Kenan to incia.
01050a0059	Sapadhana Enos akoanaaka Kenan, adhadhi 815 tao akoanaakamo uka anaana umane tee bhawine.
01050b002f	Enos akawamo umuruna 905 tao, kasiimpomo amate.
01050c0042	Sapadhana Kenan akoʼumuru 70 tao, alaahirimo Mahalaleel to incia.
01050d005f	Sapadhana Kenan akoanaaka Mahalaleel, adhadhi 840 tao akoanaakamo uka anaana umane tee bhawine.
01050e0030	Kenan akawamo umuruna 910 tao, kasiimpomo amate.
01050f0042	Sapadhana Mahalaleel akoʼumuru 65 tao, alaahirimo Yared to incia.
010510005f	Sapadhana Mahalaleel akoanaaka Yared, adhadhi 830 tao akoanaakamo uka anaana umane tee bhawine.
0105110035	Mahalaleel akawamo umuruna 895 tao, kasiimpomo amate.
010512003e	Sapadhana Yared akoʼumuru 162 tao, alaahirimo Idris to incia.
010513005a	Sapadhana Yared akoanaaka Idris, adhadhi 800 tao akoanaakamo uka anaana umane tee bhawine.
0105140030	Yared akawamo umuruna 962 tao, kasiimpomo amate.
0105150041	Sapadhana Idris akoʼumuru 65 tao, alaahirimo Metusalah to incia.
0105160097	Sapadhana Idris akoanaaka Metusalah, incia adhadhi amalape pokaiana tee Aulataʼala kangengena 300 tao, tee akoanaakamo manga anaana umane tee bhawine.
010517001e	Idris akawamo umuruna 365 tao.
010518006f	Idris adhadhi amalape pokaiana tee Aulataʼala, kasiimpomo incia indamo dhaangia roonamo Aulataʼala aangkamea.
0105190043	Sapadhana Metusalah akoʼumuru 187 tao, alaahirimo Lamekh to incia.
01051a005f	Sapadhana Metusalah akoanaaka Lamekh, adhadhi 782 tao akoanaakamo uka anaana umane tee bhawine.
01051b0034	Metusalah akawamo umuruna 969 tao, kasiimpomo amate.
01051c004b	Sapadhana Lamekh akoʼumuru 182 tao, alaahirimo to incia samia anana umane.
01051d00a5	Incia asarongiakea Nuh, kooni, "Anaana sii bheamangadhawu kalalesa i ingkita i nuncana karajaata tee kanguleana limata roonamo o tana padhamo itundana KAWASANA OPU."
01051e005f	Sapadhana Lamekh akoanaaka Nuh, adhadhi 595 tao akoanaakamo uka manga anaana umane tee bhawine.
01051f0031	Lamekh akawamo umuruna 777 tao, kasiimpomo amate.
010520004a	Sapadhana Nuh akoʼumuru 500 tao, alaahirimo Sem, Ham, tee Yafet to incia.
010601006f	Wakutuuna maanusia apepuu aranganimo kabharina i bhawona alamu, to manga incia alaahirimo manga anaana bhawine,
01060200ac	manga anana Aulataʼala akamatea ande manga anaana bhawine maanusia sumai amakesa mpuu. Kasiimpomo manga incia akawiakamea manga bhawine sumai, incemapo uka ipeeluna manga.
01060300b8	Kasiimpomo KAWASANA OPU afirimanimo, "Rohiku inda bheapobhawa tee maanusia satorosuna, roonamo maanusia sumai afanaa kadhaangiana. Apepuu sii-sii, umuruna manga inda akolabhi 120 tao."
010604015b	I zamani incia sumai dhaangia mia wakinamboro, asarongiakea mia Nefilim i alamu, tee uka i zamanina sapadhana, sumai wakutuu manga mahalukuna Aulataʼala aporomu tee anana bhawine maanusia tee manga bhawine sumai akoanaakamo anana to manga incia. O siimo manga mia momasegana tee pande poewangi i zamani momangengena, manga mia motomatauna sarona.
0106050085	KAWASANA OPU akamatamea ande kadhakina maanusia amaoge i alamu, tee ande sagala haejatina tee ngangarandana tangkanamo kadhaki sadia.
0106060081	Sumaimo, asosomo incana KAWASANA OPU roonamo Incia padhamo apamembali maanusia i alamu, tee hali incia sumai amandhawuaka incana.
01060700f0	Afirimanimo KAWASANA OPU, "Iaku bhekuhapusuakea maanusia padha ipadhaangiaku sumai minaaka i bhawona alamu -- maanusia, kadhadhi, binata mopondele, tee manu-manu i antara -- sababuna incaku asoso ande Iaku padhamo kupamembalia manga incia."
0106080036	Maka o Nuh apotibhaaka rahumati i matana KAWASANA OPU.
010609009b	Siimo tulatulana Nuh, samia mobanarana tee inda tee kabanciana i tanga-tangana manga mia i zamanina. Nuh adhadhi i nuncana pokaia momalape tee Aulataʼala.
01060a0034	Nuh akoanaakamo talu mia umane: Sem, Ham, tee Yafet.
01060b0056	Tangasaana sumai, alamu amadhakimo i aroana Aulataʼala tee abukeaka tee kakaana inca.
01060c0070	Aulataʼala atilikia alamu tee akamata tapanamo kadhakina, roonamo bhari-bharia maanusia dhadhina soomo kadhaki.
01060d00f2	Sabutuna, afirimanimo Aulataʼala i Nuh, "Iaku padhamo kubhotukiakea to kupaʼaahiria dhadhina sagala mahaluku, sababuna alamu sii abukeaka kakaana inca roonamo manga incia. Satotuuna, Iaku bhekupabinasea manga incia apobhawa-bhawa tee alamu.
01060e009f	Karajaamo to karomu bhangka maoge minaaka i kau gofir. Karajaamo bhangka sumai upeta-petaia tee lempesia tee mina tere, malape minaaka i nunca atawa i sambali.
01060f006e	Mboomo sii tabeana ukarajaaia bhangka sumai: 133 metere kaaratena, 22 metere kaewana, tee 13 metere kalangana.
0106100106	Karajaakea bhalona cahea i bhangka sumai tee upamondoa bhangka sumai sakawana satanga metere i labhangana bhawo tee rindina. Pasaakea bhambana i tanga-tanga i sambalina bhangka maoge sumai. Karajaaia bhangka maoge sumai akotingka-tingka: tambe, tanga, tee bhawo.
010611009f	Mataua, Iaku bhekuumbaaka uwena mawa i bhawona alamu to apabinasaaka sagala mahaluku mokoinyawana i kapeona laiana. Bhari-bharia modhaangiana i alamu bheamate.
0106120096	Maka, tee ingkoo Iaku bhekupatotapua pojanjiaku. Ingkoo tee manga anamu, bhawinemu, tee bhawinena manga anamu bheapesua i nuncana bhangka maoge sumai.
01061300a9	Minaaka i sagala mahaluku modhadhina, tabeana ubhawea i nuncana bhangka sapasa, umane tee bhawine, mamudhaakana manga incia sadhaadhaa adhadhi apobhawa-bhawa tee ingkoo.
01061400a4	Sapasa minaaka i sagala giu manu-manu, sagala giu kadhadhi, tee sagala giu binata mopondelena i alamu bheaumba i ingkoo mamudhaakana manga incia sadhaadhaa adhadhi.
0106150079	Ingkoo uka tabeana uromusakea sagala giu kinande tee udhikaia. Siitumo momembalina kinande to ingkomiu tee manga binata."
0106160060	Nuh akarajaaia bhari-bharia sumai iparintangiakana Aulataʼala i incia, mboomo sumai akarajaaia.
01070100e2	Sapadhana bhari-bharia apasiapuakea, KAWASANA OPU afirimanimo i Nuh, "Kompamo ingkoo tee saangua antona bhanuamu i nuncana bhangka maoge, roonamo ingkoomo ikamataku atotuu i aroaku i tanga-tangana manga mia i zamani incia sii.
010702008a	Minaaka i bhari-bharia binata mohalala aalamo pitu pasa, umane tee bhawine, sainamo minaaka i binata moharamu sapasa, o umane tee bhawine.
0107030093	Alamo uka minaaka i manu-manu i antara pitu pasa, umane tee bhawine, mamudhaakana siwuluna manga sadhaadhaana adhadhi i bhari-bharia bhawona alamu.
01070400a9	Roonamo pitu eopo uka Iaku bhekupasapo wao i bhawona alamu 40 eo 40 malo kangengena tee sagala mahaluku padha ipamembaliku sumai bhekuhapusuakea minaaka i bhawona alamu.
0107050048	Kasiimpomo Nuh akarajaamo sagala iparintangiakana KAWASANA OPU i karona.
0107060046	Nuh akoʼumurumo nama atu tao wakutuuna uwena mawa aumba atipua alamu,
01070700a8	tee to apasalaamatiaka karona minaaka i uwena mawa, Nuh apobhawa tee manga anana umane, bhawinena, tee manga ana maniana bhawine akompamo i nuncana bhangka maoge sumai.
010708005a	Minaaka i manga binata mohalalana tee moharamu, manu-manu, tee sagala mopondelena i alamu,
0107090073	sapasa-sapasa, umane tee bhawine, aumbamo i Nuh i nuncana bhangka maoge, mboomo iparintangiakana Aulataʼala i Nuh.
01070a0033	Sapadhana pitu eo, aumbamo uwena mawa atipua alamu.
01070b00ac	Wakutuuna Nuh akoʼumuru 600 tao, i bula rua mbulana, eo sapulu pitu eona, apidhimo bhari-bharia matana uwe i nuncana tana, tee manga bhambana uwe i laiana uka atobungkale.
01070c003b	Wao maranca asapo i bhawona alamu 40 eo 40 malo kangengena.
01070d009c	I eo incia sumai uka Nuh, tee Sem, Ham, tee Yafet, sumaimo manga anana Nuh, bhawinena tee talu mia ana maniana bhawine apesua i nuncana bhangka maoge sumai.
