0100000007	Genèse
01020d0051	Le nom du second fleuve est Guihon; c'est celui qui entoure tout le pays de Cush.
01020e0085	Le nom du troisième fleuve est Hiddékel; c'est celui qui coule à l'orient de l'Assyrie. Et le quatrième fleuve, c'est l'Euphrate.
01020f006a	L'Éternel Dieu prit donc l'homme et le plaça dans le jardin d'Éden, pour le cultiver et pour le garder.
0102100064	Et l'Éternel Dieu commanda à l'homme, en disant: Tu peux manger librement de tout arbre du jardin.
010211008d	Mais, quant à l'arbre de la connaissance du bien et du mal, tu n'en mangeras point; car au jour où tu en mangeras, certainement tu mourras.
0102120067	Et l'Éternel Dieu dit: Il n'est pas bon que l'homme soit seul; je lui ferai une aide semblable à lui.
01021300f1	Et l'Éternel Dieu forma de la terre tous les animaux des champs, et tous les oiseaux des cieux; et il les fit venir vers Adam, pour voir comment il les nommerait, et que tout nom qu'Adam donnerait à chacun des êtres vivants, fût son nom.
01021400a9	Et Adam donna des noms à toutes les bêtes, et aux oiseaux des cieux, et à tous les animaux des champs; mais, pour l'homme, il ne trouva point d'aide semblable à lui.
010215008a	Et l'Éternel Dieu fit tomber un profond sommeil sur Adam, qui s'endormit; et il prit une de ses côtes, et resserra la chair à sa place.
0102160063	Et l'Éternel Dieu forma une femme de la côte qu'il avait prise d'Adam, et la fit venir vers Adam.
01021700a6	Et Adam dit: Celle-ci enfin est os de mes os, et chair de ma chair. Celle-ci sera nommée femme (en hébreu Isha), car elle a été prise de l'homme (en hébreu Ish).
0102180071	C'est pourquoi l'homme laissera son père et sa mère, et s'attachera à sa femme, et ils seront une seule chair.
010219004c	Or Adam et sa femme étaient tous deux nus, et ils n'en avaient point honte.
01030100c0	Or, le serpent était le plus fin de tous les animaux des champs, que l'Éternel Dieu avait faits; et il dit à la femme: Quoi! Dieu aurait dit: Vous ne mangerez point de tout arbre du jardin!
010302004e	Et la femme répondit au serpent: Nous mangeons du fruit des arbres du jardin;
010303009b	Mais quant au fruit de l'arbre qui est au milieu du jardin, Dieu a dit: Vous n'en mangerez point, et vous n'y toucherez point, de peur que vous ne mouriez.
010304003c	Alors le serpent dit à la femme: Vous ne mourrez nullement;
0103050083	Mais Dieu sait qu'au jour où vous en mangerez, vos yeux s'ouvriront, et vous serez comme des dieux, connaissant le bien et le mal.
0103060104	Et la femme vit que le fruit de l'arbre était bon à manger, et qu'il était agréable à la vue, et que l'arbre était désirable pour devenir intelligent; et elle prit de son fruit et en mangea, et en donna aussi à son mari auprès d'elle, et il en mangea.
0103070091	Et les yeux de tous deux s'ouvrirent; et ils connurent qu'ils étaient nus; et ils cousirent des feuilles de figuier, et se firent des ceintures.
01030800c8	Et ils entendirent la voix de l'Éternel Dieu, qui se promenait dans le jardin, au vent du jour. Et Adam et sa femme se cachèrent de devant la face de l'Éternel Dieu, au milieu des arbres du jardin.
0103090036	Et l'Éternel Dieu appela Adam, et lui dit: Où es-tu?
01030a0071	Et il répondit: J'ai entendu ta voix dans le jardin, et j'ai craint, parce que je suis nu; et je me suis caché.
01030b006d	Et Dieu dit: Qui t'a montré que tu es nu? As-tu mangé de l'arbre dont je t'avais ordonné de ne pas manger?
01030c006d	Et Adam répondit: La femme que tu as mise auprès de moi, m'a donné du fruit de l'arbre, et j'en ai mangé.
01030d0080	Et l'Éternel Dieu dit à la femme: Pourquoi as-tu fait cela? Et la femme répondit: Le serpent m'a séduite, et j'en ai mangé.
01030e00e0	Alors l'Éternel Dieu dit au serpent: Puisque tu as fait cela, tu seras maudit entre toutes les bêtes et entre tous les animaux des champs; tu marcheras sur ton ventre, et tu mangeras la poussière tous les jours de ta vie.
01030f0096	Et je mettrai inimitié entre toi et la femme, entre ta postérité et sa postérité: celle-ci t'écrasera la tête, et toi tu la blesseras au talon.
01031000b0	Il dit à la femme: J'augmenterai beaucoup ta peine et ta grossesse; tu enfanteras des enfants avec douleur, et tes désirs se tourneront vers ton mari, et il dominera sur toi.
0103110105	Et il dit à Adam: Puisque tu as obéi à la voix de ta femme, et que tu as mangé de l'arbre au sujet duquel je t'avais donné cet ordre: Tu n'en mangeras point! le sol sera maudit à cause de toi; tu en mangeras les fruits avec peine tous les jours de ta vie.
0103120051	Et il te produira des épines et des chardons; et tu mangeras l'herbe des champs.
01031300ae	Tu mangeras le pain à la sueur de ton visage, jusqu'à ce que tu retournes dans la terre, d'où tu as été pris; car tu es poussière, et tu retourneras dans la poussière.
0103140054	Or, Adam appela sa femme, Eve (vie), parce qu'elle fut la mère de tous les vivants.
0103150054	Et l'Éternel Dieu fit à Adam et à sa femme des robes de peau, et les en revêtit.
01031600f4	Et l'Éternel Dieu dit: Voici, l'homme est devenu comme l'un de nous, pour la connaissance du bien et du mal. Et maintenant prenons garde qu'il n'avance sa main, et ne prenne aussi de l'arbre de vie, et qu'il n'en mange, et ne vive à toujours.
0103170065	Et l'Éternel Dieu le fit sortir du jardin d'Éden, pour cultiver la terre d'où il avait été pris.
010318009b	Il chassa donc l'homme; et il plaça à l'orient du jardin d'Éden les chérubins et la lame d'épée flamboyante, pour garder le chemin de l'arbre de vie.
010401008b	Or, Adam connut Eve sa femme, et elle conçut, et enfanta Caïn (acquisition), et elle dit: J'ai acquis un homme avec l'aide de l'Éternel.
0104020050	Elle enfanta encore son frère Abel; et Abel fut berger, et Caïn fut laboureur.
010403005d	Or, au bout de quelque temps, Caïn offrit des fruits de la terre une oblation à l'Éternel;
0104040089	Et Abel offrit, lui aussi, des premiers-nés de son troupeau, et de leurs graisses. Et l'Éternel eut égard à Abel, et à son oblation;
010405006d	Mais il n'eut point égard à Caïn, ni à son oblation; et Caïn fut fort irrité, et son visage fut abattu.
0104060059	Et l'Éternel dit à Caïn: Pourquoi es-tu irrité, et pourquoi ton visage est-il abattu?
01040700ba	Si tu fais bien, ne relèveras-tu pas ton visage? Mais, si tu ne fais pas bien, le péché est couché à la porte, et son désir est tourné vers toi; mais toi, tu dois dominer sur lui.
0104080077	Et Caïn parla à Abel, son frère. Et comme ils étaient aux champs, Caïn s'éleva contre Abel son frère, et le tua.
0104090078	Et l'Éternel dit à Caïn: Où est Abel ton frère? Et il répondit: Je ne sais; suis-je le gardien de mon frère, moi?
01040a005e	Et l'Éternel dit: Qu'as-tu fait? La voix du sang de ton frère crie de la terre jusqu'à moi.
01040b0071	Et maintenant tu seras maudit de la terre, qui a ouvert sa bouche pour recevoir de ta main le sang de ton frère.
01040c006a	Quand tu cultiveras la terre, elle ne te rendra plus son fruit; tu seras vagabond et fugitif sur la terre.
01040d004b	Et Caïn dit à l'Éternel: Ma peine est trop grande pour être supportée.
01040e00bb	Voici, tu m'as chassé aujourd'hui de cette terre, et je serai caché de devant ta face, et je serai vagabond et fugitif sur la terre; et il arrrivera que quiconque me trouvera, me tuera.
01040f00b4	Et l'Éternel lui dit: C'est pourquoi, si quelqu'un tue Caïn, Caïn sera vengé sept fois. Et l'Éternel mit à Caïn un signe, afin que quiconque le trouverait ne le tuât point.
010410005e	Alors Caïn sortit de devant l'Éternel, et habita au pays de Nod (exil), à l'orient d'Éden.
0104110080	Puis Caïn connut sa femme, qui conçut et enfanta Hénoc; or il construisit une ville, qu'il appela Hénoc, du nom de son fils.
010412007a	Puis Irad naquit à Hénoc, et Irad engendra Mehujaël, et Mehujaël engendra Methushaël, et Methushaël engendra Lémec.
0104130051	Et Lémec prit deux femmes: le nom de l'une était Ada, le nom de l'autre Tsilla.
0104140060	Et Ada enfanta Jabal; il fut père de ceux qui demeurent dans des tentes et près des troupeaux.
0104150067	Et le nom de son frère était Jubal; il fut père de tous ceux qui jouent de la harpe et du chalumeau.
0104160097	Et Tsilla, elle aussi, enfanta Tubal-Caïn, qui forgeait toute sorte d'instruments tranchants d'airain et de fer; et la sœur de Tubal-Caïn fut Naama.
01041700c1	Et Lémec dit à ses femmes: Ada et Tsilla, écoutez ma voix; femmes de Lémec, prêtez l'oreille à ma parole: Oui! j'ai tué un homme pour ma blessure, et un jeune homme pour ma meurtrissure.
0104180049	Car si Caïn est vengé sept fois, Lémec le sera soixante-dix-sept fois.
01041900a6	Et Adam connut encore sa femme; et elle enfanta un fils et l'appela Seth (remplaçant); car Dieu, dit-elle, m'a donné un autre fils au lieu d'Abel, que Caïn a tué.
01041a006c	Et un fils naquit aussi à Seth, et il l'appela Énosh. Alors on commença à invoquer le nom de l'Éternel.
010501006e	Voici le livre de la postérité d'Adam. Au jour où Dieu créa l'homme, il le fit à la ressemblance de Dieu.
010502006d	Il les créa mâle et femelle, et il les bénit, et leur donna le nom d'Homme, au jour qu'ils furent créés.
0105030079	Or, Adam vécut cent trente ans, et engendra un fils à sa ressemblance, selon son image, et il lui donna le nom de Seth.
0105040076	Et les jours d'Adam, après qu'il eut engendré Seth, furent de huit cents ans; et il engendra des fils et des filles.
010505004f	Tout le temps qu'Adam vécut, fut donc de neuf cent trente ans; puis il mourut.
010506002e	Seth vécut cent cinq ans, et engendra Énosh.
010507006d	Et Seth vécut, après qu'il eut engendré Énosh, huit cent sept ans; et il engendra des fils et des filles.
010508004f	Tout le temps que Seth vécut, fut donc de neuf cent douze ans; puis il mourut.
010509003a	Et Énosh vécut quatre-vingt-dix ans, et engendra Kénan.
01050a0071	Et Énosh, après qu'il eut engendré Kénan, vécut huit cent quinze ans; et il engendra des fils et des filles.
01050b004f	Tout le temps qu'Énosh vécut, fut donc de neuf cent cinq ans; puis il mourut.
01050c003d	Et Kénan vécut soixante et dix ans, et engendra Mahalaleel.
01050d0077	Et Kénan, après qu'il eut engendré Mahalaleel, vécut huit cent quarante ans; et il engendra des fils et des filles.
01050e004f	Tout le temps que Kénan vécut, fut donc de neuf cent dix ans; puis il mourut.
01050f003b	Et Mahalaleel vécut soixante-cinq ans, et engendra Jéred.
0105100075	Et Mahalaleel, après qu'il eut engendré Jéred, vécut huit cent trente ans; et il engendra des fils et des filles.
0105110063	Tout le temps que Mahalaleel vécut, fut donc de huit cent quatre-vingt-quinze ans; puis il mourut.
010512003c	Et Jéred vécut cent soixante-deux ans, et engendra Hénoc.
010513006a	Et Jéred, après qu'il eut engendré Hénoc, vécut huit cent ans; et il engendra des fils et des filles.
0105140059	Tout le temps que Jéred vécut, fut donc de neuf cent soixante-deux ans; puis il mourut.
010515003b	Hénoc vécut soixante-cinq ans, et engendra Méthushélah.
010516007d	Et Hénoc marcha avec Dieu, après qu'il eut engendré Méthushélah, trois cents ans; et il engendra des fils et des filles.
0105170049	Tout le temps qu'Hénoc vécut, fut donc de trois cent soixante-cinq ans.
0105180041	Hénoc marcha donc avec Dieu, puis il disparut, car Dieu le prit.
0105190047	Et Méthushélah vécut cent quatre-vingt-sept ans, et engendra Lémec.
01051a0083	Et Méthushélah, après qu'il eut engendré Lémec, vécut sept cent quatre-vingt-deux ans; et il engendra des fils et des filles.
01051b0060	Tout le temps que Méthushélah vécut, fut donc de neuf cent soixante-neuf ans; puis il mourut.
01051c0041	Et Lémec vécut cent quatre-vingt-deux ans, et engendra un fils.
01051d0099	Et il l'appela Noé (repos), en disant: Celui-ci nous consolera de notre œuvre, et de la peine qu'impose à nos mains la terre que l'Éternel a maudite.
01051e007c	Et Lémec, après qu'il eut engendré Noé, vécut cinq cent quatre-vingt-quinze ans; et il engendra des fils et des filles.
01051f005d	Tout le temps que Lémec vécut, fut donc de sept cent soixante-dix-sept ans; puis il mourut.
010520003f	Et Noé, âgé de cinq cents ans, engendra Sem, Cham et Japhet.
0106010073	Or, quand les hommes eurent commencé à se multiplier sur la face de la terre et que des filles leur furent nées,
0106020084	Les fils de Dieu virent que les filles des hommes étaient belles, et ils prirent des femmes d'entre toutes celles qui leur plurent.
0106030097	Et l'Éternel dit: Mon esprit ne contestera point dans l'homme à toujours; dans son égarement il n'est que chair; ses jours seront de cent vingt ans.
0106040104	Les géants étaient sur la terre, en ce temps-là, et aussi dans la suite, parce que les fils de Dieu venaient vers les filles des hommes, et elles leur donnaient des enfants: ce sont ces hommes puissants qui, dès les temps anciens, furent des gens de renom.
01060500a0	Et l'Éternel vit que la malice de l'homme était grande sur la terre, et que toute l'imagination des pensées de son cœur n'était que mauvaise en tout temps.
0106060062	Et l'Éternel se repentit d'avoir fait l'homme sur la terre, et il en fut affligé dans son cœur.
01060700c5	Et l'Éternel dit: J'exterminerai de dessus la terre l'homme que j'ai créé; depuis l'homme jusqu'au bétail, jusqu'au reptile, et jusqu'à l'oiseau des cieux; car je me repens de les avoir faits.
010608002f	Mais Noé trouva grâce aux yeux de l'Éternel.
0106090068	Voici les descendants de Noé. Noé fut un homme juste, intègre, dans son temps; Noé marcha avec Dieu.
01060a0031	Et Noé engendra trois fils, Sem, Cham et Japhet.
01060b0051	Et la terre était corrompue devant Dieu, et la terre était remplie de violence.
01060c0070	Et Dieu regarda la terre, et, voici, elle était corrompue; car toute chair avait corrompu sa voie sur la terre.
01060d00a1	Et Dieu dit à Noé: La fin de toute chair est venue devant moi; car la terre a été remplie de violence par eux; et voici, je vais les détruire avec la terre.
01060e0076	Fais-toi une arche de bois de gopher; tu feras l'arche par loges, et tu l'enduiras de bitume par dedans et par dehors.
01060f0096	Et voici comment tu la feras: La longueur de l'arche sera de trois cents coudées, sa largeur de cinquante coudées, et sa hauteur de trente coudées.
01061000c6	Tu feras une fenêtre à l'arche, et tu l'achèveras à une coudée par en haut; et tu mettras la porte de l'arche sur son côté; tu la feras avec un étage inférieur, un second, et un troisième.
01061100ac	Et moi, voici, je vais amener le déluge d'eaux sur la terre, pour détruire toute chair qui a souffle de vie, de dessous les cieux; tout ce qui est sur la terre, expirera.
0106120082	Mais j'établirai mon alliance avec toi; et tu entreras dans l'arche, toi, tes fils, ta femme, et les femmes de tes fils avec toi.
01061300a2	Et de tout ce qui vit d'entre toute chair, tu en feras entrer deux de chaque espèce dans l'arche pour les conserver en vie avec toi; ils seront mâle et femelle;
01061400b8	Des oiseaux, selon leur espèce, et des bêtes selon leur espèce, de tout reptile du sol selon son espèce, deux de chaque espèce viendront vers toi pour que tu les conserves en vie.
0106150087	Et toi, prends de tout aliment qui se mange, et fais-en provision par-devers toi, afin que cela te serve de nourriture ainsi qu'à eux.
010616003c	Et Noé le fit; il fit tout ce que Dieu lui avait commandé.
0107010080	Et l'Éternel dit à Noé: Entre, toi et toute ta maison, dans l'arche; car je t'ai vu juste devant moi dans cette génération.
01070200aa	Tu prendras avec toi de tous les animaux purs, sept paires de chaque espèce, le mâle et sa femelle; mais des bêtes qui ne sont pas pures, deux, le mâle et sa femelle.
0107030080	Tu prendras aussi des oiseaux des cieux, sept paires, mâle et femelle, pour en conserver la race sur la face de toute la terre.
01070400a2	Car dans sept jours je ferai pleuvoir sur la terre, pendant quarante jours et quarante nuits; et j'exterminerai de dessus la terre tous les êtres que j'ai faits.
0107050037	Et Noé fit tout ce que l'Éternel lui avait commandé.
0107060068	Or, Noé était âgé de six cents ans, quand le déluge eut lieu, et que les eaux vinrent sur la terre.
0107070076	Noé entra donc dans l'arche, et ses fils, sa femme, et les femmes de ses fils avec lui, à cause des eaux du déluge.
010708006b	Des animaux purs et des animaux qui ne sont pas purs, et des oiseaux, et de tout ce qui rampe sur la terre,
0107090069	Deux par deux, mâle et femelle, entrèrent vers Noé dans l'arche, comme Dieu l'avait commandé à Noé.
01070a0052	Et il arriva, au bout des sept jours, que les eaux du déluge furent sur la terre.
01070b00b8	En l'an six cent de la vie de Noé, au second mois, au dix-septième jour du mois, en ce jour-là, toutes les sources du grand abîme éclatèrent, et les bondes des cieux s'ouvrirent.
01070c0040	Et la pluie tomba sur la terre quarante jours et quarante nuits.
01070d0096	En ce même jour-là, Noé, Sem, Cham et Japhet, fils de Noé, et la femme de Noé, et les trois femmes de ses fils avec eux, entrèrent dans l'arche,
01070e00e8	Eux, et tous les animaux selon leur espèce, et tout le bétail selon son espèce, et tous les reptiles qui rampent sur la terre selon leur espèce, et tous les oiseaux selon leur espèce, tout petit oiseau, tout ce qui a des ailes;
01070f005f	Ils entrèrent donc vers Noé dans l'arche; deux par deux, de toute chair qui a souffle de vie.
0107100085	Et ceux qui vinrent, vinrent mâle et femelle de toute chair, comme Dieu le lui avait commandé; et l'Éternel ferma l'arche sur lui.
0107110082	Et le déluge fut quarante jours sur la terre; et les eaux crûrent, et soulevèrent l'arche, et elle s'éleva de dessus la terre.
0107120061	Et les eaux grossirent et crûrent fort sur la terre; et l'arche flottait à la surface des eaux.
0107130083	Et les eaux grossirent prodigieusement sur la terre; et toutes les hautes montagnes qui sont sous tous les cieux, furent couvertes.
0107140057	Les eaux s'élevèrent de quinze coudées au-dessus; et les montagnes furent couvertes.
01071500ab	Et toute chair qui se mouvait sur la terre, expira, tant des oiseaux que du bétail, des animaux et de tous les reptiles qui se traînent sur la terre, et tous les hommes.
0107160064	Tout ce qui avait souffle de vie dans ses narines, et tout ce qui était sur la terre ferme, mourut.
010717010c	Tous les êtres qui étaient sur la face de la terre furent exterminés, depuis les hommes jusqu'aux bêtes, jusqu'aux reptiles, et jusqu'aux oiseaux des cieux, et ils furent exterminés de dessus la terre. Il ne resta que Noé, et ce qui était avec lui dans l'arche.
0107180045	Et les eaux furent grosses sur la terre pendant cent cinquante jours.
01080100b2	Or, Dieu se souvint de Noé, et de tous les animaux et de tout le bétail qui étaient avec lui dans l'arche. Et Dieu fit passer un vent sur la terre, et les eaux s'arrêtèrent.
0108020064	Et les sources de l'abîme et les bondes des cieux se fermèrent; et la pluie fut retenue des cieux.
0108030085	Et les eaux se retirèrent de dessus la terre; elles allèrent se retirant; et les eaux diminuèrent au bout de cent cinquante jours.
0108040062	Et au septième mois, au dix-septième jour du mois, l'arche s'arrêta sur les montagnes d'Ararat.
010805008a	Et les eaux allèrent diminuant, jusqu'au dixième mois. Au dixième mois, au premier jour du mois, ap-parurent les sommets des montagnes.
010806005f	Et il arriva qu'au bout de quarante jours Noé ouvrit la fenêtre qu'il avait faite à l'arche.
0108070075	Et il lâcha le corbeau, qui sortit, allant et revenant, jusqu'à ce que les eaux eussent séché de dessus la terre.
010808006c	Puis il lâcha la colombe d'avec lui, pour voir si les eaux avaient fort diminué à la surface de la terre.
01080900e5	Mais la colombe ne trouva pas où poser la plante de son pied, et elle retourna vers lui dans l'arche; car il y avait de l'eau à la surface de toute la terre. Et Noé avança sa main, la prit, et la ramena vers lui dans l'arche.
01080a005e	Et il attendit encore sept autres jours, puis il lâcha de nouveau la colombe hors de l'arche.
01080b00a6	Et la colombe revint à lui vers le soir; et voici, une feuille d'olivier fraîche était à son bec; et Noé comprit que les eaux avaient fort diminué sur la terre.
01080c0066	Et il attendit encore sept autres jours; puis il lâcha la colombe; mais elle ne retourna plus à lui.
01080d00e6	Et il arriva en l'an six cent un de la vie de Noé, au premier mois, au premier jour du mois, que les eaux avaient séché sur la terre; et Noé ôta la couverture de l'arche, et regarda; et voici, la surface du sol avait séché.
01080e0045	Au second mois, au vingt-septième jour du mois, la terre fut sèche.
01080f0024	Alors Dieu parla à Noé, en disant:
010810004d	Sors de l'arche, toi, ta femme, tes fils, et les femmes de tes fils avec toi.
01081100f6	Fais sortir avec toi tous les animaux qui sont avec toi, de toute chair, tant des oiseaux que des bêtes, et de tous les reptiles qui rampent sur la terre; et qu'ils peuplent en abondance la terre, et qu'ils croissent et multiplient sur la terre.
010812004a	Et Noé sortit, et ses fils, sa femme, et les femmes de ses fils avec lui.
0108130084	Tous les animaux, tous les reptiles et tous les oiseaux, tout ce qui rampe sur la terre, selon leurs familles, sortirent de l'arche.
0108140087	Et Noé bâtit un autel à l'Éternel; et il prit de toute bête pure, et de tout oiseau pur, et il offrit des holocaustes sur l'autel.
01081500f9	Et l'Éternel respira l'agréable odeur, et l'Éternel dit en son cœur: Je ne maudirai plus la terre, à cause de l'homme; car la nature du cœur de l'homme est mauvaise dès sa jeunesse; et je ne frapperai plus tout ce qui vit, comme je l'ai fait.
010816008b	Tant que la terre durera, les semailles et la moisson, le froid et le chaud, l'été et l'hiver, et le jour et la nuit, ne cesseront point.
010901005e	Et Dieu bénit Noé, et ses fils, et leur dit: Croissez et multipliez, et remplissez la terre;
01090200c9	Et vous serez craints et redoutés de tous les animaux de la terre, et de tous les oiseaux des cieux; avec tout ce qui se meut sur le sol et tous les poissons de la mer, ils sont remis entre vos mains.
010903006a	Tout ce qui se meut et qui a vie, vous servira de nourriture; je vous donne tout cela comme l'herbe verte.
0109040051	Seulement, vous ne mangerez point de chair avec son âme, c'est à dire son sang.
01090500bb	Et certainement je redemanderai votre sang, le sang de vos âmes; je le redemanderai de tout animal. Et je redemanderai l'âme de l'homme, de la main de l'homme, de la main de son frère.
0109060071	Celui qui répandra le sang de l'homme, par l'homme son sang sera répandu; car Dieu a fait l'homme à son image.
0109070059	Vous donc, croissez et multipliez; peuplez en abondance la terre, et multipliez sur elle.
010908003d	Dieu parla aussi à Noé, et à ses fils avec lui, en disant:
010909005e	Quant à moi, voici, j'établis mon alliance avec vous, et avec votre postérité après vous;
01090a00cb	Et avec tous les êtres vivants qui sont avec vous, tant les oiseaux que le bétail, et tous les animaux de la terre avec vous, tous ceux qui sont sortis de l'arche jusqu'à tous les animaux de la terre.
01090b00a0	J'établis donc mon alliance avec vous, et nulle chair ne sera plus exterminée par les eaux du déluge, et il n'y aura plus de déluge pour détruire la terre.
01090c009b	Et Dieu dit: Voici le signe de l'alliance que je mets entre moi et vous, et tous les êtres vivants qui sont avec vous, pour les générations à toujours:
01090d0059	Je mets mon arc dans les nuées, et il servira de signe d'alliance entre moi et la terre.
01090e0068	Et il arrivera que, lorsque j'amasserai des nuées sur la terre, et que l'arc paraîtra dans les nuées,
01090f00ac	Je me souviendrai de mon alliance, qui existe entre moi et vous et tout être vivant, de toute chair; et les eaux ne deviendront plus un déluge pour détruire toute chair.
01091000a5	L'arc sera donc dans les nuées, et je le regarderai, pour me souvenir de l'alliance éternelle entre Dieu et tout être vivant, de toute chair qui est sur la terre.
0109110076	Et Dieu dit à Noé: C'est là le signe de l'alliance que j'ai établie entre moi et toute chair qui est sur la terre.
010912006b	Et les fils de Noé, qui sortirent de l'arche, furent Sem, Cham et Japhet. Or, Cham est le père de Canaan.
0109130055	Ce sont là les trois fils de Noé, et c'est par eux que fut peuplée toute la terre.
010914003e	Or, Noé commença à cultiver la terre et planta de la vigne.
