0100000006	Senesi
01011c0122	Pea naʻe tāpuakiʻi ʻakinaua ʻe he ʻOtua, pea folofola ʻae ʻOtua kiate kinaua, “Fanafanau, mo fakatokolahi, mo fakakakai ʻa māmani, pea pule ki ai: pea pule ki he ika ʻoe tahi, mo e fanga manupuna ʻoe ʻatā, mo e meʻa moʻui kotoa pē ʻoku ngaue ʻi he funga ʻo māmani.”
01011d00f4	Pea naʻe folofola ʻae ʻOtua, “Vakai, kuo u foaki kiate kimoua ʻae ʻakau iiki kotoa pē ʻoku ʻi ai hono tenga, ʻaia ʻoku ʻi he funga ʻoe fonua kotoa, mo e ʻakau kotoa pē ʻoku fua ʻaia ʻoku ʻi ai hono tenga; ko ia ia ke mo kai.
01011e00cb	Pea ko e fanga manu kotoa pē ʻi he fonua, mo e fanga manupuna kotoa pē ʻoe ʻatā, mo e meʻa moʻui kotoa pē ʻoku totolo ʻi he fonua, ʻe kai ʻi he ʻakaulaumata kotoa pē:” pea naʻe hoko ia.
01011f009c	Pea naʻe ʻafio ʻe he ʻOtua ki he meʻa kotoa pē naʻa ne ngaohi, pea vakai, naʻe lelei ʻaupito. Pea ko e efiafi mo e pongipongi ko hono ʻaho ono ia.
0102010057	Naʻe pehē ʻa hono ngaohi ʻo ʻosi ʻae langi mo e fonua, mo hona nāunau kotoa pē.
01020200bc	Pea ʻi hono fitu ʻoe ʻaho kuo fakaʻosi ʻe he ʻOtua ʻa ʻene ngāue ʻaia naʻa ne fai; pea naʻe tutuku ia ʻi hono fitu ʻoe ʻaho, mei heʻene ngāue kotoa pē ʻaia naʻa ne fai.
01020300bf	Pea naʻe tāpuaki ʻe he ʻOtua ʻa hono fitu ʻoe ʻaho, mo ne fakatapui ia: koeʻuhi ko ia ia naʻa ne tutuku ai mei heʻene ngāue kotoa pē, ʻaia naʻe fakatupu mo ngaohi ʻe he ʻOtua.
0102040095	Ko e tala fakahohoko eni ki he ngaohi ʻoe langi mo māmani, ʻi he ʻaho ʻaia naʻe fakatupu ai ʻe Sihova ko e ʻOtua, ʻa māmani pea mo e langi,
0102050105	Mo e ʻakau kotoa pē ʻoe fonua ʻi he teʻeki ke tuʻu ia ʻi he kelekele, mo e ʻakau iiki kotoa pē ʻoe fonua, ʻi he teʻeki ai ke tupu: he naʻe teʻeki ke tuku ʻe he ʻOtua ha ʻuha ki he kelekele, pea naʻe ʻikai ha tangata ke ngoueʻi ʻae kelekele.
010206005a	Ka naʻe ʻalu hake ʻae vaivao mei he fonua, ke fakaviviku ʻae funga kelekele kotoa pē.
01020700b7	Pea naʻe ngaohi ʻe Sihova ko e ʻOtua ʻae tangata mei he efu ʻoe kelekele, pea ne mānava ki hono avaʻi ihu ʻae mānava ʻoe moʻui; pea hoko ʻae tangata ko e laumālie moʻui.
0102080084	Pea naʻe tō ʻae ngoue ʻe Sihova ko e ʻOtua ki he potu hahake ʻi ʻIteni; pea ne tuku ki ai ʻae tangata ʻaia naʻa ne ngaohi.
01020900da	Pea naʻe fakatupu ʻe Sihova ko e ʻOtua mei he kelekele ʻae ʻakau kotoa pē ʻoku matamatalelei, pea lelei ki he kai; mo e ʻakau ʻoe moʻui foki ʻi he loto ngoue, pea mo e ʻakau ʻoe ʻilo ʻoe lelei mo e kovi.
01020a007e	Pea naʻe ʻalu atu ʻae vaitafe ʻi ʻIteni ke fakaviviku ʻae ngoue; pea ne mavahevahe ia mei ai ʻi he mangaʻivai ʻe fā.
01020b0078	Ko e hingoa ʻoe ʻuluaki ko Pisoni: ko ia ia ʻoku takatakai ʻae fonua kotoa ko Havila, ʻaia ʻoku ʻi ai ʻae koula;
01020c0064	Pea ʻoku lelei ʻae koula ʻoe fonua ko ia pea ʻoku ʻi ai ʻae mataʻitofe, mo e maka ko e onike.
01020d0066	Pea ko e hingoa ʻo hono ua ʻoe vaitafe ko Kihoni: ko ia ia ʻoku takatakai ʻae fonua kotoa ko Kusi.
01020e0098	Pea ko e hingoa ʻo hono tolu ʻoe vaitafe ko Hitikeli: ko ia ia ʻoku tafe atu ki he hahake ʻo ʻAsilia. Pea ko hono fā ʻoe vaitafe ko ʻIufaletesi.
01020f0072	Pea naʻe ʻave ʻe Sihova ko e ʻOtua ʻae tangata ʻone tuku ia ki he ngoue ko ʻIteni, ke tauhi mo leʻo ki ai.
0102100080	Pea naʻe fekau ʻe Sihova ko e ʻOtua ki he tangata, ʻo pehē, “ʻE ngofua ʻa hoʻo kai mei he ʻakau kotoa pē ʻoe ngoue,
010211008a	Ka ko e ʻakau ʻoe ʻilo ʻoe lelei mo e kovi, ʻe ʻikai te ke kai mei ai: he ko e ʻaho ko ia te ke kai ai, ko e moʻoni te ke mate.”
0102120091	Pea naʻe folofola ʻe Sihova ko e ʻOtua, “ʻOku ʻikai lelei ke tokotaha pe ʻae tangata: te u ngaohi kiate ia ha tokoni ʻoku taau mo ia.”
0102130127	Pea naʻe ngaohi ʻe Sihova ko e ʻOtua, mei he kelekele ʻae fanga manu kotoa pē ʻoe fonua, mo e manu kotoa pē ʻoe ʻatā; pea ne ʻomi ia kia ʻAtama, ke vakai pe ko e hā te ne ui ʻakinautolu: pea ʻilonga ʻae hingoa naʻe ai ʻe ʻAtama ki he meʻa moʻui kotoa pē, ko hono hingoa ia.
01021400c8	Pea naʻe fakahingoa ʻe ʻAtama ʻae fanga manu lalahi kotoa pē, mo e fanga manupuna ʻoe ʻatā, mo e fanga manu kotoa pē ʻoe vao; ka naʻe ʻikai ke ʻilo kia ʻAtama ha tokoni naʻe taau mo ia.
01021500b5	Pea naʻe tuku ʻe Sihova ko e ʻOtua, ʻae mohe maʻu kia ʻAtama, pea naʻa ne mohe: pea naʻa ne toʻo hono hui vakavaka ʻe taha, pea naʻe toe fakamaʻopoʻopo ʻa hono kakano.
010216008e	Pea ko e hui vakavaka ʻaia naʻe toʻo ʻe Sihova ko e ʻOtua mei he tangata, naʻa ne ngaohi mei ai ʻae fefine, pea ʻomi ia ki he tangata.
01021700a6	Pea naʻe pehē ʻe ʻAtama, “Ko e hui eni ʻo hoku ngaahi hui, mo e kakano ʻo hoku kakano: ʻe ui ia ‘ko e Fefine,’ koeʻuhi naʻe toʻo ia mei he Tangata.”
010218007a	Ko ia ʻe tukuange ai ʻe he tangata ʻa ʻene tamai mo ʻene faʻē, kae pikitai ki hono uaifi: pea te na kakano taha pe.
0102190058	Pea naʻa na fakatou telefua, ʻae tangata mo hono uaifi, pea naʻe ʻikai te na mā ai.
0103010103	Pea naʻe olopoto lahi hake ʻae ngata ʻi he manu kotoa pē ʻoe fonua, ʻaia naʻe ngaohi ʻe Sihova ko e ʻOtua. Pea pehē ʻe ia ki he fefine, “ʻOku moʻoni koā kuo pehē ʻe he ʻOtua, ‘ʻE ʻikai te mo kai ʻi he ʻakau kotoa pē ʻoe ngoue?’”
010302006e	Pea naʻe pehē ʻe he fefine ki he ngata, “ʻOku ngofua ʻema kai ʻi he fua ʻoe ngaahi ʻakau ʻoe ngoue:
01030300ad	Ka ko e fua ʻoe ʻakau ʻaia ʻoku ʻi he loto ngoue, kuo folofola mai ʻe he ʻOtua, ‘ʻE ʻikai te mo kai ai, pea ʻe ʻikai te mo ala ki ai, telia naʻa mo mate.’”
0103040048	Pea pehē ʻe he ngata ki he fefine, “ʻOku ʻikai moʻoni te mo mate.
0103050097	He ʻoku ʻilo ʻe he ʻOtua, ʻi he ʻaho te mo kai ai, ʻe toki ʻā ai homo mata, pea te mo hangē ko e ʻotua, ke ʻilo ai ʻae lelei mo e kovi.”
01030600f8	Pea ʻi he mamata ʻe he fefine ʻoku lelei ʻae ʻakau ki he kai, mo matamatalelei ki he mata, pea ko e ʻakau ke velevele ki ai ke fakapotoʻi, naʻa ne toʻo ai hono fua, ʻo kai, pea naʻa ne ʻange foki ki hono ʻhusepāniti, pea naʻa ne kai.
0103070081	Pea naʻe ʻā ai ʻae mata ʻokinaua ʻosi pe, pea na ʻilo kuo na telefua; pea naʻa na tui ʻae lou fiki, ʻona vala ʻaki ia.
01030800df	Pea naʻa na fanongo ki he leʻo ʻo Sihova ko e ʻOtua, ʻi he ʻalu ʻi he ngoue ʻi he mokomoko ʻoe ʻaho: pea naʻe toitoi ʻa ʻAtama mo hono uaifi, mei he ʻao ʻo Sihova ko e ʻOtua, ʻi he ngaahi ʻakau ʻoe ngoue.
010309005f	Pea naʻe ui ʻe Sihova ko e ʻOtua kia ʻAtama, ʻo ne pehē kiate ia, “ʻOku ke ʻi fē?”
01030a0081	Pea pehē ʻe ia, “Naʻaku fanongo ki ho leʻo ʻi he ngoue, pea naʻaku manavahē, koeʻuhi kuo u telefua; pea u toitoi ai.”
01030b0099	Pea pehē ʻe ia, “Ko hai kuo fakahā kiate koe ʻoku ke telefua? Kuo ke kai ʻi he ʻakau, ʻaia naʻaku fekau kiate koe, ke ʻoua naʻa ke kai ai?”
01030c0086	Pea pehē ʻe he tangata, “Ko e fefine ʻaia naʻa ke foaki ke ma nonofo, naʻe ʻomi ʻe ia kiate au mei he ʻakau pea u kai ai.”
01030d00a1	Pea naʻe folofola ʻa Sihova ko e ʻOtua ki he fefine, “Ko e hā eni kuo ke fai?” Pea pehē ʻe he fefine, “Naʻe kākaaʻi au ʻe he ngata, pea u kai.”
01030e0113	Pea naʻe folofola ʻa Sihova ko e ʻOtua ki he ngata, “Koeʻuhi kuo ke fai eni, kuo ke malaʻia lahi hake ʻi he fanga manu lalata kotoa pē, mo e manu kotoa pē ʻoe vao; te ke ngaolo koe ʻi ho kete, pea te ke kai ʻae efu ʻi he ngaahi ʻaho kotoa pē ʻo hoʻo moʻui:
01030f009e	pea te u tuku ʻae taufehiʻa ʻiate koe mo e fefine, pea ki ho hako mo hono hako; ʻe laiki ʻe ia ho ʻulu, pea te ke fakavolu ʻe koe ʻa hono muivaʻe.”
01031000d6	Pea naʻe pehē ʻe ia ki he fefine, “Te u fakalahi ʻaupito ʻa hoʻo mamahi ʻi hoʻo fanafanau: te ke fāʻeleʻi ʻae fānau ʻi he mamahi; pea ʻe ʻi ho husepāniti ʻa hoʻo holi, pea te ne puleʻi koe.”
010311012c	Pea naʻe pehē ʻe ia kia ʻAtama, “Koeʻuhi kuo ke tokanga ki he leʻo ʻo ho uaifi, pea kuo ke kai ʻi he ʻakau ʻaia ne u fekau kiate koe, ‘Ke ʻoua naʻa ke kai ai:’ kuo malaʻia ʻae kelekele koeʻuhi ko koe; te ke kai mei ai ʻi he mamahi ʻi he ngaahi ʻaho kotoa pē ʻo hoʻo moʻui;
0103120072	‌ʻe tupu mei ai kiate koe ʻae ʻakau talatala mo e talatalaʻāmoa; pea te ke kai ʻae ʻakau iiki ʻoe fonua;
01031300a3	te ke kai ʻae meʻakai ʻi he kakava ʻo ho mata, kaeʻoua ke ke foki ki he kelekele; he naʻe toʻo koe mei ai: he ko e efu koe, pea te ke toe foki ki he efu.”
0103140072	Pea naʻe ui ʻe ʻAtama ʻae hingoa ʻo hono uaifi ko ʻIvi; koeʻuhi ko e faʻē ia ʻoe kakai moʻui kotoa pē.
010315008d	Naʻe ngaohi foki ʻe Sihova ko e ʻOtua mei he kiliʻi manu, ʻae ngaahi kofu kia ʻAtama mo hono uaifi, pea naʻa ne fakakofuʻi ʻakinaua.
010316011a	Pea naʻe folofola ʻa Sihova ko e ʻOtua, “Vakai, kuo hoko ʻae tangata ke hangē ko ha taha ʻiate kitautolu, ke ne ʻilo ʻae lelei mo e kovi: pea ko eni, telia naʻa mafao atu ʻe ia hono nima, pea ne toli foki mei he ʻakau ʻoe moʻui, ʻo kai, pea moʻui ʻo taʻengata:”
0103170082	Ko ia naʻe fekau atu ia ʻe Sihova ko e ʻOtua mei he ngoue ʻo ʻIteni, ke ne ngāue ki he kelekele ʻaia naʻe toʻo ia mei ai.
01031800c9	Pea naʻa ne kapusi ai ʻae tangata pea ne tuku ki he [potu] hahake ʻoe ngoue ʻo ʻIteni, ʻae selupimi, mo e heletā ulo, ʻaia naʻe foli fakatakamilo, ke leʻohi ʻae hala ʻoe ʻakau ʻoe moʻui.
010401009a	Pea naʻe ʻilo ʻe ʻAtama ʻa hono uaifi ko ʻIvi; pea tuituʻia ia, pea fanauʻi ʻa Keini, pea pehē ʻe ia, “Kuo u maʻu ha tangata meia Sihova.”
010402006f	Pea ne toe fanauʻi ʻa hono tehina ko ʻEpeli. Pea ko e tauhi sipi ʻa ʻEpeli, ka ko e tauhi ngoue ʻa Keini.
0104030075	Pea ʻi he hokosia ʻae ngaahi ʻaho, naʻe ʻomi ʻe Keini ʻae ngaahi fua ʻoe kelekele, ko e feilaulau kia Sihova.
0104040097	Pea naʻe ʻomi foki ʻe ʻEpeli, ʻae veloaki mo ia naʻe ngako ʻi heʻene fanga manu. Pea naʻe leleiʻia ʻa Sihova kia ʻEpeli mo ʻene feilaulau:
0104050075	Ka naʻe ʻikai te ne leleiʻia kia Keini mo ʻene feilaulau. Pea naʻe ʻita ʻaupito ʻa Keini, pea kehe hono mata.
010406006b	Pea naʻe folofola ʻa Sihova kia Keini, “Ko e hā ʻoku ke ʻita ai? Pea ko e hā ʻoku kehe ai ho mata?
01040700aa	Kapau te ke fai lelei, ʻikai ʻe maʻu koe? Pea ka ʻikai te ke fai lelei, ʻoku ʻi he matapā ʻae angahala. Pea ʻe anganofo ia kiate koe, pea te ke pule kiate ia.”
0104080097	Pea naʻe alea ʻa ʻEpeli mo hono tokoua: pea lolotonga ʻena ʻi he ngoue, naʻe tuʻu hake ʻa Keini ki hono tehina ko ʻEpeli, ʻone tāmateʻi ia.
01040900a4	Pea naʻe folofola ʻa Sihova kia Keini, “Ko e fē ʻa ʻEpeli ko ho tehina?” Pea pehē ʻe ia, “ʻOku ʻikai te u ʻilo: he ko e tauhi au ʻa hoku tokoua?”
01040a0076	Pea pehē ʻe ia, “Ko e hā eni kuo ke fai? ʻOku tangi kiate au mei he kelekele ʻae leʻo ʻoe toto ʻo ho tehina.
01040b007d	Pea ko eni, kuo fakamalaʻia koe mei he kelekele, ʻaia kuo fakamanga hono ngutu ke maʻu mei ho nima ʻae toto ʻoho tehina;
01040c0090	‌ʻoka ke ka ngoueʻi ʻae kelekele, ʻe ʻikai tupu lelei kiate koe ʻa hono fua; te ke hoko ko e fehēhēʻaki mo e hehengi ʻi he fonua.”
01040d0063	Pea naʻe pehē ʻe Keini kia Sihova, “ʻOku lahi hake ʻa hoku tautea ʻi heʻeku faʻa kātaki.
01040e00e0	Vakai, kuo ke kapusi au ʻi he ʻaho ni mei he funga ʻoe fonua; pea ʻe fufū au mei ho fofonga; pea teu fehēhēʻaki mo hehengi ʻi he fonua; pea ʻe hoko ʻo pehē, ko ia kotoa pē ʻoku ʻiloʻi au ʻe tāmateʻi au.”
01040f00ef	Pea naʻe folofola ʻa Sihova kiate ia, “Ko ia ia ʻoku ne tāmateʻi ʻa Keini, ʻe tō kiate ia ʻae tautea ʻo liunga fitu.” Pea naʻe ʻai ʻe Sihova ʻae fakaʻilonga kia Keini, telia naʻa ʻilo ia ʻe ha taha, pea tāmateʻi ia.
0104100075	Pea naʻe ʻalu atu ʻa Keini mei he ʻao ʻo Sihova, ke nofo ʻi he fonua ko Noti, ʻi he [potu] hahake ʻo ʻIteni.
01041100c1	Pea naʻe ʻilo ʻe Keini ʻa hono uaifi, pea tuituʻia ia mo ne fanauʻi ʻa ʻInoke: pea naʻe langa ʻe ia ʻae kolo, pea naʻa ne fakahingoa ʻae kolo ki he hingoa ʻo hono foha ko ʻInoke.
010412009e	Pea naʻe fanauʻi kia ʻInoke ʻa ʻIlati pea tupu ʻia ʻIlati ʻa Mihuseale: pea tupu ʻia Mihuseale ʻa Metuseʻeli: pea tupu ʻia Metuseʻeli ʻa Lemeki,
010413007f	Pea naʻe maʻu ʻe Lemeki kiate ia ʻae ongo uaifi: ko e hingoa ʻoe tokotaha ko ʻAta, pea ko e hingoa ʻoe tokotaha ko Sila.
0104140083	Pea naʻe fanauʻi ʻe ʻAta ʻa Sepale ko e tamai ia ʻanautolu ʻoku nofo ʻi he ngaahi fale fehikitaki mo tauhi ʻae fanga manu.
0104150088	Pea ko e hingoa ʻo hono tokoua ko Supale: ko e tamai ia ʻanautolu kotoa pē ʻoku faiva ʻaki ʻae meʻa tatangi mo e meʻa ʻoku ifi.
01041600a1	Pea fāʻeleʻi foki ʻe Sila ʻa Tupale-Keini, ko e tufunga ʻoe ngaahi meʻa kotoa pē ʻi he palasa mo e ukamea; pea ko e tuofefine ʻo Tupale-Keini ko Neama.
01041700ed	Pea naʻe pehē ʻe Lemeki ki hono ongo uaifi ko ʻAta mo Sila, “Fanongo ki hoku leʻo; ʻae ongo uaifi ʻo Lemeki, fakafanongo ki heʻeku lea: he kuo u tāmateʻi ha tangata ʻi hoku lavea, ʻio, ko e talavou koeʻuhi ko ʻeku mamahi.
0104180071	Kapau ʻe totongi ʻia Keini ʻo liunga fitu, ko e moʻoni, ʻe liunga fitungofulu ia lau ʻe fitu kia Lemeki.”
0104190100	Pea naʻe toe ʻilo ʻe ʻAtama ʻa hono uaifi; pea fāʻeleʻi ʻe ia ʻae tama, pea naʻe ui hono hingoa ko Seti: he naʻe [pehē ʻe ia], “Kuo foaki kiate au ʻe he ʻOtua ha hako ʻe taha ko e fetongi ʻo ʻEpeli, ʻaia naʻe tāmateʻi ʻe Keini.”
01041a0085	Pea naʻe fanauʻi foki ha foha kia Seti; pea naʻe ui hono hingoa ko ʻInosi: pea naʻe kamata ui ʻae kakai ki he huafa ʻo Sihova.
010501008c	Ko eni ʻae tohi ʻoe hako ʻo ʻAtama. ʻI he ʻaho naʻe fakatupu ʻe he ʻOtua ʻae tangata, naʻa ne ngaohi ia ʻi he tatau ʻoe ʻOtua;
010502009c	Naʻa ne fakatupu ʻakinaua ko e tangata mo e fefine; pea ne tāpuakiʻi ʻakinaua, pea ui hona hingoa ko ʻAtama, ʻi he ʻaho naʻe fakatupu ai ʻakinaua.
01050300a8	Pea naʻe moʻui ʻa ʻAtama ʻi he taʻu ʻe teau ma tolungofulu, pea ne fakatupu [ʻae foha] ʻi hono tatau ʻoʻona, mo ʻene anga; pea naʻe ui hono hingoa ko Seti:
010504009c	Pea ko e ngaahi ʻaho ʻo ʻAtama hili ʻae fānau kiate ia ʻa Seti ko e taʻu ʻe valungeau: pea naʻa ne fakatupu ʻae ngaahi foha mo e ngaahi ʻofefine:
0105050075	Pea ko e ngaahi ʻaho kotoa pē naʻe moʻui ai ʻa ʻAtama, ko e taʻu ʻe hivangeau, mā tolungofulu: pea pekia ia.
0105060053	Pea naʻe moʻui ʻa Seti ko e taʻu ʻe teau ma nima, pea ne fakatupu ʻa ʻInosi:
010507009e	Pea hili ʻae fanauʻi ʻa ʻInosi naʻe moʻui ʻa Seti ʻi he taʻu ʻe valungeau ma fitu, pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine.
0105080064	Pea ko e ngaahi ʻaho kotoa pē ʻo Seti, ko e taʻu ʻe hivangeau ma hongofulu ma ua: pea pekia ia.
0105090056	Pea naʻe moʻui ʻa ʻInosi, ko e taʻu ʻe hivangofulu, pea ne fakatupu ʻa Kēnani:
01050a00ad	Pea hili ʻae fanauʻi ʻa Kēnani naʻe moʻui ʻa ʻInosi ʻi he taʻu ʻe valungeau ma hongofulu ma nima pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine:
01050b005c	Pea ko e ngaahi ʻaho kotoa pē ʻo ʻInosi, ko e taʻu ʻe hivangeau ma nima: pea pekia ia.
01050c0056	Pea naʻe moʻui ʻa Kēnani ko e taʻu ʻe fitungofulu, pea ne fakatupu ʻa Malelili:
01050d00a8	Pea hili ʻae fanauʻi ʻa Malelili naʻe moʻui ʻa Kēnani ʻi he taʻu ʻe valungeau ma fāngofulu, pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine:
01050e0060	Pea ko e ngaahi ʻaho kotoa pē ʻo Kēnani, ko e taʻu ʻe hivangeau ma hongofulu pea pekia ia.
01050f005c	Pea naʻe moʻui ʻa Malelili ko e taʻu ʻe onongofulu ma nima, pea ne fakatupu ʻa Seleti:
01051000a7	Pea hili ʻae fanauʻi ʻa Seleti naʻe moʻui ʻa Malelili ʻi he taʻu ʻe valungeau ma tolungofulu pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine:
010511006c	Pea ko e ngaahi ʻaho kotoa pē ʻo Malelili, ko e taʻu ʻe valungeau ma hivangofulu ma nima: pea pekia ia.
0105120061	Pea naʻe moʻui ʻa Seleti ko e taʻu ʻe teau ma onongofulu ma ua, pea ne fakatupu ʻa ʻInoke:
0105130098	Pea hili ʻae fanauʻi ʻa ʻInoke naʻe moʻui ʻa Seleti ʻi he taʻu ʻe valungeau, pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine.
0105140067	Pea ko e ngaahi ʻaho kotoa pē ʻo Seleti, ko e taʻu ʻe hivangeau ma onongofulu ma ua: pea pekia ia.
010515005d	Pea naʻe moʻui ʻa ʻInoke ko e taʻu ʻe onongofulu ma nima, pea ne fakatupu ʻa Metusela:
01051600b3	Pea hili ʻae fanauʻi kiate ia ʻa Metusela naʻe ʻeveʻeva ʻa ʻInoke mo e ʻOtua ʻi he taʻu ʻe tolungeau, pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine:
010517005a	Pea ko e ngaahi ʻaho kotoa pē ʻo ʻInoke, ko e tau ʻe tolungeau ma onongofulu ma nima:
0105180060	Pea naʻe ʻaʻeva ʻa ʻInoke mo e ʻOtua pea naʻe ʻikai ia; he naʻe ʻave ia ʻe he ʻOtua.
0105190065	Pea naʻe moʻui ʻa Metusela ko e taʻu ʻe teau ma valungofulu ma fitu, pea ne fakatupu ʻa Lemeki:
01051a00ae	Pea hili ʻae fanauʻi ʻa Lemeki naʻe moʻui ʻa Metusela ʻi he taʻu ʻe fitungeau ma valungofulu ma ua, pea naʻe fānau kiate ia ʻae ngaahi foha mo e ngaahi ʻofefine:
01051b006a	Pea ko e ngaahi ʻaho kotoa pē ʻo Metusela ko e taʻu ʻe hivangeau ma onongofulu ma hiva: pea pekia ia.
01051c005e	Pea naʻe moʻui ʻa Lemeki ko e taʻu ʻe teau ma valungofulu ma ua, pea ne fakatupu ha foha:
