0100000018	ഉല്പത്തി
01010e01a3	“പകലും രാവും തമ്മിൽ വേർതിരിക്കുവാൻ ആകാശവിതാനത്തിൽ വെളിച്ചങ്ങൾ ഉണ്ടാകട്ടെ; അവ അടയാളങ്ങളായും ഋതുക്കളും, ദിവസവും, വർഷങ്ങളും തിരിച്ചറിയുവാനായും ഇരിക്കട്ടെ;
01010f012b	ഭൂമിയെ പ്രകാശിപ്പിക്കുവാൻ ആകാശവിതാനത്തിൽ അവ വെളിച്ചങ്ങളായിരിക്കട്ടെ എന്നു ദൈവം കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.
01011001aa	പകൽ വാഴേണ്ടതിന് വലിപ്പമേറിയ വെളിച്ചവും രാത്രി വാഴേണ്ടതിന് വലിപ്പം കുറഞ്ഞ വെളിച്ചവും ആയി രണ്ടു വലിയ വെളിച്ചങ്ങളെ ദൈവം ഉണ്ടാക്കി; നക്ഷത്രങ്ങളെയും ഉണ്ടാക്കി.
0101110149	ഭൂമിയെ പ്രകാശിപ്പിക്കുവാനും പകലും രാത്രിയും നിയന്ത്രിക്കുവാനും വെളിച്ചത്തെയും ഇരുളിനെയും തമ്മിൽ വേർപിരിക്കുവാനുമായി
010112009c	ദൈവം അവയെ ആകാശവിതാനത്തിൽ നിർത്തി; നല്ലത് എന്നു ദൈവം കണ്ടു.
010113005f	സന്ധ്യയായി ഉഷസ്സുമായി, നാലാം ദിവസം.
010114014f	“വെള്ളത്തിൽ ചരിക്കുന്ന ജീവികൾ ധാരാളമായി ഉണ്ടാകട്ടെ; ഭൂമിയുടെ മീതെ ആകാശവിതാനത്തിൽ പറവജാതി പറക്കട്ടെ” എന്നു ദൈവം കല്പിച്ചു.
01011501a6	ദൈവം വലിയ തിമിംഗലങ്ങളെയും വെള്ളത്തിൽ കൂട്ടമായി ജനിച്ചു ചരിക്കുന്ന അതത് തരം ജീവജന്തുക്കളെയും അതത് തരം പറവജാതിയെയും സൃഷ്ടിച്ചു; അത് നല്ലത് എന്നു ദൈവം കണ്ടു.
010116015c	“നിങ്ങൾ വർദ്ധിച്ചു പെരുകി സമുദ്രത്തിലെ വെള്ളത്തിൽ നിറയുവിൻ; പറവജാതി ഭൂമിയിൽ പെരുകട്ടെ” എന്നു കല്പിച്ചു ദൈവം അവയെ അനുഗ്രഹിച്ചു.
0101170062	സന്ധ്യയായി ഉഷസ്സുമായി, അഞ്ചാം ദിവസം.
0101180168	“അതത് തരം കന്നുകാലി, ഇഴജാതി, കാട്ടുമൃഗം ഇങ്ങനെ അതതുതരം ജീവജന്തുക്കൾ ഭൂമിയിൽ നിന്നുണ്ടാകട്ടെ” എന്നു ദൈവം കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.
0101190194	ഇങ്ങനെ ദൈവം അതത് തരം കാട്ടുമൃഗങ്ങളെയും അതത് തരം കന്നുകാലികളെയും അതത് തരം ഭൂമിയിൽ ഇഴയുന്ന അതതുതരം ഇഴജന്തുക്കളെയും ഉണ്ടാക്കി; നല്ലത് എന്നു ദൈവം കണ്ടു.
01011a0313	അനന്തരം ദൈവം: “നാംനമ്മുടെ സ്വരൂപത്തിൽ നമ്മുടെ സാദൃശ്യപ്രകാരം മനുഷ്യനെ ഉണ്ടാക്കുക; സമുദ്രത്തിലുള്ള മത്സ്യത്തിന്മേലും ആകാശത്തിലുള്ള പറവജാതിയിന്മേലും കന്നുകാലികളിന്മേലും സർവ്വഭൂമിയിന്മേലും ഭൂമിയിൽ ഇഴയുന്ന എല്ലാ ഇഴജാതിയിന്മേലും മനുഷ്യർക്ക് ആധിപത്യം ഉണ്ടായിരിക്കട്ടെ” എന്നു കല്പിച്ചു.
01011b015a	ഇങ്ങനെ ദൈവം തന്‍റെ സ്വരൂപത്തിൽ മനുഷ്യനെ സൃഷ്ടിച്ചു, ദൈവത്തിന്‍റെ സ്വരൂപത്തിൽ അവനെ സൃഷ്ടിച്ചു, ആണും പെണ്ണുമായി അവരെ സൃഷ്ടിച്ചു.
01011c0237	ദൈവം അവരെ അനുഗ്രഹിച്ചു: നിങ്ങൾ സന്താന പുഷ്ടിയുള്ളവരായി പെരുകി ഭൂമിയിൽ നിറഞ്ഞു അതിനെ അടക്കി സമുദ്രത്തിലെ മത്സ്യത്തിന്മേലും ആകാശത്തിലെ പറവജാതിയിന്മേലും സകലഭൂചരജന്തുവിന്മേലും വാഴുവിൻ എന്നു അവരോടു കല്പിച്ചു.
01011d01c2	“ഭൂമിയിൽ എങ്ങും വിത്തുള്ള സസ്യങ്ങളും വൃക്ഷത്തിന്‍റെ വിത്തുള്ള ഫലം കായിക്കുന്ന സകലവൃക്ഷങ്ങളും ഇതാ, ഞാൻ നിങ്ങൾക്ക് തന്നിരിക്കുന്നു; അവ നിങ്ങൾക്ക് ആഹാരമായിരിക്കട്ടെ;
01011e0235	ഭൂമിയിലെ സകലമൃഗങ്ങൾക്കും ആകാശത്തിലെ എല്ലാ പറവകൾക്കും ഭൂമിയിൽ ഇഴയുന്ന സകല ജന്തുക്കൾക്കും ജീവനുള്ള സകലത്തിനും ആഹാരമായിട്ടു പച്ചസസ്യം ഒക്കെയും ഞാൻ കൊടുത്തിരിക്കുന്നു” എന്നു ദൈവം കല്പിച്ചു; അങ്ങനെ സംഭവിച്ചു.
01011f0122	ദൈവം ഉണ്ടാക്കിയതിനെ ഒക്കെയും ദൈവം നോക്കി, അത് എത്രയും നല്ലത് എന്നു കണ്ടു. സന്ധ്യയായി ഉഷസ്സുമായി, ആറാം ദിവസം.
01020100a5	ഇങ്ങനെ ആകാശവും ഭൂമിയും അവയിലുള്ള ചരാചരങ്ങളൊക്കെയും തികഞ്ഞു.
01020200dd	ദൈവം സൃഷ്ടി കർമ്മം പൂർത്തിയാക്കി സകലപ്രവൃത്തിയിൽനിന്നും ഏഴാം ദിവസം വിശ്രമിച്ചു.
010203016b	താൻ സൃഷ്ടിച്ചുണ്ടാക്കിയ സകലപ്രവൃത്തിയിൽ നിന്നും അന്നു അവിടുന്ന് വിശ്രമിച്ചതുകൊണ്ട് ദൈവം ഏഴാം ദിവസത്തെ അനുഗ്രഹിച്ചു ശുദ്ധീകരിച്ചു.
01020401fc	യഹോവയായ ദൈവം ഭൂമിയും ആകാശവും സൃഷ്ടിച്ച നാളിൽ ആകാശവും ഭൂമിയും സൃഷ്ടിച്ചതിൻ്റെ ഉല്പത്തിവിവരം: വയലിലെ ചെടി ഒന്നും അതുവരെ ഭൂമിയിൽ ഉണ്ടായിരുന്നില്ല; വയലിലെ സസ്യം ഒന്നും മുളച്ചിരുന്നതുമില്ല.
0102050103	യഹോവയായ ദൈവം ഭൂമിയിൽ മഴ പെയ്യിച്ചിരുന്നില്ല; നിലത്ത് വേലചെയ്യുവാൻ മനുഷ്യനും ഉണ്ടായിരുന്നില്ല.
0102060094	ഭൂമിയിൽനിന്നു മഞ്ഞു പൊങ്ങി, നിലം ഒക്കെയും നനച്ചുവന്നു.
0102070158	യഹോവയായ ദൈവം നിലത്തെ പൊടികൊണ്ട് മനുഷ്യനെ നിർമ്മിച്ചിട്ട് അവന്‍റെ മൂക്കിൽ ജീവശ്വാസം ഊതി, അങ്ങനെ മനുഷ്യൻ ജീവനുള്ളവനായിതീർന്നു.
010208010d	അനന്തരം യഹോവയായ ദൈവം കിഴക്ക് ഏദെനിൽ ഒരു തോട്ടം ഉണ്ടാക്കി, അവിടുന്ന് സൃഷ്ടിച്ച മനുഷ്യനെ അവിടെ ആക്കി.
010209020f	കാണാൻ ഭംഗിയുള്ളതും ഭക്ഷ്യയോഗ്യവുമായ എല്ലാ ഫലങ്ങളും ഉള്ള വൃക്ഷങ്ങളും, തോട്ടത്തിന്‍റെ നടുവിൽ ജീവവൃക്ഷവും, നന്മതിന്മകളെക്കുറിച്ചുള്ള അറിവിൻ്റെ വൃക്ഷവും, യഹോവയായ ദൈവം നിലത്തുനിന്നു മുളപ്പിച്ചു.
01020a00ff	തോട്ടം നനയ്ക്കുവാൻ ഒരു നദി ഏദെനിൽനിന്നു പുറപ്പെട്ടു; അത് അവിടെനിന്ന് നാലു കൈവഴിയായി പിരിഞ്ഞു.
01020b00e3	ഒന്നാമത്തേതിന് പീശോൻ എന്നു പേർ; അത് ഹവീലാദേശമൊക്കെയും ചുറ്റുന്നു; അവിടെ പൊന്നുണ്ട്.
01020c00c0	ആ ദേശത്തിലെ പൊന്ന് മേൽത്തരമാകുന്നു; അവിടെ ഗുല്ഗുലുവും ഗോമേദകവും ഉണ്ട്.
01020d00b1	രണ്ടാം നദിക്ക് ഗീഹോൻ എന്നു പേർ; അത് കൂശ്‌ദേശമൊക്കെയും ചുറ്റുന്നു.
01020e0117	മൂന്നാം നദിക്ക് ഹിദ്ദേക്കെൽ എന്നു പേർ; അത് അശ്ശൂരിനു കിഴക്കോട്ടു ഒഴുകുന്നു; നാലാം നദി ഫ്രാത്ത് ആകുന്നു.
01020f0129	യഹോവയായ ദൈവം മനുഷ്യനെ കൂട്ടിക്കൊണ്ട് പോയി ഏദെൻ തോട്ടത്തിൽ വേലചെയ്യുവാനും അതിനെ സൂക്ഷിക്കുവാനും അവിടെ ആക്കി.
010210012f	യഹോവയായ ദൈവം മനുഷ്യനോട് കല്പിച്ചത് എന്തെന്നാൽ: “തോട്ടത്തിലെ സകലവൃക്ഷങ്ങളുടെയും ഫലം നിനക്കു ഇഷ്ടംപോലെ തിന്നാം.
010211012f	എന്നാൽ നന്മതിന്മകളെക്കുറിച്ചുള്ള അറിവിൻ്റെ വൃക്ഷത്തിൻ ഫലം തിന്നരുത്; തിന്നുന്ന നാളിൽ നീ നിശ്ചയമായി മരിക്കും.”
010212015c	അനന്തരം യഹോവയായ ദൈവം: “മനുഷ്യൻ ഏകനായിരിക്കുന്നത് നന്നല്ല; ഞാൻ അവനു തക്കതായൊരു തുണയെ ഉണ്ടാക്കിക്കൊടുക്കും” എന്നു അരുളിച്ചെയ്തു.
0102130250	യഹോവയായ ദൈവം ഭൂമിയിലെ സകലമൃഗങ്ങളെയും ആകാശത്തിലെ എല്ലാ പറവകളെയും നിലത്തു നിന്നു നിർമ്മിച്ചിട്ട് മനുഷ്യൻ അവയ്ക്ക് എന്ത് പേരിടുമെന്ന് കാണുവാൻ അവന്‍റെ മുമ്പിൽ വരുത്തി; സകല ജീവജന്തുക്കൾക്കും ആദാം ഇട്ടത് അവയ്ക്ക് പേരായി.
0102140179	ആദാം എല്ലാ കന്നുകാലികൾക്കും ആകാശത്തിലെ പറവകൾക്കും എല്ലാ കാട്ടുമൃഗങ്ങൾക്കും പേരിട്ടു; എങ്കിലും മനുഷ്യന് തക്കതായൊരു തുണ കണ്ടുകിട്ടിയില്ല.
010215016e	ആകയാൽ യഹോവയായ ദൈവം മനുഷ്യന് ഒരു ഗാഢനിദ്ര വരുത്തി; അവൻ ഉറങ്ങിയപ്പോൾ അവന്‍റെ വാരിയെല്ലുകളിൽ ഒന്ന് എടുത്ത് അതിന് പകരം മാംസം പിടിപ്പിച്ചു.
0102160121	യഹോവയായ ദൈവം മനുഷ്യനിൽ നിന്നു എടുത്ത വാരിയെല്ലിനെ ഒരു സ്ത്രീയാക്കി, അവളെ മനുഷ്യന്‍റെ അടുക്കൽ കൊണ്ടുവന്നു.
01021701d9	അപ്പോൾ ആദാം; “ഇത് ഇപ്പോൾ എന്‍റെ അസ്ഥിയിൽ നിന്നു അസ്ഥിയും എന്‍റെ മാംസത്തിൽനിന്നു മാംസവും ആകുന്നു. ഇവളെ നരനിൽനിന്ന് എടുത്തിരിക്കുകയാൽ ഇവൾക്ക് നാരി എന്നു പേരാകും” എന്നു പറഞ്ഞു.
010218010e	അതുകൊണ്ട് പുരുഷൻ അപ്പനെയും അമ്മയെയും വിട്ടുപിരിഞ്ഞ് ഭാര്യയോടു പറ്റിച്ചേരും; അവർ ഒരു ദേഹമായി തീരും.
01021900c5	മനുഷ്യനും ഭാര്യയും ഇരുവരും നഗ്നരായിരുന്നു; അവർക്ക് നാണം തോന്നിയതുമില്ല.
010301024b	യഹോവയായ ദൈവം ഉണ്ടാക്കിയ എല്ലാ കാട്ടുജന്തുക്കളെക്കാളും പാമ്പ് കൗശലമേറിയതായിരുന്നു. അത് സ്ത്രീയോട്: “തോട്ടത്തിലെ യാതൊരു വൃക്ഷത്തിന്‍റെ ഫലവും നിങ്ങൾ തിന്നരുതെന്നു ദൈവം വാസ്തവമായി കല്പിച്ചിട്ടുണ്ടോ?” എന്നു ചോദിച്ചു.
01030200b9	സ്ത്രീ പാമ്പിനോട്: “തോട്ടത്തിലെ വൃക്ഷങ്ങളുടെ ഫലം ഞങ്ങൾക്കു തിന്നാം;
01030301a5	എന്നാൽ നിങ്ങൾ മരിക്കാതിരിക്കേണ്ടതിനു തോട്ടത്തിന്‍റെ നടുവിലുള്ള വൃക്ഷത്തിന്‍റെ ഫലം തിന്നരുത്, തൊടുകയും അരുത് എന്നു ദൈവം കല്പിച്ചിട്ടുണ്ട്” എന്നു പറഞ്ഞു.
0103040087	പാമ്പ് സ്ത്രീയോട്: “നിങ്ങൾ മരിക്കുകയില്ല നിശ്ചയം;
0103050191	അത് തിന്നുന്ന നാളിൽ നിങ്ങളുടെ കണ്ണ് തുറക്കുകയും നിങ്ങൾ നന്മതിന്മകളെ അറിയുന്നവരായി ദൈവത്തെപ്പോലെ ആകയും ചെയ്യും എന്നു ദൈവം അറിയുന്നു” എന്നു പറഞ്ഞു.
01030601ac	ആ വൃക്ഷഫലം തിന്നുവാൻ നല്ലതും കാണുവാൻ ഭംഗിയുള്ളതും ജ്ഞാനം പ്രാപിക്കുവാൻ അഭികാമ്യവും എന്നു സ്ത്രീ കണ്ടു ഫലം പറിച്ചു തിന്നു ഭർത്താവിനും കൊടുത്തു; അവനും തിന്നു.
010307013a	ഉടനെ രണ്ടുപേരുടെയും കണ്ണ് തുറന്നു. തങ്ങൾ നഗ്നരെന്ന് അറിഞ്ഞ്, അത്തിയില കൂട്ടിച്ചേര്‍ത്ത് തങ്ങൾക്ക് അരയാട ഉണ്ടാക്കി.
01030801b4	വെയിലാറിയപ്പോൾ യഹോവയായ ദൈവം തോട്ടത്തിൽ നടക്കുന്ന ഒച്ച അവർ കേട്ടു; മനുഷ്യനും ഭാര്യയും യഹോവയായ ദൈവം അവരെ കാണാതിരിക്കുവാൻ തോട്ടത്തിലെ വൃക്ഷങ്ങളുടെ ഇടയിൽ ഒളിച്ചു.
010309009c	യഹോവയായ ദൈവം മനുഷ്യനെ വിളിച്ചു: “നീ എവിടെ?“എന്നു ചോദിച്ചു.
01030a0101	“തോട്ടത്തിൽ അവിടുത്തെ ഒച്ച കേട്ടിട്ടു ഞാൻ നഗ്നനാകകൊണ്ട് ഭയപ്പെട്ട് ഒളിച്ചു” എന്നു അവൻ പറഞ്ഞു.
01030b0139	“നീ നഗ്നനെന്നു നിന്നോട് ആര്‍ പറഞ്ഞു? തിന്നരുതെന്ന് ഞാൻ നിന്നോട് കല്പിച്ച വൃക്ഷഫലം നീ തിന്നുവോ?“എന്നു ദൈവം ചോദിച്ചു.
01030c0140	അതിന് മനുഷ്യൻ: “എന്നോട് കൂടെ വസിക്കുവാൻ അങ്ങ് തന്നിട്ടുള്ള സ്ത്രീ വൃക്ഷഫലം തന്നു; ഞാൻ തിന്നുകയും ചെയ്തു” എന്നു പറഞ്ഞു.
01030d015e	യഹോവയായ ദൈവം സ്ത്രീയോട്: “നീ എന്താണ് ഈ ചെയ്തത്? എന്നു ചോദിച്ചു. അതിന്: “പാമ്പ് എന്നെ വഞ്ചിച്ചു, ഞാൻ തിന്നുപോയി” എന്നു സ്ത്രീ പറഞ്ഞു.
01030e0230	യഹോവയായ ദൈവം പാമ്പിനോട് കല്പിച്ചത്: “നീ ഇത് ചെയ്തതുകൊണ്ട് എല്ലാ കന്നുകാലികളിലും എല്ലാ കാട്ടുമൃഗങ്ങളിലുംവച്ച് നീ ശപിക്കപ്പെട്ടിരിക്കുന്നു; നീ ഉരസ്സുകൊണ്ടു ഇഴഞ്ഞ് നിന്‍റെ ജീവിതാവസാനത്തോളം നീ പൊടി തിന്നും.
01030f0188	ഞാൻ നിനക്കും സ്ത്രീക്കും നിന്‍റെ സന്തതിക്കും അവളുടെ സന്തതിക്കും തമ്മിൽ ശത്രുത ഉണ്ടാക്കും. അവൻ നിന്‍റെ തല തകർക്കും; നീ അവന്‍റെ കുതികാൽ തകർക്കും.”
01031001d1	സ്ത്രീയോട് കല്പിച്ചത്: “ഞാൻ നിനക്കു ഗർഭധാരണ ക്ലേശം ഏറ്റവും വർദ്ധിപ്പിക്കും; നീ വേദനയോടെ മക്കളെ പ്രസവിക്കും; നിന്‍റെ ആഗ്രഹം നിന്‍റെ ഭർത്താവിനോട് ആകും; അവൻ നിന്നെ ഭരിക്കും.”
01031102a3	ആദാമിനോട് കല്പിച്ചതോ: “നീ നിന്‍റെ ഭാര്യയുടെ വാക്ക് അനുസരിക്കുകയും തിന്നരുതെന്ന് ഞാൻ കല്പിച്ച വൃക്ഷഫലം തിന്നുകയും ചെയ്തതുകൊണ്ട് നിന്‍റെ നിമിത്തം ഭൂമി ശപിക്കപ്പെട്ടിരിക്കുന്നു; നിന്‍റെ ആയുഷ്ക്കാലം മുഴുവൻ നീ കഷ്ടതയോടെ അതിൽനിന്ന് ഉപജീവനം കഴിക്കും.
01031200c8	മുള്ളും പറക്കാരയും അതിൽനിന്ന് മുളയ്ക്കും; വയലിലെ സസ്യം നിനക്കു ആഹാരമാകും
010313017e	നിലത്തുനിന്നു നിന്നെ എടുത്തിരിക്കുന്നു; അതിൽ തിരികെ ചേരുംവരെ മുഖത്തെ വിയർപ്പോടെ നീ ഉപജീവനം കഴിക്കും; നീ പൊടിയാകുന്നു, പൊടിയിൽ തിരികെ ചേരും.”
01031400e7	ജീവനുള്ള എല്ലാവർക്കും മാതാവായതുകൊണ്ട് ആദാം തന്‍റെ ഭാര്യയ്ക്കു ഹവ്വാ എന്നു പേരിട്ടു.
01031500f4	യഹോവയായ ദൈവം ആദാമിനും അവന്‍റെ ഭാര്യയ്ക്കും തോൽകൊണ്ട് വസ്ത്രം ഉണ്ടാക്കി അവരെ ധരിപ്പിച്ചു.
0103160254	യഹോവയായ ദൈവം: “നോക്കൂ, മനുഷ്യൻ നന്മതിന്മകളെ അറിയുവാൻ തക്കവിധം നമ്മിൽ ഒരുവനെപ്പോലെ ആയിത്തീർന്നിരിക്കുന്നു; ഇപ്പോൾ അവൻ കൈ നീട്ടി ജീവവൃക്ഷത്തിൻ്റെ ഫലം കൂടെ പറിച്ചുതിന്ന് എന്നേക്കും ജീവിക്കുവാൻ ഇടവരരുത്” എന്നു കല്പിച്ചു.
010317010c	അവനെ എടുത്തിരുന്ന നിലത്ത് കൃഷി ചെയ്യേണ്ടതിന് യഹോവയായ ദൈവം അവനെ ഏദെൻതോട്ടത്തിൽനിന്നു പുറത്താക്കി.
010318022d	ഇങ്ങനെ ദൈവം മനുഷ്യനെ ഇറക്കിവിട്ടു; ജീവന്‍റെ വൃക്ഷത്തിങ്കലേക്കുള്ള വഴി കാവൽചെയ്യുവാൻ അവിടുന്ന് ഏദെൻ തോട്ടത്തിന് കിഴക്ക് കെരൂബുകളെ എല്ലാ വശത്തേക്കും തിരിഞ്ഞുകൊണ്ടിരിക്കുന്ന ജ്വാലയുള്ള വാളുമായി നിർത്തി.
010401016e	ആദാം തന്‍റെ ഭാര്യയായ ഹവ്വായെ പരിഗ്രഹിച്ചു; അവൾ ഗർഭംധരിച്ചു കയീനെ പ്രസവിച്ചു: “യഹോവയാൽ എനിക്ക് ഒരു പുരുഷസന്തതിയെ ലഭിച്ചു” എന്നു പറഞ്ഞു.
0104020108	പിന്നെ അവൾ അവന്‍റെ അനുജനായ ഹാബെലിനെ പ്രസവിച്ചു. ഹാബെൽ ആട്ടിടയനും കയീൻ കൃഷിക്കാരനും ആയിത്തീർന്നു.
01040300ee	കുറെക്കാലം കഴിഞ്ഞിട്ട് കയീൻ നിലത്തെ ഫലത്തിൽ നിന്ന് യഹോവയ്ക്ക് ഒരു വഴിപാട് കൊണ്ടുവന്നു.
01040401ec	ഹാബെലും ആട്ടിൻകൂട്ടത്തിലെ കടിഞ്ഞൂലുകളിൽ നിന്ന് ഒന്നിനെ കൊന്ന്, അവയുടെ ഏറ്റവും കൊഴുപ്പുള്ള ഭാഗങ്ങളിൽ നിന്ന് ഒരു വഴിപാട് കൊണ്ടുവന്നു. യഹോവ ഹാബെലിലും അവന്‍റെ വഴിപാടിലും പ്രസാദിച്ചു.
01040500fa	കയീനിലും അവന്‍റെ വഴിപാടിലും അവിടുന്ന് പ്രസാദിച്ചില്ല. കയീൻ വളരെ കോപിച്ചു, അവന്‍റെ മുഖം വാടി.
01040600d2	അപ്പോൾ യഹോവ കയീനോട്: “നീ കോപിക്കുന്നത് എന്തിന്? നിന്‍റെ മുഖം വാടുന്നതും എന്ത്?
01040701fa	നീ ശരിയായത് ചെയ്യുന്നു എങ്കിൽ നിന്നിലും പ്രസാദമുണ്ടാകയില്ലയോ? നീ തിന്മ ചെയ്തതുകൊണ്ട് പാപം വാതില്ക്കൽ കിടക്കുന്നു; അതിന്‍റെ ആഗ്രഹം നിന്നോടാകുന്നു; നീയോ അതിനെ കീഴടക്കണം” എന്നു കല്പിച്ചു.
01040801aa	അപ്പോൾ കയീൻ തന്‍റെ അനുജനായ ഹാബെലിനോട് “നാം വയലിലേക്കു പോക” എന്നു പറഞ്ഞു. അവർ വയലിൽ ആയിരുന്നപ്പോൾ കയീൻ തന്‍റെ അനുജനായ ഹാബെലിനെതിരായി എഴുന്നേറ്റ് അവനെ കൊന്നു.
010409017c	പിന്നെ യഹോവ കയീനോട്: “നിന്‍റെ അനുജനായ ഹാബെൽ എവിടെ? എന്നു ചോദിച്ചതിന്: “എനിക്ക് അറിഞ്ഞുകൂടാ; ഞാൻ എന്‍റെ അനുജൻ്റെ കാവൽക്കാരനോ? എന്നു അവൻ പറഞ്ഞു.
01040a0156	അതിന് അവിടുന്ന് അരുളിച്ചെയ്തത്. “നീ എന്ത് ചെയ്തു? നിന്‍റെ അനുജൻ്റെ രക്തത്തിൻ്റെ ശബ്ദം ഭൂമിയിൽനിന്ന് എന്നോട് നിലവിളിക്കുന്നു.
01040b0137	ഇപ്പോൾ നിന്‍റെ കൈയിൽനിന്ന് നിന്‍റെ അനുജൻ്റെ രക്തം സ്വീകരിക്കുവാൻ വായ് തുറന്ന ദേശം വിട്ട് നീ ശാപഗ്രസ്തനായി പോകേണം.
01040c0129	നീ കൃഷി ചെയ്യുമ്പോൾ നിലം ഇനി ഒരിക്കലും അതിന്‍റെ വീര്യം നിനക്കു തരികയില്ല; നീ ഭൂമിയിൽ അലഞ്ഞുതിരിയുന്നവൻ ആകും.”
01040d00cc	കയീൻ യഹോവയോട്: “എന്‍റെ ശിക്ഷ എനിക്ക് വഹിക്കുവാൻ കഴിയുന്നതിനെക്കാൾ വലുതാണ്.
01040e01a5	ഇതാ, അങ്ങ് ഇന്ന് എന്നെ പുറത്താക്കുന്നു; ഞാൻ തിരുസന്നിധിവിട്ട് ഒളിച്ചു ഭൂമിയിൽ അലഞ്ഞുതിരിയുന്നവൻ ആകും; ആരെങ്കിലും എന്നെ കണ്ടാൽ, എന്നെ കൊല്ലും” എന്നു പറഞ്ഞു.
01040f021b	യഹോവ അവനോട്: “അതുകൊണ്ട് ആരെങ്കിലും കയീനെ കൊന്നാൽ അവന്‍റെമേൽ ഏഴിരട്ടിയായി പ്രതികാരംചെയ്യും” എന്നു അരുളിച്ചെയ്തു; കയീനെ കാണുന്നവർ ആരും അവനെ കൊല്ലാതിരിക്കേണ്ടതിനു യഹോവ കയീൻ്റെമേൽ ഒരു അടയാളം പതിച്ചു.
01041000ff	അങ്ങനെ കയീൻ യഹോവയുടെ സന്നിധിയിൽ നിന്നു പുറപ്പെട്ടു ഏദെന് കിഴക്ക് നോദ് ദേശത്ത് ചെന്നു പാർത്തു.
010411016e	കയീൻ തന്‍റെ ഭാര്യയെ പരിഗ്രഹിച്ചു; അവൾ ഗർഭം ധരിച്ചു ഹാനോക്കിനെ പ്രസവിച്ചു. കയീൻ ഒരു പട്ടണം പണിതു, ഹാനോക്ക് എന്നു തന്‍റെ മകന്‍റെ പേരിട്ടു.
010412013d	ഹാനോക്കിന് ഈരാദ് ജനിച്ചു; ഈരാദ് മെഹൂയയേലിനു ജന്മം നൽകി; മെഹൂയയേൽ മെഥൂശയേലിനു ജന്മം നൽകി; മെഥൂശയേൽ ലാമെക്കിനു ജനകനായി.
01041300f0	ലാമെക്ക് രണ്ടു ഭാര്യമാരെ സ്വീകരിച്ചു; ഒരുവൾക്ക് ആദാ എന്നും മറ്റവൾക്കു സില്ലാ എന്നും പേർ.
