2800000007	Mathayo
280205004d	Kaba koya, “ku'Bethlehemu ya Ayahudi, mana nyon nga yaandikilwe ni manabii,
28020600a2	Ni wenga Bethlehemu, mu, nchi ya ya Yuda, nchunu kwaa nnonge ya iongozi ba Yuda. kwa kuwa kuoma kwako wabile mtawala ywalowa kuwachunga bandu bango ba Israeli.”
2802070056	Herode kabakema balo asomi kwa siri ni kabakoya muda gani hasa itondwa ipala bonekana.
28020800b9	Abatumite ku Bethlehemu, kakoya, “muyende mbolembole mukalaluye muda hasa mwana ywa abelekilwe. Palyo mwalowa m'bona, muniletei habari ili mwanja ni nenga niweche isa ni kumwabudu.”
2802090089	Paba myowine mpwalume, bayei ni mwanja wabe, ni tondwa lelo waibweni ngolo ni yatikuwalongoya mpakanpaluyemi kunani ya mwana pabelekwile.
28020a0026	Palyo paibweni tondwa, bapulaike muno.
28020b00a4	Bajingii nnyumba ni bamweni mwana ywa belekilwe ni Mariamu mao bake, batikunolekea ni kunnoba. Baundwi misigo yabe ni kumpeya zawadi ya dhahabu, uvumba ni manemane.
28020c004f	Nnongo atikubaonya mu'ndoto kana bapite kwa Herode, ila babuye kwa ndela yenge.
28020d00ba	Baada ya kuoma, malaika ba Ngwana ampiye Yusufu mundoto ni kukoya,'Uluka, umpotwe mwana ni mao bake ni m'butukie Misri. Mutame kwoo mpaka pana mmakiya, mwanja Herode apala mwana amulage.
28020e0046	Kilo Yusufu atiyumuka ni kupotwa mwana ni mao bake ni kabutukya Misri.
28020f0084	Atami kwoo mpaka Herode awile. Alee litimii lelo likowe lya longei Ngwana pitya kwa anabii, “kuoma Misri ni kemite mwana wango.”
28021000b3	Boka po Herode pabweni asomi batikonga, atikasirika sana. Alangi kwabulaga bana boti alalome bababile Bethlehemu miaka ibele mpaka pae yake kuoma muda ng'ulo wa akikishe na asomi.
280211003c	Palyo ngalitimii likowe lya alongei mukano wa nabii Yeremia,
2802120072	“Lilobe lyayowinike Rmah, kilelo sa lobola muno, Raheli kalelya bana bake, ni akani kumpembelya, mana bawile.”
280213004b	Herode pawile, linga malaika wa Ngwana atikumpitya Yusufu mu ndoto kaakoya,
2802140073	“Uluka untole mwana ni mao bake, ni myende mu'nnema ba'Aisraeli kwa maana babau palenge byomi wa mwana bawile.”
280215004c	Yusufu kayumuka ngampotwa mwana pamope ni mao bake, kaisa kunnema wa Israel.
28021600ac	Lakini payowine panga Arikelau abile katawala Yuda badala ta tate bake Herode. endeyogopa yenda kwao. Baada ya Nnongo kukalipwa kwa lota, atibuka yenda kunnema wa Galilaya.
2802170085	ni ayei tama kunnema woo waukemelwa Nazareti. Alee lenga lilimi likowe lyalongei kwa ndela ya manabii, panga alowa kemelwa Mnazareti.
280301004c	Palyo machiba ago Yohana mbatizaji atiisa kuhubiri kupongoti ya Yuda kakoya,
2803020036	“Mulobe samaha mana utawala wa Nnongo ubi karibu.”
2803030086	Maana ayoo nga mmaite manabii Isay kakoya, “Lilobe lyamundu buka kupongoti, mwibika tayari ndela ya Ngwana, mumugoloye mwalowa peta.
2803040078	Nambeambe Yohana aweti manyoya ga ngamia ni nkanda wa likenga nkibuno chake chakulya chake chaimapai nni busi wa mmwitu.
2803050060	Boka po Yerusalemu, Yuda yote, ni lieneo lyoti lyalitindiyete libendo lya Yordani bayei kachake.
2803060043	Bayendage batizilwa mulibende lya Yordani kuno bakitubu sambi zabe.
28030700ba	Ila paabweni mafarisayo ni Masadukayo banyansima kabankengama kwabe kupala batizwa, kabakokiya, “Mwenga mwa lukolo lya nng'ambo ywabile sumu nyai nyai ywakwelike mwitile gadhabu yaisa?
2803080026	Mupambike matunda gagalendine ni toba.
280309009e	Kana muwaze ni longela nkati yinu,'Tubile ni Ibrahimu kati tate bitu.' Kwa kuwa nenda kuwakokiya Nnongo awesa kutondobekeya Ibrahimu bana kuoma mu'maliwe aga.
28030a0089	Libengo tayari liyomwike bekelwa mu, mikega ya mikongo. Ni nkongo wawakotoka kwaa pambika matunda ganoike kutema ni kuteikuliwa pa mwoto.
28030b00c9	Nindakuwabatiza mu'mache kwaajili ya tubu, Lakini ywembe ywaicha nchogo yangu kulo nenga ni nchene ni nenga ngwesa kwaa hata kwipotwa ilatu yake, ywembe alowa kwabatiza kwa Roho Mtakatifu ni kwa mwoto.
28030c0088	Ni kipepeto sake kibii muluboko lwake pwaya sana lubanja lyake ni kumba ngano yake muligala. Lakini atinie makapi mo mwoto wainika kwaa.
28030d0045	Yesu kaisa kuoma Galilaya mpaka lubendo Yordani abatizwile ni Yohana.
28030e0068	Lakini Yohana apalage kana kakoya, “Nenga nipalikwa nibatizilwe ni wenga, ni wenga kaicha kachango?”
28030f0076	Yesu kayangwa ni kukoya, Uyeketi ibe nyonyo saa yeno, kwa sababu ipalikwa timiza haki yoti.”kisha Yohana atiyeketya.
2803100097	Baada yabatizilya, mara Yesu apitike mmache, linga, kunani kwatiyogopa kayake ni amweni Roho ya Nnongo kuuluka kwa mfano wa nngunda ngaloa pantwe wake.
2803110054	Lola, lilobe latiboka kumaunde ni kukoya, “Ayo nga mwana wango nimpendile muno.”
280401004c	Boka po Yesu ngapelekelwa ni Roho mpaka kupongoti lenga ajaribiwe ni nchela.
2804020039	Atabike masoba arobaini mutwekati ni kilo ngaibona njala.
2804030071	Nchela atimwichilya ni kunkokiya, “Mana itei wenga wa mwana wa Nnongo, ugabakiye maliwe aga gapangite nkate.”
280404008a	Lakini Yesu kan'yangwa ni kunkokiya, “Itiandikwa,'Mundu kana atama kwa nkate kichake, ila kwa kila likowe lyapita munkano wa Nnongo.'”
280405005b	Boka po nchela ampelekile kunnema mtakatifu ni kunbeka kunani muno ya kuliyengo lya hekalu,
28040600d3	ni kunkoya, “Mana itei wenga wa mwana wa Nnongo, witomboye pae, maana itiandikwa,'Alowa kwalazimisha malaika bake pake pakupoke,' ni 'kuku kakatuya kwa maboko gabe, linga wakana kobala lungolo lwake muliwe.”
2804070044	Yesu kaakoya, “Kae iandikilwe, kana un'geye Ngwana Nnongo bako.”
280408006a	Boka po nchela ngamputwike yendya mahali pa kunani muno ngamnaya utawala wote wa dunia ni ikowe yake yoti.
280409004a	Kakoya, “Nalowa kukupeya ilebe yoti yino mana unisujudu ni kuniabudu.”
28040a0087	Boka po Yesu kankoya, “boka uyende wa nchela! Mana iandikilwe,'Ipalikwa kumwabudu Ngwana Nnongo bako, ni umtumikie yembe kichake.'”
28040b0037	Nchela anlekite, nga linga, malaika ngaisa kunyangatia.
28040c0040	Yesu nga yowine panga Yohana ateboyolwa, atiboka mpaka Galilaya.
28040d0081	Abokite Nazareti yenda ni kutama Karperanaumu, yaibile papipi ni bahari ya Galilaya, mpakani mwa lijimbo lya Zabuloni ni Naftali.
28040e0036	Ayee yapiti lenga litimii chelo chalongei nabii Isaya,
28040f0062	Ku nnema wa Zabuloni ni nnema wa Naftali yendelya kubari, kwiye ya Yordani, Galilaya ya bamataifa!
2804100079	Bandu babatami mulubendo baubweni mbwega wananchima, ni balo batami pamwili wa kiwo, kunani ya mbwega yatikuwaangazia.”
280411005a	Kuoma muda woo Yesu atumbwi hubiri kakoya, “mutubu, mana utawala wa kunani ulegelile.”
28041200ab	Abile atyanga mbwega ya bahari ya Galilaya, amweni apendo abele, Simoni ywa kemela Petro, ni Andrea kaka bake, kabatengwa mbelete yabe mubahari, mana babile avuvi ba omba.
2804130047	Yesu kaakoya, “Muiche munikengame, nilowa kuwapeya uvuvi wa bandu.”
2804140028	Nga bailekite belele yabe ni kumkengama.
28041500b1	Yesu abile kayendelya kuoma abweni apendo benge, Yakobo mwana wa Zebedayo, ni Yohana kaka bake babile mungalaba pamope ni tate babe Zebedayo kaba sokota mbelele yabe, Nga akema,
2804160040	ni mara jimo baileka ngalaba ni tate babe ni bembe kabankengama.
280417007b	Yesu ayei karibia Galilaya yoti, kapundisha mumasinagogi gabe kahubiri Injili ya utawala, ni kuponya kila matamwe ga bandu.
28041800b1	Habari yake yayowanike Siria yoti, ni bandu kabaleta balo boti atamwe, bababile ni malazi goti ni minya, bababile ni moka, ni bene kiundaundani bababile lemile. Yesu kabaponiya.
2804190072	kipenga sa bandu bati kunkengama kuoma Galilaya ni Dekapoli, ni Yerusalemu ni Uyahudi ni kuoma ng'ambo ya Yordani.
2805010065	Yesu paakibweni kipenga sa bandu, atiboka ayei pakitumbi, paatami pae, banapunzi bake baichi kichake.
2805020027	Nga yowa nkano wake kapundisha, kakoya,
280503003c	“Heri bababile akeba ba Roho maana utawala wa Nnongo wabe.
2805040029	Heri balo bene huzuni, mana batafarijiwa.
280505002a	Heri bene upole, mana balowa kurithi nchi.
2805060036	Heri bene njala ni kui ya haki, mana bapala yukutilwa.
280507002d	Heri bene rehema mana abo bapala pata Rehema.
2805080031	Heri bene mwoyo sapi mana walowa kum'bona Nnongo.
2805090042	Heri bapatanishi ba haki, maana abo balowa kemelwa bana ba Nnongo.
28050a0047	Heri balo babateswa kwaajili ya haki, maana upwalume wa Nnongo ni wabe.
28050b006e	Heri mwenga mwamutukanilwa ni bandu ni kuwatesa, au kubakokeya kila ubaya kachinu kwa ubocho kwa mwanja nenga.
28050c007f	Mupulaike ni luluta, maana thawabu yinu ni ngolo kunani kumaunde. Kwa kuwa nga bandu gaba-apangite manabii bababile kabla yinu.
28050d00ae	Mwenga mwa mwinyo wa dunia. Lakini kati mwinyo uaribike, olowa pangika kitiwi ubenanoga kwake kae? Iwezekana kwaa ube ni radha ili kujita panja ni kulebata ni agolo ga bandu.
28050e0047	Mwenga mwa mbwega wa dunia. Nnema wauchengilwe pakitombe wiyobeya kwaa.
28050f0070	Bandu bawasha kwaa taa ni kwibeka pae ya kindanda, ila kunani, ni ywembe yenda kuwamulikya boti nkati ya nyumba.
280510006e	Ni mbwega winu umulike nnongi ya bandu linga bagabone matendo gananoga ni kumsifu tate binu ywaabile kumaunde.
2805110058	Kana muwase niichi kuibulaga saliya wala manabii, niichile kwaa kuiharibu ila kwitimiza.
280512009f	Kwakweli nindakuwakoya nyoo mpaka maunde ni dunia yate pita mtupo yodi wala nukuta jimo ya saliya yayalowa kuoma musaliya mpaka po kila kilebe kiyomwile timia.
28051300d7	Eyo yeyote ywatekwana amri njunu yimo nkati ya amri yee nikuwapudisha benge panga nyoo alowa kemelwa nchunu mu'utawala wa kumaunde. Lakini ywoywoti ywaikamwa ni kuipudisha alowa kemelwa nkolo mu'utawala wa kumaunde.
280514008c	Kwa maana nabakokiya ukweli winu mana mukotwike kwazidi baandishi ni mafarisayo, kwa vyovyoti mwabile mwajingya nkati ya ufalme wa kumaunde.
2805150060	Muyowine yabakiyilye zamani panga, “kana ubulage” ni ywoywoti ywa bulaga abi pae ya hukumu.'
28051600e2	Lakini nendakuwakokiya ywoywoti ywanchukiya nnongowe apalikwa ukumilwa. Ni ywoywoti ywammakiya nnongowe panga, wenga wa mundu wangefaika! apangika kwa ballaza, Ni ywoywoti ywabaya wenga wa nyinga apalikwa ni mwoto wa jehanamu.
2805170057	Eyo mana kopiya sadaka yako nnonge ya Nnongo ni kankombokiya panga winakikowe nnongogo.
2805180079	Uwileke sadaka nnonge ya madhabahu, ni ukamwe ndela yako. Ukapatane wete nnongo'wo, ni boka po uiche kuitola sadaka yako.
280519008a	Upembele ni mshitaki wako upesi, uwineke mundela kamuyenda mahakamani, kinyime chake alowa kupeleka kwa hakimu ni kukutaikulya muligereza.
28051a0053	Muamini nendakuwamakiya, walowa lekelwa kwa mpaka ulepe senti ya mwisho yalongelwa.
28051b0034	Muyowine yaiikokiywe panga, “Kaa ube ni malaya.”
28051c0064	Lakini neda kuwakokiya ywoywoti ywa nnolekeya nnwawa kwa kutamaniya ayomwile gonja nakwe mwoyo wake.
28051d00b6	Na mana itei liyo lyako lya kummaliyo lyenda kuobeya, ulitolwe ulitaikwe kutalu ni wenga. Kwasababu bora kiungo chimo cha payega yako kiobe kuliko yega yako yoti watakulikwe jehaamu.
28051e00b9	Na mana itei luboko lwako lwa kummaliyo lyenda kukosea, walukate ni kulutaikwa kutalu ni wenga. mana bora kiungo chako chimo cha payega yako kiobe kuliko yega nzima taikulilwa jehanamu.
28051f0040	Itibakijilwa kae, jwalowa kuneka nnyumbowe ampei hati ya talaka'
280520009a	Lakini nenda kuwakokiya, ywoywoti jwa nneka nnyumbowe, ila kwa abari ya umalaya, apanga mmalaya, i ywoywoti ywa nkobeka baada ya peyelwa taraka enda zini.
280521005d	Kai muyowine batibakijilwa balo azamai,'kana mulape kwa ubocho, umtumikiye Ngwana lapa kwako'
2805220058	Ila nenda kuwakokiya, kana mulape hata pasene, au kwa maunde, kwasababu kuezi ya Nnongo;
2805230059	Wala kwa dunia, maana ngabeka magolo gake, aokwa Yerusalem, maana ni nema mpwalume nkolo.
280524005b	Wala kana walape kwa mtwe wako, mana uweza kwa kulupanga lunywili limo panga luua u lupili.
280525005d	Ila makowe ginu gabe, “Kweli, kweli, kana, kana,'mana ywa yongeya makowe gabuka kwa nchela.
280526003d	Muyowine ikokiywe panga, “Liyo kwa liyo, ni lino kwa lino.'
2805270075	Lakini nenda kuwakokiya, kana mwasindane nchochi, lakini mundu akukombile ligomo lya mmaliyo wangalambukiye ni lenge.
2805280047	Ni mundu ywa lowa kukushitaki ni kuitola nganju yako, unneki ni likoti.
280529003e	Ni mundu ywa kulazimisha yenda maili jimo wayende nakwe ibele.
28052a0031	Ywa kuloba wampei, ni ywapala kukopa kana untile.
28052b0044	Muyowine panga ikokiywe,'umpende jirani bako ni umchukie adui bako.'
28052c0040	Lakini nenga nendakuwakokiya, mwapende adui binu mwalobii mwisi,
28052d009b	linga mupange mwabana batate binu bababile kumaunde, maana jwembe amulikya lisoba lyake abaya ni bema, ulaenda niya kwa bandu boti bene haki ni bange haki.
28052e0060	Mana mene mwapendi babapendile mwenga mupata thawabu gani? Hata bai! ni bembe bapanga kwaa nyoo?
28052f0063	Kae mana mwapendi alongo binu bai, mupanga namani cha zaidi? Hata bandu bageaminiye bapanga kwaago?
2805300055	Bai mwenga mwalowa panga mwatakatifu, kati tate binu ba kumaunde mwababile atakatifu.
2806010067	Kana upange makowe ganoite kwa bandu linga ubonekane, wapata kwaa thawabu buka kwa Tate abile kumaunde.
28060200b8	Kwaiyo mana kopiya kana upage ndoti na kuipuna mwene kati nanfiki babapanga mumasinagogi gabe ni mumitaa, linga panga bandu balumbe, kweli nenda kuakokiya, bayowine pokya thawabu yabe.
280603005e	Lakini wenga mana kopiya, liboko lyako lya mashoto kunkeya lwa mmalyo kana lutange chakipanga.
2806040079	linga panga zawadi yako ipijilwe kwa siri, ni Tate bako babakubona kwa siri alowa kukupeya zawadi yake ipiyilwa kwa siri.
28060500a8	paupanga, kana ube kati wa nnafiki, maana bapendike yema ni loba 'mumasinagogi ni mulukona, linga panga babonekane ni bandumkweli nenda kuakokiya bapokite thawabu yabe.
28060600a7	Lakini wenga, mana ulobie, kuyingii mu, chumba, ujigale nnango, ni ulobe kwa mwanja tate bako ywa abile musiri, Nga Tate bako ywaaibona siri alowa kupeya thawabu yako.
2806070086	Na paaloba, kana ukeme kwaa marudio kati ya apanga amataifa, kwasababu bawasa panga balowa kwayowa kwa mwanza makowe gabe gana nchima.
2806080058	Kwa eyo, kana mube kati bembe, mana Tate bako atangite ywagapala hata balo waloba kwake.
280609004c	Kwa eyo, mulobe nyonyo, “Tate bitu waubile kumaunde, lina lyako litukuzwe.
28060a004d	Upwalume wako uiche, champendile kipangilwe hapa pakilambo kati kwo kumaunde.
28060b0026	Utupei lino nkate witu wa kila lisoba.
28060c003b	Utusamee madeni yitu, kati twenga twatuwasamee wadeni witu.
28060d0035	Kana utupei majaribu, lakini utulopwe ni yulu nchela.
28060e0061	mana itei mwalowa kwasamiya kwa makosa gabe, Ni Tate bako ywabile kumaunde apala kwasamee mwenga.
28060f0059	Lakini yaibile muwasamee kwaa makosa gabe, Tate binu awasamee kwaa makosa yinu ni mwenga.
28061000d8	Zaidi ya yoti, mana autabike, kana ubonekane kuminyo kwati kekenaa kati anafiki mwabapaga, mana benda kekenala kuminyo yabe linga bababonikine ni bandu, panga batabike. Kweli niaalokiya, bayomwite pokya thawabu yabe.
2806110047	Lakini wenga, mana utabike, upakile mauta mutwe wako ni uuluwe kuminyo.
2806120067	Nyoo watanganikwa kwaa ni bandu panga utabike, ila Tate bako ywabile musiri, alowa kupeya thawabu yako.
2806130052	Kna ubeke akiba mukilambo, mabongo ni kutu yalowa alibiya, ni bai tekwana ni jiba.
280614006c	Itunzie akiba yako mwene kumaunde, hakwo mabongo wala kutu ialabiya kwaa ni mwii aweza kwaa tekwana ni jiba.
2806150036	Mana akiba yako paibile, ni mwoyo bako nga walowa baa.
280616005e	Liyo nga taa ya payega, kwa eyo, mana itei liyo lyako likoto, yega yoti walowa panga ni bwega.
280617009d	Lakini mana liyo lyene libou, yega yako yoti, iba twelya lybendo totoro. Kwa eyo, mana itei bweya waubile nkati yake lubendo hasa, lubendo lukolo kiasi gani!
28061800b1	Ntopo hata yumo ywaweza kwatumikya ngwana abele, mana alowa kunchukiya yumo ni umpenda ywenge, au alowa tama kwa yumo ni kunzalau ywenge, mwaweza kwaa kuntumikya Nnongo ni mali.
2806190064	Kwa eyo nendakukokiya, kana mube ni masaka husi maisha gako, panga mwalwaa namani ni mwawala namani.
28061a00af	Lola iyuni ya kunani, bapanda kwaa, bauna kwaa, ni kana bakusanye ni kutunza mughala, lakini Tate binu ywaabile kumaunde ubalisha. Namani mwenga mwa thamani kwaa kuliko iyuni?
28061b004c	Nyai nkati yinu ywaisumbukiya ywa enda weza kwiyongeya miaka ya maisha gake?
28061c007c	Mwanja namani mukonda mashaka husu mawalo? muwase maloba ga mumigunda, mwaganawili. Gapanga kwaa lyengo ni gaweza kwiwalika.
28061d0051	Bado niakokiya, hata Sulemani wakati wa utawala wake awalikwe kwa kati ga mulobe.
28061e00b8	Mana itei Nnongo agawalika manyei mu'ng'unda ni gatama kwaa miaka yananchima malao baika kagataikulya kumwoto, tubwe kwa kitiwi mwalowa kumwalika mwenga, mwenga mwabile ni imani njene?
28061f007b	Tubwe kana bube ni mashaka kamukoya,'mwakolongwa tulolya namani?'Au “Twalowa nywaa kele?” au twalowa waa ngobo gani?”
2806200062	Mana amataifa nembe bapala makowe aga, ni Tate binu ywa kumaunde atangite panga mwenda gapala goo.
280621004a	Lakini wete mupale utawala wake ni kweli wake ni ago goti mwalowa peyelwa.
280622007c	Kwa eyo, kana ubeke shaka kwaajili ya malabo, mana malabo yaisumbukya yene. Kila lisoba lyalengani kwa litatizo lyake lyene.
2807010028	Kana uhukumu, ni wenga walowa hukumilwa.
2807020076	Kwa hukumu yalowa kubahukumu benge, ni wenga walowa hukumilwa. Kwa kipimo sa upimite ni wenga walowa pemelwa chechelo.
280703006f	Mwanja namani ulolekipande cha kibile muliyo lya nnongowo, lakini utanga kwaa lipekete lya libile muliyo lyako?
280704007a	Uweza buli baya kwa nongowo, linda nikubuye kipande sa kibile muliyo lya nongowo, wakati wabile ni lipekete mu'liyo lyako?
280705008b	Wannafiki wenga, “wete uboye lipekete lyalibile muliyo lyako, ngauweza kuliboa kinanoga ni kummoya nongowo lyalibile muliyo lya nnongowo.
28070600cf	Kana uwapei mbwa chakulya kitakatifu, ni kana wataikuli magombe kilebe cha thamani nnonge yabe. Mana balowa kuitahabikya ni kwi lebata kwa magolo, ni kai bakugalambukya wenga ni kukupalangwana ipande ipande.
2807070067	Loba, ni wenga walowa pata, Upate ni wenga walowa kwibonapanga. Upinge hodi, ni wenga wapala yogolelwa.
2807080046	ywoywoti ywa loba, upokya. Ni ywoywoti ywabisha hodi, apala yogolelwa,
2807090057	Au abile mundu nkati yinu ywabile, mwana wake anobite kipande sa nkate apala mpei liwe?
28070a0034	Au maa anobite omab, ni ywembe apala mpeya lingambo?
28070b00a1	Kwa eyo, mana itei mwenga mwabaya mutangite kuwapea wana winu zawadi inogite, je kiasi gani kwa Tate ywabile kumaunde apala kuwapea ilebe inanoga balo bannobite?
28070c0065	Kwasababu eyo, waupala pangilwa ni bandu benge ni wenga wapayi nyonyonyo mana ayee sheria ni manabii.
28070d0079	Mjingi kwo pitya niyango wabana, Mana nnyango nkolo ni ndela ngolo yeyenda kuobi, ni bandu babapeta ndela yoo bananchima.
28070e0051	Nnyango watibana, nnyango wabana ni ndela yeeyenda kuukoti achunu baweza kuibona.
28070f0065	Muiazari ni manabii baubocho, balowaicha bawati likengo lya ngondolo, lakini kumbe kibwa mwitu akale.
280710006f	Kwa matokeo gabe mwalowa kuwataba, je bandu baweza una matunda gaanoga muichongoma, au tini mukongo wa mbaruti?
280711006f	Kwa nyoo bai, kila mkongo unanoga upambika matunda gananoga, lakini mkongo mmaya upambika matunda ganoite kwaa.
280712006f	Mkongo unanoga uweza kwaa pambika matunda yanoite kwaa, ata mkongo unanyata uweza kwa pambika matunda gananoga.
2807130043	Kila mkongo waupambika kwaa matunda yanoite walowa taikwa mu mwoto.
2807140031	Nga nyo, mwalowa kwatanga bokana ni matunda gabe.
280715008b	Si kila mundu ywanikema nenga,'Ngwana, Ngwana,' alowa jingya mu upwalume wa kumaunde, ila yolo ywapanga gagapendike Tate bangu ba kumaunde.
28071600a9	Bandu bananchima banibakiya lisoba lyo,'Ngwana, Ngwana, twapiyete kwa unabii kwa lina lyako, tukemile kwa masetani kwa lina lyako ni lina lyako twapagite makowe makolo?'
280717004f	Nga niakokiya wazi,'Niatangite kwaa mwenga! muboke kachango, mwamupanga sambi!'
2807180075	Kwa eyo, kila yumo ywayowa maneno gango ni kugatii alowa landana ni mundu mwene lunda ywachengite nyumba yake paliwe.
2807190070	Ulatiniya machegatitwelyana na mbonga ya tiputa nyumba yoo lakini wawezike kwa bomoka maana ya chengilwa paliwe.
28071a006e	Namundu jwa liyowa likowe iyango alitikwako aliwapangitwa katimundu ngalunda jwachungite nyumba yake palwangi.
28071b005f	Ulatisa mafuliko gatiicha mbonga yatipukatya na kwikobwa nyumba yoo! ngobomoka na alibika sana.
28071c004b	Wakati yesu payomwi longule makowe gaa bandu batigasangala mapundisho gake.
28071d0040	Mana apundishike katimundu mwene utawala sio kati waandishi babe
280801003b	Ysu pauluka buka pakitombe bandu banyansima batikuukengama.
2808020055	Lola mwene ukoma atikukilikitya nnonge yake kabaya.”Nngwana mana uwezike uniponeye.
280803005a	Yesu ngamkwamwa na liboko lwake kabaya “mbala ube wankoti,” popopo ngapona ukoma wake.
2808040095	Yesu kankokeya, “lola kene wamakiye munelu jwo jwote. Uyende ukailaye kwa makuwani na upiye sadaka kati Musa mwalagile, lenga na bembe bakatange”
2808050033	Yesu paikite kaperanaumu jemedari atei ni kunnobia,
280806004f	kabaya, “Nngwana, mtumishi wango atigonja kasango alipooza na andaminya sana.
280807002f	Yesu ngammakiya, “nalowaicha na kumponeya.”
2808080092	Jemedari kanyangwa na kummakiya, “Ngwana nega najwa thamani kwaa hatawiche nojingya nnyumba yango ulongele likowe tuu na mtumwa wango alowapona.
28080900ad	Mana nenga wa mundu wa mwene utawala na nibii na askari pae yangu mana nibaite wenga ayo yenda na kayenda na wenga isa aicha na kwa tumishi wango panga nyoo nanjwembe panga!
28080a008f	Yesu payowine nyoo atashangala sana na kwabakiya balo baba nkengamage kweli nendakumakiya napata kwa kumona mundu mwene imanikati yoo Muisrael.
28080b0084	Nendakumakiya baingi balowaisa buka kubwani na kubara balowa tama pameza pamope na Abrahamu, Isaka na Yakobo mu utawala wa kumaunde.
28080c005e	Lakini bana ba ufalme balowa taikulilwa mulubendo lwa panja nga kwaba na kulelo na tauna mino.
28080d006a	Yesu ngamakiya jemedari yenda kati mwoyo mwi aminiya naipangi lwe nyo kachako namtumishi aponi muda wowowo
28080e005d	Wakati Yesu paaikite kunyumba ya Petro, amweni mao bake nyumbowe Petro agonjike kaminya homa.
28080f004f	Yesu kankamwa ni luboko lwake, ni homa yake gainneka. Ngayumuka kaba muhudumia.
2808100067	Piikite kitamunyo, bandu banletike Yesu bandu banyansima bene nsela. Kaabuya nsela ni kuaponiya atamwe.
