2800000005	Mateu
2801180079	Josefa ha vuka ku ñonzi zakwe ni ku chita ka kuya ke Iñeloi lya Simwine muli va mu laeli mi ca mu hinda kuva mwihyavwe.
2801190057	Kono kana aba lali naye konji ha zala mwana' mushisu. Mi ava mu sumpisi izina lya Jesu.
2802010084	Jesu hamana kuzalwa mwa Betelehema ya Judea mwi nako za simwine Heroda, vakwame valitutite vazwa kuvuzwe zuba civeza mwa Jerusalema,
2802020074	“Wina kuhi yava zalwa simwine wa Majuda? kakuti twavona inkani yakwe kuvuzwe bwe zuva, twakeza kukumu fukamina”.
2802030047	Simwine Heroda hazuwa catiya ahulu mane nivantu vamwa Jerusalema vonse.
280204006d	Heroda ca supa ma Purisita vonse ni vañoli va mulao mi cava vuza nati, “Kriste uswanela kuzalilwa kuhi”?
280205004a	Civamuco kuti Mwa Bethelehema wa Judea, kakuti muvava ñoleli va porofita,
280206007a	Iwe, Bethelehema, mwinkanda ya Juda, kana umunini kuvayendisi va Juda, mukuzwe muyendisi yete a alise cisi ca Isilaele”.
280207005b	Cwale Heroda ca sumpila va litutite kumbali nikuva vuza kuti inkani yavoneka inakonzi luli.
2802080095	Cavatuma kwa Bethelehema nikuvata kuti “muyende mukasakisise ce ntokomero muhwile, cimwaka muwana, zemuniizibise name zeniyende nikamu fukamine.”
280209009c	Havamana kuzuwa kwa simwine, civaliyendeza mi inkani ivava voni kuvuzwezuva ciyava yenda kuvusu nikuka zimaninina hewulu lye civaka mwa vali kwikere mucice.
28020a002f	Hava vona inkani civa sanga ahulu cokuhitiriza.
28020b009a	Habenjila mwinzuvo civa vona mucice nena ni Maria nyina. Civa fukama nikumu lapera. Civavungununa cifumu cavo nikumuha impo ze gauda, ni insense, ni mira.
28020c0064	Ireza cava kalimera muciloto kuti sanzi vaboli kwa Heroda, mi civavola kwi nkanda yavo cenzila ingi.
28020d00df	Hava yenda, iñiroi lye Ireza cilye zira Josefa kwi ñonzi mi cilyati, “vuke uhinde mucice niva nyina, mutirire kwa Egepita, muke kale kwateni kusikira hete nini kuwambile, kakuti Heroda mwasake mucice kuti a mwi haye.”
28020e004e	A o masiku Josefa cavuka nikuhinda muhwire niva nyina niku tilira kwa Egepita.
28020f009f	ava kekali kwa Egepita kusikira he fu lya Heroda. Ici ci be zuzilizi civa wambwa nji Ireza camu porofita, “kuzwa mwa Egepita niva sumpi mwangu wo muswisu.”
2802100135	Cwale Heroda havona kuti vakwame va litutite vavamucengi, cavenga ahulu. avatumini vantu kuti vake haye vahwile vonse veciswisu mwa Bethelehema, mane nimucilalo conse civehaya vahwile ve zilimo zo vere kuzwa hakuzalwa kuvoza hansi, cokuya ce inako yava lakalezi kuzwa havava mu wambilili va kwame va litutite.
2802110036	Mi cikwalizuziliza civa wambiwa ca muporofita Jeremia,
2802120088	“Linzwi li vazuweki mwa Rammah, cililo ni kuvokolola kukando, Rahele ulilira vana vakwe ukana mane nikutontozwa kakuti kavasikwina.”
280213005b	Hafwa Heroda, Ingiloi lya Ireza cilyeza kuvoneka kwa Josefa muciloto mwa Egepita ni kumuta,
2802140071	Vuke hinde mwana niva nyina mi uyende kwi nkanda ya Isilaele, kakuti vavali kusaka kwi haya mucice ci vavafwi.”
280215004a	Josefa ca vuka ni kuhinda muhwire niva nyina civeza mwinkanda ya Isilaere.
280216009f	kono hazuwa kuti Arkelausi avali ku vusa mwa Judea ha cipula cesi Heroda, ava tiyi kuya kwateni. mi Ireza camukalimera muciloto, cayenda kwi nkanda ya Galileya
280217007a	mi cayenda mi cakekala mucivaka cisupwa Nazareta. I ci cibezuzilizi civawambiwa cava Porofita, kuti mwa supwe mu Nazareta.
280301004f	Ku mazuba ao Joani mukolobezi chakeza na kutaza mwi halaupa ya Judea nata kuti,
2803020032	“Mubake ka kuli mubuso we renza wina ha fuhi.”
28030300a3	Ka kuli linzwi ni lya wambwa ngi mupolofita Isaya, halili, “Linzwi yo zumwi li huweleza mwi halaupa, 'mulukise enzila ye renza, mupange enzila zi wotolokete.'”
2803040086	Yahanu Joani u zabala cizabalo zo boza bwe ka mele ni lutunga lwe ndalo mwi muunda. Zilyo za kwe baili epasu ni buchi bo mwi munkanda.
2803050062	Cwale Jelusalema, Judeya yose ni nkanda yose bo mumukulela wa lwizwi lwa Joludani ci bayenda kwali
2803060050	Cibeza ku kolobezwa kwali mu lwizwi lwa Jolundani, a bo ni baliwaba zibi za boo.
28030700af	Kono ha bona bungi bwa bafalisi ni masaduki ba keza kwali kwi i nkolobezo, ca ba wambila, “Enwe bana be nzoka zina cifanu, aba mulwili kutiya bukali bwe renza bu keza njeni?
2803080026	Cwale mubike zihantu zi bonisa kubaka.
2803090093	Cwale musiye kuzeza kuli wanbila mukati kenu,'Twina Abulahama ishetu.' Cwale ni milwila kuti irenza uo wola kukatwila Abrahama bahwile ha aa mabwe.
28030a007a	Hanu imbezo izimene ku mihisi ya masamu. Cikuni conse ci sabiki zihantu zilotu mu citemwene hansi ni ku sohelwa mu mulilo.
28030b00b8	Ni mi mikolobeza ni mezi kubonisa kubaka. Kono iye u kezite mu masule angu mukando kwa ngu, ka ni swaneli nanga ku nyemuna insangu zakwe. Mwa mi kolozebe ni luhuho lu jolola ni mulilo.
28030c0094	Itundu lyakwe lina mwi yanza lya kwe; mwa fiyele cihoto cakwe, a ku kunganye mahila akwe mu cishete cakwe. Luungu ulo, a luhise mu mulilo u sa zimi.
28030d0055	Cwale Jesu ha zwa mwa Galilela ku ya ku lwizi mwa joludani ku ku kolobezwa kwa Joani.
28030e0065	Kono Joani ca tundamena kumu kanina, nati, “Njeme ni swanela ku kolobezwa kwa ko, ukeza kwa ngu?”
28030f006f	Jesu ca mwi taba, “Uni zuminine hanu ci lukite kwetu kwizuziliza ku luka konse.” Cwale Joani ca mizuminina.
28031000b6	Ha mana ku kolobezwa, Jesu ca zwa haho mumenzi, haho i wulu cilye yalukila ha kwe. Ca bona luhuho lwe renza lu keza hansi luswana sina inkwilimba ni kwi za ku munikila hewulu lwakwe.
2803110058	Haho, liinzwi cilya zwa muwulu li ta kuti, “Uzo nji Mwanangu yo sakiwa, u ni katwa.”
2804010057	Lyahanu Jesu ca kashiwa ku luhuho lu jolola kuya mwi halaupa ku ku likiwa kwa Jabulusi.
280402004e	Halinyima zilyo mazuva ena makumi one ni masiku ena makumi one, ca fwa inzala.
2804030059	Muliki neza kuwamba kwali, “Haiva u mwana we Ireza, u laele aa mabwe a sanduke zilyo”
280404007f	Mi Jesu ne tava cati kwali, “ku ñoletwe, 'Muntu kete na hale ca zilyo vulyo, kono ni ca liinzwi li zwa mukaholo ka Ireza'”
280405005f	Linu Javulisi ca mu hinda kumu twala he wulu lwa muzako ujolola uva ketiwa we nkereke mulelele,
28040600c5	Ni ku mu wamvila kuti, “Haiva njewe u mwana wa Ireza, uwile hansi kakuli ku ñoletwe, ka laele mañeloi akwe mu aku vavalele, mu aku nyamune mu mayanza nji kuti itende lyako kanji li gunkiwa ibwe
2804070042	Jesu nati kwali, “Hape u ñoletwe, Kanji u liki infumwako Ireza.
2804080078	“Hape Javulusi na mu hinda kumu twala he lundu lilumbite, ni kumu tondeza mileneñi ina munkanda yonse ni nkanya yayo.
2804090061	Nati kwali, “Zonse izi zintu kani zikuhe, ci wa wila hansi ca mazwi. uni fukamine uni lapele”
28040a0078	Linu Jesu ca muta, “U zwe aha Javulusi! kakuli ku ñoletwe, “U fukamine Ireza i nfumwako, imi u seveleze iye yeke”
28040b0042	Javulusi ca musiya; mi mañeloi ci eza kwa Jesu, ci a mu seveleza.
28040c0044	Haho linu Jesu ca zuwa kuti Joani avva suminwa, na vola kwa Galilea;
28040d0078	Ca kuula kwa Nazareta ku ka zaka kwa Kapenauma, i wanika kumbali ni wate lya Galilea, mu cilalo ca Zevuloni ni Nafitali.
28040e003d	Izi ziva pangahali kwi zuziliza ci polofita ca Isaya ha vati,
28040f007c	“Inkanda ya Zavuloni ni nkanda ya Nafitali i vambene ni wate, mwi shilwa lwa Jodani, Galilea ya vantu vasena vavezi Ireza;
2804100079	Vantu va vena mwififi, va va voni iseli ikando; linu va vena munkanda yefu ni mumu nzunde walyo, vava ñaatwilwa iseli”
2804110063	Kuzwa iyo nako Jesu na tanga ku kutaza nati, “Mu vake, mukuti mubuso wa kwiwulu ci wina hafuhi”
28041200ca	Havali kwa vwenda ku mbali ye wate lwa Galilea, ca vona vakwame vovele vana va muntu yenke, Simone yo sumpwa Pitolosi, ni Andriyasi mwancakwe, ci va sohela tunyandi twavo mwi wate, kakuli vavali vandui.
280413004e	Jesu cati ku vali, “mwize, municilile, imi muni mi pange vayamvi va vantu”
280414002c	Haho niva siya tunyandi twavo, kumwi cilila.
28041500b0	Jesu hvvali kwa vu yenda vulyo ca vona vovele vamwi, Jakovo mwana wa Zebediya, ni Joani mwancakwe, va vena mu cisepe ni Zevediya ishavo, ni va onga tunyandi twavo. ca va sumpa;
280416002d	Haho civa siya cisepe ni shavo, kumwi cilila.
2804170099	Jesu na yenda mwa Galilea yonse, na ka ruta vantu mumasinagoge avo, nava wambila ivangeli ya muvuso, na hoza matuku onse ni vuhole vonse vuvena ku vantu.
28041800e7	Intava zakwe ci za ka zuweka kwa Siriya yonse; ni kwa letwa kwali valwala vonse malwalo a cincana cincana, ni va katazehete, ni va vena inhuho imbi, ni vava li ku liwa kuzuminina, ni vava li ku zuminina luñañali; Jesu ca va hoza.
2804190086	Vungi vwavo vu a kuzwa kwa Galilea, ni kwa Dekapolisi, ni kwa Jelusalema, ni kwa Judeya, ni mwishilwa lya Joludani, ci vwa mwi cilila.
2805010060	Cwale Jesu ha vona bantu, ca kambama he lundu. cwale he kala hansi, Valutiwa bakwe cibeza kwali.
2805020027	Ca zasumuka ni kubaluta. Ca wamba kuti,
2805030045	“Imbuyoti ya vana va vontana mu luhuho, kakuti cavo mubuso we Wulu.
2805040030	Imbuyoti ya bana ba Lila, kakuti muva ntontozwe.
2805050037	Va fuyaulitwe bali Tobohete, kakuti mu ba yole inkanda.
2805060057	Va fuyauletwe abo ba fwa inzala yo ku shiyama ni nyota yo Kushiyama, kakuli mu be kute.
280507003a	Imbuyoti ya vaana ve Cishemo, kakuti kava tambule cishemo.
2805080036	Va fuyauletwe vena Inkulo zi jolola, ka va vone Ireza.
2805090037	Va fuyaulitwe va leta Inkozo, kaba supwe vana ve Ireza,
28050a004c	Va fuyaulitwe va nyandisiwa ce baka lyo kuluka', kakuti cavo mubuso we Wulu.
28050b0066	Imbuyoti zenu vantu ciba mi tukola ni kuminyandisa, kapa kuwamba zibilala zonse ca mapa cevaka lyangu.
28050c008a	mutabe mi musange, kakuti itifo yenu inkando kwi Wulu. Kakuti vantu mubaba nyandisezi maporofita vavali kwina kwa teni ni museni ku zalwa.
28050d008e	Inwe mwi Sautu lye kanda, kono i Sautu hali sampuka, muli lungiswe cinzi? kalisina buzole, konji kusohera fera hanze ni kulyatolwa ca matende.
28050e0046	inwe mwi seli lye kanda. munzi uzakitwe he lundu ka u oli ku wungulwa.
28050f0079	ka kwina vantu va munika ilambi ni kuli bwika mwi nguvo, kono ulivika ha voneka, mi a tondeze vena mwi nzuvo vonse iseli.
2805100073	Iseli lyenu livenye havusu bwa vantu vonse kuti va vone mitendo yenu yi shiyeme mi muva tembe ishenu wina kwi wulu.
2805110072	musiye kuhupula kuti ni va kezi kumanisa mulao kapa vaporofita. Kena ni va kezi kuku zimanisa, kono ku i zuziriza.
2805120092	kakuti ni mi wambira buniti kwanda Iwulu ni nkanda cinza mana, ka kwina yonke i taku yo Mulao, yetene ni imane mbwita zintu zonse hete ni zi mane.
28051300c2	Cwale yense yo cola mulao kuti kawina butokwa ni kuluta vamwi vo vulyo milao ka supiwe kuti munini mu mubuso wo kwi Wulu. Kono yo imamera ni kuiruta ka supiwe kuti mukando mumu buso wo kwi Wulu.
280514008a	ceniti ni mi wambira nita kuti ku luka kwenu haiba ka ku hitirili kuluka kwa bañoli ni kwa bafalisi, ka sane ni mwi njire mubuso we Wula.
280515005c	muba zuwi kuba wambwa kuba ikale kuti, usiye kwi haya, mi we haya u swaneri ku hewa mulandu,
28051600f2	kono ni miwambira mutu zuhi kamba zuhi yo bengera mu kwakwe, mwa swanere ku atuliwa. Mi hape yo wambira mu kwakwe kuti “u ci hole” u swanela ku atuliwa mwi khuta, mi yo mu wamba kuti, I we yasanambene, u mwabe mubu kabo bo muliro we here.
2805170063	Cwale he co neula i mpo zako he aletare, ho sika hateni wiza kuhupula kuti wina mulandu ni mukwako,
2805180080	siye i mpo za ko habusu bwa katala, u yende muka ambo lisane ni ku zumizana ni mukwako, njo so keze ku tambika i mpo yako cwale.
28051900dd	U litahanere ku zumi zana naye yo kuzekisa ni musina mwi nzira, mwendi yo zo, yo kuzekisa mpohona ca ka ku twale ku muatuli mi muatuli mwa ka kutambike mu manza o mu hikana yasa ka ku atule, ya sa ku sohere mwi intorongo,
28051a0065	Ka maniti ni mi wambira, kosono zwe mwa teni kwanda hete no mane kuliha mulando ca mali onse o kwete.
28051b0035	Muba zuwi kuti kuba tewa kuti, usiye ku panga buhule.
28051c0065	kono i me ni mi wambira kuti, yense yo lola mwanakazi cwo ku mu lakamina, ca mulala mwi nkulo ya kwe.
28051d00ce	linso lyako lye cilyo haiba li ku sitatalisa, u li nyukule mo, mi u linzindire kule nawe, ka kuti ci lotu kwa ko, zi lama ca ko conke ha cifwa cocona, mi mubiri wa ko onse kanji u zindirwa mumulilo we Here.
28051e00c8	I yanza lyako lye chilyo haiba ni liku sitatalisa, u likosole kwa teni, mi u lisohere kule nawe, kakuli ci lotu kwa ko cilama conke ha ci fwa co nke isiñi mubiri onse ha u nzindirwa mumuliro we Here.
28051f0058	ku ba wambiwa hape kuti, muntu ha tanda mwi hyabwe, a mu tambike i mpampili lye kauhano.
28052000b4	kono i me ni mi wambira kuti muntu zuhi kamba zuhi yo hindika mwi hyabwe, kwanda o mulandu wo bushahi, u mupanga bushahi. Mi yense yasana musese kuzwa ha kukanwa kaibe i hule naye.
28052100a5	Hape, muba zuwi mu wambiro ku batu ba kwa ikale kuti, 'kanji u nkonkii ca vulisumino bwa mapa kwa Simwine, kono wi zuzirise vulisumino kwe Ireza ko bali sumini cabo.
2805220067	Kono ni mi wambira kuti kanji muku nkonka, kamba niheba ce Wulu, ka kuli ji kwina cipula he kere Ireza,
2805230067	kamba ce nkanda, kakuli nji malyatiro a matende a kwe; kamba ca Jerusalema kakuli muleneñi wa Simwine.
2805240062	Hape musiye ku nkonka ce mitwi yenu, sina ha musa woli ku sandula lusuki lonke kusiha kapa kutuba,
2805250074	Ci muswanera kuwamba co bufuhi kuta kuti eni eni kapa Ne ne, cihi ne chihi ci hitilira izi cicizwa kumutu mu bilala.
2805260042	Mubazuwi kuti kuba wambiwa kuti, 'Linso ce Linso, mi lino ce Lino,
2805270094	Kono ni mi wambira kuti, kanji mu kanini mutu mubilala. Haiba, yense u ku bakula kwi tama lyo bulyo, muntezekere ni kuyimwi mbali nayo a bakule koo.
2805280057	Mi haiba zumwi u saka kumi suminisa ni kuhinda ci zwato canko, muherere ni ngubo yanko,
2805290055	ha iba muntu u kuhambiriza kumu sindikiza cibima conke, u musindikize zibima zo bere.
28052a0053	U he ku muntu yense yo kukumbira, mi kanji u ka nini muntu yo saka ku kalima kwako.
28052b0057	Mubazuwi kuti kuba wambitwe kuti, u sake yo wikala naye he mbali mi u toye cila ca nko.
28052c004d	'Kono ni mi wambira kuti, musake zila zenu mi mulaperele bana ba mi nyandisa,
28052d00a3	Jokuta kuti mube baana be shenu wina kwi Wulu, yo ñatulisa i zuba lyakwe ku bantu va vii mane bulyo ni ba Lukite, mi u tumina i bula ha ba shiyeme ni ba fosahere.
28052e006e	Haiba kuti musaka bulyo ba misaka, mupuzo inzi wete ni muka tambule?, esi ni batelisi bo mutero bapanga bulyo?
28052f007c	Mi haiba kuti mu lumerisa bulyo ba kwenu, zintu nzi zi mupanga zi hitilira zi bamwi? esi ni basezi Ireza nabo bapanga bulyo?
2805300035	Mu be hande he, sina ishenu wina kwi Wulu ha shiyeme.
2806010097	Mu mamele kuti kanji mu citi inkezo zo vulotu vwenu havusu vwa vantu kuti mu voniwe ku vali, heva njovulyo kete mu wane mupuzo kwe shenu wina kwi wulu.
28060200b9	Cwale ha muha intuso, kanji mu lizi mpeta ha vusu vwenu mu va citila ba lihele muma sinagoge ni makululu, kuti va lumbiwe ku vantu. Ca buniti ni mi wambila, ci vava tambuli mupuzo wavo.
2806030068	Kono ho ha intuso, kanji u zuminini iyanza lwako lya cimonso kwi ziva cili panga iyanza lyako lya cilyo,
280604005b	njikuti i intuso yako yoha i hewe vulipatite. Cwale Iso yo vona zi patitwe mwa ku vozekeze.
28060500c1	Mi hamu lapera, kanji mu swani uvu va lihele, va saka kuzimana ni ku lapera mu masinagoge ni mu ma cailo a migwagwa, kuti va voniwe vantu. Luli ni mi wambila niti; ci va va tambili mipuzo yabo.
280606008a	Kono iwe, co lapera, wi njile mu malivela, imi ci we yala ciyazo, u lapere kweso wina ku mbali; imi Iso yo vona ku mbali, mwa ku vozekeze.
2806070091	Ci mu lapera, kanji mu boleli boleli zi sena intuso uvu mu ba citila va sa zumini; va nahana kuti va wola ku zuwiwa caku wamba wamba ahulu kwabo.
280608005e	Hakuva vulyo, kanji mu swani na vo; kakuli Ishenu wizi zi mu vulite, ni mu seni ku mu kumbila.
2806090065	Ci kwina vulyo mu lapele vuti, 'Ishetu wina mwi wulu' ku lumbiwe izina lyako. vu simwine vwako vwize.
28060a0037	Ci sakiwa kwako ci tendahale hansi mu ci nani mwi wulu.
28060b0020	Tuhe sunu zilyo ze zuva ni zuva.
28060c0042	U kwatile milandu yetu, uvu naswe mu tu ba kwatili va vatu fosezi.
28060d0040	Hape kanji utu twali mu muliko, kono utu lukulule ku muntu muvi.
28060e004a	Mi ho kwatila vantu zi va ku fosekeza, ni Iso mwi wulu naye mwaku kwatile.
28060f0057	Kono ho sa kwatili vamwi zi vaku fosekeza, niheli Iso kete na kukwatile zo mu fosekeza.
28061000d7	Imi, hape ho li nyima zilyo, kanji u linyanisi cifateho cako, ubu mu vacitila va lihele, va linyanisa zifateho njikuti va voneke ku vantu kuti vena ha ku linyima zilyo. Faa ni ku rwira, ci va va tambuli mipuzo yavo.
2806110054	Kono iwe ho lilinyima zilyo, uli singe mafuta ku mutwi ni ku samba ku cifateho caku.
2806120088	Nji kuti kanji u vonahali ku vantu kuti wina ha kuli nyima zilyo, kono konji kweso wina kumbali. Mi iso yo vona kumbali, mwaku vozekeze.
280613007d	Kanji uli kunganyizi cifumu ca hansi, hena mafele ni mafumi a wola kuci lya, ni hena vasa va wola kutulula mwateni ni ku iva.
280614007d	Kono, u likunganyize cifumu umwine kwi wulu ku sena mafele ni mafumi alya hateni, hasena ni vasa va wola ku tulula ni ku iva.
280615002d	Kakuli hena cifumu cako nji hena inkulo yako.
280616006b	Linso nji lambi lya muvili. Cikwina vulyo, heva linso lyako li vona hande, muvili wako onse mu uve mwiseli.
2806170094	Heva linso lyako li towele, ni muvili wako wonse wina mucinzime. Cikwina vulyo, heva iseli lina kwako lina luli mucinzime, cikando vule ico cinzime!
28061800a9	Kakwina muntu yete na tendele vasimwine vovele, hesi ka toye yenke ni ku saka zumwi, kamba mwa kuteke yenke ni ku shwaula zumwi. Koti co wola ku tendela Ireza ni cifumu.
28061900ba	Ci kwina vulyo ni ku wambila, kanji u vilaeli ni za vuhalo vwako, cete ulye ni cete uñwe, kambe kaza mubili wako, cete u zwate. njikuti vuhalo kavu hiti zilyo, ni muvili kuhita zizwato?
28061a00a9	Mu lole zizuni za mwibyumbyulu. Kazi vyali kazi sinzi kamba ku vika zi kutulwa mu ciduli; kono Ishenu wina kwi wulu uzi lela. Aho inwe kana muva tokwa ahulu ku zi zamba?
28061b0060	Njeni kwenu yo wola ku vulaela ku ekeza ku vuhalo vwakwe? Cwale cinzi hamu vilela ni za kuzwata?
28061c0054	Mu hupule nanga ziyangayanga za mu mawa, mu zi menena. Kazi tendi, kazi hosi vwanda.
28061d0065	Kono ni mi wambila niti, nanga Salumoni munkanya yakwe kana ava zwati niheva ku likana ni lyoke lyao.
28061e008d	Heva Ireza u zwatika lyani lya mumawa, lihala sunu ni zona lici li sohelwa mwi ziko, ku woleka vule ku zwatika inwe, inwe muve ntumelo inini?
28061f0072	Ni ha kwina vulyo kanji mu vileli ni muti, 'Mu tulye nzi?' kamba 'Mutu ñywe nzi?' kamba 'Mutu zwate zizwato nzi?'
2806200053	Vantu vasa zimini nji va saka izi zintu, imi ishenu wa kwiwulu wizi kale zimu saka.
280621004b	Kono pili musake vusimwine ni ku shiyama kwabo imi zintu zonse ka muzihewe.
2806220077	Cikwina bulyo, kanji mu vileli ni ze zona, mukuti izona li vilela ni zalyo. Izuva limwi ni limwi lilikenwe vuvi vwalyo.
2807010022	Sanzi uatuli, ni we kete u atulwe.
280702004e	Mo atwira nawe mwete utwirwe, Mi mulikaniso wo likanisa, ni wee mukulikaniswe.
2807030054	Chinzi holola chitoweze muliso lyo mukwenu, kono ko lemuhi chikutoweze muliso ya ko?
2807040078	U wola bule kuwamba kumukwenu, kuti nisaka kuku zwisa chimutoweze muliso, kono mu liso lya ko kwina chikutowenze na wee?
2807050072	Iwe ulihele! tange u zwise chikutoweze muliso lyako, linu mobone site ni ku wola kuzwisa chitoweze mukwako muliso.
28070600b7	Musiye kuha zilyo zi njolola ku ba mbwa, mu siye ku sohela mabwe abutokwa habusu bwe zingulube. Ha kuba bulyo zi wola ku a lyatola cha matende, mi ni kubola kwiza ku kuñatola hakati.
2807070038	Kubile, ko hewe. Sake, mo wane. Ngongote, mo wi lyalulwe
280708004d	Mi yese ukubila u hewa, mi yese usaka, uwana. Mi mutu u ngongota, we wulilwa.
2807090052	Kapa kwina mutu mukati kenu, kuti mwana nkwe ha mukubila inkoko, linu umu ha ibwe?
28070a0026	kapa ha kubila inswi, amu muhe inzoka?
28070b0089	chikwina bulyo, haiba iwe u muvi winzi kuha i mpo kubana bako, ku wo leka bule kwe ishenu wina kwiwulu kumuha zitu zilotu ku ba mukubila?
28070c0076	Linu, zitu zose zosaka kuti vatu vaku chitire, ni we u swanela kuba kuva chitira zonse, ici nji mulawo ni ma polofita.
28070d0077	Njile mwi nzila i ñuñu. Mulyango u zaseme ahulu ni kwiyaluka ahulu ulolete ku kufwa, Mi batu ba bangi ba yenda mwayo.
28070e0047	Mulyango muñuñu ni nzila iñuñu zitwala kubu halo, mi bache baiwana.
28070f005c	Mutiye maporofita ba mapa, ba keza kwenu ni chizwato chengu kono buniti ba tuhu bafile zala.
2807100074	Kezihatu zabo mobezibe. Kana batu ba kunganya zichelatu ze waine ku chisamu cha miya kapa i efenga kuzwa kwi inkoma?
2807110063	Mwi nzila iswana, cose ci samu cilotu ciha zi chelatu zilotu, kono cisamu cibi ciha zichelatu zivi.
280712005b	Chisamu chilotu kachi woli kuha zihatu zivi, ni chisamu chivi kachiwoli kuha zihatu zilotu.
2807130045	Chose chisamu chisa biki zihatu zilotu chikankwa ni kusohelwa mulilo.
280714002c	ha kuva bulyo, mu mu bezibe cha zihatu zabo.
2807150097	Kana vantu vonse va sumpa kwa ngu kuti,” simwine, simwine,” va sejile mu chisi chewulu, kono konji yense utenda chiva saka va ndanda vena kwi wulu.
28071600ae	Vungi bwa vantu kava cho kwangu ilyo izuba, “simwine, simwine, kana tuva polofiti mwizina yako, mwizina tuva hidiki madimona, hape mwinzina lyako tubapangi imakazo zikando?
2807170052	Linu kani va lwire halukanda, “kena niva mizi! muzwe kwangu, inwe vantu vavi!”
280718005b	linu, yese uzuwa mazwi angu ni ku e chilila u swana sina muntu yozaka inzumbo yakwe he bwe.
280719006e	Invula haisoka, muunda ukeza, ni huho likeza ziza kundama he nzubo, kono kaiwiri hasi, kakuti ibazakwa he bwe.
28071a0074	Chi kwina bulyo yese uzuwa mazwi angu kono ka e chilili u swana sina mutu we chihole uzaka izubo yakwe he seke seke.
28071b0068	Invula ikeza hansi, muunda ukeza, ni luhuwo luhunga ni kundama izumbo, cwale iwa, ni kushinyeha tota.”
28071c0055	Ha kuvakuti Jesu chamana kuwamba mazwi aa, vungi bwa vantu chiva komoka ituto ya kwe,
28071d003e	cwale chaba luta sina wina mata, isinyi sina vanoli ba mulawo.
2808010036	Cwale Jesu hasuka helundu, vantu vangi civamwi cilila.
2808020071	Micwale we imbingwa ca keza kwali, cheza kumufukamina, niku wamba, “Simwine, haiva usaka, uwola kuni cenisa.”
