2800000013	Matiwos Dooshishiyo
2802100173	Herodis maniyere il, k'eeni jango danfwots bín bo ant'elctsok'o t'iwints b́dek'tsok'on, ayidek't b́fayi, bísh kes' kes'fwotsi Betelihemnat bgúratse fa'a gal gal jamwotsmaants woshat, k'eeni jang danfwotsatse b́dúro aatt danb́dek'tsok'on bo nato gitnatonat maniyere dash wottswotsi Betelihemitsnat bgúratse fa'a, beyat teshtswots nungush nana'uwotsi úd'iyb'ishi.
280211003e	Manoor nebiyiyo Ermiyasn hank'o ett bek'on keewetso b́s'eeni.
280212008d	«Rahel b nana'úwotssh bieep'fere, Kuhonat s'aamts eepi k'aaro Ramayitse b́ shisheyi Bnana'uwots kashon bo altsotse kup'dek'o k'azraniye.»
2802130048	Herodis b́ k'irihakon Doonzo melakiyo Gbs'itse Yosefats gúmon be'eyat,
2802140061	«Na'o kasho geyiru ashuwots bo kirtsotsnee tuur na'o indunton de'er Isra'el maants amee» bíet.
2802150039	Yosefwere tuut na'o indúnton Isra'elmants dek't bíaani.
28021600b0	Wotowabako Arkelawos b́nih Herodis shegro Yihud datsatse b́ naasho b́shishtsok'on Yosef manmaants amo shat b́gutsi. Eré gúmon bín jishitwo imetsotse Gelil maants bíami.
2802170066	«Nazrawiya eteetwe» ett nebiyiyon keewetso b́s'eenetwok'owo, Naazreti eteef kituts waat be b́wtsi.
2803010032	Manoor gupfo Yohans Yhud worwotse nabfere b́weyi.
280302004c	B́daniferowere «Eshe! Ik' mengstu b karntsotse naandrone erere» b́ etfo.
280303009b	«‹Doonzo weerindo k'aniwere, B́fudonore káátswere!› etfetst worwotse kuhiru asho k'ároniye» ett́ nebiyo Isayas b́keewtso Yohans jangoni b́teh.
280304007a	Yohans taho kambli s'iron wozeka b́tesh, b́gebatsowere shaak'a bí edefo, b́ máfonwere p'elonat dok'shi mas'a b́tesh.
2803050061	Manoor Iyerusalemitse Yhud dats jamatse, Yordanos gúúr jamatse ash asho Yohans maantsa bowaafo.
2803060045	Bowere bomorro keewfetst, Yordanos fokotse Yohans kishatsna bogupefo.
28030700c8	Ernmó Yohans ferisawino eteefwotsnat Seduk'awino eteefwotsitse aywots gupeyosh bíyo bowafere b́bek'tsok'on boosh hank'o bíeti «It dawnzi nana'uwotso! weyiru fayotse it keshetwok'o kone izi itsha?
280308002e	Eshe naandrone it ettsok'o kitsit fino finore.
280309008f	‹Noo Abraham nana'uwots noone› eto itn b́kishitwok'o itsh ark'aye, Ik'o shútsanotsitse Abrahamsh nana'uwotsi tizosh falitwe etirwe itsha.
28030a0067	Andmó, shakurtso miti shir jamotse fe'e. Mansh shuwi sheeng shuraw mit jamo k'ut'de'er tawots juwetwe.
28030b00bb	Eshe hamb taa, naandi jangosh aatson iti gupetwe, taayere il wetwonmó S'ayin shayironat tawon itn gupetwe, bíye taayere ayidek't bogfe, taa b́ tufitsi c'aamo dab́ kurosh bodktanaliye.
28030c0098	Bíye b́ kishatse k'orbiyo detsfe, bínowere búts úro sheengshde'er s'ayintsitwe. Sndewonowere t'iwots gaas'etwee, buuyonmó tahraw tawon mitsitwe.»
28030d0056	Manoor Iyesus Yohans kishon gupewosh Gelil datsatse tuut Yordanos foko maants b́weyi.
28030e007d	Yohansmó «Han woteratse, taa nkishon gupewo taash b́geyifere, aawk'oneya nee tmaants nweeti?» ett bín baziyo dek'b́twi.
28030f00ac	Iyesusmó «Ik'i shinatse kááw wotts fin jamo hank'on s'eentso noon b́geyitsotse, ando taan bazi k'aye» ett bísh bí aaniy. Yohanswere keewman wotowe ett bín b́gupi.
2803100088	Iyesus gupeyat aatsotse b́ keshtsok'on manoor daro k'esheeb́wtsi, Ik'i S'ayin shayiro kurkund araat Iyesus ats b́ oot'fere b́ bek'i.
2803110054	Manoor «Hambe, bín t geneúwitwo t shunts na'oni» etiru k'ááro darotse b́weyi.
2804010059	Maniyere il, Iyesus Diyablosń b́ fadetwok'o Ik'i shayiro worwo maants bín dek'tbíami.
2804020040	Manoknowere hab aawonat hab t'úwo b́ s'oomiyakon k'ak'b́wtsi.
280403007e	Faditwonúwere Iyesus maants waat «Nee arikon Ik'o naayi neena wotiyal, ááb shútsanotsi misho wotoore err azazowe» bíet.
280404006c	Iyesusmó «‹Asho b́ beet Ik'o nonotse keshet aap' jamona bako mish mec'ronaliye› ett guut'ere» bíet.
2804050060	Maniyere il, diyablos Iyesusi S'ayin kitu Iyerusalem maants dek'amt Ik' maa tookats need'idek't,
28040600c2	«‹Nee arikon Ik'o naay neena wotiyal n tufwotsi shútso b́towawok'o, Bokishon neen dambaan botep'etwok'o b́ melakiwotsi azazitwe› Ett́ guut'etsotse, hanatse dashan ntooko sha'e» bí et.
2804070054	Iyesuswere anidekt «‹Ando n doonz Izar Izeweri fadk'aye› ett guut'ere.» bíet.
2804080066	Aaninwere diyablos Iyesusi ayidek't damb tuuts gurats kishdek't, datsatsi naash jamo bomangonton kitst
280409003b	«Taash gúp'gup'ar n sagadiyal jaman neesh imetwe» bíet.
28040a007f	Manoor Iyesus, «‹N doonz Izar Izewersh sagadowe b́ s'uznowere ik'iwe!› ett guut'etsotse ok tuwwe nee shed'anono!» bíet.
28040b004b	Maniyere il diyablos Iyesusi k'azb́k'ri, melakiwotswere waat bísh bofini.
28040c0044	Iyesus Yohans b́tipewo b́ shishtsok'on Galil datsomand k'azbíami.
28040d006d	Nazret kitu k'azk'rat, Zablonnat Nftalem awrajo Gelil aats k'ari ganoke fa'ú K'frnahom kitots waat b́beeyi.
28040e0061	Man b́ wotwere, nebiyiyo Isayas hank'o ett b́keewts bek'on aap'etso b́ s'eenetwok'owa b́tesh.
28040f0086	«Aats k'aromaants dek't amiru werindonat Yordanos fokoniyere bak'etse Daatseyiru Zablon datso, Nftalem datso, Ik' ash woteraw Gelilo!
2804100076	T'alwotse beyiru asho sháán eeno bek're, K'iri c'iisho bíyats b́dihts datsatse beyirwotsshowere shááno keshre.»
2804110067	Manortson b́tuutso Iyesus, «Ik'i mengstu bkarnotsotse naandrone erere!» et fetst nabo dek't b́tuwi.
28041200b0	Iyesus Gelil aats k'ari ganoke b́beshefere, mus' detsf eshu gitwots, boowere P'et'rosi eteefo S'imoonnat bí eshu Indriyasn bo mus'kambo aats k'aromaants boshap'fere b́bek'i.
2804130069	Iyesuswere «Tshuutso shoyde woore, Mus'o it detsirwok'o ashuwotsi taash it kakwitwok'o woshitwe» bíet.
2804140042	Bowere manoor bo mus'i kambo k'azk'rat b́shuutso shoydek't botwi.
28041500bc	Maniyere beshat, Zebdiwos nana'a wotts k'osh eshu gitetswotsi Yak'obnat Yohansn bek'b́k'ri. Bowere bonih Zebdiyosnton jeelbi abaats wotdek't bo mus'ikambo shipoke bobefere boon b́s'eegi.
2804160047	Bowere manoor bo jelbunat bonihn k'azk'rat b́ shuutso shoydek't boami.
28041700b5	Iyesus ayhudiyots Ik' k'oni mootse danifetst Ik'i mengsti doo shishi aap'i jango keewfetst, ay naari shodonat atsiweshon deshets ashuwotsi kashifetst Gelil dats jamatsa b́ guurefo.
2804180114	B́ shútso Sooriya eteets dats jamatse b́ shishetsotse ash jamo shod naar ayonat, bo kishonat tufoon lasha'atswotsi, shod ayon kic'rwotsi, kim shayiro bogitsotse kindt fa'úwots, dikf shodo detstswotsenat dúr jametswotsnowere b́maants dek't boweyi, bíwere kashi bí'ishi.
2804190082	Gelil datsonat tats kitwotsitse Iyerusalemnat Yhudon, Yordanos fokoniyere bak'etse ayi ashuwots Iyesus shuutso shoyidek't bosha'i.
2805010081	Iyesus b́ shuuts shoydek't sha'iru ay asho b́ bek'tsok'on, guri abaats kesht beeb́dek'i, b́ danifwots b́maants t'iinbodek'i.
2805020023	Hank'o et tnwere daniyo dek'b́twi.
280503003c	«Dari mengstu bok b́wottsotse, Ik'ats te'eyirwots derekne.
2805040033	Ik'o boon b́ k'up'shitwotse, shiyanirwots derekne.
280505002d	Sheeng ashuwots datso bo naatetwotse derekne.
2805060040	Kááw keewo k'ak'irwotsnat shashwirwots, boworitwootse derekne.
280507002f	Bosh maac'o k'ewetwosh maac' nefitwots derekne.
2805080031	Nib s'ayin detstswots Ik'o bobek'etwotse derekno.
2805090052	Ash ashi dagotse manonat jeenon woshitwots, Ik'i nana'uwotsiye eteetwotse derekne.
28050a0040	Kááw keewosh gisheyirwots Ik'i mengstu bok bwottsotse Derekne.
28050b0060	«T jangosha err ashaashwots itn boc'ashor bogiishor, kooton it shúútso bot'afiwor derek itne.
28050c008e	Dari mengstotse it daatsit k'awntso een b́wottsotse gene'ore, ayide gene'ore. Itiyere shin teshts nebiyiwotsi mank'o gishewo boats betsrne.»
28050d00e6	Manats dabt Iyesus hank'owa bíet, «It datsatsi beerok'o itne, ernmó beero b́shaawo b́ t'ut'etka wotiyal b́shaawo aak'alrniya aaniy daatso b́faliti? Úromaants juweyar ashon net'eyoniyere okoon shinomaants egoshor woteratse.
28050e004a	Itiye datsansh sháán itne, guri abaats ageets kitu ááshosh falratsane.
28050f0082	Ashuwots c'eesho c'eeshde'er mootse fa'a ash jamwotssh b́sháánitwok'o girgijiyatsa bogedfoni bako oosh shirots dashan geraknee.
2805100076	Mank'o ashuwots it sheeng fino be'ear it nih darotstso bo mangiytwok'o, it sháánonwere ash jami shinatse shááne.»
28051100a5	Aaninwere Iyesus hank'o bíet, «Muse nemonat nebiyiwots danits dano gakosh twatsok'o itsh bíarerawok'owa, taaye bos'eentwok'o woshoshe t weyi bako gákosh waratse.
280512007e	Ariko itsh keewirwe, daronat datson bobeshefetsosh nem jamo s'eenetwe bako nemotse fidel múk'na'a iku wee k'op'u t'afratsane.
28051300f6	Mansha tzazi múkna'anotsitse dab iku gaketwonat k'osh ashuwotswor bogaketwok'o boon danit asho dari mengstotse múk'ee b́wotitiye. Ernmó t tzazi jamanotsi s'eentsosh, k'oshwotswere bo s'eentsitwok'o boon danit asho dari mengstotse een wotitwe.
2805140089	Manshe kááw it woto nem danifwotsenat ferisawino eteefwotskoniyere bogo b́k'azal b́jamon dari mengstots it kindrawok'o itsh keewirwe.
2805150069	«Yoots dúr teshts ashuwotssh eteetso shishrte, manwere ‹úd'k'aye, ash úd'tsats angshetwe› eteeke.
28051600e9	Taamó itsh keewirwe, bíeshwi fayitw jamats angsha angsheti, ando bí'eshush, ‹Nee woterawani!› err c'ashetwo angshirwots shinatse bíats angsheti, ‹Dartsani› err c'ashetu jamo gahanem tawotsa b́kinditwok'o bíats angsheti.
2805170070	Eshe nee n wosho gizi wosh t'intseyiru t'arp'ezok Ik'osh n door, niyats iirts eshwo b́ beewo n gawitka wotiyal,
2805180078	n wosho gizi wosh t'intsiru tarap'ezmanok gerk'rar, amr shini n eeshunton manewe, maniyere okoon aanar n wosho t'intswe.
28051900d3	N balngaro neen s'amire angishi moo maants b́ damfere weerindatse káári n balangaronton ik wotowe. Man woto b́k'zal n nbalangaro danyosh, danyonwere polisosh, polisonu beshde'er b́ ime tipi moots n kinditi.
28051a0066	Aroniye neesh ti keewiri, niyats angshets santimi tebu day ni'ishfetsosh b́ jamon manitse keyatsne.»
28051b0049	Manats dabt Iyesus hank'owa bíet, «Wido amk'aye!» eteetsok'o shishrte.
28051c005e	Taamó itsh keewirwe, «Máátso s'iilt tewnts jamo, manoor b́ nibotse binton k'eeree» etre.
28051d009b	N k'ani ááwo morro nfinitwok'o neen b́woshitka wotiyal, kishde juk'rowe! niats jamó gahanemits b́ juwewoniyere níatsatse ikoko nt'ut'o neesh k'anefe.
28051e0090	N k'ani kisho morro n finitwok'o b́ k'aliyal, k'ut'de juk'rowe, niats jamo gahanemits b́ juwewoniyere niatsotse ikoku n t'ut'o k'anefe neesha.
28051f004e	«B́ máátsu fakshitu jamo bin b́fakshtsok'o kitsit frmo bish ímee» etre.
2805200099	Taamó «Widi jangon b́wotiyala bako, b́ máátsu fakshitu jamo widets bwotitwk'owa bin b́woshiti, fakshetsu deke'etu jamonwere widetsiye b́wotiti.»
280521006a	Ando shin ashuwotssh, «Kooton taark'ayere, ernmó it taaro doonzosh s'eentswere» eteetsonowere shishrte.
280522006d	Taamó, «B́jamonor taark'ayere» etirwe itsha. Daronwere Ik'i beyoki joor b́wottsotse, daronor b́wotiyal,
2805230075	Datsunwere doonzo tufi need'oko bwottsotse datsonor taark'ayere, nugus eeno kitu bwottsotse Iyerusalemno taark'ayere,
2805240062	N took s'iirotse ikunor dab nas'o wosho wee aak' wosho nfalrawotse ntookonor b́wotiyal taark'aye.
2805250086	Mansh it noon keew keewon «Ee» it etal «Ee» et wotowa wee «Iya'a» it etal «Iya'a» et wotowa bako maniyere beshtso shed'anikee.
2805260047	«‹Ááwi shegro ááwa, gáshi shegro gásha› eteetsok'o shishrte.
2805270088	Taamó hank'o etirwe itsha, gond itats finiru ashuwotsats weero wersh k'ayere. Ernmó nk'ani malalo jabitwosh ngiri malalo ananshde ime.
280528005c	Ash iko nkito dek'osh geeyar niyatse b́moshal, n kotiyonor b́dek'etwok'o bísh k'ayk'rowe.
280529007a	Ash iko ‹Taanton kuro kurde ik kilo metrok'o amee,› err neen b́shefiyal, nemon kuro kurde git kilometro bínton amee.
28052a0040	Niyoke k'onitwosh ime, niyoke gushosh geyirwosh k'aze etk'aye.»
28052b0062	Manats dabt Iyesus hank'owa bí'eti, «‹N giyo shune, n balngaro shid'ee› eteetsok'o shishrte.
28052c0045	Taa it balngarwotsi shunere, iti gishirwotssh Ik'o k'onwere» etirwe.
28052d00a2	Han it k'aliyal, darotse fa'o it nihsh nana'úwotsi wotitute. Bíye gondwotsnat sheengwotssh aawo kishirwee, mank'o kááwwotsnat k'uurwotssh bí awsho butsirwee.
28052e005b	Iti shunir ashuwots s'uzi it shunal eeg k'awntse it detsi? Morretswots mank'o k'alirunoshna
28052f0072	It eshwots s'uzi jamo it aatitka wotiyal eshe aawne bogo it finirwoni? Ik' ash woterawotswor mank'o k'alirunoshna?
2805300043	Eshe daritstso it nih s'een b́wottsok'o itwere s'eenwotsi wotoore.
28060100ad	Dabt Iyesus hank'owa bíet, «Ashuwots taan be'enee err sheeng fino ash shinatse finoniyere it tooko korde'ere, maniyalbakó daritsitso it nihoke eegor k'awntso daatsratste.
28060200d1	Eshe t'owwotssh n'ímoor, ash shinatse shunewna etiru git alberetswots Ik' k'oni moonat werind weerindatse bo k'alirwok'o be'ewosh k'alk'ayere, arikon itsh keewirwe, booye shin shino bo k'awntso daatsdek'rnee.
2806030053	Neemó tewdi doon ni ímoor n k'ani kisho b́ k'alirwo n giri kisho b́danawok'owa.
2806040067	Eshe n tewdi doo áátson wotowe, ááshon finetso bek'irwo nnih n sheeng fini k'awntso neesh dashetwe.
28060500d6	«Ik'o it k'onor git alberetswotsk'o wot k'ayere! bo asho boosh b́bek'etwok'owa erŕ Ik' k'oni moonat werind weerindatse need'de Ik' k'ona boshunfoni. Ariko itsh keewirwe, bohe bok'awntso shin shino daatsdek'rnee.
2806060090	Nee Ik'o nk'onormó, n moots kindde nfengesho ic'de'er ááshon beyirwo nnihi k'onwe, ááshon n k'ontso bek'irwo nnihi k'awntso neesh dashetwe.
2806070097	«It Ik'o it k'onor Ik' ash woterawwotskok'o ay ooshiwon keewk'ayere, bo ananshdek' ayoto bo keewtsosh Ik'o bok'ono b́ k'ebetwok'oweya boosh bíariri?
280608005a	Itmó it nih itsh geyit keewo bín it k'onfetsere shino b́ dantsotse bokok'o wotk'ayeree.
280609005d	Eshe it Ik'o it k'onor hank'o err k'onwere, ‹Darotse beyirwo nonihono! N shúútso mangwee,
28060a004a	N mengstu wowiyee, N shuno darotse b́ wottsok'o, Mank'o datsatsno wotowe.
28060b0024	Noosh geyit misho hambets noosh ime.
28060c004b	Noowere noon dádtswotssh oorowe noettsok'o Nofints morro noosh orowa eree,
28060d0069	Gondatse noon kore bako, Fadeyots noon kindshk'aye, [mengsto, angonat mangon Dúre dúron nike, Amen.]›
28060e0054	«Ashuwots morro boosh orowa it etal, itshowere daritstso it nih itsh orowa etetuwe.
28060f005d	Ashuwots morro oorowe eto it k'azaalmó it morronowere daritstso it nih itsh orowe eraatse.»
28061000ce	Manats dabt Iyesus hank'owa bíet, «It s'oomor, bo s'oomo ashuwots boosh bodanetwok'o, boshiitso wonawoniru git alberetswotsk'o, it shiitso sholik'ayere, arikon itsh keewirwe, booye bok'awntso dek'wtserne.
280611003d	Neemó n s'oomor n shiitso mashde'e, n tokatsowere fuurde'ee,
280612008f	Mank'oon, eshe n s'oomo ááshon beyirwo nnihiyere okoon k'osho konwor danatse. Ááshon finetso bek'irwo nnihwere n k'awntso neesh dashetwe.»
2806130099	Ando aani dabt Iyesus hank'owa bíet, «Barariyonat hajoon bot'afitwoke, úmp'etswotswere tishde bo úmpitwoke, datsanatse it tookosh gaalo ko'ik'ayeree.
2806140076	Maniyere barariyonat hajif keewwots t'afiyo bofalrawoke, ump'etswotswere tishr boúmp'erawok darots it gaalo ko'iwere.
280615003a	N gaalo b́beeyirwoke n nibonúwere manoknee b́ daatseti.
2806160054	«Ááwo atsi c'eeshee, manshe niááwo jeena wotiyal, niats jámó sháán wotitwe,
2806170090	Ni ááwo jeen wotob́k'azalmó, niats jamo t'alwe b́wotiti. Eshe niatse fa'a shááno t'alu b́wotiyal, t'alwo aawk'owe iki b́ gonditik'uuna!
28061800c9	«Ash iko doonz gitosh guuts woto falratse, wee ikoniye b́shit'eti, k'oshonowere b́shuneti, wee ikosh amanek wotitwe, k'oshonowere gac'itwee, mank'o ash iko iknon Ik'onat gizonsh guuts woto falratse.
28061900ab	Mansh eshe hank'o itsh etirwe, ‹Eege no meeti? Eege no úsheti? Egek'una no tahiti?› Eton it beyi jangosh shiyank'ayere, mishoniyere kasho, tahoniyere atso bowatsáá?
28061a00ae	Aab darotse bidiru kafwotsi s'iilere, bo shohatsnee, k'ec'atsnee, t'iwots gáác'atsnee, ernmó daritstso it nihye boon manziri. Eshe it kafwotsiyere ayidek'at bogftoshnáá?
28061b0042	Ititse kic'ar b́beeyi dúrats ik aaw dabdek'o falitwo kone bíí?
28061c008c	Ando mank'o tahi jangosh eegoshe it kic'iri, shiratsi fundwotsi aawk'o bo eenirwk'o s'iilere, booye finon ayidek't maawratsnee, jokeratsnee,
28061d004a	B́mang jamonton Solomonwoŕ dab́ boyitsi ikuk'o taheratse, etirwe itsha.
28061e00a1	Eshe hambets be'eyar yats tawots jwetwo shiratsi tootso, Ik'o hank'o b́ takitkawotiyal, it shapts imnetiyetswotso! itnere bogshde'er aawk'oneya tako b́k'azeti?
28061f0068	Mansh eshe it ‹Eege nomeeti? Wee, eege noúsheti? Egeek'uwa notahiti?› Erfetsr shiyanon kic'k'ayere.
2806200060	Man daatsosho Ik' ash woterawotswor geyirunee, itsh jaman b́geyitwok'o daritstso it nih danfee.
2806210051	Itmó, shin shino Ik'i mengstonat kááwo gewoore. Oorts keew jamo itsh dabeetwe.
280622004c	Yaatso b́tookish kic'itwee, yaatsish kic'k'ayere, aawosh b́gondoo bodfe.»
2807010055	Manats dabt́ Iyesus hank'owa bíet, «It atsats angsherawok'o konatsor angshk'ayere,
2807020062	k'oshwotsats it angshtsok'o it atsowere angshetwe, mank'o it tatsts tatsi k'ac'ots itsho tatsetwe.
2807030049	Ni ááwotse fa'a gindo nbe'aawo ni'eshu ááwitsi kiimo n s'iil eegishe?
2807040068	Eshe niááwotse gindo b́befere, ni'eshuush, ‹Aab ni ááwitsi kimman kishuna› nietet ááwk'oneya?
280705007d	Nee git albertsono, shin niááwotse fa'a gindo kishwe, maniyere il, nieshu ááwotse fa'a kiimo kishosh shengshde bek'etune.
28070600cc	Woshosh t'ints meets S'ayino kanwotssh imk'ayere, it ink'wo guritswots shinats juuk'ayere, gúritswots itko b́k'awntso shaaw gizon keewets malo botufon boneed'awok'owa, kanwotswere aanar itn shas'etunee.
280707004c	«K'onwere itsh imetwe, gewoore daatsitute, fengesho k'ofore itsh k'eshetwe.
2807080053	K'onitu jamo dek'etwe, geyirwonúwere daatsitwe, fengesh k'ofitwoshowere k'eshetwe.
2807090035	Ititse b́ na'o tusho b́k'onoor shútso imetwo kone?
28070a001f	Mus'o b́k'onre dawnzo imetwá?
28070b00ab	Eshe it gondwotsi wotefetsat, it nana'úwotssh sheeng keewo imo it daniyakon, bérée, darotse fa'o it nihi bín k'onitwotssh bogshde aawk'owe sheeng keewo imo b́k'azeti!
28070c0092	Eshe haniyak ashuwots itsh bok'alitwok'o it geyiru jamo itwere boosh mank'o k'alwere, nemonwere, nebiyiwots keewtso danonwere b́ keewirwo haniye.
28070d0084	«Fengesh t'ebún kindúwere, t'afo maants kindshit fengesho gawne, b́ werindonúwere eene. Manmaants kindit ashuwotswere ankatnee.
28070e0065	Kashomaants kindshiru werindonu t'ebee, b́ werindonwere kic'ike, bín daatsit ashuwotswere aynaliye.
28070f0080	«Mereeri gok'o tahde it maants weetwotsatse, bogitsotsnmó biik'ts boditsi Elah wotts kootets nebiyiwotsatse it atso korde'ere,
280710006f	Bonowere it danet bo fini shuwonee. Angitsi t'ugi atatse weyini shuwo, koshshlatse belesi miti shuwo mec'eetwa?
2807110055	Mank'o miti sheeng jamo shuwi sheengo shuwitwee, gond mitonwere gond shuwo shuwitwee.
2807120057	Miti sheengo gond shuwo shuwosh falratse, gond mitonwere sheeng shuwo shuwosh falratse.
2807130039	Sheeng shuwo shuraw mit jamo k'ut'de tawo maants juwetwe.
280714003c	Mansh eshe, kootets nebiyiwotsi bofini shuwon boon danetute.
280715008d	«‹Doonzono! Doonzono!› taash etiru jamo daritsi mengstots kindratse, daritsi mengstots kinditwo darotse fa'o t nih shuntso finitwoniyee.
28071600ac	Angshi aawots ayuwots, ‹Doonzono! Doonzono! n shútson bek'o keewratsnowa? N shútson fo'erawo kishratsnowa? Nshútson ay adits keewwotsi k'alratsnowa?› Etetune taasha.
