010000000e	Kĩambĩrĩria
01010b00d9	Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Thĩ nĩ ĩmere mĩmera: Mĩmera ĩrĩa ĩciaraga mbeũ, na mĩtĩ ĩrĩa ĩciaraga matunda marĩ na mbeũ thĩinĩ, kũringana na mĩthemba yayo.” Na gũgĩtuĩka o ũguo.
01010c00d2	Thĩ ĩkĩmera mĩmera: Mĩmera ĩgũciara mbeũ kũringana na mĩthemba yayo, na mĩtĩ ĩgũciara matunda marĩ na mbeũ thĩinĩ kũringana na mĩthemba yayo. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.
01010d005c	Nakuo gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa gatatũ.
01010e00c2	Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Nĩkũgĩe imũrĩ wariĩ-inĩ wa matu mairũ cia kũgayũkania mũthenya na ũtukũ, na irekwo ituĩke imenyithania cia imera, na mĩthenya na mĩaka.
01010f0074	Na ituĩke imũrĩ wariĩ-inĩ ũcio wa matu mairũ, itũmage thĩ kũgĩage na ũtheri.” Na gũgĩtuĩka o ũguo.
01011000ca	Ngai nĩombire imũrĩ igĩrĩ nene. Kĩmũrĩ kĩrĩa kĩnenanene, nĩkĩo riũa, kĩarage mũthenya; nakĩo kĩmũrĩ kĩrĩa kĩninanini, nĩkĩo mweri, kĩarage ũtukũ. O na ningĩ akĩũmba njata.
0101110048	Ngai agĩciiga wariĩ-inĩ wa matu mairũ itũmage thĩ kũgĩe ũtheri,
0101120071	ciarage mũthenya na ũtukũ, na igayũkanagie nduma na ũtheri. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.
0101130056	Na gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa kana.
01011400ad	Ningĩ Ngai agĩathana, akiuga atĩrĩ: “Maaĩ nĩmaiyũrwo nĩ ciũmbe irĩ muoyo, nacio nyoni nĩciũmbũkagĩre igũrũ rĩa thĩ gũtuĩkania wariĩ wa matu mairũ.”
0101150115	Nĩ ũndũ ũcio Ngai akĩũmba ciũmbe iria nene cia iria-inĩ na kĩũmbe o gĩothe kĩrĩ muoyo na kĩongoyaga, ikĩiyũra maaĩ-inĩ kũringana na mĩthemba yacio, na nyoni o yothe ĩrĩ mathagu kũringana na mũthemba wayo. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.
0101160089	Ngai agĩcirathima akiuga atĩrĩ, “Ciaranai mũingĩhe, mũiyũre maaĩ-inĩ marĩa marĩ maria-inĩ, nacio nyoni nĩcingĩhe thĩ.”
0101170058	Na gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa gatano.
01011800f0	Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Thĩ nĩĩgĩe ciũmbe irĩ muoyo kũringana na mĩthemba yacio: mahiũ, na ciũmbe iria ithiiagĩra thĩ, na nyamũ cia gĩthaka, o nyamũ kũringana na mũthemba wayo.” Na gũgĩtuĩka o ũguo.
01011900e1	Ngai akĩũmba nyamũ cia gĩthaka kũringana na mĩthemba yacio, na mahiũ kũringana na mĩthemba yamo, na ciũmbe ciothe iria ithiiagĩra thĩ kũringana na mĩthemba yacio. Nake Ngai akĩona atĩ ũndũ ũcio warĩ mwega.
01011a00ee	Ningĩ Ngai agĩathana, akiuga atĩrĩ, “Nĩtũũmbei andũ na mũhianĩre witũ, mahaanane na ithuĩ, nao maathage thamaki cia iria na nyoni cia rĩera-inĩ, na mahiũ ma thĩ yothe, na maathage ciũmbe ciothe iria ithiiagĩra thĩ.”
01011b0027	Nĩ ũndũ ũcio Ngai akĩũmba mũndũ
01011c00d1	Ngai akĩmarathima, akĩmeera atĩrĩ, “Ciaranai mũingĩhe, mũiyũre thĩ na mũmĩtoorie. Athagai thamaki cia iria na nyoni cia rĩera-inĩ, na mwathage ciũmbe ciothe irĩ muoyo iria ithiiagĩra thĩ.”
01011d00b7	Ningĩ Ngai akiuga atĩrĩ, “Nĩndamũhe mĩmera yothe ya thĩ ĩrĩa ĩciaraga mbeũ, na mũtĩ o wothe ũrĩa ũciaraga matunda marĩ mbeũ thĩinĩ. Ĩyo ĩgũtuĩka irio cianyu.
01011e00f9	Na kũrĩ nyamũ ciothe cia gũkũ thĩ, na nyoni ciothe cia rĩera-inĩ, o na ciũmbe ciothe iria ithiiagĩra thĩ, na kĩndũ o gĩothe kĩrĩ mĩhũmũ ya muoyo-rĩ, ndaacihe mĩmera mĩruru yothe ĩtuĩke irio ciacio.” Na gũgĩtuĩka o ũguo.
01011f00a8	Ngai akĩona atĩ kĩndũ kĩrĩa gĩothe oombĩte kĩarĩ kĩega mũno. Nakuo gũkĩgĩa hwaĩ-inĩ na gũkĩgĩa rũciinĩ. Ũcio ũgĩtuĩka mũthenya wa gatandatũ.
0102010030	Igũrũ na thĩ ikĩrĩka na ũgemu wacio wothe.
01020200b1	Naguo mũthenya wa mũgwanja wakinya, Ngai agĩkorwo arĩkĩtie wĩra ũcio aarutaga; nĩ ũndũ ũcio Ngai akĩhurũka mũthenya ũcio wa mũgwanja kuuma wĩra-inĩ wake wothe.
01020300a1	Nake Ngai akĩrathima mũthenya ũcio wa mũgwanja na akĩwamũra, tondũ nĩ mũthenya ũrĩa we aahurũkire kuuma wĩra-inĩ wothe ũrĩa aarutĩte wa ũũmbi.
0102040075	Ũcio nĩguo ũhoro ũrĩa wĩgiĩ igũrũ na thĩ rĩrĩa ciombirwo. Rĩrĩa Jehova Ngai ombire thĩ na igũrũ-rĩ,
01020500b3	gũtiarĩ kahinga o na kamwe ga gĩthaka koonekete thĩ kana mũmera wa gĩthaka ũkamera. Nĩ tondũ Jehova Ngai ndoirĩtie mbura thĩ na gũtiarĩ mũndũ wa kũrĩma mũgũnda,
0102060043	no tũrũũĩ twoimaga na thĩ na tũkaihũgia thĩ igũrũ guothe.
01020700a2	Nake Jehova Ngai akĩũmba mũndũ kuuma rũkũngũ-inĩ rwa thĩ, na akĩmũhuhĩra mĩhũmũ ya muoyo maniũrũ-inĩ make, nake mũndũ ũcio akĩgĩa na muoyo.
010208007b	Ningĩ Jehova Ngai nĩathondekete mũgũnda mwena wa irathĩro, o kũu Edeni; na kũu nĩkuo aigire mũndũ ũcio oombĩte.
010209010c	Nake Jehova Ngai agĩtũma thĩ ĩmere mĩtĩ ya mĩthemba yothe na ĩkũre. Yarĩ mĩtĩ mĩega ĩkĩoneka na maitho na yaciaraga matunda mega ma kũrĩa. Gatagatĩ ka mũgũnda ũcio nĩ haarĩ na mũtĩ wa muoyo, na mũtĩ wa ũmenyo wa gũkũũrana wega na ũũru.
01020a0086	Na nĩ kwarĩ rũũĩ rwathereraga ruumĩte Edeni rũkaihũgia mũgũnda ũcio; ruoima Edeni rũkagayũkana rũgatuĩka njũũĩ inya.
01020b0073	Rũũĩ rwa mbere rwĩtagwo Pishoni; na nĩruo rũthiũrũrũkaga bũrũri wothe wa Havila, kũrĩa kũrĩ thahabu.
01020c0089	(Thahabu ya bũrũri ũcio nĩ njega; ningĩ kũu no kũrĩ maguta manungi wega metagwo bendora, na tũhiga twa goro twĩtagwo onigithi.)
01020d0056	Rũũĩ rwa keerĩ rwĩtagwo Gihoni; naruo rũthiũrũrũkaga bũrũri wothe wa Kushi.
01020e008c	Rũũĩ rwa gatatũ rwĩtagwo Hidekela naruo rũgeragĩra mwena wa irathĩro wa bũrũri wa Ashuri. Naruo rũũĩ rwa kana rwĩtagwo Farati.
01020f0074	Jehova Ngai akĩoya mũndũ ũcio oombĩte, akĩmũiga mũgũnda-inĩ ũcio wa Edeni aũrĩmage na aũmenyagĩrĩre.
010210007a	Nake Jehova Ngai agĩatha mũndũ ũcio, akĩmwĩra atĩrĩ, “No ũrĩe maciaro ma mũtĩ o wothe ũrĩ mũgũnda ũyũ;
010211009e	no rĩrĩ, ndũkanarĩe maciaro ma mũtĩ ũrĩa wa ũmenyo wa gũkũũrana wega na ũũru, nĩgũkorwo rĩrĩa ũkaamarĩa, ti-itherũ no gũkua ũgaakua.”
0102120083	Ningĩ Jehova Ngai akiuga atĩrĩ, “Ti wega mũndũ ũyũ aikare arĩ wiki. Nĩngũmũmbĩra mũteithia ũrĩa ũmwagĩrĩire.”
010213010f	Na rĩrĩ, Jehova Ngai nĩ oombĩte nyamũ ciothe cia gĩthaka na nyoni cia rĩera-inĩ kuuma tĩĩri-inĩ. Agĩcirehe kũrĩ mũndũ ũcio one marĩĩtwa marĩa egũcitua; na ũrĩa mũndũ ũcio aatuire kĩũmbe o gĩothe kĩ muoyo, rĩu rĩgĩtuĩka rĩĩtwa rĩakĩo.
01021400a7	Nĩ ũndũ ũcio mũndũ ũcio akĩhe mahiũ mothe marĩĩtwa, o na nyoni cia rĩera-inĩ na nyamũ ciothe cia gĩthaka. No Adamu ndooneirwo mũteithia ũmwagĩrĩire.
01021500b9	Nĩ ũndũ ũcio Jehova Ngai agĩtũma mũndũ ũcio akome toro mũnene mũno; na rĩrĩa aakomete, Jehova Ngai akĩruta rũbaru rũmwe rwa mũndũ ũcio na agĩcookia nyama hau rwarĩ.
0102160092	Hĩndĩ ĩyo Jehova Ngai akĩũmba mũndũ-wa-nja kuuma rũbaru rũrĩa aarutĩte kũrĩ mũndũ ũcio na akĩrehe mũndũ-wa-nja ũcio kũrĩ we.
01021700c7	Mũndũ ũcio akiuga atĩrĩ, “Hĩ! Rĩu-rĩ, rĩĩrĩ nĩ ihĩndĩ kuuma mahĩndĩ makwa, na nyama cia mwĩrĩ wakwa. Arĩĩtagwo mũndũ-wa-nja, tondũ aarutirwo kuuma kũrĩ mũndũ mũrũme.”
010218007c	Gĩkĩ nĩkĩo gĩtũmaga mũndũ mũrũme atige ithe na nyina, na anyiitane na mũtumia wake, nao magatuĩka mwĩrĩ ũmwe.
010219004b	Acio eerĩ, mũndũ ũcio na mũtumia wake, maarĩ njaga, na matiaconokaga.
01030100fa	Na rĩrĩ, nyoka yarĩ na wara mũingĩ gũkĩra nyamũ ciothe cia gĩthaka iria Jehova Ngai oombĩte. Nyoka ĩyo ĩkĩũria mũndũ-wa-nja ũcio atĩrĩ, “Ti-itherũ Ngai nĩ oigire mũtikanarĩe maciaro kuuma mũtĩ o wothe wa mũgũnda ũyũ?”
0103020073	Mũndũ-wa-nja ũcio agĩcookeria nyoka ĩyo atĩrĩ, “No tũrĩe matunda ma mĩtĩ ĩrĩa ĩrĩ mũgũnda ũyũ,
0103030097	no Ngai aatwĩrire atĩrĩ, ‘Mũtikanarĩe matunda ma mũtĩ ũrĩa ũrĩ gatagatĩ ka mũgũnda ũyũ, na mũtikanaũhutie, nĩguo mũtigakue.’”
010304004c	No nyoka ĩkĩĩra mũndũ-wa-nja ũcio atĩrĩ, “Ti-itherũ mũtingĩkua.
0103050086	No Ngai nĩoĩ atĩ rĩrĩa mũkaarĩa matunda macio, maitho manyu nĩmakahingũka, mũtuĩke o ta Ngai, mũmenyage wega na ũũru.”
0103060110	Rĩrĩa mũndũ-wa-nja ũcio onire atĩ matunda ma mũtĩ ũcio maarĩ mega ma kũrĩa, na ma kwendeka makĩonwo na maitho, o na ma kwĩrirĩrio nĩ ũndũ wa kũũhĩgia mũndũ, agĩtua mamwe, akĩrĩa. Agĩcooka akĩhe mũthuuri wake, ũrĩa maarĩ nake, nake akĩrĩa.
01030700ba	Hĩndĩ ĩyo maitho mao eerĩ makĩhingũka, nao makĩmenya atĩ maarĩ njaga; nĩ ũndũ ũcio magĩtumania mathangũ ma mũkũyũ, magĩĩthondekera kĩndũ gĩa kũhumbĩra njaga yao.
01030800d0	Hwaĩ-inĩ rĩrĩa riũa rĩarurĩte-rĩ, mũndũ ũcio na mũtumia wake makĩigua makinya ma Jehova Ngai agĩceera kũu mũgũnda-inĩ, nao makĩĩhitha mĩtĩ-inĩ ya mũgũnda nĩguo Jehova Ngai ndakamone.
010309004c	No Jehova Ngai agĩĩta mũndũ ũcio, akĩmũũria atĩrĩ, “Ũrĩ ha?”
01030a0089	Nake akĩmũcookeria atĩrĩ, “Niĩ ngũiguire ũgĩceera mũgũnda-inĩ ndeetigĩra tondũ nyuma njaga; nĩ ũndũ ũcio ndeehitha.”
01030b009a	Nake Jehova akĩmũũria atĩrĩ, “Nũũ ũkwĩrire atĩ ũrĩ njaga? Kaĩ ũrĩĩte matunda ma mũtĩ ũrĩa ndagwaathire ngĩkwĩra ndũkanaũrĩe?”
01030c0092	Mũndũ ũcio akiuga atĩrĩ, “Mũndũ-wa-nja ũrĩa waheire ndũũranie nake nĩwe ũũheire matunda mamwe ma mũtĩ ũcio, na niĩ ndarĩa.”
01030d00b6	Nake Jehova Ngai akĩũria mũndũ-wa-nja ũcio atĩrĩ, “Atĩ nĩ atĩa wĩkĩte?” Mũndũ-wa-nja ũcio akiuga atĩrĩ, “Nĩ nyoka ĩheenirie na niĩ ndarĩa matunda macio.”
01030e00ff	Nĩ ũndũ ũcio Jehova Ngai akĩĩra nyoka atĩrĩ, “Tondũ nĩwĩkĩte ũguo-rĩ, “Wee ũrogwatwo nĩ kĩrumi gũkĩra mahiũ mothe na gũkĩra nyamũ ciothe cia gĩthaka! Ũrĩthiiaga na nda, na ũrĩrĩĩaga rũkũngũ matukũ mothe ma muoyo waku.
01030f00c1	Na nĩngũtũma kũgĩe ũthũ gatagatĩ gaku na mũndũ-wa-nja ũyũ, na gatagatĩ ka rũciaro rwaku na rwake; nake nĩagakũhehenja mũtwe, nawe nĩũkamũgũtha ndiira ya kũgũrũ gwake.”
01031000d0	Ningĩ akĩĩra mũndũ-wa-nja ũcio atĩrĩ, “Nĩngũkũingĩhĩria ruo mũno hĩndĩ ya gũciara; ũrĩciaraga ciana na ruo. Merirĩria maku marĩkoragwo marĩ harĩ mũthuuriguo, nake nĩarĩgwathaga.”
010311010f	Ningĩ Ngai akĩĩra Adamu atĩrĩ, “Tondũ nĩwathĩkĩire mũtumia waku, na warĩa matunda ma mũtĩ ũrĩa ndagwaathire, ngĩkwĩra atĩ, ‘Ndũkanarĩe,’ “Thĩ nĩyarumwo nĩ ũndũ waku; ũrĩrĩĩaga irio ciayo na ruo rwa mĩnoga matukũ mothe ma muoyo waku.
010312005c	Ĩrĩgũciaragĩra mĩigua na mahiũ ma nyeki-inĩ, nawe ũrĩrĩĩaga mĩmera ya mũgũnda.
01031300b3	Ũrĩrĩĩaga irio cia thithino ya mĩnoga yaku, o nginya rĩrĩa ũgaacooka tĩĩri-inĩ, tondũ nokuo warutĩtwo; tondũ wee ũrĩ rũkũngũ na ũgaacooka o rũkũngũ-inĩ.”
0103140061	Adamu agĩĩta mũtumia wake Hawa, tondũ nĩwe watuĩkire nyina wa arĩa othe matũũraga muoyo.
0103150050	Jehova Ngai agĩthondekera Adamu na mũtumia wake nguo cia njũũa, akĩmahumba.
01031600d3	Nake Jehova Ngai akiuga atĩrĩ, “Mũndũ ũyũ nĩatuĩkĩte o ta ũmwe witũ, akamenya wega na ũũru. Ndagĩrĩire gwĩtĩkĩrio atue matunda ma mũtĩ wa muoyo o namo, amarĩe nake atũũre nginya tene.”
0103170076	Nĩ ũndũ ũcio Jehova Ngai akĩmũingata kuuma Mũgũnda wa Edeni athiĩ akarĩmage tĩĩri-inĩ kũrĩa aarutĩtwo.
01031800fc	Ngai aarĩkia kũrutũrũra mũndũ ũcio-rĩ, akĩiga akerubi mwena wa irathĩro wa Mũgũnda wa Edeni, o na rũhiũ rwa njora rwarĩrĩmbũkaga mwaki na rwahenagia mbarĩ ciothe, nĩ ũndũ wa kũgitĩra njĩra ya gũthiĩ mũtĩ-inĩ ũcio wa muoyo.
01040100ae	Nake Adamu agĩkoma na mũtumia wake Hawa, nake akĩgĩa nda, agĩciara Kaini. Nake akiuga atĩrĩ, “Ndĩkũgĩa na mwana wa kahĩĩ nĩ ũndũ wa gũteithio nĩ Jehova.”
010402006d	Thuutha ũcio agĩciara Habili, mũrũ wa nyina. Habili aarĩ mũrĩithi wa mbũri nake Kaini aarĩ mũrĩmi.
0104030062	Maikarĩte kwa ihinda-rĩ, Kaini akĩrehe maciaro mamwe ma mũgũnda marĩ igongona kũrĩ Jehova.
010404007a	No Habili akĩrehe marigithathi mamwe marĩa manoru ma rũũru rwake. Nake Jehova agĩkenio nĩ Habili na igongona rĩake,
010405006e	no ndaakenirio nĩ Kaini na igongona rĩake. Nĩ ũndũ ũcio Kaini akĩrakara mũno, na agĩtukia gĩthiithi.
010406006d	Nake Jehova Ngai akĩũria Kaini atĩrĩ, “Ũrakarĩte nĩkĩ? Na nĩ kĩĩ gĩtũmĩte ũtukie gĩthiithi?
01040700c1	Ũngĩka ũrĩa kwagĩrĩire-rĩ, no wage gwĩtĩkĩrĩka? No ũngĩaga gwĩka ũrĩa kwagĩrĩire-rĩ, mehia makuoheirie mũrango-inĩ waku makĩenda gũgwatha; no wee no nginya ũmatoorie.”
01040800c1	Thuutha ũcio Kaini akĩĩra mũrũ wa nyina Habili atĩrĩ, “Nĩtumagare tũthiĩ mũgũnda.” Na rĩrĩa maarĩ kũu mũgũnda, Kaini agĩtharĩkĩra mũrũ wa nyina Habili, akĩmũũraga.
01040900af	Nake Jehova akĩũria Kaini atĩrĩ, “Arĩ ha mũrũ-wa-nyũkwa Habili?” Nake akĩmũcookeria atĩrĩ, “Niĩ ndiũĩ, kaĩ arĩ niĩ mũmenyereri wa mũrũ-wa-maitũ?”
01040a0084	Jehova akĩmũũria atĩrĩ, “Nĩ atĩa wĩkĩte? Ta thikĩrĩria! Thakame ya mũrũ-wa-nyũkwa nĩĩrangaĩra ĩrĩ tĩĩri-inĩ.
01040b009e	Na rĩrĩ, nĩũgwatĩtwo nĩ kĩrumi na ũkaingatwo mũgũnda ũrĩa waathamirie kanua kaguo kwamũkĩra thakame ya mũrũ-wa-nyũkwa kuuma guoko-inĩ gwaku.
01040c008c	Rĩrĩa ũrĩũrĩmaga-rĩ, ndũgacooka gũgũciarĩra maciaro maguo. Ũgũtuĩka mũndũ ũtakindagĩria, wa kũũrũũraga gũkũ thĩ.”
01040d0068	Nake Kaini akĩĩra Jehova atĩrĩ, “Iherithia rĩakwa nĩ inene gũkĩra ũrĩa ingĩhota gwĩtiiria.
01040e00ca	Ũmũthĩ ũyũ nĩũranyingata kuuma mũgũnda ũyũ na ndũũre hithĩtwo ũthiũ waku; ngũtuĩka mũndũ ũtakindagĩria, wa kũũrũũraga gũkũ thĩ, na ũrĩa wothe ũkaanyona nĩakanjũraga.”
01040f00d8	No Jehova akĩmwĩra atĩrĩ, “Aca, ti ũguo; mũndũ o na ũrĩkũ angĩkooraga Kaini, nĩakarĩhio maita mũgwanja.” Jehova agĩcooka agĩĩkĩra Kaini rũũri nĩgeetha ũrĩa wothe ũngĩmuona ndakamũũrage!
010410007a	Nĩ ũndũ ũcio Kaini akĩehera akiuma harĩ Jehova, na agĩtũũra bũrũri-inĩ wa Nodu, mwena wa irathĩro rĩa Edeni.
01041100b4	Kaini agĩkoma na mũtumia wake, na akĩgĩa nda, agĩciara Enoku. Hĩndĩ ĩyo Kaini nĩakaga itũũra inene, na aarĩkia kũrĩaka, akĩrĩĩta Enoku o ta ũrĩa mũriũ eetagwo.
0104120094	Nake Enoku agĩciarĩrwo Iradu, nake Iradu aarĩ ithe wa Mehujaeli, nake Mehujaeli aarĩ ithe wa Methushaeli, nake Methushaeli aarĩ ithe wa Lameku.
010413005a	Lameku ũcio akĩhikia andũ-a-nja eerĩ, ũmwe eetagwo Ada na ũrĩa ũngĩ eetagwo Zila.
0104140060	Ada agĩciara Jabali; na nĩwe ithe wa andũ arĩa matũũraga hema-inĩ na marĩithagia mahiũ.
010415007c	Mũrũ-wa nyina eetagwo Jubali; nake nĩwe ithe wa andũ arĩa othe mahũũraga inanda cia mũgeeto na makahuha mĩtũrirũ.
01041600b5	Zila o nake aarĩ na mũriũ, nake eetagwo Tubali-Kaini, na nĩwe waturaga indo cia mĩthemba yothe cia gĩcango na cia kĩgera. Tubali-Kaini aarĩ na mwarĩ wa nyina wetagwo Naama.
01041700db	Lameku akĩĩra atumia ake atĩrĩ, “Ada na Zila, taa thikĩrĩriai; inyuĩ atumia a Lameku, ta iguai ciugo ciakwa. Nĩnjũragĩte mũndũ nĩ ũndũ wa kũndiihia, ngooraga mũndũ mwĩthĩ nĩ ũndũ wa kũnguraria.
0104180075	Angĩkorwo Kaini arĩhagĩrio maita mũgwanja-rĩ, Lameku nake akarĩhĩrio maita mĩrongo mũgwanja na mũgwanja.”
01041900bd	Nake Adamu agĩkoma na mũtumia wake rĩngĩ, nake agĩciara kaana ga kahĩĩ, na agĩgatua Sethi, akiuga atĩrĩ, “Ngai nĩaheete mwana ũngĩ handũ ha Habili, ũrĩa Kaini ooragire.”
01041a008d	Sethi o nake aarĩ na mũriũ wake, nake akĩmũtua rĩĩtwa Enoshu. Hĩndĩ ĩyo nĩrĩo andũ mambĩrĩirie gũkaĩra rĩĩtwa rĩa Jehova.
010501008f	Ũyũ nĩguo ũhoro ũrĩa wandĩkĩtwo wĩgiĩ njiarwa cia Adamu. Hĩndĩ ĩrĩa Ngai oombire mũndũ-rĩ, amũũmbire na mũhianĩre wa Ngai.
0105020073	Ngai aamoombire mũndũ mũrũme na mũndũ-wa-nja na akĩmarathima. Na aarĩkia kũmomba, akĩmeeta “mũndũ.”
0105030086	Adamu aakinyia mĩaka igana na mĩrongo ĩtatũ-rĩ, akĩgĩa na mũriũ wamũtũkĩtie na wa mũhianĩre wake; nake akĩmũtua Sethi.
010504008d	Na thuutha wa Sethi gũciarwo-rĩ, Adamu agĩtũũra muoyo mĩaka ĩngĩ magana manana, na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
010505006d	Mĩaka yothe ĩrĩa Adamu aatũũrire muoyo yarĩ mĩaka magana kenda na mĩrongo ĩtatũ, agĩcooka agĩkua.
010506004e	Sethi aakinyia mĩaka igana na ĩtano-rĩ, akĩgĩa na mũriũ wetagwo Enoshu.
010507009a	Na thuutha wa Enoshu gũciarwo-rĩ, Sethi agĩtũũra muoyo mĩaka ĩngĩ magana manana na mũgwanja na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
010508006e	Mĩaka yothe ĩrĩa Sethi aatũũrire muoyo yarĩ mĩaka magana kenda na ikũmi na ĩĩrĩ, agĩcooka agĩkua.
010509004e	Enoshu aakinyia mĩaka mĩrongo kenda-rĩ, akĩgĩa na mũriũ wetagwo Kenani.
01050a00a3	Na thuutha wa Kenani gũciarwo-rĩ, Enoshu agĩtũũra muoyo mĩaka ĩngĩ magana manana na ikũmi na ĩtano, na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
01050b0064	Mĩaka yothe ĩrĩa Enoshu aatũũrire muoyo yarĩ mĩaka magana kenda na ĩtano, agĩcooka agĩkua.
01050c0056	Kenani aakinyia mĩaka mĩrongo mũgwanja-rĩ, akĩgĩa na mũriũ wetagwo Mahalaleli.
01050d00a4	Na thuutha wa Mahalaleli gũciarwo-rĩ, Kenani agĩtũũra muoyo mĩaka ĩngĩ magana manana na mĩrongo ĩna, na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
01050e0064	Mĩaka yothe ĩrĩa Kenani aatũũrire muoyo yarĩ mĩaka magana kenda na ikũmi, agĩcooka agĩkua.
01050f0061	Mahalaleli aakinyia mĩaka mĩrongo ĩtandatũ na ĩtano-rĩ, akĩgĩa na mũriũ wetagwo Jaredi.
01051000a7	Na thuutha wa Jaredi gũciarwo-rĩ, Mahalaleli agĩtũũra muoyo mĩaka ĩngĩ magana manana na mĩrongo ĩtatũ, na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
010511007b	Mĩaka yothe ĩrĩa Mahalaleli aatũũrire muoyo yarĩ mĩaka magana manana na mĩrongo kenda na ĩtano, agĩcooka agĩkua.
0105120066	Jaredi aakinyia mĩaka igana na mĩrongo ĩtandatũ na ĩĩrĩ-rĩ, akĩgĩa na mũriũ wetagwo Enoku.
010513008e	Na thuutha wa Enoku gũciarwo-rĩ, Jaredi agĩtũũra muoyo mĩaka ĩngĩ magana manana, na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
010514007c	Mĩaka yothe ĩrĩa Jaredi aatũũrire muoyo yarĩ mĩaka magana kenda na mĩrongo ĩtandatũ na ĩĩrĩ, agĩcooka agĩkua.
010515005f	Enoku aakinyia mĩaka mĩrongo ĩtandatũ na ĩtano-rĩ, akĩgĩa na mũriũ wetagwo Methusela.
0105160095	Na thuutha wa Methusela gũciarwo-rĩ, Enoku agĩtũũra atwaranaga na Ngai mĩaka magana matatũ, akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
0105170069	Mĩaka yothe ĩrĩa Enoku aatũũrire muoyo yarĩ mĩaka magana matatũ na mĩrongo ĩtandatũ na ĩtano.
0105180041	Enoku agĩtwarana na Ngai nginya akĩagwo tondũ Ngai nĩamuoire.
0105190068	Methusela aakinyia mĩaka igana na mĩrongo ĩnana na mũgwanja-rĩ, akĩgĩa na mũriũ wetagwo Lameku.
01051a00b3	Na thuutha wa Lameku gũciarwo-rĩ, Methusela agĩtũũra muoyo mĩaka ĩngĩ magana mũgwanja na mĩrongo ĩnana na ĩĩrĩ, na akĩgĩa na ciana ingĩ cia aanake na cia airĩtu.
01051b007d	Mĩaka yothe ĩrĩa Methusela aatũũrire muoyo yarĩ mĩaka magana kenda na mĩrongo ĩtandatũ na kenda, agĩcooka agĩkua.
01051c005a	Lameku aakinyia mĩaka igana na mĩrongo ĩnana na ĩĩrĩ-rĩ, akĩgĩa mwana wa kahĩĩ.
