2900000005	Marka
290117004b	Cuvai can ah thlarau sia ih molhmi pa pakhat cu Sinakok sung ah a tiang ih,
29011800a9	“Nazareth mi Jesuh, zangtu ah kan na ṭul? Kan na siatsuah dingah maw na tiang? Hu na si tih ta fiah — nang cu Pathian ih mi Thianghlim Pakhat na si,” tiah a hek.
290119004b	Cun Jesuh nih cupa cu, “Daite in um, cupa ih sung in suak!” tiah a tai.
29011a0060	Thlarau sia nih cupa cu thangai in a caihter ih thangngai a heh hnuk ah, cupa ih sung in a suak.
29011b00c5	Cun an zatein an mangbang colh ih, “Aimang thil cu zangtih in a i? Zirhnak thar maw a i? Thlarau sia pawl hman thuneihnak thawn thu a pe hnei ih a thu an thlun!” tiah pakhat le pakhat an sutfa.
29011c0048	Cutin Jesuh ih thuhla cu hmakhatte ah Galilee peng zate ah a thang colh.
29011d005b	Jesuh cu Sinakok ih a suah cang in Simon le Andru teiʼ inn ah James le Johan thawn an lut.
29011e005e	Simon nupi ih nu cu khurhfah in a fak ih a it; Jesuh a tian cang in cuvai thu cu an sim lohli.
29011f005a	Jesuh cu a sin a va feh ih a kut in a han tho. A khurhfahnak cu a dam ih a tuamhlawm hnei.
290120006d	Ni a pil ih simla a tian tikah, mi fak pawl le thlarau sia ih molhmi pawl hmahhmah cu Jesuh sinah an tianpit.
290121003c	Cun an khawpawh in cuvai inn suahka hmai ah an hmuakkhawmfa.
29012200a7	Jesuh nih fahnak phunphun ih a fakmi pawl a damter, cule khawsia tamngai khaw a dawisuak hnei. Khawsia pawl cu ṭon a sian hnei lo; zangahtihle hutu a si tih an fiah.
290123006c	Zingmaw khawvang hlan ah Jesuh cu a tho ih inn leng ah a suak. Thawngṭhingnak hmun ah a feh ih thla a cam.
290124002d	Simon le a rualpi pawl nih Jesuh cu an hrawl,
290125003f	an hmuh tikah, “Mi hmahhmah nih ta hrawl eng,” tiah an sim.
290126007f	Jesuh nih, “Khua kiangkap dang ah feh uh sing. Thu ka sim hnei thok. Zangahtihle cucu ka tiannaksan a i,” tiah a sawn hnei.
2901270063	Cun Galilee peng hmahhmah ah a feh ih an sinakok pawl ah thu a sim ih khawsia pawl khaw a dawisuak.
290128007a	Miphar pa pakhat cu Jesuh sin a feh ih, khuk bil in bopnak a hler ih, “na duh ah cu, ka na thiangter thei,” tiah a ti.
2901290070	Jesuh nih a thinfak ih a kut dawh pit in a tham. Cule a sinah, “Ta ka thianter ka duh, thiang i,” tiah a ti.
29012a0029	Hmakhatte ah a pharfah a dam ih a thiang.
29012b0044	Jesuh nih fak ngai in ralrinnak a pe ih a hlatnak ah a fehter lohli,
29012c00ee	Cun a sinah, “Ngai hnik! Hutu sinah zangkhaw sim hlah. Cunakin puithiam sinah va feh cih la tak zohfel seh; mi hmahhmah nih na dam tihmi an fiahnak dingah Moses ih thupekmi mangin mithiang na sihnak dingah thawinak pe,” tiah thu a pe.
29012d00cf	Sikhawsehla cupa cu a feh ih a damnak thu cu duhsah ngaiin a sim ih khawhra a thang. Curuangah Jesuh cu mi ih hmuhhngan in khaw sungah a lut thei i lo. Khaw lengah a um ih a sinah hmunzakip in mi nih an pha.
2902010068	Ni tawkfang a rei hnukah Jesuh cu Kapernaum khua ah a ban sal ih, inn ah a um tih thu cu mi nih an fiah.
2902020090	Mi tamngai cu hmunkhat ah an hmuakkhawm fak ruangah khan lawng a um lo ih suahka hram tiangin mi an khat colh. Cun Jesuh nih an sinah thu a sim.
2902030044	Minung pali nih taksaze pa cu an zawn fa ih Jesuh sinah an tian pit.
29020400a2	Mi an tam tuk ih Jesuh ih hram an tian pit thei lo ruangah Jesuh umnak zawn inn tlun khuh cu an bal; an bauh colh ih taksaze pa cu a tangthah thawn an ron ṭhum.
2902050072	Jesuh nih an zupnak a hmuh tikah, taksaze pa sinah, “Ka fapa, na sual pawl cu ngaihthiam na i cem,” tiah a ti.
290206004b	Cun cuvai hmun ih a to ve mi daanthiam hrekkhat pawl nih an thinlung te in,
2902070085	“Zangruangah hivai pa cu aitin a ṭon? Pathian thangsiat a i. Pathian hrel lo hutu nih sual pawl a ngaihthiam thei?” tiah an ti.
290208009a	Jesuh nih an thinlung te in himang thu an ruah cu hmakhatte ah a thlarau nih a fiah ih an sinah, “Zangruangah nan thinlung te in himang thu cu nan ruat?
2902090099	‘Na sual pawl cu ngaihthiam na i cem,’ tih maw, ‘Hang tho la na tangthah la pit in feh,’ tih, khoitu sawn hi hivai taksaze pa sinah sip bai sawn?
29020a0097	Asinain Minung Fapa nih leitlun ah sual pawl ngaihthiam theinak thuneihnak a nei tih nan fiahnak dingah hihi tuah a i,” tiah a sim. Taksaze pa sinah,
29020b0051	“Na sinah ta sim, hang tho, na tangthah la piʼn na inn ah ṭin,” tiah a ti.
29020c00d0	Cun taksaze pa cu a hang tho ih hmakhatte ah a tangthah la pit in an zate hmuhhngan ah a feh. Curuangah an zatein an mangbang tuk ih, “Aimang thil cu kan hmu kel lo,” tiah an ti ih Pathian an thangṭhat.
29020d005a	Jesuh cu Galilee tili kam ah a va feh sal; mi tamngai a sinah an tiang ih thu a zirh hnei.
29020e00a1	A feh pah ah Alfias ih fapa Levi cu a siahkhong zung sungih a to cu a hei hmu. Cun Jesuh nih, “Ka thlun,” tiah a ti. Levi cu a hang ding ih Jesuh cu a thlun.
29020f00a4	Cun Jesuh cu Levi ih inn ah caw a ei. Siahkhongtu pawl le misual pawl khaw Jesuh le a dungthluntu pawl thawn caw an ei khat. Minung an tamngai ih Jesuh cu an thlun.
29021000e4	Farasi mi daanthiam pawl nih Jesuh cu siahkhongtu pawl le misual pawl thawn caw an ei khat lai an hmuh tikah, a dungthluntu pawl sinah, “Zangruangah Jesuh cu siahkhongtu pawl le misual pawl thawn caw an ei khat?” tiah an ti.
29021100c8	Cun Jesuh nih a thei hnei ih an sinah, “Mi fimdam pawl nih sibawi an ṭul lo, mifak pawl kau nih an ṭul. Mi dingfel pawl ko dingah ka tiang lo, misual pawl ko dingah ka tiang,” tiah a let hnei.
29021200e4	Johan ih dungthluntu pawl le Farasi pawl cu caw an ul. Minung pawl cu Jesuh sin an feh ih, “Johan ih dungthluntu pawl le Farasi dungthluntu pawl cu caw an ul, zangruangah na dungthluntu pawl cu caw an ul ve lo?” tiah an sut.
290213009c	Cun Jesuh nih an sinah, “Mo neitu an sinih a um laiah, mo lawmtu pawl caw an ul thok maw? Mopuai ah mo neitu an sinih a um sung cu caw an ul thei thok lo.
2902140056	Asinain an sin in mo neitu laksak ni a tiang leh thok, cuvai ni ah caw an ul leh thok.
290215008e	“Hutu khaw nih hnipuan hlun cu puanthan thar thawn a dap kel lo. A dap asihle a thar nih a hlun cu a duk thok ih hnem hlehhlo in a pat thok.
29021600f3	Cun hutukhaw nih sabit ti thar cu thawl hlun sungah an se kel lo. An siah asihle sabit ti thar nih thawl hlun cu a pak ter thok ih sabit ti le a thawl cu an siat colh thok. Sabit ti thar cu thawl thar ah siah sawn thok a i,” tiah a let hnei.
2902170073	Sabbath ni ah Jesuh cu sangvut lo lakin a feh; cule a dungthluntu pawl cu an feh pah ah sangvut vui pawl cu an zut.
2902180099	Cun Farasi pawl nih Jesuh sinah, “Zohhnik, Sabbath ni ah tuah lo dingah daan ih a khammi cu zangruangah na dungthluntu pawl nih an tuah?” tiah an ti.
290219008d	Cun Jesuh nih an sinah, “David nih a rualpi pawl thawn ei ding nei lo in le cawṭam ih an um lai ah zang a tuah tihmi nan siar kel lo maw?
29021a00ba	Puithiam lubik Abiathar sanah Pathian ih inn songah lut in, puithiam pawl kau ih ei ding tiah daan ih a sianmi sang cu David nih a ei ih a rualpi pawl khaw a pe hnei,” tiah a let hnei.
29021b0069	Cun Jesuh nih an sinah, “Sabbath cu minung hrangah tuahmi a i; minung hi Sabbath hrangah tuahmi a i lo.
29021c0049	Curuangah Minung Fapa cu Sabbath tlun khawah bawi a i,” tiah a ti hnei.
2903010043	Cun Jesuh cu Sinakok ah a lut sal ih, cuva ah kutze pa pakhat a um.
2903020085	Mi hrekkhat nih Jesuh cu sual an puh theinak dingah, Sabbath ni ah cupa cu a damter thok maw damter thok lo tiah ṭhangai in an zoh.
2903030055	Jesuh nih cuvai kutze pa cu, “Hang ding la, hmai ah va suak hnik,” tiah thu a pe.
29030400b8	Cun Jesuh nih an sinah, “Daan nih Sabbath ni ah thil ṭha tuah maw, thil ṭha lo tuah hi a kham? Mi nunnak run maw, thah hi a kham?” tiah a sut hnei. Asinain an dai ṭhipṭhep.
2903050094	Cun Jesuh nih thinsia in a zoh hnei vivo ih an thinlung a ruh tuk ruangah a riah a se ngai. Cun cuvai kutze pa cu, “Na ban cu pharh,” tiah a ti.
2903060066	Farasi pawl cu lengah an suak ih Herod ih milai pawl thawn Jesuh thah thei dan ding an relkhawm lohli.
290307007d	Jesuh cu a dungthluntu pawl thawn Galilee Tili ah an va feh; miburpi nih Jesuh cu an thlun. Anni cu Galilee peng, Judea peng,
29030800a9	Jerusalem khua, Idumea peng, Jordan tikua kiangkap, Tai-ar le Sidon khua kiangkap in a tiangmi pawl an i. Jesuh ih thil tuahmi pawl an theih ruangih a tiangmi pawl an i.
2903090083	Minung an tamtuk ih mipi pawl nih an pah lonak dingah lawng fate timlam sak cia dingin Jesuh nih a dungthluntu pawl cu a forh hnei.
29030a0054	Mifak tamngai a damter ruangah mifak pawl cu Jesuh tham ngah dingin an cuh fa deido.
29030b0078	Cun thlarau sia pawl nih Jesuh an hmuh cangcangin a hmai ah an bok ih, “Nang cu Pathian ih Fapa na si,” tiah an hek.
29030c006c	Cun Jesuh nih ama cu hutu a si tih khi mi an sip lonak dingah cuvai thlarau sia pawl cu ralrinnak a pe hnei.
29030d005a	Cun Jesuh cu tlang cungah a kai ih a duh mi pawl a sinah a ko hnei; cule a sinah an tiang.
29030e005d	Cun a sinih umtu dingah le thusimtu dingih a thlah hnei theinak dingah minung hleinih a hril.
29030f003d	Cule khawsia pawl dawisuah theinak thuneihnak khaw a pe hnei.
290310004e	Cun minung hleinih a hril mi ih hmin pawl cu: Simon (Peter tiah hmin a sakmi),
290311006c	Zebedi ih fapa James le a naupa Johan (Jesuh nih Boanerges tiah hmin a sak hnei, Khawhri ih fale tinak a i),
2903120061	Andru, Philip, Bartholomeo, Matthai, Thomas, Alfias ih fapa James, Thaddaeus, Phunṭan Simon le,
290313002c	Jesuh zuarthlaitu Judas Iskariot pawl an si.
290314007b	Cun Jesuh cu inn ah a ṭin. Mipi cu a sinah an tiang sal sei ruangah Jesuh le a dungthluntu pawl cu caw hman an ei man lo.
290315007c	Cuvai thu cu a sungkua pawl nih an fiah ih, mi nih “Jesuh cu a aa i,” tiah an tih ruangah, Jesuh kilkhawi dingah an feh.
29031600a1	Jerusalem ih a tiangmi daanthiam pawl nih, “Hi pa hi Beelzebul ih luhhnawhmi a i. Khawsia uktu bawi ih thuneihnak thawn khawsia pawl a dawisuak,” tiah an ti.
2903170085	Cun Jesuh nih a sinah a ko hnei ih tahṭhipnak hmangin thu a sim hnei, “Zangtin Seihtan nih Seihtan lala a dawisuak thei thok maw?
2903180060	Ram pakhat cu ṭhenṭhek fa in ama le ma a dohfak ahcun, cuvai ram cu rei a ding thei thok lo.
2903190068	Innsang pakhat cu ṭhenṭhek fa in ama le ma a dohfak ahcun, cuvai sungkua cu rei a ding thei thok lo.
29031a006c	Cun Seihtan cu ama le ma do fa in a ṭhenṭhek fak a sih ahcun, rei a ding thei thok lo ih a siatral thok.
29031b0080	“Asinain thaṭha pa cu hri thawn an khih hmasak lo ahcun, hutukhaw nih a inn songah lut pit in a thil an laksak thei thok lo.
29031c0081	“Thutak in nan ta sim, minung pawl ih sualnak hmahhmah le zangmang midang thangsiatnak an ṭonmi pawl cu ngaihthiam an i thok.
29031d0087	Asinain hutukhaw Thlarau Thianghlim a thangsiattu cu ngaihthiam a i kel thok lo, zangahtihle kumkhua daih sualnak a tuah,” tiah a ti.
29031e005b	Zangruangah tih le “Hi pa hi thlarau thianglo a sungah a um,” tiah an tih ruangah a si.
29031f0063	Cun Jesuh ih nu le a unau pawl cu an tiang, inn lengah an ding ih, Jesuh kawhsak dingah mi an forh.
290320009a	Jesuh ih hramah minung tamngai an to ih an ni nih, “Zohhnik, na nu le, na naunu le, na naupa le pawl nih ta hrawl eng, inn leng ah an um,” tiah an ti.
2903210049	Jesuh nih, “Ka nu le ka unau pawl cu hutu le an si?” tiah a sut hnei.
290322004f	A hramih totu pawl cu a zoh hnei ih, “Ka nu le ka unau pawl cu hiva ah an um.
2903230063	Hutu khaw sisehla Pathian ih duhnak a tuahtu hmahhmah cu ka nu le ka unau pawl an si,” tiah a ti.
29040100a1	Jesuh cu Galilee Tili kap ah thuzirh a thok sal. A sinih a tiangtu minung an tam tuk ruangah, lawng sungah a lut ih a to. Mipi pawl cu tili kap leilung ah an um.
2904020042	Cun tahṭhipnak pawl hmangin thu a zirh hnei ih, mipi pawl sinah:
2904030045	“Ṭhangai in ngai uh! Thlaici vorhtu cu thlaici vorh dingah a feh.
2904040053	Thlaici cu a vorh ih, a hrekkhat cu zalam tluan ah an ṭil ih vate pawl nih an ei.
2904050065	Thlaici hrekkhat cu lung tamnak hmun ah an ṭil ih leilung a sah lo ruangah thlaici cu an kho lohli.
290406005b	Asinain ni a hang suah tikah, ni nih a sat hnei ih an hram a thuk lo ruangah an rocar colh.
2904070074	Thlaici hrekkhat cu hling lakah an ṭil. Hling cu a hang ṭhang ih thlaikho cu a khuh colh ruangah an vui thei lo.
290408009a	Thlaici dang pawl cu leiram ṭhatnak ah an ṭil. An hang ṭhang ih a let sawmthum, a let sawmruk, a let zakhat tiangin an vui thei,” tiah a sim hnei.
2904090041	Cun an sinah, “Theihnak naa a neitu nih thei seh,” tiah a ti.
29040a0070	Jesuh cu ama lawng a um laiah, a kiangkap um pawl le a dungthluntu hleinih pawl nih tahṭhipnak thu pawl an sut
29040b0088	Cun Jesuh nih an sinah, “Pathian Uknak thuthup cu nan sinah pek a i cem, asinain a leng mi pawl hrangah cu tahṭhipnak thawn sip a i,
29040c00cc	curuangah, “‘An zoh ngelngo thok naʼn an hmu thei thok lo, An naa nih a thei thok naʼn an fiahthiam thok lo; Zangahtihle Pathian sin an kir sal thok ih a ngaihthiam hnei pang thok,’” tiah a sim.
29040d0085	Cun Jesuh nih an sinah, “Hivai tahṭhipnak hi nan cingthiam lo maw? Aitih cun zangtin tahṭhipnak hmahhmah cu nan cingthiam thok?
29040e0026	Thlaici vorhtu nih Pathian thu a vorh.
29040f0091	Mi hrekkhat cu zalam tluan ih a ṭilmi thlaici mang an i. Thu cu an thei, asinain Seihtan a tiang lohli ih an sungih tuhmi thu cu a laksak hnei.
2904100085	Cumangin a hrekkhat cu lung tamnak hmun ih a ṭilmi thlaici mang an i. Pathian thu an theih cangin lungawi ngai in an cohlang lohli.
290411008e	Asinain anma ah hrilhhram an neih lo ruangah reilote kau a daih. Cun Pathian thu ruangih harsatnak le hremnak a tian tikah Pathian an phatsan.
290412004f	Mi hrekkhat cu hling lakih a ṭilmi thlaici mang an i. Pathian thu cu an thei,
290413007f	asinain leitlun nunnak thu ih donharnak, let duhnak le thil dang duhnak pawl nih, Pathian thu cu a khuh ruangah an vui thei lo.
29041400bc	Asinain mi hrekkhat cu leiram ṭhatnak ih a ṭilmi thlaici mang an i. Pathian thu cu an thei, an cohlang ih a let sawmthum, a let sawmruk, a let zakhat tiangin an vui thei,” tiah a ti.
2904150077	Cun Jesuh nih an sinah, “Mei-inn cu kho tang le ihkhun tangah siah a i kel maw? Mei-inn vannak ah siah a i ko lo maw?
2904160056	Zangahtihle phorh lo dingih thuhmi le lang nolhsal lo dingmi thuthup zangkhaw a um lo.
2904170030	Theihnak naa a neitu nih thei seh,” tiah a ti.
29041800a6	Cun Jesuh nih an sinah, “Nan theihmi thu hi ṭhaten ruat uh. Midang tahnak ih nan hmanmi mangin nan khaw tah nan i ve thok — cunakih tamsawn hman bet nan i thok.
2904190068	Zangahtihle a neitu cu pek bet a i thok ih, a nei lo tu cu a neihsun hman laksak a i thok,” tiah a ti.
29041a004e	Cun Jesuh nih, “Pathian Uknak cu, mi pakhat nih lo sungah thlaici a vorh ih,
29041b0088	ama cu zan ah a it ih sun ah a tho, cuvai lai ah thlaici cu ama ten a kho ih a ṭhang; zangah aitin a ṭhang thiam tih khaw a fiah lo.
29041c007f	A ma ten leilung nih a ṭhang ter ih a thei ter, hmasabik ah hnah no a cerh ter, cule a vui ter ih netabik ah a fang a um ter.
29041d006a	Asinain a vui a cut tikah, cawlak can a cut i ruangah, a tacin thawn a la lohli tu mang a i,” tiah a ti.
29041e0076	Cun Jesuh nih, “Pathian Uknak cu zangtu thawn kan tahṭhim thok? Asihlole zangtu tahṭhipnak hmangin kan sim thok?
29041f006d	Lo sungih vorhmi ṭangṭap ci mang a i. Ṭangṭap ci cu leitlun ih thlaici hmahhmah lakih a fate bik a i.
29042000b3	Ṭangṭap ci cu vorh a ih tikah, a hang ṭhang ih thlaihnah dang hmahhmah nakin a hnem sawn. Tlangṭek hnem ngaingai a nei ih van ih vate pawl nih bu khaw an sa,” tiah a ti.
290421005e	An fiahthiam theinak dingah, Jesuh nih himang tahṭhipnak tamngai hmangin an sinah thu a sim.
2904220081	Tahṭhipnak tello in an sinah thu a sim lo. Asinain anma lawng kau an um can ah, a dungthluntu pawl sinah zangtinkim a simfiang.
290423006e	Cuvai ni simla a kim tikah, Jesuh nih a dungthluntu pawl sinah, “Tili khatla ralah feh u sing,” tiah a ti.
290424006f	Cun mipi pawl cu an ramta; Jesuh cu lawng sungah a to cia ih an feh pit. Lawng dang pawl khaw cuva ah an um ve.
2904250063	Cun zil fak ngai in a zuang ciamco ih tisuar nih lawng cu a siatsuah ruangah lawng cu ti in a khat.
2904260090	Jesuh cu lawng mei laah a um ih tokheng tlun ah a ihhmul. Cun an ṭhang ih, “Sayapa, kan riaral colh thok hi poi na ti lo maw?” tiah an ti.
290427008e	Jesuh cu a hang tho ih zil cu a tai, cule tisuar sinah, “Dai i! Um zirziar!” tiah thu a pe. Cun zil cu a zuang i lo ih a dai ṭhipṭhep.
290428007d	Jesuh nih a dungthluntu pawl sinah, “Zangruangah aitluk lawmlam in nan ṭih? Zupnak nan nei rih lo maw?” tiah a ti hnei.
2904290094	Cun an ṭih tuk lawmlam ih pakhat le pakhat, “Hi pa hi zangtumang minung zetzo a i si na, zil le tisuar hman nih a thu an ngai?” tiah an ti fa.
2905010056	Cun Jesuh le a dungthluntu pawl cu Galilee tili khatla ral ih Gerasenes ram an va ban.
290502007e	Cun Jesuh cu lawng sung in a ṭum ih, thlarau sia ih molhmi pa pakhat cu thlan sung in suak pit in Jesuh sinah a tiang lohli.
290503005a	Cuvai pa cu thlan lakih ummi a i. Hutu khaw nih thirhri hman in an khih thei lomi pa a si.
290504009c	Ke khihnak hri le thirhri pawl thawn hma tamngai an khit na in cuvai hri pawl cu a catter hnei colh ih hutu khaw cuvai pa neh thei dingin an tha a ṭha lo.
290505004f	Sun zan in thlan lak le tlang lakah a hek ih ama le ma khaw lung thawn a at fa.
2905060057	Cun lam hla in Jesuh a hei hmuh tikah, a va zuang ih Jesuh ih hmai ah cun a khuk a bil.
29050700aa	Cun a aw neih patawp in a hek ih, “Cungnungbik Pathian ih Fapa, Jesuh! Nang le kei cu zangtu kan pehtlai fa? Pathian hmin in ta ka dil, ka hrem hram hlah!” tiah a ti.
290508006f	(Zangahtihle Jesuh nih a sinah, “Nang thlarau sia, hi pa ih sung in suak!” tiah a tih takdah ruangah a si.)
290509008d	Cun Jesuh nih, “Na hmin hu a si?” tiah a sut. Cuvai pa nih, “Ka hmin cu ‘Burpi’ a si — zangahtihle kan tam setak!” tiah a sawn.
29050a006d	Cun cuvai pa nih thlarau thianglo pawl cuvai ram in dawi hnei colh lo dingah Jesuh cu thungai thlak in a dil.
29050b004d	Culaifangah cuvai kiangkap tlanghmual hrial ah vok rual tampi an tlang deido.
29050c0073	Cun thlarau thianglo pawl nih Jesuh sinah, “Vok rual sinah kan hei thlah, an sungah kan lut ter,” tiah an hler.
29050d00df	An hlerh mangin Jesuh nih a sian hnei. Thlarau thianglo pawl cu cuvai pa ih sungin an suak ih vok rual sungah an lut. Cun vok rual pawl — an zatein 2,000 hrawng — cu kak lakah an dawp ih tili sungah ṭil pit in an thi.
29050e008e	Vok kiltu pawl cu an va zuang ih, cuvai thuhla cu khawpi sung le ram sungah an than ciamco. Cun mipi pawl cu thil cangmi zoh dingah an va feh.
29050f0086	Mipi pawl cu Jesuh sin an va tiang. Thlarau sia “Burpi” ih molhmi pa cu hnipuan a hru ih a lungfim te in an va hmu, cule an ṭih.
2905100075	Thlarau sia ih molhmi pa tlun ih thil cangmi le vok rual tlun ih thil cangmi a hmutu pawl nih cuvai thu cu mi an sim.
2905110039	Cun mipi pawl nih Jesuh cu an ram in suak dingah an hler.
2905120067	Cule Jesuh cu lawng sungih a luh tikah, thlarau sia ih luhhnawh dah mi pa nih a sinah um dingin a hler.
29051300e2	Asinain Jesuh nih a sian lo ih a sinah, “Inn ah va ṭin pit in na sungkua pawl sinah, Bawipa nih na hrangah zangtluk thil maksak a tuah tihle zangtluk in na tlun ah thinfahnak a nei tih khi va sim hnei sawn,” tiah a forh.
2905140083	Cun cuvai pa cu a va feh ih Jesuh nih a hrangih a tuahsak mi thuhla cu Dekhapolis ram sungah a sim. Cun mi hmahhmah an mang a bang.
2905150088	Cun Jesuh cu tili khatla ral ah lawng thawn a feh sal. Jesuh ih hram ah minung tamngai an hmuakkhawm fa, cule Jesuh cu tili kam ah a si.
2905160071	Cun sinakok uktu pawl lakih pakhat, a hmin ah Jairas tihmi pa a tiangih Jesuh a hmuh tikah a ke hram ah a bok ih,
29051700a7	thungai thlakin thinfak a dil, “Ka fanu te a thi i ngaingai thok. A dam ih a nun theinak dingah kan sinah tiangin ka fanu ih tlun ah na kut suang hram,” tiah a ti.
290518005b	Cun Jesuh cu cuvai pa thawn an feh. Mipi tamngai nih an thlun ih Jesuh cu an pah pah deido.
290519004a	Cuvai hmun ah kum hleinih sung thi-dok fahnak ih a faktu numi pakhat a um.
29051a0068	A neihmi hmahhmah ne kau in sibawi tamngai sinah a tuamhlawm fa cem naʼn dam hoi loʼn a bese deuhdeuh.
29051b0072	Cuvai nu cu Jesuh ih thuhla a thei ih mipi pawl lakin Jesuh cu a dung laʼn a thlun, cule Jesuh ih puan cu a tham.
29051c004c	Zangahtihle, “A puan tal ka tham ngah ahcun ka dam kau thok,” tiah a ti.
29051d005c	Hmakhatte ah a thi dokmi cu a dam ih a fahnak in damter a i cem tih khaw a taksa nih a fiah.
29051e0083	Jesuh cu a sung in a huham a suak tih a fiahfa lohli, cule mipi la ah a herfa ih, “Hutu nih ka puan nan tham?” tiah a sut hnei.
29051f009a	Cun a dungthluntu pawl nih a sinah, “Mipi pawl nih ta pah eng deido cu na hmu kau, zangtin ‘Hutu nih ka puan nan tham?’ na ti thiam,” tiah an let.
2905200031	A puan thamtu fiah duh ah kiangkap pawl cu a zoh.
2905210093	Asinain numi nu cu, a cung ih thil cangmi cu a fiah ih, ṭih le ṭhia pah in Jesuh ih ke hram ah a bok. Cule Jesuh sinah thudik zaten a sim colh.
2905220081	Cun Jesuh nih a sinah, “Ka fanu, na zupnak nih ta damter cem, hnangamten va feh la na fahnak in dam dah hram law,” tiah a ti.
29052300a1	Jesuh cu a ṭon ngelngo lai ah, sinakok uktu pa ih inn in mi an tiang ih, “Na fanu cu a thi cem. Zangruangah Sayapa cu na hnaihnok rih ngelngo?” tiah an ti.
2905240076	Asinain Jesuh nih an ṭonmi cu zanghrel lo in sinakok uktu pa sinah, “Ṭih vai hlah, zum kau lai ci,” tiah a ti.
290525005c	Jesuh nih Peter, James, le James ih naupa Johan hrello hutukhaw a dung thlun a sian hnei lo.
2905260064	Sinakok uktu pa ih inn an va bat tikah, mipi pawl ṭap le aihram in an buai deido cu a va hmu hnei.
290527009a	Cun inn songah a lut ih an sinah, “Zangruangah ṭap le aihram in nan buai deido? Hi nappang nute hi a thi lo pi — a ihhmul mi a i!” tiah a ti hnei.
29052800b6	Cun mipi pawl nih Jesuh cu an hnihsan. Cun Jesuh nih an zaten lengah a suak ter hnei colh. Nappang nu ih nu le pa le a ṭhit tak hneimi pawl thawn nappang nu ih umnak ah cun an lut.
2905290078	Cun a kut in nappang nu cu a tlai ih, “Talitha, koum!” tiah a ti. A sullam cu “Nute, hang tho ta ti!” tinak a i.
29052a007c	Hmakhatte ah nappang nu a hang tho lohli ih a feh. (Zangahtihle cuvai nu cu kum hleinih mi a i.) Cucu an mang a bang taktak.
