2800000005	Matej
28020b009d	Uđu u kuću i ugledaju dijete s njegovom majkom Marijom te padnu ničice i poklone mu se. Zatim otvore škrinje s blagom i daruju mu zlato, tamjan i smirnu.
28020c006c	Poslije toga su u snu dobili upute da se ne vraćaju k Herodu, te su se u svoju zemlju vratili drugim putem.
28020d00ee	Kad su otišli, anđeo se Gospodnji ukaže u snu Josipu. “Ustani i bježi u Egipat s djetetom i s njegovom majkom”, reče anđeo, “i ostani ondje sve dok ti ne kažem da se vratiš jer će kralj Herod tražiti dijete da ga ubije.”
28020e0047	Josip ustane i još se iste noći zaputi u Egipat s Marijom i djetetom.
28020f0085	Ostao je ondje sve do Herodove smrti. Time se ispunilo što je Gospodin rekao preko proroka: “Pozvao sam svojega sina iz Egipta.”
28021000dd	Kad uvidi da su ga mudraci izigrali, Herod se silno razgnjevi i pošalje vojnike da u Betlehemu i po svoj okolici pobiju sve dječake od dvije godine i mlađe, prema vremenu izlaska zvijezde za koje se raspitao u mudraca.
2802110033	Tada se ispunilo ono što je rekao prorok Jeremija:
280212007f	“U Rami se čuje glas, zapomaganje i gorak plač; to Rahela oplakuje svoju djecu i ne dade se utješiti jer ih više nema.”
2802130043	Kad je Herod umro, u Egiptu se anđeo Gospodnji ukaže Josipu u snu
2802140082	i reče mu: “Ustani i povedi dijete i njegovu majku natrag u izraelsku zemlju, jer su oni koji su ga pokušavali ubiti mrtvi.”
2802150033	On ustane, uzme dijete i majku i vrati se u Izrael.
28021600a0	Putem dozna da je novim kraljem postao Arhelaj, Herodov sin, pa se prestraši. Tada i u snu dobije upozorenje da ne ide u Judeju, te umjesto toga ode u Galileju
280217006c	i nastani se u Nazaretu. Time se ispunilo što su o Mesiji napisali proroci: “Zvat će se Nazarećanin.”
2803010046	U to vrijeme Ivan Krstitelj počne propovijedati u judejskoj pustinji:
2803020050	“Pokajte se za grijehe i obratite se Bogu jer je nebesko kraljevstvo blizu!”
28030300a1	Prorok Izaija govorio je o Ivanu kad je prorokovao: “On je glas koji viče u pustinji: ‘Pripremite put za Gospodnji dolazak! Poravnajte za njega staze!’”
2803040077	Ivanova odjeća bila je istkana od devine dlake, a bio je opasan kožnim pojasom. Hranio se skakavcima i divljim medom.
2803050046	Ljudi su k njemu dolazili iz Jeruzalema i iz cijele jordanske okolice.
2803060045	Ispovijedali su mu svoje grijehe, a on ih je krstio u rijeci Jordanu.
28030700a1	Ali kad ugleda mnoge farizeje i saduceje da se dolaze krstiti, reče im: “Zmijska legla! Tko li vas je samo upozorio da pobjegnete Božjemu gnjevu koji stiže?
2803080053	Dokažite svojim životom i djelima da ste se odvratili od grijeha i obratili Bogu.
2803090097	Ne zavaravajte se da vam je dovoljno reći: ‘Mi smo Abrahamovi potomci!’ jer vam kažem da Bog može i od ovoga kamenja podignuti Abrahamovu djecu!
28030a0092	Sjekira Božjeg suda već je uzdignuta da u korijenu sasiječe stabla. Svako stablo koje ne daje dobrog roda bit će posječeno i bačeno u vatru.
28030b00b2	Ja vodom krstim one koji se pokaju od svojih grijeha; no dolazi netko veći od mene, toliko velik da mu ja nisam dostojan ni robom biti. On će vas krstiti Svetim Duhom i ognjem.
28030c0087	Očistit će svoje gumno i odvojiti pljevu od pšenice; pšenicu će spremiti u svoju žitnicu, a pljevu sažeći neugasivim ognjem.”
28030d0037	Tada Isus dođe iz Galileje na Jordan da ga Ivan krsti.
28030e006a	Ivan ga je odvraćao. “Zar da ti dođeš k meni,” reče mu, “a zapravo bi ti mene trebao krstiti!”
28030f006b	Ali Isus mu odgovori: “Pusti to, jer nam valja ispuniti pravednu Božju volju.” Tada ga je Ivan krstio.
2803100083	Nakon krštenja Isus iziđe iz vode. I gle! Nebesa se otvore i on ugleda Božjega Duha kako silazi kao golub i spušta se na njega.
2803110043	Začuje se glas: “Ovo je moj ljubljeni Sin. On je moja radost!”
2804010041	Zatim Sveti Duh odvede Isusa u pustinju da ga ondje kuša đavao.
2804020052	Ništa nije jeo četrdeset dana i četrdeset noći pa je nakon toga vrlo ogladnio.
2804030062	Tada mu pristupi napasnik i reče mu: “Ako si Božji Sin, reci da ovo kamenje postane kruhom.”
280404008c	Ali Isus mu odgovori: “U Svetome pismu piše: ‘Ne živi čovjek samo o kruhu, već i o svakoj riječi što izlazi iz Božjih usta.’”
2804050030	Tada ga đavao odvede u Sveti grad, na vrh Hrama
28040600b8	i reče: “Ako si Božji Sin, skoči! Jer Sveto pismo kaže: ‘On zapovijeda svojim anđelima za tebe’ i ‘oni će te svojim rukama zadržati da ni nogom o kamen ne udariš.’”
280407005f	Isus mu odgovori: “Sveto pismo također kaže: ‘Ne iskušavaj Gospodina Boga svojega!’”
2804080064	Đavao ga zatim povede na vrh vrlo visoke gore te mu pokaže sve narode svijeta i svu njihovu slavu.
2804090047	“Sve ću ti ovo dati”, reče mu, “ako mi se ničice pokloniš!”
28040a0075	“Odlazi, Sotono!” reče mu Isus. “U Svetome pismu piše: ‘Klanjaj se samo Bogu i njemu jedinome služi!’”
28040b002d	Tada đavao ode, a dođu mu služiti anđeli.
28040c003e	Kad je Isus čuo da su Ivana zatvorili, povuče se u Galileju.
28040d005b	Ode iz Nazareta te se nastani u Kafarnaumu, uz more, na Zebulunovu i Naftalijevu području.
28040e0028	Tako se ispunilo Izaijino proročanstvo:
28040f005c	“U zemlji Zebulunovoj i Naftalijevoj, uz more, s one strane Jordana, u poganskoj Galileji,
2804100084	narod koji je u tmini živio ugleda veliku svjetlost; onima što su prebivali u mračnom predjelu smrti zasjalo je jarko svjetlo.”
2804110071	Otada Isus počne propovijedati: “Pokajte se za grijehe i obratite se Bogu jer je nebesko kraljevstvo blizu!”
28041200a8	Prolazeći jednom obalom uz Galilejsko jezero, Isus opazi dvojicu braće—Šimuna, zvanoga još i Petar, i Andriju—kako bacaju mrežu u more. Bili su, naime, ribari.
2804130045	Reče im: “Pođite za mnom i ja ću vas učiniti ribarima ljudi!”
2804140031	Oni smjesta ostave svoje mreže te pođu za njim.
2804150085	Malo dalje ugleda drugu dvojicu braće, Jakova i Ivana, kako sjede u lađici sa svojim ocem Zebedejem i krpaju mreže. Pozove i njih.
2804160032	Oni smjesta ostave lađicu i oca te pođu za njim.
28041700b8	Isus je putovao cijelom Galilejom poučavajući u židovskim sinagogama, propovijedajući Radosnu vijest o nebeskom kraljevstvu te iscjeljujući svaku vrstu bolesti i nemoći u narodu.
28041800af	Glas o njemu pronese se po svoj Siriji, pa su mu ljudi čak i odande dovodili sve koje je mučila kakva bolest i patnja: opsjednute, mjesečare i uzete, a on ih je ozdravljao.
2804190079	Za njim je nagrnulo silno mnoštvo iz Galileje, Dekapolisa, Jeruzalema i cijele Judeje, pa čak i s druge strane Jordana.
2805010063	Kad Isus ugleda da se okupilo mnoštvo, popne se na goru i sjedne. Nato mu priđu njegovi učenici.
2805020015	On počne poučavati.
2805030057	“Blago onima koji shvaćaju da im je Bog potreban jer je njihovo nebesko kraljevstvo!
2805040032	Blago onima koji tuguju, jer će ih Bog utješiti!
280505002a	Blago krotkima, jer će baštiniti zemlju!
2805060048	Blago onima koji su gladni i žedni pravednosti, jer će je se nasititi!
2805070039	Blago milosrdnima, jer će se i njima iskazati milosrđe!
2805080030	Blago ljudima čista srca, jer će gledati Boga!
2805090037	Blago mirotvorcima, jer će se nazivati Božjom djecom!
28050a005e	Blago onima koje progone zato što su pravedni pred Bogom, jer je njihovo nebesko kraljevstvo!
28050b005c	Blago vama kad vas zbog mene budu grdili i progonili i lažno vam pripisivali kojekakva zla!
28050c007b	Radujte se zbog toga, silno se radujte! Jer velika vas nagrada čeka na nebesima. Tako su progonili i proroke prije vas!”
28050d009b	“Vi ste sol čovječanstvu. Ali kakva je korist od soli ako obljutavi? Za što se može uporabiti? Ni za što, osim da se izbaci van, da ju ljudi pogaze.
28050e0048	Vi ste svjetlost svijetu—grad na gori koji noću sjaji da ga svi vide.
28050f0070	Svjetiljku ne palite da biste ju pokrili pod košaru, nego da biste ju postavili tako da svijetli svima u kući.
2805100078	Neka vaša svjetlost svijetli pred ljudima tako da vide vaša dobra djela i da slave vašega Oca koji je na nebesima.”
2805110073	“Nemojte pogrešno shvatiti da sam došao ukinuti Zakon i zapise proroka. Nisam ih došao ukinuti, nego ispuniti.
2805120082	Zaista vam kažem: sve dok postoji nebo i zemlja, nijedno slovce, nijedan potez pera u Zakonu neće nestati dok se sve ne ostvari.
28051300ca	Prekrši li zato tko i najmanju zapovijed i druge tome pouči, bit će najmanji u nebeskom kraljevstvu. Ali oni koji poučavaju Božjim zakonima i pokoravaju im se bit će veliki u nebeskom kraljevstvu.
2805140085	Kažem vam, ne bude li vaša pravednost veća od pravednosti pismoznanaca i farizeja, nipošto nećete ući u nebesko kraljevstvo!”
2805150062	“Čuli ste da je starima rečeno u Zakonu: ‘Ne ubij! Tko ubije, mora biti izveden pred sud.’
28051600c4	A ja vam kažem: tko se rasrdi na svojeg brata, odgovarat će pred sudom! Nazove li ga glupanom, odgovarat će pred najvišim sudom. A nazove li ga luđakom, odgovarat će za to u paklenome ognju!
2805170081	Stojiš li, dakle, pred žrtvenikom u Hramu prinoseći žrtvu Bogu pa se iznenada sjetiš da neki tvoj brat ima što protiv tebe,
2805180065	ostavi žrtvu pred žrtvenikom pa se najprije pomiri s njime, a tek onda dođi i prinesi žrtvu Bogu.
280519006e	Brzo se nagodi s protivnikom, prije nego što bude kasno, dok te nije izveo pred sud, a sudac bacio u tamnicu.
28051a005d	Zaista ti kažem, odande nećeš izići sve dok ne isplatiš sve do posljednjeg novčića!”
28051b0038	“Čuli ste da u Zakonu piše: ‘Ne čini preljuba!’
28051c0064	A ja vam kažem: Tko samo i pogleda ženu s požudom, već je u svojem srcu s njom počinio preljub.
28051d0098	Ako te tvoje desno oko navodi na grijeh, iskopaj ga i baci. Bolje ti je da samo jedan dio tvojeg tijela bude uništen nego da sav budeš bačen u pakao.
28051e009e	Pa makar te i tvoja desna ruka navodila na grijeh, odsijeci ju i baci od sebe. Bolje da ostaneš bez jednoga od udova nego da ti cijelo tijelo ode u pakao.”
28051f004e	“Također ste čuli: ‘Tko otpusti svoju ženu, neka joj dade otpusnicu.’
280520009d	Ali ja vam kažem: Tko god se razvede od svoje žene, osim zbog njezina bluda, navodi ju na preljub. I tko god se oženi razvedenom ženom, čini preljub.”
2805210069	“Čuli ste da u Zakonu piše: ‘Ne krši zakletve, nego izvrši ono na što si se Gospodinu zakleo.’
280522004a	A ja vam kažem: Ne kunite se nikako! Ni nebom, jer je Božje prijestolje,
280523005d	ni zemljom, jer je podnožje njegovim nogama, ni Jeruzalemom, jer je to grad velikoga kralja.
2805240062	Ne kunite se ni svojom glavom, jer ni jednu jedinu vlas niste u stanju učiniti bijelom ili crnom.
2805250083	Kad kažete: ‘Da’, neka to znači ‘da’, kad kažete: ‘Ne’, neka znači ‘ne’; sve što je više, dolazi od Zloga.”
280526003d	“Čuli ste da u Zakonu piše: ‘Oko za oko, zub za zub!’
280527006d	A ja vam kažem: Ne opirite se zlotvoru! Pljusne li vas, naprotiv, tko po jednom obrazu, okrenite mu i drugi!
2805280051	Ako bi se tko htio s tobom parničiti da ti otme košulju, daj mu i svoj ogrtač.
2805290052	Primoraju li te rimski vojnici da im poneseš opremu jednu milju, ponesi ju dvije.
28052a0065	Zatraži li tko nešto od tebe, daj mu, i nemoj okrenuti leđa onome tko te zamoli da mu posudiš.”
28052b0054	“Čuli ste da u Zakonu piše: ‘Ljubi svojega bližnjega, a mrzi neprijatelje!’
28052c0052	A ja vam kažem: Ljubite i svoje neprijatelje i molite se za one koji vas progone!
28052d00aa	Tako ćete se ponijeti kao prava djeca svojega nebeskog Oca, koji daje da njegovo sunce izlazi i nad zlima i nad dobrima te da kiša pada i pravednicima i nepravednicima.
28052e006c	Jer ako volite samo one koji vas vole, kakvu nagradu možete očekivati? Ne čine li tako i ubirači poreza?
28052f0065	Ako ste ljubazni samo prema svojoj braći, po čemu se razlikujete od drugih? To čine i neznabošci.
2805300043	Budite, dakle, savršeni kao što je savršen vaš nebeski Otac.”
2806010080	“Pazite! Nemojte svoja dobra djela činiti javno da vam se drugi dive jer onda nećete primiti plaću od svojega nebeskog Oca.
28060200ad	Zato kada daješ milodar, ne trubi pred sobom kao što to u sinagogama i na ulicama čine licemjeri da ih ljudi hvale. Zaista vam kažem, drugu nagradu osim te neće dobiti.
280603004b	Naprotiv, kada daješ milodar, neka tvoja ljevica ne zna što radi desnica.
2806040057	Udijeli svoj milodar potajno pa će te tvoj Otac, koji vidi i u tajnosti, nagraditi.”
28060500b3	“I kada se molite, ne budite poput licemjera koji se vole moliti u sinagogama i po uličnim raskrižjima da ih ljudi vide. Zaista vam kažem, drugu nagradu osim te neće dobiti.
28060600a7	Ti, naprotiv, kada se moliš, uđi nekamo gdje ćeš biti sam, zatvori za sobom vrata te se pomoli Ocu u tajnosti, a tvoj će te Otac, koji vidi u tajnosti, nagraditi.
2806070073	Kad se molite, ne nabrajajte isprazne riječi kao pogani, koji misle da će biti uslišani zbog svojega nabrajanja.
280608005e	Ne činite kao oni jer vaš Otac dobro zna što vam je potrebno i prije nego što ga zamolite.
280609004e	Zato se vi molite ovako: ‘Oče naš na nebu, neka se štuje tvoje sveto ime.
28060a0052	Neka dođe tvoje kraljevstvo. Neka se tvoja volja provodi na zemlji kao i na nebu.
28060b0023	Kruh naš svagdašnji daj nam danas
28060c0054	i oprosti nam naše grijehe kao što i mi opraštamo onima koji griješe protiv nas.
28060d0040	I ne dopusti da podlegnemo kušnji, nego nas izbavi od Zloga.’
28060e0054	Jer ako oprostite ljudima njihove pogreške, i vaš će nebeski Otac vama oprostiti.
28060f0064	Ali ne oprostite li vi drugima njihovih pogrešaka, ni vaš Otac neće vama oprostiti vaše grijehe.
2806100095	Kad postite, ne mrštite se kao licemjeri, koji izobliče lice kako bi ljudi opazili da poste. Zaista vam kažem, drugu nagradu osim te neće dobiti.
2806110025	Ali ti se, kada postiš, lijepo uredi
280612007d	da tvoj post ne zapaze ljudi, nego samo tvoj Otac koji je u tajnosti. I tvoj će ti Otac, koji vidi u tajnosti, uzvratiti.”
280613007c	“Ne zgrćite sebi blago ovdje na zemlji, gdje ga mogu izgristi moljci ili može zahrđati, gdje lopovi provaljuju i kradu.
280614006d	Stječite sebi blago na nebu, gdje ga ne mogu izgristi moljci ni hrđa, gdje lopovi ne provaljuju i ne kradu.
280615002f	Jer gdje ti je blago, ondje će ti biti i srce.
2806160070	Oko je poput svjetiljke tijelu. Ne budete li odviše brinuli za materijalna dobra jasno ćete vidjeti u životu,
2806170069	ali ako za njih budete previše brinuli vid će vam biti zasjenjen i duboka će vam tama ispuniti život.
28061800ac	Nitko ne može služiti dvojici gospodara. Ili će jednoga mrziti, a drugoga voljeti ili će jednome biti odan, a drugoga prezirati. Ne možete služiti i Bogu i bogatstvu.
28061900b7	Zato vam kažem: Ne brinite se tjeskobno kako ćete preživjeti, što ćete jesti ili piti, ni u što ćete obući svoje tijelo! Nije li život vredniji od hrane, a tijelo od odjeće?
28061a008e	Pogledajte ptice nebeske! Niti siju, niti žanju, niti sabiru u žitnice jer ih hrani vaš nebeski Otac. A niste li vi mnogo vredniji od njih?
28061b0048	Može li tko od vas sebi brigama produžiti život barem i za jedan dan?
28061c005e	Zašto se onda brinuti za odjeću? Pogledajte samo poljske ljiljane! Niti se muče niti predu.
28061d005c	A kažem vam da se ni kralj Salomon u svoj svojoj raskoši nije zaodjenuo kao jedan od njih.
28061e0089	Pa ako Bog tako odijeva poljsku travu koja danas jest, a već se sutra baca u peć, zar se neće još i više brinuti za vas, malovjerni?
28061f0078	Ne brinite se tjeskobno i ne govorite: ‘Što ćemo jesti?’, ‘Što ćemo piti?’ ili ‘U što ćemo se obući?’
280620004b	jer tako čine nevjernici. Vaš nebeski Otac zna da vam je sve to potrebno.
280621005d	Stoga najprije tražite Božje kraljevstvo i njegovu pravednost, pa će vam se i to nadodati.
2806220072	Ne brinite se zato tjeskobno za sutra jer će ono donijeti nove brige. Današnja vam je muka dovoljna za danas.”
2807010027	“Ne osuđujte, da ne budete osuđeni.
2807020061	Jer kako vi sudite druge, tako će se i vama suditi. Kako mjerite drugima, i vama će se mjeriti.
2807030056	Što imaš gledati trun u oku svojega brata kad u vlastitome oku ni brvna ne opažaš?
280704006c	Kako ti, koji u vlastitome oku ne vidiš ni brvna, možeš reći bratu: ‘Daj da ti izvadim trun iz oka’?
2807050070	Licemjeru! Izvadi najprije brvno iz vlastitog oka, pa ćeš onda dobro vidjeti kako da izvadiš trun iz bratova!
280706007b	Ne dajte svetinje psima! Ne bacajte biserje pred svinje! Jer svinje će ga pogaziti, a psi se okrenuti te vas rastrgati.”
2807070051	“Molite i dat će vam se! Tražite i naći ćete! Kucajte i otvorit će vam se!
2807080048	Jer tko god moli, prima. Tko god traži, nalazi. Tko kuca, otvara mu se.
2807090047	Bi li itko od vas svojemu djetetu, kad bi ga zamolilo kruha, dao kamen?
28070a002b	Ili bi mu tko dao zmiju kad ga zamoli ribu?
28070b008a	Pa ako vi, grešni ljudi, znate davati dobre darove svojoj djeci, koliko će više vaš nebeski Otac darovati dobra onima koji ga mole?”
28070c006d	“Činite drugima ono što biste htjeli da drugi čine vama. To je bit učenja cijeloga Zakona i Proroka.”
28070d005b	“Uđite na uska vrata! Jer široka vrata i prostran put vode u propast i mnogi njime idu.
28070e0052	Kako su uska vrata i tijesan put koji vodi u Život! Malo ih je koji ga nalaze.”
28070f005c	“Čuvajte se lažnih proroka koji dolaze u ovčjem runu, a iznutra su grabežljivi vukovi.
280710005c	Prepoznat ćete ih po njihovim plodovima. Bere li se s trnja grožđe ili s bodljike smokve?
280711004e	Tako svako dobro stablo rađa dobrim, a nevaljalo stablo nevaljalim plodovima.
2807120056	Niti dobro stablo može roditi nevaljalim plodom, niti nevaljalo stablo dobrim plodom.
2807130042	Svako stablo koje ne rađa dobrim rodom siječe se i baca u oganj.
2807140034	Prepoznat ćete ih, dakle, po njihovim plodovima.”
2807150071	“U nebesko kraljevstvo neće ući svi koji me nazivaju Gospodinom, već samo koji slušaju mojega nebeskog Oca.
28071600b8	Na sudu će mi mnogi reći: ‘Gospodine, Gospodine! Nismo li u tvoje ime prorokovali? Nismo li se služili tvojim imenom da istjerujemo zle duhove i da činimo mnoga druga čudesa?’
2807170054	Ali odgovorit ću im: ‘Nikad vas nisam poznavao. Odlazite od mene, zlotvori!’”
280718006d	“Tko god sluša ove moje riječi i tako čini, mudar je kao i čovjek koji gradi kuću na čvrstoj stijeni.
280719007b	Zapljušti kiša, navale bujice, zapušu vjetrovi i stanu šibati kuću, ali se ona ne sruši jer je izgrađena na stijeni.
28071a0071	Naprotiv, tko čuje ove moje riječi, a ne čini tako, jest poput luda čovjeka koji sebi gradi kuću na pijesku.
28071b0080	Zapljušti kiša, navale bujice, zapušu vjetrovi i stanu šibati kuću, i ona se sruši. I velika bijaše njezina ruševina.”
28071c0047	Kad je Isus završio govor, mnoštvo je bilo zaneseno njegovim učenjem
28071d004a	jer ih je poučavao kao onaj koji ima vlast, a ne kao njihovi pismoznanci.
280801003c	Veliko je mnoštvo pohrlilo za Isusom dok je silazio s gore.
280802007c	Odjednom mu pristupi neki gubavac, pokloni mu se do zemlje i zamoli ga: “Gospodine, ako hoćeš, možeš me iscijeliti!”
280803005f	Isus ispruži ruku i dotakne čovjeka. “Hoću! Budi čist!” reče mu. I guba odmah nestane.
28080400ac	Isus mu reče: “Nikome o tomu ne govori, već idi ravno svećeniku te sa sobom ponesi žrtveni dar prema Mojsijevu zakonu kao javno svjedočanstvo svojeg ozdravljenja.”
2808050034	Kad Isus dođe u Kafarnaum, pristupi mu neki stotnik
280806004b	i reče: “Gospodine, sluga mi kod kuće leži uzet i u teškim mukama!”
2808070030	“Doći ću ga iscijeliti”, odgovori mu Isus.
2808080079	Stotnik odgovori: “Gospodine, nisam dostojan da uđeš u moju kuću. Samo reci da moj sluga ozdravi i on će ozdraviti!
28080900af	Jer i ja moram slušati svoje nadređene. A podređenom vojniku kažem: ‘Idi!’ i on ode, te drugome: ‘Dođi!’ i dođe; a sluzi kažem: ‘Učini to!’ i on učini.”
28080a0088	Kad je to čuo, Isus se zadivi. Okrene se mnoštvu, pa reče: “Zaista vam kažem, takve vjere nisam vidio ni u koga u cijelom Izraelu.
28080b0066	Kažem vam da će mnogi s istoka i zapada sjesti u nebeskom kraljevstvu s Abrahamom, Izakom i Jakovom,
28080c0053	a mnogi Izraelci biti izbačeni u mrklu tamu gdje će biti plač i škrgut zuba.”
28080d0068	Zatim reče rimskome stotniku: “Idi! Neka ti bude kako si vjerovao!” I sluga mu istog trena ozdravi.
28080e0052	Kad je Isus došao u Petrovu kuću, Petrova punica ležala je bolesna, u vrućici.
28080f0050	Isus joj dotakne ruku i vrućica nestane. Žena ustane i počne ga posluživati.
2808100071	Te mu večeri dovedu mnoge opsjednute. Na njegovu riječ svi su zli duhovi izlazili, a svi bolesnici ozdravljali.
2808110063	Tako se ispunilo što je napisao prorok Izaija: “On slabosti naše uze i ponese naše bolesti.”
280812005a	Kad je Isus vidio koliko se mnoštvo okuplja, zapovjedi da otplove na drugu stranu jezera.
280813005d	Tada mu priđe neki pismoznanac i reče: “Učitelju, slijedit ću te kamo god ti pošao.”
2808140070	Isus mu odgovori: “Lisice imaju jame i ptice imaju gnijezda, a Sin Čovječji nema gdje ni glavu nasloniti.”
2808150057	Drugi mu od učenika reče: “Gospodine, dopusti mi da najprije pokopam svojeg oca.”
2808160052	Ali Isus mu odgovori: “Pođi za mnom i pusti da mrtvi pokapaju svoje mrtvace!”
2808170039	Isus se ukrca u lađu, a za njim uđu i njegovi učenici.
280818005c	Odjednom nastane tako silna oluja da su se valovi prelijevali preko lađice. Isus je spavao.
280819004f	Učenici dođu k njemu i probude ga: “Gospodine, spasi nas! Izginut ćemo!”
28081a0092	Isus im reče: “Malovjerni! Što se toliko strašite?” Ustane zatim i zaprijeti vjetru i valovima, a oluja se stiša i nastane velika tišina.
28081b0055	Ljudi su se u čudu pitali: “Pa tko je on da mu se i vjetrovi i more pokoravaju?”
28081c00bb	Kad su stigli na drugu stranu jezera, u gadarski kraj, susretnu ga dvojica opsjednutih koji su dolazili iz grobnica i bili tako goropadni da zaradi njih nitko nije mogao proći tim putem.
28081d0064	Odjednom poviču: “Što hoćeš od nas, Sine Božji? Došao si nas ovdje mučiti prije vremena?”
28081e0025	Nedaleko je paslo veliko krdo svinja.
28081f0051	Zli duhovi zamole Isusa: “Ako nas istjeraš, pošalji nas u ono krdo svinja.”
2808200084	“Idite!” reče im Isus. Oni iziđu iz opsjednutih i uđu u svinje. Nato cijelo krdo jurne niz strminu u more i podavi se u vodi.
2808210045	Svinjari pobjegnu u grad te razglase što se dogodilo s opsjednutima.
2808220058	Tada sav grad iziđe u susret Isusu. Kad su ga ugledali, zamole da ode iz njihova kraja.
2809010035	Tako Isus uđe u lađicu i preplovi do svojega grada.
280902008a	Ondje mu donesu uzetog čovjeka na nosilima. Kad Isus vidje njihovu vjeru, reče bolesniku: “Hrabro, sinko, oprošteni su ti grijesi!”
2809030030	A neki od pismoznanaca pomisle: “Ovaj huli!”
2809040046	Isus je prozreo što misle, pa ih upita: “Zašto mislite zlo u srcu?
280905005c	Što je lakše reći uzetom čovjeku: ‘Grijesi su ti oprošteni’ ili ‘Ustani i idi’?
28090600a0	Dokazat ću vam da ja, Sin Čovječji, imam vlast na zemlji opraštati grijehe.” Okrene se zatim prema uzetome i reče: “Ustani, uzmi nosila i idi kući!”
2809070016	On ustane i ode kući.
2809080060	Kad je mnoštvo to vidjelo, zaprepaste se i počnu slaviti Boga što je ljudima dao takvu vlast.
2809090085	Odlazeći odande, Isus ugleda čovjeka imenom Matej kako ubire porez te ga pozove: “Pođi za mnom!” Matej ustane i pođe za njim.
28090a0085	Dok je Isus poslije bio u kući za stolom, došli su brojni ubirači poreza i grešnici i pridružili se njemu i njegovim učenicima.
