2800000007	Matthew
2801160072	Now all this was done, that the word might be fulfilled, which was spoken by the Lord through the prophet, saying:
280117008b	Behold, a virgin shall be with child, and shall bear a son, and his name shall be called Immanuel, which, when translated, is, God with us.
280118006f	And Joseph awoke from his sleep, and did as the angel of the Lord had commanded him; and he took home his wife,
280119005d	and knew her not till she had brought forth her first-born son. And he called his name Jesus.
280201007c	Now after Jesus was born in Bethlehem of Judea, in the days of Herod the king, behold, Magi from the east came to Jerusalem,
2802020079	saying: Where is he that is born king of the Jews? For we have seen his star in the east, and have come to do him homage.
2802030054	When Herod the king heard these things, he was troubled, and all Jerusalem with him.
280204007f	And when he had assembled all the chief priests and scribes of the people, he inquired of them where the Christ should be born.
2802050053	And they said to him: In Bethlehem of Judea; for thus it is written by the prophet:
28020600ab	And thou, Bethlehem, city of Judah, art by no means the least among the chiefs of Judah; for out of thee shall come a leader, that shall be a shepherd to my people Israel.
280207008b	Then Herod, when he had secretly called the Magi, inquired of them strictly at what time the star, then visible, first made its appearance:
28020800a6	and sending them to Bethlehem, he said: Go, make strict inquiry for the young child: and when you have found him, bring me word, that I also may go and do him homage.
28020900b2	When they had heard the king, they departed; and lo, the star, which they had seen in the east, went before them, till it came and stood over the place where the young child was.
28020a003e	And when they saw the star, they rejoiced with very great joy.
28020b00d9	And having come into the house, they saw the young child with Mary his mother; and falling down, they did him homage. And when they had opened their treasures, they offered to him gifts, gold, frankincense, and myrrh.
28020c006e	And having been warned in a dream not to return to Herod, they departed into their own country by another way.
28020d0104	When they had departed, behold, an angel of the Lord appeared to Joseph in a dream, saying: Arise, and take the young child and his mother, and flee into Egypt, and be there till I bring you word; for Herod is about to seek for the young child, to destroy him.
28020e0057	And he arose and took the young child and his mother by night, and departed into Egypt,
28020f00a4	and was there till the death of Herod; that the word might be fulfilled which was spoken by the Lord through his prophet, saying: Out of Egypt have I called my Son.
2802100110	Then Herod, when he saw that he was deceived by the Magi, was greatly enraged, and sent out and slew all the male children that were in Bethlehem and in all its borders, from the age of two years and under, according to the time which he had strictly inquired of the Magi.
2802110049	Then was fulfilled that which was spoken by Jeremiah the prophet, saying:
280212009c	A voice was heard in Ramah, wailing and weeping, and great mourning; Rachel weeping for her children, and refusing to be comforted because they are no more.
280213005d	But when Herod was dead, behold, an angel of the Lord appeared in a dream to Joseph in Egypt,
280214008d	saying: Arise and take the young child and his mother, and go into the land of Israel; for they are dead who sought the young child’s life.
2802150057	And he arose and took the young child and his mother, and came into the land of Israel.
28021600b7	But when he heard that Archelaus was reigning in Judea in place of Herod his father, he was afraid to go thither. But being warned in a dream, he withdrew into the regions of Galilee,
280217008f	and came and dwelt in a city called Nazareth, that the word might be fulfilled which was spoken by the prophets: He shall be called a Nazarene.
280301004b	In those days came John the Immerser, preaching in the wilderness of Judea,
2803020039	and saying: Repent, for the kingdom of heaven is at hand.
28030300a1	For this is he that was spoken of by Isaiah the prophet, saying: The voice of one crying in the wilderness, Prepare the way of the Lord, make his paths straight.
2803040088	But the same John had his clothing of camel’s hair, and a girdle of leather around his loins, and his food was locusts and wild honey.
2803050059	Then went out to him Jerusalem, and all Judea, and all the region round about the Jordan,
280306003e	and were immersed by him in the Jordan, confessing their sins.
28030700a6	But when he saw many of the Pharisees and Sadducees coming to his immersion, he said to them: Generation of vipers, who has warned you to flee from the coining wrath?
2803080033	Bring forth, therefore, fruit worthy of repentance:
280309009c	and think not to say within yourselves, We have Abraham for our father; for I say to you that God is able from these stones to raise up children to Abraham.
28030a0093	Even now the ax is lying at the root of the trees: therefore, every tree that does not bring forth good fruit is cut down and thrown into the fire.
28030b00ba	I immerse you in water, in order to repentance; but he that comes after me is mightier than I, whose sandals I am not worthy to carry. He will immerse you in the Holy Spirit and in fire:
28030c00b4	whose winnowing-shovel is in his hand, and he will thoroughly cleanse his thrashing-floor, and gather his grain into his granary; but the chaff he will burn with unquenchable fire.
28030d004a	Then came Jesus from Galilee to the Jordan to John, to be immersed by him.
28030e0058	But John forbade him, saying: I have need to be immersed by thee, and comest thou to me?
28030f0083	But Jesus answering said to him: Permit it now; for thus it becomes us to perform fully every righteous act. Then he permitted him.
28031000b6	And after Jesus was immersed, he came up immediately from the water; and lo, the heavens were opened to him, and he saw the Spirit of God descending like a dove, and coming upon him.
280311004f	And lo, a voice from heaven, saying: This is my beloved Son, in whom I delight.
2804010054	Then was Jesus led up by the Spirit into the wilderness, to be tempted by the devil.
280402004c	And when he had fasted forty days and forty nights, he was afterward hungry.
2804030068	And the tempter came to him and said: If you are the Son of God, command that these stones become bread.
2804040085	But he answered and said: It is written, Man shall not live by bread alone, but by every word that comes forth from the mouth of God.
2804050059	Then the devil took him into the holy city, and placed him on the pinnacle of the temple,
28040600d8	and said to him: If you are the Son of God, throw yourself down, for it is written: He will give his angels charge concerning you; and in their hands shall they take you up, lest you strike your foot against a stone.
2804070059	Jesus said to him: It is again written, You shall not put the Lord your God to the proof.
2804080076	Again, the devil took him to a very high mountain, and showed him all the kingdoms of the world and the glory of them,
2804090058	and said to him: All these things will I give you, if you will fall down and worship me.
28040a0083	Then Jesus said to him: Get behind me, Satan, for it is written: You shall worship the Lord your God, and him only shall you serve.
28040b0047	Then the devil left him, and behold, angels came and ministered to him.
28040c004a	Now when Jesus heard that John was delivered up; he withdrew into Galilee;
28040d0075	and, leaving Nazareth, he went and dwelt in Capernaum, which is upon the sea, in the borders of Zebulon and Naphtali,
28040e0050	that the word might be fulfilled which was spoken by Isaiah the prophet, saying:
28040f0069	The land of Zebulon, and the land of Naphtali, toward the sea beyond the Jordan, Galilee of the Gentiles;
280410007a	the people that sat in darkness saw great light; and upon those who sat in the region and shadow of death light has risen.
280411005e	From that time Jesus began to preach and to say: Repent, for the kingdom of heaven is at hand.
28041200a8	And as he was walking by the sea of Galilee, he saw two brothers, Simon who is called Peter, and Andrew his brother, throwing a net into the sea, for they were fishers.
2804130047	And he said to them: Come after me, and I will make you fishers of men.
2804140036	And they immediately left their nets and followed him.
28041500ae	And going on thence, he saw other two brothers, James the son of Zebedee, and John his brother, in the ship with Zebedee their father, mending their nets; and he called them.
2804160046	And they immediately left the ship and their father, and followed him.
28041700af	And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and curing every disease, and every kind of sickness among the people.
28041800e9	And his fame went abroad into all Syria. And they brought to him all that were sick, those who were afflicted with various diseases and pains, and those who were possessed with demons, and lunatics, and paralytics; and he cured them.
2804190073	And many multitudes followed him from Galilee, and Decapolis, and Jerusalem, and Judea, and from beyond the Jordan.
280501006d	And seeing the multitudes, he went up into the mountain; and when he had sat down, his disciples came to him;
2805020030	and he opened his mouth and taught them, saying:
2805030044	Blessed are the poor in spirit; for theirs is the kingdom of heaven.
2805040039	Blessed are they that mourn; for they shall be comforted.
2805050037	Blessed are the meek; for they shall inherit the earth.
2805060054	Blessed are they that hunger and thirst for righteousness; for they shall be filled.
2805070037	Blessed are the merciful; for they shall receive mercy.
2805080036	Blessed are the pure in heart; for they shall see God.
2805090042	Blessed are the peacemakers; for they shall be called sons of God.
28050a0066	Blessed are they that are persecuted on account of righteousness; for theirs is the kingdom of heaven.
28050b007f	Blessed are you, when they shall reproach you, and persecute you, and say every evil thing against you, falsely, on my account.
28050c007a	Rejoice, and leap for joy; for great is your reward in heaven: for so did they persecute the prophets who were before you.
28050d00b5	You are the salt of the earth: but if the salt has become tasteless, by what means shall it become salt again? It is then good for nothing but to be thrown out and trod upon by men.
28050e0050	You are the light of the world: a city that lies upon a mountain can not be hid:
28050f0083	neither do men light a lamp and place it under the measure, but on the lamp-stand, and it gives light to all that are in the house.
2805100079	In this way let your light shine before men, that they may see your good works, and glorify your Father who is in heaven.
280511009b	Think not that I have come to make the law or the prophets of no effect. I have not come to make them of no effect, but to give them their full efficiency.
2805120087	For verily I say to you, Till heaven and earth pass away, one yod or one point shall in no way pass from the law till all be fulfilled.
28051300e6	Whoever, therefore, shall make void one of the least of these commandments, and shall teach men so, shall be called least in the kingdom of heaven. But whoever shall do and teach, he shall be called great in the kingdom of heaven.
2805140090	For I say to you, That, unless your righteousness excel that of the scribes and Pharisees, you can by no means enter into the kingdom of heaven.
280515008b	You have heard that it was said to the ancients: You shall not kill; and whoever shall kill, shall be liable to the sentence of the judges.
2805160126	But I say to you, Whoever is angry with his brother without a cause, shall be liable to the sentence of the judges. And whoever shall say to his brother, Worthless fellow, shall be liable to the sentence of the Sanhedrin. But who ever shall say, Impious wretch, shall be in danger of hell-fire.
2805170070	If, therefore, you bring your gift to the altar, and there remember that your brother has any thing against you,
2805180077	leave your gift there before the altar, and go, first be reconciled to your brother, and then come and offer your gift.
28051900d8	Come to an agreement with your opponent at law quickly, while you are on the road with him, lest your opponent at law deliver you to the judge, and the judge deliver you to the officer, and you be thrown into prison.
28051a0062	Verily, I say to you, You shall by no means come out thence, till you have paid the last farthing.
28051b003f	You have heard that it was said: You shall not commit adultery.
28051c007d	But I say to you, Whoever looks upon a woman to cherish desire for her, has already committed adultery with her in his heart.
28051d00c7	If, then, your right eye ensnare you, tear it out, and throw it from you; for it is profitable for you that one of your members should perish, and not that your whole body should be thrown into hell.
28051e00c4	And if your right hand ensnare you, cut it off, and throw it from you; for it is profitable for you that one of your members should perish, and not that your whole body should be thrown into hell.
28051f0055	It has been said: Whoever will put away his wife, let him give her a bill of divorce.
28052000ac	But I say to you, Whoever shall put away his wife, unless on account of lewdness, causes her to commit adultery: and whoever marries her that is divorced, commits adultery.
2805210079	Again, you have heard that it was said to the ancients: You shall not swear falsely, but shall pay to the Lord your vows.
2805220053	But I say to you, Swear not at all: neither by heaven, for it is the throne of God;
2805230062	nor by the earth, for it is his footstool; nor by Jerusalem, for it is the city of the great King:
2805240053	neither shall you swear by your head, for you can not make one hair white or black.
280525005b	But let your word be, Yes, yes; No, no; for whatever is more than these is of the Evil One.
280526004c	You have heard that it was said: An eye for an eye, and a tooth for a tooth.
2805270077	But I say to you, Resist not the injurious. But whoever will smite you on your right cheek, turn to him the other also.
2805280058	And to him that will go to law with you, and take away your coat, give your mantle also.
280529003c	And whoever will compel you to go one mile, go with him two.
28052a0053	Give to him that asks of you; and from him that would borrow of you, turn not away.
28052b0053	You have heard that it was said: You shall love your neighbor, and hate your enemy.
28052c0093	But I say to you, Love your enemies: bless those who curse you, do good to those who hate you, and pray for those who insult you and persecute you:
28052d00a7	that you may be the sons of your Father who is in heaven; for he makes his sun to rise upon the evil and the good, and causes it to rain on the just and on the unjust.
28052e005d	For if you love those who love you, what reward have you? Do not even the publicans the same?
28052f0059	And if you salute your brethren only, in what do you excel? Do not even the publicans so?
2805300045	Be you therefore perfect, as your Father who is in heaven is perfect.
2806010085	Beware of doing your charitable deeds before men, to be seen by them; otherwise you have no reward with your Father who is in heaven.
28060200e8	When, therefore, you do a charitable deed, do not cause a trumpet to be sounded before you, as the hypocrites do, in the synagogues and in the streets, that they may be glorified by men. Verily, I say to you, They have their reward.
2806030059	But when you do a charitable deed, let not your left hand know what your right hand does;
2806040071	that your charitable deeds may be in secret; and your Father, who sees in secret, himself will reward you openly.
28060500d9	And when you pray, you shall not be like the hypocrites; for they love to pray standing in the synagogues, and in the corners of the streets, that they may be seen by men. Verily, I say to you, They have their reward.
28060600b3	But do you, when you pray, go into your closet, and when you have closed the door, pray to your Father who is in secret: and your Father who sees in secret will reward you openly.
280607007f	But when you pray, do not use vain repetitions, as the heathen do: for they think that they will be heard for their many words.
280608005c	Be not, therefore, like them; for your Father knows what things you need before you ask him.
2806090058	In this manner, therefore, pray you: Our Father who art in heaven, hallowed be thy name.
28060a0045	Thy kingdom come. Thy will be done on earth, as it is done in heaven.
28060b002b	Give us this day the bread for our support.
28060c0039	And forgive us our debts, as we also forgive our debtors.
28060d0042	And lead us not into temptation, but deliver us from the Evil One.
28060e0052	For if you forgive men their offenses, your heavenly Father will also forgive you.
28060f005a	But if you forgive not men their offenses, neither will your Father forgive your offenses.
28061000c2	And when you fast, do not put on a sad countenance, as the hypocrites do; for they disfigure their faces, that they may appear to men to be fasting. Verily, I say to you, They have their reward.
280611003f	But do you, when you fast, anoint your head and wash your face;
2806120086	that you may not appear to men to be fasting, but to your Father who is in secret. And your Father who sees in secret will reward you.
2806130076	Lay not up for yourselves treasures on earth, where moths and rust consume, and where thieves break through and steal.
2806140087	But lay up for yourselves treasures in heaven, where neither moth nor rust consumes, and where thieves do not break through, nor steal.
280615003a	For where your treasure is, there will your heart be also.
2806160061	The lamp of the body is the eye: if, therefore, your eye be sound, your whole body will be light:
280617008a	But if your eye be diseased, your whole body will be dark. If therefore, the light that is in you is darkness, how great is that darkness!
28061800a6	No one can serve two masters: for he will either hate the one and love the other; or he will hold to the one, and neglect the other. You can not serve God and riches.
28061900db	For this reason I say to you, Be not anxious for your life, what you shall eat, and what you shall drink; nor for your body, what you shall put on. Is not your life a greater gift than food, and your body than clothing?
28061a00a1	Observe the birds of the air, that they neither sow, nor reap, nor gather into granaries. Yet your heavenly Father feeds them. Are you not much better than they?
28061b003b	Which of you, by his anxiety, can add one span to his life?
28061c0078	And why are you anxious about clothing? Consider the lilies of the field how they grow: they toil not, nor do they spin.
28061d0054	But I say to you, That Solomon, in all his glory, was not clothed like one of these.
28061e009f	If then, God so clothes the herb of the field, which to-day is, and to-morrow is thrown into the oven, will he not much more clothe you, O you of little faith?
28061f0071	Therefore, be not anxious, saying: What shall we eat? or, what shall we drink? or, with what shall we be clothed?
280620006f	For after all these things do the Gentiles seek: for your heavenly Father knows that you need all these things.
2806210071	But seek first the kingdom of God, and his righteousness, and all these things shall be given to you in addition.
2806220082	Therefore, be not anxious about the morrow, for the morrow will have anxieties of its own. Sufficient for the day is its own evil.
2807010026	Judge not, that you may not be judged:
2807020076	for with what judgment you judge, you shall be judged: and with what measure you measure, it shall be measured to you.
2807030077	And why do you look at the splinter that is in your brother’s eye, but perceive not the beam that is in your own eye?
2807040074	Or, how will you say to your brother, Let me pull out the splinter from your eye: and lo; a beam is in your own eye?
2807050083	Hypocrite! first pull the beam out of your own eye, and then you will see clearly to pull the splinter out of your brother’s eye.
280706008e	Give not that which is holy to dogs, nor throw your pearls before swine, lest they trample them under their feet, and turn again and tear you.
280707005f	Ask, and it shall be given you; seek, and you shall find; knock, and it shall be opened to you.
2807080068	For every one that asks, receives; and he that seeks, finds; and to him that knocks, it shall be opened.
2807090051	What man is there of you, of whom if his son ask bread, will he give him a stone?
28070a0031	And if he ask a fish, will he give him a serpent?
28070b009d	If then you, being evil, know how to give good gifts to your children, how much more will your Father who is in heaven give good things to those who ask him?
28070c0082	All things, therefore, whatever you would that men should do to you, even so do you to them: for this is the law and the prophets.
28070d0092	Enter in through the strait gate: for wide is the gate, and broad is the way, that leads to destruction; and many there are that go in through it.
28070e0063	How strait is the gate, and how narrow the way, that leads to life! and few there are that find it.
28070f0064	But beware of false prophets, who come to you in sheep’s clothing, but within are ravenous wolves.
280710005b	By their fruits you will know them. Are grapes gathered from thorns, or figs from thistles?
2807110056	So every good tree produces goodly fruit: but an unsound tree produces diseased fruit.
2807120059	A good tree can not produce diseased fruit; nor can an unsound tree produce goodly fruit.
2807130054	Every tree that does not produce goodly fruit, is cut down and thrown into the fire.
280714002f	Therefore, by their fruits you shall know them.
280715008b	Not every one that says to me, Lord, Lord, shall enter into the kingdom of heaven; but he that does the will of my Father who is in heaven.
2807160099	Many will say to me in that day, Lord, Lord, have we not prophesied in thy name, and in thy name cast out demons, and in thy name done many mighty works?
280717005a	And then will I profess to them, I never knew you: depart from me, you that work iniquity.
280718007c	Therefore, whoever hears these words of mine and does them, I will liken him to a wise man, who built his house on the rock:
2807190095	and the rain descended, and the torrents came, and the winds blew, and they beat against that house, and it fell not: for it was founded on the rock.
28071a0086	And every one that hears these words of mine, and does them not, shall be likened to a foolish man, who built his house upon the sand.
28071b0081	And the rain descended, and the torrents came, and the winds blew, and beat upon that house, and it fell: and great was its fall.
28071c006a	And it came to pass when Jesus had ended these words, that the multitudes were astonished at his teaching:
28071d0045	for he taught them as one that had authority, and not as the scribes.
280801004a	And when he had come down from the mountain, many multitudes followed him.
2808020062	And behold, a leper came and did him homage, saying: Lord, if thou wilt, thou canst make me clean.
2808030075	And Jesus stretched out his hand and touched him, saying: I will; be clean. And immediately his leprosy was cleansed.
2808040097	And Jesus said to him: See that you tell no one. But go, show yourself to the priest, and offer the gift that Moses commanded, for a testimony to them.
280805004d	And when he entered Capernaum, there came to him a centurion, beseeching him,
280806004c	and saying: Lord, my servant lies in my house, palsied, fearfully afflicted.
280807002e	And Jesus said to him: I will go and cure him.
28080800a3	And the centurion answering, said: Lord, I am not worthy that thou shouldst come under my roof; but say in a word only, and my servant shall be restored to health.
28080900b1	For I am a man under authority, having soldiers under me; and I say to this one, Go, and he goes; and to another, Come, and he comes; and to my servant, Do this, and he does it.
28080a00a0	And when Jesus heard it, he was filled with admiration, and said to those who followed him: Verily I say to you, not even in Israel have I found so great faith.
28080b0092	I also say to you, That many shall come from the east and the west, and shall recline with Abraham, and Isaac, and Jacob in the kingdom of heaven;
28080c007a	but the sons of the kingdom shall be cast into the darkness that is without. There shall be weeping and gnashing of teeth.
28080d0084	And Jesus said to the centurion: Go, and as you have believed, so be it to you. And his servant was restored to health in that hour.
28080e0061	And when Jesus had come into Peter’s house, he saw his mother-in-law lying, and ill of a fever.
28080f0055	And he touched her hand, and the fever left her: and she arose and ministered to him.
280810009d	When the evening had come, they brought to him many that were possessed with demons: and he cast out the spirits with his word, and cured all that were sick;
2808110088	that the word might be fulfilled which was spoken by Isaiah the prophet, saying: He himself took our infirmities, and bore our diseases.
2808120059	But when Jesus saw many multitudes about him, he gave orders to depart to the other side.
280813005b	And a certain scribe came and said to him: Teacher, I will follow thee wherever thou goest.
2808140083	And Jesus said to him: The foxes have dens, and the birds of the air have roosts; but the Son of man has not where to lay his head.
2808150059	And another of his disciples said to him: Lord, permit me first to go and bury my father.
2808160047	But Jesus said to him: Follow me, and let the dead bury their own dead.
280817003d	And when he had entered the ship, his disciples followed him.
280818006f	And behold, there was a great tempest in the sea, so that the ship was covered by the waves: but he was asleep.
280819004f	And his disciples came to him, and awoke him, saying: Lord, save us; we perish.
28081a008e	And he said to them: Why are you fearful, O you of little faith? Then he arose, and rebuked the winds and the sea: and there was a great calm.
28081b0062	But the men were astonished, and said: What man is this, that even the winds and the sea obey him!
28081c00c5	And when he had come to the opposite side, into the country of the Gadarenes, there met him two men, coming out of the tombs, possessed with demons, very fierce, so that no one could pass that way.
28081d0089	And behold, they cried out, saying: What have we to do with thee, Jesus, Son of God? Hast thou come hither to torment us before the time?
28081e0046	Now there was, at a distance from them, a herd of many swine, feeding.
28081f0066	And the demons besought him, saying: If thou cast us out, permit us to go away into the herd of swine.
28082000c3	And he said to them: Go. And when they had come out, they went away into the herd of swine. And behold, the whole herd of swine rushed down a steep place into the sea, and perished in the waters.
2808210091	And those who fed them fled, and went into the city, and told every thing, and what had happened to those who had been possessed with the demons.
280822007a	And, behold, all the city came out to meet Jesus. And when they saw him, they besought him to depart out of their borders.
2809010045	And he entered the ship, and passed over, and came into his own city.
28090200b5	And behold, they brought to him a man sick of the palsy, lying on a bed. And Jesus, seeing their faith, said to the palsied man: Son, be of good courage; your sins are forgiven you.
2809030051	And behold, some of the scribes said within themselves: This man talks impiously.
2809040056	And Jesus, perceiving their thoughts, said: Why do evil thoughts arise in your hearts?
2809050051	For, which is easier, to say, Your sins are forgiven; or to say, Arise, and walk?
28090600a2	But that you may know that the Son of man on earth has authority to forgive sins (then he said to the palsied man): Arise, take up your bed, and go to your house.
2809070028	And he arose, and departed to his house.
280908006c	And when the multitude saw it, they were astonished, and glorified God, who had given such authority to men.
280909009e	And as Jesus passed by from that place, he saw a man named Matthew, sitting at the custom-house; and he said to him: Follow me. And he arose and followed him.
28090a00a4	And it came to pass that, while Jesus was reclining at table in his house, behold, many publicans and sinners came and reclined at table with him and his disciples.
28090b0070	And when the Pharisees saw it, they said to his disciples: Why does your teacher eat with publicans and sinners?
28090c0072	When Jesus heard it, he said to them: Those who are in health have no need of a physician, but those who are sick.
28090d0085	But go and learn what this means: I desire mercy, and not sacrifice. For I came not to call righteous men, but sinners to repentance.
28090e0074	Then came to him the disciples of John, saying: Why do we and the Pharisees fast often, but your disciples fast not?
28090f00c1	And Jesus said to them: Can the sons of the bride-chamber mourn while the bridegroom is with them? But the days will come, when the bridegroom shall be taken from them, and then will they fast.
280910008d	No one puts a patch of new cloth on an old garment; for that which is put in to fill it up, takes from the garment, and a worse rent is made.
28091100b4	Nor do men put new wine into old bottles; if so, the bottles burst, and the wine runs out, and the bottles are lost. But they put new wine into new bottles, and both are preserved.
28091200b6	While he was speaking these things to them, behold, a certain ruler came and did him homage, saying: My daughter is already dead; but come, lay thy hand upon her, and she shall live.
2809130033	And Jesus and his disciples arose and followed him.
280914008a	And behold, a woman that had been diseased with an issue of blood for twelve years, came behind him, and touched the fringe of his mantle.
280915004e	For she said within herself: If I may only touch his mantle, I shall be saved.
2809160088	But Jesus turned, and saw her, and said: Daughter, be of good courage; your faith has saved you. And the woman was saved from that hour.
280917006c	And when Jesus came into the house of the ruler, and saw the minstrels and the multitude making lamentation,
2809180054	he said to them: Depart; for the maid is not dead, but sleeps. And they derided him.
2809190065	But when the multitude had been sent out, he went in, and took the maiden by the hand, and she arose.
28091a0032	And the fame of this went abroad in all that land.
28091b0075	And as Jesus was departing thence, two blind men followed him, crying out and saying: Son of David, have mercy on us.
28091c009c	And when he had entered the house, the blind men came to him. And Jesus said to them: Do you believe that I am able to do this? They said to him, Yes, Lord.
28091d004c	Then he touched their eyes, and said: According to your faith, be it to you.
28091e005d	And their eyes were opened; and Jesus strictly charged them, saying: See that no one know it,
28091f003e	But they went out and spread his fame abroad in all that land.
280920005a	And as they were going out, behold, they brought to him a dumb man possessed with a demon.
280921008a	And after the demon had been cast out, the dumb man spoke. And the multitudes were astonished, and said: Never was it seen thus in Israel.
280922004c	But the Pharisees said: He casts out the demons by the prince of the demons.
28092300a8	And Jesus went through all the cities and villages, teaching in their synagogues, and preaching the gospel of the kingdom, and curing every disease and every infirmity.
280924008e	And when he saw the multitudes, he was moved with compassion for them, because they were troubled and scattered as sheep that had no shepherd.
2809250051	Then he said to his disciples: The harvest is abundant, but the laborers are few.
280926004d	Therefore pray the Lord of the harvest to send out laborers into his harvest.
280a0100a6	And he called to him his twelve disciples, and gave them authority over unclean spirits, so that they might cast them out, and care every disease and every infirmity.
280a02009e	Now these are the names of the twelve apostles: the first, Simon, who is called Peter, and Andrew his brother; James the son of Zebedee, and John his brother;
280a03007e	Philip and Bartholomew, Thomas, and Matthew the publican; James the son of Alphæus, and Lebbæus, who was surnamed Thaddæus;
280a040043	Simon the Canaanite, and Judas Iscariot, who also delivered him up.
280a050099	These twelve Jesus sent forth after he had charged them, saying: Go not into the road that leads to the Gentiles, and enter not a city of the Samaritans.
280a060037	But go rather to the lost sheep of the house of Israel.
280a070040	And as you go, preach, saying: The kingdom of heaven is at hand.
280a08005a	Cure the sick, cleanse the lepers, cast out demons. Freely you have received, freely give.
280a090054	Provide for yourselves neither gold, nor silver, nor brass, to put into your purses,
280a0a006b	nor bag for your journey, nor two coats, nor sandals, nor staffs: for the laborer is worthy of his support.
280a0b006b	Whatever city or village you enter, inquire who in it is worthy, and there make your home till you go away.
280a0c0024	When you go into a house, salute it:
280a0d0073	and if the house be worthy, your peace shall come upon it; but if it be not worthy, your peace shall return to you.
280a0e0085	And whoever will not receive you, nor hear your words, when you go out of that house or that city, shake off the dust from your feet.
280a0f007f	Verily I say to you, It shall be more tolerable for the land of Sodom and Gomorrah, in the day of judgment, than for that city.
280a100072	Behold, I send you forth as sheep in the midst of wolves: be, therefore, wise as serpents, and guileless as doves.
280a110062	But beware of men: for they will deliver you to the councils, and scourge you in their synagogues;
280a12006e	and you will be brought before governors and kings for my sake, for a testimony against them and the Gentiles.
280a130089	But when they deliver you up, be not anxious how or what you shall speak; for that which you shall speak shall be given you in that hour:
280a140055	for it is not you that speak, but it is the Spirit of your Father that speaks in you.
280a150097	Brother will deliver up brother to death, and the father the child; and children will rise up against their parents, and cause them to be put to death.
280a16005e	And you will be hated by all men on my account: but he that endures to the end shall be saved.
280a1700b2	But when they persecute you in this city, flee into another: for verily I say to you, You will not have made the circuit of the cities of Israel before the Son of man shall come.
280a180048	The disciple is not above his teacher, nor the servant above his master.
280a1900be	It is enough for the disciple, that he be as his teacher; and for the servant, that he be as his master. If they call the master of the house Beelzebul, how much more those of his household?
280a1a007b	Fear them not, therefore; for there is nothing covered that shall not be revealed, nor hidden that shall not be made known.
280a1b0068	What I tell you in darkness, speak in the light: and what you hear in the ear, preach on the house-tops.
280a1c008f	And fear not them that kill the body, but are not able to kill the soul. But rather fear him who is able to destroy both soul and body in hell.
280a1d0072	Are not two sparrows sold for a farthing? and yet not one of them shall fall upon the ground with out your Father.
280a1e0031	But even the hairs of your head are all numbered.
280a1f003e	Fear not, therefore: you are of more value than many sparrows.
280a20006a	Whoever, therefore, will confess me before men, him will I also confess before my Father who is in heaven.
280a21005c	But whoever will deny me before men, him will I also deny before my Father who is in heaven.
280a220062	Think not that I have come to send peace on the earth. I have not come to send peace, but a sword.
280a23008b	For I have come to set a man at variance with his father, and the daughter with her mother, and the daughter-in-law with her mother-in-law:
280a24003a	and a man’s enemies shall be those of his own household.
280a250086	He that loves father or mother more than me, is not worthy of me: and he that loves son or daughter more than me, is not worthy of me:
280a26004d	and whoever does not take his cross and follow after me, is not worthy of me.
280a27005c	He that finds his life shall lose it; and he that loses his life for my sake, shall find it.
280a280056	He that receives you, receives me: and he that receives me, receives him that sent me.
280a2900c5	He that receives a prophet because he is a prophet, shall receive a prophet’s reward: and he that receives a righteous man because he is a righteous man, shall receive a righteous man’s reward.
