0100000008	Genesisy
0101120079	sy ho mpanapaka ny andro sy ny alina, ary hampisaraka ny mazava sy ny maizina. Ary hitan’ Andriamanitra fa tsara izany.
0101130039	Dia nisy hariva, ary nisy maraina, andro fahefatra izany.
010114009a	Ary Andriamanitra nanao hoe: Aoka ny rano ho be zava-manan’ aina; ary aoka hisy vorona hanidina ambonin’ ny tany eny amin’ ny habakabaky ny lanitra.
010115010a	Ary Andriamanitra nahary ny biby vaventy anaty rano sy ny zava-manan’ aina mihetsiketsika rehetra, izay efa betsaka ao amin’ ny rano, samy araka ny karazany avy, ary ny voro-manidina rehetra, samy araka ny karazany avy. Ary hitan’ Andriamanitra fa tsara izany.
01011600a3	Ary Andriamanitra nitso-drano azy hoe: Maroa anaka sy mihabetsaha ary mamenoa ny rano ao amin’ ny ranomasina; ary aoka ny vorona hihamaro eny ambonin’ ny tany.
010117003b	Dia nisy fa hariva, ary nisy maraina, andro fahadimy izany.
01011800c6	Ary Andriamanitra nanao hoe: Aoka ny tany hamoaka zava-manan’ aina samy araka ny karazany avy, dia biby fiompy sy biby mandady sy mikisaka ary bibi-dia, samy araka ny karazany avy; dia nisy izany.
01011900f4	Ary Andriamanitra nanao ny bibi-dia, samy araka ny karazany avy, sy ny biby fiompy, samy araka ny karazany avy, ary ny biby rehetra izay mandady na mikisaka amin’ ny tany, samy araka ny karazany avy. Ary hitan’ Andriamanitra fa tsara izany.
01011a0120	Ary Andriamanitra nanao hoe: Andeha Isika hamorona olona tahaka ny endritsika, araka ny tarehintsika; ary aoka izy hanjaka amin’ ny hazandrano ao amin’ ny ranomasina sy ny voro-manidina sy ny biby fiompy sy ny tany rehetra ary ny biby rehetra izay mandady na mikisaka amin’ ny tany.
01011b0089	Ary Andriamanitra nahary ny olona tahaka ny endriny; tahaka ny endrik’ Andriamanitra no namoronany azy; lahy sy vavy no namoronany azy.
01011c00f4	Ary Andriamanitra nitso-drano azy hoe: Maroa fara sy mihabetsaha ary mamenoa ny tany, ka mampanompoa azy; ary manjaka amin’ ny hazandrano ao amin’ ny ranomasina sy ny voro-manidina ary ny biby rehetra izay mihetsiketsika ambonin’ ny tany.
01011d00c8	Ary Andriamanitra nanao hoe: Indro, efa nomeko anareo ny anana manintsam-boa rehetra izay ambonin’ ny tany rehetra ary ny hazo rehetra izay misy voa sady manintsam-boa; dia ho fihinana anareo ireny.
01011e00d1	Ary ny amin’ ny bibi-dia rehetra sy ny voro-manidina rehetra ary ny zava-manan’ aina rehetra izay mandady na mikisaka amin’ ny tany, dia efa nomeko azy ny zava-maitso rehetra ho fihinany; dia nisy izany.
01011f008c	Ary hitan’ Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany. Dia nisy hariva, ary nisy maraina, andro fahenina izany.
0102010038	Dia vita ny lanitra sy ny tany sy izay rehetra ao aminy.
01020200ab	Ary tamin’ ny andro fahafito dia vitan’ Andriamanitra ny asa efa nataony; ary dia nitsahatra tamin’ ny andro fahafito Izy tamin’ ny asany rehetra izay efa nataony.
01020300b7	Ary Andriamanitra nitahy ny andro fahafito sy nanamasina azy, satria tamin’ izany no nitsaharan’ Andriamanitra tamin’ ny asany rehetra izay noforoniny tamin’ ny nanaovany azy.
0102040094	Ary izao no tantaran’ ny lanitra sy ny tany tamin’ ny namoronana azy, dia tamin’ ny nanaovan’ i Jehovah Andriamanitra ny tany sy ny lanitra:
01020500da	Ny hazo madinika famboly dia tsy mbola nisy teo amin’ ny tany, ary ny anana famboly tsy mbola nisy naniry; fa tsy mbola nampilatsaka ranonorana tambonin’ ny tany Jehovah Andriamanitra, ary nisy olona hiasa ny tany;
010206004a	nefa nisy zavona niakatra avy tamin’ ny tany ka nandena ny tany rehetra.
010207008a	Ary vovo-tany no namoronan’ i Jehovah Andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy.
010208006c	Ary Jehovah Andriamanitra nanao saha tao Edena tany atsinanana, ka napetrany tao ralehilahy izay noforoniny.
01020900d1	Ary nampanirin’ i Jehovah Andriamanitra teo amin’ ny tany ny hazo rehetra izay maha-te-hizaha sady tsara ho fihinana, ary ny hazon’ aina teo afovoan’ ny saha sy ny hazo fahalalana ny tsara sy ny ratsy.
01020a005e	Ary nisy ony nivoaka avy tao Edena handena ny saha; hatreo izy dia nizara ka nisampana efatra:
01020b006d	Ny anaran’ ny voalohany dia Pisona; io no mandeha manodidina ny tany Havila rehetra, izay misy ny volamena;
01020c0050	ary tsara ny volamena amin’ izany tany izany; any ny bedola sy ny vato beryla.
01020d0057	Ary ny anaran’ ny ony faha dia Gihona; io no mandeha manodidina ny tany Kosy rehetra.
01020e0075	Ary ny anaran’ ny ony fahatelo dia Hidekela; io no mandeha tandrifin’ i Asyria. Ary ny ony fahefatra dia Eofrata.
01020f0075	Ary Jehovah Andriamanitra nitondra an-dralehilahy ka namponina azy tao amin’ ny saha Edena hiasa sy hitandrina azy.
010210007d	Ary Jehovah Andriamanitra nandidy an-dralehilahy ka nanao hoe: Ny hazo rehetra eo amin’ ny saha dia azonao ihinanana ihany;
010211007e	fa ny hazo fahalalana ny tsara sy ny ratsy dia aza ihinanana; fa amin’ ny andro izay ihinananao azy dia ho faty tokoa ianao.
010212006b	Ary Jehovah Andriamanitra nanao hoe: Tsy tsara raha irery ralehilahy; dia hanaovako vady sahaza ho azy izy.
0102130107	Ary tany no namoronan’ i Jehovah Andriamanitra ny bibi-dia rehetra sy ny voro-manidina rehetra; dia nentiny tany amin-dralehilahy ireny hahitany izay hanononany azy avy; ary izay rehetra nanononan-dralehilahy ny zava-manan’ aina rehetra, dia izany no anarany.
010214009c	Dia nomen-dralehilahy anarana ny biby fiompy rehetra sy ny ny voro-manidina mbamin’ ny bibi-dia rehetra; nefa tsy hita izay vady sahaza ho an-dralehilahy.
0102150097	Ary Jehovah Andriamanitra nahasondrian-tory an-dralehilahy, ka dia natory izy; dia naka ny taolan-tehezany anankiray Izy ka nanakombona nofo ho solony.
0102160086	Ary ny taolan-tehezana izay nalain’ i Jehovah Andriamanitra tamin-dralehilahy dia nataony vehivavy ka nentiny tany amin-dralehilahy.
01021700a1	Ary hoy ralehilahy: Ankehitriny dia taolana avy amin’ ny taolako sy nofo avy amin’ ny nofoko ity; ity dia hatao hoe vehivavy satria lehilahy no nanalana azy.
0102180078	Ary noho izany ny lehilahy dia handao ny rainy sy ny reniny ka hikambana amin’ ny vadiny; dia ho nofo iray ihany ireo.
0102190055	Ary nitanjaka izy mivady, dia ralehilahy sy ny vadiny, nefa tsy nahalala henatra izy.
01030100d3	Ary ny menarana dia fetsy noho ny bibi-dia rehetra izay nataon’ i Jehovah Andriamanitra. Ary hoy izy tamin-dravehivavy: Hanky! efa nataon’ Andriamanitra hoe: Aza ihinananareo ny hazo rehetra amin’ ny saha?
0103020069	Fa hoy ravehivavy tamin’ ny menarana: Ny voan’ ny hazo eo amin’ ny saha dia azonay ihinanana ihany;
0103030090	fa ny voan’ ny hazo eo afovoan’ ny saha kosa no efa nataon’ Andriamanitra hoe: Aza hihinanareo na tendrenareo izany, fandrao maty ianareo.
0103040045	Ary hoy ny menarana tamin-dravehivavy: Tsy ho faty tsy akory ianareo;
01030500ae	fa fantatr’ Andriamanitra fa na amin’ izay andro hihinananareo azy dia hahiratra ny masonareo, ka ho tahaka an’ Andriamanitra ianareo, hahalala ny ny tsara sy ny ratsy.
01030600ca	Ary hitan-dravehivavy fa tsara ho fihinana ny hazo sady mahafinaritra ny maso ary hazo mahatsiriritra hampahahendry, dia nanotazany ny voany ka nihinanany; ary nomeny koa ny vadiny; ka dia nihinana izy.
010307007f	Dia nahiratra ny mason’ izy mivady, ka fantany fa mitanjaka izy; ary nanjaitra ravin’ aviavy izy, ka nataony sikina ho azy.
01030800d8	Ary nandre an’ i Jehovah Andriamanitra nitsangantsangana teo amin’ ny saha izy, rehefa ho hariva ny andro; ary ralehilahy sy ny vadiny niery ny tavan’ i Jehovah Andriamanitra tao anaty hazo tao amin’ ny saha.
0103090059	Ary Jehovah Andriamanitra dia niantso an-dralehilahy ka nanao taminy hoe: Aiza moa ianao?
01030a0064	Dia hoy izy: Nandre Anao tao amin’ ny saha aho; dia natahotra aho, satria mitanjaka, ka dia niery.
01030b007c	Ary hoy Izy: Iza moa no nanambara taminao fa mitanjaka ianao? Efa nihinanao va ny hazo izay nandrarako anao tsy hihinananao?
01030c006b	Dia hoy ralehilahy: Ny vehivavy izay nomenao ho namako, izy no nanome ahy ny voankazo, ka dia nihinana aho.
01030d0090	Ary hoy Jehovah Andriamanitra tamin-dravehivavy: Inona izao nataonao izao? Dia hoy ravehivavy: Ny menarana no namitaka ahy, ka dia nihinana aho.
01030e00f9	Ary hoy Jehovah Andriamanitra tamin’ ny menarana: Satria nanao izany ianao, koa amin’ ny biby fiompy rehetra sy ny bibi-dia rehetra dia ianao no voaozona: ny kibonao no handehananao, ary vovo-tany no hohaninao amin’ ny andro rehetra hiainanao.
01030f0096	Dia hampifandrafesiko ianao sy ny vehivavy ary ny taranakao sy ny taranany: izy hanorotoro ny lohanao, ary ianao kosa hanorotoro ny ombelahin-tongony.
01031000dd	Ary hoy koa Izy tamin-dravehivavy: Hahabe dia hahabe ny fahorianao Aho, indrindra fa raha manan’ anaka ianao; ary fahoriana no hiterahanao zanaka; ary ny vadinao no hianteheran’ ny fanirianao, ka izy no hanapaka anao.
0103110107	Ary hoy koa Izy tamin’ i Adama: Satria efa nihaino ny feon’ ny vadinao ianao, ka nihinananao ny hazo, izay nandrarako anao hoe: Aza ihinananao izany, dia voaozona ny tany noho izay nataonao; fahoriana no hihinanao ny vokany amin’ ny andro rehetra hiainanao.
0103120045	Ary haniry tsilo sy hery ho anao izy; ary hohaninao ny anana famboly.
01031300b7	Ny fahatsembohan’ ny tavanao no hahazoanao hanina mandra-piverinao any amin’ ny tany; fa ny tany no nanalana anao; fa vovoka ianao, ary hiverina ho amin’ ny vovoka indray ianao.
0103140062	Ary ralehilahy nanao ny anaran’ ny vadiny hoe Eva, satria izy no renin’ ny olombelona rehetra.
0103150060	Ary Jehovah Andriamanitra nanao akanjo hoditra ho an’ i Adama sy ny vadiny ka nampiakanjo azy.
01031600f6	Ary hoy Jehovah Andriamanitra: Indro, ny olona efa tonga tahaka ny anankiray amintsika ka hahalala ny tsara sy ny ratsy; ary ankehitriny, andrao haninjitra ny tànany izy ka hakany koa ny hazon’ aina, ary hohaniny, ka ho velona mandrakizay izy;
0103170065	ka dia nesorin’ i Jehovah Andriamanitra tamin’ ny saha Edena izy hiasa ny tany izay nanalana azy.
01031800b1	Eny, noroahiny ny olona; ary nampitoeriny tany atsinanan’ ny saha Edena ny kerobima sy ny lelafon’ ny sabatra mihebiheby hiambina ny lalana mankany amin’ ny hazon’ aina.
0104010091	Ary Adama nahalala an’ i Eva vadiny; dia nanan’ anaka Eva ka niteraka an’ i Kaina, ary hoy izy: Efa nahazo zazalahy tamin’ i Jehovah aho.
0104020067	Ary niteraka an’ i Abela rahalahiny koa izy. Ary Abela dia mpiandry ondry, fa Kaina kosa mpiasa tany.
0104030065	Ary rehefa afaka elaela, dia nitondran’ i Kaina ny vokatry ny tany ho fanatitra ho an’ i Jehovah;
0104040089	fa nitondran’ i Abela kosa ny voalohan-terak’ ondriny, dia izay matavy. Ary Jehovah nankasitraka an’ i Abela mbamin’ ny fanatiny;
0104050075	fa Kaina mbamin’ ny fanatiny kosa tsy mba nankasitrahany. Dia tezitra indrindra Kaina, sady nanjombona ny tarehiny.
0104060063	Ary hoy Jehovah tamin’ i Kaina: Nahoana no tezitra ianao? Ary nahoana no manjombona ny tarehinao?
01040700c9	Raha tsara toetra ianao, moa tsy ho miramirana va? Fa raha tsy tsara toetra kosa ianao, dia mamitsaka eo am-baravarana ny ota; ary ianao no kendren’ ny faniriany, kanefa ianao no tokony hanapaka azy.
010408009b	Ary Kaina niteny tamin’ i Abela rahalahiny; ary nony tany an-tsaha izy mirahalahy, dia nitsangana Kaina nanatona an’ i Abela rahalahiny, ka namono azy.
0104090070	Ary hoy Jehovah tamin’ i Kaina: Aiza Abela rahalahinao? Fa hoy izy: Asa; moa mpitandrina ny rahalahiko va aho?
01040a0068	Ary hoy Izy: Inona no nataonao? Ny feon’ ny ran’ ny rahalahinao mitaraina amiko avy amin’ ny tany.
01040b0085	Ary ankehitriny dia voaozona ianao hiala amin’ ny tany onenana, izay nivava hitelina ny ran’ ny rahalahinao nalatsaky ny tananao.
01040c007e	Raha miasa ny tany ianao, tsy mba hahavokatra ho anao intsony izy; ho mpanjenjena sy mpirenireny eny ambonin’ ny tany ianao.
01040d0059	Dia hoy Kaina tamin’ i Jehovah: Lehibe ny valin’ ny heloko mihoatra noho izay zakako.
01040e00c1	Indro, efa noroahinao hiala amin’ ny tany onenana aho androany; dia hiery ny tavanao aho ary ho mpanjenjena sy mpirenireny eny ambonin’ ny tany; koa na iza na iza hahita ahy dia hamono ahy.
01040f00c3	Ary hoy Jehovah taminy: Noho izany na iza na iza hamono an’ i Kaina, dia hovaliana fito eny izy. Ary Jehovah nanao famantarana ho an’ i Kaina; mba tsy hisy hamono azy izay rehetra hahita azy.
0104100067	Ary Kaina dia niala teo anatrehan’ i Jehovah ka nonina tao amin’ ny tany Noda tandrifin’ i Edena.
01041100c6	Ary Kaina nahalala ny vadiny, dia nanan’ anaka ravehivavy ka niteraka an’ i Enoka; ary nanorina vohitra Kaina, ka ny anaran’ ny vohitra dia nataony hoe Enoka, araka ny anaran’ ny zananilahy.
0104120096	Ary Enoka niteraka an’ Irada; ary Irada niteraka an’ i Mehojaela; ary Mehojaela niteraka an’ i Metosaela; ary Metosaela niteraka an’ i Lameka.
010413005c	Ary Lameka nampirafy roa: ny anaran’ ny anankiray Ada, ary ny anaran’ ny anankiray Zila.
0104140061	Ary Ada niteraka an’ i Jabala; izy no rain’ ny mpitoetra an-day, mpiandry omby aman’ ondry.
010415006a	Ary ny anaran’ ny rahalahiny dia Jobala; izy no rain’ ny mpitendry lokanga sy mpitsoka sodina rehetra.
0104160086	Ary Zila kosa niteraka an’ i Tobala-kaina, mpanefy fiasana maranitra, na varahina na vy; ary ny anabavin’ i Tobala-kaina dia Nama.
01041700be	Ary hoy Lameka tamin’ ny vadiny: Ry Ada sy Zila ô, mihainoa ny feoko; Ry vadin’ i Lameka, mitandrema ny teniko: Efa namono lehilahy aho noho ny feriko, Ary tovolahy noho ny faharatrako.
010418006f	Raha valiana fito heny izay mamono an’ i Kaina, Dia fito amby fito-polo heny kosa izay mamono an’ i Lameka.
01041900de	Ary Adama nahalala ny vadiny indray, ka dia niteraka zazalahy ravehivavy; ary ny anarany nataony hoe Seta; fa Andriamanitra, hoy izy, efa nanome ahy zanaka anankiray koa ho solon’ i Abela, satria novonoin’ i Kaina izy.
01041a0041	Ary Seta koa niteraka zazalahy; ary ny anarany nataony hoe Enosy.
0105010098	Ity no boky milaza ny taranak’ i Adama: Tamin’ ny andro namoronan’ Andriamanitra ny olona dia tahaka ny tarehin’ Andriamanitra no nanaovany azy;
0105020072	lahy sy vavy no namoronany azy; dia nitahy azy Izy ka nanao ny anarany hoe Adama tamin’ ny andro namoronany azy.
0105030099	Ary rehefa telo-polo amby zato taona ny andro niainan’ i Adama, dia niteraka tahaka ny tarehiny, araka ny endriny izy; ary ny anarany nataony hoe Seta.
010504007b	Ary ny andron’ i Adama taorian’ ny niterahany an’ i Seta dia valon-jato taona; ary niteraka zazalahy sy zazavavy izy.
010505005a	Ary ny andro rehetra niainan’ i Adama dia telo-polo amby sivin-jato taona; dia maty izy.
010506005b	Ary rehefa dimy amby zato taona ny andro niainan’ i Seta, dia niteraka an’ i Enosy izy.
010507008c	Ary ny andro niainan’ i Seta taorian’ ny niterahany an’ i Enosy dia fito amby valon-jato taona; ary niteraka zazalahy sy zazavavy izy.
0105080064	Ary ny andro rehetra niainan’ i Seta dia roa ambin’ ny folo amby sivin-jato taona; dia maty izy;
0105090058	Ary rehefa sivi-folo taona ny andro niainan’ i Enosy, dia niteraka an’ i Kenana izy.
01050a009f	Ary ny andro niainan’ i Enosy taorian’ ny niterahany an’ i Kenana dia dimy ambin’ ny folo amby valon-jato taona; ary niteraka zazalahy sy zazavavy izy;
01050b0055	Ary ny andro rehetra niainan’ i Enosy dia dimy amby sivin-jato taona; dia maty izy.
01050c005d	Ary rehefa fito-polo taona ny andro niainan’ i Kenana, dia niteraka an’ i Mahalalila izy.
01050d0097	Ary ny andro niainan’ i Kenana taorian’ ny niterahany an’ i Mahalalila dia efa-polo amby valon-jato taona; ary niteraka zazalahy sy zazavavy izy.
01050e0056	Ary ny andro rehetra niainan’ i Kenana dia folo amby sivin-jato taona; dia maty izy.
01050f0067	Ary rehefa dimy amby enim-polo taona ny andro niainan’ i Mahalalila, dia niteraka an’ i Jareda izy.
0105100098	Ary ny andro niainan’ i Mahalalila taorian’ ny niterahany an’ i Jareda dia telo-polo amby valon-jato taona; ary niteraka zazalahy sy zazavavy izy.
0105110069	Ary ny andro rehetra niainan’ i Mahalalila dia dimy amby sivi-folo amby valon-jato taona; dia maty izy.
010512006a	Ary rehefa roa amby enim-polo amby zato taona ny andro niainan’ i Jareda dia niteraka an’ i Enoka izy.
010513008f	Ary ny andro niainan’ i Jareda taorian’ ny niterahany niterahany an’ i Enoka dia valon-jato taona; ary niteraka zazalahy sy zazavavy izy.
0105140064	Ary ny andro rehetra niainan’ i Jareda dia roa amby enim-polo amby sivin-jato taona; dia maty izy.
0105150064	Ary rehefa dimy amby enim-polo taona ny andro niainan’ i Enoka, dia niteraka an’ i Metosela izy.
0105160091	Ary niara-nandeha tamin’ Andriamanitra telon-jato taona Enoka taorian’ ny niterahany an’ i Metosela; ary niteraka zazalahy sy zazavavy izy.
0105170056	Ary ny andro rehetra niainan’ i Enoka dia dimy amby enim-polo amby telon-jato taona.
010518005c	Ary niara-nandeha tamin’ Andriamanitra Enoka; ka tsy hita izy, fa nentin’ Andriamanitra.
010519006f	Ary rehefa fito amby valo-polo amby zato taona ny andro niainan’ i Metosela, dia niteraka an’ i Lameka izy.
01051a009f	Ary ny andro niainan’ i Metosela taorian’ ny niterahany an’ i Lameka dia roa amby valo-polo amby fiton-jato taona; ary niteraka zazalahy sy zazavavy izy.
01051b0067	Ary ny andro rehetra niainan’ i Metosela dia sivy amby enim-polo amby sivin-jato taona; dia maty izy.
01051c0066	Ary rehefa roa amby valo-polo amby zato taona ny andro niainan’ i Lameka, dia niteraka zazalahy izy;
01051d00a3	ary ny anarany nataony hoe Noa, fa hoy izy: Ity no hampionona antsika amin’ ny asantsika sy ny fisasaran’ ny tanantsika noho ny tany izay voaozon’ i Jehovah.
01051e009b	Ary ny andro niainan’ i Lameka taorian’ ny niterahany an’ i Noa dia dimy amby sivi-folo amby diman-jato taona; ary niteraka zazalahy sy zazavavy izy.
01051f0065	Ary ny andro rehetra niainan’ i Lameka dia fito amby fito-polo amby fiton-jato taona; dia maty izy.
0105200052	Ary rehefa diman-jato taona Noa, dia niteraka an’ i Sema sy Hama ary Jafeta izy.
010601004b	Ary raha vao nihamaro ny olona tambonin’ ny tany ka teraka zazavavy maro,
0106020097	dia hitan’ ny zanak’ Andriamanitra fa tsara tarehy ny zanakavavin’ ny olona; ka dia nifidy vady ho azy tamin’ izy rehetra araka izay tiany izy.
01060300a2	Ary hoy Jehovah: Tsy mba hanapaka mandrakariva ao amin’ ny olona ny Fanahiko, fa amin’ ny faniavany dia nofo izy; nefa ho roa-polo amby zato taona ny androny.
01060400fe	Ny Nefilima nitoetra tambonin’ ny tany tamin’ izany andro izany, sy taorian’ izany koa, raha nivady tamin’ ny zanakavavin’ ny olona ny zanak’ Andriamanitra, ka niterahany; ireo no ilay olo-mahery hatrizay ela izay, dia ny lehilahy nanan-daza.
010605009e	Ary hitan’ i Jehovah fa be ny faharatsian’ ny olona tambonin’ ny tany, ka izay fisainana rehetra avy amin’ ny fony dia ratsy ihany mandritra ny andro.
0106060059	Ary Jehovah nanenina noho ny nanaovany ny olona tambonin’ ny tany, ka nalahelo ny fony.
01060700e5	Dia hoy Jehovah: Haringako tsy hisy ambonin’ ny tany ny olona izay noforoniko, hatramin’ ny olona ka hatramin’ ny biby fiompy sy ny biby mandady na mikisaka mbamin’ ny voro-manidina; fa manenina Aho noho ny nanaovako azy.
0106080031	Fa Noa kosa nahita fitia teo imason’ i Jehovah.
01060900a3	Ary izao no tantaran’ i Noa: Noa dia lehilahy marina sady tsy nisy tsiny teo amin’ ny olona niara-belona taminy; eny, niara-nandeha tamin’ Andriamanitra Noa.
01060a0045	Ary Noa niteraka zanaka telo mirahalahy, dia Sema sy Hama ary Jafeta.
01060b0040	Ary simba ny tany teo anatrehan’ Andriamanitra sady heni-doza;
01060c0084	dia hitan’ Andriamanitra ny tany, ka, indro, efa simba izy; fa ny nofo rehetra samy efa nanimba ny lalany avy tambonin’ ny tany.
01060d00c3	Dia hoy Andriamanitra tamin’ i Noa: Ny faran’ ny nofo rehetra efa mby eto anatrehako, satria efa heni-doza ny tany noho ny amin’ olona, ka, indro, efa handringana azy mbamin’ ny tany Aho.
01060e0092	Koa manaova sambo-fiara ho anao amin’ ny hazo gofera; ary hasianao efitrefitra ny sambo-fiara, ka hopetahanao dity ao anatiny sy eo ivelany izy.
01060f008c	Ary toy izao no hanaovanao azy: hakiho telon-jato ny lavan’ ny sambo-fiara, hakiho dimam-polo ny sakany, ary hakiho telo-polo ny hahavony.
01061000c9	Ary hasianao fidiran’ ny mazava ny sambo-fiara, ary amin’ ny hakiho iray no hahavitanao azy hatreo ambony; ary hasianao varavarana ny rindrin’ ny sambo-fiara; hataonao efitra telo mifanongoa izy.
01061100b5	Ary, indro, Izaho efa hahatonga ny safo-drano ambonin’ ny tany handringana ny nofo rehetra izay manam-nofonaina ambanin’ ny lanitra; dia ho faty izay rehetra eo amin’ ny tany.
010612009b	Nefa kosa haoriko ny fanekeko aminao; ary hiditra ao anatin’ ny sambo-fiara ianao sy ny vadinao aman-janakao mbamin’ ny vinantonao vavy miaraka aminao.
01061300ae	Ary ny zava-manan’ aina rehetra, dia ny nofo rehetra, hitondranao roa avy isan-karazany ho ao anatin’ ny sambo-fiara, hovelomina miaraka aminao; ho lahy sy vavy avy ireo.
0106140109	Ny vorona, samy araka ny karazany avy; ary ny biby, samy araka ny karazany avy, ary ny biby rehetra izay mandady na mikisaka amin’ ny tany, samy araka ny karazany avy, dia, roa avy samy araka ny karazany avy, dia roa avy isan-karazany no hankeo aminao hovelomina.
0106150089	Ary analao ho anao ny zavatra rehetra izay mety ho fihinana, ka angòny ho eo aminao; dia ho fihinana ho anao sy ho an’ ireo koa izany.
0106160058	Dia nataon’ i Noa izany; araka izay rehetra nandidian’ Andriamanitra azy no nataony.
01070100c7	Ary hoy Jehovah tamin’ i Noa: Midìra ao anatin’ ny sambo-fiara ianao mbamin’ ny ankohonanao rehetra, satria ianao no hitako fa marina eo anatrehako amin’ izao olona miara-belona aminao izao.
0107020091	Ny biby madio rehetra isan-karazany dia hanalanao ho ao aminao fito avy, lahy sy vavy; ary ny biby tsy madio isan-karazany roa avy, lahy sy vavy;
0107030079	ary ny voro-manidina koa isan-karazany fito avy, lahy sy vavy: mba tsy ho lany taranaka ambonin’ ny tany rehetra ireny.
01070400be	Fa raha afaka hafitoana, Izaho handatsaka ranonorana ambonin’ ny tany efa-polo andro sy efa-polo alina; ary ny zavatra velona rehetra izay, nataoko dia haringako tsy ho ambonin’ ny tany.
010705003c	Ary Noa nanao araka izay rehetra nandidian’ i Jehovah azy.
010706004a	Ary efa enin-jato taona Noa, raha tonga tambonin’ ny tany ny safo-drano.
0107070096	Ary Noa sy ny vadiny aman-janany, mbamin’ ny vinantoni-vavy niaraka taminy dia niditra tao anatin’ ny sambo-fiara mba tsy ho tratry ny safo-drano.
0107080074	Ary ny biby madio sy ny biby izay tsy madio sy ny vorona mbamin’ izay rehetra mandady na mikisaka amin’ ny tany,
0107090091	dia nisy niditra tsiroaroa ho ao amin’ i Noa tao anatin’ ny sambo-fiara, dia lahy sy vavy, araka izay nandidian’ Andriamanitra an’ i Noa.
01070a0048	Ary rehefa afaka hafitoana, dia tonga tambonin’ ny tany ny safo-drano.
01070b00f4	Tamin’ ny andro fahafito ambin’ ny folo tamin’ ny volana faharoa tamin’ ny fahenin-jato taona niainan’ i Noa, tamin’ izany andro izany dia nipoitra ny loharano rehetra amin’ ny lalina lehibe, ary nivoha ny varavaran’ ny lanitra.
01070c0053	Dia nisy ranonorana nivatravatra tamin’ ny tany efa-polo andro sy efa-polo alina.
01070d00c3	Androtrizay indrindra dia efa tafiditra tao anatin’ ny sambo-fiara Noa, sy Sema sy Hama ary Jafeta, zanakalahin’ i Noa, mbamin’ ny vadin’ i Noa, ary ny vinantony telo vavy niaraka taminy;
01070e0132	dia izy ireo sy ny bibi-dia rehetra; samy araka ny karazany avy, sy ny biby fiompy rehetra, samy araka ny karazany avy, ary ny biby rehetra izay mandady na mikisaka amin’ ny tany, samy araka ny karazany avy, ary ny vorona rehetra, samy araka ny karazany avy, dia ny voronkely sy ny manana elatra rehetra.
01070f0081	Dia niditra tao amin’ i Noa tao anatin’ ny sambo-fiara ireo, dia tsiroaroa avy tamin’ ny nofo rehetra izay manam-pofonaina.
