280000000c	מתתיהו
28040900a8	און זאגט צו אים: אלע די דאזיקע וועל איך דיר געבן, אויב דו וועסט אנידערפאלן און זיך בוקן צו מיר.
28040a00f1	דעמאלט זאגט יהושע/ישוע צו אים: אוועק, דו שׂטן! מחמת עס שטייט געשריבן: צום האר, דיין ג‑ט, זאלסטו זיך בוקן און נאר אים אליין זאלסטו דינען!
28040b008c	דעמאלט פארלאזט אים דער שׂטן; און זע, מלאכים זענען געקומען און האבן אים באדינט.
28040c008f	און ווען ער האט געהערט, אז יוחנן איז איינגעזעצט געווארן, איז ער אוועק קיין גליל;
28040d00df	און האט פארלאזט נצרת, און איז געקומען און האט געוואוינט אין כפר‑נחום, וואס ליגט ביים ים, אין די געביטן פון זבולון און נפתלי;
28040e0098	כדי עס זאל דערפילט ווערן, וואס עס איז געזאגט געווארן דורך ישעיהו הנביא, אזוי צו זאגן:
28040f00a8	לאנד פון זבולון און לאנד פון נפתלי, ביים וועג פונם ים, פון יענער זייט ירדן, גליל פון די פעלקער,
280410011c	דאס פאלק, וואס איז געזעסן אין דער פינסטער, האט געזען א גרויס ליכט, און צו די, וואס זענען געזעסן אין א לאנד און אין שאטן פון טויט, פאר זיי האט א ליכט אויפגעשיינט.
28041100d1	פון דעמאלט אָן האט יהושע/ישוע אנגעהויבן אויסצורופן, און צו זאגן: טוט תשובה; מחמת דאס מלכות השמים האט זיך דערנענטערט!
2804120151	און ווי ער איז ארומגעגאנגען ביים ים פון גליל, האט ער געזען צוויי ברידער, שמעון, וואס מען רופט אים פעטרוס, און אנדריי זיין ברודער, ווארפן א נעץ אין ים אריין; מחמת זיי זענען געווען פישערלייט.
2804130097	און ער זאגט צו זיי: קומט, פאלגט מיר נאך, און איך וועל אייך מאכן פאר פישערס פון מענטשן!
280414006c	און זיי האבן גלייך פארלאזן די נעצן, און האבן אים נאכגעפאלגט.
280415015f	און ווען ער איז פון דארטן ווייטערגעגאנגען, האט ער געזען אנדערע צוויי ברידער, יעקב בן זבדי, און יוחנן זיין ברודער, אין דעם שיפל מיט זייער פאטער זבדי, פארריכטנדיק זייערע נעצן; און ער האט זיי גערופן.
2804160094	און זיי האבן גלייך פארלאזן דאס שיפל און דעם פאטער זייערן, און האבן אים נאכגעפאלגט.
280417012c	און ער איז ארומגעגאנגען אין גאנץ גליל, לערנענדיק אין זייערע שולן, און אויסרופנדיק די גוטע בשורה פונם מלכות, און היילנדיק אלע קראנקייטן און שלאפקייטן צווישן דעם פאלק.
280418019e	און זיין שם האט זיך פארשפרייט אין גאנץ סיריען; און מען האט געברענגט צו אים אלע קראנקע, וואס זענען געווען געפלאגט מיט פארשיידענע מחלות און יסורים, באזעסענע מיט בייזע גייסטער, און חולי‑נופל, און פאראליטיקער; און ער האט זיי געהיילט;
28041900ca	און עס האבן אים נאכגעפאלגט גרויסע המונים מענטשן פון גליל און דעקאפאליס און ירושלים און יהודה און פון עבר הירדן.
28050100f3	און זעענדיק די המונים מענטשן, איז ער ארויפגעגאנגען אויף דעם בארג; און ווען ער האט זיך אנידערגעזעצט זענען זיינע תלמידים געקומען צו אים.
2805020067	און ער האט אויפגעעפנט זיין מויל און זיי געלערנט, זאגנדיק:
2805030073	וואויל איז די ארעמע אין גייסט; ווייל זייערס איז דאס מלכות השמים.
280504006a	וואויל איז די טרויערנדיקע; ווייל זיי וועלן געטרייסט ווערן.
2805050079	וואויל איז די, וואס האלטן זיך קליין; ווייל זיי וועלן ירשענען די ערד.
280506009e	וואויל איז די, וואס הונגערן און דורשטן נאך גערעכטיקייט; ווייל זיי וועלן געזעטיקט ווערן.
2805070079	וואויל איז די בעלי רחמים; ווייל זיי וועלן דערלאנגען בארמהארציקייט.
2805080073	וואויל איז די, וואס זענען ריין אין הארצן; ווייל זיי וועלן זען ה׳.
280509007f	וואויל איז די, וואס מאכן שלום; ווייל זיי וועלן גערופן ווערן ה׳ס קינדער.
28050a009e	וואויל איז די, וואס ווערן פארפאלגט צוליב גערעכטיקייט; ווייל דאס מלכות השמים איז זייערס.
28050b00e0	וואויל איז אייך, ווען מען טוט אייך אָן בזיונות, און מען פארפאלגט אייך, און מען רעדט אויס פאלש אלדאס בייז אויף אייך, צוליב מיר.
28050c00fd	פריידט זיך, און זייט זיך זייער משמח, ווייל אייער שכר איז גרויס אין הימל; מחמת אָט אזוי האט מען פארפאלגט די נביאים, וואס זענען געווען פאר אייך.
28050d013e	איר זענט דאס זאלץ פון דער ערד; אויב אבער דאס זאלץ זאל פארלירן זיין טעם, מיט וואס וועט עס געזאלצן ווערן? עס טויג מער צו גארנישט, אחוץ ארויסגעווארפן און פון לייטן געטרעטן צו ווערן.
28050e009d	איר זענט דאס ליכט פון דער וועלט. א שטאט, וואס ליגט אויף א בארג, קען נישט בלייבן פארבארגן.
28050f00da	מען ליכטבענטשן אויך נישט אויף א ליכט, און שטעלט עס אונטער דעם מאסשעפל, נאר אויף דעם לייכטער; און עס לויכט אלעמען אין הויז.
28051000eb	אָט אזוי זאל אייער ליכט שיינען פאר מענטשן, כדי זיי זאלן זען אייערע מעשים טובים, און אפגעבן א לויב צו אייער פאטער, וואס איז אין הימל.
28051100e0	איר זאלט נישט מיינען, אז איך בין געקומען צו צעשטערן די תורה אדער די נביאים; איך בין נישט געקומען צו צעשטערן, נאר ממלא צו זיין.
2805120106	מחמת באמת זאג איך אייך, ביז דער הימל און די ערד וועלן פארגיין, וועט קיין איין יוד, אדער א קוצי של יוד פון דער תורה נישט בטל ווערן, ביז אלץ איז געשען.
280513018d	דעריבער ווער עס וועט צעשטערן איינע פון די דאזיקע קלענסטע מצוות, און וועט אָט אזוי לערנען די מענטשן, דער וועט הייסן קלענסטער אין דעם מלכות השמים; ווער אבער עס וועט זיי טאן און לערנען, דער וועט הייסן גרויס אינם מלכות השמים.
280514010e	מחמת איך זאג אייך, אז אויב אייער צדקות וועט נישט איבערשטייגן די צדקות פון די סופרים און די פרושים, וועט איר בשום אופן נישט אריינגיין אינם מלכות השמים.
28051500c9	איר האט געהערט, אז עס איז געזאגט געווארן צו די קדמונים: דו זאלסט נישט טייטן; ווער אבער עס טייט, איז חייב צום משפט.
280516019c	איך אבער זאג אייך, אז יעדער איינער, וואס איז צארנדיק אויף זיין ברודער, וועט זיין חייב צום משפט; און ווער עס וועט זאגן רקא צו זיין ברודער, וועט זיין חייב צום סנהדרין; און ווער עס וועט זאגן, דו נאר, וועט זיין חייב צום פייער פון גיהנום.
28051700bc	דעריבער ווען דו ברענגסט דיין קרבן צו דעם מזבח, און דארטן דערמאנסטו דיך, אז דיין ברודער האט עפעס קעגן דיר,
28051800f0	זאלסטו דארטן איבערלאזן דיין קרבן פאר דעם מזבח, און גיי קודם כל אהין, רעד זיך דורך מיט דיין ברודער, און דאן קום און זיי מקריב דיין קרבן.
2805190151	ווער משווה מיט דיין קעגנער געשווינט, בשעת דו ביסט נאך מיט אים אויפן וועג; טאמער וועט דיין קעגנער דיך איבערגעבן צום שופט, און דער שופט צום שוטר, און דו וועסט געווארפן ווערן אין תפיסה אריין.
28051a00b1	באמת זאג איך דיר, דו וועסט פון דארטן בשום אופן נישט ארויסקומען, ביז דו באצאלסט נישט די לעצטע פרוטה!
28051b0069	איר האט געהערט, אז עס איז געזאגט געווארן: זאלסט נישט נואפן!
28051c00c7	איך אבער זאג אייך, אז יעדער איינער, וואס קוקט אויף א פרוי, זי צו גלוסטן, האט שוין גענואפט מיט איר אין זיין הארצן.
28051d018b	און אויב דיין רעכט אויג פארפירט דיך צום שטרויכלען, נעם עס ארויס, און ווארף עס אוועק פון דיר; מחמת עס לוינט זיך דיר, אז איינס פון דיינע אברים זאל פארלוירן גיין, און נישט דיין גאנצער גוף זאל געווארפן ווערן אין גיהנום אריין.
28051e0174	און אויב דיין רעכטע האנט פארפירט דיך צום שטרויכלען, האק זי אפ, און ווארף זי אוועק פון דיר; מחמת עס לוינט זיך דיר, אז איינס פון דיינע אברים זאל פארלוירן גיין, און נישט דיין גאנצער גוף זאל גיין אין גיהנום אריין.
28051f0090	און עס איז געזאגט געווארן: ווער עס שיידט זיך פון זיין ווייב, זאל ער איר געבן א גט.
2805200124	איך אבער זאג אייך, אז יעדער איינער, וואס שיידט זיך פון זיין ווייב, אחוץ צוליב א פאל פון זנות, מאכט ער זי מזנה צו זיין. און ווער עס האט חתונה מיט א גרושה, דער איז מזנה.
28052100ec	ווידער האט איר געהערט, אז עס איז געזאגט געווארן צו די קדמונים: זאלסט נישט שווערן פאלש, זאלסט אבער אפצאלן דיינע שבועות צום האר (ג‑ט).
280522008f	איך אבער זאג אייך, שווערט לגמרי נישט; נישט ביים הימל, ווייל עס איז ה׳ס כסא הכבוד.
28052300cd	נישט ביי דער ערד, ווייל זי איז א פוסבענקל פאר זיינע פיס; נישט ביי ירושלים, ווייל דאס איז די שטאט פון דעם גרויסן מלך.
28052400b1	זאלסט אויך נישט שווערן ביי דיין קאפ, ווייל דו קענסט נישט קיין איינציקע האר ווייס אדער שווארץ מאכן.
28052500a0	נאר זאל אייער ווארט זיין; יא, יא; ניין, ניין! און וואס איז מער ווי די דאזיקע איז פונם בייזן.
2805260090	איר האט געהערט, אז עס איז געזאגט געווארן: אן אויג פאר אן אויג, און א צאן פאר א צאן;
28052700f3	איך אבער זאג אייך: איר זאלט זיך נישט אנטקעגנשטעלן דעם בייזן; נאר ווען עמיצער פאטשט דיך אויף דיין רעכטער באק, נייג אים אויך די אנדערע צו.
28052800a2	און דעם, וואס וויל זיך משפטן מיט דיר און אוועקנעמען דיין העמד, לאז אים אויך דעם אויבער בגד.
2805290066	און ווער עס צווינגט דיך צו גיין א מייל, גיי מיט אים צוויי.
28052a0099	גיב צו דעם, וואס בעט ביי דיר, און פון דעם, וואס וויל ביי דיר בארגן, דריי דיך נישט אוועק.
28052b009d	איר האט געהערט, אז עס איז געזאגט געווארן: דו זאלסט ליב האבן דיין חבר, און האסן דיין שונא;
28052c0095	איך אבער זאג אייך: האט ליב אייערע שונאים, און זייט מתפלל פאר די, וואס פארפאלגן אייך;
28052d0120	כדי איר זאלט זיין קינדער פון אייער פאטער, וואס איז אין הימל. ווייל ער לאזט זיין זון שיינען אויף בייזע און אויף גוטע, און לאזט רעגענען אויף צדיקים און אויף רשעים.
28052e00db	מחמת אויב איר וועט ליב האבן די, וואס האבן אייך ליב, וואס פאר א שכר האט איר? צי טאן דען די שטייער אויפמאנער נישט דאס זעלביקע?
28052f00d5	און אויב איר גיט אפ שלום נאר אייערע ברידער אליין, וואס טוט איר דא מער? צי טאן דען די אומות (העולם) נישט אויך דאס זעלביקע?
2805300078	דעריבער זאלט איר זיין פולקום, ווי אייער הימלישער פאטער איז פולקום.
2806010111	גיט אכטונג, אז איר זאלט נישט טאן אייער צדקה פאר לייטן, כדי פון זיי געזען צו ווערן; און אויב נישט, האט איר נישט קיין שכר ביי אייער פאטער, וואס איז אין הימל.
2806020157	דעריבער ווען דו טוסט א גמילות חסד, לאז נישט אויסטראמפייטערן פאר דיר, ווי די צבועקעס טאן אין די שולן און אויף די גאסן, כדי געלויבט צו ווערן פון לייטן. באמת זאג איך אייך, זיי האבן שוין זייער שכר.
2806030095	דו אבער ווען דו טוסט א גמילות חסד זאל דיין לינקע האנט נישט וויסן, וואס די רעכטע טוט,
28060400ba	כדי דיין גמילות חסדים זאל בלייבן פארבארגן; און דיין פאטער, וואס זעט אין פארבארגעניש, וועט דיר פארגעלטן.
280605018a	און ווען איר טוט תפילה, זאלט איר נישט זיין ווי די צבועקעס, ווייל זיי האבן ליב תפילה צו טאן ווען זיי שטייען אין די שולן און אויף די עקן פון די גאסן, כדי זיך צו באווייזן פאר מענטשן. באמת זאג איך אייך, זיי האבן שוין זייער שכר.
2806060142	דו אבער, ווען דו טוסט תפילה, גיי אריין אין דיין חדרל, און פארשליס די טיר, און זיי מתפלל צו דיין פאטער, וואס איז פארבארגן, און דיין פאטער, וואס זעט אין פארבארגעניש, וועט דיר פארגעלטן.
28060700ec	און תפילה טוענדיק, זאלט איר נישט פלאפלען ווי די אומות (העולם); מחמת זיי מיינען, אז דורך א סך ווערטער זייערע, וועלן זיי דערהערט ווערן.
28060800b0	דעריבער זייט נישט גלייך ווי זיי! מחמת ה׳, אייער פאטער, ווייסט וואס איר באדארפט, איידער איר בעט אים.
28060900b7	דעריבער זאלט איר אזוי תפילה טאן: אונדזער פאטער, וואס דו ביסט אין הימל, געהייליקט זאל ווערן דיין נאמען.
28060a008d	זאל דיין מלכות קומען. זאל דיין רצון געשען, ווי אין הימל, אזוי אויך אויף דער ערד.
28060b0044	אונדזער טעגלעך ברויט גיב אונדז היינט.
28060c009d	און פארגיב אונדז אונדזערע חובות, ווי אויך מיר האבן פארגעבן די, וואס זענען אונדז שולדיק.
28060d00fa	און ברענג אונדז נישט צו קיין נסיון, נאר זיי אונדז מציל פון שלעכטס (מחמת דיין איז דאס מלכות, און די מאכט, און די הערלעכקייט, אויף אייביק! אמן.)
28060e00a4	מחמת אויב איר פארגיט די מענטשן זייערע פעלערן, וועט אייער הימלישער פאטער אייך אויך פארגעבן.
28060f00a5	ווען אבער איר פארגיט די מענטשן נישט, וועט אייער פאטער אייך אויך נישט פארגעבן אייערע עבירות.
280610015d	און ווען איר פאסט, זאלט איר נישט זיין ווי די צבועקעס, מיט א זויער פנים; מחמת זיי פארפינסטערן זייערע פנימער, כדי זיך צו באווייזן פאר מענטשן, אז זיי פאסטן. באמת זאג איך אייך, זיי האבן שוין זייער שכר.
2806110082	דו אבער, ווען דו פאסט, זאלב דיר דעם קאפ מיט אייל, און וואש דיר אפ דאס פנים;
280612010b	כדי זאלסט נישט געזען ווערן פון מענטשן, אז דו פאסט, נאר פאר דיין פאטער, וואס איז פארבארגן; און דיין פאטער, וואס זעט אין פארבארגעניש, וועט דיר פארגעלטן.
28061300e2	זאמלט אייך נישט איין קיין אוצרות אויף דער ערד, וואו מילב און זשאווער פארדארבן, און וואו גנבים גראבן אונטער און גנבענען אוועק.
28061400f9	נאר זאמלט אייך איין אוצרות אין הימל, וואו נישט די מילב נישט דער זשאווער פארדארבן, און וואו גנבים גראבן נישט אונטער און גנבענען נישט אוועק.
2806150062	מחמת וואו דיין אוצר איז, דארט וועט אויך דיין הארץ זיין.
280616003c	דאס ליכט פון דעם גוף איז דאס אויג.
2806170176	אויב דעריבער דיין אויג איז געזונט, וועט דיין גאנצער גוף זיין ליכטיק. ווען אבער דיין אויג איז בייז, וועט דיין גאנצער גוף זיין פינסטער. דעריבער אויב דאס ליכט, וואס איז אין דיר, איז פינסטער, ווי גרויס איז די חושך!
