2900000006	Marcos
2901150090	Naku hilan Apu Jesus ha Capernaum. Hin nalatêngaꞌ Allêw Pamamahinga, naku hila ha biyag pamititipunan Hawjudio ta istun nanudu hi Apu Jesus.
290116006a	Namanghay tawtawu ha libun tudu na ta nanudu yan mayin kapangyarian, alwan katbuh tawtagapanudun kautuhan.
290117004d	Mayin gihay tawu baistu, sinuklutan anituy biglan nagpahuk buy nagbubungꞌu,
290118008b	“Jesus ya taga Nazaret, hita pakialam mu kanyan? Naku ka kayti taêmên lipuhun kami? Kilala kita. Hakay Banalaꞌ impagtan Apu Diyus!”
290119004d	Nuwa binawalan Apu Jesus ya anitu, “Tênggên ka buy magꞌalih ka kana!”
29011a0043	Pinamêgpêg anituy tawu buy nagbungꞌu kaban nagꞌaalihaꞌ ati.
29011b00a4	Namanghay laataꞌ dilag istu, ta ninununghung hila ha gihat giha, “Hita ati? Gihay bayun tudu, mayin kapangyarian! Hay anitu, nauutuhan na buy napapahunul na!”
29011c004c	Kinumalat agadaꞌ balita tungkul kan Apu Jesus ha buun prubinsiyan Galilea.
29011d0078	Ibat ha biyag pamititipunan Hawjudio, naku hi Apu Jesus ha biyag lan Simon buy Andres, awyun na hilan Santiago buy Juan.
29011e006b	Nalatêng la, pakaundagaꞌ ampun Simonaꞌ babaying inlalagnat. Agad lan innunghungaꞌ ati kan Apu Jesus.
29011f0093	Dinaninan Apu Jesus ya mayin hakit, dinukpan nay gamêt ati buy impaibangun na. Naalih agadaꞌ kanan lagnat bayu pinagsilbiyan na hilan Apu Jesus.
2901200060	Panlumbug allêw, gintan tawtawu kan Apu Jesus ya laat mayin hakit buy libun sinusuklutan anitu.
2901210027	Buung banway nangapititipun ha luwahan.
29012200c4	Madlan mayin hakitaꞌ pinagaling Apu Jesus hitamanaꞌ kanlan karamdaman. Buy pinaalih na mêtaꞌ madlan anitu. Nuwa ah na pinaulayan mipannunghung libun anitu ta tanda lan hiyay Anak Apu Diyus.
290123004d	Kinadatunan, nibangun hi Apu Jesus, naku ha kalinangan ta baistun nanalangin.
2901240027	Tingkap yan Simon buy kanan kawkaawyun.
2901250042	Hin naakit la hi Apu Jesus, ambala la, “Titingkap kawun laat.”
2901260095	Nuwa innunghung Apu Jesus kanla, “Maku kitamuy na ha kadanin banwa taêmên makapangaralaku mêt baistu. Ta atiyaꞌ dahilan kaya ku naku kayti.”
2901270091	Buy inlibut Apu Jesus ya buung Galilea, nangaral ya ha libun biyag pamititipunan Hawjudio. Buy nagpaalih yan anitu ha tawtawung sinuklutan anitu.
29012800b6	Nagdani kan Apu Jesus ya gihay liyaking mayin hakit ha balat. Nagluhudaꞌ ati kana buy nagmakaingalun pagalingin na. Ambala na, “Nu labay yu, pagalingin yu ku takay luminisaku.”
290129005c	Kinaingalwan yan Apu Jesus ta dinukpan ya. Buy ambala kana, “Labay kun, luminis kay na!”
29012a001a	Ginumaling agadaꞌ hakit.
29012b00ed	Pinaalih ya agad Apu Jesus buy imbilin, “Andi mu nunghungunaꞌ ati ha kanayun. Ha halip, maku ka ha pari buy ipaakit muy balat mu ya ala kay nan hakit. Pagkayari, maghandug kan dapay ha inꞌutuh Moises, patunayaꞌ malinis kay na.”
29012d00f7	Nuwa pagkaalih na, impagnununghung nay nangyari kana. Ta kinumalataꞌ balitan ati, kaya ah yay na basta makalaku ha bawbanwa ta pagkagulwan yan tawtawu. Buy istu ya tanan namirmi ha kalinangan. Nuwa naku pun kanay tawtawu, ibat ha iba iban rugal.
290201010d	Pagkalibah umnuy allêw, nagbalik hi Apu Jesus ha Capernaum. Imbalitan tawtawu, “Nakalatênganaꞌ hi Apu Jesus ha tinutuluyan na!” Kaya ban dêlan tawuy nititipun ha tinutuluyan na. Napnuy biyag angga ha mahawang. Kaban nangangaral hi Apu Jesus nunghung Apu Diyus,
290203006c	mayin umnuy tawung naku baistu. Hay apat kanla, pigigitanaꞌ lumpu takayꞌêmên idani hana kan Apu Jesus.
290204009b	Nuwa ha kadlan tawu, ah hila makadani kan Apu Jesus, kaya naghampa hila palaku ha uhbung. Buy inlubka lay uhbung ta inꞌuguh lay lumpu ha tapat Apu Jesus.
2902050077	Hin naakit Apu Jesus ya kanlan pananampalataya kana, ambala na ha lumpu, “Anak, pinatawadanay kamung kawkasalanan.”
2902060062	Mayin tagapanudun kautuhan, nangakaitnu baistu. Nalêngê lay habatu buy ambala la ha kanlan ihip,
290207009c	“Angkaya ya nannunghung habatu? Alwa yay naman hi Apu Diyus! Pinangungunahan nay Apu Diyus! Alan makakapagpatawad kasalanan nu alwan hi Apu Diyus dili!”
2902080068	Agadaꞌ naman natandan Apu Jesus ya kanlan iniihip. Kaya ambala na, “Angkaya kawu nagꞌiihip habatu?
29020900bf	Iniihip yu, mas madali nu sabin ku ha lumpu, ‘Pinatawadanay kawkasalanan mu’ kisa ha sabin kun, ‘Mêdêng ka, buwatên muy amak mu buy maliyaku ka.’ Ta ah yu nanakitaꞌ pagpapatawad.
29020a00c1	Nuwa hapaêg, pagalingin kuy tawung ati takay patunayan ku kayu, hakuy nangibat ha langitaꞌ Inꞌanak Tawuy mayin kapangyarian kayti ha lutang magpatawad kasalanan.” Buy ambala na ha lumpu,
29020b003b	“Mêdêng ka, buwatên muy kamung amak ta muli kay na.”
29020c00c8	Nêdêng bayaꞌ lumpu. Binwat agadaꞌ kanan amak. Buy naghalwang ya kaban nakabalayaꞌ laat. Talagan nagtakay laat buy pinuri lay Apu Diyus. Ambala la, “Hapaêg kamin dilin nakaakit dapay ati.”
29020d005f	Nakun uman hi Apu Jesus ha pingit Dagat Galilea. Inlaku yan dêlan tawu buy tinudwanan na hila.
29020e00dc	Kaban nalyalyaku ya, naakit nay anak Alfeus ya hi Levi, manyinyingil buwis gubirnun Romano. Nakaitnu ya ha panyingilan buwis. Ambalan Apu Jesus kana, “Humunul ka kangku.” Nêdêng hi Levi buy hinumunul kan Apu Jesus.
29020f00b8	Hin naku hi Apu Jesus buy tawtagahunul na ha biyag Levi, nangan hilan awyunaꞌ manyinyingil buwis buy kanayunaꞌ intuturing lan makasalanan ta dêla kanlay hinuhumunul kan Apu Jesus.
2902100109	Mayin tagapanudun kautuhanaꞌ dilag baistu, kagiha hila ha Pawpariseo. Hin naakit lan nanangan hi Apu Jesus kaawyunaꞌ libun manyinyingil buwis buy kanayun punaꞌ makasalanan, ambala la ha kanan tagahunul, “Angkaya ya nanangan, kaawyun nay tawtawung ban in?”
29021100d0	Nalêngên Apu Jesus ya habatu, kaya tinumbay ya, “Alwan hay alan hakitaꞌ nangangaylangan duktur, nu alwan hay mayin hakit. Nakuwaku kayti taêmên bawgênaꞌ mawmakasalanan alwan hay libun matuynung.”
2902120123	Hin nagtalagan ahê manganaꞌ tawtagahunul Juan ya Tagapagbawtismu buy Pawpariseo takay makanunghung mahampataꞌ Panginuun, nagdaniyaꞌ umnuy tawu kan Apu Jesus buy nagtanung, “Angkaya hay libun tagahunul Juan buy libun Pariseo nagtalagan ahê mangan nuwa hay kayung tagahunul, alwa?”
290213008d	Tinumbay hi Apu Jesus, “Maari kayan magtalagan ahê manganaꞌ libun awyun ha kasalan kaban awyun la punaꞌ liyaking ikasal? Simpri, ahê!
290214006c	Nuwa lumatêng mêtaꞌ allêw, kuwên kanlay liyaking ingkasal, baistu pun hilan magtalagan ahê mangan.”
2902150076	Innunghung na pun ha pagꞌiitbuh, “Ala pun nanagpin bayun tila ha lumay baru ta nu mangulêtên, kumamhakaꞌ gihi.
29021600d5	Ala mêt namisalin bayun alak ha daan balataꞌ pamiantiyan, pagal, paputukun alakaꞌ balat, mitambukaꞌ alak buy mahiray balataꞌ pamiantiyan. Ha halip, isalinaꞌ bayuy alak ha bayun balataꞌ pamiantiyan.”
2902170083	Gihay Allêw Pamamahinga, kaban nalyalyaku hilan Apu Jesus, napadan hila ha triguan, nipantên triguy kanan tagahunul buy kinan la.
2902180081	Naakit Pawpariseo kaya ambala la, “Balayên muy tawtagahunul mu! Ah la tanday impapagbawalaꞌ habatu ha Allêw Pamamahinga?”
29021900a4	Tinumbay hi Apu Jesus kanla, “Ah yu nabasa ha kasulatanaꞌ ginawan ninunu tamung hi Haring David? Hin binitil hila buy kanan libun kaawyun buy ala hilan maêkan,
29021a010f	nagpahuk hi Haring David ha Biyag Apu Diyus ta kinan nay tinapayaꞌ inꞌalay pari kan Apu Diyus. Bayu binyan na punaꞌ libun awyun na maski ayun pun ha kautuhan, hay libun pari diliyaꞌ mayin karapatan mangan habatu. Nangyariyaꞌ ati hin puun pari pun hi Abiatar.”
29021b0077	Buy sinabin Apu Jesus kanla, “Ginaway Allêw Pamamahinga para ha tawu, alwan ginaway tawu para ha Allêw Pamamahinga.
29021c0080	Ta hakun nangibat ha langitaꞌ Inꞌanak Tawuy mayin kapangyarian mannunghung nu hita dapat gawꞌên ha Allêw Pamamahinga.”
290301006e	Nagpahuk uman hi Apu Jesus ha biyag pamititipunan Hawjudio. Mayin gihay liyaki istu, paralisaduy gihay gamêt.
29030200d3	Allêw Pamamahingan habatu, kaya binantayan mahampat hi Apu Jesus Pawpariseo, takayꞌêmên mayin hilan maibintang laban kana. Ta nu pagalingin nay liyakin bantu ha Allêw Pamamahinga, pan bawal ha kautuhan la.
2903030052	Ambalan Apu Jesus ha liyaking paralisaduy gihay gamêt, “Kalika kayti kangku.”
29030400c6	Pagkayari, tinanung nay Pawpariseo, “Hita kaya impapahintulut kautuhan ha Allêw Pamamahinga, hay manggawan mahampat u manggawan malaêt? Hay magligtas biyay u mamati?” Nuwa alwa hilan tinumbay.
29030500bd	Matigasaꞌ u la kaya puut yan namalay kanla nuwa lungkutaꞌ natanam na. Binalay nay liyaki ta innunghung na, “Ituynung muy gamêt mu!” Ginumalingaꞌ gamêt na buy naituynung nay ati.
2903060070	Nagꞌalihaꞌ Pawpariseo. Nakipagkagiha agad ha tawtawung Haring Herodes nu pakapakun lan ipapati hi Apu Jesus.
2903070111	Naku hi Apu Jesus buy tawtagahunul na ha pingit Dagat Galilea. Hinumunul kanay kadlan tawu ibat ha prubinsiyan Galilea, Judea buy Idumea. Mayin mêt ha banwan Jerusalem, ha kalagpak Ilug Jordan, buy ha palibut bawbanwan Tiro buy Sidon. Ta nabalitꞌan tawtawuy ginagawa na.
29030900a8	Ta ha kadlan tawu, ambalan Apu Jesus ha tawtagahunul na, “Mamihanda kawu paraw gihay bangka taêmên mayinakun mapagtukluwan nu mandalêhêkhêkanaꞌ dêlan tawu.”
29030a006b	Madlan pinagaling hi Apu Jesus, kaya dinalêhêkhêk yan laat mayin hakit takayꞌêmên madukpan yan dili.
29030b0073	Nu nanakit yan libun tawung sinusuklutan anitu, naglulukub hila kana buy nagbubungꞌu, “Hakay Anak Apu Diyus!”
29030c0057	Nuwa mahigpit hilan binawalan Apu Jesus, “Ah yu sabin ha kanayun nu hitalagyuwaku.”
29030d009b	Pagkayari, hinumukpa hi Apu Jesus ha bungꞌuy. Nakun, binawêg nay labinluway tawung labay nan pilin, ambala na, “Kali kawu kayti.” Nagdani hila kana.
29030e0061	“Hakawun labinluway napili ku, bawgên kun alagad takay makaawyun ku buy mautuhan kun mangaral.
29030f0032	Biyan katawun kapangyarihanaꞌ mamaalih anitu.”
2903100039	Ati ya labinluway pinili na, hi Simonaꞌ binawêg Pedro,
2903110067	hilan Santiago buy Juan ya awꞌanak Zebedeo ya binawêg nan Boanerges hay labay sabin awꞌanak kilat.
2903120086	Hay kanayun, hi Andres, hi Filipe, hi Bartolome, hi Mateo, hi Tomas, hi Santiago ya anak Alfeus, hi Tadeus, buy hi Simon ya makabanwa,
2903130044	buy hi Judas Iscariote ya naypakabili kan Apu Jesus hin bandan huli.
2903140087	Pangulin Apu Jesus buy tawtagahunul na ha biyagaꞌ pamirmiyan na, ah lay na maarap mangan, ta nanguman nipanlumatêngaꞌ dêlan tawu.
2903150085	Hin nabalitꞌan pamilyan Apu Jesus ya, ginagawa nan ati, sinundu yay na, ta ambalan tawtawu, “Nagꞌiibay nay kanan pangihipan.”
29031600d3	Mayinanamêt nalatêng kanan tagapanudun kautuhan ibat ha Jerusalem, buy ambala la, “Sinusuklutan yan Beelzebul, pinakamatagꞌay ha awꞌanitu. Buy ati ya nanamꞌin kapangyarian kanan mamaalih awꞌanitu.”
29031700a1	Kaya, binawêg Apu Jesus ya libun tawu buy nakinunghung ya kanla ha pamimighitan pagꞌiitbuh, “Magawa kayan Satanas ya paalihinaꞌ kaparihu na? Simpri, ahê.
2903180056	Nu hay gihay puun, mipapati buy mimihiyay kanan nasasakupan, bumagsakaꞌ pamumunu na.
2903190047	Habatu mêtaꞌ nangyayari nu nipapatiyaꞌ mitatalanak ha gihay biyag.
29031a006f	Kaya nu hi Satanas buy kanan kawkaparihu mipapati buy mimihiyay, bumagsak ya mêt buy ahêy na makaibangun pun.
29031b00a4	Nuwa, hi Satanas maarin maitbuh ha malakasaꞌ tawu. Ah maarin pahukun magnanakawaꞌ biyag na nu ah ya pun gapuhun. Nu maigapuh yay na, maari yay nan matakawan.”
29031c008c	“Pakalêngꞌên yuy inunghung ku kayu, hay laat kasalanan buy hitalagyumanaꞌ mannunghung malaêt laban kan Apu Diyus, maarin mapatawad.
29031d009c	Nuwa, hitalagyumanaꞌ mannunghung malaêt laban ha Ispiritun Apu Diyus, alway nan mapatawad. Hay dapay atiyaꞌ kasalanan, ahêy na mapatawad makanuman.”
29031e0059	Habatuy ambalan Apu Jesus ta ambalan tawtagapanudun kautuhan, “Naanitu hi Apu Jesus.”
29031f0061	Buy inlumatêngaꞌ indu buy pawpatêl Apu Jesus. Nakaêdêng hila ha mahawang buy impabawêg ya.
290320008f	Dêlan tawuy nangakaitnu ha paligid Apu Jesus. Mayin nannunghung kana, “Dilag ha mahawangaꞌ indu yu buy pawpatêl yu, impapabawêg kawu.”
2903210048	Tinumbay hi Apu Jesus, “Tanda yu, nu hita indu ku buy pawpatêl ku?”
2903220053	Binalay nay tawtawu ha paligid na, buy ambala, “Hakawuy indu ku buy pawpatêl ku!
290323005b	Ta hitalagyumanaꞌ hinuhumunul ha kaluuban Apu Diyus, habatuy indu ku buy pawpatêl ku.”
29040100b9	Nanudun uman hi Apu Jesus ha pingit Dagat Galilea. Ta ha kadlan tawung nakapaikut kana, naghakay ya ha gihay bangka buy baistu yan nitnu. Pan hay tawtawuy naman natayak ha pingit dagat.
2904020030	Dêla yan intudun pagꞌiitbuh kanla. Ambala na,
290403003b	“Manlêngê kawu! Mayin gihay mananêm namibulaglag bini.
290404006d	Ha kanan pamibulaglag, mayin bawbinin nanabu ha diyan. Inlumatêngaꞌ awꞌibun ta tinuktukaꞌ binin bantu.
290405006b	Mayin mêt nanabuy bini ha kabatuwanaꞌ mayin makayêkaꞌ luta. Agad tinumubuy bini, ta manipisaꞌ luta.
2904060055	Nuwa hin nasikatan allêwaꞌ ati buy naumutan, nayanguy ati ta alwan malalêy yamut.
290407007b	Mayinanaman binin nanabu ha lamunaꞌ madiwi. Inlumabungaꞌ lamun, pinagkêhkêhanaꞌ tinumubuy bini kaya ah ya nanagêy.
29040800b6	Hay kanayunaꞌ naman nanabu ha matabay luta. Tinumubuy ati, inlumagu buy nanagêy. Mayin katamtaman diliyaꞌ tagêy, hay kanayunaꞌ naman dêla, hay kanayunaꞌ naman matagêy.”
2904090070	Pagkayari, innunghung Apu Jesus, “Hakawun libun nanlêlêngê, dapat yun pakaihipinaꞌ innunghung kun ati.”
29040a007d	Hin nakauliyanay tawtawu, nagtanungaꞌ labinluway tagahunul na buy umnuy awyun la, nu hita labay tutulun pagꞌiitbuh bantu.
29040b0085	Ambalan Apu Jesus kanla, “Impatanda kuy na kayuy lihim ha paghaharin Apu Diyus, nuwa ha kanayun, impahayagaꞌ ati ha pagꞌiitbuh.
29040c0106	Ginagawa kuy ati takay matupadaꞌ dilag ha kasulatan Apu Diyus, ‘Mamalay man hilan mamalay, ah hila makaakit. Manlêngê man hilan manlêngê, ah hila makatêbêk. Ta nu matêbêk la, dat magsisi hila ha kanlan kawsalanan Buy patawarên hilan Apu Diyus.’”
29040d0089	Pagkayari, ambalan Apu Jesus kanla, “Nu ah yu matêbêkaꞌ pagꞌiitbuhaꞌ ati, pakapakun yun matêbêkaꞌ kanayun pun pagꞌiitbuh?
29040e0037	Hay binin imbulaglag, inꞌitbuh ha nunghung Apu Diyus.
29040f00ab	Hay diyanaꞌ kinanabwan bini, inꞌiitbuh ha libun tawung nanlêlêngên nunghung Apu Diyus nuwa agad nalatêng hi Satanas, inagawaꞌ nunghung Apu Diyus ya nalêngê la.
290410008a	Hay mabatuy rugalaꞌ namanaꞌ kinanabwan bini, inꞌiitbuh ha libun tawung hin nalêngêy nunghung Apu Diyus, natulan tinanggap la agad.
29041100e9	Nuwa alwan mataimtim ha pusu lay pagtanggap haati. Kaya ah nagtagalaꞌ kanlan pananampalataya. Paglatêng kairapan u pagꞌuusig ta ha pananampalataya la ha nunghung Apu Diyus, agad hilan nagpatalibukut ha kanlan pananampalataya.”
2904120077	“Hay lutang mayin lamunaꞌ madiwi ya kinanabwan bini, inꞌiitbuh ha libun tawung nanlêlêngên nunghung Apu Diyus.
29041300c1	Nuwa ha libun alalahanin ha biyay, paghahangad yumaman buy paghahangad ha bawbagayaꞌ nanakit ha mundu, naliliwan lay nunghung Apu Diyus. Kaya ah nananagêyaꞌ nunghung Apu Diyus ha biyay la.
2904140102	Nuwa hay matabay lutang pinaybulaglagan bini, inꞌiitbuh ha tawtawung nanlêlêngên nunghung Apu Diyus buy nanananggap ati. Kaya nananagêyaꞌ ati. Mayin kanayun, katamtaman diliyaꞌ tagêy, hay kanayunaꞌ naman dêla, hay kanayunaꞌ naman matagêy.”
290415009f	Ambalan Apu Jesus kanla, “Alan magsindin dêkêt buy pagkayariy ihanip ha pamiantiyan u ha hilung pagꞌundagan. Alwa nan ipaluntuy dêkêt ha paypaluntuwan?
2904160063	Habatu mêtaꞌ naman, alan nakatagung ahê malantad, buy alan lihimaꞌ ahê mabunyag ha mahawang.
2904170046	Hakawun nanlêlêngê, dapat yun pakaihipinaꞌ innunghung kun ati.”
29041800a0	Ambala na pun, “Unawaên yun mahampataꞌ kayung nalêlêngê kangku. Hay panyukataꞌ ginamit yu ha kanayun, habatu mêtaꞌ gamitin kayu buy higit pun istu.
29041900ba	Ta hay tawung hinuhumunul ha nalêngê nan kapêtêgan, biyan pun pagkatêbêk. Nuwa hay tawung ahê hinuhumunul ha kapêtêgan, maski hay makayêkaꞌ natêbêk na, kêwên pun kana.”
29041a0061	Ambalan Apu Jesus, “Hay paghaharin Apu Diyus, maiitbuh ha tawung namibulaglag bini ha gahak na.
29041b007d	Kaban magtarabahu ya ha allêw buy natutuluy ya ha yabi, hay binin imbulaglag nay tinutumubu, maski ah na tanda nu pakapakun.
29041c0055	Hay lutay nagpapatubu buy nagpapatagêy ha tanêm. Sinumibulaꞌ bini bayu nagkauhay.
29041d0035	Buy pagnawtuy na, agad aniin ta panawunanan anian.”
29041e007a	Ambala pun Apu Jesus, “Haantu tamu pun kayan maitbuhaꞌ paghaharin Apu Diyus? Hita pagꞌiitbuhaꞌ gamitin tamu haati?
29041f0045	Dapay mêt atin butꞌun mustasa, pinakamakayêk ha laataꞌ butꞌu.
2904200082	Nuwa nu maitanêmana buy tumubu, tumagꞌayaꞌ ati, higit pun ha kanayun tanêm. Maski awꞌibun, makapaghalay ha lêpêt ati.”
290421006c	Impangaral Apu Jesus ya nunghung Apu Diyus ha dêlan pagꞌiitbuhaꞌ dapay ati, nuwa ha kaya lan matêbêk.
290422008b	Alwa yan nangangaral ha libun tawu nu alwa yan ginugumamit pagꞌiitbuh, nuwa impapaliwanag nay naman ha libun tagahunul na, nu kakapad la.
2904230050	Kinayabinan, ambala na ha tawtagahunul na, “Magbatah kitamu ha lipay dagat.”
2904240088	Kaya inibuwatan tawtagahunul nay tawtawu buy naghakay mêt hila ha bangkan hinahakyan Apu Jesus. Mayin pun bawbangkan hinuhumunul kanla.
2904250082	Biglan inlumatêngaꞌ malakasaꞌ dawêp. Sinabungkay mangamhakaꞌ alunaꞌ bangkang hinahakyan la, halus mapnun lanêmaꞌ ati.
2904260091	Hi Apu Jesus, dilag ha bukutan, natutuluy yan nakaunan. Buy pinukaw yan libun tagahunul na, “Mistru, lumbug kitamuy na! Ala ha ihip yuy ati?”
290427009f	Kaya napukaw ya buy ambala na ha dawêp, “Tênggên ka!” Buy ambala na ha dagat, “Tumining ka!” Ta tinênggên bayaꞌ dawêp buy tinuminingaꞌ dagat.
290428005f	Ambala na ha tagahunul na, “Angkaya kawu nalilimu? Awta, ala kawun pananampalataya kangku?”
290429006b	Nikalimu hila, buy ninununghung, “Hitalagyu kayay ati? Maski dawêp buy dagat, hinuhumunul ha utuh na.”
2905010058	Inlumatêng hilan Apu Jesus buy tawtagahunul na ha lipay dagat ha lutang libun Geraseno.
290502006b	Pagtabuy Apu Jesus ha bangka, hinalubung yan gihay liyaking sinuklutan anitu ibat ha liyangaꞌ lêbêngan.
290503005b	Buy istu yay nan namimirmi ha lêbêngan. Alan makagapuh kana maski pun kadinay gamitin la.
2905040097	Umnuy bisis yay nan kinadinaan ha gamêt buy bitih. Nuwa pinagbubuytu nay kadina buy pinaghihira nay tanikala ha gamêt na. Alay nan makabênbên kana.
2905050072	Allêw ta yabi, dilag ya ha lêbêngan buy kabungꞌuyanan, nagbubungꞌu buy pinaghuhugat nan bawbatuy nawini na.
290506004a	Hin natamulaw hi Apu Jesus liyaki, inlumukhu yan nagdani kana ta nagluhud.
29050700f6	Ambalan Apu Jesus ha anitu, “Haka anitu, magꞌalih ka ha tawung in!” Malakasaꞌ imbungꞌun liyaki, “Hita pakialam mu kangku, Apu Jesus ya Anak Katagꞌay tagꞌayan Apu Diyus. Mangaku ka kangku, ha lagyun Apu Diyus, ah mu ku pairapan.”
290509005a	Tinanung yan Apu Jesus, “Hita lagyu mu?” Tinumbay ya, “Hakuy kawan ta dêla kami.”
29050a004e	Nagmamakaingaluy anitu kan Apu Jesus, “Andi yu kami paalihin ha lutan ti.”
29050b004b	Ha alwan kadayuan, mayin nanangana mamhakaꞌ kawan babuy, ha dalisdis bud.
29050c005a	Nagmakaingalu hila, “Nu puwidi paulayan yu kami yanan magpahuk ha libun babuyaꞌ tu.”
29050d00ab	Kaya pinaulayan hilan Apu Jesus. Nagꞌalih hila ha liyaki ta nagpahuk ha libun babuy. Nipanlumukhuy luwan libuy babuy palunghun ha bud, patabuy ha dagat buy nangalêmêh.
29050e008b	Hay mangalagan babuyaꞌ naman, nipanlumukhu buy imbalitay nangyari angga ha banwa. Kaya naku istuy tawtawu taêmên matandanaꞌ nangyari.
29050f00c1	Pangalatêng la kan Apu Jesus, naakit lay liyaking ibat sinuklutan anitu ya pakaitnu. Nakabaru yay na buy matinuy nay ihip. Buy nalimuy tawtawu ha kapangyarian Apu Jesus ya nakapagpaalih anitu.
2905100067	Hay nangyari ha tawung sinuklutan anitu buy ha bawbabuy, ingkuwintun nakaakit ha tawtawung kapilatêng.
290511004e	Kaya pinakinunghungan la hi Apu Jesus, “Magꞌalih kawuy na kayti kanyan.”
290512006e	Hin maghakayana hi Apu Jesus ha bangka, nakinunghung kanay liyaking ginumaling, “Makiawyun hakuy na kayu.”
29051300ad	Nuwa alwan nalabay hi Apu Jesus. Nakun, ambala na ha liyaki, “Muli ka tana kayu, ta ibalita mu kanlay laataꞌ ginawa kamun Panginuun buy nu pakapakun kan kinaingalwan.”
29051400a5	Kaya nagꞌalihaꞌ liyaki, impamalita na ha sampung banwa nu bawgêniꞌ Decapolis, hay laataꞌ ginawa kanan Apu Jesus. Nalgangaꞌ laataꞌ nakalêngên nangyari.
2905150059	Hin nagbalik hi Apu Jesus ha lipay dagat, pinibubuntunan yan kadlan tawu ha pingit dagat.
290516007c	Hi Jairong namumunu ha biyag pamititipunan Hawjudio, naku mêt istu. Pagkaakit na kan Apu Jesus, nagluhud ya ha bitihan ati.
29051700b3	Nagmakaingalu ya kana, “Apu Jesus, naghihingaluy anak kun dalagitaꞌ. Nu maari hana, maku kawu kanyan ta ipatung yuy gamêt yu kana takayꞌêmên gumaling ya buy mabyay ya.”
2905180047	Hin nakilaku ya kana, hinunul yan kadlan tawu buy dinalêhêkhêkan ya.
2905190037	Mayin gihay babayi istuy labinluwan tawunanan dinadaya.
