0100000010	Яритилиш
01011600fc	Худа бу җанлиқларға бәхит-бәрикәт ата қилип: «Нәсиллинип, көпийип, деңиз сулирини толдуруңлар, учар-қанатларму йәр йүзидә көпәйсун» деди.
0101170063	Шу тәриқидә кәч билән сәһәр өтти, бу бәшинчи күн болди.
010118014b	Худа йәнә: «Йәр җаниварларни өз түрлири бойичә чиқарсун — мал-чарвиларни, өмилигүчи җаниварларни вә явайи һайванларни өз түрлири бойичә апиридә қилсун» — девиди, дәл шундақ болди.
0101190173	Шундақ қилип Худа йәрдики явайи һайванларни өз түрлири бойичә, мал-чарвиларни өз түрлири бойичә вә йәр йүзидә өмилигүчи барлиқ җаниварларни өз түрлири бойичә яратти. Худа буниң яхши болғанлиғини көрди.
01011a01bf	Андин Худа: «Өз сүрәт-образимизда, Бизгә охшайдиған қилип инсанни яритайли. Улар деңиздики белиқларға, асмандики учар-қанатларға, барлиқ мал-чарвиларға, пүткүл йәр йүзигә вә йәр йүзидики барлиқ өмилигүчи җаниварларға егидарчилиқ қилсун» деди.
01011b00cc	Шундақ қилип, Худа инсанни Өз сүрәт-образида яратти; Уни Өзиниң сүритидә яратти; Уларни әркәк-чиши қилип яратти.
01011c01a0	Худа уларға бәхит-бәрикәт ата қилип: «Силәр нәсиллинип, көпийип, йәр йүзини толдуруп бойсундуруңлар; деңиздики белиқлар, асмандики учар-қанатларға, шуниңдәк йәр йүзидә жүридиған һәр бир һайванларға егидарчилиқ қилиңлар» деди.
01011d010c	Андин Худа йәнә: «Мана, Мән пүткүл йәр йүзидики уруқлуқ отяшлар билән уруқлуқ мевә беридиған һәр бир дәрәқләрни силәргә озуқлуқ болсун дәп бәрдим;
01011e0185	шундақла йәрдики барлиқ җаниварлар билән асмандики барлиқ учар-қанатлар вә йәр йүзидә барлиқ өмилигүчиләргә, йәни барлиқ җан-җаниварларға озуқлуқ болсун дәп барлиқ гүл-гияларни бәрдим» девиди, дәл шундақ болди.
01011f0118	Худа яратқанлириниң һәммисигә сәпселип қариди, вә мана буларниң һәммиси наһайити яхши болған еди. Шу тәриқидә кәч билән сәһәр өтти, бу алтинчи күн болди.
0102010096	Шундақ қилип асман билән зимин, пүткүл мәвҗудатлири билән қошулуп яритилип болди.
01020200c2	Худа йәттинчи күнигичә қилидиған ишини тамамлиди. У йәттинчи күни барлиқ яритиш ишини тохтитип арам алди.
01020300f7	Йәттинчи күни Худа барлиқ яритиш ишлиридин арам алған күн болғанлиғи үчүн, шу күнни бәхитлик күн қилип, уни «муқәддәс күн» дәп бекитти.
01020400c6	Пәрвәрдигар Худа зимин билән асманни яратқан күнидә, асман-зиминниң яритилиш җәряниниң тарихлири мундақ: —
0102050116	Зиминда техи һеч гүл-гия, йәрдә һеч отяш үнмигән еди; чүнки Пәрвәрдигар Худа йәр йүзигә һөл-йеғин яғдурмиған еди, шундақла йәр терийдиған адәмму йоқ еди.
0102060066	Лекин йәрдин булақ сүйи чиқип, тамам йәр йүзини суғарди.
01020700ed	Андин Пәрвәрдигар Худа адәмни йәрниң тописидин ясап, һаятлиқ нәпәсини униң бурниға пүвлиди; шуниң билән адәм тирик бир җан болди.
01020800d7	Андин кейин Пәрвәрдигар Худа мәшриқ тәрәптә Ерәм дегән җайда бир бағ бена қилип, ясиған адәмни шу йәргә орунлаштурди.
0102090165	Пәрвәрдигар Худа йәрдин көзни қамлаштуридиған чирайлиқ, [мевилири] йейишлик һәр хил дәрәқни үндүрди; у йәнә бағниң оттурисида «һаятлиқ дәриғи» вә «яхши билән яманни билгүзгүчи дәрәқ»ни үндүрди.
01020a008c	Бағни суғиришқа Ерәмдин бир дәрия еқип чиқти; андин бөлүнүп, төрт еқин болди.
01020b00a3	Биринчи еқинниң нами Пишон болуп, алтун чиқидиған пүткүл Һавилаһ зиминини айлинип өтиду.
01020c009f	Бу жутниң алтуни наһайити есил еди; шу йәрдә пурақлиқ девирқай билән ақ һеқиқму чиқиду.
01020d007f	Иккинчи дәрияниң нами Гиһон болуп, пүткүл Куш зиминини айлинип өтиду.
01020e00b0	Үчинчи дәрияниң нами Диҗлә болуп, Ашурниң шәрқидин еқип өтиду, төртинчи дәрияниң нами Әфрат еди.
01020f00a4	Пәрвәрдигар Худа адәмни елип Ерәм беғиға ишләп, пәрвиш қилсун дәп уни шу йәргә қоюп қойди.
010210009d	Пәрвәрдигар Худа адәмгә әмир қилип: бағдики һәр бир дәрәқ мевилиридин халиқиниңчә йә;
01021100d3	амма «яхши билән яманни билгүзгүчи дәрәқ»ниң мевисидин йемигин; чүнки униңдин йегән күнүңдә җәзмән өлисән, — деди.
01021200fc	Андин Пәрвәрдигар Худа йәнә сөз қилип: — Адәмниң ялғуз туруши яхши әмәс; Мән униңға мас келидиған бир ярдәмчи һәмраһни ясап берәй, — деди.
01021301e8	Пәрвәрдигар Худа тупрақтин даладики барлиқ җаниварлар билән асмандики һәммә учар-қанатларни ясиған еди; уларға адәмниң немә дәп ат қойидиғанлиғини билиш үчүн, У уларни адәмниң алдиға кәлтүрди. Адәм һәр бир җаниварға немә дәп ат қойған болса, униң ети шу болуп қалди.
0102140145	Бу тәриқидә адәм һәммә мал-чарвиларға, асмандики учар-қанатларға вә даладики һәр бир җаниварларға ат қойди; вәһаләнки, адәм өзигә мас келидиған һеч бир ярдәмчи һәмраһ учратмиди.
0102150124	Шуниң билән Пәрвәрдигар Худа адәмгә бир қаттиқ уйқа салди; у ухлап қалди. У ухлаватқанда, У униң биқинидин бир аз елип, андин униң орнини әт-гөш билән етип қойди.
01021600c5	Шуниң билән Пәрвәрдигар Худа адәмниң биқинидин алған шу қисимдин бир аялни ясап, уни адәмниң қешиға әкәлди.
01021700e4	Адәм ата хошал болуп: — Мана бу сүйәклиримдики сүйәк, етимдики әт болғач, «аял» дәп аталсун; чүнки у әрдин елинғандур, — деди.
01021800a8	Шуниң үчүн әр киши ата-анисидин айрилип, өз аялиға бағлинип бир болуп, иккиси бир тән болиду.
010219006f	Адәм ата билән аяли һәр иккиси ялаңач болсиму, һеч уялмайтти.
010301015e	Йәр йүзидә илан Рәб Пәрвәрдигар яратқан даладики һайванларниң һәммисидин һейлигәр еди. У аялдин: — Худа растинла бағдики дәрәқләрниң һеч қайсисиниң мевисидин йемәңлар, дедиму? — дәп сориди.
0103020082	Аял иланға җавап берип: — Бағдики дәрәқләрниң мевилирини йесәк болиду.
01030300eb	Амма бағниң оттурисидики дәрәқниң мевиси тоғрисида Худа: «Буниңдин йемәңлар, қолму тәккүзмәңлар, болмиса өлисиләр» дегән, деди.
0103040050	Илан аялға: — Ундақ әмәс! Һәргиз өлмәйсиләр!
0103050105	Бәлки силәр уни йегән күнүңларда, Худа көзүңларниң ечилип, Худаға охшаш яхши билән яманни билидиған болуп қалидиғанлиғиңларни билиду, — деди.
010306018d	Аял дәрәқниң [мевисиниң] йемәклик үчүн яхшилиғини, униң көзни қамлаштуридиғанлиғини көрүп, һәмдә дәрәқниң адәмни әқиллиқ қилидиған җәлипкарлиғини көрүп, мевидин йеди вә униңдин йенида турған еригиму бәрди; уму йеди.
0103070122	Йейиши биләнла һәр иккисиниң көзлири ечилип, өзлириниң ялаңач екәнлигини билип, әнҗир йопурмақлирини елип бир-биригә улап тикип, өзлиригә япқуч қилип тартти.
0103080150	Күн салқинлиғанда, улар Пәрвәрдигар Худаниң бағда маңған шәписини аңлап қелип, адәм аяли билән Пәрвәрдигар Худаниң һазир болғинидин қечип бағдики дәрәқләрниң арисиға йошурунувалди.
0103090080	Лекин Пәрвәрдигар Худа товлап адәмни чақирип униңға: Сән нәдә? — деди.
01030a00c3	Адәм ата җавап берип: — Мән бағда шәпәңни аңлап, ялаңач турғиним үчүн қорқуп кетип, йошурунувалдим, — деди.
01030b00d8	[Худа] униңға: — Ялаңач екәнлигиңни саңа ким ейтти? Мән саңа йемә, дәп әмир қилған дәрәқниң мевисидин йедиңму-я? — деди.
01030c00c6	Адәм җавап берип: — Сән маңа һәмраһ болушқа бәргән аял дәрәқниң мевисидин маңа бәргән еди, мән йедим, — деди.
01030d00da	Пәрвәрдигар Худа аялға: — Бу немә қилғиниң? — деди. Аял җавап берип: — Илан мени алдап аздурса, мән йәп саптимән, — деди.
01030e0180	Пәрвәрдигар Худа иланға мундақ деди: — «Бу қилғиниң үчүн, Сән һәммә мал-чарвилардин, Даладики барлиқ һайванатлардин бәкрәк ләнәткә қалисән; Қосиғиң билән беғирлап меңип, Өмрүңниң барлиқ күнлиридә топа йәйсән.
01030f014e	Вә мән сән билән аялниң арисиға, Сениң нәслиң билән аялниң нәслиниң арисиға өчмәнлик салимән; У сениң бешиңни дәссәп зәхимләндүриду, Сән қопуп униң тапинини [чеқип] зәхимләндүрисән».
010310015a	Андин Худа аялға: — «Сениң һамилдарлиғиңниң җапа-мушәққәтлирини көпәйтимән; Сән қаттиқ толғақ ичидә бошинисән; Сән ериңдин үстүн турушқа һәвәс қилсаңму, У үстүңдин ғоҗилиқ қилиду» — деди.
01031101b7	Андин У Адәм атиға: — «Сән аялиңниң сөзигә қулақ селип, Мән саңа йемә, дәп әмир қилған дәрәқтин йегиниң түпәйлидин, Сениң түпәйлиңдин йәр-тупрақ ләнитимгә учрайду; Өмрүңниң барлиқ күнлиридә пәқәт җапалиқ ишләпла, андин униңдин озуқлинисән.
010312009d	Йәр саңа тикән билән қамғақ үндүриду; Шундақтиму сән йәрдики зираәт-отяшларни йәйсән.
010313012e	Таки сән тупраққа қайтқичә йүз-көзүң тәргә чүмгәндә, андин нан йейәләйсән; Чүнки сән әсли тупрақтин елинғансән; Сән әслидә топа болғач, Йәнә топиға қайтисән» — деди.
010314009e	Униң аяли барлиқ җан егилириниң аниси болидиғини үчүн адәм униңға «Һава» дәп ат қойди.
01031500a7	Пәрвәрдигар Худа Адәм ата билән униң аялиға һайван терилиридин кийим қилип кийдүрүп қойди.
0103160177	Пәрвәрдигар Худа сөз қилип: — Мана, адәм Бизләрдин биригә охшап қалди, яхши билән яманни билди. Әнди қолини узитип һаятлиқ дәриғидин елип йәвелип, та әбәткичә яшавәрмәслиги үчүн [уни тосушимиз керәк], деди.
010317012d	Шуниң билән Пәрвәрдигар Худа уни Ерәм бағдин қоғлап чиқиривәтти; шундақ қилип уни йәргә ишләйдиған, йәни өзи әсли апиридә қилинған тупраққа ишләйдиған қилип қойди.
010318014c	Адәмни қоғливетип, һаятлиқ дәриғигә баридиған йолни муһапизәт қилиш үчүн, у Ерәм беғиниң мәшриқ тәрипигә керубларни вә төрт тәрәпкә пирқирайдиған ялқунлуқ бир шәмшәрни қоюп қойди.
01040100e9	Адәм ата аяли Һава билән биллә болди; Һава һамилдар болуп Қабилни туғуп: «Мән бир адәмгә егә болдум — У Пәрвәрдигардур!» — деди.
01040200a2	Андин у йәнә Қабилниң иниси Һабилни туғди. Һабил падичи болди, Қабил болса териқчи болди.
01040300d4	Бекитилгән шундақ бир вақит-сааттә шундақ бир иш болдики, Қабил тупрақниң һосулидин Пәрвәрдигарға һәдийә кәлтүрди.
01040400fd	Һабилму падисидин қойлириниң тунҗилиридин, йәни уларниң йеғидин һәдийә сунди. Пәрвәрдигар Һабилни вә униң сунған һәдийәсини қобул қилди.
01040500b0	Лекин Қабил вә униң сунғиниға қаримиди. Шу вәҗидин Қабилниң толиму аччиғи келип, чирайи тутулди.
01040600a3	Шуниң билән Пәрвәрдигар Қабилға: Немишкә аччиқлинисән? Немә үчүн чирайиң тутулуп кетиду?
010407015f	Әгәр дурус иш қилсаң, сән көтирилмәмсән? Лекин дурус иш қилмисаң, мана гуна ишик алдида [сени пайлап] беғирлап ятиду, у сени өз илкигә алмақчи болиду; лекин сән униңдин ғалип келишиң керәк, деди.
01040800d7	Қабил иниси Һабилға: «Далиға чиқип келәйли!» деди. Далада шу вақиә болдики, Қабил иниси Һабилға қол селип, уни өлтүрди.
01040900c7	Пәрвәрдигар Қабилға: Иниң Һабил нәдә? — дәп сориди. У җавап берип: Билмәймән, мән инимниң баққучисиму? — деди.
01040a0095	Худа униңға: — Сән немә қилдиң? Мана, иниңниң қени йәрдин маңа пәряд көтириватиду!
01040b00b6	Әнди иниңниң қолуңда төкүлгән қенини қобул қилишқа ағзини ачқан йәрдин қоғлинип, ләнәткә учрайсән.
01040c00d6	Сән йәргә ишлисәңму у буниңдин кейин саңа қуввитини бәрмәйду; сән йәр йүзидә сәрсан болуп, сәргәрдан болисән, — деди.
01040d009e	Буни аңлап Қабил Пәрвәрдигарға җавап қилип: — Мениң бу җазайимни адәм көтирәлмигидәк!
01040e0164	Мана, Сән бүгүн мени йәр йүзидин қоғлидиң, мән әнди Сениң йүзүңдин йошурунуп жүримән; йәр йүзидә сәрсән болуп сәргәрданлиқта жүримән; шундақ болидуки, кимла мени тепивалса, өлтүрүветиду!, — деди.
01040f019b	Лекин Пәрвәрдигар униңға җавап берип: — Шундақ болидуки, кимки Қабилни өлтүрсә, униңдин йәттә һәссә интиқам елиниду, — деди. Шуларни дәп Пәрвәрдигар Қабилға учриған бириси уни өлтүрүвәтмисун дәп униңға бир бәлгү қоюп қойди.
01041000cf	Шуниң билән Қабил Пәрвәрдигарниң һозуридин чиқип, Ерәмниң мәшриқ тәрипидики Нод дегән жутта олтирақлишип қалди.
0104110127	Қабил аяли билән биллә болуп, аяли һамилдар болуп Һанохни туғди. У вақитта Қабил бир шәһәр бена қиливататти; у шәһәрниң намини оғлиниң исми билән Һанох дәп атиди.
01041200bf	Һанохтин Ирад төрәлди, Ирадтин Мәһуяил төрәлди, Мәһуяилдин Мәтушаил төрәлди, Мәтушаилдин Ләмәх төрәлди.
010413008b	Ләмәх өзигә икки хотун алди. Бириниң исми Адаһ, йәнә бириниң исми Зиллаһ еди.
0104140083	Адаһ Ябални туғди. У чедирда олтиридиған көчмән малчиларниң бовиси еди,
0104150087	униң инисиниң исми Юбал еди. Бу чилтар билән нәй чалғучиларниң бовиси еди.
01041600f4	Зиллаһ йәнә Тубал-қайин дегән бир оғулни туғди. У мис-төмүр әсвапларни соққучи еди. Тубал-Қайинниң Наамаһ исимлиқ бир сиңлиси бар еди.
010417018c	Ләмәх болса аяллириға сөз қилип: — «Әй Адаһ билән Зиллаһ, сөзүмни аңлаңлар! Әй Ләмәхниң аяллири, гепимгә қулақ селиңлар! Мени зәхимләндүргини үчүн мән адәм өлтүрдүм, Тенимни зедә қилғанлиғи үчүн бир жигитни өлтүрдүм.
01041800b5	Әгәр Қабил үчүн йәттә һәссә интиқам елинса, Ләмәх үчүн йәтмиш йәттә һәссә интиқам елиниду!» — деди.
0104190138	Адәм ата йәнә аяли билән биллә болди. Аяли бир оғул туғуп, униңға Шет дәп ат қоюп: Қабил Һабилни өлтүрүвәткини үчүн Худа униң орниға маңа башқа бир әвлат тикләп бәрди, деди.
01041a00e5	Шеттинму бир оғул туғулди; у униңға Енош дәп ат қойди. Шу вақиттин тартип адәмләр Пәрвәрдигарниң намиға нида қилишқа башлиди.
01050100c0	Бу Адәм атиниң әвлатлириниң нәсәбнамисидур: — Худа инсанни яратқан күнидә, уни Өзигә охшаш қилип яратти.
01050200e5	У уларни әр җинис вә аял җинис қилип яритип, уларға бәхит-бәрикәт ата қилип, яритилған күнидә уларниң намини «адәм» дәп атиди.
01050300e4	Адәм ата бир йүз оттуз яшқа киргәндә униңдин өзигә охшайдиған, өз сүрәт-образидәк бир оғул төрәлди; у униңға Шет дәп ат қойди.
01050400a8	Шет туғулғандин кейин Адәм ата сәккиз йүз жил өмүр көрүп, униңдин [йәнә] оғул-қизлар төрәлди.
0105050072	Адәм атимиз җәмий тоққуз йүз оттуз жил күн көрүп, аләмдин өтти.
010506005d	Шет бир йүз бәш яшқа киргәндә униңдин Енош төрәлди.
01050700ac	Енош туғулғандин кейин Шет сәккиз йүз йәттә жил өмүр көрүп, униңдин [йәнә] оғул-қизлар төрәлди.
0105080066	Шет җәмий тоққуз йүз он икки жил күн көрүп, аләмдин өтти.
0105090059	Енош тохсән яшқа киргәндә униңдин Кенан төрәлди.
01050a00b0	Кенан туғулғандин кейин, Енош сәккиз жүр он бәш жил өмүр көрүп, униңдин йәнә оғул-қизлар төрәлди.
01050b0061	Енош җәмий тоққуз йүз бәш жил күн көрүп, аләмдин өтти.
01050c0063	Кенан йәтмиш яшқа киргәндә униңдин Маһалалел төрәлди.
01050d00ba	Маһалалел туғулғандин кейин Кенан сәккиз йүз қириқ жил өмүр көрүп, униңдин [йәнә] оғул-қизлар төрәлди.
01050e0061	Кенан җәмий тоққуз йүз он жил күн көрүп, аләмдин өтти.
01050f0066	Маһалалел атмиш бәш яшқа киргәндә униңдин Ярәд төрәлди.
01051000b8	Ярәд туғулғандин кейин Маһалалел сәккиз йүз оттуз жил өмүр көрүп, униңдин [йәнә] оғул-қизлар төрәлди.
0105110078	Маһалалел җәмий сәккиз йүз тохсән бәш жил күн көрүп, аләмдин өтти.
010512006e	Ярәд бир йүз атмиш икки яшқа киргәндә униңдин Һанох төрәлди.
01051300a3	Һанох туғулғандин кейин Ярәд сәккиз йүз жил өмүр көрүп, униңдин йәнә оғул-қизлар төрәлди.
010514006e	Ярәд җәмий тоққуз йүз атмиш икки жил күн көрүп, аләмдин өтти.
0105150068	Һанох атмиш бәш яшқа киргәндә униңдин Мәтушәлаһ төрәлди.
01051600bb	Мәтушәлаһ туғулғандин кейин Һанох үч йүз жилғичә Худа билән бир йолда меңип, йәнә оғул-қизларни тапти.
0105170080	Һанохниң [йәр йүзидә] барлиқ көргән күнлири үч йүз атмиш бәш жил болди;
01051800c6	У Худа билән бир йолда меңип яшайтти; у [туюқсиз көздин] ғайип болди; чүнки Худа уни Өз йениға елип кәткән еди.
010519007c	Мәтушәлаһ бир йүз сәксән йәттә яшқа киргәндә униңдин Ләмәх төрәлди.
01051a00b8	Ләмәх туғулғандин кейин Мәтушәлаһ йәттә йүз сәксән икки жил өмүр көрүп, униңдин оғул-қизлар төрәлди.
01051b007c	Мәтушәлаһ җәмий тоққуз йүз атмиш тоққуз жил күн көрүп, аләмдин өтти.
01051c0190	Ләмәх бир йүз сәксән икки яшқа киргәндә бир оғул тепип, униң исмини Нуһ атап: — Пәрвәрдигар тупраққа ләнәт қилди; шуңа биз [йәргә] ишлигинимиздә һәмдә қоллиримизниң җапалиқ әмгигидә бу бала бизгә тәсәлли бериду, — деди.
01051e00af	Нуһ туғулғандин кейин Ләмәх бәш йүз тохсән бәш жил өмүр көрүп, униңдин йәнә оғул-қизлар төрәлди.
01051f0072	Ләмәх җәмий йәттә йүз йәтмиш йәттә жил күн көрүп, аләмдин өтти.
0105200078	Нуһ бәш йүз яшқа киргәндин кейин, униңдин Шәм, Һам вә Яфәт төрәлди.
01060100b4	Вә шундақ болдики, инсанлар йәр йүзидә көпийишкә башлиғанда, шундақла қизларму көпләп туғулғанда,
01060200d0	Худаниң оғуллири инсанларниң қизлириниң чирайлиқлиғини көрүп, халиғанчә таллап, өзлиригә хотун қилишқа башлиди.
010603014f	У вақитта Пәрвәрдигар сөз қилип: — — Мениң Роһум инсанлар билән мәңгү күрәш қиливәрмәйду; чүнки инсан әттур, халас. Кәлгүсидә уларниң өмри пәқәт бир йүз жигирмә яштин ашмисун! — деди.
010604019c	Шу күнләрдә (вә шундақла кейинки күнләрдиму), Худаниң оғуллири инсанларниң қизлириниң йениға берип, улардин балиларни тапқинида, гигантлар йәр йүзидә пәйда болди. Булар болса қедимки заманлардики даңлиқ палван-батурлар еди.
010605010d	Пәрвәрдигар инсанниң өткүзүватқан рәзиллиги йәр йүзидә көпийип кәткәнлигини, уларниң көңлидики нийәтлириниң һәр қачан яман болуватқинини көрди.
01060600af	Шуниң билән Пәрвәрдигар йәр йүзидә адәмни апиридә қилғиниға пушайман қилип, көңлидә азапланди.
01060701a6	Буниң билән Пәрвәрдигар: — Өзүм яратқан инсанни йәр йүзидин йоқитимән — инсандин тартип мал-чарвиларғичә, өмилигүчи һайванлардин асмандики қушларғичә, һәммисини йоқ қилимән; чүнки Мән уларни яратқинимға пушаймән қилдим, — деди.
010608006c	Лекин Нуһ болса Пәрвәрдигарниң нәзиридә шәпқәт тапқан еди.
01060900f0	Нуһ вә униң иш-излири төвәндикичә: — Нуһ һәққаний, өз дәвридикиләр арисида әйипсиз адәм еди; Нуһ Худа билән бир йолда меңип яшайтти.
01060a004e	Нуһтин Шәм, Һам, Яфәт дегән үч оғул төрәлди.
01060b0094	Пүткүл җаһан Худаниң алдида рәзиллишип, һәммә йәр зораванлиққа толуп кәткән еди.
01060c00e5	Худа йәр йүзигә нәзәр селивиди, мана, җаһан рәзилләшкән еди; чүнки барлиқ әт егилириниң йәр йүзидә қиливатқини юзуқчилиқ еди.
01060d0163	Шуниң билән Худа Нуһқа: — Мана, алдимға барлиқ әт егилириниң заваллиғи йетип кәлди; чүнки пүткүл йәр-җаһанни уларниң сәвәвидин зораванлиқ қаплиди. Мана, Мән уларни йәр билән қошуп һалак қилимән.
01060e00ce	Әнди сән өзүңгә гофәр яғичидин бир кемә ясап, кеминиң ичидә бөлмә-ханиларни қилип, ичи-тешини қаримай билән суга.
01060f00a8	Сән уни шундақ ясиғин: — Узунлуғи үч йүз гәз, кәңлиги әллик гәз вә егизлиги оттуз гәз болсун.
010610011c	Кеминиң пешайвини астиға бир очуқчилиқ яса, униң егизлиги бир гәз болсун; ишигини кеминиң йениға орунлаштур; кемини асти, оттура вә үсти қилип үч қәвәт яса.
0106110162	Чүнки мана, Мән Өзүм асманниң астидики һаятлиқ тиниқи барлиги һәр бир әт егисини һалак қилидиған су топанни йәр йүзигә кәлтүримән; буниң билән йәр йүзидики барлиқ мәхлуқлар тиниқидин тохтайду.
01061200c2	Лекин сән билән әһдәмни түзимән. Сән өзүң, оғуллириң, аялиң вә келинлириңни елип бирликтә кемигә кириңлар.
0106130102	Өзүң билән тәң тирик сақлап қелиш үчүн, барлиқ җандарлардин һәр қайсисидин бир җүп, йәни әркикидин бирини, чишидин бирини кемигә елип киргин;
0106140124	Тирик қелиш үчүн қушларниң һәр бир түрлиридин, мал-чарвиларниң һәр бир түрлиридин вә йәрдә өмилигүчи җаниварларниң һәр бир түрлиридин бир җүпи қешиңға кириду.
010615009a	Өзүң вә уларниң озуқлуғи үчүн һәр хил йемәкликләрдин елип, йениңға ғәмлигин, — деди.
0106160076	Нуһ шундақ қилди; Худа өзигә буйруған һәммә ишни у беҗа кәлтүрди.
01070100ea	Пәрвәрдигар Нуһқа мундақ деди: — «Сән пүтүн өйдикилириң билән кемигә киргин; чүнки бу дәвирдә алдимда сени һәққаний дәп көрдүм.
01070201d6	Һәммә һалал һайванларниң әркәк-чишисидин йәттә җүптин, һарам һайванларниң әркәк-чишисидин бир җүптин елип, шуниңдәк асмандики учар-қанатларниңму әркәк-чишисидин йәттә җүптин елип, уларниң нәслини пүткүл йәр йүзидә тирик сақлаш үчүн өзүң билән биллә әкир.
01070400ee	Чүнки йәттә күндин кейин уда қириқ кечә-күндүз йәр йүзигә ямғур яғдуримән; Өзүм ясиған һәммә җаниварларни йәр йүзидин йоқитимән».
0107050081	Шуниң билән Нуһ Пәрвәрдигар униңға буйруғининиң һәммисигә әмәл қилди.
0107060057	Йәр йүзини топан басқанда Нуһ алтә йүз яшта еди.
010707009e	Топандин [қутулуп қелиш] үчүн Нуһ билән оғуллири, аяли вә келинлири биллә кемигә кирди.
010708016e	Һалал һайванлар болсун, һарам һайванлар болсун, қушлар билән йәрдә өмилигүчи җаниварлар болсун, [һәр бир түрдин] бир җүп-бир җүптин әркәк-чиши болуп, Худа Нуһқа буйруғандәк кемигә, Нуһниң қешиға кирди.
01070a0083	Вә шундақ болдики, йәттә күндин кейин, йәр йүзини топан бесишқа башлиди.
01070b0126	Нуһниң өмриниң алтә йүзинчи жили, иккинчи ейиниң он йәттинчи күнидә чоңқур деңизларниң тәглиридики барлиқ булақлар йерилип, асманниң пәнҗирилири ечилип кәтти.
01070c0061	Ямғур уда қириқ кечә-күндүз йәр йүзигә тохтимай яғди.
01070d00c5	Дәл ямғур башланған күни, Нуһ, Нуһниң Шәм, Һам, Яфәт дегән оғуллири, Нуһниң аяли билән үч келини кемигә кирди.
01070e01ab	Улар билән биллә һәр хил явайи һайванлар түр-түри бойичә, һәр хил мал-чарвилар түр-түри бойичә, йәрдә өмилигүчи һәр хил җаниварлар түр-түри бойичә вә һәр хил учар-қанатлар, йәни һәр хил қанатлиқ җаниварлар түр-түри бойичә кемигә кирди.
01070f00dc	Әт егилиридин, йәни барлиқ һаятлиқ тиниқи болған һәр хил җандарлардин, бир җүп-бир җүп болуп, кемигә нуһниң қешиға кирди.
