2800000003	Mat
280207006e	Ka ɗakhga Khiridus ad li tsatsǝgen ɓǝghanyan, ki nǝghda tsatsǝg tsin ad sarte tsa ǝmdlawala kwadladlen.
28020800b3	Ka ɓǝlatǝral dǝgal da Baitalkhami, ka ni, “Dam da nǝghamako ndǝghǝr nǝgh ad fitlen ɗussa nikur. Da tlarghǝr kur, ka kwara ke kur ki dǝgal kǝ ghǝrar da ɗabaɗab.”
28020900b4	Udzala tsitar ǝn tsǝn lav shika, ka dal itar. Kwadladle tsa nǝgha itar ǝn mbǝrtǝ kǝsena ǝn tǝ vuk tar. Ka gatars gata tsitar tlǝm sa tsin da tǝghǝr kǝ vake dǝ fitlen.
28020a0040	Nǝgha tsitar ad kwadladlen ka righǝf itar dǝ khwaɗǝga char.
28020b0118	Da tsitar da mǝghen, ka nǝgha tsitar fitlen zǝ Maryam bab sar, kalga itar juguv ǝn tǝ vuksar, ka ɗabanǝf itar. Ka vadana itar mbǝl jilaɗakh tar ka bara itar ad dawan zǝ tǝrshin ɗiz ai manavadal sǝgawal ǝn uf ai ɗakhdud frankinsens, zǝ ai ɗakhud Mir ǝn tlerna uf.
28020c0084	Ka gwiyagh itar ǝn tǝ tlǝrna ɗul da kǝstar, wirva tsa tǝkhatǝranud ǝn suwan kwarne, a ɗuwa itar gwiya daks da vak Khiridus.
28020d0105	Ən tǝ khal kǝ daldǝg tsitar, ka tlarghǝr zǝrɓǝla Yazhigǝl kǝ Yusuvu ǝn suwan, avin, “Tsiya, zǝɓa ad fitl na zǝ bab sar khwaya dǝgal da Masar. Giɗam giɗǝn vin kwa kwara kurkhai ka saks, wirva da gatagata Khiridus ad zǝrna kǝ kǝɗakǝɗ.”
28020e004b	Ka tsiyǝf Yusuvu ɓǝf ad fitlen zǝ babsar kǝviɗ, ka dal da khay Masar.
28020f00d0	Ka nndzǝgan ǝn vin da tǝ sarte a ǝmtsǝga Khiridus. Ina kǝ digit a dzaughǝr ki zǝɗa righada dǝge a kwarga Dadzikan ǝn tǝ dǝva dǝ ghay tlayangen kwarne, “A ɗakhadǝghǝr ǝn Masar ka zǝrar.”
2802100148	Katlga kǝ Khiridus kwarne raja kharghǝra liye tsa digit ǝn tǝghǝr kǝ kwadladlen, ka nguɗǝrǝv tsin char. Ka ɓǝlanǝf ad udakh kǝ khadzga ɗeghwa zǝr dǝɗungw ǝn Baitalkhami zai ǝn gǝdzar kǝsakhe tǝvǝgh, tsiyif ǝn tǝ vǝg mits da tǝ vunj, kalkala sarte tsa kwararkhai li tsatsǝgen ǝn tǝ ghǝr kǝ zǝren.
2802110027	A righif lave tsa kwarga Irimi tlayang;
280212009b	“Ka tsǝna tsena tsud ad kwind ǝn dlǝgh tsits. Kwinda tuwa ziwaziw, Rakhil ǝn tuwa wirva zarsar. A piyarwala kitlandagh rǝv. Wirva a ruga zar sar.”
280213005d	Tǝkhal kǝ ǝmtsa Khiridus, ka tlarghǝr zǝrɓǝla Yazhigǝl kǝ Yusuvu ǝn suwan ǝn Masar
2802140070	ni, “Tsiya ɓǝf ɓa dǝ fitlǝn zǝ bab sar gwiya daks da Izrail, wirva liye gat kǝɗ fitl na a ruwargan.”
2802150041	Ka tsiyif, ɓǝf ad fitlen zǝ babsar ka gwiya da khay ya Izrail.
28021600e2	Ai tsǝna tsin kwarne zǝr Khiridus, ai dakhdud Arkilayus kǝ chauga tlǝksa dad sar, ǝn man tlǝks ǝn khay ya Yakhudi, ka gǝdza tsin dǝgal da vinen. Wirva tsa tǝkhatǝranud ǝn suwana, ka khutsval da ǝntla khaya Galili.
2802170091	Ka dal da giɗǝn tlǝrna kǝsen ǝn ɗakhdud dǝ Nazarat. “Ki righada dǝge tsa kwarga tlayang kwarne, Zǝrna da ɗakha dǝ zil Nazarat ud.”
2803010070	Ən tǝ yanen kǝ sart, a sawal Yukhan dadak para ud da kwardu lav Yazhigǝl ǝn tǝghal ǝntla khay ya Yakhudi.
2803020043	Ni, “Pǝlam pǝla ghǝr, wirva tlǝksa Yazhigǝla a khǝrzgan.”
28030300b4	Tsa Yukhan dadake tsǝn kwara Ishay tlayang ad laven tǝghǝr tsin kwarne, “Kwinda ud ǝn tlǝkh ǝn tǝghal kwarne, ‘Ɗikamarna ɗul kǝ Dadzikan, Andz ger nǝv ɗulsar.’”
280304007f	Gabage talǝm Yukhan na a manava dǝ guj tlǝgwam. Nguɗan sambal ǝn tǝ khukw tsin. Dǝg zuwa sara tsǝvakwa zǝ mam tǝghal.
2803050076	Tǝkǝna udakh ya Wurshalim zǝ ǝntla Yakhudi daghan, zǝ daghan ǝntla khay zagh Urdun, ka sakhgawal itar da vaksar,
2803060043	ka kwarakh khaipakhtar itar, ka paratǝra para tsin ǝn zagh Urdun.
28030700c4	Ai vazga kǝ Yukhan ad Farisakh zǝ Sadukiyakh zikǝn sǝgawal da vaksar kǝ paratǝrapar, ka niya tsitar, “Kur zar ya pushakh. War kǝ khiɗakurf kǝ ngikh kuba rǝvakhuɗ Yazhigǝl nǝn saksi?
280308003e	Manam giɗe da ǝmdla kwarne a palga kur ghǝr ǝn khaipakhur.
280309009e	Dzamam ba ǝn khuɗur kwarne, ‘Dadǝnda Brakhim bi,’ Ən tǝkha kura tǝkha kǝ. Tǝkha Yazhigǝl kǝ vǝrɗarkhai zara kǝ Brakhim sǝgawal ǝn kurakhan.
28030a0069	Audzalud ǝn bars khil kǝ mbǝrt uf. Itsera kǝ ufe kwal yig zar charan ka ǝntlarsud kǝɗaghud da kar.
28030b00ec	“Ni ka ǝn para kura dǝ yu kǝ, kǝ mǝtlada kwarne a palga kur ghǝr, ude ndanga tǝghǝr tsǝka da saks ǝn tǝ khal tsǝk, ude itsa kimbak sar tǝkh ba ka kǝ ɓanǝf bi. In da para kuran dǝ Sǝɗikw Chuwaɗaɗan, zǝ kar tsugun.
28030c00a5	Khutan ad kwat kava sar, kǝ kav khi sar ǝn tǝ ghwuzay, ka dzanǝf ad khi, ɗidagh ǝn kuvur sar, ka ndǝghanan ad tlitl dǝ kare kwal tǝkha tsud kǝ kǝɗgan.”
28030d005d	Ən tǝ khalak yan ka sagha Yasu ǝn Galili, da vak Yukhan kǝ parapara tsud ǝn zagha Urdun.
28030e0073	Tsǝn na Yukhan ad gadlara gadl. Ka niya tsin, “Ka tsǝn nagha paraka para tsǝkha ka kha kǝ sagha da vakara?”
28030f0097	Ka ngawarkhai Yasu kwarne, “nalnǝgin ndǝk yan, wirva ndǝk yan khwaran kǝ righada dǝge ǝn nagha Yazhigǝl.” Khal kǝ yana ka khayanǝf Yukhan.
28031000bc	Ən tǝ khal kǝ Parandal tsud Yasu, madvin ǝn sǝgawal ǝn yu, tǝvin tǝvina ka ngurǝf garazhigǝl, ka nǝghan ad sǝɗikw Yazhigǝl ǝn sǝgadagh ndǝk kakur, sodagh da tǝghǝr tsin.
2803110070	Ka tsǝnud lava sǝgadagh ǝn gharazhigǝl kwarne, “Ina zǝrare ǝn waya kǝ, ǝn tsǝn zǝɗa sar ka char.”
280401004c	Ka fiwandal Sǝɗikw Chuwaɗaɗan ad Yasu da tǝghal kǝ kurakura kǝ wurdu.
2804020057	A zǝɓga Yasu ad ndǝl khǝna kul ufaɗ viɗa zǝ fatsi. Kǝ khala ka ndzikǝnǝf way.
2804030068	Ka sa wurdu niya tsin, “Da zǝr Yazhigǝl kha, kwarara kwara kǝ kurakhan nalnǝg itar kǝ dǝg zu.”
28040400b8	Ka ngawarkhe Yasu kwarne, “Vindzan ǝn kaɗkaɗ Yazhigǝl kwarne, ‘Uk ǝn safǝn tǝ dǝg zuwa kitakul bud bi, khekwa dǝ itsera kǝ lave ǝn sǝgawal ǝn ghay kǝ Yazhigǝl.’”
2804050073	Ka ɓala wurdu da dlǝmdla kǝs Chuwaɗaɗan ǝn Wurshalim, ka ɓoɓa tsin da tǝ ghǝr kǝ beɗem fǝta Yazhigǝl.
2804060109	Niya tsin, “Da zǝr Yazhigǝl kha,” ghǝdzǝvdagh ghǝdzǝva dǝg dagh da khay, wirva vindzan kwarne, “‘Da batra bǝg Yazhigǝl ad ndzǝɗa kǝ zarɓǝlakh sar kǝ kat kha kat. Ka da chau kha chawa itar dǝ dǝv tar. Khek kǝɗkhe kǝ kur ǝn tǝ sig.’”
280407005a	Ka nǝv Yasu tsin, “Vindzan tsugun kwarne, ‘Kura ba dǝ Dad zikan Yazhigǝla bi.’”
280408007e	Ka gwidǝn wurdu ad ɓoɓa dǝgo da tǝ tsǝɓan na kǝ ghay ghuɓ, ka mǝdlaran ad tlǝksakh lard zǝ zika khwara sar daghan.
280409005b	Ka niya tsin, “Da kǝla ke kha juguv ɗaba ke kh. Daghan dǝgakhana da bakha bǝg kǝ.”
28040a00a0	Ka nǝv Yasu tsin, Tsiya dǝgal ǝn van kha shatan, wirva vindzan kwarne, “‘Ɗabaɗaba Dad zikan Yazhigǝlakh, tsuguna in kitakul da manara kha tlǝr.’”
28040b0056	Khalak yana ka ɗuwars wurdu, ka sǝgdagh kǝ zarɓǝlakh Yazhigǝl da nǝgharu nǝgh.
28040c005a	Tsǝna kǝ Yasu kwarne a viyava Yukhan da sal, ka tsiya tsin dǝgal da Nazarat ǝn Galili.
28040d007b	Ka ɗuwars ad Nazarat, dal da giɗǝn Kafarnakhum, ai tǝvai ǝn tuk dǝlv ǝn tǝ ghala ǝntla khaya Zǝbulun zǝ Naftali.
28040e004b	Ki da righada lave kwarga Yazhigǝl ǝn tǝ dǝva dǝ Ishay tlayang kwarne,
28040f00ab	“Əntla khay mbǝrt Zebulun, zǝ dǝg Naftali ǝn Galili. Ən tǝ ɗul dǝlva Madateri, tangw da tǝ ǝntla khay zagha Urdun, Galili vake ǝn giɗda liye kwal Yakhudakh.
280410008c	Liye ǝn giɗǝn gurtl. Nǝgha tsitar kǝs kheɗaɗ char. Liye giɗǝn kǝs sǝɗikw fayam ǝmtsa. A mǝdlawala kheɗaɗa kes da vak tar.”
2804110090	Tsif tǝ yanen kǝ sart, a farsa Yasu ad kwardu lav Yazhigǝl, ǝn kwar kwarne, “Pǝlam pǝla ghǝr, wirva tlǝksa Yazhigǝl a khǝrzǝgan.”
28041200cb	Madǝv Yasu ǝn dǝgal ǝn tǝ kalam dǝlva Galili ma, ka nǝghanǝgha tsin zarbabakh mits, Simane ɗakhdud dǝ Bitrus zǝ zer bab sar Ndros. Ən ɗay sika vay kilf itar da dǝlv, wirva li vay kilf itar.
280413006b	Ka nǝv Yasu tsitar, “Gatamakǝs gat, da nakurar nǝg ka kǝ li khutsado ud ndǝkve ǝn vaya kur kilf.”
280414003d	Tǝvin tǝvina ka ɗuwars itar ad sikakh tar, ka gatars itar.
28041500c8	Din ǝn zu vuk dǝ dǝga, ka nǝghan ad yakhaya kǝ zarbabakh mits tsugun, ai Yakub zǝr Zabadi zǝ zer bab sar Yukhan. Ən peryu itar zǝ dad tar Zabadi, ǝn ɗika sikakh tar itar. Ka ɗakh tǝrkhai.
2804160043	Tǝvin tǝvina ka ɗuda itar peryu tar zǝ dad tar, ka gatars itar.
28041700d6	A gwayafkhai Yasu ǝn kǝs Galili daghan, ǝn tsagakhdu lav Yazhigǝl ǝn gud dzakhav Yakhudakh. Ka kwardu lav zǝɗǝn tǝghǝr kǝ tlǝksa yazhigǝl. Ən mbakha itsera kǝ khulf kuz, zǝ liye kwal yang kǝ udakh.
28041800ff	A tsa tǝ dǝva dǝ yan kǝ tlǝr ud ad Yasu ǝn khay ya Suri daghan. Ka zaɓardo li kwal yang ud zǝ liye ǝn tuk kuzakh sikh sikh sikh zǝ li khǝɓ dlaɗ, zǝ li sǝɗikw bǝzan, zǝ liye tlavarghǝr wurdu zǝ li ǝmtsa kalam vǝgh, a mbakhatru daghan.
28041900a7	A gatars dzakhava udakh zikǝn sǝgawal ǝn Galili, zǝ ǝntla khaya kǝsakh kǝlɗǝk, zǝ Wurshalim, zǝ ǝntla khaya Yakhudi, zǝva liye ǝn ghǝdzǝva zagha Urdun.
2805010067	Vazga kǝ Yasu a dzafkhai udakh zikǝn, do da tǝ gil, ka nndzǝgan. Ka saks kǝ furakh sar da vak sar,
2805020025	ka farsa tsagatǝra lava tsin kwarne;
2805030091	A batǝrghǝr Yazhigǝl ad bark kǝ liye ǝn tsa khǝtsala khǝtsa tar ǝn dǝgakhe ǝn nagha Yazhigǝl, Wirva tlǝksa gharazhigǝla da dǝg tar.
2805040041	Nǝg bark kǝ liye bazan rǝvakhuɗ. Wirva da kitla tǝra rǝvud.
2805050061	Nǝg bark kǝ liye gulandagh ghǝrtar, Da wurawura itar ad dǝgakhe manga Yazhigǝl ad lanji sar.
2805060053	Nǝg bark kǝ liye way man dǝgakhe ǝn nagha Yazhigǝl. Wirva da bagha tǝra bagh.
2805070067	Nǝg bark kǝ liye mǝdla kwiɗkwiɗǝrǝv. Wirva da mǝdla tǝra mǝdla Yazhigǝl ad kwiɗkwiɗǝrǝv.
2805080048	Nǝg bark kǝ liye chuwaɗaɗ rǝva tar. Da nǝghanǝgha itar Yazhigǝl.
280509004a	Nǝg bark kǝ liye matla giɗa khwiɗ. Da ɗakh tǝr dǝ zar Yazhigǝl ud.
28050a0077	Nǝg bark kǝ liye ǝn batǝrud dlaɗ wirvǝn man dǝgakhe ǝn nagha Yazhigǝl itar. Wirva tlǝksa Yazhigǝla dǝg tar.
28050b0094	Nǝg bark tsǝkur, madǝv udakh ǝn lakh kur lakh, zǝ bakura dlaɗ, zǝ ngatla filakh ǝn teghǝr tsǝkur sikh sikh sikh, wirva li gataks gata kur.
28050c00c6	Kwam khwaɗǝg zǝ panakha rǝv char, wirva da gǝmadu gǝma kur dǝg sigur zikǝn ǝn ghǝrazhigǝl, wirva a batra ndǝk yan ud dlaɗ ak tlayangakh Yazhigǝl liye tsa soghǝr chak tǝghǝr tsǝkur.
28050d00a0	Kuram tlǝgul lard. Da tǝkaghǝra tlǝgul zǝ nashnash sar, da wurondǝghǝr ndarud zǝɗa sari? Aghba dla dǝge ǝn tukuwin bi akwa ɗiduwud, ghǝdlapakh gud.
28050e0055	Kuram kheɗaɗ lard. Afke dlǝmdla kǝs ai khavǝn tǝ bǝɗar ǝn ɓǝghafǝkhai bi.
28050f008f	Na bud ǝn vǝdzanǝf kara kazaz ka khǝmbarghǝrud gagay bi, akwa bugud ǝn tǝ vak ghitsa sar vake da mǝdlaradin ɗul kǝ li mǝgh kheɗeɗ.
280510009a	Ndǝk yan tsugun, namal nǝg kheɗeɗ tsi kǝ udakh, wirva da nǝgha tsitar ad tlǝr khwarane manakur, da farghǝrafǝg itar kǝ Dadure ǝn ghǝrazhigǝl.
280511009b	Dzamamba kwarne a sodagh da kala ndzikhandzikh Mus zǝ dǝge vindzan ǝn kaɗkaɗ tlayangakh ba ka bi. A so da kala kala ba ka bi, a so kǝ regharegha kǝ.
280512009a	Kaɗi ǝn kwara kura kǝ, akwa mbasu ghǝrazhighǝl zǝ khay, nga itsa khǝɗikana kǝ lav ai da ɓǝlal ǝn dǝge a tsagdu Mus bi, kwa reghanaud itsauɗ.
2805130120	Wirva yan ɗaga ude kǝlanǝm itsa kitakul ǝn khǝɗikan nak ndzikha ndzikha khan, zǝ tsagardu kǝ udakh ad kǝla ndzikha ndzikha khan, da ɗakha dǝ khǝɗikan kǝ udud ǝn tlǝksa Yazhigǝl. Ude gatars, ka tsagardu kǝ udakh tsugun, da ɗakha dǝ zikan kǝ udud ǝn tlǝksa Yazhigǝl.
2805140090	Ən kwara kura kwara kǝ, da malga ba kur liye tsagdu nzikha nzikh Mus zǝ Farisakh kǝ kanadi bi, na kur daks da tlǝksa Yazhigǝl tsa ndar bi.
2805150089	Tsǝna tsǝkur a kwarar khai yud kǝ dzidzakh mar kwarne, kǝɗam ba safa itsawar bi, itsera kǝ ude ǝn kǝɗga saf, ka da takara lavud.
28051600f5	Ən tǝkha kura tǝkha kǝ, ude nguɗarva rǝv kǝ zǝr bab sar, ka da takara lavud. Tsugun, ude gamp kha niya kǝ zǝr bab sar, da ɓaɓud da tǝvuk li taka lav ya Yakhudakh. Ude ɗakh zǝr bab sar tsugun dǝ dlag, da kǝɗ dagh da kara fay ud.
2805170072	Wirva yan, dǝn bǝdu dǝg tsufa khǝn tǝ vak sadak, da dzamana kha kwarne nǝg dǝge ǝn tǝbur zǝ zǝrbaba gh,
2805180089	bǝga kha dǝg tsufaghen ndan ǝnt vak sadak. Dǝg dǝgal ndan da ɗikva zǝ zǝr babagh. Khalak yan ka saks kha da bǝdu dǝg tsufaghen.
2805190109	Da kǝlga udan ad juguvagh, kujaɗ ɗikfǝkhai kha zin tǝkur ǝn tǝghǝr kǝ dǝg, kǝda tsukwa tsukur ǝn tǝ vak takalaven. Da na ba ndǝk yan bi, ka da matlakha zǝ dadak takalav, dadak takalava tsuguna ka ɓǝkha da vak del, tsuguna ka nguɗakhai yud ǝn zaw.
28051a0068	Jir ǝn kwara kha kǝ, na ba itar da ɓǝlakhs bǝla bi, kwa pǝlgakha kwaɓ na daghan ai gatakhsud din.
28051b003a	A tsǝna tsǝkur a kwaravan kwarne, a ɗuwa man gwaragwar.
28051c0069	Ən kwara kura kwara ka kwarne, ude kǝmga dǝg khǝr, audzal ǝn manga gwaragwar zin ǝn rǝvakhuɗ sar.
28051d00a4	Da di dǝva kafagh ǝn bǝg khan da man khaip, ndǝɗadal ndǝɗa tlǝvarskh. Azǝgha bǝghal ǝn tlǝrna tlepel vǝghagh tǝghǝr kǝɗdagh ɗumba vǝghagh da kar.
28051e009b	Da dǝva kafagh ǝn bǝg khan da man khaip, ǝntlars kha tlǝvarskh. Azǝgha bǝghal ǝn tlǝrna tlepel vǝghakh tǝghǝr kǝɗdagh ɗumba vǝghagh da kar.
28051f0065	A gwidǝn ud kwara kwara kwarne, ude tǝkaghǝran zǝ nus sar, barari bara kaɗkaɗ tǝkaghǝra tsin.
28052000cc	Dǝge ǝn kwara kura ka in kwarne, da tǝkaghǝra udan zǝ nus sar dǝn tǝghǝr kǝ khaipa man gwaragwar bin bi, a ba da man gwaragwar. Itsawar ǝn ɓu nuse a tǝkaghǝra ze zil sar, gwaragwar ǝn manin.
2805210096	Dakhkana a tsǝna tsǝkur a kwarkhai ud kǝ dzidzakh mar kwarne, kǝla ba dǝ waɗe manga kha bi, kwa righanǝf kha waɗe tsa waɗga kha kǝ Dadzikan.
280522006f	Ai dǝge ǝn kwara kura ka in kwarne waɗam ba ɗikiɗiki bi, itsa dǝ gharazhigǝl, wirva vij giɗa Yazhigǝl.
2805230080	Waɗam ba dǝ khay tsugun bi, wirva vak bǝg siga sar kǝ Yazhigǝl, awana tsad Wurshalim wirva in dlǝmdla kǝs zikan kǝ shik.
2805240067	Waɗ ba dǝ ghǝrakh tsugun bi, wirva tǝkh bakha kǝ nandala guj kitakul kǝ maɗakw tsa kǝ lusan bi.
2805250069	Dǝge khwara kǝ kwara tsǝkur in kwarne, ana bi au, da ɓalin sig ǝn mbiyan a so ǝn vake da wurdu yan.
280526009c	Tsǝna tsǝkur a kwarga Yazhigǝl kwarne, da chiɓarnakha di kǝ ud, ka chiɓakhanud diyagh tsǝgun. Da lardarkha tliɗ kǝ ud, ka lakhdalud tliɗa tsǝgun.
28052700b5	Ai dǝge ǝn kwara kura ka in kwarne, da mana kurkhai udan ad ghaza pǝlama bi. Da ɗiyakhwal udan ad mekhwpengw ǝn tǝ diwa dǝva kaf, ka gwiyarnǝf khad diwa dǝva dleɓa tsugun.
2805280066	Da kǝlakhghǝr udan ad juguv wirva pǝrɗaghval gabagagh, ka bara kha zǝva khǝɗikana kǝ gabagagh.
2805290069	Da njǝghakhu dadak ndzǝɗan kǝ dǝgal da ǝntla fǝtǝl kitakul, ka dara dǝg kha ǝntla fǝtǝl mits.
28052a0068	Da takaɗga udan ad digit ǝn vakagh, barakh. Ude a sagh da takaɗ gǝmau ǝn vakagh tsugun, piyardu bi.
28052b005e	Tsǝna tsǝkur a kwarga Yazhigǝl kwarne, waya ad tlǝghǝrwitǝghagh, ɗuda kha dadak dawagh.
28052c005a	Dǝge kwara kura ka in kwarne wayam dadak dawur, mana matǝra ɗǝgau kǝ li bakura dlaɗ.
28052d00e1	Ən tǝ dǝva yan da nǝga kur kǝ zar Dadur ǝn gharazhigǝl, dadake ǝn bǝg fatsi da tǝvǝn tǝghǝr kǝ li kalali zǝ liye kwal kalali, tǝɗadagh ad yu gharazhigǝl tsugun da tǝghǝr kǝ li kanadi zǝ liye kwal kanadi.
28052e0080	Da uk liye ǝn way kur way ǝn waya kur, ira kǝ dǝg siga da bakurudi? Itsa liye ǝn dza khadama, ǝn mana ndǝkyan bakh itara?
28052f0085	Da uk zar babakhur ǝn nǝgardi kur, ai, uɗa manga kur mal kǝ yakhayi? Itsa liye kwal tsa Yazhigǝla ǝn mana ndǝk yan bakh itara?
2805300046	Wirva yan reghanyan nǝv giɗur ndǝkve reghan Dadur ǝn gharazhigǝl.
2806010094	Tsukwamana ghǝr, bamaru ba tlǝr kanadiyur kǝ di bi. Wirva da manga kur ndǝk yan, da gǝmadu ba kur dǝg sigur ǝn vak Dadur ǝn gharazhigǝl bi.
28060200e3	Wirva yan, da da bǝdu dǝg buti kh, ɓaldu bǝn ghay bi, ndǝk ai ǝn mana mbaɗirakh ǝn gud dzakhav zǝn tǝ ɗulakh bi, wirva kǝ dlǝba tǝra dlǝba tsud. Ən tǝkha kura tǝkha kǝ, audzala itar ǝn gǝmadu dǝg siga tar.
2806030069	Da ka da bǝdu dǝg buti kur kǝ dadake kwaldin, tsa ba dǝva dleɓagh ad dǝge ǝn mana dǝva kafagh bi.
280604006d	Bǝdu bǝgagha nalnǝgin ɓǝghanyan. Dadaghe ǝn nǝgha nǝgh ad ɗaga dǝge ɓǝghanyan, da bakha dǝg sig.
28060500cd	Da da ɗǝgawa kur, manam ba ndǝk mbaɗirakh bi, li way ɗǝgau ǝn vak ghits ǝn gud dzakhava zǝ tuk ɗul ki nǝghatǝra nǝgha kǝ udakh. Jir ǝn kwara kura kǝ, audzala itar ǝn gǝmadu dǝg siga tar.
28060600ab	Ai da da ɗǝgawakh, dǝg daks da gud, ka khǝɗardu kh. Ɗǝgawaru ɗǝga kǝ Dadaghe kwal ǝn nǝgha tsud. Dadaghe ǝn nǝgha dǝge manud ɓǝghanyan, da bakha dǝg sig.
