2800000008	Maatoosa
28020d00fa	Doloha baggafe yida asati bidaappe guye, Godaa kiitanchchoy Yoosefas amuhon qonccidi, “Heroodisi na7aa wodhanaw koyaa gisho dendda; ellesada na7aanne na7aa aayiw ekkada Gibxe biittaa ba. Ne simmana wodiya ta new odana gakkanaw yan gam77a” yaagis.
28020e004f	Hessa gisho, Yoosefi he qamman denddidi, na7aanne na7aa aayiw ekkidi Gibxe bis.
28020f008d	Nabiya doonan Xoossay, “Taani, ta na7aa, Gibxe biittafe xeegas” geetettida qaalay polettana mela Heroodisi hayqqana gakkanaw I yan de7is.
28021000fb	Hessafe guye, doloha baggafe yida asati iya cimmidayssa erida wode daro yilotis. I kase enttafe si7idayssada Beetelemeninne he heeran de7iya nam77u laythi kumidayssatanne nam77u laythafe garssan de7iya adde nayta ubbaa ba wotaddareta yeddidi wodhisis.
28021100b1	Nabiya Ermmiyasa doonan, “Yeehoynne zeleelssi, Raama kataman si7ettis. Raahela ba naytas yeekkawusu; entti hayqqida gisho minettanaw dandda7abuukku” gidi odidayssi polettis.
280213004f	Heroodisi hayqqidaappe guye Gibxen Godaa kiitanchchoy Yoosefas amuhon qonccidi,
2802140075	“Na7aa wodhanaw koyaa asati hayqqida gisho, denddada na7aanne na7aa aayiw ekkada Isra7eele biittaa simma” yaagis.
2802150046	Yoosefi denddidi na7aanne na7aa aayiw ekkidi Isra7eele biittaa simmis.
2802160091	Shin Arkkeliyoosi Yihudan ba aawa Heroodisa bessan kawotidayssa si7ida wode yaa baanaw yayyis. Xoossay amuhon iyaw qonccisin Galiila biittaa bis.
2802170070	Nabeta doonan, “Naazirete asi geetettana” gidi odettidayssi polettana mela Naazirete katamaa bidi yan de7is.
280301008d	He wode Xammaqiya Yohaannisi, “Xoossaa kawotethay matattida gisho hintte nagaraappe simmite” yaagidi sabbakishe Yihuda bazzo biittaa yis.
28030300b7	Nabiya Isayaasi Yohaannisabaa odidayssa mela, “Bazzo biittan, issoy ba qaala dhoqqu oothidi, ‘Godaa ogiya giigisite. Iya horogaa piddi oothite’ gis” yaagettiday iyassa yaagis.
2803040073	Yohaannisi gimale ikiseppe oosettida afila ma77ees. Ba xeessan dafo danccees. I miya kathayka boolenne degera eesi.
280305006b	Asay he wode Yerusalaame katamaappe, Yihuda biitta ubbaafenne Yorddaanose Shaafaa heerappe iyaakko yoosona.
280306004c	Bantta nagaraa paaxidi Yorddaanose Shaafan Yohaannisa kushen xammaqettosona.
28030700ae	Yohaannisi, daro Farisaawetinne Saduqaaweti xammaqettanaw baakko yeyssata be7idi, enttako, “Ha iita shooshatoo, yaana Xoossaa hanquwafe baqatana mela hinttena oone zoriday?
2803080040	Hiza, hinttee, hintte nagaraappe simmidayssa erisiyabaa oothite.
2803090095	Hinttee, hintte wozanan, ‘Abrahamey, nu aaway de7ees’ gidi qoppofite. Loythi si7ite! Xoossay ha shuchchatappe Abrahames na7a kessanaw dandda7ees.
28030a0060	Beexey mithaa xaphuwan giigidi uttis; lo77o ayfe ayfonna mitha ubbay qanxettidi taman yegettana.
28030b00f0	“Hinttee, hintte nagaraappe simmidayssa erisanaw taani hinttena haathan xammaqays. Shin taappe guyera yeyssi hinttena Geeshsha Ayyaananinne taman xammaqana. I taappe daro wolqqaamees; taani hari attoshin iya caammaa tookkanawukka bessike.
28030c0091	Kathaa geeshshiya pithey iya kushen de7ees. Kathaa loythi geeshshees; gisttiya ba shaaliyan qolana, shin punuwa to7onna taman xuuggana” yaagis.
28030d0053	He wode Yesuusi Yohaannisa kushen xammaqettanaw Galiilappe Yorddaanose Shaafaa bis.
28030e0069	Shin Yohaannisi iya digganaw koyid, “Taani nenan xammaqettanaw koshshishin neeni taakko yay?” yaagis.
28030f008b	Shin Yesuusi zaaridi, “Xoossay nuuppe koyabaa ubbaa nu polanaw bessiya gisho, ha77i taw ero ga” yaagis. Yohaannisi iyaw ero gidi ekkis.
2803100090	Yesuusi xammaqettida mela haathaafe keyis. Iirakka saloy dooyettin Xoossaa Ayyaanay holleda yishin qassi ba bolla wol77ammidi wodhdhishin be7is.
2803110059	He wode, “Ta dosiya, iyan tana ufayssiya ta na7ay hayssa” yaagiya qaalay saloppe yis.
2804010059	Hessafe guye, Xalahey Yesuusa paaccana mela Geeshsha Ayyaanay Yesuusa bazzo biittaa efis.
2804020039	Oytamu qammanne oytamu gallas xoomidaappe guye koshattis.
280403006c	Xalahey Yesuusakko yidi “Neeni Xoossaa na7a gidikko, ane ha shuchchati uythi gidana mela kiitta” yaagis.
2804040095	Yesuusi zaaridi, “‘Asi Xoossaa doonappe keyaa qaala ubban daanappe attin uytha xalaalan de7enna’ geetettidi Xoossaa qaalan xaafettis” yaagis.
2804050054	Kaallidikka, Xalahey Yesuusa geeshsha katamaa efidi, Xoossaa keetha huu7iya kessidi,
28040600f3	“Neeni Xoossaa na7a gidikko, ane duge sa7an kundda. Ays giikko, ‘Ne tohoy shuchchan dhubetti deshettonna mela, bantta kushiyan nena denthana mela, Xoossay ba kiitanchchota ne gisho kiittana’ geetettidi Xoossaa qaalan xaafettis” yaagis.
2804070074	Yesuusi iyaakko, “Qassika, ‘Xoossaa qaalan ne Godaa, ne Xoossaa paaccofa’ yaagettidi xaafettis” gidi zaaris.
2804080075	Wurssethan Xalahey Yesuusa issi wolqqaama deriya huu7e kessidi alamiya kawotethata entta bonchchuwara issife bessidi,
280409003d	“Ne taw kunddada goynniko ta new ha ubbaa immana” yaagis.
28040a0097	Yesuusi zaaridi, “Ha Xalahiyaw, taappe haakka! ‘Ne Godaa, ne Xoossaa goynna, iya xalaala haggaaza’ geetettidi Xoossaa qaalan xaafettis” yaagis.
28040b0048	Hessafe guye, Xalahey aggidi bis; kiitanchchoti yidi iya haggaazidosona.
28040c0041	Yesuusi, Yohaannisi qashettoyssa si7ida wode Galiila biittaa bis.
28040d0073	Naazirete katamaa aggidi Zaabiloonaninne Niftaaleme heeran, abbaa matan de7iya Qifirnahoome katamaa bidi yan de7is.
28040e0025	Hessi haniday nabiya Isayaasa doonan,
28040f008b	“Zaabiloone biittan, Niftaaleme biittan, Yorddaanose Shaafappe hefinthan, abbaa ogiya gaxan de7iya, Ayhude gidonna derey de7iya Galiilan,
2804100086	dhuman de7iya derey, wolqqaama poo7o be7is. Hayqo kuya biittan, de7eyssatas poo7oy keyis” yaagidi odettida qaalay polettana melassa.
2804110077	He wodeppe doomidi Yesuusi, “Xoossaa kawotethay matattida gisho hintte nagaraappe simmite” yaagidi qaala sabbakees.
28041200b8	Yesuusi Galiila Abbaa matara aadhdhishe nam77u ishata, Phexiroosa geetettiya Simoonanne iya ishaa Inddiriyasa be7is. Entti molo oykkeyssata gidida gisho bantta gitiya abban yeggoosona.
280413006f	Yesuusi enttana, “Haa yiite; tana kaallite! Molo oythi attoshin, ta hinttena ase oythi tamaarssana” yaagis.
2804140042	Enttika, ellesidi bantta gitiya yeggi aggidi Yesuusa kaallidosona.
28041500c3	Yesuusi yaappe buroo gede sinthe aadhdhishe hara nam77u ishata, Zabdiyoosa nayta, Yayqoobanne Yohaannisa be7is. Bantta aawa Zabdiyoosara issife wogoluwa giddon bantta gitiya giigiseyssata xeegis.
280416004d	Enttika, ellesidi bantta wogoluwanne bantta aawa aggidi Yesuusa kaallidosona.
2804170092	Yesuusi Ayhude Woosa Keethatan tamaarssishe, salo kawotethaa Wonggelaa odishenne dumma dumma harggiyafe asaa pathishe Galiila biitta ubban yuuyis.
28041800ec	Hessafe denddoyssan iya sunthay Sooriya biitta ubban keyis. Dumma dumma harggen oykettidayssatanne waayetteyssata, tuna ayyaanan oykettidayssata, shoci yeggiya harggen oykettidayssatanne, gunddata iyaakko ehidosona; ikka enttana pathis.
2804190090	Asay Galiilappe, Tammu Katamatappe, Yerusalaameppe, Yihudappenne Yorddaanose Shaafaa hefinthan de7iya biittaafe yida daro asay iya kaallidosona.
2805010065	Daro derey shiiqidayssa Yesuusi be7ida wode deriya bolla keyidi uttis. Iya tamaareti iyaakko shiiqin,
280502001c	hayssada yaagidi tamaarssis:
2805030046	“Bantta ayyaanan manqoti anjjettidayssata, salo kawotethay enttassa.
2805040037	Yeekkeyssati anjjettidayssata, entti minthetho demmana.
280505003f	Bantta wozanan ashkketi anjjettidayssata, entti sa7aa laattana.
2805060053	Xillobaa oothanaw koshatteyssatinne saamotteyssati anjjettidayssata, entti kallana.
2805070037	Maareyssati anjjettidayssata, entti maarotethi demmana.
2805080039	Wozana geeshshati anjjettidayssata, entti Xoossaa be7ana.
2805090048	Sigetheyssati anjjettidayssata, entti Xoossaa nayta geetetti xeegettana.
28050a0057	Xillobaa oothiya gisho gidi, goodetteyssati anjjettidayssata, salo kawotethay enttassa.
28050b0084	“Asay hinttena ta gisho gidi cayaa wode, gooddiya wodenne hintte bolla iitabaa ubbaa worddon odisiya wode hintte anjjettidayssata.
28050c0070	Hintte woytoy salon gita gidiya gisho ufayttite, hashshu giite. Hinttefe kase de7iya nabeta hessada goodidosona.
28050d009b	“Hinttee biittaas maxine; maxiney ba maxinetethaa aggiko, ba mal7otethaa waati zaari demmanee? Kare holin asan yedhdhettanaappe attin aybiskka maaddenna.
28050e004c	“Hintte biittaas poo7o; dere bolla de7iya katamiya qosettanaw dandda7ukku.
28050f0069	Xomppe oythidi son de7iya asa ubbaas poo7ana mela dhoqqa son wotheesippe attin daallo gidon wothey baawa.
2805100075	Hessa mela asay hintte lo77o oosuwa be7idi, salon de7iya hintte aawa bonchchana mela hintte poo7oy asa sinthan poo7o.
2805110099	“Taani Muse higgiyanne nabeta qaala shaaranaw yida hinttew daanoppo. Taani, entti odidayssi tuma gideyssa qonccisanaw yasippe attin shaaranaw yabiikke.
280512008a	Ta hinttew tuma odays; saloynne sa7ay aadhdhana gakkanaw higge ubbay polettanaappe attin higgiyafe issi qaalay woykko pidaaley aadhdhenna.
28051300f4	Hessa gisho, ha kiitatappe guuxiya issi kiitaa menthiya oonikka qassi harata hessatho oothana mela tamaarssey oonikka salo kawotethan ubbaafe guutha gidana. Shin ha kiitaa poleysinne haratakka polana mela tamaarssey salo kawotethan gita gidana.
2805140090	Ta hinttew odays; hintte xillotethay Farisaaweta xillotethaafenne higge asttamaareta xillotethaafe aadhdhonna ixxiko, salo kawotethaa gelekketa.
2805150060	“Hintte mayzatas, ‘Wodhoppite; shemppo wodhida oonikka pirddettana’ geetettoyssa si7ideta.
28051600bc	Shin ta hinttew odays; ba ishaa hanqettiya ubbay pirddettana. Ba ishaa cayaa oonikka daynna sinthi pirddas shiiqana. Ba ishaakko, ‘Eeyay’ giya oonikka qassi gaanname taman pirddettana.
2805170056	“Hessa gisho, neeni ne yarshshuwa yarshshiya wode ne ishaa qohidabay new akeeketiko,
2805180071	ne yarshshuwa he bessan aggada ba; koyrota bada ne ishaara giiga; yaata simmada, ne yarshshuwa Xoossaas yarshsha.
28051900ab	“Nena mooteyssara pirdda keethi bashe oge bolla iyara giiga. Hessi atto giikko I nena daynna sinthi efana. Daynnay nena qachcheyssas aathi immana; I nena woynen yeggana.
28051a006f	Ta tuma odays; ne bolla pirddettida accuwa issi santimey attonna cigga onggana gakkanaw qasho keethafe keyakka.
28051b003b	“Hayssafe kase, ‘Laymatoppite’ geetettoyssa si7ideta.
28051c0051	Shin ta hinttew odays, maccas xeellidi, amottida ubbay ba wozanan iira laymatees.
28051d0094	Ne ushachcha ayfey new nagaras gaaso gidikko, kessa hola. Ne asatethay kumethi gaanname taman wodhdhanaappe ne asatethaafe issoy dhayikko new lo77o.
28051e009a	Ne ushachcha kushey new nagaras gaaso gidikko, iya qanxa hola. Ne asatethay kumethi gaanname taman wodhdhanaappe ne asatethaafe issoy dhayikko, new lo77o.
28051f0045	“‘Ba machchiw yeddiya oonikka anjjo worqqatiya immo’ geetettis.
2805200099	Shin ta hinttew odays; ba machchiya laymatonna de7ishin billiya ubbay iya laymatana mela oothees. Hessadakka, anjjettida maccasiw ekkiya ubbay laymatees.
2805210073	“Hintte mayzatakko, ‘Worddon caaqqofite; hintte Xoossaa sinthan caaqqidayssa polite’ geetettidayssa si7ideta.
2805220062	Shin ta hinttew odays; ubbarakka caaqqofite. Xoossay uttiya araata gidiya gisho, salon caaqqofite.
2805230077	Iya tohoy yedhdhiya soo gidiya gisho, sa7ankka caaqqofite. Gita kawuwa katama gidiya gisho, Yerusalaamenkka caaqqofite.
2805240072	Hintte binaanappe issuwaka boothi woykko kareethi oothanaw dandda7onna gisho, hinttee hintte huu7enkka caaqqofite.
2805250060	Hessa gisho, hintte qaalay, ‘Ee’ woykko ‘Akkay’ gido. Hessafe kare keyey Xalaheppe yees.
2805260046	“‘Ayfe gisho ayfe; achcha gisho achche’ geetettidayssa si7ideta.
280527008c	Shin ta hinttew odays; hintte bolla iitabaa oothiya uraara eqettofite. Oonikka ne ushachcha shakalaa baqqiko ne haddirssa shakalaakka bessa.
2805280046	Issi asi ne shaamiziya ekkanaw nena mootikko, ne kootiya gujjada imma.
2805290070	Issi asi nena wolqqan babaa toossidi issi saate oge baara baana mela nena un77ethiko, iyara nam77u saate oge ba.
28052a003f	Woossiya oodeskka imma; neeppe tal77anaw koyaa oonakka diggofa.
28052b0046	“‘Nena doseyssa dosa; nena ixxeyssa ixxa’ geetettoyssa si7ideta.
28052c004d	Shin ta hinttew odays; hintte morkketa dosite; hinttena qoheyssatas woossite.
28052d009a	Hessatho hintte oothiko, salon de7iya hintte aawas hintte nayta gidana. I iitatasinne lo77otas awa kessees; xillotasinne nagaranchchotas ba iraa bukisees.
28052e007e	Hinttena dosiya asaa xalaala hintte dosikko, hinttew ay woytoy de7ii? Hari attoshin, qaraxa qanxiseyssatikka hessa oothoosona.
28052f008f	Hinttee, hintte ishata xalaala sarothiko, haratappe ay hara aadhdhiyabaa oothidetii? Hari attoshin, Xoossaa ammanonna asaykka hessa oothoosona.
2805300045	Hiza, salon de7iya hintte aaway polo gidoyssada hintteka polo gidite.
280601008d	“Asi be7o gidi hintte lo77o oosuwa asa sinthan oothonnaada naagettite. Hessatho hanonna ixxiko salon de7iya hintte Aawappe woyto demmeketa.
28060200d4	“Hinttee manqotas immiya wode asa sinthan bonchchettanaw gidi cubboti ogiya doonaninne Ayhude Woosa Keethatan ootheyssada asi be7o gidi oothofite. Ta hinttew tuma odays; entti bantta kumetha woytuwa ekkidosona.
2806030063	Shin hinttee manqotas immiya wode hintte ushachcha kushey ootheyssa hintte haddirssa kushey eroppo;
280604005d	hintte imoy geeman gido. Geeman ootheyssa be7iya hintte aaway hinttew woytuwa qonccen immana.
28060500c9	“Woosa woossishe cubbotatho hanoppite. Entti, banttana asi be7o gidi Ayhude Woosa Keethaninne ogiya doonan eqqidi woosseyssa dosoosona. Ta hinttew tuma odays; entti bantta kumetha woytuwa ekkidosona.
280606008f	Shin neeni woossiya wode, ne soo gela, wulaa gorddada geeman de7iya ne Aawakko woossa; geeman oosettidayssa be7iya ne aaway new woytuwa immana.
280607007f	Hintte woossiya wode Ayhude gidonna asaatho coo qaala darssidi woossofite. Entti adussi woossin Xoossay si7ees gidi qoppoosona.
280608007a	Hessa gisho, enttayssada hanoppite. Ays giikko, hintte aaway hinttew ay koshshiyako hintte woossanaappe sinthattidi erees.
2806090059	“Hiza, hintte yaagidi woossite, ‘Salon de7iya nu aawaw, ne geeshsha sunthay anjjetto.
28060a003d	Ne kawotethay yo, ne sheney salon hanidayssada sa7ankka hano.
28060b0029	Gallasa kathaa hachchi hachchi nuus imma.
28060c0042	Nuuni nuna qohidayssata, atto geyssada, nuuskka nu qohuwa atto ga.
28060d0067	Nuna iitappe ashshafe attin paacen gelssofa. [Kawotethay, wolqqaynne bonchchoy merinaw neessa. Amin7i.]
28060e0063	“Hintte hinttena qohidayssata atto giikko, salon de7iya hintte Aaway hintte qohuwakka atto gaana.
28060f0056	Shin hintte hara asa nagara atto goonna ixxiko hintte Aaway hintte nagara atto geenna.
28061000a6	“Hintte xoomiya wode cubbotatho kayottofite. Ays giikko, entti xoomeyssa asi erana mela bantta som77uwa qitayoosona. Ta tuma odays; entti bantta woytuwa ekkidosona.
2806110042	“Shin neeni xoomiya wode ne som77uwa meecca, ne huu7iya tiyetta.
28061200a2	Hessada ne oothiko ne xoomiya xoomay asappe geemmidayssa, shin geeman de7iya ne Aaway eriya xooma gidana. Geeman oosettidayssa be7iya ne Aaway new woytuwa immana.
2806130065	“Bili miyason, biraati shi7iyason, kaysoy bookkidi ekkiyason, ha sa7an, hinttew shalo shiishoppite.
2806140062	Shin bili moonason, biraati shi7onnason, kaysoy bookkidi ekkonnason salon hinttew shalo shiishite.
2806150028	Ne shaloy de7iyasuwan ne wozanay de7ana.
2806160062	“Ayfey asatethaas xomppe. Hessa gisho, ne ayfey payya gidikko ne kumetha asatethay poo7o gidees.
2806170092	Ne ayfey hargganchcho gidikko ne kumetha asatethay dhuma gidees. Hiza, nenan de7iya poo7oy dhuma gidikko, dhumay ay mela aadhdhidi dhumanddeshsha!
28061800ab	“Issi asi nam77u godas haarettanaw dandda7enna. Issuwa dosikko hankkuwa ixxees; woykko issuwa bonchchiko hankkuwa kadhees. Xoossasinne miishes haarettanaw dandda7ekketa.
280619008b	“Hiza, si7ite! Hinttee de7on daanaw, ‘Ay maanee? Ay uyanee? Ay ma77anee?’ gidi un77ettofite; de7oy kathafe woykko ma7oppe aadhdhenee?
28061a008e	Salo kafota xeellite; entti zerokkona, buuccokona, shaalen yeggokona, shin hintte salo aaway entta muzees. Hinttee enttafe keehi aadhdheketii?
28061b0054	Hintte giddofe daro un7ettidi ba laythaa bolla issi gallas gujjanaw dandda7ey de7ii?
28061c0067	“Qassi hintte ma77iyabaas ays un7ettetii? Ane ciishshata be7ite, ooson daaburokkona woykko suqqokona.
28061d0066	Si7ite! Hari attoshin, kawuwa Solomoney ba bonchcho ubban ha ciishshatappe issuwa melakka ma77ibeenna.
28061e00a5	Hinttenoo, ammanoy paccidayssato, Xoossay hachchi benttidi wontto taman wodhdhanaw de7iya maata yaatidi mayziyabaa gidikko, hinttena enttafe aathidi waati mayzennee?
28061f0047	Hessa gisho, ‘Ay maanee? Ay uyanee? Ay ma77anee?’ gidi un7ettofite.
2806200076	He ubbaa Xoossaa ammanonna asay darssidi demmanaw un77ettoosona. Hintte salo aaway he ubbay hinttew koshsheyssa erees.
2806210062	Shin ubbaafe sinthe Xoossaa kawotethaanne iya xillotethaa koyite; he ubbay hinttew gujji imettana.
280622006f	Hessa gisho, wonttos qoppishe un7ettofite. Wonttoyssi wonttos aqo; issi issi gallasay baw gidiya metora de7ees.
280701003a	“Hintte bolla pirddettonna mela harata bolla pirddofite.
2807020079	Ays giikko, harata bolla hintte pirddeyssada hintte bolla pirddettana; hintte haratas makkidaban hinttew zaari makettana.
2807030051	Ne ayfen de7iya tuussu daaneyssa be7onna ne ishaa ayfen de7iya buuriya ays be7ay?
2807040054	Ne ayfen tuussi de7ishin ne ishaa ayfen de7iya buuriya kesso gaanaw waana dandda7ay?
280705008b	Neno cubbuwaw, koyrottada ne ayfen de7iya tuussi daaneyssa kessa. Iyappe guye, ne ishaa ayfen de7iya buuriya kessanaw ne geeshsha xeellana.
280706009e	“Guye simmidi hinttena saxxonna mela geeshshabaa kanatas yeggofite. Bantta tohuwan yedhdhidi iissonna mela hintte al77o inquwa gudunthota sinthan yeggofite.
280707005a	“Woossite hinttew imettana, koyite hintte demmana, kare yidi xeegite hinttew dooyettana.
280708005c	Woossiya oodeskka imettana, koyaa oodeskka benttana, kare yidi xeegiya oodeskka dooyettenna.
280709003e	“Hintte giddofe ba na7i uythi woossiko shuchchi immey oonee?
28070a0029	Woykko molo woossiko shooshi immey de7ii?
28070b0083	Yaatin hintte iita gidishe hintte naytas lo77obaa imo erikko, hintte salo aaway bana woosseyssatas lo77obaa waati darssidi immenee?
28070c007f	Harati hinttew oothana mela hintte koyabaa ubbaa hintteka haratas oothite. Ays giikko, Muse higgeynne nabeti tamaarssey hayssa.
28070d006a	“Xuuntha wulara gelite; ays giikko, dhayos efiya ogey wogga, wulaykka dalgga. Iyara geliya asaykka daro.
28070e0046	Shin de7uwakko efiya ogeynne wulay xuunthu; yaa geliya asaykka guutha.
28070f0075	“Bolla baggara dorsse daanidi bantta gaathan suudhume gididi hintte giddo geliya worddanchcho nabetappe naagettite.
2807100058	Hintte entta, entta ayfiyaappe erana; agunthafe woyney, kinchchoteppe laadey maxettenna.
280711004c	Hessa mela lo77o mithi ubbay lo77o ayfe ayfees; iita mithi iita ayfe ayfees.
280712004f	Lo77o mithi iita ayfe ayfenna, qassi iita mithi lo77o ayfe ayfanaw dandda7enna.
280713003b	Lo77o ayfe ayfonna mithi ubbay qanxettidi taman xuugettana.
2807140030	Hessa gisho, hintte entta, entta ayfiyaan erana.
280715008b	“Salon de7iya ta aawa sheniya oothiya uray salo kawotethi gelanaappe attin coo tana ‘Godaw, Godaw’ giya ubbay salo kawotethi gelenna.
280716009b	Pirdda gallas daroti, ‘Godaw, Godaw, ne sunthan tinbbite odibookko? Ne sunthan tuna ayyaanata kessibookko? Ne sunthan malaatata oothibookkoo?’ yaagana.
2807170064	He wode taani, ‘Ta hinttena ubbarakka erikke, hinttee iita ootheyssati taappe haakkite’ yaagana.
2807180061	“Hiza, ha ta qaala si7idi oothiya oonikka ba keethaa shuchcha bolla keexida wozanaama asa mela.
2807190080	Iray bukkis, di7oy di77is, carkkoyka carkkidi he keethaa sugis. Shin keethay shuchcha baaso bolla keexettida gisho kunddibeenna.
28071a0052	Ha ta qaala si7idi oothonna oonikka ba keethaa shafe bolla keexida eeya uraa mela.
28071b007d	Iray bukkidi, di7oy di77idi, carkkoyka carkkidi, he keethaa sugin, he keethay kunddis; iya kunddethaykka wolqqaama” yaagis.
28071c0085	Yesuusi ba oda onggida wode iya timirttey higge asttamaareta mela gidonna maatara gidiya gisho asay iya timirttiyan malaalettidosona.
280801003c	Yesuusi deriyappe wodhdhiya wode daro asay iya kaallidosona.
2808020090	Hekko issi baro hargganchoy iyaakko shiiqidi, iya sinthan gulbbatidi, “Godaw, ne shene gidikko tana geeshshada pathanaw dandda7aasa” yaagis.
2808030064	Yesuusi ba kushiya yeddidi iya bochchidi, “Ee, ta shene, paxa” yaagis. Uray iirakka geeyi aggis.
28080400ab	Yesuusi iyaakko, “Ne paxuwa oodeskka odoppa. Shin bada ne geeyada paxoyssa kahine bessa. Ne paxuwas markka gidana mela bada Musey kiittida yarshshuwa yarshsha” yaagis.
280805004d	Yesuusi Qifirnahoome katama gakkida wode, issi mato halaqay iyaakko shiiqidi,
280806005f	“Godaw, ta aylley asatethay gunddin daro harggettidi, son zin77idi de7ees” yaagidi woossis.
2808070035	Yesuusi zaaridi, “Taani bada iya pathana” yaagis.
