2a00000004	Iluk
2a02090057	Atina Ete ko kuno bi itemo, uyen ʊmʊmɔrʊ Ʊnʊng ka ta ɛkǝrimɔ, aka kʊng irung.
2a020a007d	Ekǝri atina Ʊnʊng ka sanomoni, “Inyi bekya kʊng irung. Ikony iring ididima yɔ ba, imi ofofuru nagang imi orokru kukum.
2a020b0049	Ɛchiyɛ ebyerenyi arʊsa oforo kya apya Idouda ɛngɛɛ ni Ikristi, Ete.
2a020c00a3	Imisini inyi nʊ rong ʊpɛ inyi kǝ kpɛrhi ngɛ a sani Ikʊ tananyi ʊbrʊbrʊ wɔɔ, inyi nʊ darha ɔnɔ agǝrhi ngɛ ni arigidi aka yara ngɛ bidɔɔ ukyo.”
2a020d007d	Bi akywakywa dang Atina Ʊnʊng napany ko kuno baa ayaya aba darha Atina Ʊnʊng itite dang akasʊ dɔɔ Ʊnʊng ngɛ a sani,
2a020e0086	“Arʊ dɔɔ asa Ʊnʊng ngɛ ija, bidɔɔ ayaya, ayarhi omung, ofofuru bi eyesing kyekyaa eberi arʊ sini Ʊnʊng kʊng idimamɔ.”
2a020f00ae	Akywa sini ɛkǝri atina Ʊnʊng juri kyamɔ ayaya esheremo asha ka sani opyoomo ni, “Arʊ kyeng ki Ibetalami oyorong ʊʊma men sini ʊsini kǝni sini Ete tana arʊ ni.”
2a02100066	Aka kyamɔ nekǝkǝrhe ko ri Imeri nge kǝni Isufu ka darha ɔnɔ yari bidɔɔ ukyo bi ʊbɔrʊ anama.
2a0211005f	Akywa sini asha roo, aka tana mɔ, imi sini ɛkǝri Atina Ʊnʊng tanimɔ bɛkai ɛkǝri ɔnɔ.
2a0212003f	Kukum arʊ sini ʊkʊng iring sini asha pɛri, ekǝ jijire nge.
2a0213003e	Imeri kɔsɔ ʊring men kukum kasʊ wɔrɔfomo bidɔɔ ikywie.
2a02140089	Ɛkǝri asha ko juro kyamɔ idɔɔ rumo mo, kasʊ taa ɛtɛ ʊdɔɔ Ʊnʊng ngɛ bekai imi sini akʊng, orong kǝni sini atina tanimɔni.
2a0215008b	Akywa sini ɛkǝri ɔnɔ fwa awri ochupari oko shoo igang ka yirha ngɛ ni Iyesu, ʊtʊwa sini Atina Ʊnʊng mie oko shoo nʊ ʊkpara ofoo.
2a021600a3	Sini akywa fwa amisini anʊ kurho inamaa kǝni sini ogro Imusa pɛri ni Imeri kǝni Isufu nʊ naa ɔnɔ, oko kong Iyesu ngɛ ki Urushelima aki anaa ngɛ bavʊ Ete,
2a0217007a	s(kǝni sini ɔwɔri bi ogro Imusa, “ko kina ɛnɛɛrimɛ sini ebyeri ngɛ bitee anʊ naa ngɛ nashisha bi avʊ Ete.”)
2a02180059	Aka naa ikara kǝni sini ogro Ete pɛri asani, “ukrim ʊpari ko ɔnɔ uukure ʊpari.”
2a021900ca	Bi akywa dang opyo orokru nuo bi Urushelima ayirhi ʊtʊwa ngɛ ni Isimiyon, ani nashisha ami ikywi bi ʊring Ʊnʊng, akʊsha akywa sini Ʊnʊng nʊ ta ɔnɔ Isrela ikrʊ, Ering Ʊshisha ni kǝni ngɛ.
2a021a0056	Ɛkǝri ering Ʊshisha kǝ yennge asani anasu kpoo ba, anʊ ri ikristi sini Ete tʊmi.
2a021b008e	Ering Ʊnʊng ka kpara ngɛ kyekya ʊgba ubyen Ʊnʊng. Akywa sini arʊ byere ngɛ a rii ni Iyesu aki anaa ngɛ kǝni sini ogro Imusa peri ni,
2a021c0046	Isimyon ka yirha ngɛ ko koo bi ʊvʊ kɔ dɔɔ Ʊnʊng ngɛ, ka sani:
2a021d004f	“Ete kukum, kǝni sini ʊpɛri ni nɛchiyɛn, shirha agaranw ni ʊyari ikywi.
2a021e0017	Kii ikram rong oforonw,
2a021f0027	amisini ukyeni bi ikra orokru no kukum,
2a02200093	ɛngɛɛ nʊ shoo uyen ʊfʊrɔ ikra arʊ sini ɛnɛkpɛrhimɔ Ʊnʊng, ɛngɛɛ nʊ shoo uyen sini ʊnʊ konw ʊdɔ ba bi owro orokrunw Isrela.”
2a0221005c	Ekǝri ekperi kǝni akwaa ɔnɔ ko gyo avu bi kɔw kasu wɔrɔfo imisini ɛpɛri bekai ngɛ.
2a022200aa	Isimiyon katamɔ onuo adadʊma ka sani Imeri akwaa ni, “Ɔnɔ wen nʊ kong ʊkpaa ba kǝni ʊshinɛ orokru napany bi Isrela, anʊshu shoo ɛpɛ sini orokru nasu waamɔ.
2a02230076	Kǝnawo anʊ kpɛrhi imisini ini bidɔɔ ikywi orokru ngɛ. Ʊnʊ kʊng ʊra kǝni oturi ikywinw ni Ikama ʊraa ni.”
2a022400a9	Opyo arʊ pɛrɛ onuo Ʊnʊng nuo ayirhi ngɛ ni Ana, ɔnɔ Ipenuwel enere okuni bai Ipya Ashar. Ɔkɔrɔ ngɛ nagang, a kii ʊbara kǝni ɛrimɛ ngɛ ɛnyɛɛ etensara,
2a022500bf	ɛrimɛ ko kpoo. Aka ki baa ɛrɛrimɛ kyeba nɛchiyɛn ani ɛnyɛɛ isochupari na narhi. Ko ikina ikpara ani bi ubyen Ʊnʊng. Eting kǝni awri akʊ dɔɔ Ʊnʊng, ukusɔrɔ kǝni ʊsɔrhɔ.
2a022600af	Aka raa akywa sini Isimyon kʊ pya onuo akasa Ʊnʊng ngɛ ija, ka tana arʊ sha ʊring bi ikywi ɛkǝri ɔnɔ asʊ ku ikra ni ukye ba arʊ sini anʊ be shire arʊ Urushelima.
2a0227006e	Akywa sini Isufu kǝni Imeri kywɛrɛ ikukying sini ogro Ete peri ɔkɔ sɔɔmɔ Igalili kya apyamɔ Inazaret.
2a0228004d	Ɛkǝri ɔnɔ kɔ fɔnɔ kasi ikrʊ, kǝni amraa, epen ʊyirha eberi Ʊnʊng.
2a02290046	Ko kina ɛnyɛɛ arʊ byere ngɛ esekyer ipara ʊwɔrɔ bi Urushelima.
2a022a004f	Akywa sini Iyesu ni ɛnyɛɛ atarhi na pari aka kya ipara kǝni sini asirhi ni.
2a022b0073	Akywa sini ekyweri ipara arʊ byerenge kasu kyeng sɔɔ mɔ, ene yemo asani Iyesu ɔnɔmɔ rana ngɛ be Urushelima.
2a022c00ae	Aka sʊ kpara asani Iyesu ni kǝni ɔmɔɔ, bi ɛkǝri ukyeng akywa sini ekyeng okyoro awri eying ono romo ngɛ. Akywa dang oko kuno upyerhe ngɛ owro arʊpya kǝni orokyoro.
2a022d0042	Akywa sini ono rongmo ngɛ oko juro kyamo Urushelima upyerhe ngɛ.
2a022e0083	Akywa sini asi awri atarʊ aka kya aya darha ngɛ bi idɔɔ ubyen Ʊnʊng akiki bidɔɔ avwa asʊ kung mɔ kǝni ugyurho mo ʊring.
2a022f004e	Ko iyaa sini akwʊɔ ekǝ jijire nge bɛkai ʊkpɛrhi kǝni uyoro ʊring ngɛ.
2a023000aa	Akywa sini arʊ byere ngɛ rie ekǝ jijire nge, akwaa ko gyurho ngɛ, “Ɔnɔm ikisi ʊsirʊ kǝn? Imyɛ kǝni ɛkpɛrinw arʊ pyerhenw ko kywa ube arʊ no romo nwɔ.”
2a02310069	Iyesu ko gyurho, “Ikisi inyi ku pyerhem? Inyi ne yeny asani itɔɔyo ishoo bi idɔɔ ʊna Ɛkpɛrim?”
2a02320026	Ɛnɛ kpɛrhimɔ imisini akʊ tanamɔ.
2a0233007c	Oko juro kyaa Inazaret kǝni arʊ byere ngɛ kakʊng imisini aruo tani ngɛ akwaa ko kong ʊring men kukum bi idɔɔ ikywie.
2a02340050	Iyesu ko fɔnɔ, kǝtire ni amraa kǝ epen ʊyirha bi owro Ʊnʊng kǝni orokru.
2a03010101	Bidɔɔ ɛnyɛɛ atarhi ni ɔtɔng ami igumo Ikaisar arʊ sini ayirhi ngɛ ni Itibariya, akywa dang Ipontos Ibilatus kɔn ibʊng Iyahudiya, Ihiridus shoo ogumo Igalili, arupya Ifilibus ku igumo Ituruya kǝni Itarakunitas, Ilisaniyas kaa oshoo ogumo Abiliya.
2a03020095	Bakywa dang Annas kǝni Ikayafas ani ogu ubyen Ʊnʊng. Bakywa dang Ʊnʊng ka ma Iyohana ɔnɔ Izakariya ngɛ itina ikpara sini ani bi idɔɔ orumo.
2a030300a5	Iyohana kǝkǝri kukum ʊbʊng ʊkʊkǝri Ugro Ijodan, asu tana irhing Ʊnʊng, “Inyi tere eshere ʊya ngɛ aki asany ibaptisma, Ʊnʊng nʊpʊna ʊya nyi ngɛ.”
2a030400b1	Kǝni sini ɔwori bidɔɔ ʊyaa ʊsha iring arʊ pɛrɛ onuo Ʊnʊng Ishaya ni: “Ihywi opyo arʊ ku yirha bi idɔɔ orumo, ‘Kyene Ete ngɛ ʊtira, kyene ngɛ ʊtira itituku.
2a03050095	Ku kǝni ukwoo anu tirɛ wɔ, ku kǝni ukro kǝni ʊvra anu wurho wo okyo nɛmɛr, Itira ugugumo nʊ nawa itituku, itira ʊgbragbrarha nʊ sa igyang.
2a03060029	Orokru kukum nu rong oforo Ʊnʊng.’”
2a0307009b	Iyohana ka sani ʊshi orokru sini okuni asu kyeng ba aki asamo Ibaptisma ni, “Inyi ɔnɔ iyow ibibi! Iyaa taniny ni inyi ting anang Ʊnʊng sini akye ba?
2a030800be	Inyi si imi sini inu yen asani inyi tere baa ʊyany. Inyi bekya tikpa ʊsa nʊ opyo nyi ni Ibraim ngɛ ni ekperi arʊ. Kii itani nyi ni Ʊnʊng nʊ shu ukyene Ibraim ngɛ ɔnɔ ni atari yen.
2a03090077	Ikywerhe karha to ba para ashi, kǝnawo ku kǝni ʊshi sini uno sumowo ɔnɔ adadʊma anu kpawo ɛfɛn kidɔɔ ʊra.”
2a030a003b	Ushi orokru ko gyurho, “Arʊ nʊ sa nenyee nɛchiyɛn?”
2a030b0084	Iyohana ko yoromo, “Arʊ sini ani ʊgbɛ ʊpari ngɛ ama arʊ sini asa ni yoo, arʊ sini oboshoo ni ʊmʊra ngɛ kaa asa kǝna.”
2a030c0060	Arʊ yirha ogon kamo abii aba samɔ Ibaptisma oko gyurho ngɛ, “Avuwa, ikimoyo arʊ nʊ sa?”
2a030d0050	Iyohana kasani moni, “Karhi inyi kya yirha epiri imasini inyi tani ʊyirha.”
2a030e00e6	Ikpara dang opyoo arʊ tɛi ikɔ ko gyurho ngɛ asani, “Arʊ ni sa nenyee wo?” Oko yoromo asani, “Karha inyi kya karha ʊfɛ bavu araru ni ikrʊ, boshoo orokru sesa ima inyi sani asayo, inyi yoro ni ima sini akʊ kpurany.”
2a030f008e	Orokru kasu yoro ʊsha asu tiri ikywi ni arʊ sa oforo, kukummo akasʊ wɔrɔfo asani kii inushe ushoo asani Iyohana ngɛ ani ɛkǝri Ikristi.
2a031000ba	Iyohana ka yoro mo kukum, “Isiny Ibaptisma ni omung. Yip opyo arʊ sini eprimi ni imɔru yeba, sini ko iwe ataka ngɛ isamam ushereyo. Anu sany Ibaptisma ni Ʊring Ʊshisha kǝni ʊra.
2a03110098	Ʊfrɔɔ ʊpɛrhɛ ngɛ ni ba avu sini ani puna ʊgba ʊpɛrhɛ ngɛ otuno ikiri ogro asa kidɔɔ ɔfɔ, anu pya ɛkǝri iwung ni ʊra sini unokpowo.”
2a0312005e	Iyohana kɔ wɔɔ atung ɛkǝri orokru bekai ʊring napany nisini akʊ tanamɔ ʊring Ʊnʊng.
2a0313008b	Yip ni sini Iyohana tani ogumo Ihiridus ngɛ ʊyaa ngɛ bekai ubara ngɛ kǝni Ihirudiya ere arupya Ifilibus, kǝni kukum eteting sini asi,
2a03140067	Ihiridus kojo sa opyo eteting ba aya anyan ngɛ. Sini asi aka afri Iyohana ngɛ bidɔɔ ʊbɔrʊ eting.
2a0315007d	Sini Iyohana kywɛri ʊsa orokru Ibaptisma kukum, aka sa Iyesu ngɛ Ibaptisma kaa. Ni sini akʊ sɔrhɔ Ʊnʊng ayaya kayewe.
2a0316009a	Ering Ʊshisha ko shuro bayaa ani kǝni Ikrim ni. Ihywi ko kuno ba ayaya: “Ʊnwʊɔ ʊni Ɔnɔm, sini ɛwɛi ngɛ; ini ofofuru ngɛ nagang ni ʊnwɔ.”
2a031700a8	Nɛchiyɛn Iyesu ʊkaa ete kyu fwa ɛnyɛɛ isitarʊ aka kpin ʊtʊna ngɛ. Ɛngɛɛ ni ɛkǝri ɔnɔ, orokru kasu yirha ngɛ ni ɔnɔ Isufu, Isufu ngɛ ni, ɔnɔ Iheli
2a0318008d	Eli ngɛ ni ɔnɔ Imatthat, Imatthat ngɛ ni ɔnɔ Ilevi, Ilevi ngɛ ni ɔnɔ Imelki Imelki ngɛ ni ɔnɔ Ijanni, Ijanni ngɛ ni ɔnɔ Isufu,
2a03190081	Isufu ngɛ ni ɔnɔ Imattatias, Imattatias ngɛ ni ɔnɔ Amos, Amos ngɛ ni ɔnɔ Inahum ɔnɔ Esili, Esili ngɛ ni ɔnɔ Inaggai
2a031a009c	Inaggai ngɛ ni ɔnɔ Imaat, Imaat ngɛ ni ɔnɔ Imattatiyas, Imattatiyas ngɛ ni ɔnɔ Isemein, Isemein ngɛ ni ɔnɔ Ijosech, Ijosech ngɛ ni ɔnɔ Ijoda,
2a031b00a4	Ijoda ngɛ ni ɔnɔ Ijowana, Ijowana ngɛ ni ɔnɔ Irhesa, Irhesa ngɛ ni ɔnɔ Izerubbabel, Izerubbabel ngɛ ni ɔnɔ Isheyatiyel, Isheyatiyel ngɛ ni ɔnɔ Ineri,
2a031c008a	Ineri ngɛ ni ɔnɔ Imelki, Imelki ngɛ ni ɔnɔ Addi, Addi ngɛ ni ɔnɔ Ikosam, Ikosam ngɛ ni ɔnɔ Elmadan, Elmadan ngɛ ni ɔnɔ Eri,
2a031d0091	Eri ngɛ ni ɔnɔ Ijoshua, Ijoshua ngɛ ni ɔnɔ Iliyaza, Iliyaza ngɛ ni ɔnɔ Ijorim, Ijorim ngɛ ni ɔnɔ Imattat, Imattat ngɛ ni ɔnɔ Ilevi
