2900000006	Markus
2902080083	Tangtang neɗ Yǝso hi hur shemeɗ'en i nannda yara, ndangna kandǝwa: "Kǝthlǝm mi natuni yarǝ kichuyu hur hanndǝkikechengnuni?
290209008d	Len nak pa'pa i? kǝ ndangna le sakaɗiyuwa kalufichi ɓǝɓifandekuhiwa ndu kǝndangnǝwa thla'u tǝru ɓǝt hunaɗeku kǝ wii nǝ witekuwa?
29020a0074	Kǝthlǝm kǝsǝnuniwa alchita hweya nifǝsi kǝ kalǝn ɓǝɓifathi a hur kishi'iya, ndangna le sakaɗǝ tǝkǝnwa:
29020b0043	"Ndukiwa thla'u tǝru ɗǝngleku kǝ pǝɗana ɗaɗi kǝ hure'eku."
29020c00ad	Thlaakǝn tukwas tǝrkǝn ndǝnglǝ'en cheknakissha hur hurǝkǝn, ɓanitǝ chikawuni, shekndang indǝ kanda naknda mwanandǝ Fara, ndangndǝwa: "Tamwuma nat ǝn kicheyawa."
29020d005d	Ngǝrkǝn chetakish paɗ kǝ mi hawurta, ɓak ngom nofcha ɓǝɗ'en, paɗ sakangnakandǝ har.
29020e006e	Nakna mbǝrtǝhi, nakǝn Lawi hweya Halfa ɗas ɓǝt thlǝt chamta, ndaǝnwa: "Kurunji" thlaakǝn kurukǝnndi.
29020f0088	Nak Yǝso sǝm'ǝna a hurhura'a Lawi tǝ fa thlǝt chamcha tǝ fa ɓǝɓichitfata, tǝ kimshechi'en kǝthlǝm nofchǝ ka'ǝn kurukǝndi.
29021000f4	Kǝ nat malɗǝmcha fa sakandǝ ndelwercha Musa ɗi fichile naka Farisiyawecha, Yǝso mǝla sǝm'ǝn tǝ fa ɓǝɓifecha, tǝ fa thlǝt chamcha, ndangnda kimshechi'enwa kǝthlǝm mi natna sǝm'ǝn tǝ fa thlǝt chamcha paɗ tǝ fa ɓǝɓifecha?
29021100ee	Kǝ sǝktǝ Yǝso kandǝ kichuyu, ndangna kandǝwa: "Nofchi nak ngwalngwal hi, kǝmawu ǝn kandǝ tǝ lǝ fǝr hanɓǝɓaawa, fichile nak hahchin na kanndi. Ɓuwi kǝthlǝm kǝ i fichile fǝrkǝ kitwa, ɓaki kǝthlǝm fa ɓǝɓichitfata".
29021200c8	Nakǝnya kimshecha Yohanna tǝ Farisiyawecha kanda cherǝ ama. Ɓak nofcha mbǝɗa Yǝso sahangndǝwa: "Kǝthlǝm mi nat kimshecha Yohanna tǝ i Farisiyawecha cherǝ ama paɗ ichiwa kanda cherǝ amwa?
2902130091	Ngǝmang Yǝso wa, tǝkǝnǝnat sǝmat pera nata thlǝmat shikechikǝn kǝnnda cherǝ ama? Ngu nat kichuwa, ma mwe sǝmat perǝkǝn tǝ kandǝwa.
2902140066	Hanmunchǝkǝna ɓata le nat ficha tǝrandǝ sǝmat perǝkǝna thlǝmannda farinǝyu nanda cherǝ ama.
2902150078	Nifǝsi na ɓumandǝ yuwa njela'a tǝ ɗohǝt njelaawa kǝthlem ma shiɗ kichu na ɗohǝt njelǝkǝna thlahtaɗi ka'ǝn.
29021600c4	Nifǝsi na thlǝr yuwa am innabi kǝ hur ɗohǝt kupat wa, kǝthlǝm nan fǝlta ɗi paɗ nu kuɓat i hurkǝnyu tǝ kupatkǝn nat. Kǝthlǝm ɗǝkǝn naku thlǝr yuwa am innabi kǝ hur yuwa kupata.
2902170063	Farǝyipta nak Yǝso ɓǝrtǝhi tǝ hur hitǝ hwarma, nak kimshechi'ena ɓwerǝt hwarǝm kǝnna mi.
290218006a	Ndang Farisiyawechǝwa: "Nu, kǝthlǝm mi nannda sǝt i ngǝmawuchit kustǝkǝn kǝ sǝficha farǝ yipta?"
2902190096	Ngǝmaǝn kandǝwa: "Tamwuni changngandǝwowa, i sǝt Dauda yahkǝn ɗǝsǝmta kǝthlǝm mitafi'en, kandang tǝ nofchi'en fichile naka thlǝmatkǝnwa?
29021a0105	Yim kǝna kǝtǝn mwanandǝ Fara a thlahɓǝɗi nat Abiyata kǝ kapat Pǝrist, chiikǝn njohmi tahsandǝ fichihi kǝthlǝm kapat Pǝrist le kamuchiksi kǝ chii nifǝ somǝnwa, kapat Pǝrist ndak kamkǝsi kǝ chi'ǝn. Paɗ fǝrangna fichile naka thlǝmatkǝn yu.
29021b0072	"Ndang Yǝso kandǝwa, sǝk fichǝ Farǝyipta Yahudawecha kǝthlǝm nifa, su fichǝ nifa kǝthlǝm Farǝyiptǝwa."
29021c004c	Kǝthlǝm ndǝkǝn, Hweya Nifǝ mǝlan naka Lǝmwanda nat tǝ i Farǝyipta."
290301004f	Farǝ le yimkǝ Yǝso ɓǝt humta Yahudawechihi, nakǝn nifa le sat har'enaɗi.
2903020069	Nak nofcha kǝlandǝ ndu na Yǝso kǝnandaɗaɗi farǝ yipta kǝthlǝm kǝ mbǝsndǝ i nannda tǝramiyafa
2903030044	Ndang Yǝso le sat har'ennaɗiyuwa: "Thla'u thlaru mbanitǝ nofcha."
29030400b6	Sahang Yǝso kanda: "Mǝ mbutǝ kustǝkǝn kǝsǝficha Farǝ Yipta? kafatwa ndu ɓǝɓichitfatwa, kǝ hǝrkang fichǝ shisshingtǝwa ndu kǝ ɓǝlang fichǝwa?" ngaskǝndǝ shetǝta.
2903050092	Kǝlang Yǝso kandǝ tǝ sǝɓ hur ka'ǝn kǝthlǝm kwaakwaachit hanndǝkikechengnanda. Ndaǝnwa: "pupwanan harekuhi." Pupwanaǝn hi kǝnkǝnaɗi.
2903060072	Chek Farisiyawecha tǝ wesha kǝ ɓǝnda nofcha Hiridus kǝthlǝm kǝ tahsangndǝ mbayihi nannda ɓǝlandǝ Yǝso.
290307006e	Thlaakǝ Yǝso tǝ kimshechi'en kǝmi hawurta, kurǝkǝ nofchǝ ndǝ oi thlata Galili nat tǝ nofcha Yahudiya,
290308008c	sǝkkǝndǝ ichi nat nanna sǝtta, yakat nofchǝ ka'ǝn ɓaknda mbǝɗ'en, thlata Urshelima, Edom tǝ hachahai Urdun taa kǝ Taya tǝ Sidon.
290309009f	Kǝthlǝm rahanda njekthlǝ-njekthlǝchitta nofchihar, ndangna kimshechi'enwa ɗama kǝlam han kommbawal har ǝrta, kǝthlǝm terǝ nofcha mǝninda tǝkaharfa.
29030a0061	Kǝnannɗǝ nofcha ɗaɗi oi, nat fa hafecha nangnda ɓahtǝ nduk kǝthlǝm kǝ mbunangndǝharfa.
29030b006e	Chika kwat nat ɓǝɓi shemechikǝn ndi chat kopkǝndǝhi kanda kukwara ndangndǝwa: "Sokǝn naka hweya Fara."
29030c0040	Tiiɗaǝn thlǝmechengnanda kǝ mbwa'anda nifǝ ndu wunnakǝnwa.
29030d003a	Tǝrkǝna ɗargwiya akǝn fichile yahtǝn ɓaknda ɓǝsndi
29030e0082	Taɗkǝn nofchǝ kum ngǝrǝnsǝ chap akǝn kandǝwa kimshechi'en fichile na nat tǝndi, ɓahnan la thlǝnkanda kǝ ɗǝnda ɓasa.
29030f0035	Paɗ nuni mbǝs alchit chandǝ ɓǝɓi luwurcha kish.
290310004b	Fichile taɗtǝn kum ngǝrǝnsǝ chap yu, Saminu (le ɗǝfandǝnwa Bitrus),
290311006d	Yakubu hweya Zabadi tǝ Yohanna hwanmankǝn (le ɗǝfandǝn paɗwa Buwanarjis sakǝtkǝnwa hwecha ɓok era"),
290312008b	Andarawus, tǝ Saminu, tǝ Filibus, tǝ Bartamalawus, tǝ Matiyu, tǝ Toma, tǝ Yakubu hweya Halfa, tǝ Taddawus, tǝ Saminu lǝ Kan'anata.
290313002b	Tǝ Yahuda Iskariyoti le hi'yang Yǝso ɗi.
290314006f	Chat pǝɗak Yǝso huri, ngǝrkǝ nofcha ngomtǝ oi, mǝlan tǝ kimshechi'en ɓǝsundǝ har sǝm ndǝsǝmtǝwa.
2903150053	Kǝ sǝktǝ nofchi'en ɗǝknda kǝsanda kǝthlǝm nofcha ndatwa: "Tǝraa luwurcha."
29031600ac	Malɗǝmchǝ fa sakandǝ ɗelwercha Musa ɗi, fichile ɓaka a Urshelima ndangndǝwa: "Kutur luwurchǝ naka fi'en paɗ tǝ alchita kutur luwurcha la rǝktǝn luwurcha kish."
2903170076	Ak Yǝso kanda, shuwunkǝn tǝ kanda hur sakǝtkǝn, ndakǝnwa tǝkǝni nat sheɗanna ɓǝla kǝtandǝ sheɗanna kish?
2903180037	Ma shek kuturichithi chap, kuturichitkǝn ngu soktǝwa.
2903190038	Kichu paɗ ma shek huraahi chap hurǝkǝn ngu thlarǝwa.
29031a005b	Sheɗan ma thla'aɗa fat'enfa kǝssakǝnhi ngu ɓǝla thlarǝwa kǝthlǝm ndukwat'en ɓaka.
29031b0082	Kitchitkǝn nifǝsina ɓǝla yimta hura'a lǝ alchit kǝ herka'ǝnwa, manga tǝ kǝnaǝn lǝ alchitkǝnhi kana mbǝla herkandǝwa.
29031c0074	Kitchikǝn tǝni mbwa'anda kuni nat ɓǝɓifechi sǝt nofcha na ficha kalandakandǝhi tǝ chika wun njirfat sǝtnda,
29031d0073	Chika tǝ kichu le njirkǝ Chiɗchiɗ tǝ Shemeɗa ngu ficha kalandǝhiwa nakna nat kǝla ɓǝɓichitfat kǝ pware.
29031e0045	Mbukǝ Yǝso kichu kǝthlǝm lǝ ndangndǝwa: "Ɓǝɓi shemeɗ'ensi."
29031f004a	Ɓak mankǝn tǝ hwanmanchikǝn thlarkǝnda kish, thlǝnkǝndǝwa kǝɓan.
2903200074	Yakat nofchi tauranghiyu shuwunkǝndǝ tǝ ndi ndangndǝwa, yatu tǝ hwanmanchiwa kanda katsa kish yehndǝ sa natsa.
290321002f	Ngǝmaǝn kandǝwa: "Wun yaa tǝ hwanmanchina?"
2903220077	Tǝɓǝrkǝnhi tǝ ɓǝɗa fichile ɗas ɗas yu ndangnakandǝwa: "Nam kandǝya fichileya naka nda yaa tǝ hwanmanchina"
2903230034	Nat le sǝk i yahtǝ Fara mǝlan na hwanyaa tǝ yaa.
290401009c	Paɗ tǝrkaakǝ Yǝso sakandaɗa mi kapat hawurta ngomkǝ nofchǝ ka'ǝn, tǝrkǝna hur kommbawal sokkǝnhi kǝ hurkǝn, nofchǝ oi a mi chicheng hawurkǝn.
2904020034	Nakna sakandakandǝhara a hur sakǝtkǝn tǝ ndatwa.
2904030028	Sǝkama! chek lǝ huɗata kish ka hǝfta
2904040063	Nakna weshǝ witǝkǝn, funǝ witǝkǝn hǝmkǝnda hai kǝ hur mbanda, ɓak hanɗishcha chathlanda.
2904050097	Funǝ witǝkǝn paɗ hǝhatkǝnnda ɗar fufurta ɓǝɗi nguchit furtǝsǝ ɗiichin, tifkǝnda kish leɗleɗ, kǝthlǝm ngafurtǝsa ɗarkǝn ɗiichinwa,
2904060059	Tǝkkǝ hwatfarǝhi, lifirkǝndaɗi kǝthlǝm nga thlorǝ'ensǝ ɗiichinwa, hwarkǝnaɗi.
2904070066	Paɗ funǝ hǝhatkǝnda hur ndahcha, mwankǝnda paɗ njekthlang ndahchiyu ɓǝla'utǝ sǝt hwechafuwa.
2904080092	Funǝ paɗ hǝhatkǝndahai kǝ hachahai ɗiichin mbulkǝn sǝkǝn hwechafa, funǝ kumchit mǝkkan, funǝ kumchit tehhweth, funǝ paɗ kumchit kum.
290409003b	Ndak Yǝso wa: "Le nat thlǝmat sǝktǝ'ensi kǝ sǝkkǝn."
29040a006b	Nak Yǝso ichitkǝn, fichile nduk tǝndǝ tǝ kimshechi'en kumngǝrǝnsǝ chap, sahahndǝ sakǝt shuniniyu.
29040b00a3	Ndangnakandǝwa: "kunang ngǝmaficha kunisi kǝ sǝnnuni i naka ɓuɓweeta hur mwanda Fara, fichile nguchika hurnuni, chikamǝ naki mbwa'anda kanda hur sakǝtkǝn.
29040c00ef	Nanda kǝllathi kǝ kǝllathi chika kichu ngunda natwa, kǝ kandǝ thlǝmathi kǝ kat thlǝmathi chika kichu ngunda sǝktǝwa. Kǝthlǝm ma shiɗndǝ kichu nanda tǝɓǝrtǝhi ɓǝnda Fara kǝ kalang fichi ɓǝɓichitfechengnanda kandǝhi.
29040d0058	Ndangnakandǝwa, awi sǝnwuni sakǝt shuniniyuwa? Nakuni sǝn yakat sakchikǝnwa kǝnni?
29040e0022	Lǝ huɗaɗiyu hiftǝ shunda Fara.
29040f00b6	Fichile hǝhatkahai kǝ hur mbandǝyu, kandang naka sakǝt fichile hǝftǝ fichǝ shuwunkǝna hanndǝkikechengnandǝyu, kǝ sǝktǝnda chat kichuyu ɓak sheɗanna thlandǝ kandǝhar.
2904100073	Kichu paɗ hanwitǝ hǝftǝ ficha hur fufurtǝyu, kandang naka fichile sǝkkǝ shuwunkǝn thlǝkndǝ tǝ mbǝnfata.
2904110087	A nakǝn sutǝ thlora hanndǝkikechengnanduwa, nga alchindengnandǝsuwa, ma yimnda hur ɓahtǝ kǝthlǝm shuniniyu chikndǝ hansarǝhi.
290412005a	Funǝ paɗ kandang naka sakǝt fichile hǝhatka hur ndahchiyu, kandang sǝkkǝ shuwunkǝn,
2904130070	paɗ ǝnat kishita tǝ kǝnecha tǝ yah icha kishita, yimkǝndǝsi njaǝn shuwunkǝnna kanda suwa kweshchaǝnwa.
29041400cf	Fichile hǝhtǝ ficha hur furtǝ ɗiichinyu kandang naka sakǝt fichile sǝkkǝ shuwunkǝn thlǝknda, sǝkndǝ torsi mbǝskǝndǝ chekǝtkǝn, funǝ kumchit mǝkkan, funǝ kumchit tehhweth, funǝ kumchitkum.
29041500fd	Ɗǝk Yǝso mban tǝ ndanda kanduwa: "Mǝlapakaa la ɓak fichǝ tǝ tikesha huri kǝthlǝm kǝ supwang fichǝ tǝ i'naftǝwa, manga kichuwa kǝ ɗǝffichǝhi kǝka ɓǝt hunatwa? le ɓatunitǝkǝn kǝthlǝm kǝ ɗǝffuni kǝ ɓǝɗi la ɗǝftǝfichǝwa?
290416005d	Ənsǝnaka ɓuɓweetǝ nguchit ficha chandakishwa, ǝnsa supta nguchit ficha kwallandandǝwa.
290417002b	Le nat thlǝmat sǝktǝensi kǝ sǝkkǝn!''
2904180083	Paɗ ndangna kandǝwa, ɗǝffam i'ndǝsi, kǝ ɗar ǝnǝnǝ sǝktuniyu, somǝɗi kǝkaɗtusi, tǝ ndǝkǝn nat ficha kǝkaɗutǝsi.
2904190098	Kǝthlǝm le natǝn'ensi, mǝlan nat ficha chekanda, le nguchitǝn'ensi paɗ chikale naka har'en na ficha thlandǝhar kǝ chekang ficha le natǝnsǝ'en.
29041a004b	Ndakǝn paɗwa: "Mwanda Fara nakǝn nda nifǝ weshkǝ witǝ'enna hachahaya.
29041b0058	Kǝ hunanhi kǝ thlaǝn tifkǝ witǝkǝnna kish, mwankǝn, sǝnutǝ ndu sǝkǝn kǝniwa.
29041c0055	Furtǝ tǝ i'ndǝ'en la ɓǝlaakǝn mwanandǝ hwarma paɗ kǝ ɓulǝn, sǝn hwechafa.
29041d0047	Ma nihiɗi hwasaǝn tǝ chelta, kǝthlǝm shee thlahɓǝt nǝhatǝ'en."
29041e006a	Ndakǝn paɗwa, nakma kǝkaɗandǝ mwanda Farǝ tǝ mi? Manga kichuwa witǝ sakǝtmi natma kǝkaɗandǝfa?
29041f004c	Nakǝn nda hwan musdad, le nak nguɗeh a hur ichi la hǝftǝficha hachahaya.
2904200093	Chika tǝ kichu ma hǝffa ficha, nan mwanda kǝ mbǝranka tahǝt afchihi hur hitǝkǝnyu, njarkǝnhi ka'ǝn paɗ kana hanɗishcha sokta kaaftǝ'en.
2904210051	Tǝ sakǝt shuwunchǝ ka'ǝn mbutǝ Yǝso shunda Fara, kǝ sǝrǝt sǝndengnanda.
290422006c	Mbwa'autǝ shunda kanda nga tǝ sakǝtkǝnwowa, paɗ mamǝlan ichitkǝn, la mbwa'angna kimshechi'en chikami.
2904230063	Farǝniyu sǝk farǝhufta, ndangna kimshechi'enwa: "Chamǝn hawurkǝn kǝ mi chicheng le taatǝyu."
2904240070	Malkǝndǝ ngomnofchikǝn ɗiffi'in, pǝɗakndǝ tǝnda hur kommbawal ichitkǝn, paɗ kurǝkǝ tahchikǝn kanda.
290425008c	Ndǝkǝn thlatǝ husomba tǝrǝnna ka'ǝn, nak rǝnnikǝna hǝhrandǝ kommbawal tǝkǝn, nak ama hasa hur kommbawal tǝkǝn nda nan nǝhata.
2904260094	Yǝso paɗ mǝla hur kommbawal tǝkǝn a ɗar ɓǝt sokta mǝla saɓweni, nahnang kimshechi'en ndangndǝwa: "Malɗǝm, nǝma tǝktǝhi, kǝmmuwowa?"
2904270083	Nahǝnkǝn, ɓokangna rǝnnikǝnhi, ndangna rah amkǝnwa: "Thlarruhi! kǝ ngasnǝ kǝmma!" Ndǝkǝn thlartǝ rǝnnikǝnhi shǝyyet.
2904280067	Ndangna kimshchi'enwa: "Kǝthlǝm mǝ lechituni kakǝchiuyu? Paa kǝnakǝnya ngafǝrkit engnunisǝwowa?
2904290065	Lechitndaɗǝ kaka'ǝn, ndangndandaniwa: "Witǝ nifǝmǝkicheya, rǝnna'a tǝ ama kanda fǝra mwanda?
2905010034	Kǝ chandǝndǝ suhwaɗa kǝ hachahai Garasinawecha.
290502008a	Kǝ tǝrtǝ Yǝso haya hur kommbawal, thlaakǝ nifa le nak tǝ ɓǝɓi shemeɗa, mbǝt shok tǝ'en mbǝt thlohmurcha ɓakna mbǝɗa Yǝso.
2905030066	Nifǝkǝn kwatmurcha naka mbǝt shoktǝ'en, nifǝsi la mbǝllakkǝ kǝnnanduwa chika tǝ chalalochiwa.
29050400bc	Kǝthlǝm kurɓafichǝ kǝnnandǝ harchi'en tǝ sarǝchi'en tǝ chalalocha, nat tǝkichu ɗǝɗahaǝn chalalo tǝkkǝnnaɗa sarǝ'en. Nga nifǝsi tǝ alchitafa la mbǝlakkǝ kǝssandǝhiwa
2905050086	Nda fiɗikta tǝ fara la nakna kwat murchǝ tǝ ɗar shohlacha kǝnna nata tit ka'ǝn, paɗ kǝnna ɓursa ndǝ fat'enaɗi tǝ ngwicha.
290506004a	Kǝ natǝn Yǝso langnga, paakǝnsi tǝ rahta ɗǝkna hǝmta mbanitǝkǝn.
2905070094	Hwakǝn tǝ alchit tǝ kapat ɓurata ndakǝnwa: "Mǝ natu sǝtsa nji, Yǝso hweya Fara le nak mwanchin? A humuɗi tǝ Fara, mǝ fǝrinǝ pwanchiuwa.
2905080055	Mbukǝn kichu kǝthlǝm nda Yǝso wa: "Chukisshafata nifiya sokǝn ɓǝɓi shemeɗa."
2905090069	Ndǝkǝn sahandǝ Yǝso wa: "Thlǝmmuwa kǝni?" A ngǝmmanwa: "Thlǝmnǝwa terchin, kǝthlǝm nakani oi."
29050a003e	A hwanaǝn Yǝso tǝ ndatwa: "Mǝ rǝkinǝ kanda mbǝnniyuwa."
29050b004c	Kǝthlǝm mbǝnniyu kapat chaɓa katuchisi naka hǝrimtǝ nduk tǝ shohlata.
29050c004e	Ɓǝɓi shemechiyu hwanangnduwa: "Kǝ malaǝn kanda kǝ yimnda hur katuchiyu."
29050d00c4	A ngǝmmang na kandǝsi. Thlaakǝ ɓǝɓi shemechiyu chekndakish, yimkǝnnda hur katuchiyu, katuchiyu shee ndǝ aru kumchit chap, a rah kǝnda ka hǝhhatta hur hawurta, tǝkkǝndǝhi nat ahur ama.
29050e0074	Kǝ nat fa hǝrǝm katuchiyu kichu, rah kǝnda ka mbuta hǝmta, tǝ han hǝmchikǝn chek nofchakish ka nat i sǝkka.
