2800000009	ማቶሳ
2802030073	ካት ሄሮድሳ ይኖ ስእደ ዎደ ታንዳ። የሩሳላመ የዘ አሱንꬅ ኡባና ታንዳ።
28020400b3	ሄሮድሳ ካህኑንꬅ Ꮉላቁንꬃናን ህገ አስታማሩንꬃና ፋጎ ጼጊ፥ «ክርስቶሳ አባ የልንተሳ?» ያጋእ ኡንታና ኦጭዳ።
2802050036	ኡንትን፥ ይሁዳ ቤተለመ፤ ናብዘ፥
28020600d9	«‹ይሁዳ የዘ ቤተለመ፥ ይሁዳ የዘ ዳማ ካታሙንꬃፓ፥ ኔኒ አኮን ኤሮስ። ታ ዎርዥቶ እስራኤለ አሆዳይ፥ ኔፓ ከዞዳ› ጋእ ጻፍዳ» ያጋይዳ።
28020700a8	ይንፓ ሱባ፥ ሄሮድሳ አዋ ከሳፓ ይእደ አሱንꬃና አቺ ጼጊ፥ ጾልንትዛ ኡን ብእደ ዎደ ኡንታፓ ሎይꬂ ኤርዳ።
28020800f2	ኤ ኡንታና ቤተለመ ዳክተራ፥ «Ꮉንግ የልንትደ ናአያ ምንꬂ ኮዮተ፤ ኤዛ ይን ደንግደ ዎደ ታንን Ꮉንግ ኤስ ጎይኖደ ጋር ማቂ ይእተራ ታስ ኦሆተ» ያጋይዳ።
28020900d2	ኡንትን ካት ሄሮድሳ ጋይዳኖ ስእ Ꮉንግዳ። ኡን አዋ ኬስ ዛላራ Ꮉንግ ጾልንትዘ ኡንታና ካልꬅተራ ናአይ የዘ በስቶ የሎደስ ካንግዳ።
28020a0052	ኡን የ ጾልንትዛ ብእደ ዎደ ዳማ ኡፋይስ ኡፋይትዳ።
28020b00c6	ኬꬃ ገሊ ናአይ ፋ እንቲ ማይራምራ የዛያ ብእዳ። ኤስ ቡንቁንቲ ጎይንዳ። ፋ ሳጥንቶ ቡጊ ዎርቃን፥ እጻነን ካርበ ኤስ ሺሽዳ።
28020c0085	ኡን ሄሮድሳጎ ሱብ ማቃመ ፋና ጾዚ አቡኮራ ኡንትስ ኦህን፥ መለ ኦገራ ፋ ጋደ ማቅዳ።
28020d0177	አዋ ኬስ ዛላራ ይእደ አሱንꬅ ቅትዳንፓ ሱባ፥ ላꬄ ኪታንችዘ ዮሰፋስ አቡኮራ ቆንጪ፥ «ሄሮድሳ ናአያ ዎꬎደስ ኮይዘ ግሾ ደንዲ፤ ኤልሲ ናአያን ናአይ እንቶን ኤኪ ግብጸ ጋደ ቅቶ። ነ ማቃደ ዎደ ታ ኔስ ኦሆደ ዎንꬅስ የይጋ ጋምኦ» ያጋይዳ።
28020e0074	ይኒ ግሾ፥ ዮሰፋ ይና ቃምተ ደንዲ፥ ናአያን ናአ እንቶ ኤኪ ግብጸ ቅትዳ።
28020f00ca	ናበ ዶንተ ጾዚ፥ «ታኒ፥ ታ ናአያ፥ ግብጸ ጋደፓ ጼግዳ» ጋእንትደ ቃልታ ፎልንቶደ ጋር ሄሮድሳ Ꮉይቆደ ዎንꬅስ ኤ የይጋ የዝዳ።
2802100170	ይንፓ ሱባ፥ አዋ ኬስ ዛላራ ይእደ አሱንꬅ ኤዛ ጭምዳኖ ኤርደ ዎደ ጋማ ዥልꬍዳ። ኤ ቲኖ ኡንታፓ ስእዳን ፋና ቤተለመን ይና ጉቱተ የዘ ላምእ በረ ኩምዱንꬃናን ላምእ በረፓ ዬካራ የዘ ꬊራꬅ ናኡንꬃና ኡባ ፋ ዎታዳሩንꬃና ዳኪ ዎꬍዝዳ።
28021100fc	ናበ ኤርምያሳ ዶንተ፥ «ዬፎን ዬፎ ደንꬄ፥ ራማ ካታማ ስንትዳ። ራሄላ ፋ ናኡንꬅስ ዬካነ፤ ኡን Ꮉይቂደ ግሾ ምንጎደስ ዳንዳእካያ» ጋእ ኦህንትዳና ፎልንትዳ።
280213006b	ሄሮድሳ Ꮉይቂዳንፓ ሱባ ግብጸ ላꬄ ኪታንቾ ዮሰፋስ አቡኮራ ቆንጪ፥
28021400a5	«ናአያ ዎꬎደስ ኮይዘ አሱንꬅ Ꮉይቂደ ግሾ ደንዲ ናአያን ናአይ እንቶ ኤኪ እስራኤለ ጋደ ማቆ» ያጋይዳ።
280215005f	ዮሰፋ ደንዲ ናአያን ናአይ እንቶ ኤኪ እስራኤለ ጋደ ማቅዳ።
28021600dc	የዝን አርከልዮሳ ይሁዳ ፋ አደ ሄሮድሳ በስተ ካእትዳኖ ስእደ ዎደ የይጋ Ꮉንጎደስ ዣሽትዳ። ጾዚ አቡኮራ ኤስ ቆንጭዝን ጋልላ ጋደ ቅትዳ።
28021700ad	ናቡንꬅ ዶንተ፥ «ናዝረተ አስ ጋእንቶዳ» ያጋእ ኦህንትዳና ፎልንቶደ ፋና ናዝረተ ካታማ Ꮉንግ የይጋ የዝዳ።
28030100ba	የ ዎደ ጻማቅዘ ዋሐንሳ፥ «ጾዘ ካእቱሞ ኡክደ ግሾ ይን ናጋራፓ ማቆተ» ያጋእ ሳባክተራ ይሁዳ አኮ ባይዘ ጋናሳ ቅትዳ።
2803030105	ናበ ኢሳያሳ ዋሐንሳ ባዝ ኦህዳን ፋና፥ «አኮ ባይዘ ጋናሳ፥ ፈታይ ፋ ቃልቶ ꬎቅ ዪዚ፥ ‹ላꬄ ኦግቶ ጊግዞተ። ኤ ዎሮግቶ ሉልዞተ› ጋይዳ» ያጋእንትዳና ኤስ ያጋይዳ።
28030400b6	ዋሐንሳ ግማለ እስን ፓ ኦችንትደ አፉላ ማአነ። ፋ ቃዝንተን ዳፈ ሳቀ ዳንጫነ። ኤ ሙእዘ ካꬅታን ቦለን ደከራ ሽዳ።
280305008a	አሱንꬅ የ ዎደ የሩሳላመ ካታማፓ፥ ይሁዳ ሳአ ኡባፓ ዮርዳኖሳ ቦርካ ካለፓ ኤጎ የእነ።
280306005b	ፋ ናጋርቶ ቡጽ ዮርዳኖሳ ቦርካ ዋሐንሳ ኩሸ ጻማቅንትዳ።
28030700f7	ዋሐንሳ፥ ጋማ ፋርሳዉንꬅን ሳዱቃዉንꬅ ጻማቅንቶደስ ፋጎ ይእዙንꬃና ብእ፥ ኡንታጎ፥ «Ꮉንꬅ ኢታ ሾሹንꬆ፥ ዮኦደ ጾዘ ካቻፓ አቶደ ፋና ይንታና ኦደ ዞርደ?
2803080052	ይኬ፥ ይን፥ ይን ናጋርትፓ ማቅዳኖ ቤዘ ኦቻ ኦቾተ።
28030900d2	ይን፥ ይን ዎዝንተ፥ ‹አብራሃማ፥ ኑ አዳይ የነ› ያጋእ ቆፕፐተ። ሎይꬂ ስኦተ! ጾዚ Ꮉና ሹችትፓ አብራሃማስ ናአ ኬሶደስ ዳንዳአነ።
28030a007b	ጋንደ ምንጽት ጻጵተ ጊጊ የነ፤ ሎኦ ኣፈ ኣፎሰ ምንጻ ኡባ ጋቺ ታማ ኦልንቶዳ።
28030b013a	«ይን፥ ይን ናጋርትፓ ማቅዳኖ ኤርሶደስ ታ ይንታና Ꮉꬃ ጻማቃነ። የዝን ታፓ ሱባራ የእዘ ይንታና ጌሽ አያናራን ታማራ ጻማቆዳ። ኤ ታፓ ጋማ ዎልቃራ የነ፤ ታ መለ አቶ የዝን ኤ ጫምቶ ቱኮደስን ቤዞስ።
28030c00bc	ካꬃ ጌሽዘ ፍꬅታ ኤ ኩሽተ የነ። ካꬅቶ ሎይꬂ ጌሻነ፤ ዛርግቶ ፋ ፋችተ ጉሶዳ፥ የዝን ፉግቶ ꬋቦሰ ታማ ምቾዳ» ያጋይዳ።
28030d0075	የ ዎደ የሱሳ ዋሐንሳ ኩሸ ጻማቅንቶደስ ጋልላፓ ዮርዳኖሳ ቦርካ Ꮉንግዳ።
28030e0089	የዝን ዋሐንሳ ኤዛ ካዮደስ ኮይ «ታኒ ኔራ ጻማቅንቶደስ ቤዝን ነ ታጎ የእነ?» ያጋይዳ።
28030f00bd	የዝን የሱሳ ማህ፥ «ጾዚ ኑፓ ኮይዘ ባዝ ኡባ ኑ ፎሎደስ ቤዘ ግሾ Ꮉተ ታስ ኤሮ ጋኦ» ያጋይዳ። ዋሐንሳ ኤስ ዬኤ ያጋይዳ።
28031000b9	የሱሳ ጻማቅንትደ ፋና Ꮉꬅትፓ ከዝዳ። ኢራ ሳሎ ቡጉንትን ጾዘ አያና ዎለ ፋና የኦደራን ማህ ፋላ አፋ ዎꬎደራ ብእዳ።
2803110081	የ ዎደ «Ꮉይቼ ታ ካዽዘ፥ ኤ ታና ኡፋይስዘ ታ ናአይ Ꮉያ» ያጋዘ ቃላ ሳሎፓ ይእዳ።
2804010081	ይንፓ ሱባ፥ ጻላሄ የሱሳ ፋታኖደ ጋር ጌሽ አያና የሱሳ አኮ ባይዘ ጋናሳ ካንግዳ።
2804020054	ኦይታም ቃማን ኦይታም አዋራ ጾምዳንፓ ሱባ ናይꬍዳ።
2804030087	ጻላሄ የሱሳጎ ይእ «ነ ጾዝ ናአ ማቅኮ፥ አነ Ꮉይ ሹችዛ ሶሎ ማቃደ ፋና ኪቶ» ያጋይዳ።
28040400c0	የሱሳ ማህ፥ «‹አስ ጾዘ ዶናፓ ከዘ ቃላ ኡባነ የሳደፕ አትን ሶሎ ጻላላራ የዞስ› ጋእንት ጾዘ ቃልተ ጻፍንትዳ» ያጋይዳ።
2804050066	ማህን፥ ጻላሄ የሱሳ ጌሽ ካታማ ካንግ፥ ጾዘ ኬꬅትስ ኦምተ ኬሲ፥
2804060138	«ነ ጾዝ ናአ ማቅኮ፥ አነ ሱለ ሳአ ጎልኦ። አኮስ ጋይኮ፥ «‹ነ ቶህታ ሹቻላ ꬉቡንታመ ፋና፥ ፋ ኩሽትራ ነና ደንꬆደ ፋና፥ ጾዚ ፋ ኪታንቹንꬃና ነ ግሾ ኪቶዳ› ጋእንት ጾዘ ቃልተ ጻፍንትዳ» ያጋይዳ።
280407008c	የሱሳ ኤጎ፥ «ማህ፥ ‹ጾዘ ቃልተ ነ ላꬃ፥ ነ ጾዛ ፋታንፐ› ያጋእ ጻፍንትዳ» ጋእ ማህዳ።
2804080088	ዉርሱꬅተ ጻላሄ የሱሳ ፈቲ ዳማ ደረ ኦማ ኬሲ አላመ ካእቱሞ ኡን ቦንችትራ ፈትላ ቤዚ፥
280409005b	«ነ ታስ ጎልእ ጎይንኮ ታ ኔስ Ꮉኖ ኡባ እንጎዳ» ያጋይዳ።
28040a00c8	የሱሳ ማህ፥ «Ꮉይ ጻላህዛዮ፥ ታፓ Ꮉኮ! ‹ነ ላꬃ፥ ነ ጾዛ ጎይኖ፥ ኤ ጻላላስ ኪትንቶ› ጋይንት ጾዘ ቃልተ ጻፍንትዳ» ያጋይዳ።
28040b005f	ይንፓ ሱባ፥ ጻላሄ አሺ ቅትዳ፤ ኪታንቹንꬅ ይእ ኤዛ ማድዳ።
28040c005b	የሱሳ፥ ዋሐንሳ አጭንትዳኖ ስእደ ዎደ ጋልላ ጋደ ቅትዳ።
28040d009a	ናዝረተ ካታማ አሺ ዛብሎነን ንፍታለመ ጉታ፥ አባ ካለ የዘ ቅፍርናሆመ ካታማ Ꮉንግ የይጋ የዝዳ።
28040e0034	ይና Ꮉንዳና ናበ ኢሳያሳ ዶንተ፥
28040f00b5	«ዛብሎነ ጋደን፥ ንፍታለመ ጋደ፥ ዮርዳኖሳ ቦርካፓ ሰኮ ፍንꬃ፥ አባ ኦገ፥ አይሁደ ማቆሰ ዎርዡንꬅስ የዘ ጋልላ፥
28041000b1	ꬉማ የዘ ዎርዣ፥ ዳማ ፎኦ ብእዳ። Ꮉይቆ ዳሾ ጋደ፥ የዙንꬅስ ፎኦ ከዝዳ» ያጋእ ኦህንትደ ቃልታ ፎልንቶደ ፋና።
280411008f	የ ዎደፓ ደንꬂ የሱሳ፥ «ጾዝ ካእቱሞ ኡክደ ግሾ ይን ናጋርትፓ ማቆተ» ያጋእ ቃላ ሳባክዳ።
28041200fa	የሱሳ ጋልላ አባ ካለራ አꬍተራ ላምእ እሹንꬃና፥ ጴጥሮሳ ጋእንትዘ ስሞናን ኤ እሻ እንድራሰ ብእዳ። ኡን ሞሎ አይክዙንꬃና ማቅደ ግሾ ፋ ግትቶ አባላ ኦልዳ።
28041300a9	የሱሳ ኡንታና፥ «Ꮉንካ ዮኦተ፤ ታና ካሎተ! ሞሎ አይክዛኖ አሺ፥ ታ ይንታና አስ አይፎ ታማርሶዳ» ያጋይዳ።
2804140046	ኡን፥ ኤልሲ ፋ ግትቶ ኦሊ አሺ የሱሳ ካልዳ።
2804150116	የሱሳ የይጋፓ Ꮉጋ ጎደ ቲኖ ኣꬍተራ መለ ላምእ እሹንꬃና፥ ዛብድዮሳ ናኡንꬃና፥ ያይቆባን ዋሐንሳን ብእዳ። ፋ አዳይ ዛብድዮሳራ ዎላ ጎንገ ግዳ ፋ ግትቶ ሎይꬅዙንꬃና ጼግዳ።
2804160056	ኡን፥ ኤልሲ ፋ ጎንግቶን ፋ አዳያን አሺ የሱሳ ካልዳ።
28041700c8	የሱሳ አይሁደ ዎሳ ኬꬃ ታማርስተራ፥ ሳሎ ካእቱሞ ዎንገለ ኦህተራ ዱማ ዱማ Ꮉርገፓ አሱንꬃና ፋꬅተራ ጋልላ ሳአ ኡባነ ዉትዳ።
280418013d	ይንፓ ደንዲ ኤ ሱንꬅታ ሶርያ ጋደ ኡባ ኤርንትዳ። ዱማ ዱማ Ꮉርገራ አይክንትዱንꬃናን ዋይንትዙንꬃና፥ ቱና አያናራ አይክንትዱንꬃና፥ ቢጮራ የዙንꬃና፥ ዎቡንꬃና ኤጎ ክእዳ፤ ኤዝን ኡንታና ፋꬅዳ።
28041900cd	አሱንꬅ ጋልላፓ፥ ታጵ ካታሙንꬃፓ፥ የሩሳላመፓ፥ ይሁዳፓን ዮርዳኖሳ ቦርካ ሰኮ ፍንꬃ የዘ ጋደፓ ይእደ ጋማ አሱንꬅ ኤዛ ካልዳ።
280501007b	ጋማ ዎርዣ ሺቅዳኖ የሱሳ ብእ ደረላ አፋ ኬዚ በትዳ። ኤ ታማሩንꬅ ኤጎ ሺቅን፥
280502002a	Ꮉኒ ጋር ያጋእ ታማርስዳ፦
280503006c	«ፋ አያንተ ዳሃ ማቅዱንꬅ አንጅንትዱንꬃና፥ ሳሎ ካእቱሞ ኡንትስ።
280504004f	ዬክዙንꬅ አንጅንትዱንꬃና፥ ኡን ምንꬅ ደንጎዳ።
2805050050	ዎዝና አዱንꬅ አንጅንትዱንꬃና፥ ኡን ሳአ ላቶዳ።
2805060075	ጽሎትꬅ ኦቾደስ ናይꬍዙንꬅን ባርꬍዙንꬅ አንጅንትዱንꬃና፥ ኡን ምሻዳ።
2805070052	ማርዙንꬅ አንጅንትዱንꬃና፥ ኡን ማሮትꬅ ደንጎዳ።
2805080050	ዎዝና ጌሹንꬅ አንጅንትዱንꬃና፥ ኡን ጾዚ በአዳ።
2805090063	ጊግዙንꬅ አንጅንትዱንꬃና፥ ኡን ጾዝ ናአ ጋእንት ጼግንቶዳ።
28050a0083	ጽሎትꬅ ኦችዘ ግሾ ጋእ፥ ባይእንትዙንꬅ አንጅንትዱንꬃና፥ ሳሎ ካእቱሞ ኡንትስ።
28050b00c2	«አሱንꬅ ይንታና ታ ግሾ ጋእ ጫዥዘ ዎደ ባይእዘ ዎደን ይንታላ አፋ ኢታ ባዝ ኡባ ዎርዶራ ኦህዘ ዎደ ይን አንጅንትዱንꬃና።
28050c00ae	ይን አንጅታ ሳሎ ዳማ ማቅደ ግሾ ኡፋይቶተ፥ ሎይꬂ ኡፋይቶተ። ይንታፓ ቲኖ የዝደ ናቡንꬃና ይኒ ጋር ባይእዳ።
28050d00b8	«ይን ሳአስ ሶገ፤ ሶገ ፋ ማልእቱምቶ አሽኮ፥ ዋይዝ ማህ ደንጎደ? ባለ ꬎግኮ አሳራ የꬍንታነፕ አትን አኮስን ማዶስ።
28050e0067	«ይን ሳአስ ፎኦ፤ ደረላ አፋ የዘ ካታምታ አችንቶደስ ዳንዳኦስ።
28050f0099	ጾምፐ አይꬂ ኬꬃ የዘ አሱንꬅ ኡቡንꬅስ ፎኦደ ጋር ꬎቃ በሳ ጋዳነፕ አትን ጋባተ ግዳ ጋድዘ ባያ።
2805100098	ይኒ ጋር አሱንꬅ ይን ሎኦ ኦችቶ ብእ፥ ሳሎ የዘ ይን አዳያ ቦንቾደ ጋር ይን ፎእታ አስ ቲኖ ፎኦ።
28051100da	«ታኒ ሙሴ ህግቶን ናቡንꬅ ቃላ ሻሮደስ ይእዳ ይንትስ አዝፐ። ታኒ፥ ኡን ኦህዳና ቱሮ ማቅዳኖ ቆንጭሳደስ ይእዳፕ አትን ሻሮደስ ይእካያ።
28051200b0	ታ ይንትስ ቱሮ ኦህነ፤ ሳሎን ሳአ አꬎደ ዎንꬅስ ህገ ኡባ ፎልንቶደፕ አትን ህግትፋ ፈቲ ቃላ ዎይ ፍዳለ አꬎስ።
2805130162	ይኒ ግሾ፥ Ꮉና ኪትትፓ ኤርዘ ፈቲ ኪታን መንꬅዘ ኦደን ማህ መሉንꬃና ይኒ ጋር ኦቾደ ጋር ታማርስዘ ኦደን ሳሎ ካእቱሞ ኡቡንꬃፓ ኤራꬅ ማቃዳ። የዝን Ꮉና ኪቶ ፎልዘን መሉንꬃናን ፎሎደ ጋር ታማርስዘ ሳሎ ካእቱሞ ዳማ ማቃዳ።
28051400bb	ታ ይንትስ ኦህነ፤ ይን ጽሎትꬅታ ፋርሳዉንꬅ ጽሎትꬃፓን ህገ አስታማሩንꬅ ጽሎትꬃፓ አꬋንጽኮ፥ ሳሎ ካእቱሞ ገሎስ።
2805150085	«ይን ማይዙንꬅስ፥ ‹ዎꬍፐተ፤ ሸምፖ ዎꬍደ ኦደን ፍርድንቶዳ› ጋእንትዳኖ ስእዳ።
280516010f	የዝን ታ ይንትስ ኦህነ፤ ፋ እሻያ ጫዥዘ ኦደን ፍርድንቶዳ። ፋ እሻያ ጫዥዘ ኦደን ዳይና ቲኖ ፍርዳስ ሺቆዳ። ፋ እሸጎ፥ ‹ኤያይ› ጋዘ ኦደን ማህ ጋናመ ታምተ ፍርድንቶዳ።
2805170071	«ይኒ ግሾ፥ ነ ነ ዣርሾ ዣርሽዘ ዎደ ነ እሻያ ቆህደ ባዝ ኔስ ቲርንትኮ፥
28051800a1	ነ ዣርሽቶ እዛ በስተ አሺ አሺ ቅቶ፤ ቲኖ Ꮉንግ ነ እሻይራ ጊጎ፤ የይዝ ማቂ፥ ነ ዣርሽቶ ጾዝስ ዣርሾ።
28051900ef	«ነና ሞትዘራ ፍርዳ ኬꬃ Ꮉንግተራ ኦገላ ኤራ ጊጎ። ይና አቶ ጋይኮ ኤ ነና ዳይና ቲኖ ካንጎዳ። ዳይንዘ ነና አጭዘስ አꬂ እንጎዳ፤ ኤ ነና ዎይነ ኦሎዳ።
28051a00af	ታ ቱሮ ኦህነ፤ ኔላ አፋ ፍርድንትደ አጭቶ ፈቲ ሳንትመ አትካይዝን ጭጊ Ꮉሶደ ዎንꬅስ አች ኬꬃፓ ሙሎን ኬዛማ።
28051b0055	«Ꮉንፓ ዛጋ፥ ‹ኦላለ Ꮉንትፐተ› ጋእንትዳኖ ስእዳ።
28051c0074	የዝን ታ ይንትስ ኦህነ፥ ማቾ ብእ፥ አሙꬍደ ኡባ ፋ ዎዝንተ ኢራ ኦላልዳ።
28051d00c5	ነ ምዛቅ ኣፍዘ ኔስ ናጋራስ ምክናተ ማቅኮ፥ ኬሲ ኦሎ። ነ ጋልታ ኩሙꬅ ጋናመ ታማ ዎꬎዳንፓ ነ ጋልትፓ ፈታይ ꬋብኮ ኔስ ሎኦ።
28051e00d2	ነ ምዛቅ ኩሽዘ ኔስ ናጋራስ ምክናተ ማቅኮ፥ ኤዛ ጋቺ ኦሎ። ነ ጋልታ ኩሙꬅታ ጋናመ ታማ ዎꬎዳንፓ ነ ጋልትፓ ፈታይ ꬋብኮ፥ ኔስ ሎኦ።
28051f005a	«‹ፋ ማችቶ ዳክዘ ኦደን ዳፎ ዋርቃተ እንጎ› ጋእንትዳ።
28052000d6	የዝን ታ ይንትስ ኦህነ፤ ፋ ማችቶ ኦላልካይዝን ብልዘ ኦደን እዛ ኦላሎደ ጋር ኦቻነ። ይኒ ጋራን፥ ዳክንትደ ማችቶ ኤክዘ ኡባ ኦላልዳ።
280521008a	«ይን ማይዙንꬃጎ፥ ‹ዎርዶ ጫቂፐተ፤ ይን ጾዘ ቲኖ ጫቂዳኖ ፎሎተ› ጋእንትዳኖ ስእዳ።
2805220087	የዝን ታ ይንትስ ኦህነ፤ ሙሎን ጫቂፐተ። ጾዚ በትዘ ኦይዳ ማቅደ ግሾ ሳሎራ ጫቂፐተ።
2805230098	ኤ ቶህታ የꬍዘ በሲ ማቅደ ግሾ ሳአራ ጫቂፐተ። ዳማ ካት ካታማ ማቅደ ግሾ የሩሳላመራን ጫቅፐተ።
2805240081	ይን ኦምትፓ ፈታያ ቦꬅ ዎይ ካርꬅ ማሆደስ ዳንዳኦሰ ግሾ ይን ይን ኦምተ ጫቂፐተ።
2805250081	ይኒ ግሾ፥ ይን ቃልታ፥ ‹ዬ› ዎይ ‹አደ› ማቆ። ይንፓ ባለ ከዝዘ ጻላሄፓ የእነ።
2805260054	«‹ኣፈ ግሾ ኣፈ፤ አች ግሾ አች› ጋእንትዳኖ ስእዳ።
28052700c1	የዝን ታ ይንትስ ኦህነ፤ ይንታላ አፋ ኢታ ባዝ ኦችዘ አꬃ እጽፐተ። ኦደን ነ ምዛቅ ꬎኦክዛ ባቂኮ ነ ዎርክታ ꬎክዛን ቤዞ።
280528006e	ፈቲ አሲ ነ ሻምዛ ዎልቃራ ኤኮደስ ነና ሞትኮ፥ ነ ኮትዛን ጉጂ እንጎ።
28052900a9	ፈቲ አሲ ነና ዎልቃራ ፋ ባዝ ቶሲ ፈቲ ሳተ ኦገ ፋራ Ꮉንጎደ ጋር ነና ኡንእꬅኮ፥ ኤራ ላምእ ሳተ ኦገ Ꮉንጎ።
28052a005b	ዎስዘ ኦደስን እንጎ፤ ኔፓ ታልኦደስ ኮይኮ ኦናን ካይፐ።
28052b005d	«‹ነና ካꬍዛ ካꬎ፤ ነና እጽዛያ እጾ› ጋእንትዳኖ ስእዳ።
28052c007b	የዝን ታ ይንትስ ኦህነ፤ ይን ሞርኩንꬃና ካꬎተ፤ ይንታና ቆህዙንꬅስ ዎሶተ።
28052d00ec	ይኒ ጋር ይን ኦችኮ፥ ሳሎ የዘ ይን አዳይስ ይን ናኡንꬃና ማቃዳ። ኤ ኢቱንꬅስን ሎኡንꬅስ አዋ ካሳነ፤ ጽሉንꬅስን ናጋራንቹንꬅስን ፋ እራ ቡክዛነ።
