2800000004	Moti
2802050066	Ítara yóggwa re hoór de, “Yohúdiya elakar Betélhem ot, kiyólla-hoilé nobi ye endilla leikké:
28020600e3	‘Ó Yohúdiya elakar Betélhem, Yohúdiyar hókumot-goróya ókkol or bútore tui honó mikká ttu cóñṛo no; kiyólla-hoilé tor bútottu eén ézzon Hókumot-goróya aibó, zibá ye Añr bonda Isráili re soraibó.’”
2802070067	Hétunot Hérude fonḍit ṭún ore aiddone matai zaniloiyé de, tara wa borabor hotúnot dahá gíyl.
28020800d5	Baade yóggwa ye ítara re eén hoói Betélhem ot difeṛáiye, “Tuáñra zai hé gura Fua wa re cúndorgori tuwogói. Íba re loot faile añré hóbor díyo, zeéne añí yó aái Íba re sóida gorí fari.”
28020900ab	Ítara baáñccar hotá fúni bacá lóiye, aar ítara fuk mikká ze tara deikkíl, yíba Fua wa ziyóñt asé íñyot zai nó tíya foijjonto ítarar age-age zaat accíl.
28020a002d	Tara wa dekí ítara ódorbaára kúci óiye.
28020b00e8	Ítara gór gán ot foóñsi yore, Fua wa re Íbar maa Moriyam or fúañti deikké; baade ítara meṛit fori Íba re sóida goijjé. Tarfore ítara nizor baccú gún kúli cúna, luban edde mur añtor ókkol Íba re hádiya diiyé.
28020c0082	Aar Hérud or héṛe waafes no zaito cóppon ot Allar torfóttu úñciyari fai, ítara arek boli nizor mulluk ot fíri giiyégoi.
28020d0117	Fonḍit ṭún zaigói baade, Mabud or ek fírista ye Yusúf ore cóppon ot dahá dí hoór de, “Uṛó, Fua edde Íbar maa re looi Ijíp ot dáizogoi. Añí zetódin nó hoói hétodin foijjonto héṛe tákiyo, kiyólla-hoilé Hérude Fua wa re marifélai bolla tuwaibó.”
28020e0058	Hétunot Yusúf uṛí rait tákite Fua edde Íbar maa re looi, Ijíp olla bacá lóiye,
28020f00ab	aar Hérud nó more foijjonto héṛe táikkil. Híyan etollá óiye, zeéne Mabude nobir duara hoóil de yián fura ó, “Añí Añr Fua re Ijíp ottu ḍahai ainní.”
2802100166	Hérude zeñtté Fonḍit ṭúne yóggwa re bóoñt díye de zainné, yóggwa ttu bicí guccá uiṭṭé; aar hé fonḍit ṭún ottu ze októr hotá zanilóil hé októr ísaf mozin, Betélhem ot edde híyan or atehañsór zaga ókkol ot dui bosór edde yár nisor zedún morotfuain asé, ítarar hañse manúc difeṛái ítara beggún ore marifélaiye.
2802110039	Híyane nobi Yarmíyahr duara hoóil de yián fura óiye,
28021200b4	“Ramá cóor ot eggwá abas fúna gíyeh, hañdanir edde bicí ferecanir. Rahéla ye nizor fuain dor lla hañder, aar tosólli kobul no gorér, kiyólla-hoilé ítara ar nái.”
280213005d	Zeñtté Hérud morigiyói, Mabud or ek fírista ye Yusúf ore Ijíp ot cóppon ot dahádiye,
28021400ad	aar hoór de, “Uṛó, Fua edde Íbar maa re looi Isráil mulluk ot waafes zoogói, kiyólla-hoilé zetará niki Fua wa re zane marifélaito tuwaáil ítara morigiyói.”
2802150052	Tói Yusúf uṛí, Fua edde Íbar maa re looi Isráil mulluk ot waafes aáigiyoi.
28021600db	Montor yóggwa ye zettót endilla fúinne, Arkeláyose Yohúdiyat tar baf Hérud or zagat hókumot gorér, tói yóggwa héṛe zaite ḍooraiyé. Baade cóppon ot Allar torfóttu úñciyari fai, Galil elakat giiyégoi,
28021700ae	aar zai Nasárat nam or ekkán cóor ot bocót gorát doijje. Héndilla etollá óiye, zeéne nobi ókkol or duara hoóil de yián fura ó, “Íba re Nasári howá zaybo.”
2803010061	Ek din bápṭismadoya Yaháya aái, Yohúdiyar moidan zagat endilla hoói tobolik gorát doijje,
2803020044	“Touwá goró, kiyólla-hoilé asmani raijjo ḍáke aáigiyoi.”
28030300ac	Yóggwa óilde ubá zibár baabute nobi Yesáyah ye hoóil de, “Moidan zagat ezzone guzori-guzori eén hoór, ‘Mabud or foñt toiyar goró; Íbar rasta uzu goró.’”
28030400a4	Yaháya ye uñṭ or keñc loi banaiya hoor fiñdíto, aar yóggwar keeñil ot samarar duali baindá tákito. Yóggwar hána accíl de fíring edde zooñl or modú.
280305007a	Hé októt Jerúsalem ottu, tamám Yohúdiya ttu, edde Jordán hál or sairókul ttu manúc ókkol yóggwar hañse giiyé,
2803060061	aar nizor-nizor guná ókkol cíkar gorí, ítara Jordán hál ot yóggwa ttu bápṭisma loiyé.
28030700f8	Yóggwa ye zeñtté Féroci ókkol edde Sadukái ókkol boóut zone bápṭisma loito yóggwar hañse aiyér de deikké, yóggwa ye ítara re hoór de, “Ó háf or fuain ókkol! Aibár gozzob ottu dáizayboi lla tuáñra re hone úñciyari díye?
2803080037	Touwá lói mil há de héndilla gulagala ókkol dóro,
28030900c3	aar nizor dil ot endilla kíyal nu ainnó de ki, ‘Añára ttu toh baf ísafe Ibrahím asé.’ Añí tuáñra re hoóir, Alla ye sailé e cíl lun ottu yó Ibrahím olla fuain foida gorí fare.
28030a0081	Aar ehón toh gas or gurat kuróil raká gíyeh. Hétolla, ze gas ot gom gula no dóre, yíba re haṛi ooin ot félaidiya zaybo.
28030b0109	Añí de tuáñra touwá goijjó de hétolla éna tuáñra re fanít bápṭisma díh; montor añí baade zibá aiyér, Íbar tokka añr túaro ḍoóñr. Añí Íbar cenṭár boi bolla úddwa laayek no. Íba ye tuáñra re Pak-Ruh edde ooin loi bápṭisma díbo.
28030c00ca	Íbar kula Íbar át ot asé; Íba ye Nizor hóñla re cúndorgori sáf goríbo, aar Íbar giyuñ re gudam ot zoma goríbo, montor suwa gún ore Íba ye honódin no nifé de ooin ot furat difélaibo.”
28030d0065	Hé din ókkol ot, Isá bápṭisma loito Galil ottu Jordán hál or hañsat Yaháyar héṛe aiccé.
28030e00aa	Montor Yaháya ye Íba re endilla hoói maná goittó kucíc goijjíl, “Añr ttu éna Tuáñr hañsóttu bápṭisma loibar zorur, aar Tuñí añr hañse aiccó dé?”
28030f00b5	Montor Isá ye zuwabe yóggwa re hoór de, “Ebar yián óito dóh, kiyólla-hoilé endilla gori añára ttu, Alla ye saár de híyan fura gorár zorur.” Tói yóggwa razi óiye.
28031000ae	Isá bápṭisma loi mottor, faní ttu kul ot uiṭṭégai. Hétunot asman kúligiyoi, aar Íba ye dekér de, Allar Ruh hoitor or ḍóilla ói lami aái Íbar uore boiyér.
2803110076	Aar héñtte asman ottu éggwa abas aiccé, eén hoór de, “Ibá Añr adorja Fua, Ibá re lói Añí bicí kúci.”
2804010059	Yárbaade Pak-Ruh ye Isá re moidan zagat loigiyé, zeéne Íba re Ibilíce entán goré.
280402003c	Salic din salic rait ruza rakí baade Íba ttu búk laiggé.
2804030087	Hé októt entán-goróya aái Íba re hoór de, “Zodi Tuñí Allar Fua de óile, e fattór gún ore ruṭi óizaytoi hókum dóh.”
28040400a5	Montor Íba ye zuwabe hoór de, “Pak-kalam ot endilla asé, ‘Manúc siríf ruṭi loi base de no, bólke Allar muk ottu neele de hárr hotá lói beh base.’”
280405005b	Tói hé Ibilíce Íba re pak cóor gán ot loizai, baitul-mukaddos or tullit tíyagaraiye,
2804060125	baade Íba re hoór de, “Zodi Tuñí Allar Fua de óile, nise záp maro; kiyólla-hoilé pak-kalam ot toh endilla asé, ‘Íba ye Tuáñr baabute Nizor fírista ókkol ore hókum díbo; tói ítara nizor áte Tuáñre dórifelaibo, zeéne Tuáñr ṭénge honó fattór ot duk no faa.’”
2804070075	Isá ye ítare hoór de, “Pak-kalam ot toh yián óu asé, ‘Tuñí tuáñr Mabud Alla re entán no goríba.’”
280408007c	Tarfore Ibilíce Íba re eggwá uñsol faár ot loizai, duniyair tamám raijjo ókkol edde híin or fura cáandari daháiye.
2804090071	Tói íte hoór de, “Zodi Tuñí meṛit fori añré sóida goró, añí iín beggún Tuáñre diifélaiyum.”
28040a00a7	Isá ye ítare hoór de, “Cóitan, dur ó! Pak-kalam ot endilla asé, ‘Tuñí tuáñr Mabud Alla re beh sóida goríba, aar siríf Íbar beh ebaadot goríba.’”
28040b0060	Hétunot Ibilíce Íba re eri giiyégoi, aar fírista ókkol aái Íba re hédmot gorát doijje.
28040c004e	Zeñtté Isá ye Yaháya re ziyól ot díye de fúinne, Íba Galil ot giiyói;
28040d0078	aar Nasárat cóor félai, Zebulun edde Nafṭalir zagat ḍiír hañsa loi asé de Kaparnahúm cóor ot zai táikkegoi.
28040e004a	Híyan etollá óiye, zeéne nobi Yesáyahr duara hoóil de yián fura ó,
28040f0071	“Zebulun or elakat edde Nafṭalir elakat, doijjar rastat, Jordán hál or okule, Beyohúdi ókkol or Galil ot,
2804100093	ze manúc ókkol andár ot accíl, ítara ekkán ḍoóñr foór deikké, zetará moot or andárja mulluk ot accíl, ítarar hañse foór óiye.”
280411007f	Hé októt lóti Isá ye eén hoói tobolik gorát doijje, “Touwá goró, kiyólla-hoilé asmani raijjo ḍáke aáigiyoi.”
28041200e3	Isá Galil Ḍiír hañsa báy áñṛi zaar de októt, Íba ye duwá bái deikké, yáni Sáimon, zibá re Fitor ḍaikké edde íbar bái Enderiyas ore. Héñtte ítara ḍiít zal marer, kiyólla-hoilé ítara zailla accíl.
2804130068	Íba ye ítara re hoór de, “Añr fisáli doro, Añí tuáñra re manúc dóre de zailla banaiyúm.”
2804140042	Ítara éhon or bútore ítarar zal lun eri, Íbar fisáli doijje.
28041500e2	Híyan ttu aró hoddúr giiyé rár, Íba ye aró dui bái deikké, yáni Zebedair fua Yakub ore edde yóggwar bái Yohánna re. Héñtte ítara noowr uore ítarar baf Zebedair fúañti zal ṭuner. Íba ye ítara re mataiyé,
2804160052	hétunot ítara éhon or bútore noow gán edde baf ore eri, Íbar fisáli doijje.
28041700cd	Isá ye Galil or agagura zai-zai Yohúdir mujilíc-hána ókkol ot taalim dito edde raijjor kúchóbor tobolik goittó, aar maincór fottí kisím or biyaram edde fottí kisím or ocúk ókkol gom goittó.
280418010c	Íbar hóbor Siíriyar agagura fóligilgoi; aar maincé biyaraimma zetará ttu ḍoilla-boḍoilla biyaram asé edde duk faar, zetará búte-faiya, zetará ttu súañfíra asé, zetará añtur, ítara beggún ore Íbar hañse ainné, aar Íba ye ítara re gom goijjé.
2804190081	Galil ottu, Dekapólis ottu, Jerúsalem ottu, Yohúdiya ttu, edde Jordán hál or farkul ottu dol-dol manúc Íbar fisá doijjil.
280501007a	Manúc or dol dekí Isá eggwá faár or uore uiṭṭégoi, aar Íba boiccé rár, Íbar cárit tun Íbar héṛe aiccé.
2805020047	Hétunot Íba ye Nizor muu kúli ítara re endilla taalim diyat doijje:
2805030057	“Mubarek uitará, zetará ruúhanir gorif, kiyólla-hoilé asmani raijjo toh ítarar.
280504004f	Mubarek uitará, zetará ferecanit asé, kiyólla-hoilé ítara tosólli faibo.
280505004f	Mubarek uitará, zetará cída, kiyólla-hoilé ítara toh duniyai miras faibo.
2805060080	Mubarek uitará, zetará Allar moncá mozin goittó búkki edde tiráci, kiyólla-hoilé ítarar hé moncá furafuri fura óibo.
2805070056	Mubarek uitará, zetará rahám dil ola, kiyólla-hoilé ítara re rahám gorá zaybo.
280508004b	Mubarek uitará, zetarár dil sáf, kiyólla-hoilé ítara Alla re dekíbo.
280509005c	Mubarek uitará, zetará sólluk goríde, kiyólla-hoilé ítara re Allar fuain howá zaybo.
28050a006d	Mubarek uitará, zetará Allar moncá mozin goróne zulúm faa, kiyólla-hoilé asmani raijjo toh ítarar.”
28050b00a8	“Mubarek tuáñra, zeñtté maincé Añr lla bóuli tuáñra re beizzoti goré, zulúm goré, edde na hókkot tuáñrar baabute hárr ḍóilla bura-ára ókkol hoó.
28050c00c3	Héñtte tuáñra kúci goijjó edde kúci óiyo, kiyólla-hoilé tuáñra lla asman ot ḍoóñr boccíc asé. Tuáñrar age ze nobi ókkol accíl ítara re yó maincé héndilla zulúm goittó.
28050d00d6	“Tuáñra óilade duniyair nun; montor zodi nun or dok zaagói, híin ore keéngori abar nuncá gorí fara zaybo? Híin toh ar honó ham ot nu aiyé. Híin ore baáre félaidiya zah, aar maincór úñran ot fore.
28050e0064	“Tuáñra óilade duniyair nur. Faár or uore bañdá gíyeh de cóor toh lukai rakí fara no zah.
28050f0091	Honó maincé serak dórai báñir or tole raké de nái, bólke boiṛónir uore beh raké, tói híyane gór ot asé de beggún ore foór déh.
280510008d	Héndilla góri, tuáñrar foór maincór muúntu zolouk, zeéne ítara tuáñrar gom ham ókkol dekí tuáñrar asmani Baf or mohíma goré.
28051100ba	“Tuáñra endilla no ṭáaijjo de ki, Añí Muúsar Córiyot yáh nobi ókkol or cíkka baatel goittó aiccí. Añí híin baatel goittó aiccí de no, bólke fura goittó aiccí deh.
28051200b7	Añí tuáñra re sóiyi hoóir, zetódin asman zobin ṭiki tákibo, Córiyot óu ṭiki tákibo, héntu honó noktá yáh zer zobor no búzibo zetódin híin beggún fura nó óiyo.
2805130113	Hétolla, zee niki hé hókum ókkol ottu ebbe cóñṛo ekkán hókum ore baatel goré aar oinno zon ore yó héndilla goittó cíka, ítare asmani raijjot ebbe cóñṛo howá zaybo; montor zee niki híin amól goré edde cíka, ítare asmani raijjot ḍoóñr howá zaybo.
28051400bd	“Kiyólla-hoilé Añí tuáñra re hoóir, zodi tuáñrar forhésgari alem ókkol or edde Féroci ókkol or forhésgarir túaro bicí no, tuáñra asmani raijjot bilkúl góli no faribá.
280515009c	“Tuáñra fúinnila de ki, agor zobanar maincóre endilla howá gíyl, ‘Kún no goríba, zee niki kún goré, ítar ttu adalot ot zuwab diya foribó.’
2805160133	Montor Añí tuáñra re hoóir, zee niki nizor báior uore guccá goré, ítar ttu adalot ot zuwab diya foribó. Aar zee niki nizor bái ore, ‘Tui behazor,’ hoó, ítar ttu bor adalot ot zuwab diya foribó. Aar zee niki nizor bái ore, ‘Tui bekuf’ hoó, íte zuzuk or ooin or sáñzar laayek óibo.
280517009b	“Hétolla tuñí kurbani-gáñr uore kurbani peec goríbarcot, zodi tuáñr ttu monot uṛé de ki, tuáñr bái ottu tuáñr ulḍa kessú hoibár asé,
2805180097	hétunot tuáñr kurbani hé kurbani-gáñr muúntu eri zaiyogói. Zai yore age tuáñr bái lói bonizogói, baade aái yore tuáñr kurbani diyogái.
28051900e9	“Tuáñr lla bisar goittó zaar de manúc lói foñt ot tákite toratori maamela hól gorífelaiyo, arnóile íte tuáñre joc or át ot gosáidibo, aar joce tuáñre fulic or át ot gosáidibo, baade tuáñre ziyól ot difélaibo.
28051a0062	Añí tuáñre sóiyi hoóir, tuñí ahéri foicá nó doo foijjonto héntu hálas ói no faribá.
28051b0045	“Tuáñra endilla howá gíyl de fúinnila, ‘Zená no goríba.’
28051c0088	Montor Añí tuáñra re hoóir, zodi honókiye honó mayafua re bura kíyale saá, íte nizor dile-dile híba llói zená gorífelaiye.
28051d00d0	Zodi tuáñr den ḍák or suké tuáñre gunár uzu ṭane, tóoile yíba neelai félaido. Kiyólla-hoilé tuáñr guñṛa gaa zuzuk ot zaar túaro, tuáñr gaar ekkán híssa no tákon tuáñr lla beétor.
28051e00c6	Zodi tuáñr den áte tuáñre gunár uzu ṭane, tóoile híyan haṛi félaido. Kiyólla-hoilé tuáñr guñṛa gaa zuzuk ot zaar túaro, tuáñr gaar ekkán híssa no tákon tuáñr lla beétor.
28051f0061	“Endilla yó howá gíyl, ‘Zee niki nizor bou ore sárifele, íte híba re sárhabos douk.’
28052000d7	Lekin Añí tuáñra re hoóir, zee niki nizor bou ore zenár hosúr lói bade oinno honó hosúri lói sárifele, íte híba re zená gorába; aar zee niki sárifelaiya mayafua re biyá goré, íte yó zená goré.
28052100b9	“Tuáñra aró fúinnila de ki, agor zobanar maincóre endilla howá gíyl, ‘Misá hosóm na háiyo, bólke tuñí ziyán olla hosóm háiyo, híyan Mabud or hañse fura goríba.’
2805220088	Lekin Añí tuáñra re hoóir, tuáñra bilkúl hosóm na háiyo, asman or name yó na háiyo, kiyólla-hoilé híyan toh Allar toktó.
28052300a9	Zobin or name yó na háiyo, kiyólla-hoilé híyan toh Íbar foo rakíbar banggú. Jerúsalem or name yó na háiyo, kiyólla-hoilé híyan óilde bor Baáñccar cóor.
2805240073	Nizor matá dóri yó hosóm na háiyo, kiyólla-hoilé tuñí toh ekkán sul úddwa dóla yáh hala gorí no faro.
2805250086	Montor tuáñra baná eddúr hoiyó, óile ‘ói’ aar no óile ‘no,’ yár baáre ziín aiyé híin óilde Ibilíc or torfóttu.
280526005b	“Tuáñra endilla howá gíyl de fúinnila, ‘Suk or bodol suk, aar dat or bodol dat.’
28052700af	Montor Añí tuáñra re hoóir, honó hóraf manúc lói mukabela no goijjó. Bólke zee niki tuáñre den ḍák or galsaba sái suwar mare, ítare oh ḍák óu fíraidiyo.
2805280077	Aar zodi honókiye tuáñr kuruta loifélaito tuáñr lla mooddima goittó saá, ítare tuáñr saddor óu diifélaiyo.
2805290056	Zodi honókiye tuáñre ek mail zaito bolazuri goillé, ítar fúañti dui mail zaiyo.
28052a0061	Zee niki tuáñr ttu mage, ítare diiyo; aar zee niki tuáñr ttu udár saá, ítare no fíraiyo.
28052b0083	“Tuáñra endilla howá gíyl de fúinnila, ‘Nizor atehañsór maincóre muhábbot goríba, aar duccon ore nafórot goríba.’
28052c0090	Montor Añí tuáñra re hoóir, tuáñrar duccon ókkol ore muhábbot goijjó; aar zetará tuáñrar uore zulúm goré, ítara lla dua goijjó,
28052d00ca	zeéne tuáñra tuáñrar asmani Baf or fuain ṭóoro; kiyólla-hoilé Íba ye toh gom hóraf duní gún or uore Íbar beil or foór deh, aar forhésgar or uore edde kuham-goróyar uore zór difeṛá.
28052e00a7	Zodi tuáñra cúdu tuáñra re muhábbot goré de ítara re muhábbot goró, tóoile súwab kiyólla faiba? Házana-tulóya ókkole úddwa kí héndilla no goré né?
28052f00b2	Aar zodi tuáñra cúdu tuáñrar báiyain dore sólam dóh, tóoile tuáñra oinno manúc ókkol or túaro bicí kii gorór? Beyohúdi ókkole úddwa kí héndilla no goré né?
2805300065	Hétolla tuáñrar asmani Baf zendilla furafuri sóiyi, héndilla tuáñra yó furafuri sóiyi ó.”
28060100a1	“Hóboroddar, tuáñrar forhésgari ham maincór muúntu ítara re dahái bolla no goijjó; arnóile tuáñra tuáñrar asmani Baf ottu honó boccíc no faiba.
2806020107	“Hétolla zeñtté tuñí sótka goró, héñtte cíañ matai elan no goijjó, zendilla munafék ókkole maincór ttu taarif fai bolla mujilíc-hána ókkol ot edde rasta-rasta goré. Añí tuáñra re sóiyi hoóir, ítara ítarar boccíc furafuri faifélaiye.
2806030078	Montor zeñtté tuñí sótka goró, héñtte tuáñr den áte kii gorér de híyan tuáñr ban át ore zainto no diyó,
2806040073	zeéne tuáñr sótka gorá aiddone ó. Tói tuáñr Baf, zibá ye aiddon ot deké, Íba ye tuáñre boccíc diibo.
2806050119	“Zeñtté tuáñra dua goró, munafék ókkol or ḍóilla no óiyo; kiyólla-hoilé ítara maincóre dahái bolla beh mujilíc-hána ókkol ot edde rastar kuna-kuna tíyai yore dua gorá fosón goré. Añí tuáñra re sóiyi hoóir, ítara ítarar boccíc furafuri faifélaiye.
28060600d7	Montor zeñtté tuñí dua goró, tuáñr kamárar bútore góli, duwar bañdífelai tuáñr Baf or hañse dua goríyo, zibá aiddone asé. Tói tuáñr Baf, zibá ye aiddon ot deké, Íba ye tuáñre boccíc diibo.
28060700b6	Zeñtté tuáñra dua goró, Beyohúdi ókkol or ḍóilla behazor hotá ókkol no duaráiyo, kiyólla-hoilé ítara ṭáare de, ítarar bicí hotár zoriya ítarar dua kobul óibo.
280608008c	Hétolla hoóir, tuáñra ítarar ḍóilla no óiyo; kiyólla-hoilé tuáñrar Bafe toh Íba ttu magibár age lóti tuáñrar zorurot zane.
280609005c	Hétolla tuáñra endilla dua goijjó: ‘Ó añárar asmani Baf, Tuáñr nam pak mana zouk.
28060a0063	Tuáñr raijjo aiyóuk. Tuáñr moncá zendilla asman ot fura ó, héndilla duniyait óu fura óuk.
28060b0022	Aijjar hána añára re aijja doo.
28060c006e	Añárar hosúri maf goró, zendilla zetará añára llói hosúri goijjé, ítara re añára yó maf goijjí.
28060d0089	Añára re entán ot foitto no diyó, bólke Ibilíc ottu basai rakó. Kiyólla-hoilé raijjo, taakot aar mohíma toh hámica Tuáñr.’
28060e007a	Kiyólla-hoilé zodi tuáñra oinno zon or hosúri maf goró, tóoile tuáñrar asmani Bafe yó tuáñra re maf gorídibo.
28060f0074	Montor zodi tuáñra oinno zon or hosúri maf no goró, tóoile tuáñrar Bafe yó tuáñrar hosúri maf no goríbo.
2806100103	“Tuáñra ruza rakó de októt nakmuk hala no goijjó, zendilla munafék ókkole goré, kiyólla-hoilé ítara siyára bodole de toh ruza raikké de híyan maincóre dahái bolla. Añí tuáñra re sóiyi hoóir, ítara ítarar boccíc furafuri faifélaiye.
2806110043	Montor tuñí zeñtté ruza rakó, matát tel diyo, aar muk dúiyo,
28061200ac	zeéne tuñí ruza raikkó de híyan maincé no, bólke tuáñr Bafe zane, zibá aiddon ot asé. Tói tuáñr Baf, zibá ye aiddon ot deké, Íba ye tuáñre boccíc diibo.
2806130093	“Nizor lla dón-cómbotti duniyait zoma no goijjó, zeṛé fuke edde zooñre borbad diféle, aar zeṛé sur ókkole berá haṛi sur gorífele.
2806140091	Bólke nizor lla dón-cómbotti asman ot zoma goró, zeṛé no fuke aar no zooñre nac goré, aar zeṛé sur ókkole berá haṛi sur no goré.
2806150057	Kiyólla-hoilé tuáñrar dón-cómbotti zeṛé, tuáñrar dil tákibo de yó héṛe.
280616006c	“Gaar serak óilde suk; hétolla tuáñr suk gom asé de óile, tuáñr guñṛa gaa foóre furaiya óibo.
28061700ce	Montor tuáñr suk hóraf de óile, tuáñr guñṛa gaa andáre furaiya óibo. Hétolla, tuáñr bútore ze foór asé híyan zodi andár de óile, tóoile hé andár hotó guṭguiṭṭa óibo fáñllar!
2806180112	“Honókiye dui girós or hédmot gorí no fare; kiyólla-hoilé íte ezzon ore nafórot goríbo aar ar ezzon ore muhábbot goríbo; yáto ezzon loi ṭík tákibo aar ar ezzon ore hékarot goríbo. Tuáñra ekku fúañti Allar edde dón-doulot or hédmot gorí no faribá.
28061900ea	“Hétolla Añí tuáñra re hoóir, kii háiyum yáh kii fiíyum hoi zindigi lla sinta no goijjó; aar kii fiñdíyum hoi gaa lla sinta no goijjó. Zindigi ki hánar túaro kimoti no né, aar gaa ki hoorsuor or túaro kimoti no né?
28061a00bf	Asman or faik ókkol or baabute báfiso; híine toh no cíñṛe, no daa, aar no gudam ot zoma goré, toóu tuáñrar asmani Bafe híin ore háaba. Tuáñra kí híin or túaro kimoti no né?
28061b004f	Tuáñra hone sinta gorí nizor hóiyat ore ek gónḍa barái faribá de asó?
28061c008e	“Hoorsuor olla kiyá sinta goró? Báfiso, moidan or fúl ókkol keéngori barí uṛé; híine toh no meénnot goré aar no fúñta haṛe.
28061d0096	Montor Añí tuáñra re hoóir, baáñcca Sólomane úddwa yóggwar tamám dón-doulot lói híin ekgwár ḍóilla nizoré háñzai faijjé de nái.
28061e00cb	Hétolla, zodi Alla ye moidan or kér ore héndilla góri háñza, ziín aijja asé aar hailla ooin ot félaidiya zah; tóoile ó hom biccác ola ókkol, Íba ye tuáñra re aró bicí no háñzaibo né?
28061f006b	Hétolla hoóir, ‘Añára kii háiyum? Kii fiíyum?’ yáh ‘Kii fiñdíyum?’ hoói sinta no goijjó.
280620008f	Kiyólla-hoilé Beyohúdi ókkole éna híin beggún or fisé lagi táke. Tuáñrar asmani Bafe toh zane, tuáñra ttu híin beggún lager deh.
2806210072	Age Allar raijjor edde Íbar moncá mozin solibár talac ot táko, tói tuáñra re híin beggún óu diiya zaybo.
