010000000c	Olubereberye
01011b0084	Bw’atyo Katonda n’atonda omuntu mu kifaananyi kye, mu kifaananyi kya Katonda mwe yamutondera; n’abatonda omusajja n’omukazi.
01011c00bc	Katonda n’abawa omukisa, n’abagamba nti, “Mwale mujjuze ensi, mugifugenga. Mufugenga ebyennyanja ebiri mu nnyanja, n’ebinyonyi eby’omu bbanga na buli kiramu ekitambula ku nsi.”
01011d008d	Awo Katonda n’agamba nti, “Laba mbawadde buli kimera eky’ensigo ekiri ku nsi na buli muti ogw’ensigo mu kibala kyagwo. Munaabiryanga.
01011e00b0	Mbawadde na buli nsolo ey’oku nsi, na buli kinyonyi eky’omu bbanga na buli ekyewalula, na buli ekissa omukka mbiwa buli kimera, okuba emmere yaabyo.” Bwe kityo bwe kyali.
01011f007e	Awo Katonda n’alaba byonna by’akoze nga birungi nnyo. Ne buba akawungeezi, ate ne buba enkya, olwo lwe lunaku olwomukaaga.
0102010047	Bwe bityo eggulu n’ensi awamu ne byonna ebigirimu ne biggwa okukolwa.
010202008f	Ku lunaku olw’omusanvu Katonda yali amaze ebyo byonna bye yali akola; n’awummulira ku lunaku olwo ng’ava ku mirimu gye gyonna gye yakola.
0102030090	Bw’atyo Katonda olunaku olw’omusanvu n’aluwa omukisa n’alutukuza; kubanga ku olwo Katonda kwe yawummulira emirimu gye yakola mu kutonda.
0102040069	Ebyo bye bifa ku ggulu n’ensi nga bwe byatondebwa, Mukama Katonda we yamalira okutonda eggulu n’ensi.
0102050094	Tewaaliwo muddo gwonna ku nsi wadde ekimera kyonna, kubanga Mukama Katonda yali tannatonnyesa nkuba ku nsi era nga tewali muntu ow’okulima ettaka.
0102060036	Naye ensulo n’eva mu ttaka n’efukirira ensi yonna.
0102070082	Mukama Katonda n’akola omuntu okuva mu nfuufu ey’oku nsi n’amufuuwa mu nnyindo omukka ogw’obulamu. Omuntu n’aba omulamu.
010208006b	Mukama Katonda yali asimbye ennimiro Adeni ku luuyi olw’ebuvanjuba, omuntu gwe yabumba n’amuteeka omwo.
01020900b1	Mukama Katonda n’ameza mu ttaka buli muti ogusanyusa amaaso era omulungi okulya. N’ateeka omuti ogw’obulamu, n’omuti ogw’okumanya ekirungi n’ekibi wakati mu nnimiro.
01020a006b	Omugga ne gusibuka mu nnimiro Adeni ne gukulukuta okulufukirira, ne gwanjaalira omwo ne guvaamu emigga ena.
01020b005b	Erinnya ly’ogusooka Pisoni, gwe gwo ogukulukuta okwetooloola ensi ya Kavira, awali zaabu;
01020c0042	ne zaabu y’ensi eyo nnungi; mulimu bideriamu n’amayinja onuku.
01020d0047	Omugga ogwokubiri ye Gikoni, gwe gukulukuta okwetooloola ensi ya Kuusi.
01020e0065	N’erinnya ly’ogwokusatu ye Tigiriisi ogukulukutira ku buvanjuba bwa Bwasuli. Ogwokuna ye Fulaati.
01020f004d	Mukama Katonda n’ateeka omuntu mu nnimiro Adeni agirimenga era agikuumenga.
0102100053	Mukama Katonda n’alagira omuntu nti, “Emiti gyonna egy’omu nnimiro olyangako,
0102110069	naye omuti ogw’okumanya ekirungi n’ekibi ogwo togulyangako, kubanga lw’oligulyako tolirema kufa.”
0102120066	Mukama Katonda n’ayogera nti, “Si kirungi omuntu okuba yekka, nnaamukolera omubeezi amusaanira.”
01021300d3	Naye olwo Mukama Katonda yali amaze okukola ensolo zonna ez’omu nsiko n’ebinyonyi eby’omu bbanga. N’abireeta eri omuntu abituume amannya. Buli kiramu omuntu nga bwe yakiyita, lye lyabeera erinnya lyakyo.
010214009a	Bw’atyo omuntu n’atuuma buli nsolo ey’awaka, n’ebinyonyi eby’omu bbanga n’ensolo ez’omu nsiko amannya. Adamu yali tannaba kufunirwa mubeezi.
0102150089	Mukama Katonda n’aleetera omusajja otulo tungi nnyo ne yeebaka; bwe yali nga yeebase n’amuggyamu olubirizi lumu, n’azzaawo ennyama.
010216005c	Mukama Katonda n’atonda omukazi okuva mu lubiriizi lwe yaggya mu musajja n’amumuleetera.
010217009d	Omusajja n’agamba nti, “Lino lye ggumba ery’omu magumba gange, ye nnyama ey’omu nnyama yange, anaayitibwanga mukazi; kubanga aggyibbwa mu musajja.”
010218006c	Noolwekyo omusajja ky’anaavanga aleka kitaawe ne nnyina ne yeegatta ne mukazi we, ne bafuuka omubiri gumu.
010219004e	Omusajja n’omukazi baali tebambadde, naye nga tewali akwatirwa munne nsonyi.
01030100d1	Kale nno omusota gwali mukalabakalaba okukira ensolo zonna ez’omu nsiko, Mukama Katonda ze yatonda. Ne gugamba omukazi nti, “Kazzi Katonda yagamba nti, ‘Temulyanga ku muti gwonna ogw’omu nnimiro!’”
0103020048	Omukazi n’addamu omusota nti, “Tulya ku buli muti ogw’omu nnimiro,
0103030082	kyokka Katonda yatulagira nti, ‘Temulyanga ku kibala ky’omuti oguli wakati mu nnimiro, wadde okugukwatako, muleme okufa.’”
0103040037	Naye omusota ne gugamba omukazi nti, “Temugenda kufa.
0103050083	Kubanga Katonda amanyi nga lwe muligulyako amaaso gammwe lwe galizibuka, era mulifaanana nga ye, okumanyanga ekirungi n’ekibi.”
01030600a9	Awo omukazi bwe yalaba ng’omuti mulungi nga gusanyusa okutunulako era gwegombebwa okuleeta amagezi, n’anoga ekibala kyagwo n’alya; n’awaako ne bba naye n’alya.
010307007e	Awo amaaso gaabwe bombi ne gazibuka, ne bategeera nga baali bwereere; ne baluka amalagala g’emiti ne beekolera ebyokwambala.
01030800a5	Awo ne bawulira eddoboozi lya Mukama Katonda ng’atambula mu nnimiro, mu budde obuweeweevu. Omusajja n’omukazi ne beekweka mu miti Mukama Katonda aleme okubalaba.
010309003f	Naye Mukama Katonda n’ayita omusajja nti, “Oli ludda wa?”
01030a0068	N’addamu nti, “Mpulidde eddoboozi lyo mu nnimiro, ne ntya, kubanga mbadde bwereere; ne nneekweka.”
01030b0068	N’amubuuza nti, “Ani akubuulidde nti oli bwereere? Olidde ku muti gwe nakulagira obutagulyangako?”
01030c005f	Omusajja n’addamu nti, “Omukazi gwe wampa okubeeranga nange y’ampadde ekibala ne ndya.”
01030d0084	Mukama Katonda kwe kubuuza omukazi nti, “Kiki kino ky’okoze?” Omukazi n’addamu nti, “Omusota gwe gunsenzesenze ne ndya.”
01030e00cc	Mukama Katonda n’agamba omusota nti, Kubanga okoze kino okolimiddwa okukira ensolo zonna ez’awaka n’ez’omu nsiko, oneekululiranga ku lubuto lwo era onoolyanga nfuufu ennaku zonna ez’obulamu bwo.
01030f00a1	Nteeka obulabe wakati wo n’omukazi, ne wakati w’ezzadde lyo n’ezzadde ly’omukazi; ezzadde lye linaakubetentanga omutwe, naawe onoolibojjanga ekisinziiro.
01031000a8	N’agamba omukazi nti, “Nnaayongeranga nnyo ku bulumi bwo ng’oli lubuto, onoozaaliranga mu bulumi; musajja wo anaakukoleranga bye weetaaga kyokka anaakufuganga.”
01031100da	N’agamba Adamu nti, “Kubanga owulidde eddoboozi lya mukazi wo, n’olya ku muti gwe nakulagira obutagulyangako, “ensi ekolimiddwa ku lulwo; mu ntuuyo zo mw’onoofuniranga ekyokulya ennaku zonna ez’obulamu bwo.
010312004f	Ensi eneekumerezanga amaggwa n’amatovu, onoolyanga ebibala eby’omu nnimiro.
010313007f	Mu ntuuyo zo mw’onoggyanga ekyokulya, okutuusa lw’olidda mu ttaka mwe wava, kubanga oli nfuufu ne mu nfuufu mw’olidda.”
010314004b	Omusajja n’atuuma omukazi erinnya Kaawa, oyo ye nnyina w’abalamu bonna.
0103150053	Mukama Katonda n’akolera Adamu ne mukazi we ebyambalo eby’amaliba n’abambaza.
01031600db	Awo Mukama Katonda n’agamba nti, “Laba omuntu afuuse ng’omu ku ffe okumanyanga ekirungi n’ekibi; kale kaakano talwa kugolola mukono gwe n’anoga ku muti ogw’obulamu n’alya, n’awangaala emirembe gyonna.”
0103170060	Bw’atyo Mukama Katonda n’agoba omuntu mu nnimiro Adeni agende alimenga ettaka mwe yaggyibwa.
0103180093	Bwe yamala okugobamu omuntu, n’ateekamu Bakerubi n’ekitala ekimyansa eky’obwogi ku buli ludda okukuuma ekkubo erigenda ku muti ogw’obulamu.
010401007a	Adamu n’amanya Kaawa, mukazi we, n’aba olubuto n’azaala Kayini n’agamba nti, “Mukama annyambye nzadde omuntu.”
010402005c	Oluvannyuma n’azaala muganda we Aberi. Aberi n’aba mulunzi, ye Kayini n’abeera mulimi.
010403006d	Awo ennaku bwe zaayitawo Kayini n’alyoka aleeta ebibala by’ebimera ebyava mu ttaka okubiwaayo eri Mukama.
0104040079	Aberi naye n’aleeta ku baana b’endiga ze ababereberye n’amasavu gaazo. Mukama n’asiima Aberi n’ekiweebwayo kye.
0104050079	Naye teyasiima Kayini wadde ekiweebwayo kye. Awo Kayini n’asunguwala nnyo, n’endabika y’amaaso ge n’ewaanyisibwa.
0104060066	Mukama n’abuuza Kayini nti, “Osunguwalidde ki? Era n’endabika y’amaaso go lwaki ewaanyisiddwa?
010407008f	Bw’onookolanga obulungi tokkirizibwenga? Naye bw’otokole bulungi ekibi, kiri kumpi naawe, nga kikulindiridde, naye oteekwa okukiwangula.”
0104080098	Kayini n’agamba Aberi muganda we nti, “Tulageko mu nnimiro.” Bwe baali nga bali mu nnimiro Kayini n’agolokokera ku muganda we Aberi, n’amutta.
0104090086	Awo Mukama n’abuuza Kayini nti, “Muganda wo Aberi ali ludda wa?” N’amuddamu nti, “Ssimanyi; nze mukuumi wa muganda wange?”
01040a006f	Mukama n’amugamba nti, “Okoze ki? Eddoboozi ly’omusaayi gwa muganda wo oguyiyiddwa ku ttaka linkaabirira.
01040b0056	Ne kaakano okolimiddwa, era ettaka lyasamye okumira omusaayi gwa muganda wo gwe wasse.
01040c0050	Bw’onoolimanga ettaka teriikuwenga bibala byalyo; onoobanga momboze ku nsi.”
01040d004f	Kayini n’agamba Mukama nti, “Ekibonerezo kyange kinzitooweredde sikisobola.
01040e005e	Laba, ongobye okuva ku nsi ne mu maaso go; era nnaabanga momboze ne buli anandaba ananzita.”
01040f00ae	Awo Mukama n’amugamba nti, “Nedda si bwe kiri. Buli alitta Kayini ndimuwalana emirundi musanvu.” Awo Mukama n’ateeka akabonero ku Kayini, buli amulaba aleme okumutta.
010410006a	Kayini n’alyoka ava mu maaso ga Mukama, n’abeera mu nsi ya Enodi ku luuyi olw’ebuvanjuba olwa Adeni.
010411008d	Kayini n’amanya mukazi we, n’aba olubuto n’azaala Enoka. Kayini n’azimba ekibuga n’akituuma erinnya lyerimu erya mutabani we Enoka.
010412007b	Enoka n’azaalirwa Iradi ne Iradi n’azaala Mekujeeri, ne Mekujeeri n’azaala Mesuseera, ne Mesuseera n’azaala Lameka.
0104130046	Lameka n’awasa abakazi babiri: omu yali Ada n’omulala nga ye Zira.
0104140051	Ada n’azaala Yabali. Ono ye yali kitaawe w’abo ababeera mu weema nga balunda.
0104150047	Muganda we Yubali, ye yazaala abo abakuba ennanga n’okufuuwa omulere.
0104160074	Zira n’azaala Tubalukayini omuweesi w’eby’ekikomo n’eby’ekyuma. Ne mwannyina wa Tubalukayini nga ye Naama.
01041700b9	Lameka n’agamba bakazi be nti, “Ada ne Zira, muwulire eddoboozi lyange; mwe bakazi ba Lameka, muwulirize kye ŋŋamba; nzise omusajja olw’okunfumita, nga muvubuka, olw’okunkuba.
0104180067	Obanga Kayini yawalanirwa emirundi musanvu, mazima Lameka wa kuwalanirwa emirundi nsanvu mu musanvu.”
01041900af	Awo Adamu n’amanya mukazi we, n’azaala omwana wabulenzi n’amutuuma Seezi, kubanga yayogera nti, “Katonda ampadde omwana omulala mu kifo kya Aberi, Kayini gwe yatta.”
01041a007b	Seezi n’azaala omwana owoobulenzi n’amutuuma Enosi. Mu kiseera ekyo abantu ne batandika okukoowoola erinnya lya Mukama.
0105010059	Luno lwe lulyo lwa Adamu. Katonda bwe yatonda omuntu, yamukola mu kifaananyi kya Katonda.
010502004d	Yabatonda omusajja n’omukazi, n’abawa omukisa n’abatuuma, “abantu.”
0105030079	Adamu bwe yaweza emyaka kikumi mu asatu, n’azaala omwana owoobulenzi amufaanana, mu kifaananyi kye, n’amutuuma Seezi.
010504006f	Seezi bwe yamala okuzaalibwa, Adamu n’amala emyaka lunaana, n’azaaliramu abaana aboobulenzi n’aboobuwala.
010505003e	Emyaka gyonna Adamu gye yamala gyali lwenda mu asatu, n’afa.
010506003a	Seezi bwe yaweza emyaka kikumi mu etaano n’azaala Enosi.
0105070081	Seezi bwe yamala okuzaala Enosi n’awangaala emyaka emirala lunaana mu musanvu n’azaaliramu abaana aboobulenzi n’aboobuwala.
0105080054	Bwe gityo emyaka gyonna egya Seezi ne giba lwenda mu kkumi n’ebiri n’alyoka afa.
0105090031	Enosi bwe yaweza emyaka kyenda n’azaala Kenani.
01050a0091	Enosi bwe yamala okuzaala Kenani n’awangaala emyaka emirala lunaana mu kkumi n’etaano, omwo n’azaaliramu abaana aboobulenzi n’aboobuwala.
01050b0052	Bwe gityo emyaka gyonna Enosi gye yamala ne giba lwenda mu etaano; n’alyoka afa.
01050c0036	Kenani bwe yaweza emyaka nsanvu n’azaala Makalaleri.
01050d0065	Kenani n’awangaala emyaka emirala lunaana mu ana, n’azaaliramu abaana aboobulenzi n’aboobuwala.
01050e0038	Emyaka gyonna Kenani gye yamala ne giba lwenda mu kkumi.
01050f0040	Makalaleri bwe yaweza emyaka nkaaga mu etaano n’azaala Yaredi.
0105100082	Bwe yamala okuzaala Yaredi n’awangaala emyaka emirala lunaana mu asatu n’azaaliramu abaana abalala aboobulenzi n’aboobuwala.
0105110050	Ennaku zonna eza Makalaleri ne ziba emyaka lunaana mu kyenda mu etaano, n’afa.
0105120044	Yaredi bwe yaweza emyaka kikumi mu nkaaga mu ebiri n’azaala Enoka.
0105130085	Yaredi bwe yamala okuzaala Enoka n’awangaala emyaka emirala lunaana, omwo n’azaaliramu abaana abalala aboobulenzi n’aboobuwala.
0105140055	Bwe gityo emyaka gyonna Yaredi gye yamala ne giba lwenda mu nkaaga mu ebiri, n’afa.
010515003e	Enoka bwe yaweza emyaka nkaaga mu etaano n’azaala Mesuseera.
010516009a	Enoka n’atambulira wamu ne Katonda, okumala emyaka ebikumi bisatu nga Mesuseera amaze okuzaalibwa, n’azaala abaana abalala aboobulenzi n’aboobuwala.
010517004e	Bwe gityo emyaka gyonna egya Enoka ne giba ebikumi bisatu mu nkaaga mu etaano.
010518004d	Enoka yatambula ne Katonda, n’ataddamu kulabika, kubanga Katonda yamutwala.
0105190057	Mesuseera bwe yali nga yaakamala emyaka kikumi mu kinaana mu musanvu n’azaala Lameka.
01051a008a	Bwe yamala okuzaala Lameka n’awangaala emyaka emirala lusanvu mu kinaana mu ebiri, n’azaala abaana abalala aboobulenzi n’aboobuwala.
01051b0059	Bwe gityo emyaka gyonna Mesuseera gye yamala ne giba lwenda mu nkaaga mu mwenda; n’afa.
01051c0055	Lameka bwe yali nga wa myaka kikumi mu kinaana mu ebiri n’azaala omwana owoobulenzi
01051d009b	n’amutuuma Nuuwa, ng’agamba nti, “Okuva mu ttaka Mukama lye yakolimira, ono yalituweezaweeza mu mulimu gwaffe, ne mu kutegana kw’emikono gyaffe.”
01051e009b	Lameka n’awangaala emyaka emirala bitaano mu kyenda mu etaano ng’amaze okuzaala Nuuwa, mu gyo n’azaaliramu abaana abalala aboobulenzi n’aboobuwala.
01051f0053	Bwe gityo emyaka gyonna Lameka gye yawangaala ne giba lusanvu mu nsanvu mu musanvu.
010520004e	Nuuwa bwe yaweza emyaka ebikumi bitaano n’azaala Seemu, ne Kaamu ne Yafeesi.
0106010044	Abantu bwe beeyongera obungi ku nsi ne bazaalirwa abaana aboobuwala.
0106020053	Abaana ba Katonda ne balaba ng’abawala abo balungi ne bawasa buli gwe beerondera.
0106030096	Awo Mukama n’agamba nti, “Omwoyo wange taawakanenga na muntu emirembe gyonna, kubanga muntu buntu; n’ennaku ze ziriba emyaka kikumi mu abiri.”
01060400c9	Mu nnaku ezo, abaana ba Katonda bwe beegatta n’abawala b’abantu abo, ne babazaalamu abaana; be Banefuli abaali abatutumufu ennyo era abalwanyi abeekitalo mu biseera ebyo era ne mu biro ebyaddirira.
0106050083	Mukama n’alaba ng’ekibi ky’omuntu kiyinze nnyo ku nsi; nga buli ndowooza y’omutima gw’omuntu mbi njereere ebbanga lyonna.
0106060057	Mukama n’anakuwala nnyo kubanga yatonda omuntu ku nsi, n’alumwa nnyo mu mutima gwe.
0106070097	Awo Mukama n’agamba nti, “Ndiggya ku nsi omuntu gwe natonda, ndisaanyaawo omuntu, n’ensolo n’ebinyonyi, kubanga nejjusizza olw’okubitonda.”
0106080033	Kyokka ye Nuuwa n’alaba ekisa mu maaso ga Mukama.
010609009a	Bino bye bifa ku Nuuwa n’ab’omu nju ye: Nuuwa yali muntu mutuukirivu, nga taliiko kya kunenyezebwa mu bantu b’ekiseera kye, n’atambula ne Katonda.
01060a003b	Nuuwa yalina batabani be basatu: Seemu ne Kaamu ne Yafeesi.
01060b0042	Ensi yali nnyonoonefu mu maaso ga Katonda era ng’ejjudde eddalu.
01060c0084	Katonda n’alaba ensi, era laba, ng’eyonoonese mu kweyisa kwayo kubanga buli muntu yenna yali kyetwala nga tewakyali mutuukirivu.
01060d008c	Katonda kwe kugamba Nuuwa nti, “Mmaliridde okuzikiriza buli muntu, kubanga ensi ejjudde eddalu; laba, nzija kubazikiriza mbamalewo ku nsi.
01060e006a	Naye ggwe Nuuwa weekolere eryato mu muti gofeeri, okolemu ebisenge, olibikke n’envumbo munda ne kungulu.
01060f0099	Bw’oti bw’oba olikola: obuwanvu bwalyo mita kikumi mu ana, n’obugazi mita amakumi abiri mu ssatu, n’obugulumivu mita kkumi na ssatu n’ekitundu.
01061000e4	Bw’oliba olizimba, waggulu oteekangayo akasolya nga kabika kimu kyakubiri ekya mita. Omulyango gwalyo oguteekanga mu mbiriizi zaalyo. Okolanga eryato lya kalinassatu, ery’emyaliiro: ogwa wansi n’ogwokubiri, n’ogwokusatu.
0106110074	Ndireeta amataba ku nsi, okuzikiriza buli kiramu, ekissa omukka, ekiri wansi w’eggulu; buli ekiri ku nsi kya kufa.
0106120076	Naye ndikola endagaano naawe. Oliyingira mu lyato, ggwe, ne mukazi wo, ne batabani bo, ne baka batabani bo wamu naawe.
0106130077	Oliyingira mu lyato na buli kiramu ekirina omubiri; oliyingiza bibiri bibiri ekisajja n’ekikazi bibeere biramu naawe.
010614009c	Ku binyonyi ebya buli ngeri, ne ku nsolo eza buli ngeri, na buli ekyewalula ekya buli ngeri, bibiri bibiri ebya buli ngeri birijja gy’oli, bibeere biramu.
0106150054	Era twala buli ngeri ya mmere eriibwa, ogitereke; eriba mmere yo n’ebiramu byo.”
0106160032	Nuuwa n’akola byonna nga Katonda bwe yamulagira.
0107010086	Awo Mukama n’agamba Nuuwa nti, “Yingira mu lyato, ggwe n’abantu bo bonna, kubanga nkulabye ng’oli mutuukirivu mu mulembe guno.
0107020042	Twala ku buli nsolo ennongoofu musanvu musanvu ensajja n’enkazi,
0107030068	era ne ku binyonyi eby’omu bbanga musanvu musanvu ekisajja n’ekikazi, okukuuma olulyo lwabyo ku nsi.
01070400a7	Bwe waliyitawo ennaku musanvu nditonnyesa enkuba ku nsi emisana n’ekiro okumalira ddala ennaku amakumi ana, era ndizikiriza buli kintu ekiramu kye natonda ku nsi.”
0107050041	Bw’atyo Nuuwa n’akola buli kintu nga Mukama bwe yakimulagira.
0107060039	Nuuwa yali aweza emyaka lukaaga amataba bwe gajja ku nsi.
0107070060	Nuuwa n’ayingira mu lyato n’abaana be ne mukazi we n’abakazi b’abaana be bawone amataba.
010708005e	Era ensolo ennongoofu, n’ensolo ezitali nnongoofu n’ebibuuka mu bbanga na buli ekyewalula,
010709005f	ne biyingira bibiri bibiri ekisajja n’ekikazi eri Nuuwa mu lyato, nga Katonda bwe yamulagira.
01070a0051	Awo olwatuuka oluvannyuma lw’ennaku ziri omusanvu, amataba ne gatandika ku nsi.
01070b00de	Mu mwaka ogw’olukaaga ogw’obulamu bwa Nuuwa, mu mwezi ogwokubiri, ku lunaku olw’ekkumi n’omusanvu olw’omwezi, ku lunaku olwo ensulo zonna ez’omu nnyanja ennene, ne ziggulwa lumu n’ebituli byonna eby’eggulu.
01070c0048	Enkuba n’etonnya ku nsi okumala ennaku amakumi ana, emisana n’ekiro.
01070d0087	Ku lunaku olwo lwennyini Nuuwa ne mukazi ne batabani be, Seemu, ne Kaamu ne Yafeesi, ne bakazi baabwe bonsatule, ne bayingira mu lyato.
01070e0097	Buli nsolo mu ngeri yaayo na buli nte, na buli ekyewalula, era na buli kinyonyi mu ngeri yaakyo na buli nkula ya kinyonyi, nabyo ne biyingira mu lyato.
01070f0053	Ne biyingira mu lyato lya Nuuwa bibiri bibiri byonna ebyalimu omukka ogw’obulamu.
010710007a	Byonna ne biyingira mu lyato, ekisajja n’ekikazi; byayingira nga Katonda bwe yalagira Nuuwa, Mukama n’aggalawo eryato.
0107110081	Amataba ne gabuna ensi okumala ennaku amakumi ana. Amazzi ne geeyongeranga, n’eryato nalyo ne lyeyongeranga okutumbiira ku nsi.
010712005c	Amazzi ne gatumbiira ne geeyongera okwala ku nsi, n’eryato ne liseeyeeya kungulu ku mazzi.
010713006e	Amazzi ne gatumbiira nnyo nnyini ku nsi, n’ensozi zonna empanvu wansi w’eggulu lyonna amazzi ne gazibikka.
0107140053	Amazzi ne gatumbiira ne gabikka ensozi ne zibulira wansi mu mazzi mita nga musanvu.
010715008a	Buli kiramu ekyali ku nsi ne kifa: ebinyonyi n’ensolo ez’awaka n’ez’omu nsiko, n’ebitonde byonna ebyali ku nsi n’abantu bonna.
0107160039	Buli kintu kyonna ekyali ku lukalu ekissa omukka ne kifa.
01071700d7	Buli kiramu kyonna ekyali ku nsi ne kimalibwawo: abantu, n’ensolo, na buli kitonde ekitambula ku nsi, n’ebinyonyi eby’omu bbanga ne bimalibwawo ku nsi. Nuuwa yekka n’abo be yali nabo mu lyato be baasigalawo.
010718002f	Amataba gaamala ku nsi ennaku kikumi mu ataano.
0108010091	Katonda n’ajjukira Nuuwa n’ensolo zonna ez’awaka n’ez’omu nsiko ezaali naye mu lyato, n’asindika empewo ku nsi, amazzi ne gakendeera;
0108020069	ensulo eza wansi w’ensi n’ebituli eby’eggulu ne biggalibwa, n’enkuba eva mu ggulu n’eziyizibwa,
010803006d	n’amazzi ne geeyongera okukendeera ku nsi. Ku nkomerero y’ennaku kikumi mu ataano amazzi gaali gakalidde;
0108040072	ne mu mwezi ogw’omusanvu, ku lunaku lwagwo olw’ekkumi n’omusanvu, eryato ne litereera ku nsozi eza Alalaati.
010805008d	Bwe gatyo amazzi ne geeyongera okukalira okutuusa mu mwezi ogw’ekkumi, ku lunaku olusooka olw’omwezi ogwo entikko z’ensozi ne zirabika.
0108060051	Oluvannyuma lw’ennaku amakumi ana Nuuwa n’aggula eddirisa lye yakola ku lyato
0108070051	n’atuma namuŋŋoona n’agenda nga bw’akomawo okutuusa amazzi lwe gaakalira.
0108080052	Oluvannyuma n’atuma ejjuba ne liva w’ali okulaba ng’amazzi gakalidde ku nsi;
01080900b7	naye ejjuba ne litalaba we lissa kigere kyalyo, ne likomawo gy’ali mu lyato, kubanga amazzi gaali gakyali ku nsi yonna. N’agolola omukono gwe n’alikwata n’aliyingiza mu lyato.
01080a0045	N’alinda ennaku endala musanvu n’atuma ate ejjuba okuva mu lyato;
01080b00a3	ne likomawo akawungeezi, era laba, nga lirina mu kamwa kaalyo akakoola akabisi ke liggye ku muti omuzeyituuni. Awo Nuuwa n’ategeera nti amazzi gakendedde ku nsi.
01080c0059	Ate n’alinda ennaku endala musanvu, n’asindika ejjuba, naye ku mulundi guno teryadda.
01080d00ca	Ku lunaku olw’olubereberye, olw’omwezi ogw’olubereberye nga Nuuwa aweza emyaka lukaaga mu gumu, amazzi gaali gakalidde ku nsi. Awo Nuuwa n’aggyako ekibikka ku lyato n’alaba ng’ensi ekalidde.
