280000000f	ମାତିଉ
28010c0149	ୱାରିଙ୍ଗ୍‌ ବାବିଲନ୍‍ତୁ ଅତି ୱେନ୍‌କା । ଜିକନିୟଦି ମାରିସି ସଲ୍‌ଟିୟେଲ ଜନମ୍‍ଆତାନ୍‍ । ସଲ୍‌ଟିୟେଲ ଜିରୁବ୍‍ବାବେଲତିଙ୍ଗ୍‌ ଜନମ୍‌ କିତାନ୍‌,
28010d00f5	ଜିରୁବ୍‍ବାବେଲ ଅବିହୁଦକା ବୁବାସି । ଅବିହୁଦ ଏଲିୟାକିମ୍‍କା ବୁବାସି । ଏଲିୟାକିମ୍‍ ଅଜ୍‍ଜୁରକା ବୁବାସି ।
28010e00bf	ଅଜ୍‍ଜୁର ସାଦକକା ବୁବାସି । ସାଦକ ଆକିମ୍‍ତି ବୁବାସି । ଆକିମ୍‍ ଏଲିହୁଦକା ବୁବାସି ।
28010f00b9	ଏଲିହୁଦ ଏଲାଜାରକା ବୁବାସି । ଏଲାଜାର ମତାନକା ବୁବାସି । ମତାନ ଜାକୁବରି ବୁବାସି ।
2801100150	ଜାକୁବ ଜସେପ୍‌କା ବୁବାସି । ଜୋସେପ୍‌ ମରିୟମ୍‌ତି କନ୍‍ଲି । ମରିୟମତି ପଟାଦାନ୍‍ ଜିସୁ ଜନମ୍‍ଆତାନ୍‍ । ଜିସୁ ମସିହ ଦର୍‌ତାନ୍‌ ବା ୱେଙ୍ଗିଁନାନ୍‍ ।
2801110257	ଇୟାୱାଜା ଅବ୍ରାହାମତି ମାଣାନ୍‌ ଦାଉଦଦି ସାନ୍ଦି ଆତାର୍‌ ପୁରା ସଉଦ କୁଟୁମ୍‌ । ଦାଉଦ ମାଣାନ୍‌ ଗତିମୁରୁଲି ୱାଜା ବାବିଲନ୍‍ତୁ ଇନି ସାନ୍ଦି ସଉଦ କୁଟୁମ୍‌, ମାରି ଗତିମୁରୁଲି ୱାଜା ବାବିଲନ୍‍ତୁ ଇତି ୱେନ୍‍କାରାନ୍‍ କ୍ରିସ୍ତଦି ଜନମ୍‌ ସାନ୍ଦି ଆତାର୍‌ ସଉଦ କୁଟୁମ୍‌ ।
28011202fa	ଇକା ଆଜିନାତ୍‍ ଜିସୁ କ୍ରିସ୍ତଦି ଜନମ୍‌ତି ମାଟା ଜିସୁ କ୍ରିସ୍ତଦି ଆଇସି ମାର୍ହାତ୍‌ ମରିୟମ୍‌ । ଜିସୁକ୍ରିସ୍ତଦି ଜନମ୍‌ ଇୟାୱାଜା ଆତାମାର୍ହାତ୍‍ । ମରିୟମ୍‍ତିଙ୍ଗ୍‍ ଜୋସେପ୍‌ତି ୱାଲେ ପେଡ଼ିଆଦେଙ୍ଗ୍‍ ଲସ୍‌ତା ମାର୍ହାର୍‌ । ମାତର୍‌ ପେଡ଼ିଆନି ଆଗ୍‌ଡ଼ି ୱେଙ୍ଗିଁତାତ୍‌ ଜେ ମରିୟମ୍‌ ପବିତ୍ର ଆତ୍ମାଦାନ୍‌ ଗାର୍ବୁଦୁତେବାତାମାନାତ୍‍ ।
280113020a	ଜୋସେପ୍‌ ୱିଜୁୱାଲେ ଦାର୍ମୁଦି ପାଣିକିନିକାନ୍‍ ମାର୍‌ର୍ହାନ୍‍ । ମାରି ମରିୟମତିଙ୍ଗ୍‌ ଲୋକା ଆଗ୍‌ଡ଼ି ନିଦା କିଦେଙ୍ଗ୍‌ ୱାନ୍‌ ବଦା କିଏଜିମାର୍ହାନ୍‍ । ୱାନ୍‌ ଲସାତିତାନେଙ୍ଗ୍‍ ରୁକ୍‍ତେଙ୍ଗ୍‍ ନେସ୍‌ଇୱାଜା ଉପାୟ୍‌କିତାନ୍‍ ।
2801140239	ୱାନ୍‌ ଇକା ଅଡ଼୍‍ବିନିୱାଲେ ଅରେନ୍‍ ପ୍ରବୁଦି ଦୁତ୍‍ ୱାନିଙ୍ଗ୍‌ ଲବେରୁ ତରାଇଆଜି ଇର୍ହାତ୍‌, “ଏ ଦାଉଦ କୁଟୁମ୍‌ତି ଜୋସେପ୍‌, ମରିୟମ୍‌ତିଙ୍ଗ୍‍ ନିଜେଦି ଆଡ଼ି ୱାଜା ଇଡ୍‌ଦେଙ୍ଗ୍‌ ତିଲାମା, ଇରିଙ୍ଗ୍‌ ପବିତ୍ର ଆତ୍ମାଦାନ୍‌ ୱାଦ୍‌ ପଟାଦୁ ଆତାମାନାତ୍‌ ।
2801150164	ତାନିଙ୍ଗ୍‌ ଅରେନ୍‍ କଡ଼ ଜନମ୍‌ ଆନାନ୍‌ । ମିର୍‌ ୱାନି ଦରୁ ଜିସୁ ଇଡ୍‍ନିଦେର୍‍ । ଇରିଙ୍ଗ୍‌ ୱାନ୍‌ ୱାନି ଲୋକାଙ୍ଗ୍‌ ୱାରି ପାପ୍‌ତାନ୍‌ ରକିୟା କିନାନ୍‌ ।”
28011600e2	ବବିସତ୍‍ବକ୍ତାଦି ମାଣାନ୍‌ ପ୍ରବୁ ଆମାକା ଇର୍ହାମାର୍ହାନ୍‌, ଆକା ସତ୍‍ଆଦେଙ୍ଗ୍‍ ଇକା ଗଟାତାତ୍‌ ।
28011701eb	ଆୟା ବବିସତ୍‍ ମାଟା ଆଜିନାତ୍‍, “ଅରେତ୍‌ ରିପା ଗାର୍ବୁଦୁ ତେବାଜି କଡ଼ଦିଙ୍ଗ୍‌ ଜନମ୍‍ସିନାତ୍‍ । ମାରି ଲୋକୁ ଆୟା କଡ଼ଦିଙ୍ଗ୍‌ ଇମାନୁଏଲ ଦର୍‌ତାନ୍‌ ୱେଙ୍ଗ୍‌ଁନାନ୍‌ । ଇମାନୁଏଲଦି ଅର୍ତ ମାପୁରୁ ମା ୱାଲେ ମାନାନ୍‌ ।”
2801180175	ଜୋସେପ୍‌ ସୁସ୍‍କାଣ୍‍କାଣ୍‍ ନିଙ୍ଗିଁଜି ପ୍ରବୁଦି ଦୁତ୍‍ ୱାନିଙ୍ଗ୍‌ ଏଣ୍ତେସ୍‌ ଆଦେସ୍‌ ସିତାତ୍‌, ଆୟାୱାଜା କିତାନ୍‌ । ୱାନ୍‌ ମରିୟମ୍‍ତିଙ୍ଗ୍‍ ପେଡ଼ିଆନାନ୍‌ ।
2801190147	ମାତର୍‌ ମରିୟମ୍‌ କଡ଼ଦିଙ୍ଗ୍‌ ଜନମ୍‌ କିଇ ସାନ୍ଦି ୱାନ୍‌ ତାନି ୱାଲେ ଡର୍‍ଏତାମାର୍ହାନ୍‍ । ମାରି ଜୋସେପ୍‌ ଆୟା କଡ଼ଦି ଦରୁ ଜିସୁ ଇଟ୍‌ତାନ୍‌ ।
28020101f1	ହେରୋଦ୍‍ ରାଜା ସାସନ୍‍ ସମୟତୁ ଜିହୁଦା ରାଜିଦି ବେତଲିହିମ୍‍ ଗାଡ଼୍‌ତୁ ଜିସୁ ଜନମ୍‍ଆତାନ୍‍ । ତେନି ସାଣେକ୍‌ ସମୟ୍ ୱେନ୍‌କା ପୁର୍ବ ଦେସ୍‌ତି ଏସଲୋକ୍‌ ସୁକେଙ୍ଗ୍‍ ସୁଡ଼୍‌ଜି ୱେର୍‍ନିକାର୍‍ ଜିରୁସାଲମ୍‌ତୁ ୱାତାର୍‌ ।
28020201c8	ମାରି ୱାର୍‌ ୱେନ୍‌ବାତାର୍‌, “ଏମେ କଡ଼ ଜିହୁଦିର୍‌ ରାଜା ଆଦେଙ୍ଗ୍‌ ଜନମ୍‍ ଆତାମାନାନ୍‌, ୱାନ୍‌ ଏମେ? ପୁର୍ବ ଦେସ୍‌ତୁ ୱାନି ସୁକା ସୁଡ଼୍‌ଜି ୱାନିଙ୍ଗ୍‌ ମାଡ଼ିସ୍‍କିଦେଙ୍ଗ୍‍ ମାପ୍‌ ୱାତାମାନାପ୍‌ ।”
28020300e4	ୱାରି ଇୟା ମାଟା ୱେନ୍‌ଞ୍ଜି ରାଜା ହେରୋଦ ମାରି ଜିରୁସାଲାମ୍‍ତି ୱିଜେରେ ଲୋକୁ ନାଣ୍ତ କାବାଆତାର୍‌ ।
280204015d	ହେରୋଦ ୱିଜେରେ ପେରି ଜାଜକର୍‌ ମାରି ଦାର୍ମୁଗୁରୁରିଙ୍ଗ୍‍ କୁକ୍‌ସି ୱାରିଙ୍ଗ୍‌ ୱେନ୍‌ବାତାନ୍‌, “ମସିହ ଆମାକାନ୍‍କି କ୍ରିସ୍ତ ଆମାନ୍‍ ଜନମ୍‌ ଆନାନ୍‌?”
28020500fc	ୱାର୍‌ ଇର୍ହାର୍‌, ଜିହୁଦା ରାଜିଦି ବେତଲିହିମ୍‍ତୁ । ଇୟା ବିସୟ୍‌ତାନ୍‌ ଅରେନ୍‍ ବାବବାଦି ରାସ୍‌ତାମାନାନ୍‌ ।
280206019c	ଜିହୁଦା ରାଜିଦି ବେତଲିହିମ୍‍, ଜିହୁଦାଦି ପେରି ଗାଡ଼ାକା ଲୋଇ ନିନ୍‌ ଇସ୍ରିକିନ୍ଦା ସିଲେ, ନିବାଣ୍‍କୁ ଅରେନ୍‍ ନେତା ୱାନାନ୍‌, ଇରିଙ୍ଗ୍‌ ନା ଇସ୍ରାଏଲ୍‌ ଲୋକାଙ୍ଗ୍‌ ସାଲାକିନାନ୍‍ ।
28020701e9	ଇକା ୱେନ୍‌ଞ୍ଜି ହେରୋଦ ପୁର୍ବଦେସ୍‍ତାନ୍‍ ୱାତି ମାର୍‍ଇୱାରିଙ୍ଗ୍‍ ଉଣ୍ତ୍ରି ମାର୍‍କ୍‍ସି ୱାର୍‍ଗିନିସାନି କୁଟୁମ୍‍ତୁ କୁକିସ୍‍ କିଜି ଟିକ୍‌ ଆମା ସମୟ୍‍ତୁ ସୁକା ସତାମାର୍ହାନ୍‍, ୱାରି ମାଣ୍‌କୁ ୱେନ୍‌ବାତାନ୍‌ ।
28020801fe	ୱେନ୍‌କା ୱାରିଙ୍ଗ୍‌ ବେତଲିହିମ୍‍ ଗାଡ଼୍‍କୁ ପୋକ୍‌ସି ଇର୍ହାନ୍‌, “ସାନ୍‍ଡ୍ରୁ, ଆୟା କଡ଼ଦିଙ୍ଗ୍‌ ନେଗେନ୍‍କିଜି ପୟ୍‌ଦୁ ମାରି ୱାନିଙ୍ଗ୍‌ ପୟ୍‌ତିଙ୍ଗ୍‌ ନାଙ୍ଗିଁ ୱେର୍‍ତୁ, ନାନ୍ ବା ସଲ୍‌ସି ୱାନିଙ୍ଗ୍‌ ମାଡ଼ିସ୍‍କିନା ।”
28020901b8	ସୁକେଙ୍ଗ୍‍ ସୁଣିକାର୍‍ ରାଜାଦି ମାଟା ୱେନ୍‌ଜି ଆୟା ବାଡି ଡ଼ିସ୍‌ସି ମାରିଡ଼େସି ୱାରି ସନି ସାରିଦୁ ସନିୱାଲେ, ୱେଡ଼ା ସନି ତରିଟି ବାଦଡ଼୍‍ତୁ ସୁଡ଼ୁତିମାର୍‍ଇ ଆୟା ସୁକା ମାରିଡ଼େସି ତରାତାତ୍‍ ।
28020a017c	ସୁକାଦିଙ୍ଗ୍‍ ସୁଡ଼୍‌ଜି ୱାରି ଏସା ୱେଡ଼ିକା ଏସା ୱେଡ଼ିକା ଆଜି ନିଙ୍ଗିଁତାର୍‍ ୱାର୍‌ ୱାରି ଆଗ୍‌ଡ଼ି ଆଗ୍‌ଡ଼ି ବୁଲାଜି ସୁକା କଡ଼ ମାର୍‍ଇ ଇଲୁ ମୁସ୍‌କୁ ତେବାତାତ୍‌ ।
28020b024c	ୱାର୍‌ ଆୟା ଇଲୁ ଲୋଇ ଡ଼ୁଗିତାର୍‍ ମାରି କଡ଼ଦିଙ୍ଗ୍‌ ଆଇସି ମରିୟମ୍‌ତି ୱାଲେ ସୁଡ଼୍‌ଜି ମେଣ୍ତେଙ୍ଗ୍‍ଗଟ୍‍କିଜି ୱାନିଙ୍ଗ୍‌ ମାଡ଼ିସ୍‍କିତାର୍‍ ମାରି ଅର୍‌ସେ ତାତିମାର୍‍ଇ ବାଙ୍ଗାଁରାମ୍‍, କୁନ୍ଦୁରୁ ନି ବାସ୍‌ନା ନିୟୁ ସପ୍‍ସି ୱାନିଙ୍ଗ୍‌ ଦାନ୍‍ ସିତାର୍‍ ।
28020c01ae	ଇୟା ୱେନ୍‌କା ୱାର୍‌ ଆଇ ଉଣ୍ତ୍ରି ସାରି ସିଜି ନିଜେଦି ଦେସ୍‌ତୁ ସର୍ହାର୍‍ । ଇରିଙ୍ଗ୍‌ ହେରୋଦଦି ଲାକ୍‌ତୁ ଡ଼େସି ସଲ୍‍ଇ ଉଣ୍ତିଙ୍ଗ୍‌ ମାପୁରୁ ୱାରିଙ୍ଗ୍‌ ଲବେରୁ ଆଦେସ୍‌ ସିତାମାର୍ହାନ୍‍ ।
28020d02c9	ସୁକେଙ୍ଗ୍‍ସୁଣିକାର୍‍ ସର୍‌ଇ ୱେନ୍‌କା ମାପୁରୁଦି ଦୁତ୍‍ ଜୋସେପତିଙ୍ଗ୍‍ ଲବେରୁ ତରାଇଆଜି ଇର୍ହାତ୍‌, “ହେରୋଦ କଡ଼ଦିଙ୍ଗ୍‌ କାତ୍‍ତେଙ୍ଗ୍‍ ପୟ୍‌ନାନ୍‌ । ଆଦେଙ୍ଗ୍‌ ନିଙ୍ଗିଁଆ, କଡ଼ଦିଙ୍ଗ୍‌ ନି ୱାନି ଆଇସିଙ୍ଗ୍‍ ଅସି ମିସର୍‍ ଦେସ୍‌ତୁ ଉରୁକ୍‍ତୁ । ଆୟା ବାଡି ନାନ୍ ଡ଼ିସ୍‍ତେଙ୍ଗ୍‍ଁ ଇନ୍‌ଇ ସାନ୍ଦି ଆବେ ତେବାଦୁ ।”
28020e00e9	ଜୋସେପ୍‌ ନିଙ୍ଗିଁଜି କଡ଼ ନି ୱାନି ଆଇସିଙ୍ଗ୍‍ ଅସି ଆୟାନାଡ଼ା ମିସର୍‍ତୁ ସନ୍‌ଡ଼୍ରେଙ୍ଗ୍‌ ସତାର୍‍ ।
28020f01ff	ହେରୋଦଦି ସାନି ସାନ୍ଦି ଆବେ ୱାର୍‌ ତେବାତାର୍‌ । ଇୟାୱିଜୁ ଗଟାନି ମାଣ୍‌କୁ ବାବବାଦିଦି ମାଣାନ୍‌ ପ୍ରବୁଦି ମାଟା ସତ୍‌ ଆତାତ୍‌ । ୱାନ୍‌ ଇର୍‌ଆ ମାର୍ହାନ୍‍, “ନା ମାରିନ୍‍ତିଙ୍ଗ୍‍ ନାନ୍ ମିସର୍‍ ଦେସ୍‍ତାନ୍‍ କୁକ୍‌ତା ତାତା ।”
2802100459	ପୁର୍ବ ଦେସ୍‍ତାନ୍‍ ୱାତିମାନି ସୁକେଙ୍ଗ୍‍ସୁଣିକାର୍‍ ୱାନିଙ୍ଗ୍‌ ବାଣ୍ତିସ୍‍କିଜି ସର୍ହାମାନାର୍‍ ନେସ୍‌ସି, ହେରୋଦ ରିସାଆତାନ୍‍ ମାରି ବେତଲିହିମ୍‍ ନି ତାନି ଲାକ୍‌ତୁରି ରାଜିଆଙ୍ଗାଁ ମାନି ଦୁଇ ବାର୍ସୁ ନି ତାନେଙ୍ଗ୍‌ ଉଣା ବାର୍‍ସେକ୍‍ତି ୱିଜେରେ କଡ଼ରିଙ୍ଗ୍‌ କାତ୍‍ତେଙ୍ଗ୍‍ ଇଜି ଆଦେସ୍‌ ସିତାନ୍‌ । ସୁକା ସତିମାର୍‍ଇ ୱେଡ଼ା ବିସୟ୍‌ତାନ୍‌ ସୁକେଙ୍ଗ୍‍ସୁଣିୱାରିମାଣ୍‍କୁ ୱାନ୍‌ ଆମାକା ୱେର୍‍ହାମାର୍ହାନ୍‍, ଆୟା ଇସାବ୍‌ତାନ୍‌ ୱାନ୍‌ କଡ଼ରି ବାର୍ସୁଦି ଜଗ୍‌ ତିଆର୍‌ କିତାମାର୍ହାନ୍‌ ।
28021100c6	ନାସ୍ତିୱାଲେ ଜିରିମିୟ ବାବବାଦି ମାଣାନ୍‌ ରାସ୍‍ତିମାର୍‍ଇ ଇୟା ବାକ୍ୟ ସତ୍‌ ଆତାତ୍‌ ।
2802120214	“ରାମା ଗାଡ଼୍‌ତୁ ଆଉଲି ୱାଜିନାତ୍‍, ତାନି ଦୁକ୍‍ତୁ ଆଡ଼୍‍ବାନି ବଲ୍ । ରାହେଲ୍ ତାନି କଡ଼ରି ଉଣ୍ତିଙ୍ଗ୍‌ ଆଡ୍‌ବାଜିନାତ୍‌; ତାନେଙ୍ଗ୍‌ ଏଣ୍ତେସ୍‌ ନାନି ବାସାଦାନ୍ ସୁକ୍‌ ସିଦେଙ୍ଗ୍‍ ଆଏଜିନାତ୍‍, ଇରିଙ୍ଗ୍‌ ୱାର୍‌ ୱିଜେରେ ସାତାର୍‌ ।”
28021300dc	ହେରୋଦଦି ସାତି ୱେନ୍‌କା ପ୍ରବୁଦି ଦୁତ୍‍ ମିସର୍‍ତୁ ଜୋସେପତିଙ୍ଗ୍‍ ଲବେରୁ ତରାଇଆଜି ଇର୍ହାତ୍‌,
280214019b	“ନିଙ୍ଗିଁଆ, କଡ଼ଦିଙ୍ଗ୍‌ ନି ୱାନି ଆଇସିଙ୍ଗ୍‍ ଆସ୍‌ସି ଇସ୍ରାଏଲ୍‌ ଦେସ୍‌ତୁ ଡ଼େସି ସାଙ୍ଗ୍‍ଆ । ଇରିଙ୍ଗ୍‌ ଏର୍‌ ୱାନି ଜିବନ୍‌ ଅତେଙ୍ଗ୍‍ ବଦାକିଜିମାର୍ହାର୍‍, ୱାର୍‌ ସାତାର୍‌ ।”
28021500f2	ଆବେଟ୍‌ ଜୋସେପ୍‌ ନିଙ୍ଗିଁଜି କଡ଼ ନି ମରିୟମ୍‍ତିଙ୍ଗ୍‍ ଆସ୍‌ସି ଇସ୍ରାଏଲ୍‌ ଦେସ୍‌ତୁ ଡ଼େସି ସର୍ହାନ୍‍ ।
2802160147	ମାତର୍‌ ହେରୋଦଦି ୱେନ୍‌କା ୱାନି ମାରିସି ଆର୍କିଲାୟ, ଜିହୁଦାଦି ରାଜା ଆତାମାନାନ୍‌ ୱେନ୍‌ଞ୍ଜି ୱାନ୍‌ ଗାଲିଲି ସନ୍‌ଡ଼୍ରେଙ୍ଗ୍‌ ତିଲାତାର୍‌ ।
2802170227	ମାତର୍‌ ଲବେରୁ ମାଟା ୱେନ୍‌ଞ୍ଜି ୱାନ୍‌ ଗାଲିଲି ରାଜିଦୁ ସର୍ହାନ୍‍, ମାରି ନାଜରିତ ଦର୍‌ତି ଗାଡ଼୍‌ତୁ ଇଲୁ କିଜି ତେବାତାନ୍‌ । ଆବେଟ୍‌ ବାବବାଦିରି ମାଣାନ୍‌ ରାସାତି ଉଣ୍ତ୍ରିବାକ୍ୟ ସତ୍‌ ଆତାତ୍‌ । “ୱାନ୍‌ ନାଜରିୟତିୟ ଇଜି ୱେଙ୍ଗ୍‍ଁନାନ୍‍ ।”
28030100f6	ଆୟା କାଡ଼ାଦୁ ଡୁବନ୍‌ ସିନି ଜୋହନ ଜିହୁଦା ଦେସ୍‌ତି ବାଲିବୁମିଦୁ ୱାଜି ପ୍ରଚାର୍‌ କିଦେଙ୍ଗ୍‍ ଆସ୍‌ତାନ୍‌ ।
28030200f3	ୱାନ୍‌ ଇର୍ହାନ୍‌, “ପାପ୍‌ତାନ୍‌ ମନ୍‍ତିଙ୍ଗ୍‍ ଡ଼େପ୍‍ତୁ, ଇରିଙ୍ଗ୍‌ ମାପୁରୁଦି ରାଜି ଇଗା ୱାଜିନାତ୍‍ ।”
280303021a	ବାବବାଦି ଜିସାୟ ଏମେୱାନି ବିସୟ୍‌ତାନ୍‌ ଇର୍ହାମାର୍‌ର୍ହାନ୍‌, ଯୋହନ ନେ ଆୟା ଲୋକୁ । “ବାଲି ବୁମିଦୁ ଏନ୍‌ ଅରେନ୍‍ ଆଉଲି ଆଜି ଇଜିନାନ୍‌, ପ୍ରବୁଦି ଉଣ୍ତିଙ୍ଗ୍‌ ସାରି ରସ୍‍ଆ; ୱାନି ଉଣ୍ତିଙ୍ଗ୍‌ ଉଣ୍ତ୍ରି ସାଡ଼ୁକୁ ରାସ୍ତା ତିଆର୍‌ କିଦୁ ।”
28030401b7	ଯୋହନତି ଆଙ୍ଗିଁଙ୍ଗ୍‌ ଉଟ୍‌ ବୁର୍‍ବୁସାଦାନ୍‍ ତିଆର୍‌ ଆତାମାର୍ହାତ୍‍ । ୱାନ୍‌ ୱାନି ଜୁକିଦୁ ଉଣ୍ତ୍ରି ତଲ୍‍ତି ନାସ୍‍ ତରାଜିମାର୍ହାନ୍‍ । ମାଡ଼ିମାଉ ନି ଗରନ୍‌ ପୁକି ୱାନି କାଦି ମାର୍ହାତ୍‌ ।
280305014e	ଜିରୁସାଲାମ୍‍ ଗାଡ଼୍‌ତାନ୍‍, ୱିଜୁ ଜିହୁଦା ରାଜିଦାନ୍‍ ମାରି ଜର୍ଦନ ଗାଡା ଲାକ୍‌ତୁରି ୱିଜୁ ନାର୍‍କାଣ୍‍ ଲୋକୁ ୱାନି ଲାକ୍‌ତୁ ୱାଜିମାର୍ହାର୍‍ ।
28030600dd	ୱାର୍‌ ନିଜେ ନିଜେଦି ପାପ୍‌ ୱେର୍‌ସି ଯୋହନତି ମାଣାନ୍‌ ଜର୍ଦନ ଗାଡାଦୁ ଡୁବନ୍‌ ଅସିମାର୍ହାର୍‍ ।
28030702a8	ଏସ୍ତିୱାଲେ ଯୋହନ ସୁଡ଼ୁତାନ୍‌ ନାଣ୍ତ ପାରୁସିର୍‌ ନି ସାଦୁକିର୍ ଡୁବନ୍‌ ଅତେଙ୍ଗ୍‌ ୱାଜିନାର୍‍; ୱାନ୍‌ ୱାରିଙ୍ଗ୍‌ ଇର୍ହାନ୍‌, “ଏ ବିସ୍‌ମାନି ସାରାସ୍‍ତି କୁଟୁମ୍‌ ମାପୁରୁ ମିଙ୍ଗିଁ ଏମେ ଦଣ୍ଡ୍‌ ସିଦେଙ୍ଗ୍‍ସଲ୍‍ସିନାନ୍‍, ଆବେଣାନ୍‍ ରକିୟା ପଇଦେଙ୍ଗ୍‍ ଆଟ୍‍ନିଦେର୍‍ଇଜି ଏନ୍‌ ମିଙ୍ଗିଁ ଇର୍ହାନ୍‌?
28030800e5	ଜଦି ସତ୍‌ତାନ୍‌ ପାପ୍‌ ପାଣିଦାନ୍‌ ମନ୍‍ ଡ଼େପ୍‍ତି ମାନିଦେର୍‌, ଇକା ମି ନେଗି ପାଣିଦାନ୍‌ ତର୍‌ତୁ ।
280309019f	ଅବ୍ରାହାମ ମା ବୁବା, ମୋନ୍‌ତୁ ମୋନ୍‌ତୁ ବା ଇୟାୱାଜା ଇନ୍‌ମାଟ୍‌ । ନାନ୍ ମିଙ୍ଗିଁ ଇଜିନା ଜେ ମାପୁରୁ ଇୟା କାଲ୍‍କାଙ୍ଗ୍‍ ଅସି ଅବ୍ରାହାମତି କୁଟୁମ୍‌ ତିଆର୍‌କିଦେଙ୍ଗ୍‌ ଆଟ୍‍ନାନ୍‍ ।
28030a014f	ମାରାକା ମଦଲ୍‍କୁ କାତ୍‍ତେଙ୍ଗ୍‍ ଇଜି ପାଡ଼ିସି ତିଆର୍‍କିତା ଇଟ୍‌ତାମାନାର୍‌ । ଏମେ ମାରାତୁ ନେଗି ପଲ୍‌ ରେଏତ୍‌, ଆକା କାତାଜି ସିସୁଦୁପକାନାତ୍‍ ।
28030b02cb	ମିର୍‌ ପାପ୍‌ତାନ୍‌ ମନ୍‍ତିଙ୍ଗ୍‍ ଡ଼େପ୍‍ତିମାନିଦେର୍‍, ଇକା ୱେର୍‌ତେଙ୍ଗ୍‌ ନାନ୍ ମିଙ୍ଗିଁ ଏର୍‌ତୁ ଡୁବନ୍‌ ସିଜିନା । ମାତର୍‌ ନା ୱେନ୍‌କା ଏନ୍‌ ୱାଜିନାନ୍‍, ୱାନ୍‌ ମିଙ୍ଗିଁ ପବିତ୍ରଆତ୍ମା ନି ସିସୁଦୁ ଡୁବନ୍‌ ସିନାନ୍‍ । ୱାନ୍‌ ନାବାଣାନ୍‍ ପେରିକାନ୍‌ ୱାନି ଜୁତେଙ୍ଗ୍‌ ପିଣ୍ତ୍‍ଦେଙ୍ଗ୍‍ ବା ନାନ୍ ଜଗ୍‌ ସିଲେ ।
28030c01e4	ପାସିଦାନ୍‍ ପଟୁ ୱିଜୁ ଟୁଟ୍‍ତେଙ୍ଗ୍‍ ଇଜି ୱାନି କିୟୁଦୁ ସେରିଇ ମାନାତ୍‌ । ୱାନ୍‌ ପାସି ୱିଜୁ ୱାନି କଲ୍‍କିଆଙ୍ଗ୍‍ଁ ଇଡ୍‌ନାନ୍‌ ମାରି କୁଲିଙ୍ଗ୍‌ ପଟୁ ୱିଜୁ ଏସାଙ୍ଗ୍‍ ନାମ୍‍ଇ ସିସୁଦୁ ଆଡ଼ାକ୍‌ନା ପକ୍‍ନାନ୍‍ ।”
