2800000007	Mathayo
28011100d3	Impapo zyonti afume hwa Ibrahimu hadi hwa Daudi zyahali impapo kumi na nne, afume hwa Daudi hadi hwegwe abhale hwa Babeli impapo kumi na nne, na afume ahwegwe afume hu Babeli hadi hwa Klisiti impapo kumi na nne.
280112009e	Apapwe hwa Yesu Klisiti hwahali ishi. Unyina wakwe u Mariamu, ahazinjiwilwe nu Yusufu, ishi shebhasili alolane ahaloleshe aje alinivyanda hwa mpepo umfinjile.
2801130069	Unume wakwe u Yusufu, ahali muntu wi lyoli zaga ahauzaga hukenyesye hubhantu. Ahamuye ahwimilisye husili.
28011400c6	Nahasibhaga ahusu amamba iga, uwantumi uwa ngumbhi ahamfumiiye hunjozi, ahaga, “Yusufu mwana wa Daudi, usahogope humweje u Mariamu unshi waho pipo ulwanda lwali nalwo lufumiline nu Mepo umfinjile.
2801150072	Abhapape umwana unsahala ubhalunkwize itawa lyakwe yu Yesu, papo anzahubhokole abhantu bhakwe ni dhambi zyabho.”
2801160050	Gonti gahafumiye aje nkezibhombeshe zyezyayangwile nu gosi hwidala lya kuwa aje,
2801170096	“Enya, u bikira ahayibha ni vyanda ahayipapa umwana uwishilume itawa lyakwe abhahukwizye yu Imanueli” — imaana yakwe, “Ungulubhi ali natwi.”
2801180067	U Yusufu ahadamushe mutulo na bhombe ndeshe abhantumi ngosi she bhahamuzizye na ahamwejile unshi wakwe.
2801190063	Hata shinisho, sagahagonile nawo mpaka lwahapapa umwana uwishilume ahankwizya itawa lyakwe yu Yesu.
28020100a2	Baada ya Yesu apapwe Mubethelehem iya Huuyahudi hu nsiku izya mwene u Herode, abhantu bhebhazizye afume humashariki iya patali bhahafishile hu Yerusalemu bhahaga,
2802020067	“Ali hwoshi yapapilwe umwene wabhayahudi? Tahayilolile inzota ya humashariki nati tinzile humpute.”
280203004e	Umwene u Herode la ahumvwa iga ahalalamushe ni Yerusalemu youti peka nu mwene.
280204006e	Uherode ahabhabhunginye agosi bhaadimi bhonti na asimbi bha bhantu, ahabhabhuzya, “Klisiti abhapapwe hwi?”
2802050048	Bhamuzya, “Hu Bethelehemu iya Huyahudi, ishi sheyahasimbilwe na akuwa,
280206009d	Naawe Bethelehemu, munsi iya Yuda, siga ndodo peka na alongozi abha hu Yuda, pipo afume huliwe abhahwinze umwene yahayibhadima abhantu bhani abha Israeli.”
2802070069	Isho u Herode ahabhakwizizye bhala abhazyi hu siri na hubhabhuzye aje habhalilizyo bhuli inzota iloleshe.
2802080092	Ahabhatuma hu Bethelehemu, ahaga, “Bhalaji na hwenyelezye mumwanze umwana ya papilwe. Nkemwanola mundetele ihabari aje nani nkininze humpute.”
28020900b5	Baada ya manye aje bhamwimvwizye umwene bhahendeliye ashule, ni mota ila yebhahayilolile humashariki yahabhalongoleye mpa lweyahimilila pala pa mwanya umwana ahapapilwe pansi yakwe.
28020a0027	Lwe bhahayilola inzota bhahashiye hani.
28020b00b2	Bhahinjiye munyumba nahunole umwana yapapilwe nu Mariamu unyina wakwe. Bhamwinamiye na humpute. Bhahiguye ivintu vyabho nahumfumizye izawadi zyabho izahabu nu uvumba ni manemane.
28020c0074	U Ngulubhi ahabhasoshile mndoto aje bhasahawele hwa Herode, kwa hiyo bhahasoguye abhale hunsi yabho hwidala ilyinji.
28020d00e6	Baada ya sogole abhantumi bha Ngulubhi bhahamfumiye u Yusufu hunjozi ahadamushe, “Ua, humweje umwana nu nyina wakwe nu mwana na ahashimbiliye hu Misri. Mukhale hunuhwo mpaka lwe nahayibha bhuzya pipo u Herode ahumwana ili agoje.
28020e0051	Nunsiku u Yusufu ahadamusha na humweje umwana nu nyina wakwe ashimbilile Humisri.
28020f008e	Ahakhiye uhwo mpa u Herode nahafwa. Izi zyahafishiye shila Ungulubhi shahayinje ashilile hwa nkuwa, “Afume humisri inkwizizye mwana wani.”
28021000e7	U Herode, laahalola bhansufizye na bhantu abhazya, ahavitilwe hani. Ahalajizizye agoje abhana na bhonti abhishilume bhebhahali hu Bethelehemu na bhonti bhebhali pala ahwaudile amaha gabhili ahwishe pansi afume shebha yinje abhazyi.
280211003f	Pe twalibhombile izwi lila lyelyaha yangwilwe nukuwa u Yeremia,
280212008b	“Izi lyahimvwiha hu Ramah, impungo na zonde hani, u Raheli ahabhalililaga abhana bhakwe, na ahakhanile apumilizwe pipo abhana nabhamo.”
280213005f	U Herode lwa hafwa abhantumi bha Ngulubhi bhahamwinziye u Yusufu mutulo uhwo hu Misri na yanje.
2802140073	“Bhuha umweje umwa nu nyina wakwe mubhale hunsi iya hu Israeli pipo bhahanzaga uwumi wa mwana aje bhasahagoje.”
280215004c	U Yusufu ahimiliye, amwega umwana nu mayi wakwe, ahinza munsi iyamu Israeli.
28021600b6	Ishi la ahwumvwa aje u Arikelau ahali mwini wa hu Yuda pala pa yise wakwe u Herode, ahogope abhale uhwo. Baada ya Ngulubhi hunsoshe mutulo, ahasogoye abhale humukoa ugwa hu Galilaya,
2802170082	ahabhalile akhale munsi yihwitwa Nazareti. Ili lyahatimiye hu zila zyezyahayangwilwe hwi dala lya kuwa aje bhasiakwizye Mnazareti.
280301004c	Munsiku zila u Yohana Umwozyo ahinzile alumbilile hunyika iya hu Yuda ahaga,
2803020035	“Mulambe pipo ubhumwini uwahumwanya bhusojeliye.”
280303009a	Pipo unu yahayangwilwe nukuwa u Isaya ahaga, “Izwi lya muntu ya kwizya afume hujangwani; 'mubhishe tayari idala lya gosi, mugagoloshe amashilo gakwe.”
280304007c	Ishi Uyohana ahakwite amasepe agingamia ni lamba ilyingozi musana wakwe, ishalye shakwe shahali nzije nu woshi uwa mwisengo.
2803050067	Habhili Muyerusalemu, Iyuda yonti, ni sehemu yonti yeyahazyangulile isoho Iyordani bhahabhala hukwakwe.
2803060049	Bhahozewaga nawo mwisoho mu Yordani bhalambaga hwangwubhi imbibhi zyabho.
2803070095	Lwahabhalola abhinji abhamafalisayo na masadukayo lwebhahwuzya, “Amwe mwimpapo izyi nzoha izyi sumu wenu yabhasoshile huyishimbile inkuni yihwinza?
2803080024	Mupape amadondo gegahwanziwa alaabe.
28030900a4	Mgandi asibhe na ayanjizanye hulimwe mwe, 'Tulinawo u Ibrahimu ye yise witu.' Pipo imbabhuzya aje Ungulubhi angamwimishizya u Ibrahimu abhana afumilane na mawe iga.
28030a0070	Intemu iliho ibhihwile hunzizi ugwi kwi. Ishi ikwi lyolyonti lyesalipapa amadondo lidumulwa na tajilwe mu mwoto.
28030b00b1	Ihubhozya na manzi hunongwa ya lambe. Ishi umwene yahwinza badala yani ngosi kuliko ani. Nanisihwanziwa abhusye iyilyatu vyakwe. Umwene asibhozye hwa mpepo umfinjile na humwoto.
28030c0098	Na ulupapike lwakwe lulimunyobhe zyakwe lupepeta nziila na hwozye na abhunganye ingano zyakwe mushanga. Nantele abhapembe amakapi mumwoto wesebhuzimiha.
28030d0053	Nantele u Yesu ahinza afume hu Galilaya mpaka mwisoho Iyorodani ahwozewe nu Yohana.
28030e0050	Uyohana ahandaga akhane aje, “Asahamwozye pipo u Yesu gosi ashile u Yohana?”
28030f0081	U Yesu ahayanga ahaga, “Nini ihurusu awe unozye, maana ihwanziwa aje inkamilisye ilyoli yonti.” U Yohana pa ahamwozya u Yesu.
28031000a6	Baada ya hwozewe u Yesu ahafumile muminzi ahenya imwaaya zyahamwigushiye, nantele ahanola umpepo wa Ngulubhi ahwiha hushifwani shinjibha na ahwimilile pamwanya yakwe.
280311005c	Izwi, lyahafumile humwanya lyahaga, “Unu mwana wani uganwa. Indi ni insungwo nawo hani.”
2804010044	U Yesu ahalongozowilwe nu Mpepe mpaka hujangwa ili ajelwe nu setano.
280402003e	Ahafunjile insiku arobaini nunsanya na nunsiku ahali ni nzala.
2804030063	Uwinjelo ahinza ahamuzya, “Ahaga awe ukewe mwana wa Ngulubhi ugobhuzye amawe iga gabhe makati.”
2804040091	Lelo u Yesu ahaga ahamuzya, “Iyandihwilwe, 'Umuntu sangakhala munsi umu alyanje gamakati gini, hata hwizwi lyolyonti lyelifuma hwa Ngulubhi.”
280405005e	Habhili usetano ahantwalile mpaka munsi nyinza na humishe pamwanya hani pinyumba iyishibhanza,
28040600ab	na humuzye, hujenkushe awe uli mwana wa Ngulubhi, yidomosye mpaka pansi, pipo isimbilwe bhakwe bhinze bhatone nantele bhasibhusye humakhono gabho nkusahabumile mu mawe.”
280407004c	U Yesu ahambula, “Ahaga habhili ahaga, 'Uganje hunjele u Ngulubhi waho.”
280408005a	Habhili, usetano ahamwega na huntwale pigamba pamwanya hani ahanolesya insi zyontiinyinza.
2804090047	Ahaga, “Inzahupele ivintu vyonti ivi nkewaninamila na humpute ani.”
28040a0078	U Yesu ahabhula, “Sogolaga uyepe ipa, setano! Pipo isimbilwe ihwanziwa humpute Ungulubhi waho, umombele yuyo mwimi.”
28040b0048	Usetano ahaneha, nahabhalola, abhantumi bhahinza humpute na humbhombele.
28040c0043	U Yesu naahanvwa aje u Yohana akhitwe, ahasoguye mpaka hu Galilaya.
28040d0084	Ahasoguye Hunazareti ahabhalile akhale Hukapernaumu, yilimunshinji mu bahari ya Hugalilaya, mumpaha mmajimbo ga Zabuloni nu Naftali.
28040e0041	Ili lyahafumiye aje likamiliswe lyelyahayangwile nu kuwa u Isaya,
28040f006e	“Munsi iya Zabuloni na munsi iya Naftali, abhale munsumbi mwisyila ilya Huyorodani, Hugalilaya iya hubhinsi!
2804100085	Abhantu bhebhakhiye muhisi bhabhulolile umwanga ungosi hawi, na bhala bhebhahakhiye mwidala ilyifwe pamwanya ulukhozyo lukhozizye.”
280411006d	Afume ahabhalilizyo iho u Yesu ahandile alumbilile aje, “Mulambe pipo ubhumwini uwahumwanya bhusojeliye.”
28041200b7	Lwahajendaga mushinji munsunbi iya Hugalilaya, ahabhalola aholo bhabhili, u Simoni yebhahakwizyaga yu Petro, nu Andrea ukaka wakwe, bhahatega inyavu mwusumbi pipo bhahasukulaga inswi.
2804130056	U Yesu ahabhabhula ahaga, “Inzaji munfwate, imbabhabhishe mubhebhasukule abhantu.”
280414002b	Pinipo bhahaluleha ulwelo bhaufwata u Yesu.
28041500cf	U Yesu lwahajendelelaga afume ipo ahabhalola aholobbhabhili abhamwabho, Yakobo umwana wa Zebedayo, nu Yohana ukaka wakwe. Bhahali mwitoli peka nu Zebedayo uyise wabho bhahasonaga ulwelo lwabho. Ahabhakwizwa,
2804160039	pinipo bhahalileha itoli nu yise wabho bhope bhahanfuata.
2804170094	U Yesu ahabhalile Mugalilaya yonti, ahamanyizyaga mu Masinagogi gabho, ahalumbililaga ibhangili ubhumuini aponye impungo ni mbina zyonti zya bhantu.
28041800af	Inongwa zyakwe zyahayeshile Isiria yonti na abhantu bhahaleta abhabhinu bhebhali ni inpungo zinyinji, bhebhahali ni mpepo izyi shifafa na bhebhapoozizye. U Yesu ahabhaponizye.
2804190093	Impuga ya bhantu yahali ngosi abhantu bhebhafuataga afume hu Galilaya, na Dekapoli, na Huyerusalemu na Huyahudi na afume mwisyila ilya hu Yorodani.
2805010063	U Yesu lwahayilola impuga, ahasoguye abhale hwigamba. Lwahakhiye pansi asambilizyi bhakwe bhalinza.
280502002b	Ahigula ilomu lyakwe ahabhamanyizya, ahaga,
280503003e	“Hwashi abhapina bhi mwoyo pipo ubhumwini uwahumwanya wabho.
280504002a	Hwashi abhaswimilizu pipi bhahayisubhizwa.
280505002e	Hwashi abhapole, bhahayibha bhapyani bhi insi.
2805060038	Hwashi abhinzala ni shumwilwa shilyoli pipo bhahayikuta.
280507002a	Hwashi abhirehema pipo bhayibha ni rehema.
2805080032	Hwashi abhimwoyo umwinza pipo bhayinola Ungulubhi.
2805090034	Hwashi akundanyi, pipi bhabhabhe bhana bha Ngulubhi.
28050a0047	Hwashi bhebhayimba kwa ajili yi lyoli pipo ubhumwini uwahumwanya wabho.
28050b0053	Hwashi amwi yemuligwa na bhantu ua yimbe na yangwe hwilenga ubhibhi kwa ajili yani.
28050c0083	Mushanje ua lulutile pipo amasombo ginyu magosi hwa Ngulubhi. Pipo abhantu abhahwande bhahabha yimvizye akuwa bhebhali kabla yinyu.
28050d00b3	Amwi libheya lyinsi ishi ibheya nkelitezizye uwinza wakwe selibhabhe libhe ya habhili? Selingabha lyinza habhili hu hantu hohonti, hulitaje hunzi ua akhanywe ni vinama vya bhantu.
28050e0046	Amwi lukhozyo lwinsi. Ikhaya yizengwilwa pamwanya pi gamba sihuyifisa.
28050f0077	Abhantu sebhahwansya itala nahuyibhishe pansi yishikapu, ila bhabhiha pamwanya imuliha bhonti bhebhali muhati munyumba.
2805100093	Muleshe ulukhozyo lwinyu lukhozye hwilongolela hwa bhantu ihwanziwa huje abhantu bhagalole amatendo ginyu aminza na huutime u Ngulubhi uwahumwanya.
2805110055	Msahaje ininzile ananganye indajizyo wa akuwa. Sininzile ananganye ininzile atomizye.
2805120097	Amba lyoli ihumbabhuzya huje mpaka imwanya ninsi zyonti zishile nimo iyodi yeka wala inukuta yeka iyi sheria seyahayiyepa kila hantu lwehayibha tiyari.
28051300d6	Ishi wowonti yavunza iamuli indodo mojawapo yi amli izi na hubhamanyizye abhanji abhombe isho ahwitwa ndodo hubhumwini uwahumwanya. Lakini yeyote azishikaye na kuzifundisha ataitwa mkubwa katika ufalme wa mbinguni.
2805140073	Pipo ihumbabhuzya ihaki yinyu nkeseyabhashila abhaandishi ya Mafalisayo, shoshonti shila semwahayiyinjila humwanya.
2805150051	Mwinvwizye yahayangwilwe imandi aje, “usahagoje”'wowonti yagoga ahayilongwa.'
28051600e9	Ishi ihumbabhuzya wowonti yahumvitwa uholo wakwe ahayilongwa. Na yeyote amwambiaye ndugu yake kuwa, 'Wewe ni mtu uisyefaa!' atakuwa katika hatari ya baraza. Na yeyote asemaye, 'Wewe mjinga!' atakuwa katika hatari ya moto wa jehanamu.
280517004a	Nkufumya isadaka yaho pashiputo ukumbuha huje uholo waho alininongwa nawe,
2805180058	yileshe isadaka paushiputo ubhale ukundane nawo uholo waho nkuyinze ufumye isadaka yaho.
2805190071	Kundana nu unongwi waho lubhilo lulipeka nawo mwidala lwemubhala humahakama, mukundane ili usahakungwe mwigereza.
28051a004b	Mwitishe ihumbabhuzya semwahayibha ahinza mpaka musombe amalando gemlongwa.
28051b0029	Mwinvwizye aje iyandihwilwe, 'Usahazini.'
28051c0057	Lelo ihubhabhuzya wowonti ya humwenya unshi hwahunsungwe uyo azinile nawo mumoyo wakwe.
28051d00af	Nki ilinso lyaho ilya hulilo lihusababisya abumile ulikunye ulitaji apatali nawe. Pipo hwashi ishilungo sheka mumbili waho shinanjishe kuliko ubili ngwonti gubhale hujehanamu.
28051e00ab	Na nkushe inyobhe yaho indilo isababisya aje ubumile, udumule yoonti uyitajle apatali nawe. Pipo hwashi ishilungo sheka shinanjishe kuliko ubili gwonti gubhale hujehanamu.
28051f0039	Isimbilwe wowonti ya huminga unshi wakwe ampele italaka.'
2805200089	Lelo ani ihumbabhuzya wowonti yahuneha unshi wakwe hunongwa yizanaa uyo amishile aje muzinzi. Na wowonti yahumwega unshi uyo wope uzinzi.
2805210072	Tena, mwinvwizye aje yahayangwilwe hubhala abhimandi, 'Musaha lape ilenga lelo muntwalile Ungulubhi ilape hwinyu.'
2805220056	Lelo ihumbabhuzya musahalape hata hadodo hata hwimwanya pipo imwanya enzi ya Ngulubhi;
2805230079	Wala hunsi pipo mahali pakwe pabhishe itengo ilyakhanyile ivinama vyakwe, wala hwa Yerusalemu, maana khaya yamwini ugosi.
280524004b	Usahalape hwitwe lyaho maana sungabhomba ulusisi lweka lubhe zeru au lwiru.
280525005c	Lelo inongwa zyinyu zibhanje, 'Ena, ena, Ndali, ndali.' Pipo nkegonjela ipo gafuma hwa nugu.
2805260045	Mwinvwizye aje iyangwilwe aje, “Jicho kwa jicho, na jino kwa jino.'
2805270078	Lelo ani ihumbabhuzya mugandi atolane nu muntu umibhi; Lelo umuntu nkahukhoma imbuguzi iya hulilo umpele ni lya humongo.
280528005e	Nu muntu wowonti yasungwa abhale nawe humahakama na afyula inkanzu yaho neshele ni joho lyaho.
280529003e	Wowonti yahulazimisya ibhale umaili yeka bhala umaili zibhili.
28052a002a	Wowonti yahulabha umpele, yakhopa khopele.
28052b0042	Mwinvwizye iyangwile ugane, 'Umpalamani waho, unvitwe unugu waho.'
28052c0044	Lelo imbabhuzya mubhagane alugu bhinyu mubhaputile bhebhalubhavisya,
28052d007b	Nkemubhe bhana bha daada uwahumwanya. Pipo alamya isaya likholo hwabhibhi na bhinza, imvula itonya hwa bhabhibhi na bhinza.
28052e0068	Nkemwabhagana bhebhabhaganile amwi, mubhapate faida nshii? Mbona bhebhasongozya insoho sebhabhomba isho.
28052f0069	Nke mwabhalamuha aholo bhinyu bhini mubhapa ahenu ashile abhanji? Ishi!, abhantu bhinsi sebhabhomba isho?
2805300050	Ishi ihwanziwa huje mubhe bhagolosu ndeshe Udada winyu uwahumwanya shali golosu.
2806010066	Uyenyaje ungandi abhombe imbo inyinza hubhantu ili huyilolesye, subhapate ifaida hwa Dada uwahumwanya.
2806020097	Ishi nufumya isadaka usahayitufye sana usahabhe ndeshe abhanafiki shebhabhomba mumasinagogi na mumitaa, nkaabhantu bhabhatime semubhapae ifaida nkiimo.
280603004e	Lelo awe lufumya ukhona gwaho ugwa humongo gusahamanye sheshibhombeha hundilo,
280604005d	ili huje isadaka yaho ufumye hu siri. Nkhu Udada waho yalola muhati abhalupele ithawabu yaho.
28060500ba	Na luputa usahabhe, udeshe anafiki, pipo abhene bhasungwa ahwimilile na pute, mumasinagogi na mukona izya mukhaya zyabho nka abhantu bha bhenye. Lelo ihumbabhuzya bhapite ithawabu yabho.
2806060070	Awe luputa injila hu hati ufunje ulwiji upuute hwa Daada uwamumwoyo udaada ya lola muhati asipele ithawabu yaho.
2806070096	Nu puta ungandi pyanile inongwa zyesezili ni maana, ndeshe abhamunsi shebhabhomba pipo bhasibha abhantu bhabhahubhiuvwe pipo bhayanga inongwa inyinji.
2806080053	Ishi usahabhe ndeshe abhene pipo uDada aminye uhwanza henu shusile alabhe hukwakwe.
280609003e	Uputaje ishi: Dada witu uwahumwanya itawa lyaho lyimishilwaje.
28060a0042	Ubhumwini waho winze, ulugano lwaho lubhombeshe pansi na humwanya.
28060b0024	Utipele ishalye shitu insiku zyonti.
28060c004d	Utukhobhoshele amalando gitu, ndeati shetihubhakhobhoshela abhimalando bhitu.
28060d0024	Usahatipe injelo, utidime nu setano.
28060e0060	Nkemwabhakhobhoshela abhantu amalando gabho, Udada winyu uwahumwanya abhahubhakhobhoshele namwi.
28060f0049	Nkushe mubhabhakhobhoshele abhantu Udada abhabhakhobhoshele makosa ginyu.
28061000af	Hu gonti, lufunga usahalolesye uzugunizu humaso ndeshe abhanafiki shebhabhomba bhazugumila humiso nke abhantu bhamanye aje bhafunjile. Lyooli ihubhuzya bhapite ithawabu yabho.
2806110037	Lelo, lufunga pahala amafuta hwitwe lyaho uyoje hunaso.
2806120076	Subhaloleshe humaso gabhantu aje ufunjile, u Ngulubhi mweene yabhamanye Udada yamanya muhati abhahupele ithawabu yaho.
2806130048	Usahabhishe amali gaho munsi umu zinanjiha na bhole na bhibha bhahwibha.
2806140055	Badala yakwe, abhishe amali gaho hwa Ngulubhi, sibhahwibha, sigabhola wa segananjiha.
280615002f	Pipo amali gaho pegali umwoyo waho pebhubhabhe.
280616005a	Ilinso lukhozyo lwi bili. Nkushele, ilyinso lyaho lyumi ubili wonti, bhubhabhe nulukhozyo.
2806170084	Nkushele ilyinso lyaho lifwiye, ubili waho wonti bhuli hisi haani. Ishi nkulukhozyo lweluli muhati muliwe hisi ahagosi ndeshe bhuli!
280618009d	Numo nka weka yangabha na lume bha bhili, pipo abhahunvitwe unu na hugane uwinji lumo abhahwepe hwunu abhahu sufye uwinji. Hamuwezi kumtumikia Mungu na mali.
2806190099	Ishi ihuhabhe nu sanje ahusu amaisha gaho aje ubhalyeshi, ubhamweleshi, ahusu ubili waho ubhakwate shi! Amaisha se haani yi shalye ubili haani yi meenda?
28061a00a7	Enya inyonyi zyezipuluha humwanya. Saazitota sazivunza sazibhunganya na bhishe mushanka, lelo Udada uwahumwanya ahuzilisya. Je amwisemulibhi maana hani kuliko inyonyi?
28061b004b	Weemu hulimwe uwahuyitamye ankayonjezya idhiraa yeka huwomi wimaisha gakwe?
28061c0071	Ye enu mubha musaga aje yibhakwate nshi? Msubhilile amaua mmashamba shegabha segabhomba imbombo segahuyikwatizya.
28061d0057	Bado ihumbabhuzya hata yu Sulemani nu tuntumu wakwe saga ahakwatiziwilwe mojawapo yiga.
28061e00a4	Nkushele Ungulubhi ahugakwatizya amasole agamumagunda, gegakhala isiku lyeka ni ndabhi gatagwa mumwoto je bhulibhuli angabhakwatizya amwi mwemuli nulwitiho uludodo?
28061f0066	Eshi musahasaje aje, 'Je tibhalyeshi?' au “Je tibhamweleshi?” au “Je tibhakhwate menda bhuli?”
2806200057	Pipo abhinsi bhahuganza amambo iga, nu Dada winyu uwahumwanya aminye aje muhuganza igo.
2806210055	Ishi nasuti mwanze ubhumwini wakwe ni lyoli yakwe nigo gonta gabhahwonjeleshe huliwe.
2806220080	Ishi usahalole usahasaje kwa ajili yi ndabhi, pipo indabhi zibhamanyishe hunuhwo. Isiku lyolyonti likwiliye hwi tatizizo lyakwe.
280701001c	Nkulonga, nawe wahayilongwa.
280702005a	Alonje shuloonga nawe wahayilongwa na shuhubhapimila abhantu nawe wahayi pimilwa shinisho.
280703008a	Yeenu uhwenya ishipande shikwi sheshili mwilyinso holo waho suminye ishipande shikwi shesheli mwilyinso lyaho ikwi liliho mwilyinso lyaho?
280704007f	Unganda bhuli ayanje hwa holo waho aje ambaihwefwe ishipande sheshili mwilinso lyaho, wakati nawe wayo ulinasho mwilinso lyaho?
280705007a	Ulinilenga awe; kwanza uyefwe ishipande sheshili mwilinso lyaho, nkubhahwefwe ahinza ishipande isha mwilinso lyaholo waho.
2807060086	Usahazipele imbwa ivintu ivyinza usahazisumbile ungurubhi ishalye ishinza zinzananganye na khanye ni vinama habhili bhanza hulye nawe.
2807070045	Labha ubhaposhele. Anza, nawe ubhapate. Khoma ihodi, anzahuhwigulile.
2807080059	Pipo ya labha aposhela, na wowonti yahwanza aposhela. Umuntu yakhoma ihodi, ahumwigulila.
2807090040	Aliho humwinyu umuntu umwana wakwe nkalabha umukate ahupela iwe?
28070a0023	Au nkanabha isamaki ahupela inzoha?
28070b0098	Nkushele, mubhimbibhi muminye hubhapele abhana bhinyu ivintu ivyinza, Je! Ungulubhi wenyu uwahumwanya sangabhapela hanii ivyinza bhebha hunabha umweene?
28070c0062	Ishi shuhwanza huje ubhombelwe na bhanji, nawe shubhombaje hwamwinyu, pipo izyo ndajizyo zya kuwa.
28070d0076	Mwinjile mulwiji unyeela. Pipo ulwiji lugosi idala ligosi lyelilongozya humwoto abhantu bhinji bhebhabhala idala ilyo.
28070e003f	Ulwiji unyeela lwa huwomi, abhantu bhadodo bhebhahwinjila umwo.
28070f0065	Muyenyaje na kuwa abhilenga, bhebhahwinza bhakwite ikwembe ilyingole, lakini muhati mbwa londe ihali.
2807100068	Mubhabhamanye amadondo gabho. Je abhantu bhangatungula amadondo muminvwa, au mwikwi humbeyu iyi mbaruti?
2807110063	Ishi ikwi lyolyonti, ilyinza lipapa amadondo aminza, lakini ikwi ibhibhi lipapa amadondo amabhibhi.
280712005b	Ikwi ilyinza salingapapa amadondo amabhibhi, wala ikwi ibhibhi selingapapa amadondo aminza.
2807130047	Ikwi lyolyonti lyesagalipapa amadondo aminza litemwa na pembele umwoto.
2807140030	Abhantu abha bhibhi ubhabhamanye amadondo gabho.
280715008c	Siga muntu wowonti yayiga, 'Ngurubhi, Ngulubhi,' yahayiyinjila hubhumwini uwahumwanya, ila yuyula yabhomba inyinza zya Ngulubhi uwahumwanya.
2807160097	Abhantu abhinji isiku ilyo bhahayiyiga 'Ngulubhi, Ngulubhi, twahafumizye ukuwa hwitawa lyaho, hwitawa lyaho twahabhombile amambo minji aminza amagosi?'
280717004e	U Ngulubhi ahayibhabhu aje, 'simbaminye mwepe! Ipa amwe, mubhabhomba imbibhi!'
2807180078	Ishi kila muntu yahwinvwa amazwi gani na hugitishe alingana nu muntu uwihekima yazenjile inyumba yakwe pamwanya pa mawe.
280719007a	Invura yatonya, awinzi gamema ahanvulungwe hinza hayikhoma inyumba iyo seya, gwa pansi pipo yahazengwilwe pamwanya pamawe.
28071a0082	Lelo umutu wowonti yahwunvwa uzwi lyani lyani sahulyitiha uyo abhafane nu muntu umpumbavu yazenga inyumba yakwe pamwanya pansanga.
28071b0064	Invula yinza, na minzi gamema na hamvulungwi hinza hayikhoma inyumba iyo yagwa na malishe pepala.”
28071c004b	U Yesu lwa hamala ayanje amazwi iga, abhantu bhahaswijile lwa hamanyizyaga.
28071d0046	Pipo ahamanyizyaga ndeshe umuntu uwimamlaka siyo ndeshe asimbi bhabho.
2808010043	U Yesu lwahiha pansi afume mwigamba, impuga ya bhantu yahasojeliye.
280802004a	Umukoma umo ahasugamiye hwilongolela lyakwe ahaga gosi inlabha umponye.”
2808030041	U Yesu agolosyaa inyabhe yakwe ankhata amponya apona unkoma wepa.
28080400aa	Uyesu amuuzya aga, “Usahayanje hwa muntu wowonti. Bhalaga uyilolesye hwa mputi ufumye ni sadaka ye u Musa ahalajizizye ajili yiushuhuda hubhabhinu bhebhaponile mbina”
280805003c	U Yesu lwahafiha hu Kapernaumu, un'gosi umo ahinza ahamuuzya
2808060052	ahaga, “Gosi uwimbombo wani agonile hukhaya apoozizye ivinama vibhabha haani.”
280807002b	U Yesu aga ishi, “Imbahwinze humponye.”
2808080076	Ugosi ayanga aga, 'Yesu, ani si ndinithamani mapaka uyinjile muhati munyumba yani yanga izwi lwene uwimbombo abhapone.
