2800000008	Matteuse
28050d008f	Teie olete maa sool. Aga kui sool kaotab maitse, kuidas teha seda soolaseks? See ei kõlba enam millekski ja visatakse välja inimeste tallata.
28050e004a	Teie olete maailma valgus. Linn, mis on mäe otsas, ei jää märkamatuks.
28050f0076	Samuti ei süüta keegi lampi, et panna see vaka alla, vaid ikka lambijalale; siis särab see kõigile majasolijatele.
2805100071	Nõnda paistku teiegi valgus inimestele, et nad näeksid teie häid tegusid ja kiidaksid teie Isa, kes on taevas.
280511007b	Ärge arvake, et ma olen tulnud Seadust või Prohveteid tühistama – ma ei ole tulnud neid tühistama, vaid täide viima!
280512007f	Tõesti, ma ütlen teile, enne kaovad taevas ja maa, aga Seadusest ei kao ükski täht ega kriips, enne kui kõik on sündinud.
28051300ba	Seepärast, kes vähimatki käsusõnadest rikub ja õpetab teisi sama tegema, seda hüütakse vähimaks taevariigis; aga kes neid täidab ja õpetab, seda hüütakse suureks taevariigis.
2805140067	Ma ütlen teile, kui teie pole kirjatundjatest ja variseridest õigemad, siis te ei pääse taevariiki.
280515007a	Te olete kuulnud, et muistsele põlvele on öeldud: „Sa ei tohi tappa! Ja igaüks, kes tapab, peab minema kohtu alla.“
28051600da	Kuid mina ütlen teile, et igaüks, kes oma venna peale viha kannab, peab minema kohtu alla. Aga kes oma vennale ütleb: „Tühine!“, peab minema ülemkohtu alla, ja kes ütleb: „Loll!“, peab minema põrgutulle.
2805170067	Seepärast, kui sa oma anni ohvrialtarile tood ja seal sulle meenub, et su vennal on midagi sinu vastu,
2805180069	siis jäta oma ohver altari ette ja mine lepi enne ära oma vennaga. Alles siis tule ja too oma ohvriand.
28051900c4	Ole järeleandlik oma vastasega, kes sind kohtusse viib. Lepi temaga ära, kuni te veel teel olete, et ta ei annaks sind kohtuniku kätte ja kohtunik kohtuteenri kätte ja sind ei heidetaks vangi!
28051a0062	Tõesti, ma ütlen sulle, sa ei pääse sealt enne, kuni sa oled tagasi maksnud viimsegi veeringu.
28051b0040	Te olete kuulnud, et on öeldud „Sa ei tohi abielu rikkuda!“
28051c007c	Kuid mina ütlen teile, et igaüks, kes võõrast naist vaatab teda himustades, on oma südames temaga juba abielu rikkunud.
28051d009c	Kui aga su parem silm ahvatleb sind patule, siis võta see välja ja viska ära. Sul on parem kaotada üks ihuliige kui olla terve ihuga heidetud põrgusse.
28051e009a	Ja kui su parem käsi ahvatleb sind patule, siis raiu see küljest ja viska ära, sest sul on parem kaotada üks ihuliige kui minna terve ihuga põrgusse.
28051f0048	Öeldud on: „Kes oma naisest lahutab, andku talle lahutustunnistus!“
28052000ab	Kuid mina ütlen teile, et igaüks, kes lahutab oma naisest muul põhjusel kui abielurikkumine, teeb temast abielurikkuja. Ja kes abiellub lahutatud naisega, rikub abielu.
2805210080	Samuti olete kuulnud, et muistsele põlvele on öeldud: „Ära murra oma vandetõotusi, vaid täida oma lubadused Issandale!“
280522005a	Kuid mina ütlen teile, et te ei vannuks üldse: ei taeva nimel, sest see on Jumala troon;
2805230069	ega maa nimel, sest see on tema jalgealune järg; ega Jeruusalemma nimel, sest see on suure Kuninga linn!
280524005b	Ära vannu ka oma pea nimel, sest ise ei saa ühtegi juuksekarva mustaks või valgeks teha.
2805250067	Teie „jah“ olgu „jah“ ja teie „ei“ olgu „ei“. Kõik, mis sellele lisatakse, on kurjast.
2805260048	Te olete kuulnud, et on öeldud: „Silm silma ja hammas hamba vastu!“
280527008e	Kuid mina ütlen teile, ärge hakake vastu inimesele, kes teile kurja teeb! Kui keegi lööb sind paremale põsele, keera ka vasak tema poole!
280528004e	Ja sellele, kes tahab sind kohtusse kaevata ja su särgi võtta, anna ka kuub!
280529003d	Ja kui keegi sunnib sind käima ühe miili, mine temaga kaks!
28052a0049	Anna, kui sinult palutakse, ja ära keeldu, kui sinult tahetakse laenata!
28052b0052	Te olete kuulnud, et on öeldud: „Armasta oma ligimest ja vihka oma vaenlast!“
28052c005f	Kuid mina ütlen teile, armastage oma vaenlasi ja palvetage nende eest, kes teid taga kiusavad.
28052d00ab	Siis te olete tõesti oma taevase Isa lapsed; sest tema laseb oma päikesel tõusta nii kurjade kui heade üle ning vihma sadada ühtviisi õiglaste ja ülekohtuste peale.
28052e0067	Sest kui te armastate neid, kes teid armastavad, mis tasu te siis ootate? Eks maksukogujad tee ju sama?
28052f0061	Ja kui te ainult oma sõpru lahkelt tervitate, mis selles erilist on? Eks paganadki tee sedasama?
2805300040	Seepärast olge täiuslikud, nagu teie taevane Isa on täiuslik!
2806010079	Vaadake, et te oma häid tegusid ei teeks inimestele näitamise pärast, muidu ei ole teil tasu oma Isalt, kes on taevas!
28060200dc	Kui sa nüüd annad neile, kel puudus, siis ära kuuluta sellest pasunahüüuga, nagu silmakirjatsejad teevad sünagoogides ja tänavail, et inimesed neid kiidaksid. Tõesti, ma ütlen teile, neil on oma tasu juba käes!
280603004a	Aga kui sina annad, ärgu su vasak käsi teadku, mida su parem käsi teeb!
280604004a	Jäägu su heategu salajasse, ja su Isa, kes näeb salajasse, tasub sulle.
28060500cb	Ja kui te palvetate, siis ärge olge nagu silmakirjatsejad, kes armastavad palvetada sünagoogides ja tänavanurkadel, et olla inimestele nähtavad! Tõesti, ma ütlen teile, neil on oma tasu juba käes!
2806060089	Aga kui sina palvetad, siis mine oma kambrisse, sule uks ja palveta oma Isa poole salajas. Ja sinu Isa, kes näeb salajasse, tasub sulle!
2806070068	Palvetades ärge lobisege nagu paganad, kes arvavad, et neid võetakse kuulda nende sõnarohkuse tõttu.
2806080059	Ärge saage nende sarnaseks! Teie Isa ju teab, mida te vajate, enne kui te temalt palute.
2806090050	Palvetage siis nõnda: Meie Isa, kes sa oled taevas! Pühitsetud olgu sinu nimi!
28060a0048	Sinu riik tulgu, sinu tahtmine sündigu nagu taevas, nõnda ka maa peal!
28060b002d	Meie igapäevast leiba anna meile tänapäev!
28060c004d	Ja anna meile andeks meie võlad, nagu meiegi andeks anname oma võlglastele!
28060d0079	Ja ära saada meid kiusatusse, vaid päästa meid ära kurjast! Sest sinu päralt on riik ja vägi ja au igavesti. Aamen.
28060e0068	Sest kui te annate teistele andeks nende eksimused, siis annab ka teie Isa, kes on taevas, teile andeks.
28060f0058	Kui te aga ei anna teistele andeks, siis ei anna ka teie Isa teie eksimusi teile andeks.
28061000bc	Kui te paastute, siis ärge olge mornid nagu silmakirjatsejad, kes teevad sellise näo, et inimestele oleks nähtav nende paastumine. Tõesti, ma ütlen teile, neil on oma tasu juba käes!
280611003e	Aga kui sina paastud, siis korrasta oma juuksed ja pese nägu,
2806120085	et su paastumine ei oleks nähtav inimestele, vaid su Isale, kes on varjatud. Ja su Isa, kes näeb varjatutki, tasub sulle avalikult!
2806130077	Ärge koguge endale varandust maa peale, kus koi ja rooste seda hävitavad ja kuhu vargad sisse murravad ja varastavad!
280614006f	Koguge endile varandust taevasse, kus koi ega rooste seda ei hävita ja kuhu vargad sisse ei murra ega varasta.
280615002d	Sest kus on su varandus, seal on ka su süda!
2806160044	Silm on ihu lamp. Kui su silm on hea, on su ihu täidetud valgusega.
2806170070	Aga kui su silm on kuri, on su ihu täidetud pimedusega. Kui valgus sinu sees on pime, kui suur on siis pimedus?
28061800a9	Keegi ei saa teenida kahte isandat, sest ta kas vihkab üht ja armastab teist või kiindub ühesse ja jälestab teist. Teiegi ei saa teenida korraga Jumalat ja mammonat.
28061900a9	Seepärast ma ütlen teile, ärge muretsege oma elu pärast, mida süüa või juua, ega ihu pärast, mida selga panna! Eks elu ole enam kui toit ja ihu enam kui rõivad?
28061a0091	Vaadake linde taevas! Nad ei külva ega lõika ega kogu aita saaki, ning teie taevane Isa toidab neid. Kui palju enam väärt nendest olete teie!
28061b004e	Aga kes teie seast suudaks muretsemisega ennast ühe küünragi pikemaks teha?
28061c0070	Ja miks te muretsete riiete pärast? Pange tähele, kuidas kasvavad lilled aasal! Nad ei näe vaeva ketramisega,
28061d0065	kuid ma ütlen teile, et isegi Saalomon kogu oma hiilguses ei olnud riietatud nii nagu igaüks neist.
28061e008c	Kui aga Jumal riietab rohu väljal nii, mis täna on siin ja homme heidetakse tulle, kui palju enam ta riietab siis teid, te nõdrausulised!
28061f0075	Ärge siis enam muretsege, öeldes: „Mida me sööme?“ või „Mida me joome?“ või „Mida me selga paneme?“
2806200055	Selle pärast muretsevad paganad. Teie taevane Isa teab ju, et te seda kõike vajate.
2806210057	Aga otsige esmalt Jumala riiki ja tema õigust, siis seda kõike antakse teile pealegi!
2806220069	Ärge siis muretsege homse pärast, sest homme muretseb ise enda eest. Igale päevale piisab oma vaevast.
2807010038	Ärge mõistke kohut, et teie üle ei mõistetaks kohut!
2807020092	Sest samamoodi, nagu teie teiste üle kohut mõistate, mõistetakse kohut teiegi üle, ja nõnda nagu teie teistele mõõdate, mõõdetakse teile.
2807030046	Miks sa näed pindu oma venna silmas, aga palki enda silmas ei märka?
2807040076	Või kuidas sa võid oma vennale öelda: „Lase ma tõmban pinnu sinu silmast välja!“ ja sul endal on silmas palk?
2807050074	Silmakirjatseja, tõmba esmalt palk oma silmast välja, ja siis sa näed ka pindu oma venna silmast välja tõmmata!
28070600a7	Ärge andke koertele seda, mis on püha, ärge heitke oma pärleid sigade ette! Et nad neid ei tallaks jalgade alla ega pöörduks tagasi ja teid tükkideks ei rebiks!
2807070054	Küsige, ja teile antakse; otsige, ja te leiate; koputage uksele, ja teile avatakse!
2807080055	Igaüks, kes palub, see saab; kes otsib, see leiab; ja kes koputab, sellele avatakse.
2807090051	Kas teie seas on kedagi, kes annaks oma pojale kivi, kui poeg palub temalt leiba?
28070a002c	Või annaks mao, kui poeg palub temalt kala?
28070b0092	Kui nüüd teie, kes te olete kurjad, oskate anda häid ande oma lastele, kui palju enam teie Isa taevas annab häid asju neile, kes teda paluvad!
28070c007b	Kõike siis, mida te iganes tahate, et inimesed teile teeksid, tehke ka neile! See ongi Seaduse ja Prohvetite sõnumi sisu.
28070d0080	Minge sisse kitsast väravast, sest lai on värav ja avar on tee, mis viib hukatusse, ja palju on neid, kes sealtkaudu lähevad.
28070e005b	Kuid väike on värav ja kitsas on tee, mis viib ellu, ja vähe on neid, kes selle leiavad.
28070f0061	Hoiduge valeprohvetitest, kes tulevad teie juurde lambanahas, aga tegelikult on nad aplad hundid.
2807100061	Te tunnete nad ära nende viljast. Ei korjata ju viinamarju kibuvitstest ega viigimarju ohakaist?
2807110041	Nii kannab siis iga hea puu head vilja, aga halb puu halba vilja.
280712003f	Hea puu ei saa kanda halba vilja ega halb puu kanda head vilja.
2807130044	Iga puu, mis ei kanna head vilja, raiutakse maha ja visatakse tulle.
2807140028	Seega te tunnete nad ära nende viljast!
2807150082	Mitte igaüks, kes mulle ütleb: „Issand, Issand!“, ei saa taevariiki. Saab vaid see, kes teeb mu Isa tahtmist, kes on taevas.
28071600ad	Paljud ütlevad mulle sel päeval: „Issand, Issand, kas me ei ole sinu nimel prohveteerinud ega ajanud sinu nimel välja kurje vaime ega teinud sinu nimel palju imesid?“
280717005e	Siis ma tunnistan neile: „Ma ei ole teid kunagi tundnud. Minge ära, te ülekohtutegijad!“
2807180073	Seepärast igaüks, kes neid mu sõnu kuuleb ja nende järgi teeb, on kui arukas mees, kes ehitas oma maja kaljule.
2807190087	Kui sadas paduvihma, tõusid marutuul ja tulvavesi ning langesid selle maja peale, siis see ei varisenud, sest see oli rajatud kaljule.
28071a0079	Ent igaüks, kes neid mu sõnu kuuleb, aga nende järgi ei tee, on võrreldav rumala mehega, kes ehitas oma maja liivale.
28071b007b	Kui sadas paduvihma, tõusid marutuul ja tulvavesi ning langesid maja peale, siis see varises ja selle häving oli suur.“
28071c0047	Kui Jeesus need kõned lõpetas, oli rahvas tema õpetusest vapustatud,
28071d004b	sest ta õpetas nagu see, kellel on meelevald, aga mitte nagu kirjatundjad.
280801003b	Kui Jeesus tuli mäelt alla, järgnes talle suur rahvahulk.
2808020078	Tema juurde astus pidalitõbine, põlvitas ta ette ja ütles: „Issand, kui sa tahad, siis sa võid mu puhtaks teha!“
2808030076	Jeesus sirutas käe, puudutas teda ja ütles: „Ma tahan, saa puhtaks!“ Ja mees sai otsekohe pidalitõvest puhtaks.
28080400ab	Siis ütles Jeesus talle: „Vaata, et sa sellest kellelegi ei räägi, vaid mine näita ennast preestrile ja vii neile tunnistuseks ohvriand, nagu Mooses on käskinud!“
280805004b	Kui Jeesus jõudis Kapernauma, tuli ta juurde sadakonna ülem ja palus abi:
280806003f	„Issand, mu teener lebab kodus halvatuna suurtes piinades!“
280807003d	„Kas ma pean tulema ja ta terveks tegema?“ küsis Jeesus.
280808008a	„Issand,“ vastas sadakonna ülem talle, „ma ei ole väärt, et sina minu katuse alla tuleksid. Anna vaid käsk ja mu teener paraneb!
28080900e2	Mina ise olen ju samuti võimu alla seatud ja minule alluvad sõdurid. Kui ma ütlen ühele neist: „Mine!“, siis ta läheb. Ma ütlen teisele: „Tule!“ ja ta tuleb. Ma ütlen oma teenrile: „Tee seda!“ ja ta teeb.“
28080a0098	Seda kuuldes Jeesus imestas ja ütles neile, kes ta järel käisid: „Tõesti, ma ütlen teile, sellist usku ei ole ma leidnud Iisraelis veel kellelgi.
28080b007d	Ma ütlen teile, et paljud tulevad idast ja läänest ning istuvad taevariigis pidulauda koos Aabrahami, Iisaki ja Jaakobiga.
28080c006e	Kuningriigi sünnijärgsed alamad aga heidetakse välja pimedusse, kus on ulgumine ja hammaste kiristamine.“
28080d0089	Nüüd ütles Jeesus sadakonna ülemale: „Mine! Sündigu sulle nõnda, nagu sa oled uskunud!“ Ülema teener sai samal tunnil terveks.
28080e0050	Kui Jeesus jõudis Peetruse majja, nägi ta tema ämma voodis lebamas palavikus.
28080f0069	Jeesus võttis naisel käest kinni, ja palavik lahkus temast, ning ta tõusis üles ja kattis talle laua.
280810008f	Õhtu saabudes toodi Jeesuse juurde palju kurjadest vaimudest vaevatuid, ja ta ajas neist vaimud välja sõnaga ning tegi terveks kõik haiged.
280811007d	Nii läks täide, mis oli öeldud prohvet Jesaja suu läbi: „Ta võttis enese peale meie haigused ja kandis meie tõved.“
280812004c	Nähes rahvahulka enda ümber, käskis Jeesus sõita järve teisele kaldale.
2808130067	Üks kirjatundja astus tema juurde ja ütles: „Õpetaja, ma järgnen sulle, kuhu sa iganes lähed!“
280814006d	Jeesus vastas talle: „Rebastel on urud ja lindudel pesad, aga Inimese Pojal ei ole, kuhu oma pead panna.“
2808150053	Üks teine jünger ütles Jeesusele: „Issand, luba mul esmalt minna isa matma!“
280816004b	Jeesus ütles talle: „Järgne mulle, las surnud matta ise oma surnuid!“
2808170038	Siis astus Jeesus paati ja ta jüngrid järgnesid talle.
2808180052	Äkki tõusis järvel suur torm, nii et lained lõid üle paadi; Jeesus aga magas.
2808190062	Jüngrid tulid tema juurde ja äratasid ta üles, hüüdes: „Issand, päästa meid, me upume!“
28081a0097	„Teie nõdrausulised, miks te nii hirmul olete?“ vastas Jeesus. Siis tõusis ta üles, sõitles tuult ja laineid ning kõik jäi täiesti vaikseks.
28081b0067	Inimesed aga imestasid, öeldes: „Mis mees see küll on, et isegi tuul ja lained talle kuuletuvad?“
28081c00c4	Kui Jeesus jõudis teisele kaldale gerasalaste maale, tulid talle vastu kaks hauakoopaist väljunud kurjast vaimust vaevatud meest, kes olid nii vägivaldsed, et keegi ei julgenud seda teed käia.
28081d006f	Need karjusid: „Mis on sul meiega asja, Jumala Poeg? Kas sa oled tulnud meid piinama enne määratud aega?“
28081e0024	Aga eemal oli suur seakari söömas.
28081f0062	Kurjad vaimud anusid Jeesust: „Kui sa meid välja ajad, siis saada meid selle seakarja sisse!“
