010000000c	בראשית
01011c0160	וַיְבָרֶךְ אֹתָם אֱלֹהִים וַיֹּאמֶר לָהֶם אֱלֹהִים פְּרוּ וּרְבוּ וּמִלְאוּ אֶת־הָאָרֶץ וְכִבְשֻׁהָ וּרְדוּ בִּדְגַת הַיָּם וּבְעוֹף הַשָּׁמַיִם וּבְכׇל־חַיָּה הָֽרֹמֶשֶׂת עַל־הָאָֽרֶץ׃
01011d0155	וַיֹּאמֶר אֱלֹהִים הִנֵּה נָתַתִּי לָכֶם אֶת־כׇּל־עֵשֶׂב ׀ זֹרֵעַ זֶרַע אֲשֶׁר עַל־פְּנֵי כׇל־הָאָרֶץ וְאֶת־כׇּל־הָעֵץ אֲשֶׁר־בּוֹ פְרִי־עֵץ זֹרֵעַ זָרַע לָכֶם יִֽהְיֶה לְאׇכְלָֽה׃
01011e0120	וּֽלְכׇל־חַיַּת הָאָרֶץ וּלְכׇל־עוֹף הַשָּׁמַיִם וּלְכֹל ׀ רוֹמֵשׂ עַל־הָאָרֶץ אֲשֶׁר־בּוֹ נֶפֶשׁ חַיָּה אֶת־כׇּל־יֶרֶק עֵשֶׂב לְאׇכְלָה וַֽיְהִי־כֵֽן׃
01011f00d1	וַיַּרְא אֱלֹהִים אֶת־כׇּל־אֲשֶׁר עָשָׂה וְהִנֵּה־טוֹב מְאֹד וַֽיְהִי־עֶרֶב וַֽיְהִי־בֹקֶר יוֹם הַשִּׁשִּֽׁי׃
010201005d	וַיְכֻלּוּ הַשָּׁמַיִם וְהָאָרֶץ וְכׇל־צְבָאָֽם׃
0102020100	וַיְכַל אֱלֹהִים בַּיּוֹם הַשְּׁבִיעִי מְלַאכְתּוֹ אֲשֶׁר עָשָׂה וַיִּשְׁבֹּת בַּיּוֹם הַשְּׁבִיעִי מִכׇּל־מְלַאכְתּוֹ אֲשֶׁר עָשָֽׂה׃
01020300f6	וַיְבָרֶךְ אֱלֹהִים אֶת־יוֹם הַשְּׁבִיעִי וַיְקַדֵּשׁ אֹתוֹ כִּי בוֹ שָׁבַת מִכׇּל־מְלַאכְתּוֹ אֲשֶׁר־בָּרָא אֱלֹהִים לַעֲשֽׂוֹת׃
01020400c8	אֵלֶּה תוֹלְדוֹת הַשָּׁמַיִם וְהָאָרֶץ בְּהִבָּֽרְאָם בְּיוֹם עֲשׂוֹת יְהֹוָה אֱלֹהִים אֶרֶץ וְשָׁמָֽיִם׃
0102050142	וְכֹל ׀ שִׂיחַ הַשָּׂדֶה טֶרֶם יִֽהְיֶה בָאָרֶץ וְכׇל־עֵשֶׂב הַשָּׂדֶה טֶרֶם יִצְמָח כִּי לֹא הִמְטִיר יְהֹוָה אֱלֹהִים עַל־הָאָרֶץ וְאָדָם אַיִן לַֽעֲבֹד אֶת־הָֽאֲדָמָֽה׃
0102060081	וְאֵד יַֽעֲלֶה מִן־הָאָרֶץ וְהִשְׁקָה אֶֽת־כׇּל־פְּנֵי הָֽאֲדָמָֽה׃
01020700fb	וַיִּיצֶר יְהֹוָה אֱלֹהִים אֶת־הָֽאָדָם עָפָר מִן־הָאֲדָמָה וַיִּפַּח בְּאַפָּיו נִשְׁמַת חַיִּים וַיְהִי הָֽאָדָם לְנֶפֶשׁ חַיָּֽה׃
01020800af	וַיִּטַּע יְהֹוָה אֱלֹהִים גַּן־בְּעֵדֶן מִקֶּדֶם וַיָּשֶׂם שָׁם אֶת־הָֽאָדָם אֲשֶׁר יָצָֽר׃
0102090114	וַיַּצְמַח יְהֹוָה אֱלֹהִים מִן־הָאֲדָמָה כׇּל־עֵץ נֶחְמָד לְמַרְאֶה וְטוֹב לְמַאֲכָל וְעֵץ הַֽחַיִּים בְּתוֹךְ הַגָּן וְעֵץ הַדַּעַת טוֹב וָרָֽע׃
01020a00b5	וְנָהָר יֹצֵא מֵעֵדֶן לְהַשְׁקוֹת אֶת־הַגָּן וּמִשָּׁם יִפָּרֵד וְהָיָה לְאַרְבָּעָה רָאשִֽׁים׃
01020b00a5	שֵׁם הָֽאֶחָד פִּישׁוֹן הוּא הַסֹּבֵב אֵת כׇּל־אֶרֶץ הַֽחֲוִילָה אֲשֶׁר־שָׁם הַזָּהָֽב׃
01020c0079	וּֽזְהַב הָאָרֶץ הַהִוא טוֹב שָׁם הַבְּדֹלַח וְאֶבֶן הַשֹּֽׁהַם׃
01020d008d	וְשֵֽׁם־הַנָּהָר הַשֵּׁנִי גִּיחוֹן הוּא הַסּוֹבֵב אֵת כׇּל־אֶרֶץ כּֽוּשׁ׃
01020e00c9	וְשֵׁם הַנָּהָר הַשְּׁלִישִׁי חִדֶּקֶל הוּא הַֽהֹלֵךְ קִדְמַת אַשּׁוּר וְהַנָּהָר הָֽרְבִיעִי הוּא פְרָֽת׃
01020f00b1	וַיִּקַּח יְהֹוָה אֱלֹהִים אֶת־הָֽאָדָם וַיַּנִּחֵהוּ בְגַן־עֵדֶן לְעׇבְדָהּ וּלְשׇׁמְרָֽהּ׃
0102100096	וַיְצַו יְהֹוָה אֱלֹהִים עַל־הָֽאָדָם לֵאמֹר מִכֹּל עֵֽץ־הַגָּן אָכֹל תֹּאכֵֽל׃
01021100b2	וּמֵעֵץ הַדַּעַת טוֹב וָרָע לֹא תֹאכַל מִמֶּנּוּ כִּי בְּיוֹם אֲכׇלְךָ מִמֶּנּוּ מוֹת תָּמֽוּת׃
01021200b5	וַיֹּאמֶר יְהֹוָה אֱלֹהִים לֹא־טוֹב הֱיוֹת הָֽאָדָם לְבַדּוֹ אֶֽעֱשֶׂה־לּוֹ עֵזֶר כְּנֶגְדּֽוֹ׃
010213017a	וַיִּצֶר יְהֹוָה אֱלֹהִים מִן־הָֽאֲדָמָה כׇּל־חַיַּת הַשָּׂדֶה וְאֵת כׇּל־עוֹף הַשָּׁמַיִם וַיָּבֵא אֶל־הָאָדָם לִרְאוֹת מַה־יִּקְרָא־לוֹ וְכֹל אֲשֶׁר יִקְרָא־לוֹ הָֽאָדָם נֶפֶשׁ חַיָּה הוּא שְׁמֽוֹ׃
01021400fa	וַיִּקְרָא הָֽאָדָם שֵׁמוֹת לְכׇל־הַבְּהֵמָה וּלְעוֹף הַשָּׁמַיִם וּלְכֹל חַיַּת הַשָּׂדֶה וּלְאָדָם לֹֽא־מָצָא עֵזֶר כְּנֶגְדּֽוֹ׃
01021500f4	וַיַּפֵּל יְהֹוָה אֱלֹהִים ׀ תַּרְדֵּמָה עַל־הָאָדָם וַיִּישָׁן וַיִּקַּח אַחַת מִצַּלְעֹתָיו וַיִּסְגֹּר בָּשָׂר תַּחְתֶּֽנָּה׃
01021600c5	וַיִּבֶן יְהֹוָה אֱלֹהִים ׀ אֶֽת־הַצֵּלָע אֲשֶׁר־לָקַח מִן־הָֽאָדָם לְאִשָּׁה וַיְבִאֶהָ אֶל־הָֽאָדָֽם׃
01021700eb	וַיֹּאמֶר הָֽאָדָם זֹאת הַפַּעַם עֶצֶם מֵֽעֲצָמַי וּבָשָׂר מִבְּשָׂרִי לְזֹאת יִקָּרֵא אִשָּׁה כִּי מֵאִישׁ לֻֽקְחָה־זֹּֽאת׃
01021800b2	עַל־כֵּן יַֽעֲזׇב־אִישׁ אֶת־אָבִיו וְאֶת־אִמּוֹ וְדָבַק בְּאִשְׁתּוֹ וְהָיוּ לְבָשָׂר אֶחָֽד׃
0102190092	וַיִּֽהְיוּ שְׁנֵיהֶם עֲרוּמִּים הָֽאָדָם וְאִשְׁתּוֹ וְלֹא יִתְבֹּשָֽׁשׁוּ׃
0103010131	וְהַנָּחָשׁ הָיָה עָרוּם מִכֹּל חַיַּת הַשָּׂדֶה אֲשֶׁר עָשָׂה יְהֹוָה אֱלֹהִים וַיֹּאמֶר אֶל־הָאִשָּׁה אַף כִּֽי־אָמַר אֱלֹהִים לֹא תֹֽאכְלוּ מִכֹּל עֵץ הַגָּֽן׃
010302007b	וַתֹּאמֶר הָֽאִשָּׁה אֶל־הַנָּחָשׁ מִפְּרִי עֵֽץ־הַגָּן נֹאכֵֽל׃
01030300da	וּמִפְּרִי הָעֵץ אֲשֶׁר בְּתוֹךְ־הַגָּן אָמַר אֱלֹהִים לֹא תֹֽאכְלוּ מִמֶּנּוּ וְלֹא תִגְּעוּ בּוֹ פֶּן־תְּמֻתֽוּן׃
010304006c	וַיֹּאמֶר הַנָּחָשׁ אֶל־הָֽאִשָּׁה לֹֽא־מוֹת תְּמֻתֽוּן׃
01030500e3	כִּי יֹדֵעַ אֱלֹהִים כִּי בְּיוֹם אֲכׇלְכֶם מִמֶּנּוּ וְנִפְקְחוּ עֵֽינֵיכֶם וִהְיִיתֶם כֵּֽאלֹהִים יֹדְעֵי טוֹב וָרָֽע׃
010306015a	וַתֵּרֶא הָֽאִשָּׁה כִּי טוֹב הָעֵץ לְמַאֲכָל וְכִי תַֽאֲוָה־הוּא לָעֵינַיִם וְנֶחְמָד הָעֵץ לְהַשְׂכִּיל וַתִּקַּח מִפִּרְיוֹ וַתֹּאכַל וַתִּתֵּן גַּם־לְאִישָׁהּ עִמָּהּ וַיֹּאכַֽל׃
01030700e4	וַתִּפָּקַחְנָה עֵינֵי שְׁנֵיהֶם וַיֵּדְעוּ כִּי עֵֽירֻמִּם הֵם וַֽיִּתְפְּרוּ עֲלֵה תְאֵנָה וַיַּעֲשׂוּ לָהֶם חֲגֹרֹֽת׃
010308012e	וַֽיִּשְׁמְעוּ אֶת־קוֹל יְהֹוָה אֱלֹהִים מִתְהַלֵּךְ בַּגָּן לְרוּחַ הַיּוֹם וַיִּתְחַבֵּא הָֽאָדָם וְאִשְׁתּוֹ מִפְּנֵי יְהֹוָה אֱלֹהִים בְּתוֹךְ עֵץ הַגָּֽן׃
010309007e	וַיִּקְרָא יְהֹוָה אֱלֹהִים אֶל־הָֽאָדָם וַיֹּאמֶר לוֹ אַיֶּֽכָּה׃
01030a009d	וַיֹּאמֶר אֶת־קֹלְךָ שָׁמַעְתִּי בַּגָּן וָאִירָא כִּֽי־עֵירֹם אָנֹכִי וָאֵחָבֵֽא׃
01030b00da	וַיֹּאמֶר מִי הִגִּיד לְךָ כִּי עֵירֹם אָתָּה הֲמִן־הָעֵץ אֲשֶׁר צִוִּיתִיךָ לְבִלְתִּי אֲכׇל־מִמֶּנּוּ אָכָֽלְתָּ׃
01030c00b1	וַיֹּאמֶר הָֽאָדָם הָֽאִשָּׁה אֲשֶׁר נָתַתָּה עִמָּדִי הִוא נָֽתְנָה־לִּי מִן־הָעֵץ וָאֹכֵֽל׃
01030d00ce	וַיֹּאמֶר יְהֹוָה אֱלֹהִים לָאִשָּׁה מַה־זֹּאת עָשִׂית וַתֹּאמֶר הָֽאִשָּׁה הַנָּחָשׁ הִשִּׁיאַנִי וָאֹכֵֽל׃
01030e0155	וַיֹּאמֶר יְהֹוָה אֱלֹהִים ׀ אֶֽל־הַנָּחָשׁ כִּי עָשִׂיתָ זֹּאת אָרוּר אַתָּה מִכׇּל־הַבְּהֵמָה וּמִכֹּל חַיַּת הַשָּׂדֶה עַל־גְּחֹנְךָ תֵלֵךְ וְעָפָר תֹּאכַל כׇּל־יְמֵי חַיֶּֽיךָ׃
01030f00f7	וְאֵיבָה ׀ אָשִׁית בֵּֽינְךָ וּבֵין הָֽאִשָּׁה וּבֵין זַרְעֲךָ וּבֵין זַרְעָהּ הוּא יְשׁוּפְךָ רֹאשׁ וְאַתָּה תְּשׁוּפֶנּוּ עָקֵֽב׃
0103100110	אֶֽל־הָאִשָּׁה אָמַר הַרְבָּה אַרְבֶּה עִצְּבוֹנֵךְ וְהֵֽרֹנֵךְ בְּעֶצֶב תֵּֽלְדִי בָנִים וְאֶל־אִישֵׁךְ תְּשׁוּקָתֵךְ וְהוּא יִמְשׇׁל־בָּֽךְ׃
010311017c	וּלְאָדָם אָמַר כִּֽי־שָׁמַעְתָּ לְקוֹל אִשְׁתֶּךָ וַתֹּאכַל מִן־הָעֵץ אֲשֶׁר צִוִּיתִיךָ לֵאמֹר לֹא תֹאכַל מִמֶּנּוּ אֲרוּרָה הָֽאֲדָמָה בַּֽעֲבוּרֶךָ בְּעִצָּבוֹן תֹּֽאכְלֶנָּה כֹּל יְמֵי חַיֶּֽיךָ׃
0103120084	וְקוֹץ וְדַרְדַּר תַּצְמִיחַֽ לָךְ וְאָכַלְתָּ אֶת־עֵשֶׂב הַשָּׂדֶֽה׃
01031300f1	בְּזֵעַת אַפֶּיךָ תֹּאכַל לֶחֶם עַד שֽׁוּבְךָ אֶל־הָאֲדָמָה כִּי מִמֶּנָּה לֻקָּחְתָּ כִּֽי־עָפָר אַתָּה וְאֶל־עָפָר תָּשֽׁוּב׃
010314008d	וַיִּקְרָא הָֽאָדָם שֵׁם אִשְׁתּוֹ חַוָּה כִּי הִוא הָֽיְתָה אֵם כׇּל־חָֽי׃
0103150099	וַיַּעַשׂ יְהֹוָה אֱלֹהִים לְאָדָם וּלְאִשְׁתּוֹ כׇּתְנוֹת עוֹר וַיַּלְבִּשֵֽׁם׃
010316013e	וַיֹּאמֶר ׀ יְהֹוָה אֱלֹהִים הֵן הָֽאָדָם הָיָה כְּאַחַד מִמֶּנּוּ לָדַעַת טוֹב וָרָע וְעַתָּה ׀ פֶּן־יִשְׁלַח יָדוֹ וְלָקַח גַּם מֵעֵץ הַֽחַיִּים וְאָכַל וָחַי לְעֹלָֽם׃
01031700b2	וַֽיְשַׁלְּחֵהוּ יְהֹוָה אֱלֹהִים מִגַּן־עֵדֶן לַֽעֲבֹד אֶת־הָאֲדָמָה אֲשֶׁר לֻקַּח מִשָּֽׁם׃
0103180119	וַיְגָרֶשׁ אֶת־הָֽאָדָם וַיַּשְׁכֵּן מִקֶּדֶם לְגַן־עֵדֶן אֶת־הַכְּרֻבִים וְאֵת לַהַט הַחֶרֶב הַמִּתְהַפֶּכֶת לִשְׁמֹר אֶת־דֶּרֶךְ עֵץ הַֽחַיִּֽים׃
01040100c4	וְהָאָדָם יָדַע אֶת־חַוָּה אִשְׁתּוֹ וַתַּהַר וַתֵּלֶד אֶת־קַיִן וַתֹּאמֶר קָנִיתִי אִישׁ אֶת־יְהֹוָֽה׃
01040200b0	וַתֹּסֶף לָלֶדֶת אֶת־אָחִיו אֶת־הָבֶל וַֽיְהִי־הֶבֶל רֹעֵה צֹאן וְקַיִן הָיָה עֹבֵד אֲדָמָֽה׃
0104030092	וַֽיְהִי מִקֵּץ יָמִים וַיָּבֵא קַיִן מִפְּרִי הָֽאֲדָמָה מִנְחָה לַֽיהֹוָֽה׃
01040400c5	וְהֶבֶל הֵבִיא גַם־הוּא מִבְּכֹרוֹת צֹאנוֹ וּמֵֽחֶלְבֵהֶן וַיִּשַׁע יְהֹוָה אֶל־הֶבֶל וְאֶל־מִנְחָתֽוֹ׃
01040500a0	וְאֶל־קַיִן וְאֶל־מִנְחָתוֹ לֹא שָׁעָה וַיִּחַר לְקַיִן מְאֹד וַֽיִּפְּלוּ פָּנָֽיו׃
0104060088	וַיֹּאמֶר יְהֹוָה אֶל־קָיִן לָמָּה חָרָה לָךְ וְלָמָּה נָפְלוּ פָנֶֽיךָ׃
01040700dc	הֲלוֹא אִם־תֵּיטִיב שְׂאֵת וְאִם לֹא תֵיטִיב לַפֶּתַח חַטָּאת רֹבֵץ וְאֵלֶיךָ תְּשׁוּקָתוֹ וְאַתָּה תִּמְשׇׁל־בּֽוֹ׃
01040800d7	וַיֹּאמֶר קַיִן אֶל־הֶבֶל אָחִיו וַֽיְהִי בִּהְיוֹתָם בַּשָּׂדֶה וַיָּקׇם קַיִן אֶל־הֶבֶל אָחִיו וַיַּהַרְגֵֽהוּ׃
01040900b3	וַיֹּאמֶר יְהֹוָה אֶל־קַיִן אֵי הֶבֶל אָחִיךָ וַיֹּאמֶר לֹא יָדַעְתִּי הֲשֹׁמֵר אָחִי אָנֹֽכִי׃
01040a008c	וַיֹּאמֶר מֶה עָשִׂיתָ קוֹל דְּמֵי אָחִיךָ צֹעֲקִים אֵלַי מִן־הָֽאֲדָמָֽה׃
01040b00c4	וְעַתָּה אָרוּר אָתָּה מִן־הָֽאֲדָמָה אֲשֶׁר פָּצְתָה אֶת־פִּיהָ לָקַחַת אֶת־דְּמֵי אָחִיךָ מִיָּדֶֽךָ׃
01040c00a3	כִּי תַֽעֲבֹד אֶת־הָאֲדָמָה לֹֽא־תֹסֵף תֵּת־כֹּחָהּ לָךְ נָע וָנָד תִּֽהְיֶה בָאָֽרֶץ׃
01040d0069	וַיֹּאמֶר קַיִן אֶל־יְהֹוָה גָּדוֹל עֲוֺנִי מִנְּשֹֽׂא׃
01040e0109	הֵן גֵּרַשְׁתָּ אֹתִי הַיּוֹם מֵעַל פְּנֵי הָֽאֲדָמָה וּמִפָּנֶיךָ אֶסָּתֵר וְהָיִיתִי נָע וָנָד בָּאָרֶץ וְהָיָה כׇל־מֹצְאִי יַֽהַרְגֵֽנִי׃
01040f0100	וַיֹּאמֶר לוֹ יְהֹוָה לָכֵן כׇּל־הֹרֵג קַיִן שִׁבְעָתַיִם יֻקָּם וַיָּשֶׂם יְהֹוָה לְקַיִן אוֹת לְבִלְתִּי הַכּוֹת־אֹתוֹ כׇּל־מֹצְאֽוֹ׃
010410008e	וַיֵּצֵא קַיִן מִלִּפְנֵי יְהֹוָה וַיֵּשֶׁב בְּאֶֽרֶץ־נוֹד קִדְמַת־עֵֽדֶן׃
01041100f0	וַיֵּדַע קַיִן אֶת־אִשְׁתּוֹ וַתַּהַר וַתֵּלֶד אֶת־חֲנוֹךְ וַֽיְהִי בֹּנֶה עִיר וַיִּקְרָא שֵׁם הָעִיר כְּשֵׁם בְּנוֹ חֲנֽוֹךְ׃
01041200ff	וַיִּוָּלֵד לַֽחֲנוֹךְ אֶת־עִירָד וְעִירָד יָלַד אֶת־מְחֽוּיָאֵל וּמְחִיָּיאֵל יָלַד אֶת־מְתוּשָׁאֵל וּמְתוּשָׁאֵל יָלַד אֶת־לָֽמֶךְ׃
01041300a1	וַיִּֽקַּֽח־לוֹ לֶמֶךְ שְׁתֵּי נָשִׁים שֵׁם הָֽאַחַת עָדָה וְשֵׁם הַשֵּׁנִית צִלָּֽה׃
010414007c	וַתֵּלֶד עָדָה אֶת־יָבָל הוּא הָיָה אֲבִי יֹשֵׁב אֹהֶל וּמִקְנֶֽה׃
0104150084	וְשֵׁם אָחִיו יוּבָל הוּא הָיָה אֲבִי כׇּל־תֹּפֵשׂ כִּנּוֹר וְעוּגָֽב׃
01041600e1	וְצִלָּה גַם־הִוא יָֽלְדָה אֶת־תּוּבַל קַיִן לֹטֵשׁ כׇּל־חֹרֵשׁ נְחֹשֶׁת וּבַרְזֶל וַֽאֲחוֹת תּֽוּבַל־קַיִן נַֽעֲמָֽה׃
0104170116	וַיֹּאמֶר לֶמֶךְ לְנָשָׁיו עָדָה וְצִלָּה שְׁמַעַן קוֹלִי נְשֵׁי לֶמֶךְ הַאְזֵנָּה אִמְרָתִי כִּי אִישׁ הָרַגְתִּי לְפִצְעִי וְיֶלֶד לְחַבֻּרָתִֽי׃
0104180077	כִּי שִׁבְעָתַיִם יֻקַּם־קָיִן וְלֶמֶךְ שִׁבְעִים וְשִׁבְעָֽה׃
010419010e	וַיֵּדַע אָדָם עוֹד אֶת־אִשְׁתּוֹ וַתֵּלֶד בֵּן וַתִּקְרָא אֶת־שְׁמוֹ שֵׁת כִּי שָֽׁת־לִי אֱלֹהִים זֶרַע אַחֵר תַּחַת הֶבֶל כִּי הֲרָגוֹ קָֽיִן׃
01041a00b8	וּלְשֵׁת גַּם־הוּא יֻלַּד־בֵּן וַיִּקְרָא אֶת־שְׁמוֹ אֱנוֹשׁ אָז הוּחַל לִקְרֹא בְּשֵׁם יְהֹוָֽה׃
01050100a7	זֶה סֵפֶר תּוֹלְדֹת אָדָם בְּיוֹם בְּרֹא אֱלֹהִים אָדָם בִּדְמוּת אֱלֹהִים עָשָׂה אֹתֽוֹ׃
01050200ad	זָכָר וּנְקֵבָה בְּרָאָם וַיְבָרֶךְ אֹתָם וַיִּקְרָא אֶת־שְׁמָם אָדָם בְּיוֹם הִבָּֽרְאָֽם׃
01050300c0	וַיְחִי אָדָם שְׁלֹשִׁים וּמְאַת שָׁנָה וַיּוֹלֶד בִּדְמוּתוֹ כְּצַלְמוֹ וַיִּקְרָא אֶת־שְׁמוֹ שֵֽׁת׃
01050400c2	וַיִּֽהְיוּ יְמֵי־אָדָם אַֽחֲרֵי הוֹלִידוֹ אֶת־שֵׁת שְׁמֹנֶה מֵאֹת שָׁנָה וַיּוֹלֶד בָּנִים וּבָנֽוֹת׃
01050500af	וַיִּֽהְיוּ כׇּל־יְמֵי אָדָם אֲשֶׁר־חַי תְּשַׁע מֵאוֹת שָׁנָה וּשְׁלֹשִׁים שָׁנָה וַיָּמֹֽת׃
0105060080	וַֽיְחִי־שֵׁת חָמֵשׁ שָׁנִים וּמְאַת שָׁנָה וַיּוֹלֶד אֶת־אֱנֽוֹשׁ׃
01050700d7	וַֽיְחִי־שֵׁת אַֽחֲרֵי הוֹלִידוֹ אֶת־אֱנוֹשׁ שֶׁבַע שָׁנִים וּשְׁמֹנֶה מֵאוֹת שָׁנָה וַיּוֹלֶד בָּנִים וּבָנֽוֹת׃
