2800000006	Matiyu
2802110067	Gwisi ka̱ɗe sa'i gwe sa̱ njika̱n ga̱ɓa gwe Irimiya ma̱n dla̱mti ga̱ɓa ga̱ Nya dla̱m wu ɗe,
280212009f	“Sa̱ kum yal gon ka̱ ba̱n Rama, Yal kulu na̱ du tuk i'e. Rahila ka̱ na̱ma kulu ten bi mil jwasi ta̱ nge sheltidli, na̱k ɗe sa̱ tlwet mil ka̱wu.”
280213006c	Ama kaal ɗa̱ ma̱shka̱n ga̱ Hiridus guu, yek yen shinti ga̱ Nya tul mal Yusupu ka̱ tlunka̱ti a Masar.
28021400b5	Yek ta̱ wulti ɗe “Tlinya ta̱k kan yeni suk ana gwasi ta̱k pala̱n teka̱ atl ga̱ Yisiraila ka, na̱k ɗe mbala̱n jwe sa̱ na̱ma la̱mti tlot ga̱ yeni go sa̱ ma̱sh wu.”
2802150046	Yek Yusupu kan yeni suk ane yek sa̱ pal teka̱ atl ga̱ Yisiraila ka.
28021600fd	Ama yek ta̱ kumi ɗe Alkilawus ka̱ da̱n ɗe guu ka̱ lal ga̱ aba gwas Hiridus a tik ɓal ɗe guu ga̱ atl Yehudiya wu, yek ɓanti la̱t ka̱li citi. Ama ɗe Nya da̱lit ka̱ng ka̱ tlunka̱t ɗe ba̱s li ka̱li tu ka̱li sowu, yek ta̱ li tu Galili.
28021700b4	Yek ta̱ lak da̱n ka̱ ba̱n gwe asa̱ mbe ɗe Nazarat wu. Na̱ nu ka̱n ilgwe ma̱n dla̱mti ga̱ɓa ji Nya dla̱m wu da̱n ɗe gem, gwe wule, “Sa mbet ɗe ma̱n Nazarat wu.”
2803010074	Ka̱ multi jwisi wo yek Yohana ma̱n baptisma yil deɓa̱l yek ta̱ ngusi lakti icin ka̱ me ka̱ atl ga̱ Yehudiya,
2803020065	yek ta̱ wul mbala̱n ɗe, “Cin atl gaa na̱k ɗe kanti ga̱ Nya ɗe guu ga̱na̱n ɓal njaa wu.”
2803030102	Ma̱lga̱n go tik ɗe ma̱lgwe Ishaya ma̱n dla̱mti ga̱ɓa ga̱ Nya ga̱ɓa tenti wu, ɗe ta̱ wule, “Yal ga̱ ma̱lgwe na̱ma takti bi ka̱ me wu, gwe na̱ma wulti ɗe, ‘La̱ka̱mi Bagaa tantu gwe ta koɓi wu, La̱ka̱miti tantu ta̱ni ɗe taki.’”
280304006f	A Yohana lak luka̱l ma̱dla̱n rakumi ata̱ hap dlo gwas na̱ kul, ka̱ɓa suk duu ka̱ɗe ilga̱ nguki gwasi.
2803050066	Yek mas ma̱n Wurshelima suk Yehudiya suk mas atl jwe ni njaa mal dla̱lka Yodan wu ngusi la̱t malti.
280306005d	Yek sa̱ ngusi dla̱mti byas wul jwasa̱n ata̱ nisi ma pa̱lti baptisma ka̱ dla̱lka Yodan.
28030700e4	Yek Yohana yen ma̱n Paresi suk ma̱n Saduki wonti sa̱ na̱ma tulti malti ta̱s pa̱lisi baptisma wu, yek ta̱ wulsi ɗe. “mil woka̱nzi na̱kkii, wok da̱likii ka̱ng ɗe ta̱k aɓi lilti mbadl ga̱ Nya ma̱n tulti wu wo?”
2803080039	Pa̱la̱n wul jwe a mbok ang ten cit atl gaa gwaka̱n wu.
280309006b	Ba̱k ɓo ngetl ɗe kii wo Iba̱rahim ka̱ɗe aba gwaka̱n so, Nya a mani palti mil Iba̱rahim na̱ ye jin.
28030a006a	Na̱k ninge mago ndal ni ten zhila tlindi, mas tlindi gwe wut hwa mil sogo sa wotl ka asa̱ lak ka̱ wutu.
28030b0113	Ami wo na̱ ze ka̱n a nikii ma pa̱lti baptisma ta̱ mbok ang ɗe ka̱a̱ ci atl gaa mal Nya wi, ama kaal ɗa̱ ami wo ma̱lgon a tuli ma̱lgwe nal mana̱n wu, ma̱lgwe kapta̱lan gwas mago a mbuki ta tusit ka̱ sowu. Tik ka pa̱likii baptisma na̱ Shishi ga̱ Nya suk wutu.
28030c00c0	Gal pelti wul gwas nit ang, ta taas lu pelti wul gwas ka, ata̱ pel ka̱pti ɗa̱ka̱ gwe wo ka, ata̱ wut gwesi ka̱ nhu gwasi, apaa ta̱ kwel ka̱pti ka na̱ wutu gwe ba̱ a mba̱shdli sowu.
28030d0063	Ka̱ sa'i gwisi wo yek Yesu yil tet Galili yek ta̱ li dla̱lka Yodan ta̱ Yohana pa̱lit baptisma.
28030e0090	Ama yek Yohana nda ngeti ɗe ta pa̱lit baptisma so, yek ta̱ wul Yesu ɗe, “Amik ka li malki ta̱k pa̱li baptisma ama yek kik li tet ɗa?”
28030f00a2	Yek Yesu wulti ɗe, “Ningo zaki ta̱ na̱k gwisi pi ta̱n pa̱l mas ilgwe ni ndakce mal Nya wu.” Yek paa Yohana ba̱l gaa gwasi yek ta̱ pa̱li Yesu baptisma.
28031000a7	Ɗe sa̱ pa̱li baptisma Yesu wu, ɗe ta̱ yil tot ɗa̱ka̱ ze ka̱ wugo yek dlo nya ɓuli, yek ta̱ yen Shishi ga̱ Nya na̱k kulu sut nya yek ta̱ sak dla̱l tenti.
280311006b	Yek yal ga̱ɓa gon sut nya wuli ɗe, “Ga̱n go yen gi ka̱n a lamti, a na̱ma kumti ta̱mti gwas i'e.”
2804010040	Yek Shishi ga̱ Nya ta̱la Yesu ka̱ me ta̱ Sheɗan cinga̱lti.
2804020070	Ta̱ pa̱l ka̱lka̱ze multi ɗe kutl ɗe wupsi na̱ ka̱ cin na̱ ka̱ gas wu, yek kuza̱n njel tlot gwasi i'e.
2804030097	Yek Sheɗan ma̱n cinga̱ltisi li tet malti yek ta̱ wulti ɗe, “Kume ki wo yen ga̱ Nya ka̱ɗe ki wu, hwi ye jin ɗe ta̱s pal ɗe ilga̱ nguki.”
28040400af	Yek Yesu wulti ɗe, “Ni ga̱ lishi ka̱ ga̱ɓa ga̱ Nya ɗe, ‘Ilga̱ nguki tokte ka̱ɗe ma̱n keta̱lti ga̱ mbala̱n so, ama mas ga̱ɓa gwe a yil sut mal Nya wu.’”
2804050063	Yek Sheɗan ta̱lat Wurshelima ba̱n gwe Nya botli wu, Yek ta̱ tolti to ten gaa lubii ga̱ Nya ka,
28040600da	Yek ta̱ wulti ɗe, “Kume yen ga̱ Nya ka̱ɗe ki go ɗakci su ka, na̱k ɗe ni ga̱ lishi ɗe, “‘Nya a hwi mil shinti jwas ga̱ɓa tenki asa̱ ngibki ka na̱ ang gwasa̱n, kangwe ka ɓo asa̱n ten ye sowu.’”
2804070057	Yek Yesu wulti ɗe, “Ni ga̱ lishi pak ɗe, ‘Ba̱k cinga̱l Nya Bagaa gwa so.’”
280408006d	Yek Sheɗan po ta̱lat ten tlal tla̱nda̱l gon, yek ta̱ mbokit ang ten guu ji dii atli suk mbunti jwasa̱n.
2804090067	Yek ta̱ wulti ɗe, “Ba ba̱lki mas wul jimi, ɗe kume ka̱ ngus atli yek ka̱ ba̱la̱n nalti wu.”
28040a00a1	Yek Yesu wulti ɗe, “Tli ɗa̱ mala̱n ka Sheɗan, ni ga̱ lishi ka̱ ga̱ɓa ga̱ Nya ɗe, ‘Ngusi atl Nya Bagaa gwa, a ti na̱ ngus ka̱n ka kumit bi.’”
28040b004c	Yek Sheɗan zakti, yek mil Shinti ji Nya tuli yek sa̱ nda̱llit gahwula̱n.
28040c005e	Yesu kumi ɗe sa̱ le Yohana ka̱wu yek ta̱ zak luisi yek ta̱ li ka̱ ka̱t atl ga̱ Galili.
28040d0084	Yek ta̱ zak Nazarat yek ta̱ li Kaparnahum ba̱n gwe ni njaa ten bi bal dla̱lka Galili ka̱ ka̱t atl ga̱ Zabalun suk Naptali wu.
28040e0071	Na̱k gwisi pi ten ɗe ta̱ ilgwe Ishaya ma̱n dla̱mti ga̱ɓa ga̱ Nya dla̱m wu njika̱n ga̱ɓa gwe wuli ɗe,
28040f00a5	“Ka̱t atl ga̱ Zabalun suk ga̱ Naptali gwe ni ka̱ Galili, Lu ga̱ ma̱jwe ba̱ ma̱n Yehuda ka̱ sowu, lu gwe lak gaa tu bal ze hal yek ɗakci dla̱lka Yodan wu
280410009f	Ma̱jwe sa̱ na̱ma da̱mti ka̱ da̱mshal wu sa̱ yen bal cilti wi. Mbala̱n jwe sa̱ na̱ma da̱mti ka̱ da̱n-da̱n ma̱shka̱n go Cilti a yilisi tot wi.”
280411007f	Ka̱ sa'i gwisi ka̱n Yesu nde dla̱mti ga̱ɓa mbala̱n ɗe, “Cin atl gaa, na̱k ɗe kanti Nya ɗe guu ga̱na̱n njaa wu.”
28041200b2	Ta̱ na̱ma la̱t ten bi bal dla̱lka Galili nu go, yek ta̱ yen Siman gwe asa̱ mbet ɗe Biturus wu suk yilka gwasi Andarawus asa̱ na̱ma dipti ze na̱ wul dopti kwes gwasa̱n.
280413006b	Yek Yesu wulsi ɗe, “Koɓa̱nni nini ba palla̱ki ɗe ma̱n ngot mbala̱n na̱k gwe aka̱ dop kwes wu.”
2804140041	Nige-nige yek sa̱ lak wul dopti kwes gwasa̱n ka yek sa̱ kopti.
28041500c1	Sa̱ na̱ma la̱t nugo yek Yesu yen Yakubu suk Yohana yilka gwasi. Si wo mil ji Zabadi ka̱n, Yesu mbisi asa̱ na̱ma la̱ka̱nti wul dopti kwesi suk aba gwasa̱n ka̱ jirgi ze. Yek ta̱ mbesi,
2804160041	yek nige-nige yek sa̱ zak jirgi suk aba gwasa̱n yek sa̱ kopti.
2804170112	Yek Yesu matl ka̱ mas ka̱t atl Galili ata̱ nima mbokti ang mbala̱n ten ga̱ɓa ga̱ Nya ka̱ lu motgaa gwasa̱n ata̱ nisi ma̱ dla̱mti ga̱ɓa ma̱n ta̱mti ten bi kanti Nya ɗe guu gwasa̱n. Yek ta̱ pita ndokti mas cwo suk la̱shi kumti ta̱mti ga̱ dli ji mbala̱n.
2804180141	Yek bi gwas ma̱tl ka̱ mas atl ga̱ Siriya, yek ma̱n ba̱mi ngusi tulla̱t ji mbala̱n jwasa̱n jwe dli ta̱misi bi sowu. Na̱ ma̱jwe sa̱ citi ka̱ na̱ cwo wonti wu, suk ma̱jwe na̱ma kumti dli suk ma̱jwe yeta̱l ni ka̱si ju, suk ma̱n maparpaɗa suk ma̱jwe dli jwasa̱n tla ka̱wu, yek ta̱ ndoksi mas jwasa̱n.
28041900b0	Yek mbala̱n wonti, ma̱n Galili, suk ma̱n Dikapolis, suk ma̱n Wurshelima, suk ma̱n Yehudiya hal suk ma̱jwe ni tu ten ka̱ti gon ga̱ dla̱lka Yodani wu kop kaal ga̱ Yesu.
280501008b	Yesu yeni ɗe mbala̱n wonti mogaa wu, yek ta̱ to ten tla̱nda̱l ilgon gwasi. Ta̱ da̱n na̱ zhila wu, yek mil lishti jwas li tet malti.
2805020028	Yek ta̱ njelisi mbokti ang ten wul ɗe,
280503007c	“Ma̱n albarka ka̱ɗe ma̱jwe yis la̱shi nda̱lti gwasa̱n ten bi wul ji Nya wu, ten ɗe guu ga̱ Nya wo gwasa̱n ka̱n.
280504005d	Ma̱n albarka ka̱ɗe ma̱jwe asa̱ pa̱l duu tuk wu, ten ɗe sa wutisi bi tang ten mbadl wu.
2805050066	Ma̱n albarka ka̱ɗe ma̱jwe ba̱sa palli gaa gwasa̱n ɗe ilgon sowu ten ɗe sa mbi wul ji dii atli.
2805060086	Ma̱n albarka ka̱ɗe ma̱jwe sa̱ na̱ma kuza̱n suk ka̱lka̱ze ɗe ta̱s pa̱l ilgwe ni ndakce wu, ten ɗe tuk gwasa̱n a njika̱n.
280507005a	Ma̱n albarka ka̱ɗe ma̱jwe asa̱ yen gonti wu ten ɗe si mago sa yen gonti gwasa̱n wu.
280508004c	Ma̱n albarka ka̱ɗe ma̱jwe mbadl jwasa̱n ni mbuni wu ten ɗe sa yen Nya.
2805090063	Ma̱n albarka ka̱ɗe ma̱jwe asa̱ la̱ka̱n dlo ga̱ mbala̱n wu ten ɗe sa mbesi ɗe mil ji Nya.
28050a0076	Ma̱n albarka ka̱ɗe ma̱jwe sa̱ na̱ma tlat bomti ten pa̱lti wul ndakce wu ten ɗe boo ga̱ Nya wo gwasa̱n ka̱n.
28050b0099	“Kii wo ma̱n albarka ka̱n ka̱ sa'i gwe mbala̱n byalkii yek sa̱ lakkii ka̱ bomti yek sa̱ shelikii lal gaa ga̱ pa̱lti mas byas wul ten bi gi wu.
28050c00b8	Ta̱ mbadl gwaka̱n ta̱mi aka̱a̱ pa̱l hwol tuki i'e na̱k ɗe Nya a ɓatlkii nal ka̱ boo gwas wu, nu ka̱n sa̱ lak ma̱n dla̱mti ga̱ɓa ga̱ Nya jwe tulikii cina ju ka̱ bomti.
28050d00ba	“Kii wo kik ɗe kwi ga̱ dii atli, kume kwi po ta̱m sogo, ɗa̱ nii ka̱n sa palli ta̱mti gwi? Ma̱lgon a po pa̱l ilgon na̱ nali so, ama sa wut ka a mbala̱n li na̱ asa̱n a dani.
28050e0061	“Kik ɗe cilti ga̱ dii atli. Ai ba̱n gwe ni ten za̱nda̱l go sa mana̱n hwunda̱lti ka̱ so.
28050f0090	Mbala̱n laka̱n wutu ka̱ pitila asa̱ yitle ka na̱ gal so, ama asa̱ sa̱ zi ten lu za̱ti. Kangwe a cili, a mbala̱n yen lu ka̱ lubiimi wu.
280510009b	Na̱k gwisi ka̱n ha̱n ta̱ cilti gwaka̱n ngusi cilti, ta̱ mbala̱n yen hwa pa̱t gwaka̱n asa̱ ta̱s shin ga̱ Aba gwaka̱n gwe ta̱ ni to nya ka̱wu.
28051100b3	“Ba̱k da̱ma̱n gwa we a tuli, ta tlok Mba̱t Ga̱ɓa ga̱ Musa suk Lishti ji ma̱n Dla̱mti Ga̱ɓa ga̱ Nya ka̱ so, a tul ɗe ta tlok ka̱ so a ma a tul ɗe ta njika̱mi ka.
2805120090	Gem ka̱n dlo nya suk dii atl a taas ka, ama ko ta̱ ilgwe ni ɗe nak'eni ka̱ Mba̱t Ga̱ɓa ga̱ Musa, mago a tlokdli ka̱ so se njika̱n mas.
280513014a	Ten na̱k gwisi ka̱n mas ma̱lgwe nge kopti mba̱ti gon a giɓi, ko ta̱ mba̱ti gwisi ka̱ni ɗe gwe nda nak'eni mani wu, yek ta̱ mboki ang mbala̱n ɗe ta̱s pa̱li nugo, sa mbet ɗe ma̱lgwe ni nak'eni ka̱ guu ga̱ Nya. A mas ma̱lgwe kop mba̱t ga̱ɓe yek ta̱ mboki ang mbala̱n dani go sa mbet ɗe kakshe a guu ga̱ Nya.
28051400a9	A nikii ma hwiti, kume pa̱lti wul ndakce gwaka̱n man ga̱ ma̱n Paresi suk ma̱n mbokti ang mbala̱n ten Mba̱t Ga̱ɓa ga̱ Musa wu sowu, kaa te ka̱ guu ga̱ Nya so.
280515007b	“Ka̱a̱ kumi ɗe tet go sa̱ dla̱mi mbala̱n jina̱n ɗe ‘ba̱k tlo mbala̱n so, ma̱jwe tlo mbala̱n go sa nolti.’
28051600fe	Ama ami wo a nikii ma hwiti ɗe mas ma̱lgwe mbadl lilit na̱ yilka gwas go sa nolti. A ma̱lgwe hwi yilka ɗe, ‘Ki wo mbala̱n ga̱ koo lu,’ sa nolti, a ma̱lgwe wul yilka gwas ɗe, ‘Ki wo ka̱dla̱n ka̱ɗe ki wu!’ Mbun ɗe ta̱ lakti buu wutu.
2805170075	“Na̱ nu ka̱n kume ka̱ ɓa ba̱l wul ka̱ lu takti wul, yek ka̱ daami go ma̱lgon na̱ma lilti mbadl na̱ ki wu,
280518003d	lak la̱ka̱n dlo gwa suk ma̱li pa apaa ka̱ nda takti wuli.
2805190140	“La̱ka̱n dlo gwa suk ma̱lgwe ta̱lak dlaboo wu ba̱le-ba̱le a ka̱yi ten tantu la̱t ka̱ lu kisti ga̱ɓe. La̱ka̱n dlo gwa sukti, ka̱ pa̱li nu sowu ta lakki ka̱ ang ga̱ ma̱n kisti ga̱ɓa, a ma̱n kisti ga̱ɓe lakki ka̱ ang ga̱ ma̱n hapti dlo asa̱ lek ka ka̱ lu gwe asa̱ le ma̱n pa̱lti byas wullu.
28051a0070	A nikma hwiti ɗe gem kaman yilti ka̱ so, se ka̱ ɓatl mas ilgwe ma̱n kisti ga̱ɓa tlwek ɗe ta̱k ɓatl wu.
28051b004a	“Ka̱a̱ kume ɗe tek go sa̱ dla̱m ɗe ‘ba̱k pa̱n pa̱la̱n so.’
28051c0088	Ama ami wo a nikii ma hwiti ɗe mas ma̱lgwe yen kili mbala̱n yek ta̱ lam multi sukti go ma̱li pi pa̱la̱n sukti ka̱ mbadl gwas wi.
28051d00ce	Kume gwel gwa ka̱ti ga̱ ang shinti ka̱ɗe ma̱n lakti gwa ten pa̱lti byas wullu, yilli ka aka̱ lakka. A mani ki ta̱ ka̱t dli gon gwa ka̱ ni ɗa̱ so ɗa̱ gwe ta̱s lak mas dli gwa ka̱ buu wutu wu.
28051e00bb	A kume a ang shinti gwa ka̱ɗe ma̱n lakti aka̱ pa̱l byas wullu, kotl ka ta̱k lakka. A maniki ta̱ ka̱t dli gon gwa ka̱ ni ɗa̱ so ɗa̱ gwe ta̱s lak mas dli gwa ka̱ buu wutu wu.
28051f0064	“Tek go sa̱ wulsi ɗe, ‘Mas ma̱lgwe lam zakti ga̱ kili gwas go ta̱s ba̱lti lishti zakti.’
28052000cc	Ama a nikii ma hwiti ɗe mas ma̱lgwe zak kili gwasi aba ten pa̱t pa̱la̱n ka̱n ta̱ mbit sogo ta̱ lakti ten pa̱t pala̱n wi. A ma̱lgwe hap kili gwe sa̱ zakti go, ta̱ na̱ma pa̱t pa̱la̱n sukti.
2805210099	“Ka̱a̱ po kume ɗa̱ɗe tek go sa̱ hwi mbala̱n ɗe, ‘Ba̱s mo ga̱ɓa suk Nya ten lal so, ama ta̱s pa̱l ilgwe sa̱ mo ga̱ɓa na̱ Nya dani.’
280522008c	Ama ami wo a nikii ma hwiti ɗe, ba̱k mo ga̱ɓa suk Nya so. Ba̱k mo ga̱ɓa na̱ dlo nya so na̱k ɗe yek ɗe lu da̱nti ga̱ Guu Nya wu.
2805230088	A ba̱k mwe na̱ dii atl so, na̱k ɗe yek ɗe lu za̱t asa̱n gwas wu, ba̱k mwe na̱ Wurshelima so pak, ai yek ɗe ba̱n ga̱ Bal Guu.
280524007e	Ba̱k mo ga̱ɓa na̱ gaa gwa so, na̱k ɗe ka man palla̱t ga̱ ma̱dla̱n ɗe na̱m ga̱ gaa gwa hwoli sogo duuni dani sowu.
2805250094	Ka̱ mas ilgwe kaa dla̱m wu ta̱ ga̱ɓa gwaka̱n dla̱l ten ‘Yii’ sogo ‘Wowo.’ Kume ɗakci nu wu, tet mal Ma̱n Ngalci wu ka̱n yil teɗi.
2805260062	“Ka̱a̱ kumi ɗe tek go sa̱ dla̱m ɗe ‘Gwel ka̱ lal ga̱ gwel, shin ka̱ lal ga̱ shin.’
28052700a7	Ama ami wo a nikii ma hwiti ɗe, ba̱k nge ɗe ta̱ mbala̱n tekii ga̱zi so. Kume ma̱lgon ɓek kalka̱ng ten ka̱t ang shinti go, ballit ka̱ti ga̱ ang yali wu pak.
2805280062	Kume ma̱lgon ta̱lak dlaboo ten bi kuka̱l gwa ga̱ tugiɓi go, ba̱lti luka̱l ga̱ tukaali pak.
2805290062	Kume ma̱lgon zik ngetli ta̱k li sukti dlenta̱t ga̱ mil ɗe na̱m wu, li sukti hal mil ɗe lop.
28052a004c	Mas ma̱lgwe ngemik wul go patti ɗa̱ so, a ma̱lgwe ngemik dul go ba̱lti.
28052b0056	“Ka̱a̱ kumi tek go sa̱ dla̱m ɗe, ‘Lam yilka gwa, aka̱ nge ma̱n nget gwa.’
28052c006f	Ama ami wo a nikii ma hwiti ɗe ta̱k lama̱n ma̱jwe ngekii wu, ngemi Nya ma̱jwe nikii ma cit dlelngapcan wu.
