2a00000004	Luka
2a0147004f	spasenje dă la dužmanji anoštri šă dăm mănj kari toc nji mărzălešći.
2a0148004d	Are milosrdan pălăngă preci anoštri, šă u ispunulit savezu aluj svănt.
2a01490039	Ăm zakletvă kari u dat lu Abraham, alu predaku anostru:
2a014a0060	să nji izbavalaskă dăm mănj alu dužmanj, să pučenj poslužulenj pă jăl făr dă frikă,
2a014b004c	šă să kustănj svănt šă đirept ăm toći zăljilje dă kustu anostru.
2a014c0096	Šă tu Ivan fišjoru amnjov, tu vi fi čimat proroku alu Maj Mari Dimizov, kă tu vi meržji ăm nenće alu Domnuluj šă să ăj đireš kalje aluj,
2a014d005b	Tu vi da alu lume lu Dimizov, Hir fălos dă spasalala šă dă jirtala dă grehurlje alor.
2a014e0084	Kutotu asta ăj dă rănd dă sufljitu milos alu Dimizovu anostru, ka sorilje kari svitlizešči u vinji afară dăm nor pă noj sus
2a014f0085	u da lumină alu eje kari šađi ăm tunjerik, šă ăm umbra alu morči. Nju punji pišjorilje anoštri pă kalje dă putuljală.”
2a0150006a	Ivan u kriskut šă su ămbălurit ăm duh. Kusta ăm pustinjă păn šje nu su arătat javno alu Izraelc.
2a0201008c	Ăm aje vremi dă pă šje su avut Ivan, zapovjed u fost mănată dă la car August să fakă skritura dă stanovništvo ăm ăntragă cara.
2a0202005b	Aje are elši skritura dă stanovništvo kari u fost kănd Kvirinije are vladar dă Sirija.
2a0203004e	Aša toc ur mers să să prijavalaskă ăm varušu hunđi preci alor u kustat.
2a02040095	Aša Josip dăm mik varuš Nazaret ăm Galileja, u mers ăm varuš Betlehem ăm Judeja hunđi su avut David daje kă jej as re njamu alu kralj David.
2a02050063	Josip u mers akulo să să jivaskă dă skritura una ku Marija zaručnica aluj, kari are gărjonă.
2a02060045	Šă kum asre dăm Betlehem akulo vreme u vinjit să să ajvi kupilu.
2a02070071	Je u avut elši fišjor, lu ănvălitălu šă lu pus ăm hištalov daje kă nu are soba păntru jej ăm fugadov.
2a0208007c	Ăm ala lok dă apropi dă Betlehem asre pastirur kari rămănje afară pă otvoreno šă păze stadurlje alor totă nopće.
2a020900b7	Šă dăm turdată su pojavalit anđalu alu Domnuluj! Anđalu u stat ăm nenće alor, šă slava alu Domnuluj lju svitlăzăt pă jej. Šă pastiri u gălbănjit ăm ubraz dă frikă.
2a020a0078	Ali anđalu lju zăs: “Nu vă fijă frikă! Ju vjuv să vă aduk Hir fălos, dă mari fălušăjă păntru totă lume.
2a020b0058	Ăm varušu hunđi su avut Kralj David, astăs su avut Spasitelj. Jăl are Krist, Domnu!
2a020c0060	Asta ăj znak dă pă kari să ăl šćijec: voj vic afla pă kupilu ănvălit ăm hištalov.”
2a020d007a	Atunšje dăm turdată lăngă parće dă anđal u vinjit mulc anđej dăm nor kari hvalale pă Dimizov. Šă jej slavale:
2a020e005e	“Slava alu Dimizov ăm nor šă pă pămănt putuljală alu eje ominj kari lju izabralit.”
2a020f009b	Dă pă šje ur fužit anđelji dă la pastir ăm nor, pastiri ur zăs una la alt: “Haj aku am Betlehem, šă să viđenj aje dă šje Domnu nju spus!”
2a02100065	Aša sur ăngribit ăm Betlehem šă ur aflat pă Marija, šă pă Josip, a kupilu are ăm hištalov.
2a02110072	Šă kănd pastiri ur văzut pă kupil, jej sur apukatăsă să spujă šje lju fost spus dă la anđej dă kupil.
2a02120042	Toc eje kari ur auzăt šje pastiri ur spus, jej toc asre ămirac.
2a0213005c	Ali Marija cănje toći vorbilje alor ăm sufljičilje alor šă mult su gănđit dă jelji.
2a021400b9	Atunšje pastiri ur fužjit la stadurlje alor šă jej dăđe hvală šă slavă lu Dimizov dă kutotu stvarurlje šje ur auzăt šă šje ur văzut, točno kum lju fost najavalit alor.
2a02150097	Osma zuva kănd kupilu su avut u fost obrezalit, šă u fost čimat Isus, numilje u dată aluj dă la anđal majnti dă šje Marija u rămas gărjonă.
2a021600bc	Šă kănd u vinjit vreme alu Marija obred dă čistilală kum are zapovjedălală dă la zakonu alu Mojsije, Marije šă Josip ur dus pă Isus am Jeruzalem să ăl posvetilaskă la Domnu,
2a02170057	kă ăj skris ăm zakonu alu Domnu: “Tot elši fišjor u fi posvetilită la Domnu.”
2a02180088	Jej trăbă isto să adukă žrtvă: “Dovă grlicur ili doj tănjiră puromb,” kum ăj zapovjedalit dă la zakonu alu Domnu anostru.
2a021900a4	Atunšje are om ăm Jeruzalem šje să čima Šimun. Jăl are pravedan šă svet šă aščipta pă Mesija să izbavalaskă pă Izrael šă Duhu Svănt are ku jăl.
2a021a0067	Šă Duhu Svănt majnti ju spus aluj kă no mori majnti dă šje no viđe pă Mesija alu Domnu anostru.
2a021b009c	Aša Duhu Svănt lu dus pă Šimun ăm Hram kănd ur adus roditelji pă kupilu Isus ăm nontru šă să fakă obred kum are običaju dă zakonu alu Mojsije.
2a021c004c	Šimun lu apukat ăm mănjilješ pă Isus, slavale pă Dimizov, šă u zăs:
2a021d004c	“Aku lasă pă sluga atov să moră ăm putuljală, Domnu, kum tu aj zăs,
2a021e0025	kă oči amej ur văzut spasenje ata.
2a021f0021	Asta tu aj făkut dă totă lume.
2a02200068	Asta ăj lumina dă ominj šă lji svitlizaskă alu ominj kari nus Židov, slava alu lume dă Izrael!”
2a02210059	Tata šă mama alu Isus asre umpljec ku ămirală dă kutotu šje Šimun u zăs dă jăl.
2a022200e8	Atunšje Šimun u blagoslovulit pă jej šă u zăs lu Marija: “Dimizov u odredilit pă ala kupil kă păntru jăl mulc Izraelc ur kăđe šă su riđikasă. Jăl ăj odredilit să fijă znaku alu Dimizov, ali mulc lur odbacalilă
2a02230060	aša u vinji pă lumină găndurlje askunšă alu mulc, a maču či ămpunžji ăm duša ata.”
2a02240087	Are isto aša proročica Ana fată alu Fanuel kari ăj dăm pleme alu Ašer. Ana are tari bătărnă mujeri, je are šapči aj ăm brak
2a02250094	šă aku ăj vădojă, mar hunđiva osamdeset patru aj. Ana nu fužje dăm Hram, nego služule akulo zuva šă nopće ăm post šă ăm aruguminći.
2a02260097	Baš pă aje vremi Ana u vinjit, hvalale pă Dimizov, šă je spunje dă kupilu Isus alu toc kari ašćipta pă Dimizov să otkupilaskă pă Jeruzalem.
2a02270098	Dă pă šje ur făkut Josip šă Marije kutotu šje zakonu alu Domnu u šjirut dă la jej, jej ur mers ăm napoj ăm varušu alor Nazaret ăm Galileja.
2a0228006f	Kupilu u kriskut šă su ămbălurităsă, are pljin dă mudrost, šă blagoslovurlje alu Dimizov asre ku Isus.
2a0229005c	Roditelji alu Isus măržje ăm tot anu ăm Jeruzalem să fijă akulo pă blagdan dă Pasha.
2a022a0067	Aša kănd are Isus dvanaest aj dă bătărn jăl una ku jej u mers pă blagdan ka kum stalno măržje.
2a022b0084	Šă kănd u trikut blagdanu jej sur gătatăsă akasă, ali făr dă šćučilje alu roditelji, kupilu Isus u rămas ăm Jeruzalem.
2a022c00a1	Jej gănđe kă ăj hunđiva ăm grupă. Jej ur trikut mari kalji totă zuva, kapu sur apukatăsă să ăl koći ăntri njamu šă ăntri hej kari ăl kunošći.
2a022d0045	Kum nu lor aflat, jej ur mers ăm napoj ăm Jeruzalem šă ăl koći.
2a022e0089	Tri zălji dă pă aje jej lor aflat. Isus are ăm Hram, šăđe ăntri učitelji dă zakonu alu Mojsije, punje ureče šă lji ăntriba.
2a022f004d	Toc kari ăl punje ureče asre ămirac la fire aluj, šă la odgovurlje aluj.
2a023000e3	Roditelji aluj isto aša asre tari ămirac kănd lor văzutălă akulo šă mumăsa ju zăs: “Fišjoru amnjov adăšje njaj făkut asta anovă? Tata atov šă ju as renj ăm mari brigur dă činji, păšći tot či kutanj!”
2a02310076	Isus u ăntors vorba: “Ali adăšje mă kutac? Nu šćijec kă ju aš trăbuji să fjuv ăm kasa alu Tata amnjov?”
2a0232002f	Jej nur prišjiput šje gănđe să lji spujă.
2a0233008a	Ali Isus u mers ăm napoj ku roditelji ăm Nazaret, šă jăl lju u pus ureći. Šă mumăsa aluj u cănut kutotu vorbilje ăm sufljituš.
2a02340069	Šă ăm aje vremi Isus u kriskut ăm gănd šă ăm telă šă ku milă dă la Dimizov šă dă la lumi.
2a030100f2	Kănd are vladavina alu car Tiberija, trajale skoro 15 aj, Poncije Pilat are upravitelj ăm Judeja, Herod vladale ăm Galileja a Filip, fračilje aluj dă pă tata alor, vladale ăm Itureja šă ăm Trahonitida a Lizanije vladale ăm Abilena,
2a03020072	Ana šă Kaifa asre mar popur, Dimizov u mănat porukă alu Ivan, fišjoru alu Zaharija, kari kusta ăm pustinjă.
2a030300cf	Šă aša Ivan u mers ăm toći lokurlje pă lăngă rijeka Jordan să propovjedălaskă daje kă toc kari u grešălit, a heje kari su pokajalit să lji jarči Dimizov grehurlje a Ivan atunšje lju bučuza.
2a030400af	Ka kum Prorok Izaija svite ăm kenvije aluj dă ešće vorbi: “Graju alu unu kari mužješči ăm pustinjă šă să auze: pripremilec kalje păntru Domnu; ravnalecă kalje!
2a030500b3	Lasă totă dolina să fijă umpljetă šă totă planina să fijă ăm tokmă ku alčilje, šă kăljilje krivă să fijă pravă, šă kăljilje kari nus ravnă să fijă ravnă
2a03060037	atunšje totă lume u viđe Spasenje dă la Dimizov.”
2a030700c1	Alu gărmadă dă lumi kari ur vinjit la jăl să să bučazi, Ivan zăšje: “Voj leglo alu otrovni šarpi, šinji vu upozorulit să ănšjirkăc să skăpăc dăm kazna šje u vinji pă voj?
2a030800b7	Arătăc plodur dă ănkăjală! Nu vă apukăc să vă zăšjec una lu alt: Abraham ăj tata anostru! Ju vă zăk: Dimizov poći dăm petrilješće răđika pă kupij alu Abraham!”
2a030900a0	Mar aku săkure dă sudu alu Dimizov ăj pusă sus să taji dăm korjen ljemnu. Tot ljemnu kari nu adušji bun plod u fi tijet ăndărăt šă vărljit ăm fok.
2a030a0043	Gărmadă lu ăntribat pă jăl: “Šje să făšjenj atunšje?”
2a030b009e	Ivan u zăs: “Dakă avec dovă kămašă atunšje ămpărcăcăvă ku ala kari nari njiš una. Dakă avec mănkari isto aša trăbă să vă ămpărcăc.”
2a030c007b	Akulo asre isto šă carinici kari ur vinjit să să bučežă šă jej lor ăntribat: “Učitelju, šje să făšjenj?”
2a030d005a	Ivan u ăntors vorba: “Nu maj akuljižec majmult dă kită šje avec pravo să locă!”
2a030e00e0	Šă kătănjilje isto lor ăntribat: “A noj? Šje trăbă noj să făšjenj?” Alor lju zăs: “Nu loc ku săla dă njime banj, njiš nu svedočulec krivo protiv dă šjinjiva šă fijec zadovoljni ku plata avostră!”
2a030f0070	Lume asre aku pljinj dă aščiptalur, šă să ăntriba ăm sufljičilje alor, nar puće Ivan să fijă Mesija.
2a031000d4	Ivan lju ăntors vorba alu toc: “Ju vă bučez ku apă, ali unu kari u vinji kari ăj maj bălour da minji šă lu kari nu mes vredan să ăj ljeg žnirancurlje aluj. Jăl vu bučuza ku Duhu Svănt šă ku fok.
2a031100b8	Jăl cănji furka ăm măna aluj, šă jăl u čistili teleku temeljito. Jăl u akulježi făjna ăm skladišta aluj, ali jăl u arđi jarba uskată ăm fok šje nu să ašćinžji.”
2a03120047	Šă ăm mulći poticajur svite alu lume šă alu cară dă Hir fălos.
2a031300a8	Ivan lu făkut dă njimik pă car Herod dă rănd kă jăl su lot una ku Herodijada băšăcă alu fračisuš isto aša šă dă alci stvarur relji šje u făkut Herod.
2a03140071	La kutotu stvarurlje relji šje u făkut jăl u pus maj una: jăl u ănkujet pă Ivan šje bučază ăm čemică.
2a0315006c	Kănd asre totă lume bučuzac dă la Ivan, Isus isto are bučuzat. Kănd Isus su arugat su dăsvăkut noru,
2a0316009d	šă Duhu Svănt u vinjit žos pă jăl am formă dă purombu šă graj dăm nor u svătit: “Tu ješć Fišjoru amnjov plăkut! Tu ješć fulušuja ame!”
2a0317009e	Aku Isus are hunđiva trideset aj dă bătărn kănd su apukat javno să propovjedălaskă. Isus are cănut dă fišjoru alu Josip. Josip are fišjor alu Eli,
2a03180090	Eli are fišjoru alu Matat, Matat are fišjoru alu Levi, Levi are fišjoru alu Malki, Malki are fišjoru alu Janaj, Janaj are fišjor alu Josip,
2a03190097	Josip are fišjoru alu Matatija, Matatija are fišjoru alu Amos, Amos are fišjoru alu Naum, Naum are fišjoru alu Hesli, Hesli are fišjoru alu Nagaj,
2a031a009c	Nagaj are fišjoru alu Mahat, Mahat are fišjoru alu Matatija, Matatija are fišjoru alu Šimij, Šimij are fišjoru alu Joseh, Joseh are fišjoru alu Joda,
2a031b00a5	Joda are fišjoru alu Johanan, Johanan are fišjoru alu Resa, Resa are fišjoru alu Zerubabel, Zerubabel are fišjoru alu Šealtiel, Šealtiel are fišjoru alu Neri,
2a031c0090	Neri are fišjor alu Malki, Malki are fišjoru alu Adi, Adi are fišjoru alu Kosam, Kosam are fišjoru alu Elmadam, Elmadam are fišjoru alu Er,
2a031d0097	Er are fišjoru alu Jošua, Jošua are fišjoru alu Eliezer, Eliezer are fišjoru alu Jorim, Jorim are fišjoru alu Matat, Matat are fišjoru alu Levi,
2a031e0097	Levi are fišjoru alu Šimun, Šimun are fišjoru alu Juda, Juda are fišjoru alu Josip, Josip are fišjoru alu Jonam, Jonam are fišjoru alu Elijakim,
2a031f009a	Elijakim are fišjoru alu Meleja, Meleja are fišjoru alu Mena, Mena are fišjoru alu Matata, Matata are fišjoru alu Natan, Natan are fišjoru alu David,
2a03200093	David are fišjoru alu Jišaj, Jišaj are fišjoru alu Obed, Obed are fišjoru alu Boaz, Boaz are fišjoru alu Sala, Sala are fišjoru alu Nahšon,
2a032100ba	Nahšon are fišjoru alu Aminadab, Aminadab are fišjoru alu Admin, Admin are fišjoru alu Arni, Arni are fišjoru alu Hesron, Hesron are fišjoru alu Peres, Peres are fišjoru alu Juda,
2a03220096	Juda are fišjoru alu Jakov, Jakov are fišjoru alu Izak, Izak are fišjoru alu Abraham, Abraham are fišjoru alu Terah, Terah are fišjoru alu Nahor,
2a0323008a	Nahor are fišjoru alu Serug, Serug are fišjor alu Reu, Reu are fišjor alu Peleg, Peleg are fišjor alu Eber, Eber are fišjor alu Sala,
2a03240092	Sala are fišjoru alu Kenan, Kenan are fišjor alu Arpakšad, Arpakšad are fišjor alu Šem, Šem are fišjor alu Noa, Noa are fišjor alu Lamek,
2a032500a7	Lamek are fišjoru alu Metušalah, Metušalah are fišjoru alu Henok, Henok are fišjoru alu Jered, Jered are fišjoru alu Mahalalel, Mahalalel are fišjoru alu Kenan,
2a03260076	Kenan are fišjoru alu Enoš, Enoš are fišjoru alu Šet, Šet are fišjoru alu Adam, a pă Adam Dimizov u stvorulit.
2a0401005d	Isus, pljin dă Duh Svănt su ăntors dăm rijeka Jordan, šă ăl dušje Duhu păm pustinjur
2a04020092	četrdeset zălji, hunđi u fost ănšjirkat dă la draku. Ăm zăljiljelje nu u mănkat njimika, šă kănd u vinjit do kraja jăl are flămănd.
2a0403007b	Draku ju zăs atunšje: “Dakă ješć tu Fišjoru alu Dimizov zapovijedalešći alu petrilješće să să fakă pită.”
2a04040062	Isus ju ăntors vorba: “Skris ăj ăm svăntă kenvija: ‘Lume nu kustă numa dăm pită.’”
2a04050071	Draku lu dus pă jăl pă planină naltă, šă ăm unu moment draku ju arătat aluj kutotu kraljevstvo dă svet.
2a04060084	Šă draku ju zăs aluj: “Ju cuj da kutotu pučeresta šă măndremesta kari ăj dată mijă, šă ju pot da alu šinji gănđesk.
2a04070039	Kănd čaj klanjali la minji, ju caš da kutotu cijă.”
2a0408008b	Isus ju ăntors vorba: “Skris ăj ăm svăntă kenvija: ‘Alu Domnu, Dimizovu atov numa klanjaleščići šă pă jăl služulešči!”
2a040900a4	Dă pă aje draku lu dus ăm varuš Jeruzalem šă lu pusălă pă maj nalt lok dă Hram. Atunšje ju zăs aluj: “Dakă ješć tu Fišjoru alu Dimizov, seri žos!
2a040a0061	Kă ăj skris ăm svăntă kenvija: ‘Jăl u zapovjedali alu anđelji aluj să či păzaskă’,
2a040b0052	šă ‘ču dušji pă mănă să nu či luvešć ku pišjorilje ăm petră.’”
2a040c006a	Isus ăntoršji vorba: “U zăs ăj ăm svăntă kenvija: ‘Nu ănšjirka pă Domnu Dimizovu atov!’”
2a040d005a	Atunšje kănd u trikut draku ku toći ănšjirkalurlje, lu lăsat pă jăl pă una vreme.
2a040e008c	Isus meržji ăm napoj ăm lok dă Galileja ăm pučere lu Duh, šă vorbi dă jăl sor apukat să kružulaskă păšćitot ăm aje regijă.
2a040f0039	Jăl ănvăca ăm sinagogurlje alor šă toc ăl slavale.
2a04100098	Jăl u vinjit ăm varuš dă Nazaret, hunđi jăl u kriskut šă pă običaju aluj, jăl u mers sămbăta ăm sinagogă. Šă su skulat să čitalaskă.
2a04110067	U dată la jăl svitak dă la proroku Izaija, a jăl u dăsvkut svitku šă u aflat lok hunđi skrijă:
2a04120129	“Duhu alu Domnuluj ăj pă minji dasupra. Dăm ala rănd jăl mu izabralit pă minji să vă propovjedalaskă Hir fălos la sărašj. Jăl mu mănat pă minji să spuj alu hej šje ăs ljigac kă poći să fijă dăsvăkuc šă lu orb kă poći să vadă šă să đe slobodă alu hej tlačalic,
2a0413003a	šă să proglasalesk anu pljin dă milă alu Domnuluj.”
2a04140079	Isus u ănčis svitku šă u dat ăm napoj la pomoćniku šă u šăzut. Šă toc ku oči ăm sinagoga u mucăt pă jăl.
2a04150072	Su apukat să ănveci: “Astăs asta svăntă karči, kari ac auzăt ku urečilje avoštri, su ispunulităsă.”
2a04160087	Jej toc să ămira la toći vorbilje dă milă šje kăđe dă pă gura aluj. Šă jej su ăntribat: “Nuj jăl fišjoru alu Josip?”
2a041700e6	Jăl lju zăs: “Ăj una izrekă kari sigurno ac pripunji pă minji. A šă meržji: ‘Doktoru, ăntrămăći pă činji săngur!’ Kutotu aj făkut, kum anj auzăt, ăm varuš dă Kafarnaum, fă šă aišje, ăm kraju atov!”
2a04180062	Šă jăl u zăs: “Anume, ju vă zăk niti unu prorok nu u fost ăm benji apukat ăm kraju aluj.
2a041900ca	Anume, ju vă zăk, kănd ăm doba alu proroku Ilija ăm Izrael, noru are ănčis a ploje nu kăđe tri aj šă šinšj lunj šă are mari fomi păm totă pămăntu šă asre mulći vădojur ăm Izrael.
2a041a0068	Tot Ilija nu u fost mănat la njišj unu dăm jej osim la vădoja ăm Sarfata dapropi dă varušu Sidon.
2a041b0098	Isto aša ăm vreme dă prorok Elizeja asre mulc gubavcur ăm pămăntu dă Izrael. Šă njiš unu dăm jej nor fost čistilic osim Naamana Sirijaca.”
