1300000007	Psaumes
1311090052	Loin de ces méchants qui m'oppriment, De mes ennemis acharnés qui m'enveloppent!
13110a004d	Ils ferment leur coeur à la pitié; Leur bouche tient des discours hautains.
13110b004c	A chaque pas, ils nous circonviennent; Ils nous épient pour nous terrasser.
13110c0061	Ils ressemblent au lion avide de déchirer. Au lionceau qui se tient aux aguets dans son repaire.
13110d006b	Lève-toi, ô Éternel! Marche à la rencontre du méchant; renverse-le! Que ton épée me délivre de lui!
13110e0105	Que ta main, ô Éternel, me délivre de ces hommes, Des hommes de ce siècle, Dont tout le bonheur est dans cette vie, Et dont le ventre est gorgé de tes biens: Leurs enfants ont tout à satiété, Et ils laissent encore leur superflu à leurs petits-enfants.
13110f0065	Mais moi, grâce à ma droiture, je pourrai voir ta face. A mon réveil, je me rassasierai de ta vue.
1312010111	Au maître-chantre. — De David, serviteur de l'Éternel, qui prononça, à la louange de l'Éternel, les paroles de ce cantique, lorsque l'Éternel l'eut délivré de la main de tous ses ennemis et de la main de Saül. Il dit: Je t'aime, ô Éternel, toi qui es ma force!
131202009a	L'Éternel est mon rocher, ma forteresse et mon libérateur! Mon Dieu est le roc où je trouve un refuge, Mon bouclier, mon puissant sauveur, mon rempart!
1312030050	Je m'écrie: «Loué soit l'Éternel!» — Et je suis délivré de mes ennemis.
1312040060	Les liens de la mort m'avaient enveloppé; Les torrents de la destruction m'avaient épouvanté.
1312050058	Oui, les liens du Sépulcre m'avaient entouré; Les filets de la mort m'avaient surpris.
13120600a3	Dans ma détresse, j'invoquai l'Éternel, Je criai vers mon Dieu. De son palais, il entendit ma voix; Les cris que je poussais vers lui parvinrent à ses oreilles.
1312070098	Alors la terre fut ébranlée, et elle trembla; Les fondements des montagnes chancelèrent. Ils s'ébranlèrent, parce que l'Éternel était courroucé.
1312080076	La fumée montait de ses narines, Et de sa bouche sortait un feu dévorant: en faisait jaillir des charbons embrasés.
131209004c	Il inclina les cieux et il descendit, Ayant sous ses pieds une sombre nuée.
13120a0058	Il était monté sur un chérubin, et il volait; Il était porté sur les ailes du vent.
13120b0073	Il fit des ténèbres sa retraite; déploya autour de lui, comme une tente, Des masses liquides, de sombres nuages.
13120c006b	Du sein de la splendeur qui le précédait, S'échappaient des nuées, de la grêle et des charbons de feu.
13120d0073	L'Éternel tonna dans les cieux; Le Très-Haut fit retentir sa voix, Au milieu de la grêle et des charbons de feu.
13120e0073	Il lança ses flèches, et il dispersa mes ennemis; Il lança des éclairs nombreux, et ils furent mis en déroute.
13120f0099	Alors le lit de la mer apparut, Et les fondements du monde furent mis à découvert, A ta voix menaçante, ô Éternel, Au souffle du vent de ta colère.
1312100050	Dieu étendit sa main d'en haut, et il me saisit; Il me retira des grandes eaux.
131211005a	Il me délivra de mon puissant ennemi, De mes adversaires qui étaient plus forts que moi.
1312120051	Ils m'avaient surpris au jour de ma détresse; Mais l'Éternel a été mon appui.
1312130045	Il m'a mis au large; Il m'a délivré à cause de son amour pour moi.
1312140053	L'Éternel m'a traité selon ma justice; Il a récompensé la pureté de mes mains.
131215005d	Car j'ai suivi avec soin les voies de l'Éternel, Et je n'ai pas été infidèle à mon Dieu.
131216005d	Tous ses commandements sont présents devant moi, Et je ne m'écarte point de ses préceptes.
131217005b	J'ai été sans reproche envers lui, Et je me suis mis en garde contre mon penchant au mal.
1312180067	Oui, l'Éternel m'a traité selon ma justice, Selon la pureté de mes mains, que ses yeux ont reconnue.
1312190052	Avec celui qui est, fidèle, tu es fidèle; Avec l'homme intègre, tu es intègre.
13121a005f	Avec celui qui est pur, tu te montres pur; Mais avec le pervers, tu te joues de sa perversité!
13121b005a	Car c'est toi qui sauves le peuple des humbles, Et, qui abaisses les regards des superbes.
13121c0063	C'est toi qui allumes mon flambeau; C'est l'Éternel, mon Dieu, qui fait resplendir mes ténèbres.
13121d004b	Avec toi j'attaque une troupe armée; Avec mon Dieu je franchis le rempart.
13121e0090	Les voies du Dieu fort sont parfaites. La parole de l'Éternel est éprouvée: Il est le bouclier de tous ceux qui cherchent leur refuge en lui.
13121f0049	Qui donc est Dieu, sinon l'Éternel? Qui est un rocher, sinon notre Dieu?
131220003f	C'est ce Dieu qui me ceint de force, Et qui aplanit mon chemin.
1312210051	Il rend mes pieds agiles comme ceux des biches, Et il m'affermit sur les sommets.
1312220044	Il exerce mes mains au combat, Et mes bras bandent un arc, d'airain.
1312230067	Tu me donnes pour bouclier ton puissant secours. Ta main droite me soutient, Et ta bonté me rend fort.
1312240046	Tu élargis le chemin sous mes pas, Et mes pieds ne chancellent point.
131225005a	Je poursuis mes ennemis, je les atteins, Et je ne reviens qu'après les avoir exterminés.
1312260049	Je les écrase, et ils ne peuvent se relever: Ils tombent sous mes pieds.
131227004e	Tu m'as ceint de force pour le combat; Tu fais plier sous moi mes adversaires.
1312280047	Tu fais fuir devant moi mes ennemis; J'extermine ceux qui me haïssent.
1312290069	Ils crient, mais personne ne vient les délivrer! Ils crient vers l'Eternel, mais il ne leur répond pas.
13122a0057	Je les broie comme la poussière livrée au vent; Je les balaie comme la boue des rues.
13122b0082	Tu me fais triompher des attaques de mon peuple; Tu me places à la tête des nations. Des peuples inconnus deviennent mes sujets;
13122c0063	Dès qu'ils entendent parler de moi, ils se soumettent. Les fils de l'étranger me rendent hommage.
13122d0053	Les fils de l'étranger sont abattus, Et ils sortent tremblants de leurs retraites.
13122e0056	L'Éternel est vivant! Béni soit mon rocher! Que Dieu, mon libérateur, soit exalté!
13122f003b	Ce Dieu m'assure la vengeance; Il m'assujettit les peuples.
131230006c	Tu me délivres de mes ennemis; Tu m'élèves au-dessus de mes adversaires; Tu me sauves de l'homme violent.
1312310069	C'est pourquoi je te louerai, ô Éternel, parmi les nations, Et je psalmodierai à la gloire de ton nom.
1312320095	L'Éternel accorde au roi, son élu, de grandes victoires; Il exerce sa miséricorde en faveur de son oint, De David et de sa postérité, à jamais.
131301007f	Au maître-chantre. — Psaume de David. Les cieux racontent la gloire de Dieu, Et le firmament proclame l'oeuvre de ses mains.
1313020046	Le jour en parle au jour, Et la nuit en donne connaissance à la nuit.
131303004f	Ce n'est pas un langage, ce ne sont pas des paroles: On n'entend pas leur voix.
131304009d	Cependant, leurs accords parcourent la terre entière, Et leurs accents vont jusqu'aux extrémités du monde. Là, Dieu a dressé un pavillon pour le soleil,
1313050074	Qui, semblable à un époux sortant de sa chambre nuptiale, Se réjouit, comme un héros, de parcourir sa carrière.
131306007c	Il part de l'une des extrémités du ciel, Et, sa course s'achève à l'autre extrémité: Rien ne se dérobe à sa chaleur.
131307008b	La loi de l'Éternel est parfaite: elle restaure l'âme. Les enseignements de l'Éternel sont vrais: Ils donnent de la sagesse aux simples.
1313080090	Les préceptes de l'Éternel sont droits: Ils réjouissent le coeur. Les commandements de l'Éternel sont une lumière: Ils éclairent les yeux.
1313090093	La crainte de l'Éternel purifie: Elle subsiste à perpétuité. Les jugements de l'Éternel ne sont que vérité: Ils sont tous également justes;
13130a007c	Ils sont plus désirables que l'or, même que beaucoup d'or fin, Plus doux que le miel, que le suc même des rayons de miel.
13130b0062	Aussi ton serviteur est-il éclairé par eux; Grande est la récompense de ceux qui les observent!
13130c0046	Qui peut connaître ses erreurs? Pardonne-moi les fautes que j'ignore!
13130d0090	Préserve aussi ton serviteur des péchés volontaires: Que je ne sois pas leur esclave! Alors je serai sans reproche et pur de grands péchés.
13130e007a	Que les paroles de ma bouche Et la méditation de mon coeur te soient agréables, O Éternel, mon rocher, mon rédempteur!
131401005c	Au maître-chantre. — Psaume de David. Que l'Éternel te réponde au jour de la détresse;
1314020083	Que le nom du Dieu de Jacob soit pour toi une forteresse! Qu'il t'envoie son secours du saint lieu, Et que de Sion il te soutienne!
1314030056	Qu'il se rappelle toutes tes offrandes, Et, qu'il ait pour agréables tes holocaustes!
131404004f	Qu'il t'accorde le désir de ton coeur, Et qu'il accomplisse tous tes desseins!
1314050084	Nous nous réjouirons de ta victoire, Et nous élèverons l'étendard au nom de notre Dieu. L'Éternel exaucera toutes tes prières.
1314060098	Déjà je sais que l'Éternel a délivré son oint. Il lui répondra du haut des cieux, de sa demeure sainte, Par le secours puissant de sa main droite.
131407008d	Les uns se glorifient de leurs chars, d'autres de leurs chevaux; Mais nous, c'est du nom de l'Éternel, notre Dieu, Que nous nous glorifions!
1314080052	Ceux-là ont plié et sont tombés; Mais nous restons debout et nous tenons ferme.
1314090064	O Éternel, accorde-nous la victoire! Que le Roi nous réponde au jour où nous l'invoquons! (Pause)
