0100000009	1 Mosebog
0102030079	Og Gud velsignede den syrende Dag og helligede den; thi paa den hvilede han fra al sin Gerning, som Gud skabte og gjorde.
010204006d	Disse ere Himmelens og Jordens Oprindelser, der de skabtes, paa den Dag Gud Herren gjorde Jorden og Himmelen.
01020500d9	Og alle Haande Buske paa Marken vare endnu ikke paa Jorden, og alle Haande Urter paa Marken vare endnu ikke fremspirede; thi Gud Herren havde ikke ladet regne paa Jorden, og der var intet Menneske til at dyrke Jorden.
010206003f	Og der opgik en Damp af Jorden og vandede al Jordens Overflade.
0102070080	Og Gud Herren dannede Mennesket af Støv af Jorden og blæste Livets Aande i hans Næse; og Mennesket blev til en levende Sjæl.
0102080063	Og Gud Herren plantede en Have udi Eden mod Østen og satte der Mennesket, hvilket han havde gjort.
01020900af	Og Gud Herren lod opvokse alle Haande Træer af Jorden, som vare lystelige at se til og gode til at æde af, og Livsens Træ midt i Haven og Kundskabens Træ paa godt og ondt.
01020a0067	Og der gik en Flod ud fra Eden til at vande Haven, og derfra deltes den og blev til fire Hovedstrømme.
01020b0057	Den førstes Navn er Pison, hvilken løber om det ganske Land Havila, hvor der er Guld.
01020c0048	Og Guldet fra det samme Land er godt; der er Bdellion og den Sten Onyks.
01020d0048	Og den anden Flods Navn er Gihon, hvilken løber om det ganske Land Kus.
01020e0068	Og den tredje Flods Navn er Hiddekel, hvilken gaar Østen for Assyrien; og den fjerde Flod, den er Frat.
01020f0050	Og Gud Herren tog Mennesket og satte det i Edens Have at dyrke den og vogte den.
010210004f	Og Gud Herren bød Mennesket og sagde: Du maa frit æde af alle Træer i Haven;
010211007c	men af Kundskabens Træ paa godt og ondt, af det skal du ikke æde; thi paa hvilken Dag du æder af det, skal du dø Døden.
0102120073	Og Gud Herren sagde: Det er ikke godt, at Mennesket er ene, jeg vil gøre ham en Medhjælp, som skal være hos ham.
01021300da	Og Gud Herren havde gjort af Jorden alle vilde Dyr paa Marken og alle Himmelens Fugle og ledte dem til Mennesket for at se, hvad han vilde kalde hvert; og alt det, som Adam kaldte hver levende Sjæl, det var dens Navn.
0102140095	Saa gav Adam alt Kvæget og Himmelens Fugle og alle vilde Dyr paa Marken Navne; men for Mennesket fandt han ingen Medhjælp, som kunde være hos ham.
010215007c	Da lod Gud Herren falde en dyb Søvn paa Adam, og han sov; og han tog et af hans Ribben og lukkede med Kød i Stedet derfor.
010216006b	Og Gud Herren byggede af det Ribben, som han havde taget af Mennesket, en Mandinde og ledte hende til Adam.
010217007f	Da sagde Adam: Denne Gang er det Ben af mine Ben og Kød af mit Kød; denne skal kaldes Mandinde, thi denne er tagen af Manden.
0102180070	Derfor skal Manden forlade sin Fader og sin Moder og blive fast hos sin Hustru, og de skulle være til eet Kød.
0102190041	Og de vare begge nøgne, Adam og hans Hustru, og de bluedes ikke.
01030100b1	Og Slangen var træskere end alle vilde Dyr paa Marken, hvilke Gud Herren havde gjort; og den sagde til Kvinden: Mon Gud skulde have sagt: I maa ikke æde af hvert Træ i Haven?
0103020042	Da sagde Kvinden til Slangen: Vi maa æde af Havens Træers Frugt;
0103030075	men om det Træs Frugt, som er midt i Haven, sagde Gud: Æder ikke deraf og rører ikke derved, at I ikke skulle dø.
0103040037	Da sagde Slangen til Kvinden: I skulle ikke dø Døden;
010305007d	men Gud ved, at hvilken Dag I æde deraf, da skulle eders Øjne oplades, og I skulle blive ligesom Gud og kende godt og ondt.
01030600ce	Og Kvinden saa, at Træet var godt at æde af, og at det var lysteligt at se til og et ønskeligt Træ til at faa Forstand af, og hun tog af dets Frugt og aad; og hun gav ogsaa sin Mand med sig, og han aad.
0103070071	Da oplodes begges Øjne, og de kendte, at de vare nøgne, og de hæftede Figenblade sammen og gjorde sig Bælter.
0103080099	Og de hørte Gud Herrens Røst, som gik i Haven, der Dagen blev sval; da skjulte Adam og hans Hustru sig for Gud Herrens Ansigt iblandt Træerne i Haven.
010309003a	Og Gud Herren kaldte ad Adam og sagde til ham: Hvor er du?
01030a005f	Og han sagde: Jeg hørte din Røst i Haven og frygtede; thi jeg var nøgen, og jeg skjulte mig.
01030b0087	Og han sagde: Hvo gav dig til Kende, at du var nøgen? har du ædet af det Træ, om hvilket jeg bød dig, at du skulde ikke æde deraf?
01030c005b	Og Adam sagde: Kvinden, som du gav til at være hos mig, hun gav mig af Træet, og jeg aad.
01030d006d	Da sagde Gud Herren til Kvinden: Hvi har du gjort dette? Og Kvinden sagde: Slangen forførte mig, og jeg aad.
01030e00bf	Da sagde Gud Herren til Slangen: Efterdi du gjorde dette, da vær forbandet fremfor alt Kvæget og fremfor alle vilde Dyr paa Marken; du skal gaa paa din Bug og æde Støv alle dit Livs Dage.
01030f00ab	Og jeg vil sætte Fjendskab imellem dig og imellem Kvinden og imellem din Sæd og imellem hendes Sæd; den skal sønderknuse dit Hoved, men du skal sønderknuse hans Hæl.
01031000b8	Til Kvinden sagde han: Jeg vil meget mangfoldiggøre din Kummer og din Undfangelse, med Smerte skal du føde Børn; og din Attraa skal være til din Mand, men han skal herske over dig.
01031100e2	Og til Adam sagde han: Efterdi du lød din Hustrus Røst og aad af det Træ, om hvilket jeg bød dig og sagde: Du skal ikke æde deraf, da være Jorden forbandet for din Skyld, med Kummer skal du æde deraf alle dit Livs Dage.
0103120047	Og den skal bære dig Torn og Tidsel, og du skal æde Urter paa Marken.
0103130093	I dit Ansigts Sved skal du æde dit Brød, indtil du bliver til Jord igen, thi deraf er du tagen; thi du er Støv, og du skal blive til Støv igen.
010314004b	Og Adam kaldte sin Hustrus Navn Eva, thi hun er bleven alle levendes Moder.
010315004a	Og Gud Herren gjorde Adam og hans Hustru Kjortler af Skind og iførte dem.
01031600bb	Og Gud Herren sagde: Se, Adam er bleven som en af os til at kende godt og ondt; men nu, paa det han ikke skal udrække sin Haand og tage ogsaa af Livsens Træ og æde og leve evindeligen:
0103170053	da forviste Gud Herren ham af Edens Have til at dyrke Jorden, som han var tagen af.
0103180098	Og han drev Mennesket ud og satte Keruber Østen for Edens Have med et blinkende Sværd, som vendte sig hid og did, til at vogte Vejen til Livsens Træ.
010401006b	Og Adam kendte sin Hustru Eva; og hun undfik og fødte Kain og sagde: Jeg har faaet en Mand, som er Herren.
0104020066	Og hun blev ved at føde, nemlig hans Broder Abel; og Abel blev en Faarehyrde, og Kain dyrkede Jorden.
0104030063	Og det hændte sig, der en Tid var forløben, og Kain frembar et Offer til Herren af Jordens Frugt.
0104040079	Og Abel, ogsaa han bar frem af sin Hjords første Affødning og af deres Fedme; og Herren saa til Abel og til hans Offer.
010405005d	Men til Kain og til hans Offer saa han ikke; da blev Kain meget vred, og hans Ansigt falmede.
0104060046	Og Herren sagde til Kain: Hvi er du vred, og hvi er dit Ansigt falmet?
01040700ae	Er det ikke saa, at dersom du gør godt, da er du behagelig, og dersom du ikke gør godt, da ligger Synden for Døren, og til dig er dens Attraa? men du skal herske over den.
0104080086	Og Kain talede med Abel sin Broder; og det hændte sig, der de vare paa Marken, da stod Kain op imod Abel sin Broder og ihjelslog ham.
0104090071	Og Herren sagde til Kain: Hvor er Abel, din Broder? Og han sagde: Jeg ved ikke, mon jeg være min Broders Vogter?
01040a0052	Og han sagde: Hvad har du gjort? din Broders Blods Røst raaber til mig af Jorden.
01040b0062	Og nu være du forbandet fra Jorden, som oplod sin Mund til at tage din Broders Blod af din Haand.
01040c006e	Naar du dyrker Jorden, skal den ikke ydermere give dig sin Kraft; ustadig og flygtig skal du være paa Jorden.
01040d0047	Da sagde Kain til Herren: Min Misgerning er større, end jeg kan bære.
01040e00b6	Se, du har i Dag drevet mig fra Jordens Kreds, og jeg maa skjule mig for dit Ansigt; og jeg bliver ustadig og flygtig paa Jorden, og det vil ske, hvo som finder mig, slaar mig ihjel.
01040f00af	Men Herren sagde til ham: Derfor, hvo som ihjelslaar Kain, paa ham skal det hævnes syvfold; saa satte Herren for Kain et Tegn, at ingen, som fandt ham, skulde slaa ham ihjel.
010410004a	Saa gik Kain ud fra Herrens Ansigt og blev i det Land Nod Østen for Eden.
0104110084	Og Kain kendte sin Hustru, og hun undfik og fødte Hanok; og han byggede en Stad og kaldte Stadens Navn efter sin Søns Navn, Hanok.
010412006f	Og for Hanok blev født Irad, og Irad avlede Mehujael, og Mehujael avlede Mathusael, og Mathusael avlede Lamek.
010413004e	Og Lamek tog sig to Hustruer, den enes Navn var Ada, og den andens Navn Zilla.
010414004f	Og Ada fødte Jabal; han var Fader til dem, som boede i Telte og vogtede Kvæg.
010415005c	Og hans Broders Navn var Jubal; han var Fader til alle dem, der legede paa Harpe og Fløjte.
010416008d	Og Zilla, ogsaa hun fødte, nemlig Thubalkain, som kunstigen gjorde alle Haande skarpt Kobber- og Jerntøj; og Thubalkains Søster var Naama.
01041700b4	Og Lamek sagde til sine Hustruer: Ada og Zilla, hører min Røst, Lameks Hustruer, mærker min Tale! Om jeg har slagen en Mand ihjel, mig til et Saar, og en Dreng, mig til en Byld:
010418004d	da skal Kain hævnes syvfold, og Lamek halvfjerdsindstyve Gange og syv Gange.
01041900a8	Og Adam kendte ydermere sin Hustru, og hun fødte en Søn og kaldte hans Navn Seth; thi Gud har sat mig, sagde hun, en anden Sæd i Abels Sted; thi Kain slog ham ihjel.
01041a006a	Og for Seth blev og født en Søn, og han kaldte hans Navn Enos; da begyndte man at paakalde Herrens Navn.
0105010064	Denne er Menneskens Slægters Bog. Paa den Dag Gud skabte Mennesket, gjorde han det i Guds Lignelse.
010502006b	Han skabte dem Mand og Kvinde og velsignede dem og kaldte deres Navn Menneske, paa den Dag de bleve skabte.
0105030074	Og Adam levede hundrede og tredive Aar og avlede en Søn i sin Lignelse, efter sit Billede og kaldte hans Navn Seth.
010504005d	Og Adam levede, efter at han havde avlet Seth, otte Hundrede Aar og avlede Sønner og Døtre.
0105050059	Og Adams ganske Alder, som han levede, blev ni Hundrede Aar og tredive Aar; og han døde.
010506003a	Og Seth var hundrede Aar og fem Aar gammel og avlede Enos.
0105070068	Og Seth levede, efter at han havde avlet Enos, otte Hundrede Aar og syv Aar og avlede Sønner og Døtre.
0105080045	Og Seths ganske Alder blev ni Hundrede Aar og tolv Aar; og han døde.
0105090038	Og Enos var halvfemsindstyve Aar gammel og avlede Kenan.
01050a006c	Og Enos levede, efter at han havde avlet Kenan, otte Hundrede Aar og femten Aar og avlede Sønner og Døtre.
01050b0044	Og Enos' ganske Alder blev ni Hundrede Aar og fem Aar; og han døde.
01050c0040	Og Kenan var halvfjerdsindstyve Aar gammel og avlede Mahalaleel.
01050d0075	Og Kenan levede, efter at han havde avlet Mahalaleel, otte Hundrede Aar og fyrretyve Aar og avlede Sønner og Døtre.
01050e0044	Og Kenans ganske Alder blev ni Hundrede Aar og ti Aar; og han døde.
01050f0045	Og Mahalaleel var fem Aar og tresindstyve Aar gammel og avlede Jared.
0105100073	Og Mahalaleel levede, efter at han havde avlet Jared, otte Hundrede Aar og tredive Aar og avlede Sønner og Døtre.
010511005f	Og Mahalaleels ganske Alder var otte Hundrede Aar og fem og halvfemsindstyve Aar; og han døde.
010512004a	Og Jared var hundrede Aar og to og tresindstyve Aar gammel og avlede Enok.
010513005e	Og Jared levede, efter at han havde avlet Enok, otte Hundrede Aar og avlede Sønner og Døtre.
0105140054	Og Jareds ganske Alder blev ni Hundrede Aar og to og tresindstyve Aar; og han døde.
010515003f	Og Enok var fem og tresindstyve Aar gammel og avlede Methusela.
010516006b	Og Enok vandrede med Gud, efter at han havde avlet Methusela, tre Hundrede Aar og avlede Sønner og Døtre.
0105170047	Og Enoks ganske Alder blev tre Hundrede Aar og fem og tresindstyve Aar.
0105180040	Og Enok vandrede med Gud, og han var ikke mere; thi Gud tog ham.
0105190050	Og Methusela var hundrede Aar og syv og firsindstyve Aar gammel og avlede Lamek.
01051a007c	Og Methusela levede, efter at han havde avlet Lamek, syv Hundrede Aar og to og firsindstyve Aar og avlede Sønner og Døtre.
01051b0058	Og Methuselas ganske Alder blev ni Hundrede Aar og ni og tresindstyve Aar; og han døde.
01051c004d	Og Lamek var hundrede Aar og to og firsindstyve Aar gammel og avlede en Søn;
01051d008b	og han kaldte hans Navn Noa og sagde: Denne skal trøste os i vor Kummer og vore Hænders Arbejde paa Jorden, hvilken Herren har forbandet.
01051e007b	Og Lamek levede, efter at han havde avlet Noa, fem Hundrede Aar og fem og halvfemsindstyve Aar og avlede Sønner og Døtre.
01051f005c	Og Lameks ganske Alder blev syv Hundrede Aar og syv og halvfjerdsindstyve Aar; og han døde.
0105200044	Og Noa var fem Hundrede Aar gammel, og Noa avlede Sem, Kam og Jafet.
0106010059	Og det skete, der Menneskene havde begyndt at formeres paa Jorden, og Døtre fødtes dem,
010602006a	da saa Guds Sønner Menneskens Døtre, at de vare skønne, og toge sig Hustruer af alle, hvilke de valgte.
0106030087	Da sagde Herren: Min Aand skal ikke herske i Mennesket evindelig, eftersom han er Kød; og hans Dage skulle være hundrede og tyve Aar.
01060400cf	Paa den Tid vare Kæmper paa Jorden, ja ogsaa efter at Guds Sønner vare indgangne til Menneskens Døtre og havde avlet sig Børn; disse ere de vældige, hvilke fra fordums Tid have været navnkundige Mænd.
0106050079	Og Herren saa, at Menneskets Ondskab var stor paa Jorden, og at alt hans Hjertes Tankers Paafund var ikkun ondt hver Dag.
0106060060	Da angrede Herren, at han havde gjort Mennesket paa Jorden, og det bedrøvede ham i hans Hjerte.
01060700a7	Og Herren sagde: Jeg vil udslette Mennesket, som jeg har skabt, af Jorden, baade Mennesker og Kvæg og Kryb og Fugle under Himmelen; thi jeg angrer, at jeg gjorde dem.
0106080026	Men Noa fandt Naade for Herrens Øjne.
0106090062	Disse ere Noas Slægter. Noa, en retfærdig Mand, var ustraffelig i sin Tid, Noa vandrede med Gud.
01060a002d	Og Noa avlede tre Sønner: Sem, Kam og Jafet.
01060b0046	Men Jorden var fordærvet for Guds Ansigt, og Jorden var fuld af Vold.
01060c005f	Da saa Gud Jorden, og se, den var fordærvet; thi alt Kød havde fordærvet sin Vej paa Jorden.
01060d008a	Da sagde Gud til Noa: Alt Køds Ende er kommen for mit Ansigt; thi Jorden er fuld af Vold af dem; og se, jeg vil fordærve dem med Jorden.
01060e0054	Gør dig en Ark af Gofertræ; gør Rum i Arken, og beg den inden og udentil med Beg.
01060f00a1	Og denne er Maaden, efter hvilken du skal gøre den: Tre Hundrede Alen skal Arkens Længde være, halvtredsindstyve Alen dens Bredde og tredive Alen dens Højde.
01061000c0	Du skal gøre et Vindue paa Arken, og oventil skal du fuldkomme den til en Alen, og Arkens Dør skal du sætte paa dens Side; du skal gøre den med et nederste, et mellemste og et tredje Loft.
01061100a1	Og jeg, se, jeg lader komme en Vandflod over Jorden til at fordærve alt Kød, som har Livs Aande i sig under Himmelen; alt det, som er paa Jorden, skal udaande.
010612007e	Men med dig opretter jeg min Pagt; og du skal gaa i Arken, du og dine Sønner og din Hustru og dine Sønners Hustruer med dig.
0106130086	Og af alt det, som lever, af alt Kød, et Par af hver Slags skal du indføre i Arken, at lade leve med dig; Han og Hun skal det være.
01061400a5	Af Fuglene efter deres Slags og af Kvæget efter deres Slags, af alle Haande Kryb paa Jorden efter deres Slags; et Par af hvert skal gaa ind til dig, at de maa leve.
0106150069	Og tag du dig af alle Haande Føde, som ædes, og samle til dig, at det maa blive dig og dem til Næring.
0106160051	Og Noa gjorde det, efter alt det, som Gud havde befalet ham, saaledes gjorde han.
0107010077	Og Herren sagde til Noa: Gak ind, du og dit ganske Hus, i Arken; thi dig har jeg set retfærdig for mig i denne Slægt.
010702006d	Tag dig af alle Haande rent Kvæg syv og syv, Han og Hun; men af det Kvæg, som er urent, et Par, Han og Hun;
010703005c	ogsaa af Fuglene under Himmelen, syv og syv, Han og Hun, at holde Sæd paa al Jorden i Live.
0107040095	Thi end om syv Dage vil jeg lade regne paa Jorden fyrretyve Dage og fyrretyve Nætter og udslette af Jorden alle levende Væsener, som jeg har gjort.
010705002e	Og Noa gjorde efter alt, hvad Herren bød ham.
010706004d	Og der Noa var seks Hundrede Aar gammel, da kom Floden med Vande over Jorden.
010707006a	Og Noa gik ind og hans Sønner og hans Hustru og hans Sønners Hustruer med ham i Arken for Flodens Vande.
0107080061	Af rent Kvæg og af det Kvæg, som ikke er rent, og af Fuglene og alt det, som kryber paa Jorden,
010709004c	gik Par og Par til Noa til Arken, Han og Hun, ligesom Gud havde befalet Noa.
01070a0043	Og det skete paa den syvende Dag, da kom Flodens Vande over Jorden.
01070b00b7	I det Aar, der Noa var seks Hundrede Aar gammel, i den anden Maaned, paa den syttende Dag i Maaneden, paa den Dag opbrast alle Kilder i den store Afgrund, og Himmelens Sluser oplodes.
01070c003f	Og der var Regn paa Jorden fyrretyve Dage og fyrretyve Nætter.
01070d0081	Paa den selvsamme Dag gik Noa og Sem og Kam og Jafet, Noas Sønner, og Noas Hustru og hans Sønners tre Hustruer med dem i Arken;
01070e00eb	de og alle Haande vilde Dyr efter deres Slags og alle Haande Kvæg efter deres Slags og alle Haande Kryb, som krybe paa Jorden, efter deres Slags, og alle Haande Fugle efter deres Slags, alt det, som kan flyve, alt det, som har Vinger.
01070f0050	Og de gik i Arken til Noa, Par og Par af alt Kød, i hvilket der var Livs Aande.
0107100071	Og de, som kom, kom Han og Hun af alle Haande Kød, ligesom Gud havde budet ham; og Herren lukkede til efter ham.
0107110073	Da kom Floden fyrretyve Dage over Jorden; og Vandet formeredes og opløftede Arken, og den hævedes op over Jorden.
0107120058	Og Vandet fik Overhaand og formeredes saare over Jorden; og Arken flød oven paa Vandet.
0107130076	Og Vandet fik Overhaand saare meget over Jorden; og alle høje Bjerge bleve skjulte, som vare under den ganske Himmel.
0107140044	Femten Alen oventil fik Vandet Overhaand, og Bjergene bleve skjulte.
0107150099	Saa udaandede alt Kød, som rørte sig paa Jorden, af Fugle og af Kvæg og af vilde Dyr og af al den Vrimmel, som vrimlede paa Jorden, og hvert Menneske.
0107160052	Alt det, som havde Livs Aande i sin Næse, alt det, som var paa det tørre, døde.
01071700d3	Og hvert Væsen udslettedes, som var paa Jorden, fra Mennesket indtil Kvæg, indtil Kryb og indtil Fugle under Himmelen, og de bleve udslettede af Jorden; og Noa blev alene igen, og hvad der var med ham i Arken.
0107180049	Og Vandet havde Overhaand over Jorden hundrede og halvtredsindstyve Dage.
010801007d	Og Gud ihukom Noa og alle vilde Dyr og alt Kvæg, som var med ham i Arken, og Gud lod Vejr fare over Jorden, og Vandet faldt.
0108020057	Og Kilderne i Afgrunden stoppedes, og Himmelens Sluser og Regnen fra Himmelen holdt op.
0108030091	Og Vandet vendte tilbage af Jorden, gaaende frem og tilbage; og Vandet formindskedes, efter at hundrede og halvtredsindstyve Dage vare forløbne.
010804005c	Og Arken hvilede i den syvende Maaned, paa deri syttende Dag i Maaneden, paa Ararats Bjerge.
010805009f	Og Vandet for hid og did og formindskedes indtil den tiende Maaned; i den tiende Maaned, paa den første Dag i Maaneden, lode Toppene af Bjergene sig til Syne.
010806005d	Og det hændte sig efter fyrretyve Dage, da oplod Noa Vinduet paa Arken, som han havde gjort.
0108070057	Og han udlod en Ravn; den fløj frem og tilbage, indtil Vandet borttørredes af Jorden.
0108080052	Og han udlod en Due fra sig for at se, om Vandet var sunket fra Jordens Overflade.
01080900d1	Og der Duen ikke fandt det, den kunde hvile sin Fodsaale paa, da kom den igen til ham i Arken, fordi Vandet endnu var over den ganske Jord; og han udrakte sin Haand og annammede den og tog den til sig i Arken.
01080a0041	Da biede han endnu syv andre Dage og udlod atter en Due af Arken.
01080b0087	Og den Due kom til ham ved Aftens Tid, og se, den havde et afbrudt Olieblad i sin Mund; da fornam Noa, at Vandet var sunket paa Jorden.
01080c0055	Men han biede endnu andre syv Dage og udlod en Due, og den kom ikke ydermere til ham.
01080d00d5	Og det skete i det seks Hundrede og første Aar, i den første Maaned, paa den første Dag i Maaneden, da tørredes Vandet fra Jorden; da tog Noa Dækket af Arken og saa sig om, og se, Jordens Overflade tørredes.
01080e004f	Og i den anden Maaned, paa den syr og tyvende Dag i Maaneden, blev Jorden tør.
01080f001f	Da talede Gud til Noa og sagde:
0108100054	Gak ud ad Arken, du og din Hustru og dine Sønner og dine Sønners Hustruer med dig.
01081100be	Udfør med dig alle Dyr, som ere hos dig af alt Kød, af Fugle og af Kvæg og af alle Kryb, som krybe paa Jorden, og de skulle vrimle paa Jorden og vorde frugtbare og mangfoldige paa Jorden.
0108120050	Saa gik Noa ud og hans Sønner og hans Hustru og hans Sønners Hustruer med ham.
0108130071	Alle vilde Dyr og alle Kryb og alle Fugle, alt hvad der kryber paa Jorden, efter deres Slags, de gik ud ad Arken.
010814007f	Og Noa byggede Herren et Alter og tog af alle Haande rent Kvæg og af alle Haande rene Fugle og ofrede Brændoffer paa Alteret.
0108150105	Og Herren lugtede den behagelige Lugt; da sagde Herren i sit Hjerte: Jeg vil ikke mere herefter forbande Jorden for Menneskets Skyld, thi Menneskets Hjertes Tanke er ond fra hans Ungdom; og jeg vil ikke mere slaa alt, hvad der lever, saaledes som jeg har gjort.
010816006b	Saa længe Jorden staar, skal Sæd og Høst og Frost og Hede og Sommer og Vinter og Dag og Nat ikke aflade.
010901006c	Og Gud velsignede Noa og hans Sønner og sagde til dem: Vorder frugtbare og mangfoldige, og opfylder Jorden!
01090200da	Og Frygt for eder og Rædsel for eder skal være over alle vilde Dyr paa Jorden og over alle Fugle under Himmelen, over alt det, som kryber paa Jorden, og over alle Fiske i Havet, de skulle være givne i eders Hænder.
010903006f	Alt det, som vrimler, som lever, skal være eder til Spise, ligesom grønne Urter har jeg givet eder alt dette.
0109040034	Dog Kød med Sjælen, med Blodet i, maa I ikke æde.
01090500b0	Derimod eders Livs Blod vil jeg kræve, af alle Dyrs Haand vil jeg kræve det; og af Menneskenes Haand, af hvers Haand, endog af hans Broders, vil jeg kræve Menneskenes Sjæl.
0109060070	Hvo som udøser Menneskenes Blod, ved Mennesket skal hans Blod udøses; thi i Guds Billede gjorde han Mennesket.
0109070054	Og vorder frugtbare og mangfoldige, vrimler paa Jorden og vorder mangfoldige derpaa.
010908003b	Og Gud talede til Noa og til hans Sønner med ham og sagde:
0109090045	Jeg, se, jeg opretter min Pagt med eder og med eders Afkom efter eder
01090a00aa	og med hver levende Sjæl, som er hos eder af Fugle, af Kvæg og af alle vilde Dyr paa Jorden hos eder, af alle dem, som gik ud ad Arken, af alle Dyr, som ere paa Jorden.
01090b009a	Og jeg opretter min Pagt med eder, at herefter skal intet Kød ødelægges af Flodens Vande, og der skal ikke komme Vandflod herefter at fordærve Jorden.
01090c0093	Og Gud sagde: Dette er et Tegn paa den Pagt, som jeg gør imellem mig og imellem eder og imellem hver levende Sjæl, som er hos eder, til evig Tid.
01090d0060	Jeg har sat min Bue i Skyen, og den skal være til en Pagtes Tegn imellem mig og imellem Jorden.
01090e004d	Og det skal ske, naar jeg fører Skyen over Jorden, da skal Buen ses i Skyen.
01090f00b4	Og jeg vil komme min Pagt i Hu, som er imellem mig og imellem eder og imellem alle levende Sjæle af alt Kød, at Vandene ikke mere skulle blive til en Flod, at fordærve alt Kød.
010910009b	Derfor skal Buen være i Skyen, og jeg vil se den for at ihukomme den evige Pagt imellem Gud og imellem alle levende Sjæle af alt Kød, som er paa Jorden.
0109110085	Og Gud sagde til Noa: Dette skal være et Tegn paa den Pagt, som jeg har oprettet imellem mig og imellem alt Kød, som er paa Jorden.
0109120059	Og Noas Sønner, som gik ud ad Arken, vare Sem og Kam og Jafet; men Kam er Kanaans Fader.
