0100000019	ማዢንቲ ማፃኣፔ
010110011f	ዬያይዲ ፆኦሲ ላምዖ ዼኤፒ ፖዒ ዔኤቢ ባኣያይዳፓ ማዤኔ፤ ፑኡፒ ፖዒ ፖዓ ዓቢ ሮኦሪ ፖዓንዳጉዲ፥ ሃሣ ጊንሣ ዻካ ፖዒ ፖዓ ዓጊኒ ዋንታ ፖዓንዳጉዲ ማሃዖ ዬያጉዲ ሃሣ ዦኦጎዋ ማዤኔ፤
010111007f	ዬንሢ ፖዖንሢ ጫሪንጫ ዴዓንዳጉዲ ጌሤኔ፤ ዬያ ዒ ማዼሢ ሳዖም ፖዒ ፖዓንዳጉዲ፥
01011200a1	ሮኦሪና ዹሚናይዳ ፖዓንዳጉዲና ዹሚ ፖዒዳፓ ዱማሳንዳጉዴያኬ። ፆኦሲ ዬያ ዛጋዖ ማዤ ባኮና ዎዛዼኔ።
010113003b	ሳዓ ዓሚ ካሬኔ፤ ዖይዳሳ ኬሊ ማዔኔ።
01011400bf	ዬካፓ ፆኦሲ «ዋኣሢዳ ዱማ ዱማ ሼምፖና ዓኣ ማዢንቲ ዺቢ ዓኣያ ማዖንጎ፤ ካፒያ ሳዖኮ ዑፃ ጫሪንጮይዳ ባራኖንጎ» ጌዔኔ።
0101150112	ዬያይዲ ፆኦሲ ፑኡፒ ፑኡፒ ባዚ ቦዖንታ ሜሌ ዋኣፆይዳ ናንጋያና ዓጊፃ ዱማ ዱማ ማዢንቲ፤ ሃሣ ዱማ ዱማ ካፖዋ ዔኤቢ ባኣያይዳፓ ማዤኔ። ፆኦሲ ዬያ ዛጋዖ ማዤ ባኮና ዎዛዼኔ።
01011600a7	ፆኦሲ ዔያቶ «ሾይ ሚርጉዋቴ፤ ዜርፃ ዒንሢኮ ባዞ ዋኣፆ ኩሞንጎ፤ ካፓኣ ሳዖይዳ ሚርጎንጎ» ጌዒ ዓንጄኔ።
010117003b	ሳዓ ዓሚ ካሬኔ፤ ዶንጋሳ ኬሊ ማዔኔ።
01011800f2	ዬካፓ ፆኦሲ፦ «ሳዓ ዱማ ዱማ ማዔ ሼምፓ ዓኣ ማዢንቲ ጌይፃ ዱማ ዱማ ቆሎንታ፥ ዻካንታ ዼኤፒንታ ማዔ ካይዚ ቦዖ ማዢንቲያ ጴዺሶንጎ» ጌዒ ዓይሣዛ ማዔኔ።
0101190081	ፆኦሲ ዬያይዲ ሼምፓ ዓኣ ማዢንቶ ቢያ ማዤኔ፤ ዒዚ ዬያ ዛጋዖ ማዤ ባኮና ዎዛዼኔ።
01011a0175	ዬካፓ ፆኦሲ፦ «ዓሲ ኑኡኒ ኑ ማሎና፥ ኑና ማላያ ዔኤቢ ባኣያይዳፓ ማዦም፤ ዬንሢ ዓሶንሢኮ ባዞይዳ ናንጋ ሞላሢ ዑፃ፥ ጫሪንጮ ካፖ ዑፃ፥ ቆሎንታ ካዮ ቦዖ ዻኮንታ ዼኤፖንታ ዑፃ፤ ሃሣ ዬያጉዲ ሳዖ ቢያይዳ ቢታንቶ ዓኣያ ማዖንጎ» ጌዔኔ።
01011b007d	ፆኦሲ ዬያይዲ ዓሲ ማዤኔ፤ ፔ ማሎና ፔና ማላያ፥ ዓቲንቄና ላኣሊና ማሂ ማዤኔ።
01011c0175	ፆኦሲያ ዓሲ «ሾይ ሚርጉዋቴ፥ ፃጳ ዒንሢኮ ሳዖ ኩሞንጎ፤ ሳዓኣ ዒንሢ ቢታንቶኮ ዴማ ማዖንጎ፤ ባዞይዳ ናንጋ ሞላሢ ዑፃ፥ ጫሪንጫ ባራና ካፖና ሳዖይዳ ዓጊፂ ሃንታ ሼምፖና ዓኣ ባኮ ቢያ ዑፃ ዒንሢኮ ቢታንቶ ዓኣያ ማዖንጎ» ጌዒ ዓንጄኔ።
01011d00be	ፆኦሲ ዔያቶም ኬኤዛዖ፦ «ሙኡዚ ዒንሢም ማዓንዳጉዲ ሳዖይዳ ጴዻ ሃኣኮንታ ዓኣፒ ዓኣፓ ሚሢንታ ታኣኒ ዒንሢም ዒንጌኔ።
01011e016b	ሃሣ ዬያጉዲ ቆሎንታ ካዮ ቦዖንታም፥ ጫሪንጫ ባራና ካፖንታ ሳዖይዳ ዓጊፃ ሼምፓ ዓኣ ማዢንቶንታ ዑኡሲ ዔካ ሼምፔና ዓኣ ማዢንቲም ቢያ ሙኡዚ ማዓንዳጉዲ ዓኣዔ ማኣቲና ዒላሺና ታኣኒ ዒንጌኔ» ጌዔኔ፤ ዬይያ ዒዚ ጌዔ ጎይፆ ማዔኔ።
01011f0085	ፆኦሲ ማዤ ባኮ ቢያ ዛጋዖ፥ ዑሣ ዓኣዼ ዎዛዼኔ። ሳዓ ዓሚ ካሬኔ፤ ላሃሳ ኬሊ ማዔኔ።
0102010072	ጫሪንጮና ሳዖና፤ ሃሣ ዔያቶይዳ ዓኣ ባኮኮ ቢያ ማዢንቲፃ ያዒዲ ጋፔኔ።
010202005d	ፆኦሲ ላሃሳ ኬሎና ማዾ ቢያ ጋፒሲ ላንካሳ ኬሎ ማዾ ሃሼኔ።
0102030074	ፆኦሲ ማዢፆ ማዾ ቢያ ሃሼ ኬላ ዒማና ማዔሢሮ ላንካሳ ኬሎ ዓንጂ ዱማሴኔ።
01020400d8	ዬያሮ ጫሪንጮና ሳዖና ዔኤቢ ባኣያይዳፓ ማዢንቴ ዎዶና ማዢንቶ ሃይሳ ያዺኬ። ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ጫሪንጮና ሳዖና ማዤ ዎዶና፦
01020500aa	ሳዖይዳ ዒርዚ ዋርቂሲባኣያ ማዔም፤ ሃሣ ሳዖዋ ጎሽካ ዓሲ ባኣሢሮ ሳዖይዳ ፔቴታዖ ባቃሊ ዓኣ ባኣዚ ባኣሴ፤
0102060063	ያዒ ማዔቶዋ ሳዖይዳፓ ቱሮ ዓልቃ ዋኣሢ ፃኣዾ ሳዖ ቢያ ዑሻኔ።
01020700ea	ዬካፓ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ሳዖ ዓጮይዳፓ ዔኪ ዓሲ ዓጪና ማዤኔ፤ ሲኢዾና ናንጊ ዒንጋ ዑኡሲ ዑኡዜኔ፤ ዓሲያ ሼምፖና ናንጋ ማዢንቲ ማዔኔ።
01020800e1	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዓቦኮ ኬዞ ዛሎና ዔዴኔ ጌይንታ ኮሺ ቤሲ፥ ዱማ ዱማ ባቃላ ሚሢ ዓኣ ቤሲ ማሂ ኮሼኔ፤ ዒዚ ማዤ ዓሢያ ዒኢካ ጌሤኔ።
0102090181	ዬኖ ቤዜሎይዳ ዛጋዛ ዎዛሳያና ዓሲም ሙኡዚ ማዓንዳ ዱማ ዱማ ሚሢ ባቃላንዳጉዲ ማሄኔ፤ ጊንሣ ዬያ ዱማ ዱማ ባቃሌ ሚፆኮ ባኣኮይዳ ናንጊ ዒንጋ ሚሢ ዓኣኔ፤ ዬያጉዴያ ሃሣ ኮዦ ፑርታይዳፓ ዱማሳንዳጉዲ ማሃ፥ ዔራቶ ዒንጋ ሜሌ ሚሢያ ዒኢካ ዓኣኔ።
01020a00d7	ዬኖ ዱማ ዱማ ሚፃ ባቃሌ ቤዜሎ ዑሻ ዼኤፒ ዓልቃ ዎርዚ ዔዴኔ ጌይንታ ቤዛፓ ዎታኔ፤ ዬይ ዎራሢ ዔዴኔይዳፓ ኬስካዖ ዖይዶ ማዒ ፓቂንታኔ።
01020b0090	ቤርታሳ ዎራሢ ፒሾኔ ጌይንታኔ፤ ዬይያ ዎርቄ ጴዻያ፥ ሃዊላ ጌይንታ ዓጮ ቢያ ሺሪ ዴንዳኔ፤
01020c00ed	ዬኖ ዓጮ ዎርቃ ጌኤሺኬ፤ ሃሣ ዒዞ ዓጮይዳ ሜሌ ቤስካ ጴዹዋ ሳውቃ ሚሢ ማኣሢንታ ሚርጌ ሚዛጲ ማዔ ዱማ ዱማ ባኣዚ ማይሊ ኮሺም ማዓ ሹቺያ ዒኢካ ዓኣኔ።
01020d0075	ላምዓሳ ዎራሢ ጊዮኔ ጌይንታኔ፤ ዬይያ ዒቶጲያ ዓጮኮ ዙሎና ሺሪ ዓኣዻኔ።
01020e00cf	ሃይሣሳ ዎራሢ ፄግሮሴ ጌይንታኔ፤ ዬይያ ዓሶኦሬ ጌይንታ ዓጮኮ ዓባ ኬስካ ዛሎና ዓኣዻኔ፤ ዖይዳሳ ዎራሢያ ዔፒራፂሴ ጌይንታያኬ።
01020f00e5	ዬካፓ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዓሲ ዔዴኔይዳ ጌሤኔ፤ ዬያ ዒዚ ማዼሢ ዓሲ ዬኖ ዱማ ዱማ ሚፃ ባቃላ ቤዜሎ ጎሽኪ ሚፆዋ ሚዛጲሲ ካፓንዳጉዲኬ።
01021000a1	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ፦ «ዱማ ዱማ ሚፃ ባቃላ ቤዞይዳ ዓኣ ሚፆኮ ዓኣፖ ኔኤኒ ሙዓኒ ዳንዳዓኔ፤
0102110115	ጋዓንቴ ኮዦ ፑርታፓ ዱማሳንዳጉዲ ማሃ ዔራቶ ዒንጋ ሚፄሎ ዓኣፖይዳፓ ሙዒፖ፤ ዓይጎሮ ጌዔቶ ዬኖ ሚፄሎ ዓኣፖይዳፓ ኔኤኒ ሙዔ ዎዶና ሃይቃንዳሢ ኔና ዔሬ» ጌዒ ዓሢም ኬኤዜኔ።
01021200e6	ሄሊሳዖ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ፦ «ዓሢ ፔኤሮ ናንጋሢ ኮሺቱዋሴ፤ ዬያሮ ዒዛና ጊኢጋያ፥ ሃሣ ዒዛ ማኣዳንዳያ ላጌ ታኣኒ ማዣንዳኔ» ጌዔኔ።
0102130183	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ሳዖ ዓጮይዳፓ ዔኪ ካዮ ቦዖንታ፥ ቆሎንታ፥ ካፖንታ ቢያ ማዤኔ፤ ዎዚ ጋዓ ሱንሢ ዒዚ ዔያቶም ጌሣንዳቴያ ዛጋኒ ዓሢ ኮራ ዔኪ ዬዔኔ፤ ዓሢ ቶኦካ ቶኦካ ሼምፖና ዓኣ ማዢንቶም ጌሤ ሱንፃ ፔቴ ፔቴሢም ዔኤሊንቶያ ማዔኔ።
01021400c8	ዬያይዲ ዓሢ ቆሎንታ ካፖንታ ቦዖንታም ቢያ ሱንሢ ጌሤኔ። ዓሢም ጋዓንቴ ዒማና ጊኢጋያና ላጌ ማዒ ዒዛ ማኣዳያ ሃጊ ጴዺባኣሴ።
01021500e3	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዓሢ ሃሃይቄጉዲ ጊንዒሼኔ፤ ዬካፓ ዒዚ ጊንዒ ዓኣንቴ ጎኦቦ ባራንፃፓ ፔቴ ሜጌሢ ዔኪ ቤዞ ዓሽኪና ኩንሢ ፓፂሴኔ፤
01021600a3	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዓሢኮ ጎኦባፓ ዔኬ ባራንፆ ሜጌፄሎ ላኣሊ ማሂ ማዢ፥ ዓሢ ኮራ ዔኪ ሙኬኔ።
0102170126	ዓሢ ዒማና፦ «ሃይሾ ጋፒንፆይዳ ታኣኒ ታና ማላያ ዴንቄኔ፤ ዒዛ ታኣኮ ሜጌፃፓ ጴዼ ሜጌሢኬ፤ ታኣኮ ዓሽኮይዳፓ ጴዼ ዓሽኪኬ፤ ዓቲንቄፓ ጴዼያ ዒዛ ማዔሢሮ ‹ላኣሊ› ጌይንቶንጎ» ጌዔኔ።
010218007c	ዓቲንቄ ዓዶና ዒንዶና ሃሺ ማቾና ዎላ ማዓሢ ዬያሮኬ፤ ላምዖንሢያ ፔቴ ማዓኔ።
010219005b	ዓሢና ማቾና ዔያቶኮ ዑፃ ካሎታንቴ ዎሊ ሴልቂ ዒጊጩዋሴ።
0103010146	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ማዤ ቦዖ ቢያይዳፓ ሾኦሺ ሚርጌ ጪንጫ፤ ሃሣ ጌሻያታሢሮ፦ «ዱማ ዱማ ሚፃ ባቃሊ ዓኣ ቤዜሎይዳ ዓኣ ሚፆኮ ዓኣፖ ዒንሢ ሙዑዋጉዲ ፆኦሲ ዒንሢ ጎኔ ላኣጊያ?» ጌዒ ላኣሌሎ ዖኦጬኔ።
0103020090	ላኣሌላ ማሃዖ፦ «ዱማ ዱማ ባቃሌ ሚፃ ዓኣ ቤዞይዳ ዓኣ ሚፆ ዓኣፖይዳፓ ኑ ሙዓኒ ዳንዳዓኔ፤
01030300f5	ጋዓንቴ ፆኦሲ ‹ዱማ ዱማ ባቃሌ ሚፆኮ ባኣኮይዳ ዓኣ ሚፃሢ ዓኣፖ ሙዒፖቴ፤ ኩጮናኣ ካኣሚፖቴ፤ ዬያ ዒንሢ ማዼቶ ሃይቃንዳኔ› ሂዚ ጌዒ ኑም ላቴኔ» ጌዔኔ።
010304003b	ሾኦዣሢ፦ «ፔቴታዖ ዒንሢ ሃይቃዓኬ፤
01030500fe	ፆኦሲ ዬያ ዒንሢ ዓይሤሢ ዬያ ሚፆኮ ዓኣፖ ዒንሢ ሙዔ ዎዶና ፆኦሲጉዲ ዒንሢ ማዓንዳሢና ኮዦ ፑርቶይዳፓ ዱማሲ ዒንሢ ዔራንዳሢ ቤርታዺ ዔራሢሮኬ» ዒዞም ጌዔኔ።
01030600e6	ላኣሌላ ሚፃሢ ኮሺ፥ ዓኣፖ ሙዓኒያ ናሻያና ዔራ ማሃኒ ዳንዳዓያ ማዔሢ ዛጋዖ ዓኣፖይዳፓ ዔኪ ሙዒ ዒዞና ዎላ ዓኣ ዓኒማኣ ዒንጌኔ፤ ዒዚያ ሙዔኔ።
0103070103	ዬካፓ ላምዖንሢ ቤዞማና ጶቂሥሢ ዔራቶ ዴንቄሢሮ፥ ካሎ ዔያታ ማዔሢ ዔሬኔ፤ ዬያሮ ቤሌሴ ጌይንታ ሚሢኮ ዒላዦ ዎላ ካንሢ ሲካዖ ጊልዲማ ማሂ ዔያቶኮ ካሉሞ ዓኣቼኔ።
010308013a	ዬኖ ኬሎ ዋንቶና ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዱማ ዱማ ሚፃ ባቃሊ ዓኣ ቤዜሎይዳ ሃንታንቴ ዑኡዞ ዋይዜሢሮ፥ ዓሢና ማቾና ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዔያቶ ዴንቁዋጉዲ ጌዒ ሚፆ ባኣካ ዓኣሺንቴኔ።
0103090089	ጋዓንቴ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዓሢ ዔኤላዖ፦ «ኔኤኒ ዎካ ዓኣይ?» ጌዒ ዖኦጬኔ።
01030a00bb	ዓሢ፦ «ዱማ ዱማ ሚፃ ባቃሊ ዓኣ ቤዞይዳ ኔኤኮ ዑኡዞ ታ ዋይዛዖ፥ ካሎ ታኣኒ ማዔሢሮ ኔና ታ ዒጊጪ ዓኣሺንቴኔ» ጌዔኔ።
01030b00be	ፆኦሲያ ዓሢ ኮራ፦ «ኔኤኒ ካሎ ማዔሢ ዖ ኔኤም ኬኤዜይ? ታ ኔና ‹ሙዒፖ› ጌዔ ሚፆ ዓኣፖ ዔኪ ኔኤኒ ሙዒያ?» ጌዒ ዖኦጬኔ።
01030c00aa	ዓሢ፦ «ሃና፥ ታኣና ዎላ ናንጋንዳጉዲ ኔ ዒንጌ ላኣሌላ ሚፆ ዓኣፖ ዔኪ ታኣም ዒዛ ዒንጋዛ ታ ሙዔኔ» ጌዔኔ።
01030d00d5	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ላኣሌሎ፦ «ዓይጎሮ ኔኤኒ ዬያይዴይ?» ጌዒ ዖኦጬኔ። ላኣሌላ ማሃዖ፦ «ሾኦሺ ታና ጌሻዛ ታ ሙዔኔ» ጌዔኔ።
01030e013e	ዬካፓ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ሾኦዣሢም ሂዚ ጌዔኔ፦ «ዬያ ኔኤኒ ማዼሢሮ ቆልሞና ቦዖ ቢያይዳፓ ዱማዺ ጋዳንቂንቴያ ማዔ፤ ሃናኣፓ ዓርቃዖ ዳዲና፥ ሳዓና ጎቺንቲ ሃንቴ፤ ቢያ ዎዴ ዓጪ ሙዒ ናንጌ፤
01030f012f	ኔኤና ላኣሌሎና ዎሊኮ ሞርኬ ታኣኒ ማሃንዳኔ፤ ዒዞ ዜርፆና ኔ ዜርፆና ቢያ ዎዴ፥ ኮሜ ዓሲ ማዒ ናንጋንዳኔ፤ ላኣሌሎ ዜርፃ ኔኤኮ ቶኦኮ ዳኣፃንዳኔ፤ ኔኤኒ ዒዞ ዜርፆኮ ዲንጊርዦ ዻዓንዳኔ።»
010310011c	ላኣሌሎማኣ፦ «ኔኤኒ ጎጳዼ ዎዶና ሜታሢ ታ ኔኤኮ ኔ ሾዓ ዎዶናኣ ቆፂ ሜታሲፆ ታ ሚርጊሻንዳኔ፤ ጋዓንቴ ኔ ዓኒ ኔ ሱኡካዻንዳኔ፤ ሃሣ ኔ ዓኒማ ኔኤኒ ዓይሢንታያ ማዓንዳኔ» ጌዔኔ።
0103110171	ዓሢማኣ ሂዚ ጌዔኔ፦ «ኔ ማቾ ጌኤዞ ኔኤኒ ዋይዚ ኔና ታ ‹ሙዒፖ› ጌዔ ሚፆ ዓኣፖ ኔ ዔኪ ሙዔሢሮ ኔ ማዼ ፑርቶ ማዾ ዛሎና ሳዔላ ጋዳንቂንቴያ ማዖም፤ ሳዓ ኔኤም ኮይሳ ሙኡዚ ዒንጋንዳጉዲ ኔ ናንጎ ዎዶ ቢያይዳ ሚርጌ ኔኤኒ ላቢንቲ ማዼ።
0103120078	ሳዓ ኔኤም ዓንጊሢና ጋውዲና ባቃልሶም፤ ኔኤኒያ ሳዖይዳፓ ባቃሌ ባኮ ሙዔ።
01031300b0	ኔኤኒ ዓጪታሢሮ ኔ ኬስኬ ዓጮ ባንሢ ማዒ ኔ ጌላንዳያ ሄላንዳኣና ሙኡዚ ዴንቃኒ ሚርጌ ጮጋቲ ኔኤኒ ማዻንዳኔ።»
010314009c	ዓሢያ ዒዛኮ ማቻ ሼምፓ ዓኣ፥ ዓሲ ማዢንቲኮ ቢያ ዒንዶ ማዔሢሮ «ሂዋኣኖ» ጋዓ ሱንሢ ዒዞም ጌሤኔ።
010315007d	ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዓዳኣሜና ማቾናም ዒልዒ ዓፒላ ማሂ ኮሺ ማይሴኔ።
0103160162	ዬካፓ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ኬኤዛዖ፦ «ዓካሪ ዓሲ ኮዦ ፑርቶይዳፓ ዱማሲ ዔርዛ ዔራቶ ዔሬሢሮ ኑጊዳፓ ፔቴሢጉዲ ማዔኔ፤ ሃይፓ ሴካ ፔ ኩጮና ሼምፖ ዒንጋ ሚፆይዳፓ ዔኪ ሙዒ ናንጊና ናንጉዋጉዲ ዒዛ ታ ላኣጌኔ» ጌዔኔ።
01031700ce	ዬያሮ ናንጊና ናንጋ ጎዳ ማዔ ፆኦሲ ዔዴኔ ጌይንታ ዱማ ዱማ ሚፃ ባቃሊ ዓኣ ቤዛፓ ዓሢ ማዢንቴ ሳዖ ጎሽኪ ናንጋንዳጉዲ ዒዛ ኬሴኔ።
0103180154	ፆኦሲ ዓሲ ዔዴኔይዳፓ ኬሴሢኮ ጊንፃ ዬኖ ቤዜሎኮ ዓባ ኬስካ ዛሎና ዼኤፒ ዒጊቻ፥ ዒዛኮ ኪኢታንቾና ቢያ ዛሎ ሺሪ ሺሪ ታሚጉዲ ዔዔኤታ ጬንቻ ዓፓሮና ጌሤኔ፤ ዬያ ዒ ማዼሢ ዖኦኒያ ናንጎ ሚፃሢ ባንሢ ዑኩዋጉዲ ጌዒኬ።
010401011e	ዬካፓ ዓሢ ዒዛኮ ማቾ፥ ሂዋኣኖና ላሄም ዒዛ ጎጳዻዖ ዓቲንቄ ናይ ሾዔኔ፤ ዒዛ፦ «ናንጊና ናንጋ ጎዳ ታና ማኣዳዛ ዓቲንቄ ናይ ታ ዴንቄኔ» ጋዓዖ ሱንፆ ዒዛኮ «ቃኣዔኤሌ» ጌዒ ጌሤኔ።
01040200bc	ላሚ ሃሣ ቃኣዔኤሌኮ ጌኤዚ ዓኣቤኤሌ ሾዔኔ፤ ዓኣቤኤሌ ዒማና ማራይ ሄንቃያ ማዓዛ፥ ቃኣዔኤሌ ጋዓንቴ ጎሺ ጎሽካያኬ።
010403009c	ሚርጌ ኬሊኮ ጊንፃፓ ቃኣዔኤሌ ጎሽኬ ሃኣኮይዳፓ ዔኪ ናንጊና ናንጋ ጎዳም ዒንጎ ዒንጊሢ ሺኢሼኔ።
010404015e	ዓኣቤኤሌያ ማራቶ ባኣካፓ ቤርታ ሾይንቴ ፔቴ ማራናይ ዔኪ ሙኪ ሹካዖ ማሎና ኮዦ ኮዦ ዓሽኮ ቢያ ናንጊና ናንጋ ጎዳም ታሚና ሚቺ ዒንጎ ዒንጊሢ ማሂ ሺኢሻዛ ናንጊና ናንጋ ጎዳ ዓኣቤኤሌንታ ዒዚ ዒንጌ ዒንጊፆዋ ዛጊ ዎዛዼኔ።
01040500b6	ቃኣዔኤሌንታ ዒዚ ዒንጌ ዒንጊፆዋ ዛጊ ናንጊና ናንጋ ጎዳ ዎዛዺባኣሢሮ ቃኣዔኤሌ ዓኣፖ ካሮ ቱኪ ሚርጌና ዻጋዼኔ።
0104060097	ዒማና ናንጊና ናንጋ ጎዳ ቃኣዔኤሌ ኮራ ሂዚ ጌዔኔ፦ «ኔኤኒ ዻጋዺ ዓኣፖ ካሮ ቱኬሢ ዓይጎሮዳይ?
0104070110	ኮሺ ኔ ማዼያታቴ ዓኣፖ ካራ ኔኤኮ ጌኤሺ ማዓንዳንቴ ሃሢ ኔ ማዼ ባካ ፑርታ ማዔሢሮ ጎማ ኔና ካሮይዳ ካቲ፥ ፔ ዴማ ኔና ማሃኒ ኮዓኔ፤ ጋዓንቴ ኔኤኒ ዬያ ባሻንዳያ ኮይሳኔ።»
01040800ec	ዬካፓ ቃኣዔኤሌ ፔኤኮ ጌኤዚ ዓኣቤኤሌ፦ «ሃኒ ዬዔ፥ ኑ ዎላ ቦኦሎ ዓኣዾም» ጌዒ ቦኦሎ ዔኪ ዴንዲ ዒኢካ ዓኣዖ ጌኔ ማሊሢና ፔ ጌኤዚ ዓኣቤኤሌ ዎዼኔ።
010409011b	ናንጊና ናንጋ ጎዳ ቃኣዔኤሌ ኮራ፦ «ኔ ጌኤዚ ዓኣቤኤሌ ዓንካዳይ?» ጌዒ ዖኦጫዛ፥ ቃኣዔኤሌ ፆኦሲም፦ «ዒዚ ዓንካ ዓኣቴያ ታ ዒዛ ዔሩዋሴ፤ ታኣኒ ታ ጌኤዚ ሄንቃያዳ?» ጌዒ ማሄኔ።
01040a00f6	ናንጊና ናንጋ ጎዳሢ ቃኣዔኤሌም ሂዚ ጌዔኔ፦ «ሃይ ኔ ማዼ ባካ ዓይጌንዴዳይ! ላኣሊንቴ፥ ኔ ጌኤዚኮ ሱጉፃ ሳዓፓ ታ ባንሢ ኔጊዳ ፑርታና ዎጊሳኒ ዒላታሢሮ፥
01040b00be	ኔኤኒ ጋዳንቂንቴያ ማዔ፤ ኔ ጌኤዚ ኔኤኒ ዎዻኣና ሱጉሢ ዑሽካኒ ሻማታ ቦዖጉዲ ማዔ ሳዔሎይዳ ኔኤኒ ዲቃቲ ሃንታያ ማዔ።
01040c007f	ሳዖ ኔኤኒ ጎሽኬ ዎዶና ሃኣካ ኔኤም ካፆፓ፤ ሳዖይዳ ዳኪንቲ ቤሲባኣ ዓሲ ማዔ።»
