2800000005	Matta
280525009a	ˈYa kamngga kee, ‘Yoo’ tsauka ‘Yoo,’ tǝ ƙǝm ‘Awo’ tsauka ‘Awo.’ Kala laɓaara kalgha yanɗamu ya kyaghǝn ɓa a mii tǝmbǝlfedɗi.”
2805260054	“Sǝkɗun ndǝn tǝ ndaarha, ‘Yirha a meghed yirha, thlaana a meghed thlaana.’
280527007e	Amma niya ndang nda kun, a karɗun tǝ mbǝlfeerha fa wa. A mbi niifa sa hu ƙǝmeng wa yisǝma, kyakhrang man patu ɓa ƙǝm.
2805280043	A huhwad niifa sa ka a thlanggǝn luwudwa, fǝrang kaɓad wa ƙǝm.
2805290041	A ngyaɓo niifa hu wiirha hai mel tal, weema ɗǝ kyab mel sǝri.
28052a005b	Kala niifa hwanowa ˈya, fǝrang, kala niifa kaɗagha kumarha a harwa a ˈyaɗang na wa.”
28052b0051	“Sǝkɗun ndǝn tǝ ndaarha, ‘Nggǝmama tula yinun kar fatsan ngginun nun.’
28052c0060	Amma niya ndang nda kun, nggǝmama fa tsangginun, hwana man Faara nafiya teena na a sǝsang kun.
28052d00bf	A naɗun kee, nun tsaurha wangya Faara na a talara, ƙǝsǝr nǝn fǝr yanfaara a ka nafiya tǝ fa mbǝlfeeya. Nǝn ɓa ˈyaara a nafiya na tǝ nggayirha fa tǝ fingya mbuwa tǝ nggayirha fa.
28052e007c	Ana ɗun a nggǝm nafiya na a nggǝm kun kee, ƙǝƙǝn nun wal parka? Ko fathlǝ tsamngya ni ma mbǝna nda ǝnaarha kee wa?
28052f0073	A naɗun a ǝna nggayirha a pashiyi nun kee, ma nun a ǝnaarha kalgha fingya mu? Mbǝna fa ɗahaya ǝnaarha kee wa?
2805300045	Amma tsawama lǝlǝgɗa ƙǝla nana Chinun na a talara lǝlǝgɗa.”
2806010080	Kwarama a kyad ɗun nggayirha a mbed fiya ka a na kun nda wa. A ǝna ɗun kee, mbun wal ƙǝnaghǝn a har chinun na a talara wa.
28060200d1	A naɗun a fǝra a kalɗun miighǝn ɗǝ ƙǝla na fa thlǝrɓuya ǝnaarha hu Ƙǝn Faara, tǝ ten kwamangya, ahur wure ka a fal kanda nda wa. Niya pǝrang ƙǝkafek kun, ˈWanda teena thlǝnda yi ndan ƙǝna.
280603006b	Amma a naɗun a fǝrang niifa ˈya na midghǝn, a nggǝmɗun fa sǝngga yi kawa ˈya na yisǝma a fǝra wa.
280604005e	No a fǝra ɓǝɓee, tǝrgha tsu na a na ˈya na a ǝnaarha ɓǝɓee nǝn a fǝro ƙǝnaghǝn.
2806050109	“Anaɗun a hwan Faara, a ǝna ɗun ƙǝla fa thlǝrɓuya wa. Ƙǝsǝr kanda na mindan sǝ hwan Faara ƙǝt ƙǝkǝɗa a ƙǝngya yi hwan Faara, tǝ ƙǝm aten kwamangya ahur tala ka a nagha fiya kanda. Niya pǝrang ƙǝkafek kun ˈwanda teena wal nda ƙǝna ndan.
28060600c5	Amma anaɗun a hwan Faara, kyama hur ƙǝnna ɗǝ, nggǝlang nggun kwatminda a hwanang nggun chinun, mbuwawa nǝm a naarha. Tǝrgha Chinun, na a na ˈya ɓǝɓee, nǝn a fǝrang ƙǝnaghǝn kun.”
28060700b3	“Anaɗun a hwan Faara, a nggurɓang ɗun ˈya nun a thlǝkrha ƙǝla nafiya sǝngwa Faara na a ǝnaarha wa. Tamngganda ndaarha na nda sǝk fandan a nanda a nggurɓang pathla mu.
2806080059	A tsauɗun ƙǝla kanda wa, ƙǝsǝr Chinun sǝnɗǝ ˈya na minnun kapa nun tsahang mee.
2806090044	Hwanama kiya.” “Chinǝm na a talara a chilɓi thlǝm wa nǝm ha.
28060a006f	Kutǝryid wa ɓagha ɓa. ˈYa na midwa a ǝnaghǝnan, hu ƙǝshiirha ƙǝla yanɗi na nanda a ǝnaarha a talara
28060b001f	Fǝrang ǝnnadmid par fara kan.
